#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR1868--MA1421.1.TCF7L1	chr12	41168055	41168066	+	0.000	0.000	Merged-chr12-41167989-46
NR9010--MA1421.1.TCF7L1	chr9	14262675	14262686	+	0.000	0.000	Merged-chr9-14262730-55
NR1334--MA0769.1.Tcf7	chr10	111578772	111578783	+	0.000	0.000	Merged-chr10-111578564-64
NR5163--MA0523.1.TCF7L2	chr2	102044453	102044466	-	0.000	0.000	Merged-chr2-102044515-18
NR9265--MA0769.1.Tcf7	chr9	95315392	95315403	-	0.000	0.000	Merged-chr9-95315222-46
NR1558--MA0769.1.Tcf7	chr11	49722944	49722955	-	0.000	0.000	Merged-chr11-49723086-55
NR8623--MA0769.1.Tcf7	chr8	13986988	13986999	-	0.000	0.000	Merged-chr8-13987133-66
NR8359--MA0523.1.TCF7L2	chr7	76229076	76229089	-	0.000	0.000	Merged-chr7-76229137-51
NR2853--MA0523.1.TCF7L2	chr14	48427650	48427663	-	0.000	0.000	Merged-chr14-48427656-16
NR1594--MA0769.1.Tcf7	chr11	63146802	63146813	-	0.000	0.000	Merged-chr11-63146790-18
NR9055--MA0769.1.Tcf7	chr9	31254925	31254936	+	0.000	0.000	Merged-chr9-31254853-49
NR626--MA0523.1.TCF7L2	chr1	164888773	164888786	-	0.000	0.000	Merged-chr1-164888737-16
NR4958--MA0769.1.Tcf7	chr2	52310864	52310875	+	0.000	0.000	Merged-chr2-52310809-21
NR3379--MA1421.1.TCF7L1	chr15	59913999	59914010	+	0.000	0.000	Merged-chr15-59913956-28
NR6688--MA0523.1.TCF7L2	chr4	97996043	97996056	+	0.000	0.000	Merged-chr4-97996259-58
NR4956--MA1421.1.TCF7L1	chr2	52310864	52310875	+	0.000	0.000	Merged-chr2-52310809-21
NR5166--MA0769.1.Tcf7	chr2	102044477	102044488	+	0.000	0.000	Merged-chr2-102044515-18
NR3443--MA0769.1.Tcf7	chr15	74667790	74667801	-	0.000	0.000	Merged-chr15-74667710-27
NR5081--MA0769.1.Tcf7	chr2	78860080	78860091	+	0.000	0.000	Merged-chr2-78860154-39
NR2851--MA1421.1.TCF7L1	chr14	48226347	48226358	-	0.000	0.000	Merged-chr14-48226336-60
NR9149--MA0523.1.TCF7L2	chr9	70310227	70310240	-	0.000	0.000	Merged-chr9-70310142-32
NR7449--MA0769.1.Tcf7	chr5	140502567	140502578	-	0.000	0.000	Merged-chr5-140502630-23
NR2143--MA0769.1.Tcf7	chr13	5806325	5806336	+	0.000	0.000	Merged-chr13-5806398-17
NR139--MA0769.1.Tcf7	chr1	43403604	43403615	-	0.000	0.000	Merged-chr1-43403565-20
NR5879--MA1421.1.TCF7L1	chr3	79536028	79536039	-	0.000	0.000	Merged-chr3-79535854-18
NR8960--MA0523.1.TCF7L2	chr8	126687068	126687081	+	0.000	0.000	Merged-chr8-126687126-29
NR9380--MA0523.1.TCF7L2	chrX	36609411	36609424	+	0.000	0.000	Merged-chrX-36609305-28
NR4118--MA1421.1.TCF7L1	chr17	64629129	64629140	-	0.000	0.000	Merged-chr17-64628994-21
NR1188--MA0769.1.Tcf7	chr10	85359573	85359584	-	0.000	0.000	Merged-chr10-85359625-39
NR4565--MA0769.1.Tcf7	chr18	82607534	82607545	+	0.000	0.000	Merged-chr18-82607647-23
NR6439--MA0523.1.TCF7L2	chr4	34429185	34429198	+	0.000	0.000	Merged-chr4-34429163-2
NR8495--MA0769.1.Tcf7	chr7	109951567	109951578	-	0.000	0.000	Merged-chr7-109951636-55
NR9157--MA0523.1.TCF7L2	chr9	72660352	72660365	-	0.000	0.000	Merged-chr9-72660303-37
NR3456--MA1421.1.TCF7L1	chr15	79729194	79729205	+	0.000	0.000	Merged-chr15-79729133-34
NR670--MA1421.1.TCF7L1	chr1	173432613	173432624	-	0.000	0.000	Merged-chr1-173432561-56
NR749--MA0769.1.Tcf7	chr1	191259381	191259392	+	0.000	0.000	Merged-chr1-191259374-46
NR9263--MA0769.1.Tcf7	chr9	94945765	94945776	+	0.000	0.000	Merged-chr9-94945890-45
NR3288--MA0769.1.Tcf7	chr15	36396451	36396462	-	0.000	0.000	Merged-chr15-36396472-80
NR1145--MA1421.1.TCF7L1	chr10	78115140	78115151	-	0.000	0.000	Merged-chr10-78115092-14
NR7849--MA0769.1.Tcf7	chr6	100581189	100581200	-	0.000	0.000	Merged-chr6-100581320-61
NR436--MA0523.1.TCF7L2	chr1	127322672	127322685	-	0.000	0.000	Merged-chr1-127322582-29
NR212--MA0769.1.Tcf7	chr1	66552809	66552820	-	0.000	0.000	Merged-chr1-66552771-47
NR5080--MA0523.1.TCF7L2	chr2	78860080	78860093	+	0.000	0.000	Merged-chr2-78860154-39
NR3908--MA1421.1.TCF7L1	chr16	95869617	95869628	+	0.000	0.000	Merged-chr16-95869616-44
NR8010--MA0523.1.TCF7L2	chr6	134550050	134550063	+	0.000	0.000	Merged-chr6-134550072-18
NR7330--MA0769.1.Tcf7	chr5	98018288	98018299	+	0.000	0.000	Merged-chr5-98018284-53
NR7657--MA0769.1.Tcf7	chr6	55016479	55016490	+	0.000	0.000	Merged-chr6-55016500-80
NR1385--MA1421.1.TCF7L1	chr10	120556375	120556386	-	0.000	0.000	Merged-chr10-120556279-62
NR9501--MA0523.1.TCF7L2	chrX	153375284	153375297	-	0.000	0.000	Merged-chrX-153375365-26
NR9333--MA0523.1.TCF7L2	chr9	122399008	122399021	-	0.000	0.000	Merged-chr9-122399009-31
NR4534--MA1421.1.TCF7L1	chr18	75374209	75374220	-	0.000	0.000	Merged-chr18-75374196-25
NR1591--MA1421.1.TCF7L1	chr11	63146787	63146798	-	0.000	0.000	Merged-chr11-63146790-18
NR7471--MA1421.1.TCF7L1	chr5	149392213	149392224	-	0.000	0.000	Merged-chr5-149392157-30
NR8962--MA1421.1.TCF7L1	chr8	126839489	126839500	-	0.000	0.000	Merged-chr8-126839529-33
NR5497--MA0523.1.TCF7L2	chr2	172977458	172977471	-	0.000	0.000	Merged-chr2-172977593-131
NR7193--MA0523.1.TCF7L2	chr5	64764617	64764630	+	0.000	0.000	Merged-chr5-64764597-23
NR5953--MA0523.1.TCF7L2	chr3	97274117	97274130	+	0.000	0.000	Merged-chr3-97274158-19
NR6541--MA0523.1.TCF7L2	chr4	62552172	62552185	-	0.000	0.000	Merged-chr4-62552113-23
NR9303--MA0523.1.TCF7L2	chr9	107334462	107334475	-	0.000	0.000	Merged-chr9-107334469-86
NR4761--MA1421.1.TCF7L1	chr2	8965213	8965224	-	0.000	0.000	Merged-chr2-8965212-53
NR564--MA0523.1.TCF7L2	chr1	151973285	151973298	-	0.000	0.000	Merged-chr1-151973357-25
NR8886--MA0523.1.TCF7L2	chr8	105825787	105825800	-	0.000	0.000	Merged-chr8-105825697-6
NR1112--MA0523.1.TCF7L2	chr10	68239250	68239263	-	0.000	0.000	Merged-chr10-68239369-73
NR8713--MA1421.1.TCF7L1	chr8	36028577	36028588	-	0.000	0.000	Merged-chr8-36028490-56
NR1867--MA0769.1.Tcf7	chr12	41167989	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR8486--MA0523.1.TCF7L2	chr7	107659352	107659365	-	0.000	0.000	Merged-chr7-107659322-39
NR2863--MA0769.1.Tcf7	chr14	54061809	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR6542--MA0769.1.Tcf7	chr4	62552174	62552185	-	0.000	0.000	Merged-chr4-62552113-23
NR8459--MA1421.1.TCF7L1	chr7	100699991	100700002	+	0.000	0.000	Merged-chr7-100699955-31
NR5164--MA1421.1.TCF7L1	chr2	102044477	102044488	+	0.000	0.000	Merged-chr2-102044515-18
NR2601--MA1421.1.TCF7L1	chr13	107867139	107867150	+	0.000	0.000	Merged-chr13-107866970-30
NR702--MA0523.1.TCF7L2	chr1	180410473	180410486	-	0.000	0.000	Merged-chr1-180410391-12
NR6162--MA0523.1.TCF7L2	chr3	142533252	142533265	-	0.000	0.000	Merged-chr3-142533345-44
NR313--MA0769.1.Tcf7	chr1	88475655	88475666	+	0.000	0.000	Merged-chr1-88475619-20
NR3404--MA1421.1.TCF7L1	chr15	65810845	65810856	-	0.000	0.000	Merged-chr15-65810890-18
NR993--MA0523.1.TCF7L2	chr10	42888502	42888515	-	0.000	0.000	Merged-chr10-42888420-50
NR3524--MA0769.1.Tcf7	chr15	96778434	96778445	+	0.000	0.000	Merged-chr15-96778537-47
NR9103--MA1421.1.TCF7L1	chr9	48538518	48538529	+	0.000	0.000	Merged-chr9-48538454-59
NR614--MA1421.1.TCF7L1	chr1	161480192	161480203	-	0.000	0.000	Merged-chr1-161480099-19
NR8502--MA1421.1.TCF7L1	chr7	113263111	113263122	+	0.000	0.000	Merged-chr7-113263148-32
NR7722--MA0523.1.TCF7L2	chr6	66493935	66493948	+	0.000	0.000	Merged-chr6-66493907-23
NR9082--MA0523.1.TCF7L2	chr9	45083363	45083376	-	0.000	0.000	Merged-chr9-45083304-24
NR5292--MA0769.1.Tcf7	chr2	132691812	132691823	+	0.000	0.000	Merged-chr2-132691913-20
NR747--MA1421.1.TCF7L1	chr1	191259381	191259392	+	0.000	0.000	Merged-chr1-191259374-46
NR8423--MA0769.1.Tcf7	chr7	92420469	92420480	-	0.000	0.000	Merged-chr7-92420666-38
NR4762--MA0769.1.Tcf7	chr2	8965234	8965245	+	0.000	0.000	Merged-chr2-8965212-53
NR596--MA0769.1.Tcf7	chr1	156752607	156752618	-	0.000	0.000	Merged-chr1-156752749-92
NR5121--MA1421.1.TCF7L1	chr2	84837928	84837939	+	0.000	0.000	Merged-chr2-84838147-43
NR4173--MA0523.1.TCF7L2	chr17	83546165	83546178	-	0.000	0.000	Merged-chr17-83546171-22
NR6311--MA1421.1.TCF7L1	chr4	6675100	6675111	-	0.000	0.000	Merged-chr4-6675237-24
NR2144--MA0769.1.Tcf7	chr13	5806400	5806411	+	0.000	0.000	Merged-chr13-5806398-17
NR8550--MA0523.1.TCF7L2	chr7	130448293	130448306	+	0.000	0.000	Merged-chr7-130448231-21
NR1695--MA0523.1.TCF7L2	chr11	113173992	113174005	+	0.000	0.000	Merged-chr11-113174221-33
NR1887--MA1421.1.TCF7L1	chr12	41844234	41844245	+	0.000	0.000	Merged-chr12-41844052-32
NR4868--MA1421.1.TCF7L1	chr2	30527749	30527760	+	0.000	0.000	Merged-chr2-30527787-16
NR3458--MA0769.1.Tcf7	chr15	79729194	79729205	+	0.000	0.000	Merged-chr15-79729133-34
NR6862--MA0769.1.Tcf7	chr4	148683801	148683812	-	0.000	0.000	Merged-chr4-148683681-71
NR1257--MA0523.1.TCF7L2	chr10	98745529	98745542	-	0.000	0.000	Merged-chr10-98745748-77
NR1655--MA1421.1.TCF7L1	chr11	90257287	90257298	-	0.000	0.000	Merged-chr11-90257307-51
NR2852--MA0769.1.Tcf7	chr14	48226347	48226358	-	0.000	0.000	Merged-chr14-48226336-60
NR5428--MA0769.1.Tcf7	chr2	158723968	158723979	-	0.000	0.000	Merged-chr2-158724013-3
NR1646--MA0769.1.Tcf7	chr11	85126919	85126930	+	0.000	0.000	Merged-chr11-85126862-44
NR1680--MA1421.1.TCF7L1	chr11	100824191	100824202	-	0.000	0.000	Merged-chr11-100824336-61
NR4564--MA0523.1.TCF7L2	chr18	82607534	82607547	+	0.000	0.000	Merged-chr18-82607647-23
NR304--MA1421.1.TCF7L1	chr1	87378240	87378251	-	0.000	0.000	Merged-chr1-87378193-21
NR1682--MA0769.1.Tcf7	chr11	100824191	100824202	-	0.000	0.000	Merged-chr11-100824336-61
NR213--MA0769.1.Tcf7	chr1	66552833	66552844	-	0.000	0.000	Merged-chr1-66552771-47
NR595--MA1421.1.TCF7L1	chr1	156752607	156752618	-	0.000	0.000	Merged-chr1-156752749-92
NR683--MA0769.1.Tcf7	chr1	175631972	175631983	+	0.000	0.000	Merged-chr1-175631822-65
NR5451--MA1421.1.TCF7L1	chr2	164534498	164534509	-	0.000	0.000	Merged-chr2-164534526-17
NR437--MA0769.1.Tcf7	chr1	127348987	127348998	-	0.000	0.000	Merged-chr1-127349004-28
NR5392--MA0523.1.TCF7L2	chr2	150578759	150578772	-	0.000	0.000	Merged-chr2-150578789-44
NR8769--MA0523.1.TCF7L2	chr8	57828446	57828459	+	0.000	0.000	Merged-chr8-57828491-18
NR8541--MA0523.1.TCF7L2	chr7	127189193	127189206	+	0.000	0.000	Merged-chr7-127189025-89
NR4066--MA0769.1.Tcf7	chr17	48318939	48318950	+	0.000	0.000	Merged-chr17-48318964-29
NR9502--MA0769.1.Tcf7	chrX	153375286	153375297	-	0.000	0.000	Merged-chrX-153375365-26
