#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR1994--MA1421.1.TCF7L1	chr14	49155777	49155788	+	0.000	0.000	Merged-chr14-49155726-21
NR3902--MA1421.1.TCF7L1	chr3	37174957	37174968	+	0.000	0.000	Merged-chr3-37174845-28
NR875--MA1421.1.TCF7L1	chr11	6705036	6705047	+	0.000	0.000	Merged-chr11-6705219-50
NR3309--MA1421.1.TCF7L1	chr19	55792731	55792742	-	0.000	0.000	Merged-chr19-55792789-50
NR2230--MA1421.1.TCF7L1	chr14	122908311	122908322	-	0.000	0.000	Merged-chr14-122908322-32
NR1282--MA0523.1.TCF7L2	chr12	41167987	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR5563--MA1421.1.TCF7L1	chr7	75910519	75910530	-	0.000	0.000	Merged-chr7-75910458-70
NR3387--MA0769.1.Tcf7	chr2	17698431	17698442	+	0.000	0.000	Merged-chr2-17698391-27
NR3624--MA0523.1.TCF7L2	chr2	117352885	117352898	-	0.000	0.000	Merged-chr2-117352784-31
NR4865--MA0523.1.TCF7L2	chr5	103459411	103459424	+	0.000	0.000	Merged-chr5-103459309-20
NR2745--MA0769.1.Tcf7	chr17	5748002	5748013	-	0.000	0.000	Merged-chr17-5748141-46
NR765--MA0523.1.TCF7L2	chr10	111578772	111578785	+	0.000	0.000	Merged-chr10-111578564-64
NR4383--MA0769.1.Tcf7	chr4	88079061	88079072	-	0.000	0.000	Merged-chr4-88079193-33
NR3662--MA0523.1.TCF7L2	chr2	128372514	128372527	+	0.000	0.000	Merged-chr2-128372488-21
NR1497--MA0523.1.TCF7L2	chr12	112855154	112855167	-	0.000	0.000	Merged-chr12-112855098-63
NR1313--MA0523.1.TCF7L2	chr12	59170102	59170115	-	0.000	0.000	Merged-chr12-59170039-43
NR1333--MA0769.1.Tcf7	chr12	73888160	73888171	+	0.000	0.000	Merged-chr12-73888255-48
NR34--MA1421.1.TCF7L1	chr1	38723949	38723960	-	0.000	0.000	Merged-chr1-38723833-22
NR3750--MA0769.1.Tcf7	chr2	150578761	150578772	-	0.000	0.000	Merged-chr2-150578789-44
NR327--MA0523.1.TCF7L2	chr1	160006268	160006281	-	0.000	0.000	Merged-chr1-160006258-20
NR777--MA0769.1.Tcf7	chr10	117056130	117056141	+	0.000	0.000	Merged-chr10-117056166-30
NR1324--MA1421.1.TCF7L1	chr12	73670882	73670893	+	0.000	0.000	Merged-chr12-73670833-29
NR3826--MA0523.1.TCF7L2	chr2	172977458	172977471	-	0.000	0.000	Merged-chr2-172977593-131
NR3625--MA0769.1.Tcf7	chr2	117352887	117352898	-	0.000	0.000	Merged-chr2-117352784-31
NR101--MA0769.1.Tcf7	chr1	66552809	66552820	-	0.000	0.000	Merged-chr1-66552771-47
NR1002--MA0769.1.Tcf7	chr11	72180691	72180702	+	0.000	0.000	Merged-chr11-72180636-22
NR3454--MA1421.1.TCF7L1	chr2	44528730	44528741	-	0.000	0.000	Merged-chr2-44528768-19
NR4739--MA1421.1.TCF7L1	chr5	64455648	64455659	-	0.000	0.000	Merged-chr5-64455679-15
NR2450--MA0769.1.Tcf7	chr15	94255223	94255234	-	0.000	0.000	Merged-chr15-94255177-46
NR1084--MA0523.1.TCF7L2	chr11	97905701	97905714	-	0.000	0.000	Merged-chr11-97905718-19
NR1854--MA0523.1.TCF7L2	chr13	112133937	112133950	+	0.000	0.000	Merged-chr13-112133906-22
NR5967--MA1421.1.TCF7L1	chr8	92333609	92333620	-	0.000	0.000	Merged-chr8-92333668-18
NR218--MA0769.1.Tcf7	chr1	128794065	128794076	+	0.000	0.000	Merged-chr1-128794102-26
NR2743--MA0523.1.TCF7L2	chr17	5748000	5748013	-	0.000	0.000	Merged-chr17-5748141-46
NR142--MA0769.1.Tcf7	chr1	84742384	84742395	+	0.000	0.000	Merged-chr1-84742431-28
NR4052--MA0523.1.TCF7L2	chr3	108124338	108124351	+	0.000	0.000	Merged-chr3-108124378-33
NR5689--MA0523.1.TCF7L2	chr7	113263285	113263298	-	0.000	0.000	Merged-chr7-113263148-32
NR3563--MA0769.1.Tcf7	chr2	84582506	84582517	-	0.000	0.000	Merged-chr2-84582461-28
NR4229--MA0523.1.TCF7L2	chr3	148465567	148465580	+	0.000	0.000	Merged-chr3-148465597-36
NR3120--MA0769.1.Tcf7	chr18	75374209	75374220	-	0.000	0.000	Merged-chr18-75374196-25
NR1285--MA0769.1.Tcf7	chr12	41168055	41168066	+	0.000	0.000	Merged-chr12-41167989-46
NR4063--MA1421.1.TCF7L1	chr3	109421018	109421029	+	0.000	0.000	Merged-chr3-109421125-43
NR1728--MA1421.1.TCF7L1	chr13	84769229	84769240	-	0.000	0.000	Merged-chr13-84769190-19
NR3159--MA0523.1.TCF7L2	chr18	82607534	82607547	+	0.000	0.000	Merged-chr18-82607647-23
NR3424--MA1421.1.TCF7L1	chr2	30527749	30527760	+	0.000	0.000	Merged-chr2-30527787-16
NR5348--MA1421.1.TCF7L1	chr6	134184216	134184227	-	0.000	0.000	Merged-chr6-134184108-53
NR4048--MA0523.1.TCF7L2	chr3	108124307	108124320	-	0.000	0.000	Merged-chr3-108124378-33
NR4649--MA0769.1.Tcf7	chr5	8397618	8397629	-	0.000	0.000	Merged-chr5-8397712-7
NR4050--MA1421.1.TCF7L1	chr3	108124338	108124349	+	0.000	0.000	Merged-chr3-108124378-33
NR1169--MA0769.1.Tcf7	chr11	113508493	113508504	-	0.000	0.000	Merged-chr11-113508478-30
NR5882--MA0769.1.Tcf7	chr8	56443932	56443943	-	0.000	0.000	Merged-chr8-56443904-53
NR4734--MA1421.1.TCF7L1	chr5	63943505	63943516	+	0.000	0.000	Merged-chr5-63943362-36
NR141--MA0523.1.TCF7L2	chr1	84742384	84742397	+	0.000	0.000	Merged-chr1-84742431-28
NR6357--MA1421.1.TCF7L1	chr9	92217746	92217757	-	0.000	0.000	Merged-chr9-92217904-40
NR3246--MA0769.1.Tcf7	chr19	32455064	32455075	+	0.000	0.000	Merged-chr19-32455050-22
NR4867--MA1421.1.TCF7L1	chr5	103917177	103917188	+	0.000	0.000	Merged-chr5-103917325-19
NR6298--MA0523.1.TCF7L2	chr9	79756211	79756224	+	0.000	0.000	Merged-chr9-79756214-5
NR1993--MA0769.1.Tcf7	chr14	49089838	49089849	-	0.000	0.000	Merged-chr14-49089916-20
NR4830--MA0523.1.TCF7L2	chr5	96990816	96990829	+	0.000	0.000	Merged-chr5-96990741-12
NR730--MA0523.1.TCF7L2	chr10	96691169	96691182	-	0.000	0.000	Merged-chr10-96691005-66
NR4429--MA1421.1.TCF7L1	chr4	108081167	108081178	+	0.000	0.000	Merged-chr4-108081239-19
NR4033--MA1421.1.TCF7L1	chr3	104796774	104796785	-	0.000	0.000	Merged-chr3-104796663-34
NR1099--MA1421.1.TCF7L1	chr11	100824191	100824202	-	0.000	0.000	Merged-chr11-100824336-61
NR3769--MA0523.1.TCF7L2	chr2	157746753	157746766	+	0.000	0.000	Merged-chr2-157746803-36
NR533--MA0769.1.Tcf7	chr10	30570577	30570588	+	0.000	0.000	Merged-chr10-30570499-22
NR4144--MA0769.1.Tcf7	chr3	136725840	136725851	-	0.000	0.000	Merged-chr3-136725981-1
NR5592--MA0769.1.Tcf7	chr7	88459894	88459905	-	0.000	0.000	Merged-chr7-88459917-15
NR2309--MA0523.1.TCF7L2	chr15	58145494	58145507	-	0.000	0.000	Merged-chr15-58145479-45
NR766--MA0769.1.Tcf7	chr10	111578772	111578783	+	0.000	0.000	Merged-chr10-111578564-64
NR4864--MA0523.1.TCF7L2	chr5	103459390	103459403	+	0.000	0.000	Merged-chr5-103459309-20
NR2471--MA0523.1.TCF7L2	chr15	99065758	99065771	-	0.000	0.000	Merged-chr15-99065640-20
NR4489--MA0769.1.Tcf7	chr4	129565410	129565421	+	0.000	0.000	Merged-chr4-129565342-28
NR507--MA0523.1.TCF7L2	chr10	19321923	19321936	+	0.000	0.000	Merged-chr10-19321944-43
NR339--MA0523.1.TCF7L2	chr1	161436694	161436707	-	0.000	0.000	Merged-chr1-161436721-21
NR2311--MA1421.1.TCF7L1	chr15	58750194	58750205	-	0.000	0.000	Merged-chr15-58750240-28
NR4028--MA0769.1.Tcf7	chr3	101276753	101276764	+	0.000	0.000	Merged-chr3-101276809-13
NR2084--MA0523.1.TCF7L2	chr14	70271484	70271497	-	0.000	0.000	Merged-chr14-70271520-14
NR1277--MA0523.1.TCF7L2	chr12	40536138	40536151	+	0.000	0.000	Merged-chr12-40536190-67
NR2951--MA1421.1.TCF7L1	chr17	83546211	83546222	-	0.000	0.000	Merged-chr17-83546171-22
NR4382--MA0523.1.TCF7L2	chr4	88079059	88079072	-	0.000	0.000	Merged-chr4-88079193-33
NR775--MA1421.1.TCF7L1	chr10	117056130	117056141	+	0.000	0.000	Merged-chr10-117056166-30
NR4618--MA1421.1.TCF7L1	chr4	150517644	150517655	-	0.000	0.000	Merged-chr4-150517532-35
NR2033--MA0523.1.TCF7L2	chr14	56576705	56576718	+	0.000	0.000	Merged-chr14-56576676-41
NR532--MA0523.1.TCF7L2	chr10	30570577	30570590	+	0.000	0.000	Merged-chr10-30570499-22
NR5616--MA0523.1.TCF7L2	chr7	97042366	97042379	-	0.000	0.000	Merged-chr7-97042218-26
NR5220--MA0523.1.TCF7L2	chr6	94534988	94535001	-	0.000	0.000	Merged-chr6-94534982-12
NR328--MA0769.1.Tcf7	chr1	160006270	160006281	-	0.000	0.000	Merged-chr1-160006258-20
NR3422--MA0769.1.Tcf7	chr2	29666799	29666810	-	0.000	0.000	Merged-chr2-29666836-9
NR2923--MA0523.1.TCF7L2	chr17	72822229	72822242	+	0.000	0.000	Merged-chr17-72822157-16
NR131--MA0769.1.Tcf7	chr1	80416616	80416627	-	0.000	0.000	Merged-chr1-80416536-28
NR1647--MA0523.1.TCF7L2	chr13	43436074	43436087	-	0.000	0.000	Merged-chr13-43436258-16
NR543--MA1421.1.TCF7L1	chr10	39991286	39991297	-	0.000	0.000	Merged-chr10-39991173-41
NR6468--MA0769.1.Tcf7	chr9	120082887	120082898	+	0.000	0.000	Merged-chr9-120082843-44
NR5459--MA1421.1.TCF7L1	chr7	19837027	19837038	-	0.000	0.000	Merged-chr7-19837080-20
NR1481--MA1421.1.TCF7L1	chr12	110759071	110759082	-	0.000	0.000	Merged-chr12-110759192-38
NR4409--MA0523.1.TCF7L2	chr4	101217141	101217154	+	0.000	0.000	Merged-chr4-101217167-64
NR1590--MA0523.1.TCF7L2	chr13	13582128	13582141	+	0.000	0.000	Merged-chr13-13582107-29
NR530--MA1421.1.TCF7L1	chr10	30537537	30537548	-	0.000	0.000	Merged-chr10-30537547-6
NR3548--MA0769.1.Tcf7	chr2	80462095	80462106	+	0.000	0.000	Merged-chr2-80462138-40
NR5460--MA0523.1.TCF7L2	chr7	19837025	19837038	-	0.000	0.000	Merged-chr7-19837080-20
NR3669--MA0769.1.Tcf7	chr2	129285386	129285397	-	0.000	0.000	Merged-chr2-129285453-11
NR4184--MA0523.1.TCF7L2	chr3	142533252	142533265	-	0.000	0.000	Merged-chr3-142533345-44
NR181--MA1421.1.TCF7L1	chr1	105565176	105565187	-	0.000	0.000	Merged-chr1-105565114-33
NR4441--MA0769.1.Tcf7	chr4	116735218	116735229	-	0.000	0.000	Merged-chr4-116735189-24
NR3584--MA0769.1.Tcf7	chr2	93417130	93417141	-	0.000	0.000	Merged-chr2-93416936-19
NR3011--MA0769.1.Tcf7	chr18	32543345	32543356	-	0.000	0.000	Merged-chr18-32543284-47
NR4768--MA0769.1.Tcf7	chr5	72731691	72731702	+	0.000	0.000	Merged-chr5-72731571-20
NR4567--MA0523.1.TCF7L2	chr4	145319594	145319607	+	0.000	0.000	Merged-chr4-145319470-38
NR1668--MA0523.1.TCF7L2	chr13	51951834	51951847	-	0.000	0.000	Merged-chr13-51951802-36
NR2315--MA1421.1.TCF7L1	chr15	59399302	59399313	-	0.000	0.000	Merged-chr15-59399326-17
NR1870--MA0769.1.Tcf7	chr13	112970440	112970451	+	0.000	0.000	Merged-chr13-112970510-24
NR3911--MA0769.1.Tcf7	chr3	38280379	38280390	-	0.000	0.000	Merged-chr3-38280395-39
NR3556--MA1421.1.TCF7L1	chr2	83994160	83994171	-	0.000	0.000	Merged-chr2-83994192-63
NR6141--MA1421.1.TCF7L1	chr9	14248415	14248426	-	0.000	0.000	Merged-chr9-14248366-20
NR2396--MA0769.1.Tcf7	chr15	80602680	80602691	-	0.000	0.000	Merged-chr15-80602759-36
NR4554--MA0523.1.TCF7L2	chr4	141296091	141296104	+	0.000	0.000	Merged-chr4-141296105-4
NR286--MA0523.1.TCF7L2	chr1	152053401	152053414	+	0.000	0.000	Merged-chr1-152053412-31
NR2692--MA1421.1.TCF7L1	chr16	91555427	91555438	+	0.000	0.000	Merged-chr16-91555577-12
NR704--MA0523.1.TCF7L2	chr10	93188681	93188694	-	0.000	0.000	Merged-chr10-93188465-33
NR3118--MA1421.1.TCF7L1	chr18	75374209	75374220	-	0.000	0.000	Merged-chr18-75374196-25
NR871--MA0769.1.Tcf7	chr11	5411820	5411831	-	0.000	0.000	Merged-chr11-5411816-25
NR5451--MA0769.1.Tcf7	chr7	16196946	16196957	+	0.000	0.000	Merged-chr7-16196917-6
NR2349--MA1421.1.TCF7L1	chr15	67196442	67196453	+	0.000	0.000	Merged-chr15-67196543-23
NR3940--MA0523.1.TCF7L2	chr3	65793914	65793927	-	0.000	0.000	Merged-chr3-65793747-53
NR5005--MA0523.1.TCF7L2	chr5	148709220	148709233	+	0.000	0.000	Merged-chr5-148709171-35
NR1996--MA0769.1.Tcf7	chr14	49155777	49155788	+	0.000	0.000	Merged-chr14-49155726-21
NR3515--MA0523.1.TCF7L2	chr2	70845160	70845173	-	0.000	0.000	Merged-chr2-70845075-67
NR585--MA1421.1.TCF7L1	chr10	61233358	61233369	+	0.000	0.000	Merged-chr10-61233317-40
NR284--MA1421.1.TCF7L1	chr1	151973287	151973298	-	0.000	0.000	Merged-chr1-151973357-25
NR2746--MA0769.1.Tcf7	chr17	5748010	5748021	-	0.000	0.000	Merged-chr17-5748141-46
NR1101--MA0769.1.Tcf7	chr11	100824191	100824202	-	0.000	0.000	Merged-chr11-100824336-61
NR5222--MA1421.1.TCF7L1	chr6	94681555	94681566	+	0.000	0.000	Merged-chr6-94681460-83
NR3467--MA0523.1.TCF7L2	chr2	48328422	48328435	-	0.000	0.000	Merged-chr2-48328415-44
NR4035--MA0769.1.Tcf7	chr3	104796774	104796785	-	0.000	0.000	Merged-chr3-104796663-34
NR315--MA1421.1.TCF7L1	chr1	156710951	156710962	-	0.000	0.000	Merged-chr1-156710970-33
NR545--MA0769.1.Tcf7	chr10	41620211	41620222	+	0.000	0.000	Merged-chr10-41620205-22
NR5092--MA1421.1.TCF7L1	chr6	41113489	41113500	+	0.000	0.000	Merged-chr6-41113305-59
NR5597--MA0523.1.TCF7L2	chr7	89712886	89712899	+	0.000	0.000	Merged-chr7-89712844-48
NR4053--MA0769.1.Tcf7	chr3	108124338	108124349	+	0.000	0.000	Merged-chr3-108124378-33
NR6309--MA0769.1.Tcf7	chr9	80754678	80754689	-	0.000	0.000	Merged-chr9-80754738-24
NR2104--MA1421.1.TCF7L1	chr14	73609220	73609231	+	0.000	0.000	Merged-chr14-73609040-26
NR3909--MA1421.1.TCF7L1	chr3	38280379	38280390	-	0.000	0.000	Merged-chr3-38280395-39
NR317--MA0769.1.Tcf7	chr1	156710951	156710962	-	0.000	0.000	Merged-chr1-156710970-33
NR3881--MA0769.1.Tcf7	chr2	181483763	181483774	-	0.000	0.000	Merged-chr2-181483913-67
NR4836--MA1421.1.TCF7L1	chr5	98018288	98018299	+	0.000	0.000	Merged-chr5-98018284-53
NR6267--MA0523.1.TCF7L2	chr9	72660363	72660376	-	0.000	0.000	Merged-chr9-72660303-37
NR2451--MA0769.1.Tcf7	chr15	94259920	94259931	-	0.000	0.000	Merged-chr15-94259724-7
NR4971--MA0769.1.Tcf7	chr5	140502567	140502578	-	0.000	0.000	Merged-chr5-140502630-23
NR4969--MA1421.1.TCF7L1	chr5	140502567	140502578	-	0.000	0.000	Merged-chr5-140502630-23
NR3910--MA0523.1.TCF7L2	chr3	38280377	38280390	-	0.000	0.000	Merged-chr3-38280395-39
NR1348--MA0769.1.Tcf7	chr12	76950384	76950395	+	0.000	0.000	Merged-chr12-76950525-26
NR5394--MA0769.1.Tcf7	chr6	144333302	144333313	+	0.000	0.000	Merged-chr6-144333219-22
NR2317--MA0769.1.Tcf7	chr15	59399302	59399313	-	0.000	0.000	Merged-chr15-59399326-17
NR5409--MA0523.1.TCF7L2	chr6	146080876	146080889	+	0.000	0.000	Merged-chr6-146081045-99
NR3509--MA1421.1.TCF7L1	chr2	68882159	68882170	-	0.000	0.000	Merged-chr2-68882205-16
NR3547--MA1421.1.TCF7L1	chr2	80462095	80462106	+	0.000	0.000	Merged-chr2-80462138-40
NR55--MA0523.1.TCF7L2	chr1	43207295	43207308	+	0.000	0.000	Merged-chr1-43207362-30
NR6528--MA1421.1.TCF7L1	chrX	57185001	57185012	+	0.000	0.000	Merged-chrX-57185087-24
NR4970--MA0523.1.TCF7L2	chr5	140502565	140502578	-	0.000	0.000	Merged-chr5-140502630-23
NR336--MA1421.1.TCF7L1	chr1	161436587	161436598	-	0.000	0.000	Merged-chr1-161436721-21
NR870--MA0523.1.TCF7L2	chr11	5411818	5411831	-	0.000	0.000	Merged-chr11-5411816-25
NR1307--MA0523.1.TCF7L2	chr12	55357449	55357462	-	0.000	0.000	Merged-chr12-55357452-12
NR4713--MA0523.1.TCF7L2	chr5	45790460	45790473	-	0.000	0.000	Merged-chr5-45790409-20
NR6265--MA1421.1.TCF7L1	chr9	72660365	72660376	-	0.000	0.000	Merged-chr9-72660303-37
NR1177--MA0523.1.TCF7L2	chr11	115589121	115589134	+	0.000	0.000	Merged-chr11-115589146-15
NR1274--MA1421.1.TCF7L1	chr12	39649118	39649129	-	0.000	0.000	Merged-chr12-39649191-14
NR4748--MA0769.1.Tcf7	chr5	64766125	64766136	+	0.000	0.000	Merged-chr5-64765991-19
NR3643--MA0523.1.TCF7L2	chr2	120502274	120502287	+	0.000	0.000	Merged-chr2-120502347-30
NR4645--MA0769.1.Tcf7	chr5	8075556	8075567	-	0.000	0.000	Merged-chr5-8075370-38
NR5623--MA0769.1.Tcf7	chr7	98797478	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR1332--MA0523.1.TCF7L2	chr12	73888160	73888173	+	0.000	0.000	Merged-chr12-73888255-48
NR4305--MA0769.1.Tcf7	chr4	41241025	41241036	+	0.000	0.000	Merged-chr4-41241074-39
NR2449--MA0523.1.TCF7L2	chr15	94255221	94255234	-	0.000	0.000	Merged-chr15-94255177-46
NR5879--MA1421.1.TCF7L1	chr8	56443932	56443943	-	0.000	0.000	Merged-chr8-56443904-53
NR5554--MA0523.1.TCF7L2	chr7	75384766	75384779	-	0.000	0.000	Merged-chr7-75384885-29
NR4747--MA0523.1.TCF7L2	chr5	64766125	64766138	+	0.000	0.000	Merged-chr5-64765991-19
NR3075--MA0523.1.TCF7L2	chr18	60630814	60630827	+	0.000	0.000	Merged-chr18-60630804-17
NR5866--MA1421.1.TCF7L1	chr8	36028577	36028588	-	0.000	0.000	Merged-chr8-36028490-56
NR3117--MA0769.1.Tcf7	chr18	75374134	75374145	+	0.000	0.000	Merged-chr18-75374196-25
NR1100--MA0523.1.TCF7L2	chr11	100824189	100824202	-	0.000	0.000	Merged-chr11-100824336-61
NR287--MA0769.1.Tcf7	chr1	152053401	152053412	+	0.000	0.000	Merged-chr1-152053412-31
NR1855--MA0769.1.Tcf7	chr13	112133937	112133948	+	0.000	0.000	Merged-chr13-112133906-22
NR2409--MA1421.1.TCF7L1	chr15	84168879	84168890	-	0.000	0.000	Merged-chr15-84168860-11
NR6395--MA0523.1.TCF7L2	chr9	103337111	103337124	+	0.000	0.000	Merged-chr9-103337204-21
NR2051--MA1421.1.TCF7L1	chr14	62928379	62928390	-	0.000	0.000	Merged-chr14-62928345-50
NR847--MA0769.1.Tcf7	chr10	128940664	128940675	-	0.000	0.000	Merged-chr10-128940717-41
NR3941--MA0769.1.Tcf7	chr3	65793916	65793927	-	0.000	0.000	Merged-chr3-65793747-53
NR5785--MA0769.1.Tcf7	chr7	130816459	130816470	-	0.000	0.000	Merged-chr7-130816442-11
NR5590--MA1421.1.TCF7L1	chr7	88459894	88459905	-	0.000	0.000	Merged-chr7-88459917-15
NR3386--MA0769.1.Tcf7	chr2	17597779	17597790	+	0.000	0.000	Merged-chr2-17597899-18
NR959--MA0769.1.Tcf7	chr11	54188050	54188061	+	0.000	0.000	Merged-chr11-54188081-11
NR2410--MA0523.1.TCF7L2	chr15	84168877	84168890	-	0.000	0.000	Merged-chr15-84168860-11
NR4892--MA0523.1.TCF7L2	chr5	107840714	107840727	+	0.000	0.000	Merged-chr5-107840807-27
NR977--MA0769.1.Tcf7	chr11	63146802	63146813	-	0.000	0.000	Merged-chr11-63146790-18
NR5621--MA1421.1.TCF7L1	chr7	98797478	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR4923--MA0523.1.TCF7L2	chr5	122288603	122288616	+	0.000	0.000	Merged-chr5-122288620-47
NR2771--MA0769.1.Tcf7	chr17	17792227	17792238	-	0.000	0.000	Merged-chr17-17792149-13
NR5093--MA0523.1.TCF7L2	chr6	41113489	41113502	+	0.000	0.000	Merged-chr6-41113305-59
NR2362--MA0523.1.TCF7L2	chr15	73268381	73268394	-	0.000	0.000	Merged-chr15-73268336-36
NR2310--MA0769.1.Tcf7	chr15	58145496	58145507	-	0.000	0.000	Merged-chr15-58145479-45
NR5199--MA1421.1.TCF7L1	chr6	88782959	88782970	-	0.000	0.000	Merged-chr6-88783083-54
NR2539--MA0523.1.TCF7L2	chr16	33499241	33499254	-	0.000	0.000	Merged-chr16-33499243-20
NR6159--MA0523.1.TCF7L2	chr9	35498053	35498066	+	0.000	0.000	Merged-chr9-35498014-17
NR4387--MA0769.1.Tcf7	chr4	89169078	89169089	-	0.000	0.000	Merged-chr4-89169046-30
NR1991--MA1421.1.TCF7L1	chr14	49089838	49089849	-	0.000	0.000	Merged-chr14-49089916-20
NR341--MA0523.1.TCF7L2	chr1	161671054	161671067	-	0.000	0.000	Merged-chr1-161671075-50
NR819--MA0523.1.TCF7L2	chr10	121580561	121580574	+	0.000	0.000	Merged-chr10-121580464-25
NR5598--MA0769.1.Tcf7	chr7	89712886	89712897	+	0.000	0.000	Merged-chr7-89712844-48
NR4714--MA0769.1.Tcf7	chr5	45790462	45790473	-	0.000	0.000	Merged-chr5-45790409-20
NR5764--MA0523.1.TCF7L2	chr7	125511553	125511566	+	0.000	0.000	Merged-chr7-125511628-40
NR3651--MA0769.1.Tcf7	chr2	125422355	125422366	+	0.000	0.000	Merged-chr2-125422559-12
NR1323--MA0523.1.TCF7L2	chr12	73670853	73670866	+	0.000	0.000	Merged-chr12-73670833-29
NR1155--MA0523.1.TCF7L2	chr11	111056295	111056308	+	0.000	0.000	Merged-chr11-111056370-11
NR4620--MA0769.1.Tcf7	chr4	150517644	150517655	-	0.000	0.000	Merged-chr4-150517532-35
NR5392--MA1421.1.TCF7L1	chr6	144333302	144333313	+	0.000	0.000	Merged-chr6-144333219-22
NR4488--MA0523.1.TCF7L2	chr4	129565410	129565423	+	0.000	0.000	Merged-chr4-129565342-28
NR4065--MA0769.1.Tcf7	chr3	109421018	109421029	+	0.000	0.000	Merged-chr3-109421125-43
NR79--MA0769.1.Tcf7	chr1	60158510	60158521	-	0.000	0.000	Merged-chr1-60158664-37
NR4304--MA0523.1.TCF7L2	chr4	41241025	41241038	+	0.000	0.000	Merged-chr4-41241074-39
NR2333--MA0769.1.Tcf7	chr15	62374854	62374865	+	0.000	0.000	Merged-chr15-62374783-6
NR575--MA0769.1.Tcf7	chr10	58354866	58354877	-	0.000	0.000	Merged-chr10-58354769-20
NR2770--MA0523.1.TCF7L2	chr17	17792225	17792238	-	0.000	0.000	Merged-chr17-17792149-13
NR6124--MA0769.1.Tcf7	chr9	7576736	7576747	+	0.000	0.000	Merged-chr9-7576753-19
NR97--MA0769.1.Tcf7	chr1	64486515	64486526	-	0.000	0.000	Merged-chr1-64486540-36
NR2351--MA0769.1.Tcf7	chr15	67196442	67196453	+	0.000	0.000	Merged-chr15-67196543-23
NR4607--MA0769.1.Tcf7	chr4	148683801	148683812	-	0.000	0.000	Merged-chr4-148683681-71
NR337--MA0523.1.TCF7L2	chr1	161436585	161436598	-	0.000	0.000	Merged-chr1-161436721-21
NR1485--MA0769.1.Tcf7	chr12	110939502	110939513	-	0.000	0.000	Merged-chr12-110939619-21
NR1166--MA1421.1.TCF7L1	chr11	113174338	113174349	-	0.000	0.000	Merged-chr11-113174221-33
NR338--MA0769.1.Tcf7	chr1	161436587	161436598	-	0.000	0.000	Merged-chr1-161436721-21
NR3836--MA0523.1.TCF7L2	chr2	173452363	173452376	+	0.000	0.000	Merged-chr2-173452276-60
NR3668--MA0523.1.TCF7L2	chr2	129285384	129285397	-	0.000	0.000	Merged-chr2-129285453-11
NR4410--MA0769.1.Tcf7	chr4	101217141	101217152	+	0.000	0.000	Merged-chr4-101217167-64
NR2985--MA0523.1.TCF7L2	chr18	6106798	6106811	+	0.000	0.000	Merged-chr18-6106813-28
NR2332--MA0523.1.TCF7L2	chr15	62374854	62374867	+	0.000	0.000	Merged-chr15-62374783-6
NR6160--MA0769.1.Tcf7	chr9	35498053	35498064	+	0.000	0.000	Merged-chr9-35498014-17
NR324--MA0523.1.TCF7L2	chr1	159938619	159938632	+	0.000	0.000	Merged-chr1-159938641-24
NR5169--MA1421.1.TCF7L1	chr6	71638554	71638565	-	0.000	0.000	Merged-chr6-71638648-13
NR1275--MA0769.1.Tcf7	chr12	39649118	39649129	-	0.000	0.000	Merged-chr12-39649191-14
NR1094--MA0523.1.TCF7L2	chr11	99116123	99116136	-	0.000	0.000	Merged-chr11-99116157-23
NR3560--MA0523.1.TCF7L2	chr2	84582511	84582524	+	0.000	0.000	Merged-chr2-84582461-28
NR3628--MA1421.1.TCF7L1	chr2	117418888	117418899	-	0.000	0.000	Merged-chr2-117418760-26
NR4677--MA0523.1.TCF7L2	chr5	22587657	22587670	-	0.000	0.000	Merged-chr5-22587622-39
NR5760--MA0769.1.Tcf7	chr7	125186632	125186643	+	0.000	0.000	Merged-chr7-125186656-23
NR2534--MA0523.1.TCF7L2	chr16	30769353	30769366	+	0.000	0.000	Merged-chr16-30769529-58
NR5867--MA0523.1.TCF7L2	chr8	36028575	36028588	-	0.000	0.000	Merged-chr8-36028490-56
NR130--MA0523.1.TCF7L2	chr1	80416614	80416627	-	0.000	0.000	Merged-chr1-80416536-28
NR2968--MA0523.1.TCF7L2	chr17	88480580	88480593	-	0.000	0.000	Merged-chr17-88480530-23
NR3447--MA1421.1.TCF7L1	chr2	38548329	38548340	+	0.000	0.000	Merged-chr2-38548313-22
NR182--MA0769.1.Tcf7	chr1	105565176	105565187	-	0.000	0.000	Merged-chr1-105565114-33
NR889--MA1421.1.TCF7L1	chr11	16952417	16952428	+	0.000	0.000	Merged-chr11-16952284-5
NR4504--MA1421.1.TCF7L1	chr4	131901421	131901432	-	0.000	0.000	Merged-chr4-131901332-16
