#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed
NR55474--MA0741.1.KLF16	chr6	53038244	53038254	+	0.000	0.000	Merged-chr6-53038389-13
NR45267--MA0741.1.KLF16	chr4	45766161	45766171	-	0.000	0.000	Merged-chr4-45766216-17
NR12597--MA0493.1.Klf1	chr11	109785473	109785483	-	0.000	0.000	Merged-chr11-109785498-8
NR38371--MA0741.1.KLF16	chr2	132292170	132292180	+	0.000	0.000	Merged-chr2-132292299-25
NR42917--MA0599.1.KLF5	chr3	121426492	121426501	-	0.000	0.000	Merged-chr3-121426726-98
NR39167--MA1107.1.KLF9	chr2	157119291	157119303	-	0.000	0.000	Merged-chr2-157119108-55
NR72032--MA0599.1.KLF5	chrX	56374516	56374525	-	0.000	0.000	Merged-chrX-56374648-33
NR10640--MA0039.3.KLF4	chr11	67017984	67017994	-	0.000	0.000	Merged-chr11-67017936-9
NR4904--MA0599.1.KLF5	chr1	192693273	192693282	-	0.000	0.000	Merged-chr1-192693207-29
NR50659--MA1107.1.KLF9	chr5	64764440	64764452	+	0.000	0.000	Merged-chr5-64764597-23
NR61354--MA0741.1.KLF16	chr7	84417849	84417859	-	0.000	0.000	Merged-chr7-84417695-8
NR40092--MA0493.1.Klf1	chr2	174556036	174556046	-	0.000	0.000	Merged-chr2-174555978-36
NR40974--MA0493.1.Klf1	chr3	51701526	51701536	+	0.000	0.000	Merged-chr3-51701450-64
NR26198--MA0039.3.KLF4	chr16	48745620	48745630	+	0.000	0.000	Merged-chr16-48745701-29
NR62597--MA0742.1.Klf12	chr7	121734407	121734421	-	0.000	0.000	Merged-chr7-121734454-58
NR26254--MA0742.1.Klf12	chr16	51718888	51718902	+	0.000	0.000	Merged-chr16-51718909-24
NR15414--MA1107.1.KLF9	chr12	105537658	105537670	+	0.000	0.000	Merged-chr12-105537597-12
NR62183--MA0742.1.Klf12	chr7	114088138	114088152	+	0.000	0.000	Merged-chr7-114088152-53
NR68719--MA1107.1.KLF9	chr9	51162028	51162040	-	0.000	0.000	Merged-chr9-51161990-29
NR6420--MA1107.1.KLF9	chr10	67891358	67891370	+	0.000	0.000	Merged-chr10-67891340-18
NR5725--MA0741.1.KLF16	chr10	40674378	40674388	-	0.000	0.000	Merged-chr10-40674400-11
NR45837--MA0493.1.Klf1	chr4	62731465	62731475	+	0.000	0.000	Merged-chr4-62731520-17
NR18021--MA1107.1.KLF9	chr13	95063708	95063720	-	0.000	0.000	Merged-chr13-95063599-48
NR65617--MA0741.1.KLF16	chr8	76902220	76902230	+	0.000	0.000	Merged-chr8-76902143-41
NR522--MA1107.1.KLF9	chr1	39702679	39702691	-	0.000	0.000	Merged-chr1-39702774-23
NR35176--MA0599.1.KLF5	chr2	23006379	23006388	+	0.000	0.000	Merged-chr2-23006422-36
NR32610--MA0742.1.Klf12	chr18	82532266	82532280	-	0.000	0.000	Merged-chr18-82532131-16
NR66912--MA0599.1.KLF5	chr8	117299356	117299365	-	0.000	0.000	Merged-chr8-117299202-13
NR12722--MA1107.1.KLF9	chr11	113612167	113612179	+	0.000	0.000	Merged-chr11-113612276-39
NR67483--MA0741.1.KLF16	chr8	126539623	126539633	-	0.000	0.000	Merged-chr8-126539798-23
NR23758--MA0741.1.KLF16	chr15	79729141	79729151	-	0.000	0.000	Merged-chr15-79729133-34
NR40381--MA0741.1.KLF16	chr3	10351364	10351374	-	0.000	0.000	Merged-chr3-10351318-69
NR42258--MA1107.1.KLF9	chr3	101066400	101066412	+	0.000	0.000	Merged-chr3-101066330-34
NR61843--MA0741.1.KLF16	chr7	102347591	102347601	+	0.000	0.000	Merged-chr7-102347477-20
NR40330--MA0599.1.KLF5	chr3	8667339	8667348	+	0.000	0.000	Merged-chr3-8667385-80
NR56518--MA1107.1.KLF9	chr6	95683065	95683077	+	0.000	0.000	Merged-chr6-95682989-10
NR9380--MA0741.1.KLF16	chr11	10516456	10516466	+	0.000	0.000	Merged-chr11-10516316-25
NR25383--MA0599.1.KLF5	chr16	15887191	15887200	+	0.000	0.000	Merged-chr16-15887242-95
NR16756--MA0599.1.KLF5	chr13	43789138	43789147	-	0.000	0.000	Merged-chr13-43789112-65
NR48485--MA0599.1.KLF5	chr4	145201614	145201623	+	0.000	0.000	Merged-chr4-145201623-9
NR20810--MA0741.1.KLF16	chr14	68078501	68078511	+	0.000	0.000	Merged-chr14-68078565-20
NR51888--MA0741.1.KLF16	chr5	111057252	111057262	+	0.000	0.000	Merged-chr5-111057385-10
NR41015--MA0741.1.KLF16	chr3	52102783	52102793	+	0.000	0.000	Merged-chr3-52102741-168
NR35264--MA0039.3.KLF4	chr2	25095204	25095214	+	0.000	0.000	Merged-chr2-25095278-14
NR47351--MA0740.1.KLF14	chr4	127095285	127095298	-	0.000	0.000	Merged-chr4-127095353-15
NR6627--MA0493.1.Klf1	chr10	74967330	74967340	+	0.000	0.000	Merged-chr10-74967177-57
NR51570--MA1107.1.KLF9	chr5	100929920	100929932	+	0.000	0.000	Merged-chr5-100929891-31
NR55086--MA0741.1.KLF16	chr6	39348148	39348158	+	0.000	0.000	Merged-chr6-39348126-65
NR43372--MA0740.1.KLF14	chr3	132928112	132928125	-	0.000	0.000	Merged-chr3-132927951-20
NR25385--MA0741.1.KLF16	chr16	15887226	15887236	-	0.000	0.000	Merged-chr16-15887242-95
NR72940--MA1107.1.KLF9	chrX	166329050	166329062	-	0.000	0.000	Merged-chrX-166329162-24
NR13840--MA0742.1.Klf12	chr12	30557543	30557557	+	0.000	0.000	Merged-chr12-30557589-12
NR7516--MA0599.1.KLF5	chr10	86786239	86786248	-	0.000	0.000	Merged-chr10-86786135-22
NR9449--MA0493.1.Klf1	chr11	20035549	20035559	-	0.000	0.000	Merged-chr11-20035595-25
NR20807--MA0599.1.KLF5	chr14	68078501	68078510	+	0.000	0.000	Merged-chr14-68078565-20
NR30840--MA0039.3.KLF4	chr18	5819885	5819895	+	0.000	0.000	Merged-chr18-5820020-28
NR2500--MA0740.1.KLF14	chr1	133711221	133711234	-	0.000	0.000	Merged-chr1-133711440-47
NR9821--MA0599.1.KLF5	chr11	35024113	35024122	-	0.000	0.000	Merged-chr11-35024082-11
NR22388--MA0741.1.KLF16	chr15	12285296	12285306	+	0.000	0.000	Merged-chr15-12285432-27
NR31287--MA0742.1.Klf12	chr18	35930531	35930545	-	0.000	0.000	Merged-chr18-35930608-30
NR24911--MA0741.1.KLF16	chr15	102746860	102746870	+	0.000	0.000	Merged-chr15-102746842-41
NR19646--MA0741.1.KLF16	chr14	27262421	27262431	+	0.000	0.000	Merged-chr14-27262535-17
NR64867--MA0599.1.KLF5	chr8	48109938	48109947	-	0.000	0.000	Merged-chr8-48110185-80
NR40096--MA0039.3.KLF4	chr2	174566143	174566153	+	0.000	0.000	Merged-chr2-174566072-46
NR31254--MA0039.3.KLF4	chr18	35726963	35726973	-	0.000	0.000	Merged-chr18-35726871-27
NR50916--MA0599.1.KLF5	chr5	74260700	74260709	-	0.000	0.000	Merged-chr5-74260801-106
NR45533--MA0493.1.Klf1	chr4	55343393	55343403	+	0.000	0.000	Merged-chr4-55343422-62
NR44862--MA0741.1.KLF16	chr4	33390940	33390950	+	0.000	0.000	Merged-chr4-33390737-19
NR26898--MA0493.1.Klf1	chr16	89816939	89816949	+	0.000	0.000	Merged-chr16-89817047-30
NR45368--MA0741.1.KLF16	chr4	47011210	47011220	-	0.000	0.000	Merged-chr4-47011023-46
NR11440--MA1107.1.KLF9	chr11	83185914	83185926	-	0.000	0.000	Merged-chr11-83185820-16
NR65155--MA0493.1.Klf1	chr8	67860356	67860366	+	0.000	0.000	Merged-chr8-67860375-11
NR27411--MA0741.1.KLF16	chr17	5138645	5138655	-	0.000	0.000	Merged-chr17-5138884-51
NR57506--MA0493.1.Klf1	chr6	125229079	125229089	-	0.000	0.000	Merged-chr6-125228994-3
NR42943--MA0741.1.KLF16	chr3	122474232	122474242	+	0.000	0.000	Merged-chr3-122474297-38
NR11100--MA1107.1.KLF9	chr11	76015514	76015526	+	0.000	0.000	Merged-chr11-76015482-22
NR2983--MA0039.3.KLF4	chr1	151236860	151236870	+	0.000	0.000	Merged-chr1-151236737-36
NR48711--MA0741.1.KLF16	chr4	148638548	148638558	+	0.000	0.000	Merged-chr4-148638535-16
NR62598--MA0599.1.KLF5	chr7	121734411	121734420	-	0.000	0.000	Merged-chr7-121734454-58
NR867--MA0039.3.KLF4	chr1	59163175	59163185	+	0.000	0.000	Merged-chr1-59163188-37
NR5826--MA0741.1.KLF16	chr10	43520080	43520090	+	0.000	0.000	Merged-chr10-43520023-14
NR24056--MA0742.1.Klf12	chr15	84372972	84372986	-	0.000	0.000	Merged-chr15-84372915-18
NR55160--MA1107.1.KLF9	chr6	43619501	43619513	+	0.000	0.000	Merged-chr6-43619418-19
NR18389--MA1107.1.KLF9	chr13	102773320	102773332	-	0.000	0.000	Merged-chr13-102773383-12
NR30143--MA0657.1.KLF13	chr17	78087125	78087142	+	0.000	0.000	Merged-chr17-78087139-42
NR14034--MA1107.1.KLF9	chr12	40536189	40536201	+	0.000	0.000	Merged-chr12-40536190-67
NR48019--MA1107.1.KLF9	chr4	136123304	136123316	-	0.000	0.000	Merged-chr4-136123235-13
NR4972--MA0599.1.KLF5	chr1	193589281	193589290	-	0.000	0.000	Merged-chr1-193589231-21
NR39675--MA0599.1.KLF5	chr2	167936117	167936126	-	0.000	0.000	Merged-chr2-167936072-3
NR11436--MA1107.1.KLF9	chr11	83185906	83185918	-	0.000	0.000	Merged-chr11-83185820-16
NR1685--MA0741.1.KLF16	chr1	91825517	91825527	-	0.000	0.000	Merged-chr1-91825474-20
NR67264--MA0599.1.KLF5	chr8	122769458	122769467	-	0.000	0.000	Merged-chr8-122769435-21
NR11003--MA0599.1.KLF5	chr11	74881144	74881153	+	0.000	0.000	Merged-chr11-74881176-15
NR2778--MA1107.1.KLF9	chr1	139181149	139181161	-	0.000	0.000	Merged-chr1-139181025-29
NR17958--MA0741.1.KLF16	chr13	93939770	93939780	-	0.000	0.000	Merged-chr13-93939742-17
NR16988--MA0039.3.KLF4	chr13	53069569	53069579	+	0.000	0.000	Merged-chr13-53069490-8
NR14135--MA0740.1.KLF14	chr12	52783213	52783226	-	0.000	0.000	Merged-chr12-52783123-49
NR5805--MA0741.1.KLF16	chr10	42849025	42849035	-	0.000	0.000	Merged-chr10-42848913-29
NR60986--MA1107.1.KLF9	chr7	73479743	73479755	+	0.000	0.000	Merged-chr7-73479778-28
NR46342--MA0599.1.KLF5	chr4	97996086	97996095	+	0.000	0.000	Merged-chr4-97996259-58
NR19703--MA1107.1.KLF9	chr14	30184749	30184761	+	0.000	0.000	Merged-chr14-30184705-37
NR16067--MA0740.1.KLF14	chr12	119238857	119238870	-	0.000	0.000	Merged-chr12-119238922-2
NR38375--MA0599.1.KLF5	chr2	132379897	132379906	-	0.000	0.000	Merged-chr2-132379852-19
NR41563--MA1107.1.KLF9	chr3	84477663	84477675	+	0.000	0.000	Merged-chr3-84477603-8
NR30680--MA1107.1.KLF9	chr17	88480557	88480569	-	0.000	0.000	Merged-chr17-88480530-23
NR14138--MA0493.1.Klf1	chr12	52783216	52783226	-	0.000	0.000	Merged-chr12-52783123-49
NR33914--MA1107.1.KLF9	chr19	41031261	41031273	-	0.000	0.000	Merged-chr19-41031181-46
NR63061--MA0741.1.KLF16	chr7	130631890	130631900	-	0.000	0.000	Merged-chr7-130631867-47
NR67496--MA1107.1.KLF9	chr8	126864499	126864511	+	0.000	0.000	Merged-chr8-126864545-1
NR2693--MA1107.1.KLF9	chr1	136617584	136617596	-	0.000	0.000	Merged-chr1-136617404-40
NR27241--MA0741.1.KLF16	chr16	96208436	96208446	-	0.000	0.000	Merged-chr16-96208613-13
NR67491--MA0039.3.KLF4	chr8	126721955	126721965	-	0.000	0.000	Merged-chr8-126721826-22
NR38035--MA0599.1.KLF5	chr2	122469535	122469544	+	0.000	0.000	Merged-chr2-122469407-42
NR40094--MA0741.1.KLF16	chr2	174556042	174556052	-	0.000	0.000	Merged-chr2-174555978-36
NR31739--MA1107.1.KLF9	chr18	60502505	60502517	+	0.000	0.000	Merged-chr18-60502470-34
NR30686--MA0599.1.KLF5	chr17	88597611	88597620	+	0.000	0.000	Merged-chr17-88597413-65
NR52361--MA0741.1.KLF16	chr5	118661942	118661952	+	0.000	0.000	Merged-chr5-118661904-17
NR30672--MA0493.1.Klf1	chr17	88316548	88316558	-	0.000	0.000	Merged-chr17-88316434-22
NR13872--MA0493.1.Klf1	chr12	31756030	31756040	-	0.000	0.000	Merged-chr12-31756239-29
NR32609--MA0657.1.KLF13	chr18	82532264	82532281	-	0.000	0.000	Merged-chr18-82532131-16
NR36306--MA0741.1.KLF16	chr2	59534544	59534554	+	0.000	0.000	Merged-chr2-59534510-22
NR36199--MA1107.1.KLF9	chr2	52542688	52542700	+	0.000	0.000	Merged-chr2-52542865-9
NR34208--MA0493.1.Klf1	chr19	47915500	47915510	-	0.000	0.000	Merged-chr19-47915460-18
NR13974--MA0039.3.KLF4	chr12	35770600	35770610	+	0.000	0.000	Merged-chr12-35770526-40
NR8409--MA1107.1.KLF9	chr10	118090009	118090021	-	0.000	0.000	Merged-chr10-118090052-13
NR62596--MA0740.1.KLF14	chr7	121734408	121734421	-	0.000	0.000	Merged-chr7-121734454-58
NR37168--MA1107.1.KLF9	chr2	93454488	93454500	+	0.000	0.000	Merged-chr2-93454506-54
NR58557--MA0599.1.KLF5	chr6	145049107	145049116	+	0.000	0.000	Merged-chr6-145048990-28
NR46681--MA0039.3.KLF4	chr4	107989142	107989152	-	0.000	0.000	Merged-chr4-107989218-22
NR46417--MA0741.1.KLF16	chr4	101217269	101217279	-	0.000	0.000	Merged-chr4-101217167-64
NR1175--MA0599.1.KLF5	chr1	73940883	73940892	+	0.000	0.000	Merged-chr1-73940938-50
NR16921--MA0741.1.KLF16	chr13	51685364	51685374	-	0.000	0.000	Merged-chr13-51685389-6
NR27092--MA0741.1.KLF16	chr16	93574642	93574652	-	0.000	0.000	Merged-chr16-93574695-56
NR66617--MA1107.1.KLF9	chr8	109957364	109957376	+	0.000	0.000	Merged-chr8-109957445-42
NR21247--MA0741.1.KLF16	chr14	84443429	84443439	+	0.000	0.000	Merged-chr14-84443299-57
NR46460--MA0741.1.KLF16	chr4	101419688	101419698	-	0.000	0.000	Merged-chr4-101419713-70
NR59413--MA1107.1.KLF9	chr7	24457862	24457874	+	0.000	0.000	Merged-chr7-24457903-49
NR7016--MA0599.1.KLF5	chr10	80152178	80152187	+	0.000	0.000	Merged-chr10-80152261-5
NR32283--MA0742.1.Klf12	chr18	75419450	75419464	+	0.000	0.000	Merged-chr18-75419579-57
NR610--MA0741.1.KLF16	chr1	42953264	42953274	-	0.000	0.000	Merged-chr1-42953184-68
NR15410--MA0740.1.KLF14	chr12	105537582	105537595	+	0.000	0.000	Merged-chr12-105537597-12
NR57051--MA0599.1.KLF5	chr6	115123395	115123404	-	0.000	0.000	Merged-chr6-115123444-38
NR55002--MA0741.1.KLF16	chr6	37299120	37299130	-	0.000	0.000	Merged-chr6-37299169-1
NR7687--MA0493.1.Klf1	chr10	91028076	91028086	+	0.000	0.000	Merged-chr10-91028217-15
NR20683--MA0599.1.KLF5	chr14	63906105	63906114	-	0.000	0.000	Merged-chr14-63906056-16
NR16264--MA1107.1.KLF9	chr13	18820886	18820898	-	0.000	0.000	Merged-chr13-18820828-2
NR59419--MA0599.1.KLF5	chr7	24482004	24482013	-	0.000	0.000	Merged-chr7-24481860-36
NR62607--MA1107.1.KLF9	chr7	121890915	121890927	+	0.000	0.000	Merged-chr7-121890851-14
NR1183--MA1107.1.KLF9	chr1	73940869	73940881	+	0.000	0.000	Merged-chr1-73940938-50
NR53692--MA0742.1.Klf12	chr5	140148961	140148975	+	0.000	0.000	Merged-chr5-140149143-22
NR22836--MA0599.1.KLF5	chr15	44748516	44748525	+	0.000	0.000	Merged-chr15-44748463-50
NR1847--MA0599.1.KLF5	chr1	98095566	98095575	-	0.000	0.000	Merged-chr1-98095542-87
NR67832--MA0039.3.KLF4	chr9	20610050	20610060	+	0.000	0.000	Merged-chr9-20609876-14
NR17406--MA0741.1.KLF16	chr13	65070138	65070148	+	0.000	0.000	Merged-chr13-65070187-24
NR69117--MA1107.1.KLF9	chr9	63718370	63718382	+	0.000	0.000	Merged-chr9-63718438-9
NR71486--MA0599.1.KLF5	chr9	123229918	123229927	+	0.000	0.000	Merged-chr9-123229915-16
NR61581--MA0599.1.KLF5	chr7	96920647	96920656	-	0.000	0.000	Merged-chr7-96920782-38
NR37313--MA0599.1.KLF5	chr2	102049966	102049975	+	0.000	0.000	Merged-chr2-102050053-17
NR35263--MA0599.1.KLF5	chr2	25095203	25095212	+	0.000	0.000	Merged-chr2-25095278-14
NR27090--MA0599.1.KLF5	chr16	93574643	93574652	-	0.000	0.000	Merged-chr16-93574695-56
NR14761--MA0493.1.Klf1	chr12	82166464	82166474	-	0.000	0.000	Merged-chr12-82166286-58
NR9764--MA0493.1.Klf1	chr11	32138430	32138440	-	0.000	0.000	Merged-chr11-32138495-33
NR30694--MA0039.3.KLF4	chr17	88753267	88753277	+	0.000	0.000	Merged-chr17-88753234-51
NR31542--MA0741.1.KLF16	chr18	53245579	53245589	+	0.000	0.000	Merged-chr18-53245593-51
NR64712--MA0599.1.KLF5	chr8	40634802	40634811	-	0.000	0.000	Merged-chr8-40634821-50
NR46343--MA0741.1.KLF16	chr4	97996086	97996096	+	0.000	0.000	Merged-chr4-97996259-58
NR61352--MA0741.1.KLF16	chr7	84417846	84417856	-	0.000	0.000	Merged-chr7-84417695-8
NR57168--MA0599.1.KLF5	chr6	118593644	118593653	-	0.000	0.000	Merged-chr6-118593680-90
NR25224--MA0599.1.KLF5	chr16	10683540	10683549	-	0.000	0.000	Merged-chr16-10683625-55
NR65107--MA1107.1.KLF9	chr8	64935179	64935191	-	0.000	0.000	Merged-chr8-64935114-22
NR41600--MA1107.1.KLF9	chr3	86955538	86955550	-	0.000	0.000	Merged-chr3-86955467-9
NR22626--MA0599.1.KLF5	chr15	36438864	36438873	-	0.000	0.000	Merged-chr15-36438812-16
NR60925--MA0741.1.KLF16	chr7	68205944	68205954	-	0.000	0.000	Merged-chr7-68206033-25
NR26679--MA0742.1.Klf12	chr16	76283301	76283315	+	0.000	0.000	Merged-chr16-76283420-1
NR14104--MA0741.1.KLF16	chr12	52383032	52383042	+	0.000	0.000	Merged-chr12-52383146-23
NR1614--MA0493.1.Klf1	chr1	88708224	88708234	+	0.000	0.000	Merged-chr1-88708373-21
NR68717--MA1107.1.KLF9	chr9	51162024	51162036	-	0.000	0.000	Merged-chr9-51161990-29
NR23137--MA0741.1.KLF16	chr15	61441928	61441938	+	0.000	0.000	Merged-chr15-61441836-34
NR42243--MA0493.1.Klf1	chr3	100533648	100533658	+	0.000	0.000	Merged-chr3-100533650-21
NR14766--MA0493.1.Klf1	chr12	82187387	82187397	+	0.000	0.000	Merged-chr12-82187311-20
NR42919--MA0741.1.KLF16	chr3	121426491	121426501	-	0.000	0.000	Merged-chr3-121426726-98
NR14408--MA0493.1.Klf1	chr12	69853616	69853626	+	0.000	0.000	Merged-chr12-69853558-20
NR42942--MA0599.1.KLF5	chr3	122474232	122474241	+	0.000	0.000	Merged-chr3-122474297-38
NR57951--MA0493.1.Klf1	chr6	134451034	134451044	-	0.000	0.000	Merged-chr6-134450954-21
NR31579--MA1107.1.KLF9	chr18	54822926	54822938	+	0.000	0.000	Merged-chr18-54822886-30
NR39221--MA0741.1.KLF16	chr2	158673411	158673421	+	0.000	0.000	Merged-chr2-158673458-23
NR56516--MA1107.1.KLF9	chr6	95651459	95651471	+	0.000	0.000	Merged-chr6-95651560-12
NR32452--MA0740.1.KLF14	chr18	80041987	80042000	+	0.000	0.000	Merged-chr18-80041946-55
NR37327--MA0599.1.KLF5	chr2	102183963	102183972	-	0.000	0.000	Merged-chr2-102183884-3
NR7854--MA0599.1.KLF5	chr10	95942200	95942209	+	0.000	0.000	Merged-chr10-95942106-29
NR22947--MA0039.3.KLF4	chr15	56047115	56047125	-	0.000	0.000	Merged-chr15-56047041-38
NR1725--MA0740.1.KLF14	chr1	93115248	93115261	+	0.000	0.000	Merged-chr1-93115270-41
NR12371--MA0741.1.KLF16	chr11	103808768	103808778	-	0.000	0.000	Merged-chr11-103808730-15
NR58952--MA0740.1.KLF14	chr7	12422487	12422500	-	0.000	0.000	Merged-chr7-12422521-72
NR58374--MA0493.1.Klf1	chr6	142507797	142507807	+	0.000	0.000	Merged-chr6-142507875-63
NR39753--MA0599.1.KLF5	chr2	168741368	168741377	+	0.000	0.000	Merged-chr2-168741453-11
NR64612--MA0741.1.KLF16	chr8	34818005	34818015	-	0.000	0.000	Merged-chr8-34817852-8
NR55668--MA1107.1.KLF9	chr6	59451129	59451141	-	0.000	0.000	Merged-chr6-59451158-16
NR28521--MA0741.1.KLF16	chr17	31693551	31693561	-	0.000	0.000	Merged-chr17-31693537-59
NR23953--MA0493.1.Klf1	chr15	82290612	82290622	-	0.000	0.000	Merged-chr15-82290504-11
NR43374--MA0599.1.KLF5	chr3	132928123	132928132	-	0.000	0.000	Merged-chr3-132927951-20
NR58373--MA0039.3.KLF4	chr6	142507799	142507809	+	0.000	0.000	Merged-chr6-142507875-63
NR41769--MA0740.1.KLF14	chr3	89911445	89911458	+	0.000	0.000	Merged-chr3-89911440-10
NR972--MA0039.3.KLF4	chr1	64085986	64085996	-	0.000	0.000	Merged-chr1-64086002-50
NR13748--MA0740.1.KLF14	chr12	25601192	25601205	-	0.000	0.000	Merged-chr12-25601123-16
NR39757--MA0741.1.KLF16	chr2	168741484	168741494	+	0.000	0.000	Merged-chr2-168741453-11
NR54378--MA0599.1.KLF5	chr5	150232883	150232892	+	0.000	0.000	Merged-chr5-150232910-1
NR26686--MA0599.1.KLF5	chr16	76283386	76283395	-	0.000	0.000	Merged-chr16-76283420-1
NR14109--MA0599.1.KLF5	chr12	52383137	52383146	-	0.000	0.000	Merged-chr12-52383146-23
NR16472--MA0741.1.KLF16	chr13	30186555	30186565	-	0.000	0.000	Merged-chr13-30186492-12
NR1221--MA0599.1.KLF5	chr1	74791792	74791801	-	0.000	0.000	Merged-chr1-74791717-28
NR63799--MA0741.1.KLF16	chr7	142967379	142967389	+	0.000	0.000	Merged-chr7-142967366-1
NR36291--MA0599.1.KLF5	chr2	59244898	59244907	-	0.000	0.000	Merged-chr2-59244755-83
NR50926--MA0657.1.KLF13	chr5	74704610	74704627	+	0.000	0.000	Merged-chr5-74704453-70
NR36815--MA0599.1.KLF5	chr2	77249874	77249883	+	0.000	0.000	Merged-chr2-77250040-39
NR3956--MA0599.1.KLF5	chr1	172197390	172197399	+	0.000	0.000	Merged-chr1-172197316-25
NR50653--MA0742.1.Klf12	chr5	64684279	64684293	+	0.000	0.000	Merged-chr5-64684447-46
NR42257--MA0493.1.Klf1	chr3	101066402	101066412	+	0.000	0.000	Merged-chr3-101066330-34
NR39193--MA0493.1.Klf1	chr2	158160215	158160225	+	0.000	0.000	Merged-chr2-158160127-37
NR67539--MA0741.1.KLF16	chr8	127447348	127447358	-	0.000	0.000	Merged-chr8-127447217-34
NR42924--MA0493.1.Klf1	chr3	121689302	121689312	+	0.000	0.000	Merged-chr3-121689232-23
NR22452--MA0599.1.KLF5	chr15	25812686	25812695	-	0.000	0.000	Merged-chr15-25812728-1
NR17195--MA0599.1.KLF5	chr13	58067717	58067726	-	0.000	0.000	Merged-chr13-58067754-68
NR3939--MA0741.1.KLF16	chr1	171916126	171916136	+	0.000	0.000	Merged-chr1-171916002-44
NR32263--MA0599.1.KLF5	chr18	75322373	75322382	+	0.000	0.000	Merged-chr18-75322404-42
NR4379--MA0599.1.KLF5	chr1	182764154	182764163	+	0.000	0.000	Merged-chr1-182764155-66
NR26685--MA1107.1.KLF9	chr16	76283301	76283313	+	0.000	0.000	Merged-chr16-76283420-1
NR65716--MA0741.1.KLF16	chr8	80493161	80493171	-	0.000	0.000	Merged-chr8-80493158-65
NR29723--MA0599.1.KLF5	chr17	64827058	64827067	-	0.000	0.000	Merged-chr17-64827066-53
NR14113--MA0493.1.Klf1	chr12	52383132	52383142	-	0.000	0.000	Merged-chr12-52383146-23
NR5472--MA1107.1.KLF9	chr10	25140437	25140449	-	0.000	0.000	Merged-chr10-25140477-16
NR9688--MA0741.1.KLF16	chr11	29883367	29883377	-	0.000	0.000	Merged-chr11-29883287-9
NR17410--MA0599.1.KLF5	chr13	65240527	65240536	-	0.000	0.000	Merged-chr13-65240700-1
NR1208--MA0599.1.KLF5	chr1	74601427	74601436	-	0.000	0.000	Merged-chr1-74601351-54
NR13913--MA0039.3.KLF4	chr12	33076513	33076523	+	0.000	0.000	Merged-chr12-33076409-32
NR42932--MA0039.3.KLF4	chr3	122122334	122122344	+	0.000	0.000	Merged-chr3-122122309-36
NR16759--MA0599.1.KLF5	chr13	43906452	43906461	+	0.000	0.000	Merged-chr13-43906399-21
NR69046--MA0039.3.KLF4	chr9	61236139	61236149	+	0.000	0.000	Merged-chr9-61236183-14
NR19235--MA1107.1.KLF9	chr14	12307771	12307783	-	0.000	0.000	Merged-chr14-12307905-40
NR11416--MA1107.1.KLF9	chr11	82961946	82961958	-	0.000	0.000	Merged-chr11-82962014-19
NR56839--MA0741.1.KLF16	chr6	108448395	108448405	+	0.000	0.000	Merged-chr6-108448378-58
NR18545--MA0741.1.KLF16	chr13	108100622	108100632	+	0.000	0.000	Merged-chr13-108100820-31
NR35178--MA1107.1.KLF9	chr2	23006372	23006384	+	0.000	0.000	Merged-chr2-23006422-36
NR29722--MA1107.1.KLF9	chr17	64628988	64629000	-	0.000	0.000	Merged-chr17-64628994-21
NR50657--MA0741.1.KLF16	chr5	64684280	64684290	+	0.000	0.000	Merged-chr5-64684447-46
NR12092--MA0741.1.KLF16	chr11	99116117	99116127	+	0.000	0.000	Merged-chr11-99116157-23
NR43761--MA0741.1.KLF16	chr3	144412724	144412734	-	0.000	0.000	Merged-chr3-144412864-41
NR58842--MA0742.1.Klf12	chr7	4964459	4964473	+	0.000	0.000	Merged-chr7-4964465-28
NR36823--MA1107.1.KLF9	chr2	77249879	77249891	+	0.000	0.000	Merged-chr2-77250040-39
NR31571--MA0740.1.KLF14	chr18	54822920	54822933	+	0.000	0.000	Merged-chr18-54822886-30
NR31003--MA0741.1.KLF16	chr18	21300192	21300202	+	0.000	0.000	Merged-chr18-21300237-62
NR4970--MA0599.1.KLF5	chr1	193285753	193285762	+	0.000	0.000	Merged-chr1-193285975-30
NR40329--MA0599.1.KLF5	chr3	8667329	8667338	+	0.000	0.000	Merged-chr3-8667385-80
NR11434--MA1107.1.KLF9	chr11	83185902	83185914	-	0.000	0.000	Merged-chr11-83185820-16
NR8389--MA0493.1.Klf1	chr10	117731428	117731438	-	0.000	0.000	Merged-chr10-117731554-42
NR13973--MA0599.1.KLF5	chr12	35770599	35770608	+	0.000	0.000	Merged-chr12-35770526-40
NR39702--MA0741.1.KLF16	chr2	168159011	168159021	+	0.000	0.000	Merged-chr2-168159188-34
NR35595--MA0741.1.KLF16	chr2	30472069	30472079	+	0.000	0.000	Merged-chr2-30472114-26
NR64713--MA0741.1.KLF16	chr8	40634823	40634833	-	0.000	0.000	Merged-chr8-40634821-50
