#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed
NR4995--MA0523.1.TCF7L2	chr2	58481512	58481525	+	0.000	0.000	Merged-chr2-58481590-14
NR7542--MA0523.1.TCF7L2	chr6	22374950	22374963	+	0.000	0.000	Merged-chr6-22374941-5
NR9058--MA0769.1.Tcf7	chr9	32939057	32939068	+	0.000	0.000	Merged-chr9-32939001-13
NR5459--MA0523.1.TCF7L2	chr2	165854713	165854726	+	0.000	0.000	Merged-chr2-165854688-17
NR9415--MA0523.1.TCF7L2	chrX	73082390	73082403	-	0.000	0.000	Merged-chrX-73082481-64
NR3066--MA0523.1.TCF7L2	chr14	103095261	103095274	-	0.000	0.000	Merged-chr14-103095256-6
NR1018--MA0523.1.TCF7L2	chr10	50650806	50650819	-	0.000	0.000	Merged-chr10-50650757-16
NR3741--MA0523.1.TCF7L2	chr16	49943825	49943838	-	0.000	0.000	Merged-chr16-49943826-20
NR1248--MA0769.1.Tcf7	chr10	96955143	96955154	+	0.000	0.000	Merged-chr10-96955164-15
NR7361--MA0523.1.TCF7L2	chr5	107148504	107148517	-	0.000	0.000	Merged-chr5-107148487-19
NR2633--MA0523.1.TCF7L2	chr13	114076219	114076232	+	0.000	0.000	Merged-chr13-114076115-29
NR4557--MA0523.1.TCF7L2	chr18	79297906	79297919	+	0.000	0.000	Merged-chr18-79298014-36
NR8610--MA1421.1.TCF7L1	chr8	9972022	9972033	-	0.000	0.000	Merged-chr8-9972076-6
NR5614--MA0523.1.TCF7L2	chr3	22040806	22040819	+	0.000	0.000	Merged-chr3-22040885-32
NR7538--MA0523.1.TCF7L2	chr6	22314658	22314671	-	0.000	0.000	Merged-chr6-22314730-22
NR8947--MA0523.1.TCF7L2	chr8	123404746	123404759	-	0.000	0.000	Merged-chr8-123404693-24
NR7474--MA0769.1.Tcf7	chr5	149459345	149459356	+	0.000	0.000	Merged-chr5-149459249-24
NR2907--MA1421.1.TCF7L1	chr14	62879570	62879581	+	0.000	0.000	Merged-chr14-62879632-33
NR707--MA0523.1.TCF7L2	chr1	183180468	183180481	+	0.000	0.000	Merged-chr1-183180587-56
NR592--MA1421.1.TCF7L1	chr1	156710951	156710962	-	0.000	0.000	Merged-chr1-156710970-33
NR1607--MA0523.1.TCF7L2	chr11	70265486	70265499	-	0.000	0.000	Merged-chr11-70265494-15
NR8126--MA0523.1.TCF7L2	chr7	12987582	12987595	-	0.000	0.000	Merged-chr7-12987633-12
NR7319--MA0523.1.TCF7L2	chr5	96908612	96908625	+	0.000	0.000	Merged-chr5-96908541-4
NR276--MA0523.1.TCF7L2	chr1	80441128	80441141	+	0.000	0.000	Merged-chr1-80441020-53
NR5829--MA0523.1.TCF7L2	chr3	67033638	67033651	+	0.000	0.000	Merged-chr3-67033715-15
NR7031--MA0769.1.Tcf7	chr5	22747519	22747530	+	0.000	0.000	Merged-chr5-22747535-33
NR3464--MA0769.1.Tcf7	chr15	80602680	80602691	-	0.000	0.000	Merged-chr15-80602759-36
NR6249--MA0523.1.TCF7L2	chr3	152432727	152432740	-	0.000	0.000	Merged-chr3-152432739-55
NR6071--MA0769.1.Tcf7	chr3	126589727	126589738	+	0.000	0.000	Merged-chr3-126589665-27
NR8448--MA0769.1.Tcf7	chr7	96910488	96910499	+	0.000	0.000	Merged-chr7-96910268-22
NR6398--MA0769.1.Tcf7	chr4	21777294	21777305	-	0.000	0.000	Merged-chr4-21777140-4
NR588--MA1421.1.TCF7L1	chr1	156522228	156522239	+	0.000	0.000	Merged-chr1-156522298-40
NR5772--MA0523.1.TCF7L2	chr3	55660069	55660082	+	0.000	0.000	Merged-chr3-55660012-44
NR4312--MA0523.1.TCF7L2	chr18	32543279	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR608--MA0523.1.TCF7L2	chr1	159938619	159938632	+	0.000	0.000	Merged-chr1-159938641-24
NR6068--MA0523.1.TCF7L2	chr3	126589697	126589710	+	0.000	0.000	Merged-chr3-126589665-27
NR5774--MA0769.1.Tcf7	chr3	55660069	55660080	+	0.000	0.000	Merged-chr3-55660012-44
NR7600--MA0769.1.Tcf7	chr6	41113489	41113500	+	0.000	0.000	Merged-chr6-41113305-59
NR7030--MA0523.1.TCF7L2	chr5	22747519	22747532	+	0.000	0.000	Merged-chr5-22747535-33
NR2267--MA0523.1.TCF7L2	chr13	34914826	34914839	-	0.000	0.000	Merged-chr13-34914852-26
NR6619--MA0523.1.TCF7L2	chr4	86721998	86722011	+	0.000	0.000	Merged-chr4-86721990-52
NR6055--MA0523.1.TCF7L2	chr3	123084117	123084130	-	0.000	0.000	Merged-chr3-123084162-14
NR562--MA1421.1.TCF7L1	chr1	151167679	151167690	-	0.000	0.000	Merged-chr1-151167792-22
NR4193--MA1421.1.TCF7L1	chr17	88316324	88316335	+	0.000	0.000	Merged-chr17-88316434-22
NR3457--MA0523.1.TCF7L2	chr15	79729194	79729207	+	0.000	0.000	Merged-chr15-79729133-34
NR9131--MA0769.1.Tcf7	chr9	63174179	63174190	-	0.000	0.000	Merged-chr9-63174130-6
NR9266--MA1421.1.TCF7L1	chr9	96696538	96696549	-	0.000	0.000	Merged-chr9-96696442-50
NR2751--MA0769.1.Tcf7	chr14	15273333	15273344	-	0.000	0.000	Merged-chr14-15273135-43
NR4031--MA0769.1.Tcf7	chr17	34305139	34305150	-	0.000	0.000	Merged-chr17-34305077-21
NR4384--MA0523.1.TCF7L2	chr18	49721796	49721809	+	0.000	0.000	Merged-chr18-49721855-41
NR1821--MA0523.1.TCF7L2	chr12	32999924	32999937	-	0.000	0.000	Merged-chr12-32999849-21
NR4358--MA0769.1.Tcf7	chr18	42585879	42585890	+	0.000	0.000	Merged-chr18-42585822-14
NR7725--MA1421.1.TCF7L1	chr6	67105659	67105670	+	0.000	0.000	Merged-chr6-67105676-29
NR1554--MA0769.1.Tcf7	chr11	46399251	46399262	+	0.000	0.000	Merged-chr11-46399258-50
NR3398--MA0769.1.Tcf7	chr15	63989878	63989889	+	0.000	0.000	Merged-chr15-63989879-13
NR8825--MA0769.1.Tcf7	chr8	81761674	81761685	-	0.000	0.000	Merged-chr8-81761666-20
NR8446--MA1421.1.TCF7L1	chr7	96910488	96910499	+	0.000	0.000	Merged-chr7-96910268-22
NR9239--MA0769.1.Tcf7	chr9	90301223	90301234	-	0.000	0.000	Merged-chr9-90301276-26
NR7013--MA0523.1.TCF7L2	chr5	20087381	20087394	-	0.000	0.000	Merged-chr5-20087381-40
NR5251--MA0769.1.Tcf7	chr2	120502274	120502285	+	0.000	0.000	Merged-chr2-120502347-30
NR3909--MA0523.1.TCF7L2	chr16	95869617	95869630	+	0.000	0.000	Merged-chr16-95869616-44
NR4176--MA1421.1.TCF7L1	chr17	84239782	84239793	+	0.000	0.000	Merged-chr17-84239923-12
NR3743--MA0769.1.Tcf7	chr16	49943827	49943838	-	0.000	0.000	Merged-chr16-49943826-20
NR45--MA0523.1.TCF7L2	chr1	13311988	13312001	-	0.000	0.000	Merged-chr1-13311989-20
NR229--MA0523.1.TCF7L2	chr1	69331698	69331711	-	0.000	0.000	Merged-chr1-69331775-34
NR667--MA0769.1.Tcf7	chr1	172197225	172197236	-	0.000	0.000	Merged-chr1-172197316-25
NR2795--MA0523.1.TCF7L2	chr14	31414454	31414467	+	0.000	0.000	Merged-chr14-31414405-2
NR9130--MA0523.1.TCF7L2	chr9	63174177	63174190	-	0.000	0.000	Merged-chr9-63174130-6
NR7472--MA0523.1.TCF7L2	chr5	149392211	149392224	-	0.000	0.000	Merged-chr5-149392157-30
NR9396--MA0523.1.TCF7L2	chrX	52679288	52679301	-	0.000	0.000	Merged-chrX-52679336-26
NR3748--MA0769.1.Tcf7	chr16	51718807	51718818	+	0.000	0.000	Merged-chr16-51718909-24
NR6196--MA0523.1.TCF7L2	chr3	146004828	146004841	+	0.000	0.000	Merged-chr3-146004832-23
NR3465--MA0523.1.TCF7L2	chr15	80602701	80602714	+	0.000	0.000	Merged-chr15-80602759-36
NR7785--MA0769.1.Tcf7	chr6	89288317	89288328	-	0.000	0.000	Merged-chr6-89288372-31
NR5498--MA0769.1.Tcf7	chr2	172977460	172977471	-	0.000	0.000	Merged-chr2-172977593-131
NR8875--MA0769.1.Tcf7	chr8	95247524	95247535	+	0.000	0.000	Merged-chr8-95247520-25
NR7291--MA0523.1.TCF7L2	chr5	91283252	91283265	-	0.000	0.000	Merged-chr5-91283193-32
NR278--MA1421.1.TCF7L1	chr1	82443948	82443959	+	0.000	0.000	Merged-chr1-82443829-28
NR5391--MA1421.1.TCF7L1	chr2	150578761	150578772	-	0.000	0.000	Merged-chr2-150578789-44
NR2327--MA0769.1.Tcf7	chr13	52702319	52702330	-	0.000	0.000	Merged-chr13-52702318-14
NR5037--MA0769.1.Tcf7	chr2	68932466	68932477	-	0.000	0.000	Merged-chr2-68932401-28
NR3343--MA1421.1.TCF7L1	chr15	50836769	50836780	+	0.000	0.000	Merged-chr15-50836811-19
NR8768--MA1421.1.TCF7L1	chr8	57828446	57828457	+	0.000	0.000	Merged-chr8-57828491-18
NR8319--MA0523.1.TCF7L2	chr7	68320354	68320367	+	0.000	0.000	Merged-chr7-68320337-15
NR4737--MA0523.1.TCF7L2	chr2	6622257	6622270	-	0.000	0.000	Merged-chr2-6622331-33
NR3681--MA0769.1.Tcf7	chr16	35781247	35781258	-	0.000	0.000	Merged-chr16-35781109-15
NR593--MA0523.1.TCF7L2	chr1	156710949	156710962	-	0.000	0.000	Merged-chr1-156710970-33
NR5978--MA0523.1.TCF7L2	chr3	104631150	104631163	-	0.000	0.000	Merged-chr3-104631108-10
NR699--MA0769.1.Tcf7	chr1	179240800	179240811	+	0.000	0.000	Merged-chr1-179240877-38
NR3726--MA1421.1.TCF7L1	chr16	48745642	48745653	-	0.000	0.000	Merged-chr16-48745701-29
NR2800--MA0523.1.TCF7L2	chr14	32716983	32716996	-	0.000	0.000	Merged-chr14-32716978-71
NR3507--MA1421.1.TCF7L1	chr15	94255284	94255295	-	0.000	0.000	Merged-chr15-94255177-46
NR8696--MA0523.1.TCF7L2	chr8	34817928	34817941	-	0.000	0.000	Merged-chr8-34817852-8
NR2905--MA0769.1.Tcf7	chr14	61784756	61784767	+	0.000	0.000	Merged-chr14-61784854-5
NR5615--MA0769.1.Tcf7	chr3	22040806	22040817	+	0.000	0.000	Merged-chr3-22040885-32
NR6181--MA0769.1.Tcf7	chr3	144232070	144232081	-	0.000	0.000	Merged-chr3-144232172-58
NR2413--MA0523.1.TCF7L2	chr13	77141037	77141050	-	0.000	0.000	Merged-chr13-77141048-16
NR9406--MA0769.1.Tcf7	chrX	57222159	57222170	+	0.000	0.000	Merged-chrX-57222057-29
NR589--MA0523.1.TCF7L2	chr1	156522228	156522241	+	0.000	0.000	Merged-chr1-156522298-40
NR8549--MA0769.1.Tcf7	chr7	129774360	129774371	+	0.000	0.000	Merged-chr7-129774380-36
NR8081--MA0523.1.TCF7L2	chr6	143115265	143115278	-	0.000	0.000	Merged-chr6-143115192-122
NR7935--MA1421.1.TCF7L1	chr6	119749301	119749312	+	0.000	0.000	Merged-chr6-119749325-22
NR8317--MA1421.1.TCF7L1	chr7	67353793	67353804	+	0.000	0.000	Merged-chr7-67353683-35
NR6714--MA0769.1.Tcf7	chr4	103007251	103007262	+	0.000	0.000	Merged-chr4-103007088-44
NR3910--MA0769.1.Tcf7	chr16	95869617	95869628	+	0.000	0.000	Merged-chr16-95869616-44
NR7137--MA0769.1.Tcf7	chr5	52125953	52125964	-	0.000	0.000	Merged-chr5-52126006-25
NR7320--MA1421.1.TCF7L1	chr5	97090319	97090330	+	0.000	0.000	Merged-chr5-97090318-20
NR3473--MA0523.1.TCF7L2	chr15	85042790	85042803	-	0.000	0.000	Merged-chr15-85042702-72
NR9450--MA1421.1.TCF7L1	chrX	100789554	100789565	-	0.000	0.000	Merged-chrX-100789555-32
NR8697--MA0769.1.Tcf7	chr8	34817930	34817941	-	0.000	0.000	Merged-chr8-34817852-8
NR8714--MA0523.1.TCF7L2	chr8	36028575	36028588	-	0.000	0.000	Merged-chr8-36028490-56
NR7934--MA0769.1.Tcf7	chr6	119749241	119749252	+	0.000	0.000	Merged-chr6-119749325-22
NR3747--MA1421.1.TCF7L1	chr16	51718807	51718818	+	0.000	0.000	Merged-chr16-51718909-24
NR211--MA0523.1.TCF7L2	chr1	66552831	66552844	-	0.000	0.000	Merged-chr1-66552771-47
NR8519--MA1421.1.TCF7L1	chr7	117559196	117559207	-	0.000	0.000	Merged-chr7-117559166-31
NR3059--MA1421.1.TCF7L1	chr14	103017271	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR5165--MA0523.1.TCF7L2	chr2	102044477	102044490	+	0.000	0.000	Merged-chr2-102044515-18
NR7522--MA1421.1.TCF7L1	chr6	13650756	13650767	+	0.000	0.000	Merged-chr6-13650892-33
NR7631--MA0523.1.TCF7L2	chr6	50009500	50009513	-	0.000	0.000	Merged-chr6-50009459-48
NR6149--MA0523.1.TCF7L2	chr3	138715602	138715615	+	0.000	0.000	Merged-chr3-138715512-11
NR7655--MA1421.1.TCF7L1	chr6	55016479	55016490	+	0.000	0.000	Merged-chr6-55016500-80
NR6200--MA0769.1.Tcf7	chr3	146192742	146192753	-	0.000	0.000	Merged-chr3-146192596-55
NR9116--MA0769.1.Tcf7	chr9	56325876	56325887	+	0.000	0.000	Merged-chr9-56325915-29
NR8447--MA0523.1.TCF7L2	chr7	96910488	96910501	+	0.000	0.000	Merged-chr7-96910268-22
NR1700--MA0523.1.TCF7L2	chr11	113206356	113206369	+	0.000	0.000	Merged-chr11-113206318-17
NR9022--MA0769.1.Tcf7	chr9	15580246	15580257	+	0.000	0.000	Merged-chr9-15580396-18
NR1556--MA1421.1.TCF7L1	chr11	49722944	49722955	-	0.000	0.000	Merged-chr11-49723086-55
NR4119--MA0769.1.Tcf7	chr17	64629129	64629140	-	0.000	0.000	Merged-chr17-64628994-21
NR5176--MA1421.1.TCF7L1	chr2	104459121	104459132	+	0.000	0.000	Merged-chr2-104459041-25
NR9349--MA0769.1.Tcf7	chrX	7570941	7570952	+	0.000	0.000	Merged-chrX-7570919-6
NR5101--MA0523.1.TCF7L2	chr2	83828043	83828056	+	0.000	0.000	Merged-chr2-83828033-13
NR2386--MA0523.1.TCF7L2	chr13	69488206	69488219	-	0.000	0.000	Merged-chr13-69488029-32
NR5960--MA0523.1.TCF7L2	chr3	101066413	101066426	-	0.000	0.000	Merged-chr3-101066330-34
NR8868--MA0523.1.TCF7L2	chr8	94428014	94428027	+	0.000	0.000	Merged-chr8-94428208-16
NR4427--MA0523.1.TCF7L2	chr18	57362757	57362770	-	0.000	0.000	Merged-chr18-57362721-19
NR6460--MA0769.1.Tcf7	chr4	44159998	44160009	+	0.000	0.000	Merged-chr4-44160050-19
NR2937--MA0523.1.TCF7L2	chr14	72822371	72822384	+	0.000	0.000	Merged-chr14-72822179-91
NR3248--MA1421.1.TCF7L1	chr15	30661982	30661993	+	0.000	0.000	Merged-chr15-30662184-17
NR9104--MA0523.1.TCF7L2	chr9	48538518	48538531	+	0.000	0.000	Merged-chr9-48538454-59
NR1690--MA0523.1.TCF7L2	chr11	109591673	109591686	+	0.000	0.000	Merged-chr11-109591660-26
NR4093--MA1421.1.TCF7L1	chr17	57286902	57286913	+	0.000	0.000	Merged-chr17-57286889-25
NR3286--MA1421.1.TCF7L1	chr15	36396451	36396462	-	0.000	0.000	Merged-chr15-36396472-80
NR615--MA0523.1.TCF7L2	chr1	161480190	161480203	-	0.000	0.000	Merged-chr1-161480099-19
NR1329--MA0769.1.Tcf7	chr10	111223391	111223402	-	0.000	0.000	Merged-chr10-111223319-26
NR4739--MA1421.1.TCF7L1	chr2	6622363	6622374	-	0.000	0.000	Merged-chr2-6622331-33
NR9166--MA1421.1.TCF7L1	chr9	75537213	75537224	+	0.000	0.000	Merged-chr9-75537156-9
NR1699--MA0523.1.TCF7L2	chr11	113206337	113206350	+	0.000	0.000	Merged-chr11-113206318-17
NR7322--MA0769.1.Tcf7	chr5	97090319	97090330	+	0.000	0.000	Merged-chr5-97090318-20
NR748--MA0523.1.TCF7L2	chr1	191259381	191259394	+	0.000	0.000	Merged-chr1-191259374-46
NR6250--MA0769.1.Tcf7	chr3	152432729	152432740	-	0.000	0.000	Merged-chr3-152432739-55
NR5393--MA0769.1.Tcf7	chr2	150578761	150578772	-	0.000	0.000	Merged-chr2-150578789-44
NR8770--MA0769.1.Tcf7	chr8	57828446	57828457	+	0.000	0.000	Merged-chr8-57828491-18
NR3509--MA0769.1.Tcf7	chr15	94255284	94255295	-	0.000	0.000	Merged-chr15-94255177-46
NR5926--MA0769.1.Tcf7	chr3	89892614	89892625	-	0.000	0.000	Merged-chr3-89892725-25
NR9262--MA0523.1.TCF7L2	chr9	94945765	94945778	+	0.000	0.000	Merged-chr9-94945890-45
NR6349--MA0769.1.Tcf7	chr4	11143326	11143337	+	0.000	0.000	Merged-chr4-11143309-7
NR594--MA0769.1.Tcf7	chr1	156710951	156710962	-	0.000	0.000	Merged-chr1-156710970-33
NR8869--MA0769.1.Tcf7	chr8	94428014	94428025	+	0.000	0.000	Merged-chr8-94428208-16
NR1139--MA1421.1.TCF7L1	chr10	75417738	75417749	-	0.000	0.000	Merged-chr10-75417748-37
NR9125--MA0523.1.TCF7L2	chr9	61720239	61720252	+	0.000	0.000	Merged-chr9-61720309-20
NR6022--MA1421.1.TCF7L1	chr3	116374667	116374678	+	0.000	0.000	Merged-chr3-116374678-28
NR8114--MA1421.1.TCF7L1	chr6	149183515	149183526	-	0.000	0.000	Merged-chr6-149183441-13
NR8619--MA0523.1.TCF7L2	chr8	13955239	13955252	+	0.000	0.000	Merged-chr8-13955228-14
NR1070--MA0769.1.Tcf7	chr10	60000165	60000176	-	0.000	0.000	Merged-chr10-60000232-10
NR7372--MA0523.1.TCF7L2	chr5	110594703	110594716	-	0.000	0.000	Merged-chr5-110594723-25
NR4869--MA0523.1.TCF7L2	chr2	30527749	30527762	+	0.000	0.000	Merged-chr2-30527787-16
NR1067--MA0523.1.TCF7L2	chr10	60000108	60000121	+	0.000	0.000	Merged-chr10-60000232-10
NR1332--MA1421.1.TCF7L1	chr10	111578772	111578783	+	0.000	0.000	Merged-chr10-111578564-64
NR7014--MA0769.1.Tcf7	chr5	20087383	20087394	-	0.000	0.000	Merged-chr5-20087381-40
NR7044--MA1421.1.TCF7L1	chr5	28269931	28269942	-	0.000	0.000	Merged-chr5-28269924-54
NR5967--MA0769.1.Tcf7	chr3	103347945	103347956	+	0.000	0.000	Merged-chr3-103347840-2
NR3344--MA0769.1.Tcf7	chr15	50836769	50836780	+	0.000	0.000	Merged-chr15-50836811-19
NR7390--MA0769.1.Tcf7	chr5	118678779	118678790	-	0.000	0.000	Merged-chr5-118678760-15
NR4871--MA1421.1.TCF7L1	chr2	32181554	32181565	-	0.000	0.000	Merged-chr2-32181600-13
NR9451--MA0523.1.TCF7L2	chrX	100789552	100789565	-	0.000	0.000	Merged-chrX-100789555-32
NR2908--MA0769.1.Tcf7	chr14	62879570	62879581	+	0.000	0.000	Merged-chr14-62879632-33
NR2259--MA0769.1.Tcf7	chr13	31505530	31505541	+	0.000	0.000	Merged-chr13-31505526-12
NR286--MA0769.1.Tcf7	chr1	82974090	82974101	+	0.000	0.000	Merged-chr1-82974163-36
NR3595--MA0769.1.Tcf7	chr16	8455243	8455254	+	0.000	0.000	Merged-chr16-8455328-28
NR4059--MA1421.1.TCF7L1	chr17	45632208	45632219	-	0.000	0.000	Merged-chr17-45632137-18
NR7140--MA0523.1.TCF7L2	chr5	52872354	52872367	+	0.000	0.000	Merged-chr5-52872385-12
NR9324--MA0769.1.Tcf7	chr9	116187525	116187536	-	0.000	0.000	Merged-chr9-116187633-9
NR1694--MA0523.1.TCF7L2	chr11	111792112	111792125	-	0.000	0.000	Merged-chr11-111792002-31
NR7899--MA1421.1.TCF7L1	chr6	113487190	113487201	-	0.000	0.000	Merged-chr6-113487219-11
NR1608--MA0769.1.Tcf7	chr11	70265488	70265499	-	0.000	0.000	Merged-chr11-70265494-15
NR209--MA1421.1.TCF7L1	chr1	66552809	66552820	-	0.000	0.000	Merged-chr1-66552771-47
NR8859--MA0523.1.TCF7L2	chr8	91545846	91545859	+	0.000	0.000	Merged-chr8-91545805-43
NR3062--MA1421.1.TCF7L1	chr14	103017331	103017342	+	0.000	0.000	Merged-chr14-103017290-44
NR2326--MA0523.1.TCF7L2	chr13	52702317	52702330	-	0.000	0.000	Merged-chr13-52702318-14
NR6070--MA0523.1.TCF7L2	chr3	126589727	126589740	+	0.000	0.000	Merged-chr3-126589665-27
NR1681--MA0523.1.TCF7L2	chr11	100824189	100824202	-	0.000	0.000	Merged-chr11-100824336-61
NR5006--MA0523.1.TCF7L2	chr2	60717566	60717579	-	0.000	0.000	Merged-chr2-60717548-24
NR1749--MA1421.1.TCF7L1	chr12	8496496	8496507	+	0.000	0.000	Merged-chr12-8496481-10
NR9105--MA0769.1.Tcf7	chr9	48538518	48538529	+	0.000	0.000	Merged-chr9-48538454-59
NR7629--MA1421.1.TCF7L1	chr6	50009502	50009513	-	0.000	0.000	Merged-chr6-50009459-48
NR7136--MA0523.1.TCF7L2	chr5	52125951	52125964	-	0.000	0.000	Merged-chr5-52126006-25
NR5332--MA0769.1.Tcf7	chr2	139925146	139925157	+	0.000	0.000	Merged-chr2-139925145-30
NR9011--MA0769.1.Tcf7	chr9	14262675	14262686	+	0.000	0.000	Merged-chr9-14262730-55
NR5250--MA0523.1.TCF7L2	chr2	120502274	120502287	+	0.000	0.000	Merged-chr2-120502347-30
NR4372--MA0769.1.Tcf7	chr18	46181992	46182003	+	0.000	0.000	Merged-chr18-46182052-26
NR8583--MA0523.1.TCF7L2	chr7	143624756	143624769	+	0.000	0.000	Merged-chr7-143624807-1
NR7194--MA0769.1.Tcf7	chr5	64764617	64764628	+	0.000	0.000	Merged-chr5-64764597-23
NR1736--MA1421.1.TCF7L1	chr12	3990035	3990046	+	0.000	0.000	Merged-chr12-3989980-1
NR8378--MA0769.1.Tcf7	chr7	79190893	79190904	+	0.000	0.000	Merged-chr7-79190820-25
NR5427--MA0523.1.TCF7L2	chr2	158723985	158723998	+	0.000	0.000	Merged-chr2-158724013-3
NR7448--MA1421.1.TCF7L1	chr5	140502567	140502578	-	0.000	0.000	Merged-chr5-140502630-23
NR7982--MA0523.1.TCF7L2	chr6	130029886	130029899	+	0.000	0.000	Merged-chr6-130029953-23
NR46--MA0769.1.Tcf7	chr1	13311990	13312001	-	0.000	0.000	Merged-chr1-13311989-20
NR5001--MA0769.1.Tcf7	chr2	59469816	59469827	-	0.000	0.000	Merged-chr2-59469655-1
NR4416--MA1421.1.TCF7L1	chr18	55454037	55454048	-	0.000	0.000	Merged-chr18-55454069-39
NR7389--MA0523.1.TCF7L2	chr5	118678777	118678790	-	0.000	0.000	Merged-chr5-118678760-15
NR5122--MA0769.1.Tcf7	chr2	84837928	84837939	+	0.000	0.000	Merged-chr2-84838147-43
NR3184--MA0769.1.Tcf7	chr15	6726750	6726761	-	0.000	0.000	Merged-chr15-6726597-28
NR7860--MA1421.1.TCF7L1	chr6	103309150	103309161	-	0.000	0.000	Merged-chr6-103309092-13
NR8611--MA0769.1.Tcf7	chr8	9972022	9972033	-	0.000	0.000	Merged-chr8-9972076-6
NR1667--MA0769.1.Tcf7	chr11	97905527	97905538	-	0.000	0.000	Merged-chr11-97905718-19
NR4029--MA1421.1.TCF7L1	chr17	34305139	34305150	-	0.000	0.000	Merged-chr17-34305077-21
NR7338--MA0523.1.TCF7L2	chr5	100929942	100929955	-	0.000	0.000	Merged-chr5-100929891-31
NR4492--MA1421.1.TCF7L1	chr18	68234617	68234628	-	0.000	0.000	Merged-chr18-68234781-25
NR4704--MA1421.1.TCF7L1	chr19	47447296	47447307	+	0.000	0.000	Merged-chr19-47447149-19
NR5452--MA0523.1.TCF7L2	chr2	164534496	164534509	-	0.000	0.000	Merged-chr2-164534526-17
NR7544--MA0523.1.TCF7L2	chr6	22412081	22412094	-	0.000	0.000	Merged-chr6-22412021-48
NR7473--MA1421.1.TCF7L1	chr5	149459345	149459356	+	0.000	0.000	Merged-chr5-149459249-24
NR6197--MA1421.1.TCF7L1	chr3	146127483	146127494	+	0.000	0.000	Merged-chr3-146127552-12
NR1130--MA0769.1.Tcf7	chr10	71362094	71362105	-	0.000	0.000	Merged-chr10-71362071-33
NR9021--MA0523.1.TCF7L2	chr9	15580246	15580259	+	0.000	0.000	Merged-chr9-15580396-18
NR1242--MA0769.1.Tcf7	chr10	96201432	96201443	+	0.000	0.000	Merged-chr10-96201472-66
NR5499--MA0523.1.TCF7L2	chr2	173444378	173444391	+	0.000	0.000	Merged-chr2-173444560-32
NR453--MA0769.1.Tcf7	chr1	131006382	131006393	+	0.000	0.000	Merged-chr1-131006286-18
NR6520--MA1421.1.TCF7L1	chr4	58236061	58236072	-	0.000	0.000	Merged-chr4-58236026-17
NR7144--MA0523.1.TCF7L2	chr5	53584556	53584569	-	0.000	0.000	Merged-chr5-53584497-5
NR4862--MA1421.1.TCF7L1	chr2	25828733	25828744	+	0.000	0.000	Merged-chr2-25828697-14
NR1866--MA0523.1.TCF7L2	chr12	41167987	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR7786--MA0769.1.Tcf7	chr6	89421749	89421760	-	0.000	0.000	Merged-chr6-89421751-50
NR7784--MA0523.1.TCF7L2	chr6	89288315	89288328	-	0.000	0.000	Merged-chr6-89288372-31
NR8536--MA0769.1.Tcf7	chr7	125507467	125507478	+	0.000	0.000	Merged-chr7-125507552-10
NR6882--MA0523.1.TCF7L2	chr4	152190028	152190041	-	0.000	0.000	Merged-chr4-152190053-24
NR2346--MA0769.1.Tcf7	chr13	59696013	59696024	+	0.000	0.000	Merged-chr13-59695978-11
NR8622--MA0523.1.TCF7L2	chr8	13986986	13986999	-	0.000	0.000	Merged-chr8-13987133-66
NR4630--MA1421.1.TCF7L1	chr19	10777031	10777042	+	0.000	0.000	Merged-chr19-10777211-32
NR5289--MA0769.1.Tcf7	chr2	132669431	132669442	+	0.000	0.000	Merged-chr2-132669439-31
NR7142--MA1421.1.TCF7L1	chr5	53584551	53584562	-	0.000	0.000	Merged-chr5-53584497-5
NR1247--MA0523.1.TCF7L2	chr10	96955143	96955156	+	0.000	0.000	Merged-chr10-96955164-15
NR311--MA1421.1.TCF7L1	chr1	88475655	88475666	+	0.000	0.000	Merged-chr1-88475619-20
NR1439--MA1421.1.TCF7L1	chr11	5415750	5415761	+	0.000	0.000	Merged-chr11-5415987-23
NR3135--MA1421.1.TCF7L1	chr14	120373007	120373018	-	0.000	0.000	Merged-chr14-120372978-21
NR7729--MA0523.1.TCF7L2	chr6	67318092	67318105	-	0.000	0.000	Merged-chr6-67318064-30
NR5469--MA0523.1.TCF7L2	chr2	168575213	168575226	-	0.000	0.000	Merged-chr2-168575169-53
NR5880--MA0769.1.Tcf7	chr3	79536028	79536039	-	0.000	0.000	Merged-chr3-79535854-18
NR2136--MA0769.1.Tcf7	chr13	5313263	5313274	-	0.000	0.000	Merged-chr13-5313405-28
NR783--MA1421.1.TCF7L1	chr10	6954709	6954720	-	0.000	0.000	Merged-chr10-6954726-16
