#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR54256--MA0741.1.KLF16	chr5	148489495	148489505	-	0.000	0.000	Merged-chr5-148489625-52
NR69973--MA1107.1.KLF9	chr9	87026076	87026088	+	0.000	0.000	Merged-chr9-87025935-38
NR42289--MA0599.1.KLF5	chr3	101570912	101570921	+	0.000	0.000	Merged-chr3-101570775-35
NR44463--MA1107.1.KLF9	chr4	6925027	6925039	-	0.000	0.000	Merged-chr4-6924913-49
NR55509--MA0741.1.KLF16	chr6	54092919	54092929	+	0.000	0.000	Merged-chr6-54092801-44
NR24850--MA1107.1.KLF9	chr15	101388110	101388122	+	0.000	0.000	Merged-chr15-101388154-52
NR42478--MA0741.1.KLF16	chr3	104771698	104771708	-	0.000	0.000	Merged-chr3-104771571-48
NR45855--MA0741.1.KLF16	chr4	63401085	63401095	+	0.000	0.000	Merged-chr4-63401068-56
NR13358--MA0039.3.KLF4	chr12	4065645	4065655	+	0.000	0.000	Merged-chr12-4065716-30
NR12502--MA0657.1.KLF13	chr11	106536354	106536371	+	0.000	0.000	Merged-chr11-106536245-61
NR46020--MA0657.1.KLF13	chr4	82755888	82755905	+	0.000	0.000	Merged-chr4-82755852-39
NR8156--MA0493.1.Klf1	chr10	111031828	111031838	+	0.000	0.000	Merged-chr10-111031729-43
NR11547--MA0599.1.KLF5	chr11	87745142	87745151	-	0.000	0.000	Merged-chr11-87745119-47
NR62049--MA0740.1.KLF14	chr7	110203785	110203798	-	0.000	0.000	Merged-chr7-110203728-41
NR18907--MA0493.1.Klf1	chr13	117223259	117223269	+	0.000	0.000	Merged-chr13-117223399-24
NR46634--MA1107.1.KLF9	chr4	107006402	107006414	-	0.000	0.000	Merged-chr4-107006366-21
NR56850--MA0740.1.KLF14	chr6	108630897	108630910	+	0.000	0.000	Merged-chr6-108631007-44
NR63859--MA0039.3.KLF4	chr7	143724084	143724094	+	0.000	0.000	Merged-chr7-143724096-15
NR22460--MA1107.1.KLF9	chr15	25884682	25884694	-	0.000	0.000	Merged-chr15-25884835-36
NR9166--MA0599.1.KLF5	chr11	4206008	4206017	-	0.000	0.000	Merged-chr11-4206247-48
NR48801--MA0493.1.Klf1	chr4	150894668	150894678	+	0.000	0.000	Merged-chr4-150894695-19
NR26108--MA1107.1.KLF9	chr16	44362189	44362201	+	0.000	0.000	Merged-chr16-44362356-45
NR39324--MA0599.1.KLF5	chr2	160471239	160471248	+	0.000	0.000	Merged-chr2-160471164-70
NR30791--MA0599.1.KLF5	chr18	4296001	4296010	+	0.000	0.000	Merged-chr18-4296046-21
NR50023--MA0493.1.Klf1	chr5	35176592	35176602	+	0.000	0.000	Merged-chr5-35176446-65
NR55064--MA0742.1.Klf12	chr6	38810071	38810085	+	0.000	0.000	Merged-chr6-38810070-95
NR63759--MA0740.1.KLF14	chr7	142354081	142354094	+	0.000	0.000	Merged-chr7-142354183-49
NR12504--MA0741.1.KLF16	chr11	106536356	106536366	+	0.000	0.000	Merged-chr11-106536245-61
NR37307--MA0741.1.KLF16	chr2	101762097	101762107	+	0.000	0.000	Merged-chr2-101762037-3
NR48479--MA0493.1.Klf1	chr4	144901710	144901720	+	0.000	0.000	Merged-chr4-144901724-37
NR44482--MA0493.1.Klf1	chr4	8834802	8834812	-	0.000	0.000	Merged-chr4-8834782-18
NR58607--MA0741.1.KLF16	chr6	146081079	146081089	-	0.000	0.000	Merged-chr6-146081045-99
NR62090--MA0741.1.KLF16	chr7	110796447	110796457	-	0.000	0.000	Merged-chr7-110796429-1
NR26457--MA0039.3.KLF4	chr16	64800653	64800663	+	0.000	0.000	Merged-chr16-64800516-42
NR25954--MA0740.1.KLF14	chr16	36985751	36985764	-	0.000	0.000	Merged-chr16-36985776-57
NR55068--MA0741.1.KLF16	chr6	38810072	38810082	+	0.000	0.000	Merged-chr6-38810070-95
NR33817--MA0741.1.KLF16	chr19	38746191	38746201	-	0.000	0.000	Merged-chr19-38746267-36
NR69656--MA1107.1.KLF9	chr9	78074219	78074231	+	0.000	0.000	Merged-chr9-78074095-46
NR47890--MA1107.1.KLF9	chr4	134734841	134734853	+	0.000	0.000	Merged-chr4-134734669-83
NR33815--MA0599.1.KLF5	chr19	38746192	38746201	-	0.000	0.000	Merged-chr19-38746267-36
NR33492--MA0493.1.Klf1	chr19	21786047	21786057	-	0.000	0.000	Merged-chr19-21785964-7
NR58420--MA0493.1.Klf1	chr6	142862378	142862388	-	0.000	0.000	Merged-chr6-142862347-56
NR15391--MA1107.1.KLF9	chr12	105001113	105001125	+	0.000	0.000	Merged-chr12-105001185-43
NR1688--MA0741.1.KLF16	chr1	91825520	91825530	-	0.000	0.000	Merged-chr1-91825474-20
NR18178--MA0493.1.Klf1	chr13	98692033	98692043	-	0.000	0.000	Merged-chr13-98692096-35
NR22134--MA1107.1.KLF9	chr14	122187049	122187061	+	0.000	0.000	Merged-chr14-122187060-26
NR48086--MA0599.1.KLF5	chr4	137603899	137603908	+	0.000	0.000	Merged-chr4-137603877-24
NR55510--MA0741.1.KLF16	chr6	54092923	54092933	+	0.000	0.000	Merged-chr6-54092801-44
NR33491--MA0039.3.KLF4	chr19	21786045	21786055	-	0.000	0.000	Merged-chr19-21785964-7
NR10274--MA0741.1.KLF16	chr11	55131119	55131129	+	0.000	0.000	Merged-chr11-55131266-10
NR42315--MA0742.1.Klf12	chr3	101748435	101748449	+	0.000	0.000	Merged-chr3-101748481-44
NR61689--MA0741.1.KLF16	chr7	99834114	99834124	-	0.000	0.000	Merged-chr7-99833987-52
NR42660--MA0039.3.KLF4	chr3	109133239	109133249	+	0.000	0.000	Merged-chr3-109133281-24
NR18876--MA1107.1.KLF9	chr13	114887433	114887445	-	0.000	0.000	Merged-chr13-114887526-35
NR34456--MA0740.1.KLF14	chr19	56756561	56756574	-	0.000	0.000	Merged-chr19-56756635-43
NR15127--MA0039.3.KLF4	chr12	94083600	94083610	+	0.000	0.000	Merged-chr12-94083592-14
NR50020--MA0740.1.KLF14	chr5	35176592	35176605	+	0.000	0.000	Merged-chr5-35176446-65
NR7817--MA0740.1.KLF14	chr10	94942957	94942970	+	0.000	0.000	Merged-chr10-94942923-6
NR66852--MA0039.3.KLF4	chr8	116645533	116645543	-	0.000	0.000	Merged-chr8-116645599-31
NR55513--MA1107.1.KLF9	chr6	54092922	54092934	+	0.000	0.000	Merged-chr6-54092801-44
NR39710--MA0599.1.KLF5	chr2	168492185	168492194	-	0.000	0.000	Merged-chr2-168492092-36
NR44108--MA0741.1.KLF16	chr3	152152188	152152198	+	0.000	0.000	Merged-chr3-152152191-31
NR743--MA0741.1.KLF16	chr1	52578326	52578336	+	0.000	0.000	Merged-chr1-52578518-39
NR23699--MA1107.1.KLF9	chr15	78835207	78835219	-	0.000	0.000	Merged-chr15-78835387-37
NR33647--MA0741.1.KLF16	chr19	31337343	31337353	-	0.000	0.000	Merged-chr19-31337298-1
NR71205--MA0039.3.KLF4	chr9	117896557	117896567	+	0.000	0.000	Merged-chr9-117896590-25
NR66893--MA1107.1.KLF9	chr8	117052561	117052573	-	0.000	0.000	Merged-chr8-117052612-3
NR25797--MA0740.1.KLF14	chr16	32812976	32812989	-	0.000	0.000	Merged-chr16-32813091-39
NR47685--MA1107.1.KLF9	chr4	132749038	132749050	-	0.000	0.000	Merged-chr4-132748989-25
NR61202--MA1107.1.KLF9	chr7	80450046	80450058	+	0.000	0.000	Merged-chr7-80450087-44
NR50445--MA0741.1.KLF16	chr5	54111080	54111090	+	0.000	0.000	Merged-chr5-54110931-21
NR4788--MA0599.1.KLF5	chr1	191097833	191097842	+	0.000	0.000	Merged-chr1-191097986-4
NR27018--MA0741.1.KLF16	chr16	91588232	91588242	+	0.000	0.000	Merged-chr16-91588038-25
NR15705--MA0039.3.KLF4	chr12	110506241	110506251	-	0.000	0.000	Merged-chr12-110506270-12
NR58586--MA1107.1.KLF9	chr6	145256892	145256904	+	0.000	0.000	Merged-chr6-145256997-16
NR61435--MA1107.1.KLF9	chr7	90355557	90355569	-	0.000	0.000	Merged-chr7-90355618-52
NR23118--MA0493.1.Klf1	chr15	60120108	60120118	-	0.000	0.000	Merged-chr15-60120172-38
NR69027--MA0599.1.KLF5	chr9	60998295	60998304	-	0.000	0.000	Merged-chr9-60998373-9
NR33942--MA0740.1.KLF14	chr19	41597370	41597383	-	0.000	0.000	Merged-chr19-41597559-38
NR3018--MA0599.1.KLF5	chr1	152084755	152084764	-	0.000	0.000	Merged-chr1-152084822-56
NR57263--MA0039.3.KLF4	chr6	120264383	120264393	-	0.000	0.000	Merged-chr6-120264409-18
NR43680--MA0742.1.Klf12	chr3	141778822	141778836	-	0.000	0.000	Merged-chr3-141778800-74
NR66889--MA1107.1.KLF9	chr8	117052553	117052565	-	0.000	0.000	Merged-chr8-117052612-3
NR11396--MA0493.1.Klf1	chr11	82214556	82214566	-	0.000	0.000	Merged-chr11-82214647-44
NR13357--MA0599.1.KLF5	chr12	4065644	4065653	+	0.000	0.000	Merged-chr12-4065716-30
NR56867--MA0742.1.Klf12	chr6	108665781	108665795	+	0.000	0.000	Merged-chr6-108665749-34
NR59346--MA0599.1.KLF5	chr7	19790020	19790029	+	0.000	0.000	Merged-chr7-19790098-49
NR55063--MA0740.1.KLF14	chr6	38810071	38810084	+	0.000	0.000	Merged-chr6-38810070-95
NR16043--MA0039.3.KLF4	chr12	118424068	118424078	-	0.000	0.000	Merged-chr12-118424167-25
NR13469--MA0599.1.KLF5	chr12	8829818	8829827	-	0.000	0.000	Merged-chr12-8829730-25
NR63858--MA0599.1.KLF5	chr7	143724083	143724092	+	0.000	0.000	Merged-chr7-143724096-15
NR50646--MA0039.3.KLF4	chr5	64651650	64651660	-	0.000	0.000	Merged-chr5-64651532-36
NR52741--MA1107.1.KLF9	chr5	125052282	125052294	+	0.000	0.000	Merged-chr5-125052528-23
NR54255--MA0599.1.KLF5	chr5	148489466	148489475	-	0.000	0.000	Merged-chr5-148489625-52
NR17339--MA0039.3.KLF4	chr13	63189528	63189538	-	0.000	0.000	Merged-chr13-63189715-33
NR17349--MA0493.1.Klf1	chr13	63189866	63189876	+	0.000	0.000	Merged-chr13-63189715-33
NR57927--MA0493.1.Klf1	chr6	134067259	134067269	-	0.000	0.000	Merged-chr6-134067446-111
NR30478--MA0039.3.KLF4	chr17	84116639	84116649	-	0.000	0.000	Merged-chr17-84116630-65
NR23695--MA0740.1.KLF14	chr15	78835206	78835219	-	0.000	0.000	Merged-chr15-78835387-37
NR12395--MA0741.1.KLF16	chr11	104631540	104631550	-	0.000	0.000	Merged-chr11-104631492-24
NR56653--MA1107.1.KLF9	chr6	99435232	99435244	+	0.000	0.000	Merged-chr6-99435291-39
NR29272--MA1107.1.KLF9	chr17	47943112	47943124	+	0.000	0.000	Merged-chr17-47943297-31
NR70525--MA0599.1.KLF5	chr9	104269540	104269549	+	0.000	0.000	Merged-chr9-104269530-16
NR20794--MA0740.1.KLF14	chr14	67886974	67886987	+	0.000	0.000	Merged-chr14-67887091-21
NR66910--MA0742.1.Klf12	chr8	117289160	117289174	-	0.000	0.000	Merged-chr8-117289266-15
NR26456--MA0599.1.KLF5	chr16	64800652	64800661	+	0.000	0.000	Merged-chr16-64800516-42
NR20802--MA1107.1.KLF9	chr14	67912073	67912085	+	0.000	0.000	Merged-chr14-67911920-26
NR16622--MA0493.1.Klf1	chr13	38503553	38503563	+	0.000	0.000	Merged-chr13-38503650-43
NR16735--MA0740.1.KLF14	chr13	43250874	43250887	+	0.000	0.000	Merged-chr13-43250604-89
NR33463--MA0599.1.KLF5	chr19	20424215	20424224	-	0.000	0.000	Merged-chr19-20424322-22
NR10209--MA0599.1.KLF5	chr11	53810298	53810307	-	0.000	0.000	Merged-chr11-53810428-22
NR42497--MA0493.1.Klf1	chr3	104796706	104796716	-	0.000	0.000	Merged-chr3-104796663-34
NR43922--MA1107.1.KLF9	chr3	148419632	148419644	-	0.000	0.000	Merged-chr3-148419698-33
NR50017--MA0599.1.KLF5	chr5	35176572	35176581	-	0.000	0.000	Merged-chr5-35176446-65
NR62101--MA0493.1.Klf1	chr7	110956798	110956808	+	0.000	0.000	Merged-chr7-110956692-58
NR58582--MA0742.1.Klf12	chr6	145256892	145256906	+	0.000	0.000	Merged-chr6-145256997-16
NR43152--MA1107.1.KLF9	chr3	127892091	127892103	-	0.000	0.000	Merged-chr3-127892051-37
NR56869--MA0493.1.Klf1	chr6	108665781	108665791	+	0.000	0.000	Merged-chr6-108665749-34
NR29268--MA1107.1.KLF9	chr17	47943104	47943116	+	0.000	0.000	Merged-chr17-47943297-31
NR31927--MA1107.1.KLF9	chr18	65107250	65107262	+	0.000	0.000	Merged-chr18-65107334-45
NR43271--MA0742.1.Klf12	chr3	131057377	131057391	-	0.000	0.000	Merged-chr3-131057396-52
NR69972--MA0493.1.Klf1	chr9	87026076	87026086	+	0.000	0.000	Merged-chr9-87025935-38
NR23660--MA1107.1.KLF9	chr15	78495159	78495171	+	0.000	0.000	Merged-chr15-78495177-43
NR4781--MA0740.1.KLF14	chr1	191097789	191097802	+	0.000	0.000	Merged-chr1-191097986-4
NR26218--MA1107.1.KLF9	chr16	49796919	49796931	+	0.000	0.000	Merged-chr16-49797153-43
NR43492--MA0039.3.KLF4	chr3	135675687	135675697	+	0.000	0.000	Merged-chr3-135675679-12
NR747--MA0039.3.KLF4	chr1	52578383	52578393	+	0.000	0.000	Merged-chr1-52578518-39
NR50025--MA1107.1.KLF9	chr5	35176592	35176604	+	0.000	0.000	Merged-chr5-35176446-65
NR26454--MA0657.1.KLF13	chr16	64800650	64800667	+	0.000	0.000	Merged-chr16-64800516-42
NR69971--MA0039.3.KLF4	chr9	87026078	87026088	+	0.000	0.000	Merged-chr9-87025935-38
NR4358--MA0039.3.KLF4	chr1	182383214	182383224	-	0.000	0.000	Merged-chr1-182383219-38
NR10270--MA0657.1.KLF13	chr11	55131117	55131134	+	0.000	0.000	Merged-chr11-55131266-10
NR39184--MA0741.1.KLF16	chr2	157424108	157424118	-	0.000	0.000	Merged-chr2-157424284-16
NR26236--MA1107.1.KLF9	chr16	49982434	49982446	-	0.000	0.000	Merged-chr16-49982447-38
NR68968--MA0741.1.KLF16	chr9	58583282	58583292	-	0.000	0.000	Merged-chr9-58583464-18
NR63638--MA0039.3.KLF4	chr7	140999462	140999472	+	0.000	0.000	Merged-chr7-140999347-54
NR28123--MA0741.1.KLF16	chr17	25583846	25583856	+	0.000	0.000	Merged-chr17-25583989-33
NR67111--MA0039.3.KLF4	chr8	120701896	120701906	-	0.000	0.000	Merged-chr8-120702084-56
NR15126--MA0599.1.KLF5	chr12	94083599	94083608	+	0.000	0.000	Merged-chr12-94083592-14
NR69233--MA0740.1.KLF14	chr9	66158204	66158217	+	0.000	0.000	Merged-chr9-66158396-48
NR51040--MA0599.1.KLF5	chr5	77140303	77140312	+	0.000	0.000	Merged-chr5-77140362-54
NR16625--MA0742.1.Klf12	chr13	38503655	38503669	+	0.000	0.000	Merged-chr13-38503650-43
NR14030--MA0039.3.KLF4	chr12	40248927	40248937	-	0.000	0.000	Merged-chr12-40248857-57
NR18873--MA0657.1.KLF13	chr13	114887429	114887446	-	0.000	0.000	Merged-chr13-114887526-35
NR34460--MA0741.1.KLF16	chr19	56756563	56756573	-	0.000	0.000	Merged-chr19-56756635-43
NR69654--MA1107.1.KLF9	chr9	78074215	78074227	+	0.000	0.000	Merged-chr9-78074095-46
NR30551--MA1107.1.KLF9	chr17	85908829	85908841	+	0.000	0.000	Merged-chr17-85908968-35
NR46021--MA0742.1.Klf12	chr4	82755889	82755903	+	0.000	0.000	Merged-chr4-82755852-39
NR45301--MA0741.1.KLF16	chr4	46404271	46404281	+	0.000	0.000	Merged-chr4-46404308-42
NR8861--MA0039.3.KLF4	chr10	127141096	127141106	+	0.000	0.000	Merged-chr10-127141144-2
NR58422--MA1107.1.KLF9	chr6	142862376	142862388	-	0.000	0.000	Merged-chr6-142862347-56
NR41887--MA0493.1.Klf1	chr3	94388229	94388239	-	0.000	0.000	Merged-chr3-94388255-39
NR52340--MA0493.1.Klf1	chr5	118404362	118404372	+	0.000	0.000	Merged-chr5-118404562-37
NR33934--MA0599.1.KLF5	chr19	41360631	41360640	+	0.000	0.000	Merged-chr19-41360707-21
NR39338--MA0741.1.KLF16	chr2	160657972	160657982	-	0.000	0.000	Merged-chr2-160657923-30
NR15704--MA0599.1.KLF5	chr12	110506249	110506258	-	0.000	0.000	Merged-chr12-110506270-12
NR70530--MA0741.1.KLF16	chr9	104269542	104269552	+	0.000	0.000	Merged-chr9-104269530-16
NR63446--MA0039.3.KLF4	chr7	137476771	137476781	+	0.000	0.000	Merged-chr7-137476773-22
NR58580--MA0599.1.KLF5	chr6	145249631	145249640	-	0.000	0.000	Merged-chr6-145249454-6
NR30547--MA1107.1.KLF9	chr17	85908760	85908772	+	0.000	0.000	Merged-chr17-85908611-2
NR10326--MA0742.1.Klf12	chr11	57952966	57952980	-	0.000	0.000	Merged-chr11-57952769-40
NR57262--MA0599.1.KLF5	chr6	120264385	120264394	-	0.000	0.000	Merged-chr6-120264409-18
NR52429--MA0039.3.KLF4	chr5	120685780	120685790	+	0.000	0.000	Merged-chr5-120685893-52
NR66909--MA0657.1.KLF13	chr8	117289158	117289175	-	0.000	0.000	Merged-chr8-117289266-15
NR55991--MA0741.1.KLF16	chr6	82744661	82744671	-	0.000	0.000	Merged-chr6-82744737-54
NR58416--MA0740.1.KLF14	chr6	142862375	142862388	-	0.000	0.000	Merged-chr6-142862347-56
NR16042--MA0599.1.KLF5	chr12	118424070	118424079	-	0.000	0.000	Merged-chr12-118424167-25
NR50645--MA0599.1.KLF5	chr5	64651647	64651656	-	0.000	0.000	Merged-chr5-64651532-36
NR17338--MA0599.1.KLF5	chr13	63189530	63189539	-	0.000	0.000	Merged-chr13-63189715-33
NR61097--MA1107.1.KLF9	chr7	79249795	79249807	-	0.000	0.000	Merged-chr7-79249720-34
NR46019--MA0740.1.KLF14	chr4	82755889	82755902	+	0.000	0.000	Merged-chr4-82755852-39
NR8157--MA0741.1.KLF16	chr10	111031829	111031839	+	0.000	0.000	Merged-chr10-111031729-43
NR56149--MA1107.1.KLF9	chr6	86607666	86607678	-	0.000	0.000	Merged-chr6-86607706-49
NR39489--MA0599.1.KLF5	chr2	164867067	164867076	+	0.000	0.000	Merged-chr2-164866998-31
NR8465--MA0599.1.KLF5	chr10	118884344	118884353	-	0.000	0.000	Merged-chr10-118884259-20
NR8860--MA0742.1.Klf12	chr10	127141094	127141108	+	0.000	0.000	Merged-chr10-127141144-2
NR18874--MA0039.3.KLF4	chr13	114887433	114887443	-	0.000	0.000	Merged-chr13-114887526-35
NR54457--MA0742.1.Klf12	chr6	3536249	3536263	+	0.000	0.000	Merged-chr6-3536376-27
NR20796--MA0599.1.KLF5	chr14	67886975	67886984	+	0.000	0.000	Merged-chr14-67887091-21
NR42529--MA0740.1.KLF14	chr3	105825730	105825743	+	0.000	0.000	Merged-chr3-105825792-34
NR43526--MA0493.1.Klf1	chr3	136556572	136556582	-	0.000	0.000	Merged-chr3-136556627-33
NR43270--MA0740.1.KLF14	chr3	131057378	131057391	-	0.000	0.000	Merged-chr3-131057396-52
NR1078--MA0599.1.KLF5	chr1	69513676	69513685	+	0.000	0.000	Merged-chr1-69513618-39
NR2047--MA0599.1.KLF5	chr1	120055708	120055717	-	0.000	0.000	Merged-chr1-120055701-50
NR4361--MA0599.1.KLF5	chr1	182383261	182383270	-	0.000	0.000	Merged-chr1-182383219-38
NR39492--MA0039.3.KLF4	chr2	164867103	164867113	+	0.000	0.000	Merged-chr2-164866998-31
NR58417--MA0657.1.KLF13	chr6	142862372	142862389	-	0.000	0.000	Merged-chr6-142862347-56
NR14873--MA0039.3.KLF4	chr12	86310094	86310104	+	0.000	0.000	Merged-chr12-86310059-67
NR46025--MA1107.1.KLF9	chr4	82755889	82755901	+	0.000	0.000	Merged-chr4-82755852-39
NR11398--MA1107.1.KLF9	chr11	82214554	82214566	-	0.000	0.000	Merged-chr11-82214647-44
NR59362--MA0599.1.KLF5	chr7	19946292	19946301	+	0.000	0.000	Merged-chr7-19946114-52
NR61434--MA0493.1.Klf1	chr7	90355559	90355569	-	0.000	0.000	Merged-chr7-90355618-52
NR15702--MA0742.1.Klf12	chr12	110506239	110506253	-	0.000	0.000	Merged-chr12-110506270-12
NR7819--MA0599.1.KLF5	chr10	94942958	94942967	+	0.000	0.000	Merged-chr10-94942923-6
NR13471--MA0741.1.KLF16	chr12	8829811	8829821	-	0.000	0.000	Merged-chr12-8829730-25
NR20308--MA0493.1.Klf1	chr14	54061508	54061518	+	0.000	0.000	Merged-chr14-54061633-25
NR45298--MA1107.1.KLF9	chr4	46404105	46404117	+	0.000	0.000	Merged-chr4-46404308-42
NR61433--MA0039.3.KLF4	chr7	90355557	90355567	-	0.000	0.000	Merged-chr7-90355618-52
NR14547--MA1107.1.KLF9	chr12	73657013	73657025	+	0.000	0.000	Merged-chr12-73656860-57
NR60008--MA1107.1.KLF9	chr7	31161054	31161066	-	0.000	0.000	Merged-chr7-31161172-57
NR43491--MA0599.1.KLF5	chr3	135675686	135675695	+	0.000	0.000	Merged-chr3-135675679-12
NR69970--MA0599.1.KLF5	chr9	87026077	87026086	+	0.000	0.000	Merged-chr9-87025935-38
NR4357--MA0599.1.KLF5	chr1	182383216	182383225	-	0.000	0.000	Merged-chr1-182383219-38
NR56875--MA1107.1.KLF9	chr6	108717912	108717924	-	0.000	0.000	Merged-chr6-108717791-30
NR56870--MA0039.3.KLF4	chr6	108672299	108672309	+	0.000	0.000	Merged-chr6-108672304-39
NR67110--MA0599.1.KLF5	chr8	120701898	120701907	-	0.000	0.000	Merged-chr8-120702084-56
NR48475--MA0599.1.KLF5	chr4	144901551	144901560	+	0.000	0.000	Merged-chr4-144901724-37
NR745--MA1107.1.KLF9	chr1	52578321	52578333	+	0.000	0.000	Merged-chr1-52578518-39
NR53247--MA0039.3.KLF4	chr5	134494508	134494518	+	0.000	0.000	Merged-chr5-134494514-28
NR70527--MA0741.1.KLF16	chr9	104269534	104269544	+	0.000	0.000	Merged-chr9-104269530-16
NR29391--MA1107.1.KLF9	chr17	51396114	51396126	-	0.000	0.000	Merged-chr17-51396225-19
NR740--MA0039.3.KLF4	chr1	52578323	52578333	+	0.000	0.000	Merged-chr1-52578518-39
NR31025--MA1107.1.KLF9	chr18	23828651	23828663	-	0.000	0.000	Merged-chr18-23828715-22
NR50443--MA0039.3.KLF4	chr5	54111081	54111091	+	0.000	0.000	Merged-chr5-54110931-21
NR27086--MA0742.1.Klf12	chr16	93552856	93552870	+	0.000	0.000	Merged-chr16-93552984-42
NR4115--MA0493.1.Klf1	chr1	177008854	177008864	+	0.000	0.000	Merged-chr1-177008942-27
NR56652--MA0493.1.Klf1	chr6	99435232	99435242	+	0.000	0.000	Merged-chr6-99435291-39
NR33943--MA0741.1.KLF16	chr19	41597372	41597382	-	0.000	0.000	Merged-chr19-41597559-38
NR10325--MA0740.1.KLF14	chr11	57952967	57952980	-	0.000	0.000	Merged-chr11-57952769-40
NR11578--MA0741.1.KLF16	chr11	88131944	88131954	+	0.000	0.000	Merged-chr11-88132051-21
NR13587--MA0039.3.KLF4	chr12	17511205	17511215	+	0.000	0.000	Merged-chr12-17511273-48
NR17346--MA0741.1.KLF16	chr13	63189568	63189578	-	0.000	0.000	Merged-chr13-63189715-33
NR8464--MA0742.1.Klf12	chr10	118884340	118884354	-	0.000	0.000	Merged-chr10-118884259-20
NR20801--MA0493.1.Klf1	chr14	67912073	67912083	+	0.000	0.000	Merged-chr14-67911920-26
NR25634--MA0741.1.KLF16	chr16	24160876	24160886	+	0.000	0.000	Merged-chr16-24160756-32
NR21474--MA1107.1.KLF9	chr14	101879180	101879192	+	0.000	0.000	Merged-chr14-101879110-69
NR16624--MA0039.3.KLF4	chr13	38503601	38503611	+	0.000	0.000	Merged-chr13-38503650-43
NR43921--MA0493.1.Klf1	chr3	148419634	148419644	-	0.000	0.000	Merged-chr3-148419698-33
NR30404--MA0740.1.KLF14	chr17	83654863	83654876	-	0.000	0.000	Merged-chr17-83654883-58
NR15131--MA0742.1.Klf12	chr12	94083629	94083643	+	0.000	0.000	Merged-chr12-94083592-14
NR33651--MA0741.1.KLF16	chr19	31337347	31337357	-	0.000	0.000	Merged-chr19-31337298-1
NR18179--MA0741.1.KLF16	chr13	98692032	98692042	-	0.000	0.000	Merged-chr13-98692096-35
NR58608--MA1107.1.KLF9	chr6	146081156	146081168	-	0.000	0.000	Merged-chr6-146081045-99
NR64509--MA0741.1.KLF16	chr8	27201025	27201035	+	0.000	0.000	Merged-chr8-27201067-26
NR69088--MA1107.1.KLF9	chr9	62368721	62368733	-	0.000	0.000	Merged-chr9-62368780-17
NR47935--MA0039.3.KLF4	chr4	135169319	135169329	+	0.000	0.000	Merged-chr4-135169344-25
NR5497--MA0599.1.KLF5	chr10	26228431	26228440	-	0.000	0.000	Merged-chr10-26228346-20
NR26109--MA1107.1.KLF9	chr16	44362191	44362203	+	0.000	0.000	Merged-chr16-44362356-45
NR36954--MA1107.1.KLF9	chr2	84779333	84779345	-	0.000	0.000	Merged-chr2-84779489-49
NR30792--MA0599.1.KLF5	chr18	4296006	4296015	+	0.000	0.000	Merged-chr18-4296046-21
NR33935--MA0741.1.KLF16	chr19	41360631	41360641	+	0.000	0.000	Merged-chr19-41360707-21
NR4107--MA0741.1.KLF16	chr1	176827653	176827663	-	0.000	0.000	Merged-chr1-176827492-35
NR22456--MA0740.1.KLF14	chr15	25884681	25884694	-	0.000	0.000	Merged-chr15-25884835-36
NR28122--MA0742.1.Klf12	chr17	25583845	25583859	+	0.000	0.000	Merged-chr17-25583989-33
NR53526--MA1107.1.KLF9	chr5	137692130	137692142	+	0.000	0.000	Merged-chr5-137692077-23
NR30550--MA0493.1.Klf1	chr17	85908829	85908839	+	0.000	0.000	Merged-chr17-85908968-35
NR42296--MA0741.1.KLF16	chr3	101570967	101570977	+	0.000	0.000	Merged-chr3-101570775-35
NR26455--MA0742.1.Klf12	chr16	64800651	64800665	+	0.000	0.000	Merged-chr16-64800516-42
NR55070--MA1107.1.KLF9	chr6	38810071	38810083	+	0.000	0.000	Merged-chr6-38810070-95
NR22010--MA0493.1.Klf1	chr14	120313649	120313659	+	0.000	0.000	Merged-chr14-120313531-118
NR30546--MA0742.1.Klf12	chr17	85908760	85908774	+	0.000	0.000	Merged-chr17-85908611-2
NR62486--MA0740.1.KLF14	chr7	119860416	119860429	+	0.000	0.000	Merged-chr7-119860527-21
NR5860--MA0741.1.KLF16	chr10	44368932	44368942	-	0.000	0.000	Merged-chr10-44368737-26
NR33643--MA0741.1.KLF16	chr19	31337339	31337349	-	0.000	0.000	Merged-chr19-31337298-1
NR7314--MA0493.1.Klf1	chr10	81537629	81537639	-	0.000	0.000	Merged-chr10-81537486-38
NR69657--MA1107.1.KLF9	chr9	78074221	78074233	+	0.000	0.000	Merged-chr9-78074095-46
NR55069--MA0741.1.KLF16	chr6	38810076	38810086	+	0.000	0.000	Merged-chr6-38810070-95
NR9167--MA0493.1.Klf1	chr11	4206008	4206018	-	0.000	0.000	Merged-chr11-4206247-48
NR57578--MA0599.1.KLF5	chr6	127103210	127103219	-	0.000	0.000	Merged-chr6-127103000-20
