#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR12797--MA0089.1.MAFG::NFE2L1	chr7	68250585	68250590	-	0.000	0.000	Merged-chr7-68250535-42
NR8040--MA0501.1.MAF::NFE2	chr2	102733285	102733299	+	0.000	0.000	Merged-chr2-102733347-57
NR2800--MA0089.1.MAFG::NFE2L1	chr11	117092973	117092978	+	0.000	0.000	Merged-chr11-117092893-43
NR11262--MA0089.1.MAFG::NFE2L1	chr5	115474452	115474457	-	0.000	0.000	Merged-chr5-115474524-35
NR6842--MA0496.2.MAFK	chr18	54822971	54822989	+	0.000	0.000	Merged-chr18-54822886-30
NR14611--MA0501.1.MAF::NFE2	chr9	104258160	104258174	-	0.000	0.000	Merged-chr9-104258018-4
NR2259--MA0496.2.MAFK	chr11	23570307	23570325	-	0.000	0.000	Merged-chr11-23570355-13
NR13232--MA0089.1.MAFG::NFE2L1	chr7	130893287	130893292	+	0.000	0.000	Merged-chr7-130893114-41
NR4007--MA0659.1.MAFG	chr13	90101751	90101771	+	0.000	0.000	Merged-chr13-90101603-11
NR13908--MA0495.2.MAFF	chr8	111624157	111624177	-	0.000	0.000	Merged-chr8-111624206-14
NR938--MA0089.1.MAFG::NFE2L1	chr1	162557486	162557491	-	0.000	0.000	Merged-chr1-162557712-25
NR9555--MA0089.1.MAFG::NFE2L1	chr3	138992833	138992838	+	0.000	0.000	Merged-chr3-138992913-17
NR7928--MA0496.2.MAFK	chr2	83700796	83700814	+	0.000	0.000	Merged-chr2-83700891-43
NR4991--MA0501.1.MAF::NFE2	chr14	121710267	121710281	+	0.000	0.000	Merged-chr14-121710333-21
NR1958--MA0591.1.Bach1::Mafk	chr10	111562752	111562766	-	0.000	0.000	Merged-chr10-111562842-26
NR11332--MA0659.1.MAFG	chr5	132218577	132218597	+	0.000	0.000	Merged-chr5-132218633-11
NR7606--MA0496.2.MAFK	chr2	32181555	32181573	+	0.000	0.000	Merged-chr2-32181600-13
NR13716--MA0495.2.MAFF	chr8	83131932	83131952	+	0.000	0.000	Merged-chr8-83131891-13
NR1881--MA0089.1.MAFG::NFE2L1	chr10	95914631	95914636	-	0.000	0.000	Merged-chr10-95914776-60
NR6377--MA0591.1.Bach1::Mafk	chr17	48404019	48404033	-	0.000	0.000	Merged-chr17-48404057-9
NR2759--MA0117.2.Mafb	chr11	109785552	109785563	-	0.000	0.000	Merged-chr11-109785498-8
NR4740--MA0495.2.MAFF	chr14	73472443	73472463	+	0.000	0.000	Merged-chr14-73472602-8
NR10353--MA0089.1.MAFG::NFE2L1	chr4	126090367	126090372	-	0.000	0.000	Merged-chr4-126090420-25
NR6865--MA0089.1.MAFG::NFE2L1	chr18	57970375	57970380	-	0.000	0.000	Merged-chr18-57970531-36
NR357--MA0659.1.MAFG	chr1	78422793	78422813	+	0.000	0.000	Merged-chr1-78422740-38
NR8853--MA0501.1.MAF::NFE2	chr3	28317954	28317968	-	0.000	0.000	Merged-chr3-28318064-9
NR9751--MA0089.1.MAFG::NFE2L1	chr4	3660133	3660138	-	0.000	0.000	Merged-chr4-3660095-25
NR11725--MA0591.1.Bach1::Mafk	chr6	53704642	53704656	+	0.000	0.000	Merged-chr6-53704558-10
NR10553--MA0089.1.MAFG::NFE2L1	chr4	149854336	149854341	-	0.000	0.000	Merged-chr4-149854542-67
NR13167--MA0591.1.Bach1::Mafk	chr7	123327115	123327129	+	0.000	0.000	Merged-chr7-123327122-14
NR8633--MA0089.1.MAFG::NFE2L1	chr2	169398676	169398681	-	0.000	0.000	Merged-chr2-169398588-9
NR2252--MA0495.2.MAFF	chr11	23570306	23570326	+	0.000	0.000	Merged-chr11-23570355-13
NR3833--MA0591.1.Bach1::Mafk	chr13	58206785	58206799	-	0.000	0.000	Merged-chr13-58206802-1
NR10962--MA0495.2.MAFF	chr5	68033468	68033488	+	0.000	0.000	Merged-chr5-68033501-23
NR4870--MA0496.2.MAFK	chr14	101470025	101470043	+	0.000	0.000	Merged-chr14-101470106-24
NR10297--MA0659.1.MAFG	chr4	118078607	118078627	+	0.000	0.000	Merged-chr4-118078644-25
NR7792--MA0089.1.MAFG::NFE2L1	chr2	61563435	61563440	+	0.000	0.000	Merged-chr2-61563608-27
NR3208--MA0495.2.MAFF	chr12	91604327	91604347	+	0.000	0.000	Merged-chr12-91604478-1
NR13667--MA0089.1.MAFG::NFE2L1	chr8	77435129	77435134	+	0.000	0.000	Merged-chr8-77435130-10
NR7310--MA0501.1.MAF::NFE2	chr19	34505418	34505432	-	0.000	0.000	Merged-chr19-34505331-35
NR14319--MA0089.1.MAFG::NFE2L1	chr9	56128376	56128381	+	0.000	0.000	Merged-chr9-56128365-14
NR4136--MA0089.1.MAFG::NFE2L1	chr13	106957535	106957540	-	0.000	0.000	Merged-chr13-106957693-14
NR8785--MA0501.1.MAF::NFE2	chr3	9500065	9500079	-	0.000	0.000	Merged-chr3-9499976-58
NR2751--MA0501.1.MAF::NFE2	chr11	109410576	109410590	+	0.000	0.000	Merged-chr11-109410653-15
NR9721--MA0501.1.MAF::NFE2	chr3	157884228	157884242	-	0.000	0.000	Merged-chr3-157884103-23
NR12448--MA0496.2.MAFK	chr6	143132508	143132526	-	0.000	0.000	Merged-chr6-143132490-15
NR9324--MA0117.2.Mafb	chr3	109740671	109740682	+	0.000	0.000	Merged-chr3-109740806-11
NR2215--MA0591.1.Bach1::Mafk	chr11	19926267	19926281	+	0.000	0.000	Merged-chr11-19926174-9
NR14198--MA0496.2.MAFK	chr9	34996152	34996170	+	0.000	0.000	Merged-chr9-34996088-18
NR8304--MA0501.1.MAF::NFE2	chr2	131191215	131191229	-	0.000	0.000	Merged-chr2-131191019-12
NR10997--MA0501.1.MAF::NFE2	chr5	77082922	77082936	+	0.000	0.000	Merged-chr5-77082994-13
NR7235--MA0591.1.Bach1::Mafk	chr19	20239520	20239534	-	0.000	0.000	Merged-chr19-20239652-7
NR11726--MA0501.1.MAF::NFE2	chr6	53704645	53704659	+	0.000	0.000	Merged-chr6-53704558-10
NR14195--MA0591.1.Bach1::Mafk	chr9	34996154	34996168	-	0.000	0.000	Merged-chr9-34996088-18
NR2866--MA0089.1.MAFG::NFE2L1	chr12	8817902	8817907	-	0.000	0.000	Merged-chr12-8817903-12
NR1393--MA0591.1.Bach1::Mafk	chr10	21659612	21659626	+	0.000	0.000	Merged-chr10-21659696-16
NR7258--MA0591.1.Bach1::Mafk	chr19	21810324	21810338	-	0.000	0.000	Merged-chr19-21810338-13
NR13915--MA0496.2.MAFK	chr8	111624158	111624176	-	0.000	0.000	Merged-chr8-111624206-14
NR13065--MA0495.2.MAFF	chr7	112213250	112213270	+	0.000	0.000	Merged-chr7-112213302-61
NR6839--MA0591.1.Bach1::Mafk	chr18	54822973	54822987	+	0.000	0.000	Merged-chr18-54822886-30
NR12705--MA0501.1.MAF::NFE2	chr7	49802848	49802862	-	0.000	0.000	Merged-chr7-49802865-9
NR581--MA0495.2.MAFF	chr1	106187586	106187606	-	0.000	0.000	Merged-chr1-106187715-26
NR3836--MA0496.2.MAFK	chr13	58206783	58206801	-	0.000	0.000	Merged-chr13-58206802-1
NR12441--MA0495.2.MAFF	chr6	143132507	143132527	-	0.000	0.000	Merged-chr6-143132490-15
NR10996--MA0591.1.Bach1::Mafk	chr5	77082919	77082933	+	0.000	0.000	Merged-chr5-77082994-13
NR1744--MA0089.1.MAFG::NFE2L1	chr10	81249846	81249851	+	0.000	0.000	Merged-chr10-81249714-12
NR12439--MA0501.1.MAF::NFE2	chr6	143105830	143105844	+	0.000	0.000	Merged-chr6-143106016-7
NR586--MA0495.2.MAFF	chr1	106187695	106187715	+	0.000	0.000	Merged-chr1-106187715-26
NR11738--MA0089.1.MAFG::NFE2L1	chr6	54216696	54216701	+	0.000	0.000	Merged-chr6-54216714-19
NR261--MA0659.1.MAFG	chr1	60902847	60902867	-	0.000	0.000	Merged-chr1-60902675-29
NR588--MA0659.1.MAFG	chr1	106187695	106187715	+	0.000	0.000	Merged-chr1-106187715-26
NR12517--MA0496.2.MAFK	chr6	146960324	146960342	-	0.000	0.000	Merged-chr6-146960171-26
NR12841--MA0089.1.MAFG::NFE2L1	chr7	79190874	79190879	-	0.000	0.000	Merged-chr7-79190820-25
NR8894--MA0117.2.Mafb	chr3	41062071	41062082	+	0.000	0.000	Merged-chr3-41062130-17
NR7933--MA0089.1.MAFG::NFE2L1	chr2	83762333	83762338	-	0.000	0.000	Merged-chr2-83762342-13
NR13719--MA0496.2.MAFK	chr8	83131933	83131951	+	0.000	0.000	Merged-chr8-83131891-13
NR11913--MA0117.2.Mafb	chr6	83412896	83412907	+	0.000	0.000	Merged-chr6-83413092-38
NR3034--MA0089.1.MAFG::NFE2L1	chr12	54353155	54353160	-	0.000	0.000	Merged-chr12-54353201-29
NR13910--MA0591.1.Bach1::Mafk	chr8	111624160	111624174	-	0.000	0.000	Merged-chr8-111624206-14
NR442--MA0501.1.MAF::NFE2	chr1	87132001	87132015	-	0.000	0.000	Merged-chr1-87131942-1
NR11710--MA0495.2.MAFF	chr6	52825668	52825688	-	0.000	0.000	Merged-chr6-52825813-18
NR8696--MA0495.2.MAFF	chr2	174566021	174566041	+	0.000	0.000	Merged-chr2-174566072-46
NR11192--MA0501.1.MAF::NFE2	chr5	105798641	105798655	-	0.000	0.000	Merged-chr5-105798670-49
NR7302--MA0501.1.MAF::NFE2	chr19	32523872	32523886	-	0.000	0.000	Merged-chr19-32523975-16
NR6120--MA0089.1.MAFG::NFE2L1	chr17	5138740	5138745	-	0.000	0.000	Merged-chr17-5138884-51
NR4748--MA0496.2.MAFK	chr14	73472444	73472462	+	0.000	0.000	Merged-chr14-73472602-8
NR692--MA0501.1.MAF::NFE2	chr1	128772711	128772725	-	0.000	0.000	Merged-chr1-128772538-19
NR4742--MA0591.1.Bach1::Mafk	chr14	73472446	73472460	+	0.000	0.000	Merged-chr14-73472602-8
NR13718--MA0501.1.MAF::NFE2	chr8	83131938	83131952	+	0.000	0.000	Merged-chr8-83131891-13
NR6843--MA0496.2.MAFK	chr18	54822971	54822989	-	0.000	0.000	Merged-chr18-54822886-30
NR13817--MA0089.1.MAFG::NFE2L1	chr8	95672944	95672949	-	0.000	0.000	Merged-chr8-95673039-19
NR4678--MA0089.1.MAFG::NFE2L1	chr14	67674648	67674653	+	0.000	0.000	Merged-chr14-67674822-11
NR7977--MA0591.1.Bach1::Mafk	chr2	90528312	90528326	-	0.000	0.000	Merged-chr2-90528384-23
NR792--MA0089.1.MAFG::NFE2L1	chr1	143340429	143340434	-	0.000	0.000	Merged-chr1-143340474-1
NR1408--MA0495.2.MAFF	chr10	25140546	25140566	+	0.000	0.000	Merged-chr10-25140477-16
NR4008--MA0659.1.MAFG	chr13	90101751	90101771	-	0.000	0.000	Merged-chr13-90101603-11
NR3302--MA0501.1.MAF::NFE2	chr12	102588578	102588592	+	0.000	0.000	Merged-chr12-102588735-27
NR4010--MA0496.2.MAFK	chr13	90101752	90101770	-	0.000	0.000	Merged-chr13-90101603-11
NR7978--MA0501.1.MAF::NFE2	chr2	90528309	90528323	-	0.000	0.000	Merged-chr2-90528384-23
NR7879--MA0089.1.MAFG::NFE2L1	chr2	76421649	76421654	-	0.000	0.000	Merged-chr2-76421582-29
NR7929--MA0496.2.MAFK	chr2	83700796	83700814	-	0.000	0.000	Merged-chr2-83700891-43
NR10448--MA0591.1.Bach1::Mafk	chr4	140601232	140601246	+	0.000	0.000	Merged-chr4-140601329-15
NR691--MA0495.2.MAFF	chr1	128772711	128772731	+	0.000	0.000	Merged-chr1-128772538-19
NR7607--MA0496.2.MAFK	chr2	32181555	32181573	-	0.000	0.000	Merged-chr2-32181600-13
NR10449--MA0501.1.MAF::NFE2	chr4	140601235	140601249	+	0.000	0.000	Merged-chr4-140601329-15
NR10964--MA0591.1.Bach1::Mafk	chr5	68033471	68033485	-	0.000	0.000	Merged-chr5-68033501-23
NR11919--MA0591.1.Bach1::Mafk	chr6	83478913	83478927	-	0.000	0.000	Merged-chr6-83478852-15
NR7762--MA0089.1.MAFG::NFE2L1	chr2	59203587	59203592	+	0.000	0.000	Merged-chr2-59203652-25
NR1361--MA0117.2.Mafb	chr10	17920071	17920082	-	0.000	0.000	Merged-chr10-17920210-30
NR4741--MA0495.2.MAFF	chr14	73472443	73472463	-	0.000	0.000	Merged-chr14-73472602-8
NR12781--MA0117.2.Mafb	chr7	64122535	64122546	-	0.000	0.000	Merged-chr7-64122484-38
NR3638--MA0495.2.MAFF	chr13	28551868	28551888	-	0.000	0.000	Merged-chr13-28551845-49
NR12796--MA0089.1.MAFG::NFE2L1	chr7	68250580	68250585	-	0.000	0.000	Merged-chr7-68250535-42
NR1391--MA0495.2.MAFF	chr10	21659609	21659629	+	0.000	0.000	Merged-chr10-21659696-16
NR8832--MA0591.1.Bach1::Mafk	chr3	27209973	27209987	+	0.000	0.000	Merged-chr3-27210053-38
NR9861--MA0117.2.Mafb	chr4	41295680	41295691	-	0.000	0.000	Merged-chr4-41295781-15
NR6277--MA0591.1.Bach1::Mafk	chr17	32023270	32023284	-	0.000	0.000	Merged-chr17-32023327-13
NR477--MA0495.2.MAFF	chr1	91626307	91626327	-	0.000	0.000	Merged-chr1-91626193-21
NR6793--MA0591.1.Bach1::Mafk	chr18	43393488	43393502	-	0.000	0.000	Merged-chr18-43393382-40
NR13520--MA0089.1.MAFG::NFE2L1	chr8	46420722	46420727	+	0.000	0.000	Merged-chr8-46420639-16
NR5636--MA0501.1.MAF::NFE2	chr16	32972774	32972788	+	0.000	0.000	Merged-chr16-32972762-21
NR2253--MA0495.2.MAFF	chr11	23570306	23570326	-	0.000	0.000	Merged-chr11-23570355-13
NR12026--MA0089.1.MAFG::NFE2L1	chr6	99643708	99643713	-	0.000	0.000	Merged-chr6-99643748-32
NR10963--MA0495.2.MAFF	chr5	68033468	68033488	-	0.000	0.000	Merged-chr5-68033501-23
NR1129--MA0089.1.MAFG::NFE2L1	chr1	184060600	184060605	+	0.000	0.000	Merged-chr1-184060676-8
NR12113--MA0089.1.MAFG::NFE2L1	chr6	114445149	114445154	-	0.000	0.000	Merged-chr6-114445139-32
NR4871--MA0496.2.MAFK	chr14	101470025	101470043	-	0.000	0.000	Merged-chr14-101470106-24
NR10298--MA0659.1.MAFG	chr4	118078607	118078627	-	0.000	0.000	Merged-chr4-118078644-25
NR10965--MA0659.1.MAFG	chr5	68033468	68033488	+	0.000	0.000	Merged-chr5-68033501-23
NR9554--MA0089.1.MAFG::NFE2L1	chr3	138746828	138746833	-	0.000	0.000	Merged-chr3-138746730-15
NR3209--MA0495.2.MAFF	chr12	91604327	91604347	-	0.000	0.000	Merged-chr12-91604478-1
NR6942--MA0089.1.MAFG::NFE2L1	chr18	67301728	67301733	+	0.000	0.000	Merged-chr18-67301646-31
NR7016--MA0089.1.MAFG::NFE2L1	chr18	75489514	75489519	-	0.000	0.000	Merged-chr18-75489446-39
NR13554--MA0117.2.Mafb	chr8	61410928	61410939	-	0.000	0.000	Merged-chr8-61410967-8
NR11920--MA0501.1.MAF::NFE2	chr6	83478910	83478924	-	0.000	0.000	Merged-chr6-83478852-15
NR9864--MA0496.2.MAFK	chr4	41295741	41295759	+	0.000	0.000	Merged-chr4-41295781-15
NR14001--MA0591.1.Bach1::Mafk	chr8	124658004	124658018	+	0.000	0.000	Merged-chr8-124658101-13
NR6837--MA0495.2.MAFF	chr18	54822970	54822990	+	0.000	0.000	Merged-chr18-54822886-30
NR939--MA0495.2.MAFF	chr1	162773892	162773912	-	0.000	0.000	Merged-chr1-162773825-31
NR14216--MA0591.1.Bach1::Mafk	chr9	37242636	37242650	-	0.000	0.000	Merged-chr9-37242651-16
NR10778--MA0591.1.Bach1::Mafk	chr5	34430984	34430998	+	0.000	0.000	Merged-chr5-34430803-28
NR5132--MA0591.1.Bach1::Mafk	chr15	41447452	41447466	-	0.000	0.000	Merged-chr15-41447450-62
NR14528--MA0117.2.Mafb	chr9	94945738	94945749	+	0.000	0.000	Merged-chr9-94945890-45
NR14199--MA0496.2.MAFK	chr9	34996152	34996170	-	0.000	0.000	Merged-chr9-34996088-18
NR941--MA0501.1.MAF::NFE2	chr1	162773898	162773912	+	0.000	0.000	Merged-chr1-162773825-31
NR2256--MA0501.1.MAF::NFE2	chr11	23570312	23570326	+	0.000	0.000	Merged-chr11-23570355-13
NR2957--MA0495.2.MAFF	chr12	36363882	36363902	+	0.000	0.000	Merged-chr12-36363919-6
NR3832--MA0495.2.MAFF	chr13	58206782	58206802	-	0.000	0.000	Merged-chr13-58206802-1
NR10459--MA0591.1.Bach1::Mafk	chr4	141952341	141952355	+	0.000	0.000	Merged-chr4-141952458-47
NR8699--MA0496.2.MAFK	chr2	174566022	174566040	+	0.000	0.000	Merged-chr2-174566072-46
NR2883--MA0117.2.Mafb	chr12	16304906	16304917	+	0.000	0.000	Merged-chr12-16304947-30
NR3383--MA0089.1.MAFG::NFE2L1	chr12	110389608	110389613	+	0.000	0.000	Merged-chr12-110389691-32
NR8950--MA0496.2.MAFK	chr3	55688309	55688327	+	0.000	0.000	Merged-chr3-55688329-24
NR9393--MA0117.2.Mafb	chr3	120458094	120458105	+	0.000	0.000	Merged-chr3-120457943-64
NR1398--MA0591.1.Bach1::Mafk	chr10	21946996	21947010	+	0.000	0.000	Merged-chr10-21947042-21
NR3979--MA0501.1.MAF::NFE2	chr13	83566389	83566403	-	0.000	0.000	Merged-chr13-83566220-57
NR11676--MA0591.1.Bach1::Mafk	chr6	41527382	41527396	-	0.000	0.000	Merged-chr6-41527380-17
NR4135--MA0089.1.MAFG::NFE2L1	chr13	106957537	106957542	+	0.000	0.000	Merged-chr13-106957693-14
NR13066--MA0495.2.MAFF	chr7	112213250	112213270	-	0.000	0.000	Merged-chr7-112213302-61
NR11718--MA0591.1.Bach1::Mafk	chr6	52825791	52825805	-	0.000	0.000	Merged-chr6-52825813-18
NR9370--MA0089.1.MAFG::NFE2L1	chr3	115897947	115897952	-	0.000	0.000	Merged-chr3-115897908-5
NR14778--MA0501.1.MAF::NFE2	chr9	121361039	121361053	+	0.000	0.000	Merged-chr9-121360909-87
NR12444--MA0659.1.MAFG	chr6	143132507	143132527	+	0.000	0.000	Merged-chr6-143132490-15
NR8526--MA0495.2.MAFF	chr2	156970685	156970705	-	0.000	0.000	Merged-chr2-156970494-23
NR587--MA0495.2.MAFF	chr1	106187695	106187715	-	0.000	0.000	Merged-chr1-106187715-26
NR12358--MA0501.1.MAF::NFE2	chr6	134148220	134148234	+	0.000	0.000	Merged-chr6-134148194-39
NR14870--MA0659.1.MAFG	chrX	53607939	53607959	+	0.000	0.000	Merged-chrX-53607978-28
NR12357--MA0089.1.MAFG::NFE2L1	chr6	134148219	134148224	+	0.000	0.000	Merged-chr6-134148194-39
NR589--MA0659.1.MAFG	chr1	106187695	106187715	-	0.000	0.000	Merged-chr1-106187715-26
NR6122--MA0496.2.MAFK	chr17	5303510	5303528	-	0.000	0.000	Merged-chr17-5303448-46
NR8895--MA0117.2.Mafb	chr3	41077515	41077526	+	0.000	0.000	Merged-chr3-41077638-22
NR11126--MA0117.2.Mafb	chr5	100929909	100929920	-	0.000	0.000	Merged-chr5-100929891-31
NR9723--MA0496.2.MAFK	chr3	157884229	157884247	-	0.000	0.000	Merged-chr3-157884103-23
NR9863--MA0501.1.MAF::NFE2	chr4	41295746	41295760	+	0.000	0.000	Merged-chr4-41295781-15
NR583--MA0501.1.MAF::NFE2	chr1	106187586	106187600	-	0.000	0.000	Merged-chr1-106187715-26
NR2958--MA0501.1.MAF::NFE2	chr12	36363882	36363896	-	0.000	0.000	Merged-chr12-36363919-6
NR6782--MA0089.1.MAFG::NFE2L1	chr18	38701084	38701089	-	0.000	0.000	Merged-chr18-38700911-27
NR11811--MA0117.2.Mafb	chr6	65818513	65818524	-	0.000	0.000	Merged-chr6-65818480-32
NR11714--MA0501.1.MAF::NFE2	chr6	52825668	52825682	-	0.000	0.000	Merged-chr6-52825813-18
NR4885--MA0117.2.Mafb	chr14	103017209	103017220	-	0.000	0.000	Merged-chr14-103017290-44
NR4244--MA0089.1.MAFG::NFE2L1	chr13	113466653	113466658	-	0.000	0.000	Merged-chr13-113466791-29
NR14371--MA0501.1.MAF::NFE2	chr9	66615320	66615334	+	0.000	0.000	Merged-chr9-66615364-32
NR6979--MA0591.1.Bach1::Mafk	chr18	70520982	70520996	-	0.000	0.000	Merged-chr18-70520943-32
NR7236--MA0501.1.MAF::NFE2	chr19	20239517	20239531	-	0.000	0.000	Merged-chr19-20239652-7
NR2617--MA0591.1.Bach1::Mafk	chr11	90512649	90512663	-	0.000	0.000	Merged-chr11-90512841-45
NR9392--MA0089.1.MAFG::NFE2L1	chr3	120458113	120458118	+	0.000	0.000	Merged-chr3-120457943-64
NR5134--MA0501.1.MAF::NFE2	chr15	41612398	41612412	+	0.000	0.000	Merged-chr15-41612397-47
NR8697--MA0495.2.MAFF	chr2	174566021	174566041	-	0.000	0.000	Merged-chr2-174566072-46
NR1410--MA0659.1.MAFG	chr10	25140546	25140566	+	0.000	0.000	Merged-chr10-25140477-16
NR2257--MA0501.1.MAF::NFE2	chr11	23570306	23570320	-	0.000	0.000	Merged-chr11-23570355-13
NR4749--MA0496.2.MAFK	chr14	73472444	73472462	-	0.000	0.000	Merged-chr14-73472602-8
NR4460--MA0117.2.Mafb	chr14	31415164	31415175	-	0.000	0.000	Merged-chr14-31414970-54
NR9719--MA0591.1.Bach1::Mafk	chr3	157884105	157884119	+	0.000	0.000	Merged-chr3-157884103-23
NR14873--MA0496.2.MAFK	chrX	53607940	53607958	+	0.000	0.000	Merged-chrX-53607978-28
NR13911--MA0659.1.MAFG	chr8	111624157	111624177	+	0.000	0.000	Merged-chr8-111624206-14
NR10943--MA0591.1.Bach1::Mafk	chr5	65950997	65951011	+	0.000	0.000	Merged-chr5-65951105-46
NR11448--MA0089.1.MAFG::NFE2L1	chr5	147049418	147049423	+	0.000	0.000	Merged-chr5-147049236-7
NR940--MA0591.1.Bach1::Mafk	chr1	162773895	162773909	+	0.000	0.000	Merged-chr1-162773825-31
NR8833--MA0501.1.MAF::NFE2	chr3	27209993	27210007	-	0.000	0.000	Merged-chr3-27210053-38
NR11648--MA0089.1.MAFG::NFE2L1	chr6	33004674	33004679	+	0.000	0.000	Merged-chr6-33004502-19
NR2002--MA0089.1.MAFG::NFE2L1	chr10	118166252	118166257	+	0.000	0.000	Merged-chr10-118166257-15
NR3300--MA0659.1.MAFG	chr12	102588572	102588592	+	0.000	0.000	Merged-chr12-102588735-27
NR4746--MA0501.1.MAF::NFE2	chr14	73472449	73472463	+	0.000	0.000	Merged-chr14-73472602-8
NR3637--MA0089.1.MAFG::NFE2L1	chr13	28519961	28519966	-	0.000	0.000	Merged-chr13-28519917-5
NR2644--MA0501.1.MAF::NFE2	chr11	96435094	96435108	-	0.000	0.000	Merged-chr11-96435210-8
NR12081--MA0496.2.MAFK	chr6	108895317	108895335	+	0.000	0.000	Merged-chr6-108895381-27
NR13982--MA0089.1.MAFG::NFE2L1	chr8	120890502	120890507	+	0.000	0.000	Merged-chr8-120890385-4
NR11711--MA0591.1.Bach1::Mafk	chr6	52825671	52825685	-	0.000	0.000	Merged-chr6-52825813-18
NR2983--MA0089.1.MAFG::NFE2L1	chr12	38929180	38929185	+	0.000	0.000	Merged-chr12-38929031-63
NR7776--MA0117.2.Mafb	chr2	59617055	59617066	-	0.000	0.000	Merged-chr2-59617159-6
NR260--MA0659.1.MAFG	chr1	60902847	60902867	+	0.000	0.000	Merged-chr1-60902675-29
NR1650--MA0089.1.MAFG::NFE2L1	chr10	68300260	68300265	+	0.000	0.000	Merged-chr10-68300314-9
NR4744--MA0659.1.MAFG	chr14	73472443	73472463	+	0.000	0.000	Merged-chr14-73472602-8
NR966--MA0591.1.Bach1::Mafk	chr1	165075763	165075777	+	0.000	0.000	Merged-chr1-165075837-38
NR7515--MA0591.1.Bach1::Mafk	chr2	14712050	14712064	+	0.000	0.000	Merged-chr2-14711970-14
NR1392--MA0495.2.MAFF	chr10	21659609	21659629	-	0.000	0.000	Merged-chr10-21659696-16
NR10864--MA0591.1.Bach1::Mafk	chr5	52609888	52609902	+	0.000	0.000	Merged-chr5-52609918-24
NR8090--MA0089.1.MAFG::NFE2L1	chr2	112556687	112556692	-	0.000	0.000	Merged-chr2-112556688-44
NR582--MA0591.1.Bach1::Mafk	chr1	106187589	106187603	-	0.000	0.000	Merged-chr1-106187715-26
NR6369--MA0659.1.MAFG	chr17	46807793	46807813	+	0.000	0.000	Merged-chr17-46807874-5
NR7233--MA0495.2.MAFF	chr19	18766585	18766605	+	0.000	0.000	Merged-chr19-18766611-24
NR2704--MA0089.1.MAFG::NFE2L1	chr11	104001378	104001383	+	0.000	0.000	Merged-chr11-104001412-21
NR12446--MA0501.1.MAF::NFE2	chr6	143132513	143132527	+	0.000	0.000	Merged-chr6-143132490-15
NR797--MA0591.1.Bach1::Mafk	chr1	144141074	144141088	-	0.000	0.000	Merged-chr1-144141131-13
NR3303--MA0496.2.MAFK	chr12	102588573	102588591	+	0.000	0.000	Merged-chr12-102588735-27
NR14370--MA0591.1.Bach1::Mafk	chr9	66615317	66615331	+	0.000	0.000	Merged-chr9-66615364-32
NR13519--MA0117.2.Mafb	chr8	46197117	46197128	+	0.000	0.000	Merged-chr8-46197044-15
NR585--MA0496.2.MAFK	chr1	106187587	106187605	-	0.000	0.000	Merged-chr1-106187715-26
NR10966--MA0659.1.MAFG	chr5	68033468	68033488	-	0.000	0.000	Merged-chr5-68033501-23
NR6518--MA0591.1.Bach1::Mafk	chr17	73272006	73272020	-	0.000	0.000	Merged-chr17-73272015-7
NR14867--MA0495.2.MAFF	chrX	53607939	53607959	+	0.000	0.000	Merged-chrX-53607978-28
NR7589--MA0089.1.MAFG::NFE2L1	chr2	30699950	30699955	-	0.000	0.000	Merged-chr2-30700028-24
NR1048--MA0501.1.MAF::NFE2	chr1	176986349	176986363	-	0.000	0.000	Merged-chr1-176986467-25
NR6545--MA0089.1.MAFG::NFE2L1	chr17	78602471	78602476	-	0.000	0.000	Merged-chr17-78602510-15
NR7850--MA0089.1.MAFG::NFE2L1	chr2	71964270	71964275	-	0.000	0.000	Merged-chr2-71964438-14
NR8303--MA0591.1.Bach1::Mafk	chr2	131191218	131191232	-	0.000	0.000	Merged-chr2-131191019-12
NR12483--MA0117.2.Mafb	chr6	144927578	144927589	-	0.000	0.000	Merged-chr6-144927646-14
NR10863--MA0117.2.Mafb	chr5	52609894	52609905	-	0.000	0.000	Merged-chr5-52609918-24
NR6838--MA0495.2.MAFF	chr18	54822970	54822990	-	0.000	0.000	Merged-chr18-54822886-30
NR14369--MA0501.1.MAF::NFE2	chr9	65831289	65831303	-	0.000	0.000	Merged-chr9-65831419-5
NR2337--MA0089.1.MAFG::NFE2L1	chr11	44544221	44544226	-	0.000	0.000	Merged-chr11-44544227-34
NR536--MA0089.1.MAFG::NFE2L1	chr1	97764338	97764343	+	0.000	0.000	Merged-chr1-97764346-16
NR4005--MA0495.2.MAFF	chr13	90101751	90101771	+	0.000	0.000	Merged-chr13-90101603-11
NR409--MA0501.1.MAF::NFE2	chr1	84881711	84881725	-	0.000	0.000	Merged-chr1-84881698-12
