#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Fli1/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed
NR10425--MA0149.1.EWSR1-FLI1	chr9	32740996	32741013	-	0.000	0.000	Merged-chr9-32741073-58
NR6558--MA0149.1.EWSR1-FLI1	chr3	52677092	52677109	+	0.000	0.000	Merged-chr3-52677309-55
NR2237--MA0475.2.FLI1	chr12	72844375	72844384	-	0.000	0.000	Merged-chr12-72844339-47
NR8221--MA0475.2.FLI1	chr5	105556424	105556433	-	0.000	0.000	Merged-chr5-105556395-18
NR3709--MA0149.1.EWSR1-FLI1	chr15	74918707	74918724	-	0.000	0.000	Merged-chr15-74918683-40
NR3385--MA0149.1.EWSR1-FLI1	chr14	78692224	78692241	+	0.000	0.000	Merged-chr14-78692214-30
NR9620--MA0149.1.EWSR1-FLI1	chr7	110956763	110956780	-	0.000	0.000	Merged-chr7-110956692-58
NR5451--MA0149.1.EWSR1-FLI1	chr19	57131548	57131565	-	0.000	0.000	Merged-chr19-57131601-25
NR5744--MA0475.2.FLI1	chr2	53088934	53088943	+	0.000	0.000	Merged-chr2-53088913-36
NR8360--MA0475.2.FLI1	chr5	125052434	125052443	+	0.000	0.000	Merged-chr5-125052528-23
NR3573--MA0149.1.EWSR1-FLI1	chr15	36243919	36243936	-	0.000	0.000	Merged-chr15-36243882-12
NR6667--MA0149.1.EWSR1-FLI1	chr3	87847003	87847020	+	0.000	0.000	Merged-chr3-87846918-77
NR10885--MA0149.1.EWSR1-FLI1	chr9	115304991	115305008	+	0.000	0.000	Merged-chr9-115304967-2
NR9441--MA0475.2.FLI1	chr7	72275555	72275564	-	0.000	0.000	Merged-chr7-72275636-59
NR2602--MA0149.1.EWSR1-FLI1	chr13	30754202	30754219	+	0.000	0.000	Merged-chr13-30754228-8
NR1653--MA0149.1.EWSR1-FLI1	chr11	60114533	60114550	+	0.000	0.000	Merged-chr11-60114477-20
NR975--MA0149.1.EWSR1-FLI1	chr10	44565153	44565170	-	0.000	0.000	Merged-chr10-44565261-15
NR2073--MA0149.1.EWSR1-FLI1	chr12	3871310	3871327	-	0.000	0.000	Merged-chr12-3871224-57
NR9032--MA0149.1.EWSR1-FLI1	chr6	122262748	122262765	-	0.000	0.000	Merged-chr6-122262807-20
NR4238--MA0149.1.EWSR1-FLI1	chr16	92787045	92787062	-	0.000	0.000	Merged-chr16-92786948-54
NR9954--MA0149.1.EWSR1-FLI1	chr8	34654904	34654921	+	0.000	0.000	Merged-chr8-34654936-23
NR9707--MA0149.1.EWSR1-FLI1	chr7	120921285	120921302	+	0.000	0.000	Merged-chr7-120921372-21
NR735--MA0475.2.FLI1	chr1	184908700	184908709	+	0.000	0.000	Merged-chr1-184908710-36
NR11196--MA0475.2.FLI1	chrX	136986220	136986229	+	0.000	0.000	Merged-chrX-136986316-28
NR3950--MA0475.2.FLI1	chr16	4674232	4674241	+	0.000	0.000	Merged-chr16-4674174-55
NR9712--MA0149.1.EWSR1-FLI1	chr7	122317130	122317147	-	0.000	0.000	Merged-chr7-122317075-24
NR387--MA0149.1.EWSR1-FLI1	chr1	131747070	131747087	-	0.000	0.000	Merged-chr1-131747235-22
NR2202--MA0149.1.EWSR1-FLI1	chr12	55488855	55488872	-	0.000	0.000	Merged-chr12-55488761-97
NR1866--MA0149.1.EWSR1-FLI1	chr11	97133496	97133513	-	0.000	0.000	Merged-chr11-97133494-13
NR1992--MA0149.1.EWSR1-FLI1	chr11	113802660	113802677	+	0.000	0.000	Merged-chr11-113802652-27
NR8642--MA0149.1.EWSR1-FLI1	chr6	34497559	34497576	+	0.000	0.000	Merged-chr6-34497714-15
NR6329--MA0149.1.EWSR1-FLI1	chr2	166625737	166625754	+	0.000	0.000	Merged-chr2-166625583-45
NR673--MA0475.2.FLI1	chr1	178629371	178629380	+	0.000	0.000	Merged-chr1-178629339-6
NR3465--MA0149.1.EWSR1-FLI1	chr14	105603154	105603171	-	0.000	0.000	Merged-chr14-105603111-38
NR1001--MA0475.2.FLI1	chr10	60038452	60038461	+	0.000	0.000	Merged-chr10-60038472-15
NR2536--MA0149.1.EWSR1-FLI1	chr13	10019626	10019643	+	0.000	0.000	Merged-chr13-10019536-22
NR4602--MA0149.1.EWSR1-FLI1	chr17	51789266	51789283	-	0.000	0.000	Merged-chr17-51789354-14
NR2106--MA0149.1.EWSR1-FLI1	chr12	12278205	12278222	+	0.000	0.000	Merged-chr12-12278395-37
NR3223--MA0149.1.EWSR1-FLI1	chr14	55078793	55078810	+	0.000	0.000	Merged-chr14-55078725-7
NR23--MA0149.1.EWSR1-FLI1	chr1	13560058	13560075	-	0.000	0.000	Merged-chr1-13560165-1
NR1006--MA0475.2.FLI1	chr10	60808641	60808650	-	0.000	0.000	Merged-chr10-60808629-25
NR1036--MA0149.1.EWSR1-FLI1	chr10	68036597	68036614	+	0.000	0.000	Merged-chr10-68036383-95
NR5258--MA0475.2.FLI1	chr19	12576876	12576885	+	0.000	0.000	Merged-chr19-12576850-12
NR1958--MA0149.1.EWSR1-FLI1	chr11	106752375	106752392	-	0.000	0.000	Merged-chr11-106752328-41
NR2603--MA0149.1.EWSR1-FLI1	chr13	30754206	30754223	+	0.000	0.000	Merged-chr13-30754228-8
NR1224--MA0149.1.EWSR1-FLI1	chr10	94848573	94848590	-	0.000	0.000	Merged-chr10-94848627-43
NR9693--MA0149.1.EWSR1-FLI1	chr7	119860363	119860380	+	0.000	0.000	Merged-chr7-119860527-21
NR11252--MA0149.1.EWSR1-FLI1	chrX	167089019	167089036	-	0.000	0.000	Merged-chrX-167089139-46
NR6841--MA0475.2.FLI1	chr3	115730512	115730521	+	0.000	0.000	Merged-chr3-115730419-1
NR3011--MA0149.1.EWSR1-FLI1	chr13	110044736	110044753	-	0.000	0.000	Merged-chr13-110044688-32
NR9817--MA0149.1.EWSR1-FLI1	chr7	135659848	135659865	-	0.000	0.000	Merged-chr7-135659681-24
NR2554--MA0149.1.EWSR1-FLI1	chr13	17627388	17627405	-	0.000	0.000	Merged-chr13-17627310-18
NR10674--MA0149.1.EWSR1-FLI1	chr9	80252358	80252375	+	0.000	0.000	Merged-chr9-80252331-18
NR2737--MA0149.1.EWSR1-FLI1	chr13	59656637	59656654	-	0.000	0.000	Merged-chr13-59656636-89
NR7027--MA0475.2.FLI1	chr3	142207663	142207672	+	0.000	0.000	Merged-chr3-142207646-13
NR4719--MA0149.1.EWSR1-FLI1	chr17	79616782	79616799	-	0.000	0.000	Merged-chr17-79616795-12
NR2616--MA0149.1.EWSR1-FLI1	chr13	35131521	35131538	+	0.000	0.000	Merged-chr13-35131726-73
NR3466--MA0149.1.EWSR1-FLI1	chr14	105603158	105603175	-	0.000	0.000	Merged-chr14-105603111-38
NR4456--MA0475.2.FLI1	chr17	32471030	32471039	+	0.000	0.000	Merged-chr17-32470948-41
NR460--MA0149.1.EWSR1-FLI1	chr1	152084853	152084870	+	0.000	0.000	Merged-chr1-152084822-56
NR1672--MA0149.1.EWSR1-FLI1	chr11	64116967	64116984	-	0.000	0.000	Merged-chr11-64116814-48
NR10311--MA0149.1.EWSR1-FLI1	chr8	124319421	124319438	+	0.000	0.000	Merged-chr8-124319534-38
NR3224--MA0149.1.EWSR1-FLI1	chr14	55078797	55078814	+	0.000	0.000	Merged-chr14-55078725-7
NR5676--MA0475.2.FLI1	chr2	34969693	34969702	-	0.000	0.000	Merged-chr2-34969662-3
NR1037--MA0149.1.EWSR1-FLI1	chr10	68036601	68036618	+	0.000	0.000	Merged-chr10-68036383-95
NR9108--MA0149.1.EWSR1-FLI1	chr6	131373466	131373483	-	0.000	0.000	Merged-chr6-131373311-32
NR1430--MA0149.1.EWSR1-FLI1	chr10	127678158	127678175	-	0.000	0.000	Merged-chr10-127678068-5
NR1529--MA0149.1.EWSR1-FLI1	chr11	21314558	21314575	+	0.000	0.000	Merged-chr11-21314524-33
NR6674--MA0149.1.EWSR1-FLI1	chr3	88150977	88150994	-	0.000	0.000	Merged-chr3-88150976-43
NR3763--MA0149.1.EWSR1-FLI1	chr15	80192519	80192536	-	0.000	0.000	Merged-chr15-80192413-58
NR9145--MA0475.2.FLI1	chr6	137795295	137795304	+	0.000	0.000	Merged-chr6-137795480-24
NR7791--MA0149.1.EWSR1-FLI1	chr4	149698065	149698082	+	0.000	0.000	Merged-chr4-149697962-1
NR895--MA0475.2.FLI1	chr10	21419395	21419404	-	0.000	0.000	Merged-chr10-21419295-38
NR1146--MA0149.1.EWSR1-FLI1	chr10	81525123	81525140	-	0.000	0.000	Merged-chr10-81525209-7
NR2080--MA0149.1.EWSR1-FLI1	chr12	3871329	3871346	-	0.000	0.000	Merged-chr12-3871224-57
NR11065--MA0149.1.EWSR1-FLI1	chrX	51431435	51431452	+	0.000	0.000	Merged-chrX-51431471-1
NR7670--MA0149.1.EWSR1-FLI1	chr4	134041549	134041566	-	0.000	0.000	Merged-chr4-134041766-28
NR3188--MA0475.2.FLI1	chr14	52166745	52166754	-	0.000	0.000	Merged-chr14-52166798-25
NR3951--MA0149.1.EWSR1-FLI1	chr16	4674283	4674300	-	0.000	0.000	Merged-chr16-4674174-55
NR2876--MA0149.1.EWSR1-FLI1	chr13	93771325	93771342	+	0.000	0.000	Merged-chr13-93771362-1
NR5399--MA0149.1.EWSR1-FLI1	chr19	46503711	46503728	-	0.000	0.000	Merged-chr19-46503921-48
NR10253--MA0475.2.FLI1	chr8	117548563	117548572	+	0.000	0.000	Merged-chr8-117548585-70
NR9101--MA0149.1.EWSR1-FLI1	chr6	130102903	130102920	-	0.000	0.000	Merged-chr6-130103023-31
NR3766--MA0475.2.FLI1	chr15	80639248	80639257	+	0.000	0.000	Merged-chr15-80639278-38
NR3054--MA0149.1.EWSR1-FLI1	chr13	114878895	114878912	+	0.000	0.000	Merged-chr13-114879006-41
NR6109--MA0475.2.FLI1	chr2	127189703	127189712	-	0.000	0.000	Merged-chr2-127189787-10
NR6583--MA0149.1.EWSR1-FLI1	chr3	61409852	61409869	+	0.000	0.000	Merged-chr3-61409766-58
NR5387--MA0149.1.EWSR1-FLI1	chr19	45577514	45577531	+	0.000	0.000	Merged-chr19-45577468-39
NR1752--MA0149.1.EWSR1-FLI1	chr11	76589938	76589955	+	0.000	0.000	Merged-chr11-76589886-16
NR4542--MA0149.1.EWSR1-FLI1	chr17	44566694	44566711	+	0.000	0.000	Merged-chr17-44567062-33
NR6524--MA0149.1.EWSR1-FLI1	chr3	37603655	37603672	-	0.000	0.000	Merged-chr3-37603744-6
NR10312--MA0149.1.EWSR1-FLI1	chr8	124319430	124319447	+	0.000	0.000	Merged-chr8-124319534-38
NR7641--MA0149.1.EWSR1-FLI1	chr4	130921106	130921123	+	0.000	0.000	Merged-chr4-130921297-32
NR3225--MA0475.2.FLI1	chr14	55098109	55098118	-	0.000	0.000	Merged-chr14-55098022-56
NR10458--MA0149.1.EWSR1-FLI1	chr9	42158850	42158867	+	0.000	0.000	Merged-chr9-42158908-46
NR10872--MA0475.2.FLI1	chr9	114770551	114770560	-	0.000	0.000	Merged-chr9-114770446-32
NR2076--MA0149.1.EWSR1-FLI1	chr12	3871321	3871338	-	0.000	0.000	Merged-chr12-3871224-57
NR10730--MA0149.1.EWSR1-FLI1	chr9	92274701	92274718	+	0.000	0.000	Merged-chr9-92274591-56
NR7545--MA0149.1.EWSR1-FLI1	chr4	116806589	116806606	-	0.000	0.000	Merged-chr4-116806659-9
NR6784--MA0149.1.EWSR1-FLI1	chr3	101748377	101748394	-	0.000	0.000	Merged-chr3-101748481-44
NR9102--MA0149.1.EWSR1-FLI1	chr6	130102970	130102987	-	0.000	0.000	Merged-chr6-130103023-31
NR10451--MA0149.1.EWSR1-FLI1	chr9	42022451	42022468	+	0.000	0.000	Merged-chr9-42022537-24
NR2763--MA0475.2.FLI1	chr13	63141438	63141447	+	0.000	0.000	Merged-chr13-63141358-58
NR8487--MA0149.1.EWSR1-FLI1	chr5	144216094	144216111	+	0.000	0.000	Merged-chr5-144216200-16
NR4379--MA0475.2.FLI1	chr17	21423191	21423200	+	0.000	0.000	Merged-chr17-21423109-81
NR10569--MA0475.2.FLI1	chr9	62455432	62455441	+	0.000	0.000	Merged-chr9-62455455-9
NR9619--MA0149.1.EWSR1-FLI1	chr7	110956687	110956704	-	0.000	0.000	Merged-chr7-110956692-58
NR5272--MA0475.2.FLI1	chr19	18591201	18591210	+	0.000	0.000	Merged-chr19-18591291-34
NR8633--MA0149.1.EWSR1-FLI1	chr6	33618773	33618790	+	0.000	0.000	Merged-chr6-33618746-27
NR1039--MA0149.1.EWSR1-FLI1	chr10	68036609	68036626	+	0.000	0.000	Merged-chr10-68036383-95
NR2455--MA0475.2.FLI1	chr12	111691473	111691482	+	0.000	0.000	Merged-chr12-111691386-42
NR10909--MA0149.1.EWSR1-FLI1	chr9	117892766	117892783	-	0.000	0.000	Merged-chr9-117892877-51
NR8292--MA0149.1.EWSR1-FLI1	chr5	115167627	115167644	-	0.000	0.000	Merged-chr5-115167638-30
NR3563--MA0475.2.FLI1	chr15	31137453	31137462	-	0.000	0.000	Merged-chr15-31137508-23
NR7546--MA0149.1.EWSR1-FLI1	chr4	116806590	116806607	-	0.000	0.000	Merged-chr4-116806659-9
NR11067--MA0149.1.EWSR1-FLI1	chrX	51431439	51431456	+	0.000	0.000	Merged-chrX-51431471-1
NR10568--MA0149.1.EWSR1-FLI1	chr9	62420142	62420159	+	0.000	0.000	Merged-chr9-62420075-10
NR290--MA0475.2.FLI1	chr1	95674234	95674243	-	0.000	0.000	Merged-chr1-95674241-20
NR7699--MA0475.2.FLI1	chr4	138975427	138975436	-	0.000	0.000	Merged-chr4-138975429-9
NR3318--MA0149.1.EWSR1-FLI1	chr14	70792753	70792770	+	0.000	0.000	Merged-chr14-70792747-14
NR8280--MA0149.1.EWSR1-FLI1	chr5	113825807	113825824	-	0.000	0.000	Merged-chr5-113825707-48
NR10521--MA0475.2.FLI1	chr9	54611785	54611794	+	0.000	0.000	Merged-chr9-54611882-20
NR4224--MA0475.2.FLI1	chr16	91780992	91781001	+	0.000	0.000	Merged-chr16-91781071-63
NR908--MA0149.1.EWSR1-FLI1	chr10	24580090	24580107	-	0.000	0.000	Merged-chr10-24580208-16
NR5535--MA0149.1.EWSR1-FLI1	chr2	11617135	11617152	+	0.000	0.000	Merged-chr2-11617013-39
NR6956--MA0149.1.EWSR1-FLI1	chr3	133392082	133392099	+	0.000	0.000	Merged-chr3-133392067-9
NR5538--MA0475.2.FLI1	chr2	11801756	11801765	+	0.000	0.000	Merged-chr2-11801641-32
NR8634--MA0149.1.EWSR1-FLI1	chr6	33618777	33618794	+	0.000	0.000	Merged-chr6-33618746-27
NR46--MA0475.2.FLI1	chr1	34510812	34510821	-	0.000	0.000	Merged-chr1-34510825-54
NR10898--MA0475.2.FLI1	chr9	116181762	116181771	-	0.000	0.000	Merged-chr9-116181803-43
NR7626--MA0149.1.EWSR1-FLI1	chr4	128594130	128594147	+	0.000	0.000	Merged-chr4-128594333-42
NR6126--MA0149.1.EWSR1-FLI1	chr2	129180083	129180100	-	0.000	0.000	Merged-chr2-129180074-1
NR11068--MA0149.1.EWSR1-FLI1	chrX	51431443	51431460	+	0.000	0.000	Merged-chrX-51431471-1
NR5177--MA0149.1.EWSR1-FLI1	chr18	89126603	89126620	+	0.000	0.000	Merged-chr18-89126622-17
NR5795--MA0149.1.EWSR1-FLI1	chr2	65022879	65022896	+	0.000	0.000	Merged-chr2-65022793-47
NR5674--MA0149.1.EWSR1-FLI1	chr2	34938764	34938781	+	0.000	0.000	Merged-chr2-34938971-69
NR10453--MA0149.1.EWSR1-FLI1	chr9	42076482	42076499	-	0.000	0.000	Merged-chr9-42076417-27
NR3450--MA0149.1.EWSR1-FLI1	chr14	102828702	102828719	+	0.000	0.000	Merged-chr14-102828632-27
NR4848--MA0475.2.FLI1	chr18	23734944	23734953	+	0.000	0.000	Merged-chr18-23734973-16
NR11061--MA0149.1.EWSR1-FLI1	chrX	51431422	51431439	+	0.000	0.000	Merged-chrX-51431471-1
NR8489--MA0149.1.EWSR1-FLI1	chr5	144216106	144216123	+	0.000	0.000	Merged-chr5-144216200-16
NR9747--MA0149.1.EWSR1-FLI1	chr7	126704190	126704207	-	0.000	0.000	Merged-chr7-126704169-1
NR1021--MA0149.1.EWSR1-FLI1	chr10	62543750	62543767	-	0.000	0.000	Merged-chr10-62543854-97
