#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Fli1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed
NR5356--MA0475.2.FLI1	chr17	88386847	88386856	+	0.000	0.000	Merged-chr17-88387050-12
NR5138--MA0149.1.EWSR1-FLI1	chr17	46807788	46807805	+	0.000	0.000	Merged-chr17-46807874-5
NR2353--MA0149.1.EWSR1-FLI1	chr12	4453756	4453773	+	0.000	0.000	Merged-chr12-4453832-1
NR4190--MA0475.2.FLI1	chr15	66514659	66514668	-	0.000	0.000	Merged-chr15-66514764-18
NR9480--MA0149.1.EWSR1-FLI1	chr6	37455719	37455736	+	0.000	0.000	Merged-chr6-37455816-24
NR2111--MA0149.1.EWSR1-FLI1	chr11	98796780	98796797	+	0.000	0.000	Merged-chr11-98796800-22
NR10414--MA0149.1.EWSR1-FLI1	chr7	63816183	63816200	+	0.000	0.000	Merged-chr7-63816277-96
NR5831--MA0475.2.FLI1	chr19	9066094	9066103	+	0.000	0.000	Merged-chr19-9066188-87
NR7684--MA0475.2.FLI1	chr3	130894336	130894345	-	0.000	0.000	Merged-chr3-130894407-22
NR7234--MA0149.1.EWSR1-FLI1	chr3	37769325	37769342	-	0.000	0.000	Merged-chr3-37769549-46
NR116--MA0149.1.EWSR1-FLI1	chr1	42952934	42952951	-	0.000	0.000	Merged-chr1-42953184-68
NR9300--MA0149.1.EWSR1-FLI1	chr5	137749336	137749353	-	0.000	0.000	Merged-chr5-137749459-31
NR10686--MA0149.1.EWSR1-FLI1	chr7	112918605	112918622	-	0.000	0.000	Merged-chr7-112918407-20
NR9421--MA0475.2.FLI1	chr6	5997717	5997726	-	0.000	0.000	Merged-chr6-5997718-16
NR9693--MA0149.1.EWSR1-FLI1	chr6	83478925	83478942	+	0.000	0.000	Merged-chr6-83478852-15
NR4983--MA0149.1.EWSR1-FLI1	chr17	15706181	15706198	-	0.000	0.000	Merged-chr17-15706137-17
NR2796--MA0149.1.EWSR1-FLI1	chr12	117763426	117763443	-	0.000	0.000	Merged-chr12-117763442-4
NR11395--MA0475.2.FLI1	chr8	114986183	114986192	-	0.000	0.000	Merged-chr8-114986195-32
NR5606--MA0149.1.EWSR1-FLI1	chr18	64991589	64991606	-	0.000	0.000	Merged-chr18-64991575-63
NR1956--MA0475.2.FLI1	chr11	72718352	72718361	-	0.000	0.000	Merged-chr11-72718326-14
NR3095--MA0149.1.EWSR1-FLI1	chr13	73484522	73484539	+	0.000	0.000	Merged-chr13-73484644-8
NR8072--MA0149.1.EWSR1-FLI1	chr4	56916185	56916202	+	0.000	0.000	Merged-chr4-56916071-19
NR4311--MA0149.1.EWSR1-FLI1	chr15	84372823	84372840	+	0.000	0.000	Merged-chr15-84372915-18
NR1316--MA0149.1.EWSR1-FLI1	chr10	80152180	80152197	-	0.000	0.000	Merged-chr10-80152261-5
NR4803--MA0149.1.EWSR1-FLI1	chr16	77360446	77360463	+	0.000	0.000	Merged-chr16-77360376-19
NR5532--MA0149.1.EWSR1-FLI1	chr18	53264318	53264335	+	0.000	0.000	Merged-chr18-53264304-17
NR559--MA0149.1.EWSR1-FLI1	chr1	136019019	136019036	-	0.000	0.000	Merged-chr1-136018899-6
NR1242--MA0149.1.EWSR1-FLI1	chr10	71365267	71365284	-	0.000	0.000	Merged-chr10-71365210-11
NR4358--MA0475.2.FLI1	chr15	96319792	96319801	+	0.000	0.000	Merged-chr15-96319572-16
NR10415--MA0149.1.EWSR1-FLI1	chr7	63816187	63816204	+	0.000	0.000	Merged-chr7-63816277-96
NR7806--MA0149.1.EWSR1-FLI1	chr3	146123016	146123033	+	0.000	0.000	Merged-chr3-146123164-55
NR814--MA0149.1.EWSR1-FLI1	chr1	175672088	175672105	+	0.000	0.000	Merged-chr1-175671979-22
NR9689--MA0149.1.EWSR1-FLI1	chr6	83193810	83193827	+	0.000	0.000	Merged-chr6-83193737-15
NR3212--MA0149.1.EWSR1-FLI1	chr13	98030166	98030183	+	0.000	0.000	Merged-chr13-98030202-1
NR309--MA0475.2.FLI1	chr1	87181025	87181034	+	0.000	0.000	Merged-chr1-87181117-21
NR10007--MA0475.2.FLI1	chr6	134981439	134981448	-	0.000	0.000	Merged-chr6-134981456-22
NR8906--MA0149.1.EWSR1-FLI1	chr5	89901219	89901236	-	0.000	0.000	Merged-chr5-89901174-42
NR12244--MA0149.1.EWSR1-FLI1	chrX	20307381	20307398	+	0.000	0.000	Merged-chrX-20307421-11
NR6274--MA0149.1.EWSR1-FLI1	chr2	43992616	43992633	+	0.000	0.000	Merged-chr2-43992698-17
NR2429--MA0149.1.EWSR1-FLI1	chr12	31756166	31756183	-	0.000	0.000	Merged-chr12-31756239-29
NR4312--MA0149.1.EWSR1-FLI1	chr15	84372824	84372841	+	0.000	0.000	Merged-chr15-84372915-18
NR381--MA0475.2.FLI1	chr1	97764429	97764438	-	0.000	0.000	Merged-chr1-97764346-16
NR1752--MA0149.1.EWSR1-FLI1	chr11	32020357	32020374	+	0.000	0.000	Merged-chr11-32020422-50
NR2543--MA0149.1.EWSR1-FLI1	chr12	73726363	73726380	-	0.000	0.000	Merged-chr12-73726209-37
NR10579--MA0149.1.EWSR1-FLI1	chr7	97842880	97842897	-	0.000	0.000	Merged-chr7-97843006-38
NR2941--MA0475.2.FLI1	chr13	41773997	41774006	+	0.000	0.000	Merged-chr13-41774048-23
NR7807--MA0149.1.EWSR1-FLI1	chr3	146123020	146123037	+	0.000	0.000	Merged-chr3-146123164-55
NR2610--MA0149.1.EWSR1-FLI1	chr12	86592766	86592783	-	0.000	0.000	Merged-chr12-86592700-17
NR185--MA0475.2.FLI1	chr1	66987790	66987799	-	0.000	0.000	Merged-chr1-66987794-41
NR3601--MA0149.1.EWSR1-FLI1	chr14	47105051	47105068	+	0.000	0.000	Merged-chr14-47104934-63
NR6410--MA0475.2.FLI1	chr2	69072342	69072351	-	0.000	0.000	Merged-chr2-69072210-18
NR1543--MA0475.2.FLI1	chr10	118195014	118195023	-	0.000	0.000	Merged-chr10-118194882-1
NR1749--MA0475.2.FLI1	chr11	31760047	31760056	-	0.000	0.000	Merged-chr11-31760157-35
NR12245--MA0149.1.EWSR1-FLI1	chrX	20307382	20307399	+	0.000	0.000	Merged-chrX-20307421-11
NR9270--MA0149.1.EWSR1-FLI1	chr5	134540098	134540115	+	0.000	0.000	Merged-chr5-134540113-16
NR70--MA0475.2.FLI1	chr1	30898859	30898868	-	0.000	0.000	Merged-chr1-30898944-13
NR3097--MA0149.1.EWSR1-FLI1	chr13	73484666	73484683	-	0.000	0.000	Merged-chr13-73484644-8
NR1135--MA0149.1.EWSR1-FLI1	chr10	42839109	42839126	+	0.000	0.000	Merged-chr10-42838902-52
NR12292--MA0149.1.EWSR1-FLI1	chrX	53607885	53607902	-	0.000	0.000	Merged-chrX-53607978-28
NR10597--MA0149.1.EWSR1-FLI1	chr7	99546287	99546304	-	0.000	0.000	Merged-chr7-99546388-26
NR5534--MA0149.1.EWSR1-FLI1	chr18	53264323	53264340	+	0.000	0.000	Merged-chr18-53264304-17
NR10560--MA0149.1.EWSR1-FLI1	chr7	89616352	89616369	+	0.000	0.000	Merged-chr7-89616190-30
NR7192--MA0149.1.EWSR1-FLI1	chr3	21955880	21955897	+	0.000	0.000	Merged-chr3-21955906-3
NR9787--MA0149.1.EWSR1-FLI1	chr6	99485475	99485492	+	0.000	0.000	Merged-chr6-99485384-21
NR9269--MA0475.2.FLI1	chr5	134540082	134540091	+	0.000	0.000	Merged-chr5-134540113-16
NR262--MA0149.1.EWSR1-FLI1	chr1	83006310	83006327	+	0.000	0.000	Merged-chr1-83006483-46
NR5259--MA0475.2.FLI1	chr17	73905566	73905575	-	0.000	0.000	Merged-chr17-73905403-24
NR236--MA0475.2.FLI1	chr1	79424588	79424597	+	0.000	0.000	Merged-chr1-79424486-1
NR11230--MA0149.1.EWSR1-FLI1	chr8	79682258	79682275	+	0.000	0.000	Merged-chr8-79682361-5
NR4939--MA0149.1.EWSR1-FLI1	chr17	8530928	8530945	-	0.000	0.000	Merged-chr17-8531081-8
NR203--MA0149.1.EWSR1-FLI1	chr1	72449986	72450003	+	0.000	0.000	Merged-chr1-72450027-13
NR4185--MA0149.1.EWSR1-FLI1	chr15	66286687	66286704	-	0.000	0.000	Merged-chr15-66286791-54
NR371--MA0149.1.EWSR1-FLI1	chr1	94825300	94825317	-	0.000	0.000	Merged-chr1-94825382-1
NR11601--MA0149.1.EWSR1-FLI1	chr9	35007274	35007291	+	0.000	0.000	Merged-chr9-35007274-11
NR2391--MA0149.1.EWSR1-FLI1	chr12	16165150	16165167	+	0.000	0.000	Merged-chr12-16165159-14
NR10222--MA0149.1.EWSR1-FLI1	chr7	18921164	18921181	+	0.000	0.000	Merged-chr7-18921308-7
NR2903--MA0149.1.EWSR1-FLI1	chr13	31179737	31179754	+	0.000	0.000	Merged-chr13-31179647-13
NR7781--MA0149.1.EWSR1-FLI1	chr3	144261240	144261257	+	0.000	0.000	Merged-chr3-144261016-37
NR4744--MA0149.1.EWSR1-FLI1	chr16	57177445	57177462	-	0.000	0.000	Merged-chr16-57177558-14
NR9637--MA0149.1.EWSR1-FLI1	chr6	67146683	67146700	-	0.000	0.000	Merged-chr6-67146910-15
NR3098--MA0149.1.EWSR1-FLI1	chr13	73773668	73773685	+	0.000	0.000	Merged-chr13-73773660-11
NR8688--MA0149.1.EWSR1-FLI1	chr5	20249944	20249961	-	0.000	0.000	Merged-chr5-20250018-19
NR1220--MA0149.1.EWSR1-FLI1	chr10	68354859	68354876	-	0.000	0.000	Merged-chr10-68354872-12
NR6585--MA0149.1.EWSR1-FLI1	chr2	102039469	102039486	-	0.000	0.000	Merged-chr2-102039537-38
NR4623--MA0149.1.EWSR1-FLI1	chr16	33714493	33714510	+	0.000	0.000	Merged-chr16-33714431-35
NR5347--MA0149.1.EWSR1-FLI1	chr17	87983302	87983319	-	0.000	0.000	Merged-chr17-87983353-13
NR4685--MA0475.2.FLI1	chr16	46001147	46001156	-	0.000	0.000	Merged-chr16-46001231-13
NR3469--MA0149.1.EWSR1-FLI1	chr14	17409715	17409732	-	0.000	0.000	Merged-chr14-17409796-22
NR9454--MA0475.2.FLI1	chr6	30227487	30227496	-	0.000	0.000	Merged-chr6-30227395-32
NR12093--MA0149.1.EWSR1-FLI1	chr9	114592612	114592629	-	0.000	0.000	Merged-chr9-114592565-4
NR9133--MA0149.1.EWSR1-FLI1	chr5	121149421	121149438	+	0.000	0.000	Merged-chr5-121149467-5
NR3002--MA0149.1.EWSR1-FLI1	chr13	52628376	52628393	+	0.000	0.000	Merged-chr13-52628204-1
NR761--MA0475.2.FLI1	chr1	170729504	170729513	+	0.000	0.000	Merged-chr1-170729637-43
NR7072--MA0149.1.EWSR1-FLI1	chr2	170216248	170216265	+	0.000	0.000	Merged-chr2-170216227-3
NR10010--MA0149.1.EWSR1-FLI1	chr6	135433947	135433964	-	0.000	0.000	Merged-chr6-135433920-18
NR1416--MA0475.2.FLI1	chr10	93205494	93205503	-	0.000	0.000	Merged-chr10-93205618-20
NR4040--MA0149.1.EWSR1-FLI1	chr15	4124738	4124755	-	0.000	0.000	Merged-chr15-4124842-36
NR8056--MA0475.2.FLI1	chr4	54527845	54527854	+	0.000	0.000	Merged-chr4-54527768-19
NR3614--MA0475.2.FLI1	chr14	50784568	50784577	+	0.000	0.000	Merged-chr14-50784606-4
NR11090--MA0149.1.EWSR1-FLI1	chr8	34818004	34818021	+	0.000	0.000	Merged-chr8-34817852-8
NR4186--MA0149.1.EWSR1-FLI1	chr15	66286690	66286707	-	0.000	0.000	Merged-chr15-66286791-54
NR11068--MA0149.1.EWSR1-FLI1	chr8	33892469	33892486	+	0.000	0.000	Merged-chr8-33892285-10
NR372--MA0149.1.EWSR1-FLI1	chr1	94825304	94825321	-	0.000	0.000	Merged-chr1-94825382-1
NR10903--MA0475.2.FLI1	chr7	141447541	141447550	-	0.000	0.000	Merged-chr7-141447520-63
NR11644--MA0149.1.EWSR1-FLI1	chr9	44708533	44708550	+	0.000	0.000	Merged-chr9-44708535-22
NR12098--MA0475.2.FLI1	chr9	115134833	115134842	-	0.000	0.000	Merged-chr9-115134877-14
NR113--MA0475.2.FLI1	chr1	39941781	39941790	-	0.000	0.000	Merged-chr1-39941675-40
NR10574--MA0149.1.EWSR1-FLI1	chr7	96920762	96920779	+	0.000	0.000	Merged-chr7-96920782-38
NR3571--MA0149.1.EWSR1-FLI1	chr14	40956729	40956746	-	0.000	0.000	Merged-chr14-40956605-62
NR11474--MA0475.2.FLI1	chr8	123404842	123404851	+	0.000	0.000	Merged-chr8-123404693-24
NR6586--MA0149.1.EWSR1-FLI1	chr2	102044395	102044412	+	0.000	0.000	Merged-chr2-102044515-18
NR5919--MA0149.1.EWSR1-FLI1	chr19	36384681	36384698	-	0.000	0.000	Merged-chr19-36384536-37
NR5002--MA0149.1.EWSR1-FLI1	chr17	23843959	23843976	-	0.000	0.000	Merged-chr17-23844076-33
NR8648--MA0475.2.FLI1	chr4	156004338	156004347	-	0.000	0.000	Merged-chr4-156004272-37
NR11548--MA0149.1.EWSR1-FLI1	chr9	15533865	15533882	-	0.000	0.000	Merged-chr9-15533893-20
NR2364--MA0475.2.FLI1	chr12	8351467	8351476	-	0.000	0.000	Merged-chr12-8351458-49
