#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed
NR116--MA0473.2.ELF1	chr1	43457258	43457269	-	0.000	0.000	Merged-chr1-43457148-27
NR5519--MA0640.1.ELF3	chr19	32913461	32913473	-	0.000	0.000	Merged-chr19-32913486-21
NR2260--MA0136.2.ELF5	chr12	35799410	35799420	+	0.000	0.000	Merged-chr12-35799508-49
NR2372--MA0136.2.ELF5	chr12	75449651	75449661	+	0.000	0.000	Merged-chr12-75449860-75
NR514--MA0640.1.ELF3	chr1	138186004	138186016	+	0.000	0.000	Merged-chr1-138186154-28
NR6038--MA0136.2.ELF5	chr2	102044395	102044405	+	0.000	0.000	Merged-chr2-102044515-18
NR9415--MA0136.2.ELF5	chr7	80767063	80767073	+	0.000	0.000	Merged-chr7-80767196-18
NR7127--MA0473.2.ELF1	chr3	148867812	148867823	+	0.000	0.000	Merged-chr3-148867817-36
NR4220--MA0473.2.ELF1	chr16	21835895	21835906	+	0.000	0.000	Merged-chr16-21835778-19
NR8688--MA0136.2.ELF5	chr6	89282719	89282729	+	0.000	0.000	Merged-chr6-89282729-2
NR6074--MA0136.2.ELF5	chr2	112676824	112676834	-	0.000	0.000	Merged-chr2-112676754-32
NR3599--MA0641.1.ELF4	chr14	86682144	86682155	-	0.000	0.000	Merged-chr14-86682000-52
NR1214--MA0640.1.ELF3	chr10	89766088	89766100	+	0.000	0.000	Merged-chr10-89765992-47
NR8162--MA0641.1.ELF4	chr5	111150960	111150971	-	0.000	0.000	Merged-chr5-111150785-19
NR4696--MA0136.2.ELF5	chr17	29082048	29082058	+	0.000	0.000	Merged-chr17-29082107-45
NR564--MA0640.1.ELF3	chr1	155740764	155740776	+	0.000	0.000	Merged-chr1-155740912-26
NR7048--MA0136.2.ELF5	chr3	138008368	138008378	+	0.000	0.000	Merged-chr3-138008366-30
NR6643--MA0136.2.ELF5	chr3	55660417	55660427	-	0.000	0.000	Merged-chr3-55660556-1
NR6695--MA0640.1.ELF3	chr3	79153525	79153537	+	0.000	0.000	Merged-chr3-79153347-66
NR10425--MA0136.2.ELF5	chr9	44196182	44196192	-	0.000	0.000	Merged-chr9-44196336-21
NR2861--MA0136.2.ELF5	chr13	53402511	53402521	-	0.000	0.000	Merged-chr13-53402378-5
NR7948--MA0136.2.ELF5	chr5	52125928	52125938	-	0.000	0.000	Merged-chr5-52126006-25
NR5242--MA0641.1.ELF4	chr18	67502710	67502721	-	0.000	0.000	Merged-chr18-67502827-16
NR3430--MA0640.1.ELF3	chr14	47740525	47740537	-	0.000	0.000	Merged-chr14-47740703-52
NR875--MA0136.2.ELF5	chr10	9575557	9575567	-	0.000	0.000	Merged-chr10-9575778-20
NR10392--MA0640.1.ELF3	chr9	35016911	35016923	-	0.000	0.000	Merged-chr9-35016972-25
NR302--MA0136.2.ELF5	chr1	87181024	87181034	+	0.000	0.000	Merged-chr1-87181117-21
NR6321--MA0136.2.ELF5	chr2	152104991	152105001	-	0.000	0.000	Merged-chr2-152105009-1
NR629--MA0136.2.ELF5	chr1	164453812	164453822	-	0.000	0.000	Merged-chr1-164453894-15
NR5360--MA0473.2.ELF1	chr18	84874243	84874254	-	0.000	0.000	Merged-chr18-84874398-59
NR8398--MA0136.2.ELF5	chr5	149428522	149428532	-	0.000	0.000	Merged-chr5-149428707-59
NR5473--MA0136.2.ELF5	chr19	21630836	21630846	-	0.000	0.000	Merged-chr19-21630934-27
NR7407--MA0136.2.ELF5	chr4	86683523	86683533	+	0.000	0.000	Merged-chr4-86683553-15
NR8949--MA0136.2.ELF5	chr6	134414423	134414433	+	0.000	0.000	Merged-chr6-134414331-55
NR7670--MA0473.2.ELF1	chr4	134091323	134091334	+	0.000	0.000	Merged-chr4-134091309-8
NR7436--MA0641.1.ELF4	chr4	91376484	91376495	+	0.000	0.000	Merged-chr4-91376544-34
NR1338--MA0136.2.ELF5	chr10	117626032	117626042	-	0.000	0.000	Merged-chr10-117625957-44
NR3766--MA0641.1.ELF4	chr15	27826231	27826242	-	0.000	0.000	Merged-chr15-27825914-54
NR9518--MA0640.1.ELF3	chr7	100699818	100699830	-	0.000	0.000	Merged-chr7-100699955-31
NR1235--MA0136.2.ELF5	chr10	94087445	94087455	-	0.000	0.000	Merged-chr10-94087553-20
NR3763--MA0473.2.ELF1	chr15	27826231	27826242	-	0.000	0.000	Merged-chr15-27825914-54
NR4682--MA0640.1.ELF3	chr17	27755668	27755680	+	0.000	0.000	Merged-chr17-27755639-7
NR10050--MA0136.2.ELF5	chr8	86707932	86707942	+	0.000	0.000	Merged-chr8-86708082-46
NR4221--MA0640.1.ELF3	chr16	21835895	21835907	+	0.000	0.000	Merged-chr16-21835778-19
NR8674--MA0641.1.ELF4	chr6	85339393	85339404	+	0.000	0.000	Merged-chr6-85339410-34
NR9451--MA0640.1.ELF3	chr7	84740004	84740016	-	0.000	0.000	Merged-chr7-84740151-41
NR8692--MA0641.1.ELF4	chr6	89288329	89288340	-	0.000	0.000	Merged-chr6-89288372-31
NR941--MA0641.1.ELF4	chr10	25268625	25268636	-	0.000	0.000	Merged-chr10-25268678-14
NR1258--MA0136.2.ELF5	chr10	96579634	96579644	-	0.000	0.000	Merged-chr10-96579636-12
NR10824--MA0473.2.ELF1	chr9	112186571	112186582	+	0.000	0.000	Merged-chr9-112186441-37
NR2227--MA0136.2.ELF5	chr12	31756197	31756207	+	0.000	0.000	Merged-chr12-31756239-29
NR5521--MA0641.1.ELF4	chr19	32913462	32913473	-	0.000	0.000	Merged-chr19-32913486-21
NR5818--MA0473.2.ELF1	chr2	43992670	43992681	+	0.000	0.000	Merged-chr2-43992698-17
NR5819--MA0136.2.ELF5	chr2	43992671	43992681	+	0.000	0.000	Merged-chr2-43992698-17
NR375--MA0136.2.ELF5	chr1	98022169	98022179	-	0.000	0.000	Merged-chr1-98022036-10
NR7128--MA0641.1.ELF4	chr3	148867812	148867823	+	0.000	0.000	Merged-chr3-148867817-36
NR2151--MA0136.2.ELF5	chr12	8847135	8847145	-	0.000	0.000	Merged-chr12-8847092-48
NR2263--MA0136.2.ELF5	chr12	35915988	35915998	+	0.000	0.000	Merged-chr12-35915902-9
NR4519--MA0136.2.ELF5	chr17	5295761	5295771	-	0.000	0.000	Merged-chr17-5295840-41
NR937--MA0641.1.ELF4	chr10	21946896	21946907	-	0.000	0.000	Merged-chr10-21947042-21
NR934--MA0473.2.ELF1	chr10	21946896	21946907	-	0.000	0.000	Merged-chr10-21947042-21
NR5872--MA0473.2.ELF1	chr2	61483987	61483998	-	0.000	0.000	Merged-chr2-61484018-22
NR6080--MA0473.2.ELF1	chr2	114032495	114032506	+	0.000	0.000	Merged-chr2-114032469-18
NR5627--MA0136.2.ELF5	chr19	59933092	59933102	+	0.000	0.000	Merged-chr19-59932938-11
NR2823--MA0136.2.ELF5	chr13	43191776	43191786	-	0.000	0.000	Merged-chr13-43191968-21
NR5361--MA0640.1.ELF3	chr18	84874242	84874254	-	0.000	0.000	Merged-chr18-84874398-59
NR603--MA0473.2.ELF1	chr1	160246105	160246116	+	0.000	0.000	Merged-chr1-160246205-43
NR837--MA0136.2.ELF5	chr1	193159413	193159423	+	0.000	0.000	Merged-chr1-193159321-1
NR1646--MA0641.1.ELF4	chr11	52268596	52268607	-	0.000	0.000	Merged-chr11-52268561-57
NR7671--MA0640.1.ELF3	chr4	134091323	134091335	+	0.000	0.000	Merged-chr4-134091309-8
NR8042--MA0136.2.ELF5	chr5	86783397	86783407	+	0.000	0.000	Merged-chr5-86783243-43
NR10000--MA0641.1.ELF4	chr8	79682534	79682545	+	0.000	0.000	Merged-chr8-79682361-5
NR5209--MA0641.1.ELF4	chr18	62174840	62174851	-	0.000	0.000	Merged-chr18-62174920-17
NR3764--MA0640.1.ELF3	chr15	27826230	27826242	-	0.000	0.000	Merged-chr15-27825914-54
NR5206--MA0473.2.ELF1	chr18	62174840	62174851	-	0.000	0.000	Merged-chr18-62174920-17
NR4258--MA0641.1.ELF4	chr16	30597168	30597179	-	0.000	0.000	Merged-chr16-30597297-42
NR7069--MA0136.2.ELF5	chr3	143647081	143647091	-	0.000	0.000	Merged-chr3-143647123-49
NR2859--MA0473.2.ELF1	chr13	53402511	53402522	-	0.000	0.000	Merged-chr13-53402378-5
NR8085--MA0641.1.ELF4	chr5	98018332	98018343	+	0.000	0.000	Merged-chr5-98018284-53
NR8082--MA0473.2.ELF1	chr5	98018332	98018343	+	0.000	0.000	Merged-chr5-98018284-53
NR7555--MA0641.1.ELF4	chr4	120815880	120815891	-	0.000	0.000	Merged-chr4-120815867-58
NR8547--MA0640.1.ELF3	chr6	52825718	52825730	+	0.000	0.000	Merged-chr6-52825813-18
NR5024--MA0136.2.ELF5	chr18	6484958	6484968	-	0.000	0.000	Merged-chr18-6484878-33
NR7552--MA0473.2.ELF1	chr4	120815880	120815891	-	0.000	0.000	Merged-chr4-120815867-58
NR1363--MA0136.2.ELF5	chr10	120257288	120257298	-	0.000	0.000	Merged-chr10-120257480-28
NR935--MA0640.1.ELF3	chr10	21946895	21946907	-	0.000	0.000	Merged-chr10-21947042-21
NR8079--MA0136.2.ELF5	chr5	98018297	98018307	+	0.000	0.000	Merged-chr5-98018284-53
NR5873--MA0640.1.ELF3	chr2	61483986	61483998	-	0.000	0.000	Merged-chr2-61484018-22
NR4523--MA0641.1.ELF4	chr17	5303459	5303470	-	0.000	0.000	Merged-chr17-5303448-46
NR6081--MA0640.1.ELF3	chr2	114032495	114032507	+	0.000	0.000	Merged-chr2-114032469-18
NR4069--MA0136.2.ELF5	chr15	100182724	100182734	-	0.000	0.000	Merged-chr15-100182935-17
NR604--MA0640.1.ELF3	chr1	160246105	160246117	+	0.000	0.000	Merged-chr1-160246205-43
NR7352--MA0136.2.ELF5	chr4	62475986	62475996	-	0.000	0.000	Merged-chr4-62476033-55
NR118--MA0136.2.ELF5	chr1	43457258	43457268	-	0.000	0.000	Merged-chr1-43457148-27
NR6641--MA0640.1.ELF3	chr3	55659812	55659824	+	0.000	0.000	Merged-chr3-55660012-44
NR1497--MA0473.2.ELF1	chr11	11726279	11726290	-	0.000	0.000	Merged-chr11-11726036-106
NR1500--MA0641.1.ELF4	chr11	11726279	11726290	-	0.000	0.000	Merged-chr11-11726036-106
NR11060--MA0641.1.ELF4	chrX	104488367	104488378	-	0.000	0.000	Merged-chrX-104488290-31
NR5844--MA0136.2.ELF5	chr2	50813981	50813991	+	0.000	0.000	Merged-chr2-50813926-46
NR8583--MA0641.1.ELF4	chr6	59185549	59185560	-	0.000	0.000	Merged-chr6-59185393-33
NR6840--MA0136.2.ELF5	chr3	100558543	100558553	+	0.000	0.000	Merged-chr3-100558458-49
NR8051--MA0640.1.ELF3	chr5	90492690	90492702	+	0.000	0.000	Merged-chr5-90492733-42
NR1313--MA0640.1.ELF3	chr10	111912246	111912258	+	0.000	0.000	Merged-chr10-111912286-27
NR9774--MA0136.2.ELF5	chr7	141525364	141525374	-	0.000	0.000	Merged-chr7-141525471-18
NR10845--MA0473.2.ELF1	chr9	115134833	115134844	-	0.000	0.000	Merged-chr9-115134877-14
NR5207--MA0640.1.ELF3	chr18	62174839	62174851	-	0.000	0.000	Merged-chr18-62174920-17
NR960--MA0136.2.ELF5	chr10	37606026	37606036	-	0.000	0.000	Merged-chr10-37606063-23
NR8006--MA0641.1.ELF4	chr5	67300127	67300138	-	0.000	0.000	Merged-chr5-67300252-37
NR4683--MA0136.2.ELF5	chr17	27755669	27755679	+	0.000	0.000	Merged-chr17-27755639-7
NR6724--MA0136.2.ELF5	chr3	83993393	83993403	+	0.000	0.000	Merged-chr3-83993440-19
NR2060--MA0136.2.ELF5	chr11	115699582	115699592	-	0.000	0.000	Merged-chr11-115699455-67
NR7078--MA0640.1.ELF3	chr3	144232118	144232130	-	0.000	0.000	Merged-chr3-144232172-58
NR4222--MA0136.2.ELF5	chr16	21835896	21835906	+	0.000	0.000	Merged-chr16-21835778-19
NR9452--MA0136.2.ELF5	chr7	84740005	84740015	-	0.000	0.000	Merged-chr7-84740151-41
NR8040--MA0136.2.ELF5	chr5	86741418	86741428	-	0.000	0.000	Merged-chr5-86741340-29
NR1121--MA0640.1.ELF3	chr10	77864409	77864421	+	0.000	0.000	Merged-chr10-77864570-37
NR9347--MA0641.1.ELF4	chr7	65693448	65693459	+	0.000	0.000	Merged-chr7-65693564-67
NR8083--MA0640.1.ELF3	chr5	98018332	98018344	+	0.000	0.000	Merged-chr5-98018284-53
NR973--MA0473.2.ELF1	chr10	39793449	39793460	-	0.000	0.000	Merged-chr10-39793457-38
NR10697--MA0640.1.ELF3	chr9	94945706	94945718	+	0.000	0.000	Merged-chr9-94945890-45
NR4339--MA0136.2.ELF5	chr16	45690390	45690400	+	0.000	0.000	Merged-chr16-45690365-24
NR7553--MA0640.1.ELF3	chr4	120815879	120815891	-	0.000	0.000	Merged-chr4-120815867-58
NR1905--MA0640.1.ELF3	chr11	90586471	90586483	+	0.000	0.000	Merged-chr11-90586478-10
NR7325--MA0640.1.ELF3	chr4	57640439	57640451	-	0.000	0.000	Merged-chr4-57640378-35
NR5559--MA0136.2.ELF5	chr19	42770754	42770764	-	0.000	0.000	Merged-chr19-42770693-24
NR4599--MA0136.2.ELF5	chr17	17636310	17636320	+	0.000	0.000	Merged-chr17-17636367-22
NR5362--MA0136.2.ELF5	chr18	84874243	84874253	-	0.000	0.000	Merged-chr18-84874398-59
NR579--MA0640.1.ELF3	chr1	156217515	156217527	-	0.000	0.000	Merged-chr1-156217514-18
NR9923--MA0136.2.ELF5	chr8	64826648	64826658	+	0.000	0.000	Merged-chr8-64826546-37
NR433--MA0136.2.ELF5	chr1	127830400	127830410	-	0.000	0.000	Merged-chr1-127830460-48
NR4259--MA0136.2.ELF5	chr16	30686776	30686786	+	0.000	0.000	Merged-chr16-30686693-12
NR759--MA0473.2.ELF1	chr1	182718802	182718813	+	0.000	0.000	Merged-chr1-182718730-25
NR6778--MA0473.2.ELF1	chr3	89911273	89911284	-	0.000	0.000	Merged-chr3-89911440-10
NR104--MA0641.1.ELF4	chr1	39281145	39281156	-	0.000	0.000	Merged-chr1-39281232-20
NR1498--MA0640.1.ELF3	chr11	11726278	11726290	-	0.000	0.000	Merged-chr11-11726036-106
NR205--MA0136.2.ELF5	chr1	66987768	66987778	+	0.000	0.000	Merged-chr1-66987794-41
NR3514--MA0136.2.ELF5	chr14	64688987	64688997	-	0.000	0.000	Merged-chr14-64688922-18
NR5151--MA0473.2.ELF1	chr18	39082269	39082280	+	0.000	0.000	Merged-chr18-39082152-23
NR9712--MA0473.2.ELF1	chr7	127922763	127922774	-	0.000	0.000	Merged-chr7-127922827-35
NR7672--MA0136.2.ELF5	chr4	134091324	134091334	+	0.000	0.000	Merged-chr4-134091309-8
NR6466--MA0136.2.ELF5	chr2	170216244	170216254	+	0.000	0.000	Merged-chr2-170216227-3
NR2163--MA0640.1.ELF3	chr12	17084929	17084941	-	0.000	0.000	Merged-chr12-17085011-50
NR6057--MA0640.1.ELF3	chr2	106015096	106015108	+	0.000	0.000	Merged-chr2-106015150-10
NR11123--MA0136.2.ELF5	chrX	159199658	159199668	-	0.000	0.000	Merged-chrX-159199808-53
NR4508--MA0641.1.ELF4	chr16	96208604	96208615	-	0.000	0.000	Merged-chr16-96208613-13
NR4505--MA0473.2.ELF1	chr16	96208604	96208615	-	0.000	0.000	Merged-chr16-96208613-13
NR6041--MA0136.2.ELF5	chr2	102222704	102222714	+	0.000	0.000	Merged-chr2-102222836-16
NR9416--MA0641.1.ELF4	chr7	80767062	80767073	+	0.000	0.000	Merged-chr7-80767196-18
NR10846--MA0641.1.ELF4	chr9	115134833	115134844	-	0.000	0.000	Merged-chr9-115134877-14
NR974--MA0640.1.ELF3	chr10	39793448	39793460	-	0.000	0.000	Merged-chr10-39793457-38
NR10560--MA0640.1.ELF3	chr9	66899722	66899734	-	0.000	0.000	Merged-chr9-66899689-35
NR9781--MA0136.2.ELF5	chr7	144412795	144412805	-	0.000	0.000	Merged-chr7-144412683-20
NR4425--MA0473.2.ELF1	chr16	70007060	70007071	+	0.000	0.000	Merged-chr16-70007136-17
NR9587--MA0640.1.ELF3	chr7	112918516	112918528	+	0.000	0.000	Merged-chr7-112918407-20
NR9441--MA0136.2.ELF5	chr7	83852793	83852803	-	0.000	0.000	Merged-chr7-83852721-40
NR5874--MA0136.2.ELF5	chr2	61483987	61483997	-	0.000	0.000	Merged-chr2-61484018-22
NR8054--MA0640.1.ELF3	chr5	91083306	91083318	-	0.000	0.000	Merged-chr5-91083328-13
NR6082--MA0136.2.ELF5	chr2	114032496	114032506	+	0.000	0.000	Merged-chr2-114032469-18
NR2148--MA0136.2.ELF5	chr12	8817735	8817745	-	0.000	0.000	Merged-chr12-8817903-12
NR7080--MA0641.1.ELF4	chr3	144232119	144232130	-	0.000	0.000	Merged-chr3-144232172-58
NR6982--MA0136.2.ELF5	chr3	127824632	127824642	-	0.000	0.000	Merged-chr3-127824503-101
NR605--MA0136.2.ELF5	chr1	160246106	160246116	+	0.000	0.000	Merged-chr1-160246205-43
NR4697--MA0641.1.ELF4	chr17	29082047	29082058	+	0.000	0.000	Merged-chr17-29082107-45
NR10426--MA0641.1.ELF4	chr9	44196182	44196193	-	0.000	0.000	Merged-chr9-44196336-21
NR2862--MA0641.1.ELF4	chr13	53402511	53402522	-	0.000	0.000	Merged-chr13-53402378-5
NR6779--MA0640.1.ELF3	chr3	89911272	89911284	-	0.000	0.000	Merged-chr3-89911440-10
NR8077--MA0640.1.ELF3	chr5	98018296	98018308	+	0.000	0.000	Merged-chr5-98018284-53
NR303--MA0641.1.ELF4	chr1	87181023	87181034	+	0.000	0.000	Merged-chr1-87181117-21
NR6322--MA0641.1.ELF4	chr2	152104991	152105002	-	0.000	0.000	Merged-chr2-152105009-1
NR300--MA0473.2.ELF1	chr1	87181023	87181034	+	0.000	0.000	Merged-chr1-87181117-21
NR1314--MA0136.2.ELF5	chr10	111912247	111912257	+	0.000	0.000	Merged-chr10-111912286-27
NR8399--MA0641.1.ELF4	chr5	149428522	149428533	-	0.000	0.000	Merged-chr5-149428707-59
NR5208--MA0136.2.ELF5	chr18	62174840	62174850	-	0.000	0.000	Merged-chr18-62174920-17
NR7870--MA0473.2.ELF1	chr5	28269924	28269935	-	0.000	0.000	Merged-chr5-28269924-54
NR431--MA0136.2.ELF5	chr1	127425235	127425245	+	0.000	0.000	Merged-chr1-127425317-19
NR4247--MA0473.2.ELF1	chr16	26668103	26668114	-	0.000	0.000	Merged-chr16-26667963-36
NR4248--MA0136.2.ELF5	chr16	26668103	26668113	-	0.000	0.000	Merged-chr16-26667963-36
NR1323--MA0136.2.ELF5	chr10	112278240	112278250	-	0.000	0.000	Merged-chr10-112278323-19
NR4506--MA0640.1.ELF3	chr16	96208603	96208615	-	0.000	0.000	Merged-chr16-96208613-13
NR8947--MA0473.2.ELF1	chr6	134414422	134414433	+	0.000	0.000	Merged-chr6-134414331-55
NR1000--MA0473.2.ELF1	chr10	42849067	42849078	+	0.000	0.000	Merged-chr10-42848913-29
NR5376--MA0641.1.ELF4	chr19	4093962	4093973	+	0.000	0.000	Merged-chr19-4093947-17
NR1236--MA0641.1.ELF4	chr10	94087445	94087456	-	0.000	0.000	Merged-chr10-94087553-20
NR690--MA0473.2.ELF1	chr1	172623799	172623810	-	0.000	0.000	Merged-chr1-172623833-20
NR8084--MA0136.2.ELF5	chr5	98018333	98018343	+	0.000	0.000	Merged-chr5-98018284-53
NR1233--MA0473.2.ELF1	chr10	94087445	94087456	-	0.000	0.000	Merged-chr10-94087553-20
NR4426--MA0640.1.ELF3	chr16	70007060	70007072	+	0.000	0.000	Merged-chr16-70007136-17
NR2228--MA0641.1.ELF4	chr12	31756196	31756207	+	0.000	0.000	Merged-chr12-31756239-29
NR376--MA0641.1.ELF4	chr1	98022169	98022180	-	0.000	0.000	Merged-chr1-98022036-10
NR1820--MA0473.2.ELF1	chr11	78679016	78679027	+	0.000	0.000	Merged-chr11-78678960-17
NR2152--MA0641.1.ELF4	chr12	8847135	8847146	-	0.000	0.000	Merged-chr12-8847092-48
NR4695--MA0640.1.ELF3	chr17	29082047	29082059	+	0.000	0.000	Merged-chr17-29082107-45
NR8537--MA0136.2.ELF5	chr6	49052341	49052351	-	0.000	0.000	Merged-chr6-49052265-16
NR2264--MA0641.1.ELF4	chr12	35915987	35915998	+	0.000	0.000	Merged-chr12-35915902-9
NR3256--MA0640.1.ELF3	chr14	7833422	7833434	-	0.000	0.000	Merged-chr14-7833590-5
NR2860--MA0640.1.ELF3	chr13	53402510	53402522	-	0.000	0.000	Merged-chr13-53402378-5
NR2261--MA0473.2.ELF1	chr12	35915987	35915998	+	0.000	0.000	Merged-chr12-35915902-9
NR2376--MA0641.1.ELF4	chr12	75529544	75529555	-	0.000	0.000	Merged-chr12-75529598-12
NR2373--MA0473.2.ELF1	chr12	75529544	75529555	-	0.000	0.000	Merged-chr12-75529598-12
NR249--MA0136.2.ELF5	chr1	80440781	80440791	-	0.000	0.000	Merged-chr1-80441020-53
NR8572--MA0473.2.ELF1	chr6	57449465	57449476	+	0.000	0.000	Merged-chr6-57449516-18
NR301--MA0640.1.ELF3	chr1	87181023	87181035	+	0.000	0.000	Merged-chr1-87181117-21
NR628--MA0640.1.ELF3	chr1	164453811	164453823	-	0.000	0.000	Merged-chr1-164453894-15
NR6039--MA0473.2.ELF1	chr2	102222703	102222714	+	0.000	0.000	Merged-chr2-102222836-16
NR8689--MA0473.2.ELF1	chr6	89288329	89288340	-	0.000	0.000	Merged-chr6-89288372-31
NR938--MA0473.2.ELF1	chr10	25268625	25268636	-	0.000	0.000	Merged-chr10-25268678-14
NR1992--MA0136.2.ELF5	chr11	106430651	106430661	-	0.000	0.000	Merged-chr11-106430638-37
NR8380--MA0473.2.ELF1	chr5	148501371	148501382	+	0.000	0.000	Merged-chr5-148501527-73
NR8381--MA0136.2.ELF5	chr5	148501372	148501382	+	0.000	0.000	Merged-chr5-148501527-73
NR8948--MA0640.1.ELF3	chr6	134414422	134414434	+	0.000	0.000	Merged-chr6-134414331-55
NR1001--MA0640.1.ELF3	chr10	42849067	42849079	+	0.000	0.000	Merged-chr10-42848913-29
NR2621--MA0136.2.ELF5	chr12	117756227	117756237	+	0.000	0.000	Merged-chr12-117756205-23
NR8247--MA0136.2.ELF5	chr5	124907014	124907024	-	0.000	0.000	Merged-chr5-124907107-45
NR6781--MA0641.1.ELF4	chr3	89911273	89911284	-	0.000	0.000	Merged-chr3-89911440-10
NR2664--MA0640.1.ELF3	chr13	12349509	12349521	+	0.000	0.000	Merged-chr13-12349518-23
NR691--MA0640.1.ELF3	chr1	172623798	172623810	-	0.000	0.000	Merged-chr1-172623833-20
NR975--MA0136.2.ELF5	chr10	39793449	39793459	-	0.000	0.000	Merged-chr10-39793457-38
NR760--MA0136.2.ELF5	chr1	182718803	182718813	+	0.000	0.000	Merged-chr1-182718730-25
NR1234--MA0640.1.ELF3	chr10	94087444	94087456	-	0.000	0.000	Merged-chr10-94087553-20
NR6576--MA0640.1.ELF3	chr3	28969127	28969139	-	0.000	0.000	Merged-chr3-28968988-13
NR8055--MA0136.2.ELF5	chr5	91083307	91083317	-	0.000	0.000	Merged-chr5-91083328-13
NR1821--MA0640.1.ELF3	chr11	78679016	78679028	+	0.000	0.000	Merged-chr11-78678960-17
NR8708--MA0473.2.ELF1	chr6	91698970	91698981	-	0.000	0.000	Merged-chr6-91699017-27
NR5905--MA0136.2.ELF5	chr2	72137131	72137141	-	0.000	0.000	Merged-chr2-72136999-23
NR1364--MA0641.1.ELF4	chr10	120257288	120257299	-	0.000	0.000	Merged-chr10-120257480-28
NR2262--MA0640.1.ELF3	chr12	35915987	35915999	+	0.000	0.000	Merged-chr12-35915902-9
NR1353--MA0136.2.ELF5	chr10	118194968	118194978	-	0.000	0.000	Merged-chr10-118194882-1
NR2374--MA0640.1.ELF3	chr12	75529543	75529555	-	0.000	0.000	Merged-chr12-75529598-12
NR7766--MA0473.2.ELF1	chr4	149282717	149282728	-	0.000	0.000	Merged-chr4-149282639-35
NR6694--MA0473.2.ELF1	chr3	79153525	79153536	+	0.000	0.000	Merged-chr3-79153347-66
