#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed
NR5504--MA0136.2.ELF5	chr2	10581309	10581319	-	0.000	0.000	Merged-chr2-10581253-23
NR821--MA0136.2.ELF5	chr10	7041228	7041238	+	0.000	0.000	Merged-chr10-7041240-23
NR9020--MA0640.1.ELF3	chr7	100700019	100700031	+	0.000	0.000	Merged-chr7-100699955-31
NR4759--MA0136.2.ELF5	chr17	86435044	86435054	+	0.000	0.000	Merged-chr17-86435016-20
NR6038--MA0473.2.ELF1	chr2	151944292	151944303	+	0.000	0.000	Merged-chr2-151944383-43
NR6767--MA0640.1.ELF3	chr3	152430957	152430969	-	0.000	0.000	Merged-chr3-152430886-16
NR1512--MA0136.2.ELF5	chr11	32062051	32062061	-	0.000	0.000	Merged-chr11-32062095-48
NR9451--MA0473.2.ELF1	chr8	83566735	83566746	+	0.000	0.000	Merged-chr8-83566861-57
NR9137--MA0640.1.ELF3	chr7	127922762	127922774	-	0.000	0.000	Merged-chr7-127922827-35
NR9799--MA0641.1.ELF4	chr9	21455327	21455338	-	0.000	0.000	Merged-chr9-21455385-20
NR6608--MA0136.2.ELF5	chr3	126834970	126834980	+	0.000	0.000	Merged-chr3-126834809-55
NR5330--MA0136.2.ELF5	chr19	42305917	42305927	+	0.000	0.000	Merged-chr19-42305883-1
NR9796--MA0473.2.ELF1	chr9	21455327	21455338	-	0.000	0.000	Merged-chr9-21455385-20
NR10012--MA0640.1.ELF3	chr9	66492520	66492532	+	0.000	0.000	Merged-chr9-66492510-30
NR1233--MA0640.1.ELF3	chr10	93356316	93356328	-	0.000	0.000	Merged-chr10-93356301-45
NR4008--MA0136.2.ELF5	chr16	18075432	18075442	+	0.000	0.000	Merged-chr16-18075425-17
NR5252--MA0641.1.ELF4	chr19	26414860	26414871	-	0.000	0.000	Merged-chr19-26414799-20
NR1457--MA0641.1.ELF4	chr11	6705088	6705099	+	0.000	0.000	Merged-chr11-6705219-50
NR4043--MA0473.2.ELF1	chr16	24164781	24164792	+	0.000	0.000	Merged-chr16-24164966-5
NR270--MA0640.1.ELF3	chr1	87181023	87181035	+	0.000	0.000	Merged-chr1-87181117-21
NR9489--MA0136.2.ELF5	chr8	88450991	88451001	+	0.000	0.000	Merged-chr8-88451024-11
NR1454--MA0473.2.ELF1	chr11	6705088	6705099	+	0.000	0.000	Merged-chr11-6705219-50
NR5040--MA0136.2.ELF5	chr18	78048638	78048648	+	0.000	0.000	Merged-chr18-78048620-25
NR10587--MA0473.2.ELF1	chrX	169880551	169880562	+	0.000	0.000	Merged-chrX-169880422-92
NR6039--MA0640.1.ELF3	chr2	151944292	151944304	+	0.000	0.000	Merged-chr2-151944383-43
NR3785--MA0641.1.ELF4	chr15	81254445	81254456	-	0.000	0.000	Merged-chr15-81254471-25
NR9963--MA0473.2.ELF1	chr9	61054471	61054482	+	0.000	0.000	Merged-chr9-61054632-26
NR1272--MA0136.2.ELF5	chr10	95746017	95746027	-	0.000	0.000	Merged-chr10-95746044-53
NR9615--MA0136.2.ELF5	chr8	117781652	117781662	-	0.000	0.000	Merged-chr8-117781721-61
NR938--MA0640.1.ELF3	chr10	40969611	40969623	-	0.000	0.000	Merged-chr10-40969775-14
NR7001--MA0136.2.ELF5	chr4	98395854	98395864	-	0.000	0.000	Merged-chr4-98395963-63
NR5842--MA0136.2.ELF5	chr2	112676824	112676834	-	0.000	0.000	Merged-chr2-112676754-32
NR9452--MA0640.1.ELF3	chr8	83566735	83566747	+	0.000	0.000	Merged-chr8-83566861-57
NR2620--MA0640.1.ELF3	chr13	5757340	5757352	-	0.000	0.000	Merged-chr13-5757363-53
NR5090--MA0136.2.ELF5	chr18	84874243	84874253	-	0.000	0.000	Merged-chr18-84874398-59
NR9797--MA0640.1.ELF3	chr9	21455326	21455338	-	0.000	0.000	Merged-chr9-21455385-20
NR9354--MA0640.1.ELF3	chr8	41039691	41039703	+	0.000	0.000	Merged-chr8-41039674-18
NR3840--MA0640.1.ELF3	chr15	91587668	91587680	-	0.000	0.000	Merged-chr15-91587669-21
NR6730--MA0473.2.ELF1	chr3	146039585	146039596	-	0.000	0.000	Merged-chr3-146039588-29
NR944--MA0473.2.ELF1	chr10	41615621	41615632	+	0.000	0.000	Merged-chr10-41615681-31
NR8122--MA0473.2.ELF1	chr6	57449465	57449476	+	0.000	0.000	Merged-chr6-57449516-18
NR8175--MA0640.1.ELF3	chr6	72495518	72495530	-	0.000	0.000	Merged-chr6-72495605-8
NR5250--MA0640.1.ELF3	chr19	26414859	26414871	-	0.000	0.000	Merged-chr19-26414799-20
NR2065--MA0641.1.ELF4	chr11	118731985	118731996	-	0.000	0.000	Merged-chr11-118731916-25
NR2732--MA0641.1.ELF4	chr13	36534398	36534409	+	0.000	0.000	Merged-chr13-36534554-32
NR1076--MA0136.2.ELF5	chr10	75446686	75446696	+	0.000	0.000	Merged-chr10-75446685-44
NR6718--MA0136.2.ELF5	chr3	144591304	144591314	+	0.000	0.000	Merged-chr3-144591481-19
NR4044--MA0640.1.ELF3	chr16	24164781	24164793	+	0.000	0.000	Merged-chr16-24164966-5
NR1455--MA0640.1.ELF3	chr11	6705088	6705100	+	0.000	0.000	Merged-chr11-6705219-50
NR7611--MA0136.2.ELF5	chr5	98018297	98018307	+	0.000	0.000	Merged-chr5-98018284-53
NR3489--MA0136.2.ELF5	chr14	118173825	118173835	+	0.000	0.000	Merged-chr14-118173746-41
NR8148--MA0641.1.ELF4	chr6	67183705	67183716	+	0.000	0.000	Merged-chr6-67183808-15
NR6865--MA0473.2.ELF1	chr4	44271232	44271243	-	0.000	0.000	Merged-chr4-44271283-50
NR8145--MA0473.2.ELF1	chr6	67183705	67183716	+	0.000	0.000	Merged-chr6-67183808-15
NR9596--MA0641.1.ELF4	chr8	115878482	115878493	+	0.000	0.000	Merged-chr8-115878428-26
NR9593--MA0473.2.ELF1	chr8	115878482	115878493	+	0.000	0.000	Merged-chr8-115878428-26
NR9021--MA0136.2.ELF5	chr7	100700020	100700030	+	0.000	0.000	Merged-chr7-100699955-31
NR4382--MA0136.2.ELF5	chr17	21909678	21909688	+	0.000	0.000	Merged-chr17-21909627-78
NR1334--MA0641.1.ELF4	chr10	119005685	119005696	+	0.000	0.000	Merged-chr10-119005704-15
NR7512--MA0473.2.ELF1	chr5	62815971	62815982	-	0.000	0.000	Merged-chr5-62815867-48
NR7513--MA0136.2.ELF5	chr5	62815971	62815981	-	0.000	0.000	Merged-chr5-62815867-48
NR1331--MA0473.2.ELF1	chr10	119005685	119005696	+	0.000	0.000	Merged-chr10-119005704-15
NR6768--MA0136.2.ELF5	chr3	152430958	152430968	-	0.000	0.000	Merged-chr3-152430886-16
NR7654--MA0641.1.ELF4	chr5	107840731	107840742	+	0.000	0.000	Merged-chr5-107840807-27
NR3322--MA0640.1.ELF3	chr14	61818568	61818580	+	0.000	0.000	Merged-chr14-61818597-46
NR7574--MA0640.1.ELF3	chr5	86783396	86783408	+	0.000	0.000	Merged-chr5-86783243-43
NR7099--MA0641.1.ELF4	chr4	122829288	122829299	+	0.000	0.000	Merged-chr4-122829434-12
NR4050--MA0473.2.ELF1	chr16	26668103	26668114	-	0.000	0.000	Merged-chr16-26667963-36
NR1686--MA0136.2.ELF5	chr11	71230821	71230831	-	0.000	0.000	Merged-chr11-71230864-28
NR7896--MA0641.1.ELF4	chr5	146781758	146781769	-	0.000	0.000	Merged-chr5-146781945-52
NR10013--MA0136.2.ELF5	chr9	66492521	66492531	+	0.000	0.000	Merged-chr9-66492510-30
NR8874--MA0641.1.ELF4	chr7	78451873	78451884	+	0.000	0.000	Merged-chr7-78451897-56
NR3633--MA0136.2.ELF5	chr15	36396381	36396391	-	0.000	0.000	Merged-chr15-36396472-80
NR7893--MA0473.2.ELF1	chr5	146781758	146781769	-	0.000	0.000	Merged-chr5-146781945-52
NR1234--MA0136.2.ELF5	chr10	93356317	93356327	-	0.000	0.000	Merged-chr10-93356301-45
NR2776--MA0136.2.ELF5	chr13	45687750	45687760	-	0.000	0.000	Merged-chr13-45687844-27
NR9379--MA0473.2.ELF1	chr8	64826647	64826658	+	0.000	0.000	Merged-chr8-64826546-37
NR6596--MA0641.1.ELF4	chr3	123173833	123173844	+	0.000	0.000	Merged-chr3-123173705-1
NR4314--MA0640.1.ELF3	chr17	12307890	12307902	+	0.000	0.000	Merged-chr17-12307853-61
NR6593--MA0473.2.ELF1	chr3	123173833	123173844	+	0.000	0.000	Merged-chr3-123173705-1
NR4094--MA0641.1.ELF4	chr16	36540942	36540953	-	0.000	0.000	Merged-chr16-36541041-27
NR4091--MA0473.2.ELF1	chr16	36540942	36540953	-	0.000	0.000	Merged-chr16-36541041-27
NR5726--MA0641.1.ELF4	chr2	70727367	70727378	+	0.000	0.000	Merged-chr2-70727299-23
NR8518--MA0473.2.ELF1	chr6	143425493	143425504	-	0.000	0.000	Merged-chr6-143425516-71
NR8424--MA0473.2.ELF1	chr6	127472173	127472184	+	0.000	0.000	Merged-chr6-127472187-33
NR8425--MA0136.2.ELF5	chr6	127472174	127472184	+	0.000	0.000	Merged-chr6-127472187-33
NR271--MA0136.2.ELF5	chr1	87181024	87181034	+	0.000	0.000	Merged-chr1-87181117-21
NR8537--MA0136.2.ELF5	chr6	143954667	143954677	+	0.000	0.000	Merged-chr6-143954525-20
NR8146--MA0640.1.ELF3	chr6	67183705	67183717	+	0.000	0.000	Merged-chr6-67183808-15
NR154--MA0473.2.ELF1	chr1	60017129	60017140	-	0.000	0.000	Merged-chr1-60017133-4
NR8123--MA0641.1.ELF4	chr6	57449465	57449476	+	0.000	0.000	Merged-chr6-57449516-18
NR4647--MA0473.2.ELF1	chr17	63093413	63093424	+	0.000	0.000	Merged-chr17-63093276-29
NR874--MA0640.1.ELF3	chr10	19321861	19321873	-	0.000	0.000	Merged-chr10-19321944-43
NR9594--MA0640.1.ELF3	chr8	115878482	115878494	+	0.000	0.000	Merged-chr8-115878428-26
NR7396--MA0641.1.ELF4	chr5	29205908	29205919	-	0.000	0.000	Merged-chr5-29205850-28
NR9528--MA0473.2.ELF1	chr8	106949061	106949072	-	0.000	0.000	Merged-chr8-106949012-29
NR1332--MA0640.1.ELF3	chr10	119005685	119005697	+	0.000	0.000	Merged-chr10-119005704-15
NR3041--MA0641.1.ELF4	chr13	108072342	108072353	-	0.000	0.000	Merged-chr13-108072263-25
NR7393--MA0473.2.ELF1	chr5	29205908	29205919	-	0.000	0.000	Merged-chr5-29205850-28
NR4316--MA0473.2.ELF1	chr17	12656042	12656053	-	0.000	0.000	Merged-chr17-12655999-51
NR5490--MA0640.1.ELF3	chr2	8965252	8965264	+	0.000	0.000	Merged-chr2-8965212-53
NR939--MA0136.2.ELF5	chr10	40969612	40969622	-	0.000	0.000	Merged-chr10-40969775-14
NR6866--MA0641.1.ELF4	chr4	44271232	44271243	-	0.000	0.000	Merged-chr4-44271283-50
NR9361--MA0641.1.ELF4	chr8	46197039	46197050	-	0.000	0.000	Merged-chr8-46197044-15
NR9453--MA0136.2.ELF5	chr8	83566736	83566746	+	0.000	0.000	Merged-chr8-83566861-57
NR1695--MA0640.1.ELF3	chr11	74100871	74100883	-	0.000	0.000	Merged-chr11-74100988-13
NR2621--MA0136.2.ELF5	chr13	5757341	5757351	-	0.000	0.000	Merged-chr13-5757363-53
NR9798--MA0136.2.ELF5	chr9	21455327	21455337	-	0.000	0.000	Merged-chr9-21455385-20
NR7894--MA0640.1.ELF3	chr5	146781757	146781769	-	0.000	0.000	Merged-chr5-146781945-52
NR1660--MA0473.2.ELF1	chr11	68447529	68447540	+	0.000	0.000	Merged-chr11-68447453-15
NR8872--MA0640.1.ELF3	chr7	78451873	78451885	+	0.000	0.000	Merged-chr7-78451897-56
NR10358--MA0640.1.ELF3	chr9	122272104	122272116	+	0.000	0.000	Merged-chr9-122271996-35
NR9355--MA0136.2.ELF5	chr8	41039692	41039702	+	0.000	0.000	Merged-chr8-41039674-18
NR3841--MA0136.2.ELF5	chr15	91587669	91587679	-	0.000	0.000	Merged-chr15-91587669-21
NR6594--MA0640.1.ELF3	chr3	123173833	123173845	+	0.000	0.000	Merged-chr3-123173705-1
NR764--MA0473.2.ELF1	chr1	189608792	189608803	+	0.000	0.000	Merged-chr1-189608778-45
NR765--MA0136.2.ELF5	chr1	189608793	189608803	+	0.000	0.000	Merged-chr1-189608778-45
NR4092--MA0640.1.ELF3	chr16	36540941	36540953	-	0.000	0.000	Merged-chr16-36541041-27
NR8936--MA0473.2.ELF1	chr7	84143308	84143319	-	0.000	0.000	Merged-chr7-84143230-35
NR5251--MA0136.2.ELF5	chr19	26414860	26414870	-	0.000	0.000	Merged-chr19-26414799-20
NR4045--MA0136.2.ELF5	chr16	24164782	24164792	+	0.000	0.000	Merged-chr16-24164966-5
NR2210--MA0136.2.ELF5	chr12	41168013	41168023	-	0.000	0.000	Merged-chr12-41167989-46
NR7205--MA0641.1.ELF4	chr4	137714433	137714444	-	0.000	0.000	Merged-chr4-137714339-14
