#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Fli1/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed
NR5396--MA0149.1.EWSR1-FLI1	chr2	8871397	8871414	+	0.000	0.000	Merged-chr2-8871484-19
NR10521--MA0149.1.EWSR1-FLI1	chr9	101251916	101251933	-	0.000	0.000	Merged-chr9-101251656-72
NR5804--MA0149.1.EWSR1-FLI1	chr2	112676866	112676883	-	0.000	0.000	Merged-chr2-112676754-32
NR1247--MA0149.1.EWSR1-FLI1	chr10	94523917	94523934	+	0.000	0.000	Merged-chr10-94523917-65
NR344--MA0149.1.EWSR1-FLI1	chr1	127796489	127796506	-	0.000	0.000	Merged-chr1-127796546-56
NR1245--MA0475.2.FLI1	chr10	94523914	94523923	+	0.000	0.000	Merged-chr10-94523917-65
NR2429--MA0475.2.FLI1	chr12	82469835	82469844	-	0.000	0.000	Merged-chr12-82469736-1
NR241--MA0475.2.FLI1	chr1	87181025	87181034	+	0.000	0.000	Merged-chr1-87181117-21
NR9202--MA0149.1.EWSR1-FLI1	chr7	68298468	68298485	+	0.000	0.000	Merged-chr7-68298573-21
NR1786--MA0149.1.EWSR1-FLI1	chr11	74100865	74100882	-	0.000	0.000	Merged-chr11-74100988-13
NR8436--MA0149.1.EWSR1-FLI1	chr6	65765266	65765283	+	0.000	0.000	Merged-chr6-65765316-29
NR4801--MA0149.1.EWSR1-FLI1	chr18	7404947	7404964	+	0.000	0.000	Merged-chr18-7404957-54
NR2305--MA0149.1.EWSR1-FLI1	chr12	41090087	41090104	-	0.000	0.000	Merged-chr12-41090116-16
NR8928--MA0149.1.EWSR1-FLI1	chr6	147672711	147672728	-	0.000	0.000	Merged-chr6-147672675-1
NR678--MA0149.1.EWSR1-FLI1	chr1	180410193	180410210	-	0.000	0.000	Merged-chr1-180410391-12
NR7549--MA0149.1.EWSR1-FLI1	chr4	149912682	149912699	-	0.000	0.000	Merged-chr4-149912693-20
NR8011--MA0149.1.EWSR1-FLI1	chr5	122288655	122288672	+	0.000	0.000	Merged-chr5-122288620-47
NR8399--MA0149.1.EWSR1-FLI1	chr6	50525791	50525808	+	0.000	0.000	Merged-chr6-50525844-22
NR5572--MA0149.1.EWSR1-FLI1	chr2	45139083	45139100	+	0.000	0.000	Merged-chr2-45139148-28
NR1727--MA0149.1.EWSR1-FLI1	chr11	64115909	64115926	-	0.000	0.000	Merged-chr11-64115983-5
NR9227--MA0149.1.EWSR1-FLI1	chr7	78578272	78578289	+	0.000	0.000	Merged-chr7-78578195-76
NR59--MA0149.1.EWSR1-FLI1	chr1	38777711	38777728	+	0.000	0.000	Merged-chr1-38777708-41
NR5367--MA0149.1.EWSR1-FLI1	chr2	3118339	3118356	+	0.000	0.000	Merged-chr2-3118423-48
NR4408--MA0475.2.FLI1	chr17	21909679	21909688	+	0.000	0.000	Merged-chr17-21909627-78
NR2170--MA0475.2.FLI1	chr11	118731985	118731994	-	0.000	0.000	Merged-chr11-118731916-25
NR10759--MA0149.1.EWSR1-FLI1	chrX	11753380	11753397	+	0.000	0.000	Merged-chrX-11753307-53
NR7136--MA0475.2.FLI1	chr4	63639135	63639144	+	0.000	0.000	Merged-chr4-63639054-20
NR6363--MA0149.1.EWSR1-FLI1	chr3	37205284	37205301	+	0.000	0.000	Merged-chr3-37205453-40
NR4401--MA0149.1.EWSR1-FLI1	chr17	17826783	17826800	+	0.000	0.000	Merged-chr17-17826809-71
NR1949--MA0475.2.FLI1	chr11	97665138	97665147	-	0.000	0.000	Merged-chr11-97665045-17
NR9336--MA0149.1.EWSR1-FLI1	chr7	97842908	97842925	-	0.000	0.000	Merged-chr7-97843006-38
NR5701--MA0149.1.EWSR1-FLI1	chr2	76070936	76070953	-	0.000	0.000	Merged-chr2-76070778-23
NR8266--MA0149.1.EWSR1-FLI1	chr6	22314864	22314881	+	0.000	0.000	Merged-chr6-22314730-22
NR10--MA0149.1.EWSR1-FLI1	chr1	14740100	14740117	+	0.000	0.000	Merged-chr1-14740213-10
NR4285--MA0149.1.EWSR1-FLI1	chr16	93572618	93572635	+	0.000	0.000	Merged-chr16-93572534-34
NR5422--MA0149.1.EWSR1-FLI1	chr2	13560710	13560727	+	0.000	0.000	Merged-chr2-13560596-20
NR758--MA0475.2.FLI1	chr1	189608794	189608803	+	0.000	0.000	Merged-chr1-189608778-45
NR3114--MA0149.1.EWSR1-FLI1	chr13	107619744	107619761	-	0.000	0.000	Merged-chr13-107619670-33
NR8400--MA0149.1.EWSR1-FLI1	chr6	50525795	50525812	+	0.000	0.000	Merged-chr6-50525844-22
NR4068--MA0149.1.EWSR1-FLI1	chr16	21694598	21694615	-	0.000	0.000	Merged-chr16-21694504-65
NR6690--MA0149.1.EWSR1-FLI1	chr3	116859528	116859545	+	0.000	0.000	Merged-chr3-116859602-1
NR4073--MA0149.1.EWSR1-FLI1	chr16	23308323	23308340	-	0.000	0.000	Merged-chr16-23308226-35
NR6668--MA0149.1.EWSR1-FLI1	chr3	109420998	109421015	-	0.000	0.000	Merged-chr3-109421125-43
NR3532--MA0149.1.EWSR1-FLI1	chr14	118173738	118173755	+	0.000	0.000	Merged-chr14-118173746-41
NR1345--MA0149.1.EWSR1-FLI1	chr10	117118579	117118596	+	0.000	0.000	Merged-chr10-117118585-40
NR442--MA0149.1.EWSR1-FLI1	chr1	152084853	152084870	+	0.000	0.000	Merged-chr1-152084822-56
NR7438--MA0475.2.FLI1	chr4	137714433	137714442	-	0.000	0.000	Merged-chr4-137714339-14
NR3819--MA0149.1.EWSR1-FLI1	chr15	80192515	80192532	-	0.000	0.000	Merged-chr15-80192413-58
NR5702--MA0149.1.EWSR1-FLI1	chr2	76070937	76070954	-	0.000	0.000	Merged-chr2-76070778-23
NR1369--MA0475.2.FLI1	chr10	119005687	119005696	+	0.000	0.000	Merged-chr10-119005704-15
NR4323--MA0149.1.EWSR1-FLI1	chr16	97401803	97401820	-	0.000	0.000	Merged-chr16-97402099-85
NR1187--MA0149.1.EWSR1-FLI1	chr10	83664026	83664043	-	0.000	0.000	Merged-chr10-83664117-9
NR7914--MA0149.1.EWSR1-FLI1	chr5	106885742	106885759	-	0.000	0.000	Merged-chr5-106885750-27
NR925--MA0475.2.FLI1	chr10	30655934	30655943	-	0.000	0.000	Merged-chr10-30655945-56
NR346--MA0149.1.EWSR1-FLI1	chr1	127796528	127796545	-	0.000	0.000	Merged-chr1-127796546-56
NR2979--MA0149.1.EWSR1-FLI1	chr13	95063729	95063746	+	0.000	0.000	Merged-chr13-95063599-48
NR655--MA0149.1.EWSR1-FLI1	chr1	178527765	178527782	+	0.000	0.000	Merged-chr1-178527630-56
NR9325--MA0149.1.EWSR1-FLI1	chr7	96920762	96920779	+	0.000	0.000	Merged-chr7-96920782-38
NR6723--MA0149.1.EWSR1-FLI1	chr3	126834962	126834979	+	0.000	0.000	Merged-chr3-126834809-55
NR1788--MA0149.1.EWSR1-FLI1	chr11	74100873	74100890	-	0.000	0.000	Merged-chr11-74100988-13
NR1484--MA0149.1.EWSR1-FLI1	chr10	128940660	128940677	-	0.000	0.000	Merged-chr10-128940717-41
NR5313--MA0475.2.FLI1	chr19	55915655	55915664	-	0.000	0.000	Merged-chr19-55915456-76
NR8013--MA0149.1.EWSR1-FLI1	chr5	122288660	122288677	+	0.000	0.000	Merged-chr5-122288620-47
NR4069--MA0149.1.EWSR1-FLI1	chr16	21694610	21694627	-	0.000	0.000	Merged-chr16-21694504-65
NR2149--MA0149.1.EWSR1-FLI1	chr11	116809698	116809715	+	0.000	0.000	Merged-chr11-116809683-9
NR7168--MA0149.1.EWSR1-FLI1	chr4	88071207	88071224	+	0.000	0.000	Merged-chr4-88071071-19
NR564--MA0149.1.EWSR1-FLI1	chr1	165985788	165985805	-	0.000	0.000	Merged-chr1-165985990-54
NR3454--MA0149.1.EWSR1-FLI1	chr14	76414704	76414721	-	0.000	0.000	Merged-chr14-76414870-149
NR3679--MA0149.1.EWSR1-FLI1	chr15	38120489	38120506	+	0.000	0.000	Merged-chr15-38120488-27
NR6061--MA0149.1.EWSR1-FLI1	chr2	157746663	157746680	-	0.000	0.000	Merged-chr2-157746803-36
NR3763--MA0149.1.EWSR1-FLI1	chr15	73627695	73627712	-	0.000	0.000	Merged-chr15-73627530-51
NR5006--MA0149.1.EWSR1-FLI1	chr18	77822032	77822049	-	0.000	0.000	Merged-chr18-77822073-36
NR8409--MA0149.1.EWSR1-FLI1	chr6	53287199	53287216	-	0.000	0.000	Merged-chr6-53287448-61
NR10954--MA0149.1.EWSR1-FLI1	chrX	159447250	159447267	-	0.000	0.000	Merged-chrX-159447377-17
NR2080--MA0149.1.EWSR1-FLI1	chr11	109591595	109591612	+	0.000	0.000	Merged-chr11-109591660-26
NR10403--MA0149.1.EWSR1-FLI1	chr9	75109296	75109313	-	0.000	0.000	Merged-chr9-75109370-6
NR4081--MA0475.2.FLI1	chr16	24164783	24164792	+	0.000	0.000	Merged-chr16-24164966-5
NR9714--MA0149.1.EWSR1-FLI1	chr8	33548632	33548649	+	0.000	0.000	Merged-chr8-33548647-24
NR8765--MA0149.1.EWSR1-FLI1	chr6	127336817	127336834	-	0.000	0.000	Merged-chr6-127336586-54
NR9326--MA0149.1.EWSR1-FLI1	chr7	96920766	96920783	+	0.000	0.000	Merged-chr7-96920782-38
NR2859--MA0149.1.EWSR1-FLI1	chr13	60602603	60602620	+	0.000	0.000	Merged-chr13-60602657-5
NR10057--MA0149.1.EWSR1-FLI1	chr8	125648987	125649004	+	0.000	0.000	Merged-chr8-125648946-1
NR9185--MA0149.1.EWSR1-FLI1	chr7	66416968	66416985	+	0.000	0.000	Merged-chr7-66416875-13
NR1789--MA0149.1.EWSR1-FLI1	chr11	74100877	74100894	-	0.000	0.000	Merged-chr11-74100988-13
NR8439--MA0149.1.EWSR1-FLI1	chr6	65765351	65765368	+	0.000	0.000	Merged-chr6-65765316-29
NR10942--MA0149.1.EWSR1-FLI1	chrX	153375340	153375357	-	0.000	0.000	Merged-chrX-153375365-26
NR4579--MA0149.1.EWSR1-FLI1	chr17	46880160	46880177	-	0.000	0.000	Merged-chr17-46880120-39
NR5612--MA0149.1.EWSR1-FLI1	chr2	59969130	59969147	+	0.000	0.000	Merged-chr2-59969233-23
NR8014--MA0149.1.EWSR1-FLI1	chr5	122288664	122288681	+	0.000	0.000	Merged-chr5-122288620-47
NR5758--MA0149.1.EWSR1-FLI1	chr2	93416834	93416851	-	0.000	0.000	Merged-chr2-93416936-19
NR827--MA0149.1.EWSR1-FLI1	chr10	7212305	7212322	-	0.000	0.000	Merged-chr10-7212223-140
NR1510--MA0149.1.EWSR1-FLI1	chr11	4289442	4289459	-	0.000	0.000	Merged-chr11-4289401-53
NR9406--MA0475.2.FLI1	chr7	109265729	109265738	+	0.000	0.000	Merged-chr7-109265818-41
NR1609--MA0149.1.EWSR1-FLI1	chr11	32020506	32020523	+	0.000	0.000	Merged-chr11-32020422-50
NR10480--MA0149.1.EWSR1-FLI1	chr9	92274697	92274714	+	0.000	0.000	Merged-chr9-92274591-56
NR382--MA0149.1.EWSR1-FLI1	chr1	133711282	133711299	+	0.000	0.000	Merged-chr1-133711440-47
NR691--MA0149.1.EWSR1-FLI1	chr1	182019853	182019870	-	0.000	0.000	Merged-chr1-182019685-38
NR6880--MA0149.1.EWSR1-FLI1	chr3	146404806	146404823	+	0.000	0.000	Merged-chr3-146404687-66
NR4080--MA0149.1.EWSR1-FLI1	chr16	24163393	24163410	+	0.000	0.000	Merged-chr16-24163558-22
NR7807--MA0149.1.EWSR1-FLI1	chr5	72940959	72940976	+	0.000	0.000	Merged-chr5-72941102-35
NR5704--MA0149.1.EWSR1-FLI1	chr2	76070944	76070961	-	0.000	0.000	Merged-chr2-76070778-23
NR10730--MA0149.1.EWSR1-FLI1	chr9	122222977	122222994	-	0.000	0.000	Merged-chr9-122223138-17
NR5751--MA0149.1.EWSR1-FLI1	chr2	91932342	91932359	+	0.000	0.000	Merged-chr2-91932406-35
NR10876--MA0149.1.EWSR1-FLI1	chrX	104488368	104488385	-	0.000	0.000	Merged-chrX-104488290-31
NR4308--MA0149.1.EWSR1-FLI1	chr16	95869699	95869716	-	0.000	0.000	Merged-chr16-95869616-44
NR9237--MA0475.2.FLI1	chr7	79300684	79300693	-	0.000	0.000	Merged-chr7-79300921-71
NR6458--MA0149.1.EWSR1-FLI1	chr3	68967421	68967438	+	0.000	0.000	Merged-chr3-68967303-47
NR4659--MA0149.1.EWSR1-FLI1	chr17	72822037	72822054	+	0.000	0.000	Merged-chr17-72822157-16
NR5776--MA0149.1.EWSR1-FLI1	chr2	102379024	102379041	-	0.000	0.000	Merged-chr2-102379112-1
NR1445--MA0475.2.FLI1	chr10	127337722	127337731	-	0.000	0.000	Merged-chr10-127337702-25
NR5655--MA0149.1.EWSR1-FLI1	chr2	70118920	70118937	-	0.000	0.000	Merged-chr2-70118902-52
NR5912--MA0475.2.FLI1	chr2	132004938	132004947	+	0.000	0.000	Merged-chr2-132004928-41
NR3468--MA0149.1.EWSR1-FLI1	chr14	78448457	78448474	-	0.000	0.000	Merged-chr14-78448544-66
NR9295--MA0149.1.EWSR1-FLI1	chr7	84740115	84740132	-	0.000	0.000	Merged-chr7-84740151-41
NR4397--MA0475.2.FLI1	chr17	17516535	17516544	-	0.000	0.000	Merged-chr17-17516616-15
NR5413--MA0149.1.EWSR1-FLI1	chr2	11617135	11617152	+	0.000	0.000	Merged-chr2-11617013-39
NR1370--MA0149.1.EWSR1-FLI1	chr10	119005690	119005707	+	0.000	0.000	Merged-chr10-119005704-15
NR566--MA0149.1.EWSR1-FLI1	chr1	165985859	165985876	+	0.000	0.000	Merged-chr1-165985990-54
NR1227--MA0149.1.EWSR1-FLI1	chr10	89873356	89873373	-	0.000	0.000	Merged-chr10-89873234-54
NR10816--MA0475.2.FLI1	chrX	57185066	57185075	-	0.000	0.000	Merged-chrX-57185087-24
NR371--MA0149.1.EWSR1-FLI1	chr1	131747070	131747087	-	0.000	0.000	Merged-chr1-131747235-22
NR3120--MA0475.2.FLI1	chr13	108072342	108072351	-	0.000	0.000	Merged-chr13-108072263-25
NR2799--MA0149.1.EWSR1-FLI1	chr13	51598273	51598290	+	0.000	0.000	Merged-chr13-51598262-24
NR6229--MA0149.1.EWSR1-FLI1	chr2	173452372	173452389	+	0.000	0.000	Merged-chr2-173452276-60
NR10606--MA0475.2.FLI1	chr9	112186573	112186582	+	0.000	0.000	Merged-chr9-112186441-37
NR7163--MA0149.1.EWSR1-FLI1	chr4	87669535	87669552	+	0.000	0.000	Merged-chr4-87669731-33
NR8908--MA0149.1.EWSR1-FLI1	chr6	145802376	145802393	+	0.000	0.000	Merged-chr6-145802187-30
NR2487--MA0475.2.FLI1	chr12	91008854	91008863	+	0.000	0.000	Merged-chr12-91009085-35
NR7964--MA0149.1.EWSR1-FLI1	chr5	114505617	114505634	+	0.000	0.000	Merged-chr5-114505492-44
NR9024--MA0149.1.EWSR1-FLI1	chr7	24481872	24481889	-	0.000	0.000	Merged-chr7-24481860-36
NR2557--MA0149.1.EWSR1-FLI1	chr12	107640655	107640672	-	0.000	0.000	Merged-chr12-107640697-5
NR396--MA0149.1.EWSR1-FLI1	chr1	135807764	135807781	-	0.000	0.000	Merged-chr1-135807785-37
NR9333--MA0149.1.EWSR1-FLI1	chr7	97842875	97842892	-	0.000	0.000	Merged-chr7-97843006-38
NR3491--MA0149.1.EWSR1-FLI1	chr14	99419196	99419213	-	0.000	0.000	Merged-chr14-99419131-33
NR4564--MA0475.2.FLI1	chr17	45488791	45488800	+	0.000	0.000	Merged-chr17-45488824-86
NR10078--MA0475.2.FLI1	chr8	126662877	126662886	+	0.000	0.000	Merged-chr8-126662975-49
NR1975--MA0475.2.FLI1	chr11	99147998	99148007	-	0.000	0.000	Merged-chr11-99147890-14
NR6281--MA0149.1.EWSR1-FLI1	chr2	181483751	181483768	-	0.000	0.000	Merged-chr2-181483913-67
NR7928--MA0475.2.FLI1	chr5	107840733	107840742	+	0.000	0.000	Merged-chr5-107840807-27
NR4586--MA0149.1.EWSR1-FLI1	chr17	48097141	48097158	-	0.000	0.000	Merged-chr17-48097214-20
NR3348--MA0149.1.EWSR1-FLI1	chr14	56576780	56576797	+	0.000	0.000	Merged-chr14-56576676-41
NR5394--MA0149.1.EWSR1-FLI1	chr2	8870291	8870308	-	0.000	0.000	Merged-chr2-8870300-9
NR9872--MA0149.1.EWSR1-FLI1	chr8	88450987	88451004	+	0.000	0.000	Merged-chr8-88451024-11
NR5659--MA0475.2.FLI1	chr2	70727369	70727378	+	0.000	0.000	Merged-chr2-70727299-23
NR403--MA0475.2.FLI1	chr1	136568751	136568760	-	0.000	0.000	Merged-chr1-136568866-12
NR7564--MA0149.1.EWSR1-FLI1	chr4	152117643	152117660	-	0.000	0.000	Merged-chr4-152117699-6
NR9321--MA0149.1.EWSR1-FLI1	chr7	96818646	96818663	+	0.000	0.000	Merged-chr7-96818578-56
NR2241--MA0149.1.EWSR1-FLI1	chr12	14086707	14086724	+	0.000	0.000	Merged-chr12-14086767-28
NR6064--MA0149.1.EWSR1-FLI1	chr2	158166889	158166906	-	0.000	0.000	Merged-chr2-158166857-55
NR7181--MA0149.1.EWSR1-FLI1	chr4	89504049	89504066	+	0.000	0.000	Merged-chr4-89503923-8
NR3462--MA0149.1.EWSR1-FLI1	chr14	78308142	78308159	-	0.000	0.000	Merged-chr14-78307953-14
NR2780--MA0149.1.EWSR1-FLI1	chr13	43789205	43789222	+	0.000	0.000	Merged-chr13-43789112-65
NR2800--MA0149.1.EWSR1-FLI1	chr13	51598277	51598294	+	0.000	0.000	Merged-chr13-51598262-24
NR6005--MA0149.1.EWSR1-FLI1	chr2	150918848	150918865	-	0.000	0.000	Merged-chr2-150918832-31
NR5803--MA0475.2.FLI1	chr2	112676824	112676833	-	0.000	0.000	Merged-chr2-112676754-32
NR8810--MA0149.1.EWSR1-FLI1	chr6	134549881	134549898	-	0.000	0.000	Merged-chr6-134550072-18
NR7038--MA0149.1.EWSR1-FLI1	chr4	42866098	42866115	-	0.000	0.000	Merged-chr4-42865977-16
NR617--MA0149.1.EWSR1-FLI1	chr1	173510768	173510785	-	0.000	0.000	Merged-chr1-173510865-36
NR3892--MA0475.2.FLI1	chr15	92134529	92134538	+	0.000	0.000	Merged-chr15-92134460-52
NR7698--MA0149.1.EWSR1-FLI1	chr5	29195955	29195972	+	0.000	0.000	Merged-chr5-29195906-68
NR1238--MA0475.2.FLI1	chr10	93356317	93356326	-	0.000	0.000	Merged-chr10-93356301-45
NR7394--MA0149.1.EWSR1-FLI1	chr4	133298692	133298709	+	0.000	0.000	Merged-chr4-133298699-41
NR790--MA0149.1.EWSR1-FLI1	chr1	191894600	191894617	+	0.000	0.000	Merged-chr1-191894782-39
NR9559--MA0149.1.EWSR1-FLI1	chr7	135598648	135598665	-	0.000	0.000	Merged-chr7-135598633-32
NR9868--MA0149.1.EWSR1-FLI1	chr8	86686678	86686695	+	0.000	0.000	Merged-chr8-86686852-24
NR5699--MA0149.1.EWSR1-FLI1	chr2	76070932	76070949	-	0.000	0.000	Merged-chr2-76070778-23
NR5395--MA0149.1.EWSR1-FLI1	chr2	8870295	8870312	-	0.000	0.000	Merged-chr2-8870300-9
