#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TFH_Associated--ATAC_peaks.bed all.df.numx.c5-DKO_Tfh_vs_Naive.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-DKO_Tfh_vs_Naive.dn.bed
Merged-chr17-24548853-30	chr17	24548447	24549128	+	0.000	0.000	Merged-chr17-24548853-30
Merged-chr14-30248342-10	chr14	30248214	30248512	+	0.000	0.000	Merged-chr14-30248342-10
Merged-chr19-46511275-84	chr19	46510944	46511555	+	0.000	0.000	Merged-chr19-46511275-84
Merged-chr16-11063160-2	chr16	11063045	11063278	+	0.000	0.000	Merged-chr16-11063160-2
Merged-chr3-89896775-17	chr3	89896614	89897010	+	0.000	0.000	Merged-chr3-89896775-17
Merged-chr5-123317885-1	chr5	123317787	123317985	+	0.000	0.000	Merged-chr5-123317885-1
Merged-chr19-57412064-43	chr19	57411701	57412559	+	0.000	0.000	Merged-chr19-57412064-43
Merged-chr2-112507413-30	chr2	112506951	112507761	+	0.000	0.000	Merged-chr2-112507413-30
Merged-chr16-33600368-1	chr16	33600270	33600468	+	0.000	0.000	Merged-chr16-33600368-1
Merged-chr2-84840392-41	chr2	84839990	84840829	+	0.000	0.000	Merged-chr2-84840392-41
Merged-chrX-12159068-128	chrX	12158652	12159480	+	0.000	0.000	Merged-chrX-12159068-128
Merged-chr13-112399178-4	chr13	112399047	112399319	+	0.000	0.000	Merged-chr13-112399178-4
Merged-chr7-45526317-62	chr7	45525903	45526708	+	0.000	0.000	Merged-chr7-45526317-62
Merged-chr3-52262718-28	chr3	52262420	52262954	+	0.000	0.000	Merged-chr3-52262718-28
Merged-chr12-80035221-6	chr12	80034970	80035424	+	0.000	0.000	Merged-chr12-80035221-6
Merged-chr13-28417856-64	chr13	28417478	28418389	+	0.000	0.000	Merged-chr13-28417856-64
Merged-chr1-106759532-116	chr1	106759365	106759713	+	0.000	0.000	Merged-chr1-106759532-116
Merged-chr5-146777443-4	chr5	146777308	146777592	+	0.000	0.000	Merged-chr5-146777443-4
Merged-chr10-42843414-7	chr10	42843213	42843577	+	0.000	0.000	Merged-chr10-42843414-7
Merged-chr7-127243730-1	chr7	127243632	127243830	+	0.000	0.000	Merged-chr7-127243730-1
Merged-chr10-42887187-18	chr10	42887021	42887354	+	0.000	0.000	Merged-chr10-42887187-18
Merged-chr4-6970666-38	chr4	6970427	6970872	+	0.000	0.000	Merged-chr4-6970666-38
Merged-chrX-38456262-56	chrX	38455859	38456652	+	0.000	0.000	Merged-chrX-38456262-56
Merged-chr17-30027791-14	chr17	30027634	30028030	+	0.000	0.000	Merged-chr17-30027791-14
Merged-chr16-76529943-9	chr16	76529753	76530174	+	0.000	0.000	Merged-chr16-76529943-9
Merged-chr15-72972006-8	chr15	72971805	72972232	+	0.000	0.000	Merged-chr15-72972006-8
Merged-chr2-131254013-54	chr2	131253791	131254270	+	0.000	0.000	Merged-chr2-131254013-54
Merged-chr8-47675197-158	chr8	47674273	47675673	+	0.000	0.000	Merged-chr8-47675197-158
Merged-chr2-135884792-12	chr2	135884622	135884974	+	0.000	0.000	Merged-chr2-135884792-12
Merged-chr10-99287288-30	chr10	99286939	99287643	+	0.000	0.000	Merged-chr10-99287288-30
Merged-chr3-152355609-21	chr3	152355434	152355764	+	0.000	0.000	Merged-chr3-152355609-21
Merged-chr9-84089705-1	chr9	84089607	84089805	+	0.000	0.000	Merged-chr9-84089705-1
Merged-chr10-18193414-42	chr10	18193176	18193578	+	0.000	0.000	Merged-chr10-18193414-42
Merged-chr8-8416685-3	chr8	8416537	8416832	+	0.000	0.000	Merged-chr8-8416685-3
Merged-chr5-147049625-2	chr5	147049527	147049725	+	0.000	0.000	Merged-chr5-147049625-2
Merged-chr13-56703613-154	chr13	56703365	56704354	+	0.000	0.000	Merged-chr13-56703613-154
Merged-chr3-95027904-25	chr3	95027629	95028116	+	0.000	0.000	Merged-chr3-95027904-25
Merged-chr19-42152226-14	chr19	42151997	42152490	+	0.000	0.000	Merged-chr19-42152226-14
Merged-chr5-92376869-1	chr5	92376771	92376969	+	0.000	0.000	Merged-chr5-92376869-1
Merged-chr5-149334364-20	chr5	149334140	149334606	+	0.000	0.000	Merged-chr5-149334364-20
Merged-chr3-101062110-14	chr3	101061912	101062333	+	0.000	0.000	Merged-chr3-101062110-14
Merged-chr6-134558916-6	chr6	134558751	134559060	+	0.000	0.000	Merged-chr6-134558916-6
Merged-chr15-6525619-49	chr15	6525274	6525880	+	0.000	0.000	Merged-chr15-6525619-49
Merged-chr17-5097806-1	chr17	5097708	5097906	+	0.000	0.000	Merged-chr17-5097806-1
Merged-chr18-35854632-7	chr18	35854518	35854744	+	0.000	0.000	Merged-chr18-35854632-7
Merged-chr15-12439548-12	chr15	12439402	12439739	+	0.000	0.000	Merged-chr15-12439548-12
Merged-chr3-37204884-40	chr3	37204697	37205025	+	0.000	0.000	Merged-chr3-37204884-40
Merged-chr2-76220899-10	chr2	76220708	76221137	+	0.000	0.000	Merged-chr2-76220899-10
Merged-chr5-75714551-2	chr5	75714450	75714654	+	0.000	0.000	Merged-chr5-75714551-2
Merged-chr12-26456420-53	chr12	26456211	26456672	+	0.000	0.000	Merged-chr12-26456420-53
Merged-chr1-69657362-23	chr1	69657036	69657721	+	0.000	0.000	Merged-chr1-69657362-23
Merged-chr1-189936861-20	chr1	189936615	189937129	+	0.000	0.000	Merged-chr1-189936861-20
Merged-chr13-67194635-55	chr13	67194397	67194862	+	0.000	0.000	Merged-chr13-67194635-55
Merged-chr4-46535515-159	chr4	46534443	46536358	+	0.000	0.000	Merged-chr4-46535515-159
Merged-chr9-14090659-4	chr9	14090548	14090771	+	0.000	0.000	Merged-chr9-14090659-4
Merged-chr8-14911636-31	chr8	14911335	14911927	+	0.000	0.000	Merged-chr8-14911636-31
Merged-chr2-169779005-37	chr2	169778732	169779241	+	0.000	0.000	Merged-chr2-169779005-37
Merged-chr15-12285432-27	chr15	12285184	12285652	+	0.000	0.000	Merged-chr15-12285432-27
Merged-chr4-136147968-56	chr4	136147758	136148251	+	0.000	0.000	Merged-chr4-136147968-56
Merged-chr2-76282336-1	chr2	76282238	76282436	+	0.000	0.000	Merged-chr2-76282336-1
Merged-chr13-30198146-3	chr13	30197918	30198385	+	0.000	0.000	Merged-chr13-30198146-3
Merged-chr10-13475011-1	chr10	13474913	13475111	+	0.000	0.000	Merged-chr10-13475011-1
Merged-chrX-37091711-13	chrX	37091485	37091929	+	0.000	0.000	Merged-chrX-37091711-13
Merged-chr16-11323107-66	chr16	11322779	11323400	+	0.000	0.000	Merged-chr16-11323107-66
Merged-chr13-112507882-42	chr13	112507702	112508092	+	0.000	0.000	Merged-chr13-112507882-42
Merged-chr18-53951279-47	chr18	53950975	53951524	+	0.000	0.000	Merged-chr18-53951279-47
Merged-chr11-100692444-17	chr11	100692152	100692713	+	0.000	0.000	Merged-chr11-100692444-17
Merged-chr17-4908313-79	chr17	4907928	4908597	+	0.000	0.000	Merged-chr17-4908313-79
Merged-chr7-98165219-30	chr7	98164894	98165554	+	0.000	0.000	Merged-chr7-98165219-30
Merged-chr11-3140967-38	chr11	3140596	3141199	+	0.000	0.000	Merged-chr11-3140967-38
Merged-chr11-53605756-20	chr11	53605543	53605950	+	0.000	0.000	Merged-chr11-53605756-20
Merged-chr2-6350220-1	chr2	6350122	6350320	+	0.000	0.000	Merged-chr2-6350220-1
Merged-chr8-72350000-6	chr8	72349825	72350155	+	0.000	0.000	Merged-chr8-72350000-6
Merged-chr5-65763434-2	chr5	65763262	65763609	+	0.000	0.000	Merged-chr5-65763434-2
Merged-chr8-90828979-56	chr8	90828759	90829417	+	0.000	0.000	Merged-chr8-90828979-56
Merged-chr8-70897674-77	chr8	70897406	70897884	+	0.000	0.000	Merged-chr8-70897674-77
Merged-chrX-75674232-65	chrX	75674025	75674376	+	0.000	0.000	Merged-chrX-75674232-65
Merged-chr2-135967319-31	chr2	135966996	135967623	+	0.000	0.000	Merged-chr2-135967319-31
Merged-chr9-61720309-20	chr9	61720070	61720539	+	0.000	0.000	Merged-chr9-61720309-20
Merged-chr7-49364720-42	chr7	49364502	49364916	+	0.000	0.000	Merged-chr7-49364720-42
Merged-chr3-138758070-1	chr3	138757972	138758170	+	0.000	0.000	Merged-chr3-138758070-1
Merged-chr7-19872321-3	chr7	19872165	19872455	+	0.000	0.000	Merged-chr7-19872321-3
Merged-chr2-112765248-29	chr2	112764970	112765505	+	0.000	0.000	Merged-chr2-112765248-29
Merged-chr13-44801680-1	chr13	44801582	44801780	+	0.000	0.000	Merged-chr13-44801680-1
Merged-chr10-118893796-10	chr10	118893586	118893991	+	0.000	0.000	Merged-chr10-118893796-10
Merged-chr2-29573825-1	chr2	29573727	29573925	+	0.000	0.000	Merged-chr2-29573825-1
Merged-chr15-72864854-1	chr15	72864756	72864954	+	0.000	0.000	Merged-chr15-72864854-1
Merged-chr5-146781945-52	chr5	146781677	146782150	+	0.000	0.000	Merged-chr5-146781945-52
Merged-chr2-160735964-4	chr2	160735820	160736119	+	0.000	0.000	Merged-chr2-160735964-4
Merged-chr1-192093045-1	chr1	192092947	192093145	+	0.000	0.000	Merged-chr1-192093045-1
Merged-chr16-35871547-82	chr16	35871162	35872021	+	0.000	0.000	Merged-chr16-35871547-82
Merged-chr1-192086671-97	chr1	192086248	192086902	+	0.000	0.000	Merged-chr1-192086671-97
Merged-chr2-174644631-2	chr2	174644515	174644749	+	0.000	0.000	Merged-chr2-174644631-2
Merged-chr11-99147890-14	chr11	99147486	99148124	+	0.000	0.000	Merged-chr11-99147890-14
Merged-chr1-75234858-28	chr1	75234677	75235079	+	0.000	0.000	Merged-chr1-75234858-28
Merged-chr10-121334819-22	chr10	121334659	121334973	+	0.000	0.000	Merged-chr10-121334819-22
Merged-chr18-79067811-7	chr18	79067674	79067970	+	0.000	0.000	Merged-chr18-79067811-7
Merged-chr1-36910479-15	chr1	36910288	36910637	+	0.000	0.000	Merged-chr1-36910479-15
Merged-chr3-106452835-3	chr3	106452727	106452943	+	0.000	0.000	Merged-chr3-106452835-3
Merged-chr6-99064474-4	chr6	99064342	99064607	+	0.000	0.000	Merged-chr6-99064474-4
Merged-chr6-99309583-50	chr6	99309356	99309793	+	0.000	0.000	Merged-chr6-99309583-50
Merged-chr6-71494706-3	chr6	71494510	71494856	+	0.000	0.000	Merged-chr6-71494706-3
Merged-chr2-72146258-17	chr2	72145939	72146554	+	0.000	0.000	Merged-chr2-72146258-17
Merged-chr8-3493299-27	chr8	3492979	3493560	+	0.000	0.000	Merged-chr8-3493299-27
Merged-chr3-37175214-1	chr3	37175116	37175314	+	0.000	0.000	Merged-chr3-37175214-1
Merged-chr2-10372789-48	chr2	10372270	10373310	+	0.000	0.000	Merged-chr2-10372789-48
Merged-chr9-95072706-61	chr9	95072399	95073088	+	0.000	0.000	Merged-chr9-95072706-61
Merged-chr10-21161170-81	chr10	21160771	21161744	+	0.000	0.000	Merged-chr10-21161170-81
Merged-chr13-28600931-56	chr13	28600641	28601406	+	0.000	0.000	Merged-chr13-28600931-56
Merged-chr3-37419954-169	chr3	37419533	37420302	+	0.000	0.000	Merged-chr3-37419954-169
Merged-chr3-95687934-19	chr3	95687614	95688149	+	0.000	0.000	Merged-chr3-95687934-19
Merged-chr7-45457651-1	chr7	45457553	45457751	+	0.000	0.000	Merged-chr7-45457651-1
Merged-chr1-21830153-46	chr1	21829830	21830464	+	0.000	0.000	Merged-chr1-21830153-46
Merged-chr16-92158687-4	chr16	92158511	92158851	+	0.000	0.000	Merged-chr16-92158687-4
Merged-chr10-96694028-12	chr10	96693869	96694220	+	0.000	0.000	Merged-chr10-96694028-12
Merged-chr10-11979586-2	chr10	11979476	11979699	+	0.000	0.000	Merged-chr10-11979586-2
Merged-chr7-13023322-17	chr7	13023137	13023521	+	0.000	0.000	Merged-chr7-13023322-17
Merged-chr1-127321764-4	chr1	127321633	127321901	+	0.000	0.000	Merged-chr1-127321764-4
Merged-chr8-61451013-86	chr8	61450778	61451383	+	0.000	0.000	Merged-chr8-61451013-86
Merged-chr5-54025848-5	chr5	54025685	54025996	+	0.000	0.000	Merged-chr5-54025848-5
Merged-chr1-94079226-38	chr1	94078810	94079495	+	0.000	0.000	Merged-chr1-94079226-38
Merged-chr2-59203652-25	chr2	59203396	59203889	+	0.000	0.000	Merged-chr2-59203652-25
Merged-chr15-102178456-8	chr15	102178285	102178653	+	0.000	0.000	Merged-chr15-102178456-8
Merged-chr3-129879420-1	chr3	129879322	129879520	+	0.000	0.000	Merged-chr3-129879420-1
Merged-chrX-134808077-16	chrX	134807874	134808293	+	0.000	0.000	Merged-chrX-134808077-16
Merged-chr12-78226553-137	chr12	78225983	78226829	+	0.000	0.000	Merged-chr12-78226553-137
Merged-chr19-41844644-1	chr19	41844546	41844744	+	0.000	0.000	Merged-chr19-41844644-1
Merged-chr4-16739896-7	chr4	16739570	16740089	+	0.000	0.000	Merged-chr4-16739896-7
Merged-chr19-29251639-67	chr19	29251111	29251903	+	0.000	0.000	Merged-chr19-29251639-67
Merged-chr3-87401572-16	chr3	87401427	87401808	+	0.000	0.000	Merged-chr3-87401572-16
Merged-chr13-112439136-11	chr13	112438889	112439373	+	0.000	0.000	Merged-chr13-112439136-11
Merged-chr11-4373215-8	chr11	4372960	4373460	+	0.000	0.000	Merged-chr11-4373215-8
Merged-chr2-77250040-39	chr2	77249754	77250320	+	0.000	0.000	Merged-chr2-77250040-39
Merged-chr11-3148447-2	chr11	3148349	3148547	+	0.000	0.000	Merged-chr11-3148447-2
Merged-chr5-24577562-64	chr5	24577153	24578046	+	0.000	0.000	Merged-chr5-24577562-64
Merged-chr18-9438774-6	chr18	9438625	9438901	+	0.000	0.000	Merged-chr18-9438774-6
Merged-chr14-61758817-7	chr14	61758631	61758989	+	0.000	0.000	Merged-chr14-61758817-7
Merged-chr2-3925386-29	chr2	3925075	3925839	+	0.000	0.000	Merged-chr2-3925386-29
Merged-chr11-120824190-112	chr11	120823781	120824657	+	0.000	0.000	Merged-chr11-120824190-112
Merged-chr8-61487849-59	chr8	61487647	61488061	+	0.000	0.000	Merged-chr8-61487849-59
Merged-chr7-19405612-30	chr7	19405368	19405804	+	0.000	0.000	Merged-chr7-19405612-30
Merged-chr11-80484398-4	chr11	80484191	80484582	+	0.000	0.000	Merged-chr11-80484398-4
Merged-chr6-147534000-4	chr6	147533864	147534196	+	0.000	0.000	Merged-chr6-147534000-4
Merged-chr17-59012592-2	chr17	59012485	59012701	+	0.000	0.000	Merged-chr17-59012592-2
Merged-chr2-174299186-1	chr2	174299088	174299286	+	0.000	0.000	Merged-chr2-174299186-1
Merged-chr12-36057875-8	chr12	36057691	36058051	+	0.000	0.000	Merged-chr12-36057875-8
Merged-chr10-96691005-66	chr10	96690668	96691283	+	0.000	0.000	Merged-chr10-96691005-66
Merged-chr1-155164568-4	chr1	155164456	155164686	+	0.000	0.000	Merged-chr1-155164568-4
Merged-chr15-102247756-2	chr15	102247658	102247857	+	0.000	0.000	Merged-chr15-102247756-2
Merged-chr11-3162952-22	chr11	3162740	3163180	+	0.000	0.000	Merged-chr11-3162952-22
Merged-chr10-42868418-11	chr10	42868198	42868597	+	0.000	0.000	Merged-chr10-42868418-11
Merged-chr4-137861569-3	chr4	137861464	137861675	+	0.000	0.000	Merged-chr4-137861569-3
Merged-chr18-49980710-1	chr18	49980612	49980810	+	0.000	0.000	Merged-chr18-49980710-1
Merged-chr5-75709666-1	chr5	75709568	75709766	+	0.000	0.000	Merged-chr5-75709666-1
Merged-chr13-44772990-1	chr13	44772892	44773090	+	0.000	0.000	Merged-chr13-44772990-1
Merged-chr10-67539079-1	chr10	67538981	67539179	+	0.000	0.000	Merged-chr10-67539079-1
Merged-chr2-18962712-7	chr2	18962487	18962861	+	0.000	0.000	Merged-chr2-18962712-7
Merged-chr2-6323498-5	chr2	6323370	6323632	+	0.000	0.000	Merged-chr2-6323498-5
Merged-chr19-29257455-1	chr19	29257357	29257555	+	0.000	0.000	Merged-chr19-29257455-1
Merged-chr15-53345253-9	chr15	53344882	53345475	+	0.000	0.000	Merged-chr15-53345253-9
Merged-chr14-75506397-3	chr14	75506222	75506594	+	0.000	0.000	Merged-chr14-75506397-3
Merged-chr3-83812218-7	chr3	83812063	83812375	+	0.000	0.000	Merged-chr3-83812218-7
Merged-chr7-24383215-10	chr7	24383060	24383379	+	0.000	0.000	Merged-chr7-24383215-10
Merged-chr12-3807686-5	chr12	3807497	3807941	+	0.000	0.000	Merged-chr12-3807686-5
Merged-chr15-5108448-64	chr15	5108211	5108718	+	0.000	0.000	Merged-chr15-5108448-64
Merged-chr3-51654881-32	chr3	51654601	51655074	+	0.000	0.000	Merged-chr3-51654881-32
Merged-chr10-19991968-38	chr10	19991687	19992209	+	0.000	0.000	Merged-chr10-19991968-38
Merged-chr9-5309745-1	chr9	5309647	5309845	+	0.000	0.000	Merged-chr9-5309745-1
Merged-chr16-90284101-137	chr16	90283739	90284779	+	0.000	0.000	Merged-chr16-90284101-137
Merged-chr6-144181602-1	chr6	144181504	144181702	+	0.000	0.000	Merged-chr6-144181602-1
Merged-chr6-121130438-70	chr6	121130017	121130751	+	0.000	0.000	Merged-chr6-121130438-70
Merged-chr11-115463666-29	chr11	115463360	115463934	+	0.000	0.000	Merged-chr11-115463666-29
Merged-chr7-64077333-49	chr7	64076845	64077970	+	0.000	0.000	Merged-chr7-64077333-49
Merged-chr14-45009601-8	chr14	45009328	45009832	+	0.000	0.000	Merged-chr14-45009601-8
Merged-chr1-106714260-74	chr1	106713864	106714484	+	0.000	0.000	Merged-chr1-106714260-74
Merged-chr7-80883247-35	chr7	80883006	80883514	+	0.000	0.000	Merged-chr7-80883247-35
Merged-chr17-63405047-3	chr17	63404949	63405147	+	0.000	0.000	Merged-chr17-63405047-3
Merged-chr15-12447311-14	chr15	12446980	12447601	+	0.000	0.000	Merged-chr15-12447311-14
Merged-chr7-16222009-56	chr7	16221821	16222286	+	0.000	0.000	Merged-chr7-16222009-56
Merged-chr10-19939440-39	chr10	19939217	19939621	+	0.000	0.000	Merged-chr10-19939440-39
Merged-chr8-70700782-34	chr8	70700435	70700989	+	0.000	0.000	Merged-chr8-70700782-34
Merged-chr1-119469584-5	chr1	119469340	119469787	+	0.000	0.000	Merged-chr1-119469584-5
Merged-chr4-140776737-14	chr4	140776359	140777024	+	0.000	0.000	Merged-chr4-140776737-14
Merged-chr7-24380227-53	chr7	24379967	24380446	+	0.000	0.000	Merged-chr7-24380227-53
Merged-chr15-27326036-33	chr15	27325743	27326306	+	0.000	0.000	Merged-chr15-27326036-33
Merged-chr1-192770762-94	chr1	192770523	192771071	+	0.000	0.000	Merged-chr1-192770762-94
Merged-chr12-52796443-43	chr12	52795984	52796773	+	0.000	0.000	Merged-chr12-52796443-43
Merged-chr11-52241119-15	chr11	52240884	52241350	+	0.000	0.000	Merged-chr11-52241119-15
Merged-chr10-93159973-11	chr10	93159665	93160214	+	0.000	0.000	Merged-chr10-93159973-11
Merged-chr3-7612148-1	chr3	7612050	7612248	+	0.000	0.000	Merged-chr3-7612148-1
Merged-chr1-191955378-32	chr1	191955132	191955607	+	0.000	0.000	Merged-chr1-191955378-32
Merged-chr7-80860422-1	chr7	80860324	80860522	+	0.000	0.000	Merged-chr7-80860422-1
Merged-chr1-132007424-3	chr1	132007289	132007600	+	0.000	0.000	Merged-chr1-132007424-3
Merged-chr18-77063988-2	chr18	77063890	77064088	+	0.000	0.000	Merged-chr18-77063988-2
Merged-chr1-23922466-2	chr1	23922364	23922570	+	0.000	0.000	Merged-chr1-23922466-2
Merged-chr12-16049748-36	chr12	16049421	16049997	+	0.000	0.000	Merged-chr12-16049748-36
Merged-chr13-5100349-2	chr13	5100243	5100458	+	0.000	0.000	Merged-chr13-5100349-2
Merged-chr2-25983366-83	chr2	25983039	25983653	+	0.000	0.000	Merged-chr2-25983366-83
Merged-chr5-34370529-3	chr5	34370415	34370642	+	0.000	0.000	Merged-chr5-34370529-3
Merged-chr11-3158996-1	chr11	3158898	3159096	+	0.000	0.000	Merged-chr11-3158996-1
Merged-chr12-76324931-27	chr12	76324646	76325173	+	0.000	0.000	Merged-chr12-76324931-27
Merged-chr10-67512381-13	chr10	67512112	67512582	+	0.000	0.000	Merged-chr10-67512381-13
Merged-chr10-30655945-56	chr10	30655582	30656209	+	0.000	0.000	Merged-chr10-30655945-56
Merged-chr7-28376522-4	chr7	28376297	28376674	+	0.000	0.000	Merged-chr7-28376522-4
Merged-chr6-129262942-1	chr6	129262844	129263042	+	0.000	0.000	Merged-chr6-129262942-1
Merged-chr2-75073146-54	chr2	75072082	75073631	+	0.000	0.000	Merged-chr2-75073146-54
Merged-chr2-156841447-76	chr2	156840741	156842139	+	0.000	0.000	Merged-chr2-156841447-76
Merged-chr6-129223687-1	chr6	129223589	129223787	+	0.000	0.000	Merged-chr6-129223687-1
Merged-chr10-67766338-13	chr10	67766119	67766509	+	0.000	0.000	Merged-chr10-67766338-13
Merged-chr10-96589944-15	chr10	96589693	96590126	+	0.000	0.000	Merged-chr10-96589944-15
Merged-chr6-129274682-33	chr6	129274481	129274955	+	0.000	0.000	Merged-chr6-129274682-33
Merged-chr7-96946684-14	chr7	96946438	96946895	+	0.000	0.000	Merged-chr7-96946684-14
Merged-chr2-174658579-30	chr2	174658369	174658806	+	0.000	0.000	Merged-chr2-174658579-30
Merged-chr18-31910963-72	chr18	31910539	31911165	+	0.000	0.000	Merged-chr18-31910963-72
Merged-chr13-91509519-32	chr13	91509221	91509849	+	0.000	0.000	Merged-chr13-91509519-32
Merged-chr15-86058836-53	chr15	86058614	86059128	+	0.000	0.000	Merged-chr15-86058836-53
Merged-chr2-37443185-70	chr2	37442975	37443477	+	0.000	0.000	Merged-chr2-37443185-70
Merged-chr10-59952014-65	chr10	59951619	59952353	+	0.000	0.000	Merged-chr10-59952014-65
Merged-chr2-91972267-13	chr2	91971897	91972504	+	0.000	0.000	Merged-chr2-91972267-13
Merged-chr9-21546518-115	chr9	21546195	21546764	+	0.000	0.000	Merged-chr9-21546518-115
Merged-chr4-137968385-26	chr4	137967999	137968579	+	0.000	0.000	Merged-chr4-137968385-26
Merged-chr12-36363919-6	chr12	36363757	36364075	+	0.000	0.000	Merged-chr12-36363919-6
Merged-chr18-34854566-31	chr18	34854408	34854819	+	0.000	0.000	Merged-chr18-34854566-31
Merged-chr6-71155122-4	chr6	71154911	71155318	+	0.000	0.000	Merged-chr6-71155122-4
Merged-chr14-76480648-2	chr14	76480522	76480777	+	0.000	0.000	Merged-chr14-76480648-2
Merged-chr11-3163369-4	chr11	3163187	3163553	+	0.000	0.000	Merged-chr11-3163369-4
Merged-chr1-39913129-1	chr1	39913031	39913229	+	0.000	0.000	Merged-chr1-39913129-1
Merged-chr8-95853381-49	chr8	95852947	95853635	+	0.000	0.000	Merged-chr8-95853381-49
Merged-chr11-5260251-19	chr11	5260054	5260506	+	0.000	0.000	Merged-chr11-5260251-19
Merged-chr2-135702062-1	chr2	135701964	135702162	+	0.000	0.000	Merged-chr2-135702062-1
Merged-chr12-69864048-1	chr12	69863950	69864148	+	0.000	0.000	Merged-chr12-69864048-1
Merged-chr10-117659981-30	chr10	117659805	117660257	+	0.000	0.000	Merged-chr10-117659981-30
Merged-chr5-53998390-11	chr5	53998199	53998626	+	0.000	0.000	Merged-chr5-53998390-11
Merged-chr17-47924706-88	chr17	47924176	47925073	+	0.000	0.000	Merged-chr17-47924706-88
Merged-chr8-101721687-2	chr8	101721589	101721788	+	0.000	0.000	Merged-chr8-101721687-2
Merged-chr13-34037610-57	chr13	34037353	34037909	+	0.000	0.000	Merged-chr13-34037610-57
Merged-chrX-98259743-49	chrX	98259458	98260033	+	0.000	0.000	Merged-chrX-98259743-49
Merged-chr8-40598830-11	chr8	40598659	40599021	+	0.000	0.000	Merged-chr8-40598830-11
Merged-chr14-8606330-1	chr14	8606232	8606430	+	0.000	0.000	Merged-chr14-8606330-1
Merged-chr17-66076994-114	chr17	66076622	66077419	+	0.000	0.000	Merged-chr17-66076994-114
Merged-chr13-108597340-51	chr13	108596712	108598025	+	0.000	0.000	Merged-chr13-108597340-51
Merged-chr16-76373959-5	chr16	76373804	76374137	+	0.000	0.000	Merged-chr16-76373959-5
Merged-chr11-86993619-64	chr11	86993302	86993866	+	0.000	0.000	Merged-chr11-86993619-64
Merged-chr18-79068856-15	chr18	79068706	79069027	+	0.000	0.000	Merged-chr18-79068856-15
Merged-chr16-48763464-5	chr16	48763312	48763589	+	0.000	0.000	Merged-chr16-48763464-5
Merged-chr6-83506851-64	chr6	83506625	83507044	+	0.000	0.000	Merged-chr6-83506851-64
Merged-chr1-131111829-1	chr1	131111731	131111929	+	0.000	0.000	Merged-chr1-131111829-1
Merged-chr7-64160970-41	chr7	64160774	64161145	+	0.000	0.000	Merged-chr7-64160970-41
Merged-chr14-14019640-26	chr14	14019468	14019867	+	0.000	0.000	Merged-chr14-14019640-26
Merged-chr7-143017120-1	chr7	143017022	143017220	+	0.000	0.000	Merged-chr7-143017120-1
Merged-chr15-53311126-22	chr15	53310956	53311355	+	0.000	0.000	Merged-chr15-53311126-22
Merged-chr10-96625914-6	chr10	96625754	96626075	+	0.000	0.000	Merged-chr10-96625914-6
Merged-chr8-70898268-4	chr8	70898101	70898411	+	0.000	0.000	Merged-chr8-70898268-4
Merged-chr13-3893477-54	chr13	3893149	3893743	+	0.000	0.000	Merged-chr13-3893477-54
Merged-chr11-113196456-7	chr11	113196270	113196614	+	0.000	0.000	Merged-chr11-113196456-7
Merged-chr12-55434101-13	chr12	55433935	55434357	+	0.000	0.000	Merged-chr12-55434101-13
Merged-chr1-135793846-8	chr1	135793535	135794111	+	0.000	0.000	Merged-chr1-135793846-8
Merged-chr1-69513618-39	chr1	69513244	69513983	+	0.000	0.000	Merged-chr1-69513618-39
Merged-chr6-99258584-2	chr6	99258460	99258711	+	0.000	0.000	Merged-chr6-99258584-2
Merged-chr9-84135836-1	chr9	84135738	84135936	+	0.000	0.000	Merged-chr9-84135836-1
Merged-chr16-49500895-40	chr16	49500687	49501071	+	0.000	0.000	Merged-chr16-49500895-40
Merged-chr15-5117347-12	chr15	5117131	5117582	+	0.000	0.000	Merged-chr15-5117347-12
Merged-chr11-6562258-1	chr11	6562160	6562358	+	0.000	0.000	Merged-chr11-6562258-1
Merged-chr3-52000290-45	chr3	52000115	52000494	+	0.000	0.000	Merged-chr3-52000290-45
Merged-chr17-84156987-5	chr17	84156784	84157275	+	0.000	0.000	Merged-chr17-84156987-5
Merged-chr5-127478750-4	chr5	127478526	127479073	+	0.000	0.000	Merged-chr5-127478750-4
Merged-chr12-8326967-30	chr12	8326629	8327207	+	0.000	0.000	Merged-chr12-8326967-30
Merged-chr14-121451224-55	chr14	121451021	121451604	+	0.000	0.000	Merged-chr14-121451224-55
Merged-chr17-33843273-52	chr17	33843038	33843480	+	0.000	0.000	Merged-chr17-33843273-52
Merged-chr6-83096074-55	chr6	83095858	83096294	+	0.000	0.000	Merged-chr6-83096074-55
Merged-chr6-37046555-33	chr6	37046279	37046851	+	0.000	0.000	Merged-chr6-37046555-33
Merged-chr10-99245013-5	chr10	99244830	99245168	+	0.000	0.000	Merged-chr10-99245013-5
Merged-chr1-189028545-3	chr1	189028428	189028668	+	0.000	0.000	Merged-chr1-189028545-3
Merged-chr15-76766886-28	chr15	76766605	76767089	+	0.000	0.000	Merged-chr15-76766886-28
Merged-chr8-61155609-1	chr8	61155511	61155709	+	0.000	0.000	Merged-chr8-61155609-1
Merged-chr12-76853895-20	chr12	76853476	76854185	+	0.000	0.000	Merged-chr12-76853895-20
