#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_IV--ATAC_peaks.bed all.df.numx.c5-STAT4_WT_Tfh_vs_Naive.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-STAT4_WT_Tfh_vs_Naive.up.bed
Merged-chr2-117390290-84	chr2	117390013	117390550	+	0.000	0.000	Merged-chr2-117390290-84
Merged-chr9-85679543-10	chr9	85679381	85679684	+	0.000	0.000	Merged-chr9-85679543-10
Merged-chr1-165609765-26	chr1	165609559	165609973	+	0.000	0.000	Merged-chr1-165609765-26
Merged-chr10-99206263-19	chr10	99205977	99206470	+	0.000	0.000	Merged-chr10-99206263-19
Merged-chr4-145353914-49	chr4	145353658	145354125	+	0.000	0.000	Merged-chr4-145353914-49
Merged-chr18-50035311-3	chr18	50035188	50035444	+	0.000	0.000	Merged-chr18-50035311-3
Merged-chr10-13474425-98	chr10	13474061	13474899	+	0.000	0.000	Merged-chr10-13474425-98
Merged-chr2-174127192-30	chr2	174126904	174127592	+	0.000	0.000	Merged-chr2-174127192-30
Merged-chr2-173647246-19	chr2	173647108	173647390	+	0.000	0.000	Merged-chr2-173647246-19
Merged-chr6-145054602-1	chr6	145054504	145054702	+	0.000	0.000	Merged-chr6-145054602-1
Merged-chr6-124782672-28	chr6	124782516	124782886	+	0.000	0.000	Merged-chr6-124782672-28
Merged-chr12-85702871-4	chr12	85702747	85702994	+	0.000	0.000	Merged-chr12-85702871-4
Merged-chr17-7164154-31	chr17	7163927	7164370	+	0.000	0.000	Merged-chr17-7164154-31
Merged-chr8-91545805-43	chr8	91545472	91546044	+	0.000	0.000	Merged-chr8-91545805-43
Merged-chr16-92019573-78	chr16	92019212	92019902	+	0.000	0.000	Merged-chr16-92019573-78
Merged-chr17-56475260-1	chr17	56475162	56475360	+	0.000	0.000	Merged-chr17-56475260-1
Merged-chr6-37199705-1	chr6	37199607	37199805	+	0.000	0.000	Merged-chr6-37199705-1
Merged-chr1-181211865-134	chr1	181211300	181212446	+	0.000	0.000	Merged-chr1-181211865-134
Merged-chr6-129283434-23	chr6	129283098	129283957	+	0.000	0.000	Merged-chr6-129283434-23
Merged-chr3-55373923-35	chr3	55373698	55374177	+	0.000	0.000	Merged-chr3-55373923-35
Merged-chr11-88455545-42	chr11	88455253	88456007	+	0.000	0.000	Merged-chr11-88455545-42
Merged-chr2-69716741-5	chr2	69716620	69716867	+	0.000	0.000	Merged-chr2-69716741-5
Merged-chr6-94509203-28	chr6	94508874	94509559	+	0.000	0.000	Merged-chr6-94509203-28
Merged-chr7-49779469-9	chr7	49779197	49779633	+	0.000	0.000	Merged-chr7-49779469-9
Merged-chr5-123021694-21	chr5	123021490	123021930	+	0.000	0.000	Merged-chr5-123021694-21
Merged-chr15-89671344-3	chr15	89671192	89671489	+	0.000	0.000	Merged-chr15-89671344-3
Merged-chr1-181229140-10	chr1	181229003	181229298	+	0.000	0.000	Merged-chr1-181229140-10
Merged-chr4-150269601-64	chr4	150269248	150270104	+	0.000	0.000	Merged-chr4-150269601-64
Merged-chr6-59451158-16	chr6	59450987	59451342	+	0.000	0.000	Merged-chr6-59451158-16
Merged-chr7-35127925-16	chr7	35127580	35128174	+	0.000	0.000	Merged-chr7-35127925-16
Merged-chr9-108808436-49	chr9	108808199	108808677	+	0.000	0.000	Merged-chr9-108808436-49
Merged-chr2-117389704-2	chr2	117389573	117389837	+	0.000	0.000	Merged-chr2-117389704-2
Merged-chr5-143622364-69	chr5	143622117	143622628	+	0.000	0.000	Merged-chr5-143622364-69
Merged-chr6-90604806-66	chr6	90604593	90605114	+	0.000	0.000	Merged-chr6-90604806-66
Merged-chr3-87770520-4	chr3	87770411	87770648	+	0.000	0.000	Merged-chr3-87770520-4
Merged-chr2-103663378-1	chr2	103663280	103663478	+	0.000	0.000	Merged-chr2-103663378-1
Merged-chr18-78969407-8	chr18	78969177	78969646	+	0.000	0.000	Merged-chr18-78969407-8
Merged-chr7-143021894-22	chr7	143021681	143022119	+	0.000	0.000	Merged-chr7-143021894-22
Merged-chr2-163253576-63	chr2	163253324	163253874	+	0.000	0.000	Merged-chr2-163253576-63
Merged-chr14-7977586-47	chr14	7977268	7977961	+	0.000	0.000	Merged-chr14-7977586-47
Merged-chr9-96652845-6	chr9	96652709	96652972	+	0.000	0.000	Merged-chr9-96652845-6
Merged-chr19-36899836-2	chr19	36899706	36899968	+	0.000	0.000	Merged-chr19-36899836-2
Merged-chr10-12888601-47	chr10	12888317	12888831	+	0.000	0.000	Merged-chr10-12888601-47
Merged-chr15-97667744-45	chr15	97667466	97667984	+	0.000	0.000	Merged-chr15-97667744-45
Merged-chr16-92062539-23	chr16	92062251	92062751	+	0.000	0.000	Merged-chr16-92062539-23
Merged-chr9-61753912-30	chr9	61753671	61754182	+	0.000	0.000	Merged-chr9-61753912-30
Merged-chr3-138766523-1	chr3	138766425	138766623	+	0.000	0.000	Merged-chr3-138766523-1
Merged-chr2-5061113-1	chr2	5061015	5061213	+	0.000	0.000	Merged-chr2-5061113-1
Merged-chr8-111572006-3	chr8	111571798	111572171	+	0.000	0.000	Merged-chr8-111572006-3
Merged-chr15-93551725-1	chr15	93551627	93551825	+	0.000	0.000	Merged-chr15-93551725-1
Merged-chr19-17339718-30	chr19	17339494	17339963	+	0.000	0.000	Merged-chr19-17339718-30
Merged-chr17-30159470-1	chr17	30159372	30159570	+	0.000	0.000	Merged-chr17-30159470-1
Merged-chr11-78697650-94	chr11	78697401	78697922	+	0.000	0.000	Merged-chr11-78697650-94
Merged-chr6-143179882-3	chr6	143179715	143180078	+	0.000	0.000	Merged-chr6-143179882-3
Merged-chr15-36375084-60	chr15	36374708	36375377	+	0.000	0.000	Merged-chr15-36375084-60
Merged-chr10-4266749-50	chr10	4266490	4267116	+	0.000	0.000	Merged-chr10-4266749-50
Merged-chr5-122994726-55	chr5	122994453	122994954	+	0.000	0.000	Merged-chr5-122994726-55
Merged-chr15-98108579-43	chr15	98108329	98108889	+	0.000	0.000	Merged-chr15-98108579-43
Merged-chr5-135711032-5	chr5	135710896	135711189	+	0.000	0.000	Merged-chr5-135711032-5
Merged-chr10-14087523-10	chr10	14087365	14087720	+	0.000	0.000	Merged-chr10-14087523-10
Merged-chr8-95679341-1	chr8	95679243	95679441	+	0.000	0.000	Merged-chr8-95679341-1
Merged-chr14-45039542-1	chr14	45039444	45039642	+	0.000	0.000	Merged-chr14-45039542-1
Merged-chr11-117139478-1	chr11	117139380	117139578	+	0.000	0.000	Merged-chr11-117139478-1
Merged-chr17-51172525-19	chr17	51172326	51172771	+	0.000	0.000	Merged-chr17-51172525-19
Merged-chr15-86173285-7	chr15	86173161	86173473	+	0.000	0.000	Merged-chr15-86173285-7
Merged-chr3-138854493-16	chr3	138854263	138854795	+	0.000	0.000	Merged-chr3-138854493-16
Merged-chr16-91073588-44	chr16	91073360	91073870	+	0.000	0.000	Merged-chr16-91073588-44
Merged-chr12-82245636-66	chr12	82245296	82246027	+	0.000	0.000	Merged-chr12-82245636-66
Merged-chr1-128615599-2	chr1	128615475	128615726	+	0.000	0.000	Merged-chr1-128615599-2
Merged-chr19-4283203-50	chr19	4282936	4283427	+	0.000	0.000	Merged-chr19-4283203-50
Merged-chr1-36501424-22	chr1	36501246	36501675	+	0.000	0.000	Merged-chr1-36501424-22
Merged-chr8-111527388-53	chr8	111527018	111527815	+	0.000	0.000	Merged-chr8-111527388-53
Merged-chr13-112355130-25	chr13	112354839	112355423	+	0.000	0.000	Merged-chr13-112355130-25
Merged-chr4-154962096-2	chr4	154961998	154962196	+	0.000	0.000	Merged-chr4-154962096-2
Merged-chr17-47130071-7	chr17	47129917	47130230	+	0.000	0.000	Merged-chr17-47130071-7
Merged-chr9-102879753-26	chr9	102879470	102880038	+	0.000	0.000	Merged-chr9-102879753-26
Merged-chr15-6672334-1	chr15	6672236	6672434	+	0.000	0.000	Merged-chr15-6672334-1
Merged-chr13-35841945-14	chr13	35841650	35842237	+	0.000	0.000	Merged-chr13-35841945-14
Merged-chr5-135616248-16	chr5	135616082	135616391	+	0.000	0.000	Merged-chr5-135616248-16
Merged-chr9-102852625-20	chr9	102852334	102852895	+	0.000	0.000	Merged-chr9-102852625-20
Merged-chr3-83841450-68	chr3	83841125	83841852	+	0.000	0.000	Merged-chr3-83841450-68
Merged-chr18-35830192-19	chr18	35829774	35830668	+	0.000	0.000	Merged-chr18-35830192-19
Merged-chr11-94261974-7	chr11	94261780	94262239	+	0.000	0.000	Merged-chr11-94261974-7
Merged-chr9-44549007-18	chr9	44548850	44549147	+	0.000	0.000	Merged-chr9-44549007-18
Merged-chr12-55446989-58	chr12	55446728	55447194	+	0.000	0.000	Merged-chr12-55446989-58
Merged-chr1-69692321-35	chr1	69692045	69692628	+	0.000	0.000	Merged-chr1-69692321-35
Merged-chr8-91544199-22	chr8	91544018	91544354	+	0.000	0.000	Merged-chr8-91544199-22
Merged-chr9-85842591-29	chr9	85842080	85842923	+	0.000	0.000	Merged-chr9-85842591-29
Merged-chr16-15887959-17	chr16	15887689	15888201	+	0.000	0.000	Merged-chr16-15887959-17
Merged-chr16-97442198-19	chr16	97441973	97442416	+	0.000	0.000	Merged-chr16-97442198-19
Merged-chr11-6559219-2	chr11	6559115	6559325	+	0.000	0.000	Merged-chr11-6559219-2
Merged-chr17-73108005-72	chr17	73107681	73108310	+	0.000	0.000	Merged-chr17-73108005-72
Merged-chr9-51215615-7	chr9	51215434	51215760	+	0.000	0.000	Merged-chr9-51215615-7
Merged-chr8-91395164-1	chr8	91395066	91395264	+	0.000	0.000	Merged-chr8-91395164-1
Merged-chr5-90640561-39	chr5	90640309	90640815	+	0.000	0.000	Merged-chr5-90640561-39
Merged-chr14-57729995-40	chr14	57729525	57730516	+	0.000	0.000	Merged-chr14-57729995-40
Merged-chr19-60681647-27	chr19	60681451	60681907	+	0.000	0.000	Merged-chr19-60681647-27
Merged-chr17-24533671-58	chr17	24533452	24533931	+	0.000	0.000	Merged-chr17-24533671-58
Merged-chr12-112619914-70	chr12	112619294	112620309	+	0.000	0.000	Merged-chr12-112619914-70
Merged-chr15-79830573-6	chr15	79830369	79830765	+	0.000	0.000	Merged-chr15-79830573-6
Merged-chr7-6285679-1	chr7	6285581	6285779	+	0.000	0.000	Merged-chr7-6285679-1
Merged-chr15-73645623-78	chr15	73644817	73646130	+	0.000	0.000	Merged-chr15-73645623-78
Merged-chr3-97211392-28	chr3	97211162	97211597	+	0.000	0.000	Merged-chr3-97211392-28
Merged-chr17-26203308-51	chr17	26202796	26203743	+	0.000	0.000	Merged-chr17-26203308-51
Merged-chr3-37208634-2	chr3	37208507	37208763	+	0.000	0.000	Merged-chr3-37208634-2
Merged-chr19-29272256-4	chr19	29272013	29272450	+	0.000	0.000	Merged-chr19-29272256-4
Merged-chr1-92064482-52	chr1	92064207	92064805	+	0.000	0.000	Merged-chr1-92064482-52
Merged-chr2-84838147-43	chr2	84837860	84838404	+	0.000	0.000	Merged-chr2-84838147-43
Merged-chr7-128669075-5	chr7	128668945	128669198	+	0.000	0.000	Merged-chr7-128669075-5
Merged-chr1-52375024-57	chr1	52374718	52375293	+	0.000	0.000	Merged-chr1-52375024-57
Merged-chr4-32657142-58	chr4	32656905	32657348	+	0.000	0.000	Merged-chr4-32657142-58
Merged-chr10-80399413-104	chr10	80399217	80399591	+	0.000	0.000	Merged-chr10-80399413-104
Merged-chr6-94661455-67	chr6	94660868	94661776	+	0.000	0.000	Merged-chr6-94661455-67
Merged-chr4-101419713-70	chr4	101419105	101420145	+	0.000	0.000	Merged-chr4-101419713-70
Merged-chr18-60803637-35	chr18	60803243	60803914	+	0.000	0.000	Merged-chr18-60803637-35
Merged-chr10-7818500-1	chr10	7818402	7818600	+	0.000	0.000	Merged-chr10-7818500-1
Merged-chr2-144637414-14	chr2	144637250	144637580	+	0.000	0.000	Merged-chr2-144637414-14
Merged-chr18-35831986-19	chr18	35831677	35832245	+	0.000	0.000	Merged-chr18-35831986-19
Merged-chr9-119988491-33	chr9	119988242	119988818	+	0.000	0.000	Merged-chr9-119988491-33
Merged-chr5-147056747-2	chr5	147056630	147056866	+	0.000	0.000	Merged-chr5-147056747-2
Merged-chr9-89885540-1	chr9	89885442	89885640	+	0.000	0.000	Merged-chr9-89885540-1
Merged-chr10-67505473-5	chr10	67505351	67505592	+	0.000	0.000	Merged-chr10-67505473-5
Merged-chr3-88772617-19	chr3	88772364	88772829	+	0.000	0.000	Merged-chr3-88772617-19
Merged-chr3-89688909-16	chr3	89688706	89689070	+	0.000	0.000	Merged-chr3-89688909-16
Merged-chr8-70695540-7	chr8	70695352	70695719	+	0.000	0.000	Merged-chr8-70695540-7
Merged-chr11-77214932-26	chr11	77214679	77215142	+	0.000	0.000	Merged-chr11-77214932-26
Merged-chr8-81769276-10	chr8	81769027	81769471	+	0.000	0.000	Merged-chr8-81769276-10
Merged-chr7-29141670-31	chr7	29141502	29141912	+	0.000	0.000	Merged-chr7-29141670-31
Merged-chr6-37200989-6	chr6	37200777	37201205	+	0.000	0.000	Merged-chr6-37200989-6
Merged-chr7-64234604-16	chr7	64234381	64234765	+	0.000	0.000	Merged-chr7-64234604-16
Merged-chrX-139610581-86	chrX	139610156	139610906	+	0.000	0.000	Merged-chrX-139610581-86
Merged-chr2-28526333-12	chr2	28526172	28526529	+	0.000	0.000	Merged-chr2-28526333-12
Merged-chr6-37459793-1	chr6	37459695	37459893	+	0.000	0.000	Merged-chr6-37459793-1
Merged-chr4-156013915-55	chr4	156013589	156014479	+	0.000	0.000	Merged-chr4-156013915-55
Merged-chr4-137723012-20	chr4	137722718	137723360	+	0.000	0.000	Merged-chr4-137723012-20
Merged-chr15-86185738-71	chr15	86185338	86186228	+	0.000	0.000	Merged-chr15-86185738-71
Merged-chr5-122285036-4	chr5	122284936	122285138	+	0.000	0.000	Merged-chr5-122285036-4
Merged-chr1-91908187-5	chr1	91907924	91908428	+	0.000	0.000	Merged-chr1-91908187-5
Merged-chr13-43774308-28	chr13	43774037	43774520	+	0.000	0.000	Merged-chr13-43774308-28
Merged-chr2-33178100-27	chr2	33177654	33178549	+	0.000	0.000	Merged-chr2-33178100-27
Merged-chr18-11839684-62	chr18	11839202	11840121	+	0.000	0.000	Merged-chr18-11839684-62
Merged-chr2-144658008-6	chr2	144657725	144658226	+	0.000	0.000	Merged-chr2-144658008-6
Merged-chr8-84700056-8	chr8	84699916	84700267	+	0.000	0.000	Merged-chr8-84700056-8
Merged-chr9-62555590-11	chr9	62555417	62555747	+	0.000	0.000	Merged-chr9-62555590-11
Merged-chr3-138877882-3	chr3	138877702	138878040	+	0.000	0.000	Merged-chr3-138877882-3
Merged-chrX-12137054-22	chrX	12136491	12137470	+	0.000	0.000	Merged-chrX-12137054-22
Merged-chr10-77984793-34	chr10	77984503	77985024	+	0.000	0.000	Merged-chr10-77984793-34
Merged-chr5-147050012-11	chr5	147049855	147050202	+	0.000	0.000	Merged-chr5-147050012-11
Merged-chr7-99407742-21	chr7	99407476	99407991	+	0.000	0.000	Merged-chr7-99407742-21
Merged-chr18-79080001-30	chr18	79079704	79080424	+	0.000	0.000	Merged-chr18-79080001-30
Merged-chr17-30066360-1	chr17	30066262	30066460	+	0.000	0.000	Merged-chr17-30066360-1
Merged-chr1-69554297-12	chr1	69554106	69554500	+	0.000	0.000	Merged-chr1-69554297-12
Merged-chr9-14365673-24	chr9	14365451	14365873	+	0.000	0.000	Merged-chr9-14365673-24
Merged-chr10-68240046-76	chr10	68239841	68240349	+	0.000	0.000	Merged-chr10-68240046-76
Merged-chr5-142935861-2	chr5	142935728	142935997	+	0.000	0.000	Merged-chr5-142935861-2
Merged-chr10-121294097-50	chr10	121293861	121294433	+	0.000	0.000	Merged-chr10-121294097-50
Merged-chr17-87107845-3	chr17	87107747	87107945	+	0.000	0.000	Merged-chr17-87107845-3
Merged-chr1-61136351-1	chr1	61136253	61136451	+	0.000	0.000	Merged-chr1-61136351-1
Merged-chr17-9002640-32	chr17	9002394	9002889	+	0.000	0.000	Merged-chr17-9002640-32
Merged-chr12-8827572-4	chr12	8827404	8827713	+	0.000	0.000	Merged-chr12-8827572-4
Merged-chr11-44470413-135	chr11	44470070	44470898	+	0.000	0.000	Merged-chr11-44470413-135
Merged-chr9-21029679-18	chr9	21029484	21029875	+	0.000	0.000	Merged-chr9-21029679-18
Merged-chr11-84068873-1	chr11	84068775	84068973	+	0.000	0.000	Merged-chr11-84068873-1
Merged-chr2-6213187-45	chr2	6212888	6213454	+	0.000	0.000	Merged-chr2-6213187-45
Merged-chr10-96648180-16	chr10	96647984	96648445	+	0.000	0.000	Merged-chr10-96648180-16
Merged-chr1-40059347-36	chr1	40059090	40059653	+	0.000	0.000	Merged-chr1-40059347-36
Merged-chr8-81756964-44	chr8	81756581	81757230	+	0.000	0.000	Merged-chr8-81756964-44
Merged-chr2-103567177-2	chr2	103567079	103567277	+	0.000	0.000	Merged-chr2-103567177-2
Merged-chr8-81562603-6	chr8	81562458	81562760	+	0.000	0.000	Merged-chr8-81562603-6
Merged-chr5-135628870-1	chr5	135628772	135628970	+	0.000	0.000	Merged-chr5-135628870-1
Merged-chr7-141435303-43	chr7	141434912	141435549	+	0.000	0.000	Merged-chr7-141435303-43
Merged-chr13-73482646-29	chr13	73482343	73483007	+	0.000	0.000	Merged-chr13-73482646-29
Merged-chr11-109356957-22	chr11	109356762	109357176	+	0.000	0.000	Merged-chr11-109356957-22
Merged-chr4-145284668-43	chr4	145284233	145285076	+	0.000	0.000	Merged-chr4-145284668-43
Merged-chr7-78566867-22	chr7	78566584	78567132	+	0.000	0.000	Merged-chr7-78566867-22
Merged-chr2-25356445-26	chr2	25356197	25356705	+	0.000	0.000	Merged-chr2-25356445-26
Merged-chr15-36449278-49	chr15	36448702	36449963	+	0.000	0.000	Merged-chr15-36449278-49
Merged-chr12-82171817-7	chr12	82171559	82172002	+	0.000	0.000	Merged-chr12-82171817-7
Merged-chr19-46528871-38	chr19	46528664	46529167	+	0.000	0.000	Merged-chr19-46528871-38
Merged-chr2-33371227-82	chr2	33370784	33371599	+	0.000	0.000	Merged-chr2-33371227-82
Merged-chr15-73629813-13	chr15	73629629	73630042	+	0.000	0.000	Merged-chr15-73629813-13
Merged-chr10-96569818-31	chr10	96569281	96570531	+	0.000	0.000	Merged-chr10-96569818-31
Merged-chr9-25187350-4	chr9	25187201	25187487	+	0.000	0.000	Merged-chr9-25187350-4
Merged-chr11-77216325-91	chr11	77215574	77216906	+	0.000	0.000	Merged-chr11-77216325-91
Merged-chr4-45084529-66	chr4	45084252	45084822	+	0.000	0.000	Merged-chr4-45084529-66
Merged-chr16-57545857-3	chr16	57545679	57546054	+	0.000	0.000	Merged-chr16-57545857-3
Merged-chr10-96690288-1	chr10	96690190	96690388	+	0.000	0.000	Merged-chr10-96690288-1
Merged-chr16-97535153-8	chr16	97534910	97535336	+	0.000	0.000	Merged-chr16-97535153-8
Merged-chr4-145306673-4	chr4	145306540	145306807	+	0.000	0.000	Merged-chr4-145306673-4
Merged-chr12-103337939-2	chr12	103337759	103338122	+	0.000	0.000	Merged-chr12-103337939-2
Merged-chr10-13438536-33	chr10	13438267	13438836	+	0.000	0.000	Merged-chr10-13438536-33
Merged-chr11-117970419-1	chr11	117970321	117970519	+	0.000	0.000	Merged-chr11-117970419-1
Merged-chr10-128940717-41	chr10	128940501	128940950	+	0.000	0.000	Merged-chr10-128940717-41
Merged-chr6-129255226-26	chr6	129254980	129255543	+	0.000	0.000	Merged-chr6-129255226-26
Merged-chr3-83863238-36	chr3	83862966	83863604	+	0.000	0.000	Merged-chr3-83863238-36
Merged-chr19-34526607-16	chr19	34526397	34526779	+	0.000	0.000	Merged-chr19-34526607-16
Merged-chr12-116242447-1	chr12	116242349	116242547	+	0.000	0.000	Merged-chr12-116242447-1
Merged-chr7-128498160-2	chr7	128498021	128498301	+	0.000	0.000	Merged-chr7-128498160-2
Merged-chr12-55464157-1	chr12	55464059	55464257	+	0.000	0.000	Merged-chr12-55464157-1
Merged-chr3-87387698-10	chr3	87387474	87387895	+	0.000	0.000	Merged-chr3-87387698-10
Merged-chr11-67010576-15	chr11	67010346	67010806	+	0.000	0.000	Merged-chr11-67010576-15
Merged-chr2-151973040-2	chr2	151972914	151973168	+	0.000	0.000	Merged-chr2-151973040-2
Merged-chr15-93595950-115	chr15	93595345	93596428	+	0.000	0.000	Merged-chr15-93595950-115
Merged-chr8-81861625-26	chr8	81861430	81861921	+	0.000	0.000	Merged-chr8-81861625-26
Merged-chrX-12134249-2	chrX	12134126	12134375	+	0.000	0.000	Merged-chrX-12134249-2
Merged-chr6-124745799-51	chr6	124745495	124746428	+	0.000	0.000	Merged-chr6-124745799-51
Merged-chr3-138867429-26	chr3	138867091	138867701	+	0.000	0.000	Merged-chr3-138867429-26
Merged-chr14-7994545-46	chr14	7994321	7994734	+	0.000	0.000	Merged-chr14-7994545-46
Merged-chr10-121693287-26	chr10	121693024	121693625	+	0.000	0.000	Merged-chr10-121693287-26
Merged-chr12-112618139-25	chr12	112617959	112618327	+	0.000	0.000	Merged-chr12-112618139-25
Merged-chr4-86887188-3	chr4	86887062	86887325	+	0.000	0.000	Merged-chr4-86887188-3
Merged-chr16-33582051-1	chr16	33581953	33582151	+	0.000	0.000	Merged-chr16-33582051-1
Merged-chr16-25274281-15	chr16	25274101	25274454	+	0.000	0.000	Merged-chr16-25274281-15
Merged-chr11-113135419-7	chr11	113135228	113135613	+	0.000	0.000	Merged-chr11-113135419-7
Merged-chr10-96588454-52	chr10	96588173	96588801	+	0.000	0.000	Merged-chr10-96588454-52
Merged-chr3-137868303-1	chr3	137868205	137868403	+	0.000	0.000	Merged-chr3-137868303-1
Merged-chr10-75832364-5	chr10	75832219	75832509	+	0.000	0.000	Merged-chr10-75832364-5
Merged-chr1-190833916-11	chr1	190833682	190834093	+	0.000	0.000	Merged-chr1-190833916-11
Merged-chr8-70776141-1	chr8	70776043	70776241	+	0.000	0.000	Merged-chr8-70776141-1
Merged-chr1-165579440-1	chr1	165579342	165579540	+	0.000	0.000	Merged-chr1-165579440-1
Merged-chr16-30835919-12	chr16	30835723	30836104	+	0.000	0.000	Merged-chr16-30835919-12
Merged-chr2-103658723-12	chr2	103658510	103658872	+	0.000	0.000	Merged-chr2-103658723-12
Merged-chr9-21313543-10	chr9	21313406	21313675	+	0.000	0.000	Merged-chr9-21313543-10
Merged-chr17-45506965-50	chr17	45506814	45507139	+	0.000	0.000	Merged-chr17-45506965-50
Merged-chr4-155318568-19	chr4	155318434	155318744	+	0.000	0.000	Merged-chr4-155318568-19
Merged-chr15-100685489-2	chr15	100685376	100685605	+	0.000	0.000	Merged-chr15-100685489-2
Merged-chrX-57175645-1	chrX	57175547	57175745	+	0.000	0.000	Merged-chrX-57175645-1
Merged-chr2-32821487-1	chr2	32821389	32821587	+	0.000	0.000	Merged-chr2-32821487-1
Merged-chr10-20991978-8	chr10	20991800	20992195	+	0.000	0.000	Merged-chr10-20991978-8
Merged-chr5-118050907-19	chr5	118050704	118051071	+	0.000	0.000	Merged-chr5-118050907-19
Merged-chr2-91986276-9	chr2	91986091	91986459	+	0.000	0.000	Merged-chr2-91986276-9
Merged-chr10-121297598-43	chr10	121297406	121297789	+	0.000	0.000	Merged-chr10-121297598-43
Merged-chr10-13469041-19	chr10	13468866	13469266	+	0.000	0.000	Merged-chr10-13469041-19
Merged-chr6-134856256-11	chr6	134856052	134856461	+	0.000	0.000	Merged-chr6-134856256-11
Merged-chr19-42086332-5	chr19	42086145	42086487	+	0.000	0.000	Merged-chr19-42086332-5
Merged-chr6-94544082-21	chr6	94543813	94544304	+	0.000	0.000	Merged-chr6-94544082-21
Merged-chr12-103421456-22	chr12	103421264	103421753	+	0.000	0.000	Merged-chr12-103421456-22
Merged-chr7-128411267-1	chr7	128411169	128411367	+	0.000	0.000	Merged-chr7-128411267-1
Merged-chr11-67025090-52	chr11	67024842	67025351	+	0.000	0.000	Merged-chr11-67025090-52
Merged-chr15-58214426-1	chr15	58214328	58214526	+	0.000	0.000	Merged-chr15-58214426-1
Merged-chr11-59809767-149	chr11	59809556	59810146	+	0.000	0.000	Merged-chr11-59809767-149
Merged-chr11-75867102-2	chr11	75866985	75867222	+	0.000	0.000	Merged-chr11-75867102-2
Merged-chr1-192753229-57	chr1	192752683	192753709	+	0.000	0.000	Merged-chr1-192753229-57
Merged-chr15-53189373-1	chr15	53189275	53189473	+	0.000	0.000	Merged-chr15-53189373-1
Merged-chr2-91948356-2	chr2	91948258	91948456	+	0.000	0.000	Merged-chr2-91948356-2
Merged-chr17-34931482-67	chr17	34931104	34932252	+	0.000	0.000	Merged-chr17-34931482-67
Merged-chr2-122467612-78	chr2	122467302	122467939	+	0.000	0.000	Merged-chr2-122467612-78
Merged-chr10-96535668-22	chr10	96535398	96535890	+	0.000	0.000	Merged-chr10-96535668-22
Merged-chr1-40290751-7	chr1	40290580	40290985	+	0.000	0.000	Merged-chr1-40290751-7
Merged-chr7-28384283-3	chr7	28384143	28384459	+	0.000	0.000	Merged-chr7-28384283-3
Merged-chr2-181679007-36	chr2	181678808	181679278	+	0.000	0.000	Merged-chr2-181679007-36
Merged-chr13-112465935-6	chr13	112465661	112466112	+	0.000	0.000	Merged-chr13-112465935-6
Merged-chr3-138864342-22	chr3	138864096	138864587	+	0.000	0.000	Merged-chr3-138864342-22
Merged-chr10-128743344-1	chr10	128743246	128743444	+	0.000	0.000	Merged-chr10-128743344-1
Merged-chr3-69041504-24	chr3	69041270	69041672	+	0.000	0.000	Merged-chr3-69041504-24
Merged-chr12-36359028-5	chr12	36358789	36359317	+	0.000	0.000	Merged-chr12-36359028-5
Merged-chr4-150540101-42	chr4	150539863	150540444	+	0.000	0.000	Merged-chr4-150540101-42
Merged-chr18-79064378-58	chr18	79064086	79064613	+	0.000	0.000	Merged-chr18-79064378-58
Merged-chrX-13845408-2	chrX	13845294	13845524	+	0.000	0.000	Merged-chrX-13845408-2
Merged-chr4-102859663-41	chr4	102859348	102860180	+	0.000	0.000	Merged-chr4-102859663-41
Merged-chr12-8771692-58	chr12	8771218	8772272	+	0.000	0.000	Merged-chr12-8771692-58
Merged-chr7-142967366-1	chr7	142967268	142967466	+	0.000	0.000	Merged-chr7-142967366-1
Merged-chr11-113182546-1	chr11	113182448	113182646	+	0.000	0.000	Merged-chr11-113182546-1
Merged-chr2-163165560-18	chr2	163165276	163165898	+	0.000	0.000	Merged-chr2-163165560-18
Merged-chr2-131448367-26	chr2	131448187	131448550	+	0.000	0.000	Merged-chr2-131448367-26
Merged-chr10-60189958-4	chr10	60189801	60190100	+	0.000	0.000	Merged-chr10-60189958-4
Merged-chr3-84220800-59	chr3	84220445	84221121	+	0.000	0.000	Merged-chr3-84220800-59
Merged-chr15-97664065-61	chr15	97663697	97664356	+	0.000	0.000	Merged-chr15-97664065-61
Merged-chr8-69328899-30	chr8	69328690	69329167	+	0.000	0.000	Merged-chr8-69328899-30
Merged-chr2-172392373-19	chr2	172392169	172392644	+	0.000	0.000	Merged-chr2-172392373-19
Merged-chr11-78465860-16	chr11	78465592	78466125	+	0.000	0.000	Merged-chr11-78465860-16
Merged-chr15-76817217-4	chr15	76817016	76817472	+	0.000	0.000	Merged-chr15-76817217-4
Merged-chr4-116704026-8	chr4	116703834	116704194	+	0.000	0.000	Merged-chr4-116704026-8
Merged-chr9-61859765-62	chr9	61859366	61860214	+	0.000	0.000	Merged-chr9-61859765-62
Merged-chr1-40236250-26	chr1	40235937	40236548	+	0.000	0.000	Merged-chr1-40236250-26
Merged-chr5-29196327-1	chr5	29196229	29196427	+	0.000	0.000	Merged-chr5-29196327-1
