#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TFH_Associated--ATAC_peaks.bed all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed
Merged-chr6-145073264-3	chr6	145073134	145073390	+	0.000	0.000	Merged-chr6-145073264-3
Merged-chr7-19817599-46	chr7	19817314	19817795	+	0.000	0.000	Merged-chr7-19817599-46
Merged-chr11-79076715-52	chr11	79076504	79076933	+	0.000	0.000	Merged-chr11-79076715-52
Merged-chr9-108003439-2	chr9	108003339	108003541	+	0.000	0.000	Merged-chr9-108003439-2
Merged-chr11-100851256-1	chr11	100851158	100851356	+	0.000	0.000	Merged-chr11-100851256-1
Merged-chr6-144220330-1	chr6	144220232	144220430	+	0.000	0.000	Merged-chr6-144220330-1
Merged-chr15-97665672-74	chr15	97665105	97666201	+	0.000	0.000	Merged-chr15-97665672-74
Merged-chr2-172848362-2	chr2	172848199	172848527	+	0.000	0.000	Merged-chr2-172848362-2
Merged-chr2-33203595-17	chr2	33203384	33203941	+	0.000	0.000	Merged-chr2-33203595-17
Merged-chr18-58668129-1	chr18	58668031	58668229	+	0.000	0.000	Merged-chr18-58668129-1
Merged-chr15-57695732-52	chr15	57695414	57695942	+	0.000	0.000	Merged-chr15-57695732-52
Merged-chr3-89231593-29	chr3	89231331	89231811	+	0.000	0.000	Merged-chr3-89231593-29
Merged-chr11-106665646-39	chr11	106665364	106666106	+	0.000	0.000	Merged-chr11-106665646-39
Merged-chr19-29193940-1	chr19	29193842	29194040	+	0.000	0.000	Merged-chr19-29193940-1
Merged-chr15-97580335-5	chr15	97580187	97580586	+	0.000	0.000	Merged-chr15-97580335-5
Merged-chr2-160944399-11	chr2	160944130	160944759	+	0.000	0.000	Merged-chr2-160944399-11
Merged-chr7-29134852-30	chr7	29134611	29135113	+	0.000	0.000	Merged-chr7-29134852-30
Merged-chr9-110896831-29	chr9	110896640	110897023	+	0.000	0.000	Merged-chr9-110896831-29
Merged-chr3-106482507-31	chr3	106482300	106482759	+	0.000	0.000	Merged-chr3-106482507-31
Merged-chr2-103601590-5	chr2	103601383	103601770	+	0.000	0.000	Merged-chr2-103601590-5
Merged-chr6-99402547-2	chr6	99402444	99402652	+	0.000	0.000	Merged-chr6-99402547-2
Merged-chr2-169504323-1	chr2	169504225	169504423	+	0.000	0.000	Merged-chr2-169504323-1
Merged-chr12-82209904-12	chr12	82209712	82210164	+	0.000	0.000	Merged-chr12-82209904-12
Merged-chr17-35295854-5	chr17	35295657	35296037	+	0.000	0.000	Merged-chr17-35295854-5
Merged-chr11-33919550-1	chr11	33919452	33919650	+	0.000	0.000	Merged-chr11-33919550-1
Merged-chr18-34118477-76	chr18	34117757	34118839	+	0.000	0.000	Merged-chr18-34118477-76
Merged-chr10-14066140-19	chr10	14065885	14066362	+	0.000	0.000	Merged-chr10-14066140-19
Merged-chr11-21175315-1	chr11	21175217	21175415	+	0.000	0.000	Merged-chr11-21175315-1
Merged-chr11-113194847-27	chr11	113194599	113195039	+	0.000	0.000	Merged-chr11-113194847-27
Merged-chr13-46798338-1	chr13	46798240	46798438	+	0.000	0.000	Merged-chr13-46798338-1
Merged-chr7-127841775-106	chr7	127841328	127842092	+	0.000	0.000	Merged-chr7-127841775-106
Merged-chr5-54052328-10	chr5	54052174	54052531	+	0.000	0.000	Merged-chr5-54052328-10
Merged-chr19-42090289-87	chr19	42089870	42090694	+	0.000	0.000	Merged-chr19-42090289-87
Merged-chr8-124751868-63	chr8	124751546	124752194	+	0.000	0.000	Merged-chr8-124751868-63
Merged-chr16-24975123-11	chr16	24974966	24975253	+	0.000	0.000	Merged-chr16-24975123-11
Merged-chr6-99429138-37	chr6	99428820	99429549	+	0.000	0.000	Merged-chr6-99429138-37
Merged-chr14-21076122-62	chr14	21075923	21076332	+	0.000	0.000	Merged-chr14-21076122-62
Merged-chr19-5803308-79	chr19	5802716	5803753	+	0.000	0.000	Merged-chr19-5803308-79
Merged-chr10-14046177-98	chr10	14045741	14046632	+	0.000	0.000	Merged-chr10-14046177-98
Merged-chr11-61855241-5	chr11	61855108	61855375	+	0.000	0.000	Merged-chr11-61855241-5
Merged-chr13-30085305-34	chr13	30085087	30085497	+	0.000	0.000	Merged-chr13-30085305-34
Merged-chr15-64206221-85	chr15	64205687	64206666	+	0.000	0.000	Merged-chr15-64206221-85
Merged-chr16-11254042-93	chr16	11253785	11254584	+	0.000	0.000	Merged-chr16-11254042-93
Merged-chr18-60059257-14	chr18	60059027	60059505	+	0.000	0.000	Merged-chr18-60059257-14
Merged-chr2-75151114-2	chr2	75150999	75151231	+	0.000	0.000	Merged-chr2-75151114-2
Merged-chr12-117579368-17	chr12	117579123	117579589	+	0.000	0.000	Merged-chr12-117579368-17
Merged-chr12-82251542-24	chr12	82251271	82251764	+	0.000	0.000	Merged-chr12-82251542-24
Merged-chr15-76818018-57	chr15	76817642	76818411	+	0.000	0.000	Merged-chr15-76818018-57
Merged-chr11-44469765-3	chr11	44469642	44469905	+	0.000	0.000	Merged-chr11-44469765-3
Merged-chr4-106970923-40	chr4	106970667	106971120	+	0.000	0.000	Merged-chr4-106970923-40
Merged-chr8-120114148-66	chr8	120113835	120114381	+	0.000	0.000	Merged-chr8-120114148-66
Merged-chr1-173430237-8	chr1	173430052	173430435	+	0.000	0.000	Merged-chr1-173430237-8
Merged-chr18-34861019-147	chr18	34860601	34861772	+	0.000	0.000	Merged-chr18-34861019-147
Merged-chr5-44181891-36	chr5	44181727	44182160	+	0.000	0.000	Merged-chr5-44181891-36
Merged-chr2-91444621-41	chr2	91444392	91444819	+	0.000	0.000	Merged-chr2-91444621-41
Merged-chr15-74709474-59	chr15	74709226	74709698	+	0.000	0.000	Merged-chr15-74709474-59
Merged-chr6-134014705-25	chr6	134014434	134014931	+	0.000	0.000	Merged-chr6-134014705-25
Merged-chr6-59313455-54	chr6	59313133	59313882	+	0.000	0.000	Merged-chr6-59313455-54
Merged-chr19-44294552-133	chr19	44293757	44295280	+	0.000	0.000	Merged-chr19-44294552-133
Merged-chr11-94265551-26	chr11	94265218	94265978	+	0.000	0.000	Merged-chr11-94265551-26
Merged-chr1-192727187-32	chr1	192726954	192727425	+	0.000	0.000	Merged-chr1-192727187-32
Merged-chr10-60371779-3	chr10	60371647	60371896	+	0.000	0.000	Merged-chr10-60371779-3
Merged-chr11-86993041-2	chr11	86992879	86993205	+	0.000	0.000	Merged-chr11-86993041-2
Merged-chr17-32350115-11	chr17	32349938	32350312	+	0.000	0.000	Merged-chr17-32350115-11
Merged-chr17-5941304-51	chr17	5940915	5941742	+	0.000	0.000	Merged-chr17-5941304-51
Merged-chr18-53817599-8	chr18	53817480	53817727	+	0.000	0.000	Merged-chr18-53817599-8
Merged-chr5-138659127-29	chr5	138658792	138659349	+	0.000	0.000	Merged-chr5-138659127-29
Merged-chr2-5025454-23	chr2	5025173	5025654	+	0.000	0.000	Merged-chr2-5025454-23
Merged-chr2-160755675-4	chr2	160755408	160755904	+	0.000	0.000	Merged-chr2-160755675-4
Merged-chr2-130906515-68	chr2	130906209	130906797	+	0.000	0.000	Merged-chr2-130906515-68
Merged-chr7-127935655-47	chr7	127935406	127935846	+	0.000	0.000	Merged-chr7-127935655-47
Merged-chr8-81860915-27	chr8	81860615	81861412	+	0.000	0.000	Merged-chr8-81860915-27
Merged-chr13-99932700-36	chr13	99932392	99933169	+	0.000	0.000	Merged-chr13-99932700-36
Merged-chr3-88771967-123	chr3	88771432	88772304	+	0.000	0.000	Merged-chr3-88771967-123
Merged-chr10-96716619-11	chr10	96716455	96716764	+	0.000	0.000	Merged-chr10-96716619-11
Merged-chr1-36273311-46	chr1	36272950	36273682	+	0.000	0.000	Merged-chr1-36273311-46
Merged-chr3-131107214-2	chr3	131107108	131107323	+	0.000	0.000	Merged-chr3-131107214-2
Merged-chr12-85973794-44	chr12	85973583	85974025	+	0.000	0.000	Merged-chr12-85973794-44
Merged-chr19-16802256-9	chr19	16801957	16802417	+	0.000	0.000	Merged-chr19-16802256-9
Merged-chr1-39986417-3	chr1	39986256	39986594	+	0.000	0.000	Merged-chr1-39986417-3
Merged-chr13-109923175-20	chr13	109922894	109923347	+	0.000	0.000	Merged-chr13-109923175-20
Merged-chr4-10874494-112	chr4	10874105	10874925	+	0.000	0.000	Merged-chr4-10874494-112
Merged-chr17-47943297-31	chr17	47943021	47943574	+	0.000	0.000	Merged-chr17-47943297-31
Merged-chr4-108826101-25	chr4	108825952	108826310	+	0.000	0.000	Merged-chr4-108826101-25
Merged-chr4-134495350-57	chr4	134495113	134495649	+	0.000	0.000	Merged-chr4-134495350-57
Merged-chr5-147076568-5	chr5	147076422	147076729	+	0.000	0.000	Merged-chr5-147076568-5
Merged-chr11-90225700-1	chr11	90225602	90225800	+	0.000	0.000	Merged-chr11-90225700-1
Merged-chr7-68133865-25	chr7	68133669	68134147	+	0.000	0.000	Merged-chr7-68133865-25
Merged-chr19-44267087-85	chr19	44266754	44267356	+	0.000	0.000	Merged-chr19-44267087-85
Merged-chr18-53904421-2	chr18	53904271	53904574	+	0.000	0.000	Merged-chr18-53904421-2
Merged-chr1-164061459-15	chr1	164061252	164061642	+	0.000	0.000	Merged-chr1-164061459-15
Merged-chr19-16780432-1	chr19	16780334	16780532	+	0.000	0.000	Merged-chr19-16780432-1
Merged-chr6-118018748-9	chr6	118018604	118018934	+	0.000	0.000	Merged-chr6-118018748-9
Merged-chr2-34961693-34	chr2	34961389	34961971	+	0.000	0.000	Merged-chr2-34961693-34
Merged-chr7-19860000-22	chr7	19859714	19860265	+	0.000	0.000	Merged-chr7-19860000-22
Merged-chr11-3150044-7	chr11	3149876	3150239	+	0.000	0.000	Merged-chr11-3150044-7
Merged-chr17-32350599-47	chr17	32350357	32350838	+	0.000	0.000	Merged-chr17-32350599-47
Merged-chr4-32257822-1	chr4	32257724	32257922	+	0.000	0.000	Merged-chr4-32257822-1
Merged-chr13-55437282-6	chr13	55437110	55437559	+	0.000	0.000	Merged-chr13-55437282-6
Merged-chr9-7872811-86	chr9	7872395	7873264	+	0.000	0.000	Merged-chr9-7872811-86
Merged-chr1-38657935-57	chr1	38657609	38658350	+	0.000	0.000	Merged-chr1-38657935-57
Merged-chr13-112418540-102	chr13	112417787	112419387	+	0.000	0.000	Merged-chr13-112418540-102
Merged-chr12-76886981-34	chr12	76886822	76887206	+	0.000	0.000	Merged-chr12-76886981-34
Merged-chr1-128808726-38	chr1	128808383	128808952	+	0.000	0.000	Merged-chr1-128808726-38
Merged-chr9-61680502-13	chr9	61680264	61680684	+	0.000	0.000	Merged-chr9-61680502-13
Merged-chr16-24152137-5	chr16	24152011	24152255	+	0.000	0.000	Merged-chr16-24152137-5
Merged-chr9-96583315-51	chr9	96583047	96583741	+	0.000	0.000	Merged-chr9-96583315-51
Merged-chr1-53313672-58	chr1	53313445	53313950	+	0.000	0.000	Merged-chr1-53313672-58
Merged-chr9-25151697-74	chr9	25151378	25152043	+	0.000	0.000	Merged-chr9-25151697-74
Merged-chr2-76255082-31	chr2	76254730	76255292	+	0.000	0.000	Merged-chr2-76255082-31
Merged-chr17-23804820-15	chr17	23804527	23805114	+	0.000	0.000	Merged-chr17-23804820-15
Merged-chr5-148596681-29	chr5	148596374	148597068	+	0.000	0.000	Merged-chr5-148596681-29
Merged-chr1-69638287-51	chr1	69637932	69638637	+	0.000	0.000	Merged-chr1-69638287-51
Merged-chr8-79173625-13	chr8	79173352	79173827	+	0.000	0.000	Merged-chr8-79173625-13
Merged-chr10-39456422-14	chr10	39456235	39456637	+	0.000	0.000	Merged-chr10-39456422-14
Merged-chr15-12606518-21	chr15	12606272	12606773	+	0.000	0.000	Merged-chr15-12606518-21
Merged-chr2-70931049-24	chr2	70930823	70931286	+	0.000	0.000	Merged-chr2-70931049-24
Merged-chr1-136018170-77	chr1	136017791	136018519	+	0.000	0.000	Merged-chr1-136018170-77
Merged-chr14-10593654-13	chr14	10593449	10593897	+	0.000	0.000	Merged-chr14-10593654-13
Merged-chr10-60370964-39	chr10	60370587	60371588	+	0.000	0.000	Merged-chr10-60370964-39
Merged-chr6-146430124-17	chr6	146429816	146430383	+	0.000	0.000	Merged-chr6-146430124-17
Merged-chr17-26069503-58	chr17	26069275	26069867	+	0.000	0.000	Merged-chr17-26069503-58
Merged-chr4-136054046-1	chr4	136053948	136054146	+	0.000	0.000	Merged-chr4-136054046-1
Merged-chr5-65832305-23	chr5	65832147	65832482	+	0.000	0.000	Merged-chr5-65832305-23
Merged-chr2-19388892-38	chr2	19388676	19389176	+	0.000	0.000	Merged-chr2-19388892-38
Merged-chr16-96089683-18	chr16	96089190	96089951	+	0.000	0.000	Merged-chr16-96089683-18
Merged-chr14-57398606-66	chr14	57398393	57398794	+	0.000	0.000	Merged-chr14-57398606-66
Merged-chr13-109922319-36	chr13	109922044	109922570	+	0.000	0.000	Merged-chr13-109922319-36
Merged-chr11-117870905-4	chr11	117870774	117871103	+	0.000	0.000	Merged-chr11-117870905-4
Merged-chr15-62145292-46	chr15	62145026	62145697	+	0.000	0.000	Merged-chr15-62145292-46
Merged-chr8-124663205-81	chr8	124662937	124663634	+	0.000	0.000	Merged-chr8-124663205-81
Merged-chr19-61266710-124	chr19	61266112	61267021	+	0.000	0.000	Merged-chr19-61266710-124
Merged-chr2-120500231-54	chr2	120500032	120500528	+	0.000	0.000	Merged-chr2-120500231-54
Merged-chr13-73488653-40	chr13	73488211	73489143	+	0.000	0.000	Merged-chr13-73488653-40
Merged-chr10-13970545-12	chr10	13970379	13970743	+	0.000	0.000	Merged-chr10-13970545-12
Merged-chr7-128383933-89	chr7	128383614	128384196	+	0.000	0.000	Merged-chr7-128383933-89
Merged-chrX-151344027-1	chrX	151343929	151344127	+	0.000	0.000	Merged-chrX-151344027-1
Merged-chr2-172926508-28	chr2	172926309	172926943	+	0.000	0.000	Merged-chr2-172926508-28
Merged-chrX-167318499-4	chrX	167318387	167318615	+	0.000	0.000	Merged-chrX-167318499-4
Merged-chr13-85556350-33	chr13	85556045	85556677	+	0.000	0.000	Merged-chr13-85556350-33
Merged-chr16-89994066-43	chr16	89993804	89994394	+	0.000	0.000	Merged-chr16-89994066-43
Merged-chr4-134767796-55	chr4	134767417	134768166	+	0.000	0.000	Merged-chr4-134767796-55
Merged-chr5-75604922-2	chr5	75604795	75605051	+	0.000	0.000	Merged-chr5-75604922-2
Merged-chr15-73642732-1	chr15	73642634	73642832	+	0.000	0.000	Merged-chr15-73642732-1
Merged-chr4-154927887-94	chr4	154927597	154928290	+	0.000	0.000	Merged-chr4-154927887-94
Merged-chr1-138517355-75	chr1	138517155	138517635	+	0.000	0.000	Merged-chr1-138517355-75
Merged-chr2-75938366-51	chr2	75938149	75938674	+	0.000	0.000	Merged-chr2-75938366-51
Merged-chr6-128788729-15	chr6	128788491	128789047	+	0.000	0.000	Merged-chr6-128788729-15
Merged-chr14-122191173-22	chr14	122190963	122191393	+	0.000	0.000	Merged-chr14-122191173-22
Merged-chr4-137899052-12	chr4	137898657	137899441	+	0.000	0.000	Merged-chr4-137899052-12
Merged-chr11-86958277-1	chr11	86958179	86958377	+	0.000	0.000	Merged-chr11-86958277-1
Merged-chr16-17257463-2	chr16	17257347	17257581	+	0.000	0.000	Merged-chr16-17257463-2
Merged-chr15-76069606-72	chr15	76069263	76070043	+	0.000	0.000	Merged-chr15-76069606-72
Merged-chr19-3851775-57	chr19	3851522	3852073	+	0.000	0.000	Merged-chr19-3851775-57
Merged-chr11-62603122-80	chr11	62602720	62603382	+	0.000	0.000	Merged-chr11-62603122-80
Merged-chr12-3740314-45	chr12	3739954	3740648	+	0.000	0.000	Merged-chr12-3740314-45
Merged-chr10-14016576-40	chr10	14016442	14016725	+	0.000	0.000	Merged-chr10-14016576-40
Merged-chr13-109232171-58	chr13	109231866	109232394	+	0.000	0.000	Merged-chr13-109232171-58
Merged-chr9-61370728-48	chr9	61370487	61371051	+	0.000	0.000	Merged-chr9-61370728-48
Merged-chr2-177839130-1	chr2	177839032	177839230	+	0.000	0.000	Merged-chr2-177839130-1
Merged-chr6-146500519-4	chr6	146500306	146500799	+	0.000	0.000	Merged-chr6-146500519-4
Merged-chr13-36116918-2	chr13	36116757	36117081	+	0.000	0.000	Merged-chr13-36116918-2
Merged-chr11-44518946-58	chr11	44518635	44519211	+	0.000	0.000	Merged-chr11-44518946-58
Merged-chr13-55444160-1	chr13	55444062	55444260	+	0.000	0.000	Merged-chr13-55444160-1
Merged-chr6-145001690-1	chr6	145001592	145001790	+	0.000	0.000	Merged-chr6-145001690-1
Merged-chr11-106779604-65	chr11	106779326	106779966	+	0.000	0.000	Merged-chr11-106779604-65
Merged-chr10-63377660-26	chr10	63377459	63377887	+	0.000	0.000	Merged-chr10-63377660-26
Merged-chr8-128358520-155	chr8	128358017	128359011	+	0.000	0.000	Merged-chr8-128358520-155
Merged-chr5-28317030-104	chr5	28316476	28317607	+	0.000	0.000	Merged-chr5-28317030-104
Merged-chr13-109229447-10	chr13	109229260	109229609	+	0.000	0.000	Merged-chr13-109229447-10
Merged-chr1-178405626-2	chr1	178405492	178405763	+	0.000	0.000	Merged-chr1-178405626-2
Merged-chr11-120990091-5	chr11	120989973	120990219	+	0.000	0.000	Merged-chr11-120990091-5
Merged-chr8-126584527-70	chr8	126584186	126584723	+	0.000	0.000	Merged-chr8-126584527-70
Merged-chr9-14500635-62	chr9	14500341	14500895	+	0.000	0.000	Merged-chr9-14500635-62
Merged-chr11-79339786-62	chr11	79339373	79340244	+	0.000	0.000	Merged-chr11-79339786-62
Merged-chr1-86703863-64	chr1	86703609	86704118	+	0.000	0.000	Merged-chr1-86703863-64
Merged-chr14-30951369-55	chr14	30951159	30951587	+	0.000	0.000	Merged-chr14-30951369-55
Merged-chr2-10274045-5	chr2	10273897	10274225	+	0.000	0.000	Merged-chr2-10274045-5
Merged-chr5-122219690-12	chr5	122219546	122219987	+	0.000	0.000	Merged-chr5-122219690-12
Merged-chr8-126590193-39	chr8	126589895	126590443	+	0.000	0.000	Merged-chr8-126590193-39
Merged-chr3-110237674-1	chr3	110237576	110237774	+	0.000	0.000	Merged-chr3-110237674-1
Merged-chr2-77088171-1	chr2	77088073	77088271	+	0.000	0.000	Merged-chr2-77088171-1
Merged-chr17-31073520-38	chr17	31073331	31073750	+	0.000	0.000	Merged-chr17-31073520-38
Merged-chr5-65795420-10	chr5	65795067	65795719	+	0.000	0.000	Merged-chr5-65795420-10
Merged-chr5-33274720-134	chr5	33274177	33275349	+	0.000	0.000	Merged-chr5-33274720-134
Merged-chr1-164073445-60	chr1	164072779	164074108	+	0.000	0.000	Merged-chr1-164073445-60
Merged-chr15-86051383-21	chr15	86051213	86051609	+	0.000	0.000	Merged-chr15-86051383-21
Merged-chr5-65737481-18	chr5	65737288	65737673	+	0.000	0.000	Merged-chr5-65737481-18
Merged-chr6-48047519-4	chr6	48047304	48047794	+	0.000	0.000	Merged-chr6-48047519-4
Merged-chr11-3171956-1	chr11	3171858	3172056	+	0.000	0.000	Merged-chr11-3171956-1
Merged-chr3-68789660-34	chr3	68789280	68789849	+	0.000	0.000	Merged-chr3-68789660-34
Merged-chr11-115581536-6	chr11	115581331	115581809	+	0.000	0.000	Merged-chr11-115581536-6
Merged-chr2-170104329-52	chr2	170103806	170104872	+	0.000	0.000	Merged-chr2-170104329-52
Merged-chr8-128357359-22	chr8	128357209	128357557	+	0.000	0.000	Merged-chr8-128357359-22
Merged-chr14-57746158-94	chr14	57745637	57746566	+	0.000	0.000	Merged-chr14-57746158-94
Merged-chr4-33073054-38	chr4	33072859	33073264	+	0.000	0.000	Merged-chr4-33073054-38
Merged-chr14-31206647-90	chr14	31205369	31207133	+	0.000	0.000	Merged-chr14-31206647-90
Merged-chr10-60168777-18	chr10	60168380	60169102	+	0.000	0.000	Merged-chr10-60168777-18
Merged-chr17-26012151-57	chr17	26011984	26012343	+	0.000	0.000	Merged-chr17-26012151-57
Merged-chr11-100804708-41	chr11	100804506	100804936	+	0.000	0.000	Merged-chr11-100804708-41
Merged-chr1-127212449-14	chr1	127212271	127212640	+	0.000	0.000	Merged-chr1-127212449-14
Merged-chr9-57439925-69	chr9	57439629	57440225	+	0.000	0.000	Merged-chr9-57439925-69
Merged-chr4-3834595-1	chr4	3834497	3834695	+	0.000	0.000	Merged-chr4-3834595-1
Merged-chr15-93514141-31	chr15	93513938	93514294	+	0.000	0.000	Merged-chr15-93514141-31
Merged-chr18-49982392-61	chr18	49982096	49982738	+	0.000	0.000	Merged-chr18-49982392-61
Merged-chr7-3707175-8	chr7	3707035	3707324	+	0.000	0.000	Merged-chr7-3707175-8
Merged-chr5-65823803-13	chr5	65823529	65824007	+	0.000	0.000	Merged-chr5-65823803-13
Merged-chr3-52269240-36	chr3	52268867	52269644	+	0.000	0.000	Merged-chr3-52269240-36
Merged-chr1-106758978-1	chr1	106758880	106759078	+	0.000	0.000	Merged-chr1-106758978-1
Merged-chr16-76416397-52	chr16	76416039	76416774	+	0.000	0.000	Merged-chr16-76416397-52
Merged-chr19-57361016-100	chr19	57360537	57361336	+	0.000	0.000	Merged-chr19-57361016-100
Merged-chr2-61593525-121	chr2	61593246	61593763	+	0.000	0.000	Merged-chr2-61593525-121
Merged-chr5-72916932-38	chr5	72916677	72917140	+	0.000	0.000	Merged-chr5-72916932-38
Merged-chr10-116487356-53	chr10	116487061	116487701	+	0.000	0.000	Merged-chr10-116487356-53
Merged-chr19-53908307-4	chr19	53908185	53908427	+	0.000	0.000	Merged-chr19-53908307-4
Merged-chr4-6882868-33	chr4	6882683	6883141	+	0.000	0.000	Merged-chr4-6882868-33
Merged-chr6-129241948-1	chr6	129241850	129242048	+	0.000	0.000	Merged-chr6-129241948-1
Merged-chr4-137836034-23	chr4	137835810	137836220	+	0.000	0.000	Merged-chr4-137836034-23
Merged-chr9-67851346-1	chr9	67851248	67851446	+	0.000	0.000	Merged-chr9-67851346-1
Merged-chr6-146514748-15	chr6	146514609	146514896	+	0.000	0.000	Merged-chr6-146514748-15
Merged-chr10-127667397-147	chr10	127666524	127668060	+	0.000	0.000	Merged-chr10-127667397-147
Merged-chr8-4323840-1	chr8	4323742	4323940	+	0.000	0.000	Merged-chr8-4323840-1
Merged-chrX-167330775-21	chrX	167330355	167331218	+	0.000	0.000	Merged-chrX-167330775-21
Merged-chr2-109154178-1	chr2	109154080	109154278	+	0.000	0.000	Merged-chr2-109154178-1
Merged-chr1-128830861-23	chr1	128830689	128831021	+	0.000	0.000	Merged-chr1-128830861-23
Merged-chr4-155161514-2	chr4	155161415	155161616	+	0.000	0.000	Merged-chr4-155161514-2
Merged-chr2-6396232-31	chr2	6396006	6396491	+	0.000	0.000	Merged-chr2-6396232-31
Merged-chr1-179233223-1	chr1	179233125	179233323	+	0.000	0.000	Merged-chr1-179233223-1
Merged-chr2-6462544-11	chr2	6462341	6462726	+	0.000	0.000	Merged-chr2-6462544-11
Merged-chr12-103348740-28	chr12	103348485	103348930	+	0.000	0.000	Merged-chr12-103348740-28
Merged-chr13-92274719-16	chr13	92274531	92274928	+	0.000	0.000	Merged-chr13-92274719-16
Merged-chr18-64476957-10	chr18	64476780	64477110	+	0.000	0.000	Merged-chr18-64476957-10
Merged-chr13-112425641-6	chr13	112425504	112425780	+	0.000	0.000	Merged-chr13-112425641-6
Merged-chr10-127666111-5	chr10	127665808	127666437	+	0.000	0.000	Merged-chr10-127666111-5
Merged-chr1-131280429-28	chr1	131280248	131280640	+	0.000	0.000	Merged-chr1-131280429-28
Merged-chr1-164078589-50	chr1	164078133	164079064	+	0.000	0.000	Merged-chr1-164078589-50
Merged-chr9-123252996-28	chr9	123252812	123253223	+	0.000	0.000	Merged-chr9-123252996-28
Merged-chr15-58822902-4	chr15	58822781	58823022	+	0.000	0.000	Merged-chr15-58822902-4
Merged-chr1-164071322-8	chr1	164071126	164071544	+	0.000	0.000	Merged-chr1-164071322-8
Merged-chr9-77917676-88	chr9	77917170	77917996	+	0.000	0.000	Merged-chr9-77917676-88
Merged-chr1-155196106-8	chr1	155195925	155196236	+	0.000	0.000	Merged-chr1-155196106-8
Merged-chr7-143784213-40	chr7	143783990	143784473	+	0.000	0.000	Merged-chr7-143784213-40
Merged-chr8-122299759-10	chr8	122299577	122299971	+	0.000	0.000	Merged-chr8-122299759-10
Merged-chr13-109012483-1	chr13	109012385	109012583	+	0.000	0.000	Merged-chr13-109012483-1
Merged-chr12-80211304-22	chr12	80210887	80211602	+	0.000	0.000	Merged-chr12-80211304-22
Merged-chr10-14042980-37	chr10	14042638	14043373	+	0.000	0.000	Merged-chr10-14042980-37
Merged-chr18-53418017-24	chr18	53417772	53418322	+	0.000	0.000	Merged-chr18-53418017-24
Merged-chr2-112501406-34	chr2	112501215	112501596	+	0.000	0.000	Merged-chr2-112501406-34
Merged-chr1-165736327-32	chr1	165736034	165736585	+	0.000	0.000	Merged-chr1-165736327-32
Merged-chr3-101056914-14	chr3	101056712	101057186	+	0.000	0.000	Merged-chr3-101056914-14
Merged-chr4-53915467-55	chr4	53915212	53915697	+	0.000	0.000	Merged-chr4-53915467-55
Merged-chr5-105609798-27	chr5	105609548	105610091	+	0.000	0.000	Merged-chr5-105609798-27
Merged-chr15-76091607-23	chr15	76091284	76091849	+	0.000	0.000	Merged-chr15-76091607-23
Merged-chr9-66680312-15	chr9	66680126	66680543	+	0.000	0.000	Merged-chr9-66680312-15
Merged-chr4-154160768-60	chr4	154160464	154161063	+	0.000	0.000	Merged-chr4-154160768-60
Merged-chr18-35850892-1	chr18	35850794	35850992	+	0.000	0.000	Merged-chr18-35850892-1
Merged-chrX-57185087-24	chrX	57184928	57185294	+	0.000	0.000	Merged-chrX-57185087-24
Merged-chr12-16136516-15	chr12	16136323	16136710	+	0.000	0.000	Merged-chr12-16136516-15
Merged-chr9-40997373-39	chr9	40997185	40997565	+	0.000	0.000	Merged-chr9-40997373-39
Merged-chr2-32404879-13	chr2	32404677	32405066	+	0.000	0.000	Merged-chr2-32404879-13
Merged-chr13-109238092-3	chr13	109237984	109238202	+	0.000	0.000	Merged-chr13-109238092-3
Merged-chr15-102517077-26	chr15	102516866	102517294	+	0.000	0.000	Merged-chr15-102517077-26
Merged-chr1-16681328-5	chr1	16681195	16681478	+	0.000	0.000	Merged-chr1-16681328-5
Merged-chr12-8842561-54	chr12	8842234	8842902	+	0.000	0.000	Merged-chr12-8842561-54
Merged-chr5-75690095-1	chr5	75689997	75690195	+	0.000	0.000	Merged-chr5-75690095-1
Merged-chr6-99252101-10	chr6	99251928	99252330	+	0.000	0.000	Merged-chr6-99252101-10
Merged-chr13-5165962-1	chr13	5165864	5166062	+	0.000	0.000	Merged-chr13-5165962-1
Merged-chr9-61914606-58	chr9	61914358	61914937	+	0.000	0.000	Merged-chr9-61914606-58
Merged-chr4-6834506-4	chr4	6834359	6834645	+	0.000	0.000	Merged-chr4-6834506-4
Merged-chr16-3926775-6	chr16	3926565	3926940	+	0.000	0.000	Merged-chr16-3926775-6
Merged-chr4-106911320-71	chr4	106910817	106911804	+	0.000	0.000	Merged-chr4-106911320-71
Merged-chr17-32951665-11	chr17	32951466	32951880	+	0.000	0.000	Merged-chr17-32951665-11
Merged-chr11-4135322-68	chr11	4135057	4135598	+	0.000	0.000	Merged-chr11-4135322-68
Merged-chr4-137854724-3	chr4	137854609	137854849	+	0.000	0.000	Merged-chr4-137854724-3
Merged-chr11-116377399-54	chr11	116377138	116377736	+	0.000	0.000	Merged-chr11-116377399-54
Merged-chr9-70502820-1	chr9	70502722	70502920	+	0.000	0.000	Merged-chr9-70502820-1
