#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_II--ATAC_peaks.bed all.df.numx.c5-WT_Th1_vs_Naive.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-WT_Th1_vs_Naive.dn.bed
Merged-chr14-56571782-54	chr14	56571508	56571967	+	0.000	0.000	Merged-chr14-56571782-54
Merged-chr19-10880366-39	chr19	10880095	10880703	+	0.000	0.000	Merged-chr19-10880366-39
Merged-chr10-21911694-25	chr10	21911493	21911883	+	0.000	0.000	Merged-chr10-21911694-25
Merged-chr1-120264126-1	chr1	120264028	120264226	+	0.000	0.000	Merged-chr1-120264126-1
Merged-chr10-63338197-1	chr10	63338099	63338297	+	0.000	0.000	Merged-chr10-63338197-1
Merged-chr9-123756943-6	chr9	123756798	123757078	+	0.000	0.000	Merged-chr9-123756943-6
Merged-chr13-13531086-27	chr13	13530865	13531300	+	0.000	0.000	Merged-chr13-13531086-27
Merged-chr6-54216714-19	chr6	54216520	54216890	+	0.000	0.000	Merged-chr6-54216714-19
Merged-chr13-24761752-82	chr13	24761499	24762027	+	0.000	0.000	Merged-chr13-24761752-82
Merged-chr12-16507679-4	chr12	16507435	16507883	+	0.000	0.000	Merged-chr12-16507679-4
Merged-chr10-17919848-1	chr10	17919750	17919948	+	0.000	0.000	Merged-chr10-17919848-1
Merged-chr2-92055769-38	chr2	92055431	92056211	+	0.000	0.000	Merged-chr2-92055769-38
Merged-chr7-30121893-58	chr7	30121658	30122120	+	0.000	0.000	Merged-chr7-30121893-58
Merged-chr8-33897306-17	chr8	33897117	33897544	+	0.000	0.000	Merged-chr8-33897306-17
Merged-chr4-145236206-52	chr4	145235956	145236502	+	0.000	0.000	Merged-chr4-145236206-52
Merged-chr6-66896636-91	chr6	66896288	66897035	+	0.000	0.000	Merged-chr6-66896636-91
Merged-chr4-62525171-62	chr4	62524939	62525381	+	0.000	0.000	Merged-chr4-62525171-62
Merged-chr2-127890802-7	chr2	127890616	127890997	+	0.000	0.000	Merged-chr2-127890802-7
Merged-chr18-56469309-53	chr18	56469014	56469689	+	0.000	0.000	Merged-chr18-56469309-53
Merged-chr13-63356812-11	chr13	63356625	63356981	+	0.000	0.000	Merged-chr13-63356812-11
Merged-chr1-85986038-7	chr1	85985839	85986220	+	0.000	0.000	Merged-chr1-85986038-7
Merged-chr10-77622334-58	chr10	77622071	77622794	+	0.000	0.000	Merged-chr10-77622334-58
Merged-chr6-66898231-1	chr6	66898133	66898331	+	0.000	0.000	Merged-chr6-66898231-1
Merged-chr18-70644482-115	chr18	70644235	70645045	+	0.000	0.000	Merged-chr18-70644482-115
Merged-chrX-93632081-74	chrX	93631703	93632474	+	0.000	0.000	Merged-chrX-93632081-74
Merged-chr17-47508113-61	chr17	47507853	47508323	+	0.000	0.000	Merged-chr17-47508113-61
Merged-chr17-5887399-51	chr17	5886941	5887678	+	0.000	0.000	Merged-chr17-5887399-51
Merged-chr5-140215756-33	chr5	140215542	140216120	+	0.000	0.000	Merged-chr5-140215756-33
Merged-chr12-32212935-7	chr12	32212792	32213100	+	0.000	0.000	Merged-chr12-32212935-7
Merged-chr4-103109726-1	chr4	103109628	103109826	+	0.000	0.000	Merged-chr4-103109726-1
Merged-chr2-155518074-63	chr2	155517869	155518363	+	0.000	0.000	Merged-chr2-155518074-63
Merged-chr4-133614553-6	chr4	133614391	133614681	+	0.000	0.000	Merged-chr4-133614553-6
Merged-chr7-80115240-64	chr7	80114974	80115442	+	0.000	0.000	Merged-chr7-80115240-64
Merged-chr17-12741706-44	chr17	12741295	12742340	+	0.000	0.000	Merged-chr17-12741706-44
Merged-chr19-10183021-72	chr19	10182556	10183273	+	0.000	0.000	Merged-chr19-10183021-72
Merged-chr13-35742422-1	chr13	35742324	35742522	+	0.000	0.000	Merged-chr13-35742422-1
Merged-chr18-56413005-50	chr18	56412809	56413314	+	0.000	0.000	Merged-chr18-56413005-50
Merged-chr17-29264893-3	chr17	29264628	29265138	+	0.000	0.000	Merged-chr17-29264893-3
Merged-chr8-124260405-50	chr8	124260179	124260635	+	0.000	0.000	Merged-chr8-124260405-50
Merged-chr3-89449086-1	chr3	89448988	89449186	+	0.000	0.000	Merged-chr3-89449086-1
Merged-chr15-93007766-3	chr15	93007557	93007930	+	0.000	0.000	Merged-chr15-93007766-3
Merged-chr10-118064945-40	chr10	118064685	118065185	+	0.000	0.000	Merged-chr10-118064945-40
Merged-chr15-97839672-4	chr15	97839568	97839778	+	0.000	0.000	Merged-chr15-97839672-4
Merged-chr10-92875569-1	chr10	92875471	92875669	+	0.000	0.000	Merged-chr10-92875569-1
Merged-chr12-73581050-7	chr12	73580886	73581240	+	0.000	0.000	Merged-chr12-73581050-7
Merged-chr6-125339380-7	chr6	125339113	125339597	+	0.000	0.000	Merged-chr6-125339380-7
Merged-chr7-90312520-23	chr7	90312312	90312739	+	0.000	0.000	Merged-chr7-90312520-23
Merged-chr5-134617307-27	chr5	134617034	134617522	+	0.000	0.000	Merged-chr5-134617307-27
Merged-chr6-113668955-38	chr6	113668782	113669164	+	0.000	0.000	Merged-chr6-113668955-38
Merged-chr10-40125408-12	chr10	40125261	40125558	+	0.000	0.000	Merged-chr10-40125408-12
Merged-chrX-137015463-27	chrX	137015321	137015638	+	0.000	0.000	Merged-chrX-137015463-27
Merged-chr6-128833233-10	chr6	128833004	128833454	+	0.000	0.000	Merged-chr6-128833233-10
Merged-chr11-101177169-3	chr11	101176990	101177310	+	0.000	0.000	Merged-chr11-101177169-3
Merged-chr6-50455825-117	chr6	50455647	50456032	+	0.000	0.000	Merged-chr6-50455825-117
Merged-chr10-111540029-37	chr10	111539821	111540264	+	0.000	0.000	Merged-chr10-111540029-37
Merged-chr1-161660991-11	chr1	161660816	161661269	+	0.000	0.000	Merged-chr1-161660991-11
Merged-chr8-105827361-75	chr8	105827076	105827601	+	0.000	0.000	Merged-chr8-105827361-75
Merged-chr7-67500556-27	chr7	67500369	67500730	+	0.000	0.000	Merged-chr7-67500556-27
Merged-chr8-33930121-50	chr8	33929274	33930762	+	0.000	0.000	Merged-chr8-33930121-50
Merged-chr15-80618075-3	chr15	80617868	80618247	+	0.000	0.000	Merged-chr15-80618075-3
Merged-chr6-48727965-52	chr6	48727753	48728210	+	0.000	0.000	Merged-chr6-48727965-52
Merged-chr7-19920835-87	chr7	19920413	19921163	+	0.000	0.000	Merged-chr7-19920835-87
Merged-chr13-53069490-8	chr13	53069292	53069694	+	0.000	0.000	Merged-chr13-53069490-8
Merged-chr8-122432955-76	chr8	122432606	122433297	+	0.000	0.000	Merged-chr8-122432955-76
Merged-chr8-33594381-37	chr8	33594117	33594686	+	0.000	0.000	Merged-chr8-33594381-37
Merged-chr7-105553808-1	chr7	105553710	105553908	+	0.000	0.000	Merged-chr7-105553808-1
Merged-chr1-193231215-10	chr1	193230987	193231524	+	0.000	0.000	Merged-chr1-193231215-10
Merged-chr18-70611498-71	chr18	70610234	70612257	+	0.000	0.000	Merged-chr18-70611498-71
Merged-chr11-106329913-15	chr11	106329654	106330096	+	0.000	0.000	Merged-chr11-106329913-15
Merged-chr19-5845664-115	chr19	5845213	5846160	+	0.000	0.000	Merged-chr19-5845664-115
Merged-chr7-63985848-27	chr7	63985386	63986415	+	0.000	0.000	Merged-chr7-63985848-27
Merged-chr5-23712510-79	chr5	23712184	23712913	+	0.000	0.000	Merged-chr5-23712510-79
Merged-chr1-43465147-57	chr1	43464840	43465603	+	0.000	0.000	Merged-chr1-43465147-57
Merged-chr2-167689841-24	chr2	167689569	167690096	+	0.000	0.000	Merged-chr2-167689841-24
Merged-chr5-8996139-2	chr5	8996010	8996270	+	0.000	0.000	Merged-chr5-8996139-2
Merged-chr17-6476977-103	chr17	6476726	6477266	+	0.000	0.000	Merged-chr17-6476977-103
Merged-chr5-124050362-25	chr5	124050036	124050634	+	0.000	0.000	Merged-chr5-124050362-25
Merged-chr7-88318550-2	chr7	88318387	88318716	+	0.000	0.000	Merged-chr7-88318550-2
Merged-chr4-15266515-5	chr4	15266352	15266678	+	0.000	0.000	Merged-chr4-15266515-5
Merged-chr1-151572860-7	chr1	151572673	151573027	+	0.000	0.000	Merged-chr1-151572860-7
Merged-chr10-80622471-84	chr10	80622206	80622786	+	0.000	0.000	Merged-chr10-80622471-84
Merged-chr7-28598236-46	chr7	28598026	28598440	+	0.000	0.000	Merged-chr7-28598236-46
Merged-chr2-32488884-4	chr2	32488712	32489044	+	0.000	0.000	Merged-chr2-32488884-4
Merged-chr15-31264963-30	chr15	31264691	31265216	+	0.000	0.000	Merged-chr15-31264963-30
Merged-chr8-83612196-3	chr8	83612024	83612342	+	0.000	0.000	Merged-chr8-83612196-3
Merged-chr16-64647871-24	chr16	64647595	64648103	+	0.000	0.000	Merged-chr16-64647871-24
Merged-chr10-40090254-8	chr10	40090006	40090456	+	0.000	0.000	Merged-chr10-40090254-8
Merged-chr10-111506860-100	chr10	111506307	111507288	+	0.000	0.000	Merged-chr10-111506860-100
Merged-chr2-120094273-12	chr2	120094104	120094452	+	0.000	0.000	Merged-chr2-120094273-12
Merged-chr1-97661478-143	chr1	97661292	97661722	+	0.000	0.000	Merged-chr1-97661478-143
Merged-chr6-113638545-51	chr6	113638267	113638814	+	0.000	0.000	Merged-chr6-113638545-51
Merged-chr2-60962761-96	chr2	60961870	60963370	+	0.000	0.000	Merged-chr2-60962761-96
Merged-chr19-5956915-3	chr19	5956785	5957043	+	0.000	0.000	Merged-chr19-5956915-3
Merged-chr4-133650284-39	chr4	133650050	133650463	+	0.000	0.000	Merged-chr4-133650284-39
Merged-chr9-80342809-3	chr9	80342682	80342926	+	0.000	0.000	Merged-chr9-80342809-3
Merged-chr9-124067880-5	chr9	124067711	124068042	+	0.000	0.000	Merged-chr9-124067880-5
Merged-chr11-51644413-4	chr11	51644268	51644586	+	0.000	0.000	Merged-chr11-51644413-4
Merged-chr12-44209268-1	chr12	44209170	44209368	+	0.000	0.000	Merged-chr12-44209268-1
Merged-chrX-155318155-23	chrX	155317787	155318388	+	0.000	0.000	Merged-chrX-155318155-23
Merged-chr17-78201696-9	chr17	78201296	78202023	+	0.000	0.000	Merged-chr17-78201696-9
Merged-chrX-48695019-50	chrX	48694773	48695328	+	0.000	0.000	Merged-chrX-48695019-50
Merged-chr12-73671742-5	chr12	73671621	73671874	+	0.000	0.000	Merged-chr12-73671742-5
Merged-chr6-88898670-52	chr6	88898491	88898915	+	0.000	0.000	Merged-chr6-88898670-52
Merged-chr18-56473376-5	chr18	56473194	56473537	+	0.000	0.000	Merged-chr18-56473376-5
Merged-chr2-25228680-45	chr2	25228531	25228867	+	0.000	0.000	Merged-chr2-25228680-45
Merged-chr19-5894144-44	chr19	5893790	5894425	+	0.000	0.000	Merged-chr19-5894144-44
Merged-chr10-83096825-2	chr10	83096725	83096928	+	0.000	0.000	Merged-chr10-83096825-2
Merged-chr4-59132766-28	chr4	59132435	59133086	+	0.000	0.000	Merged-chr4-59132766-28
Merged-chr2-103744124-20	chr2	103743921	103744320	+	0.000	0.000	Merged-chr2-103744124-20
Merged-chr13-12521905-15	chr13	12521724	12522068	+	0.000	0.000	Merged-chr13-12521905-15
Merged-chr3-19311257-112	chr3	19310867	19311779	+	0.000	0.000	Merged-chr3-19311257-112
Merged-chr6-97420267-23	chr6	97420115	97420433	+	0.000	0.000	Merged-chr6-97420267-23
Merged-chr8-117049781-1	chr8	117049683	117049881	+	0.000	0.000	Merged-chr8-117049781-1
Merged-chr18-56470742-72	chr18	56469959	56471196	+	0.000	0.000	Merged-chr18-56470742-72
Merged-chr1-193273386-37	chr1	193273057	193273654	+	0.000	0.000	Merged-chr1-193273386-37
Merged-chr8-83622470-33	chr8	83622282	83622693	+	0.000	0.000	Merged-chr8-83622470-33
Merged-chr10-77538017-2	chr10	77537908	77538129	+	0.000	0.000	Merged-chr10-77538017-2
Merged-chr8-72136702-59	chr8	72136378	72137042	+	0.000	0.000	Merged-chr8-72136702-59
Merged-chr1-43446070-79	chr1	43445594	43446717	+	0.000	0.000	Merged-chr1-43446070-79
Merged-chr2-165627783-1	chr2	165627685	165627883	+	0.000	0.000	Merged-chr2-165627783-1
Merged-chr13-113615129-71	chr13	113614896	113615663	+	0.000	0.000	Merged-chr13-113615129-71
Merged-chr7-38108497-1	chr7	38108399	38108597	+	0.000	0.000	Merged-chr7-38108497-1
Merged-chr2-165326643-68	chr2	165326384	165326879	+	0.000	0.000	Merged-chr2-165326643-68
Merged-chr10-69352731-93	chr10	69352191	69353105	+	0.000	0.000	Merged-chr10-69352731-93
Merged-chr15-55852907-4	chr15	55852785	55853040	+	0.000	0.000	Merged-chr15-55852907-4
Merged-chr2-80580102-1	chr2	80580004	80580202	+	0.000	0.000	Merged-chr2-80580102-1
Merged-chr11-98939717-1	chr11	98939619	98939817	+	0.000	0.000	Merged-chr11-98939717-1
Merged-chr1-120293929-5	chr1	120293750	120294122	+	0.000	0.000	Merged-chr1-120293929-5
Merged-chr13-113869470-43	chr13	113869261	113869691	+	0.000	0.000	Merged-chr13-113869470-43
Merged-chr5-140282986-2	chr5	140282835	140283140	+	0.000	0.000	Merged-chr5-140282986-2
Merged-chr10-61306308-35	chr10	61306111	61306510	+	0.000	0.000	Merged-chr10-61306308-35
Merged-chr17-32423515-5	chr17	32423368	32423686	+	0.000	0.000	Merged-chr17-32423515-5
Merged-chr7-90349289-16	chr7	90349096	90349481	+	0.000	0.000	Merged-chr7-90349289-16
Merged-chr7-66109972-161	chr7	66108849	66110970	+	0.000	0.000	Merged-chr7-66109972-161
Merged-chr11-11765633-10	chr11	11765450	11765811	+	0.000	0.000	Merged-chr11-11765633-10
Merged-chr6-86669328-55	chr6	86669125	86669545	+	0.000	0.000	Merged-chr6-86669328-55
Merged-chr7-142387008-11	chr7	142386745	142387243	+	0.000	0.000	Merged-chr7-142387008-11
Merged-chr9-94254804-1	chr9	94254706	94254904	+	0.000	0.000	Merged-chr9-94254804-1
Merged-chr11-69334171-1	chr11	69334073	69334271	+	0.000	0.000	Merged-chr11-69334171-1
Merged-chr13-12349518-23	chr13	12349224	12349772	+	0.000	0.000	Merged-chr13-12349518-23
Merged-chr6-97447180-22	chr6	97446880	97447466	+	0.000	0.000	Merged-chr6-97447180-22
Merged-chr6-86671060-1	chr6	86670962	86671160	+	0.000	0.000	Merged-chr6-86671060-1
Merged-chr13-63411317-71	chr13	63410964	63411579	+	0.000	0.000	Merged-chr13-63411317-71
Merged-chr2-163697861-1	chr2	163697763	163697961	+	0.000	0.000	Merged-chr2-163697861-1
Merged-chr2-60904375-31	chr2	60904157	60904704	+	0.000	0.000	Merged-chr2-60904375-31
Merged-chr15-31258443-11	chr15	31258209	31258746	+	0.000	0.000	Merged-chr15-31258443-11
Merged-chr15-34306839-46	chr15	34306616	34307092	+	0.000	0.000	Merged-chr15-34306839-46
Merged-chr16-32277767-74	chr16	32277451	32278145	+	0.000	0.000	Merged-chr16-32277767-74
Merged-chr4-15504943-2	chr4	15504817	15505071	+	0.000	0.000	Merged-chr4-15504943-2
Merged-chr1-151706249-27	chr1	151705994	151706509	+	0.000	0.000	Merged-chr1-151706249-27
Merged-chr3-96220544-108	chr3	96220356	96220757	+	0.000	0.000	Merged-chr3-96220544-108
Merged-chr10-40192592-2	chr10	40192444	40192743	+	0.000	0.000	Merged-chr10-40192592-2
Merged-chr2-121511602-35	chr2	121511396	121511789	+	0.000	0.000	Merged-chr2-121511602-35
Merged-chr4-145268299-20	chr4	145268057	145268549	+	0.000	0.000	Merged-chr4-145268299-20
Merged-chr9-21723653-9	chr9	21723415	21723817	+	0.000	0.000	Merged-chr9-21723653-9
Merged-chr3-19310528-16	chr3	19310079	19310756	+	0.000	0.000	Merged-chr3-19310528-16
Merged-chr18-89326061-22	chr18	89325822	89326326	+	0.000	0.000	Merged-chr18-89326061-22
Merged-chr7-63938781-167	chr7	63938219	63939434	+	0.000	0.000	Merged-chr7-63938781-167
Merged-chr3-89101941-62	chr3	89101687	89102208	+	0.000	0.000	Merged-chr3-89101941-62
Merged-chr5-21036346-2	chr5	21036242	21036453	+	0.000	0.000	Merged-chr5-21036346-2
Merged-chr5-74276526-10	chr5	74276357	74276661	+	0.000	0.000	Merged-chr5-74276526-10
Merged-chr2-25186459-2	chr2	25186361	25186560	+	0.000	0.000	Merged-chr2-25186459-2
Merged-chr9-83446152-4	chr9	83446001	83446304	+	0.000	0.000	Merged-chr9-83446152-4
Merged-chr13-115230665-32	chr13	115230394	115230907	+	0.000	0.000	Merged-chr13-115230665-32
Merged-chr9-80002927-14	chr9	80002701	80003151	+	0.000	0.000	Merged-chr9-80002927-14
Merged-chr15-80602759-36	chr15	80602511	80602994	+	0.000	0.000	Merged-chr15-80602759-36
Merged-chr3-59277984-20	chr3	59277667	59278270	+	0.000	0.000	Merged-chr3-59277984-20
Merged-chr10-80578821-38	chr10	80578412	80579226	+	0.000	0.000	Merged-chr10-80578821-38
Merged-chr10-54013658-12	chr10	54013418	54013860	+	0.000	0.000	Merged-chr10-54013658-12
Merged-chr2-60866104-15	chr2	60865953	60866352	+	0.000	0.000	Merged-chr2-60866104-15
Merged-chr1-33670063-93	chr1	33669745	33670279	+	0.000	0.000	Merged-chr1-33670063-93
Merged-chr18-71211954-17	chr18	71211703	71212171	+	0.000	0.000	Merged-chr18-71211954-17
Merged-chr2-120154380-93	chr2	120154158	120154855	+	0.000	0.000	Merged-chr2-120154380-93
Merged-chr11-78550738-54	chr11	78550526	78550973	+	0.000	0.000	Merged-chr11-78550738-54
Merged-chr2-32451702-107	chr2	32451322	32452186	+	0.000	0.000	Merged-chr2-32451702-107
Merged-chr4-86612042-62	chr4	86611756	86612303	+	0.000	0.000	Merged-chr4-86612042-62
Merged-chr6-130341255-2	chr6	130341141	130341372	+	0.000	0.000	Merged-chr6-130341255-2
Merged-chr12-73712281-1	chr12	73712183	73712381	+	0.000	0.000	Merged-chr12-73712281-1
Merged-chr17-5885650-6	chr17	5885479	5885788	+	0.000	0.000	Merged-chr17-5885650-6
Merged-chr13-12340337-1	chr13	12340239	12340437	+	0.000	0.000	Merged-chr13-12340337-1
Merged-chr14-73143302-64	chr14	73143105	73143513	+	0.000	0.000	Merged-chr14-73143302-64
Merged-chr10-80629091-37	chr10	80628892	80629309	+	0.000	0.000	Merged-chr10-80629091-37
Merged-chr11-98942196-71	chr11	98942005	98942412	+	0.000	0.000	Merged-chr11-98942196-71
Merged-chr13-12340700-65	chr13	12340461	12341064	+	0.000	0.000	Merged-chr13-12340700-65
Merged-chr9-109059231-128	chr9	109058931	109059610	+	0.000	0.000	Merged-chr9-109059231-128
Merged-chrX-101954276-51	chrX	101954026	101954510	+	0.000	0.000	Merged-chrX-101954276-51
Merged-chr8-105965531-1	chr8	105965433	105965631	+	0.000	0.000	Merged-chr8-105965531-1
Merged-chr6-54972195-1	chr6	54972097	54972295	+	0.000	0.000	Merged-chr6-54972195-1
Merged-chr14-73112682-7	chr14	73112482	73112846	+	0.000	0.000	Merged-chr14-73112682-7
Merged-chr8-35375700-12	chr8	35375476	35375919	+	0.000	0.000	Merged-chr8-35375700-12
Merged-chr13-32866696-30	chr13	32866387	32866959	+	0.000	0.000	Merged-chr13-32866696-30
Merged-chr3-116594968-67	chr3	116594736	116595269	+	0.000	0.000	Merged-chr3-116594968-67
Merged-chr5-140208912-49	chr5	140208706	140209163	+	0.000	0.000	Merged-chr5-140208912-49
Merged-chr2-127916886-61	chr2	127916322	127917220	+	0.000	0.000	Merged-chr2-127916886-61
Merged-chr17-29264095-40	chr17	29263784	29264364	+	0.000	0.000	Merged-chr17-29264095-40
Merged-chr14-120478110-142	chr14	120477735	120478392	+	0.000	0.000	Merged-chr14-120478110-142
Merged-chr10-117844432-6	chr10	117844258	117844617	+	0.000	0.000	Merged-chr10-117844432-6
Merged-chr4-57901467-17	chr4	57901261	57901701	+	0.000	0.000	Merged-chr4-57901467-17
Merged-chr1-161707270-12	chr1	161707102	161707453	+	0.000	0.000	Merged-chr1-161707270-12
Merged-chr16-46006437-28	chr16	46006294	46006750	+	0.000	0.000	Merged-chr16-46006437-28
Merged-chr6-57824845-81	chr6	57824550	57825127	+	0.000	0.000	Merged-chr6-57824845-81
Merged-chr12-73626625-1	chr12	73626527	73626725	+	0.000	0.000	Merged-chr12-73626625-1
Merged-chr7-89338758-74	chr7	89338488	89339014	+	0.000	0.000	Merged-chr7-89338758-74
Merged-chr1-130522626-12	chr1	130522411	130522842	+	0.000	0.000	Merged-chr1-130522626-12
Merged-chr16-64851941-100	chr16	64851391	64852349	+	0.000	0.000	Merged-chr16-64851941-100
Merged-chr17-35727200-6	chr17	35727022	35727385	+	0.000	0.000	Merged-chr17-35727200-6
Merged-chr13-23763739-41	chr13	23763476	23764077	+	0.000	0.000	Merged-chr13-23763739-41
Merged-chr13-33005360-1	chr13	33005262	33005460	+	0.000	0.000	Merged-chr13-33005360-1
Merged-chr6-128854319-31	chr6	128854071	128854548	+	0.000	0.000	Merged-chr6-128854319-31
Merged-chr3-89485247-8	chr3	89484992	89485389	+	0.000	0.000	Merged-chr3-89485247-8
Merged-chr8-124240854-3	chr8	124240747	124240966	+	0.000	0.000	Merged-chr8-124240854-3
Merged-chr18-70602929-40	chr18	70602150	70603530	+	0.000	0.000	Merged-chr18-70602929-40
Merged-chr1-172197316-25	chr1	172197093	172197562	+	0.000	0.000	Merged-chr1-172197316-25
Merged-chr10-81545230-68	chr10	81545029	81545530	+	0.000	0.000	Merged-chr10-81545230-68
Merged-chr5-137787536-7	chr5	137787398	137787670	+	0.000	0.000	Merged-chr5-137787536-7
Merged-chr11-115481768-12	chr11	115481562	115481976	+	0.000	0.000	Merged-chr11-115481768-12
Merged-chr9-44334892-67	chr9	44334534	44335242	+	0.000	0.000	Merged-chr9-44334892-67
Merged-chr12-69413181-34	chr12	69412625	69413673	+	0.000	0.000	Merged-chr12-69413181-34
Merged-chr9-21165207-36	chr9	21164946	21165460	+	0.000	0.000	Merged-chr9-21165207-36
Merged-chr1-43403565-20	chr1	43403389	43403754	+	0.000	0.000	Merged-chr1-43403565-20
Merged-chr12-73686569-2	chr12	73686443	73686697	+	0.000	0.000	Merged-chr12-73686569-2
Merged-chr6-97487837-16	chr6	97487594	97488176	+	0.000	0.000	Merged-chr6-97487837-16
Merged-chr2-158771297-12	chr2	158771127	158771445	+	0.000	0.000	Merged-chr2-158771297-12
Merged-chr1-119675144-21	chr1	119674930	119675382	+	0.000	0.000	Merged-chr1-119675144-21
Merged-chr3-79664975-26	chr3	79664708	79665165	+	0.000	0.000	Merged-chr3-79664975-26
Merged-chr10-92722301-72	chr10	92722001	92722536	+	0.000	0.000	Merged-chr10-92722301-72
Merged-chr6-30896699-63	chr6	30896488	30897023	+	0.000	0.000	Merged-chr6-30896699-63
Merged-chr2-151576034-69	chr2	151575715	151576330	+	0.000	0.000	Merged-chr2-151576034-69
Merged-chr18-24654493-2	chr18	24654358	24654630	+	0.000	0.000	Merged-chr18-24654493-2
Merged-chr12-76596548-12	chr12	76596335	76596742	+	0.000	0.000	Merged-chr12-76596548-12
Merged-chr9-80332405-28	chr9	80332160	80332732	+	0.000	0.000	Merged-chr9-80332405-28
Merged-chr3-79484566-7	chr3	79484382	79484799	+	0.000	0.000	Merged-chr3-79484566-7
Merged-chr16-78490593-70	chr16	78490196	78490936	+	0.000	0.000	Merged-chr16-78490593-70
Merged-chr4-57928066-27	chr4	57927785	57928328	+	0.000	0.000	Merged-chr4-57928066-27
Merged-chr11-75194619-1	chr11	75194521	75194719	+	0.000	0.000	Merged-chr11-75194619-1
Merged-chr12-69372151-137	chr12	69371732	69372497	+	0.000	0.000	Merged-chr12-69372151-137
Merged-chr7-67451602-26	chr7	67451377	67451870	+	0.000	0.000	Merged-chr7-67451602-26
Merged-chr16-15637448-97	chr16	15637257	15637707	+	0.000	0.000	Merged-chr16-15637448-97
Merged-chr18-56469850-1	chr18	56469752	56469950	+	0.000	0.000	Merged-chr18-56469850-1
Merged-chr10-54075073-232	chr10	54073776	54075894	+	0.000	0.000	Merged-chr10-54075073-232
Merged-chr6-129591756-34	chr6	129591505	129591969	+	0.000	0.000	Merged-chr6-129591756-34
Merged-chr10-77537383-119	chr10	77537064	77537845	+	0.000	0.000	Merged-chr10-77537383-119
Merged-chr7-81859257-25	chr7	81859023	81859699	+	0.000	0.000	Merged-chr7-81859257-25
Merged-chr7-63991713-9	chr7	63991487	63991941	+	0.000	0.000	Merged-chr7-63991713-9
Merged-chr13-63394765-12	chr13	63394570	63394946	+	0.000	0.000	Merged-chr13-63394765-12
Merged-chr10-80622970-10	chr10	80622827	80623120	+	0.000	0.000	Merged-chr10-80622970-10
Merged-chr19-5602029-50	chr19	5601827	5602295	+	0.000	0.000	Merged-chr19-5602029-50
Merged-chr2-30784697-21	chr2	30784489	30785002	+	0.000	0.000	Merged-chr2-30784697-21
Merged-chr17-73905403-24	chr17	73905124	73905633	+	0.000	0.000	Merged-chr17-73905403-24
Merged-chr13-13516959-38	chr13	13516729	13517214	+	0.000	0.000	Merged-chr13-13516959-38
Merged-chr8-35208529-7	chr8	35208342	35208688	+	0.000	0.000	Merged-chr8-35208529-7
Merged-chr7-127208983-91	chr7	127208740	127209298	+	0.000	0.000	Merged-chr7-127208983-91
Merged-chr13-12650448-96	chr13	12650130	12650692	+	0.000	0.000	Merged-chr13-12650448-96
Merged-chr13-41485661-1	chr13	41485563	41485761	+	0.000	0.000	Merged-chr13-41485661-1
Merged-chr19-53330209-3	chr19	53330092	53330349	+	0.000	0.000	Merged-chr19-53330209-3
Merged-chr10-54014284-40	chr10	54013883	54014801	+	0.000	0.000	Merged-chr10-54014284-40
Merged-chr7-126272467-83	chr7	126272159	126272789	+	0.000	0.000	Merged-chr7-126272467-83
Merged-chr7-126396755-58	chr7	126396549	126397001	+	0.000	0.000	Merged-chr7-126396755-58
Merged-chr4-57896765-11	chr4	57896390	57897163	+	0.000	0.000	Merged-chr4-57896765-11
Merged-chr2-103703560-39	chr2	103703355	103703842	+	0.000	0.000	Merged-chr2-103703560-39
Merged-chr2-45140740-1	chr2	45140642	45140840	+	0.000	0.000	Merged-chr2-45140740-1
Merged-chr7-112213302-61	chr7	112212919	112213620	+	0.000	0.000	Merged-chr7-112213302-61
Merged-chr8-35205738-9	chr8	35205483	35205933	+	0.000	0.000	Merged-chr8-35205738-9
Merged-chr17-78163485-40	chr17	78163206	78163756	+	0.000	0.000	Merged-chr17-78163485-40
Merged-chr8-83956955-2	chr8	83956851	83957061	+	0.000	0.000	Merged-chr8-83956955-2
Merged-chr17-78087139-42	chr17	78086941	78087296	+	0.000	0.000	Merged-chr17-78087139-42
Merged-chr1-33565999-31	chr1	33565824	33566174	+	0.000	0.000	Merged-chr1-33565999-31
Merged-chr2-18403900-7	chr2	18403704	18404085	+	0.000	0.000	Merged-chr2-18403900-7
Merged-chr7-75848456-56	chr7	75848106	75849008	+	0.000	0.000	Merged-chr7-75848456-56
Merged-chr7-46963434-23	chr7	46963228	46963683	+	0.000	0.000	Merged-chr7-46963434-23
Merged-chr5-107078603-5	chr5	107078478	107078741	+	0.000	0.000	Merged-chr5-107078603-5
Merged-chr7-75781059-14	chr7	75780908	75781292	+	0.000	0.000	Merged-chr7-75781059-14
Merged-chr19-53329659-91	chr19	53329324	53329920	+	0.000	0.000	Merged-chr19-53329659-91
Merged-chr17-33890750-49	chr17	33890551	33890934	+	0.000	0.000	Merged-chr17-33890750-49
Merged-chr10-17947676-130	chr10	17947202	17947983	+	0.000	0.000	Merged-chr10-17947676-130
Merged-chr15-75120360-2	chr15	75120228	75120494	+	0.000	0.000	Merged-chr15-75120360-2
