#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_IV--ATAC_peaks.bed all.df.numx.c5-Bcl6KO_Th1_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-Bcl6KO_Th1_vs_WT_Tfh.up.bed
Merged-chr8-34735280-15	chr8	34735077	34735460	+	0.000	0.000	Merged-chr8-34735280-15
Merged-chr12-85478872-23	chr12	85478553	85479081	+	0.000	0.000	Merged-chr12-85478872-23
Merged-chr1-128830861-23	chr1	128830689	128831021	+	0.000	0.000	Merged-chr1-128830861-23
Merged-chr4-155161514-2	chr4	155161415	155161616	+	0.000	0.000	Merged-chr4-155161514-2
Merged-chr2-6462544-11	chr2	6462341	6462726	+	0.000	0.000	Merged-chr2-6462544-11
Merged-chr13-112425641-6	chr13	112425504	112425780	+	0.000	0.000	Merged-chr13-112425641-6
Merged-chr3-101021313-57	chr3	101020929	101021978	+	0.000	0.000	Merged-chr3-101021313-57
Merged-chr9-123252996-28	chr9	123252812	123253223	+	0.000	0.000	Merged-chr9-123252996-28
Merged-chr19-17296295-2	chr19	17296192	17296400	+	0.000	0.000	Merged-chr19-17296295-2
Merged-chr13-104286151-10	chr13	104285954	104286269	+	0.000	0.000	Merged-chr13-104286151-10
Merged-chr1-155196106-8	chr1	155195925	155196236	+	0.000	0.000	Merged-chr1-155196106-8
Merged-chr16-76449016-10	chr16	76448779	76449220	+	0.000	0.000	Merged-chr16-76449016-10
Merged-chr10-13997476-24	chr10	13997070	13997675	+	0.000	0.000	Merged-chr10-13997476-24
Merged-chr12-80211304-22	chr12	80210887	80211602	+	0.000	0.000	Merged-chr12-80211304-22
Merged-chr4-53915467-55	chr4	53915212	53915697	+	0.000	0.000	Merged-chr4-53915467-55
Merged-chr15-76091607-23	chr15	76091284	76091849	+	0.000	0.000	Merged-chr15-76091607-23
Merged-chr9-66680312-15	chr9	66680126	66680543	+	0.000	0.000	Merged-chr9-66680312-15
Merged-chrX-57185087-24	chrX	57184928	57185294	+	0.000	0.000	Merged-chrX-57185087-24
Merged-chr12-16136516-15	chr12	16136323	16136710	+	0.000	0.000	Merged-chr12-16136516-15
Merged-chr2-140092228-1	chr2	140092130	140092328	+	0.000	0.000	Merged-chr2-140092228-1
Merged-chr1-16681328-5	chr1	16681195	16681478	+	0.000	0.000	Merged-chr1-16681328-5
Merged-chr12-8842561-54	chr12	8842234	8842902	+	0.000	0.000	Merged-chr12-8842561-54
Merged-chr9-61914606-58	chr9	61914358	61914937	+	0.000	0.000	Merged-chr9-61914606-58
Merged-chr4-6834506-4	chr4	6834359	6834645	+	0.000	0.000	Merged-chr4-6834506-4
Merged-chr17-32951665-11	chr17	32951466	32951880	+	0.000	0.000	Merged-chr17-32951665-11
Merged-chr4-137854724-3	chr4	137854609	137854849	+	0.000	0.000	Merged-chr4-137854724-3
Merged-chr11-94601858-52	chr11	94601585	94602175	+	0.000	0.000	Merged-chr11-94601858-52
Merged-chr8-111568252-1	chr8	111568154	111568352	+	0.000	0.000	Merged-chr8-111568252-1
Merged-chr6-48770076-1	chr6	48769978	48770176	+	0.000	0.000	Merged-chr6-48770076-1
Merged-chr15-36282090-18	chr15	36281858	36282352	+	0.000	0.000	Merged-chr15-36282090-18
Merged-chr17-32944718-11	chr17	32944569	32944836	+	0.000	0.000	Merged-chr17-32944718-11
Merged-chr17-6008372-53	chr17	6007965	6008654	+	0.000	0.000	Merged-chr17-6008372-53
Merged-chr1-164974050-5	chr1	164973902	164974206	+	0.000	0.000	Merged-chr1-164974050-5
Merged-chr11-115628140-53	chr11	115627957	115628343	+	0.000	0.000	Merged-chr11-115628140-53
Merged-chr7-99405979-6	chr7	99405799	99406151	+	0.000	0.000	Merged-chr7-99405979-6
Merged-chr16-57391412-52	chr16	57391297	57391531	+	0.000	0.000	Merged-chr16-57391412-52
Merged-chr1-112745403-1	chr1	112745305	112745503	+	0.000	0.000	Merged-chr1-112745403-1
Merged-chr7-143666979-29	chr7	143666815	143667200	+	0.000	0.000	Merged-chr7-143666979-29
Merged-chr7-12978119-80	chr7	12977939	12978486	+	0.000	0.000	Merged-chr7-12978119-80
Merged-chr4-134787167-34	chr4	134786916	134787387	+	0.000	0.000	Merged-chr4-134787167-34
Merged-chr6-99341138-7	chr6	99341031	99341251	+	0.000	0.000	Merged-chr6-99341138-7
Merged-chr10-68280104-14	chr10	68279812	68280373	+	0.000	0.000	Merged-chr10-68280104-14
Merged-chr14-61647853-9	chr14	61647357	61648160	+	0.000	0.000	Merged-chr14-61647853-9
Merged-chr4-130829473-13	chr4	130829262	130829663	+	0.000	0.000	Merged-chr4-130829473-13
Merged-chr19-5818156-38	chr19	5817964	5818333	+	0.000	0.000	Merged-chr19-5818156-38
Merged-chr5-107285752-8	chr5	107285566	107285925	+	0.000	0.000	Merged-chr5-107285752-8
Merged-chr9-107587681-53	chr9	107587477	107587912	+	0.000	0.000	Merged-chr9-107587681-53
Merged-chr6-91509519-24	chr6	91509283	91509830	+	0.000	0.000	Merged-chr6-91509519-24
Merged-chr9-21309354-45	chr9	21309155	21309559	+	0.000	0.000	Merged-chr9-21309354-45
Merged-chr14-52166798-25	chr14	52166594	52167007	+	0.000	0.000	Merged-chr14-52166798-25
Merged-chr4-155151501-1	chr4	155151403	155151601	+	0.000	0.000	Merged-chr4-155151501-1
Merged-chr10-17579420-10	chr10	17579172	17579697	+	0.000	0.000	Merged-chr10-17579420-10
Merged-chr9-65201852-91	chr9	65201323	65202286	+	0.000	0.000	Merged-chr9-65201852-91
Merged-chr11-119267918-49	chr11	119267661	119268174	+	0.000	0.000	Merged-chr11-119267918-49
Merged-chr10-67943690-5	chr10	67943565	67943820	+	0.000	0.000	Merged-chr10-67943690-5
Merged-chr1-128606096-53	chr1	128605805	128606335	+	0.000	0.000	Merged-chr1-128606096-53
Merged-chr10-13965316-115	chr10	13964628	13965983	+	0.000	0.000	Merged-chr10-13965316-115
Merged-chr16-59605623-3	chr16	59605509	59605741	+	0.000	0.000	Merged-chr16-59605623-3
Merged-chr5-64865423-3	chr5	64865304	64865539	+	0.000	0.000	Merged-chr5-64865423-3
Merged-chr2-117313708-68	chr2	117313143	117314245	+	0.000	0.000	Merged-chr2-117313708-68
Merged-chr10-99386107-51	chr10	99385812	99386400	+	0.000	0.000	Merged-chr10-99386107-51
Merged-chr15-101267852-38	chr15	101267507	101268246	+	0.000	0.000	Merged-chr15-101267852-38
Merged-chr2-59326202-1	chr2	59326104	59326302	+	0.000	0.000	Merged-chr2-59326202-1
Merged-chr2-59161148-146	chr2	59160964	59161344	+	0.000	0.000	Merged-chr2-59161148-146
Merged-chr11-119253388-29	chr11	119253144	119253741	+	0.000	0.000	Merged-chr11-119253388-29
Merged-chr12-15981888-31	chr12	15981546	15982120	+	0.000	0.000	Merged-chr12-15981888-31
Merged-chr11-96064642-6	chr11	96064443	96064864	+	0.000	0.000	Merged-chr11-96064642-6
Merged-chr7-51916961-18	chr7	51916755	51917211	+	0.000	0.000	Merged-chr7-51916961-18
Merged-chr1-92130217-1	chr1	92130119	92130317	+	0.000	0.000	Merged-chr1-92130217-1
Merged-chr1-60483081-21	chr1	60482843	60483318	+	0.000	0.000	Merged-chr1-60483081-21
Merged-chr15-76799596-17	chr15	76799445	76799754	+	0.000	0.000	Merged-chr15-76799596-17
Merged-chr7-131469591-22	chr7	131469337	131469895	+	0.000	0.000	Merged-chr7-131469591-22
Merged-chr15-6549135-35	chr15	6548841	6549348	+	0.000	0.000	Merged-chr15-6549135-35
Merged-chr19-36919663-6	chr19	36919518	36919805	+	0.000	0.000	Merged-chr19-36919663-6
Merged-chr6-48048352-72	chr6	48048076	48048781	+	0.000	0.000	Merged-chr6-48048352-72
Merged-chr3-131050062-6	chr3	131049915	131050194	+	0.000	0.000	Merged-chr3-131050062-6
Merged-chr19-57356416-6	chr19	57356256	57356639	+	0.000	0.000	Merged-chr19-57356416-6
Merged-chr12-116177118-24	chr12	116176922	116177328	+	0.000	0.000	Merged-chr12-116177118-24
Merged-chr15-73067607-62	chr15	73067403	73067886	+	0.000	0.000	Merged-chr15-73067607-62
Merged-chr19-5800884-9	chr19	5800452	5801276	+	0.000	0.000	Merged-chr19-5800884-9
Merged-chr2-91083113-36	chr2	91082900	91083341	+	0.000	0.000	Merged-chr2-91083113-36
Merged-chr15-75678935-117	chr15	75678462	75679444	+	0.000	0.000	Merged-chr15-75678935-117
Merged-chr17-46525802-4	chr17	46525685	46525947	+	0.000	0.000	Merged-chr17-46525802-4
Merged-chr6-57581328-81	chr6	57581135	57581537	+	0.000	0.000	Merged-chr6-57581328-81
Merged-chr11-113190697-71	chr11	113190401	113190974	+	0.000	0.000	Merged-chr11-113190697-71
Merged-chr3-52131366-1	chr3	52131268	52131466	+	0.000	0.000	Merged-chr3-52131366-1
Merged-chr19-29196940-3	chr19	29196836	29197044	+	0.000	0.000	Merged-chr19-29196940-3
Merged-chr10-17565414-37	chr10	17565240	17565671	+	0.000	0.000	Merged-chr10-17565414-37
Merged-chr10-13097810-1	chr10	13097712	13097910	+	0.000	0.000	Merged-chr10-13097810-1
Merged-chr1-69537163-1	chr1	69537065	69537263	+	0.000	0.000	Merged-chr1-69537163-1
Merged-chr3-129494383-46	chr3	129494197	129494629	+	0.000	0.000	Merged-chr3-129494383-46
Merged-chr6-41553590-24	chr6	41553353	41553876	+	0.000	0.000	Merged-chr6-41553590-24
Merged-chr7-143008523-86	chr7	143008339	143008798	+	0.000	0.000	Merged-chr7-143008523-86
Merged-chr7-141048528-56	chr7	141048110	141048796	+	0.000	0.000	Merged-chr7-141048528-56
Merged-chr9-66713857-60	chr9	66713427	66714437	+	0.000	0.000	Merged-chr9-66713857-60
Merged-chr13-112443606-16	chr13	112443371	112443801	+	0.000	0.000	Merged-chr13-112443606-16
Merged-chr19-46056669-79	chr19	46056312	46056985	+	0.000	0.000	Merged-chr19-46056669-79
Merged-chr5-107288558-3	chr5	107288328	107288773	+	0.000	0.000	Merged-chr5-107288558-3
Merged-chr17-27652291-8	chr17	27652119	27652480	+	0.000	0.000	Merged-chr17-27652291-8
Merged-chr12-17716127-80	chr12	17715722	17716807	+	0.000	0.000	Merged-chr12-17716127-80
Merged-chr19-46522561-12	chr19	46522360	46522773	+	0.000	0.000	Merged-chr19-46522561-12
Merged-chr9-118488337-36	chr9	118487697	118488776	+	0.000	0.000	Merged-chr9-118488337-36
Merged-chr2-61490220-2	chr2	61490122	61490320	+	0.000	0.000	Merged-chr2-61490220-2
Merged-chr9-25191824-38	chr9	25191617	25192059	+	0.000	0.000	Merged-chr9-25191824-38
Merged-chr1-192528226-2	chr1	192528116	192528339	+	0.000	0.000	Merged-chr1-192528226-2
Merged-chr15-98089164-1	chr15	98089066	98089264	+	0.000	0.000	Merged-chr15-98089164-1
Merged-chr19-5743763-3	chr19	5743647	5743875	+	0.000	0.000	Merged-chr19-5743763-3
Merged-chr8-72189738-56	chr8	72189429	72190048	+	0.000	0.000	Merged-chr8-72189738-56
Merged-chr2-169362509-1	chr2	169362411	169362609	+	0.000	0.000	Merged-chr2-169362509-1
Merged-chr7-112130852-17	chr7	112130610	112131144	+	0.000	0.000	Merged-chr7-112130852-17
Merged-chr2-18935718-26	chr2	18935488	18936033	+	0.000	0.000	Merged-chr2-18935718-26
Merged-chr4-6817535-45	chr4	6817206	6818069	+	0.000	0.000	Merged-chr4-6817535-45
Merged-chr6-48768830-54	chr6	48768507	48769285	+	0.000	0.000	Merged-chr6-48768830-54
Merged-chr9-25186654-66	chr9	25186350	25187092	+	0.000	0.000	Merged-chr9-25186654-66
Merged-chr7-30332139-43	chr7	30331929	30332336	+	0.000	0.000	Merged-chr7-30332139-43
Merged-chr5-103365833-17	chr5	103365700	103365983	+	0.000	0.000	Merged-chr5-103365833-17
Merged-chr16-45204582-16	chr16	45204330	45204781	+	0.000	0.000	Merged-chr16-45204582-16
Merged-chr7-101600630-30	chr7	101600337	101600844	+	0.000	0.000	Merged-chr7-101600630-30
Merged-chr15-61985320-81	chr15	61984852	61985846	+	0.000	0.000	Merged-chr15-61985320-81
Merged-chr16-97462987-69	chr16	97462644	97463215	+	0.000	0.000	Merged-chr16-97462987-69
Merged-chr18-49983163-13	chr18	49982971	49983301	+	0.000	0.000	Merged-chr18-49983163-13
Merged-chr19-46502941-32	chr19	46502538	46503231	+	0.000	0.000	Merged-chr19-46502941-32
Merged-chr5-72635707-35	chr5	72635459	72635922	+	0.000	0.000	Merged-chr5-72635707-35
Merged-chr3-138742542-118	chr3	138741855	138742836	+	0.000	0.000	Merged-chr3-138742542-118
Merged-chr11-3202714-92	chr11	3202235	3203282	+	0.000	0.000	Merged-chr11-3202714-92
Merged-chr12-17553684-1	chr12	17553586	17553784	+	0.000	0.000	Merged-chr12-17553684-1
Merged-chr16-30765396-5	chr16	30765227	30765567	+	0.000	0.000	Merged-chr16-30765396-5
Merged-chr4-44962580-14	chr4	44962421	44962760	+	0.000	0.000	Merged-chr4-44962580-14
Merged-chr6-128764213-62	chr6	128764019	128764391	+	0.000	0.000	Merged-chr6-128764213-62
Merged-chr2-30171735-62	chr2	30171360	30172126	+	0.000	0.000	Merged-chr2-30171735-62
Merged-chr17-33910689-1	chr17	33910591	33910789	+	0.000	0.000	Merged-chr17-33910689-1
Merged-chr4-149889246-22	chr4	149889022	149889525	+	0.000	0.000	Merged-chr4-149889246-22
Merged-chr10-20882813-50	chr10	20882428	20883044	+	0.000	0.000	Merged-chr10-20882813-50
Merged-chr15-99295026-65	chr15	99294785	99295328	+	0.000	0.000	Merged-chr15-99295026-65
Merged-chr3-68793107-6	chr3	68792859	68793356	+	0.000	0.000	Merged-chr3-68793107-6
Merged-chr8-81703996-53	chr8	81703681	81704320	+	0.000	0.000	Merged-chr8-81703996-53
Merged-chr12-16185844-40	chr12	16185475	16186126	+	0.000	0.000	Merged-chr12-16185844-40
Merged-chr15-66862643-3	chr15	66862455	66862820	+	0.000	0.000	Merged-chr15-66862643-3
Merged-chr9-98318602-1	chr9	98318504	98318702	+	0.000	0.000	Merged-chr9-98318602-1
Merged-chr11-20446064-36	chr11	20445773	20446393	+	0.000	0.000	Merged-chr11-20446064-36
Merged-chr17-45488824-86	chr17	45488552	45489182	+	0.000	0.000	Merged-chr17-45488824-86
Merged-chr4-102741499-16	chr4	102741275	102741844	+	0.000	0.000	Merged-chr4-102741499-16
Merged-chr7-122067186-72	chr7	122066763	122067539	+	0.000	0.000	Merged-chr7-122067186-72
Merged-chr1-92069636-27	chr1	92069440	92069884	+	0.000	0.000	Merged-chr1-92069636-27
Merged-chr15-57793258-25	chr15	57793057	57793508	+	0.000	0.000	Merged-chr15-57793258-25
Merged-chr6-59411943-3	chr6	59411790	59412102	+	0.000	0.000	Merged-chr6-59411943-3
Merged-chr10-99206263-19	chr10	99205977	99206470	+	0.000	0.000	Merged-chr10-99206263-19
Merged-chr6-129210550-50	chr6	129210326	129210776	+	0.000	0.000	Merged-chr6-129210550-50
Merged-chr6-124782672-28	chr6	124782516	124782886	+	0.000	0.000	Merged-chr6-124782672-28
Merged-chr12-85702871-4	chr12	85702747	85702994	+	0.000	0.000	Merged-chr12-85702871-4
Merged-chr15-27800406-19	chr15	27799972	27800635	+	0.000	0.000	Merged-chr15-27800406-19
Merged-chr16-92019573-78	chr16	92019212	92019902	+	0.000	0.000	Merged-chr16-92019573-78
Merged-chr19-46502185-13	chr19	46501955	46502490	+	0.000	0.000	Merged-chr19-46502185-13
Merged-chr6-37199705-1	chr6	37199607	37199805	+	0.000	0.000	Merged-chr6-37199705-1
Merged-chr1-181211865-134	chr1	181211300	181212446	+	0.000	0.000	Merged-chr1-181211865-134
Merged-chr2-169428899-3	chr2	169428773	169429041	+	0.000	0.000	Merged-chr2-169428899-3
Merged-chr2-69716741-5	chr2	69716620	69716867	+	0.000	0.000	Merged-chr2-69716741-5
Merged-chr15-53345998-78	chr15	53345556	53346402	+	0.000	0.000	Merged-chr15-53345998-78
Merged-chr15-89671344-3	chr15	89671192	89671489	+	0.000	0.000	Merged-chr15-89671344-3
Merged-chr9-61681164-50	chr9	61680781	61681486	+	0.000	0.000	Merged-chr9-61681164-50
Merged-chr6-115524627-15	chr6	115524406	115524836	+	0.000	0.000	Merged-chr6-115524627-15
Merged-chr1-181229140-10	chr1	181229003	181229298	+	0.000	0.000	Merged-chr1-181229140-10
Merged-chr5-107279533-8	chr5	107279373	107279662	+	0.000	0.000	Merged-chr5-107279533-8
Merged-chr4-150269601-64	chr4	150269248	150270104	+	0.000	0.000	Merged-chr4-150269601-64
Merged-chr10-67537242-130	chr10	67536912	67537716	+	0.000	0.000	Merged-chr10-67537242-130
Merged-chr4-7199356-18	chr4	7199211	7199514	+	0.000	0.000	Merged-chr4-7199356-18
Merged-chr9-108808436-49	chr9	108808199	108808677	+	0.000	0.000	Merged-chr9-108808436-49
Merged-chr2-117389704-2	chr2	117389573	117389837	+	0.000	0.000	Merged-chr2-117389704-2
Merged-chr5-143622364-69	chr5	143622117	143622628	+	0.000	0.000	Merged-chr5-143622364-69
Merged-chr1-138248268-25	chr1	138248064	138248762	+	0.000	0.000	Merged-chr1-138248268-25
Merged-chr11-23819028-15	chr11	23818858	23819184	+	0.000	0.000	Merged-chr11-23819028-15
Merged-chr2-103663378-1	chr2	103663280	103663478	+	0.000	0.000	Merged-chr2-103663378-1
Merged-chr14-7977586-47	chr14	7977268	7977961	+	0.000	0.000	Merged-chr14-7977586-47
Merged-chr10-12888601-47	chr10	12888317	12888831	+	0.000	0.000	Merged-chr10-12888601-47
Merged-chr11-23769883-11	chr11	23769692	23770103	+	0.000	0.000	Merged-chr11-23769883-11
Merged-chr15-93551725-1	chr15	93551627	93551825	+	0.000	0.000	Merged-chr15-93551725-1
Merged-chr19-17339718-30	chr19	17339494	17339963	+	0.000	0.000	Merged-chr19-17339718-30
Merged-chr8-61928211-74	chr8	61927774	61928525	+	0.000	0.000	Merged-chr8-61928211-74
Merged-chr19-11467244-4	chr19	11467046	11467405	+	0.000	0.000	Merged-chr19-11467244-4
Merged-chr11-78697650-94	chr11	78697401	78697922	+	0.000	0.000	Merged-chr11-78697650-94
Merged-chr3-131057396-52	chr3	131057203	131057612	+	0.000	0.000	Merged-chr3-131057396-52
Merged-chr5-122994726-55	chr5	122994453	122994954	+	0.000	0.000	Merged-chr5-122994726-55
Merged-chr16-97419775-1	chr16	97419677	97419875	+	0.000	0.000	Merged-chr16-97419775-1
Merged-chr15-98108579-43	chr15	98108329	98108889	+	0.000	0.000	Merged-chr15-98108579-43
Merged-chr10-12841679-31	chr10	12841228	12842007	+	0.000	0.000	Merged-chr10-12841679-31
Merged-chr10-14087523-10	chr10	14087365	14087720	+	0.000	0.000	Merged-chr10-14087523-10
Merged-chr17-21474499-116	chr17	21473952	21474785	+	0.000	0.000	Merged-chr17-21474499-116
Merged-chr17-74828377-14	chr17	74828143	74828598	+	0.000	0.000	Merged-chr17-74828377-14
Merged-chr11-113058240-2	chr11	113058058	113058425	+	0.000	0.000	Merged-chr11-113058240-2
Merged-chr12-82245636-66	chr12	82245296	82246027	+	0.000	0.000	Merged-chr12-82245636-66
Merged-chr1-128615599-2	chr1	128615475	128615726	+	0.000	0.000	Merged-chr1-128615599-2
Merged-chr5-134269909-65	chr5	134269470	134270144	+	0.000	0.000	Merged-chr5-134269909-65
Merged-chr17-47130071-7	chr17	47129917	47130230	+	0.000	0.000	Merged-chr17-47130071-7
Merged-chr5-34198802-20	chr5	34198587	34198949	+	0.000	0.000	Merged-chr5-34198802-20
Merged-chr5-135616248-16	chr5	135616082	135616391	+	0.000	0.000	Merged-chr5-135616248-16
Merged-chr11-94261974-7	chr11	94261780	94262239	+	0.000	0.000	Merged-chr11-94261974-7
Merged-chr13-92610910-95	chr13	92610527	92611264	+	0.000	0.000	Merged-chr13-92610910-95
Merged-chr1-69692321-35	chr1	69692045	69692628	+	0.000	0.000	Merged-chr1-69692321-35
Merged-chr8-91544199-22	chr8	91544018	91544354	+	0.000	0.000	Merged-chr8-91544199-22
Merged-chr11-6559219-2	chr11	6559115	6559325	+	0.000	0.000	Merged-chr11-6559219-2
Merged-chr1-131828072-77	chr1	131827767	131828338	+	0.000	0.000	Merged-chr1-131828072-77
Merged-chr12-41201974-1	chr12	41201876	41202074	+	0.000	0.000	Merged-chr12-41201974-1
Merged-chr17-73108005-72	chr17	73107681	73108310	+	0.000	0.000	Merged-chr17-73108005-72
Merged-chr14-57729995-40	chr14	57729525	57730516	+	0.000	0.000	Merged-chr14-57729995-40
Merged-chr12-112619914-70	chr12	112619294	112620309	+	0.000	0.000	Merged-chr12-112619914-70
Merged-chr3-97211392-28	chr3	97211162	97211597	+	0.000	0.000	Merged-chr3-97211392-28
Merged-chr11-20543793-3	chr11	20543684	20543915	+	0.000	0.000	Merged-chr11-20543793-3
Merged-chr11-23782249-9	chr11	23782062	23782436	+	0.000	0.000	Merged-chr11-23782249-9
Merged-chr19-29272256-4	chr19	29272013	29272450	+	0.000	0.000	Merged-chr19-29272256-4
Merged-chrX-135009119-100	chrX	135008709	135009378	+	0.000	0.000	Merged-chrX-135009119-100
Merged-chr1-92064482-52	chr1	92064207	92064805	+	0.000	0.000	Merged-chr1-92064482-52
Merged-chr10-80399413-104	chr10	80399217	80399591	+	0.000	0.000	Merged-chr10-80399413-104
Merged-chr2-144637414-14	chr2	144637250	144637580	+	0.000	0.000	Merged-chr2-144637414-14
Merged-chr14-14607297-4	chr14	14607180	14607417	+	0.000	0.000	Merged-chr14-14607297-4
Merged-chr5-147056747-2	chr5	147056630	147056866	+	0.000	0.000	Merged-chr5-147056747-2
Merged-chr3-89688909-16	chr3	89688706	89689070	+	0.000	0.000	Merged-chr3-89688909-16
Merged-chr8-70695540-7	chr8	70695352	70695719	+	0.000	0.000	Merged-chr8-70695540-7
Merged-chr11-69408821-21	chr11	69408664	69408995	+	0.000	0.000	Merged-chr11-69408821-21
Merged-chr6-99378844-2	chr6	99378731	99378960	+	0.000	0.000	Merged-chr6-99378844-2
Merged-chr7-64234604-16	chr7	64234381	64234765	+	0.000	0.000	Merged-chr7-64234604-16
Merged-chr2-28526333-12	chr2	28526172	28526529	+	0.000	0.000	Merged-chr2-28526333-12
Merged-chr4-156013915-55	chr4	156013589	156014479	+	0.000	0.000	Merged-chr4-156013915-55
Merged-chr5-122285036-4	chr5	122284936	122285138	+	0.000	0.000	Merged-chr5-122285036-4
Merged-chr10-121268962-23	chr10	121268752	121269183	+	0.000	0.000	Merged-chr10-121268962-23
Merged-chr4-154376391-42	chr4	154376145	154376675	+	0.000	0.000	Merged-chr4-154376391-42
Merged-chr15-6601704-81	chr15	6601053	6602552	+	0.000	0.000	Merged-chr15-6601704-81
Merged-chr2-59676734-32	chr2	59676512	59677009	+	0.000	0.000	Merged-chr2-59676734-32
Merged-chr15-77733561-52	chr15	77733239	77733848	+	0.000	0.000	Merged-chr15-77733561-52
Merged-chr3-131019630-77	chr3	131019432	131019918	+	0.000	0.000	Merged-chr3-131019630-77
Merged-chr7-99407742-21	chr7	99407476	99407991	+	0.000	0.000	Merged-chr7-99407742-21
Merged-chr18-79080001-30	chr18	79079704	79080424	+	0.000	0.000	Merged-chr18-79080001-30
Merged-chr9-14365673-24	chr9	14365451	14365873	+	0.000	0.000	Merged-chr9-14365673-24
Merged-chr16-76361268-12	chr16	76361108	76361431	+	0.000	0.000	Merged-chr16-76361268-12
Merged-chr5-142935861-2	chr5	142935728	142935997	+	0.000	0.000	Merged-chr5-142935861-2
Merged-chr11-44470413-135	chr11	44470070	44470898	+	0.000	0.000	Merged-chr11-44470413-135
Merged-chr7-79466240-66	chr7	79465997	79466555	+	0.000	0.000	Merged-chr7-79466240-66
Merged-chr12-40459917-13	chr12	40459604	40460203	+	0.000	0.000	Merged-chr12-40459917-13
Merged-chr8-81756964-44	chr8	81756581	81757230	+	0.000	0.000	Merged-chr8-81756964-44
Merged-chr2-103567177-2	chr2	103567079	103567277	+	0.000	0.000	Merged-chr2-103567177-2
Merged-chr7-28382204-35	chr7	28382021	28382457	+	0.000	0.000	Merged-chr7-28382204-35
Merged-chr7-120851847-38	chr7	120851481	120852211	+	0.000	0.000	Merged-chr7-120851847-38
Merged-chr12-82171817-7	chr12	82171559	82172002	+	0.000	0.000	Merged-chr12-82171817-7
Merged-chr2-33371227-82	chr2	33370784	33371599	+	0.000	0.000	Merged-chr2-33371227-82
Merged-chr9-25187350-4	chr9	25187201	25187487	+	0.000	0.000	Merged-chr9-25187350-4
Merged-chr6-147537391-1	chr6	147537293	147537491	+	0.000	0.000	Merged-chr6-147537391-1
Merged-chr11-77216325-91	chr11	77215574	77216906	+	0.000	0.000	Merged-chr11-77216325-91
Merged-chr16-97535153-8	chr16	97534910	97535336	+	0.000	0.000	Merged-chr16-97535153-8
Merged-chr12-103337939-2	chr12	103337759	103338122	+	0.000	0.000	Merged-chr12-103337939-2
Merged-chr11-117970419-1	chr11	117970321	117970519	+	0.000	0.000	Merged-chr11-117970419-1
Merged-chr14-10453327-99	chr14	10453060	10453525	+	0.000	0.000	Merged-chr14-10453327-99
Merged-chr6-129255226-26	chr6	129254980	129255543	+	0.000	0.000	Merged-chr6-129255226-26
Merged-chr3-87387698-10	chr3	87387474	87387895	+	0.000	0.000	Merged-chr3-87387698-10
Merged-chr15-93595950-115	chr15	93595345	93596428	+	0.000	0.000	Merged-chr15-93595950-115
Merged-chr8-81861625-26	chr8	81861430	81861921	+	0.000	0.000	Merged-chr8-81861625-26
Merged-chrX-12134249-2	chrX	12134126	12134375	+	0.000	0.000	Merged-chrX-12134249-2
Merged-chr6-124745799-51	chr6	124745495	124746428	+	0.000	0.000	Merged-chr6-124745799-51
Merged-chr6-6121262-1	chr6	6121164	6121362	+	0.000	0.000	Merged-chr6-6121262-1
Merged-chr3-138867429-26	chr3	138867091	138867701	+	0.000	0.000	Merged-chr3-138867429-26
Merged-chr10-121693287-26	chr10	121693024	121693625	+	0.000	0.000	Merged-chr10-121693287-26
Merged-chr12-82304111-12	chr12	82303935	82304271	+	0.000	0.000	Merged-chr12-82304111-12
Merged-chr12-112618139-25	chr12	112617959	112618327	+	0.000	0.000	Merged-chr12-112618139-25
Merged-chr10-96588454-52	chr10	96588173	96588801	+	0.000	0.000	Merged-chr10-96588454-52
Merged-chr2-132051940-20	chr2	132051726	132052198	+	0.000	0.000	Merged-chr2-132051940-20
Merged-chr2-103658723-12	chr2	103658510	103658872	+	0.000	0.000	Merged-chr2-103658723-12
Merged-chr17-45506965-50	chr17	45506814	45507139	+	0.000	0.000	Merged-chr17-45506965-50
Merged-chr4-155318568-19	chr4	155318434	155318744	+	0.000	0.000	Merged-chr4-155318568-19
Merged-chr10-20991978-8	chr10	20991800	20992195	+	0.000	0.000	Merged-chr10-20991978-8
Merged-chr2-91986276-9	chr2	91986091	91986459	+	0.000	0.000	Merged-chr2-91986276-9
Merged-chr6-134856256-11	chr6	134856052	134856461	+	0.000	0.000	Merged-chr6-134856256-11
Merged-chr2-117433681-2	chr2	117433573	117433791	+	0.000	0.000	Merged-chr2-117433681-2
Merged-chr11-59809767-149	chr11	59809556	59810146	+	0.000	0.000	Merged-chr11-59809767-149
Merged-chr14-120347945-44	chr14	120347623	120348191	+	0.000	0.000	Merged-chr14-120347945-44
Merged-chr2-91948356-2	chr2	91948258	91948456	+	0.000	0.000	Merged-chr2-91948356-2
Merged-chr17-34931482-67	chr17	34931104	34932252	+	0.000	0.000	Merged-chr17-34931482-67
Merged-chr2-122467612-78	chr2	122467302	122467939	+	0.000	0.000	Merged-chr2-122467612-78
Merged-chr1-40290751-7	chr1	40290580	40290985	+	0.000	0.000	Merged-chr1-40290751-7
