#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_II--ATAC_peaks.bed all.df.numx.c5-STAT4_WT_Tfh_vs_Naive.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-STAT4_WT_Tfh_vs_Naive.up.bed
Merged-chr14-120572441-59	chr14	120572155	120572764	+	0.000	0.000	Merged-chr14-120572441-59
Merged-chr5-107725253-4	chr5	107725155	107725353	+	0.000	0.000	Merged-chr5-107725253-4
Merged-chr19-56397625-2	chr19	56397527	56397725	+	0.000	0.000	Merged-chr19-56397625-2
Merged-chr1-153308200-4	chr1	153308066	153308346	+	0.000	0.000	Merged-chr1-153308200-4
Merged-chrX-137015463-27	chrX	137015321	137015638	+	0.000	0.000	Merged-chrX-137015463-27
Merged-chr7-128049060-2	chr7	128048955	128049168	+	0.000	0.000	Merged-chr7-128049060-2
Merged-chr2-30798817-6	chr2	30798696	30798941	+	0.000	0.000	Merged-chr2-30798817-6
Merged-chr3-19319228-45	chr3	19318999	19319557	+	0.000	0.000	Merged-chr3-19319228-45
Merged-chr10-76543066-52	chr10	76542762	76543301	+	0.000	0.000	Merged-chr10-76543066-52
Merged-chr11-101177169-3	chr11	101176990	101177310	+	0.000	0.000	Merged-chr11-101177169-3
Merged-chr1-172289073-4	chr1	172288912	172289269	+	0.000	0.000	Merged-chr1-172289073-4
Merged-chr4-145221845-95	chr4	145221422	145222364	+	0.000	0.000	Merged-chr4-145221845-95
Merged-chr6-8646416-1	chr6	8646318	8646516	+	0.000	0.000	Merged-chr6-8646416-1
Merged-chr10-111540029-37	chr10	111539821	111540264	+	0.000	0.000	Merged-chr10-111540029-37
Merged-chr10-63308966-53	chr10	63308622	63309345	+	0.000	0.000	Merged-chr10-63308966-53
Merged-chr11-5882751-15	chr11	5882600	5882917	+	0.000	0.000	Merged-chr11-5882751-15
Merged-chr15-80618075-3	chr15	80617868	80618247	+	0.000	0.000	Merged-chr15-80618075-3
Merged-chr2-45112966-1	chr2	45112868	45113066	+	0.000	0.000	Merged-chr2-45112966-1
Merged-chr2-144343268-23	chr2	144342944	144343485	+	0.000	0.000	Merged-chr2-144343268-23
Merged-chr7-19920835-87	chr7	19920413	19921163	+	0.000	0.000	Merged-chr7-19920835-87
Merged-chr12-73633909-44	chr12	73633499	73634133	+	0.000	0.000	Merged-chr12-73633909-44
Merged-chr13-53069490-8	chr13	53069292	53069694	+	0.000	0.000	Merged-chr13-53069490-8
Merged-chr18-66429331-35	chr18	66429029	66429632	+	0.000	0.000	Merged-chr18-66429331-35
Merged-chr8-122432955-76	chr8	122432606	122433297	+	0.000	0.000	Merged-chr8-122432955-76
Merged-chr7-105553808-1	chr7	105553710	105553908	+	0.000	0.000	Merged-chr7-105553808-1
Merged-chr19-56397084-121	chr19	56396594	56397405	+	0.000	0.000	Merged-chr19-56397084-121
Merged-chr18-66464965-21	chr18	66464748	66465251	+	0.000	0.000	Merged-chr18-66464965-21
Merged-chr11-106329913-15	chr11	106329654	106330096	+	0.000	0.000	Merged-chr11-106329913-15
Merged-chr16-93884002-62	chr16	93883730	93884246	+	0.000	0.000	Merged-chr16-93884002-62
Merged-chr5-23712510-79	chr5	23712184	23712913	+	0.000	0.000	Merged-chr5-23712510-79
Merged-chr2-3277691-9	chr2	3277496	3277903	+	0.000	0.000	Merged-chr2-3277691-9
Merged-chr2-167689841-24	chr2	167689569	167690096	+	0.000	0.000	Merged-chr2-167689841-24
Merged-chr17-86833009-31	chr17	86832759	86833255	+	0.000	0.000	Merged-chr17-86833009-31
Merged-chr1-171767245-53	chr1	171766911	171767678	+	0.000	0.000	Merged-chr1-171767245-53
Merged-chr3-94379948-32	chr3	94379576	94380276	+	0.000	0.000	Merged-chr3-94379948-32
Merged-chr14-120520145-25	chr14	120519861	120520407	+	0.000	0.000	Merged-chr14-120520145-25
Merged-chr15-83464613-68	chr15	83464347	83464872	+	0.000	0.000	Merged-chr15-83464613-68
Merged-chr1-60860711-21	chr1	60860478	60860881	+	0.000	0.000	Merged-chr1-60860711-21
Merged-chr13-115103921-1	chr13	115103823	115104021	+	0.000	0.000	Merged-chr13-115103921-1
Merged-chr5-21438636-26	chr5	21438363	21438838	+	0.000	0.000	Merged-chr5-21438636-26
Merged-chr15-66558054-3	chr15	66557908	66558214	+	0.000	0.000	Merged-chr15-66558054-3
Merged-chr15-93288515-20	chr15	93288072	93288793	+	0.000	0.000	Merged-chr15-93288515-20
Merged-chr13-33005853-1	chr13	33005755	33005953	+	0.000	0.000	Merged-chr13-33005853-1
Merged-chr17-6476977-103	chr17	6476726	6477266	+	0.000	0.000	Merged-chr17-6476977-103
Merged-chr1-9859361-47	chr1	9859095	9859545	+	0.000	0.000	Merged-chr1-9859361-47
Merged-chr16-64770922-80	chr16	64770520	64771201	+	0.000	0.000	Merged-chr16-64770922-80
Merged-chr7-66250161-34	chr7	66249865	66250365	+	0.000	0.000	Merged-chr7-66250161-34
Merged-chr12-32202051-6	chr12	32201889	32202202	+	0.000	0.000	Merged-chr12-32202051-6
Merged-chr7-112238008-1	chr7	112237910	112238108	+	0.000	0.000	Merged-chr7-112238008-1
Merged-chr12-100871796-44	chr12	100871592	100872116	+	0.000	0.000	Merged-chr12-100871796-44
Merged-chr16-10992013-2	chr16	10991851	10992178	+	0.000	0.000	Merged-chr16-10992013-2
Merged-chr4-15266515-5	chr4	15266352	15266678	+	0.000	0.000	Merged-chr4-15266515-5
Merged-chr13-38151560-38	chr13	38151179	38152154	+	0.000	0.000	Merged-chr13-38151560-38
Merged-chr1-134099095-86	chr1	134098707	134099527	+	0.000	0.000	Merged-chr1-134099095-86
Merged-chr1-151572860-7	chr1	151572673	151573027	+	0.000	0.000	Merged-chr1-151572860-7
Merged-chr10-118096400-51	chr10	118096217	118096634	+	0.000	0.000	Merged-chr10-118096400-51
Merged-chr2-118660101-45	chr2	118659625	118660314	+	0.000	0.000	Merged-chr2-118660101-45
Merged-chr19-41397970-2	chr19	41397850	41398093	+	0.000	0.000	Merged-chr19-41397970-2
Merged-chr7-67419913-32	chr7	67419605	67420320	+	0.000	0.000	Merged-chr7-67419913-32
Merged-chr2-158734267-51	chr2	158733854	158734743	+	0.000	0.000	Merged-chr2-158734267-51
Merged-chr10-80622471-84	chr10	80622206	80622786	+	0.000	0.000	Merged-chr10-80622471-84
Merged-chr3-59222464-17	chr3	59222257	59222657	+	0.000	0.000	Merged-chr3-59222464-17
Merged-chr7-28598236-46	chr7	28598026	28598440	+	0.000	0.000	Merged-chr7-28598236-46
Merged-chr11-69066917-10	chr11	69066617	69067106	+	0.000	0.000	Merged-chr11-69066917-10
Merged-chr2-32488884-4	chr2	32488712	32489044	+	0.000	0.000	Merged-chr2-32488884-4
Merged-chr1-128366514-8	chr1	128366343	128366702	+	0.000	0.000	Merged-chr1-128366514-8
Merged-chr18-70572603-19	chr18	70572384	70572758	+	0.000	0.000	Merged-chr18-70572603-19
Merged-chr17-73953043-1	chr17	73952945	73953143	+	0.000	0.000	Merged-chr17-73953043-1
Merged-chr12-73616927-7	chr12	73616752	73617075	+	0.000	0.000	Merged-chr12-73616927-7
Merged-chr6-50390473-40	chr6	50390284	50390650	+	0.000	0.000	Merged-chr6-50390473-40
Merged-chr8-124242348-54	chr8	124242133	124242598	+	0.000	0.000	Merged-chr8-124242348-54
Merged-chr9-78617261-21	chr9	78617105	78617442	+	0.000	0.000	Merged-chr9-78617261-21
Merged-chr2-127133988-67	chr2	127133701	127134314	+	0.000	0.000	Merged-chr2-127133988-67
Merged-chr19-5956915-3	chr19	5956785	5957043	+	0.000	0.000	Merged-chr19-5956915-3
Merged-chr11-59662530-59	chr11	59662233	59662782	+	0.000	0.000	Merged-chr11-59662530-59
Merged-chr10-95416842-99	chr10	95416223	95417665	+	0.000	0.000	Merged-chr10-95416842-99
Merged-chr17-24162973-2	chr17	24162871	24163077	+	0.000	0.000	Merged-chr17-24162973-2
Merged-chr13-38152778-13	chr13	38152627	38152947	+	0.000	0.000	Merged-chr13-38152778-13
Merged-chr7-112225883-54	chr7	112225651	112226201	+	0.000	0.000	Merged-chr7-112225883-54
Merged-chr4-133650284-39	chr4	133650050	133650463	+	0.000	0.000	Merged-chr4-133650284-39
Merged-chr2-129285453-11	chr2	129285261	129285687	+	0.000	0.000	Merged-chr2-129285453-11
Merged-chr9-113990905-47	chr9	113990657	113991219	+	0.000	0.000	Merged-chr9-113990905-47
Merged-chr16-95702377-100	chr16	95701992	95702724	+	0.000	0.000	Merged-chr16-95702377-100
Merged-chr9-20961726-34	chr9	20961440	20962011	+	0.000	0.000	Merged-chr9-20961726-34
Merged-chr14-78749515-13	chr14	78749176	78749771	+	0.000	0.000	Merged-chr14-78749515-13
Merged-chr15-31239940-27	chr15	31239672	31240274	+	0.000	0.000	Merged-chr15-31239940-27
Merged-chr4-46565631-17	chr4	46565390	46565932	+	0.000	0.000	Merged-chr4-46565631-17
Merged-chr6-8647887-10	chr6	8647661	8648160	+	0.000	0.000	Merged-chr6-8647887-10
Merged-chr10-128232191-128	chr10	128231683	128232456	+	0.000	0.000	Merged-chr10-128232191-128
Merged-chr1-92648373-82	chr1	92647843	92649092	+	0.000	0.000	Merged-chr1-92648373-82
Merged-chrX-48695019-50	chrX	48694773	48695328	+	0.000	0.000	Merged-chrX-48695019-50
Merged-chr11-83569435-5	chr11	83569255	83569588	+	0.000	0.000	Merged-chr11-83569435-5
Merged-chr4-145241018-59	chr4	145240848	145241277	+	0.000	0.000	Merged-chr4-145241018-59
Merged-chr4-145229567-109	chr4	145229354	145229937	+	0.000	0.000	Merged-chr4-145229567-109
Merged-chr13-35815874-2	chr13	35815744	35816007	+	0.000	0.000	Merged-chr13-35815874-2
Merged-chr1-92834131-5	chr1	92834003	92834295	+	0.000	0.000	Merged-chr1-92834131-5
Merged-chr19-5894144-44	chr19	5893790	5894425	+	0.000	0.000	Merged-chr19-5894144-44
Merged-chr10-83096825-2	chr10	83096725	83096928	+	0.000	0.000	Merged-chr10-83096825-2
Merged-chr4-59132766-28	chr4	59132435	59133086	+	0.000	0.000	Merged-chr4-59132766-28
Merged-chr11-17005179-7	chr11	17004980	17005398	+	0.000	0.000	Merged-chr11-17005179-7
Merged-chr2-103744124-20	chr2	103743921	103744320	+	0.000	0.000	Merged-chr2-103744124-20
Merged-chr5-67427515-71	chr5	67427222	67427868	+	0.000	0.000	Merged-chr5-67427515-71
Merged-chr14-73238069-16	chr14	73237861	73238277	+	0.000	0.000	Merged-chr14-73238069-16
Merged-chr9-45300691-53	chr9	45300309	45300926	+	0.000	0.000	Merged-chr9-45300691-53
Merged-chr6-97420267-23	chr6	97420115	97420433	+	0.000	0.000	Merged-chr6-97420267-23
Merged-chr12-73604732-122	chr12	73604344	73605204	+	0.000	0.000	Merged-chr12-73604732-122
Merged-chr7-66253544-6	chr7	66253351	66253730	+	0.000	0.000	Merged-chr7-66253544-6
Merged-chr13-107926533-9	chr13	107926336	107926789	+	0.000	0.000	Merged-chr13-107926533-9
Merged-chr1-193273386-37	chr1	193273057	193273654	+	0.000	0.000	Merged-chr1-193273386-37
Merged-chr5-146857816-33	chr5	146857497	146858005	+	0.000	0.000	Merged-chr5-146857816-33
Merged-chr1-133694971-54	chr1	133694585	133695360	+	0.000	0.000	Merged-chr1-133694971-54
Merged-chr11-46454018-1	chr11	46453920	46454118	+	0.000	0.000	Merged-chr11-46454018-1
Merged-chr13-33003757-27	chr13	33003554	33003990	+	0.000	0.000	Merged-chr13-33003757-27
Merged-chr9-83835459-1	chr9	83835361	83835559	+	0.000	0.000	Merged-chr9-83835459-1
Merged-chr12-32183013-17	chr12	32182736	32183372	+	0.000	0.000	Merged-chr12-32183013-17
Merged-chr15-66559012-25	chr15	66558672	66559245	+	0.000	0.000	Merged-chr15-66559012-25
Merged-chr16-78564490-1	chr16	78564392	78564590	+	0.000	0.000	Merged-chr16-78564490-1
Merged-chr13-41453592-40	chr13	41453379	41453838	+	0.000	0.000	Merged-chr13-41453592-40
Merged-chr15-76710105-1	chr15	76710007	76710205	+	0.000	0.000	Merged-chr15-76710105-1
Merged-chr10-21947042-21	chr10	21946878	21947210	+	0.000	0.000	Merged-chr10-21947042-21
Merged-chr16-58408576-68	chr16	58408168	58408830	+	0.000	0.000	Merged-chr16-58408576-68
Merged-chr18-37815842-2	chr18	37815729	37815957	+	0.000	0.000	Merged-chr18-37815842-2
Merged-chr11-114676631-1	chr11	114676533	114676731	+	0.000	0.000	Merged-chr11-114676631-1
Merged-chr19-9940029-12	chr19	9939890	9940202	+	0.000	0.000	Merged-chr19-9940029-12
Merged-chr19-41366237-2	chr19	41366139	41366337	+	0.000	0.000	Merged-chr19-41366237-2
Merged-chr13-113615129-71	chr13	113614896	113615663	+	0.000	0.000	Merged-chr13-113615129-71
Merged-chr8-105471418-14	chr8	105471197	105471663	+	0.000	0.000	Merged-chr8-105471418-14
Merged-chr11-90675808-18	chr11	90675604	90676062	+	0.000	0.000	Merged-chr11-90675808-18
Merged-chr4-133609928-19	chr4	133609624	133610223	+	0.000	0.000	Merged-chr4-133609928-19
Merged-chr8-124232268-3	chr8	124232151	124232388	+	0.000	0.000	Merged-chr8-124232268-3
Merged-chr15-55852907-4	chr15	55852785	55853040	+	0.000	0.000	Merged-chr15-55852907-4
Merged-chr10-118418378-1	chr10	118418280	118418478	+	0.000	0.000	Merged-chr10-118418378-1
Merged-chr17-73949934-84	chr17	73949585	73950339	+	0.000	0.000	Merged-chr17-73949934-84
Merged-chr9-106394684-34	chr9	106394449	106394860	+	0.000	0.000	Merged-chr9-106394684-34
Merged-chr19-9898748-1	chr19	9898650	9898848	+	0.000	0.000	Merged-chr19-9898748-1
Merged-chr7-90349289-16	chr7	90349096	90349481	+	0.000	0.000	Merged-chr7-90349289-16
Merged-chr13-5979653-26	chr13	5979281	5979916	+	0.000	0.000	Merged-chr13-5979653-26
Merged-chr8-120760547-6	chr8	120760277	120760926	+	0.000	0.000	Merged-chr8-120760547-6
Merged-chr10-118459008-40	chr10	118458747	118459241	+	0.000	0.000	Merged-chr10-118459008-40
Merged-chr13-113168484-63	chr13	113168195	113168793	+	0.000	0.000	Merged-chr13-113168484-63
Merged-chr7-75828058-23	chr7	75827881	75828255	+	0.000	0.000	Merged-chr7-75828058-23
Merged-chr7-66109972-161	chr7	66108849	66110970	+	0.000	0.000	Merged-chr7-66109972-161
Merged-chr6-54162989-41	chr6	54162780	54163277	+	0.000	0.000	Merged-chr6-54162989-41
Merged-chr15-55838283-1	chr15	55838185	55838383	+	0.000	0.000	Merged-chr15-55838283-1
Merged-chr16-64796887-9	chr16	64796765	64797028	+	0.000	0.000	Merged-chr16-64796887-9
Merged-chr7-142387008-11	chr7	142386745	142387243	+	0.000	0.000	Merged-chr7-142387008-11
Merged-chr12-16532110-1	chr12	16532012	16532210	+	0.000	0.000	Merged-chr12-16532110-1
Merged-chr6-54158471-51	chr6	54158143	54158721	+	0.000	0.000	Merged-chr6-54158471-51
Merged-chr15-96690893-3	chr15	96690691	96691098	+	0.000	0.000	Merged-chr15-96690893-3
Merged-chr9-94254804-1	chr9	94254706	94254904	+	0.000	0.000	Merged-chr9-94254804-1
Merged-chr11-69334171-1	chr11	69334073	69334271	+	0.000	0.000	Merged-chr11-69334171-1
Merged-chr9-80156869-12	chr9	80156623	80157203	+	0.000	0.000	Merged-chr9-80156869-12
Merged-chr8-123412748-15	chr8	123412508	123413039	+	0.000	0.000	Merged-chr8-123412748-15
Merged-chr6-86671060-1	chr6	86670962	86671160	+	0.000	0.000	Merged-chr6-86671060-1
Merged-chr5-112240971-40	chr5	112240766	112241272	+	0.000	0.000	Merged-chr5-112240971-40
Merged-chr13-32868285-30	chr13	32868061	32868540	+	0.000	0.000	Merged-chr13-32868285-30
Merged-chrX-36744841-35	chrX	36744490	36745162	+	0.000	0.000	Merged-chrX-36744841-35
Merged-chr2-152810370-23	chr2	152810090	152810637	+	0.000	0.000	Merged-chr2-152810370-23
Merged-chr9-124028680-14	chr9	124028491	124028910	+	0.000	0.000	Merged-chr9-124028680-14
Merged-chr11-98963701-42	chr11	98963412	98963987	+	0.000	0.000	Merged-chr11-98963701-42
Merged-chr16-32277767-74	chr16	32277451	32278145	+	0.000	0.000	Merged-chr16-32277767-74
Merged-chr11-98972338-11	chr11	98972203	98972528	+	0.000	0.000	Merged-chr11-98972338-11
Merged-chr13-55327829-51	chr13	55327580	55328043	+	0.000	0.000	Merged-chr13-55327829-51
Merged-chr1-120093723-41	chr1	120093349	120094016	+	0.000	0.000	Merged-chr1-120093723-41
Merged-chr9-124126510-17	chr9	124126342	124126732	+	0.000	0.000	Merged-chr9-124126510-17
Merged-chr4-145264291-60	chr4	145263998	145264989	+	0.000	0.000	Merged-chr4-145264291-60
Merged-chr13-52973678-1	chr13	52973580	52973778	+	0.000	0.000	Merged-chr13-52973678-1
Merged-chr10-117909634-1	chr10	117909536	117909734	+	0.000	0.000	Merged-chr10-117909634-1
Merged-chr11-69070779-53	chr11	69070561	69070981	+	0.000	0.000	Merged-chr11-69070779-53
Merged-chr3-107796765-38	chr3	107796535	107797043	+	0.000	0.000	Merged-chr3-107796765-38
Merged-chr3-96220544-108	chr3	96220356	96220757	+	0.000	0.000	Merged-chr3-96220544-108
Merged-chr10-77531233-16	chr10	77530892	77531681	+	0.000	0.000	Merged-chr10-77531233-16
Merged-chr19-40666029-20	chr19	40665863	40666210	+	0.000	0.000	Merged-chr19-40666029-20
Merged-chr2-132846803-64	chr2	132846489	132847303	+	0.000	0.000	Merged-chr2-132846803-64
Merged-chr13-33068250-9	chr13	33068100	33068397	+	0.000	0.000	Merged-chr13-33068250-9
Merged-chr4-145268299-20	chr4	145268057	145268549	+	0.000	0.000	Merged-chr4-145268299-20
Merged-chr9-21723653-9	chr9	21723415	21723817	+	0.000	0.000	Merged-chr9-21723653-9
Merged-chr1-134963108-4	chr1	134963001	134963222	+	0.000	0.000	Merged-chr1-134963108-4
Merged-chr1-151685302-45	chr1	151685082	151685610	+	0.000	0.000	Merged-chr1-151685302-45
Merged-chr10-111516621-97	chr10	111516196	111517088	+	0.000	0.000	Merged-chr10-111516621-97
Merged-chr3-89101941-62	chr3	89101687	89102208	+	0.000	0.000	Merged-chr3-89101941-62
Merged-chr9-120082843-44	chr9	120082619	120083075	+	0.000	0.000	Merged-chr9-120082843-44
Merged-chr6-128993036-49	chr6	128992786	128993566	+	0.000	0.000	Merged-chr6-128993036-49
Merged-chr7-28548591-17	chr7	28548426	28548876	+	0.000	0.000	Merged-chr7-28548591-17
Merged-chr5-21036346-2	chr5	21036242	21036453	+	0.000	0.000	Merged-chr5-21036346-2
Merged-chr19-41360707-21	chr19	41360300	41360917	+	0.000	0.000	Merged-chr19-41360707-21
Merged-chr17-12754650-32	chr17	12754471	12754901	+	0.000	0.000	Merged-chr17-12754650-32
Merged-chr11-75226439-1	chr11	75226341	75226539	+	0.000	0.000	Merged-chr11-75226439-1
Merged-chr19-40711719-10	chr19	40711545	40711897	+	0.000	0.000	Merged-chr19-40711719-10
Merged-chr2-25186459-2	chr2	25186361	25186560	+	0.000	0.000	Merged-chr2-25186459-2
Merged-chr10-117925903-63	chr10	117925588	117926219	+	0.000	0.000	Merged-chr10-117925903-63
Merged-chr1-130462555-64	chr1	130462237	130462770	+	0.000	0.000	Merged-chr1-130462555-64
Merged-chr2-18519177-24	chr2	18518952	18519435	+	0.000	0.000	Merged-chr2-18519177-24
Merged-chr9-80002927-14	chr9	80002701	80003151	+	0.000	0.000	Merged-chr9-80002927-14
Merged-chr18-66447922-43	chr18	66447711	66448131	+	0.000	0.000	Merged-chr18-66447922-43
Merged-chr2-118638272-10	chr2	118638091	118638460	+	0.000	0.000	Merged-chr2-118638272-10
Merged-chr10-118461028-8	chr10	118460883	118461225	+	0.000	0.000	Merged-chr10-118461028-8
Merged-chr13-23685405-2	chr13	23685250	23685563	+	0.000	0.000	Merged-chr13-23685405-2
Merged-chr19-10204187-93	chr19	10203860	10204508	+	0.000	0.000	Merged-chr19-10204187-93
Merged-chr10-80578821-38	chr10	80578412	80579226	+	0.000	0.000	Merged-chr10-80578821-38
Merged-chr19-5843955-4	chr19	5843776	5844082	+	0.000	0.000	Merged-chr19-5843955-4
Merged-chr10-54013658-12	chr10	54013418	54013860	+	0.000	0.000	Merged-chr10-54013658-12
Merged-chr11-55386598-21	chr11	55386443	55386774	+	0.000	0.000	Merged-chr11-55386598-21
Merged-chr2-60866104-15	chr2	60865953	60866352	+	0.000	0.000	Merged-chr2-60866104-15
Merged-chr16-78547576-18	chr16	78547417	78547737	+	0.000	0.000	Merged-chr16-78547576-18
Merged-chr6-113669430-31	chr6	113669237	113669634	+	0.000	0.000	Merged-chr6-113669430-31
Merged-chr11-106998820-2	chr11	106998638	106999005	+	0.000	0.000	Merged-chr11-106998820-2
Merged-chr3-108722192-65	chr3	108721604	108722510	+	0.000	0.000	Merged-chr3-108722192-65
Merged-chr7-38088667-4	chr7	38088565	38088772	+	0.000	0.000	Merged-chr7-38088667-4
Merged-chr7-127142485-2	chr7	127142373	127142599	+	0.000	0.000	Merged-chr7-127142485-2
Merged-chr4-120953872-1	chr4	120953774	120953972	+	0.000	0.000	Merged-chr4-120953872-1
Merged-chr12-24710471-47	chr12	24710158	24710753	+	0.000	0.000	Merged-chr12-24710471-47
Merged-chr16-8843171-18	chr16	8842917	8843408	+	0.000	0.000	Merged-chr16-8843171-18
Merged-chr17-44217575-17	chr17	44217361	44217816	+	0.000	0.000	Merged-chr17-44217575-17
Merged-chr12-112693735-54	chr12	112693391	112694014	+	0.000	0.000	Merged-chr12-112693735-54
Merged-chr5-120711649-45	chr5	120711359	120711958	+	0.000	0.000	Merged-chr5-120711649-45
Merged-chr1-153085366-59	chr1	153085043	153085632	+	0.000	0.000	Merged-chr1-153085366-59
Merged-chr10-117899649-5	chr10	117899507	117899779	+	0.000	0.000	Merged-chr10-117899649-5
Merged-chr1-40501898-34	chr1	40501481	40502282	+	0.000	0.000	Merged-chr1-40501898-34
Merged-chr5-23712006-2	chr5	23711893	23712121	+	0.000	0.000	Merged-chr5-23712006-2
Merged-chr11-102248943-39	chr11	102248709	102249179	+	0.000	0.000	Merged-chr11-102248943-39
Merged-chr12-73712281-1	chr12	73712183	73712381	+	0.000	0.000	Merged-chr12-73712281-1
Merged-chr3-89247681-1	chr3	89247583	89247781	+	0.000	0.000	Merged-chr3-89247681-1
Merged-chr4-103096061-32	chr4	103095725	103096301	+	0.000	0.000	Merged-chr4-103096061-32
Merged-chr6-112862022-40	chr6	112861713	112862317	+	0.000	0.000	Merged-chr6-112862022-40
Merged-chr2-157190874-9	chr2	157190607	157191047	+	0.000	0.000	Merged-chr2-157190874-9
Merged-chr11-70622499-26	chr11	70622257	70622712	+	0.000	0.000	Merged-chr11-70622499-26
Merged-chr14-78687892-42	chr14	78687631	78688155	+	0.000	0.000	Merged-chr14-78687892-42
Merged-chr10-117952803-132	chr10	117951996	117953393	+	0.000	0.000	Merged-chr10-117952803-132
Merged-chr10-80629091-37	chr10	80628892	80629309	+	0.000	0.000	Merged-chr10-80629091-37
Merged-chr15-99074256-1	chr15	99074158	99074356	+	0.000	0.000	Merged-chr15-99074256-1
Merged-chr5-135152691-12	chr5	135152528	135152821	+	0.000	0.000	Merged-chr5-135152691-12
Merged-chr2-45109925-105	chr2	45109220	45110379	+	0.000	0.000	Merged-chr2-45109925-105
Merged-chr12-100871436-2	chr12	100871318	100871556	+	0.000	0.000	Merged-chr12-100871436-2
Merged-chr7-75800890-27	chr7	75800469	75801418	+	0.000	0.000	Merged-chr7-75800890-27
Merged-chrX-101954276-51	chrX	101954026	101954510	+	0.000	0.000	Merged-chrX-101954276-51
Merged-chr10-118448976-2	chr10	118448864	118449090	+	0.000	0.000	Merged-chr10-118448976-2
Merged-chr15-93272956-59	chr15	93272462	93273443	+	0.000	0.000	Merged-chr15-93272956-59
Merged-chr6-54972195-1	chr6	54972097	54972295	+	0.000	0.000	Merged-chr6-54972195-1
Merged-chr13-95593068-48	chr13	95592874	95593266	+	0.000	0.000	Merged-chr13-95593068-48
Merged-chr7-66147863-2	chr7	66147754	66147975	+	0.000	0.000	Merged-chr7-66147863-2
Merged-chr5-112219700-2	chr5	112219527	112219876	+	0.000	0.000	Merged-chr5-112219700-2
Merged-chr13-32866696-30	chr13	32866387	32866959	+	0.000	0.000	Merged-chr13-32866696-30
Merged-chr1-92806706-59	chr1	92806249	92807083	+	0.000	0.000	Merged-chr1-92806706-59
Merged-chr15-80582931-41	chr15	80582557	80583187	+	0.000	0.000	Merged-chr15-80582931-41
Merged-chr4-46581066-45	chr4	46580745	46581503	+	0.000	0.000	Merged-chr4-46581066-45
Merged-chr5-140208912-49	chr5	140208706	140209163	+	0.000	0.000	Merged-chr5-140208912-49
Merged-chr13-52985661-11	chr13	52985488	52985882	+	0.000	0.000	Merged-chr13-52985661-11
Merged-chr1-144355940-45	chr1	144355662	144356211	+	0.000	0.000	Merged-chr1-144355940-45
Merged-chr2-31026852-15	chr2	31026665	31027046	+	0.000	0.000	Merged-chr2-31026852-15
Merged-chr13-55339554-36	chr13	55339290	55339724	+	0.000	0.000	Merged-chr13-55339554-36
Merged-chr11-17008294-67	chr11	17007580	17008844	+	0.000	0.000	Merged-chr11-17008294-67
Merged-chr9-48819690-8	chr9	48819492	48819873	+	0.000	0.000	Merged-chr9-48819690-8
Merged-chr12-99406415-11	chr12	99406161	99406659	+	0.000	0.000	Merged-chr12-99406415-11
Merged-chr17-29264095-40	chr17	29263784	29264364	+	0.000	0.000	Merged-chr17-29264095-40
Merged-chr7-66183642-11	chr7	66183440	66183873	+	0.000	0.000	Merged-chr7-66183642-11
Merged-chr10-117844432-6	chr10	117844258	117844617	+	0.000	0.000	Merged-chr10-117844432-6
Merged-chr13-35805359-9	chr13	35805186	35805561	+	0.000	0.000	Merged-chr13-35805359-9
Merged-chr4-46565185-1	chr4	46565087	46565285	+	0.000	0.000	Merged-chr4-46565185-1
Merged-chr4-57901467-17	chr4	57901261	57901701	+	0.000	0.000	Merged-chr4-57901467-17
Merged-chr5-66145389-12	chr5	66145113	66145595	+	0.000	0.000	Merged-chr5-66145389-12
Merged-chr15-96745032-27	chr15	96744801	96745281	+	0.000	0.000	Merged-chr15-96745032-27
Merged-chr5-74285542-15	chr5	74285215	74285816	+	0.000	0.000	Merged-chr5-74285542-15
Merged-chr5-122129080-1	chr5	122128982	122129180	+	0.000	0.000	Merged-chr5-122129080-1
Merged-chr12-84764443-25	chr12	84763660	84765000	+	0.000	0.000	Merged-chr12-84764443-25
Merged-chr1-151688496-3	chr1	151688392	151688600	+	0.000	0.000	Merged-chr1-151688496-3
Merged-chr12-73626625-1	chr12	73626527	73626725	+	0.000	0.000	Merged-chr12-73626625-1
Merged-chr6-88893669-6	chr6	88893501	88893810	+	0.000	0.000	Merged-chr6-88893669-6
Merged-chr4-138456183-28	chr4	138455903	138456527	+	0.000	0.000	Merged-chr4-138456183-28
Merged-chr17-29275247-8	chr17	29275049	29275394	+	0.000	0.000	Merged-chr17-29275247-8
Merged-chr13-32849948-19	chr13	32849721	32850159	+	0.000	0.000	Merged-chr13-32849948-19
Merged-chr6-50389252-7	chr6	50389119	50389375	+	0.000	0.000	Merged-chr6-50389252-7
Merged-chr1-171777224-9	chr1	171777037	171777392	+	0.000	0.000	Merged-chr1-171777224-9
Merged-chr6-128854319-31	chr6	128854071	128854548	+	0.000	0.000	Merged-chr6-128854319-31
Merged-chr3-89485247-8	chr3	89484992	89485389	+	0.000	0.000	Merged-chr3-89485247-8
Merged-chr7-66146884-55	chr7	66146218	66147677	+	0.000	0.000	Merged-chr7-66146884-55
