#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed
NR6529--MA0482.1.Gata4	chr6	127419915	127419925	-	0.000	0.000	Merged-chr6-127420078-9
NR6115--MA0482.1.Gata4	chr5	143038558	143038568	+	0.000	0.000	Merged-chr5-143038769-30
NR4409--MA1104.1.GATA6	chr2	102812791	102812803	+	0.000	0.000	Merged-chr2-102812992-26
NR4032--MA0140.2.GATA1::TAL1	chr2	9867377	9867394	+	0.000	0.000	Merged-chr2-9867507-76
NR992--MA0482.1.Gata4	chr10	117452450	117452460	-	0.000	0.000	Merged-chr10-117452327-39
NR7326--MA0035.3.Gata1	chr8	91073945	91073955	-	0.000	0.000	Merged-chr8-91073966-44
NR4499--MA1104.1.GATA6	chr2	127923471	127923483	-	0.000	0.000	Merged-chr2-127923410-36
NR3347--MA0035.3.Gata1	chr17	7927889	7927899	+	0.000	0.000	Merged-chr17-7928003-98
NR4879--MA1104.1.GATA6	chr3	60788286	60788298	-	0.000	0.000	Merged-chr3-60788099-46
NR4882--MA0035.3.Gata1	chr3	60788287	60788297	+	0.000	0.000	Merged-chr3-60788099-46
NR5558--MA0036.3.GATA2	chr4	117478332	117478342	-	0.000	0.000	Merged-chr4-117478210-39
NR3419--MA0037.3.GATA3	chr17	27323303	27323310	-	0.000	0.000	Merged-chr17-27323176-36
NR6254--MA0037.3.GATA3	chr6	50387876	50387883	+	0.000	0.000	Merged-chr6-50387910-30
NR3972--MA1104.1.GATA6	chr19	32465410	32465422	-	0.000	0.000	Merged-chr19-32465460-36
NR5786--MA0766.1.GATA5	chr5	24505729	24505736	-	0.000	0.000	Merged-chr5-24505685-17
NR2655--MA0037.3.GATA3	chr14	121423099	121423106	+	0.000	0.000	Merged-chr14-121422910-45
NR5486--MA0482.1.Gata4	chr4	89044206	89044216	+	0.000	0.000	Merged-chr4-89044155-38
NR1731--MA0482.1.Gata4	chr12	102350999	102351009	+	0.000	0.000	Merged-chr12-102350976-38
NR7275--MA0482.1.Gata4	chr8	75082608	75082618	-	0.000	0.000	Merged-chr8-75082480-28
NR3443--MA0036.3.GATA2	chr17	35741881	35741891	-	0.000	0.000	Merged-chr17-35741988-36
NR4915--MA0140.2.GATA1::TAL1	chr3	69041523	69041540	-	0.000	0.000	Merged-chr3-69041504-24
NR5146--MA0766.1.GATA5	chr3	136742960	136742967	-	0.000	0.000	Merged-chr3-136742959-57
NR2267--MA1104.1.GATA6	chr14	15770133	15770145	+	0.000	0.000	Merged-chr14-15770075-60
NR3089--MA0036.3.GATA2	chr16	45942379	45942389	-	0.000	0.000	Merged-chr16-45942365-39
NR2450--MA0766.1.GATA5	chr14	57713188	57713195	+	0.000	0.000	Merged-chr14-57713043-44
NR2538--MA0037.3.GATA3	chr14	78687948	78687955	-	0.000	0.000	Merged-chr14-78687892-42
NR1936--MA1104.1.GATA6	chr13	45850805	45850817	-	0.000	0.000	Merged-chr13-45850664-56
NR7730--MA0482.1.Gata4	chr9	87025900	87025910	+	0.000	0.000	Merged-chr9-87025935-38
NR536--MA0037.3.GATA3	chr1	171643757	171643764	-	0.000	0.000	Merged-chr1-171643793-46
NR4500--MA0036.3.GATA2	chr2	127923472	127923482	+	0.000	0.000	Merged-chr2-127923410-36
NR7296--MA0766.1.GATA5	chr8	81773704	81773711	+	0.000	0.000	Merged-chr8-81773679-46
NR6116--MA1104.1.GATA6	chr5	143038556	143038568	-	0.000	0.000	Merged-chr5-143038769-30
NR4703--MA0140.2.GATA1::TAL1	chr2	163131101	163131118	+	0.000	0.000	Merged-chr2-163131105-39
NR6573--MA0037.3.GATA3	chr6	130312045	130312052	-	0.000	0.000	Merged-chr6-130312055-26
NR6368--MA0037.3.GATA3	chr6	91125080	91125087	+	0.000	0.000	Merged-chr6-91125010-35
NR3420--MA1104.1.GATA6	chr17	27323301	27323313	-	0.000	0.000	Merged-chr17-27323176-36
NR5739--MA0035.3.Gata1	chr4	155082318	155082328	-	0.000	0.000	Merged-chr4-155082260-14
NR1356--MA0482.1.Gata4	chr11	101627409	101627419	+	0.000	0.000	Merged-chr11-101627512-104
NR5638--MA0036.3.GATA2	chr4	145312626	145312636	-	0.000	0.000	Merged-chr4-145312696-44
NR6870--MA0482.1.Gata4	chr7	72314635	72314645	+	0.000	0.000	Merged-chr7-72314558-78
NR2843--MA0766.1.GATA5	chr15	78495178	78495185	+	0.000	0.000	Merged-chr15-78495177-43
NR4290--MA0035.3.Gata1	chr2	72282907	72282917	-	0.000	0.000	Merged-chr2-72282934-17
NR7865--MA0482.1.Gata4	chr9	110684680	110684690	+	0.000	0.000	Merged-chr9-110684620-5
NR2541--MA0036.3.GATA2	chr14	78687947	78687957	+	0.000	0.000	Merged-chr14-78687892-42
NR5487--MA1104.1.GATA6	chr4	89044204	89044216	-	0.000	0.000	Merged-chr4-89044155-38
NR1732--MA1104.1.GATA6	chr12	102350997	102351009	-	0.000	0.000	Merged-chr12-102350976-38
NR6371--MA0036.3.GATA2	chr6	91125078	91125088	-	0.000	0.000	Merged-chr6-91125010-35
NR214--MA0766.1.GATA5	chr1	90677875	90677882	-	0.000	0.000	Merged-chr1-90677857-31
NR7528--MA0036.3.GATA2	chr9	32710126	32710136	+	0.000	0.000	Merged-chr9-32710187-80
NR3288--MA0766.1.GATA5	chr16	92641313	92641320	+	0.000	0.000	Merged-chr16-92641253-41
NR5787--MA0035.3.Gata1	chr5	24505728	24505738	+	0.000	0.000	Merged-chr5-24505685-17
NR4407--MA0037.3.GATA3	chr2	102812794	102812801	+	0.000	0.000	Merged-chr2-102812992-26
NR2910--MA0766.1.GATA5	chr15	96827789	96827796	+	0.000	0.000	Merged-chr15-96827730-24
NR2089--MA0037.3.GATA3	chr13	95697072	95697079	-	0.000	0.000	Merged-chr13-95697036-46
NR751--MA0482.1.Gata4	chr10	40713351	40713361	-	0.000	0.000	Merged-chr10-40713251-44
NR4497--MA0037.3.GATA3	chr2	127923473	127923480	-	0.000	0.000	Merged-chr2-127923410-36
NR4877--MA0037.3.GATA3	chr3	60788288	60788295	-	0.000	0.000	Merged-chr3-60788099-46
NR4702--MA0036.3.GATA2	chr2	163131099	163131109	+	0.000	0.000	Merged-chr2-163131105-39
NR7294--MA0482.1.Gata4	chr8	81773701	81773711	-	0.000	0.000	Merged-chr8-81773679-46
NR4784--MA0035.3.Gata1	chr2	181497621	181497631	+	0.000	0.000	Merged-chr2-181497766-4
NR1357--MA1104.1.GATA6	chr11	101627407	101627419	-	0.000	0.000	Merged-chr11-101627512-104
NR7021--MA0482.1.Gata4	chr7	117394166	117394176	+	0.000	0.000	Merged-chr7-117394201-50
NR4410--MA0036.3.GATA2	chr2	102812792	102812802	-	0.000	0.000	Merged-chr2-102812992-26
NR5388--MA0482.1.Gata4	chr4	59281127	59281137	+	0.000	0.000	Merged-chr4-59281104-23
NR2092--MA0036.3.GATA2	chr13	95697071	95697081	+	0.000	0.000	Merged-chr13-95697036-46
NR6278--MA0037.3.GATA3	chr6	58832867	58832874	-	0.000	0.000	Merged-chr6-58832889-39
NR7034--MA0482.1.Gata4	chr7	120729757	120729767	-	0.000	0.000	Merged-chr7-120729886-25
NR2844--MA0035.3.Gata1	chr15	78495176	78495186	-	0.000	0.000	Merged-chr15-78495177-43
NR6570--MA0766.1.GATA5	chr6	130102978	130102985	-	0.000	0.000	Merged-chr6-130103023-31
NR4880--MA0036.3.GATA2	chr3	60788287	60788297	+	0.000	0.000	Merged-chr3-60788099-46
NR7024--MA0035.3.Gata1	chr7	117394165	117394175	+	0.000	0.000	Merged-chr7-117394201-50
NR6528--MA0037.3.GATA3	chr6	127419918	127419925	+	0.000	0.000	Merged-chr6-127420078-9
NR3373--MA0140.2.GATA1::TAL1	chr17	12205681	12205698	+	0.000	0.000	Merged-chr17-12205812-57
NR3499--MA1104.1.GATA6	chr17	56034600	56034612	+	0.000	0.000	Merged-chr17-56034700-41
NR340--MA0036.3.GATA2	chr1	127297165	127297175	+	0.000	0.000	Merged-chr1-127297024-52
NR212--MA0482.1.Gata4	chr1	90677875	90677885	+	0.000	0.000	Merged-chr1-90677857-31
NR387--MA0036.3.GATA2	chr1	139009692	139009702	+	0.000	0.000	Merged-chr1-139009798-23
NR5145--MA1104.1.GATA6	chr3	136742958	136742970	-	0.000	0.000	Merged-chr3-136742959-57
NR752--MA1104.1.GATA6	chr10	40713351	40713363	+	0.000	0.000	Merged-chr10-40713251-44
NR6281--MA0036.3.GATA2	chr6	58832866	58832876	+	0.000	0.000	Merged-chr6-58832889-39
NR7295--MA1104.1.GATA6	chr8	81773701	81773713	+	0.000	0.000	Merged-chr8-81773679-46
NR714--MA0482.1.Gata4	chr10	26229622	26229632	+	0.000	0.000	Merged-chr10-26229708-29
NR3289--MA0035.3.Gata1	chr16	92641311	92641321	-	0.000	0.000	Merged-chr16-92641253-41
NR6871--MA0035.3.Gata1	chr7	72314634	72314644	+	0.000	0.000	Merged-chr7-72314558-78
NR7022--MA1104.1.GATA6	chr7	117394164	117394176	-	0.000	0.000	Merged-chr7-117394201-50
NR5137--MA1104.1.GATA6	chr3	136531891	136531903	-	0.000	0.000	Merged-chr3-136531691-41
NR5485--MA0037.3.GATA3	chr4	89044206	89044213	-	0.000	0.000	Merged-chr4-89044155-38
NR1730--MA0037.3.GATA3	chr12	102350999	102351006	-	0.000	0.000	Merged-chr12-102350976-38
NR5389--MA1104.1.GATA6	chr4	59281125	59281137	-	0.000	0.000	Merged-chr4-59281104-23
NR7274--MA0037.3.GATA3	chr8	75082611	75082618	+	0.000	0.000	Merged-chr8-75082480-28
NR2466--MA0766.1.GATA5	chr14	60072723	60072730	-	0.000	0.000	Merged-chr14-60072713-24
NR6934--MA0766.1.GATA5	chr7	90007381	90007388	+	0.000	0.000	Merged-chr7-90007418-46
NR5355--MA0037.3.GATA3	chr4	47319835	47319842	+	0.000	0.000	Merged-chr4-47319930-54
NR2469--MA0036.3.GATA2	chr14	60131691	60131701	+	0.000	0.000	Merged-chr14-60131750-51
NR6286--MA0036.3.GATA2	chr6	61225493	61225503	+	0.000	0.000	Merged-chr6-61225621-10
NR2849--MA0036.3.GATA2	chr15	78835267	78835277	-	0.000	0.000	Merged-chr15-78835387-37
NR3178--MA1104.1.GATA6	chr16	58546297	58546309	+	0.000	0.000	Merged-chr16-58546287-56
NR6257--MA0035.3.Gata1	chr6	50387874	50387884	-	0.000	0.000	Merged-chr6-50387910-30
NR6571--MA0035.3.Gata1	chr6	130102977	130102987	+	0.000	0.000	Merged-chr6-130103023-31
NR1355--MA0037.3.GATA3	chr11	101627409	101627416	-	0.000	0.000	Merged-chr11-101627512-104
NR6226--MA0140.2.GATA1::TAL1	chr6	38810230	38810247	-	0.000	0.000	Merged-chr6-38810070-95
NR698--MA0036.3.GATA2	chr10	21975619	21975629	+	0.000	0.000	Merged-chr10-21975536-24
NR2101--MA0035.3.Gata1	chr13	98124618	98124628	+	0.000	0.000	Merged-chr13-98124541-43
NR715--MA1104.1.GATA6	chr10	26229620	26229632	-	0.000	0.000	Merged-chr10-26229708-29
NR7864--MA0037.3.GATA3	chr9	110684680	110684687	-	0.000	0.000	Merged-chr9-110684620-5
NR7388--MA0037.3.GATA3	chr8	117548685	117548692	-	0.000	0.000	Merged-chr8-117548585-70
NR2922--MA0037.3.GATA3	chr15	101388145	101388152	-	0.000	0.000	Merged-chr15-101388154-52
NR3087--MA0482.1.Gata4	chr16	45942378	45942388	-	0.000	0.000	Merged-chr16-45942365-39
NR7450--MA0037.3.GATA3	chr8	127963050	127963057	+	0.000	0.000	Merged-chr8-127963000-27
NR3811--MA0035.3.Gata1	chr18	77747062	77747072	-	0.000	0.000	Merged-chr18-77747090-44
NR6119--MA0035.3.Gata1	chr5	143038557	143038567	+	0.000	0.000	Merged-chr5-143038769-30
NR2658--MA0036.3.GATA2	chr14	121423097	121423107	-	0.000	0.000	Merged-chr14-121422910-45
NR5621--MA0036.3.GATA2	chr4	134047865	134047875	-	0.000	0.000	Merged-chr4-134047792-28
NR5560--MA0035.3.Gata1	chr4	117478332	117478342	-	0.000	0.000	Merged-chr4-117478210-39
NR7596--MA0140.2.GATA1::TAL1	chr9	48357408	48357425	-	0.000	0.000	Merged-chr9-48357343-17
NR1406--MA0140.2.GATA1::TAL1	chr11	110919281	110919298	-	0.000	0.000	Merged-chr11-110919203-38
NR750--MA0037.3.GATA3	chr10	40713354	40713361	+	0.000	0.000	Merged-chr10-40713251-44
NR7489--MA0140.2.GATA1::TAL1	chr9	14499422	14499439	+	0.000	0.000	Merged-chr9-14499189-81
NR2467--MA0035.3.Gata1	chr14	60072722	60072732	+	0.000	0.000	Merged-chr14-60072713-24
NR7293--MA0037.3.GATA3	chr8	81773704	81773711	+	0.000	0.000	Merged-chr8-81773679-46
NR4503--MA0482.1.Gata4	chr2	128366015	128366025	-	0.000	0.000	Merged-chr2-128365920-27
NR539--MA0036.3.GATA2	chr1	171643756	171643766	+	0.000	0.000	Merged-chr1-171643793-46
NR4264--MA0036.3.GATA2	chr2	66120350	66120360	-	0.000	0.000	Merged-chr2-66120274-20
NR4922--MA0140.2.GATA1::TAL1	chr3	75930336	75930353	+	0.000	0.000	Merged-chr3-75930291-55
NR1735--MA0035.3.Gata1	chr12	102350998	102351008	+	0.000	0.000	Merged-chr12-102350976-38
NR6576--MA0036.3.GATA2	chr6	130312044	130312054	+	0.000	0.000	Merged-chr6-130312055-26
NR7383--MA0036.3.GATA2	chr8	111955417	111955427	+	0.000	0.000	Merged-chr8-111955328-48
NR3088--MA1104.1.GATA6	chr16	45942378	45942390	+	0.000	0.000	Merged-chr16-45942365-39
NR5387--MA0037.3.GATA3	chr4	59281127	59281134	-	0.000	0.000	Merged-chr4-59281104-23
NR3912--MA0036.3.GATA2	chr19	11540580	11540590	+	0.000	0.000	Merged-chr19-11540460-39
NR7686--MA0140.2.GATA1::TAL1	chr9	78010955	78010972	-	0.000	0.000	Merged-chr9-78010803-82
NR4604--MA0482.1.Gata4	chr2	144198961	144198971	-	0.000	0.000	Merged-chr2-144198804-26
NR5640--MA0035.3.Gata1	chr4	145312626	145312636	-	0.000	0.000	Merged-chr4-145312696-44
NR2438--MA0035.3.Gata1	chr14	55392545	55392555	+	0.000	0.000	Merged-chr14-55392653-26
NR4659--MA0766.1.GATA5	chr2	153525960	153525967	-	0.000	0.000	Merged-chr2-153526092-26
NR4649--MA0036.3.GATA2	chr2	152904622	152904632	+	0.000	0.000	Merged-chr2-152904288-57
NR5390--MA0036.3.GATA2	chr4	59281126	59281136	+	0.000	0.000	Merged-chr4-59281104-23
NR2090--MA0482.1.Gata4	chr13	95697072	95697082	+	0.000	0.000	Merged-chr13-95697036-46
NR2807--MA0482.1.Gata4	chr15	64192693	64192703	+	0.000	0.000	Merged-chr15-64192878-29
NR7635--MA0766.1.GATA5	chr9	62421170	62421177	+	0.000	0.000	Merged-chr9-62421317-30
NR6637--MA0482.1.Gata4	chr6	140598741	140598751	+	0.000	0.000	Merged-chr6-140598794-45
NR7648--MA0766.1.GATA5	chr9	66295134	66295141	-	0.000	0.000	Merged-chr9-66295082-25
NR7070--MA0140.2.GATA1::TAL1	chr7	132765239	132765256	-	0.000	0.000	Merged-chr7-132765248-56
NR3973--MA0036.3.GATA2	chr19	32465411	32465421	+	0.000	0.000	Merged-chr19-32465460-36
NR7866--MA0766.1.GATA5	chr9	110684680	110684687	-	0.000	0.000	Merged-chr9-110684620-5
NR1764--MA0482.1.Gata4	chr12	108646505	108646515	+	0.000	0.000	Merged-chr12-108646363-75
NR1270--MA0140.2.GATA1::TAL1	chr11	79132071	79132088	-	0.000	0.000	Merged-chr11-79132078-52
NR1847--MA1104.1.GATA6	chr12	118255859	118255871	+	0.000	0.000	Merged-chr12-118255780-45
NR1767--MA0035.3.Gata1	chr12	108646504	108646514	+	0.000	0.000	Merged-chr12-108646363-75
NR1937--MA0036.3.GATA2	chr13	45850806	45850816	+	0.000	0.000	Merged-chr13-45850664-56
NR5559--MA0766.1.GATA5	chr4	117478334	117478341	+	0.000	0.000	Merged-chr4-117478210-39
NR1205--MA0140.2.GATA1::TAL1	chr11	63148511	63148528	+	0.000	0.000	Merged-chr11-63148506-21
NR4038--MA0482.1.Gata4	chr2	11617067	11617077	+	0.000	0.000	Merged-chr2-11617013-39
NR700--MA0035.3.Gata1	chr10	21975619	21975629	+	0.000	0.000	Merged-chr10-21975536-24
NR3421--MA0036.3.GATA2	chr17	27323302	27323312	+	0.000	0.000	Merged-chr17-27323176-36
NR4504--MA0140.2.GATA1::TAL1	chr2	128366007	128366024	-	0.000	0.000	Merged-chr2-128365920-27
NR1403--MA0766.1.GATA5	chr11	109694158	109694165	+	0.000	0.000	Merged-chr11-109694201-12
NR3086--MA0037.3.GATA3	chr16	45942381	45942388	+	0.000	0.000	Merged-chr16-45942365-39
NR3054--MA0036.3.GATA2	chr16	44356422	44356432	+	0.000	0.000	Merged-chr16-44356525-24
NR65--MA0140.2.GATA1::TAL1	chr1	40479638	40479655	-	0.000	0.000	Merged-chr1-40479730-47
NR6638--MA1104.1.GATA6	chr6	140598739	140598751	-	0.000	0.000	Merged-chr6-140598794-45
NR2851--MA0140.2.GATA1::TAL1	chr15	78835258	78835275	-	0.000	0.000	Merged-chr15-78835387-37
NR58--MA0036.3.GATA2	chr1	38883981	38883991	-	0.000	0.000	Merged-chr1-38884000-31
NR6058--MA0482.1.Gata4	chr5	113830610	113830620	-	0.000	0.000	Merged-chr5-113830533-46
NR6933--MA0036.3.GATA2	chr7	90007379	90007389	-	0.000	0.000	Merged-chr7-90007418-46
NR5488--MA0036.3.GATA2	chr4	89044205	89044215	+	0.000	0.000	Merged-chr4-89044155-38
NR1338--MA0140.2.GATA1::TAL1	chr11	98959551	98959568	+	0.000	0.000	Merged-chr11-98959702-39
NR7649--MA0035.3.Gata1	chr9	66295133	66295143	+	0.000	0.000	Merged-chr9-66295082-25
NR4501--MA0766.1.GATA5	chr2	127923473	127923480	-	0.000	0.000	Merged-chr2-127923410-36
NR1765--MA1104.1.GATA6	chr12	108646503	108646515	-	0.000	0.000	Merged-chr12-108646363-75
NR5783--MA0482.1.Gata4	chr5	24505729	24505739	+	0.000	0.000	Merged-chr5-24505685-17
NR5639--MA0766.1.GATA5	chr4	145312628	145312635	+	0.000	0.000	Merged-chr4-145312696-44
NR1041--MA0140.2.GATA1::TAL1	chr11	4259348	4259365	+	0.000	0.000	Merged-chr11-4259420-1
NR2542--MA0766.1.GATA5	chr14	78687948	78687955	-	0.000	0.000	Merged-chr14-78687892-42
NR1358--MA0036.3.GATA2	chr11	101627408	101627418	+	0.000	0.000	Merged-chr11-101627512-104
NR3596--MA0035.3.Gata1	chr17	85170944	85170954	+	0.000	0.000	Merged-chr17-85170912-29
NR540--MA0766.1.GATA5	chr1	171643757	171643764	-	0.000	0.000	Merged-chr1-171643793-46
NR2471--MA0035.3.Gata1	chr14	60131691	60131701	+	0.000	0.000	Merged-chr14-60131750-51
NR3367--MA0482.1.Gata4	chr17	12165548	12165558	+	0.000	0.000	Merged-chr17-12165459-54
NR2468--MA0037.3.GATA3	chr14	60131692	60131699	-	0.000	0.000	Merged-chr14-60131750-51
NR7325--MA0482.1.Gata4	chr8	91073944	91073954	-	0.000	0.000	Merged-chr8-91073966-44
NR2840--MA0482.1.Gata4	chr15	78495175	78495185	-	0.000	0.000	Merged-chr15-78495177-43
NR4603--MA0037.3.GATA3	chr2	144198964	144198971	+	0.000	0.000	Merged-chr2-144198804-26
NR1845--MA0037.3.GATA3	chr12	118255862	118255869	+	0.000	0.000	Merged-chr12-118255780-45
NR7103--MA0140.2.GATA1::TAL1	chr7	143644204	143644221	+	0.000	0.000	Merged-chr7-143644190-29
NR7381--MA0482.1.Gata4	chr8	111955418	111955428	+	0.000	0.000	Merged-chr8-111955328-48
NR5784--MA1104.1.GATA6	chr5	24505727	24505739	-	0.000	0.000	Merged-chr5-24505685-17
NR5037--MA0036.3.GATA2	chr3	115729286	115729296	+	0.000	0.000	Merged-chr3-115729400-55
NR4783--MA0036.3.GATA2	chr2	181497621	181497631	+	0.000	0.000	Merged-chr2-181497766-4
NR7384--MA0035.3.Gata1	chr8	111955417	111955427	+	0.000	0.000	Merged-chr8-111955328-48
NR3067--MA0482.1.Gata4	chr16	45025477	45025487	-	0.000	0.000	Merged-chr16-45025536-40
NR753--MA0036.3.GATA2	chr10	40713352	40713362	-	0.000	0.000	Merged-chr10-40713251-44
NR4502--MA0035.3.Gata1	chr2	127923472	127923482	+	0.000	0.000	Merged-chr2-127923410-36
NR4411--MA0766.1.GATA5	chr2	102812794	102812801	+	0.000	0.000	Merged-chr2-102812992-26
NR6636--MA0037.3.GATA3	chr6	140598741	140598748	-	0.000	0.000	Merged-chr6-140598794-45
NR2660--MA0035.3.Gata1	chr14	121423097	121423107	-	0.000	0.000	Merged-chr14-121422910-45
NR3285--MA0482.1.Gata4	chr16	92641310	92641320	-	0.000	0.000	Merged-chr16-92641253-41
NR6662--MA0482.1.Gata4	chr6	142823505	142823515	-	0.000	0.000	Merged-chr6-142823375-40
NR2093--MA0766.1.GATA5	chr13	95697072	95697079	-	0.000	0.000	Merged-chr13-95697036-46
NR3346--MA0766.1.GATA5	chr17	7927890	7927897	-	0.000	0.000	Merged-chr17-7928003-98
NR3197--MA0140.2.GATA1::TAL1	chr16	64757615	64757632	+	0.000	0.000	Merged-chr16-64757779-2
NR3368--MA1104.1.GATA6	chr17	12165546	12165558	-	0.000	0.000	Merged-chr17-12165459-54
NR4881--MA0766.1.GATA5	chr3	60788288	60788295	-	0.000	0.000	Merged-chr3-60788099-46
