#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR8028--MA0002.2.RUNX1	chr5	111235963	111235973	+	0.000	0.000	Merged-chr5-111235959-11
NR214--MA0511.2.RUNX2	chr1	78537715	78537723	+	0.000	0.000	Merged-chr1-78537773-101
NR1462--MA0002.2.RUNX1	chr10	128259225	128259235	+	0.000	0.000	Merged-chr10-128259156-8
NR10941--MA0511.2.RUNX2	chrX	105928699	105928707	+	0.000	0.000	Merged-chrX-105928639-1
NR2748--MA0684.1.RUNX3	chr13	36214465	36214474	+	0.000	0.000	Merged-chr13-36214295-21
NR5943--MA0002.2.RUNX1	chr2	104561596	104561606	+	0.000	0.000	Merged-chr2-104561694-40
NR2347--MA0684.1.RUNX3	chr12	90236207	90236216	-	0.000	0.000	Merged-chr12-90236268-16
NR1550--MA0002.2.RUNX1	chr11	20064076	20064086	-	0.000	0.000	Merged-chr11-20064139-6
NR6766--MA0511.2.RUNX2	chr3	128337279	128337287	+	0.000	0.000	Merged-chr3-128337320-26
NR1060--MA0684.1.RUNX3	chr10	60162674	60162683	-	0.000	0.000	Merged-chr10-60162645-38
NR3613--MA0511.2.RUNX2	chr15	12447227	12447235	+	0.000	0.000	Merged-chr15-12447311-14
NR1440--MA0684.1.RUNX3	chr10	123857284	123857293	-	0.000	0.000	Merged-chr10-123857138-2
NR1215--MA0002.2.RUNX1	chr10	86795037	86795047	+	0.000	0.000	Merged-chr10-86794881-42
NR9786--MA0002.2.RUNX1	chr8	22544815	22544825	+	0.000	0.000	Merged-chr8-22544867-25
NR910--MA0002.2.RUNX1	chr10	18193251	18193261	-	0.000	0.000	Merged-chr10-18193414-42
NR2287--MA0002.2.RUNX1	chr12	75449848	75449858	+	0.000	0.000	Merged-chr12-75449860-75
NR6427--MA0684.1.RUNX3	chr3	28402343	28402352	+	0.000	0.000	Merged-chr3-28402386-46
NR2147--MA0511.2.RUNX2	chr12	17726603	17726611	+	0.000	0.000	Merged-chr12-17726607-38
NR7932--MA0511.2.RUNX2	chr5	100929866	100929874	+	0.000	0.000	Merged-chr5-100929891-31
NR10942--MA0684.1.RUNX3	chrX	105928699	105928708	+	0.000	0.000	Merged-chrX-105928639-1
NR7671--MA0002.2.RUNX1	chr5	29195746	29195756	-	0.000	0.000	Merged-chr5-29195906-68
NR1425--MA0002.2.RUNX1	chr10	122200005	122200015	+	0.000	0.000	Merged-chr10-122200080-48
NR2973--MA0002.2.RUNX1	chr13	94144819	94144829	+	0.000	0.000	Merged-chr13-94144726-31
NR9600--MA0684.1.RUNX3	chr7	127922867	127922876	+	0.000	0.000	Merged-chr7-127922827-35
NR7715--MA0684.1.RUNX3	chr5	37259132	37259141	+	0.000	0.000	Merged-chr5-37259222-30
NR7824--MA0684.1.RUNX3	chr5	72941143	72941152	-	0.000	0.000	Merged-chr5-72941102-35
NR9355--MA0684.1.RUNX3	chr7	96818602	96818611	+	0.000	0.000	Merged-chr7-96818578-56
NR10887--MA0002.2.RUNX1	chrX	59508504	59508514	+	0.000	0.000	Merged-chrX-59508552-38
NR1747--MA0511.2.RUNX2	chr11	73019625	73019633	-	0.000	0.000	Merged-chr11-73019652-4
NR9301--MA0002.2.RUNX1	chr7	78583932	78583942	-	0.000	0.000	Merged-chr7-78583930-15
NR1346--MA0511.2.RUNX2	chr10	111562798	111562806	+	0.000	0.000	Merged-chr10-111562842-26
NR1104--MA0002.2.RUNX1	chr10	67891369	67891379	-	0.000	0.000	Merged-chr10-67891340-18
