#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_up.bed
NR3220--MA0769.1.Tcf7	chr18	74880277	74880288	+	0.000	0.000	Merged-chr18-74880525-86
NR3065--MA0523.1.TCF7L2	chr18	14669073	14669086	+	0.000	0.000	Merged-chr18-14669072-17
NR5740--MA0769.1.Tcf7	chr6	129917725	129917736	+	0.000	0.000	Merged-chr6-129917853-39
NR4571--MA1421.1.TCF7L1	chr4	11960785	11960796	-	0.000	0.000	Merged-chr4-11960864-24
NR4431--MA0769.1.Tcf7	chr3	142436922	142436933	+	0.000	0.000	Merged-chr3-142437047-18
NR6913--MA1421.1.TCF7L1	chr9	120961773	120961784	-	0.000	0.000	Merged-chr9-120961674-26
NR624--MA0523.1.TCF7L2	chr10	19504574	19504587	+	0.000	0.000	Merged-chr10-19504569-39
NR265--MA0769.1.Tcf7	chr1	127348987	127348998	-	0.000	0.000	Merged-chr1-127349004-28
NR405--MA0523.1.TCF7L2	chr1	161309401	161309414	-	0.000	0.000	Merged-chr1-161309457-43
NR2437--MA1421.1.TCF7L1	chr15	66899056	66899067	-	0.000	0.000	Merged-chr15-66899064-14
NR4939--MA0523.1.TCF7L2	chr4	150995032	150995045	+	0.000	0.000	Merged-chr4-150995020-21
NR4711--MA0523.1.TCF7L2	chr4	89393653	89393666	-	0.000	0.000	Merged-chr4-89393499-15
NR6929--MA0769.1.Tcf7	chr9	123733973	123733984	-	0.000	0.000	Merged-chr9-123734197-54
NR611--MA0523.1.TCF7L2	chr10	12985171	12985184	-	0.000	0.000	Merged-chr10-12985296-24
NR2941--MA0769.1.Tcf7	chr17	50148311	50148322	+	0.000	0.000	Merged-chr17-50148334-29
NR3603--MA0523.1.TCF7L2	chr2	59513724	59513737	+	0.000	0.000	Merged-chr2-59513816-12
NR5990--MA0523.1.TCF7L2	chr7	74697932	74697945	+	0.000	0.000	Merged-chr7-74698017-54
NR3497--MA1421.1.TCF7L1	chr2	24745510	24745521	+	0.000	0.000	Merged-chr2-24745465-17
NR5893--MA0769.1.Tcf7	chr7	25205430	25205441	+	0.000	0.000	Merged-chr7-25205538-69
NR4707--MA0523.1.TCF7L2	chr4	89302226	89302239	+	0.000	0.000	Merged-chr4-89302202-17
NR3391--MA0769.1.Tcf7	chr19	53395846	53395857	-	0.000	0.000	Merged-chr19-53395914-16
NR5647--MA0769.1.Tcf7	chr6	108630913	108630924	-	0.000	0.000	Merged-chr6-108631007-44
NR3528--MA1421.1.TCF7L1	chr2	34198752	34198763	+	0.000	0.000	Merged-chr2-34198771-20
NR4276--MA0523.1.TCF7L2	chr3	107185708	107185721	+	0.000	0.000	Merged-chr3-107185785-15
NR176--MA0523.1.TCF7L2	chr1	87378187	87378200	-	0.000	0.000	Merged-chr1-87378193-21
NR3433--MA1421.1.TCF7L1	chr2	5003345	5003356	+	0.000	0.000	Merged-chr2-5003396-19
NR6899--MA1421.1.TCF7L1	chr9	118416520	118416531	-	0.000	0.000	Merged-chr9-118416574-29
NR778--MA0523.1.TCF7L2	chr10	78115087	78115100	-	0.000	0.000	Merged-chr10-78115092-14
NR5189--MA1421.1.TCF7L1	chr5	98161160	98161171	-	0.000	0.000	Merged-chr5-98160972-1
NR2400--MA0769.1.Tcf7	chr15	60136827	60136838	-	0.000	0.000	Merged-chr15-60136862-12
NR984--MA0523.1.TCF7L2	chr10	128039313	128039326	-	0.000	0.000	Merged-chr10-128039274-35
NR5437--MA0769.1.Tcf7	chr6	35462670	35462681	-	0.000	0.000	Merged-chr6-35462751-23
NR2399--MA0523.1.TCF7L2	chr15	60136825	60136838	-	0.000	0.000	Merged-chr15-60136862-12
NR1122--MA1421.1.TCF7L1	chr11	68498959	68498970	-	0.000	0.000	Merged-chr11-68499042-49
NR5549--MA0769.1.Tcf7	chr6	71638554	71638565	-	0.000	0.000	Merged-chr6-71638648-13
NR5716--MA0523.1.TCF7L2	chr6	128474316	128474329	+	0.000	0.000	Merged-chr6-128474299-11
NR1767--MA0769.1.Tcf7	chr13	46340091	46340102	-	0.000	0.000	Merged-chr13-46340117-51
NR3290--MA1421.1.TCF7L1	chr19	11516765	11516776	+	0.000	0.000	Merged-chr19-11516991-67
NR2763--MA0769.1.Tcf7	chr16	78573189	78573200	-	0.000	0.000	Merged-chr16-78573118-8
NR2651--MA1421.1.TCF7L1	chr16	31571070	31571081	+	0.000	0.000	Merged-chr16-31571020-15
NR1747--MA0523.1.TCF7L2	chr13	42049142	42049155	+	0.000	0.000	Merged-chr13-42049130-34
NR5491--MA0523.1.TCF7L2	chr6	54991451	54991464	-	0.000	0.000	Merged-chr6-54991459-9
NR4781--MA1421.1.TCF7L1	chr4	103174433	103174444	-	0.000	0.000	Merged-chr4-103174438-7
NR5331--MA1421.1.TCF7L1	chr5	143329309	143329320	-	0.000	0.000	Merged-chr5-143329116-58
NR1484--MA0523.1.TCF7L2	chr12	82326574	82326587	-	0.000	0.000	Merged-chr12-82326673-11
NR2535--MA0769.1.Tcf7	chr15	94259920	94259931	-	0.000	0.000	Merged-chr15-94259724-7
NR2397--MA1421.1.TCF7L1	chr15	59641420	59641431	+	0.000	0.000	Merged-chr15-59641442-25
NR1758--MA1421.1.TCF7L1	chr13	44395000	44395011	-	0.000	0.000	Merged-chr13-44394997-10
NR2553--MA0769.1.Tcf7	chr15	98623469	98623480	+	0.000	0.000	Merged-chr15-98623504-45
NR3910--MA1421.1.TCF7L1	chr2	147738039	147738050	-	0.000	0.000	Merged-chr2-147737931-1
NR2428--MA1421.1.TCF7L1	chr15	65810845	65810856	-	0.000	0.000	Merged-chr15-65810890-18
NR1253--MA0769.1.Tcf7	chr11	106958390	106958401	-	0.000	0.000	Merged-chr11-106958567-20
NR1128--MA0523.1.TCF7L2	chr11	70113939	70113952	-	0.000	0.000	Merged-chr11-70113983-20
NR2415--MA1421.1.TCF7L1	chr15	62374854	62374865	+	0.000	0.000	Merged-chr15-62374783-6
NR6805--MA1421.1.TCF7L1	chr9	95834855	95834866	+	0.000	0.000	Merged-chr9-95834941-16
NR6914--MA0523.1.TCF7L2	chr9	120961771	120961784	-	0.000	0.000	Merged-chr9-120961674-26
NR5711--MA0523.1.TCF7L2	chr6	127617488	127617501	+	0.000	0.000	Merged-chr6-127617353-34
NR1840--MA0769.1.Tcf7	chr13	74490151	74490162	+	0.000	0.000	Merged-chr13-74490220-4
NR6580--MA1421.1.TCF7L1	chr9	14248415	14248426	-	0.000	0.000	Merged-chr9-14248366-20
NR3628--MA0523.1.TCF7L2	chr2	68882157	68882170	-	0.000	0.000	Merged-chr2-68882205-16
NR6036--MA0769.1.Tcf7	chr7	84166258	84166269	+	0.000	0.000	Merged-chr7-84166236-11
NR866--MA1421.1.TCF7L1	chr10	96350787	96350798	-	0.000	0.000	Merged-chr10-96350967-23
NR6157--MA0769.1.Tcf7	chr7	118276848	118276859	-	0.000	0.000	Merged-chr7-118276887-4
NR4783--MA0769.1.Tcf7	chr4	103174433	103174444	-	0.000	0.000	Merged-chr4-103174438-7
NR4709--MA1421.1.TCF7L1	chr4	89359670	89359681	-	0.000	0.000	Merged-chr4-89359690-21
NR1766--MA1421.1.TCF7L1	chr13	46340091	46340102	-	0.000	0.000	Merged-chr13-46340117-51
NR5752--MA0769.1.Tcf7	chr6	134117838	134117849	-	0.000	0.000	Merged-chr6-134117779-3
NR6054--MA0769.1.Tcf7	chr7	90345120	90345131	-	0.000	0.000	Merged-chr7-90345081-52
NR3465--MA0769.1.Tcf7	chr2	11203137	11203148	+	0.000	0.000	Merged-chr2-11202996-2
NR5276--MA0523.1.TCF7L2	chr5	120685869	120685882	-	0.000	0.000	Merged-chr5-120685893-52
NR6972--MA0769.1.Tcf7	chrX	57185001	57185012	+	0.000	0.000	Merged-chrX-57185087-24
NR5322--MA1421.1.TCF7L1	chr5	137870834	137870845	+	0.000	0.000	Merged-chr5-137870793-17
NR2282--MA0523.1.TCF7L2	chr14	121324888	121324901	-	0.000	0.000	Merged-chr14-121324999-52
NR4130--MA0769.1.Tcf7	chr3	59081167	59081178	-	0.000	0.000	Merged-chr3-59081244-57
NR631--MA0769.1.Tcf7	chr10	22163948	22163959	+	0.000	0.000	Merged-chr10-22163837-17
NR3516--MA0523.1.TCF7L2	chr2	30112724	30112737	-	0.000	0.000	Merged-chr2-30112786-18
NR3277--MA1421.1.TCF7L1	chr19	4294603	4294614	+	0.000	0.000	Merged-chr19-4294616-52
NR5212--MA0523.1.TCF7L2	chr5	105010601	105010614	+	0.000	0.000	Merged-chr5-105010527-49
NR5575--MA1421.1.TCF7L1	chr6	86754831	86754842	+	0.000	0.000	Merged-chr6-86754818-10
NR5082--MA0523.1.TCF7L2	chr5	64045292	64045305	-	0.000	0.000	Merged-chr5-64045165-50
NR2747--MA0523.1.TCF7L2	chr16	75920967	75920980	-	0.000	0.000	Merged-chr16-75921068-56
NR3712--MA0769.1.Tcf7	chr2	92256304	92256315	+	0.000	0.000	Merged-chr2-92256272-20
NR1090--MA1421.1.TCF7L1	chr11	58829945	58829956	+	0.000	0.000	Merged-chr11-58829916-12
NR28--MA0769.1.Tcf7	chr1	33757107	33757118	-	0.000	0.000	Merged-chr1-33757115-3
NR6559--MA1421.1.TCF7L1	chr8	128418695	128418706	-	0.000	0.000	Merged-chr8-128418642-30
NR6413--MA1421.1.TCF7L1	chr8	79679108	79679119	+	0.000	0.000	Merged-chr8-79679083-33
NR4782--MA0523.1.TCF7L2	chr4	103174431	103174444	-	0.000	0.000	Merged-chr4-103174438-7
NR3609--MA1421.1.TCF7L1	chr2	60204294	60204305	+	0.000	0.000	Merged-chr2-60204421-25
NR6971--MA1421.1.TCF7L1	chrX	57185001	57185012	+	0.000	0.000	Merged-chrX-57185087-24
NR1546--MA0769.1.Tcf7	chr12	102945789	102945800	+	0.000	0.000	Merged-chr12-102945751-11
NR4454--MA1421.1.TCF7L1	chr3	144380060	144380071	-	0.000	0.000	Merged-chr3-144380037-3
NR5901--MA0769.1.Tcf7	chr7	28665965	28665976	-	0.000	0.000	Merged-chr7-28665750-36
NR878--MA0769.1.Tcf7	chr10	98776738	98776749	+	0.000	0.000	Merged-chr10-98776574-38
NR5346--MA0769.1.Tcf7	chr5	146757475	146757486	-	0.000	0.000	Merged-chr5-146757539-9
NR6584--MA1421.1.TCF7L1	chr9	14908165	14908176	+	0.000	0.000	Merged-chr9-14908176-52
NR6400--MA1421.1.TCF7L1	chr8	72331241	72331252	+	0.000	0.000	Merged-chr8-72331186-66
NR6693--MA0523.1.TCF7L2	chr9	69023583	69023596	-	0.000	0.000	Merged-chr9-69023585-49
NR994--MA1421.1.TCF7L1	chr10	128991086	128991097	+	0.000	0.000	Merged-chr10-128991197-23
NR2654--MA0769.1.Tcf7	chr16	33053359	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR5886--MA0523.1.TCF7L2	chr7	19790168	19790181	-	0.000	0.000	Merged-chr7-19790098-49
NR3959--MA0769.1.Tcf7	chr2	157203733	157203744	-	0.000	0.000	Merged-chr2-157203644-2
NR5597--MA0769.1.Tcf7	chr6	94534990	94535001	-	0.000	0.000	Merged-chr6-94534982-12
NR2290--MA0523.1.TCF7L2	chr14	122290588	122290601	+	0.000	0.000	Merged-chr14-122290582-19
NR2334--MA0523.1.TCF7L2	chr15	31440135	31440148	-	0.000	0.000	Merged-chr15-31440136-19
NR3911--MA0523.1.TCF7L2	chr2	147738037	147738050	-	0.000	0.000	Merged-chr2-147737931-1
NR6049--MA0523.1.TCF7L2	chr7	90004036	90004049	+	0.000	0.000	Merged-chr7-90004026-23
NR6678--MA0769.1.Tcf7	chr9	62412449	62412460	+	0.000	0.000	Merged-chr9-62412387-14
NR3958--MA0523.1.TCF7L2	chr2	157203731	157203744	-	0.000	0.000	Merged-chr2-157203644-2
NR5751--MA1421.1.TCF7L1	chr6	134117838	134117849	-	0.000	0.000	Merged-chr6-134117779-3
NR346--MA0769.1.Tcf7	chr1	151083957	151083968	-	0.000	0.000	Merged-chr1-151084034-24
NR1069--MA1421.1.TCF7L1	chr11	48928213	48928224	-	0.000	0.000	Merged-chr11-48928222-10
NR1238--MA0769.1.Tcf7	chr11	101661867	101661878	+	0.000	0.000	Merged-chr11-101661964-4
NR1912--MA1421.1.TCF7L1	chr13	97858130	97858141	-	0.000	0.000	Merged-chr13-97858038-42
NR3969--MA1421.1.TCF7L1	chr2	158719454	158719465	-	0.000	0.000	Merged-chr2-158719347-62
NR3324--MA0769.1.Tcf7	chr19	21767889	21767900	-	0.000	0.000	Merged-chr19-21767882-14
NR5254--MA0523.1.TCF7L2	chr5	117938560	117938573	+	0.000	0.000	Merged-chr5-117938550-41
NR3186--MA1421.1.TCF7L1	chr18	67442947	67442958	-	0.000	0.000	Merged-chr18-67443121-15
NR6258--MA0769.1.Tcf7	chr7	140947313	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR2118--MA0769.1.Tcf7	chr14	54061809	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR5894--MA0523.1.TCF7L2	chr7	25232938	25232951	-	0.000	0.000	Merged-chr7-25233025-1
NR2494--MA0769.1.Tcf7	chr15	81510813	81510824	-	0.000	0.000	Merged-chr15-81510764-17
NR2791--MA1421.1.TCF7L1	chr16	91789973	91789984	+	0.000	0.000	Merged-chr16-91789935-50
NR4883--MA1421.1.TCF7L1	chr4	139367506	139367517	-	0.000	0.000	Merged-chr4-139367606-11
NR2803--MA0769.1.Tcf7	chr16	93977944	93977955	-	0.000	0.000	Merged-chr16-93977807-10
NR5309--MA1421.1.TCF7L1	chr5	134269609	134269620	+	0.000	0.000	Merged-chr5-134269909-65
NR1190--MA0523.1.TCF7L2	chr11	88103375	88103388	-	0.000	0.000	Merged-chr11-88103479-31
NR3819--MA1421.1.TCF7L1	chr2	126467926	126467937	+	0.000	0.000	Merged-chr2-126467944-38
NR6588--MA1421.1.TCF7L1	chr9	20901791	20901802	+	0.000	0.000	Merged-chr9-20901772-20
NR6066--MA0769.1.Tcf7	chr7	98797478	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR1898--MA1421.1.TCF7L1	chr13	95449979	95449990	-	0.000	0.000	Merged-chr13-95449730-51
NR2284--MA0769.1.Tcf7	chr14	121405429	121405440	-	0.000	0.000	Merged-chr14-121405440-45
NR345--MA1421.1.TCF7L1	chr1	151083957	151083968	-	0.000	0.000	Merged-chr1-151084034-24
NR741--MA0769.1.Tcf7	chr10	68035940	68035951	-	0.000	0.000	Merged-chr10-68036009-2
NR286--MA0523.1.TCF7L2	chr1	132012013	132012026	-	0.000	0.000	Merged-chr1-132011905-3
NR3747--MA0523.1.TCF7L2	chr2	103632623	103632636	+	0.000	0.000	Merged-chr2-103632734-49
NR5892--MA1421.1.TCF7L1	chr7	25205430	25205441	+	0.000	0.000	Merged-chr7-25205538-69
NR4129--MA0523.1.TCF7L2	chr3	59081165	59081178	-	0.000	0.000	Merged-chr3-59081244-57
NR853--MA0769.1.Tcf7	chr10	95442549	95442560	-	0.000	0.000	Merged-chr10-95442476-5
NR6505--MA0769.1.Tcf7	chr8	120702002	120702013	-	0.000	0.000	Merged-chr8-120702084-56
NR2075--MA0523.1.TCF7L2	chr14	36316955	36316968	-	0.000	0.000	Merged-chr14-36316941-55
NR5433--MA0769.1.Tcf7	chr6	33675687	33675698	+	0.000	0.000	Merged-chr6-33675584-7
NR5005--MA0523.1.TCF7L2	chr5	24776939	24776952	+	0.000	0.000	Merged-chr5-24777004-40
NR3105--MA1421.1.TCF7L1	chr18	39106313	39106324	+	0.000	0.000	Merged-chr18-39106187-8
NR6452--MA0523.1.TCF7L2	chr8	96852053	96852066	+	0.000	0.000	Merged-chr8-96851957-10
NR5067--MA1421.1.TCF7L1	chr5	52245288	52245299	-	0.000	0.000	Merged-chr5-52245311-7
NR5645--MA0523.1.TCF7L2	chr6	108526365	108526378	+	0.000	0.000	Merged-chr6-108526296-8
NR867--MA0769.1.Tcf7	chr10	96350787	96350798	-	0.000	0.000	Merged-chr10-96350967-23
NR4478--MA0769.1.Tcf7	chr3	148419657	148419668	-	0.000	0.000	Merged-chr3-148419698-33
NR2938--MA1421.1.TCF7L1	chr17	50070396	50070407	-	0.000	0.000	Merged-chr17-50070273-24
NR6065--MA0523.1.TCF7L2	chr7	98797476	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR5568--MA0769.1.Tcf7	chr6	85147835	85147846	+	0.000	0.000	Merged-chr6-85147771-14
NR5426--MA0523.1.TCF7L2	chr6	31085587	31085600	-	0.000	0.000	Merged-chr6-31085577-29
NR3892--MA0523.1.TCF7L2	chr2	144272329	144272342	-	0.000	0.000	Merged-chr2-144272283-2
NR5656--MA1421.1.TCF7L1	chr6	114883513	114883524	-	0.000	0.000	Merged-chr6-114883519-32
NR5488--MA1421.1.TCF7L1	chr6	54926015	54926026	+	0.000	0.000	Merged-chr6-54926058-40
NR4188--MA0523.1.TCF7L2	chr3	86206677	86206690	+	0.000	0.000	Merged-chr3-86206725-10
NR3998--MA1421.1.TCF7L1	chr2	166617887	166617898	-	0.000	0.000	Merged-chr2-166617858-42
NR3345--MA1421.1.TCF7L1	chr19	33220764	33220775	+	0.000	0.000	Merged-chr19-33220726-6
NR3863--MA0769.1.Tcf7	chr2	136965554	136965565	-	0.000	0.000	Merged-chr2-136965495-19
NR675--MA0769.1.Tcf7	chr10	39815296	39815307	+	0.000	0.000	Merged-chr10-39815281-4
NR317--MA0769.1.Tcf7	chr1	138972778	138972789	-	0.000	0.000	Merged-chr1-138972851-19
NR6900--MA0769.1.Tcf7	chr9	118416520	118416531	-	0.000	0.000	Merged-chr9-118416574-29
NR1594--MA0769.1.Tcf7	chr12	110939502	110939513	-	0.000	0.000	Merged-chr12-110939619-21
NR5909--MA0769.1.Tcf7	chr7	29954098	29954109	-	0.000	0.000	Merged-chr7-29953925-83
NR2802--MA0523.1.TCF7L2	chr16	93977942	93977955	-	0.000	0.000	Merged-chr16-93977807-10
NR626--MA0523.1.TCF7L2	chr10	19578313	19578326	-	0.000	0.000	Merged-chr10-19578163-111
NR1272--MA0769.1.Tcf7	chr11	110897150	110897161	+	0.000	0.000	Merged-chr11-110897111-25
NR3792--MA0769.1.Tcf7	chr2	117089661	117089672	+	0.000	0.000	Merged-chr2-117089625-28
NR407--MA0523.1.TCF7L2	chr1	161775361	161775374	-	0.000	0.000	Merged-chr1-161775163-66
NR1068--MA1421.1.TCF7L1	chr11	48927166	48927177	-	0.000	0.000	Merged-chr11-48927051-20
NR5717--MA0769.1.Tcf7	chr6	128474316	128474327	+	0.000	0.000	Merged-chr6-128474299-11
NR323--MA1421.1.TCF7L1	chr1	143505142	143505153	-	0.000	0.000	Merged-chr1-143505261-1
NR2030--MA1421.1.TCF7L1	chr14	7889537	7889548	+	0.000	0.000	Merged-chr14-7889819-67
NR4928--MA0523.1.TCF7L2	chr4	149469681	149469694	-	0.000	0.000	Merged-chr4-149469788-41
NR264--MA0523.1.TCF7L2	chr1	127348985	127348998	-	0.000	0.000	Merged-chr1-127349004-28
NR3896--MA0523.1.TCF7L2	chr2	144471435	144471448	+	0.000	0.000	Merged-chr2-144471486-9
NR2679--MA1421.1.TCF7L1	chr16	38756077	38756088	+	0.000	0.000	Merged-chr16-38756031-13
NR5988--MA0523.1.TCF7L2	chr7	74509445	74509458	-	0.000	0.000	Merged-chr7-74509389-8
NR2283--MA1421.1.TCF7L1	chr14	121405429	121405440	-	0.000	0.000	Merged-chr14-121405440-45
NR5804--MA0523.1.TCF7L2	chr6	144333302	144333315	+	0.000	0.000	Merged-chr6-144333219-22
NR3340--MA1421.1.TCF7L1	chr19	32455179	32455190	+	0.000	0.000	Merged-chr19-32455050-22
NR4484--MA0523.1.TCF7L2	chr3	148762785	148762798	+	0.000	0.000	Merged-chr3-148762804-58
NR2291--MA0769.1.Tcf7	chr14	122290588	122290599	+	0.000	0.000	Merged-chr14-122290582-19
NR842--MA0769.1.Tcf7	chr10	93166565	93166576	+	0.000	0.000	Merged-chr10-93166608-12
NR1328--MA0523.1.TCF7L2	chr11	120642258	120642271	-	0.000	0.000	Merged-chr11-120642267-6
NR2173--MA0523.1.TCF7L2	chr14	68078400	68078413	-	0.000	0.000	Merged-chr14-68078565-20
NR6454--MA1421.1.TCF7L1	chr8	105810598	105810609	+	0.000	0.000	Merged-chr8-105810525-46
NR2013--MA1421.1.TCF7L1	chr13	117223470	117223481	+	0.000	0.000	Merged-chr13-117223399-24
NR6067--MA1421.1.TCF7L1	chr7	98797795	98797806	+	0.000	0.000	Merged-chr7-98797577-28
NR3820--MA0769.1.Tcf7	chr2	126467926	126467937	+	0.000	0.000	Merged-chr2-126467944-38
NR1748--MA0769.1.Tcf7	chr13	42049142	42049153	+	0.000	0.000	Merged-chr13-42049130-34
NR2762--MA0523.1.TCF7L2	chr16	78573187	78573200	-	0.000	0.000	Merged-chr16-78573118-8
NR6550--MA0523.1.TCF7L2	chr8	126852245	126852258	-	0.000	0.000	Merged-chr8-126852398-19
NR4892--MA0523.1.TCF7L2	chr4	141917967	141917980	+	0.000	0.000	Merged-chr4-141918116-30
NR3323--MA1421.1.TCF7L1	chr19	21767889	21767900	-	0.000	0.000	Merged-chr19-21767882-14
NR6414--MA0769.1.Tcf7	chr8	79679108	79679119	+	0.000	0.000	Merged-chr8-79679083-33
NR883--MA0769.1.Tcf7	chr10	99461147	99461158	-	0.000	0.000	Merged-chr10-99461330-50
NR6207--MA0523.1.TCF7L2	chr7	130448293	130448306	+	0.000	0.000	Merged-chr7-130448231-21
NR1417--MA0769.1.Tcf7	chr12	52831026	52831037	-	0.000	0.000	Merged-chr12-52830906-26
NR617--MA0523.1.TCF7L2	chr10	17565629	17565642	+	0.000	0.000	Merged-chr10-17565414-37
NR1121--MA0523.1.TCF7L2	chr11	68465259	68465272	-	0.000	0.000	Merged-chr11-68465236-16
NR1761--MA0523.1.TCF7L2	chr13	44807242	44807255	-	0.000	0.000	Merged-chr13-44807320-10
NR6898--MA0769.1.Tcf7	chr9	118361188	118361199	-	0.000	0.000	Merged-chr9-118361138-26
NR436--MA0523.1.TCF7L2	chr1	165986104	165986117	-	0.000	0.000	Merged-chr1-165985990-54
NR4728--MA1421.1.TCF7L1	chr4	95068195	95068206	-	0.000	0.000	Merged-chr4-95068269-28
NR2240--MA1421.1.TCF7L1	chr14	101892409	101892420	-	0.000	0.000	Merged-chr14-101892350-14
NR6256--MA1421.1.TCF7L1	chr7	140947313	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR3056--MA1421.1.TCF7L1	chr18	4369217	4369228	+	0.000	0.000	Merged-chr18-4369357-16
NR324--MA0769.1.Tcf7	chr1	143819072	143819083	-	0.000	0.000	Merged-chr1-143819193-15
NR2951--MA0523.1.TCF7L2	chr17	52484074	52484087	-	0.000	0.000	Merged-chr17-52484066-25
NR775--MA0523.1.TCF7L2	chr10	77273401	77273414	+	0.000	0.000	Merged-chr10-77273499-67
NR5025--MA0769.1.Tcf7	chr5	32089574	32089585	+	0.000	0.000	Merged-chr5-32089637-4
NR3651--MA0769.1.Tcf7	chr2	72282907	72282918	+	0.000	0.000	Merged-chr2-72282934-17
NR5907--MA0769.1.Tcf7	chr7	29900783	29900794	+	0.000	0.000	Merged-chr7-29900753-5
NR1420--MA1421.1.TCF7L1	chr12	55050202	55050213	+	0.000	0.000	Merged-chr12-55050089-62
NR2564--MA0523.1.TCF7L2	chr15	100668288	100668301	-	0.000	0.000	Merged-chr15-100668117-50
NR6677--MA1421.1.TCF7L1	chr9	62412449	62412460	+	0.000	0.000	Merged-chr9-62412387-14
NR6352--MA0523.1.TCF7L2	chr8	46869686	46869699	+	0.000	0.000	Merged-chr8-46869591-35
NR5994--MA1421.1.TCF7L1	chr7	75486319	75486330	+	0.000	0.000	Merged-chr7-75486326-35
NR3517--MA0769.1.Tcf7	chr2	30112726	30112737	-	0.000	0.000	Merged-chr2-30112786-18
NR4862--MA0523.1.TCF7L2	chr4	135153156	135153169	+	0.000	0.000	Merged-chr4-135153100-1
NR5569--MA1421.1.TCF7L1	chr6	85147882	85147893	+	0.000	0.000	Merged-chr6-85147771-14
NR1104--MA0523.1.TCF7L2	chr11	62507992	62508005	-	0.000	0.000	Merged-chr11-62507903-32
NR3629--MA0769.1.Tcf7	chr2	68882159	68882170	-	0.000	0.000	Merged-chr2-68882205-16
NR6458--MA1421.1.TCF7L1	chr8	110813241	110813252	+	0.000	0.000	Merged-chr8-110813191-16
NR6133--MA0523.1.TCF7L2	chr7	114671142	114671155	+	0.000	0.000	Merged-chr7-114671342-44
NR3893--MA0769.1.Tcf7	chr2	144272331	144272342	-	0.000	0.000	Merged-chr2-144272283-2
NR1485--MA0769.1.Tcf7	chr12	82326576	82326587	-	0.000	0.000	Merged-chr12-82326673-11
NR4195--MA0769.1.Tcf7	chr3	88521947	88521958	-	0.000	0.000	Merged-chr3-88522043-54
NR6735--MA0523.1.TCF7L2	chr9	79756211	79756224	+	0.000	0.000	Merged-chr9-79756214-5
NR3432--MA0769.1.Tcf7	chr2	5003241	5003252	-	0.000	0.000	Merged-chr2-5003396-19
NR1033--MA0769.1.Tcf7	chr11	21314423	21314434	+	0.000	0.000	Merged-chr11-21314524-33
NR4147--MA1421.1.TCF7L1	chr3	65537533	65537544	+	0.000	0.000	Merged-chr3-65537527-21
NR3464--MA1421.1.TCF7L1	chr2	11203137	11203148	+	0.000	0.000	Merged-chr2-11202996-2
NR5397--MA0769.1.Tcf7	chr6	8712281	8712292	+	0.000	0.000	Merged-chr6-8712206-28
NR262--MA0769.1.Tcf7	chr1	127318709	127318720	+	0.000	0.000	Merged-chr1-127318690-2
NR1191--MA1421.1.TCF7L1	chr11	88132000	88132011	-	0.000	0.000	Merged-chr11-88132051-21
NR1181--MA0769.1.Tcf7	chr11	85545686	85545697	+	0.000	0.000	Merged-chr11-85545806-18
NR4885--MA0769.1.Tcf7	chr4	139367506	139367517	-	0.000	0.000	Merged-chr4-139367606-11
NR27--MA1421.1.TCF7L1	chr1	33757107	33757118	-	0.000	0.000	Merged-chr1-33757115-3
NR3994--MA0523.1.TCF7L2	chr2	164943217	164943230	-	0.000	0.000	Merged-chr2-164943047-31
NR2702--MA0523.1.TCF7L2	chr16	45764044	45764057	+	0.000	0.000	Merged-chr16-45763997-18
NR379--MA0769.1.Tcf7	chr1	156676432	156676443	+	0.000	0.000	Merged-chr1-156676429-4
NR623--MA1421.1.TCF7L1	chr10	19504574	19504585	+	0.000	0.000	Merged-chr10-19504569-39
NR5471--MA0523.1.TCF7L2	chr6	50146433	50146446	-	0.000	0.000	Merged-chr6-50146420-23
NR4496--MA0523.1.TCF7L2	chr3	149443143	149443156	-	0.000	0.000	Merged-chr3-149443176-11
NR3339--MA0769.1.Tcf7	chr19	32172874	32172885	+	0.000	0.000	Merged-chr19-32172725-56
NR3912--MA0769.1.Tcf7	chr2	147738039	147738050	-	0.000	0.000	Merged-chr2-147737931-1
NR4572--MA0769.1.Tcf7	chr4	11960785	11960796	-	0.000	0.000	Merged-chr4-11960864-24
NR4710--MA1421.1.TCF7L1	chr4	89393655	89393666	-	0.000	0.000	Merged-chr4-89393499-15
NR4693--MA0769.1.Tcf7	chr4	86739394	86739405	-	0.000	0.000	Merged-chr4-86739424-15
