#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_up.bed
NR145--MA0508.2.PRDM1	chr1	176939833	176939842	-	0.000	0.000	Merged-chr1-176939939-16
NR416--MA0508.2.PRDM1	chr11	100921394	100921403	+	0.000	0.000	Merged-chr11-100921492-18
NR1750--MA0508.2.PRDM1	chr6	107749026	107749035	-	0.000	0.000	Merged-chr6-107749008-33
NR1925--MA0508.2.PRDM1	chr7	107664528	107664537	+	0.000	0.000	Merged-chr7-107664561-57
NR1511--MA0508.2.PRDM1	chr4	136031644	136031653	+	0.000	0.000	Merged-chr4-136031447-41
NR1763--MA0508.2.PRDM1	chr6	120486842	120486851	-	0.000	0.000	Merged-chr6-120486966-2
NR1776--MA0508.2.PRDM1	chr6	127265147	127265156	-	0.000	0.000	Merged-chr6-127265230-18
NR1994--MA0508.2.PRDM1	chr8	68735089	68735098	+	0.000	0.000	Merged-chr8-68735158-122
NR2105--MA0508.2.PRDM1	chr9	69940916	69940925	+	0.000	0.000	Merged-chr9-69941031-50
NR1851--MA0508.2.PRDM1	chr7	28423100	28423109	-	0.000	0.000	Merged-chr7-28423189-12
NR2118--MA0508.2.PRDM1	chr9	80819276	80819285	-	0.000	0.000	Merged-chr9-80819214-23
NR1593--MA0508.2.PRDM1	chr5	74261248	74261257	+	0.000	0.000	Merged-chr5-74261391-1
NR940--MA0508.2.PRDM1	chr17	45703389	45703398	-	0.000	0.000	Merged-chr17-45703436-19
NR1211--MA0508.2.PRDM1	chr2	117358210	117358219	+	0.000	0.000	Merged-chr2-117358189-8
NR129--MA0508.2.PRDM1	chr1	165322578	165322587	+	0.000	0.000	Merged-chr1-165322509-22
NR1320--MA0508.2.PRDM1	chr3	78890037	78890046	-	0.000	0.000	Merged-chr3-78890015-28
NR1909--MA0508.2.PRDM1	chr7	96818644	96818653	-	0.000	0.000	Merged-chr7-96818578-56
NR2078--MA0508.2.PRDM1	chr9	44954678	44954687	-	0.000	0.000	Merged-chr9-44954642-27
NR810--MA0508.2.PRDM1	chr15	91651690	91651699	-	0.000	0.000	Merged-chr15-91651721-23
NR2206--MA0508.2.PRDM1	chrX	159447268	159447277	+	0.000	0.000	Merged-chrX-159447377-17
NR1790--MA0508.2.PRDM1	chr6	134343097	134343106	+	0.000	0.000	Merged-chr6-134343073-39
NR1856--MA0508.2.PRDM1	chr7	35742521	35742530	+	0.000	0.000	Merged-chr7-35742502-39
NR108--MA0508.2.PRDM1	chr1	152010419	152010428	-	0.000	0.000	Merged-chr1-152010502-52
NR60--MA0508.2.PRDM1	chr1	93401870	93401879	+	0.000	0.000	Merged-chr1-93401739-47
NR1822--MA0508.2.PRDM1	chr6	145284572	145284581	-	0.000	0.000	Merged-chr6-145284477-26
NR2057--MA0508.2.PRDM1	chr9	14248385	14248394	+	0.000	0.000	Merged-chr9-14248366-20
NR1293--MA0508.2.PRDM1	chr3	30952379	30952388	-	0.000	0.000	Merged-chr3-30952502-53
NR1944--MA0508.2.PRDM1	chr7	125496355	125496364	-	0.000	0.000	Merged-chr7-125496348-14
NR911--MA0508.2.PRDM1	chr17	15816635	15816644	+	0.000	0.000	Merged-chr17-15816733-57
NR1325--MA0508.2.PRDM1	chr3	86206658	86206667	-	0.000	0.000	Merged-chr3-86206725-10
NR1020--MA0508.2.PRDM1	chr18	65481389	65481398	+	0.000	0.000	Merged-chr18-65481395-37
NR1176--MA0508.2.PRDM1	chr2	76030120	76030129	-	0.000	0.000	Merged-chr2-76030062-28
NR65--MA0508.2.PRDM1	chr1	98589784	98589793	-	0.000	0.000	Merged-chr1-98589738-39
NR1142--MA0508.2.PRDM1	chr2	24776356	24776365	+	0.000	0.000	Merged-chr2-24776490-30
NR10--MA0508.2.PRDM1	chr1	21781109	21781118	+	0.000	0.000	Merged-chr1-21781098-42
NR1386--MA0508.2.PRDM1	chr3	137194066	137194075	+	0.000	0.000	Merged-chr3-137194185-7
NR1081--MA0508.2.PRDM1	chr19	31321967	31321976	-	0.000	0.000	Merged-chr19-31321995-11
NR842--MA0508.2.PRDM1	chr16	24840133	24840142	-	0.000	0.000	Merged-chr16-24840158-23
NR1474--MA0508.2.PRDM1	chr4	92942503	92942512	-	0.000	0.000	Merged-chr4-92942379-25
