#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR1602--MA0523.1.TCF7L2	chr13	101669079	101669092	-	0.000	0.000	Merged-chr13-101669067-25
NR2843--MA0523.1.TCF7L2	chr19	47910286	47910299	-	0.000	0.000	Merged-chr19-47910337-85
NR3154--MA1421.1.TCF7L1	chr2	128431045	128431056	+	0.000	0.000	Merged-chr2-128430953-27
NR4273--MA0769.1.Tcf7	chr5	124943852	124943863	-	0.000	0.000	Merged-chr5-124943788-2
NR998--MA0769.1.Tcf7	chr11	95824433	95824444	-	0.000	0.000	Merged-chr11-95824420-49
NR58--MA0523.1.TCF7L2	chr1	60416887	60416900	-	0.000	0.000	Merged-chr1-60416960-33
NR4114--MA0523.1.TCF7L2	chr5	66193708	66193721	-	0.000	0.000	Merged-chr5-66193573-58
NR1399--MA0523.1.TCF7L2	chr12	116315550	116315563	-	0.000	0.000	Merged-chr12-116315725-53
NR3431--MA0523.1.TCF7L2	chr3	84595448	84595461	-	0.000	0.000	Merged-chr3-84595329-34
NR1171--MA0523.1.TCF7L2	chr12	41167987	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR3631--MA0769.1.Tcf7	chr3	142533254	142533265	-	0.000	0.000	Merged-chr3-142533345-44
NR220--MA0523.1.TCF7L2	chr1	130838419	130838432	-	0.000	0.000	Merged-chr1-130838519-27
NR1120--MA0523.1.TCF7L2	chr11	121777142	121777155	-	0.000	0.000	Merged-chr11-121777303-26
NR4285--MA0523.1.TCF7L2	chr5	134333001	134333014	-	0.000	0.000	Merged-chr5-134333065-45
NR1879--MA1421.1.TCF7L1	chr14	103619883	103619894	+	0.000	0.000	Merged-chr14-103620031-34
NR3478--MA0523.1.TCF7L2	chr3	101066269	101066282	+	0.000	0.000	Merged-chr3-101066330-34
NR1353--MA0769.1.Tcf7	chr12	110759264	110759275	-	0.000	0.000	Merged-chr12-110759192-38
NR1988--MA0523.1.TCF7L2	chr15	57838632	57838645	-	0.000	0.000	Merged-chr15-57838718-52
NR4066--MA0523.1.TCF7L2	chr5	34466413	34466426	+	0.000	0.000	Merged-chr5-34466431-61
NR2658--MA0769.1.Tcf7	chr18	61614574	61614585	+	0.000	0.000	Merged-chr18-61614590-32
NR1600--MA1421.1.TCF7L1	chr13	101548159	101548170	+	0.000	0.000	Merged-chr13-101547994-45
NR327--MA0769.1.Tcf7	chr1	156710951	156710962	-	0.000	0.000	Merged-chr1-156710970-33
NR112--MA0769.1.Tcf7	chr1	80441128	80441139	+	0.000	0.000	Merged-chr1-80441020-53
NR797--MA0769.1.Tcf7	chr10	128940664	128940675	-	0.000	0.000	Merged-chr10-128940717-41
NR4316--MA0523.1.TCF7L2	chr5	147448686	147448699	-	0.000	0.000	Merged-chr5-147448805-80
NR5386--MA0769.1.Tcf7	chr9	46015114	46015125	-	0.000	0.000	Merged-chr9-46015200-37
NR5389--MA0523.1.TCF7L2	chr9	52259750	52259763	+	0.000	0.000	Merged-chr9-52259787-26
NR254--MA0523.1.TCF7L2	chr1	138162968	138162981	-	0.000	0.000	Merged-chr1-138162905-55
NR2000--MA0769.1.Tcf7	chr15	59010892	59010903	-	0.000	0.000	Merged-chr15-59010782-34
NR4546--MA1421.1.TCF7L1	chr6	108836142	108836153	-	0.000	0.000	Merged-chr6-108836247-72
NR4735--MA0769.1.Tcf7	chr7	15949534	15949545	+	0.000	0.000	Merged-chr7-15949519-32
NR1931--MA0769.1.Tcf7	chr15	12668133	12668144	+	0.000	0.000	Merged-chr15-12668076-24
NR4135--MA0523.1.TCF7L2	chr5	89051596	89051609	-	0.000	0.000	Merged-chr5-89051554-45
NR475--MA0769.1.Tcf7	chr10	7212538	7212549	-	0.000	0.000	Merged-chr10-7212223-140
NR5376--MA0523.1.TCF7L2	chr9	42208758	42208771	+	0.000	0.000	Merged-chr9-42208688-2
NR5750--MA0523.1.TCF7L2	chrX	159828200	159828213	+	0.000	0.000	Merged-chrX-159828290-35
NR493--MA0769.1.Tcf7	chr10	14326354	14326365	-	0.000	0.000	Merged-chr10-14326395-38
NR4040--MA0523.1.TCF7L2	chr5	21354854	21354867	+	0.000	0.000	Merged-chr5-21354717-33
NR1909--MA0769.1.Tcf7	chr14	121137384	121137395	+	0.000	0.000	Merged-chr14-121137502-35
NR390--MA0769.1.Tcf7	chr1	175631972	175631983	+	0.000	0.000	Merged-chr1-175631822-65
NR4883--MA0769.1.Tcf7	chr7	90345120	90345131	-	0.000	0.000	Merged-chr7-90345081-52
NR4525--MA0769.1.Tcf7	chr6	100581189	100581200	-	0.000	0.000	Merged-chr6-100581320-61
NR2656--MA1421.1.TCF7L1	chr18	61614574	61614585	+	0.000	0.000	Merged-chr18-61614590-32
NR3471--MA0769.1.Tcf7	chr3	100475183	100475194	+	0.000	0.000	Merged-chr3-100475201-27
NR4505--MA0523.1.TCF7L2	chr6	94681555	94681568	+	0.000	0.000	Merged-chr6-94681460-83
NR2820--MA0769.1.Tcf7	chr19	36472288	36472299	+	0.000	0.000	Merged-chr19-36472344-18
NR919--MA0769.1.Tcf7	chr11	64021029	64021040	-	0.000	0.000	Merged-chr11-64021089-15
NR4100--MA0769.1.Tcf7	chr5	64389859	64389870	+	0.000	0.000	Merged-chr5-64389971-20
NR4785--MA0769.1.Tcf7	chr7	45120418	45120429	+	0.000	0.000	Merged-chr7-45120364-12
NR2752--MA0523.1.TCF7L2	chr18	82607534	82607547	+	0.000	0.000	Merged-chr18-82607647-23
NR3063--MA1421.1.TCF7L1	chr2	91835182	91835193	-	0.000	0.000	Merged-chr2-91835374-51
NR3588--MA0769.1.Tcf7	chr3	133076678	133076689	+	0.000	0.000	Merged-chr3-133076578-21
NR946--MA0769.1.Tcf7	chr11	74100880	74100891	-	0.000	0.000	Merged-chr11-74100988-13
NR3015--MA0769.1.Tcf7	chr2	72282907	72282918	+	0.000	0.000	Merged-chr2-72282934-17
NR357--MA0523.1.TCF7L2	chr1	165986104	165986117	-	0.000	0.000	Merged-chr1-165985990-54
NR1162--MA0523.1.TCF7L2	chr12	35770553	35770566	+	0.000	0.000	Merged-chr12-35770526-40
NR1086--MA0769.1.Tcf7	chr11	113574273	113574284	+	0.000	0.000	Merged-chr11-113574265-17
NR4988--MA1421.1.TCF7L1	chr7	123354475	123354486	+	0.000	0.000	Merged-chr7-123354508-1
NR4760--MA1421.1.TCF7L1	chr7	25835639	25835650	-	0.000	0.000	Merged-chr7-25835602-47
NR2055--MA0769.1.Tcf7	chr15	82914517	82914528	+	0.000	0.000	Merged-chr15-82914694-36
NR211--MA0523.1.TCF7L2	chr1	127796567	127796580	-	0.000	0.000	Merged-chr1-127796546-56
NR5384--MA0523.1.TCF7L2	chr9	46015112	46015125	-	0.000	0.000	Merged-chr9-46015200-37
NR997--MA0523.1.TCF7L2	chr11	95824431	95824444	-	0.000	0.000	Merged-chr11-95824420-49
NR5307--MA0769.1.Tcf7	chr8	128418695	128418706	-	0.000	0.000	Merged-chr8-128418642-30
NR3593--MA0523.1.TCF7L2	chr3	133760434	133760447	-	0.000	0.000	Merged-chr3-133760332-18
NR441--MA1421.1.TCF7L1	chr1	191259394	191259405	+	0.000	0.000	Merged-chr1-191259374-46
NR1310--MA0769.1.Tcf7	chr12	99084375	99084386	-	0.000	0.000	Merged-chr12-99084355-37
NR1173--MA1421.1.TCF7L1	chr12	41168036	41168047	+	0.000	0.000	Merged-chr12-41167989-46
NR5567--MA0769.1.Tcf7	chr9	96936095	96936106	-	0.000	0.000	Merged-chr9-96936027-74
NR2879--MA1421.1.TCF7L1	chr2	5061514	5061525	+	0.000	0.000	Merged-chr2-5061621-34
NR5106--MA0769.1.Tcf7	chr8	33548680	33548691	+	0.000	0.000	Merged-chr8-33548647-24
NR2600--MA1421.1.TCF7L1	chr18	34827795	34827806	-	0.000	0.000	Merged-chr18-34827772-23
NR3576--MA0523.1.TCF7L2	chr3	131014085	131014098	+	0.000	0.000	Merged-chr3-131014308-74
NR2893--MA0769.1.Tcf7	chr2	8965234	8965245	+	0.000	0.000	Merged-chr2-8965212-53
NR2541--MA0523.1.TCF7L2	chr17	84420374	84420387	-	0.000	0.000	Merged-chr17-84420400-1
NR2373--MA0523.1.TCF7L2	chr17	10229881	10229894	+	0.000	0.000	Merged-chr17-10229858-11
NR5357--MA0769.1.Tcf7	chr9	31254925	31254936	+	0.000	0.000	Merged-chr9-31254853-49
NR6--MA0769.1.Tcf7	chr1	13052504	13052515	+	0.000	0.000	Merged-chr1-13052356-32
NR2553--MA0769.1.Tcf7	chr17	86187975	86187986	+	0.000	0.000	Merged-chr17-86187981-35
NR1309--MA0523.1.TCF7L2	chr12	99084373	99084386	-	0.000	0.000	Merged-chr12-99084355-37
NR967--MA0523.1.TCF7L2	chr11	82195025	82195038	+	0.000	0.000	Merged-chr11-82195229-33
NR1114--MA0769.1.Tcf7	chr11	121100824	121100835	+	0.000	0.000	Merged-chr11-121100966-23
NR2419--MA0769.1.Tcf7	chr17	29552497	29552508	-	0.000	0.000	Merged-chr17-29552502-38
NR3235--MA1421.1.TCF7L1	chr2	151944250	151944261	+	0.000	0.000	Merged-chr2-151944383-43
NR5693--MA0523.1.TCF7L2	chrX	52930408	52930421	-	0.000	0.000	Merged-chrX-52930355-32
NR2103--MA0523.1.TCF7L2	chr15	95826726	95826739	-	0.000	0.000	Merged-chr15-95826706-34
NR1084--MA0523.1.TCF7L2	chr11	113173992	113174005	+	0.000	0.000	Merged-chr11-113174221-33
NR4682--MA1421.1.TCF7L1	chr6	144333302	144333313	+	0.000	0.000	Merged-chr6-144333219-22
NR1365--MA0769.1.Tcf7	chr12	113005278	113005289	-	0.000	0.000	Merged-chr12-113005235-22
NR5474--MA0523.1.TCF7L2	chr9	80318138	80318151	-	0.000	0.000	Merged-chr9-80318250-48
NR2352--MA0769.1.Tcf7	chr17	5748002	5748013	-	0.000	0.000	Merged-chr17-5748141-46
NR3163--MA0523.1.TCF7L2	chr2	130555056	130555069	-	0.000	0.000	Merged-chr2-130555023-33
NR1139--MA1421.1.TCF7L1	chr12	17726669	17726680	-	0.000	0.000	Merged-chr12-17726607-38
NR1998--MA1421.1.TCF7L1	chr15	58750194	58750205	-	0.000	0.000	Merged-chr15-58750240-28
NR4420--MA0769.1.Tcf7	chr6	50009502	50009513	-	0.000	0.000	Merged-chr6-50009459-48
NR2697--MA0769.1.Tcf7	chr18	69548098	69548109	-	0.000	0.000	Merged-chr18-69547959-32
NR366--MA0769.1.Tcf7	chr1	170853678	170853689	+	0.000	0.000	Merged-chr1-170853758-47
NR592--MA0523.1.TCF7L2	chr10	68239250	68239263	-	0.000	0.000	Merged-chr10-68239369-73
NR4603--MA0523.1.TCF7L2	chr6	129239825	129239838	+	0.000	0.000	Merged-chr6-129239949-37
NR828--MA1421.1.TCF7L1	chr11	22164002	22164013	+	0.000	0.000	Merged-chr11-22164019-19
NR5676--MA0523.1.TCF7L2	chrX	23673555	23673568	+	0.000	0.000	Merged-chrX-23673581-22
NR3159--MA0523.1.TCF7L2	chr2	128544644	128544657	+	0.000	0.000	Merged-chr2-128544786-45
NR5179--MA0769.1.Tcf7	chr8	79679108	79679119	+	0.000	0.000	Merged-chr8-79679083-33
NR5105--MA0523.1.TCF7L2	chr8	33548680	33548693	+	0.000	0.000	Merged-chr8-33548647-24
NR1113--MA1421.1.TCF7L1	chr11	121100824	121100835	+	0.000	0.000	Merged-chr11-121100966-23
NR3465--MA0769.1.Tcf7	chr3	97929085	97929096	+	0.000	0.000	Merged-chr3-97929190-25
NR5663--MA0523.1.TCF7L2	chr9	123960407	123960420	+	0.000	0.000	Merged-chr9-123960411-24
NR5495--MA0523.1.TCF7L2	chr9	85011576	85011589	+	0.000	0.000	Merged-chr9-85011578-31
NR5412--MA0769.1.Tcf7	chr9	58271355	58271366	+	0.000	0.000	Merged-chr9-58271289-37
NR1169--MA0769.1.Tcf7	chr12	40536138	40536149	+	0.000	0.000	Merged-chr12-40536190-67
NR3146--MA0523.1.TCF7L2	chr2	124634579	124634592	+	0.000	0.000	Merged-chr2-124634585-20
NR5238--MA0523.1.TCF7L2	chr8	115136849	115136862	-	0.000	0.000	Merged-chr8-115136921-34
NR4528--MA1421.1.TCF7L1	chr6	101359851	101359862	-	0.000	0.000	Merged-chr6-101359900-41
NR1488--MA0523.1.TCF7L2	chr13	45924789	45924802	+	0.000	0.000	Merged-chr13-45924771-59
NR3237--MA0769.1.Tcf7	chr2	151944250	151944261	+	0.000	0.000	Merged-chr2-151944383-43
NR5542--MA0769.1.Tcf7	chr9	92218022	92218033	+	0.000	0.000	Merged-chr9-92217904-40
NR141--MA0523.1.TCF7L2	chr1	88644680	88644693	-	0.000	0.000	Merged-chr1-88644619-31
NR2819--MA1421.1.TCF7L1	chr19	33429545	33429556	+	0.000	0.000	Merged-chr19-33429713-40
NR4418--MA0523.1.TCF7L2	chr6	50009500	50009513	-	0.000	0.000	Merged-chr6-50009459-48
NR3479--MA0769.1.Tcf7	chr3	101066269	101066280	+	0.000	0.000	Merged-chr3-101066330-34
NR1424--MA0523.1.TCF7L2	chr13	8458069	8458082	+	0.000	0.000	Merged-chr13-8458004-23
NR3120--MA0523.1.TCF7L2	chr2	115610663	115610676	+	0.000	0.000	Merged-chr2-115610633-33
NR5212--MA0523.1.TCF7L2	chr8	94634367	94634380	+	0.000	0.000	Merged-chr8-94634294-63
NR2351--MA0523.1.TCF7L2	chr17	5748008	5748021	-	0.000	0.000	Merged-chr17-5748141-46
NR1411--MA0523.1.TCF7L2	chr12	119148070	119148083	+	0.000	0.000	Merged-chr12-119148040-28
NR3335--MA0523.1.TCF7L2	chr3	10151766	10151779	-	0.000	0.000	Merged-chr3-10151750-17
NR1075--MA0523.1.TCF7L2	chr11	111065058	111065071	+	0.000	0.000	Merged-chr11-111065000-37
NR945--MA0523.1.TCF7L2	chr11	74100878	74100891	-	0.000	0.000	Merged-chr11-74100988-13
NR421--MA0769.1.Tcf7	chr1	183987878	183987889	+	0.000	0.000	Merged-chr1-183987914-47
NR4390--MA0769.1.Tcf7	chr6	41113489	41113500	+	0.000	0.000	Merged-chr6-41113305-59
NR5356--MA1421.1.TCF7L1	chr9	31254925	31254936	+	0.000	0.000	Merged-chr9-31254853-49
NR5031--MA0523.1.TCF7L2	chr7	132415457	132415470	-	0.000	0.000	Merged-chr7-132415500-16
NR1845--MA0523.1.TCF7L2	chr14	79236621	79236634	-	0.000	0.000	Merged-chr14-79236608-48
NR4416--MA1421.1.TCF7L1	chr6	50009502	50009513	-	0.000	0.000	Merged-chr6-50009459-48
NR4248--MA1421.1.TCF7L1	chr5	117922212	117922223	-	0.000	0.000	Merged-chr5-117922248-35
NR654--MA0769.1.Tcf7	chr10	89766144	89766155	-	0.000	0.000	Merged-chr10-89765992-47
NR5137--MA1421.1.TCF7L1	chr8	56443932	56443943	-	0.000	0.000	Merged-chr8-56443904-53
NR73--MA0523.1.TCF7L2	chr1	64486486	64486499	-	0.000	0.000	Merged-chr1-64486540-36
NR3178--MA1421.1.TCF7L1	chr2	135891375	135891386	-	0.000	0.000	Merged-chr2-135891354-60
NR111--MA0523.1.TCF7L2	chr1	80441128	80441141	+	0.000	0.000	Merged-chr1-80441020-53
NR5284--MA0523.1.TCF7L2	chr8	125649318	125649331	+	0.000	0.000	Merged-chr8-125649394-37
NR897--MA0523.1.TCF7L2	chr11	53845753	53845766	+	0.000	0.000	Merged-chr11-53845784-30
NR4837--MA1421.1.TCF7L1	chr7	75910519	75910530	-	0.000	0.000	Merged-chr7-75910458-70
NR5629--MA0523.1.TCF7L2	chr9	118285716	118285729	-	0.000	0.000	Merged-chr9-118285683-37
NR3165--MA1421.1.TCF7L1	chr2	131145730	131145741	+	0.000	0.000	Merged-chr2-131145703-8
NR326--MA0523.1.TCF7L2	chr1	156710949	156710962	-	0.000	0.000	Merged-chr1-156710970-33
NR2892--MA0523.1.TCF7L2	chr2	8965234	8965247	+	0.000	0.000	Merged-chr2-8965212-53
NR2332--MA0769.1.Tcf7	chr16	96273448	96273459	-	0.000	0.000	Merged-chr16-96273446-72
NR5448--MA0523.1.TCF7L2	chr9	72890935	72890948	-	0.000	0.000	Merged-chr9-72890879-25
NR5154--MA0769.1.Tcf7	chr8	68112389	68112400	-	0.000	0.000	Merged-chr8-68112424-37
NR2321--MA0523.1.TCF7L2	chr16	94185592	94185605	+	0.000	0.000	Merged-chr16-94185634-42
NR1470--MA0523.1.TCF7L2	chr13	33003841	33003854	+	0.000	0.000	Merged-chr13-33003757-27
NR4971--MA0523.1.TCF7L2	chr7	117404664	117404677	+	0.000	0.000	Merged-chr7-117404576-18
NR2923--MA0523.1.TCF7L2	chr2	26623143	26623156	+	0.000	0.000	Merged-chr2-26623162-26
NR3586--MA1421.1.TCF7L1	chr3	133076678	133076689	+	0.000	0.000	Merged-chr3-133076578-21
NR2462--MA0769.1.Tcf7	chr17	48332827	48332838	-	0.000	0.000	Merged-chr17-48332786-43
NR2551--MA1421.1.TCF7L1	chr17	86187975	86187986	+	0.000	0.000	Merged-chr17-86187981-35
NR1744--MA1421.1.TCF7L1	chr14	21112814	21112825	-	0.000	0.000	Merged-chr14-21112934-51
NR243--MA0769.1.Tcf7	chr1	136600778	136600789	+	0.000	0.000	Merged-chr1-136600909-41
NR4834--MA0523.1.TCF7L2	chr7	75642373	75642386	+	0.000	0.000	Merged-chr7-75642451-22
NR3617--MA1421.1.TCF7L1	chr3	138334344	138334355	-	0.000	0.000	Merged-chr3-138334424-50
NR926--MA1421.1.TCF7L1	chr11	65794738	65794749	-	0.000	0.000	Merged-chr11-65794880-54
NR1489--MA0769.1.Tcf7	chr13	45924789	45924800	+	0.000	0.000	Merged-chr13-45924771-59
NR515--MA0523.1.TCF7L2	chr10	26879379	26879392	+	0.000	0.000	Merged-chr10-26879299-36
NR1816--MA0769.1.Tcf7	chr14	64734721	64734732	-	0.000	0.000	Merged-chr14-64734579-23
NR5387--MA0523.1.TCF7L2	chr9	46046926	46046939	+	0.000	0.000	Merged-chr9-46046767-65
NR2092--MA0523.1.TCF7L2	chr15	94255221	94255234	-	0.000	0.000	Merged-chr15-94255177-46
NR2024--MA0769.1.Tcf7	chr15	65810845	65810856	-	0.000	0.000	Merged-chr15-65810890-18
NR2328--MA1421.1.TCF7L1	chr16	95869617	95869628	+	0.000	0.000	Merged-chr16-95869616-44
NR4529--MA0523.1.TCF7L2	chr6	101359849	101359862	-	0.000	0.000	Merged-chr6-101359900-41
NR502--MA0523.1.TCF7L2	chr10	19321923	19321936	+	0.000	0.000	Merged-chr10-19321944-43
NR2924--MA0769.1.Tcf7	chr2	26623143	26623154	+	0.000	0.000	Merged-chr2-26623162-26
NR4133--MA0523.1.TCF7L2	chr5	86816950	86816963	+	0.000	0.000	Merged-chr5-86816982-25
NR2968--MA1421.1.TCF7L1	chr2	48322474	48322485	-	0.000	0.000	Merged-chr2-48322438-54
NR181--MA0769.1.Tcf7	chr1	105565176	105565187	-	0.000	0.000	Merged-chr1-105565114-33
NR1258--MA1421.1.TCF7L1	chr12	85602959	85602970	+	0.000	0.000	Merged-chr12-85603037-13
NR3884--MA0523.1.TCF7L2	chr4	121002521	121002534	-	0.000	0.000	Merged-chr4-121002570-50
NR4348--MA0523.1.TCF7L2	chr6	17307428	17307441	+	0.000	0.000	Merged-chr6-17307561-30
NR5589--MA0523.1.TCF7L2	chr9	107334462	107334475	-	0.000	0.000	Merged-chr9-107334469-86
NR5237--MA0523.1.TCF7L2	chr8	115045947	115045960	+	0.000	0.000	Merged-chr8-115045943-98
NR2955--MA1421.1.TCF7L1	chr2	44345135	44345146	+	0.000	0.000	Merged-chr2-44345197-78
NR1245--MA1421.1.TCF7L1	chr12	79692327	79692338	+	0.000	0.000	Merged-chr12-79692424-46
NR947--MA1421.1.TCF7L1	chr11	74100908	74100919	+	0.000	0.000	Merged-chr11-74100988-13
NR5536--MA0769.1.Tcf7	chr9	90199249	90199260	+	0.000	0.000	Merged-chr9-90199244-4
NR2844--MA0769.1.Tcf7	chr19	47910288	47910299	-	0.000	0.000	Merged-chr19-47910337-85
NR4470--MA1421.1.TCF7L1	chr6	84617256	84617267	-	0.000	0.000	Merged-chr6-84617241-46
NR2349--MA1421.1.TCF7L1	chr17	5748002	5748013	-	0.000	0.000	Merged-chr17-5748141-46
NR3097--MA0523.1.TCF7L2	chr2	105022182	105022195	+	0.000	0.000	Merged-chr2-105022109-54
NR35--MA0769.1.Tcf7	chr1	39895714	39895725	-	0.000	0.000	Merged-chr1-39895697-26
NR3164--MA0769.1.Tcf7	chr2	130555058	130555069	-	0.000	0.000	Merged-chr2-130555023-33
NR4815--MA1421.1.TCF7L1	chr7	66292231	66292242	+	0.000	0.000	Merged-chr7-66292206-13
NR1775--MA0523.1.TCF7L2	chr14	46578262	46578275	+	0.000	0.000	Merged-chr14-46578431-37
NR1872--MA1421.1.TCF7L1	chr14	103017271	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR547--MA1421.1.TCF7L1	chr10	41620211	41620222	+	0.000	0.000	Merged-chr10-41620205-22
NR1423--MA0523.1.TCF7L2	chr13	5757565	5757578	-	0.000	0.000	Merged-chr13-5757363-53
NR5660--MA1421.1.TCF7L1	chr9	123734309	123734320	-	0.000	0.000	Merged-chr9-123734197-54
NR4178--MA1421.1.TCF7L1	chr5	97075789	97075800	-	0.000	0.000	Merged-chr5-97075788-14
NR2496--MA0523.1.TCF7L2	chr17	63414342	63414355	+	0.000	0.000	Merged-chr17-63414241-20
NR2613--MA0523.1.TCF7L2	chr18	39049206	39049219	-	0.000	0.000	Merged-chr18-39049078-69
NR4537--MA0523.1.TCF7L2	chr6	108509113	108509126	+	0.000	0.000	Merged-chr6-108509162-15
NR3686--MA0523.1.TCF7L2	chr3	152212097	152212110	-	0.000	0.000	Merged-chr3-152212044-45
NR2651--MA0523.1.TCF7L2	chr18	60375884	60375897	-	0.000	0.000	Merged-chr18-60375896-42
NR1692--MA0769.1.Tcf7	chr13	113071294	113071305	+	0.000	0.000	Merged-chr13-113071273-26
NR34--MA0523.1.TCF7L2	chr1	39895712	39895725	-	0.000	0.000	Merged-chr1-39895697-26
NR917--MA1421.1.TCF7L1	chr11	64021029	64021040	-	0.000	0.000	Merged-chr11-64021089-15
NR424--MA0523.1.TCF7L2	chr1	184793766	184793779	-	0.000	0.000	Merged-chr1-184793551-66
NR3770--MA1421.1.TCF7L1	chr4	53227934	53227945	+	0.000	0.000	Merged-chr4-53228038-46
NR5605--MA1421.1.TCF7L1	chr9	114613208	114613219	+	0.000	0.000	Merged-chr9-114613191-38
NR1085--MA1421.1.TCF7L1	chr11	113574273	113574284	+	0.000	0.000	Merged-chr11-113574265-17
NR1831--MA0523.1.TCF7L2	chr14	70962241	70962254	-	0.000	0.000	Merged-chr14-70962142-29
NR2494--MA1421.1.TCF7L1	chr17	63356501	63356512	+	0.000	0.000	Merged-chr17-63356437-30
NR4996--MA0523.1.TCF7L2	chr7	125511553	125511566	+	0.000	0.000	Merged-chr7-125511628-40
NR4286--MA0769.1.Tcf7	chr5	134333003	134333014	-	0.000	0.000	Merged-chr5-134333065-45
NR677--MA0523.1.TCF7L2	chr10	96115330	96115343	-	0.000	0.000	Merged-chr10-96115346-13
NR2032--MA0523.1.TCF7L2	chr15	67138976	67138989	+	0.000	0.000	Merged-chr15-67138945-51
NR4124--MA0523.1.TCF7L2	chr5	75662509	75662522	-	0.000	0.000	Merged-chr5-75662405-46
NR3370--MA1421.1.TCF7L1	chr3	38280379	38280390	-	0.000	0.000	Merged-chr3-38280395-39
NR3098--MA0769.1.Tcf7	chr2	105022182	105022193	+	0.000	0.000	Merged-chr2-105022109-54
NR230--MA0523.1.TCF7L2	chr1	133012416	133012429	-	0.000	0.000	Merged-chr1-133012523-20
NR4354--MA1421.1.TCF7L1	chr6	22340122	22340133	+	0.000	0.000	Merged-chr6-22340067-27
NR4186--MA1421.1.TCF7L1	chr5	98018288	98018299	+	0.000	0.000	Merged-chr5-98018284-53
NR2599--MA0523.1.TCF7L2	chr18	32945743	32945756	+	0.000	0.000	Merged-chr18-32945625-57
NR4188--MA0769.1.Tcf7	chr5	98018288	98018299	+	0.000	0.000	Merged-chr5-98018284-53
NR3792--MA0769.1.Tcf7	chr4	63627198	63627209	-	0.000	0.000	Merged-chr4-63627315-28
NR504--MA1421.1.TCF7L1	chr10	21353635	21353646	-	0.000	0.000	Merged-chr10-21353510-2
NR1017--MA0769.1.Tcf7	chr11	100824191	100824202	-	0.000	0.000	Merged-chr11-100824336-61
NR2353--MA0769.1.Tcf7	chr17	5748010	5748021	-	0.000	0.000	Merged-chr17-5748141-46
NR3791--MA1421.1.TCF7L1	chr4	63627198	63627209	-	0.000	0.000	Merged-chr4-63627315-28
NR2028--MA0523.1.TCF7L2	chr15	66998422	66998435	+	0.000	0.000	Merged-chr15-66998486-48
NR5390--MA0523.1.TCF7L2	chr9	52259957	52259970	+	0.000	0.000	Merged-chr9-52259787-26
NR4421--MA0769.1.Tcf7	chr6	50009509	50009520	-	0.000	0.000	Merged-chr6-50009459-48
NR879--MA0523.1.TCF7L2	chr11	49722942	49722955	-	0.000	0.000	Merged-chr11-49723086-55
NR255--MA0769.1.Tcf7	chr1	138162970	138162981	-	0.000	0.000	Merged-chr1-138162905-55
NR5062--MA1421.1.TCF7L1	chr7	140947313	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR367--MA0769.1.Tcf7	chr1	170853792	170853803	+	0.000	0.000	Merged-chr1-170853758-47
NR4388--MA1421.1.TCF7L1	chr6	41113489	41113500	+	0.000	0.000	Merged-chr6-41113305-59
NR1825--MA1421.1.TCF7L1	chr14	70341336	70341347	-	0.000	0.000	Merged-chr14-70341335-48
NR2617--MA0523.1.TCF7L2	chr18	39877980	39877993	-	0.000	0.000	Merged-chr18-39877975-43
NR3630--MA0523.1.TCF7L2	chr3	142533252	142533265	-	0.000	0.000	Merged-chr3-142533345-44
NR2186--MA0523.1.TCF7L2	chr16	33053357	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR2002--MA0523.1.TCF7L2	chr15	59805125	59805138	-	0.000	0.000	Merged-chr15-59805045-21
NR4547--MA0769.1.Tcf7	chr6	108836142	108836153	-	0.000	0.000	Merged-chr6-108836247-72
NR4300--MA0523.1.TCF7L2	chr5	143630878	143630891	-	0.000	0.000	Merged-chr5-143630947-39
NR1076--MA0769.1.Tcf7	chr11	111065058	111065069	+	0.000	0.000	Merged-chr11-111065000-37
NR5541--MA0523.1.TCF7L2	chr9	92218022	92218035	+	0.000	0.000	Merged-chr9-92217904-40
NR4734--MA0523.1.TCF7L2	chr7	15949534	15949547	+	0.000	0.000	Merged-chr7-15949519-32
NR3230--MA0523.1.TCF7L2	chr2	150578759	150578772	-	0.000	0.000	Merged-chr2-150578789-44
NR4699--MA0523.1.TCF7L2	chr6	146081207	146081220	+	0.000	0.000	Merged-chr6-146081045-99
NR4471--MA0523.1.TCF7L2	chr6	84617254	84617267	-	0.000	0.000	Merged-chr6-84617241-46
NR829--MA0769.1.Tcf7	chr11	22164002	22164013	+	0.000	0.000	Merged-chr11-22164019-19
NR5178--MA1421.1.TCF7L1	chr8	79679108	79679119	+	0.000	0.000	Merged-chr8-79679083-33
