#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_up.bed
NR7356--MA0742.1.Klf12	chr10	94942957	94942971	+	0.000	0.000	Merged-chr10-94942923-6
NR9828--MA1107.1.KLF9	chr11	54161077	54161089	-	0.000	0.000	Merged-chr11-54161145-7
NR14153--MA0039.3.KLF4	chr12	80331801	80331811	-	0.000	0.000	Merged-chr12-80331845-24
NR20962--MA0493.1.Klf1	chr14	122852470	122852480	-	0.000	0.000	Merged-chr14-122852603-67
NR65883--MA1107.1.KLF9	chr9	106430929	106430941	+	0.000	0.000	Merged-chr9-106430870-17
NR2454--MA1107.1.KLF9	chr1	138180317	138180329	-	0.000	0.000	Merged-chr1-138180262-18
NR40114--MA0493.1.Klf1	chr3	101588958	101588968	+	0.000	0.000	Merged-chr3-101588946-10
NR37220--MA0741.1.KLF16	chr2	157447413	157447423	+	0.000	0.000	Merged-chr2-157447566-79
NR54867--MA0599.1.KLF5	chr6	144664967	144664976	+	0.000	0.000	Merged-chr6-144664964-20
NR49474--MA0039.3.KLF4	chr5	115516813	115516823	-	0.000	0.000	Merged-chr5-115516638-85
NR51256--MA1107.1.KLF9	chr5	149594158	149594170	+	0.000	0.000	Merged-chr5-149594297-11
NR5001--MA0741.1.KLF16	chr10	14066269	14066279	-	0.000	0.000	Merged-chr10-14066140-19
NR64542--MA0039.3.KLF4	chr9	64797333	64797343	+	0.000	0.000	Merged-chr9-64797561-46
NR36183--MA0039.3.KLF4	chr2	128392482	128392492	+	0.000	0.000	Merged-chr2-128392502-21
NR26826--MA0599.1.KLF5	chr17	31326300	31326309	-	0.000	0.000	Merged-chr17-31326302-35
NR27566--MA0493.1.Klf1	chr17	47225649	47225659	+	0.000	0.000	Merged-chr17-47225554-43
NR28710--MA0741.1.KLF16	chr17	86040529	86040539	-	0.000	0.000	Merged-chr17-86040436-1
NR17609--MA0742.1.Klf12	chr13	98692029	98692043	-	0.000	0.000	Merged-chr13-98692096-35
NR56011--MA0039.3.KLF4	chr7	28423307	28423317	+	0.000	0.000	Merged-chr7-28423189-12
NR39423--MA0741.1.KLF16	chr3	84630932	84630942	-	0.000	0.000	Merged-chr3-84630888-13
NR51181--MA0599.1.KLF5	chr5	148489466	148489475	-	0.000	0.000	Merged-chr5-148489625-52
NR67369--MA1107.1.KLF9	chrX	48435809	48435821	-	0.000	0.000	Merged-chrX-48435827-14
NR5319--MA0741.1.KLF16	chr10	40171486	40171496	-	0.000	0.000	Merged-chr10-40171372-15
NR27687--MA0493.1.Klf1	chr17	49968565	49968575	-	0.000	0.000	Merged-chr17-49968692-61
NR31356--MA0741.1.KLF16	chr19	7241238	7241248	+	0.000	0.000	Merged-chr19-7241194-51
NR52276--MA0741.1.KLF16	chr6	54096530	54096540	-	0.000	0.000	Merged-chr6-54096523-11
NR65416--MA0741.1.KLF16	chr9	95311656	95311666	-	0.000	0.000	Merged-chr9-95311897-42
NR33021--MA0039.3.KLF4	chr2	6462522	6462532	+	0.000	0.000	Merged-chr2-6462544-11
NR22575--MA0741.1.KLF16	chr15	83474242	83474252	+	0.000	0.000	Merged-chr15-83474258-63
NR3979--MA0493.1.Klf1	chr1	182383261	182383271	-	0.000	0.000	Merged-chr1-182383219-38
NR28656--MA0493.1.Klf1	chr17	84368868	84368878	-	0.000	0.000	Merged-chr17-84368765-10
NR57314--MA0740.1.KLF14	chr7	80779537	80779550	+	0.000	0.000	Merged-chr7-80779458-48
NR31474--MA0742.1.Klf12	chr19	10742351	10742365	+	0.000	0.000	Merged-chr19-10742399-21
NR47854--MA0741.1.KLF16	chr5	65914611	65914621	-	0.000	0.000	Merged-chr5-65914511-22
NR35677--MA0599.1.KLF5	chr2	112510347	112510356	-	0.000	0.000	Merged-chr2-112510265-49
NR15007--MA0493.1.Klf1	chr12	107144554	107144564	-	0.000	0.000	Merged-chr12-107144688-5
NR19500--MA1107.1.KLF9	chr14	56296979	56296991	-	0.000	0.000	Merged-chr14-56296830-101
NR44026--MA0493.1.Klf1	chr4	106935044	106935054	-	0.000	0.000	Merged-chr4-106934885-1
NR41021--MA0599.1.KLF5	chr3	131156583	131156592	+	0.000	0.000	Merged-chr3-131156512-43
NR39220--MA0039.3.KLF4	chr3	68784302	68784312	-	0.000	0.000	Merged-chr3-68784168-43
NR13327--MA0657.1.KLF13	chr12	25351018	25351035	+	0.000	0.000	Merged-chr12-25351011-20
NR14611--MA0493.1.Klf1	chr12	100480786	100480796	+	0.000	0.000	Merged-chr12-100480598-53
NR49372--MA0741.1.KLF16	chr5	114041786	114041796	-	0.000	0.000	Merged-chr5-114041714-24
NR19612--MA1107.1.KLF9	chr14	59553218	59553230	+	0.000	0.000	Merged-chr14-59553394-22
NR6815--MA0599.1.KLF5	chr10	81524157	81524166	+	0.000	0.000	Merged-chr10-81524170-54
NR18989--MA0599.1.KLF5	chr14	33099381	33099390	+	0.000	0.000	Merged-chr14-33099452-34
NR32300--MA0599.1.KLF5	chr19	45577319	45577328	+	0.000	0.000	Merged-chr19-45577468-39
NR18982--MA0742.1.Klf12	chr14	33099340	33099354	+	0.000	0.000	Merged-chr14-33099452-34
NR14014--MA0741.1.KLF16	chr12	76371102	76371112	-	0.000	0.000	Merged-chr12-76371188-10
NR27278--MA0741.1.KLF16	chr17	36982672	36982682	+	0.000	0.000	Merged-chr17-36982659-16
NR38265--MA1107.1.KLF9	chr2	178479322	178479334	-	0.000	0.000	Merged-chr2-178479240-1
NR39477--MA0599.1.KLF5	chr3	87266865	87266874	-	0.000	0.000	Merged-chr3-87266700-20
NR28594--MA0599.1.KLF5	chr17	83880369	83880378	-	0.000	0.000	Merged-chr17-83880471-24
NR35773--MA0740.1.KLF14	chr2	117418844	117418857	-	0.000	0.000	Merged-chr2-117418760-26
NR33991--MA0742.1.Klf12	chr2	35783567	35783581	-	0.000	0.000	Merged-chr2-35783526-7
NR15383--MA0493.1.Klf1	chr12	115012961	115012971	+	0.000	0.000	Merged-chr12-115012998-22
NR23476--MA0599.1.KLF5	chr16	3859463	3859472	-	0.000	0.000	Merged-chr16-3859586-8
NR60104--MA0599.1.KLF5	chr8	13703969	13703978	-	0.000	0.000	Merged-chr8-13703943-8
NR29848--MA0039.3.KLF4	chr18	56871833	56871843	-	0.000	0.000	Merged-chr18-56871976-16
NR67109--MA0741.1.KLF16	chrX	12977803	12977813	-	0.000	0.000	Merged-chrX-12977868-18
NR46578--MA0599.1.KLF5	chr4	155694295	155694304	-	0.000	0.000	Merged-chr4-155694254-1
NR7371--MA0740.1.KLF14	chr10	95009209	95009222	-	0.000	0.000	Merged-chr10-95009173-43
NR57097--MA0742.1.Klf12	chr7	75644830	75644844	-	0.000	0.000	Merged-chr7-75644760-27
NR12794--MA0493.1.Klf1	chr11	118200332	118200342	-	0.000	0.000	Merged-chr11-118200400-19
NR14079--MA0599.1.KLF5	chr12	77765418	77765427	+	0.000	0.000	Merged-chr12-77765433-12
NR14610--MA0039.3.KLF4	chr12	100480788	100480798	+	0.000	0.000	Merged-chr12-100480598-53
NR31758--MA0742.1.Klf12	chr19	27967765	27967779	-	0.000	0.000	Merged-chr19-27967760-35
NR60555--MA1107.1.KLF9	chr8	40584799	40584811	+	0.000	0.000	Merged-chr8-40584789-43
NR8005--MA0740.1.KLF14	chr10	117925748	117925761	+	0.000	0.000	Merged-chr10-117925903-63
NR32872--MA1107.1.KLF9	chr19	60183110	60183122	+	0.000	0.000	Merged-chr19-60182957-49
NR40125--MA0742.1.Klf12	chr3	101748387	101748401	+	0.000	0.000	Merged-chr3-101748481-44
NR37623--MA1107.1.KLF9	chr2	166610540	166610552	+	0.000	0.000	Merged-chr2-166610595-30
NR31651--MA0740.1.KLF14	chr19	21785255	21785268	+	0.000	0.000	Merged-chr19-21785424-37
NR13405--MA0493.1.Klf1	chr12	32202004	32202014	-	0.000	0.000	Merged-chr12-32202051-6
NR7474--MA1107.1.KLF9	chr10	98776713	98776725	-	0.000	0.000	Merged-chr10-98776574-38
NR2636--MA0741.1.KLF16	chr1	147237214	147237224	+	0.000	0.000	Merged-chr1-147237183-6
NR777--MA0741.1.KLF16	chr1	59180246	59180256	+	0.000	0.000	Merged-chr1-59180254-19
NR3044--MA0740.1.KLF14	chr1	159813013	159813026	-	0.000	0.000	Merged-chr1-159812982-41
NR48431--MA0599.1.KLF5	chr5	92245585	92245594	-	0.000	0.000	Merged-chr5-92245649-42
NR35703--MA0742.1.Klf12	chr2	114136953	114136967	-	0.000	0.000	Merged-chr2-114137020-31
NR41272--MA0599.1.KLF5	chr3	136730177	136730186	-	0.000	0.000	Merged-chr3-136730222-15
NR53571--MA0493.1.Klf1	chr6	114679268	114679278	-	0.000	0.000	Merged-chr6-114679499-19
NR33981--MA0599.1.KLF5	chr2	35729685	35729694	-	0.000	0.000	Merged-chr2-35729635-16
NR29223--MA0599.1.KLF5	chr18	23841686	23841695	-	0.000	0.000	Merged-chr18-23841558-17
NR37769--MA0741.1.KLF16	chr2	167831834	167831844	-	0.000	0.000	Merged-chr2-167831852-3
NR27193--MA0740.1.KLF14	chr17	35742070	35742083	+	0.000	0.000	Merged-chr17-35741988-36
NR58689--MA0741.1.KLF16	chr7	122317172	122317182	+	0.000	0.000	Merged-chr7-122317075-24
NR29204--MA1107.1.KLF9	chr18	23733795	23733807	+	0.000	0.000	Merged-chr18-23733972-8
NR13222--MA0599.1.KLF5	chr12	17511204	17511213	+	0.000	0.000	Merged-chr12-17511273-48
NR30218--MA1107.1.KLF9	chr18	67255871	67255883	-	0.000	0.000	Merged-chr18-67255745-40
NR2119--MA1107.1.KLF9	chr1	128540452	128540464	+	0.000	0.000	Merged-chr1-128540410-9
NR47562--MA0741.1.KLF16	chr5	43824748	43824758	-	0.000	0.000	Merged-chr5-43824623-50
NR37660--MA0599.1.KLF5	chr2	166740624	166740633	-	0.000	0.000	Merged-chr2-166740656-12
NR33496--MA0039.3.KLF4	chr2	27487404	27487414	-	0.000	0.000	Merged-chr2-27487515-13
NR34807--MA0599.1.KLF5	chr2	73470528	73470537	-	0.000	0.000	Merged-chr2-73470465-56
NR23372--MA1107.1.KLF9	chr15	102110643	102110655	-	0.000	0.000	Merged-chr15-102110732-12
NR22265--MA0493.1.Klf1	chr15	78835209	78835219	-	0.000	0.000	Merged-chr15-78835387-37
NR31098--MA0493.1.Klf1	chr19	3976113	3976123	+	0.000	0.000	Merged-chr19-3976009-22
NR37847--MA1107.1.KLF9	chr2	168591375	168591387	-	0.000	0.000	Merged-chr2-168591388-1
NR64208--MA0493.1.Klf1	chr9	54624196	54624206	-	0.000	0.000	Merged-chr9-54624263-10
NR30482--MA1107.1.KLF9	chr18	73816987	73816999	+	0.000	0.000	Merged-chr18-73816843-39
NR63493--MA0039.3.KLF4	chr9	21328058	21328068	-	0.000	0.000	Merged-chr9-21328115-58
NR33805--MA0039.3.KLF4	chr2	32493473	32493483	-	0.000	0.000	Merged-chr2-32493543-52
NR61677--MA0742.1.Klf12	chr8	86485065	86485079	+	0.000	0.000	Merged-chr8-86484982-16
NR43406--MA1107.1.KLF9	chr4	62630048	62630060	-	0.000	0.000	Merged-chr4-62630130-56
NR59617--MA0039.3.KLF4	chr7	141270825	141270835	+	0.000	0.000	Merged-chr7-141270891-9
NR65464--MA0599.1.KLF5	chr9	96369975	96369984	-	0.000	0.000	Merged-chr9-96369990-33
NR39902--MA0493.1.Klf1	chr3	96338265	96338275	+	0.000	0.000	Merged-chr3-96338308-3
NR51719--MA0599.1.KLF5	chr6	29916964	29916973	-	0.000	0.000	Merged-chr6-29917052-59
NR23493--MA1107.1.KLF9	chr16	3962971	3962983	+	0.000	0.000	Merged-chr16-3962878-14
NR28459--MA1107.1.KLF9	chr17	80441969	80441981	-	0.000	0.000	Merged-chr17-80441791-30
NR3352--MA1107.1.KLF9	chr1	167245575	167245587	+	0.000	0.000	Merged-chr1-167245435-23
NR66433--MA0599.1.KLF5	chr9	116241446	116241455	+	0.000	0.000	Merged-chr9-116241562-13
NR12458--MA1107.1.KLF9	chr11	113802535	113802547	-	0.000	0.000	Merged-chr11-113802652-27
NR64034--MA0599.1.KLF5	chr9	45329720	45329729	-	0.000	0.000	Merged-chr9-45329808-12
NR10530--MA0599.1.KLF5	chr11	70669982	70669991	-	0.000	0.000	Merged-chr11-70669977-7
NR21752--MA1107.1.KLF9	chr15	60120074	60120086	-	0.000	0.000	Merged-chr15-60120172-38
NR183--MA0599.1.KLF5	chr1	21870789	21870798	+	0.000	0.000	Merged-chr1-21870806-15
NR63247--MA0039.3.KLF4	chr8	128420726	128420736	+	0.000	0.000	Merged-chr8-128420826-46
NR33632--MA0599.1.KLF5	chr2	29849206	29849215	-	0.000	0.000	Merged-chr2-29849136-11
NR24319--MA1107.1.KLF9	chr16	35765697	35765709	-	0.000	0.000	Merged-chr16-35765641-23
NR47901--MA0599.1.KLF5	chr5	67155731	67155740	+	0.000	0.000	Merged-chr5-67155759-12
NR14513--MA0493.1.Klf1	chr12	94083598	94083608	+	0.000	0.000	Merged-chr12-94083592-14
NR42455--MA1107.1.KLF9	chr4	20033081	20033093	+	0.000	0.000	Merged-chr4-20033263-40
NR36192--MA0740.1.KLF14	chr2	128470705	128470718	-	0.000	0.000	Merged-chr2-128470524-44
NR54200--MA0493.1.Klf1	chr6	130627449	130627459	-	0.000	0.000	Merged-chr6-130627344-1
NR33494--MA0742.1.Klf12	chr2	27487402	27487416	-	0.000	0.000	Merged-chr2-27487515-13
NR58451--MA0039.3.KLF4	chr7	117406358	117406368	-	0.000	0.000	Merged-chr7-117406595-16
NR39239--MA1107.1.KLF9	chr3	68784323	68784335	-	0.000	0.000	Merged-chr3-68784168-43
NR24518--MA0741.1.KLF16	chr16	46027242	46027252	-	0.000	0.000	Merged-chr16-46027069-1,Merged-chr16-46027426-16
NR35707--MA0741.1.KLF16	chr2	114153384	114153394	-	0.000	0.000	Merged-chr2-114153480-37
NR37507--MA1107.1.KLF9	chr2	164353536	164353548	-	0.000	0.000	Merged-chr2-164353561-20
NR15402--MA0599.1.KLF5	chr12	115952830	115952839	-	0.000	0.000	Merged-chr12-115952646-44
NR62772--MA0599.1.KLF5	chr8	121573582	121573591	+	0.000	0.000	Merged-chr8-121573521-19
NR37193--MA0039.3.KLF4	chr2	157071723	157071733	-	0.000	0.000	Merged-chr2-157071692-20
NR40518--MA0742.1.Klf12	chr3	115758848	115758862	-	0.000	0.000	Merged-chr3-115758930-94
NR28576--MA0493.1.Klf1	chr17	83809335	83809345	+	0.000	0.000	Merged-chr17-83809391-18
NR31425--MA0493.1.Klf1	chr19	8984279	8984289	-	0.000	0.000	Merged-chr19-8984128-7
NR65115--MA0599.1.KLF5	chr9	79947684	79947693	-	0.000	0.000	Merged-chr9-79947658-22
NR6908--MA0039.3.KLF4	chr10	83733944	83733954	-	0.000	0.000	Merged-chr10-83733897-13
NR11807--MA1107.1.KLF9	chr11	99147984	99147996	+	0.000	0.000	Merged-chr11-99147890-14
NR67724--MA0493.1.Klf1	chrX	102061020	102061030	+	0.000	0.000	Merged-chrX-102061073-12
NR36655--MA0493.1.Klf1	chr2	144173864	144173874	-	0.000	0.000	Merged-chr2-144174021-12
NR37619--MA1107.1.KLF9	chr2	166607045	166607057	+	0.000	0.000	Merged-chr2-166607083-27
NR57315--MA0657.1.KLF13	chr7	80779536	80779553	+	0.000	0.000	Merged-chr7-80779458-48
NR29231--MA1107.1.KLF9	chr18	24056635	24056647	-	0.000	0.000	Merged-chr18-24056645-8
NR3055--MA0741.1.KLF16	chr1	159812996	159813006	-	0.000	0.000	Merged-chr1-159812982-41
NR33594--MA0741.1.KLF16	chr2	29102779	29102789	-	0.000	0.000	Merged-chr2-29102866-17
NR19541--MA1107.1.KLF9	chr14	57713130	57713142	-	0.000	0.000	Merged-chr14-57713043-44
NR48329--MA0657.1.KLF13	chr5	88988939	88988956	-	0.000	0.000	Merged-chr5-88989096-7
NR50786--MA0599.1.KLF5	chr5	140839009	140839018	+	0.000	0.000	Merged-chr5-140838792-15
NR21552--MA0599.1.KLF5	chr15	42983386	42983395	+	0.000	0.000	Merged-chr15-42983258-15
NR60285--MA0741.1.KLF16	chr8	25059856	25059866	+	0.000	0.000	Merged-chr8-25059963-13
NR52612--MA0599.1.KLF5	chr6	72410884	72410893	+	0.000	0.000	Merged-chr6-72410796-13
NR54717--MA0742.1.Klf12	chr6	142955193	142955207	+	0.000	0.000	Merged-chr6-142955079-5
NR58397--MA0741.1.KLF16	chr7	115448893	115448903	+	0.000	0.000	Merged-chr7-115449030-8
NR29219--MA0599.1.KLF5	chr18	23811115	23811124	+	0.000	0.000	Merged-chr18-23810991-46
NR34368--MA0493.1.Klf1	chr2	60204356	60204366	+	0.000	0.000	Merged-chr2-60204421-25
NR42326--MA0493.1.Klf1	chr4	8712374	8712384	+	0.000	0.000	Merged-chr4-8712432-5
NR7713--MA0599.1.KLF5	chr10	111031829	111031838	+	0.000	0.000	Merged-chr10-111031729-43
NR37614--MA0742.1.Klf12	chr2	166607045	166607059	+	0.000	0.000	Merged-chr2-166607083-27
NR31363--MA0599.1.KLF5	chr19	7375017	7375026	+	0.000	0.000	Merged-chr19-7375131-8
NR10512--MA0742.1.Klf12	chr11	70597420	70597434	-	0.000	0.000	Merged-chr11-70597550-26
NR11158--MA1107.1.KLF9	chr11	85541640	85541652	-	0.000	0.000	Merged-chr11-85541666-11
NR2453--MA0741.1.KLF16	chr1	138180318	138180328	-	0.000	0.000	Merged-chr1-138180262-18
NR63073--MA1107.1.KLF9	chr8	125727532	125727544	-	0.000	0.000	Merged-chr8-125727602-12
NR64276--MA0599.1.KLF5	chr9	57339968	57339977	-	0.000	0.000	Merged-chr9-57339944-60
NR33498--MA0741.1.KLF16	chr2	27487405	27487415	-	0.000	0.000	Merged-chr2-27487515-13
NR64896--MA0741.1.KLF16	chr9	73176865	73176875	-	0.000	0.000	Merged-chr9-73176903-12
NR30478--MA1107.1.KLF9	chr18	73816979	73816991	+	0.000	0.000	Merged-chr18-73816843-39
NR9598--MA0741.1.KLF16	chr11	49204048	49204058	+	0.000	0.000	Merged-chr11-49204089-8
NR5506--MA0493.1.Klf1	chr10	44368843	44368853	+	0.000	0.000	Merged-chr10-44368737-26
NR7372--MA0657.1.KLF13	chr10	95009206	95009223	-	0.000	0.000	Merged-chr10-95009173-43
NR7914--MA0657.1.KLF13	chr10	117022727	117022744	+	0.000	0.000	Merged-chr10-117022803-21
NR21748--MA0742.1.Klf12	chr15	59805086	59805100	+	0.000	0.000	Merged-chr15-59805045-21
NR25343--MA0599.1.KLF5	chr16	91780938	91780947	-	0.000	0.000	Merged-chr16-91781071-63
NR55894--MA1107.1.KLF9	chr7	27260009	27260021	-	0.000	0.000	Merged-chr7-27259929-6
NR47658--MA0039.3.KLF4	chr5	54111081	54111091	+	0.000	0.000	Merged-chr5-54110931-21
NR47650--MA0741.1.KLF16	chr5	53605581	53605591	-	0.000	0.000	Merged-chr5-53605625-25
NR13325--MA0493.1.Klf1	chr12	25216881	25216891	-	0.000	0.000	Merged-chr12-25216883-29
NR21542--MA1107.1.KLF9	chr15	42983296	42983308	+	0.000	0.000	Merged-chr15-42983258-15
NR35811--MA1107.1.KLF9	chr2	118554469	118554481	+	0.000	0.000	Merged-chr2-118554697-72
NR46390--MA0493.1.Klf1	chr4	152186651	152186661	-	0.000	0.000	Merged-chr4-152186778-42
NR56524--MA0599.1.KLF5	chr7	45121664	45121673	+	0.000	0.000	Merged-chr7-45121524-44
NR15178--MA0493.1.Klf1	chr12	110500282	110500292	+	0.000	0.000	Merged-chr12-110500249-7
NR52155--MA0493.1.Klf1	chr6	50601873	50601883	-	0.000	0.000	Merged-chr6-50601872-31
NR52518--MA0741.1.KLF16	chr6	67533270	67533280	+	0.000	0.000	Merged-chr6-67533170-65
NR26648--MA0599.1.KLF5	chr17	28085159	28085168	+	0.000	0.000	Merged-chr17-28085158-23
NR27378--MA0039.3.KLF4	chr17	44463888	44463898	-	0.000	0.000	Merged-chr17-44463845-28
NR40504--MA1107.1.KLF9	chr3	115706532	115706544	+	0.000	0.000	Merged-chr3-115706402-1
NR14690--MA0742.1.Klf12	chr12	102351063	102351077	-	0.000	0.000	Merged-chr12-102350976-38
NR45166--MA0493.1.Klf1	chr4	133058024	133058034	+	0.000	0.000	Merged-chr4-133057911-45
NR3045--MA0657.1.KLF13	chr1	159812991	159813008	-	0.000	0.000	Merged-chr1-159812982-41
NR4080--MA0741.1.KLF16	chr1	184013533	184013543	-	0.000	0.000	Merged-chr1-184013369-24
NR5505--MA0039.3.KLF4	chr10	44368845	44368855	+	0.000	0.000	Merged-chr10-44368737-26
NR40929--MA0039.3.KLF4	chr3	127892091	127892101	-	0.000	0.000	Merged-chr3-127892051-37
NR31135--MA0599.1.KLF5	chr19	4294650	4294659	+	0.000	0.000	Merged-chr19-4294616-52
NR16156--MA0741.1.KLF16	chr13	42049183	42049193	-	0.000	0.000	Merged-chr13-42049130-34
NR32541--MA0039.3.KLF4	chr19	53760524	53760534	-	0.000	0.000	Merged-chr19-53760542-10
NR62534--MA1107.1.KLF9	chr8	117052553	117052565	-	0.000	0.000	Merged-chr8-117052612-3
NR6771--MA0599.1.KLF5	chr10	81401814	81401823	-	0.000	0.000	Merged-chr10-81401925-26
NR37618--MA0741.1.KLF16	chr2	166607046	166607056	+	0.000	0.000	Merged-chr2-166607083-27
NR3160--MA1107.1.KLF9	chr1	162565216	162565228	+	0.000	0.000	Merged-chr1-162565187-22
NR50956--MA0742.1.Klf12	chr5	143976868	143976882	-	0.000	0.000	Merged-chr5-143976902-14
NR38097--MA0599.1.KLF5	chr2	173377707	173377716	-	0.000	0.000	Merged-chr2-173377859-39
NR30725--MA0741.1.KLF16	chr18	80600737	80600747	-	0.000	0.000	Merged-chr18-80600681-25
NR32104--MA0599.1.KLF5	chr19	41360631	41360640	+	0.000	0.000	Merged-chr19-41360707-21
NR33520--MA0493.1.Klf1	chr2	27693905	27693915	-	0.000	0.000	Merged-chr2-27693880-30
NR33994--MA1107.1.KLF9	chr2	35783569	35783581	-	0.000	0.000	Merged-chr2-35783526-7
NR15177--MA0039.3.KLF4	chr12	110500284	110500294	+	0.000	0.000	Merged-chr12-110500249-7
NR56523--MA1107.1.KLF9	chr7	45121470	45121482	+	0.000	0.000	Merged-chr7-45121524-44
NR20104--MA0741.1.KLF16	chr14	75819282	75819292	+	0.000	0.000	Merged-chr14-75819243-7
NR9593--MA0599.1.KLF5	chr11	49177975	49177984	-	0.000	0.000	Merged-chr11-49177868-11
NR49633--MA0493.1.Klf1	chr5	120688652	120688662	-	0.000	0.000	Merged-chr5-120688663-27
NR16807--MA0741.1.KLF16	chr13	63189566	63189576	-	0.000	0.000	Merged-chr13-63189715-33
NR29142--MA1107.1.KLF9	chr18	14668913	14668925	+	0.000	0.000	Merged-chr18-14669072-17
NR13160--MA0599.1.KLF5	chr12	13410345	13410354	-	0.000	0.000	Merged-chr12-13410341-33
NR42106--MA0039.3.KLF4	chr3	154628488	154628498	+	0.000	0.000	Merged-chr3-154628476-23
NR63729--MA0742.1.Klf12	chr9	32539680	32539694	+	0.000	0.000	Merged-chr9-32539747-88
NR11849--MA0599.1.KLF5	chr11	100619233	100619242	+	0.000	0.000	Merged-chr11-100619121-2
NR21067--MA0741.1.KLF16	chr15	6709254	6709264	+	0.000	0.000	Merged-chr15-6709101-6
NR34651--MA0741.1.KLF16	chr2	71275534	71275544	+	0.000	0.000	Merged-chr2-71275399-1
NR37785--MA1107.1.KLF9	chr2	167975553	167975565	-	0.000	0.000	Merged-chr2-167975780-28
NR47781--MA0742.1.Klf12	chr5	64814614	64814628	-	0.000	0.000	Merged-chr5-64814599-21
NR11615--MA1107.1.KLF9	chr11	97146172	97146184	+	0.000	0.000	Merged-chr11-97146058-3
NR4023--MA0599.1.KLF5	chr1	183179962	183179971	-	0.000	0.000	Merged-chr1-183179810-7
NR39982--MA0742.1.Klf12	chr3	97211378	97211392	+	0.000	0.000	Merged-chr3-97211392-28
NR18004--MA1107.1.KLF9	chr13	108170122	108170134	+	0.000	0.000	Merged-chr13-108170237-20
NR27728--MA1107.1.KLF9	chr17	52064914	52064926	-	0.000	0.000	Merged-chr17-52064871-36
NR9538--MA0039.3.KLF4	chr11	46454879	46454889	-	0.000	0.000	Merged-chr11-46454823-30
NR8723--MA0741.1.KLF16	chr10	128750437	128750447	-	0.000	0.000	Merged-chr10-128750381-16
NR16183--MA0493.1.Klf1	chr13	43250722	43250732	-	0.000	0.000	Merged-chr13-43250604-89
NR24061--MA0599.1.KLF5	chr16	23984875	23984884	-	0.000	0.000	Merged-chr16-23984842-61
NR19695--MA0599.1.KLF5	chr14	62353789	62353798	-	0.000	0.000	Merged-chr14-62353676-8
NR23499--MA0493.1.Klf1	chr16	4074960	4074970	+	0.000	0.000	Merged-chr16-4075088-14
NR22397--MA0741.1.KLF16	chr15	80192527	80192537	+	0.000	0.000	Merged-chr15-80192413-58
NR9901--MA1107.1.KLF9	chr11	55131242	55131254	+	0.000	0.000	Merged-chr11-55131266-10
NR14878--MA0742.1.Klf12	chr12	104999354	104999368	+	0.000	0.000	Merged-chr12-104999417-2
NR16618--MA0599.1.KLF5	chr13	55513543	55513552	+	0.000	0.000	Merged-chr13-55513377-73
NR66530--MA0742.1.Klf12	chr9	117910975	117910989	-	0.000	0.000	Merged-chr9-117910970-21
NR39853--MA1107.1.KLF9	chr3	95523804	95523816	+	0.000	0.000	Merged-chr3-95523820-51
NR33771--MA0493.1.Klf1	chr2	32166597	32166607	-	0.000	0.000	Merged-chr2-32166737-9
NR54921--MA1107.1.KLF9	chr6	145417482	145417494	-	0.000	0.000	Merged-chr6-145417723-108
NR40509--MA1107.1.KLF9	chr3	115706542	115706554	+	0.000	0.000	Merged-chr3-115706402-1
NR66801--MA0599.1.KLF5	chr9	121881090	121881099	-	0.000	0.000	Merged-chr9-121881048-26
NR12579--MA0742.1.Klf12	chr11	115338892	115338906	+	0.000	0.000	Merged-chr11-115338922-7
NR9663--MA0657.1.KLF13	chr11	51577799	51577816	+	0.000	0.000	Merged-chr11-51577778-26
NR62539--MA1107.1.KLF9	chr8	117052563	117052575	-	0.000	0.000	Merged-chr8-117052612-3
NR6776--MA0599.1.KLF5	chr10	81401864	81401873	+	0.000	0.000	Merged-chr10-81401925-26
NR7355--MA0740.1.KLF14	chr10	94942957	94942970	+	0.000	0.000	Merged-chr10-94942923-6
NR58180--MA0741.1.KLF16	chr7	110202891	110202901	+	0.000	0.000	Merged-chr7-110202943-8
NR32537--MA0039.3.KLF4	chr19	53760459	53760469	-	0.000	0.000	Merged-chr19-53760542-10
NR61280--MA0599.1.KLF5	chr8	75082634	75082643	-	0.000	0.000	Merged-chr8-75082480-28
NR14050--MA0742.1.Klf12	chr12	76889980	76889994	+	0.000	0.000	Merged-chr12-76889803-12
NR21011--MA0599.1.KLF5	chr15	3174252	3174261	-	0.000	0.000	Merged-chr15-3174330-41
NR62464--MA0599.1.KLF5	chr8	115728736	115728745	+	0.000	0.000	Merged-chr8-115728663-11
NR47377--MA1107.1.KLF9	chr5	34575080	34575092	-	0.000	0.000	Merged-chr5-34575052-11
NR67769--MA1107.1.KLF9	chrX	105710754	105710766	-	0.000	0.000	Merged-chrX-105710929-18
