#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_up.bed
NR7048--MA0036.3.GATA2	chr9	120961808	120961818	-	0.000	0.000	Merged-chr9-120961674-26
NR6895--MA0035.3.Gata1	chr9	88722041	88722051	+	0.000	0.000	Merged-chr9-88721964-40
NR5065--MA0140.2.GATA1::TAL1	chr5	3887073	3887090	-	0.000	0.000	Merged-chr5-3887091-30
NR5082--MA1104.1.GATA6	chr5	8374460	8374472	+	0.000	0.000	Merged-chr5-8374526-17
NR7006--MA0035.3.Gata1	chr9	115526272	115526282	-	0.000	0.000	Merged-chr9-115526484-32
NR5210--MA1104.1.GATA6	chr5	64568010	64568022	+	0.000	0.000	Merged-chr5-64568007-12
NR4751--MA1104.1.GATA6	chr4	48039820	48039832	+	0.000	0.000	Merged-chr4-48039854-22
NR356--MA0036.3.GATA2	chr1	162734416	162734426	+	0.000	0.000	Merged-chr1-162734445-9
NR2943--MA0036.3.GATA2	chr16	89849287	89849297	-	0.000	0.000	Merged-chr16-89849155-62
NR5063--MA0036.3.GATA2	chr5	3887082	3887092	-	0.000	0.000	Merged-chr5-3887091-30
NR6587--MA0037.3.GATA3	chr8	121650684	121650691	+	0.000	0.000	Merged-chr8-121650674-17
NR2356--MA0037.3.GATA3	chr14	79481997	79482004	-	0.000	0.000	Merged-chr14-79481875-1
NR4681--MA0482.1.Gata4	chr4	10770161	10770171	-	0.000	0.000	Merged-chr4-10770192-53
NR475--MA0766.1.GATA5	chr1	191102864	191102871	-	0.000	0.000	Merged-chr1-191102990-43
NR1502--MA0037.3.GATA3	chr12	89853230	89853237	-	0.000	0.000	Merged-chr12-89853221-2
NR2653--MA0482.1.Gata4	chr15	82914619	82914629	-	0.000	0.000	Merged-chr15-82914694-36
NR3558--MA0036.3.GATA2	chr19	31321987	31321997	-	0.000	0.000	Merged-chr19-31321995-11
NR7128--MA0035.3.Gata1	chrX	93617497	93617507	-	0.000	0.000	Merged-chrX-93617420-5
NR3970--MA0140.2.GATA1::TAL1	chr2	102955392	102955409	-	0.000	0.000	Merged-chr2-102955467-1
NR6993--MA0482.1.Gata4	chr9	112174907	112174917	-	0.000	0.000	Merged-chr9-112174843-101
NR5153--MA0482.1.Gata4	chr5	33304162	33304172	-	0.000	0.000	Merged-chr5-33304235-9
NR3268--MA0482.1.Gata4	chr17	86038315	86038325	+	0.000	0.000	Merged-chr17-86038391-20
NR5680--MA0037.3.GATA3	chr6	58640340	58640347	-	0.000	0.000	Merged-chr6-58640552-47
NR5599--MA0036.3.GATA2	chr6	34364727	34364737	-	0.000	0.000	Merged-chr6-34364838-25
NR3400--MA0037.3.GATA3	chr18	66502128	66502135	+	0.000	0.000	Merged-chr18-66502099-22
NR5379--MA1104.1.GATA6	chr5	121837256	121837268	-	0.000	0.000	Merged-chr5-121837232-116
NR370--MA0035.3.Gata1	chr1	164136961	164136971	-	0.000	0.000	Merged-chr1-164136892-1
NR1174--MA0482.1.Gata4	chr11	97246705	97246715	+	0.000	0.000	Merged-chr11-97246717-13
NR7008--MA0482.1.Gata4	chr9	116283895	116283905	+	0.000	0.000	Merged-chr9-116283998-37
NR7117--MA0482.1.Gata4	chrX	75032273	75032283	+	0.000	0.000	Merged-chrX-75032186-8
NR1210--MA0037.3.GATA3	chr11	101661876	101661883	+	0.000	0.000	Merged-chr11-101661964-4
NR402--MA0035.3.Gata1	chr1	175672150	175672160	+	0.000	0.000	Merged-chr1-175671979-22
NR6914--MA0036.3.GATA2	chr9	92274724	92274734	-	0.000	0.000	Merged-chr9-92274591-56
NR1908--MA1104.1.GATA6	chr13	83727556	83727568	+	0.000	0.000	Merged-chr13-83727511-10
NR5156--MA0035.3.Gata1	chr5	33304163	33304173	-	0.000	0.000	Merged-chr5-33304235-9
NR1838--MA0482.1.Gata4	chr13	55636687	55636697	+	0.000	0.000	Merged-chr13-55636712-28
NR6590--MA0036.3.GATA2	chr8	121650682	121650692	-	0.000	0.000	Merged-chr8-121650674-17
NR4782--MA0482.1.Gata4	chr4	85005540	85005550	+	0.000	0.000	Merged-chr4-85005781-54
NR822--MA1104.1.GATA6	chr10	116664335	116664347	+	0.000	0.000	Merged-chr10-116664420-26
NR4628--MA0036.3.GATA2	chr3	149485336	149485346	-	0.000	0.000	Merged-chr3-149485335-12
NR904--MA0035.3.Gata1	chr10	128990354	128990364	+	0.000	0.000	Merged-chr10-128990510-111
NR2592--MA0482.1.Gata4	chr15	73599774	73599784	+	0.000	0.000	Merged-chr15-73599756-21
NR3819--MA1104.1.GATA6	chr2	60328748	60328760	-	0.000	0.000	Merged-chr2-60328757-33
NR1040--MA1104.1.GATA6	chr11	54063311	54063323	+	0.000	0.000	Merged-chr11-54063198-57
NR2557--MA0766.1.GATA5	chr15	59010878	59010885	-	0.000	0.000	Merged-chr15-59010782-34
NR4785--MA0035.3.Gata1	chr4	85005539	85005549	+	0.000	0.000	Merged-chr4-85005781-54
NR2799--MA0036.3.GATA2	chr16	24826502	24826512	+	0.000	0.000	Merged-chr16-24826564-20
NR4607--MA0036.3.GATA2	chr3	146275830	146275840	+	0.000	0.000	Merged-chr3-146275724-31
NR5180--MA0140.2.GATA1::TAL1	chr5	44227323	44227340	-	0.000	0.000	Merged-chr5-44227233-4
NR664--MA0766.1.GATA5	chr10	68356055	68356062	+	0.000	0.000	Merged-chr10-68356186-29
NR972--MA0140.2.GATA1::TAL1	chr11	20565296	20565313	-	0.000	0.000	Merged-chr11-20565128-32
NR2750--MA1104.1.GATA6	chr16	11078639	11078651	-	0.000	0.000	Merged-chr16-11078619-14
NR2452--MA0035.3.Gata1	chr14	123015951	123015961	+	0.000	0.000	Merged-chr14-123015903-11
NR306--MA0036.3.GATA2	chr1	151973292	151973302	-	0.000	0.000	Merged-chr1-151973357-25
NR4697--MA0036.3.GATA2	chr4	32388104	32388114	+	0.000	0.000	Merged-chr4-32387941-10
NR2803--MA0140.2.GATA1::TAL1	chr16	24859766	24859783	-	0.000	0.000	Merged-chr16-24859863-8
NR5760--MA0037.3.GATA3	chr6	98609386	98609393	-	0.000	0.000	Merged-chr6-98609321-36
NR4682--MA1104.1.GATA6	chr4	10770161	10770173	+	0.000	0.000	Merged-chr4-10770192-53
NR7046--MA0035.3.Gata1	chr9	120961003	120961013	+	0.000	0.000	Merged-chr9-120960803-26
NR2654--MA1104.1.GATA6	chr15	82914619	82914631	+	0.000	0.000	Merged-chr15-82914694-36
NR2085--MA0035.3.Gata1	chr13	113023933	113023943	+	0.000	0.000	Merged-chr13-113023939-34
NR400--MA1104.1.GATA6	chr1	175672149	175672161	-	0.000	0.000	Merged-chr1-175671979-22
NR6292--MA0482.1.Gata4	chr7	123108636	123108646	-	0.000	0.000	Merged-chr7-123108481-68
NR4883--MA0482.1.Gata4	chr4	122829337	122829347	-	0.000	0.000	Merged-chr4-122829434-12
NR5154--MA1104.1.GATA6	chr5	33304162	33304174	+	0.000	0.000	Merged-chr5-33304235-9
NR4325--MA0766.1.GATA5	chr3	84570697	84570704	-	0.000	0.000	Merged-chr3-84570776-21
NR2635--MA0036.3.GATA2	chr15	81308333	81308343	+	0.000	0.000	Merged-chr15-81308219-24
NR2502--MA0766.1.GATA5	chr15	31440061	31440068	-	0.000	0.000	Merged-chr15-31440136-19
NR5948--MA0037.3.GATA3	chr6	140308148	140308155	+	0.000	0.000	Merged-chr6-140308190-9
NR2157--MA0037.3.GATA3	chr14	20938526	20938533	+	0.000	0.000	Merged-chr14-20938430-1
NR2202--MA0482.1.Gata4	chr14	48422360	48422370	-	0.000	0.000	Merged-chr14-48422314-53
NR7118--MA1104.1.GATA6	chrX	75032271	75032283	-	0.000	0.000	Merged-chrX-75032186-8
NR6889--MA0766.1.GATA5	chr9	86579815	86579822	-	0.000	0.000	Merged-chr9-86579809-9
NR4262--MA0036.3.GATA2	chr3	37157381	37157391	+	0.000	0.000	Merged-chr3-37157248-37
NR1527--MA0140.2.GATA1::TAL1	chr12	91065612	91065629	+	0.000	0.000	Merged-chr12-91065547-31
NR476--MA0035.3.Gata1	chr1	191102863	191102873	+	0.000	0.000	Merged-chr1-191102990-43
NR9--MA0140.2.GATA1::TAL1	chr1	9883364	9883381	-	0.000	0.000	Merged-chr1-9883358-36
NR2292--MA0482.1.Gata4	chr14	62928195	62928205	-	0.000	0.000	Merged-chr14-62928345-50
NR1839--MA1104.1.GATA6	chr13	55636685	55636697	-	0.000	0.000	Merged-chr13-55636712-28
NR5730--MA0766.1.GATA5	chr6	87436977	87436984	-	0.000	0.000	Merged-chr6-87436992-13
NR6507--MA0766.1.GATA5	chr8	94633742	94633749	-	0.000	0.000	Merged-chr8-94633712-19
NR4783--MA1104.1.GATA6	chr4	85005538	85005550	-	0.000	0.000	Merged-chr4-85005781-54
NR398--MA0766.1.GATA5	chr1	175631875	175631882	+	0.000	0.000	Merged-chr1-175631822-65
NR3540--MA0766.1.GATA5	chr19	16418579	16418586	-	0.000	0.000	Merged-chr19-16418552-32
NR4522--MA0766.1.GATA5	chr3	136742960	136742967	-	0.000	0.000	Merged-chr3-136742959-57
NR4307--MA0036.3.GATA2	chr3	68967472	68967482	-	0.000	0.000	Merged-chr3-68967303-47
NR2593--MA1104.1.GATA6	chr15	73599772	73599784	-	0.000	0.000	Merged-chr15-73599756-21
NR2450--MA1104.1.GATA6	chr14	123015950	123015962	-	0.000	0.000	Merged-chr14-123015903-11
NR5800--MA0035.3.Gata1	chr6	108704935	108704945	+	0.000	0.000	Merged-chr6-108704873-18
NR2160--MA0036.3.GATA2	chr14	20938524	20938534	-	0.000	0.000	Merged-chr14-20938430-1
NR5205--MA0140.2.GATA1::TAL1	chr5	64371384	64371401	+	0.000	0.000	Merged-chr5-64371502-26
NR6500--MA0482.1.Gata4	chr8	94240436	94240446	+	0.000	0.000	Merged-chr8-94240399-13
NR4538--MA0036.3.GATA2	chr3	138334460	138334470	-	0.000	0.000	Merged-chr3-138334424-50
NR1765--MA0037.3.GATA3	chr13	29756231	29756238	+	0.000	0.000	Merged-chr13-29756237-14
NR5377--MA0037.3.GATA3	chr5	121837258	121837265	-	0.000	0.000	Merged-chr5-121837232-116
NR2383--MA0035.3.Gata1	chr14	101477377	101477387	-	0.000	0.000	Merged-chr14-101477413-70
NR4028--MA0036.3.GATA2	chr2	117399743	117399753	-	0.000	0.000	Merged-chr2-117399695-40
NR2629--MA0766.1.GATA5	chr15	79729230	79729237	-	0.000	0.000	Merged-chr15-79729133-34
NR6789--MA0035.3.Gata1	chr9	61668874	61668884	-	0.000	0.000	Merged-chr9-61668916-18
NR2558--MA0035.3.Gata1	chr15	59010877	59010887	+	0.000	0.000	Merged-chr15-59010782-34
NR4418--MA0766.1.GATA5	chr3	121689181	121689188	-	0.000	0.000	Merged-chr3-121689232-23
NR2171--MA1104.1.GATA6	chr14	27562726	27562738	+	0.000	0.000	Merged-chr14-27562668-44
NR6555--MA0766.1.GATA5	chr8	114888906	114888913	+	0.000	0.000	Merged-chr8-114888790-56
NR1906--MA0037.3.GATA3	chr13	83727559	83727566	+	0.000	0.000	Merged-chr13-83727511-10
NR6417--MA0482.1.Gata4	chr8	61283357	61283367	-	0.000	0.000	Merged-chr8-61283229-50
NR7009--MA0035.3.Gata1	chr9	116283894	116283904	+	0.000	0.000	Merged-chr9-116283998-37
NR117--MA0766.1.GATA5	chr1	74726885	74726892	-	0.000	0.000	Merged-chr1-74726770-27
NR784--MA0482.1.Gata4	chr10	108333780	108333790	+	0.000	0.000	Merged-chr10-108333731-6
NR5630--MA0035.3.Gata1	chr6	49606554	49606564	-	0.000	0.000	Merged-chr6-49606385-13
NR579--MA0482.1.Gata4	chr10	34117970	34117980	+	0.000	0.000	Merged-chr10-34117997-36
NR2776--MA0035.3.Gata1	chr16	18075422	18075432	-	0.000	0.000	Merged-chr16-18075425-17
NR5704--MA0036.3.GATA2	chr6	67184854	67184864	-	0.000	0.000	Merged-chr6-67184785-39
NR2293--MA1104.1.GATA6	chr14	62928195	62928207	+	0.000	0.000	Merged-chr14-62928345-50
NR2707--MA0036.3.GATA2	chr15	97213195	97213205	-	0.000	0.000	Merged-chr15-97213099-28
NR5809--MA0140.2.GATA1::TAL1	chr6	116674140	116674157	-	0.000	0.000	Merged-chr6-116673934-58
NR4174--MA0482.1.Gata4	chr2	163131100	163131110	+	0.000	0.000	Merged-chr2-163131105-39
NR4326--MA0035.3.Gata1	chr3	84570696	84570706	+	0.000	0.000	Merged-chr3-84570776-21
NR3817--MA0037.3.GATA3	chr2	60328750	60328757	-	0.000	0.000	Merged-chr2-60328757-33
NR5380--MA0036.3.GATA2	chr5	121837257	121837267	+	0.000	0.000	Merged-chr5-121837232-116
NR3110--MA0766.1.GATA5	chr17	27323303	27323310	-	0.000	0.000	Merged-chr17-27323176-36
NR1892--MA0482.1.Gata4	chr13	75053971	75053981	-	0.000	0.000	Merged-chr13-75053881-13
NR6505--MA0482.1.Gata4	chr8	94633742	94633752	+	0.000	0.000	Merged-chr8-94633712-19
NR1672--MA0036.3.GATA2	chr12	115605183	115605193	+	0.000	0.000	Merged-chr12-115605160-24
NR415--MA0482.1.Gata4	chr1	179578812	179578822	+	0.000	0.000	Merged-chr1-179578897-31
NR6665--MA1104.1.GATA6	chr9	7576784	7576796	+	0.000	0.000	Merged-chr9-7576753-19
NR4458--MA0482.1.Gata4	chr3	130571125	130571135	-	0.000	0.000	Merged-chr3-130571110-5
NR5970--MA0035.3.Gata1	chr6	142809507	142809517	+	0.000	0.000	Merged-chr6-142809719-29
NR2287--MA0036.3.GATA2	chr14	60072722	60072732	+	0.000	0.000	Merged-chr14-60072713-24
NR6656--MA0766.1.GATA5	chr8	128530709	128530716	+	0.000	0.000	Merged-chr8-128530780-6
NR3580--MA0766.1.GATA5	chr19	33053337	33053344	-	0.000	0.000	Merged-chr19-33053321-32
NR6856--MA0035.3.Gata1	chr9	80318149	80318159	+	0.000	0.000	Merged-chr9-80318250-48
NR1837--MA0140.2.GATA1::TAL1	chr13	52628270	52628287	-	0.000	0.000	Merged-chr13-52628204-1
NR4680--MA0037.3.GATA3	chr4	10770164	10770171	+	0.000	0.000	Merged-chr4-10770192-53
NR6508--MA0035.3.Gata1	chr8	94633741	94633751	+	0.000	0.000	Merged-chr8-94633712-19
NR1044--MA0140.2.GATA1::TAL1	chr11	54063303	54063320	-	0.000	0.000	Merged-chr11-54063198-57
NR5983--MA0035.3.Gata1	chr6	143954596	143954606	-	0.000	0.000	Merged-chr6-143954525-20
NR3730--MA1104.1.GATA6	chr2	26753535	26753547	+	0.000	0.000	Merged-chr2-26753671-30
NR2652--MA0037.3.GATA3	chr15	82914622	82914629	+	0.000	0.000	Merged-chr15-82914694-36
NR418--MA0035.3.Gata1	chr1	179578811	179578821	+	0.000	0.000	Merged-chr1-179578897-31
NR3541--MA0035.3.Gata1	chr19	16418578	16418588	+	0.000	0.000	Merged-chr19-16418552-32
NR5199--MA0037.3.GATA3	chr5	64371383	64371390	-	0.000	0.000	Merged-chr5-64371502-26
NR2614--MA0482.1.Gata4	chr15	78576487	78576497	+	0.000	0.000	Merged-chr15-78576586-27
NR1173--MA0037.3.GATA3	chr11	97246705	97246712	-	0.000	0.000	Merged-chr11-97246717-13
NR404--MA0140.2.GATA1::TAL1	chr1	177670700	177670717	+	0.000	0.000	Merged-chr1-177670807-27
NR3820--MA0036.3.GATA2	chr2	60328749	60328759	+	0.000	0.000	Merged-chr2-60328757-33
NR4055--MA0036.3.GATA2	chr2	122138270	122138280	+	0.000	0.000	Merged-chr2-122138123-26
NR3530--MA0482.1.Gata4	chr19	14466304	14466314	+	0.000	0.000	Merged-chr19-14466199-30
NR6054--MA0035.3.Gata1	chr7	19819203	19819213	-	0.000	0.000	Merged-chr7-19819165-4
NR354--MA0482.1.Gata4	chr1	162734417	162734427	+	0.000	0.000	Merged-chr1-162734445-9
NR1840--MA0035.3.Gata1	chr13	55636686	55636696	+	0.000	0.000	Merged-chr13-55636712-28
NR785--MA1104.1.GATA6	chr10	108333778	108333790	-	0.000	0.000	Merged-chr10-108333731-6
NR2117--MA0482.1.Gata4	chr14	7858140	7858150	-	0.000	0.000	Merged-chr14-7858119-23
NR1218--MA0037.3.GATA3	chr11	103260981	103260988	-	0.000	0.000	Merged-chr11-103260942-5
NR4729--MA0766.1.GATA5	chr4	43835053	43835060	+	0.000	0.000	Merged-chr4-43834935-30
NR3052--MA0036.3.GATA2	chr17	12513654	12513664	+	0.000	0.000	Merged-chr17-12513699-7
NR3323--MA0036.3.GATA2	chr18	39457946	39457956	+	0.000	0.000	Merged-chr18-39457993-13
NR3989--MA0036.3.GATA2	chr2	112676859	112676869	+	0.000	0.000	Merged-chr2-112676754-32
NR91--MA0035.3.Gata1	chr1	52652808	52652818	-	0.000	0.000	Merged-chr1-52652704-8
NR367--MA0482.1.Gata4	chr1	164136960	164136970	-	0.000	0.000	Merged-chr1-164136892-1
NR2749--MA0482.1.Gata4	chr16	11078641	11078651	+	0.000	0.000	Merged-chr16-11078619-14
NR1885--MA0140.2.GATA1::TAL1	chr13	74807038	74807055	+	0.000	0.000	Merged-chr13-74807108-27
NR3490--MA0482.1.Gata4	chr19	8019878	8019888	+	0.000	0.000	Merged-chr19-8019847-106
NR2591--MA0037.3.GATA3	chr15	73599774	73599781	-	0.000	0.000	Merged-chr15-73599756-21
NR1385--MA0036.3.GATA2	chr12	16474653	16474663	-	0.000	0.000	Merged-chr12-16474710-17
NR6556--MA0035.3.Gata1	chr8	114888904	114888914	-	0.000	0.000	Merged-chr8-114888790-56
NR416--MA1104.1.GATA6	chr1	179578810	179578822	-	0.000	0.000	Merged-chr1-179578897-31
NR3978--MA0766.1.GATA5	chr2	103652312	103652319	-	0.000	0.000	Merged-chr2-103652335-51
NR4459--MA1104.1.GATA6	chr3	130571125	130571137	+	0.000	0.000	Merged-chr3-130571110-5
NR5792--MA0035.3.Gata1	chr6	106981371	106981381	-	0.000	0.000	Merged-chr6-106981432-3
NR6197--MA0036.3.GATA2	chr7	97042369	97042379	+	0.000	0.000	Merged-chr7-97042218-26
NR6468--MA0036.3.GATA2	chr8	83779752	83779762	+	0.000	0.000	Merged-chr8-83779707-23
NR3493--MA0035.3.Gata1	chr19	8019877	8019887	+	0.000	0.000	Merged-chr19-8019847-106
NR5343--MA0036.3.GATA2	chr5	109924245	109924255	-	0.000	0.000	Merged-chr5-109924389-8
NR4521--MA0037.3.GATA3	chr3	136742960	136742967	-	0.000	0.000	Merged-chr3-136742959-57
NR5595--MA0036.3.GATA2	chr6	33051809	33051819	-	0.000	0.000	Merged-chr6-33051908-11
NR5851--MA1104.1.GATA6	chr6	127472162	127472174	+	0.000	0.000	Merged-chr6-127472187-33
NR4559--MA0766.1.GATA5	chr3	142413677	142413684	+	0.000	0.000	Merged-chr3-142413684-9
NR6558--MA0482.1.Gata4	chr8	115436484	115436494	-	0.000	0.000	Merged-chr8-115436321-24
NR3111--MA0035.3.Gata1	chr17	27323302	27323312	+	0.000	0.000	Merged-chr17-27323176-36
NR2500--MA0140.2.GATA1::TAL1	chr15	30661710	30661727	+	0.000	0.000	Merged-chr15-30661653-1
NR1244--MA0140.2.GATA1::TAL1	chr11	106430725	106430742	+	0.000	0.000	Merged-chr11-106430638-37
NR2359--MA0036.3.GATA2	chr14	79481996	79482006	+	0.000	0.000	Merged-chr14-79481875-1
NR2165--MA0482.1.Gata4	chr14	25481214	25481224	+	0.000	0.000	Merged-chr14-25481230-34
NR4097--MA0482.1.Gata4	chr2	136988017	136988027	-	0.000	0.000	Merged-chr2-136988057-20
NR899--MA0037.3.GATA3	chr10	128990355	128990362	-	0.000	0.000	Merged-chr10-128990510-111
NR3581--MA0035.3.Gata1	chr19	33053336	33053346	+	0.000	0.000	Merged-chr19-33053321-32
NR3531--MA1104.1.GATA6	chr19	14466302	14466314	-	0.000	0.000	Merged-chr19-14466199-30
NR5683--MA0036.3.GATA2	chr6	58881140	58881150	-	0.000	0.000	Merged-chr6-58880983-47
NR2449--MA0482.1.Gata4	chr14	123015952	123015962	+	0.000	0.000	Merged-chr14-123015903-11
NR3403--MA0036.3.GATA2	chr18	66502126	66502136	-	0.000	0.000	Merged-chr18-66502099-22
NR1800--MA0482.1.Gata4	chr13	38050036	38050046	+	0.000	0.000	Merged-chr13-38050052-14
NR355--MA1104.1.GATA6	chr1	162734415	162734427	-	0.000	0.000	Merged-chr1-162734445-9
NR2291--MA0037.3.GATA3	chr14	62928198	62928205	+	0.000	0.000	Merged-chr14-62928345-50
NR1043--MA0035.3.Gata1	chr11	54063312	54063322	-	0.000	0.000	Merged-chr11-54063198-57
NR5250--MA0482.1.Gata4	chr5	88952950	88952960	-	0.000	0.000	Merged-chr5-88953106-21
NR3570--MA0482.1.Gata4	chr19	32998969	32998979	-	0.000	0.000	Merged-chr19-32999080-29
NR1213--MA0036.3.GATA2	chr11	101661874	101661884	-	0.000	0.000	Merged-chr11-101661964-4
NR5967--MA0036.3.GATA2	chr6	142809492	142809502	-	0.000	0.000	Merged-chr6-142809719-29
NR368--MA1104.1.GATA6	chr1	164136960	164136972	+	0.000	0.000	Merged-chr1-164136892-1
NR6407--MA0482.1.Gata4	chr8	40595268	40595278	-	0.000	0.000	Merged-chr8-40595277-53
NR2397--MA0140.2.GATA1::TAL1	chr14	103017227	103017244	-	0.000	0.000	Merged-chr14-103017290-44
NR5790--MA1104.1.GATA6	chr6	106981370	106981382	+	0.000	0.000	Merged-chr6-106981432-3
NR5481--MA0140.2.GATA1::TAL1	chr5	142407420	142407437	-	0.000	0.000	Merged-chr5-142407567-12
NR3491--MA1104.1.GATA6	chr19	8019876	8019888	-	0.000	0.000	Merged-chr19-8019847-106
NR2859--MA1104.1.GATA6	chr16	45347091	45347103	+	0.000	0.000	Merged-chr16-45346908-42
NR3429--MA0036.3.GATA2	chr18	79353029	79353039	-	0.000	0.000	Merged-chr18-79353064-26
NR5965--MA1104.1.GATA6	chr6	142809506	142809518	-	0.000	0.000	Merged-chr6-142809719-29
NR3775--MA1104.1.GATA6	chr2	45103421	45103433	+	0.000	0.000	Merged-chr2-45103270-35
NR3386--MA0766.1.GATA5	chr18	61479926	61479933	-	0.000	0.000	Merged-chr18-61480035-15
NR663--MA0036.3.GATA2	chr10	68356053	68356063	-	0.000	0.000	Merged-chr10-68356186-29
NR5717--MA0766.1.GATA5	chr6	72993529	72993536	+	0.000	0.000	Merged-chr6-72993527-59
NR2388--MA0482.1.Gata4	chr14	101892383	101892393	+	0.000	0.000	Merged-chr14-101892350-14
NR5969--MA0766.1.GATA5	chr6	142809508	142809515	-	0.000	0.000	Merged-chr6-142809719-29
NR5309--MA0140.2.GATA1::TAL1	chr5	106885767	106885784	-	0.000	0.000	Merged-chr5-106885750-27
NR1457--MA0036.3.GATA2	chr12	70078945	70078955	-	0.000	0.000	Merged-chr12-70078875-55
NR3737--MA0482.1.Gata4	chr2	29689672	29689682	-	0.000	0.000	Merged-chr2-29689675-19
NR867--MA0140.2.GATA1::TAL1	chr10	120896007	120896024	+	0.000	0.000	Merged-chr10-120895921-55
NR1372--MA0482.1.Gata4	chr12	15967868	15967878	-	0.000	0.000	Merged-chr12-15967723-42
NR6559--MA1104.1.GATA6	chr8	115436484	115436496	+	0.000	0.000	Merged-chr8-115436321-24
NR4630--MA0035.3.Gata1	chr3	149485336	149485346	-	0.000	0.000	Merged-chr3-149485335-12
NR6237--MA0482.1.Gata4	chr7	112095289	112095299	+	0.000	0.000	Merged-chr7-112095114-21
NR5763--MA0036.3.GATA2	chr6	98609385	98609395	+	0.000	0.000	Merged-chr6-98609321-36
NR399--MA0482.1.Gata4	chr1	175672151	175672161	+	0.000	0.000	Merged-chr1-175671979-22
NR4098--MA1104.1.GATA6	chr2	136988017	136988029	+	0.000	0.000	Merged-chr2-136988057-20
NR581--MA0035.3.Gata1	chr10	34117969	34117979	+	0.000	0.000	Merged-chr10-34117997-36
NR1175--MA0766.1.GATA5	chr11	97246705	97246712	-	0.000	0.000	Merged-chr11-97246717-13
NR5083--MA0035.3.Gata1	chr5	8374461	8374471	-	0.000	0.000	Merged-chr5-8374526-17
NR5534--MA0766.1.GATA5	chr5	149392281	149392288	+	0.000	0.000	Merged-chr5-149392157-30
NR961--MA0035.3.Gata1	chr11	11836981	11836991	+	0.000	0.000	Merged-chr11-11837020-26
NR2798--MA0037.3.GATA3	chr16	24826503	24826510	-	0.000	0.000	Merged-chr16-24826564-20
NR6886--MA0037.3.GATA3	chr9	86579815	86579822	-	0.000	0.000	Merged-chr9-86579809-9
NR5962--MA0482.1.Gata4	chr6	142809508	142809518	+	0.000	0.000	Merged-chr6-142809719-29
NR1526--MA0482.1.Gata4	chr12	91065611	91065621	+	0.000	0.000	Merged-chr12-91065547-31
NR5266--MA0036.3.GATA2	chr5	90742163	90742173	+	0.000	0.000	Merged-chr5-90742238-22
NR3571--MA1104.1.GATA6	chr19	32998969	32998981	+	0.000	0.000	Merged-chr19-32999080-29
NR3729--MA0482.1.Gata4	chr2	26753535	26753545	-	0.000	0.000	Merged-chr2-26753671-30
NR3295--MA0140.2.GATA1::TAL1	chr18	7405030	7405047	+	0.000	0.000	Merged-chr18-7404957-54
NR5200--MA0482.1.Gata4	chr5	64371383	64371393	+	0.000	0.000	Merged-chr5-64371502-26
NR6504--MA0037.3.GATA3	chr8	94633742	94633749	-	0.000	0.000	Merged-chr8-94633712-19
NR6408--MA1104.1.GATA6	chr8	40595268	40595280	+	0.000	0.000	Merged-chr8-40595277-53
NR33--MA0036.3.GATA2	chr1	35653568	35653578	-	0.000	0.000	Merged-chr1-35653441-55
NR644--MA0766.1.GATA5	chr10	59431035	59431042	+	0.000	0.000	Merged-chr10-59431050-41
NR3010--MA0482.1.Gata4	chr16	97204301	97204311	+	0.000	0.000	Merged-chr16-97204388-55
NR4457--MA0037.3.GATA3	chr3	130571128	130571135	+	0.000	0.000	Merged-chr3-130571110-5
NR4058--MA0140.2.GATA1::TAL1	chr2	122138272	122138289	+	0.000	0.000	Merged-chr2-122138123-26
NR2341--MA0766.1.GATA5	chr14	78618936	78618943	+	0.000	0.000	Merged-chr14-78619032-26
NR7002--MA0482.1.Gata4	chr9	115526271	115526281	-	0.000	0.000	Merged-chr9-115526484-32
NR92--MA0140.2.GATA1::TAL1	chr1	52652799	52652816	-	0.000	0.000	Merged-chr1-52652704-8
NR46--MA0036.3.GATA2	chr1	36920486	36920496	+	0.000	0.000	Merged-chr1-36920402-81
NR5702--MA0482.1.Gata4	chr6	67184853	67184863	-	0.000	0.000	Merged-chr6-67184785-39
NR5211--MA0036.3.GATA2	chr5	64568011	64568021	-	0.000	0.000	Merged-chr5-64568007-12
NR122--MA0037.3.GATA3	chr1	78682599	78682606	-	0.000	0.000	Merged-chr1-78682425-23
NR3362--MA0140.2.GATA1::TAL1	chr18	56455769	56455786	-	0.000	0.000	Merged-chr18-56455831-43
NR1242--MA0766.1.GATA5	chr11	106430743	106430750	-	0.000	0.000	Merged-chr11-106430638-37
NR3384--MA0482.1.Gata4	chr18	61479926	61479936	+	0.000	0.000	Merged-chr18-61480035-15
NR2389--MA1104.1.GATA6	chr14	101892381	101892393	-	0.000	0.000	Merged-chr14-101892350-14
NR3738--MA1104.1.GATA6	chr2	29689672	29689684	+	0.000	0.000	Merged-chr2-29689675-19
