#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR5220--MA0035.3.Gata1	chr3	146192716	146192726	-	0.000	0.000	Merged-chr3-146192596-55
NR1569--MA0482.1.Gata4	chr12	69446042	69446052	-	0.000	0.000	Merged-chr12-69446107-1
NR7102--MA1104.1.GATA6	chr7	143584199	143584211	-	0.000	0.000	Merged-chr7-143584150-23
NR4870--MA0035.3.Gata1	chr3	60565324	60565334	+	0.000	0.000	Merged-chr3-60565389-13
NR5647--MA0035.3.Gata1	chr4	145361254	145361264	-	0.000	0.000	Merged-chr4-145361226-45
NR3696--MA0035.3.Gata1	chr18	46013366	46013376	-	0.000	0.000	Merged-chr18-46013388-48
NR2884--MA0036.3.GATA2	chr15	91616649	91616659	-	0.000	0.000	Merged-chr15-91616695-12
NR4105--MA1104.1.GATA6	chr2	28418246	28418258	+	0.000	0.000	Merged-chr2-28418249-8
NR7759--MA0766.1.GATA5	chr9	95113475	95113482	-	0.000	0.000	Merged-chr9-95113538-34
NR1104--MA0140.2.GATA1::TAL1	chr11	21167122	21167139	+	0.000	0.000	Merged-chr11-21166963-42
NR5706--MA1104.1.GATA6	chr4	149065059	149065071	+	0.000	0.000	Merged-chr4-149065047-12
NR199--MA0037.3.GATA3	chr1	88578424	88578431	+	0.000	0.000	Merged-chr1-88578300-28
NR372--MA0036.3.GATA2	chr1	136601136	136601146	+	0.000	0.000	Merged-chr1-136600909-41
NR1262--MA0036.3.GATA2	chr11	75836223	75836233	-	0.000	0.000	Merged-chr11-75835904-47
NR4920--MA0766.1.GATA5	chr3	69177419	69177426	-	0.000	0.000	Merged-chr3-69177555-55
NR2764--MA0766.1.GATA5	chr15	41429629	41429636	+	0.000	0.000	Merged-chr15-41429607-8
NR1313--MA1104.1.GATA6	chr11	95379179	95379191	-	0.000	0.000	Merged-chr11-95379150-8
NR3736--MA0036.3.GATA2	chr18	61479925	61479935	+	0.000	0.000	Merged-chr18-61480035-15
NR7292--MA0766.1.GATA5	chr8	81695137	81695144	-	0.000	0.000	Merged-chr8-81695130-10
NR3152--MA0035.3.Gata1	chr16	56800671	56800681	+	0.000	0.000	Merged-chr16-56800625-33
NR3051--MA0036.3.GATA2	chr16	43661708	43661718	-	0.000	0.000	Merged-chr16-43661789-37
NR5939--MA0036.3.GATA2	chr5	89036398	89036408	-	0.000	0.000	Merged-chr5-89036442-30
NR5474--MA0482.1.Gata4	chr4	86725372	86725382	+	0.000	0.000	Merged-chr4-86725378-12
NR5719--MA1104.1.GATA6	chr4	150517580	150517592	-	0.000	0.000	Merged-chr4-150517532-35
NR2940--MA0482.1.Gata4	chr16	4762246	4762256	-	0.000	0.000	Merged-chr16-4762365-8
NR404--MA0036.3.GATA2	chr1	143993246	143993256	+	0.000	0.000	Merged-chr1-143993220-9
NR2720--MA0036.3.GATA2	chr15	25673748	25673758	+	0.000	0.000	Merged-chr15-25673661-24
NR4872--MA0482.1.Gata4	chr3	60565491	60565501	-	0.000	0.000	Merged-chr3-60565389-13
NR5777--MA0036.3.GATA2	chr5	20009984	20009994	+	0.000	0.000	Merged-chr5-20010277-12
NR2750--MA0140.2.GATA1::TAL1	chr15	36440104	36440121	-	0.000	0.000	Merged-chr15-36440213-15
NR1600--MA0140.2.GATA1::TAL1	chr12	75836921	75836938	+	0.000	0.000	Merged-chr12-75836908-24
NR1142--MA0766.1.GATA5	chr11	36001079	36001086	-	0.000	0.000	Merged-chr11-36000971-2
NR6813--MA0035.3.Gata1	chr7	37490502	37490512	+	0.000	0.000	Merged-chr7-37490614-68
NR7598--MA1104.1.GATA6	chr9	48538517	48538529	+	0.000	0.000	Merged-chr9-48538454-59
NR7822--MA0037.3.GATA3	chr9	102867024	102867031	+	0.000	0.000	Merged-chr9-102867048-29
NR1958--MA1104.1.GATA6	chr13	52008135	52008147	-	0.000	0.000	Merged-chr13-52008191-11
NR874--MA0036.3.GATA2	chr10	85359514	85359524	+	0.000	0.000	Merged-chr10-85359625-39
NR7726--MA1104.1.GATA6	chr9	86579813	86579825	-	0.000	0.000	Merged-chr9-86579809-9
NR4968--MA0037.3.GATA3	chr3	89906214	89906221	-	0.000	0.000	Merged-chr3-89906356-37
NR1246--MA0035.3.Gata1	chr11	70265524	70265534	+	0.000	0.000	Merged-chr11-70265494-15
NR2943--MA0035.3.Gata1	chr16	4762247	4762257	-	0.000	0.000	Merged-chr16-4762365-8
NR7927--MA0482.1.Gata4	chrX	9202158	9202168	+	0.000	0.000	Merged-chrX-9202139-21
NR5884--MA1104.1.GATA6	chr5	63768122	63768134	-	0.000	0.000	Merged-chr5-63767981-25
NR2255--MA0037.3.GATA3	chr14	10445400	10445407	-	0.000	0.000	Merged-chr14-10445443-9
NR364--MA0036.3.GATA2	chr1	133571485	133571495	-	0.000	0.000	Merged-chr1-133571423-3
NR5172--MA0035.3.Gata1	chr3	139024691	139024701	+	0.000	0.000	Merged-chr3-139024771-15
NR7069--MA0036.3.GATA2	chr7	132765248	132765258	-	0.000	0.000	Merged-chr7-132765248-56
NR4296--MA0037.3.GATA3	chr2	76214465	76214472	+	0.000	0.000	Merged-chr2-76214615-2
NR3694--MA1104.1.GATA6	chr18	46013365	46013377	+	0.000	0.000	Merged-chr18-46013388-48
NR2268--MA0037.3.GATA3	chr14	16172526	16172533	+	0.000	0.000	Merged-chr14-16172497-2
NR3218--MA0036.3.GATA2	chr16	66086701	66086711	+	0.000	0.000	Merged-chr16-66086640-17
NR1139--MA0482.1.Gata4	chr11	36001079	36001089	+	0.000	0.000	Merged-chr11-36000971-2
NR4602--MA0035.3.Gata1	chr2	144195215	144195225	+	0.000	0.000	Merged-chr2-144195285-6
NR1477--MA0035.3.Gata1	chr12	28589597	28589607	+	0.000	0.000	Merged-chr12-28589573-34
NR3608--MA0766.1.GATA5	chr17	87036797	87036804	+	0.000	0.000	Merged-chr17-87036710-20
NR420--MA0482.1.Gata4	chr1	150465598	150465608	-	0.000	0.000	Merged-chr1-150465561-21
NR6914--MA0035.3.Gata1	chr7	82834593	82834603	+	0.000	0.000	Merged-chr7-82834673-11
NR2321--MA0766.1.GATA5	chr14	27562729	27562736	+	0.000	0.000	Merged-chr14-27562668-44
NR4820--MA0035.3.Gata1	chr3	28318056	28318066	+	0.000	0.000	Merged-chr3-28318064-9
NR2800--MA0036.3.GATA2	chr15	59010877	59010887	+	0.000	0.000	Merged-chr15-59010782-34
NR4952--MA0482.1.Gata4	chr3	84570697	84570707	+	0.000	0.000	Merged-chr3-84570776-21
NR7614--MA0482.1.Gata4	chr9	52059903	52059913	-	0.000	0.000	Merged-chr9-52059994-13
NR4833--MA0035.3.Gata1	chr3	37291257	37291267	-	0.000	0.000	Merged-chr3-37291355-13
NR3035--MA0036.3.GATA2	chr16	36602847	36602857	+	0.000	0.000	Merged-chr16-36602811-38
NR6250--MA0036.3.GATA2	chr6	49354720	49354730	+	0.000	0.000	Merged-chr6-49354722-8
NR5475--MA1104.1.GATA6	chr4	86725370	86725382	-	0.000	0.000	Merged-chr4-86725378-12
NR2762--MA0482.1.Gata4	chr15	41429626	41429636	-	0.000	0.000	Merged-chr15-41429607-8
NR2941--MA1104.1.GATA6	chr16	4762246	4762258	+	0.000	0.000	Merged-chr16-4762365-8
NR2271--MA0036.3.GATA2	chr14	16172524	16172534	-	0.000	0.000	Merged-chr14-16172497-2
NR7290--MA0482.1.Gata4	chr8	81695137	81695147	+	0.000	0.000	Merged-chr8-81695130-10
NR4873--MA1104.1.GATA6	chr3	60565491	60565503	+	0.000	0.000	Merged-chr3-60565389-13
NR2794--MA0036.3.GATA2	chr15	56047194	56047204	-	0.000	0.000	Merged-chr15-56047041-38
NR3923--MA0037.3.GATA3	chr19	16418579	16418586	-	0.000	0.000	Merged-chr19-16418552-32
NR3157--MA0036.3.GATA2	chr16	57319938	57319948	-	0.000	0.000	Merged-chr16-57319907-20
NR7617--MA0035.3.Gata1	chr9	52059904	52059914	-	0.000	0.000	Merged-chr9-52059994-13
NR1191--MA1104.1.GATA6	chr11	58643559	58643571	-	0.000	0.000	Merged-chr11-58643569-22
NR7098--MA0482.1.Gata4	chr7	142967346	142967356	-	0.000	0.000	Merged-chr7-142967366-1
NR3072--MA0482.1.Gata4	chr16	45093368	45093378	-	0.000	0.000	Merged-chr16-45093384-16
NR6996--MA0035.3.Gata1	chr7	109951589	109951599	-	0.000	0.000	Merged-chr7-109951636-55
NR4650--MA0035.3.Gata1	chr2	152904622	152904632	+	0.000	0.000	Merged-chr2-152904288-57
NR4921--MA0035.3.Gata1	chr3	69177418	69177428	+	0.000	0.000	Merged-chr3-69177555-55
NR2765--MA0035.3.Gata1	chr15	41429627	41429637	-	0.000	0.000	Merged-chr15-41429607-8
NR5817--MA0482.1.Gata4	chr5	32488276	32488286	-	0.000	0.000	Merged-chr5-32488180-22
NR306--MA0035.3.Gata1	chr1	118403837	118403847	+	0.000	0.000	Merged-chr1-118403887-21
NR5065--MA0766.1.GATA5	chr3	122419826	122419833	+	0.000	0.000	Merged-chr3-122419865-81
NR7928--MA1104.1.GATA6	chrX	9202156	9202168	-	0.000	0.000	Merged-chrX-9202139-21
NR1838--MA0482.1.Gata4	chr12	116932355	116932365	+	0.000	0.000	Merged-chr12-116932315-2
NR2316--MA0036.3.GATA2	chr14	27384253	27384263	+	0.000	0.000	Merged-chr14-27384235-54
NR467--MA0766.1.GATA5	chr1	161309343	161309350	+	0.000	0.000	Merged-chr1-161309457-43
NR2526--MA0035.3.Gata1	chr14	74889136	74889146	+	0.000	0.000	Merged-chr14-74889136-25
NR6912--MA1104.1.GATA6	chr7	82834592	82834604	-	0.000	0.000	Merged-chr7-82834673-11
NR6068--MA0140.2.GATA1::TAL1	chr5	115532261	115532278	-	0.000	0.000	Merged-chr5-115532166-6
NR7054--MA0035.3.Gata1	chr7	127083789	127083799	+	0.000	0.000	Merged-chr7-127083805-15
NR837--MA0036.3.GATA2	chr10	75417898	75417908	+	0.000	0.000	Merged-chr10-75417748-37
NR2011--MA0036.3.GATA2	chr13	63548593	63548603	-	0.000	0.000	Merged-chr13-63548573-9
NR3075--MA0035.3.Gata1	chr16	45093369	45093379	-	0.000	0.000	Merged-chr16-45093384-16
NR7256--MA1104.1.GATA6	chr8	69168491	69168503	+	0.000	0.000	Merged-chr8-69168549-18
NR2887--MA0035.3.Gata1	chr15	91616649	91616659	-	0.000	0.000	Merged-chr15-91616695-12
NR5162--MA0037.3.GATA3	chr3	138008344	138008351	+	0.000	0.000	Merged-chr3-138008366-30
NR421--MA1104.1.GATA6	chr1	150465598	150465610	+	0.000	0.000	Merged-chr1-150465561-21
NR2481--MA0036.3.GATA2	chr14	62342732	62342742	-	0.000	0.000	Merged-chr14-62342844-35
NR3405--MA0037.3.GATA3	chr17	18462930	18462937	-	0.000	0.000	Merged-chr17-18462916-14
NR351--MA0482.1.Gata4	chr1	130838472	130838482	-	0.000	0.000	Merged-chr1-130838519-27
NR5299--MA0036.3.GATA2	chr4	11404220	11404230	+	0.000	0.000	Merged-chr4-11404244-13
NR5717--MA0037.3.GATA3	chr4	150517582	150517589	-	0.000	0.000	Merged-chr4-150517532-35
NR9--MA0482.1.Gata4	chr1	9883471	9883481	-	0.000	0.000	Merged-chr1-9883358-36
NR341--MA0035.3.Gata1	chr1	127297165	127297175	+	0.000	0.000	Merged-chr1-127297024-52
NR5303--MA0037.3.GATA3	chr4	11610149	11610156	+	0.000	0.000	Merged-chr4-11610147-18
NR2908--MA0482.1.Gata4	chr15	96827786	96827796	-	0.000	0.000	Merged-chr15-96827730-24
NR983--MA0482.1.Gata4	chr10	117377488	117377498	+	0.000	0.000	Merged-chr10-117377577-5
NR264--MA0140.2.GATA1::TAL1	chr1	106204160	106204177	-	0.000	0.000	Merged-chr1-106204081-15
NR4953--MA1104.1.GATA6	chr3	84570695	84570707	-	0.000	0.000	Merged-chr3-84570776-21
NR7615--MA1104.1.GATA6	chr9	52059903	52059915	+	0.000	0.000	Merged-chr9-52059994-13
NR2975--MA0035.3.Gata1	chr16	10676897	10676907	-	0.000	0.000	Merged-chr16-10676780-15
NR5095--MA0035.3.Gata1	chr3	127759488	127759498	+	0.000	0.000	Merged-chr3-127759429-25
NR2398--MA0036.3.GATA2	chr14	46578325	46578335	-	0.000	0.000	Merged-chr14-46578431-37
NR2746--MA0482.1.Gata4	chr15	36440112	36440122	-	0.000	0.000	Merged-chr15-36440213-15
NR2976--MA0140.2.GATA1::TAL1	chr16	10676888	10676905	-	0.000	0.000	Merged-chr16-10676780-15
NR3010--MA0140.2.GATA1::TAL1	chr16	24859766	24859783	-	0.000	0.000	Merged-chr16-24859863-8
NR3109--MA0482.1.Gata4	chr16	50555185	50555195	+	0.000	0.000	Merged-chr16-50555141-20
NR4621--MA0035.3.Gata1	chr2	144941395	144941405	-	0.000	0.000	Merged-chr2-144941527-10
NR2322--MA0035.3.Gata1	chr14	27562727	27562737	-	0.000	0.000	Merged-chr14-27562668-44
NR377--MA0482.1.Gata4	chr1	137075020	137075030	+	0.000	0.000	Merged-chr1-137074990-14
NR4525--MA0035.3.Gata1	chr2	132497593	132497603	-	0.000	0.000	Merged-chr2-132497706-22
NR5882--MA0037.3.GATA3	chr5	63768124	63768131	-	0.000	0.000	Merged-chr5-63767981-25
NR3327--MA0482.1.Gata4	chr17	3246827	3246837	-	0.000	0.000	Merged-chr17-3246798-10
NR2478--MA0035.3.Gata1	chr14	61853657	61853667	+	0.000	0.000	Merged-chr14-61853631-6
NR4976--MA0140.2.GATA1::TAL1	chr3	95028764	95028781	+	0.000	0.000	Merged-chr3-95028827-26
NR799--MA0766.1.GATA5	chr10	62327715	62327722	+	0.000	0.000	Merged-chr10-62327638-49
NR7099--MA1104.1.GATA6	chr7	142967346	142967358	+	0.000	0.000	Merged-chr7-142967366-1
NR200--MA0482.1.Gata4	chr1	88578421	88578431	-	0.000	0.000	Merged-chr1-88578300-28
NR3073--MA1104.1.GATA6	chr16	45093368	45093380	+	0.000	0.000	Merged-chr16-45093384-16
NR747--MA0035.3.Gata1	chr10	39764911	39764921	+	0.000	0.000	Merged-chr10-39764888-24
NR5643--MA0037.3.GATA3	chr4	145361256	145361263	+	0.000	0.000	Merged-chr4-145361226-45
NR4836--MA1104.1.GATA6	chr3	37483948	37483960	+	0.000	0.000	Merged-chr3-37484009-38
NR5818--MA1104.1.GATA6	chr5	32488276	32488288	+	0.000	0.000	Merged-chr5-32488180-22
NR6117--MA0036.3.GATA2	chr5	143038557	143038567	+	0.000	0.000	Merged-chr5-143038769-30
NR247--MA0482.1.Gata4	chr1	95375656	95375666	+	0.000	0.000	Merged-chr1-95375799-8
NR890--MA0140.2.GATA1::TAL1	chr10	91177555	91177572	+	0.000	0.000	Merged-chr10-91177490-19
NR5821--MA0035.3.Gata1	chr5	32488277	32488287	-	0.000	0.000	Merged-chr5-32488180-22
NR2082--MA0766.1.GATA5	chr13	94381980	94381987	+	0.000	0.000	Merged-chr13-94381981-20
NR5720--MA0036.3.GATA2	chr4	150517581	150517591	+	0.000	0.000	Merged-chr4-150517532-35
NR627--MA0482.1.Gata4	chr10	4079703	4079713	-	0.000	0.000	Merged-chr10-4079812-35
NR2806--MA0140.2.GATA1::TAL1	chr15	64067711	64067728	+	0.000	0.000	Merged-chr15-64067738-34
NR1568--MA0037.3.GATA3	chr12	69446045	69446052	+	0.000	0.000	Merged-chr12-69446107-1
NR465--MA0482.1.Gata4	chr1	161309340	161309350	-	0.000	0.000	Merged-chr1-161309457-43
NR988--MA0482.1.Gata4	chr10	117377580	117377590	+	0.000	0.000	Merged-chr10-117377577-5
NR1007--MA0482.1.Gata4	chr10	120895742	120895752	-	0.000	0.000	Merged-chr10-120895921-55
NR6545--MA0035.3.Gata1	chr6	129304489	129304499	-	0.000	0.000	Merged-chr6-129304354-36
NR2341--MA1104.1.GATA6	chr14	31401014	31401026	+	0.000	0.000	Merged-chr14-31401139-16
NR2960--MA0037.3.GATA3	chr16	7767896	7767903	+	0.000	0.000	Merged-chr16-7768064-22
NR6311--MA0766.1.GATA5	chr6	67184856	67184863	+	0.000	0.000	Merged-chr6-67184785-39
NR4426--MA0766.1.GATA5	chr2	106985121	106985128	-	0.000	0.000	Merged-chr2-106985167-21
NR4416--MA0036.3.GATA2	chr2	104763428	104763438	-	0.000	0.000	Merged-chr2-104763396-33
NR2973--MA1104.1.GATA6	chr16	10676896	10676908	+	0.000	0.000	Merged-chr16-10676780-15
NR6489--MA0037.3.GATA3	chr6	122334238	122334245	+	0.000	0.000	Merged-chr6-122334221-7
NR468--MA0035.3.Gata1	chr1	161309341	161309351	-	0.000	0.000	Merged-chr1-161309457-43
NR352--MA1104.1.GATA6	chr1	130838472	130838484	+	0.000	0.000	Merged-chr1-130838519-27
NR6120--MA0140.2.GATA1::TAL1	chr5	143038559	143038576	+	0.000	0.000	Merged-chr5-143038769-30
NR5473--MA0037.3.GATA3	chr4	86725372	86725379	-	0.000	0.000	Merged-chr4-86725378-12
NR1242--MA0037.3.GATA3	chr11	70265525	70265532	-	0.000	0.000	Merged-chr11-70265494-15
NR4523--MA1104.1.GATA6	chr2	132292253	132292265	+	0.000	0.000	Merged-chr2-132292299-25
NR2909--MA1104.1.GATA6	chr15	96827786	96827798	+	0.000	0.000	Merged-chr15-96827730-24
NR984--MA1104.1.GATA6	chr10	117377486	117377498	-	0.000	0.000	Merged-chr10-117377577-5
NR4871--MA0037.3.GATA3	chr3	60565494	60565501	+	0.000	0.000	Merged-chr3-60565389-13
NR7753--MA0036.3.GATA2	chr9	94614100	94614110	+	0.000	0.000	Merged-chr9-94614117-31
NR2747--MA1104.1.GATA6	chr15	36440112	36440124	+	0.000	0.000	Merged-chr15-36440213-15
NR1571--MA0036.3.GATA2	chr12	69446043	69446053	-	0.000	0.000	Merged-chr12-69446107-1
NR5940--MA0766.1.GATA5	chr5	89036400	89036407	+	0.000	0.000	Merged-chr5-89036442-30
NR4857--MA0035.3.Gata1	chr3	55115680	55115690	+	0.000	0.000	Merged-chr3-55115739-6
NR218--MA0482.1.Gata4	chr1	91347219	91347229	-	0.000	0.000	Merged-chr1-91347121-29
NR1603--MA0036.3.GATA2	chr12	76527617	76527627	-	0.000	0.000	Merged-chr12-76527633-28
NR6351--MA0482.1.Gata4	chr6	82922014	82922024	-	0.000	0.000	Merged-chr6-82922037-57
NR6412--MA0766.1.GATA5	chr6	99801067	99801074	-	0.000	0.000	Merged-chr6-99800956-8
NR7926--MA0037.3.GATA3	chrX	9202158	9202165	-	0.000	0.000	Merged-chrX-9202139-21
NR117--MA0766.1.GATA5	chr1	74726885	74726892	-	0.000	0.000	Merged-chr1-74726770-27
NR3328--MA1104.1.GATA6	chr17	3246827	3246839	+	0.000	0.000	Merged-chr17-3246798-10
NR5166--MA0140.2.GATA1::TAL1	chr3	139024643	139024660	+	0.000	0.000	Merged-chr3-139024771-15
NR7471--MA0766.1.GATA5	chr9	7576787	7576794	+	0.000	0.000	Merged-chr9-7576753-19
NR201--MA1104.1.GATA6	chr1	88578421	88578433	+	0.000	0.000	Merged-chr1-88578300-28
NR6144--MA0036.3.GATA2	chr5	147063477	147063487	+	0.000	0.000	Merged-chr5-147063758-85
NR248--MA1104.1.GATA6	chr1	95375654	95375666	-	0.000	0.000	Merged-chr1-95375799-8
NR5300--MA0766.1.GATA5	chr4	11404221	11404228	-	0.000	0.000	Merged-chr4-11404244-13
NR1138--MA0037.3.GATA3	chr11	36001079	36001086	-	0.000	0.000	Merged-chr11-36000971-2
NR8010--MA0482.1.Gata4	chrX	153375288	153375298	+	0.000	0.000	Merged-chrX-153375365-26
NR628--MA1104.1.GATA6	chr10	4079703	4079715	+	0.000	0.000	Merged-chr10-4079812-35
NR4326--MA0035.3.Gata1	chr2	84016490	84016500	+	0.000	0.000	Merged-chr2-84016424-23
NR2080--MA0482.1.Gata4	chr13	94381977	94381987	-	0.000	0.000	Merged-chr13-94381981-20
NR3981--MA0766.1.GATA5	chr19	32998972	32998979	+	0.000	0.000	Merged-chr19-32999080-29
NR4283--MA0482.1.Gata4	chr2	70425815	70425825	+	0.000	0.000	Merged-chr2-70425902-24
NR3724--MA0035.3.Gata1	chr18	55293050	55293060	+	0.000	0.000	Merged-chr18-55293214-19
NR382--MA0140.2.GATA1::TAL1	chr1	138550508	138550525	-	0.000	0.000	Merged-chr1-138550461-33
NR989--MA1104.1.GATA6	chr10	117377578	117377590	-	0.000	0.000	Merged-chr10-117377577-5
NR2705--MA1104.1.GATA6	chr15	11489313	11489325	-	0.000	0.000	Merged-chr15-11489207-4
NR6266--MA0036.3.GATA2	chr6	55511845	55511855	+	0.000	0.000	Merged-chr6-55511868-6
NR7692--MA0036.3.GATA2	chr9	80318149	80318159	+	0.000	0.000	Merged-chr9-80318250-48
NR6409--MA0482.1.Gata4	chr6	99801067	99801077	+	0.000	0.000	Merged-chr6-99800956-8
NR8013--MA0035.3.Gata1	chrX	153375287	153375297	+	0.000	0.000	Merged-chrX-153375365-26
NR6059--MA0037.3.GATA3	chr5	114681322	114681329	+	0.000	0.000	Merged-chr5-114681129-21
NR362--MA0482.1.Gata4	chr1	133571484	133571494	-	0.000	0.000	Merged-chr1-133571423-3
NR4951--MA0037.3.GATA3	chr3	84570697	84570704	-	0.000	0.000	Merged-chr3-84570776-21
NR2330--MA0482.1.Gata4	chr14	30024461	30024471	+	0.000	0.000	Merged-chr14-30024538-20
NR6883--MA0037.3.GATA3	chr7	78583904	78583911	+	0.000	0.000	Merged-chr7-78583930-15
NR2944--MA0140.2.GATA1::TAL1	chr16	4762238	4762255	-	0.000	0.000	Merged-chr16-4762365-8
NR7520--MA0035.3.Gata1	chr9	32495853	32495863	-	0.000	0.000	Merged-chr9-32495799-63
NR1478--MA0037.3.GATA3	chr12	28699759	28699766	-	0.000	0.000	Merged-chr12-28699931-23
NR6659--MA0036.3.GATA2	chr6	142567727	142567737	+	0.000	0.000	Merged-chr6-142567710-6
NR4979--MA0036.3.GATA2	chr3	95666282	95666292	+	0.000	0.000	Merged-chr3-95666288-23
NR579--MA0766.1.GATA5	chr1	184016504	184016511	-	0.000	0.000	Merged-chr1-184016575-13
NR2761--MA0037.3.GATA3	chr15	41429629	41429636	+	0.000	0.000	Merged-chr15-41429607-8
NR1141--MA0036.3.GATA2	chr11	36001078	36001088	+	0.000	0.000	Merged-chr11-36000971-2
NR4817--MA0482.1.Gata4	chr3	28318057	28318067	+	0.000	0.000	Merged-chr3-28318064-9
NR6107--MA0035.3.Gata1	chr5	140151348	140151358	-	0.000	0.000	Merged-chr5-140151320-8
NR4427--MA0035.3.Gata1	chr2	106985120	106985130	+	0.000	0.000	Merged-chr2-106985167-21
NR7512--MA0140.2.GATA1::TAL1	chr9	31217839	31217856	+	0.000	0.000	Merged-chr9-31217851-21
NR1920--MA1104.1.GATA6	chr13	41447156	41447168	-	0.000	0.000	Merged-chr13-41447189-7
NR4798--MA0482.1.Gata4	chr3	14869854	14869864	-	0.000	0.000	Merged-chr3-14869878-60
NR2128--MA0035.3.Gata1	chr13	102598332	102598342	+	0.000	0.000	Merged-chr13-102598245-27
NR378--MA0035.3.Gata1	chr1	137075019	137075029	+	0.000	0.000	Merged-chr1-137074990-14
NR6352--MA1104.1.GATA6	chr6	82922014	82922026	+	0.000	0.000	Merged-chr6-82922037-57
NR5816--MA0037.3.GATA3	chr5	32488279	32488286	+	0.000	0.000	Merged-chr5-32488180-22
NR6234--MA0766.1.GATA5	chr6	41104187	41104194	+	0.000	0.000	Merged-chr6-41104184-15
NR1840--MA0035.3.Gata1	chr12	116932354	116932364	+	0.000	0.000	Merged-chr12-116932315-2
NR5571--MA0482.1.Gata4	chr4	120717457	120717467	-	0.000	0.000	Merged-chr4-120717361-2
NR6062--MA0036.3.GATA2	chr5	114681320	114681330	-	0.000	0.000	Merged-chr5-114681129-21
NR4039--MA0035.3.Gata1	chr2	11617066	11617076	+	0.000	0.000	Merged-chr2-11617013-39
NR5941--MA0035.3.Gata1	chr5	89036398	89036408	-	0.000	0.000	Merged-chr5-89036442-30
NR5938--MA0037.3.GATA3	chr5	89036400	89036407	+	0.000	0.000	Merged-chr5-89036442-30
NR8011--MA1104.1.GATA6	chrX	153375286	153375298	-	0.000	0.000	Merged-chrX-153375365-26
NR3607--MA0036.3.GATA2	chr17	87036795	87036805	-	0.000	0.000	Merged-chr17-87036710-20
NR128--MA0482.1.Gata4	chr1	79752487	79752497	-	0.000	0.000	Merged-chr1-79752241-78
NR5744--MA0036.3.GATA2	chr5	8489970	8489980	+	0.000	0.000	Merged-chr5-8489877-17
NR2081--MA1104.1.GATA6	chr13	94381977	94381989	+	0.000	0.000	Merged-chr13-94381981-20
NR4299--MA0036.3.GATA2	chr2	76214463	76214473	-	0.000	0.000	Merged-chr2-76214615-2
NR145--MA1104.1.GATA6	chr1	82900856	82900868	-	0.000	0.000	Merged-chr1-82900738-32
NR5853--MA0036.3.GATA2	chr5	51853847	51853857	-	0.000	0.000	Merged-chr5-51853758-22
NR2256--MA1104.1.GATA6	chr14	10445398	10445410	-	0.000	0.000	Merged-chr14-10445443-9
NR3302--MA0036.3.GATA2	chr16	94374311	94374321	+	0.000	0.000	Merged-chr16-94374445-4
NR1622--MA0036.3.GATA2	chr12	82187423	82187433	+	0.000	0.000	Merged-chr12-82187311-20
NR1975--MA0035.3.Gata1	chr13	53374449	53374459	-	0.000	0.000	Merged-chr13-53374422-32
NR350--MA0037.3.GATA3	chr1	130838475	130838482	+	0.000	0.000	Merged-chr1-130838519-27
NR3293--MA0766.1.GATA5	chr16	92995630	92995637	-	0.000	0.000	Merged-chr16-92995449-20
NR7472--MA0035.3.Gata1	chr9	7576785	7576795	-	0.000	0.000	Merged-chr9-7576753-19
NR5301--MA0035.3.Gata1	chr4	11404220	11404230	+	0.000	0.000	Merged-chr4-11404244-13
NR2907--MA0037.3.GATA3	chr15	96827789	96827796	+	0.000	0.000	Merged-chr15-96827730-24
NR982--MA0037.3.GATA3	chr10	117377488	117377495	-	0.000	0.000	Merged-chr10-117377577-5
NR1322--MA0035.3.Gata1	chr11	96993115	96993125	+	0.000	0.000	Merged-chr11-96993116-10
NR2331--MA1104.1.GATA6	chr14	30024459	30024471	-	0.000	0.000	Merged-chr14-30024538-20
NR7961--MA0035.3.Gata1	chrX	106171388	106171398	-	0.000	0.000	Merged-chrX-106171533-49
NR2745--MA0037.3.GATA3	chr15	36440115	36440122	+	0.000	0.000	Merged-chr15-36440213-15
NR1574--MA0035.3.Gata1	chr12	69853655	69853665	-	0.000	0.000	Merged-chr12-69853558-20
NR3705--MA0766.1.GATA5	chr18	46448741	46448748	+	0.000	0.000	Merged-chr18-46448750-18
NR3982--MA0035.3.Gata1	chr19	32998970	32998980	-	0.000	0.000	Merged-chr19-32999080-29
NR4878--MA0482.1.Gata4	chr3	60788288	60788298	+	0.000	0.000	Merged-chr3-60788099-46
NR3220--MA0035.3.Gata1	chr16	66086701	66086711	+	0.000	0.000	Merged-chr16-66086640-17
NR921--MA0035.3.Gata1	chr10	96421996	96422006	-	0.000	0.000	Merged-chr10-96421885-30
NR2317--MA0035.3.Gata1	chr14	27384253	27384263	+	0.000	0.000	Merged-chr14-27384235-54
NR4818--MA1104.1.GATA6	chr3	28318055	28318067	-	0.000	0.000	Merged-chr3-28318064-9
