#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_up.bed
NR1485--MA0690.1.TBX21	chr4	134059954	134059963	+	0.000	0.000	Merged-chr4-134060052-8
NR1756--MA0690.1.TBX21	chr6	127303008	127303017	-	0.000	0.000	Merged-chr6-127302896-25
NR1451--MA0690.1.TBX21	chr4	101298631	101298640	-	0.000	0.000	Merged-chr4-101298593-40
NR1626--MA0690.1.TBX21	chr5	134295767	134295776	-	0.000	0.000	Merged-chr5-134295794-17
NR1735--MA0690.1.TBX21	chr6	108310211	108310220	-	0.000	0.000	Merged-chr6-108310107-36
NR702--MA0690.1.TBX21	chr14	120313615	120313624	-	0.000	0.000	Merged-chr14-120313531-118
NR954--MA0690.1.TBX21	chr18	23828760	23828769	-	0.000	0.000	Merged-chr18-23828715-22
NR1844--MA0690.1.TBX21	chr7	92087899	92087908	-	0.000	0.000	Merged-chr7-92087702-17
NR811--MA0690.1.TBX21	chr16	13845268	13845277	+	0.000	0.000	Merged-chr16-13845150-21
NR1966--MA0690.1.TBX21	chr8	84128617	84128626	-	0.000	0.000	Merged-chr8-84128468-26
NR933--MA0690.1.TBX21	chr17	72932347	72932356	+	0.000	0.000	Merged-chr17-72932443-6
NR1552--MA0690.1.TBX21	chr5	65934052	65934061	+	0.000	0.000	Merged-chr5-65933959-11
NR1599--MA0690.1.TBX21	chr5	107694589	107694598	+	0.000	0.000	Merged-chr5-107694686-33
NR1456--MA0690.1.TBX21	chr4	107010360	107010369	+	0.000	0.000	Merged-chr4-107010336-9
NR1979--MA0690.1.TBX21	chr8	104785784	104785793	+	0.000	0.000	Merged-chr8-104785669-6
NR1674--MA0690.1.TBX21	chr6	38669823	38669832	-	0.000	0.000	Merged-chr6-38669877-14
NR1260--MA0690.1.TBX21	chr2	178479257	178479266	+	0.000	0.000	Merged-chr2-178479240-1
NR1326--MA0690.1.TBX21	chr3	115799524	115799533	-	0.000	0.000	Merged-chr3-115799463-50
NR87--MA0690.1.TBX21	chr1	143505196	143505205	-	0.000	0.000	Merged-chr1-143505261-1
NR925--MA0690.1.TBX21	chr17	65818002	65818011	-	0.000	0.000	Merged-chr17-65817855-23
NR1273--MA0690.1.TBX21	chr3	27322845	27322854	-	0.000	0.000	Merged-chr3-27322840-36
NR240--MA0690.1.TBX21	chr10	68147140	68147149	+	0.000	0.000	Merged-chr10-68147068-31
NR511--MA0690.1.TBX21	chr13	13559143	13559152	-	0.000	0.000	Merged-chr13-13559096-31
NR763--MA0690.1.TBX21	chr15	73545774	73545783	+	0.000	0.000	Merged-chr15-73545757-11
NR1828--MA0690.1.TBX21	chr7	73576508	73576517	-	0.000	0.000	Merged-chr7-73576506-24
NR1666--MA0690.1.TBX21	chr6	30174052	30174061	+	0.000	0.000	Merged-chr6-30174074-75
NR32--MA0690.1.TBX21	chr1	60771894	60771903	-	0.000	0.000	Merged-chr1-60772057-13
NR1318--MA0690.1.TBX21	chr3	106967069	106967078	-	0.000	0.000	Merged-chr3-106967057-110
NR1299--MA0690.1.TBX21	chr3	84715349	84715358	-	0.000	0.000	Merged-chr3-84715324-47
NR484--MA0690.1.TBX21	chr12	94083567	94083576	+	0.000	0.000	Merged-chr12-94083592-14
NR341--MA0690.1.TBX21	chr11	53839792	53839801	-	0.000	0.000	Merged-chr11-53839665-72
NR1026--MA0690.1.TBX21	chr19	8926826	8926835	+	0.000	0.000	Merged-chr19-8926872-10
NR864--MA0690.1.TBX21	chr16	92864441	92864450	-	0.000	0.000	Merged-chr16-92864483-35
NR1549--MA0690.1.TBX21	chr5	65737461	65737470	+	0.000	0.000	Merged-chr5-65737481-18
NR450--MA0690.1.TBX21	chr12	35123699	35123708	+	0.000	0.000	Merged-chr12-35123715-16
NR1658--MA0690.1.TBX21	chr6	3541167	3541176	+	0.000	0.000	Merged-chr6-3541149-9
NR830--MA0690.1.TBX21	chr16	49768771	49768780	+	0.000	0.000	Merged-chr16-49768771-12
NR625--MA0690.1.TBX21	chr13	112474466	112474475	+	0.000	0.000	Merged-chr13-112474497-27
NR211--MA0690.1.TBX21	chr10	28677793	28677802	+	0.000	0.000	Merged-chr10-28677765-32
NR1767--MA0690.1.TBX21	chr6	131276846	131276855	+	0.000	0.000	Merged-chr6-131276753-31
NR192--MA0690.1.TBX21	chr10	17566340	17566349	-	0.000	0.000	Merged-chr10-17566277-15
NR1148--MA0690.1.TBX21	chr2	75832953	75832962	+	0.000	0.000	Merged-chr2-75833051-1
NR1005--MA0690.1.TBX21	chr18	81422592	81422601	-	0.000	0.000	Merged-chr18-81422604-12
NR37--MA0690.1.TBX21	chr1	69692152	69692161	+	0.000	0.000	Merged-chr1-69692321-35
NR843--MA0690.1.TBX21	chr16	58546269	58546278	+	0.000	0.000	Merged-chr16-58546287-56
NR1528--MA0690.1.TBX21	chr5	24776979	24776988	-	0.000	0.000	Merged-chr5-24777004-40
NR224--MA0690.1.TBX21	chr10	41957431	41957440	+	0.000	0.000	Merged-chr10-41957566-13
NR1095--MA0690.1.TBX21	chr2	29753035	29753044	-	0.000	0.000	Merged-chr2-29753036-13
NR1889--MA0690.1.TBX21	chr7	125511522	125511531	+	0.000	0.000	Merged-chr7-125511628-40
NR442--MA0690.1.TBX21	chr12	21472715	21472724	+	0.000	0.000	Merged-chr12-21472738-21
NR1236--MA0690.1.TBX21	chr2	160657931	160657940	+	0.000	0.000	Merged-chr2-160657923-30
NR978--MA0690.1.TBX21	chr18	64476908	64476917	+	0.000	0.000	Merged-chr18-64476957-10
NR835--MA0690.1.TBX21	chr16	52230078	52230087	-	0.000	0.000	Merged-chr16-52230114-26
NR1106--MA0690.1.TBX21	chr2	35382295	35382304	+	0.000	0.000	Merged-chr2-35382187-12
NR1467--MA0690.1.TBX21	chr4	119127245	119127254	-	0.000	0.000	Merged-chr4-119127359-48
NR543--MA0690.1.TBX21	chr13	45649501	45649510	-	0.000	0.000	Merged-chr13-45649437-39
NR400--MA0690.1.TBX21	chr11	101661941	101661950	+	0.000	0.000	Merged-chr11-101661964-4
NR176--MA0690.1.TBX21	chr1	192492872	192492881	+	0.000	0.000	Merged-chr1-192493045-1
NR447--MA0690.1.TBX21	chr12	32201920	32201929	-	0.000	0.000	Merged-chr12-32202051-6
NR98--MA0690.1.TBX21	chr1	153085298	153085307	+	0.000	0.000	Merged-chr1-153085366-59
NR490--MA0690.1.TBX21	chr12	106008852	106008861	+	0.000	0.000	Merged-chr12-106008779-30
NR413--MA0690.1.TBX21	chr11	113009614	113009623	-	0.000	0.000	Merged-chr11-113009621-13
NR665--MA0690.1.TBX21	chr14	60736997	60737006	-	0.000	0.000	Merged-chr14-60736893-73
NR1079--MA0690.1.TBX21	chr2	9801707	9801716	+	0.000	0.000	Merged-chr2-9801686-39
NR360--MA0690.1.TBX21	chr11	72342371	72342380	+	0.000	0.000	Merged-chr11-72342522-29
NR1297--MA0690.1.TBX21	chr3	84093081	84093090	-	0.000	0.000	Merged-chr3-84093112-19
NR373--MA0690.1.TBX21	chr11	83746350	83746359	-	0.000	0.000	Merged-chr11-83746367-9
NR1058--MA0690.1.TBX21	chr19	53760526	53760535	+	0.000	0.000	Merged-chr19-53760542-10
NR277--MA0690.1.TBX21	chr10	98786265	98786274	+	0.000	0.000	Merged-chr10-98786079-74
NR352--MA0690.1.TBX21	chr11	67522865	67522874	+	0.000	0.000	Merged-chr11-67522836-19
NR623--MA0690.1.TBX21	chr13	112396792	112396801	+	0.000	0.000	Merged-chr13-112396740-45
NR147--MA0690.1.TBX21	chr1	180810598	180810607	+	0.000	0.000	Merged-chr1-180810648-13
NR1037--MA0690.1.TBX21	chr19	20424282	20424291	+	0.000	0.000	Merged-chr19-20424322-22
NR399--MA0690.1.TBX21	chr11	101661880	101661889	+	0.000	0.000	Merged-chr11-101661964-4
NR1289--MA0690.1.TBX21	chr3	60111326	60111335	-	0.000	0.000	Merged-chr3-60111409-19
NR779--MA0690.1.TBX21	chr15	81819865	81819874	-	0.000	0.000	Merged-chr15-81819861-26
NR1970--MA0690.1.TBX21	chr8	84877081	84877090	+	0.000	0.000	Merged-chr8-84876953-6
NR474--MA0690.1.TBX21	chr12	82268146	82268155	-	0.000	0.000	Merged-chr12-82268056-22
NR126--MA0690.1.TBX21	chr1	167277191	167277200	+	0.000	0.000	Merged-chr1-167277158-16
NR378--MA0690.1.TBX21	chr11	89145572	89145581	+	0.000	0.000	Merged-chr11-89145462-12
NR1983--MA0690.1.TBX21	chr8	107015601	107015610	+	0.000	0.000	Merged-chr8-107015558-12
NR506--MA0690.1.TBX21	chr13	5286470	5286479	+	0.000	0.000	Merged-chr13-5286449-11
NR344--MA0690.1.TBX21	chr11	55131274	55131283	-	0.000	0.000	Merged-chr11-55131266-10
NR248--MA0690.1.TBX21	chr10	77609813	77609822	+	0.000	0.000	Merged-chr10-77609801-14
NR519--MA0690.1.TBX21	chr13	22714295	22714304	-	0.000	0.000	Merged-chr13-22714452-30
NR291--MA0690.1.TBX21	chr10	119083643	119083652	+	0.000	0.000	Merged-chr10-119083697-27
NR357--MA0690.1.TBX21	chr11	70790631	70790640	-	0.000	0.000	Merged-chr11-70790875-54
NR1691--MA0690.1.TBX21	chr6	54807554	54807563	+	0.000	0.000	Merged-chr6-54807598-18
NR2020--MA0690.1.TBX21	chr9	40997241	40997250	-	0.000	0.000	Merged-chr9-40997373-39
NR227--MA0690.1.TBX21	chr10	43996518	43996527	-	0.000	0.000	Merged-chr10-43996389-38
NR1954--MA0690.1.TBX21	chr8	68218580	68218589	+	0.000	0.000	Merged-chr8-68218689-19
NR153--MA0690.1.TBX21	chr1	184534648	184534657	+	0.000	0.000	Merged-chr1-184534660-49
NR1824--MA0690.1.TBX21	chr7	66160265	66160274	-	0.000	0.000	Merged-chr7-66160187-16
NR437--MA0690.1.TBX21	chr12	16558322	16558331	-	0.000	0.000	Merged-chr12-16558216-24
NR1946--MA0690.1.TBX21	chr8	48425274	48425283	+	0.000	0.000	Merged-chr8-48425330-34
NR307--MA0690.1.TBX21	chr10	127141730	127141739	+	0.000	0.000	Merged-chr10-127141602-99
NR2081--MA0690.1.TBX21	chr9	96795474	96795483	-	0.000	0.000	Merged-chr9-96795589-33
NR288--MA0690.1.TBX21	chr10	117969969	117969978	+	0.000	0.000	Merged-chr10-117970017-9
NR1402--MA0690.1.TBX21	chr4	11684333	11684342	-	0.000	0.000	Merged-chr4-11684265-15
NR2113--MA0690.1.TBX21	chr9	117925007	117925016	-	0.000	0.000	Merged-chr9-117925055-43
