#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR5840--MA0684.1.RUNX3	chr2	169360519	169360528	+	0.000	0.000	Merged-chr2-169360551-6
NR2586--MA0002.2.RUNX1	chr13	48528485	48528495	+	0.000	0.000	Merged-chr13-48528650-27
NR5963--MA0002.2.RUNX1	chr3	21996140	21996150	+	0.000	0.000	Merged-chr3-21996009-51
NR127--MA0002.2.RUNX1	chr1	43768755	43768765	+	0.000	0.000	Merged-chr1-43768657-50
NR4474--MA0511.2.RUNX2	chr17	86038397	86038405	+	0.000	0.000	Merged-chr17-86038391-20
NR2572--MA0684.1.RUNX3	chr13	41774152	41774161	-	0.000	0.000	Merged-chr13-41774048-23
NR9339--MA0511.2.RUNX2	chr8	94240484	94240492	+	0.000	0.000	Merged-chr8-94240399-13
NR6726--MA0684.1.RUNX3	chr4	46479220	46479229	+	0.000	0.000	Merged-chr4-46479311-23
NR6849--MA0002.2.RUNX1	chr4	89487212	89487222	-	0.000	0.000	Merged-chr4-89487235-21
NR1222--MA0002.2.RUNX1	chr10	86794910	86794920	+	0.000	0.000	Merged-chr10-86794881-42
NR4440--MA0511.2.RUNX2	chr17	80579294	80579302	-	0.000	0.000	Merged-chr17-80579337-18
NR4506--MA0511.2.RUNX2	chr17	93158628	93158636	-	0.000	0.000	Merged-chr17-93158612-24
NR3981--MA0511.2.RUNX2	chr16	72663827	72663835	+	0.000	0.000	Merged-chr16-72663616-18
NR6709--MA0511.2.RUNX2	chr4	42945478	42945486	-	0.000	0.000	Merged-chr4-42945382-5
NR8767--MA0684.1.RUNX3	chr7	88459938	88459947	-	0.000	0.000	Merged-chr7-88459917-15
NR2393--MA0511.2.RUNX2	chr12	117586386	117586394	-	0.000	0.000	Merged-chr12-117586270-30
NR1460--MA0684.1.RUNX3	chr10	128637207	128637216	-	0.000	0.000	Merged-chr10-128637070-78
NR4788--MA0684.1.RUNX3	chr18	73648551	73648560	+	0.000	0.000	Merged-chr18-73648637-9
NR4516--MA0002.2.RUNX1	chr18	6106732	6106742	-	0.000	0.000	Merged-chr18-6106813-28
NR6752--MA0511.2.RUNX2	chr4	55343348	55343356	+	0.000	0.000	Merged-chr4-55343422-62
NR7874--MA0002.2.RUNX1	chr6	22330736	22330746	+	0.000	0.000	Merged-chr6-22330722-48
NR4182--MA0511.2.RUNX2	chr17	21463758	21463766	+	0.000	0.000	Merged-chr17-21463736-49
NR235--MA0684.1.RUNX3	chr1	71594452	71594461	+	0.000	0.000	Merged-chr1-71594444-22
NR2568--MA0511.2.RUNX2	chr13	41615012	41615020	-	0.000	0.000	Merged-chr13-41614922-33
NR9934--MA0002.2.RUNX1	chr9	110458146	110458156	+	0.000	0.000	Merged-chr9-110458141-15
NR7983--MA0002.2.RUNX1	chr6	56568985	56568995	+	0.000	0.000	Merged-chr6-56568855-65
NR5161--MA0002.2.RUNX1	chr2	5061502	5061512	-	0.000	0.000	Merged-chr2-5061621-34
NR9520--MA0002.2.RUNX1	chr9	7510086	7510096	+	0.000	0.000	Merged-chr9-7510063-49
NR8617--MA0002.2.RUNX1	chr7	48795271	48795281	+	0.000	0.000	Merged-chr7-48795353-37
NR1724--MA0002.2.RUNX1	chr11	80484434	80484444	+	0.000	0.000	Merged-chr11-80484398-4
NR10108--MA0511.2.RUNX2	chrX	50930494	50930502	+	0.000	0.000	Merged-chrX-50930584-22
NR5541--MA0002.2.RUNX1	chr2	103652249	103652259	+	0.000	0.000	Merged-chr2-103652335-51
NR8869--MA0002.2.RUNX1	chr7	112180308	112180318	+	0.000	0.000	Merged-chr7-112180328-30
NR8554--MA0511.2.RUNX2	chr7	24457834	24457842	+	0.000	0.000	Merged-chr7-24457903-49
NR327--MA0511.2.RUNX2	chr1	92371736	92371744	+	0.000	0.000	Merged-chr1-92371802-28
NR4638--MA0002.2.RUNX1	chr18	39758461	39758471	-	0.000	0.000	Merged-chr18-39758407-11
NR1562--MA0002.2.RUNX1	chr11	31999989	31999999	-	0.000	0.000	Merged-chr11-32000120-91
NR6033--MA0684.1.RUNX3	chr3	54353429	54353438	+	0.000	0.000	Merged-chr3-54353382-25
NR1942--MA0002.2.RUNX1	chr12	8847368	8847378	+	0.000	0.000	Merged-chr12-8847092-48
NR195--MA0684.1.RUNX3	chr1	64136472	64136481	-	0.000	0.000	Merged-chr1-64136457-23
NR2448--MA0002.2.RUNX1	chr13	12575254	12575264	-	0.000	0.000	Merged-chr13-12575154-46
NR4684--MA0511.2.RUNX2	chr18	56413122	56413130	-	0.000	0.000	Merged-chr18-56413005-50
NR9642--MA0002.2.RUNX1	chr9	50966404	50966414	+	0.000	0.000	Merged-chr9-50966454-25
NR2705--MA0684.1.RUNX3	chr13	76858200	76858209	-	0.000	0.000	Merged-chr13-76858306-6
NR3860--MA0684.1.RUNX3	chr16	42907566	42907575	-	0.000	0.000	Merged-chr16-42907502-34
NR5934--MA0002.2.RUNX1	chr3	16227501	16227511	+	0.000	0.000	Merged-chr3-16227487-10
NR3983--MA0002.2.RUNX1	chr16	72679264	72679274	+	0.000	0.000	Merged-chr16-72679259-14
NR7595--MA0002.2.RUNX1	chr5	111059192	111059202	-	0.000	0.000	Merged-chr5-111059205-94
NR7200--MA0002.2.RUNX1	chr4	154935888	154935898	-	0.000	0.000	Merged-chr4-154936025-18
NR7866--MA0002.2.RUNX1	chr6	17851277	17851287	+	0.000	0.000	Merged-chr6-17851443-16
NR5920--MA0684.1.RUNX3	chr3	10205275	10205284	-	0.000	0.000	Merged-chr3-10205429-92
NR50--MA0002.2.RUNX1	chr1	20740681	20740691	+	0.000	0.000	Merged-chr1-20740658-39
NR4031--MA0511.2.RUNX2	chr16	89974598	89974606	+	0.000	0.000	Merged-chr16-89974505-28
NR2080--MA0511.2.RUNX2	chr12	69539513	69539521	+	0.000	0.000	Merged-chr12-69539558-45
NR1892--MA0511.2.RUNX2	chr11	118232513	118232521	+	0.000	0.000	Merged-chr11-118232579-51
NR4184--MA0002.2.RUNX1	chr17	23617238	23617248	+	0.000	0.000	Merged-chr17-23617236-49
NR4584--MA0684.1.RUNX3	chr18	32149483	32149492	-	0.000	0.000	Merged-chr18-32149405-13
NR6387--MA0002.2.RUNX1	chr3	131154699	131154709	+	0.000	0.000	Merged-chr3-131154725-13
NR6658--MA0002.2.RUNX1	chr4	24537174	24537184	-	0.000	0.000	Merged-chr4-24537174-7
NR2304--MA0684.1.RUNX3	chr12	107721105	107721114	-	0.000	0.000	Merged-chr12-107721179-46
NR8689--MA0511.2.RUNX2	chr7	67911936	67911944	+	0.000	0.000	Merged-chr7-67912081-16
NR2427--MA0002.2.RUNX1	chr13	6688963	6688973	+	0.000	0.000	Merged-chr13-6689153-22
NR445--MA0684.1.RUNX3	chr1	128399307	128399316	+	0.000	0.000	Merged-chr1-128399248-36
NR1968--MA0002.2.RUNX1	chr12	16901153	16901163	-	0.000	0.000	Merged-chr12-16901091-18
NR4088--MA0002.2.RUNX1	chr16	97111599	97111609	-	0.000	0.000	Merged-chr16-97111615-1
NR1653--MA0511.2.RUNX2	chr11	63148535	63148543	+	0.000	0.000	Merged-chr11-63148506-21
NR3982--MA0684.1.RUNX3	chr16	72663827	72663836	+	0.000	0.000	Merged-chr16-72663616-18
NR5371--MA0002.2.RUNX1	chr2	59716653	59716663	+	0.000	0.000	Merged-chr2-59716624-17
NR1954--MA0684.1.RUNX3	chr12	16165140	16165149	+	0.000	0.000	Merged-chr12-16165159-14
NR157--MA0511.2.RUNX2	chr1	54421901	54421909	+	0.000	0.000	Merged-chr1-54421982-33
NR6499--MA0511.2.RUNX2	chr3	145538030	145538038	+	0.000	0.000	Merged-chr3-145538069-30
NR1540--MA0684.1.RUNX3	chr11	21690733	21690742	-	0.000	0.000	Merged-chr11-21690668-23
NR7431--MA0002.2.RUNX1	chr5	73340417	73340427	+	0.000	0.000	Merged-chr5-73340408-13
NR7702--MA0002.2.RUNX1	chr5	124302983	124302993	-	0.000	0.000	Merged-chr5-124303032-6
NR4676--MA0511.2.RUNX2	chr18	55681639	55681647	+	0.000	0.000	Merged-chr18-55681578-17
NR9363--MA0002.2.RUNX1	chr8	105516026	105516036	-	0.000	0.000	Merged-chr8-105516067-32
NR1920--MA0684.1.RUNX3	chr11	120981053	120981062	-	0.000	0.000	Merged-chr11-120981125-9
NR7910--MA0511.2.RUNX2	chr6	39347440	39347448	+	0.000	0.000	Merged-chr6-39347435-5
NR1030--MA0684.1.RUNX3	chr10	50898383	50898392	+	0.000	0.000	Merged-chr10-50898307-41
NR6514--MA0684.1.RUNX3	chr3	146045006	146045015	-	0.000	0.000	Merged-chr3-146045142-29
NR8668--MA0511.2.RUNX2	chr7	64005455	64005463	+	0.000	0.000	Merged-chr7-64005371-3
NR6018--MA0002.2.RUNX1	chr3	51495781	51495791	+	0.000	0.000	Merged-chr3-51495816-13
NR8254--MA0511.2.RUNX2	chr6	119159740	119159748	+	0.000	0.000	Merged-chr6-119159656-11
NR2535--MA0684.1.RUNX3	chr13	34914837	34914846	-	0.000	0.000	Merged-chr13-34914852-26
NR4067--MA0002.2.RUNX1	chr16	94374360	94374370	+	0.000	0.000	Merged-chr16-94374445-4
NR5370--MA0684.1.RUNX3	chr2	59716627	59716636	-	0.000	0.000	Merged-chr2-59716624-17
NR4023--MA0511.2.RUNX2	chr16	89817051	89817059	+	0.000	0.000	Merged-chr16-89817047-30
NR9581--MA0002.2.RUNX1	chr9	37554385	37554395	+	0.000	0.000	Merged-chr9-37554470-32
NR8111--MA0511.2.RUNX2	chr6	91061195	91061203	-	0.000	0.000	Merged-chr6-91061386-8
NR3835--MA0511.2.RUNX2	chr16	35485045	35485053	+	0.000	0.000	Merged-chr16-35485007-20
NR8284--MA0684.1.RUNX3	chr6	121230099	121230108	+	0.000	0.000	Merged-chr6-121230042-8
NR8092--MA0511.2.RUNX2	chr6	87725734	87725742	+	0.000	0.000	Merged-chr6-87725596-14
NR5002--MA0002.2.RUNX1	chr19	33429584	33429594	-	0.000	0.000	Merged-chr19-33429713-40
NR2518--MA0511.2.RUNX2	chr13	31179581	31179589	-	0.000	0.000	Merged-chr13-31179647-13
NR7953--MA0684.1.RUNX3	chr6	49354751	49354760	-	0.000	0.000	Merged-chr6-49354722-8
NR8459--MA0684.1.RUNX3	chr6	144953072	144953081	+	0.000	0.000	Merged-chr6-144953133-29
NR9885--MA0684.1.RUNX3	chr9	98339863	98339872	+	0.000	0.000	Merged-chr9-98339700-17
NR7662--MA0002.2.RUNX1	chr5	118664297	118664307	+	0.000	0.000	Merged-chr5-118664154-13
NR9693--MA0511.2.RUNX2	chr9	61225167	61225175	+	0.000	0.000	Merged-chr9-61225287-14
NR1423--MA0684.1.RUNX3	chr10	121282664	121282673	-	0.000	0.000	Merged-chr10-121282719-28
NR4288--MA0511.2.RUNX2	chr17	47508151	47508159	+	0.000	0.000	Merged-chr17-47508113-61
NR5905--MA0002.2.RUNX1	chr3	9567028	9567038	-	0.000	0.000	Merged-chr3-9567055-14
NR3792--MA0002.2.RUNX1	chr16	23181794	23181804	+	0.000	0.000	Merged-chr16-23181616-66
NR7823--MA0684.1.RUNX3	chr5	149368334	149368343	-	0.000	0.000	Merged-chr5-149368318-30
NR9355--MA0002.2.RUNX1	chr8	103979264	103979274	+	0.000	0.000	Merged-chr8-103979175-27
NR4032--MA0684.1.RUNX3	chr16	89974598	89974607	+	0.000	0.000	Merged-chr16-89974505-28
NR9878--MA0002.2.RUNX1	chr9	96936025	96936035	+	0.000	0.000	Merged-chr9-96936027-74
NR5918--MA0002.2.RUNX1	chr3	10151849	10151859	+	0.000	0.000	Merged-chr3-10151750-17
NR4284--MA0684.1.RUNX3	chr17	46848674	46848683	-	0.000	0.000	Merged-chr17-46848771-22
NR9341--MA0684.1.RUNX3	chr8	94240484	94240493	+	0.000	0.000	Merged-chr8-94240399-13
NR1145--MA0002.2.RUNX1	chr10	75137383	75137393	+	0.000	0.000	Merged-chr10-75137301-35
NR7661--MA0684.1.RUNX3	chr5	118601661	118601670	-	0.000	0.000	Merged-chr5-118601665-20
NR5776--MA0684.1.RUNX3	chr2	158154378	158154387	-	0.000	0.000	Merged-chr2-158154460-58
NR3619--MA0002.2.RUNX1	chr15	85347076	85347086	-	0.000	0.000	Merged-chr15-85347177-12
NR7436--MA0002.2.RUNX1	chr5	74471121	74471131	-	0.000	0.000	Merged-chr5-74471085-11
NR1254--MA0002.2.RUNX1	chr10	92791369	92791379	-	0.000	0.000	Merged-chr10-92791286-37
NR7022--MA0002.2.RUNX1	chr4	129146580	129146590	-	0.000	0.000	Merged-chr4-129146648-24
NR4267--MA0511.2.RUNX2	chr17	43645417	43645425	+	0.000	0.000	Merged-chr17-43645396-23
NR6119--MA0002.2.RUNX1	chr3	83080983	83080993	+	0.000	0.000	Merged-chr3-83080875-43
NR8626--MA0511.2.RUNX2	chr7	49828165	49828173	-	0.000	0.000	Merged-chr7-49828088-29
NR5471--MA0684.1.RUNX3	chr2	79276549	79276558	+	0.000	0.000	Merged-chr2-79276460-24
NR1363--MA0002.2.RUNX1	chr10	117494383	117494393	+	0.000	0.000	Merged-chr10-117494286-56
NR8878--MA0511.2.RUNX2	chr7	112918188	112918196	+	0.000	0.000	Merged-chr7-112918016-3
NR3423--MA0002.2.RUNX1	chr15	34933220	34933230	+	0.000	0.000	Merged-chr15-34933190-14
NR6628--MA0684.1.RUNX3	chr4	11492628	11492637	-	0.000	0.000	Merged-chr4-11492586-1
NR4677--MA0684.1.RUNX3	chr18	55681639	55681648	+	0.000	0.000	Merged-chr18-55681578-17
NR1743--MA0002.2.RUNX1	chr11	86872721	86872731	+	0.000	0.000	Merged-chr11-86872855-18
NR1267--MA0002.2.RUNX1	chr10	93868532	93868542	-	0.000	0.000	Merged-chr10-93868549-34
NR3774--MA0511.2.RUNX2	chr16	17695011	17695019	-	0.000	0.000	Merged-chr16-17695007-34
NR7862--MA0511.2.RUNX2	chr6	17382931	17382939	-	0.000	0.000	Merged-chr6-17382878-11
NR3675--MA0002.2.RUNX1	chr15	94565194	94565204	+	0.000	0.000	Merged-chr15-94565077-32
NR1001--MA0684.1.RUNX3	chr10	39005776	39005785	+	0.000	0.000	Merged-chr10-39005753-18
NR5878--MA0002.2.RUNX1	chr2	179966701	179966711	-	0.000	0.000	Merged-chr2-179966777-32
NR3803--MA0002.2.RUNX1	chr16	24831195	24831205	+	0.000	0.000	Merged-chr16-24831230-9
NR10124--MA0002.2.RUNX1	chrX	52930399	52930409	+	0.000	0.000	Merged-chrX-52930355-32
NR3883--MA0511.2.RUNX2	chr16	45224157	45224165	+	0.000	0.000	Merged-chr16-45224130-153
NR9380--MA0511.2.RUNX2	chr8	110079765	110079773	-	0.000	0.000	Merged-chr8-110079856-46
NR9651--MA0511.2.RUNX2	chr9	52356782	52356790	-	0.000	0.000	Merged-chr9-52356728-32
NR5735--MA0002.2.RUNX1	chr2	153336329	153336339	+	0.000	0.000	Merged-chr2-153336329-40
NR2109--MA0511.2.RUNX2	chr12	75479888	75479896	-	0.000	0.000	Merged-chr12-75479901-16
NR4438--MA0684.1.RUNX3	chr17	79817129	79817138	+	0.000	0.000	Merged-chr17-79817109-13
NR9552--MA0002.2.RUNX1	chr9	20765498	20765508	+	0.000	0.000	Merged-chr9-20765445-35
NR7544--MA0684.1.RUNX3	chr5	105010567	105010576	+	0.000	0.000	Merged-chr5-105010527-49
NR10110--MA0684.1.RUNX3	chrX	50930494	50930503	+	0.000	0.000	Merged-chrX-50930584-22
NR6099--MA0684.1.RUNX3	chr3	79227567	79227576	+	0.000	0.000	Merged-chr3-79227479-60
NR1485--MA0002.2.RUNX1	chr11	4297993	4298003	-	0.000	0.000	Merged-chr11-4298043-4
NR9661--MA0002.2.RUNX1	chr9	53854919	53854929	-	0.000	0.000	Merged-chr9-53854971-17
NR1408--MA0002.2.RUNX1	chr10	120201986	120201996	-	0.000	0.000	Merged-chr10-120201986-109
NR2519--MA0684.1.RUNX3	chr13	31179580	31179589	-	0.000	0.000	Merged-chr13-31179647-13
NR3402--MA0002.2.RUNX1	chr15	28081354	28081364	-	0.000	0.000	Merged-chr15-28081319-36
NR7841--MA0511.2.RUNX2	chr6	5997677	5997685	+	0.000	0.000	Merged-chr6-5997718-16
NR1375--MA0684.1.RUNX3	chr10	118090064	118090073	+	0.000	0.000	Merged-chr10-118090052-13
NR3405--MA0511.2.RUNX2	chr15	31166832	31166840	-	0.000	0.000	Merged-chr15-31166801-87
NR2436--MA0511.2.RUNX2	chr13	9203620	9203628	-	0.000	0.000	Merged-chr13-9203705-17
NR10103--MA0002.2.RUNX1	chrX	50490666	50490676	-	0.000	0.000	Merged-chrX-50490696-9
NR7331--MA0511.2.RUNX2	chr5	36538885	36538893	-	0.000	0.000	Merged-chr5-36538864-43
NR5922--MA0511.2.RUNX2	chr3	10466141	10466149	+	0.000	0.000	Merged-chr3-10466039-18
NR3396--MA0002.2.RUNX1	chr15	27828051	27828061	-	0.000	0.000	Merged-chr15-27828052-47
NR7440--MA0511.2.RUNX2	chr5	77125218	77125226	-	0.000	0.000	Merged-chr5-77125140-56
NR3319--MA0002.2.RUNX1	chr14	121137372	121137382	-	0.000	0.000	Merged-chr14-121137502-35
NR1053--MA0511.2.RUNX2	chr10	58480391	58480399	+	0.000	0.000	Merged-chr10-58480234-23
NR811--MA0002.2.RUNX1	chr1	190896286	190896296	+	0.000	0.000	Merged-chr1-190896359-15
NR6882--MA0002.2.RUNX1	chr4	98040364	98040374	-	0.000	0.000	Merged-chr4-98040330-51
NR9273--MA0002.2.RUNX1	chr8	70174662	70174672	+	0.000	0.000	Merged-chr8-70174484-11
NR9544--MA0002.2.RUNX1	chr9	15531276	15531286	-	0.000	0.000	Merged-chr9-15531370-12
NR3305--MA0684.1.RUNX3	chr14	118483013	118483022	-	0.000	0.000	Merged-chr14-118482949-23
NR10225--MA0002.2.RUNX1	chrX	143030812	143030822	+	0.000	0.000	Merged-chrX-143030752-27
NR9401--MA0002.2.RUNX1	chr8	115137019	115137029	+	0.000	0.000	Merged-chr8-115136921-34
NR1334--MA0002.2.RUNX1	chr10	111446509	111446519	+	0.000	0.000	Merged-chr10-111446386-39
NR3414--MA0684.1.RUNX3	chr15	31649792	31649801	-	0.000	0.000	Merged-chr15-31649789-27
NR301--MA0002.2.RUNX1	chr1	86416418	86416428	-	0.000	0.000	Merged-chr1-86416455-1
NR967--MA0002.2.RUNX1	chr10	26879360	26879370	+	0.000	0.000	Merged-chr10-26879299-36
NR7625--MA0002.2.RUNX1	chr5	114505598	114505608	-	0.000	0.000	Merged-chr5-114505492-44
NR553--MA0002.2.RUNX1	chr1	152037320	152037330	-	0.000	0.000	Merged-chr1-152037309-6
NR6500--MA0002.2.RUNX1	chr3	145538030	145538040	-	0.000	0.000	Merged-chr3-145538069-30
NR7211--MA0002.2.RUNX1	chr5	3887153	3887163	-	0.000	0.000	Merged-chr5-3887091-30
NR5677--MA0511.2.RUNX2	chr2	136987997	136988005	-	0.000	0.000	Merged-chr2-136988057-20
NR8068--MA0511.2.RUNX2	chr6	83096108	83096116	+	0.000	0.000	Merged-chr6-83096074-55
NR1618--MA0002.2.RUNX1	chr11	54188039	54188049	+	0.000	0.000	Merged-chr11-54188081-11
NR2--MA0002.2.RUNX1	chr1	6454075	6454085	+	0.000	0.000	Merged-chr1-6454252-50
NR5164--MA0002.2.RUNX1	chr2	6379922	6379932	-	0.000	0.000	Merged-chr2-6380083-49
NR7466--MA0511.2.RUNX2	chr5	91283139	91283147	-	0.000	0.000	Merged-chr5-91283193-32
NR6861--MA0002.2.RUNX1	chr4	95278164	95278174	-	0.000	0.000	Merged-chr4-95278286-49
NR9252--MA0002.2.RUNX1	chr8	64805564	64805574	-	0.000	0.000	Merged-chr8-64805470-51
NR3506--MA0511.2.RUNX2	chr15	55327443	55327451	-	0.000	0.000	Merged-chr15-55327422-12
NR1284--MA0511.2.RUNX2	chr10	95372208	95372216	-	0.000	0.000	Merged-chr10-95372183-15
NR2630--MA0002.2.RUNX1	chr13	56238041	56238051	-	0.000	0.000	Merged-chr13-56238101-26
NR1999--MA0684.1.RUNX3	chr12	26057915	26057924	+	0.000	0.000	Merged-chr12-26057851-43
NR7323--MA0511.2.RUNX2	chr5	34822910	34822918	-	0.000	0.000	Merged-chr5-34822830-22
NR7989--MA0511.2.RUNX2	chr6	60940542	60940550	+	0.000	0.000	Merged-chr6-60940563-22
NR837--MA0002.2.RUNX1	chr1	193102711	193102721	+	0.000	0.000	Merged-chr1-193102904-19
NR5815--MA0002.2.RUNX1	chr2	166022403	166022413	+	0.000	0.000	Merged-chr2-166022472-15
NR5339--MA0002.2.RUNX1	chr2	57256103	57256113	+	0.000	0.000	Merged-chr2-57256116-15
NR5796--MA0002.2.RUNX1	chr2	160746824	160746834	+	0.000	0.000	Merged-chr2-160746776-15
NR880--MA0002.2.RUNX1	chr10	9856012	9856022	-	0.000	0.000	Merged-chr10-9856019-18
NR675--MA0002.2.RUNX1	chr1	168432186	168432196	-	0.000	0.000	Merged-chr1-168432368-41
NR9884--MA0002.2.RUNX1	chr9	98339863	98339873	-	0.000	0.000	Merged-chr9-98339700-17
NR9013--MA0002.2.RUNX1	chr7	132672698	132672708	-	0.000	0.000	Merged-chr7-132672749-42
NR9679--MA0002.2.RUNX1	chr9	58131982	58131992	-	0.000	0.000	Merged-chr9-58131900-14
NR803--MA0002.2.RUNX1	chr1	189746716	189746726	+	0.000	0.000	Merged-chr1-189746591-10
NR1568--MA0511.2.RUNX2	chr11	32486696	32486704	-	0.000	0.000	Merged-chr11-32486832-15
NR3897--MA0684.1.RUNX3	chr16	48594584	48594593	+	0.000	0.000	Merged-chr16-48594719-53
NR9887--MA0511.2.RUNX2	chr9	98616577	98616585	-	0.000	0.000	Merged-chr9-98616546-17
NR3354--MA0002.2.RUNX1	chr15	4816995	4817005	+	0.000	0.000	Merged-chr15-4816968-28
NR1617--MA0684.1.RUNX3	chr11	54153014	54153023	-	0.000	0.000	Merged-chr11-54152969-5
NR5861--MA0511.2.RUNX2	chr2	172977498	172977506	+	0.000	0.000	Merged-chr2-172977593-131
NR9394--MA0684.1.RUNX3	chr8	114264134	114264143	-	0.000	0.000	Merged-chr8-114264109-12
NR641--MA0002.2.RUNX1	chr1	164414031	164414041	+	0.000	0.000	Merged-chr1-164413844-41
NR8934--MA0002.2.RUNX1	chr7	119673632	119673642	-	0.000	0.000	Merged-chr7-119673662-33
NR7908--MA0684.1.RUNX3	chr6	38581835	38581844	-	0.000	0.000	Merged-chr6-38581914-20
NR87--MA0002.2.RUNX1	chr1	36883849	36883859	-	0.000	0.000	Merged-chr1-36883943-16
NR9026--MA0002.2.RUNX1	chr7	136164676	136164686	-	0.000	0.000	Merged-chr7-136164647-23
NR545--MA0002.2.RUNX1	chr1	151096213	151096223	-	0.000	0.000	Merged-chr1-151096153-39
NR816--MA0002.2.RUNX1	chr1	191275772	191275782	-	0.000	0.000	Merged-chr1-191275783-38
NR3671--MA0511.2.RUNX2	chr15	94478962	94478970	+	0.000	0.000	Merged-chr15-94478905-44
NR9754--MA0002.2.RUNX1	chr9	76236365	76236375	-	0.000	0.000	Merged-chr9-76236642-42
NR2861--MA0002.2.RUNX1	chr13	108100837	108100847	+	0.000	0.000	Merged-chr13-108100820-31
NR9234--MA0511.2.RUNX2	chr8	56476308	56476316	-	0.000	0.000	Merged-chr8-56476391-12
NR5047--MA0002.2.RUNX1	chr19	42031226	42031236	-	0.000	0.000	Merged-chr19-42031201-8
NR5669--MA0511.2.RUNX2	chr2	135823861	135823869	+	0.000	0.000	Merged-chr2-135823878-14
NR5176--MA0684.1.RUNX3	chr2	8965050	8965059	-	0.000	0.000	Merged-chr2-8965212-53
NR5775--MA0002.2.RUNX1	chr2	158154377	158154387	+	0.000	0.000	Merged-chr2-158154460-58
NR1068--MA0002.2.RUNX1	chr10	60162574	60162584	+	0.000	0.000	Merged-chr10-60162645-38
NR9644--MA0684.1.RUNX3	chr9	51239013	51239022	-	0.000	0.000	Merged-chr9-51239066-41
NR5364--MA0511.2.RUNX2	chr2	59482996	59483004	-	0.000	0.000	Merged-chr2-59482840-22
NR3114--MA0684.1.RUNX3	chr14	63104030	63104039	+	0.000	0.000	Merged-chr14-63104126-25
NR1286--MA0002.2.RUNX1	chr10	95973384	95973394	+	0.000	0.000	Merged-chr10-95973477-5
NR4663--MA0002.2.RUNX1	chr18	54061846	54061856	-	0.000	0.000	Merged-chr18-54061989-12
NR5330--MA0511.2.RUNX2	chr2	52885288	52885296	+	0.000	0.000	Merged-chr2-52885299-16
NR8880--MA0684.1.RUNX3	chr7	112918188	112918197	+	0.000	0.000	Merged-chr7-112918016-3
NR10020--MA0684.1.RUNX3	chr9	119823983	119823992	+	0.000	0.000	Merged-chr9-119823942-29
NR981--MA0002.2.RUNX1	chr10	30537424	30537434	-	0.000	0.000	Merged-chr10-30537547-6
NR1609--MA0684.1.RUNX3	chr11	52224161	52224170	+	0.000	0.000	Merged-chr11-52224357-50
NR9928--MA0684.1.RUNX3	chr9	108617516	108617525	-	0.000	0.000	Merged-chr9-108617434-16
NR9243--MA0684.1.RUNX3	chr8	61234560	61234569	-	0.000	0.000	Merged-chr8-61234542-15
NR1874--MA0511.2.RUNX2	chr11	115589156	115589164	+	0.000	0.000	Merged-chr11-115589146-15
NR3061--MA0684.1.RUNX3	chr14	50981535	50981544	-	0.000	0.000	Merged-chr14-50981493-30
NR2330--MA0002.2.RUNX1	chr12	112720127	112720137	+	0.000	0.000	Merged-chr12-112720162-15
NR3379--MA0684.1.RUNX3	chr15	18951818	18951827	-	0.000	0.000	Merged-chr15-18951851-25
NR3392--MA0511.2.RUNX2	chr15	27668288	27668296	-	0.000	0.000	Merged-chr15-27668249-55
NR3187--MA0511.2.RUNX2	chr14	75892373	75892381	-	0.000	0.000	Merged-chr14-75892464-20
NR4533--MA0002.2.RUNX1	chr18	11883353	11883363	+	0.000	0.000	Merged-chr18-11883419-27
NR9160--MA0511.2.RUNX2	chr8	19161780	19161788	+	0.000	0.000	Merged-chr8-19161757-88
NR8178--MA0684.1.RUNX3	chr6	100255528	100255537	+	0.000	0.000	Merged-chr6-100255672-12
NR123--MA0002.2.RUNX1	chr1	43403618	43403628	-	0.000	0.000	Merged-chr1-43403565-20
NR7817--MA0511.2.RUNX2	chr5	149080641	149080649	-	0.000	0.000	Merged-chr5-149080540-39
NR9478--MA0511.2.RUNX2	chr8	125667473	125667481	-	0.000	0.000	Merged-chr8-125667402-39
NR1208--MA0684.1.RUNX3	chr10	84897547	84897556	+	0.000	0.000	Merged-chr10-84897526-62
NR3838--MA0511.2.RUNX2	chr16	35742397	35742405	-	0.000	0.000	Merged-chr16-35742622-74
NR2962--MA0002.2.RUNX1	chr14	15011568	15011578	+	0.000	0.000	Merged-chr14-15011517-9
NR7699--MA0002.2.RUNX1	chr5	124241815	124241825	-	0.000	0.000	Merged-chr5-124241668-15
NR1016--MA0511.2.RUNX2	chr10	40462465	40462473	-	0.000	0.000	Merged-chr10-40462347-27
NR1522--MA0684.1.RUNX3	chr11	16858837	16858846	-	0.000	0.000	Merged-chr11-16858803-1
NR3054--MA0002.2.RUNX1	chr14	48246459	48246469	+	0.000	0.000	Merged-chr14-48246381-22
