#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR25043--MA0493.1.Klf1	chr16	18089247	18089257	+	0.000	0.000	Merged-chr16-18089108-33
NR157--MA0740.1.KLF14	chr1	20912780	20912793	-	0.000	0.000	Merged-chr1-20912686-65
NR38338--MA1107.1.KLF9	chr2	147832625	147832637	+	0.000	0.000	Merged-chr2-147832545-2
NR68579--MA0741.1.KLF16	chr9	110880152	110880162	-	0.000	0.000	Merged-chr9-110880207-47
NR26383--MA1107.1.KLF9	chr16	90329845	90329857	+	0.000	0.000	Merged-chr16-90329904-1
NR50960--MA1107.1.KLF9	chr5	113165068	113165080	+	0.000	0.000	Merged-chr5-113165071-16
NR18198--MA0599.1.KLF5	chr13	98299071	98299080	+	0.000	0.000	Merged-chr13-98299222-33
NR1835--MA0742.1.Klf12	chr1	118627882	118627896	+	0.000	0.000	Merged-chr1-118628003-42
NR24741--MA0741.1.KLF16	chr16	4469939	4469949	+	0.000	0.000	Merged-chr16-4469915-27
NR66310--MA0740.1.KLF14	chr9	47530157	47530170	+	0.000	0.000	Merged-chr9-47530154-53
NR59825--MA0493.1.Klf1	chr7	84605955	84605965	+	0.000	0.000	Merged-chr7-84605972-68
NR54218--MA0740.1.KLF14	chr6	53709833	53709846	-	0.000	0.000	Merged-chr6-53709881-31
NR44758--MA0741.1.KLF16	chr4	45530858	45530868	+	0.000	0.000	Merged-chr4-45530813-118
NR64109--MA0741.1.KLF16	chr8	93810305	93810315	+	0.000	0.000	Merged-chr8-93810346-59
NR58654--MA1107.1.KLF9	chr7	34630652	34630664	+	0.000	0.000	Merged-chr7-34630517-24
NR59732--MA0740.1.KLF14	chr7	81454606	81454619	+	0.000	0.000	Merged-chr7-81454544-19
NR21610--MA0742.1.Klf12	chr14	118658308	118658322	+	0.000	0.000	Merged-chr14-118658326-68
NR68206--MA0493.1.Klf1	chr9	104373465	104373475	+	0.000	0.000	Merged-chr9-104373447-21
NR3332--MA0599.1.KLF5	chr1	167637966	167637975	-	0.000	0.000	Merged-chr1-167638015-1
NR39013--MA0599.1.KLF5	chr2	163166215	163166224	+	0.000	0.000	Merged-chr2-163166400-55
NR689--MA1107.1.KLF9	chr1	52454843	52454855	+	0.000	0.000	Merged-chr1-52454811-49
NR59120--MA0742.1.Klf12	chr7	49246033	49246047	+	0.000	0.000	Merged-chr7-49246156-57
NR35682--MA1107.1.KLF9	chr2	50303445	50303457	+	0.000	0.000	Merged-chr2-50303497-2
NR21614--MA0741.1.KLF16	chr14	118682883	118682893	-	0.000	0.000	Merged-chr14-118682781-56
NR30131--MA0599.1.KLF5	chr17	88654068	88654077	-	0.000	0.000	Merged-chr17-88654141-3
NR7122--MA1107.1.KLF9	chr10	83898127	83898139	+	0.000	0.000	Merged-chr10-83898059-2
NR21029--MA0493.1.Klf1	chr14	79236476	79236486	+	0.000	0.000	Merged-chr14-79236608-48
NR19703--MA0657.1.KLF13	chr14	30014615	30014632	-	0.000	0.000	Merged-chr14-30014704-42
NR43465--MA0740.1.KLF14	chr3	146039642	146039655	-	0.000	0.000	Merged-chr3-146039588-29
NR40767--MA0742.1.Klf12	chr3	62338937	62338951	-	0.000	0.000	Merged-chr3-62339060-22
NR59736--MA0493.1.Klf1	chr7	81454606	81454616	+	0.000	0.000	Merged-chr7-81454544-19
NR34011--MA0493.1.Klf1	chr19	54115006	54115016	-	0.000	0.000	Merged-chr19-54115142-50
NR23655--MA0741.1.KLF16	chr15	83725116	83725126	-	0.000	0.000	Merged-chr15-83724977-20
NR39630--MA0741.1.KLF16	chr2	173578406	173578416	+	0.000	0.000	Merged-chr2-173578364-53
NR22119--MA0493.1.Klf1	chr15	25696042	25696052	-	0.000	0.000	Merged-chr15-25696018-37
NR64255--MA0599.1.KLF5	chr8	104039727	104039736	-	0.000	0.000	Merged-chr8-104039758-41
NR11132--MA0039.3.KLF4	chr11	82424778	82424788	-	0.000	0.000	Merged-chr11-82424845-7
NR60679--MA0599.1.KLF5	chr7	112679261	112679270	+	0.000	0.000	Merged-chr7-112679423-49
NR55883--MA0599.1.KLF5	chr6	120934470	120934479	-	0.000	0.000	Merged-chr6-120934426-25
NR18200--MA0741.1.KLF16	chr13	98299071	98299081	+	0.000	0.000	Merged-chr13-98299222-33
NR54219--MA0657.1.KLF13	chr6	53709830	53709847	-	0.000	0.000	Merged-chr6-53709881-31
NR45239--MA0493.1.Klf1	chr4	63374452	63374462	-	0.000	0.000	Merged-chr4-63374421-2
NR66314--MA0599.1.KLF5	chr9	47530158	47530167	+	0.000	0.000	Merged-chr9-47530154-53
NR15520--MA0599.1.KLF5	chr12	108450258	108450267	-	0.000	0.000	Merged-chr12-108450147-23
NR7127--MA1107.1.KLF9	chr10	83898137	83898149	+	0.000	0.000	Merged-chr10-83898059-2
NR15501--MA1107.1.KLF9	chr12	108275431	108275443	+	0.000	0.000	Merged-chr12-108275445-64
NR60174--MA0742.1.Klf12	chr7	99795659	99795673	+	0.000	0.000	Merged-chr7-99795499-24
NR40746--MA0742.1.Klf12	chr3	61002319	61002333	-	0.000	0.000	Merged-chr3-61002220-1
NR37201--MA0741.1.KLF16	chr2	117335585	117335595	-	0.000	0.000	Merged-chr2-117335736-33
NR41023--MA0493.1.Klf1	chr3	79451644	79451654	-	0.000	0.000	Merged-chr3-79451498-29
NR49148--MA0741.1.KLF16	chr5	35462423	35462433	+	0.000	0.000	Merged-chr5-35462574-17
NR70042--MA0493.1.Klf1	chrX	99136010	99136020	-	0.000	0.000	Merged-chrX-99136067-62
NR7642--MA0741.1.KLF16	chr10	98782188	98782198	+	0.000	0.000	Merged-chr10-98782064-50
NR67329--MA0741.1.KLF16	chr9	77939192	77939202	+	0.000	0.000	Merged-chr9-77938986-43
NR55888--MA0599.1.KLF5	chr6	121017549	121017558	-	0.000	0.000	Merged-chr6-121017523-33
NR37537--MA0599.1.KLF5	chr2	125136009	125136018	-	0.000	0.000	Merged-chr2-125136116-38
NR49836--MA0493.1.Klf1	chr5	74704611	74704621	+	0.000	0.000	Merged-chr5-74704453-70
NR44771--MA1107.1.KLF9	chr4	45530876	45530888	+	0.000	0.000	Merged-chr4-45530813-118
NR42906--MA0741.1.KLF16	chr3	132928122	132928132	-	0.000	0.000	Merged-chr3-132927951-20
NR33736--MA1107.1.KLF9	chr19	45079935	45079947	-	0.000	0.000	Merged-chr19-45079804-49
NR22083--MA1107.1.KLF9	chr15	12588867	12588879	+	0.000	0.000	Merged-chr15-12588856-30
NR1221--MA0741.1.KLF16	chr1	74807159	74807169	+	0.000	0.000	Merged-chr1-74806913-73
NR9894--MA0493.1.Klf1	chr11	54002528	54002538	+	0.000	0.000	Merged-chr11-54002404-3
NR41073--MA0599.1.KLF5	chr3	81835918	81835927	-	0.000	0.000	Merged-chr3-81835793-30
NR69808--MA0599.1.KLF5	chrX	56374516	56374525	-	0.000	0.000	Merged-chrX-56374648-33
NR53601--MA0599.1.KLF5	chr6	28215746	28215755	+	0.000	0.000	Merged-chr6-28215524-47
NR33200--MA0599.1.KLF5	chr19	26414902	26414911	+	0.000	0.000	Merged-chr19-26414799-20
NR23049--MA0599.1.KLF5	chr15	74538494	74538503	-	0.000	0.000	Merged-chr15-74538442-18
NR49886--MA0599.1.KLF5	chr5	75978515	75978524	-	0.000	0.000	Merged-chr5-75978410-42
NR65248--MA0741.1.KLF16	chr8	124434539	124434549	-	0.000	0.000	Merged-chr8-124434522-47
NR56503--MA0493.1.Klf1	chr6	135168259	135168269	+	0.000	0.000	Merged-chr6-135168143-37
NR20912--MA0599.1.KLF5	chr14	75527267	75527276	+	0.000	0.000	Merged-chr14-75527299-19
NR29372--MA1107.1.KLF9	chr17	71918812	71918824	-	0.000	0.000	Merged-chr17-71918800-1
NR16713--MA0493.1.Klf1	chr13	40676877	40676887	+	0.000	0.000	Merged-chr13-40676828-31
NR44762--MA0657.1.KLF13	chr4	45530891	45530908	+	0.000	0.000	Merged-chr4-45530813-118
NR59106--MA0657.1.KLF13	chr7	48958896	48958913	-	0.000	0.000	Merged-chr7-48959052-34
NR39721--MA0493.1.Klf1	chr2	174566141	174566151	+	0.000	0.000	Merged-chr2-174566072-46
NR51608--MA0039.3.KLF4	chr5	124961820	124961830	+	0.000	0.000	Merged-chr5-124961637-18
NR48372--MA0742.1.Klf12	chr4	155774591	155774605	+	0.000	0.000	Merged-chr4-155774656-37
NR52179--MA1107.1.KLF9	chr5	135780556	135780568	-	0.000	0.000	Merged-chr5-135780527-18
NR52301--MA0599.1.KLF5	chr5	137425542	137425551	+	0.000	0.000	Merged-chr5-137425710-17
NR21372--MA0740.1.KLF14	chr14	103620080	103620093	-	0.000	0.000	Merged-chr14-103620031-34
NR67794--MA0599.1.KLF5	chr9	89909814	89909823	-	0.000	0.000	Merged-chr9-89909785-17
NR16525--MA0741.1.KLF16	chr13	28953313	28953323	+	0.000	0.000	Merged-chr13-28953393-108
NR45972--MA0741.1.KLF16	chr4	107434701	107434711	-	0.000	0.000	Merged-chr4-107434749-32
NR49644--MA0493.1.Klf1	chr5	67155660	67155670	+	0.000	0.000	Merged-chr5-67155759-12
NR43463--MA0493.1.Klf1	chr3	145942167	145942177	-	0.000	0.000	Merged-chr3-145942154-31
NR30834--MA1107.1.KLF9	chr18	43492980	43492992	-	0.000	0.000	Merged-chr18-43493033-11
NR64819--MA1107.1.KLF9	chr8	117855303	117855315	-	0.000	0.000	Merged-chr8-117855395-3
NR19025--MA0741.1.KLF16	chr13	112801417	112801427	-	0.000	0.000	Merged-chr13-112801565-4
NR65601--MA0599.1.KLF5	chr9	15004539	15004548	+	0.000	0.000	Merged-chr9-15004523-21
NR19828--MA0742.1.Klf12	chr14	34768435	34768449	-	0.000	0.000	Merged-chr14-34768619-7
NR1869--MA1107.1.KLF9	chr1	119504865	119504877	-	0.000	0.000	Merged-chr1-119504796-62
NR55216--MA1107.1.KLF9	chr6	100879589	100879601	-	0.000	0.000	Merged-chr6-100879682-24
NR63967--MA0493.1.Klf1	chr8	87472689	87472699	+	0.000	0.000	Merged-chr8-87472817-24
NR29485--MA0493.1.Klf1	chr17	74865000	74865010	-	0.000	0.000	Merged-chr17-74864979-18
NR39619--MA0599.1.KLF5	chr2	173444557	173444566	+	0.000	0.000	Merged-chr2-173444560-32
NR40771--MA0493.1.Klf1	chr3	62338941	62338951	-	0.000	0.000	Merged-chr3-62339060-22
NR48376--MA0741.1.KLF16	chr4	155774592	155774602	+	0.000	0.000	Merged-chr4-155774656-37
NR56032--MA0741.1.KLF16	chr6	124919775	124919785	+	0.000	0.000	Merged-chr6-124919829-13
NR25256--MA0599.1.KLF5	chr16	26371873	26371882	+	0.000	0.000	Merged-chr16-26371721-24
NR29489--MA1107.1.KLF9	chr17	74865012	74865024	-	0.000	0.000	Merged-chr17-74864979-18
NR15123--MA0740.1.KLF14	chr12	100277051	100277064	+	0.000	0.000	Merged-chr12-100277058-24
NR41302--MA0599.1.KLF5	chr3	89378533	89378542	+	0.000	0.000	Merged-chr3-89378543-26
NR39717--MA0493.1.Klf1	chr2	174556043	174556053	-	0.000	0.000	Merged-chr2-174555978-36
NR4906--MA1107.1.KLF9	chr10	5795637	5795649	+	0.000	0.000	Merged-chr10-5795457-7
NR29484--MA0039.3.KLF4	chr17	74865012	74865022	-	0.000	0.000	Merged-chr17-74864979-18
NR20943--MA0741.1.KLF16	chr14	76165446	76165456	-	0.000	0.000	Merged-chr14-76165391-21
NR61801--MA0740.1.KLF14	chr7	139398838	139398851	-	0.000	0.000	Merged-chr7-139398663-1
NR31522--MA0742.1.Klf12	chr18	67967147	67967161	+	0.000	0.000	Merged-chr18-67966986-64
NR38331--MA1107.1.KLF9	chr2	147832607	147832619	+	0.000	0.000	Merged-chr2-147832545-2
NR58723--MA1107.1.KLF9	chr7	35729566	35729578	+	0.000	0.000	Merged-chr7-35729754-35
NR60067--MA0599.1.KLF5	chr7	97842918	97842927	+	0.000	0.000	Merged-chr7-97843006-38
NR39627--MA0741.1.KLF16	chr2	173578403	173578413	+	0.000	0.000	Merged-chr2-173578364-53
NR65151--MA0657.1.KLF13	chr8	122923713	122923730	+	0.000	0.000	Merged-chr8-122923631-1
NR26797--MA1107.1.KLF9	chr16	97002493	97002505	+	0.000	0.000	Merged-chr16-97002537-1
NR19399--MA0741.1.KLF16	chr14	7791692	7791702	+	0.000	0.000	Merged-chr14-7791631-72
NR40766--MA0740.1.KLF14	chr3	62338938	62338951	-	0.000	0.000	Merged-chr3-62339060-22
NR25372--MA0493.1.Klf1	chr16	32516549	32516559	-	0.000	0.000	Merged-chr16-32516451-30
NR65175--MA1107.1.KLF9	chr8	123163083	123163095	+	0.000	0.000	Merged-chr8-123163099-40
NR40045--MA0742.1.Klf12	chr3	9500013	9500027	-	0.000	0.000	Merged-chr3-9499976-58
NR37801--MA1107.1.KLF9	chr2	131955381	131955393	+	0.000	0.000	Merged-chr2-131955415-30
NR70205--MA0599.1.KLF5	chrX	134963361	134963370	+	0.000	0.000	Merged-chrX-134963484-45
NR52175--MA0741.1.KLF16	chr5	135780563	135780573	-	0.000	0.000	Merged-chr5-135780527-18
NR16103--MA0741.1.KLF16	chr12	119238260	119238270	-	0.000	0.000	Merged-chr12-119238441-107
NR31917--MA0657.1.KLF13	chr18	79365967	79365984	-	0.000	0.000	Merged-chr18-79366086-1
NR66470--MA0741.1.KLF16	chr9	53706255	53706265	-	0.000	0.000	Merged-chr9-53706205-55
NR37246--MA1107.1.KLF9	chr2	118256754	118256766	+	0.000	0.000	Merged-chr2-118256887-65
NR50479--MA1107.1.KLF9	chr5	100916623	100916635	+	0.000	0.000	Merged-chr5-100916697-39
NR5908--MA0599.1.KLF5	chr10	60305380	60305389	+	0.000	0.000	Merged-chr10-60305430-32
NR59819--MA0599.1.KLF5	chr7	84409922	84409931	-	0.000	0.000	Merged-chr7-84409928-39
NR1539--MA0493.1.Klf1	chr1	89070318	89070328	+	0.000	0.000	Merged-chr1-89070221-114
NR23765--MA1107.1.KLF9	chr15	86016259	86016271	+	0.000	0.000	Merged-chr15-86016177-43
NR43818--MA0599.1.KLF5	chr3	153261775	153261784	-	0.000	0.000	Merged-chr3-153261788-1
NR23760--MA0039.3.KLF4	chr15	86016263	86016273	+	0.000	0.000	Merged-chr15-86016177-43
NR800--MA0742.1.Klf12	chr1	58304554	58304568	-	0.000	0.000	Merged-chr1-58304515-8
NR40254--MA0741.1.KLF16	chr3	27984085	27984095	-	0.000	0.000	Merged-chr3-27984101-47
NR56030--MA0599.1.KLF5	chr6	124919775	124919784	+	0.000	0.000	Merged-chr6-124919829-13
NR7639--MA0741.1.KLF16	chr10	98782185	98782195	+	0.000	0.000	Merged-chr10-98782064-50
NR46069--MA0741.1.KLF16	chr4	109229939	109229949	+	0.000	0.000	Merged-chr4-109229977-29
NR26802--MA1107.1.KLF9	chr16	97002517	97002529	+	0.000	0.000	Merged-chr16-97002537-1
NR8533--MA0599.1.KLF5	chr10	122047895	122047904	+	0.000	0.000	Merged-chr10-122047923-4
NR59734--MA0599.1.KLF5	chr7	81454607	81454616	+	0.000	0.000	Merged-chr7-81454544-19
NR45240--MA1107.1.KLF9	chr4	63374450	63374462	-	0.000	0.000	Merged-chr4-63374421-2
NR23894--MA0740.1.KLF14	chr15	89498795	89498808	+	0.000	0.000	Merged-chr15-89498857-24
NR21375--MA0741.1.KLF16	chr14	103620082	103620092	-	0.000	0.000	Merged-chr14-103620031-34
NR23578--MA0741.1.KLF16	chr15	82188231	82188241	+	0.000	0.000	Merged-chr15-82188110-14
NR19062--MA0599.1.KLF5	chr13	113466822	113466831	+	0.000	0.000	Merged-chr13-113466791-29
NR44769--MA0741.1.KLF16	chr4	45530877	45530887	+	0.000	0.000	Merged-chr4-45530813-118
NR52696--MA0599.1.KLF5	chr5	142551117	142551126	-	0.000	0.000	Merged-chr5-142551043-31
NR60681--MA0741.1.KLF16	chr7	112679261	112679271	+	0.000	0.000	Merged-chr7-112679423-49
NR26144--MA1107.1.KLF9	chr16	78264701	78264713	-	0.000	0.000	Merged-chr16-78264728-2
NR5911--MA0039.3.KLF4	chr10	60305572	60305582	+	0.000	0.000	Merged-chr10-60305430-32
NR68208--MA1107.1.KLF9	chr9	104373465	104373477	+	0.000	0.000	Merged-chr9-104373447-21
NR16714--MA0741.1.KLF16	chr13	40676878	40676888	+	0.000	0.000	Merged-chr13-40676828-31
NR58825--MA0741.1.KLF16	chr7	42692782	42692792	+	0.000	0.000	Merged-chr7-42692763-63
NR70125--MA0599.1.KLF5	chrX	104857315	104857324	+	0.000	0.000	Merged-chrX-104857124-25
NR30829--MA0742.1.Klf12	chr18	43492978	43492992	-	0.000	0.000	Merged-chr18-43493033-11
NR26382--MA0493.1.Klf1	chr16	90329845	90329855	+	0.000	0.000	Merged-chr16-90329904-1
NR24622--MA0741.1.KLF16	chr15	102746860	102746870	+	0.000	0.000	Merged-chr15-102746842-41
NR32944--MA0741.1.KLF16	chr19	12012382	12012392	+	0.000	0.000	Merged-chr19-12012380-1
NR62064--MA0599.1.KLF5	chr7	143052705	143052714	-	0.000	0.000	Merged-chr7-143052544-1
NR20914--MA0741.1.KLF16	chr14	75527331	75527341	+	0.000	0.000	Merged-chr14-75527299-19
NR1861--MA0740.1.KLF14	chr1	119504864	119504877	-	0.000	0.000	Merged-chr1-119504796-62
NR47999--MA0599.1.KLF5	chr4	150087352	150087361	-	0.000	0.000	Merged-chr4-150087480-81
NR62852--MA0599.1.KLF5	chr8	41240912	41240921	+	0.000	0.000	Merged-chr8-41240829-16
NR19067--MA0599.1.KLF5	chr13	113484744	113484753	+	0.000	0.000	Merged-chr13-113484650-2
NR16142--MA0599.1.KLF5	chr13	3478210	3478219	-	0.000	0.000	Merged-chr13-3478294-51
NR54955--MA0741.1.KLF16	chr6	91156752	91156762	-	0.000	0.000	Merged-chr6-91156791-33
NR7162--MA0657.1.KLF13	chr10	84534023	84534040	-	0.000	0.000	Merged-chr10-84533973-56
NR53830--MA0741.1.KLF16	chr6	38524013	38524023	-	0.000	0.000	Merged-chr6-38524100-15
NR45362--MA0493.1.Klf1	chr4	82755889	82755899	+	0.000	0.000	Merged-chr4-82755852-39
NR23111--MA0740.1.KLF14	chr15	76190076	76190089	+	0.000	0.000	Merged-chr15-76190238-30
NR50357--MA0741.1.KLF16	chr5	98167607	98167617	-	0.000	0.000	Merged-chr5-98167553-86
NR56277--MA0599.1.KLF5	chr6	129049281	129049290	-	0.000	0.000	Merged-chr6-129049251-27
NR393--MA0599.1.KLF5	chr1	37300937	37300946	-	0.000	0.000	Merged-chr1-37301008-22
NR14643--MA0599.1.KLF5	chr12	82469863	82469872	+	0.000	0.000	Merged-chr12-82469736-1
NR48606--MA0742.1.Klf12	chr5	14514923	14514937	-	0.000	0.000	Merged-chr5-14515082-42
NR24739--MA0039.3.KLF4	chr16	4469940	4469950	+	0.000	0.000	Merged-chr16-4469915-27
NR13536--MA0740.1.KLF14	chr12	16999375	16999388	-	0.000	0.000	Merged-chr12-16999389-4
NR57225--MA0742.1.Klf12	chr6	145992967	145992981	+	0.000	0.000	Merged-chr6-145993129-56
NR49194--MA0599.1.KLF5	chr5	35893448	35893457	+	0.000	0.000	Merged-chr5-35893424-58
NR30698--MA0599.1.KLF5	chr18	36561366	36561375	-	0.000	0.000	Merged-chr18-36561309-15
NR51713--MA1107.1.KLF9	chr5	129190327	129190339	+	0.000	0.000	Merged-chr5-129190300-30
NR19398--MA0493.1.Klf1	chr14	7791559	7791569	+	0.000	0.000	Merged-chr14-7791631-72
NR52592--MA0039.3.KLF4	chr5	140871490	140871500	+	0.000	0.000	Merged-chr5-140871418-38
NR21622--MA1107.1.KLF9	chr14	118700612	118700624	+	0.000	0.000	Merged-chr14-118700795-2
NR19827--MA0740.1.KLF14	chr14	34768436	34768449	-	0.000	0.000	Merged-chr14-34768619-7
NR63038--MA0599.1.KLF5	chr8	60632658	60632667	-	0.000	0.000	Merged-chr8-60632762-58
NR25310--MA1107.1.KLF9	chr16	30722575	30722587	-	0.000	0.000	Merged-chr16-30722513-29
NR70037--MA0740.1.KLF14	chrX	99136007	99136020	-	0.000	0.000	Merged-chrX-99136067-62
NR65558--MA0599.1.KLF5	chr9	8042875	8042884	-	0.000	0.000	Merged-chr9-8042887-59
NR4901--MA0741.1.KLF16	chr10	5795624	5795634	+	0.000	0.000	Merged-chr10-5795457-7
NR51607--MA0599.1.KLF5	chr5	124961819	124961828	+	0.000	0.000	Merged-chr5-124961637-18
NR66321--MA0599.1.KLF5	chr9	47530210	47530219	-	0.000	0.000	Merged-chr9-47530154-53
NR7134--MA1107.1.KLF9	chr10	83898169	83898181	+	0.000	0.000	Merged-chr10-83898059-2
NR60686--MA0741.1.KLF16	chr7	112679302	112679312	+	0.000	0.000	Merged-chr7-112679423-49
NR12458--MA1107.1.KLF9	chr11	109356816	109356828	-	0.000	0.000	Merged-chr11-109356957-22
NR21084--MA0742.1.Klf12	chr14	84443428	84443442	+	0.000	0.000	Merged-chr14-84443299-57
NR1840--MA0493.1.Klf1	chr1	118627882	118627892	+	0.000	0.000	Merged-chr1-118628003-42
NR60797--MA1107.1.KLF9	chr7	115924288	115924300	-	0.000	0.000	Merged-chr7-115924236-1
NR34825--MA0599.1.KLF5	chr2	24776345	24776354	+	0.000	0.000	Merged-chr2-24776490-30
NR15402--MA0599.1.KLF5	chr12	105981714	105981723	-	0.000	0.000	Merged-chr12-105981568-18
NR70044--MA1107.1.KLF9	chrX	99136008	99136020	-	0.000	0.000	Merged-chrX-99136067-62
NR13209--MA0599.1.KLF5	chr11	120581252	120581261	-	0.000	0.000	Merged-chr11-120581105-4
NR40924--MA0039.3.KLF4	chr3	68981201	68981211	+	0.000	0.000	Merged-chr3-68981196-42
NR13208--MA0742.1.Klf12	chr11	120581248	120581262	-	0.000	0.000	Merged-chr11-120581105-4
NR5179--MA0493.1.Klf1	chr10	19167797	19167807	-	0.000	0.000	Merged-chr10-19167953-53
NR61681--MA1107.1.KLF9	chr7	136171729	136171741	-	0.000	0.000	Merged-chr7-136171818-25
NR5836--MA0039.3.KLF4	chr10	58351781	58351791	-	0.000	0.000	Merged-chr10-58351765-21
NR1844--MA1107.1.KLF9	chr1	118627882	118627894	+	0.000	0.000	Merged-chr1-118628003-42
NR21627--MA1107.1.KLF9	chr14	118700622	118700634	+	0.000	0.000	Merged-chr14-118700795-2
NR49838--MA1107.1.KLF9	chr5	74704611	74704623	+	0.000	0.000	Merged-chr5-74704453-70
NR45752--MA0741.1.KLF16	chr4	101217266	101217276	-	0.000	0.000	Merged-chr4-101217167-64
NR725--MA0599.1.KLF5	chr1	54250883	54250892	-	0.000	0.000	Merged-chr1-54250746-54
NR19408--MA0599.1.KLF5	chr14	8214802	8214811	-	0.000	0.000	Merged-chr14-8214738-3
NR23048--MA0742.1.Klf12	chr15	74538490	74538504	-	0.000	0.000	Merged-chr15-74538442-18
NR60827--MA0741.1.KLF16	chr7	116608469	116608479	+	0.000	0.000	Merged-chr7-116608604-50
NR39014--MA0741.1.KLF16	chr2	163166231	163166241	-	0.000	0.000	Merged-chr2-163166400-55
NR55863--MA0741.1.KLF16	chr6	120539391	120539401	-	0.000	0.000	Merged-chr6-120539283-23
NR5683--MA0740.1.KLF14	chr10	43706498	43706511	-	0.000	0.000	Merged-chr10-43706280-54
NR29483--MA0599.1.KLF5	chr17	74865014	74865023	-	0.000	0.000	Merged-chr17-74864979-18
NR44766--MA0599.1.KLF5	chr4	45530893	45530902	+	0.000	0.000	Merged-chr4-45530813-118
NR49330--MA0741.1.KLF16	chr5	44239421	44239431	+	0.000	0.000	Merged-chr5-44239344-7
NR49853--MA0741.1.KLF16	chr5	75143468	75143478	+	0.000	0.000	Merged-chr5-75143306-22
NR40047--MA0039.3.KLF4	chr3	9500015	9500025	-	0.000	0.000	Merged-chr3-9499976-58
NR16156--MA0741.1.KLF16	chr13	4609095	4609105	+	0.000	0.000	Merged-chr13-4609107-53
NR70038--MA0657.1.KLF13	chrX	99136004	99136021	-	0.000	0.000	Merged-chrX-99136067-62
NR16715--MA1107.1.KLF9	chr13	40676877	40676889	+	0.000	0.000	Merged-chr13-40676828-31
NR17582--MA0741.1.KLF16	chr13	73265757	73265767	+	0.000	0.000	Merged-chr13-73265684-17
NR50956--MA0742.1.Klf12	chr5	113165068	113165082	+	0.000	0.000	Merged-chr5-113165071-16
NR31165--MA0741.1.KLF16	chr18	60625570	60625580	-	0.000	0.000	Merged-chr18-60625535-13
NR41070--MA1107.1.KLF9	chr3	81547097	81547109	+	0.000	0.000	Merged-chr3-81547186-1
NR31914--MA0599.1.KLF5	chr18	79284666	79284675	+	0.000	0.000	Merged-chr18-79284521-10
NR41024--MA0741.1.KLF16	chr3	79451643	79451653	-	0.000	0.000	Merged-chr3-79451498-29
NR59821--MA0741.1.KLF16	chr7	84409921	84409931	-	0.000	0.000	Merged-chr7-84409928-39
NR33793--MA0740.1.KLF14	chr19	46148526	46148539	-	0.000	0.000	Merged-chr19-46148494-21
NR53831--MA1107.1.KLF9	chr6	38524012	38524024	-	0.000	0.000	Merged-chr6-38524100-15
NR14489--MA0741.1.KLF16	chr12	76324804	76324814	+	0.000	0.000	Merged-chr12-76324931-27
NR37533--MA0740.1.KLF14	chr2	125136006	125136019	-	0.000	0.000	Merged-chr2-125136116-38
NR64113--MA0741.1.KLF16	chr8	93810534	93810544	+	0.000	0.000	Merged-chr8-93810346-59
NR38657--MA0599.1.KLF5	chr2	155019173	155019182	+	0.000	0.000	Merged-chr2-155019039-1
NR4904--MA1107.1.KLF9	chr10	5795633	5795645	+	0.000	0.000	Merged-chr10-5795457-7
NR16524--MA0599.1.KLF5	chr13	28953313	28953322	+	0.000	0.000	Merged-chr13-28953393-108
NR31395--MA0599.1.KLF5	chr18	65924896	65924905	-	0.000	0.000	Merged-chr18-65924997-33
NR59122--MA0493.1.Klf1	chr7	49246033	49246043	+	0.000	0.000	Merged-chr7-49246156-57
NR45971--MA0742.1.Klf12	chr4	107434698	107434712	-	0.000	0.000	Merged-chr4-107434749-32
NR60180--MA1107.1.KLF9	chr7	99795664	99795676	+	0.000	0.000	Merged-chr7-99795499-24
NR69138--MA0039.3.KLF4	chr9	120057113	120057123	-	0.000	0.000	Merged-chr9-120057282-6
NR61392--MA0599.1.KLF5	chr7	128554785	128554794	+	0.000	0.000	Merged-chr7-128554722-15
NR31396--MA0741.1.KLF16	chr18	65924895	65924905	-	0.000	0.000	Merged-chr18-65924997-33
NR39719--MA1107.1.KLF9	chr2	174556041	174556053	-	0.000	0.000	Merged-chr2-174555978-36
NR55108--MA0599.1.KLF5	chr6	98609322	98609331	+	0.000	0.000	Merged-chr6-98609321-36
NR36391--MA1107.1.KLF9	chr2	77175977	77175989	-	0.000	0.000	Merged-chr2-77175946-2
NR52173--MA0741.1.KLF16	chr5	135780557	135780567	-	0.000	0.000	Merged-chr5-135780527-18
NR25370--MA0493.1.Klf1	chr16	32516539	32516549	-	0.000	0.000	Merged-chr16-32516451-30
NR65398--MA0599.1.KLF5	chr8	126536325	126536334	+	0.000	0.000	Merged-chr8-126536353-14
NR65164--MA1107.1.KLF9	chr8	123163061	123163073	+	0.000	0.000	Merged-chr8-123163099-40
