#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed
NR4196--MA0523.1.TCF7L2	chr18	65016105	65016118	-	0.000	0.000	Merged-chr18-65016159-16
NR6601--MA0769.1.Tcf7	chr5	36140747	36140758	+	0.000	0.000	Merged-chr5-36140594-4
NR4012--MA0523.1.TCF7L2	chr18	5816632	5816645	+	0.000	0.000	Merged-chr18-5816511-9
NR999--MA0523.1.TCF7L2	chr10	75417807	75417820	+	0.000	0.000	Merged-chr10-75417748-37
NR7838--MA1421.1.TCF7L1	chr7	84143206	84143217	-	0.000	0.000	Merged-chr7-84143230-35
NR918--MA0769.1.Tcf7	chr10	59435691	59435702	-	0.000	0.000	Merged-chr10-59435699-1
NR7610--MA1421.1.TCF7L1	chr6	145379548	145379559	-	0.000	0.000	Merged-chr6-145379467-36
NR3931--MA0523.1.TCF7L2	chr17	74354547	74354560	-	0.000	0.000	Merged-chr17-74354475-5
NR89--MA0523.1.TCF7L2	chr1	43389274	43389287	-	0.000	0.000	Merged-chr1-43389283-10
NR5687--MA0523.1.TCF7L2	chr3	101029429	101029442	+	0.000	0.000	Merged-chr3-101029545-28
NR815--MA0769.1.Tcf7	chr10	25387446	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR4999--MA0769.1.Tcf7	chr2	112656428	112656439	+	0.000	0.000	Merged-chr2-112656502-8
NR4820--MA0523.1.TCF7L2	chr2	68932316	68932329	-	0.000	0.000	Merged-chr2-68932401-28
NR3110--MA0523.1.TCF7L2	chr15	38634664	38634677	+	0.000	0.000	Merged-chr15-38634612-4
NR8584--MA0769.1.Tcf7	chr9	33186575	33186586	-	0.000	0.000	Merged-chr9-33186543-16
NR3260--MA0769.1.Tcf7	chr15	85042792	85042803	-	0.000	0.000	Merged-chr15-85042702-72
NR2036--MA0769.1.Tcf7	chr12	107721079	107721090	+	0.000	0.000	Merged-chr12-107721179-46
NR8696--MA0769.1.Tcf7	chr9	61745157	61745168	-	0.000	0.000	Merged-chr9-61745239-9
NR3587--MA0769.1.Tcf7	chr16	58553514	58553525	+	0.000	0.000	Merged-chr16-58553585-23
NR1886--MA0523.1.TCF7L2	chr12	76385174	76385187	-	0.000	0.000	Merged-chr12-76385327-16
NR2929--MA1421.1.TCF7L1	chr14	103017271	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR4556--MA0769.1.Tcf7	chr2	6716857	6716868	-	0.000	0.000	Merged-chr2-6716828-13
NR1629--MA0523.1.TCF7L2	chr11	113206337	113206350	+	0.000	0.000	Merged-chr11-113206318-17
NR972--MA0769.1.Tcf7	chr10	68795228	68795239	+	0.000	0.000	Merged-chr10-68795469-52
NR3254--MA1421.1.TCF7L1	chr15	84372947	84372958	+	0.000	0.000	Merged-chr15-84372915-18
NR8356--MA0769.1.Tcf7	chr8	88604154	88604165	-	0.000	0.000	Merged-chr8-88604204-17
NR4789--MA0769.1.Tcf7	chr2	61494272	61494283	-	0.000	0.000	Merged-chr2-61494309-57
NR1506--MA0769.1.Tcf7	chr11	84529299	84529310	-	0.000	0.000	Merged-chr11-84529361-2
NR6403--MA1421.1.TCF7L1	chr4	129739567	129739578	-	0.000	0.000	Merged-chr4-129739649-11
NR2049--MA0523.1.TCF7L2	chr12	110256795	110256808	-	0.000	0.000	Merged-chr12-110256861-12
NR6696--MA0523.1.TCF7L2	chr5	67930821	67930834	-	0.000	0.000	Merged-chr5-67930859-12
NR3035--MA1421.1.TCF7L1	chr15	9436046	9436057	+	0.000	0.000	Merged-chr15-9435954-24
NR3256--MA0769.1.Tcf7	chr15	84372947	84372958	+	0.000	0.000	Merged-chr15-84372915-18
NR7175--MA1421.1.TCF7L1	chr6	53706591	53706602	+	0.000	0.000	Merged-chr6-53706669-3
NR813--MA1421.1.TCF7L1	chr10	25387446	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR6536--MA1421.1.TCF7L1	chr5	9107427	9107438	+	0.000	0.000	Merged-chr5-9107352-33
NR2930--MA0523.1.TCF7L2	chr14	103017269	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR5776--MA0769.1.Tcf7	chr3	117044690	117044701	+	0.000	0.000	Merged-chr3-117044595-20
NR3377--MA0769.1.Tcf7	chr16	10669094	10669105	-	0.000	0.000	Merged-chr16-10669015-79
NR344--MA1421.1.TCF7L1	chr1	119795337	119795348	-	0.000	0.000	Merged-chr1-119795246-28
NR176--MA1421.1.TCF7L1	chr1	72870326	72870337	+	0.000	0.000	Merged-chr1-72870469-25
NR3312--MA0523.1.TCF7L2	chr15	97842347	97842360	-	0.000	0.000	Merged-chr15-97842393-22
NR3144--MA0523.1.TCF7L2	chr15	52887037	52887050	-	0.000	0.000	Merged-chr15-52887057-9
NR2954--MA1421.1.TCF7L1	chr14	108374020	108374031	+	0.000	0.000	Merged-chr14-108373968-8
NR5333--MA1421.1.TCF7L1	chr2	170291959	170291970	-	0.000	0.000	Merged-chr2-170292078-34
NR5897--MA0769.1.Tcf7	chr3	138649917	138649928	+	0.000	0.000	Merged-chr3-138649925-12
NR8034--MA0769.1.Tcf7	chr7	128669094	128669105	-	0.000	0.000	Merged-chr7-128669075-5
NR778--MA1421.1.TCF7L1	chr10	19406887	19406898	-	0.000	0.000	Merged-chr10-19406936-14
NR2992--MA1421.1.TCF7L1	chr14	121353973	121353984	-	0.000	0.000	Merged-chr14-121354142-24
NR968--MA0769.1.Tcf7	chr10	67697939	67697950	+	0.000	0.000	Merged-chr10-67697981-39
NR5436--MA0769.1.Tcf7	chr3	28318055	28318066	-	0.000	0.000	Merged-chr3-28318064-9
NR6780--MA1421.1.TCF7L1	chr5	96254011	96254022	-	0.000	0.000	Merged-chr5-96254113-8
NR3022--MA1421.1.TCF7L1	chr15	5108582	5108593	-	0.000	0.000	Merged-chr15-5108448-64
NR4659--MA1421.1.TCF7L1	chr2	35445515	35445526	-	0.000	0.000	Merged-chr2-35445506-29
NR8258--MA0769.1.Tcf7	chr8	61436794	61436805	+	0.000	0.000	Merged-chr8-61436904-17
NR5454--MA0769.1.Tcf7	chr3	37687420	37687431	+	0.000	0.000	Merged-chr3-37687372-57
NR3046--MA0769.1.Tcf7	chr15	10447302	10447313	+	0.000	0.000	Merged-chr15-10447359-14
NR3722--MA0769.1.Tcf7	chr16	97402541	97402552	-	0.000	0.000	Merged-chr16-97402543-6
NR1107--MA1421.1.TCF7L1	chr10	96201432	96201443	+	0.000	0.000	Merged-chr10-96201472-66
NR2856--MA0769.1.Tcf7	chr14	72807293	72807304	-	0.000	0.000	Merged-chr14-72807438-29
NR7917--MA0523.1.TCF7L2	chr7	110004556	110004569	+	0.000	0.000	Merged-chr7-110004628-7
NR6039--MA0523.1.TCF7L2	chr4	6675221	6675234	-	0.000	0.000	Merged-chr4-6675237-24
NR6304--MA1421.1.TCF7L1	chr4	101998524	101998535	-	0.000	0.000	Merged-chr4-101998677-38
NR4136--MA0769.1.Tcf7	chr18	53411604	53411615	+	0.000	0.000	Merged-chr18-53411654-14
NR3308--MA0523.1.TCF7L2	chr15	97400989	97401002	+	0.000	0.000	Merged-chr15-97401100-7
NR1690--MA0769.1.Tcf7	chr12	8817879	8817890	+	0.000	0.000	Merged-chr12-8817903-12
NR3771--MA0523.1.TCF7L2	chr17	21661761	21661774	+	0.000	0.000	Merged-chr17-21661730-8
NR6510--MA1421.1.TCF7L1	chr4	150517644	150517655	-	0.000	0.000	Merged-chr4-150517532-35
NR6174--MA1421.1.TCF7L1	chr4	56944537	56944548	-	0.000	0.000	Merged-chr4-56944579-16
NR7979--MA1421.1.TCF7L1	chr7	119808847	119808858	+	0.000	0.000	Merged-chr7-119808886-15
NR3514--MA0523.1.TCF7L2	chr16	45361320	45361333	-	0.000	0.000	Merged-chr16-45361455-26
NR2760--MA1421.1.TCF7L1	chr14	53806367	53806378	+	0.000	0.000	Merged-chr14-53806193-41
NR1688--MA0523.1.TCF7L2	chr12	8817879	8817892	+	0.000	0.000	Merged-chr12-8817903-12
NR3720--MA0523.1.TCF7L2	chr16	97319555	97319568	+	0.000	0.000	Merged-chr16-97319688-5
NR1484--MA1421.1.TCF7L1	chr11	76677202	76677213	-	0.000	0.000	Merged-chr11-76677169-5
NR7088--MA0769.1.Tcf7	chr6	24515044	24515055	-	0.000	0.000	Merged-chr6-24515075-25
NR5219--MA0523.1.TCF7L2	chr2	150134373	150134386	-	0.000	0.000	Merged-chr2-150134419-14
NR5850--MA0523.1.TCF7L2	chr3	132791406	132791419	-	0.000	0.000	Merged-chr3-132791387-40
NR929--MA1421.1.TCF7L1	chr10	60000165	60000176	-	0.000	0.000	Merged-chr10-60000232-10
NR1789--MA0769.1.Tcf7	chr12	41167989	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR7774--MA0523.1.TCF7L2	chr7	67353151	67353164	+	0.000	0.000	Merged-chr7-67353153-2
NR6334--MA0769.1.Tcf7	chr4	107260085	107260096	+	0.000	0.000	Merged-chr4-107260166-15
NR4499--MA0769.1.Tcf7	chr19	55915611	55915622	-	0.000	0.000	Merged-chr19-55915456-76
NR794--MA0769.1.Tcf7	chr10	21911703	21911714	-	0.000	0.000	Merged-chr10-21911694-25
NR427--MA0769.1.Tcf7	chr1	138912380	138912391	-	0.000	0.000	Merged-chr1-138912378-18
NR2650--MA0523.1.TCF7L2	chr14	21078676	21078689	-	0.000	0.000	Merged-chr14-21078723-20
NR6595--MA1421.1.TCF7L1	chr5	36006289	36006300	+	0.000	0.000	Merged-chr5-36006302-34
NR6558--MA0769.1.Tcf7	chr5	20087383	20087394	-	0.000	0.000	Merged-chr5-20087381-40
NR5280--MA0769.1.Tcf7	chr2	160746846	160746857	-	0.000	0.000	Merged-chr2-160746776-15
NR5128--MA0769.1.Tcf7	chr2	135823832	135823843	-	0.000	0.000	Merged-chr2-135823878-14
NR3114--MA0523.1.TCF7L2	chr15	39913587	39913600	-	0.000	0.000	Merged-chr15-39913439-55
NR7183--MA1421.1.TCF7L1	chr6	54229146	54229157	+	0.000	0.000	Merged-chr6-54229087-24
NR255--MA0523.1.TCF7L2	chr1	91626305	91626318	-	0.000	0.000	Merged-chr1-91626193-21
NR5596--MA0523.1.TCF7L2	chr3	84569605	84569618	+	0.000	0.000	Merged-chr3-84569742-8
NR3508--MA0769.1.Tcf7	chr16	44735811	44735822	+	0.000	0.000	Merged-chr16-44735956-40
NR2865--MA0523.1.TCF7L2	chr14	73472603	73472616	+	0.000	0.000	Merged-chr14-73472602-8
NR5737--MA1421.1.TCF7L1	chr3	109421018	109421029	+	0.000	0.000	Merged-chr3-109421125-43
NR930--MA0523.1.TCF7L2	chr10	60000148	60000161	+	0.000	0.000	Merged-chr10-60000232-10
NR5146--MA0769.1.Tcf7	chr2	139925146	139925157	+	0.000	0.000	Merged-chr2-139925145-30
NR3772--MA0769.1.Tcf7	chr17	21661761	21661772	+	0.000	0.000	Merged-chr17-21661730-8
NR1193--MA0523.1.TCF7L2	chr10	111576175	111576188	+	0.000	0.000	Merged-chr10-111576182-36
NR4862--MA0769.1.Tcf7	chr2	74887206	74887217	-	0.000	0.000	Merged-chr2-74887240-10
NR4811--MA0523.1.TCF7L2	chr2	65871123	65871136	-	0.000	0.000	Merged-chr2-65871141-19
NR3329--MA0523.1.TCF7L2	chr15	100183059	100183072	+	0.000	0.000	Merged-chr15-100182935-17
NR8951--MA0523.1.TCF7L2	chr9	114604273	114604286	-	0.000	0.000	Merged-chr9-114604237-4
NR992--MA1421.1.TCF7L1	chr10	75137253	75137264	+	0.000	0.000	Merged-chr10-75137301-35
NR1429--MA1421.1.TCF7L1	chr11	62675742	62675753	-	0.000	0.000	Merged-chr11-62675914-24
NR1033--MA1421.1.TCF7L1	chr10	82728186	82728197	-	0.000	0.000	Merged-chr10-82728321-8
NR4174--MA0523.1.TCF7L2	chr18	60502489	60502502	-	0.000	0.000	Merged-chr18-60502470-34
NR1906--MA0769.1.Tcf7	chr12	77070157	77070168	-	0.000	0.000	Merged-chr12-77070291-10
NR6098--MA0523.1.TCF7L2	chr4	33595605	33595618	+	0.000	0.000	Merged-chr4-33595621-34
NR7111--MA0769.1.Tcf7	chr6	34902136	34902147	+	0.000	0.000	Merged-chr6-34902272-26
NR3535--MA0523.1.TCF7L2	chr16	48745640	48745653	-	0.000	0.000	Merged-chr16-48745701-29
NR4198--MA1421.1.TCF7L1	chr18	65318476	65318487	+	0.000	0.000	Merged-chr18-65318525-2
NR5943--MA0769.1.Tcf7	chr3	144261247	144261258	+	0.000	0.000	Merged-chr3-144261016-37
NR5724--MA1421.1.TCF7L1	chr3	108124338	108124349	+	0.000	0.000	Merged-chr3-108124378-33
NR4014--MA1421.1.TCF7L1	chr18	5820061	5820072	-	0.000	0.000	Merged-chr18-5820020-28
NR8889--MA1421.1.TCF7L1	chr9	102587427	102587438	-	0.000	0.000	Merged-chr9-102587549-11
NR347--MA0769.1.Tcf7	chr1	120162002	120162013	-	0.000	0.000	Merged-chr1-120162199-15
NR4448--MA1421.1.TCF7L1	chr19	42031246	42031257	-	0.000	0.000	Merged-chr19-42031201-8
NR1841--MA1421.1.TCF7L1	chr12	69446034	69446045	+	0.000	0.000	Merged-chr12-69446107-1
NR8814--MA0523.1.TCF7L2	chr9	85710512	85710525	+	0.000	0.000	Merged-chr9-85710514-26
NR2297--MA0523.1.TCF7L2	chr13	52628151	52628164	+	0.000	0.000	Merged-chr13-52628204-1
NR1782--MA0523.1.TCF7L2	chr12	40529888	40529901	+	0.000	0.000	Merged-chr12-40529975-10
NR5895--MA1421.1.TCF7L1	chr3	138649917	138649928	+	0.000	0.000	Merged-chr3-138649925-12
NR8442--MA1421.1.TCF7L1	chr8	117299279	117299290	-	0.000	0.000	Merged-chr8-117299202-13
NR4643--MA0769.1.Tcf7	chr2	32181554	32181565	-	0.000	0.000	Merged-chr2-32181600-13
NR7353--MA0769.1.Tcf7	chr6	95682811	95682822	-	0.000	0.000	Merged-chr6-95682989-10
NR3546--MA1421.1.TCF7L1	chr16	50555183	50555194	-	0.000	0.000	Merged-chr16-50555141-20
NR6855--MA0523.1.TCF7L2	chr5	105113928	105113941	+	0.000	0.000	Merged-chr5-105113893-19
NR129--MA1421.1.TCF7L1	chr1	60883022	60883033	-	0.000	0.000	Merged-chr1-60883000-15
NR7474--MA0769.1.Tcf7	chr6	120006467	120006478	+	0.000	0.000	Merged-chr6-120006378-7
NR2141--MA0769.1.Tcf7	chr13	3479835	3479846	+	0.000	0.000	Merged-chr13-3479941-4
NR6917--MA0769.1.Tcf7	chr5	121111613	121111624	-	0.000	0.000	Merged-chr5-121111705-24
NR4782--MA0769.1.Tcf7	chr2	60717568	60717579	-	0.000	0.000	Merged-chr2-60717548-24
NR3327--MA1421.1.TCF7L1	chr15	100145188	100145199	-	0.000	0.000	Merged-chr15-100145354-14
NR4641--MA1421.1.TCF7L1	chr2	32181554	32181565	-	0.000	0.000	Merged-chr2-32181600-13
NR710--MA0769.1.Tcf7	chr1	191872690	191872701	-	0.000	0.000	Merged-chr1-191872609-17
NR8934--MA0523.1.TCF7L2	chr9	112175259	112175272	+	0.000	0.000	Merged-chr9-112175419-1
NR5008--MA0523.1.TCF7L2	chr2	113234795	113234808	-	0.000	0.000	Merged-chr2-113234652-8
NR7959--MA0523.1.TCF7L2	chr7	116557587	116557600	-	0.000	0.000	Merged-chr7-116557657-1
NR3576--MA0769.1.Tcf7	chr16	57319958	57319969	+	0.000	0.000	Merged-chr16-57319907-20
NR3571--MA1421.1.TCF7L1	chr16	57177489	57177500	+	0.000	0.000	Merged-chr16-57177558-14
NR4666--MA0769.1.Tcf7	chr2	38068469	38068480	+	0.000	0.000	Merged-chr2-38068550-14
NR5648--MA0523.1.TCF7L2	chr3	97274117	97274130	+	0.000	0.000	Merged-chr3-97274158-19
NR5420--MA0523.1.TCF7L2	chr3	21809910	21809923	+	0.000	0.000	Merged-chr3-21809864-17
NR3255--MA0523.1.TCF7L2	chr15	84372947	84372960	+	0.000	0.000	Merged-chr15-84372915-18
NR3021--MA0769.1.Tcf7	chr15	3271011	3271022	+	0.000	0.000	Merged-chr15-3270817-58
NR7043--MA0523.1.TCF7L2	chr6	5147853	5147866	+	0.000	0.000	Merged-chr6-5147663-1
NR4312--MA0523.1.TCF7L2	chr18	84911833	84911846	+	0.000	0.000	Merged-chr18-84911932-15
NR705--MA1421.1.TCF7L1	chr1	191486653	191486664	-	0.000	0.000	Merged-chr1-191486758-12
NR6501--MA1421.1.TCF7L1	chr4	149854387	149854398	-	0.000	0.000	Merged-chr4-149854542-67
NR537--MA1421.1.TCF7L1	chr1	161480192	161480203	-	0.000	0.000	Merged-chr1-161480099-19
NR6333--MA1421.1.TCF7L1	chr4	107260085	107260096	+	0.000	0.000	Merged-chr4-107260166-15
NR2276--MA0769.1.Tcf7	chr13	51712205	51712216	-	0.000	0.000	Merged-chr13-51712212-27
NR8257--MA1421.1.TCF7L1	chr8	61436794	61436805	+	0.000	0.000	Merged-chr8-61436904-17
NR814--MA0523.1.TCF7L2	chr10	25387444	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR8859--MA1421.1.TCF7L1	chr9	96696538	96696549	-	0.000	0.000	Merged-chr9-96696442-50
NR5225--MA1421.1.TCF7L1	chr2	150578761	150578772	-	0.000	0.000	Merged-chr2-150578789-44
NR743--MA1421.1.TCF7L1	chr10	7995744	7995755	-	0.000	0.000	Merged-chr10-7995784-10
NR8631--MA1421.1.TCF7L1	chr9	44548856	44548867	-	0.000	0.000	Merged-chr9-44549007-18
NR733--MA0769.1.Tcf7	chr10	6954709	6954720	-	0.000	0.000	Merged-chr10-6954726-16
NR3151--MA0769.1.Tcf7	chr15	55327407	55327418	-	0.000	0.000	Merged-chr15-55327422-12
NR8109--MA0523.1.TCF7L2	chr7	142967347	142967360	+	0.000	0.000	Merged-chr7-142967366-1
NR7927--MA0769.1.Tcf7	chr7	112213250	112213261	-	0.000	0.000	Merged-chr7-112213302-61
NR5425--MA0769.1.Tcf7	chr3	21995859	21995870	+	0.000	0.000	Merged-chr3-21996009-51
NR5865--MA1421.1.TCF7L1	chr3	135324655	135324666	+	0.000	0.000	Merged-chr3-135324604-5
NR2063--MA1421.1.TCF7L1	chr12	112862012	112862023	+	0.000	0.000	Merged-chr12-112862043-16
NR7945--MA0769.1.Tcf7	chr7	115218910	115218921	+	0.000	0.000	Merged-chr7-115218920-27
NR5331--MA0769.1.Tcf7	chr2	170147682	170147693	+	0.000	0.000	Merged-chr2-170147732-33
NR7112--MA0523.1.TCF7L2	chr6	34939573	34939586	-	0.000	0.000	Merged-chr6-34939585-12
NR4474--MA0769.1.Tcf7	chr19	47915525	47915536	+	0.000	0.000	Merged-chr19-47915460-18
NR8521--MA0523.1.TCF7L2	chr9	11559576	11559589	-	0.000	0.000	Merged-chr9-11559688-28
NR4371--MA0769.1.Tcf7	chr19	16274720	16274731	-	0.000	0.000	Merged-chr19-16274697-6
NR4013--MA0769.1.Tcf7	chr18	5816632	5816643	+	0.000	0.000	Merged-chr18-5816511-9
NR4611--MA1421.1.TCF7L1	chr2	22722071	22722082	-	0.000	0.000	Merged-chr2-22721936-56
NR6042--MA0523.1.TCF7L2	chr4	7362362	7362375	+	0.000	0.000	Merged-chr4-7362333-5
NR993--MA0769.1.Tcf7	chr10	75137253	75137264	+	0.000	0.000	Merged-chr10-75137301-35
NR1536--MA0769.1.Tcf7	chr11	94253406	94253417	+	0.000	0.000	Merged-chr11-94253305-42
NR8904--MA0523.1.TCF7L2	chr9	105689612	105689625	+	0.000	0.000	Merged-chr9-105689631-24
NR7623--MA0769.1.Tcf7	chr6	146481568	146481579	+	0.000	0.000	Merged-chr6-146481511-38
NR3167--MA1421.1.TCF7L1	chr15	59913999	59914010	+	0.000	0.000	Merged-chr15-59913956-28
NR8498--MA0769.1.Tcf7	chr8	128165809	128165820	+	0.000	0.000	Merged-chr8-128165876-22
NR8172--MA0523.1.TCF7L2	chr8	25769246	25769259	+	0.000	0.000	Merged-chr8-25769209-9
NR6668--MA1421.1.TCF7L1	chr5	64029907	64029918	+	0.000	0.000	Merged-chr5-64029830-27
NR1845--MA1421.1.TCF7L1	chr12	69825405	69825416	-	0.000	0.000	Merged-chr12-69825253-21
NR1677--MA1421.1.TCF7L1	chr12	3990035	3990046	+	0.000	0.000	Merged-chr12-3989980-1
NR6316--MA1421.1.TCF7L1	chr4	102967967	102967978	+	0.000	0.000	Merged-chr4-102968093-31
NR3373--MA1421.1.TCF7L1	chr16	10399306	10399317	-	0.000	0.000	Merged-chr16-10399279-20
NR8713--MA0769.1.Tcf7	chr9	66899731	66899742	-	0.000	0.000	Merged-chr9-66899689-35
NR8919--MA0769.1.Tcf7	chr9	108617523	108617534	+	0.000	0.000	Merged-chr9-108617434-16
NR5297--MA1421.1.TCF7L1	chr2	164534498	164534509	-	0.000	0.000	Merged-chr2-164534526-17
NR6918--MA1421.1.TCF7L1	chr5	121173009	121173020	+	0.000	0.000	Merged-chr5-121173124-16
NR8798--MA1421.1.TCF7L1	chr9	83564263	83564274	-	0.000	0.000	Merged-chr9-83564254-44
NR726--MA1421.1.TCF7L1	chr10	4512824	4512835	+	0.000	0.000	Merged-chr10-4512791-21
NR5900--MA0769.1.Tcf7	chr3	138842536	138842547	+	0.000	0.000	Merged-chr3-138842482-12
NR3613--MA0769.1.Tcf7	chr16	76765862	76765873	+	0.000	0.000	Merged-chr16-76765749-14
NR8761--MA0523.1.TCF7L2	chr9	77683541	77683554	+	0.000	0.000	Merged-chr9-77683679-29
NR1773--MA0523.1.TCF7L2	chr12	36039917	36039930	+	0.000	0.000	Merged-chr12-36039807-28
NR4600--MA0769.1.Tcf7	chr2	19050361	19050372	+	0.000	0.000	Merged-chr2-19050158-33
NR5475--MA0769.1.Tcf7	chr3	52397970	52397981	+	0.000	0.000	Merged-chr3-52398143-17
NR8861--MA0769.1.Tcf7	chr9	96696538	96696549	-	0.000	0.000	Merged-chr9-96696442-50
NR2252--MA1421.1.TCF7L1	chr13	44210324	44210335	+	0.000	0.000	Merged-chr13-44210381-13
NR2662--MA0523.1.TCF7L2	chr14	27261089	27261102	+	0.000	0.000	Merged-chr14-27261045-15
NR2671--MA0769.1.Tcf7	chr14	30024459	30024470	-	0.000	0.000	Merged-chr14-30024538-20
NR8374--MA0523.1.TCF7L2	chr8	95247524	95247537	+	0.000	0.000	Merged-chr8-95247520-25
NR4101--MA0523.1.TCF7L2	chr18	38701046	38701059	+	0.000	0.000	Merged-chr18-38700911-27
NR5493--MA0769.1.Tcf7	chr3	55660081	55660092	+	0.000	0.000	Merged-chr3-55660012-44
NR5738--MA0523.1.TCF7L2	chr3	109421018	109421031	+	0.000	0.000	Merged-chr3-109421125-43
NR8512--MA0769.1.Tcf7	chr9	7576736	7576747	+	0.000	0.000	Merged-chr9-7576753-19
NR860--MA0523.1.TCF7L2	chr10	40098798	40098811	-	0.000	0.000	Merged-chr10-40098735-11
NR7098--MA0523.1.TCF7L2	chr6	30677300	30677313	+	0.000	0.000	Merged-chr6-30677356-3
NR77--MA0769.1.Tcf7	chr1	40847738	40847749	-	0.000	0.000	Merged-chr1-40847809-27
NR1226--MA1421.1.TCF7L1	chr10	117377570	117377581	-	0.000	0.000	Merged-chr10-117377577-5
NR6627--MA0523.1.TCF7L2	chr5	44180970	44180983	-	0.000	0.000	Merged-chr5-44180865-15
NR928--MA1421.1.TCF7L1	chr10	60000148	60000159	+	0.000	0.000	Merged-chr10-60000232-10
NR3515--MA0769.1.Tcf7	chr16	45361322	45361333	-	0.000	0.000	Merged-chr16-45361455-26
NR4066--MA0523.1.TCF7L2	chr18	32149476	32149489	-	0.000	0.000	Merged-chr18-32149405-13
NR7409--MA0769.1.Tcf7	chr6	103565084	103565095	+	0.000	0.000	Merged-chr6-103565102-16
NR5820--MA0769.1.Tcf7	chr3	126834995	126835006	+	0.000	0.000	Merged-chr3-126834809-55
NR3259--MA0523.1.TCF7L2	chr15	85042790	85042803	-	0.000	0.000	Merged-chr15-85042702-72
NR7047--MA0523.1.TCF7L2	chr6	6189131	6189144	-	0.000	0.000	Merged-chr6-6189088-9
NR2826--MA0523.1.TCF7L2	chr14	66268992	66269005	+	0.000	0.000	Merged-chr14-66269142-9
NR1116--MA0523.1.TCF7L2	chr10	96955127	96955140	+	0.000	0.000	Merged-chr10-96955164-15
NR3093--MA1421.1.TCF7L1	chr15	35917965	35917976	+	0.000	0.000	Merged-chr15-35918069-6
NR2357--MA0523.1.TCF7L2	chr13	73484649	73484662	-	0.000	0.000	Merged-chr13-73484644-8
NR94--MA1421.1.TCF7L1	chr1	43475216	43475227	-	0.000	0.000	Merged-chr1-43475284-1
NR7291--MA0523.1.TCF7L2	chr6	83437444	83437457	+	0.000	0.000	Merged-chr6-83437448-19
NR278--MA1421.1.TCF7L1	chr1	95375654	95375665	-	0.000	0.000	Merged-chr1-95375799-8
NR2327--MA0769.1.Tcf7	chr13	61710976	61710987	-	0.000	0.000	Merged-chr13-61710985-22
NR4135--MA0523.1.TCF7L2	chr18	53411604	53411617	+	0.000	0.000	Merged-chr18-53411654-14
NR3620--MA0523.1.TCF7L2	chr16	78595987	78596000	-	0.000	0.000	Merged-chr16-78595924-17
NR9164--MA0523.1.TCF7L2	chrX	153375284	153375297	-	0.000	0.000	Merged-chrX-153375365-26
NR6391--MA0769.1.Tcf7	chr4	124769255	124769266	+	0.000	0.000	Merged-chr4-124769177-27
NR3080--MA1421.1.TCF7L1	chr15	30661982	30661993	+	0.000	0.000	Merged-chr15-30662184-17
NR2176--MA0523.1.TCF7L2	chr13	13582033	13582046	-	0.000	0.000	Merged-chr13-13582107-29
NR7575--MA0769.1.Tcf7	chr6	142567726	142567737	-	0.000	0.000	Merged-chr6-142567710-6
NR2441--MA1421.1.TCF7L1	chr13	93175668	93175679	+	0.000	0.000	Merged-chr13-93175751-12
NR2273--MA1421.1.TCF7L1	chr13	51690452	51690463	+	0.000	0.000	Merged-chr13-51690450-25
NR3220--MA0769.1.Tcf7	chr15	75634464	75634475	-	0.000	0.000	Merged-chr15-75634516-4
NR8959--MA0523.1.TCF7L2	chr9	116018865	116018878	-	0.000	0.000	Merged-chr9-116018785-16
NR2550--MA0523.1.TCF7L2	chr13	114086610	114086623	-	0.000	0.000	Merged-chr13-114086496-8
NR8731--MA0523.1.TCF7L2	chr9	70584886	70584899	-	0.000	0.000	Merged-chr9-70584670-22
NR6051--MA0769.1.Tcf7	chr4	8499645	8499656	+	0.000	0.000	Merged-chr4-8499502-2
NR5759--MA0523.1.TCF7L2	chr3	115704658	115704671	-	0.000	0.000	Merged-chr3-115704719-34
NR1600--MA0769.1.Tcf7	chr11	108901320	108901331	-	0.000	0.000	Merged-chr11-108901238-21
NR7948--MA1421.1.TCF7L1	chr7	115426757	115426768	+	0.000	0.000	Merged-chr7-115426820-20
NR4637--MA0769.1.Tcf7	chr2	31042980	31042991	-	0.000	0.000	Merged-chr2-31043017-22
NR624--MA0523.1.TCF7L2	chr1	179240800	179240813	+	0.000	0.000	Merged-chr1-179240877-38
NR8683--MA0769.1.Tcf7	chr9	58100153	58100164	+	0.000	0.000	Merged-chr9-58100249-13
NR3111--MA1421.1.TCF7L1	chr15	38636232	38636243	-	0.000	0.000	Merged-chr15-38636290-13
