#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_up.bed
NR62643--MA1107.1.KLF9	chr9	50512122	50512134	-	0.000	0.000	Merged-chr9-50512107-7
NR23277--MA0599.1.KLF5	chr15	101145623	101145632	+	0.000	0.000	Merged-chr15-101145704-46
NR8921--MA0599.1.KLF5	chr11	32211340	32211349	+	0.000	0.000	Merged-chr11-32211226-20
NR66350--MA0599.1.KLF5	chrX	99042586	99042595	-	0.000	0.000	Merged-chrX-99042663-22
NR47795--MA0493.1.Klf1	chr5	111196086	111196096	+	0.000	0.000	Merged-chr5-111196079-28
NR32508--MA0493.1.Klf1	chr2	3526082	3526092	-	0.000	0.000	Merged-chr2-3525948-8
NR2769--MA0742.1.Klf12	chr1	157020051	157020065	+	0.000	0.000	Merged-chr1-157020072-9
NR66895--MA1107.1.KLF9	chrX	162643607	162643619	+	0.000	0.000	Merged-chrX-162643590-34
NR8097--MA0740.1.KLF14	chr10	127621762	127621775	+	0.000	0.000	Merged-chr10-127621595-57
NR61743--MA0657.1.KLF13	chr9	11579247	11579264	-	0.000	0.000	Merged-chr9-11579132-23
NR47212--MA0039.3.KLF4	chr5	92128736	92128746	+	0.000	0.000	Merged-chr5-92128744-12
NR66537--MA1107.1.KLF9	chrX	113298190	113298202	-	0.000	0.000	Merged-chrX-113298172-75
NR36465--MA0599.1.KLF5	chr2	157122083	157122092	-	0.000	0.000	Merged-chr2-157121969-26
NR58610--MA0741.1.KLF16	chr8	13494536	13494546	-	0.000	0.000	Merged-chr8-13494435-15
NR48326--MA0599.1.KLF5	chr5	118459245	118459254	-	0.000	0.000	Merged-chr5-118459323-25
NR13342--MA0740.1.KLF14	chr12	55357491	55357504	-	0.000	0.000	Merged-chr12-55357452-12
NR18593--MA0599.1.KLF5	chr14	27114835	27114844	+	0.000	0.000	Merged-chr14-27114945-21
NR44624--MA0493.1.Klf1	chr4	140833017	140833027	-	0.000	0.000	Merged-chr4-140833040-18
NR1855--MA1107.1.KLF9	chr1	127796459	127796471	-	0.000	0.000	Merged-chr1-127796546-56
NR34160--MA0742.1.Klf12	chr2	72170842	72170856	-	0.000	0.000	Merged-chr2-72170854-84
NR38084--MA1107.1.KLF9	chr3	37157148	37157160	+	0.000	0.000	Merged-chr3-37157248-37
NR2852--MA0599.1.KLF5	chr1	161376158	161376167	-	0.000	0.000	Merged-chr1-161376280-24
NR64035--MA1107.1.KLF9	chr9	92275230	92275242	-	0.000	0.000	Merged-chr9-92275152-2
NR20842--MA0741.1.KLF16	chr15	25269717	25269727	-	0.000	0.000	Merged-chr15-25269773-79
NR8748--MA0740.1.KLF14	chr11	21102751	21102764	+	0.000	0.000	Merged-chr11-21102815-54
NR59541--MA0740.1.KLF14	chr8	69822509	69822522	-	0.000	0.000	Merged-chr8-69822616-46
NR52680--MA0741.1.KLF16	chr6	121110158	121110168	-	0.000	0.000	Merged-chr6-121110104-77
NR52036--MA0493.1.Klf1	chr6	97447099	97447109	+	0.000	0.000	Merged-chr6-97447180-22
NR21077--MA0741.1.KLF16	chr15	36759438	36759448	-	0.000	0.000	Merged-chr15-36759289-17
NR16132--MA0741.1.KLF16	chr13	51388098	51388108	-	0.000	0.000	Merged-chr13-51388076-1
NR14181--MA0741.1.KLF16	chr12	98628100	98628110	-	0.000	0.000	Merged-chr12-98628210-48
NR57927--MA0740.1.KLF14	chr7	136894457	136894470	+	0.000	0.000	Merged-chr7-136894538-85
NR33862--MA0493.1.Klf1	chr2	58481446	58481456	-	0.000	0.000	Merged-chr2-58481590-14
NR37323--MA0741.1.KLF16	chr2	172392453	172392463	-	0.000	0.000	Merged-chr2-172392373-19
NR14723--MA0741.1.KLF16	chr12	109446511	109446521	-	0.000	0.000	Merged-chr12-109446341-43
NR34826--MA1107.1.KLF9	chr2	104172840	104172852	-	0.000	0.000	Merged-chr2-104172938-49
NR41740--MA0599.1.KLF5	chr4	35130608	35130617	+	0.000	0.000	Merged-chr4-35130648-17
NR32132--MA0742.1.Klf12	chr19	54115002	54115016	-	0.000	0.000	Merged-chr19-54115142-50
NR29906--MA0599.1.KLF5	chr18	65924896	65924905	-	0.000	0.000	Merged-chr18-65924997-33
NR18686--MA1107.1.KLF9	chr14	31398273	31398285	-	0.000	0.000	Merged-chr14-31398460-1
NR7387--MA1107.1.KLF9	chr10	116664590	116664602	-	0.000	0.000	Merged-chr10-116664420-26
NR43673--MA0493.1.Klf1	chr4	128957233	128957243	-	0.000	0.000	Merged-chr4-128957353-26
NR52061--MA0741.1.KLF16	chr6	98609334	98609344	+	0.000	0.000	Merged-chr6-98609321-36
NR36464--MA1107.1.KLF9	chr2	157119299	157119311	-	0.000	0.000	Merged-chr2-157119108-55
NR7512--MA0741.1.KLF16	chr10	117660144	117660154	-	0.000	0.000	Merged-chr10-117659981-30
NR55357--MA0740.1.KLF14	chr7	44311304	44311317	-	0.000	0.000	Merged-chr7-44311321-7
NR3676--MA0741.1.KLF16	chr1	180548105	180548115	-	0.000	0.000	Merged-chr1-180548194-33
NR11836--MA1107.1.KLF9	chr11	109124571	109124583	+	0.000	0.000	Merged-chr11-109124612-1
NR20599--MA0740.1.KLF14	chr14	123001572	123001585	+	0.000	0.000	Merged-chr14-123001594-21
NR10539--MA0741.1.KLF16	chr11	85407804	85407814	+	0.000	0.000	Merged-chr11-85407928-27
NR46060--MA1107.1.KLF9	chr5	30240772	30240784	-	0.000	0.000	Merged-chr5-30240775-35
NR34055--MA0741.1.KLF16	chr2	68289275	68289285	-	0.000	0.000	Merged-chr2-68289327-28
NR7493--MA0741.1.KLF16	chr10	117651086	117651096	-	0.000	0.000	Merged-chr10-117651194-26
NR51948--MA0039.3.KLF4	chr6	91156642	91156652	+	0.000	0.000	Merged-chr6-91156791-33
NR34051--MA0039.3.KLF4	chr2	66634950	66634960	-	0.000	0.000	Merged-chr2-66634909-17
NR48350--MA0741.1.KLF16	chr5	118661942	118661952	+	0.000	0.000	Merged-chr5-118661904-17
NR19517--MA0493.1.Klf1	chr14	68078500	68078510	+	0.000	0.000	Merged-chr14-68078565-20
NR40780--MA0599.1.KLF5	chr3	144412725	144412734	-	0.000	0.000	Merged-chr3-144412864-41
NR60012--MA0493.1.Klf1	chr8	83390148	83390158	-	0.000	0.000	Merged-chr8-83389958-14
NR20603--MA0741.1.KLF16	chr14	123001582	123001592	+	0.000	0.000	Merged-chr14-123001594-21
NR43347--MA0599.1.KLF5	chr4	120288021	120288030	+	0.000	0.000	Merged-chr4-120287807-68
NR2395--MA0493.1.Klf1	chr1	147237213	147237223	+	0.000	0.000	Merged-chr1-147237183-6
NR14658--MA1107.1.KLF9	chr12	108334121	108334133	-	0.000	0.000	Merged-chr12-108333959-92
NR33861--MA0039.3.KLF4	chr2	58481444	58481454	-	0.000	0.000	Merged-chr2-58481590-14
NR20217--MA1107.1.KLF9	chr14	105897605	105897617	+	0.000	0.000	Merged-chr14-105897458-44
NR29587--MA1107.1.KLF9	chr18	54940235	54940247	+	0.000	0.000	Merged-chr18-54940174-2
NR34388--MA0493.1.Klf1	chr2	79052364	79052374	-	0.000	0.000	Merged-chr2-79052352-13
NR8124--MA0493.1.Klf1	chr10	128039373	128039383	+	0.000	0.000	Merged-chr10-128039274-35
NR36115--MA0741.1.KLF16	chr2	150910401	150910411	+	0.000	0.000	Merged-chr2-150910563-2
NR48362--MA0599.1.KLF5	chr5	119359919	119359928	-	0.000	0.000	Merged-chr5-119360019-16
NR4690--MA0039.3.KLF4	chr10	19009539	19009549	-	0.000	0.000	Merged-chr10-19009477-32
NR62639--MA1107.1.KLF9	chr9	50512114	50512126	-	0.000	0.000	Merged-chr9-50512107-7
NR7841--MA0740.1.KLF14	chr10	121796244	121796257	+	0.000	0.000	Merged-chr10-121796258-28
NR57567--MA0742.1.Klf12	chr7	128070050	128070064	+	0.000	0.000	Merged-chr7-128070068-7
NR4342--MA0493.1.Klf1	chr1	193189567	193189577	+	0.000	0.000	Merged-chr1-193189573-66
NR48549--MA1107.1.KLF9	chr5	122899250	122899262	-	0.000	0.000	Merged-chr5-122899343-2
NR838--MA1107.1.KLF9	chr1	61016826	61016838	+	0.000	0.000	Merged-chr1-61016858-25
NR61237--MA0599.1.KLF5	chr8	122678196	122678205	+	0.000	0.000	Merged-chr8-122678075-1
NR46271--MA0740.1.KLF14	chr5	35462422	35462435	+	0.000	0.000	Merged-chr5-35462574-17
NR45177--MA0493.1.Klf1	chr4	150518992	150519002	+	0.000	0.000	Merged-chr4-150519164-27
NR46965--MA0657.1.KLF13	chr5	75978536	75978553	+	0.000	0.000	Merged-chr5-75978410-42
NR38709--MA0657.1.KLF13	chr3	85887653	85887670	-	0.000	0.000	Merged-chr3-85887790-94
NR6219--MA0657.1.KLF13	chr10	80662382	80662399	+	0.000	0.000	Merged-chr10-80662335-4
NR24918--MA0599.1.KLF5	chr16	78301700	78301709	-	0.000	0.000	Merged-chr16-78301830-77
NR32136--MA0741.1.KLF16	chr19	54115005	54115015	-	0.000	0.000	Merged-chr19-54115142-50
NR21885--MA0493.1.Klf1	chr15	78515918	78515928	+	0.000	0.000	Merged-chr15-78515914-15
NR18598--MA0599.1.KLF5	chr14	27174410	27174419	-	0.000	0.000	Merged-chr14-27174454-2
NR39613--MA1107.1.KLF9	chr3	107630764	107630776	-	0.000	0.000	Merged-chr3-107630963-1
NR44692--MA0599.1.KLF5	chr4	141296034	141296043	+	0.000	0.000	Merged-chr4-141296105-4
NR14318--MA1107.1.KLF9	chr12	102283797	102283809	-	0.000	0.000	Merged-chr12-102283791-1
NR16946--MA0493.1.Klf1	chr13	89521652	89521662	+	0.000	0.000	Merged-chr13-89521757-30
NR38202--MA0599.1.KLF5	chr3	51701527	51701536	+	0.000	0.000	Merged-chr3-51701450-64
NR34048--MA0493.1.Klf1	chr2	66634848	66634858	-	0.000	0.000	Merged-chr2-66634909-17
NR64850--MA1107.1.KLF9	chr9	114446424	114446436	-	0.000	0.000	Merged-chr9-114446417-16
NR25829--MA0741.1.KLF16	chr17	8306075	8306085	+	0.000	0.000	Merged-chr17-8305975-23
NR23832--MA0493.1.Klf1	chr16	16994868	16994878	-	0.000	0.000	Merged-chr16-16994862-34
NR30266--MA0493.1.Klf1	chr18	75210433	75210443	+	0.000	0.000	Merged-chr18-75210545-14
NR53162--MA0493.1.Klf1	chr6	134184204	134184214	+	0.000	0.000	Merged-chr6-134184108-53
NR59911--MA1107.1.KLF9	chr8	77268572	77268584	+	0.000	0.000	Merged-chr8-77268341-22
NR24704--MA0741.1.KLF16	chr16	58703613	58703623	+	0.000	0.000	Merged-chr16-58703563-32
NR7500--MA0742.1.Klf12	chr10	117651249	117651263	-	0.000	0.000	Merged-chr10-117651194-26
NR22965--MA0039.3.KLF4	chr15	98699669	98699679	-	0.000	0.000	Merged-chr15-98699636-21
NR30262--MA0740.1.KLF14	chr18	75210433	75210446	+	0.000	0.000	Merged-chr18-75210545-14
NR46620--MA1107.1.KLF9	chr5	63943574	63943586	-	0.000	0.000	Merged-chr5-63943362-36
NR39198--MA0599.1.KLF5	chr3	97055084	97055093	+	0.000	0.000	Merged-chr3-97055000-19
NR28170--MA0039.3.KLF4	chr17	74864998	74865008	-	0.000	0.000	Merged-chr17-74864979-18
NR61903--MA1107.1.KLF9	chr9	21265259	21265271	-	0.000	0.000	Merged-chr9-21265250-55
NR16405--MA0599.1.KLF5	chr13	56765539	56765548	-	0.000	0.000	Merged-chr13-56765440-32
NR28609--MA0742.1.Klf12	chr17	86353925	86353939	-	0.000	0.000	Merged-chr17-86353995-34
NR22528--MA0599.1.KLF5	chr15	89498886	89498895	+	0.000	0.000	Merged-chr15-89498857-24
NR12036--MA0493.1.Klf1	chr11	114068455	114068465	+	0.000	0.000	Merged-chr11-114068502-5
NR11509--MA0742.1.Klf12	chr11	102467269	102467283	-	0.000	0.000	Merged-chr11-102467251-44
NR62425--MA0493.1.Klf1	chr9	42423875	42423885	+	0.000	0.000	Merged-chr9-42423784-11
NR7472--MA0741.1.KLF16	chr10	117532273	117532283	+	0.000	0.000	Merged-chr10-117532128-28
NR30279--MA1107.1.KLF9	chr18	75322572	75322584	-	0.000	0.000	Merged-chr18-75322404-42
NR13748--MA0740.1.KLF14	chr12	79130727	79130740	-	0.000	0.000	Merged-chr12-79130814-35
NR16945--MA0039.3.KLF4	chr13	89521654	89521664	+	0.000	0.000	Merged-chr13-89521757-30
NR34056--MA0039.3.KLF4	chr2	68289368	68289378	-	0.000	0.000	Merged-chr2-68289327-28
NR63085--MA0493.1.Klf1	chr9	62368721	62368731	-	0.000	0.000	Merged-chr9-62368780-17
NR37411--MA0741.1.KLF16	chr2	173578284	173578294	+	0.000	0.000	Merged-chr2-173578364-53
NR5576--MA0599.1.KLF5	chr10	67194229	67194238	+	0.000	0.000	Merged-chr10-67194243-31
NR50678--MA0741.1.KLF16	chr6	30617392	30617402	+	0.000	0.000	Merged-chr6-30617295-15
NR42620--MA0599.1.KLF5	chr4	88079172	88079181	-	0.000	0.000	Merged-chr4-88079193-33
NR37658--MA0493.1.Klf1	chr2	181081018	181081028	-	0.000	0.000	Merged-chr2-181081085-14
NR25253--MA0741.1.KLF16	chr16	93574646	93574656	-	0.000	0.000	Merged-chr16-93574695-56
NR48590--MA0742.1.Klf12	chr5	123470990	123471004	+	0.000	0.000	Merged-chr5-123471228-26
NR44288--MA0741.1.KLF16	chr4	136140417	136140427	+	0.000	0.000	Merged-chr4-136140503-4
NR53161--MA0039.3.KLF4	chr6	134184206	134184216	+	0.000	0.000	Merged-chr6-134184108-53
NR2782--MA0741.1.KLF16	chr1	157458568	157458578	+	0.000	0.000	Merged-chr1-157458519-40
NR62895--MA0493.1.Klf1	chr9	58140060	58140070	+	0.000	0.000	Merged-chr9-58140138-21
NR23618--MA0599.1.KLF5	chr16	5030007	5030016	+	0.000	0.000	Merged-chr16-5030081-11
NR4485--MA1107.1.KLF9	chr10	5795637	5795649	+	0.000	0.000	Merged-chr10-5795457-7
NR55686--MA1107.1.KLF9	chr7	55890160	55890172	+	0.000	0.000	Merged-chr7-55890160-26
NR60281--MA0493.1.Klf1	chr8	91507632	91507642	-	0.000	0.000	Merged-chr8-91507766-35
NR54364--MA0493.1.Klf1	chr7	16001851	16001861	-	0.000	0.000	Merged-chr7-16001989-41
NR5688--MA0599.1.KLF5	chr10	70133336	70133345	-	0.000	0.000	Merged-chr10-70133310-29
NR780--MA1107.1.KLF9	chr1	59163173	59163185	+	0.000	0.000	Merged-chr1-59163188-37
NR13343--MA0657.1.KLF13	chr12	55357488	55357505	-	0.000	0.000	Merged-chr12-55357452-12
NR26602--MA0741.1.KLF16	chr17	29155908	29155918	-	0.000	0.000	Merged-chr17-29155963-15
NR60994--MA0741.1.KLF16	chr8	119569912	119569922	-	0.000	0.000	Merged-chr8-119570093-35
NR52838--MA0493.1.Klf1	chr6	125678725	125678735	-	0.000	0.000	Merged-chr6-125678786-19
NR41955--MA0493.1.Klf1	chr4	42866050	42866060	+	0.000	0.000	Merged-chr4-42865977-16
NR1422--MA0493.1.Klf1	chr1	91831309	91831319	+	0.000	0.000	Merged-chr1-91831329-12
NR55129--MA0741.1.KLF16	chr7	30717490	30717500	+	0.000	0.000	Merged-chr7-30717543-30
NR10787--MA1107.1.KLF9	chr11	90259992	90260004	-	0.000	0.000	Merged-chr11-90260049-1
NR42032--MA0039.3.KLF4	chr4	44170198	44170208	+	0.000	0.000	Merged-chr4-44170097-14
NR46619--MA0741.1.KLF16	chr5	63943575	63943585	-	0.000	0.000	Merged-chr5-63943362-36
NR10950--MA0742.1.Klf12	chr11	95232186	95232200	-	0.000	0.000	Merged-chr11-95232173-16
NR7504--MA0741.1.KLF16	chr10	117651252	117651262	-	0.000	0.000	Merged-chr10-117651194-26
NR57928--MA0657.1.KLF13	chr7	136894456	136894473	+	0.000	0.000	Merged-chr7-136894538-85
NR23049--MA0493.1.Klf1	chr15	99276217	99276227	-	0.000	0.000	Merged-chr15-99276334-34
NR58963--MA0741.1.KLF16	chr8	34397999	34398009	+	0.000	0.000	Merged-chr8-34397971-66
NR40437--MA0741.1.KLF16	chr3	133758586	133758596	+	0.000	0.000	Merged-chr3-133758511-65
NR13806--MA1107.1.KLF9	chr12	80885786	80885798	-	0.000	0.000	Merged-chr12-80885869-36
NR23994--MA0599.1.KLF5	chr16	21245997	21246006	+	0.000	0.000	Merged-chr16-21246157-22
NR3668--MA0741.1.KLF16	chr1	180410509	180410519	+	0.000	0.000	Merged-chr1-180410391-12
NR20943--MA0741.1.KLF16	chr15	28024564	28024574	+	0.000	0.000	Merged-chr15-28024714-15
NR25810--MA1107.1.KLF9	chr17	8236109	8236121	+	0.000	0.000	Merged-chr17-8235955-6
NR66248--MA0599.1.KLF5	chrX	78582999	78583008	+	0.000	0.000	Merged-chrX-78582996-2
NR53918--MA0039.3.KLF4	chr6	146081187	146081197	-	0.000	0.000	Merged-chr6-146081045-99
NR64855--MA1107.1.KLF9	chr9	114468458	114468470	+	0.000	0.000	Merged-chr9-114468375-1
NR55358--MA0657.1.KLF13	chr7	44311301	44311318	-	0.000	0.000	Merged-chr7-44311321-7
NR955--MA0741.1.KLF16	chr1	72870430	72870440	-	0.000	0.000	Merged-chr1-72870469-25
NR25255--MA1107.1.KLF9	chr16	93574641	93574653	-	0.000	0.000	Merged-chr16-93574695-56
NR59907--MA1107.1.KLF9	chr8	77268564	77268576	+	0.000	0.000	Merged-chr8-77268341-22
NR32858--MA0740.1.KLF14	chr2	24762033	24762046	-	0.000	0.000	Merged-chr2-24762167-12
NR66821--MA0599.1.KLF5	chrX	157483107	157483116	-	0.000	0.000	Merged-chrX-157483060-25
NR35609--MA0599.1.KLF5	chr2	131950811	131950820	+	0.000	0.000	Merged-chr2-131950850-26
NR50349--MA1107.1.KLF9	chr5	150595501	150595513	-	0.000	0.000	Merged-chr5-150595349-1,Merged-chr5-150595556-1
NR2883--MA1107.1.KLF9	chr1	161791977	161791989	-	0.000	0.000	Merged-chr1-161792020-2
NR50134--MA1107.1.KLF9	chr5	148266887	148266899	-	0.000	0.000	Merged-chr5-148266957-7
NR14225--MA0493.1.Klf1	chr12	100277002	100277012	-	0.000	0.000	Merged-chr12-100277058-24
NR2652--MA0741.1.KLF16	chr1	155050325	155050335	-	0.000	0.000	Merged-chr1-155050378-11
NR1687--MA0599.1.KLF5	chr1	119504641	119504650	+	0.000	0.000	Merged-chr1-119504796-62
NR27995--MA0493.1.Klf1	chr17	70886880	70886890	-	0.000	0.000	Merged-chr17-70886838-34
NR12777--MA0741.1.KLF16	chr12	8829810	8829820	-	0.000	0.000	Merged-chr12-8829730-25
NR21144--MA0741.1.KLF16	chr15	38710157	38710167	-	0.000	0.000	Merged-chr15-38710125-56
NR21227--MA1107.1.KLF9	chr15	51803263	51803275	-	0.000	0.000	Merged-chr15-51803142-36
NR66361--MA0741.1.KLF16	chrX	99136009	99136019	-	0.000	0.000	Merged-chrX-99136067-62
NR48106--MA0039.3.KLF4	chr5	114801282	114801292	+	0.000	0.000	Merged-chr5-114801255-6
NR41981--MA0039.3.KLF4	chr4	43171520	43171530	-	0.000	0.000	Merged-chr4-43171535-31
NR40360--MA0599.1.KLF5	chr3	132928115	132928124	-	0.000	0.000	Merged-chr3-132927951-20
NR10954--MA0741.1.KLF16	chr11	95232173	95232183	-	0.000	0.000	Merged-chr11-95232173-16
NR23747--MA1107.1.KLF9	chr16	11505472	11505484	-	0.000	0.000	Merged-chr16-11505551-12
NR23532--MA1107.1.KLF9	chr16	3872243	3872255	+	0.000	0.000	Merged-chr16-3872425-54
NR39968--MA0493.1.Klf1	chr3	121689302	121689312	+	0.000	0.000	Merged-chr3-121689232-23
NR35412--MA0599.1.KLF5	chr2	127319253	127319262	-	0.000	0.000	Merged-chr2-127319189-56
NR15902--MA0599.1.KLF5	chr13	40676878	40676887	+	0.000	0.000	Merged-chr13-40676828-31
NR56850--MA0740.1.KLF14	chr7	109781616	109781629	-	0.000	0.000	Merged-chr7-109781592-85
NR61964--MA0742.1.Klf12	chr9	21852797	21852811	-	0.000	0.000	Merged-chr9-21852740-52
NR56115--MA0599.1.KLF5	chr7	80075312	80075321	+	0.000	0.000	Merged-chr7-80075124-48
NR22336--MA0599.1.KLF5	chr15	84372964	84372973	-	0.000	0.000	Merged-chr15-84372915-18
NR13565--MA0740.1.KLF14	chr12	71577497	71577510	-	0.000	0.000	Merged-chr12-71577475-38
NR13836--MA0740.1.KLF14	chr12	82166461	82166474	-	0.000	0.000	Merged-chr12-82166286-58
NR437--MA0599.1.KLF5	chr1	39196991	39197000	-	0.000	0.000	Merged-chr1-39196974-45
NR16942--MA0740.1.KLF14	chr13	89521652	89521665	+	0.000	0.000	Merged-chr13-89521757-30
NR5920--MA1107.1.KLF9	chr10	78115174	78115186	-	0.000	0.000	Merged-chr10-78115092-14
NR34536--MA1107.1.KLF9	chr2	90752628	90752640	-	0.000	0.000	Merged-chr2-90752646-2
NR5812--MA0742.1.Klf12	chr10	76961984	76961998	+	0.000	0.000	Merged-chr10-76962071-59
NR47822--MA0039.3.KLF4	chr5	111531901	111531911	+	0.000	0.000	Merged-chr5-111531814-27
NR7097--MA1107.1.KLF9	chr10	105322135	105322147	-	0.000	0.000	Merged-chr10-105322037-2
NR30218--MA0742.1.Klf12	chr18	74442353	74442367	+	0.000	0.000	Merged-chr18-74442456-61
NR8094--MA0599.1.KLF5	chr10	127621034	127621043	-	0.000	0.000	Merged-chr10-127621046-1
NR10724--MA0742.1.Klf12	chr11	88864589	88864603	+	0.000	0.000	Merged-chr11-88864546-48
NR13278--MA1107.1.KLF9	chr12	52818792	52818804	-	0.000	0.000	Merged-chr12-52818712-31
NR45344--MA0599.1.KLF5	chr4	152247436	152247445	+	0.000	0.000	Merged-chr4-152247398-23
NR5365--MA1107.1.KLF9	chr10	60225622	60225634	+	0.000	0.000	Merged-chr10-60225461-7
NR32186--MA0740.1.KLF14	chr19	55401897	55401910	-	0.000	0.000	Merged-chr19-55401887-30
NR30263--MA0657.1.KLF13	chr18	75210432	75210449	+	0.000	0.000	Merged-chr18-75210545-14
NR53817--MA0742.1.Klf12	chr6	144890400	144890414	+	0.000	0.000	Merged-chr6-144890317-11
NR23108--MA0741.1.KLF16	chr15	99803327	99803337	-	0.000	0.000	Merged-chr15-99803335-29
NR35645--MA0599.1.KLF5	chr2	132379897	132379906	-	0.000	0.000	Merged-chr2-132379852-19
NR18925--MA0493.1.Klf1	chr14	47740786	47740796	+	0.000	0.000	Merged-chr14-47740703-52
NR3624--MA1107.1.KLF9	chr1	179847492	179847504	-	0.000	0.000	Merged-chr1-179847496-1
NR47188--MA0599.1.KLF5	chr5	91517629	91517638	-	0.000	0.000	Merged-chr5-91517668-20
NR49107--MA0742.1.Klf12	chr5	134932358	134932372	+	0.000	0.000	Merged-chr5-134932473-29
NR39967--MA0039.3.KLF4	chr3	121689304	121689314	+	0.000	0.000	Merged-chr3-121689232-23
NR5579--MA0741.1.KLF16	chr10	67194235	67194245	+	0.000	0.000	Merged-chr10-67194243-31
NR23533--MA0740.1.KLF14	chr16	3872304	3872317	+	0.000	0.000	Merged-chr16-3872425-54
NR61469--MA0039.3.KLF4	chr8	125727532	125727542	-	0.000	0.000	Merged-chr8-125727602-12
NR62904--MA1107.1.KLF9	chr9	58271286	58271298	+	0.000	0.000	Merged-chr9-58271289-37
NR44622--MA0742.1.Klf12	chr4	140833013	140833027	-	0.000	0.000	Merged-chr4-140833040-18
NR22340--MA0493.1.Klf1	chr15	84372976	84372986	-	0.000	0.000	Merged-chr15-84372915-18
NR52538--MA1107.1.KLF9	chr6	117937386	117937398	+	0.000	0.000	Merged-chr6-117937569-43
NR62377--MA0599.1.KLF5	chr9	41048321	41048330	-	0.000	0.000	Merged-chr9-41048392-23
NR66048--MA0742.1.Klf12	chrX	56346456	56346470	-	0.000	0.000	Merged-chrX-56346415-28
NR33349--MA0599.1.KLF5	chr2	31612975	31612984	-	0.000	0.000	Merged-chr2-31612988-19
NR24301--MA0599.1.KLF5	chr16	34096072	34096081	-	0.000	0.000	Merged-chr16-34095886-29
NR48348--MA0039.3.KLF4	chr5	118624061	118624071	+	0.000	0.000	Merged-chr5-118624196-6
NR52664--MA0741.1.KLF16	chr6	120666243	120666253	+	0.000	0.000	Merged-chr6-120666537-45
NR18723--MA1107.1.KLF9	chr14	31934162	31934174	-	0.000	0.000	Merged-chr14-31934172-18
NR47514--MA0741.1.KLF16	chr5	103459368	103459378	+	0.000	0.000	Merged-chr5-103459309-20
NR37117--MA0493.1.Klf1	chr2	168742133	168742143	+	0.000	0.000	Merged-chr2-168742095-110
NR20734--MA0599.1.KLF5	chr15	8616193	8616202	+	0.000	0.000	Merged-chr15-8616259-27
NR58432--MA0741.1.KLF16	chr8	3221122	3221132	+	0.000	0.000	Merged-chr8-3221344-66
NR63685--MA1107.1.KLF9	chr9	80313761	80313773	-	0.000	0.000	Merged-chr9-80313733-27
NR4178--MA0599.1.KLF5	chr1	191152676	191152685	+	0.000	0.000	Merged-chr1-191152485-1
NR49041--MA0599.1.KLF5	chr5	134494507	134494516	+	0.000	0.000	Merged-chr5-134494514-28
NR53307--MA0742.1.Klf12	chr6	136413384	136413398	+	0.000	0.000	Merged-chr6-136413320-1
NR65279--MA0493.1.Klf1	chr9	119453529	119453539	-	0.000	0.000	Merged-chr9-119453486-15
NR1910--MA1107.1.KLF9	chr1	128713043	128713055	+	0.000	0.000	Merged-chr1-128713010-21
NR11902--MA0741.1.KLF16	chr11	110337720	110337730	+	0.000	0.000	Merged-chr11-110337673-72
NR40435--MA0039.3.KLF4	chr3	133758587	133758597	+	0.000	0.000	Merged-chr3-133758511-65
NR7486--MA0742.1.Klf12	chr10	117651101	117651115	-	0.000	0.000	Merged-chr10-117651194-26
NR59048--MA1107.1.KLF9	chr8	36248359	36248371	+	0.000	0.000	Merged-chr8-36248253-9
NR25606--MA0599.1.KLF5	chr17	5138638	5138647	-	0.000	0.000	Merged-chr17-5138884-51
NR42073--MA0039.3.KLF4	chr4	45514201	45514211	+	0.000	0.000	Merged-chr4-45514037-30
NR32164--MA1107.1.KLF9	chr19	55062150	55062162	+	0.000	0.000	Merged-chr19-55062253-32
NR52839--MA0741.1.KLF16	chr6	125678724	125678734	-	0.000	0.000	Merged-chr6-125678786-19
NR52217--MA0599.1.KLF5	chr6	108251595	108251604	-	0.000	0.000	Merged-chr6-108251708-11
NR27143--MA0741.1.KLF16	chr17	36229293	36229303	+	0.000	0.000	Merged-chr17-36229276-20
NR10941--MA0599.1.KLF5	chr11	95006783	95006792	+	0.000	0.000	Merged-chr11-95006750-25
NR48063--MA0741.1.KLF16	chr5	114505622	114505632	-	0.000	0.000	Merged-chr5-114505492-44
NR59047--MA0741.1.KLF16	chr8	36248360	36248370	+	0.000	0.000	Merged-chr8-36248253-9
NR66830--MA0493.1.Klf1	chrX	159199696	159199706	+	0.000	0.000	Merged-chrX-159199808-53
NR25842--MA1107.1.KLF9	chr17	8562355	8562367	-	0.000	0.000	Merged-chr17-8562551-56
NR32579--MA0740.1.KLF14	chr2	7270305	7270318	-	0.000	0.000	Merged-chr2-7270224-62
NR3671--MA0740.1.KLF14	chr1	180548107	180548120	-	0.000	0.000	Merged-chr1-180548194-33
