#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed
NR7261--MA0089.1.MAFG::NFE2L1	chr2	164868596	164868601	+	0.000	0.000	Merged-chr2-164868622-33
NR10957--MA0659.1.MAFG	chr7	116409582	116409602	-	0.000	0.000	Merged-chr7-116409560-37
NR12018--MA0089.1.MAFG::NFE2L1	chr9	66821353	66821358	+	0.000	0.000	Merged-chr9-66821220-22
NR10446--MA0501.1.MAF::NFE2	chr7	16057376	16057390	+	0.000	0.000	Merged-chr7-16057177-61
NR4443--MA0495.2.MAFF	chr15	82906877	82906897	-	0.000	0.000	Merged-chr15-82906941-10
NR192--MA0501.1.MAF::NFE2	chr1	58734252	58734266	-	0.000	0.000	Merged-chr1-58734414-54
NR4548--MA0659.1.MAFG	chr15	100265724	100265744	-	0.000	0.000	Merged-chr15-100265875-19
NR2224--MA0089.1.MAFG::NFE2L1	chr11	95356989	95356994	-	0.000	0.000	Merged-chr11-95356897-59
NR11062--MA0089.1.MAFG::NFE2L1	chr7	128062740	128062745	-	0.000	0.000	Merged-chr7-128062681-13
NR11277--MA0117.2.Mafb	chr8	35678099	35678110	-	0.000	0.000	Merged-chr8-35678032-30
NR5110--MA0089.1.MAFG::NFE2L1	chr17	13564969	13564974	-	0.000	0.000	Merged-chr17-13564978-21
NR4550--MA0496.2.MAFK	chr15	100265725	100265743	-	0.000	0.000	Merged-chr15-100265875-19
NR8400--MA0089.1.MAFG::NFE2L1	chr4	97831063	97831068	-	0.000	0.000	Merged-chr4-97831141-1
NR10626--MA0117.2.Mafb	chr7	64158958	64158969	+	0.000	0.000	Merged-chr7-64158985-48
NR9557--MA0495.2.MAFF	chr6	3536484	3536504	+	0.000	0.000	Merged-chr6-3536376-27
NR2539--MA0089.1.MAFG::NFE2L1	chr12	25209010	25209015	-	0.000	0.000	Merged-chr12-25209047-25
NR9749--MA0496.2.MAFK	chr6	54775915	54775933	+	0.000	0.000	Merged-chr6-54775842-27
NR6744--MA0495.2.MAFF	chr2	103662263	103662283	-	0.000	0.000	Merged-chr2-103662304-51
NR4704--MA0501.1.MAF::NFE2	chr16	30024847	30024861	-	0.000	0.000	Merged-chr16-30024852-47
NR4242--MA0495.2.MAFF	chr15	51823240	51823260	+	0.000	0.000	Merged-chr15-51823268-39
NR4649--MA0496.2.MAFK	chr16	20496830	20496848	+	0.000	0.000	Merged-chr16-20496869-26
NR4416--MA0591.1.Bach1::Mafk	chr15	78170815	78170829	-	0.000	0.000	Merged-chr15-78170895-5
NR334--MA0089.1.MAFG::NFE2L1	chr1	88267989	88267994	-	0.000	0.000	Merged-chr1-88267879-42
NR2543--MA0501.1.MAF::NFE2	chr12	25240223	25240237	+	0.000	0.000	Merged-chr12-25240283-42
NR1319--MA0089.1.MAFG::NFE2L1	chr10	75536262	75536267	+	0.000	0.000	Merged-chr10-75536310-39
NR9344--MA0117.2.Mafb	chr5	115489844	115489855	-	0.000	0.000	Merged-chr5-115489849-182
NR6137--MA0591.1.Bach1::Mafk	chr19	41366769	41366783	-	0.000	0.000	Merged-chr19-41366765-21
NR11879--MA0089.1.MAFG::NFE2L1	chr9	43095839	43095844	-	0.000	0.000	Merged-chr9-43095855-1
NR6459--MA0591.1.Bach1::Mafk	chr2	34945759	34945773	+	0.000	0.000	Merged-chr2-34945759-18
NR9810--MA0659.1.MAFG	chr6	70714455	70714475	-	0.000	0.000	Merged-chr6-70714490-34
NR10252--MA0501.1.MAF::NFE2	chr6	137535765	137535779	+	0.000	0.000	Merged-chr6-137535864-11
NR7570--MA0089.1.MAFG::NFE2L1	chr3	52927563	52927568	+	0.000	0.000	Merged-chr3-52927614-48
NR9394--MA0591.1.Bach1::Mafk	chr5	123524154	123524168	+	0.000	0.000	Merged-chr5-123524243-58
NR10443--MA0591.1.Bach1::Mafk	chr7	16057373	16057387	+	0.000	0.000	Merged-chr7-16057177-61
NR9642--MA0089.1.MAFG::NFE2L1	chr6	30804860	30804865	-	0.000	0.000	Merged-chr6-30804874-26
NR1315--MA0117.2.Mafb	chr10	75224007	75224018	+	0.000	0.000	Merged-chr10-75224198-14
NR6163--MA0089.1.MAFG::NFE2L1	chr19	45579250	45579255	+	0.000	0.000	Merged-chr19-45579112-22
NR3840--MA0089.1.MAFG::NFE2L1	chr14	60269568	60269573	+	0.000	0.000	Merged-chr14-60269485-15
NR5449--MA0089.1.MAFG::NFE2L1	chr17	80169141	80169146	+	0.000	0.000	Merged-chr17-80169005-20
NR7461--MA0591.1.Bach1::Mafk	chr2	181188901	181188915	+	0.000	0.000	Merged-chr2-181188865-17
NR10251--MA0591.1.Bach1::Mafk	chr6	137535762	137535776	+	0.000	0.000	Merged-chr6-137535864-11
NR6301--MA0496.2.MAFK	chr2	3742586	3742604	+	0.000	0.000	Merged-chr2-3742681-34
NR4840--MA0659.1.MAFG	chr16	55731345	55731365	+	0.000	0.000	Merged-chr16-55731232-18
NR6061--MA0089.1.MAFG::NFE2L1	chr19	24527539	24527544	-	0.000	0.000	Merged-chr19-24527365-48
NR4227--MA0591.1.Bach1::Mafk	chr15	41612395	41612409	+	0.000	0.000	Merged-chr15-41612397-47
NR11764--MA0496.2.MAFK	chr8	127973400	127973418	+	0.000	0.000	Merged-chr8-127973425-20
NR8870--MA0591.1.Bach1::Mafk	chr5	5420345	5420359	+	0.000	0.000	Merged-chr5-5420247-39
NR8846--MA0117.2.Mafb	chr4	156033082	156033093	+	0.000	0.000	Merged-chr4-156033433-76
NR11039--MA0501.1.MAF::NFE2	chr7	126584668	126584682	-	0.000	0.000	Merged-chr7-126584739-30
NR9825--MA0591.1.Bach1::Mafk	chr6	72644783	72644797	+	0.000	0.000	Merged-chr6-72644677-18
NR3849--MA0117.2.Mafb	chr14	61648792	61648803	+	0.000	0.000	Merged-chr14-61648687-125
NR5154--MA0495.2.MAFF	chr17	24344784	24344804	-	0.000	0.000	Merged-chr17-24344874-27
NR12412--MA0089.1.MAFG::NFE2L1	chrX	13552560	13552565	-	0.000	0.000	Merged-chrX-13552455-23
NR3853--MA0591.1.Bach1::Mafk	chr14	62851116	62851130	-	0.000	0.000	Merged-chr14-62851095-38
NR1024--MA0089.1.MAFG::NFE2L1	chr10	8415554	8415559	-	0.000	0.000	Merged-chr10-8415419-33
NR1111--MA0089.1.MAFG::NFE2L1	chr10	26364423	26364428	-	0.000	0.000	Merged-chr10-26364475-53
NR9073--MA0089.1.MAFG::NFE2L1	chr5	65737508	65737513	-	0.000	0.000	Merged-chr5-65737481-18
NR2562--MA0501.1.MAF::NFE2	chr12	26206991	26207005	+	0.000	0.000	Merged-chr12-26206991-18
NR11485--MA0659.1.MAFG	chr8	94812834	94812854	+	0.000	0.000	Merged-chr8-94812976-23
NR6122--MA0591.1.Bach1::Mafk	chr19	37110697	37110711	+	0.000	0.000	Merged-chr19-37110576-17
NR4834--MA0496.2.MAFK	chr16	52879650	52879668	-	0.000	0.000	Merged-chr16-52879758-28
NR10553--MA0089.1.MAFG::NFE2L1	chr7	44896055	44896060	-	0.000	0.000	Merged-chr7-44895929-62
NR2404--MA0591.1.Bach1::Mafk	chr11	116256021	116256035	-	0.000	0.000	Merged-chr11-116256028-23
NR10447--MA0501.1.MAF::NFE2	chr7	16057370	16057384	-	0.000	0.000	Merged-chr7-16057177-61
NR96--MA0496.2.MAFK	chr1	36162982	36163000	-	0.000	0.000	Merged-chr1-36162898-20
NR10566--MA0089.1.MAFG::NFE2L1	chr7	47095174	47095179	-	0.000	0.000	Merged-chr7-47095108-11
NR9762--MA0117.2.Mafb	chr6	59411873	59411884	+	0.000	0.000	Merged-chr6-59411943-3
NR4912--MA0501.1.MAF::NFE2	chr16	84496928	84496942	-	0.000	0.000	Merged-chr16-84496971-26
NR4801--MA0089.1.MAFG::NFE2L1	chr16	50533849	50533854	+	0.000	0.000	Merged-chr16-50533988-11
NR2453--MA0089.1.MAFG::NFE2L1	chr11	119352198	119352203	-	0.000	0.000	Merged-chr11-119352427-33
NR7218--MA0496.2.MAFK	chr2	157190847	157190865	+	0.000	0.000	Merged-chr2-157190874-9
NR9808--MA0591.1.Bach1::Mafk	chr6	70714458	70714472	+	0.000	0.000	Merged-chr6-70714490-34
NR4438--MA0089.1.MAFG::NFE2L1	chr15	81819851	81819856	+	0.000	0.000	Merged-chr15-81819861-26
NR6298--MA0591.1.Bach1::Mafk	chr2	3742588	3742602	+	0.000	0.000	Merged-chr2-3742681-34
NR3609--MA0089.1.MAFG::NFE2L1	chr13	113227325	113227330	-	0.000	0.000	Merged-chr13-113227278-10
NR9082--MA0089.1.MAFG::NFE2L1	chr5	67437667	67437672	+	0.000	0.000	Merged-chr5-67437495-24
NR4439--MA0659.1.MAFG	chr15	81872293	81872313	+	0.000	0.000	Merged-chr15-81872198-88
NR3886--MA0089.1.MAFG::NFE2L1	chr14	67841941	67841946	-	0.000	0.000	Merged-chr14-67841831-15
NR11488--MA0496.2.MAFK	chr8	94812835	94812853	+	0.000	0.000	Merged-chr8-94812976-23
NR11895--MA0089.1.MAFG::NFE2L1	chr9	45294384	45294389	+	0.000	0.000	Merged-chr9-45294452-56
NR11907--MA0089.1.MAFG::NFE2L1	chr9	50533695	50533700	+	0.000	0.000	Merged-chr9-50533637-27
NR9582--MA0495.2.MAFF	chr6	8641035	8641055	-	0.000	0.000	Merged-chr6-8641126-10
NR2364--MA0089.1.MAFG::NFE2L1	chr11	113187343	113187348	-	0.000	0.000	Merged-chr11-113187180-1
NR10958--MA0496.2.MAFK	chr7	116409583	116409601	+	0.000	0.000	Merged-chr7-116409560-37
NR2226--MA0501.1.MAF::NFE2	chr11	95356969	95356983	-	0.000	0.000	Merged-chr11-95356897-59
NR9093--MA0089.1.MAFG::NFE2L1	chr5	73199824	73199829	-	0.000	0.000	Merged-chr5-73199876-43
NR5552--MA0089.1.MAFG::NFE2L1	chr18	4305050	4305055	+	0.000	0.000	Merged-chr18-4305032-14
NR11212--MA0089.1.MAFG::NFE2L1	chr8	13595274	13595279	-	0.000	0.000	Merged-chr8-13595112-52
NR8989--MA0501.1.MAF::NFE2	chr5	31576819	31576833	+	0.000	0.000	Merged-chr5-31576784-60
NR2133--MA0591.1.Bach1::Mafk	chr11	83657706	83657720	+	0.000	0.000	Merged-chr11-83657668-22
NR2540--MA0495.2.MAFF	chr12	25240217	25240237	-	0.000	0.000	Merged-chr12-25240283-42
NR12198--MA0591.1.Bach1::Mafk	chr9	95120122	95120136	-	0.000	0.000	Merged-chr9-95120288-34
NR3780--MA0089.1.MAFG::NFE2L1	chr14	47518828	47518833	+	0.000	0.000	Merged-chr14-47518812-18
NR8956--MA0117.2.Mafb	chr5	24629960	24629971	-	0.000	0.000	Merged-chr5-24629894-16
NR10544--MA0591.1.Bach1::Mafk	chr7	38093350	38093364	+	0.000	0.000	Merged-chr7-38093373-14
NR10494--MA0495.2.MAFF	chr7	25107335	25107355	-	0.000	0.000	Merged-chr7-25107253-25
NR10496--MA0659.1.MAFG	chr7	25107335	25107355	-	0.000	0.000	Merged-chr7-25107253-25
NR11481--MA0495.2.MAFF	chr8	94812834	94812854	+	0.000	0.000	Merged-chr8-94812976-23
NR12535--MA0501.1.MAF::NFE2	chrX	114474092	114474106	+	0.000	0.000	Merged-chrX-114474330-36
NR5703--MA0501.1.MAF::NFE2	chr18	50022526	50022540	-	0.000	0.000	Merged-chr18-50022640-10
NR10176--MA0501.1.MAF::NFE2	chr6	128972831	128972845	+	0.000	0.000	Merged-chr6-128972909-46
NR9503--MA0495.2.MAFF	chr5	146655355	146655375	-	0.000	0.000	Merged-chr5-146655552-37
NR2341--MA0501.1.MAF::NFE2	chr11	109744078	109744092	-	0.000	0.000	Merged-chr11-109744155-21
NR10449--MA0496.2.MAFK	chr7	16057371	16057389	-	0.000	0.000	Merged-chr7-16057177-61
NR1632--MA0591.1.Bach1::Mafk	chr10	120182933	120182947	-	0.000	0.000	Merged-chr10-120183053-23
NR2134--MA0501.1.MAF::NFE2	chr11	83657709	83657723	+	0.000	0.000	Merged-chr11-83657668-22
NR11912--MA0089.1.MAFG::NFE2L1	chr9	53436215	53436220	+	0.000	0.000	Merged-chr9-53436232-20
NR10001--MA0089.1.MAFG::NFE2L1	chr6	108466214	108466219	-	0.000	0.000	Merged-chr6-108466218-26
NR6426--MA0089.1.MAFG::NFE2L1	chr2	32875155	32875160	+	0.000	0.000	Merged-chr2-32875161-7
NR12061--MA0089.1.MAFG::NFE2L1	chr9	73176824	73176829	-	0.000	0.000	Merged-chr9-73176903-12
NR6051--MA0501.1.MAF::NFE2	chr19	21946595	21946609	+	0.000	0.000	Merged-chr19-21946684-18
NR6466--MA0496.2.MAFK	chr2	34945757	34945775	-	0.000	0.000	Merged-chr2-34945759-18
NR9803--MA0089.1.MAFG::NFE2L1	chr6	70709430	70709435	+	0.000	0.000	Merged-chr6-70709572-48
NR7142--MA0659.1.MAFG	chr2	150840384	150840404	-	0.000	0.000	Merged-chr2-150840392-23
NR3712--MA0089.1.MAFG::NFE2L1	chr14	23465383	23465388	+	0.000	0.000	Merged-chr14-23465360-30
NR4291--MA0591.1.Bach1::Mafk	chr15	59520697	59520711	-	0.000	0.000	Merged-chr15-59520520-55
NR5635--MA0501.1.MAF::NFE2	chr18	36701891	36701905	-	0.000	0.000	Merged-chr18-36701992-26
NR4176--MA0089.1.MAFG::NFE2L1	chr15	31117446	31117451	-	0.000	0.000	Merged-chr15-31117559-26
NR6299--MA0659.1.MAFG	chr2	3742585	3742605	+	0.000	0.000	Merged-chr2-3742681-34
NR100--MA0089.1.MAFG::NFE2L1	chr1	36797660	36797665	-	0.000	0.000	Merged-chr1-36797700-29
NR9458--MA0591.1.Bach1::Mafk	chr5	140637021	140637035	-	0.000	0.000	Merged-chr5-140636895-23
NR4428--MA0117.2.Mafb	chr15	80582788	80582799	+	0.000	0.000	Merged-chr15-80582931-41
NR9658--MA0117.2.Mafb	chr6	33618528	33618539	-	0.000	0.000	Merged-chr6-33618746-27
NR170--MA0496.2.MAFK	chr1	53945958	53945976	+	0.000	0.000	Merged-chr1-53945969-15
NR5661--MA0117.2.Mafb	chr18	39185925	39185936	-	0.000	0.000	Merged-chr18-39185847-29
NR10177--MA0496.2.MAFK	chr6	128972826	128972844	-	0.000	0.000	Merged-chr6-128972909-46
NR4830--MA0501.1.MAF::NFE2	chr16	52470435	52470449	+	0.000	0.000	Merged-chr16-52470408-42
NR9558--MA0495.2.MAFF	chr6	3536484	3536504	-	0.000	0.000	Merged-chr6-3536376-27
NR10724--MA0501.1.MAF::NFE2	chr7	82971472	82971486	-	0.000	0.000	Merged-chr7-82971479-16
NR3807--MA0591.1.Bach1::Mafk	chr14	54042560	54042574	+	0.000	0.000	Merged-chr14-54042366-24
NR4243--MA0495.2.MAFF	chr15	51823240	51823260	-	0.000	0.000	Merged-chr15-51823268-39
NR1475--MA0089.1.MAFG::NFE2L1	chr10	95179109	95179114	+	0.000	0.000	Merged-chr10-95179066-28
NR11254--MA0089.1.MAFG::NFE2L1	chr8	25654068	25654073	-	0.000	0.000	Merged-chr8-25654088-45
NR7840--MA0089.1.MAFG::NFE2L1	chr3	116465814	116465819	-	0.000	0.000	Merged-chr3-116465927-56
NR4573--MA0591.1.Bach1::Mafk	chr15	102376995	102377009	-	0.000	0.000	Merged-chr15-102377119-58
NR8444--MA0501.1.MAF::NFE2	chr4	106987841	106987855	-	0.000	0.000	Merged-chr4-106987990-49
NR7613--MA0117.2.Mafb	chr3	69156710	69156721	+	0.000	0.000	Merged-chr3-69156652-55
NR7275--MA0089.1.MAFG::NFE2L1	chr2	166399330	166399335	+	0.000	0.000	Merged-chr2-166399399-25
NR5996--MA0089.1.MAFG::NFE2L1	chr19	10816681	10816686	+	0.000	0.000	Merged-chr19-10816684-5
NR4292--MA0501.1.MAF::NFE2	chr15	59520694	59520708	-	0.000	0.000	Merged-chr15-59520520-55
NR2314--MA0089.1.MAFG::NFE2L1	chr11	108068696	108068701	-	0.000	0.000	Merged-chr11-108068595-28
NR6745--MA0496.2.MAFK	chr2	103662264	103662282	+	0.000	0.000	Merged-chr2-103662304-51
NR10712--MA0089.1.MAFG::NFE2L1	chr7	80828641	80828646	-	0.000	0.000	Merged-chr7-80828687-47
NR3640--MA0591.1.Bach1::Mafk	chr13	117196136	117196150	+	0.000	0.000	Merged-chr13-117196008-56
NR9805--MA0495.2.MAFF	chr6	70714455	70714475	+	0.000	0.000	Merged-chr6-70714490-34
NR5669--MA0501.1.MAF::NFE2	chr18	39835789	39835803	+	0.000	0.000	Merged-chr18-39835954-30
NR6461--MA0659.1.MAFG	chr2	34945756	34945776	+	0.000	0.000	Merged-chr2-34945759-18
NR10147--MA0089.1.MAFG::NFE2L1	chr6	127575435	127575440	-	0.000	0.000	Merged-chr6-127575169-36
NR6302--MA0496.2.MAFK	chr2	3742586	3742604	-	0.000	0.000	Merged-chr2-3742681-34
NR4841--MA0659.1.MAFG	chr16	55731345	55731365	-	0.000	0.000	Merged-chr16-55731232-18
NR9647--MA0089.1.MAFG::NFE2L1	chr6	31080909	31080914	-	0.000	0.000	Merged-chr6-31081023-63
NR10545--MA0501.1.MAF::NFE2	chr7	38093353	38093367	+	0.000	0.000	Merged-chr7-38093373-14
NR8529--MA0089.1.MAFG::NFE2L1	chr4	119962896	119962901	-	0.000	0.000	Merged-chr4-119962727-36
NR2315--MA0495.2.MAFF	chr11	108094971	108094991	+	0.000	0.000	Merged-chr11-108095008-29
NR9807--MA0117.2.Mafb	chr6	70714464	70714475	-	0.000	0.000	Merged-chr6-70714490-34
NR11765--MA0496.2.MAFK	chr8	127973400	127973418	-	0.000	0.000	Merged-chr8-127973425-20
NR94--MA0591.1.Bach1::Mafk	chr1	36162984	36162998	+	0.000	0.000	Merged-chr1-36162898-20
NR11061--MA0089.1.MAFG::NFE2L1	chr7	128062742	128062747	+	0.000	0.000	Merged-chr7-128062681-13
NR3730--MA0089.1.MAFG::NFE2L1	chr14	27351659	27351664	+	0.000	0.000	Merged-chr14-27351647-44
NR2236--MA0089.1.MAFG::NFE2L1	chr11	97684305	97684310	-	0.000	0.000	Merged-chr11-97684318-65
NR10151--MA0591.1.Bach1::Mafk	chr6	127723307	127723321	-	0.000	0.000	Merged-chr6-127723234-26
NR12019--MA0591.1.Bach1::Mafk	chr9	66821341	66821355	+	0.000	0.000	Merged-chr9-66821220-22
NR9743--MA0495.2.MAFF	chr6	54775914	54775934	+	0.000	0.000	Merged-chr6-54775842-27
NR3856--MA0089.1.MAFG::NFE2L1	chr14	62870636	62870641	-	0.000	0.000	Merged-chr14-62870465-48
NR11274--MA0089.1.MAFG::NFE2L1	chr8	34149638	34149643	+	0.000	0.000	Merged-chr8-34149541-68
NR333--MA0089.1.MAFG::NFE2L1	chr1	88267991	88267996	+	0.000	0.000	Merged-chr1-88267879-42
NR5296--MA0117.2.Mafb	chr17	50070336	50070347	+	0.000	0.000	Merged-chr17-50070273-24
NR6463--MA0501.1.MAF::NFE2	chr2	34945762	34945776	+	0.000	0.000	Merged-chr2-34945759-18
NR578--MA0591.1.Bach1::Mafk	chr1	144086348	144086362	-	0.000	0.000	Merged-chr1-144086303-34
NR10497--MA0496.2.MAFK	chr7	25107336	25107354	+	0.000	0.000	Merged-chr7-25107253-25
NR9641--MA0089.1.MAFG::NFE2L1	chr6	30804862	30804867	+	0.000	0.000	Merged-chr6-30804874-26
NR4545--MA0495.2.MAFF	chr15	100265724	100265744	+	0.000	0.000	Merged-chr15-100265875-19
NR10732--MA0089.1.MAFG::NFE2L1	chr7	83565230	83565235	+	0.000	0.000	Merged-chr7-83565043-35
NR9074--MA0501.1.MAF::NFE2	chr5	65850960	65850974	+	0.000	0.000	Merged-chr5-65850971-35
NR7214--MA0591.1.Bach1::Mafk	chr2	157190849	157190863	-	0.000	0.000	Merged-chr2-157190874-9
NR2541--MA0591.1.Bach1::Mafk	chr12	25240220	25240234	+	0.000	0.000	Merged-chr12-25240283-42
NR7219--MA0496.2.MAFK	chr2	157190847	157190865	-	0.000	0.000	Merged-chr2-157190874-9
NR4547--MA0117.2.Mafb	chr15	100265733	100265744	-	0.000	0.000	Merged-chr15-100265875-19
NR4492--MA0089.1.MAFG::NFE2L1	chr15	93298315	93298320	+	0.000	0.000	Merged-chr15-93298411-30
NR6743--MA0495.2.MAFF	chr2	103662263	103662283	+	0.000	0.000	Merged-chr2-103662304-51
NR1314--MA0089.1.MAFG::NFE2L1	chr10	75146211	75146216	-	0.000	0.000	Merged-chr10-75146347-53
NR11489--MA0496.2.MAFK	chr8	94812835	94812853	-	0.000	0.000	Merged-chr8-94812976-23
NR5402--MA0496.2.MAFK	chr17	74140473	74140491	-	0.000	0.000	Merged-chr17-74140468-12
NR7795--MA0089.1.MAFG::NFE2L1	chr3	104856376	104856381	+	0.000	0.000	Merged-chr3-104856352-37
NR4293--MA0501.1.MAF::NFE2	chr15	59597843	59597857	+	0.000	0.000	Merged-chr15-59597796-32
NR9560--MA0496.2.MAFK	chr6	3536485	3536503	+	0.000	0.000	Merged-chr6-3536376-27
NR10959--MA0496.2.MAFK	chr7	116409583	116409601	-	0.000	0.000	Merged-chr7-116409560-37
NR1816--MA0089.1.MAFG::NFE2L1	chr11	23769727	23769732	-	0.000	0.000	Merged-chr11-23769883-11
NR4355--MA0117.2.Mafb	chr15	66558971	66558982	-	0.000	0.000	Merged-chr15-66559012-25
NR8734--MA0089.1.MAFG::NFE2L1	chr4	145278426	145278431	-	0.000	0.000	Merged-chr4-145278401-24
NR9865--MA0089.1.MAFG::NFE2L1	chr6	86594870	86594875	-	0.000	0.000	Merged-chr6-86595040-14
NR9748--MA0501.1.MAF::NFE2	chr6	54775914	54775928	-	0.000	0.000	Merged-chr6-54775842-27
NR251--MA0089.1.MAFG::NFE2L1	chr1	74227568	74227573	-	0.000	0.000	Merged-chr1-74227561-37
NR9272--MA0089.1.MAFG::NFE2L1	chr5	105541195	105541200	+	0.000	0.000	Merged-chr5-105541026-23
NR11759--MA0495.2.MAFF	chr8	127973399	127973419	+	0.000	0.000	Merged-chr8-127973425-20
NR1268--MA0591.1.Bach1::Mafk	chr10	62247914	62247928	-	0.000	0.000	Merged-chr10-62247968-20
NR4430--MA0501.1.MAF::NFE2	chr15	80582788	80582802	-	0.000	0.000	Merged-chr15-80582931-41
NR12435--MA0089.1.MAFG::NFE2L1	chrX	50565195	50565200	-	0.000	0.000	Merged-chrX-50565283-19
NR6240--MA0659.1.MAFG	chr19	58104746	58104766	-	0.000	0.000	Merged-chr19-58104736-34
NR7217--MA0501.1.MAF::NFE2	chr2	157190846	157190860	-	0.000	0.000	Merged-chr2-157190874-9
NR9485--MA0089.1.MAFG::NFE2L1	chr5	143561770	143561775	-	0.000	0.000	Merged-chr5-143561800-6
NR5155--MA0659.1.MAFG	chr17	24344784	24344804	+	0.000	0.000	Merged-chr17-24344874-27
NR7212--MA0495.2.MAFF	chr2	157190846	157190866	+	0.000	0.000	Merged-chr2-157190874-9
NR11026--MA0089.1.MAFG::NFE2L1	chr7	125423153	125423158	-	0.000	0.000	Merged-chr7-125423125-27
NR10172--MA0089.1.MAFG::NFE2L1	chr6	128972741	128972746	-	0.000	0.000	Merged-chr6-128972909-46
NR5668--MA0089.1.MAFG::NFE2L1	chr18	39835788	39835793	+	0.000	0.000	Merged-chr18-39835954-30
NR577--MA0089.1.MAFG::NFE2L1	chr1	144086355	144086360	-	0.000	0.000	Merged-chr1-144086303-34
NR11482--MA0495.2.MAFF	chr8	94812834	94812854	-	0.000	0.000	Merged-chr8-94812976-23
NR10185--MA0089.1.MAFG::NFE2L1	chr6	129552655	129552660	-	0.000	0.000	Merged-chr6-129552660-25
NR6464--MA0501.1.MAF::NFE2	chr2	34945756	34945770	-	0.000	0.000	Merged-chr2-34945759-18
NR11448--MA0117.2.Mafb	chr8	88592949	88592960	-	0.000	0.000	Merged-chr8-88592850-20
NR6239--MA0495.2.MAFF	chr19	58104746	58104766	-	0.000	0.000	Merged-chr19-58104736-34
NR9506--MA0659.1.MAFG	chr5	146655355	146655375	+	0.000	0.000	Merged-chr5-146655552-37
NR5952--MA0117.2.Mafb	chr19	5389875	5389886	-	0.000	0.000	Merged-chr19-5390000-41
NR9759--MA0591.1.Bach1::Mafk	chr6	56879661	56879675	+	0.000	0.000	Merged-chr6-56879700-29
NR5634--MA0591.1.Bach1::Mafk	chr18	36701894	36701908	-	0.000	0.000	Merged-chr18-36701992-26
NR11892--MA0089.1.MAFG::NFE2L1	chr9	45247677	45247682	-	0.000	0.000	Merged-chr9-45247703-45
NR10102--MA0591.1.Bach1::Mafk	chr6	120357145	120357159	-	0.000	0.000	Merged-chr6-120357332-52
NR8289--MA0089.1.MAFG::NFE2L1	chr4	63372194	63372199	-	0.000	0.000	Merged-chr4-63372139-33
NR8665--MA0089.1.MAFG::NFE2L1	chr4	137603742	137603747	-	0.000	0.000	Merged-chr4-137603877-24
NR8871--MA0591.1.Bach1::Mafk	chr5	5420345	5420359	-	0.000	0.000	Merged-chr5-5420247-39
NR9504--MA0591.1.Bach1::Mafk	chr5	146655358	146655372	+	0.000	0.000	Merged-chr5-146655552-37
NR6693--MA0089.1.MAFG::NFE2L1	chr2	91948008	91948013	+	0.000	0.000	Merged-chr2-91947953-20
NR5595--MA0591.1.Bach1::Mafk	chr18	15312818	15312832	+	0.000	0.000	Merged-chr18-15312953-83
NR12016--MA0501.1.MAF::NFE2	chr9	64747796	64747810	-	0.000	0.000	Merged-chr9-64747919-11
NR6300--MA0659.1.MAFG	chr2	3742585	3742605	-	0.000	0.000	Merged-chr2-3742681-34
NR171--MA0496.2.MAFK	chr1	53945958	53945976	-	0.000	0.000	Merged-chr1-53945969-15
NR5662--MA0117.2.Mafb	chr18	39185933	39185944	-	0.000	0.000	Merged-chr18-39185847-29
NR4920--MA0089.1.MAFG::NFE2L1	chr16	84800308	84800313	+	0.000	0.000	Merged-chr16-84800124-30
NR10204--MA0089.1.MAFG::NFE2L1	chr6	131404460	131404465	+	0.000	0.000	Merged-chr6-131404505-15
NR118--MA0089.1.MAFG::NFE2L1	chr1	39559237	39559242	+	0.000	0.000	Merged-chr1-39559167-24
NR5191--MA0591.1.Bach1::Mafk	chr17	31176458	31176472	+	0.000	0.000	Merged-chr17-31176516-21
NR10879--MA0591.1.Bach1::Mafk	chr7	110237663	110237677	-	0.000	0.000	Merged-chr7-110237722-33
NR11900--MA0591.1.Bach1::Mafk	chr9	48817501	48817515	+	0.000	0.000	Merged-chr9-48817420-28
NR7057--MA0501.1.MAF::NFE2	chr2	144753639	144753653	-	0.000	0.000	Merged-chr2-144753678-53
NR11365--MA0591.1.Bach1::Mafk	chr8	71587146	71587160	+	0.000	0.000	Merged-chr8-71587200-14
NR6136--MA0089.1.MAFG::NFE2L1	chr19	41366776	41366781	-	0.000	0.000	Merged-chr19-41366765-21
NR1654--MA0089.1.MAFG::NFE2L1	chr10	122748724	122748729	-	0.000	0.000	Merged-chr10-122748643-28
NR11766--MA0495.2.MAFF	chr8	128148522	128148542	-	0.000	0.000	Merged-chr8-128148641-36
NR6746--MA0496.2.MAFK	chr2	103662264	103662282	-	0.000	0.000	Merged-chr2-103662304-51
NR11768--MA0659.1.MAFG	chr8	128148522	128148542	-	0.000	0.000	Merged-chr8-128148641-36
