#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed
NR25056--MA0741.1.KLF16	chr16	78328218	78328228	-	0.000	0.000	Merged-chr16-78328138-10
NR57436--MA0741.1.KLF16	chr7	84149143	84149153	-	0.000	0.000	Merged-chr7-84149073-24
NR55221--MA0599.1.KLF5	chr7	4464608	4464617	+	0.000	0.000	Merged-chr7-4464501-45
NR17905--MA1107.1.KLF9	chr13	105047442	105047454	-	0.000	0.000	Merged-chr13-105047400-59
NR59473--MA0599.1.KLF5	chr7	139295887	139295896	-	0.000	0.000	Merged-chr7-139295944-32
NR17458--MA0493.1.Klf1	chr13	95524226	95524236	+	0.000	0.000	Merged-chr13-95524264-2
NR3821--MA0599.1.KLF5	chr1	178530678	178530687	+	0.000	0.000	Merged-chr1-178530666-29
NR34611--MA1107.1.KLF9	chr2	70425767	70425779	+	0.000	0.000	Merged-chr2-70425902-24
NR6727--MA1107.1.KLF9	chr10	81247980	81247992	+	0.000	0.000	Merged-chr10-81248090-40
NR52332--MA0741.1.KLF16	chr6	55057598	55057608	+	0.000	0.000	Merged-chr6-55057514-12
NR57933--MA0493.1.Klf1	chr7	102347594	102347604	+	0.000	0.000	Merged-chr7-102347477-20
NR25688--MA0741.1.KLF16	chr17	5138643	5138653	-	0.000	0.000	Merged-chr17-5138884-51
NR33073--MA0741.1.KLF16	chr2	10825983	10825993	+	0.000	0.000	Merged-chr2-10825844-43
NR36237--MA0599.1.KLF5	chr2	130642932	130642941	-	0.000	0.000	Merged-chr2-130642738-65
NR2718--MA0599.1.KLF5	chr1	151698130	151698139	-	0.000	0.000	Merged-chr1-151698105-31
NR34943--MA0493.1.Klf1	chr2	77277806	77277816	-	0.000	0.000	Merged-chr2-77277826-6
NR963--MA0741.1.KLF16	chr1	69499065	69499075	-	0.000	0.000	Merged-chr1-69499196-51
NR48011--MA0742.1.Klf12	chr5	72844495	72844509	+	0.000	0.000	Merged-chr5-72844506-23
NR59129--MA0741.1.KLF16	chr7	129774305	129774315	+	0.000	0.000	Merged-chr7-129774380-36
NR60814--MA0599.1.KLF5	chr8	61606944	61606953	+	0.000	0.000	Merged-chr8-61607091-30
NR28927--MA1107.1.KLF9	chr17	88668530	88668542	+	0.000	0.000	Merged-chr17-88668603-31
NR65105--MA0741.1.KLF16	chr9	78845415	78845425	-	0.000	0.000	Merged-chr9-78845462-22
NR21429--MA0599.1.KLF5	chr15	36727838	36727847	+	0.000	0.000	Merged-chr15-36727812-56
NR24263--MA1107.1.KLF9	chr16	33745249	33745261	-	0.000	0.000	Merged-chr16-33745427-22
NR44610--MA0740.1.KLF14	chr4	123183450	123183463	-	0.000	0.000	Merged-chr4-123183397-53
NR41632--MA0741.1.KLF16	chr3	146045216	146045226	-	0.000	0.000	Merged-chr3-146045142-29
NR38436--MA0742.1.Klf12	chr3	9500013	9500027	-	0.000	0.000	Merged-chr3-9499976-58
NR11748--MA0599.1.KLF5	chr11	98786613	98786622	-	0.000	0.000	Merged-chr11-98786782-44
NR65028--MA0599.1.KLF5	chr9	77430856	77430865	+	0.000	0.000	Merged-chr9-77430950-36
NR48013--MA0599.1.KLF5	chr5	72844503	72844512	+	0.000	0.000	Merged-chr5-72844506-23
NR48015--MA0741.1.KLF16	chr5	72844496	72844506	+	0.000	0.000	Merged-chr5-72844506-23
NR16500--MA0742.1.Klf12	chr13	52976726	52976740	+	0.000	0.000	Merged-chr13-52976718-35
NR51105--MA0740.1.KLF14	chr5	146867616	146867629	+	0.000	0.000	Merged-chr5-146867667-49
NR15672--MA1107.1.KLF9	chr13	13492078	13492090	+	0.000	0.000	Merged-chr13-13492146-24
NR31709--MA0741.1.KLF16	chr19	24166913	24166923	+	0.000	0.000	Merged-chr19-24166764-51
NR62317--MA1107.1.KLF9	chr8	110929463	110929475	-	0.000	0.000	Merged-chr8-110929357-31
NR44759--MA0493.1.Klf1	chr4	126260942	126260952	-	0.000	0.000	Merged-chr4-126260949-19
NR2782--MA0741.1.KLF16	chr1	153740308	153740318	+	0.000	0.000	Merged-chr1-153740161-56
NR66569--MA1107.1.KLF9	chr9	118477724	118477736	-	0.000	0.000	Merged-chr9-118477763-16
NR5482--MA0599.1.KLF5	chr10	43706480	43706489	-	0.000	0.000	Merged-chr10-43706280-54
NR66573--MA0039.3.KLF4	chr9	118512857	118512867	-	0.000	0.000	Merged-chr9-118512920-16
NR49097--MA0039.3.KLF4	chr5	110343023	110343033	-	0.000	0.000	Merged-chr5-110342964-29
NR40682--MA0599.1.KLF5	chr3	121967722	121967731	+	0.000	0.000	Merged-chr3-121967857-57
NR9056--MA0741.1.KLF16	chr11	19019048	19019058	-	0.000	0.000	Merged-chr11-19019022-32
NR45648--MA0599.1.KLF5	chr4	138262443	138262452	+	0.000	0.000	Merged-chr4-138262353-56
NR13018--MA1107.1.KLF9	chr12	3781583	3781595	+	0.000	0.000	Merged-chr12-3781537-41
NR52467--MA0741.1.KLF16	chr6	65662242	65662252	+	0.000	0.000	Merged-chr6-65662238-38
NR16581--MA0741.1.KLF16	chr13	54789237	54789247	-	0.000	0.000	Merged-chr13-54789340-56
NR63985--MA0493.1.Klf1	chr9	44526738	44526748	+	0.000	0.000	Merged-chr9-44526635-59
NR41629--MA0599.1.KLF5	chr3	146045213	146045222	-	0.000	0.000	Merged-chr3-146045142-29
NR42074--MA0599.1.KLF5	chr3	154269932	154269941	+	0.000	0.000	Merged-chr3-154269984-40
NR5186--MA0741.1.KLF16	chr10	26373331	26373341	+	0.000	0.000	Merged-chr10-26373188-33
NR35601--MA0741.1.KLF16	chr2	106194374	106194384	+	0.000	0.000	Merged-chr2-106194531-13
NR57508--MA1107.1.KLF9	chr7	89842219	89842231	-	0.000	0.000	Merged-chr7-89842093-31
NR67696--MA0599.1.KLF5	chrX	100777163	100777172	+	0.000	0.000	Merged-chrX-100777014-69
NR36063--MA0599.1.KLF5	chr2	125189305	125189314	+	0.000	0.000	Merged-chr2-125189398-33
NR21335--MA0493.1.Klf1	chr15	31239986	31239996	+	0.000	0.000	Merged-chr15-31239940-27
NR55383--MA0599.1.KLF5	chr7	13278827	13278836	+	0.000	0.000	Merged-chr7-13278795-76
NR59813--MA1107.1.KLF9	chr7	144896405	144896417	-	0.000	0.000	Merged-chr7-144896188-46
NR6223--MA0599.1.KLF5	chr10	75932513	75932522	+	0.000	0.000	Merged-chr10-75932376-39
NR31622--MA0741.1.KLF16	chr19	19111314	19111324	-	0.000	0.000	Merged-chr19-19111184-72
NR49590--MA1107.1.KLF9	chr5	118710065	118710077	-	0.000	0.000	Merged-chr5-118710096-15
NR52608--MA0741.1.KLF16	chr6	72391045	72391055	-	0.000	0.000	Merged-chr6-72391108-3
NR30279--MA0039.3.KLF4	chr18	68195223	68195233	-	0.000	0.000	Merged-chr18-68195286-23
NR62470--MA0493.1.Klf1	chr8	115826671	115826681	-	0.000	0.000	Merged-chr8-115826691-38
NR58291--MA0741.1.KLF16	chr7	113419648	113419658	+	0.000	0.000	Merged-chr7-113419557-35
NR25004--MA0657.1.KLF13	chr16	76310889	76310906	-	0.000	0.000	Merged-chr16-76310830-49
NR13836--MA0740.1.KLF14	chr12	69853616	69853629	+	0.000	0.000	Merged-chr12-69853558-20
NR21334--MA0039.3.KLF4	chr15	31239988	31239998	+	0.000	0.000	Merged-chr15-31239940-27
NR12472--MA0741.1.KLF16	chr11	113866005	113866015	+	0.000	0.000	Merged-chr11-113865875-24
NR29758--MA0657.1.KLF13	chr18	54822919	54822936	+	0.000	0.000	Merged-chr18-54822886-30
NR28059--MA0742.1.Klf12	chr17	65884521	65884535	+	0.000	0.000	Merged-chr17-65884407-1
NR43818--MA0599.1.KLF5	chr4	99120547	99120556	-	0.000	0.000	Merged-chr4-99120724-28
NR21330--MA0740.1.KLF14	chr15	31239986	31239999	+	0.000	0.000	Merged-chr15-31239940-27
NR48--MA0493.1.Klf1	chr1	12875663	12875673	-	0.000	0.000	Merged-chr1-12875704-39
NR41204--MA0599.1.KLF5	chr3	135307629	135307638	+	0.000	0.000	Merged-chr3-135307763-66
NR51668--MA0493.1.Klf1	chr6	28878189	28878199	-	0.000	0.000	Merged-chr6-28878211-33
NR67355--MA1107.1.KLF9	chrX	48314744	48314756	+	0.000	0.000	Merged-chrX-48314836-34
NR30508--MA1107.1.KLF9	chr18	74216955	74216967	-	0.000	0.000	Merged-chr18-74216878-3
NR59510--MA0599.1.KLF5	chr7	139978771	139978780	-	0.000	0.000	Merged-chr7-139978703-39
NR51106--MA0657.1.KLF13	chr5	146867615	146867632	+	0.000	0.000	Merged-chr5-146867667-49
NR34554--MA1107.1.KLF9	chr2	68874162	68874174	+	0.000	0.000	Merged-chr2-68874057-78
NR47591--MA0741.1.KLF16	chr5	47983092	47983102	-	0.000	0.000	Merged-chr5-47983242-36
NR7321--MA0741.1.KLF16	chr10	94087500	94087510	+	0.000	0.000	Merged-chr10-94087553-20
NR12899--MA0741.1.KLF16	chr11	120631071	120631081	-	0.000	0.000	Merged-chr11-120630995-1
NR62871--MA0741.1.KLF16	chr8	122769457	122769467	-	0.000	0.000	Merged-chr8-122769435-21
NR46206--MA0742.1.Klf12	chr4	149854491	149854505	-	0.000	0.000	Merged-chr4-149854542-67
NR2446--MA0599.1.KLF5	chr1	138134538	138134547	+	0.000	0.000	Merged-chr1-138134522-12
NR10801--MA1107.1.KLF9	chr11	77887855	77887867	+	0.000	0.000	Merged-chr11-77887652-60
NR32164--MA1107.1.KLF9	chr19	42770731	42770743	-	0.000	0.000	Merged-chr19-42770693-24
NR65842--MA0039.3.KLF4	chr9	106071783	106071793	+	0.000	0.000	Merged-chr9-106071900-22
NR7318--MA0599.1.KLF5	chr10	94087495	94087504	+	0.000	0.000	Merged-chr10-94087553-20
NR58643--MA1107.1.KLF9	chr7	121734715	121734727	-	0.000	0.000	Merged-chr7-121734819-1
NR13544--MA0740.1.KLF14	chr12	46818533	46818546	-	0.000	0.000	Merged-chr12-46818433-12
NR38686--MA0493.1.Klf1	chr3	31145840	31145850	+	0.000	0.000	Merged-chr3-31145985-42
NR56911--MA1107.1.KLF9	chr7	64012062	64012074	-	0.000	0.000	Merged-chr7-64011985-78
NR37002--MA0741.1.KLF16	chr2	153003077	153003087	-	0.000	0.000	Merged-chr2-153002914-29
NR63409--MA0741.1.KLF16	chr9	15531413	15531423	+	0.000	0.000	Merged-chr9-15531370-12
NR15261--MA1107.1.KLF9	chr12	112629099	112629111	-	0.000	0.000	Merged-chr12-112629266-49
NR13068--MA1107.1.KLF9	chr12	8313501	8313513	+	0.000	0.000	Merged-chr12-8313491-60
NR40016--MA0599.1.KLF5	chr3	98406700	98406709	+	0.000	0.000	Merged-chr3-98406778-20
NR67344--MA0742.1.Klf12	chrX	48314738	48314752	+	0.000	0.000	Merged-chrX-48314836-34
NR14306--MA0741.1.KLF16	chr12	84851596	84851606	+	0.000	0.000	Merged-chr12-84851532-12
NR7327--MA0599.1.KLF5	chr10	94426368	94426377	+	0.000	0.000	Merged-chr10-94426440-41
NR65996--MA0599.1.KLF5	chr9	107719432	107719441	+	0.000	0.000	Merged-chr9-107719377-27
NR38685--MA0039.3.KLF4	chr3	31145842	31145852	+	0.000	0.000	Merged-chr3-31145985-42
NR38042--MA0599.1.KLF5	chr2	172940357	172940366	-	0.000	0.000	Merged-chr2-172940358-59
NR53325--MA0599.1.KLF5	chr6	100833748	100833757	+	0.000	0.000	Merged-chr6-100833859-73
NR4504--MA1107.1.KLF9	chr1	191486774	191486786	-	0.000	0.000	Merged-chr1-191486758-12
NR61762--MA0599.1.KLF5	chr8	88604238	88604247	-	0.000	0.000	Merged-chr8-88604204-17
NR37809--MA0741.1.KLF16	chr2	168525574	168525584	+	0.000	0.000	Merged-chr2-168525389-54
NR6950--MA0741.1.KLF16	chr10	84904054	84904064	+	0.000	0.000	Merged-chr10-84904074-24
NR56696--MA0039.3.KLF4	chr7	47104248	47104258	-	0.000	0.000	Merged-chr7-47104097-36
NR47602--MA0741.1.KLF16	chr5	51552661	51552671	+	0.000	0.000	Merged-chr5-51552540-96
NR44757--MA0742.1.Klf12	chr4	126260938	126260952	-	0.000	0.000	Merged-chr4-126260949-19
NR8882--MA0741.1.KLF16	chr11	4390659	4390669	-	0.000	0.000	Merged-chr11-4390804-16
NR48010--MA0740.1.KLF14	chr5	72844495	72844508	+	0.000	0.000	Merged-chr5-72844506-23
NR44501--MA0599.1.KLF5	chr4	120731147	120731156	-	0.000	0.000	Merged-chr4-120731377-66
NR60739--MA0493.1.Klf1	chr8	57503830	57503840	-	0.000	0.000	Merged-chr8-57503871-22
NR21331--MA0657.1.KLF13	chr15	31239985	31240002	+	0.000	0.000	Merged-chr15-31239940-27
NR60455--MA0741.1.KLF16	chr8	34689214	34689224	-	0.000	0.000	Merged-chr8-34689039-1
NR56907--MA1107.1.KLF9	chr7	64012054	64012066	-	0.000	0.000	Merged-chr7-64011985-78
NR60556--MA0599.1.KLF5	chr8	40634797	40634806	-	0.000	0.000	Merged-chr8-40634821-50
NR56744--MA0741.1.KLF16	chr7	49494956	49494966	+	0.000	0.000	Merged-chr7-49494921-17
NR31051--MA0741.1.KLF16	chr18	89769540	89769550	-	0.000	0.000	Merged-chr18-89769377-55
NR12409--MA0493.1.Klf1	chr11	113187328	113187338	+	0.000	0.000	Merged-chr11-113187180-1
NR3419--MA1107.1.KLF9	chr1	168432374	168432386	+	0.000	0.000	Merged-chr1-168432368-41
NR29432--MA1107.1.KLF9	chr18	35776623	35776635	+	0.000	0.000	Merged-chr18-35776738-19
NR4746--MA1107.1.KLF9	chr1	195241734	195241746	+	0.000	0.000	Merged-chr1-195241714-52
NR13307--MA0599.1.KLF5	chr12	24831551	24831560	+	0.000	0.000	Merged-chr12-24831521-84
NR17433--MA0493.1.Klf1	chr13	94144784	94144794	-	0.000	0.000	Merged-chr13-94144726-31
NR51835--MA0599.1.KLF5	chr6	37299261	37299270	+	0.000	0.000	Merged-chr6-37299169-1
NR39119--MA0599.1.KLF5	chr3	65352870	65352879	-	0.000	0.000	Merged-chr3-65352895-35
NR61059--MA0493.1.Klf1	chr8	70619130	70619140	+	0.000	0.000	Merged-chr8-70619084-21
NR52495--MA0599.1.KLF5	chr6	66973327	66973336	+	0.000	0.000	Merged-chr6-66973310-7
NR13013--MA0740.1.KLF14	chr12	3781583	3781596	+	0.000	0.000	Merged-chr12-3781537-41
NR44499--MA0742.1.Klf12	chr4	120731128	120731142	-	0.000	0.000	Merged-chr4-120731377-66
NR10941--MA0493.1.Klf1	chr11	79660494	79660504	+	0.000	0.000	Merged-chr11-79660589-44
NR3316--MA1107.1.KLF9	chr1	166001337	166001349	+	0.000	0.000	Merged-chr1-166001315-27
NR25184--MA0741.1.KLF16	chr16	89835877	89835887	+	0.000	0.000	Merged-chr16-89835915-50
NR61495--MA0740.1.KLF14	chr8	84067330	84067343	-	0.000	0.000	Merged-chr8-84067412-4
NR41235--MA1107.1.KLF9	chr3	135579481	135579493	-	0.000	0.000	Merged-chr3-135579457-44
NR21725--MA1107.1.KLF9	chr15	59019024	59019036	+	0.000	0.000	Merged-chr15-59019141-20
NR40119--MA0493.1.Klf1	chr3	101598151	101598161	+	0.000	0.000	Merged-chr3-101598272-22
NR39545--MA0741.1.KLF16	chr3	88493103	88493113	-	0.000	0.000	Merged-chr3-88493035-35
NR36306--MA0599.1.KLF5	chr2	132180654	132180663	+	0.000	0.000	Merged-chr2-132180846-32
NR39261--MA1107.1.KLF9	chr3	70104548	70104560	+	0.000	0.000	Merged-chr3-70104405-79
NR23206--MA0039.3.KLF4	chr15	99223645	99223655	-	0.000	0.000	Merged-chr15-99223705-10
NR38145--MA0493.1.Klf1	chr2	174018093	174018103	+	0.000	0.000	Merged-chr2-174018150-40
NR56281--MA0493.1.Klf1	chr7	35119050	35119060	-	0.000	0.000	Merged-chr7-35119008-87
NR63141--MA0740.1.KLF14	chr8	126699187	126699200	-	0.000	0.000	Merged-chr8-126699390-72
NR63239--MA0741.1.KLF16	chr8	128333493	128333503	-	0.000	0.000	Merged-chr8-128333532-18
NR60877--MA0039.3.KLF4	chr8	67860358	67860368	+	0.000	0.000	Merged-chr8-67860375-11
NR48543--MA0599.1.KLF5	chr5	93268207	93268216	+	0.000	0.000	Merged-chr5-93268238-3
NR54102--MA0599.1.KLF5	chr6	128143626	128143635	-	0.000	0.000	Merged-chr6-128143679-59
NR33291--MA0493.1.Klf1	chr2	23006413	23006423	-	0.000	0.000	Merged-chr2-23006422-36
NR18667--MA0599.1.KLF5	chr14	18893963	18893972	-	0.000	0.000	Merged-chr14-18893829-80
NR61948--MA0742.1.Klf12	chr8	95534060	95534074	+	0.000	0.000	Merged-chr8-95534115-30
NR40169--MA0599.1.KLF5	chr3	103280631	103280640	-	0.000	0.000	Merged-chr3-103280513-5
NR52603--MA0740.1.KLF14	chr6	72391045	72391058	-	0.000	0.000	Merged-chr6-72391108-3
NR14607--MA0493.1.Klf1	chr12	100277002	100277012	-	0.000	0.000	Merged-chr12-100277058-24
NR62866--MA0599.1.KLF5	chr8	122769452	122769461	-	0.000	0.000	Merged-chr8-122769435-21
NR4120--MA0741.1.KLF16	chr1	184737941	184737951	+	0.000	0.000	Merged-chr1-184738115-15
NR37198--MA1107.1.KLF9	chr2	157119285	157119297	-	0.000	0.000	Merged-chr2-157119108-55
NR52170--MA0740.1.KLF14	chr6	51442421	51442434	-	0.000	0.000	Merged-chr6-51442349-19
NR65767--MA0039.3.KLF4	chr9	104373467	104373477	+	0.000	0.000	Merged-chr9-104373447-21
NR46134--MA1107.1.KLF9	chr4	148444833	148444845	-	0.000	0.000	Merged-chr4-148444677-50
NR63816--MA1107.1.KLF9	chr9	37236234	37236246	-	0.000	0.000	Merged-chr9-37236124-32
NR44760--MA1107.1.KLF9	chr4	126260940	126260952	-	0.000	0.000	Merged-chr4-126260949-19
NR54321--MA0493.1.Klf1	chr6	134425244	134425254	+	0.000	0.000	Merged-chr6-134425334-10
NR63144--MA0039.3.KLF4	chr8	126721955	126721965	-	0.000	0.000	Merged-chr8-126721826-22
NR2692--MA0741.1.KLF16	chr1	151125221	151125231	+	0.000	0.000	Merged-chr1-151125310-30
NR43820--MA0741.1.KLF16	chr4	99120546	99120556	-	0.000	0.000	Merged-chr4-99120724-28
NR31457--MA0741.1.KLF16	chr19	10688913	10688923	-	0.000	0.000	Merged-chr19-10688915-74
NR12471--MA0039.3.KLF4	chr11	113866006	113866016	+	0.000	0.000	Merged-chr11-113865875-24
NR57339--MA0039.3.KLF4	chr7	80889954	80889964	-	0.000	0.000	Merged-chr7-80889840-60
NR49096--MA0599.1.KLF5	chr5	110343025	110343034	-	0.000	0.000	Merged-chr5-110342964-29
NR64449--MA0039.3.KLF4	chr9	61779367	61779377	+	0.000	0.000	Merged-chr9-61779248-32
NR66177--MA0740.1.KLF14	chr9	111439054	111439067	-	0.000	0.000	Merged-chr9-111439119-15
NR28156--MA0599.1.KLF5	chr17	70848973	70848982	-	0.000	0.000	Merged-chr17-70849129-6
NR48887--MA1107.1.KLF9	chr5	105114868	105114880	-	0.000	0.000	Merged-chr5-105114898-53
NR38760--MA0741.1.KLF16	chr3	36613428	36613438	+	0.000	0.000	Merged-chr3-36613405-48
NR38634--MA0599.1.KLF5	chr3	27984086	27984095	-	0.000	0.000	Merged-chr3-27984101-47
NR31555--MA0493.1.Klf1	chr19	16373323	16373333	+	0.000	0.000	Merged-chr19-16373273-16
NR37857--MA0493.1.Klf1	chr2	168742133	168742143	+	0.000	0.000	Merged-chr2-168742095-110
NR27281--MA0740.1.KLF14	chr17	37028971	37028984	+	0.000	0.000	Merged-chr17-37028850-28
NR63327--MA0741.1.KLF16	chr9	11559554	11559564	-	0.000	0.000	Merged-chr9-11559688-28
NR28053--MA0599.1.KLF5	chr17	65724364	65724373	-	0.000	0.000	Merged-chr17-65724346-42
NR451--MA0741.1.KLF16	chr1	39702691	39702701	-	0.000	0.000	Merged-chr1-39702774-23
NR53688--MA0740.1.KLF14	chr6	116682493	116682506	-	0.000	0.000	Merged-chr6-116682504-22
NR46126--MA0493.1.Klf1	chr4	148444819	148444829	-	0.000	0.000	Merged-chr4-148444677-50
NR49718--MA0493.1.Klf1	chr5	122209816	122209826	+	0.000	0.000	Merged-chr5-122209892-38
NR56692--MA0742.1.Klf12	chr7	47104246	47104260	-	0.000	0.000	Merged-chr7-47104097-36
NR6734--MA1107.1.KLF9	chr10	81247994	81248006	+	0.000	0.000	Merged-chr10-81248090-40
NR52292--MA0740.1.KLF14	chr6	54760113	54760126	+	0.000	0.000	Merged-chr6-54760187-57
NR10198--MA1107.1.KLF9	chr11	62574647	62574659	-	0.000	0.000	Merged-chr11-62574522-33
NR34019--MA0493.1.Klf1	chr2	37765371	37765381	-	0.000	0.000	Merged-chr2-37765232-35
NR46173--MA0740.1.KLF14	chr4	149403249	149403262	+	0.000	0.000	Merged-chr4-149403248-29
NR10939--MA0742.1.Klf12	chr11	79660494	79660508	+	0.000	0.000	Merged-chr11-79660589-44
NR11833--MA0741.1.KLF16	chr11	100397824	100397834	+	0.000	0.000	Merged-chr11-100397787-45
NR34606--MA0599.1.KLF5	chr2	70425766	70425775	+	0.000	0.000	Merged-chr2-70425902-24
NR6031--MA0741.1.KLF16	chr10	69571691	69571701	-	0.000	0.000	Merged-chr10-69571391-44
NR38067--MA0742.1.Klf12	chr2	173038216	173038230	-	0.000	0.000	Merged-chr2-173038301-38
NR35667--MA0741.1.KLF16	chr2	112240503	112240513	+	0.000	0.000	Merged-chr2-112240570-1
NR63531--MA0599.1.KLF5	chr9	21918142	21918151	+	0.000	0.000	Merged-chr9-21918186-50
NR30278--MA0599.1.KLF5	chr18	68195225	68195234	-	0.000	0.000	Merged-chr18-68195286-23
NR23917--MA0742.1.Klf12	chr16	20141018	20141032	+	0.000	0.000	Merged-chr16-20141134-72
NR52173--MA0493.1.Klf1	chr6	51442424	51442434	-	0.000	0.000	Merged-chr6-51442349-19
NR300--MA0599.1.KLF5	chr1	34831629	34831638	-	0.000	0.000	Merged-chr1-34831505-37
NR51502--MA0741.1.KLF16	chr6	14900919	14900929	-	0.000	0.000	Merged-chr6-14901186-100
NR28164--MA1107.1.KLF9	chr17	70886786	70886798	-	0.000	0.000	Merged-chr17-70886838-34
NR52760--MA0599.1.KLF5	chr6	82402609	82402618	+	0.000	0.000	Merged-chr6-82402722-33
NR7308--MA0657.1.KLF13	chr10	93933173	93933190	-	0.000	0.000	Merged-chr10-93933103-29
NR52294--MA0493.1.Klf1	chr6	54760113	54760123	+	0.000	0.000	Merged-chr6-54760187-57
NR966--MA1107.1.KLF9	chr1	69499066	69499078	-	0.000	0.000	Merged-chr1-69499196-51
NR26858--MA0493.1.Klf1	chr17	31753548	31753558	+	0.000	0.000	Merged-chr17-31753653-23
NR12284--MA1107.1.KLF9	chr11	109356816	109356828	-	0.000	0.000	Merged-chr11-109356957-22
NR60499--MA0599.1.KLF5	chr8	35826522	35826531	+	0.000	0.000	Merged-chr8-35826369-102
NR52171--MA0657.1.KLF13	chr6	51442418	51442435	-	0.000	0.000	Merged-chr6-51442349-19
NR31050--MA0599.1.KLF5	chr18	89769541	89769550	-	0.000	0.000	Merged-chr18-89769377-55
NR15871--MA0039.3.KLF4	chr13	28500906	28500916	+	0.000	0.000	Merged-chr13-28501043-27
NR65106--MA0657.1.KLF13	chr9	78845548	78845565	+	0.000	0.000	Merged-chr9-78845462-22
NR22404--MA1107.1.KLF9	chr15	80219313	80219325	-	0.000	0.000	Merged-chr15-80219438-40
NR33183--MA0657.1.KLF13	chr2	17855796	17855813	-	0.000	0.000	Merged-chr2-17855738-13
NR46735--MA0742.1.Klf12	chr5	14514923	14514937	-	0.000	0.000	Merged-chr5-14515082-42
NR28921--MA0742.1.Klf12	chr17	88668541	88668555	+	0.000	0.000	Merged-chr17-88668603-31
NR52293--MA0039.3.KLF4	chr6	54760115	54760125	+	0.000	0.000	Merged-chr6-54760187-57
NR7708--MA1107.1.KLF9	chr10	110952118	110952130	+	0.000	0.000	Merged-chr10-110952029-21
NR28165--MA0741.1.KLF16	chr17	70888108	70888118	+	0.000	0.000	Merged-chr17-70888088-40
NR6725--MA0039.3.KLF4	chr10	81247884	81247894	-	0.000	0.000	Merged-chr10-81248090-40
NR67343--MA0740.1.KLF14	chrX	48314738	48314751	+	0.000	0.000	Merged-chrX-48314836-34
NR3259--MA1107.1.KLF9	chr1	165091985	165091997	+	0.000	0.000	Merged-chr1-165091937-36
NR51101--MA0741.1.KLF16	chr5	146860698	146860708	+	0.000	0.000	Merged-chr5-146860764-19
NR33238--MA0741.1.KLF16	chr2	18984635	18984645	-	0.000	0.000	Merged-chr2-18984447-62
NR23204--MA0740.1.KLF14	chr15	99223644	99223657	-	0.000	0.000	Merged-chr15-99223705-10
NR65053--MA0599.1.KLF5	chr9	77954647	77954656	-	0.000	0.000	Merged-chr9-77954587-30
NR10203--MA1107.1.KLF9	chr11	62574657	62574669	-	0.000	0.000	Merged-chr11-62574522-33
NR21799--MA0599.1.KLF5	chr15	62181616	62181625	-	0.000	0.000	Merged-chr15-62181612-21
NR38481--MA0741.1.KLF16	chr3	10212202	10212212	-	0.000	0.000	Merged-chr3-10212114-17
NR8879--MA0741.1.KLF16	chr11	4390656	4390666	-	0.000	0.000	Merged-chr11-4390804-16
NR28062--MA0493.1.Klf1	chr17	65884521	65884531	+	0.000	0.000	Merged-chr17-65884407-1
NR52606--MA0741.1.KLF16	chr6	72391043	72391053	-	0.000	0.000	Merged-chr6-72391108-3
NR47380--MA0742.1.Klf12	chr5	34637179	34637193	+	0.000	0.000	Merged-chr5-34637135-1
NR59229--MA1107.1.KLF9	chr7	132317387	132317399	-	0.000	0.000	Merged-chr7-132317352-2
NR18559--MA0039.3.KLF4	chr14	7929179	7929189	-	0.000	0.000	Merged-chr14-7929252-11
NR55693--MA0741.1.KLF16	chr7	19822812	19822822	+	0.000	0.000	Merged-chr7-19822815-38
NR36310--MA0741.1.KLF16	chr2	132180758	132180768	-	0.000	0.000	Merged-chr2-132180846-32
NR57083--MA0740.1.KLF14	chr7	75397645	75397658	+	0.000	0.000	Merged-chr7-75397713-20
NR46129--MA0742.1.Klf12	chr4	148444831	148444845	-	0.000	0.000	Merged-chr4-148444677-50
NR28066--MA1107.1.KLF9	chr17	65884528	65884540	+	0.000	0.000	Merged-chr17-65884407-1
NR14216--MA0741.1.KLF16	chr12	82166463	82166473	-	0.000	0.000	Merged-chr12-82166286-58
NR43134--MA1107.1.KLF9	chr4	55531458	55531470	+	0.000	0.000	Merged-chr4-55531486-7
NR45673--MA0599.1.KLF5	chr4	139086350	139086359	+	0.000	0.000	Merged-chr4-139086245-11
NR24494--MA0039.3.KLF4	chr16	45261509	45261519	+	0.000	0.000	Merged-chr16-45261551-46
NR61052--MA0599.1.KLF5	chr8	70619090	70619099	+	0.000	0.000	Merged-chr8-70619084-21
NR38684--MA0599.1.KLF5	chr3	31145841	31145850	+	0.000	0.000	Merged-chr3-31145985-42
NR24261--MA0741.1.KLF16	chr16	33745250	33745260	-	0.000	0.000	Merged-chr16-33745427-22
NR29269--MA0741.1.KLF16	chr18	25591058	25591068	+	0.000	0.000	Merged-chr18-25591016-9
