#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed
NR14799--MA0089.1.MAFG::NFE2L1	chr9	123923470	123923475	+	0.000	0.000	Merged-chr9-123923476-12
NR13991--MA0501.1.MAF::NFE2	chr8	123051729	123051743	+	0.000	0.000	Merged-chr8-123051694-23
NR11374--MA0591.1.Bach1::Mafk	chr5	137857144	137857158	+	0.000	0.000	Merged-chr5-137857044-20
NR1899--MA0495.2.MAFF	chr10	98776481	98776501	-	0.000	0.000	Merged-chr10-98776574-38
NR2516--MA0117.2.Mafb	chr11	72961928	72961939	+	0.000	0.000	Merged-chr11-72961970-1
NR2454--MA0089.1.MAFG::NFE2L1	chr11	61629876	61629881	+	0.000	0.000	Merged-chr11-61629890-18
NR5859--MA0089.1.MAFG::NFE2L1	chr16	64757610	64757615	-	0.000	0.000	Merged-chr16-64757779-2
NR7643--MA0117.2.Mafb	chr2	38510262	38510273	+	0.000	0.000	Merged-chr2-38510276-11
NR1894--MA0496.2.MAFK	chr10	96588456	96588474	-	0.000	0.000	Merged-chr10-96588454-52
NR1956--MA0591.1.Bach1::Mafk	chr10	111478830	111478844	+	0.000	0.000	Merged-chr10-111478939-8
NR5353--MA0089.1.MAFG::NFE2L1	chr15	82112073	82112078	+	0.000	0.000	Merged-chr15-82112003-17
NR6501--MA0591.1.Bach1::Mafk	chr17	71214244	71214258	-	0.000	0.000	Merged-chr17-71214238-2
NR4851--MA0495.2.MAFF	chr14	99266001	99266021	-	0.000	0.000	Merged-chr14-99266048-28
NR4639--MA0089.1.MAFG::NFE2L1	chr14	60129741	60129746	+	0.000	0.000	Merged-chr14-60129717-50
NR2956--MA0089.1.MAFG::NFE2L1	chr12	36241354	36241359	+	0.000	0.000	Merged-chr12-36241330-19
NR5761--MA0591.1.Bach1::Mafk	chr16	49982464	49982478	-	0.000	0.000	Merged-chr16-49982447-38
NR7254--MA0501.1.MAF::NFE2	chr19	21785904	21785918	-	0.000	0.000	Merged-chr19-21785964-7
NR2436--MA0117.2.Mafb	chr11	58830091	58830102	+	0.000	0.000	Merged-chr11-58829916-12
NR8242--MA0501.1.MAF::NFE2	chr2	120599709	120599723	-	0.000	0.000	Merged-chr2-120599667-35
NR4600--MA0496.2.MAFK	chr14	54168971	54168989	+	0.000	0.000	Merged-chr14-54168999-35
NR4856--MA0495.2.MAFF	chr14	99419087	99419107	-	0.000	0.000	Merged-chr14-99419131-33
NR9761--MA0501.1.MAF::NFE2	chr4	6925026	6925040	-	0.000	0.000	Merged-chr4-6924913-49
NR1369--MA0659.1.MAFG	chr10	19104809	19104829	-	0.000	0.000	Merged-chr10-19104955-55
NR2998--MA0496.2.MAFK	chr12	41044929	41044947	-	0.000	0.000	Merged-chr12-41044922-24
NR6494--MA0495.2.MAFF	chr17	71192185	71192205	+	0.000	0.000	Merged-chr17-71192022-46
NR10388--MA0495.2.MAFF	chr4	130902719	130902739	-	0.000	0.000	Merged-chr4-130902724-33
NR9219--MA0089.1.MAFG::NFE2L1	chr3	95909570	95909575	+	0.000	0.000	Merged-chr3-95909537-31
NR7409--MA0496.2.MAFK	chr19	56647499	56647517	+	0.000	0.000	Merged-chr19-56647541-17
NR1371--MA0496.2.MAFK	chr10	19104810	19104828	-	0.000	0.000	Merged-chr10-19104955-55
NR13142--MA0591.1.Bach1::Mafk	chr7	119861791	119861805	+	0.000	0.000	Merged-chr7-119861539-102
NR6062--MA0659.1.MAFG	chr16	94660247	94660267	-	0.000	0.000	Merged-chr16-94660460-20
NR3874--MA0591.1.Bach1::Mafk	chr13	63340115	63340129	-	0.000	0.000	Merged-chr13-63340215-26
NR1016--MA0591.1.Bach1::Mafk	chr1	171982429	171982443	-	0.000	0.000	Merged-chr1-171982372-30
NR14980--MA0591.1.Bach1::Mafk	chrX	113075049	113075063	+	0.000	0.000	Merged-chrX-113075086-29
NR8867--MA0089.1.MAFG::NFE2L1	chr3	32419991	32419996	-	0.000	0.000	Merged-chr3-32420097-47
NR7043--MA0089.1.MAFG::NFE2L1	chr18	79079970	79079975	+	0.000	0.000	Merged-chr18-79080001-30
NR265--MA0501.1.MAF::NFE2	chr1	61039451	61039465	-	0.000	0.000	Merged-chr1-61039499-28
NR10232--MA0591.1.Bach1::Mafk	chr4	108826234	108826248	+	0.000	0.000	Merged-chr4-108826101-25
NR10093--MA0495.2.MAFF	chr4	89351107	89351127	-	0.000	0.000	Merged-chr4-89351221-94
NR2386--MA0495.2.MAFF	chr11	52261027	52261047	+	0.000	0.000	Merged-chr11-52261104-14
NR1934--MA0089.1.MAFG::NFE2L1	chr10	107868999	107869004	+	0.000	0.000	Merged-chr10-107868994-49
NR7641--MA0501.1.MAF::NFE2	chr2	38472547	38472561	-	0.000	0.000	Merged-chr2-38472573-96
NR10173--MA0501.1.MAF::NFE2	chr4	102607995	102608009	-	0.000	0.000	Merged-chr4-102608095-59
NR14690--MA0495.2.MAFF	chr9	114787911	114787931	-	0.000	0.000	Merged-chr9-114787935-34
NR2388--MA0117.2.Mafb	chr11	52261036	52261047	-	0.000	0.000	Merged-chr11-52261104-14
NR4255--MA0089.1.MAFG::NFE2L1	chr13	114887326	114887331	-	0.000	0.000	Merged-chr13-114887526-35
NR1081--MA0496.2.MAFK	chr1	180403755	180403773	+	0.000	0.000	Merged-chr1-180403715-60
NR7383--MA0496.2.MAFK	chr19	53800798	53800816	-	0.000	0.000	Merged-chr19-53800770-48
NR6714--MA0496.2.MAFK	chr18	23828828	23828846	-	0.000	0.000	Merged-chr18-23828715-22
NR56--MA0089.1.MAFG::NFE2L1	chr1	16228115	16228120	+	0.000	0.000	Merged-chr1-16228179-38
NR1518--MA0659.1.MAFG	chr10	44716058	44716078	+	0.000	0.000	Merged-chr10-44715918-29
NR12842--MA0089.1.MAFG::NFE2L1	chr7	79249754	79249759	+	0.000	0.000	Merged-chr7-79249720-34
NR1892--MA0495.2.MAFF	chr10	96588455	96588475	+	0.000	0.000	Merged-chr10-96588454-52
NR14110--MA0117.2.Mafb	chr9	14171987	14171998	-	0.000	0.000	Merged-chr9-14171965-37
NR1997--MA0659.1.MAFG	chr10	117975555	117975575	-	0.000	0.000	Merged-chr10-117975710-27
NR8272--MA0089.1.MAFG::NFE2L1	chr2	128318445	128318450	+	0.000	0.000	Merged-chr2-128318457-15
NR4598--MA0591.1.Bach1::Mafk	chr14	54168973	54168987	-	0.000	0.000	Merged-chr14-54168999-35
NR12298--MA0591.1.Bach1::Mafk	chr6	129533741	129533755	+	0.000	0.000	Merged-chr6-129533929-3
NR5029--MA0501.1.MAF::NFE2	chr15	6555769	6555783	+	0.000	0.000	Merged-chr15-6555772-24
NR1084--MA0501.1.MAF::NFE2	chr1	180410497	180410511	+	0.000	0.000	Merged-chr1-180410391-12
NR6065--MA0496.2.MAFK	chr16	94660248	94660266	-	0.000	0.000	Merged-chr16-94660460-20
NR5177--MA0501.1.MAF::NFE2	chr15	51803018	51803032	+	0.000	0.000	Merged-chr15-51803142-36
NR1520--MA0496.2.MAFK	chr10	44716059	44716077	+	0.000	0.000	Merged-chr10-44715918-29
NR5471--MA0089.1.MAFG::NFE2L1	chr15	102234091	102234096	+	0.000	0.000	Merged-chr15-102234091-17
NR11622--MA0496.2.MAFK	chr6	29827424	29827442	-	0.000	0.000	Merged-chr6-29827502-39
NR8059--MA0591.1.Bach1::Mafk	chr2	103703495	103703509	+	0.000	0.000	Merged-chr2-103703560-39
NR8687--MA0089.1.MAFG::NFE2L1	chr2	173647314	173647319	+	0.000	0.000	Merged-chr2-173647246-19
NR12479--MA0501.1.MAF::NFE2	chr6	144804578	144804592	+	0.000	0.000	Merged-chr6-144804553-29
NR11517--MA0117.2.Mafb	chr6	8649424	8649435	+	0.000	0.000	Merged-chr6-8649574-3
NR3726--MA0089.1.MAFG::NFE2L1	chr13	43775259	43775264	+	0.000	0.000	Merged-chr13-43775108-65
NR2837--MA0591.1.Bach1::Mafk	chr11	121039415	121039429	+	0.000	0.000	Merged-chr11-121039238-62
NR11937--MA0089.1.MAFG::NFE2L1	chr6	87038091	87038096	-	0.000	0.000	Merged-chr6-87038264-54
NR7507--MA0117.2.Mafb	chr2	14312728	14312739	+	0.000	0.000	Merged-chr2-14312633-23
NR899--MA0591.1.Bach1::Mafk	chr1	156667645	156667659	-	0.000	0.000	Merged-chr1-156667693-16
NR11388--MA0591.1.Bach1::Mafk	chr5	140637021	140637035	-	0.000	0.000	Merged-chr5-140636895-23
NR1732--MA0591.1.Bach1::Mafk	chr10	80342883	80342897	+	0.000	0.000	Merged-chr10-80342924-40
NR4054--MA0501.1.MAF::NFE2	chr13	98124409	98124423	+	0.000	0.000	Merged-chr13-98124541-43
NR14043--MA0089.1.MAFG::NFE2L1	chr8	127381452	127381457	-	0.000	0.000	Merged-chr8-127381511-17
NR11835--MA0501.1.MAF::NFE2	chr6	67489009	67489023	+	0.000	0.000	Merged-chr6-67488899-31
NR1867--MA0089.1.MAFG::NFE2L1	chr10	94848656	94848661	+	0.000	0.000	Merged-chr10-94848627-43
NR12537--MA0591.1.Bach1::Mafk	chr7	3290321	3290335	-	0.000	0.000	Merged-chr7-3290343-35
NR14345--MA0089.1.MAFG::NFE2L1	chr9	61963452	61963457	-	0.000	0.000	Merged-chr9-61963614-17
NR4731--MA0501.1.MAF::NFE2	chr14	72778152	72778166	-	0.000	0.000	Merged-chr14-72778135-45
NR749--MA0591.1.Bach1::Mafk	chr1	136255312	136255326	-	0.000	0.000	Merged-chr1-136255292-47
NR705--MA0089.1.MAFG::NFE2L1	chr1	131003553	131003558	+	0.000	0.000	Merged-chr1-131003466-39
NR7626--MA0496.2.MAFK	chr2	34938704	34938722	+	0.000	0.000	Merged-chr2-34938971-69
NR9220--MA0089.1.MAFG::NFE2L1	chr3	95909548	95909553	-	0.000	0.000	Merged-chr3-95909537-31
NR10294--MA0501.1.MAF::NFE2	chr4	118060213	118060227	+	0.000	0.000	Merged-chr4-118060227-12
NR12499--MA0089.1.MAFG::NFE2L1	chr6	146081106	146081111	-	0.000	0.000	Merged-chr6-146081045-99
NR13701--MA0089.1.MAFG::NFE2L1	chr8	81756826	81756831	+	0.000	0.000	Merged-chr8-81756964-44
NR2996--MA0501.1.MAF::NFE2	chr12	41044934	41044948	+	0.000	0.000	Merged-chr12-41044922-24
NR14240--MA0591.1.Bach1::Mafk	chr9	43785164	43785178	-	0.000	0.000	Merged-chr9-43784994-20
NR7253--MA0659.1.MAFG	chr19	21785904	21785924	+	0.000	0.000	Merged-chr19-21785964-7
NR10829--MA0501.1.MAF::NFE2	chr5	43915423	43915437	-	0.000	0.000	Merged-chr5-43915438-14
NR9837--MA0089.1.MAFG::NFE2L1	chr4	32401551	32401556	-	0.000	0.000	Merged-chr4-32401611-9
NR11656--MA0501.1.MAF::NFE2	chr6	35256898	35256912	-	0.000	0.000	Merged-chr6-35256883-21
NR7381--MA0495.2.MAFF	chr19	53800797	53800817	-	0.000	0.000	Merged-chr19-53800770-48
NR14752--MA0117.2.Mafb	chr9	118519336	118519347	+	0.000	0.000	Merged-chr9-118519152-31
NR13322--MA0117.2.Mafb	chr7	140208190	140208201	-	0.000	0.000	Merged-chr7-140208138-66
NR7493--MA0495.2.MAFF	chr2	12406862	12406882	+	0.000	0.000	Merged-chr2-12406910-25
NR3865--MA0591.1.Bach1::Mafk	chr13	60897580	60897594	-	0.000	0.000	Merged-chr13-60897577-48
NR14078--MA0089.1.MAFG::NFE2L1	chr9	5623575	5623580	-	0.000	0.000	Merged-chr9-5623590-21
NR6712--MA0591.1.Bach1::Mafk	chr18	23828830	23828844	-	0.000	0.000	Merged-chr18-23828715-22
NR1512--MA0501.1.MAF::NFE2	chr10	44434871	44434885	+	0.000	0.000	Merged-chr10-44434814-22
NR1511--MA0659.1.MAFG	chr10	44434865	44434885	-	0.000	0.000	Merged-chr10-44434814-22
NR12480--MA0591.1.Bach1::Mafk	chr6	144909755	144909769	-	0.000	0.000	Merged-chr6-144909826-5
NR11147--MA0117.2.Mafb	chr5	103365681	103365692	-	0.000	0.000	Merged-chr5-103365833-17
NR7239--MA0591.1.Bach1::Mafk	chr19	20424391	20424405	-	0.000	0.000	Merged-chr19-20424322-22
NR5348--MA0501.1.MAF::NFE2	chr15	81308188	81308202	-	0.000	0.000	Merged-chr15-81308219-24
NR2329--MA0591.1.Bach1::Mafk	chr11	43703804	43703818	+	0.000	0.000	Merged-chr11-43703862-10
NR15043--MA0496.2.MAFK	chrX	142792381	142792399	+	0.000	0.000	Merged-chrX-142792362-24
NR6499--MA0501.1.MAF::NFE2	chr17	71192214	71192228	+	0.000	0.000	Merged-chr17-71192022-46
NR3394--MA0501.1.MAF::NFE2	chr12	110939576	110939590	+	0.000	0.000	Merged-chr12-110939619-21
NR2391--MA0501.1.MAF::NFE2	chr11	52261033	52261047	+	0.000	0.000	Merged-chr11-52261104-14
NR4995--MA0591.1.Bach1::Mafk	chr14	121830076	121830090	+	0.000	0.000	Merged-chr14-121830164-49
NR7495--MA0117.2.Mafb	chr2	12406871	12406882	-	0.000	0.000	Merged-chr2-12406910-25
NR10435--MA0089.1.MAFG::NFE2L1	chr4	137603742	137603747	-	0.000	0.000	Merged-chr4-137603877-24
NR6497--MA0496.2.MAFK	chr17	71192186	71192204	+	0.000	0.000	Merged-chr17-71192022-46
NR1505--MA0495.2.MAFF	chr10	44434865	44434885	+	0.000	0.000	Merged-chr10-44434814-22
NR14220--MA0659.1.MAFG	chr9	37576871	37576891	+	0.000	0.000	Merged-chr9-37576736-24
NR11743--MA0501.1.MAF::NFE2	chr6	54775914	54775928	-	0.000	0.000	Merged-chr6-54775842-27
NR6059--MA0495.2.MAFF	chr16	94660247	94660267	-	0.000	0.000	Merged-chr16-94660460-20
NR13993--MA0501.1.MAF::NFE2	chr8	123478996	123479010	-	0.000	0.000	Merged-chr8-123479004-26
NR8241--MA0591.1.Bach1::Mafk	chr2	120599712	120599726	-	0.000	0.000	Merged-chr2-120599667-35
NR3700--MA0659.1.MAFG	chr13	37783912	37783932	-	0.000	0.000	Merged-chr13-37783892-22
NR12266--MA0591.1.Bach1::Mafk	chr6	127302959	127302973	+	0.000	0.000	Merged-chr6-127302896-25
NR11377--MA0089.1.MAFG::NFE2L1	chr5	139161770	139161775	-	0.000	0.000	Merged-chr5-139161823-20
NR7096--MA0089.1.MAFG::NFE2L1	chr18	82513661	82513666	+	0.000	0.000	Merged-chr18-82513500-48
NR10333--MA0089.1.MAFG::NFE2L1	chr4	122983987	122983992	-	0.000	0.000	Merged-chr4-122983876-51
NR3701--MA0501.1.MAF::NFE2	chr13	37783918	37783932	+	0.000	0.000	Merged-chr13-37783892-22
NR5338--MA0089.1.MAFG::NFE2L1	chr15	80216733	80216738	-	0.000	0.000	Merged-chr15-80216610-25
NR11172--MA0496.2.MAFK	chr5	105306181	105306199	-	0.000	0.000	Merged-chr5-105306151-101
NR3940--MA0495.2.MAFF	chr13	76129008	76129028	-	0.000	0.000	Merged-chr13-76128854-26
NR1306--MA0089.1.MAFG::NFE2L1	chr10	8415554	8415559	-	0.000	0.000	Merged-chr10-8415419-33
NR2393--MA0496.2.MAFK	chr11	52261028	52261046	-	0.000	0.000	Merged-chr11-52261104-14
NR10089--MA0117.2.Mafb	chr4	89212361	89212372	+	0.000	0.000	Merged-chr4-89212481-15
NR1507--MA0117.2.Mafb	chr10	44434874	44434885	-	0.000	0.000	Merged-chr10-44434814-22
NR7628--MA0591.1.Bach1::Mafk	chr2	34958224	34958238	-	0.000	0.000	Merged-chr2-34958312-48
NR10937--MA0089.1.MAFG::NFE2L1	chr5	65867631	65867636	+	0.000	0.000	Merged-chr5-65867573-52
NR4382--MA0089.1.MAFG::NFE2L1	chr14	20023997	20024002	-	0.000	0.000	Merged-chr14-20024041-29
NR7852--MA0495.2.MAFF	chr2	72170813	72170833	-	0.000	0.000	Merged-chr2-72170854-84
NR9264--MA0591.1.Bach1::Mafk	chr3	101800042	101800056	-	0.000	0.000	Merged-chr3-101799931-6
NR5654--MA0496.2.MAFK	chr16	33769915	33769933	-	0.000	0.000	Merged-chr16-33769896-51
NR8277--MA0659.1.MAFG	chr2	128365990	128366010	-	0.000	0.000	Merged-chr2-128365920-27
NR5209--MA0659.1.MAFG	chr15	58655206	58655226	+	0.000	0.000	Merged-chr15-58655104-54
NR10922--MA0089.1.MAFG::NFE2L1	chr5	62772116	62772121	+	0.000	0.000	Merged-chr5-62772215-28
NR1514--MA0496.2.MAFK	chr10	44434866	44434884	-	0.000	0.000	Merged-chr10-44434814-22
NR14689--MA0495.2.MAFF	chr9	114787911	114787931	+	0.000	0.000	Merged-chr9-114787935-34
NR7256--MA0501.1.MAF::NFE2	chr19	21787357	21787371	+	0.000	0.000	Merged-chr19-21787247-22
NR846--MA0496.2.MAFK	chr1	153288165	153288183	+	0.000	0.000	Merged-chr1-153288080-22
NR14072--MA0089.1.MAFG::NFE2L1	chr8	128646936	128646941	+	0.000	0.000	Merged-chr8-128646767-27
NR11460--MA0089.1.MAFG::NFE2L1	chr5	148678739	148678744	+	0.000	0.000	Merged-chr5-148678733-37
NR14750--MA0089.1.MAFG::NFE2L1	chr9	118518969	118518974	+	0.000	0.000	Merged-chr9-118519152-31
NR6230--MA0495.2.MAFF	chr17	26572479	26572499	+	0.000	0.000	Merged-chr17-26572396-49
NR2722--MA0089.1.MAFG::NFE2L1	chr11	104667853	104667858	-	0.000	0.000	Merged-chr11-104667644-45
NR10218--MA0495.2.MAFF	chr4	106935341	106935361	+	0.000	0.000	Merged-chr4-106935357-64
NR1013--MA0089.1.MAFG::NFE2L1	chr1	170853753	170853758	+	0.000	0.000	Merged-chr1-170853758-47
NR7304--MA0659.1.MAFG	chr19	32935800	32935820	-	0.000	0.000	Merged-chr19-32935830-20
NR5838--MA0089.1.MAFG::NFE2L1	chr16	58709279	58709284	-	0.000	0.000	Merged-chr16-58709115-34
NR2747--MA0501.1.MAF::NFE2	chr11	109149702	109149716	+	0.000	0.000	Merged-chr11-109149686-17
NR1315--MA0089.1.MAFG::NFE2L1	chr10	10224829	10224834	+	0.000	0.000	Merged-chr10-10224805-34
NR165--MA0501.1.MAF::NFE2	chr1	40386291	40386305	+	0.000	0.000	Merged-chr1-40386352-39
NR6568--MA0501.1.MAF::NFE2	chr17	83483867	83483881	-	0.000	0.000	Merged-chr17-83484048-22
NR10391--MA0501.1.MAF::NFE2	chr4	131046480	131046494	-	0.000	0.000	Merged-chr4-131046528-13
NR10946--MA0089.1.MAFG::NFE2L1	chr5	66096305	66096310	-	0.000	0.000	Merged-chr5-66096250-16
NR7408--MA0501.1.MAF::NFE2	chr19	56647504	56647518	+	0.000	0.000	Merged-chr19-56647541-17
NR10921--MA0495.2.MAFF	chr5	62759528	62759548	+	0.000	0.000	Merged-chr5-62759603-62
NR12816--MA0089.1.MAFG::NFE2L1	chr7	74684201	74684206	+	0.000	0.000	Merged-chr7-74684112-21
NR5357--MA0591.1.Bach1::Mafk	chr15	83474198	83474212	+	0.000	0.000	Merged-chr15-83474258-63
NR5358--MA0501.1.MAF::NFE2	chr15	83474201	83474215	+	0.000	0.000	Merged-chr15-83474258-63
NR2720--MA0089.1.MAFG::NFE2L1	chr11	104631500	104631505	-	0.000	0.000	Merged-chr11-104631492-24
NR11182--MA0089.1.MAFG::NFE2L1	chr5	105718245	105718250	+	0.000	0.000	Merged-chr5-105718341-55
NR11207--MA0089.1.MAFG::NFE2L1	chr5	107649020	107649025	+	0.000	0.000	Merged-chr5-107649073-49
NR1515--MA0089.1.MAFG::NFE2L1	chr10	44700232	44700237	-	0.000	0.000	Merged-chr10-44700385-25
NR14687--MA0089.1.MAFG::NFE2L1	chr9	114510042	114510047	-	0.000	0.000	Merged-chr9-114509981-26
NR4601--MA0496.2.MAFK	chr14	54168971	54168989	-	0.000	0.000	Merged-chr14-54168999-35
NR14530--MA0591.1.Bach1::Mafk	chr9	95151982	95151996	+	0.000	0.000	Merged-chr9-95151869-50
NR11205--MA0496.2.MAFK	chr5	107646129	107646147	+	0.000	0.000	Merged-chr5-107646170-26
NR13583--MA0501.1.MAF::NFE2	chr8	68674322	68674336	+	0.000	0.000	Merged-chr8-68674402-29
NR6495--MA0495.2.MAFF	chr17	71192185	71192205	-	0.000	0.000	Merged-chr17-71192022-46
NR13725--MA0496.2.MAFK	chr8	84825733	84825751	+	0.000	0.000	Merged-chr8-84825845-44
NR9838--MA0117.2.Mafb	chr4	32405326	32405337	+	0.000	0.000	Merged-chr4-32405236-4
NR4618--MA0501.1.MAF::NFE2	chr14	55913540	55913554	+	0.000	0.000	Merged-chr14-55913661-13
NR3170--MA0591.1.Bach1::Mafk	chr12	84417262	84417276	+	0.000	0.000	Merged-chr12-84417394-49
NR1237--MA0089.1.MAFG::NFE2L1	chr1	191499940	191499945	+	0.000	0.000	Merged-chr1-191499977-31
NR14316--MA0591.1.Bach1::Mafk	chr9	55209112	55209126	-	0.000	0.000	Merged-chr9-55209102-59
NR2744--MA0089.1.MAFG::NFE2L1	chr11	108223095	108223100	-	0.000	0.000	Merged-chr11-108223138-56
NR1324--MA0089.1.MAFG::NFE2L1	chr10	12842754	12842759	-	0.000	0.000	Merged-chr10-12842715-46
NR3673--MA0089.1.MAFG::NFE2L1	chr13	32993542	32993547	-	0.000	0.000	Merged-chr13-32993550-50
NR10088--MA0089.1.MAFG::NFE2L1	chr4	89178073	89178078	+	0.000	0.000	Merged-chr4-89178152-23
NR4049--MA0089.1.MAFG::NFE2L1	chr13	97406726	97406731	+	0.000	0.000	Merged-chr13-97406780-35
NR13754--MA0089.1.MAFG::NFE2L1	chr8	88151177	88151182	-	0.000	0.000	Merged-chr8-88151137-23
NR14394--MA0089.1.MAFG::NFE2L1	chr9	73068535	73068540	+	0.000	0.000	Merged-chr9-73068515-27
NR8041--MA0501.1.MAF::NFE2	chr2	102813058	102813072	+	0.000	0.000	Merged-chr2-102812992-26
NR14147--MA0591.1.Bach1::Mafk	chr9	21609997	21610011	-	0.000	0.000	Merged-chr9-21610100-42
NR5412--MA0117.2.Mafb	chr15	93917102	93917113	+	0.000	0.000	Merged-chr15-93917055-16
NR2387--MA0495.2.MAFF	chr11	52261027	52261047	-	0.000	0.000	Merged-chr11-52261104-14
NR13161--MA0089.1.MAFG::NFE2L1	chr7	122402357	122402362	-	0.000	0.000	Merged-chr7-122402258-36
NR6899--MA0591.1.Bach1::Mafk	chr18	62921997	62922011	+	0.000	0.000	Merged-chr18-62921831-1
NR8511--MA0501.1.MAF::NFE2	chr2	154732949	154732963	+	0.000	0.000	Merged-chr2-154732933-29
NR7180--MA0117.2.Mafb	chr19	9038340	9038351	+	0.000	0.000	Merged-chr19-9038318-39
NR1402--MA0117.2.Mafb	chr10	21976504	21976515	-	0.000	0.000	Merged-chr10-21976372-39
NR9317--MA0591.1.Bach1::Mafk	chr3	109165417	109165431	-	0.000	0.000	Merged-chr3-109165436-34
NR13034--MA0501.1.MAF::NFE2	chr7	108954452	108954466	-	0.000	0.000	Merged-chr7-108954427-29
NR14302--MA0089.1.MAFG::NFE2L1	chr9	50852635	50852640	-	0.000	0.000	Merged-chr9-50852835-21
NR1082--MA0496.2.MAFK	chr1	180403755	180403773	-	0.000	0.000	Merged-chr1-180403715-60
NR7501--MA0495.2.MAFF	chr2	13237655	13237675	-	0.000	0.000	Merged-chr2-13237654-25
NR1519--MA0659.1.MAFG	chr10	44716058	44716078	-	0.000	0.000	Merged-chr10-44715918-29
NR1893--MA0495.2.MAFF	chr10	96588455	96588475	-	0.000	0.000	Merged-chr10-96588454-52
NR5841--MA0089.1.MAFG::NFE2L1	chr16	59459685	59459690	-	0.000	0.000	Merged-chr16-59459484-51
NR14241--MA0659.1.MAFG	chr9	43785161	43785181	+	0.000	0.000	Merged-chr9-43784994-20
NR14315--MA0089.1.MAFG::NFE2L1	chr9	55102276	55102281	+	0.000	0.000	Merged-chr9-55102396-26
NR13924--MA0501.1.MAF::NFE2	chr8	113656298	113656312	+	0.000	0.000	Merged-chr8-113656358-52
NR7422--MA0089.1.MAFG::NFE2L1	chr19	57131622	57131627	+	0.000	0.000	Merged-chr19-57131601-25
NR7624--MA0659.1.MAFG	chr2	34938703	34938723	+	0.000	0.000	Merged-chr2-34938971-69
NR10562--MA0501.1.MAF::NFE2	chr4	150991502	150991516	+	0.000	0.000	Merged-chr4-150991460-24
NR1521--MA0496.2.MAFK	chr10	44716059	44716077	-	0.000	0.000	Merged-chr10-44715918-29
NR2992--MA0495.2.MAFF	chr12	41044928	41044948	-	0.000	0.000	Merged-chr12-41044922-24
NR5450--MA0089.1.MAFG::NFE2L1	chr15	100600100	100600105	-	0.000	0.000	Merged-chr15-100600141-58
NR12269--MA0089.1.MAFG::NFE2L1	chr6	127617297	127617302	-	0.000	0.000	Merged-chr6-127617353-34
NR7407--MA0591.1.Bach1::Mafk	chr19	56647501	56647515	-	0.000	0.000	Merged-chr19-56647541-17
NR13603--MA0591.1.Bach1::Mafk	chr8	71587146	71587160	-	0.000	0.000	Merged-chr8-71587200-14
NR11203--MA0495.2.MAFF	chr5	107646128	107646148	+	0.000	0.000	Merged-chr5-107646170-26
NR5346--MA0117.2.Mafb	chr15	81308188	81308199	+	0.000	0.000	Merged-chr15-81308219-24
NR9909--MA0089.1.MAFG::NFE2L1	chr4	48267945	48267950	-	0.000	0.000	Merged-chr4-48268039-50
NR7199--MA0117.2.Mafb	chr19	11540591	11540602	-	0.000	0.000	Merged-chr19-11540460-39
NR7259--MA0089.1.MAFG::NFE2L1	chr19	21865258	21865263	+	0.000	0.000	Merged-chr19-21865390-5
NR8940--MA0089.1.MAFG::NFE2L1	chr3	52830197	52830202	-	0.000	0.000	Merged-chr3-52830272-16
NR1948--MA0089.1.MAFG::NFE2L1	chr10	111214815	111214820	-	0.000	0.000	Merged-chr10-111214498-109
NR6996--MA0089.1.MAFG::NFE2L1	chr18	73846872	73846877	+	0.000	0.000	Merged-chr18-73846935-30
NR3393--MA0591.1.Bach1::Mafk	chr12	110939573	110939587	+	0.000	0.000	Merged-chr12-110939619-21
NR9831--MA0117.2.Mafb	chr4	32127082	32127093	+	0.000	0.000	Merged-chr4-32126903-56
NR10866--MA0591.1.Bach1::Mafk	chr5	52908394	52908408	+	0.000	0.000	Merged-chr5-52908402-27
NR8278--MA0496.2.MAFK	chr2	128365991	128366009	+	0.000	0.000	Merged-chr2-128365920-27
NR2007--MA0089.1.MAFG::NFE2L1	chr10	119083571	119083576	-	0.000	0.000	Merged-chr10-119083697-27
NR6011--MA0117.2.Mafb	chr16	90995165	90995176	-	0.000	0.000	Merged-chr16-90995039-12
NR4852--MA0117.2.Mafb	chr14	99266001	99266012	+	0.000	0.000	Merged-chr14-99266048-28
NR15041--MA0659.1.MAFG	chrX	142792380	142792400	+	0.000	0.000	Merged-chrX-142792362-24
NR7627--MA0496.2.MAFK	chr2	34938704	34938722	-	0.000	0.000	Merged-chr2-34938971-69
NR5350--MA0591.1.Bach1::Mafk	chr15	81819705	81819719	-	0.000	0.000	Merged-chr15-81819861-26
NR1366--MA0495.2.MAFF	chr10	19104809	19104829	+	0.000	0.000	Merged-chr10-19104955-55
NR12395--MA0591.1.Bach1::Mafk	chr6	137316523	137316537	+	0.000	0.000	Merged-chr6-137316445-24
