#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed
NR8007--MA0741.1.KLF16	chr10	127151484	127151494	+	0.000	0.000	Merged-chr10-127151405-14
NR38275--MA0741.1.KLF16	chr3	52677350	52677360	+	0.000	0.000	Merged-chr3-52677309-55
NR6523--MA1107.1.KLF9	chr10	83336548	83336560	-	0.000	0.000	Merged-chr10-83336542-10
NR1509--MA0740.1.KLF14	chr1	97613886	97613899	+	0.000	0.000	Merged-chr1-97613912-17
NR36494--MA0599.1.KLF5	chr2	158028756	158028765	+	0.000	0.000	Merged-chr2-158028591-76
NR60353--MA0740.1.KLF14	chr8	94447717	94447730	-	0.000	0.000	Merged-chr8-94447653-43
NR30381--MA0740.1.KLF14	chr18	80178394	80178407	+	0.000	0.000	Merged-chr18-80178605-23
NR66273--MA0657.1.KLF13	chrX	94212910	94212927	+	0.000	0.000	Merged-chrX-94212981-107
NR66419--MA0493.1.Klf1	chrX	102061020	102061030	+	0.000	0.000	Merged-chrX-102061073-12
NR9956--MA0741.1.KLF16	chr11	70229094	70229104	-	0.000	0.000	Merged-chr11-70229187-24
NR30980--MA0599.1.KLF5	chr19	7295484	7295493	+	0.000	0.000	Merged-chr19-7295405-60
NR29351--MA0741.1.KLF16	chr18	39141855	39141865	-	0.000	0.000	Merged-chr18-39141814-16
NR49878--MA1107.1.KLF9	chr5	143975168	143975180	+	0.000	0.000	Merged-chr5-143975077-1
NR58833--MA0599.1.KLF5	chr8	25578445	25578454	+	0.000	0.000	Merged-chr8-25578502-39
NR1311--MA1107.1.KLF9	chr1	87847218	87847230	-	0.000	0.000	Merged-chr1-87847290-68
NR35918--MA1107.1.KLF9	chr2	144753671	144753683	-	0.000	0.000	Merged-chr2-144753678-53
NR24588--MA0493.1.Klf1	chr16	52470451	52470461	+	0.000	0.000	Merged-chr16-52470408-42
NR737--MA1107.1.KLF9	chr1	58303861	58303873	-	0.000	0.000	Merged-chr1-58304012-69
NR47413--MA0657.1.KLF13	chr5	100485637	100485654	-	0.000	0.000	Merged-chr5-100485645-6
NR28873--MA0740.1.KLF14	chr18	7869134	7869147	-	0.000	0.000	Merged-chr18-7869140-116
NR34174--MA0039.3.KLF4	chr2	72874554	72874564	-	0.000	0.000	Merged-chr2-72874420-46
NR38749--MA1107.1.KLF9	chr3	87804338	87804350	-	0.000	0.000	Merged-chr3-87804293-33
NR47919--MA0599.1.KLF5	chr5	112311049	112311058	+	0.000	0.000	Merged-chr5-112310969-9
NR37766--MA0039.3.KLF4	chr3	9947827	9947837	+	0.000	0.000	Merged-chr3-9947852-23
NR21774--MA0039.3.KLF4	chr15	76799673	76799683	+	0.000	0.000	Merged-chr15-76799596-17
NR31017--MA1107.1.KLF9	chr19	8774463	8774475	+	0.000	0.000	Merged-chr19-8774618-52
NR24475--MA0039.3.KLF4	chr16	44811655	44811665	+	0.000	0.000	Merged-chr16-44811713-22
NR19894--MA0039.3.KLF4	chr14	86744695	86744705	-	0.000	0.000	Merged-chr14-86744622-36
NR36745--MA0742.1.Klf12	chr2	164867101	164867115	+	0.000	0.000	Merged-chr2-164866998-31
NR58832--MA1107.1.KLF9	chr8	25578423	25578435	+	0.000	0.000	Merged-chr8-25578502-39
NR423--MA0740.1.KLF14	chr1	38987726	38987739	+	0.000	0.000	Merged-chr1-38987666-67
NR19633--MA0741.1.KLF16	chr14	73290097	73290107	-	0.000	0.000	Merged-chr14-73290096-39
NR12388--MA0740.1.KLF14	chr11	117825865	117825878	-	0.000	0.000	Merged-chr11-117825821-14
NR56531--MA0741.1.KLF16	chr7	99152956	99152966	-	0.000	0.000	Merged-chr7-99152763-21
NR17294--MA1107.1.KLF9	chr13	98737375	98737387	+	0.000	0.000	Merged-chr13-98737529-22
NR17605--MA0741.1.KLF16	chr13	104937969	104937979	-	0.000	0.000	Merged-chr13-104937983-19
NR42138--MA0493.1.Klf1	chr4	46564123	46564133	-	0.000	0.000	Merged-chr4-46564109-30
NR4600--MA0599.1.KLF5	chr10	12929348	12929357	-	0.000	0.000	Merged-chr10-12929241-10
NR729--MA0493.1.Klf1	chr1	58303843	58303853	-	0.000	0.000	Merged-chr1-58304012-69
NR8975--MA0742.1.Klf12	chr11	34782728	34782742	+	0.000	0.000	Merged-chr11-34782610-2
NR6829--MA0741.1.KLF16	chr10	95009039	95009049	+	0.000	0.000	Merged-chr10-95009173-43
NR11199--MA0741.1.KLF16	chr11	98795083	98795093	+	0.000	0.000	Merged-chr11-98795114-80
NR32595--MA0741.1.KLF16	chr2	9878748	9878758	+	0.000	0.000	Merged-chr2-9878722-80
NR14352--MA0493.1.Klf1	chr12	102725371	102725381	+	0.000	0.000	Merged-chr12-102725313-9
NR44241--MA1107.1.KLF9	chr4	135475596	135475608	+	0.000	0.000	Merged-chr4-135475652-18
NR39565--MA0740.1.KLF14	chr3	105900445	105900458	-	0.000	0.000	Merged-chr3-105900628-63
NR24937--MA1107.1.KLF9	chr16	78606415	78606427	-	0.000	0.000	Merged-chr16-78606501-17
NR29622--MA0599.1.KLF5	chr18	56431878	56431887	+	0.000	0.000	Merged-chr18-56431859-87
NR11133--MA0740.1.KLF14	chr11	97883679	97883692	-	0.000	0.000	Merged-chr11-97883682-8
NR27411--MA0741.1.KLF16	chr17	47505030	47505040	+	0.000	0.000	Merged-chr17-47504977-46
NR45565--MA0599.1.KLF5	chr4	156033120	156033129	-	0.000	0.000	Merged-chr4-156033433-76
NR61869--MA0741.1.KLF16	chr9	21167775	21167785	+	0.000	0.000	Merged-chr9-21167831-1
NR46749--MA0599.1.KLF5	chr5	65850934	65850943	-	0.000	0.000	Merged-chr5-65850971-35
NR40428--MA1107.1.KLF9	chr3	133583900	133583912	-	0.000	0.000	Merged-chr3-133583850-2
NR30382--MA0657.1.KLF13	chr18	80178393	80178410	+	0.000	0.000	Merged-chr18-80178605-23
NR27902--MA0740.1.KLF14	chr17	65954079	65954092	-	0.000	0.000	Merged-chr17-65954196-36
NR43765--MA0740.1.KLF14	chr4	129621212	129621225	+	0.000	0.000	Merged-chr4-129621333-30
NR19438--MA0039.3.KLF4	chr14	64628281	64628291	-	0.000	0.000	Merged-chr14-64628307-21
NR33705--MA0741.1.KLF16	chr2	39009187	39009197	+	0.000	0.000	Merged-chr2-39009126-39
NR47851--MA1107.1.KLF9	chr5	112239639	112239651	-	0.000	0.000	Merged-chr5-112239781-12
NR38688--MA0599.1.KLF5	chr3	84630976	84630985	-	0.000	0.000	Merged-chr3-84630888-13
NR12857--MA1107.1.KLF9	chr12	16580528	16580540	-	0.000	0.000	Merged-chr12-16580677-15
NR17608--MA1107.1.KLF9	chr13	104937962	104937974	-	0.000	0.000	Merged-chr13-104937983-19
NR23450--MA0599.1.KLF5	chr15	102533746	102533755	-	0.000	0.000	Merged-chr15-102533867-9
NR5141--MA0741.1.KLF16	chr10	44368930	44368940	-	0.000	0.000	Merged-chr10-44368737-26
NR48485--MA0493.1.Klf1	chr5	122158166	122158176	+	0.000	0.000	Merged-chr5-122158258-63
NR774--MA0493.1.Klf1	chr1	58953882	58953892	+	0.000	0.000	Merged-chr1-58953999-17
NR31720--MA0741.1.KLF16	chr19	40661295	40661305	+	0.000	0.000	Merged-chr19-40661209-23
NR28322--MA0599.1.KLF5	chr17	80169133	80169142	+	0.000	0.000	Merged-chr17-80169005-20
NR29627--MA0741.1.KLF16	chr18	56431889	56431899	+	0.000	0.000	Merged-chr18-56431859-87
NR40277--MA0741.1.KLF16	chr3	131126011	131126021	-	0.000	0.000	Merged-chr3-131125958-32
NR2573--MA0599.1.KLF5	chr1	153317786	153317795	+	0.000	0.000	Merged-chr1-153317776-35
NR17766--MA0599.1.KLF5	chr13	109239171	109239180	-	0.000	0.000	Merged-chr13-109239401-35
NR21275--MA0599.1.KLF5	chr15	57921706	57921715	+	0.000	0.000	Merged-chr15-57921644-21
NR55801--MA0493.1.Klf1	chr7	64048785	64048795	-	0.000	0.000	Merged-chr7-64048843-48
NR15512--MA0742.1.Klf12	chr13	21200601	21200615	+	0.000	0.000	Merged-chr13-21200734-1
NR30550--MA1107.1.KLF9	chr18	84159107	84159119	+	0.000	0.000	Merged-chr18-84159275-32
NR30384--MA0741.1.KLF16	chr18	80178395	80178405	+	0.000	0.000	Merged-chr18-80178605-23
NR27004--MA0599.1.KLF5	chr17	35046774	35046783	+	0.000	0.000	Merged-chr17-35046725-56
NR5839--MA0741.1.KLF16	chr10	77264474	77264484	+	0.000	0.000	Merged-chr10-77264465-20
NR63491--MA0599.1.KLF5	chr9	73176866	73176875	-	0.000	0.000	Merged-chr9-73176903-12
NR11361--MA0599.1.KLF5	chr11	101082545	101082554	+	0.000	0.000	Merged-chr11-101082516-61
NR56632--MA0741.1.KLF16	chr7	101555584	101555594	+	0.000	0.000	Merged-chr7-101555691-65
NR1325--MA0039.3.KLF4	chr1	87847399	87847409	-	0.000	0.000	Merged-chr1-87847290-68
NR51244--MA1107.1.KLF9	chr6	54705486	54705498	+	0.000	0.000	Merged-chr6-54705596-27
NR52401--MA0741.1.KLF16	chr6	114679345	114679355	-	0.000	0.000	Merged-chr6-114679499-19
NR8954--MA0039.3.KLF4	chr11	33162347	33162357	+	0.000	0.000	Merged-chr11-33162343-10
NR43708--MA0742.1.Klf12	chr4	129189732	129189746	+	0.000	0.000	Merged-chr4-129189596-96
NR14630--MA0741.1.KLF16	chr12	107961290	107961300	+	0.000	0.000	Merged-chr12-107961222-28
NR27102--MA0493.1.Klf1	chr17	35997919	35997929	-	0.000	0.000	Merged-chr17-35997756-9
NR27904--MA0599.1.KLF5	chr17	65954073	65954082	-	0.000	0.000	Merged-chr17-65954196-36
NR54171--MA0741.1.KLF16	chr7	4777059	4777069	-	0.000	0.000	Merged-chr7-4777194-35
NR55921--MA0039.3.KLF4	chr7	67425610	67425620	+	0.000	0.000	Merged-chr7-67425669-21
NR57499--MA0741.1.KLF16	chr7	127218492	127218502	-	0.000	0.000	Merged-chr7-127218487-51
NR21929--MA0599.1.KLF5	chr15	78926535	78926544	-	0.000	0.000	Merged-chr15-78926468-45
NR60838--MA0039.3.KLF4	chr8	115531468	115531478	+	0.000	0.000	Merged-chr8-115531430-21
NR31614--MA0493.1.Klf1	chr19	37333607	37333617	+	0.000	0.000	Merged-chr19-37333490-26
NR46372--MA0741.1.KLF16	chr5	36590898	36590908	+	0.000	0.000	Merged-chr5-36590712-21
NR46669--MA0599.1.KLF5	chr5	64780898	64780907	-	0.000	0.000	Merged-chr5-64780950-29
NR53862--MA0742.1.Klf12	chr6	145249538	145249552	-	0.000	0.000	Merged-chr6-145249454-6
NR51040--MA0742.1.Klf12	chr6	48693966	48693980	-	0.000	0.000	Merged-chr6-48693973-35
NR33177--MA0742.1.Klf12	chr2	30048850	30048864	+	0.000	0.000	Merged-chr2-30048939-51
NR32170--MA0039.3.KLF4	chr19	55260947	55260957	+	0.000	0.000	Merged-chr19-55260920-21
NR2309--MA0657.1.KLF13	chr1	138963221	138963238	-	0.000	0.000	Merged-chr1-138963261-12
NR46360--MA0599.1.KLF5	chr5	36590904	36590913	+	0.000	0.000	Merged-chr5-36590712-21
NR61304--MA0741.1.KLF16	chr8	123341734	123341744	+	0.000	0.000	Merged-chr8-123341706-13
NR38859--MA0740.1.KLF14	chr3	89183123	89183136	+	0.000	0.000	Merged-chr3-89183015-64
NR9112--MA0741.1.KLF16	chr11	49100588	49100598	-	0.000	0.000	Merged-chr11-49100506-9
NR11789--MA0741.1.KLF16	chr11	107444020	107444030	-	0.000	0.000	Merged-chr11-107443890-34
NR51142--MA0493.1.Klf1	chr6	51533557	51533567	+	0.000	0.000	Merged-chr6-51533616-16
NR20955--MA0493.1.Klf1	chr15	31117642	31117652	-	0.000	0.000	Merged-chr15-31117559-26
NR902--MA0741.1.KLF16	chr1	66897060	66897070	+	0.000	0.000	Merged-chr1-66897217-4
NR36765--MA0740.1.KLF14	chr2	164943169	164943182	-	0.000	0.000	Merged-chr2-164943047-31
NR2027--MA0741.1.KLF16	chr1	132342005	132342015	-	0.000	0.000	Merged-chr1-132341932-46
NR58543--MA0741.1.KLF16	chr8	11107240	11107250	-	0.000	0.000	Merged-chr8-11107220-18
NR27912--MA1107.1.KLF9	chr17	65954066	65954078	-	0.000	0.000	Merged-chr17-65954196-36
NR47847--MA0039.3.KLF4	chr5	112239645	112239655	-	0.000	0.000	Merged-chr5-112239781-12
NR50289--MA1107.1.KLF9	chr5	149594188	149594200	+	0.000	0.000	Merged-chr5-149594297-11
NR48079--MA0599.1.KLF5	chr5	114667638	114667647	-	0.000	0.000	Merged-chr5-114667670-56
NR55926--MA0039.3.KLF4	chr7	67444544	67444554	-	0.000	0.000	Merged-chr7-67444614-20
NR54421--MA0741.1.KLF16	chr7	16783490	16783500	-	0.000	0.000	Merged-chr7-16783425-42
NR30112--MA1107.1.KLF9	chr18	70462733	70462745	+	0.000	0.000	Merged-chr18-70462917-22
NR57494--MA0599.1.KLF5	chr7	127137855	127137864	+	0.000	0.000	Merged-chr7-127137762-54
NR56624--MA0741.1.KLF16	chr7	101466453	101466463	-	0.000	0.000	Merged-chr7-101466620-78
NR52446--MA0039.3.KLF4	chr6	115515937	115515947	+	0.000	0.000	Merged-chr6-115515938-20
NR54966--MA0039.3.KLF4	chr7	28609177	28609187	+	0.000	0.000	Merged-chr7-28609310-17
NR14627--MA0599.1.KLF5	chr12	107961290	107961299	+	0.000	0.000	Merged-chr12-107961222-28
NR44441--MA0742.1.Klf12	chr4	138033648	138033662	-	0.000	0.000	Merged-chr4-138033707-13
NR60567--MA0599.1.KLF5	chr8	106007473	106007482	-	0.000	0.000	Merged-chr8-106007407-44
NR43767--MA0599.1.KLF5	chr4	129621213	129621222	+	0.000	0.000	Merged-chr4-129621333-30
NR8324--MA1107.1.KLF9	chr11	3703670	3703682	+	0.000	0.000	Merged-chr11-3703654-26
NR24586--MA0740.1.KLF14	chr16	52470451	52470464	+	0.000	0.000	Merged-chr16-52470408-42
NR39568--MA0493.1.Klf1	chr3	105900448	105900458	-	0.000	0.000	Merged-chr3-105900628-63
NR28470--MA0493.1.Klf1	chr17	84032431	84032441	+	0.000	0.000	Merged-chr17-84032623-33
NR5754--MA0599.1.KLF5	chr10	75320541	75320550	+	0.000	0.000	Merged-chr10-75320421-51
NR14626--MA1107.1.KLF9	chr12	107961261	107961273	+	0.000	0.000	Merged-chr12-107961222-28
NR2922--MA1107.1.KLF9	chr1	162565216	162565228	+	0.000	0.000	Merged-chr1-162565187-22
NR8777--MA0493.1.Klf1	chr11	22833804	22833814	-	0.000	0.000	Merged-chr11-22833941-10
NR27259--MA1107.1.KLF9	chr17	44690580	44690592	+	0.000	0.000	Merged-chr17-44690721-49
NR801--MA0039.3.KLF4	chr1	59923441	59923451	-	0.000	0.000	Merged-chr1-59923331-34
NR49397--MA0493.1.Klf1	chr5	137645179	137645189	+	0.000	0.000	Merged-chr5-137645230-22
NR52496--MA0741.1.KLF16	chr6	115972919	115972929	-	0.000	0.000	Merged-chr6-115972922-11
NR37765--MA0599.1.KLF5	chr3	9947826	9947835	+	0.000	0.000	Merged-chr3-9947852-23
NR21773--MA0599.1.KLF5	chr15	76799672	76799681	+	0.000	0.000	Merged-chr15-76799596-17
NR9666--MA0599.1.KLF5	chr11	61762130	61762139	-	0.000	0.000	Merged-chr11-61762062-61
NR49048--MA0742.1.Klf12	chr5	134582746	134582760	-	0.000	0.000	Merged-chr5-134582735-45
NR11707--MA0599.1.KLF5	chr11	106216943	106216952	+	0.000	0.000	Merged-chr11-106216790-91
NR23383--MA1107.1.KLF9	chr15	102225234	102225246	+	0.000	0.000	Merged-chr15-102225119-79
NR33636--MA0741.1.KLF16	chr2	35729724	35729734	-	0.000	0.000	Merged-chr2-35729635-16
NR9670--MA0741.1.KLF16	chr11	61762150	61762160	-	0.000	0.000	Merged-chr11-61762062-61
NR12142--MA1107.1.KLF9	chr11	115603722	115603734	-	0.000	0.000	Merged-chr11-115603871-66
NR4545--MA0742.1.Klf12	chr10	8370347	8370361	+	0.000	0.000	Merged-chr10-8370203-10
NR9087--MA0039.3.KLF4	chr11	48823885	48823895	+	0.000	0.000	Merged-chr11-48823880-45
NR9097--MA0493.1.Klf1	chr11	49051306	49051316	+	0.000	0.000	Merged-chr11-49051380-85
NR55799--MA0742.1.Klf12	chr7	64048781	64048795	-	0.000	0.000	Merged-chr7-64048843-48
NR43323--MA1107.1.KLF9	chr4	120053606	120053618	-	0.000	0.000	Merged-chr4-120053646-59
NR9111--MA0599.1.KLF5	chr11	49100591	49100600	-	0.000	0.000	Merged-chr11-49100506-9
NR27103--MA0741.1.KLF16	chr17	35997918	35997928	-	0.000	0.000	Merged-chr17-35997756-9
NR32168--MA0657.1.KLF13	chr19	55260944	55260961	+	0.000	0.000	Merged-chr19-55260920-21
NR56616--MA0741.1.KLF16	chr7	101341698	101341708	-	0.000	0.000	Merged-chr7-101341598-26
NR14962--MA0741.1.KLF16	chr12	112994353	112994363	+	0.000	0.000	Merged-chr12-112994371-22
NR20548--MA1107.1.KLF9	chr14	122064682	122064694	+	0.000	0.000	Merged-chr14-122064653-27
NR61147--MA0741.1.KLF16	chr8	121573582	121573592	+	0.000	0.000	Merged-chr8-121573521-19
NR62210--MA0599.1.KLF5	chr9	32620640	32620649	+	0.000	0.000	Merged-chr9-32620706-25
NR3122--MA0493.1.Klf1	chr1	166429127	166429137	-	0.000	0.000	Merged-chr1-166429186-23
NR31480--MA1107.1.KLF9	chr19	32216868	32216880	+	0.000	0.000	Merged-chr19-32216974-24
NR5834--MA0740.1.KLF14	chr10	77264471	77264484	+	0.000	0.000	Merged-chr10-77264465-20
NR17596--MA1107.1.KLF9	chr13	104937909	104937921	+	0.000	0.000	Merged-chr13-104937983-19
NR18702--MA0741.1.KLF16	chr14	31684572	31684582	-	0.000	0.000	Merged-chr14-31684671-64
NR21664--MA0740.1.KLF14	chr15	75633556	75633569	+	0.000	0.000	Merged-chr15-75633579-27
NR22993--MA0599.1.KLF5	chr15	98907989	98907998	+	0.000	0.000	Merged-chr15-98907951-8
NR19204--MA0599.1.KLF5	chr14	55913577	55913586	+	0.000	0.000	Merged-chr14-55913661-13
NR11048--MA1107.1.KLF9	chr11	97104199	97104211	+	0.000	0.000	Merged-chr11-97104187-33
NR48629--MA0039.3.KLF4	chr5	124075986	124075996	-	0.000	0.000	Merged-chr5-124075936-23
NR33415--MA0599.1.KLF5	chr2	32381954	32381963	+	0.000	0.000	Merged-chr2-32381893-56
NR11169--MA1107.1.KLF9	chr11	98510405	98510417	+	0.000	0.000	Merged-chr11-98510270-21
NR9442--MA0493.1.Klf1	chr11	57673304	57673314	+	0.000	0.000	Merged-chr11-57673266-26
NR61094--MA0741.1.KLF16	chr8	120668183	120668193	+	0.000	0.000	Merged-chr8-120668120-83
NR49528--MA0599.1.KLF5	chr5	139290677	139290686	+	0.000	0.000	Merged-chr5-139290875-38
NR62555--MA0599.1.KLF5	chr9	45241580	45241589	-	0.000	0.000	Merged-chr9-45241570-21
NR35916--MA1107.1.KLF9	chr2	144753667	144753679	-	0.000	0.000	Merged-chr2-144753678-53
NR8012--MA0493.1.Klf1	chr10	127165734	127165744	-	0.000	0.000	Merged-chr10-127165637-94
NR61888--MA0741.1.KLF16	chr9	21225125	21225135	+	0.000	0.000	Merged-chr9-21225292-34
NR31128--MA0599.1.KLF5	chr19	10980020	10980029	-	0.000	0.000	Merged-chr19-10979908-59
NR56629--MA0599.1.KLF5	chr7	101537737	101537746	-	0.000	0.000	Merged-chr7-101537821-5
NR17181--MA0599.1.KLF5	chr13	95524222	95524231	+	0.000	0.000	Merged-chr13-95524264-2
NR10996--MA0741.1.KLF16	chr11	96464581	96464591	+	0.000	0.000	Merged-chr11-96464548-48
NR10125--MA0741.1.KLF16	chr11	74925820	74925830	-	0.000	0.000	Merged-chr11-74926072-90
NR3794--MA0742.1.Klf12	chr1	182520234	182520248	+	0.000	0.000	Merged-chr1-182520243-48
NR19561--MA1107.1.KLF9	chr14	69774963	69774975	-	0.000	0.000	Merged-chr14-69774788-96
NR6764--MA0599.1.KLF5	chr10	93326907	93326916	+	0.000	0.000	Merged-chr10-93326815-10
NR50827--MA0741.1.KLF16	chr6	38551315	38551325	-	0.000	0.000	Merged-chr6-38551188-3
NR24469--MA1107.1.KLF9	chr16	44362191	44362203	+	0.000	0.000	Merged-chr16-44362356-45
NR45633--MA1107.1.KLF9	chr5	5420284	5420296	+	0.000	0.000	Merged-chr5-5420247-39
NR4547--MA0039.3.KLF4	chr10	8370349	8370359	+	0.000	0.000	Merged-chr10-8370203-10
NR8016--MA1107.1.KLF9	chr10	127165732	127165744	-	0.000	0.000	Merged-chr10-127165637-94
NR65950--MA0599.1.KLF5	chrX	48147979	48147988	+	0.000	0.000	Merged-chrX-48147927-58
NR57153--MA0742.1.Klf12	chr7	118254247	118254261	+	0.000	0.000	Merged-chr7-118254195-24
NR49880--MA0039.3.KLF4	chr5	143976870	143976880	-	0.000	0.000	Merged-chr5-143976902-14
NR61777--MA0039.3.KLF4	chr9	14500568	14500578	-	0.000	0.000	Merged-chr9-14500635-62
NR33628--MA0741.1.KLF16	chr2	35448825	35448835	-	0.000	0.000	Merged-chr2-35448714-11
NR29123--MA0741.1.KLF16	chr18	32939287	32939297	-	0.000	0.000	Merged-chr18-32939306-98
NR27443--MA0741.1.KLF16	chr17	47737860	47737870	-	0.000	0.000	Merged-chr17-47737745-152
NR63483--MA0740.1.KLF14	chr9	73176794	73176807	-	0.000	0.000	Merged-chr9-73176903-12
NR52399--MA0493.1.Klf1	chr6	114679326	114679336	-	0.000	0.000	Merged-chr6-114679499-19
NR10614--MA0741.1.KLF16	chr11	87595524	87595534	-	0.000	0.000	Merged-chr11-87595611-9
NR19209--MA0599.1.KLF5	chr14	56276251	56276260	-	0.000	0.000	Merged-chr14-56276156-29
NR31805--MA0741.1.KLF16	chr19	44135692	44135702	+	0.000	0.000	Merged-chr19-44135703-55
NR38751--MA0039.3.KLF4	chr3	87841000	87841010	+	0.000	0.000	Merged-chr3-87841057-16
NR37031--MA0741.1.KLF16	chr2	167932255	167932265	+	0.000	0.000	Merged-chr2-167932380-64
NR49564--MA0599.1.KLF5	chr5	139377605	139377614	-	0.000	0.000	Merged-chr5-139377554-24
NR60925--MA1107.1.KLF9	chr8	117320831	117320843	+	0.000	0.000	Merged-chr8-117320786-24
NR6522--MA0493.1.Klf1	chr10	83336550	83336560	-	0.000	0.000	Merged-chr10-83336542-10
NR3056--MA0599.1.KLF5	chr1	165691477	165691486	+	0.000	0.000	Merged-chr1-165691684-32
NR19245--MA0740.1.KLF14	chr14	57769258	57769271	-	0.000	0.000	Merged-chr14-57769251-39
NR22434--MA0599.1.KLF5	chr15	86058698	86058707	-	0.000	0.000	Merged-chr15-86058836-53
NR32117--MA0740.1.KLF14	chr19	53479905	53479918	-	0.000	0.000	Merged-chr19-53479762-36
NR8953--MA0599.1.KLF5	chr11	33162352	33162361	+	0.000	0.000	Merged-chr11-33162343-10
NR24287--MA0599.1.KLF5	chr16	33694856	33694865	-	0.000	0.000	Merged-chr16-33694670-5
NR47469--MA0493.1.Klf1	chr5	100872343	100872353	-	0.000	0.000	Merged-chr5-100872198-32
NR47920--MA0039.3.KLF4	chr5	112311050	112311060	+	0.000	0.000	Merged-chr5-112310969-9
NR44445--MA1107.1.KLF9	chr4	138033650	138033662	-	0.000	0.000	Merged-chr4-138033707-13
NR6666--MA0599.1.KLF5	chr10	88540383	88540392	-	0.000	0.000	Merged-chr10-88540211-41
NR422--MA1107.1.KLF9	chr1	38987626	38987638	+	0.000	0.000	Merged-chr1-38987666-67
NR38748--MA0493.1.Klf1	chr3	87804340	87804350	-	0.000	0.000	Merged-chr3-87804293-33
NR1314--MA1107.1.KLF9	chr1	87847224	87847236	-	0.000	0.000	Merged-chr1-87847290-68
NR6867--MA0493.1.Klf1	chr10	96118232	96118242	-	0.000	0.000	Merged-chr10-96118246-10
NR26220--MA0493.1.Klf1	chr17	24344897	24344907	-	0.000	0.000	Merged-chr17-24344874-27
NR30816--MA0039.3.KLF4	chr19	5389952	5389962	-	0.000	0.000	Merged-chr19-5390000-41
NR17843--MA1107.1.KLF9	chr13	111297789	111297801	+	0.000	0.000	Merged-chr13-111297823-12
NR63494--MA0741.1.KLF16	chr9	73176865	73176875	-	0.000	0.000	Merged-chr9-73176903-12
NR3120--MA0742.1.Klf12	chr1	166429123	166429137	-	0.000	0.000	Merged-chr1-166429186-23
NR21772--MA0742.1.Klf12	chr15	76799671	76799685	+	0.000	0.000	Merged-chr15-76799596-17
NR12846--MA1107.1.KLF9	chr12	15896721	15896733	-	0.000	0.000	Merged-chr12-15896851-37
NR35286--MA0493.1.Klf1	chr2	122356300	122356310	-	0.000	0.000	Merged-chr2-122356412-11
NR37032--MA0599.1.KLF5	chr2	167932315	167932324	-	0.000	0.000	Merged-chr2-167932380-64
NR61281--MA1107.1.KLF9	chr8	123203707	123203719	+	0.000	0.000	Merged-chr8-123203714-21
NR24632--MA0599.1.KLF5	chr16	55924217	55924226	+	0.000	0.000	Merged-chr16-55924140-18
NR48498--MA0741.1.KLF16	chr5	122158397	122158407	-	0.000	0.000	Merged-chr5-122158258-63
NR10564--MA0493.1.Klf1	chr11	86580723	86580733	+	0.000	0.000	Merged-chr11-86580662-12
NR52589--MA0741.1.KLF16	chr6	119199105	119199115	+	0.000	0.000	Merged-chr6-119199024-52
NR5478--MA0599.1.KLF5	chr10	62247949	62247958	-	0.000	0.000	Merged-chr10-62247968-20
NR32594--MA0493.1.Klf1	chr2	9878747	9878757	+	0.000	0.000	Merged-chr2-9878722-80
NR15245--MA0740.1.KLF14	chr12	118411982	118411995	+	0.000	0.000	Merged-chr12-118411992-13
NR48487--MA1107.1.KLF9	chr5	122158166	122158178	+	0.000	0.000	Merged-chr5-122158258-63
NR22102--MA1107.1.KLF9	chr15	80978047	80978059	+	0.000	0.000	Merged-chr15-80977860-41
NR56534--MA0741.1.KLF16	chr7	99152959	99152969	-	0.000	0.000	Merged-chr7-99152763-21
NR55925--MA0599.1.KLF5	chr7	67444546	67444555	-	0.000	0.000	Merged-chr7-67444614-20
NR1319--MA1107.1.KLF9	chr1	87847234	87847246	-	0.000	0.000	Merged-chr1-87847290-68
NR47958--MA0599.1.KLF5	chr5	113641177	113641186	+	0.000	0.000	Merged-chr5-113641373-25
NR8976--MA0599.1.KLF5	chr11	34782729	34782738	+	0.000	0.000	Merged-chr11-34782610-2
NR63016--MA0741.1.KLF16	chr9	61619053	61619063	+	0.000	0.000	Merged-chr9-61618943-7
NR22997--MA0741.1.KLF16	chr15	98907989	98907999	+	0.000	0.000	Merged-chr15-98907951-8
NR51448--MA1107.1.KLF9	chr6	70709684	70709696	-	0.000	0.000	Merged-chr6-70709572-48
NR52445--MA0599.1.KLF5	chr6	115515936	115515945	+	0.000	0.000	Merged-chr6-115515938-20
NR33913--MA0599.1.KLF5	chr2	60204357	60204366	+	0.000	0.000	Merged-chr2-60204421-25
NR55803--MA1107.1.KLF9	chr7	64048783	64048795	-	0.000	0.000	Merged-chr7-64048843-48
NR5138--MA0599.1.KLF5	chr10	44368844	44368853	+	0.000	0.000	Merged-chr10-44368737-26
