#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed
NR2334--MA0741.1.KLF16	chr1	128615667	128615677	-	0.000	0.000	Merged-chr1-128615599-2
NR20308--MA0493.1.Klf1	chr14	54061508	54061518	+	0.000	0.000	Merged-chr14-54061633-25
NR45027--MA0741.1.KLF16	chr4	41348062	41348072	+	0.000	0.000	Merged-chr4-41348000-22
NR43491--MA0599.1.KLF5	chr3	135675686	135675695	+	0.000	0.000	Merged-chr3-135675679-12
NR48242--MA0599.1.KLF5	chr4	139598148	139598157	+	0.000	0.000	Merged-chr4-139598021-2
NR23501--MA1107.1.KLF9	chr15	76190405	76190417	+	0.000	0.000	Merged-chr15-76190238-30
NR53247--MA0039.3.KLF4	chr5	134494508	134494518	+	0.000	0.000	Merged-chr5-134494514-28
NR61694--MA0493.1.Klf1	chr7	99946488	99946498	+	0.000	0.000	Merged-chr7-99946527-26
NR71067--MA0599.1.KLF5	chr9	114762056	114762065	-	0.000	0.000	Merged-chr9-114761950-4
NR33318--MA0599.1.KLF5	chr19	10801372	10801381	-	0.000	0.000	Merged-chr19-10801244-29
NR37444--MA0493.1.Klf1	chr2	104095807	104095817	-	0.000	0.000	Merged-chr2-104095908-22
NR33943--MA0741.1.KLF16	chr19	41597372	41597382	-	0.000	0.000	Merged-chr19-41597559-38
NR10325--MA0740.1.KLF14	chr11	57952967	57952980	-	0.000	0.000	Merged-chr11-57952769-40
NR49203--MA0741.1.KLF16	chr5	3501817	3501827	-	0.000	0.000	Merged-chr5-3501855-46
NR49202--MA0493.1.Klf1	chr5	3501818	3501828	-	0.000	0.000	Merged-chr5-3501855-46
NR65051--MA0493.1.Klf1	chr8	61517667	61517677	-	0.000	0.000	Merged-chr8-61517791-23
NR47131--MA0742.1.Klf12	chr4	120854746	120854760	+	0.000	0.000	Merged-chr4-120854918-43
NR3635--MA0599.1.KLF5	chr1	165322331	165322340	+	0.000	0.000	Merged-chr1-165322509-22
NR33372--MA0599.1.KLF5	chr19	12012388	12012397	+	0.000	0.000	Merged-chr19-12012380-1
NR72487--MA0039.3.KLF4	chrX	113298190	113298200	-	0.000	0.000	Merged-chrX-113298172-75
NR57532--MA0493.1.Klf1	chr6	125434031	125434041	-	0.000	0.000	Merged-chr6-125433874-28
NR62700--MA0599.1.KLF5	chr7	125597231	125597240	-	0.000	0.000	Merged-chr7-125597306-20
NR47492--MA0742.1.Klf12	chr4	129696177	129696191	+	0.000	0.000	Merged-chr4-129696167-1
NR47278--MA0741.1.KLF16	chr4	124709123	124709133	-	0.000	0.000	Merged-chr4-124709015-86
NR47935--MA0039.3.KLF4	chr4	135169319	135169329	+	0.000	0.000	Merged-chr4-135169344-25
NR69210--MA0599.1.KLF5	chr9	65676512	65676521	-	0.000	0.000	Merged-chr9-65676476-52
NR17098--MA0599.1.KLF5	chr13	55622980	55622989	+	0.000	0.000	Merged-chr13-55622931-60
NR4107--MA0741.1.KLF16	chr1	176827653	176827663	-	0.000	0.000	Merged-chr1-176827492-35
NR46913--MA0741.1.KLF16	chr4	116144606	116144616	-	0.000	0.000	Merged-chr4-116144473-31
NR24397--MA0657.1.KLF13	chr15	93694602	93694619	-	0.000	0.000	Merged-chr15-93694661-9
NR51239--MA0741.1.KLF16	chr5	92000942	92000952	+	0.000	0.000	Merged-chr5-92000971-27
NR8552--MA0599.1.KLF5	chr10	120697639	120697648	+	0.000	0.000	Merged-chr10-120697518-32
NR4443--MA0742.1.Klf12	chr1	184277181	184277195	-	0.000	0.000	Merged-chr1-184277240-19
NR30546--MA0742.1.Klf12	chr17	85908760	85908774	+	0.000	0.000	Merged-chr17-85908611-2
NR31993--MA1107.1.KLF9	chr18	66502044	66502056	-	0.000	0.000	Merged-chr18-66502099-22
NR23165--MA0741.1.KLF16	chr15	62079505	62079515	+	0.000	0.000	Merged-chr15-62079594-24
NR9995--MA0741.1.KLF16	chr11	49202765	49202775	-	0.000	0.000	Merged-chr11-49202721-8
NR47136--MA0742.1.Klf12	chr4	120854784	120854798	+	0.000	0.000	Merged-chr4-120854918-43
NR49587--MA0039.3.KLF4	chr5	23722187	23722197	+	0.000	0.000	Merged-chr5-23722080-21
NR60878--MA1107.1.KLF9	chr7	66116271	66116283	-	0.000	0.000	Merged-chr7-66116161-49
NR46910--MA0599.1.KLF5	chr4	116144607	116144616	-	0.000	0.000	Merged-chr4-116144473-31
NR37284--MA0493.1.Klf1	chr2	101209303	101209313	+	0.000	0.000	Merged-chr2-101209230-18
NR31976--MA0741.1.KLF16	chr18	66429267	66429277	+	0.000	0.000	Merged-chr18-66429331-35
NR48199--MA0599.1.KLF5	chr4	138866660	138866669	+	0.000	0.000	Merged-chr4-138866585-23
NR10371--MA0741.1.KLF16	chr11	58214939	58214949	+	0.000	0.000	Merged-chr11-58214991-50
NR17214--MA1107.1.KLF9	chr13	58158318	58158330	-	0.000	0.000	Merged-chr13-58158134-148
NR31989--MA1107.1.KLF9	chr18	66502012	66502024	-	0.000	0.000	Merged-chr18-66502099-22
NR6595--MA0039.3.KLF4	chr10	71399681	71399691	+	0.000	0.000	Merged-chr10-71399794-69
NR7906--MA0599.1.KLF5	chr10	98842017	98842026	+	0.000	0.000	Merged-chr10-98841922-40
NR67039--MA1107.1.KLF9	chr8	120050177	120050189	-	0.000	0.000	Merged-chr8-120050156-23
NR19605--MA0493.1.Klf1	chr14	25862038	25862048	-	0.000	0.000	Merged-chr14-25862098-51
NR35592--MA1107.1.KLF9	chr2	30469937	30469949	+	0.000	0.000	Merged-chr2-30470096-26
NR53246--MA0599.1.KLF5	chr5	134494507	134494516	+	0.000	0.000	Merged-chr5-134494514-28
NR21605--MA0741.1.KLF16	chr14	105240335	105240345	+	0.000	0.000	Merged-chr14-105240325-24
NR34869--MA0741.1.KLF16	chr2	11496687	11496697	-	0.000	0.000	Merged-chr2-11496832-15
NR69130--MA0493.1.Klf1	chr9	63802344	63802354	+	0.000	0.000	Merged-chr9-63802306-15
NR47132--MA0599.1.KLF5	chr4	120854747	120854756	+	0.000	0.000	Merged-chr4-120854918-43
NR62282--MA0740.1.KLF14	chr7	116336457	116336470	+	0.000	0.000	Merged-chr7-116336352-38
NR72826--MA0740.1.KLF14	chrX	159910925	159910938	+	0.000	0.000	Merged-chrX-159910945-21
NR47130--MA0740.1.KLF14	chr4	120854746	120854759	+	0.000	0.000	Merged-chr4-120854918-43
NR33632--MA1107.1.KLF9	chr19	30119063	30119075	+	0.000	0.000	Merged-chr19-30118858-30
NR40967--MA0599.1.KLF5	chr3	51559696	51559705	-	0.000	0.000	Merged-chr3-51559853-4
NR48035--MA0741.1.KLF16	chr4	136172224	136172234	-	0.000	0.000	Merged-chr4-136172134-18
NR58798--MA0493.1.Klf1	chr7	4460696	4460706	+	0.000	0.000	Merged-chr7-4460679-27
NR44165--MA0741.1.KLF16	chr3	152886826	152886836	-	0.000	0.000	Merged-chr3-152886887-20
NR2497--MA0493.1.Klf1	chr1	133363683	133363693	+	0.000	0.000	Merged-chr1-133363736-34
NR39711--MA0493.1.Klf1	chr2	168492185	168492195	-	0.000	0.000	Merged-chr2-168492092-36
NR72486--MA0599.1.KLF5	chrX	113298192	113298201	-	0.000	0.000	Merged-chrX-113298172-75
NR23160--MA0740.1.KLF14	chr15	62079499	62079512	+	0.000	0.000	Merged-chr15-62079594-24
NR34870--MA1107.1.KLF9	chr2	11496686	11496698	-	0.000	0.000	Merged-chr2-11496832-15
NR16885--MA0741.1.KLF16	chr13	49249004	49249014	-	0.000	0.000	Merged-chr13-49249137-9
NR41077--MA0599.1.KLF5	chr3	54567551	54567560	+	0.000	0.000	Merged-chr3-54567528-25
NR45135--MA0742.1.Klf12	chr4	43044013	43044027	+	0.000	0.000	Merged-chr4-43044114-23
NR72827--MA0657.1.KLF13	chrX	159910924	159910941	+	0.000	0.000	Merged-chrX-159910945-21
NR37446--MA1107.1.KLF9	chr2	104095805	104095817	-	0.000	0.000	Merged-chr2-104095908-22
NR3938--MA0741.1.KLF16	chr1	171916125	171916135	+	0.000	0.000	Merged-chr1-171916002-44
NR46709--MA1107.1.KLF9	chr4	108339501	108339513	-	0.000	0.000	Merged-chr4-108339503-23
NR49204--MA1107.1.KLF9	chr5	3501816	3501828	-	0.000	0.000	Merged-chr5-3501855-46
NR41081--MA0493.1.Klf1	chr3	54567654	54567664	+	0.000	0.000	Merged-chr3-54567528-25
NR47135--MA0740.1.KLF14	chr4	120854784	120854797	+	0.000	0.000	Merged-chr4-120854918-43
NR26214--MA1107.1.KLF9	chr16	49796911	49796923	+	0.000	0.000	Merged-chr16-49797153-43
NR47495--MA0493.1.Klf1	chr4	129696177	129696187	+	0.000	0.000	Merged-chr4-129696167-1
NR56838--MA0741.1.KLF16	chr6	108448394	108448404	+	0.000	0.000	Merged-chr6-108448378-58
NR65165--MA1107.1.KLF9	chr8	68158283	68158295	+	0.000	0.000	Merged-chr8-68158417-16
NR39738--MA1107.1.KLF9	chr2	168580397	168580409	+	0.000	0.000	Merged-chr2-168580470-46
NR63639--MA1107.1.KLF9	chr7	140999460	140999472	+	0.000	0.000	Merged-chr7-140999347-54
NR55050--MA0742.1.Klf12	chr6	38551312	38551326	-	0.000	0.000	Merged-chr6-38551188-3
NR38303--MA0039.3.KLF4	chr2	131448456	131448466	+	0.000	0.000	Merged-chr2-131448367-26
NR69131--MA0741.1.KLF16	chr9	63802345	63802355	+	0.000	0.000	Merged-chr9-63802306-15
NR13114--MA0742.1.Klf12	chr11	118248766	118248780	+	0.000	0.000	Merged-chr11-118248688-60
NR50622--MA0741.1.KLF16	chr5	64040799	64040809	+	0.000	0.000	Merged-chr5-64040859-39
NR49586--MA0599.1.KLF5	chr5	23722186	23722195	+	0.000	0.000	Merged-chr5-23722080-21
NR55051--MA0599.1.KLF5	chr6	38551316	38551325	-	0.000	0.000	Merged-chr6-38551188-3
NR33418--MA0039.3.KLF4	chr19	17256999	17257009	-	0.000	0.000	Merged-chr19-17256835-48
NR26219--MA1107.1.KLF9	chr16	49796921	49796933	+	0.000	0.000	Merged-chr16-49797153-43
NR23163--MA0741.1.KLF16	chr15	62079502	62079512	+	0.000	0.000	Merged-chr15-62079594-24
NR50648--MA0741.1.KLF16	chr5	64651646	64651656	-	0.000	0.000	Merged-chr5-64651532-36
NR44164--MA0599.1.KLF5	chr3	152886829	152886838	-	0.000	0.000	Merged-chr3-152886887-20
NR63084--MA0741.1.KLF16	chr7	130812697	130812707	-	0.000	0.000	Merged-chr7-130812664-20
NR40024--MA0599.1.KLF5	chr2	173534751	173534760	-	0.000	0.000	Merged-chr2-173534788-40
NR23718--MA0741.1.KLF16	chr15	78928325	78928335	-	0.000	0.000	Merged-chr15-78928209-40
NR35586--MA0741.1.KLF16	chr2	30469915	30469925	+	0.000	0.000	Merged-chr2-30470096-26
NR50049--MA1107.1.KLF9	chr5	35819665	35819677	+	0.000	0.000	Merged-chr5-35819826-21
NR61688--MA0741.1.KLF16	chr7	99834053	99834063	-	0.000	0.000	Merged-chr7-99833987-52
NR72830--MA0741.1.KLF16	chrX	159910926	159910936	+	0.000	0.000	Merged-chrX-159910945-21
NR66866--MA0599.1.KLF5	chr8	116735522	116735531	-	0.000	0.000	Merged-chr8-116735664-29
NR50640--MA1107.1.KLF9	chr5	64455579	64455591	+	0.000	0.000	Merged-chr5-64455679-15
NR53245--MA0742.1.Klf12	chr5	134494506	134494520	+	0.000	0.000	Merged-chr5-134494514-28
NR72485--MA0742.1.Klf12	chrX	113298188	113298202	-	0.000	0.000	Merged-chrX-113298172-75
NR10000--MA0741.1.KLF16	chr11	49202770	49202780	-	0.000	0.000	Merged-chr11-49202721-8
NR33375--MA0741.1.KLF16	chr19	12012382	12012392	+	0.000	0.000	Merged-chr19-12012380-1
NR62053--MA0039.3.KLF4	chr7	110203786	110203796	-	0.000	0.000	Merged-chr7-110203728-41
NR23168--MA0741.1.KLF16	chr15	62079508	62079518	+	0.000	0.000	Merged-chr15-62079594-24
NR24667--MA1107.1.KLF9	chr15	98927713	98927725	+	0.000	0.000	Merged-chr15-98927787-24
NR9998--MA0741.1.KLF16	chr11	49202768	49202778	-	0.000	0.000	Merged-chr11-49202721-8
NR4785--MA0741.1.KLF16	chr1	191097790	191097800	+	0.000	0.000	Merged-chr1-191097986-4
NR31988--MA0493.1.Klf1	chr18	66502014	66502024	-	0.000	0.000	Merged-chr18-66502099-22
NR5148--MA0741.1.KLF16	chr10	8176480	8176490	-	0.000	0.000	Merged-chr10-8176500-34
NR67038--MA0493.1.Klf1	chr8	120050179	120050189	-	0.000	0.000	Merged-chr8-120050156-23
NR17217--MA1107.1.KLF9	chr13	58158324	58158336	-	0.000	0.000	Merged-chr13-58158134-148
NR63082--MA0599.1.KLF5	chr7	130812698	130812707	-	0.000	0.000	Merged-chr7-130812664-20
NR56173--MA0493.1.Klf1	chr6	87038460	87038470	-	0.000	0.000	Merged-chr6-87038264-54
NR30472--MA0039.3.KLF4	chr17	84056506	84056516	-	0.000	0.000	Merged-chr17-84056540-29
NR13113--MA0740.1.KLF14	chr11	118248766	118248779	+	0.000	0.000	Merged-chr11-118248688-60
NR47005--MA0599.1.KLF5	chr4	118060378	118060387	+	0.000	0.000	Merged-chr4-118060227-12
NR41079--MA0742.1.Klf12	chr3	54567654	54567668	+	0.000	0.000	Merged-chr3-54567528-25
NR23170--MA1107.1.KLF9	chr15	62079499	62079511	+	0.000	0.000	Merged-chr15-62079594-24
NR58800--MA1107.1.KLF9	chr7	4460696	4460708	+	0.000	0.000	Merged-chr7-4460679-27
NR5406--MA1107.1.KLF9	chr10	21226476	21226488	-	0.000	0.000	Merged-chr10-21226469-19
NR2499--MA1107.1.KLF9	chr1	133363683	133363695	+	0.000	0.000	Merged-chr1-133363736-34
NR39713--MA1107.1.KLF9	chr2	168492183	168492195	-	0.000	0.000	Merged-chr2-168492092-36
NR33631--MA0493.1.Klf1	chr19	30119063	30119073	+	0.000	0.000	Merged-chr19-30118858-30
NR17889--MA0657.1.KLF13	chr13	91206285	91206302	+	0.000	0.000	Merged-chr13-91206410-21
NR40955--MA0039.3.KLF4	chr3	51378747	51378757	+	0.000	0.000	Merged-chr3-51378644-3
NR22646--MA0599.1.KLF5	chr15	36727838	36727847	+	0.000	0.000	Merged-chr15-36727812-56
NR20797--MA0493.1.Klf1	chr14	67886974	67886984	+	0.000	0.000	Merged-chr14-67887091-21
NR23082--MA0742.1.Klf12	chr15	59541152	59541166	+	0.000	0.000	Merged-chr15-59541132-33
NR56871--MA0039.3.KLF4	chr6	108688445	108688455	+	0.000	0.000	Merged-chr6-108688529-50
NR41177--MA1107.1.KLF9	chr3	60603217	60603229	-	0.000	0.000	Merged-chr3-60603394-48
NR62174--MA0741.1.KLF16	chr7	113256230	113256240	+	0.000	0.000	Merged-chr7-113256129-11
NR11410--MA0741.1.KLF16	chr11	82952051	82952061	+	0.000	0.000	Merged-chr11-82952114-4
NR62283--MA0741.1.KLF16	chr7	116336458	116336468	+	0.000	0.000	Merged-chr7-116336352-38
NR47497--MA1107.1.KLF9	chr4	129696177	129696189	+	0.000	0.000	Merged-chr4-129696167-1
NR48033--MA0599.1.KLF5	chr4	136172233	136172242	-	0.000	0.000	Merged-chr4-136172134-18
NR37938--MA0740.1.KLF14	chr2	120353139	120353152	+	0.000	0.000	Merged-chr2-120353009-52
NR6240--MA0741.1.KLF16	chr10	61534980	61534990	+	0.000	0.000	Merged-chr10-61534801-22
NR63829--MA0742.1.Klf12	chr7	143501134	143501148	+	0.000	0.000	Merged-chr7-143501142-12
NR70662--MA1107.1.KLF9	chr9	107334439	107334451	+	0.000	0.000	Merged-chr9-107334469-86
NR67492--MA0599.1.KLF5	chr8	126839561	126839570	+	0.000	0.000	Merged-chr8-126839529-33
NR6319--MA0599.1.KLF5	chr10	63023265	63023274	+	0.000	0.000	Merged-chr10-63023225-2
NR61938--MA0599.1.KLF5	chr7	106256575	106256584	-	0.000	0.000	Merged-chr7-106256658-33
NR33373--MA0599.1.KLF5	chr19	12012393	12012402	+	0.000	0.000	Merged-chr19-12012380-1
NR71068--MA0493.1.Klf1	chr9	114762056	114762066	-	0.000	0.000	Merged-chr9-114761950-4
NR62052--MA0599.1.KLF5	chr7	110203788	110203797	-	0.000	0.000	Merged-chr7-110203728-41
NR17099--MA0599.1.KLF5	chr13	55623009	55623018	-	0.000	0.000	Merged-chr13-55622931-60
NR24660--MA1107.1.KLF9	chr15	98927699	98927711	+	0.000	0.000	Merged-chr15-98927787-24
NR57529--MA0493.1.Klf1	chr6	125433842	125433852	+	0.000	0.000	Merged-chr6-125433874-28
NR6239--MA0599.1.KLF5	chr10	61534980	61534989	+	0.000	0.000	Merged-chr10-61534801-22
NR30471--MA0599.1.KLF5	chr17	84056508	84056517	-	0.000	0.000	Merged-chr17-84056540-29
NR17210--MA1107.1.KLF9	chr13	58158310	58158322	-	0.000	0.000	Merged-chr13-58158134-148
NR3636--MA0493.1.Klf1	chr1	165322330	165322340	+	0.000	0.000	Merged-chr1-165322509-22
NR31994--MA1107.1.KLF9	chr18	66502046	66502058	-	0.000	0.000	Merged-chr18-66502099-22
NR42662--MA1107.1.KLF9	chr3	109133237	109133249	+	0.000	0.000	Merged-chr3-109133281-24
NR20790--MA0599.1.KLF5	chr14	67878037	67878046	-	0.000	0.000	Merged-chr14-67877957-30
NR6320--MA0741.1.KLF16	chr10	63023265	63023275	+	0.000	0.000	Merged-chr10-63023225-2
NR41599--MA0741.1.KLF16	chr3	86955539	86955549	-	0.000	0.000	Merged-chr3-86955467-9
NR45021--MA0741.1.KLF16	chr4	41348056	41348066	+	0.000	0.000	Merged-chr4-41348000-22
NR69211--MA0493.1.Klf1	chr9	65676512	65676522	-	0.000	0.000	Merged-chr9-65676476-52
NR46911--MA0599.1.KLF5	chr4	116144612	116144621	-	0.000	0.000	Merged-chr4-116144473-31
NR16439--MA0493.1.Klf1	chr13	28500931	28500941	+	0.000	0.000	Merged-chr13-28501043-27
NR63930--MA0741.1.KLF16	chr8	3205053	3205063	-	0.000	0.000	Merged-chr8-3205181-19
NR59759--MA0599.1.KLF5	chr7	28809179	28809188	+	0.000	0.000	Merged-chr7-28809284-68
NR17215--MA1107.1.KLF9	chr13	58158320	58158332	-	0.000	0.000	Merged-chr13-58158134-148
NR5726--MA1107.1.KLF9	chr10	40688558	40688570	+	0.000	0.000	Merged-chr10-40688620-20
NR48964--MA0039.3.KLF4	chr4	154065653	154065663	-	0.000	0.000	Merged-chr4-154065575-29
NR34459--MA0493.1.Klf1	chr19	56756564	56756574	-	0.000	0.000	Merged-chr19-56756635-43
NR57410--MA0741.1.KLF16	chr6	124493101	124493111	+	0.000	0.000	Merged-chr6-124493051-20
NR48969--MA0742.1.Klf12	chr4	154105753	154105767	-	0.000	0.000	Merged-chr4-154105612-38
NR15189--MA0599.1.KLF5	chr12	99468029	99468038	-	0.000	0.000	Merged-chr12-99468213-62
NR16045--MA1107.1.KLF9	chr12	118424068	118424080	-	0.000	0.000	Merged-chr12-118424167-25
NR67618--MA1107.1.KLF9	chr8	128421100	128421112	-	0.000	0.000	Merged-chr8-128420826-46
NR63831--MA0039.3.KLF4	chr7	143501136	143501146	+	0.000	0.000	Merged-chr7-143501142-12
NR45026--MA0741.1.KLF16	chr4	41348061	41348071	+	0.000	0.000	Merged-chr4-41348000-22
NR53292--MA0599.1.KLF5	chr5	135078251	135078260	+	0.000	0.000	Merged-chr5-135078281-44
NR26081--MA0741.1.KLF16	chr16	44173593	44173603	+	0.000	0.000	Merged-chr16-44173749-3
NR55793--MA1107.1.KLF9	chr6	67535323	67535335	+	0.000	0.000	Merged-chr6-67535210-32
NR56171--MA0742.1.Klf12	chr6	87038456	87038470	-	0.000	0.000	Merged-chr6-87038264-54
NR36222--MA0039.3.KLF4	chr2	54084589	54084599	+	0.000	0.000	Merged-chr2-54084669-5
NR62051--MA0742.1.Klf12	chr7	110203784	110203798	-	0.000	0.000	Merged-chr7-110203728-41
NR50639--MA0039.3.KLF4	chr5	64455581	64455591	+	0.000	0.000	Merged-chr5-64455679-15
NR52310--MA0599.1.KLF5	chr5	117158970	117158979	+	0.000	0.000	Merged-chr5-117158818-32
NR47133--MA0493.1.Klf1	chr4	120854746	120854756	+	0.000	0.000	Merged-chr4-120854918-43
NR39842--MA0493.1.Klf1	chr2	170307068	170307078	-	0.000	0.000	Merged-chr2-170306902-1
NR39734--MA1107.1.KLF9	chr2	168531561	168531573	-	0.000	0.000	Merged-chr2-168531705-18
NR57531--MA0599.1.KLF5	chr6	125434031	125434040	-	0.000	0.000	Merged-chr6-125433874-28
NR47277--MA0599.1.KLF5	chr4	124709124	124709133	-	0.000	0.000	Merged-chr4-124709015-86
NR57530--MA1107.1.KLF9	chr6	125433842	125433854	+	0.000	0.000	Merged-chr6-125433874-28
NR5409--MA0039.3.KLF4	chr10	21354069	21354079	-	0.000	0.000	Merged-chr10-21353968-32
NR22555--MA0599.1.KLF5	chr15	31357168	31357177	+	0.000	0.000	Merged-chr15-31357016-32
NR26215--MA1107.1.KLF9	chr16	49796913	49796925	+	0.000	0.000	Merged-chr16-49797153-43
NR43494--MA1107.1.KLF9	chr3	135675685	135675697	+	0.000	0.000	Merged-chr3-135675679-12
NR57424--MA0599.1.KLF5	chr6	124759474	124759483	+	0.000	0.000	Merged-chr6-124759478-13
NR22645--MA0742.1.Klf12	chr15	36727837	36727851	+	0.000	0.000	Merged-chr15-36727812-56
NR48245--MA1107.1.KLF9	chr4	139598143	139598155	+	0.000	0.000	Merged-chr4-139598021-2
NR47138--MA0493.1.Klf1	chr4	120854784	120854794	+	0.000	0.000	Merged-chr4-120854918-43
NR65166--MA1107.1.KLF9	chr8	68158285	68158297	+	0.000	0.000	Merged-chr8-68158417-16
NR49585--MA0742.1.Klf12	chr5	23722185	23722199	+	0.000	0.000	Merged-chr5-23722080-21
NR26233--MA1107.1.KLF9	chr16	49982428	49982440	-	0.000	0.000	Merged-chr16-49982447-38
NR16440--MA1107.1.KLF9	chr13	28500931	28500943	+	0.000	0.000	Merged-chr13-28501043-27
NR51639--MA0741.1.KLF16	chr5	103365877	103365887	-	0.000	0.000	Merged-chr5-103365833-17
NR47134--MA0741.1.KLF16	chr4	120854747	120854757	+	0.000	0.000	Merged-chr4-120854918-43
NR41078--MA0493.1.Klf1	chr3	54567550	54567560	+	0.000	0.000	Merged-chr3-54567528-25
NR34867--MA0039.3.KLF4	chr2	11496686	11496696	-	0.000	0.000	Merged-chr2-11496832-15
NR5147--MA0599.1.KLF5	chr10	8176481	8176490	-	0.000	0.000	Merged-chr10-8176500-34
NR24398--MA0039.3.KLF4	chr15	93694682	93694692	+	0.000	0.000	Merged-chr15-93694661-9
NR8555--MA0741.1.KLF16	chr10	120697633	120697643	+	0.000	0.000	Merged-chr10-120697518-32
NR20795--MA0742.1.Klf12	chr14	67886974	67886988	+	0.000	0.000	Merged-chr14-67887091-21
NR5155--MA1107.1.KLF9	chr10	8415517	8415529	-	0.000	0.000	Merged-chr10-8415419-33
NR42992--MA0493.1.Klf1	chr3	123446915	123446925	-	0.000	0.000	Merged-chr3-123446801-1
NR3638--MA1107.1.KLF9	chr1	165322330	165322342	+	0.000	0.000	Merged-chr1-165322509-22
NR67173--MA0599.1.KLF5	chr8	121591461	121591470	-	0.000	0.000	Merged-chr8-121591458-17
NR62703--MA1107.1.KLF9	chr7	125597229	125597241	-	0.000	0.000	Merged-chr7-125597306-20
NR3940--MA0741.1.KLF16	chr1	171916127	171916137	+	0.000	0.000	Merged-chr1-171916002-44
NR8483--MA0740.1.KLF14	chr10	119005763	119005776	+	0.000	0.000	Merged-chr10-119005704-15
NR16436--MA0039.3.KLF4	chr13	28500906	28500916	+	0.000	0.000	Merged-chr13-28501043-27
NR48851--MA0493.1.Klf1	chr4	151977899	151977909	-	0.000	0.000	Merged-chr4-151978013-24
NR24663--MA1107.1.KLF9	chr15	98927705	98927717	+	0.000	0.000	Merged-chr15-98927787-24
NR56840--MA0741.1.KLF16	chr6	108448396	108448406	+	0.000	0.000	Merged-chr6-108448378-58
NR47139--MA0741.1.KLF16	chr4	120854785	120854795	+	0.000	0.000	Merged-chr4-120854918-43
NR63830--MA0599.1.KLF5	chr7	143501135	143501144	+	0.000	0.000	Merged-chr7-143501142-12
NR42661--MA0493.1.Klf1	chr3	109133237	109133247	+	0.000	0.000	Merged-chr3-109133281-24
NR17101--MA1107.1.KLF9	chr13	55623007	55623019	-	0.000	0.000	Merged-chr13-55622931-60
NR4783--MA0599.1.KLF5	chr1	191097790	191097799	+	0.000	0.000	Merged-chr1-191097986-4
NR27070--MA0599.1.KLF5	chr16	92400131	92400140	-	0.000	0.000	Merged-chr16-92400195-21
NR50650--MA1107.1.KLF9	chr5	64651650	64651662	-	0.000	0.000	Merged-chr5-64651532-36
NR24668--MA1107.1.KLF9	chr15	98927715	98927727	+	0.000	0.000	Merged-chr15-98927787-24
NR62172--MA0740.1.KLF14	chr7	113256229	113256242	+	0.000	0.000	Merged-chr7-113256129-11
NR2496--MA0742.1.Klf12	chr1	133363683	133363697	+	0.000	0.000	Merged-chr1-133363736-34
NR20792--MA1107.1.KLF9	chr14	67878035	67878047	-	0.000	0.000	Merged-chr14-67877957-30
NR45024--MA0741.1.KLF16	chr4	41348059	41348069	+	0.000	0.000	Merged-chr4-41348000-22
NR26079--MA0599.1.KLF5	chr16	44173589	44173598	+	0.000	0.000	Merged-chr16-44173749-3
NR35588--MA0599.1.KLF5	chr2	30469932	30469941	+	0.000	0.000	Merged-chr2-30470096-26
NR61939--MA0741.1.KLF16	chr7	106256574	106256584	-	0.000	0.000	Merged-chr7-106256658-33
NR17218--MA1107.1.KLF9	chr13	58158326	58158338	-	0.000	0.000	Merged-chr13-58158134-148
NR3688--MA1107.1.KLF9	chr1	165841030	165841042	-	0.000	0.000	Merged-chr1-165841004-25
NR33944--MA0039.3.KLF4	chr19	41597652	41597662	+	0.000	0.000	Merged-chr19-41597559-38
NR16501--MA0599.1.KLF5	chr13	33077252	33077261	-	0.000	0.000	Merged-chr13-33077340-51
NR8550--MA0740.1.KLF14	chr10	120697632	120697645	+	0.000	0.000	Merged-chr10-120697518-32
NR65930--MA0599.1.KLF5	chr8	85037143	85037152	-	0.000	0.000	Merged-chr8-85037291-15
NR3687--MA0741.1.KLF16	chr1	165841037	165841047	-	0.000	0.000	Merged-chr1-165841004-25
NR16044--MA0493.1.Klf1	chr12	118424070	118424080	-	0.000	0.000	Merged-chr12-118424167-25
NR34457--MA0657.1.KLF13	chr19	56756558	56756575	-	0.000	0.000	Merged-chr19-56756635-43
NR68967--MA0599.1.KLF5	chr9	58583283	58583292	-	0.000	0.000	Merged-chr9-58583464-18
NR50647--MA0493.1.Klf1	chr5	64651647	64651657	-	0.000	0.000	Merged-chr5-64651532-36
NR39714--MA1107.1.KLF9	chr2	168492187	168492199	-	0.000	0.000	Merged-chr2-168492092-36
NR11395--MA0039.3.KLF4	chr11	82214554	82214564	-	0.000	0.000	Merged-chr11-82214647-44
NR53249--MA1107.1.KLF9	chr5	134494506	134494518	+	0.000	0.000	Merged-chr5-134494514-28
NR13112--MA0741.1.KLF16	chr11	118248754	118248764	+	0.000	0.000	Merged-chr11-118248688-60
