#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR26284--MA0599.1.KLF5	chr16	55526632	55526641	-	0.000	0.000	Merged-chr16-55526472-43
NR60541--MA1107.1.KLF9	chr7	49303812	49303824	-	0.000	0.000	Merged-chr7-49303959-15
NR6143--MA0599.1.KLF5	chr10	60162561	60162570	+	0.000	0.000	Merged-chr10-60162645-38
NR64749--MA0493.1.Klf1	chr8	45333172	45333182	+	0.000	0.000	Merged-chr8-45333167-99
NR62470--MA0741.1.KLF16	chr7	119673721	119673731	-	0.000	0.000	Merged-chr7-119673662-33
NR39662--MA0741.1.KLF16	chr2	167713157	167713167	-	0.000	0.000	Merged-chr2-167713112-41
NR60790--MA0741.1.KLF16	chr7	63957544	63957554	-	0.000	0.000	Merged-chr7-63957418-17
NR24552--MA0599.1.KLF5	chr15	97606752	97606761	+	0.000	0.000	Merged-chr15-97606857-25
NR65870--MA0493.1.Klf1	chr8	84664140	84664150	-	0.000	0.000	Merged-chr8-84664181-39
NR2501--MA0741.1.KLF16	chr1	133711219	133711229	-	0.000	0.000	Merged-chr1-133711440-47
NR14240--MA0741.1.KLF16	chr12	55388661	55388671	+	0.000	0.000	Merged-chr12-55388568-28
NR36771--MA0599.1.KLF5	chr2	75965080	75965089	+	0.000	0.000	Merged-chr2-75964949-43
NR50166--MA1107.1.KLF9	chr5	38580949	38580961	-	0.000	0.000	Merged-chr5-38580877-38
NR14051--MA0493.1.Klf1	chr12	41566225	41566235	-	0.000	0.000	Merged-chr12-41566300-31
NR35984--MA0039.3.KLF4	chr2	38739576	38739586	+	0.000	0.000	Merged-chr2-38739625-29
NR15732--MA0741.1.KLF16	chr12	111007861	111007871	+	0.000	0.000	Merged-chr12-111007914-34
NR46415--MA0741.1.KLF16	chr4	101217267	101217277	-	0.000	0.000	Merged-chr4-101217167-64
NR68348--MA0599.1.KLF5	chr9	41160883	41160892	-	0.000	0.000	Merged-chr9-41160864-12
NR32035--MA0493.1.Klf1	chr18	67390113	67390123	+	0.000	0.000	Merged-chr18-67389985-1
NR52240--MA0657.1.KLF13	chr5	115693537	115693554	-	0.000	0.000	Merged-chr5-115693567-32
NR43853--MA1107.1.KLF9	chr3	146045217	146045229	-	0.000	0.000	Merged-chr3-146045142-29
NR66210--MA0741.1.KLF16	chr8	95349083	95349093	-	0.000	0.000	Merged-chr8-95348986-27
NR10170--MA1107.1.KLF9	chr11	53324640	53324652	+	0.000	0.000	Merged-chr11-53324720-33
NR66129--MA0740.1.KLF14	chr8	93810528	93810541	+	0.000	0.000	Merged-chr8-93810346-59
NR33272--MA1107.1.KLF9	chr19	9066376	9066388	-	0.000	0.000	Merged-chr19-9066188-87
NR34555--MA0493.1.Klf1	chr19	58850903	58850913	+	0.000	0.000	Merged-chr19-58850860-26
NR31572--MA0657.1.KLF13	chr18	54822919	54822936	+	0.000	0.000	Merged-chr18-54822886-30
NR490--MA1107.1.KLF9	chr1	39102343	39102355	-	0.000	0.000	Merged-chr1-39102412-8
NR7520--MA0740.1.KLF14	chr10	87025106	87025119	+	0.000	0.000	Merged-chr10-87025164-32
NR59966--MA1107.1.KLF9	chr7	30717402	30717414	+	0.000	0.000	Merged-chr7-30717543-30
NR5840--MA1107.1.KLF9	chr10	43706321	43706333	-	0.000	0.000	Merged-chr10-43706280-54
NR8417--MA0599.1.KLF5	chr10	118302305	118302314	+	0.000	0.000	Merged-chr10-118302448-26
NR22737--MA0741.1.KLF16	chr15	38635250	38635260	+	0.000	0.000	Merged-chr15-38635237-53
NR37166--MA1107.1.KLF9	chr2	93454484	93454496	+	0.000	0.000	Merged-chr2-93454506-54
NR51923--MA1107.1.KLF9	chr5	111553895	111553907	-	0.000	0.000	Merged-chr5-111553967-36
NR25614--MA1107.1.KLF9	chr16	23100164	23100176	-	0.000	0.000	Merged-chr16-23100189-17
NR6142--MA1107.1.KLF9	chr10	60160929	60160941	+	0.000	0.000	Merged-chr10-60161046-15
NR68902--MA1107.1.KLF9	chr9	57647820	57647832	-	0.000	0.000	Merged-chr9-57647746-26
NR1707--MA0741.1.KLF16	chr1	92640407	92640417	+	0.000	0.000	Merged-chr1-92640529-29
NR9734--MA1107.1.KLF9	chr11	32011890	32011902	+	0.000	0.000	Merged-chr11-32012025-22
NR60985--MA0493.1.Klf1	chr7	73479743	73479753	+	0.000	0.000	Merged-chr7-73479778-28
NR57952--MA0741.1.KLF16	chr6	134451042	134451052	-	0.000	0.000	Merged-chr6-134450954-21
NR42624--MA0039.3.KLF4	chr3	108795091	108795101	+	0.000	0.000	Merged-chr3-108795122-6
NR31751--MA0493.1.Klf1	chr18	60632874	60632884	-	0.000	0.000	Merged-chr18-60633052-25
NR62740--MA0599.1.KLF5	chr7	126467304	126467313	-	0.000	0.000	Merged-chr7-126467456-1
NR37743--MA0741.1.KLF16	chr2	116071847	116071857	+	0.000	0.000	Merged-chr2-116071770-9
NR65726--MA0039.3.KLF4	chr8	80948510	80948520	-	0.000	0.000	Merged-chr8-80948626-26
NR65630--MA0742.1.Klf12	chr8	77383805	77383819	+	0.000	0.000	Merged-chr8-77383968-15
NR42283--MA0742.1.Klf12	chr3	101377057	101377071	-	0.000	0.000	Merged-chr3-101377096-48
NR8681--MA0599.1.KLF5	chr10	122778138	122778147	+	0.000	0.000	Merged-chr10-122778014-1
NR40020--MA0493.1.Klf1	chr2	173444618	173444628	+	0.000	0.000	Merged-chr2-173444560-32
NR68936--MA0741.1.KLF16	chr9	58112632	58112642	-	0.000	0.000	Merged-chr9-58112486-25
NR3572--MA0599.1.KLF5	chr1	164503615	164503624	-	0.000	0.000	Merged-chr1-164503488-46
NR7111--MA1107.1.KLF9	chr10	80622978	80622990	+	0.000	0.000	Merged-chr10-80622970-10
NR1688--MA0741.1.KLF16	chr1	91825520	91825530	-	0.000	0.000	Merged-chr1-91825474-20
NR7456--MA0741.1.KLF16	chr10	84904054	84904064	+	0.000	0.000	Merged-chr10-84904074-24
NR2514--MA0741.1.KLF16	chr1	133801881	133801891	+	0.000	0.000	Merged-chr1-133801920-3
NR25730--MA0039.3.KLF4	chr16	31075020	31075030	+	0.000	0.000	Merged-chr16-31075015-28
NR58648--MA1107.1.KLF9	chr6	146909287	146909299	-	0.000	0.000	Merged-chr6-146909380-33
NR40347--MA0493.1.Klf1	chr3	9500017	9500027	-	0.000	0.000	Merged-chr3-9499976-58
NR29414--MA1107.1.KLF9	chr17	51735759	51735771	-	0.000	0.000	Merged-chr17-51735735-27
NR7232--MA1107.1.KLF9	chr10	81253306	81253318	-	0.000	0.000	Merged-chr10-81253220-18
NR41420--MA0741.1.KLF16	chr3	79129230	79129240	-	0.000	0.000	Merged-chr3-79129160-12
NR36749--MA0599.1.KLF5	chr2	75114516	75114525	-	0.000	0.000	Merged-chr2-75114355-21
NR35976--MA0742.1.Klf12	chr2	38548378	38548392	-	0.000	0.000	Merged-chr2-38548313-22
NR1069--MA0741.1.KLF16	chr1	69331685	69331695	+	0.000	0.000	Merged-chr1-69331775-34
NR4380--MA0741.1.KLF16	chr1	182764154	182764164	+	0.000	0.000	Merged-chr1-182764155-66
NR42308--MA0599.1.KLF5	chr3	101701455	101701464	-	0.000	0.000	Merged-chr3-101701370-14
NR16727--MA0741.1.KLF16	chr13	43192069	43192079	+	0.000	0.000	Merged-chr13-43191968-21
NR42765--MA0740.1.KLF14	chr3	115897889	115897902	+	0.000	0.000	Merged-chr3-115897908-5
NR47094--MA0493.1.Klf1	chr4	120288020	120288030	+	0.000	0.000	Merged-chr4-120287807-68
NR61085--MA1107.1.KLF9	chr7	78766493	78766505	-	0.000	0.000	Merged-chr7-78766372-38
NR23209--MA0741.1.KLF16	chr15	64113260	64113270	+	0.000	0.000	Merged-chr15-64113403-29
NR18388--MA0741.1.KLF16	chr13	102773321	102773331	-	0.000	0.000	Merged-chr13-102773383-12
NR67387--MA1107.1.KLF9	chr8	125080719	125080731	+	0.000	0.000	Merged-chr8-125080812-18
NR57052--MA0657.1.KLF13	chr6	115559863	115559880	-	0.000	0.000	Merged-chr6-115560075-18
NR60041--MA0741.1.KLF16	chr7	35119101	35119111	-	0.000	0.000	Merged-chr7-35119008-87
NR40379--MA0599.1.KLF5	chr3	10351365	10351374	-	0.000	0.000	Merged-chr3-10351318-69
NR5970--MA1107.1.KLF9	chr10	53889522	53889534	-	0.000	0.000	Merged-chr10-53889619-14
NR14737--MA0599.1.KLF5	chr12	81807420	81807429	+	0.000	0.000	Merged-chr12-81807409-36
NR12748--MA0741.1.KLF16	chr11	113787645	113787655	+	0.000	0.000	Merged-chr11-113787671-26
NR52105--MA0493.1.Klf1	chr5	113994154	113994164	+	0.000	0.000	Merged-chr5-113994160-2
NR1178--MA0741.1.KLF16	chr1	73940877	73940887	+	0.000	0.000	Merged-chr1-73940938-50
NR68356--MA1107.1.KLF9	chr9	41160887	41160899	-	0.000	0.000	Merged-chr9-41160864-12
NR60537--MA1107.1.KLF9	chr7	49303804	49303816	-	0.000	0.000	Merged-chr7-49303959-15
NR54490--MA0740.1.KLF14	chr6	6217148	6217161	+	0.000	0.000	Merged-chr6-6217012-81
NR21115--MA0741.1.KLF16	chr14	76165446	76165456	-	0.000	0.000	Merged-chr14-76165391-21
NR32300--MA0599.1.KLF5	chr18	75819996	75820005	-	0.000	0.000	Merged-chr18-75820018-41
NR27338--MA0493.1.Klf1	chr17	3246813	3246823	-	0.000	0.000	Merged-chr17-3246798-10
NR16445--MA0039.3.KLF4	chr13	28884282	28884292	-	0.000	0.000	Merged-chr13-28884388-8
NR1830--MA1107.1.KLF9	chr1	96871622	96871634	-	0.000	0.000	Merged-chr1-96871649-2
NR65856--MA0039.3.KLF4	chr8	84601619	84601629	+	0.000	0.000	Merged-chr8-84601669-24
NR45412--MA0741.1.KLF16	chr4	47502658	47502668	+	0.000	0.000	Merged-chr4-47502756-26
NR17991--MA0741.1.KLF16	chr13	94567543	94567553	-	0.000	0.000	Merged-chr13-94567668-9
NR57693--MA0493.1.Klf1	chr6	128318434	128318444	+	0.000	0.000	Merged-chr6-128318516-29
NR20099--MA0599.1.KLF5	chr14	46578517	46578526	+	0.000	0.000	Merged-chr14-46578431-37
NR621--MA0741.1.KLF16	chr1	43361888	43361898	+	0.000	0.000	Merged-chr1-43361754-62
NR66177--MA0493.1.Klf1	chr8	94634393	94634403	-	0.000	0.000	Merged-chr8-94634294-63
NR38808--MA0599.1.KLF5	chr2	146888027	146888036	-	0.000	0.000	Merged-chr2-146888107-12
NR21604--MA1107.1.KLF9	chr14	105232610	105232622	-	0.000	0.000	Merged-chr14-105232653-27
NR42665--MA1107.1.KLF9	chr3	109407798	109407810	-	0.000	0.000	Merged-chr3-109408017-19
NR17423--MA0039.3.KLF4	chr13	67194660	67194670	-	0.000	0.000	Merged-chr13-67194635-55
NR68262--MA1107.1.KLF9	chr9	37420801	37420813	+	0.000	0.000	Merged-chr9-37420944-37
NR43849--MA1107.1.KLF9	chr3	146044936	146044948	-	0.000	0.000	Merged-chr3-146045142-29
NR72529--MA0599.1.KLF5	chrX	134808068	134808077	+	0.000	0.000	Merged-chrX-134808077-16
NR53688--MA0599.1.KLF5	chr5	139932834	139932843	-	0.000	0.000	Merged-chr5-139932762-12
NR29205--MA0599.1.KLF5	chr17	47395706	47395715	-	0.000	0.000	Merged-chr17-47395645-41
NR25423--MA0740.1.KLF14	chr16	16992428	16992441	-	0.000	0.000	Merged-chr16-16992386-10
NR5188--MA0599.1.KLF5	chr10	9650506	9650515	+	0.000	0.000	Merged-chr10-9650610-4
NR62287--MA1107.1.KLF9	chr7	116484540	116484552	-	0.000	0.000	Merged-chr7-116484434-42
NR60789--MA0599.1.KLF5	chr7	63957545	63957554	-	0.000	0.000	Merged-chr7-63957418-17
NR18303--MA1107.1.KLF9	chr13	101669125	101669137	-	0.000	0.000	Merged-chr13-101669067-25
NR71457--MA0599.1.KLF5	chr9	122398963	122398972	-	0.000	0.000	Merged-chr9-122399009-31
NR34185--MA0740.1.KLF14	chr19	47464460	47464473	-	0.000	0.000	Merged-chr19-47464349-56
NR8--MA0741.1.KLF16	chr1	4496534	4496544	-	0.000	0.000	Merged-chr1-4496602-47
NR29511--MA0740.1.KLF14	chr17	56425178	56425191	-	0.000	0.000	Merged-chr17-56425045-2
NR5630--MA1107.1.KLF9	chr10	37721440	37721452	+	0.000	0.000	Merged-chr10-37721362-7
NR50466--MA0741.1.KLF16	chr5	57714982	57714992	-	0.000	0.000	Merged-chr5-57715009-24
NR36645--MA1107.1.KLF9	chr2	72995840	72995852	-	0.000	0.000	Merged-chr2-72995875-37
NR41230--MA0039.3.KLF4	chr3	65352914	65352924	+	0.000	0.000	Merged-chr3-65352895-35
NR32613--MA0493.1.Klf1	chr18	82532270	82532280	-	0.000	0.000	Merged-chr18-82532131-16
NR64468--MA0599.1.KLF5	chr8	26698690	26698699	-	0.000	0.000	Merged-chr8-26698799-12
NR2384--MA0599.1.KLF5	chr1	130522445	130522454	+	0.000	0.000	Merged-chr1-130522626-12
NR40383--MA0493.1.Klf1	chr3	10351440	10351450	-	0.000	0.000	Merged-chr3-10351318-69
NR60765--MA0039.3.KLF4	chr7	63755274	63755284	+	0.000	0.000	Merged-chr7-63755494-56
NR36785--MA0599.1.KLF5	chr2	76339137	76339146	+	0.000	0.000	Merged-chr2-76338983-25
NR14741--MA0493.1.Klf1	chr12	81845220	81845230	-	0.000	0.000	Merged-chr12-81845150-28
NR14614--MA0740.1.KLF14	chr12	76710149	76710162	-	0.000	0.000	Merged-chr12-76710295-113
NR16702--MA0599.1.KLF5	chr13	42049184	42049193	-	0.000	0.000	Merged-chr13-42049130-34
NR11256--MA1107.1.KLF9	chr11	78690774	78690786	+	0.000	0.000	Merged-chr11-78690691-3
NR10144--MA0741.1.KLF16	chr11	52341131	52341141	+	0.000	0.000	Merged-chr11-52341177-43
NR33394--MA0493.1.Klf1	chr19	16373323	16373333	+	0.000	0.000	Merged-chr19-16373273-16
NR46452--MA0740.1.KLF14	chr4	101419673	101419686	-	0.000	0.000	Merged-chr4-101419713-70
NR7694--MA0493.1.Klf1	chr10	91122850	91122860	-	0.000	0.000	Merged-chr10-91122777-7
NR54411--MA0741.1.KLF16	chr5	150894465	150894475	-	0.000	0.000	Merged-chr5-150894547-1
NR72341--MA0599.1.KLF5	chrX	99042541	99042550	-	0.000	0.000	Merged-chrX-99042663-22
NR23475--MA1107.1.KLF9	chr15	75894412	75894424	+	0.000	0.000	Merged-chr15-75894455-46
NR29777--MA1107.1.KLF9	chr17	65819434	65819446	+	0.000	0.000	Merged-chr17-65819307-6
NR9636--MA1107.1.KLF9	chr11	24077536	24077548	-	0.000	0.000	Merged-chr11-24077473-13
NR61430--MA1107.1.KLF9	chr7	90341960	90341972	-	0.000	0.000	Merged-chr7-90341759-29
NR14764--MA0742.1.Klf12	chr12	82187381	82187395	+	0.000	0.000	Merged-chr12-82187311-20
NR16012--MA0493.1.Klf1	chr12	117103159	117103169	+	0.000	0.000	Merged-chr12-117103253-4
NR66616--MA0741.1.KLF16	chr8	109957365	109957375	+	0.000	0.000	Merged-chr8-109957445-42
NR20690--MA0599.1.KLF5	chr14	63940982	63940991	-	0.000	0.000	Merged-chr14-63940977-13
NR22731--MA0599.1.KLF5	chr15	38535549	38535558	+	0.000	0.000	Merged-chr15-38535554-39
NR38346--MA0742.1.Klf12	chr2	132131490	132131504	+	0.000	0.000	Merged-chr2-132131548-24
NR23328--MA0493.1.Klf1	chr15	72859485	72859495	+	0.000	0.000	Merged-chr15-72859470-25
NR26708--MA0741.1.KLF16	chr16	76447257	76447267	-	0.000	0.000	Merged-chr16-76447349-16
NR16706--MA0741.1.KLF16	chr13	42049183	42049193	-	0.000	0.000	Merged-chr13-42049130-34
NR71081--MA0741.1.KLF16	chr9	115134878	115134888	+	0.000	0.000	Merged-chr9-115134877-14
NR66202--MA0741.1.KLF16	chr8	95349075	95349085	-	0.000	0.000	Merged-chr8-95348986-27
NR29889--MA1107.1.KLF9	chr17	70886786	70886798	-	0.000	0.000	Merged-chr17-70886838-34
NR30688--MA1107.1.KLF9	chr17	88599089	88599101	-	0.000	0.000	Merged-chr17-88599180-35
NR33398--MA1107.1.KLF9	chr19	16373319	16373331	+	0.000	0.000	Merged-chr19-16373273-16
NR18638--MA0741.1.KLF16	chr13	109440514	109440524	+	0.000	0.000	Merged-chr13-109440485-3
NR52364--MA0741.1.KLF16	chr5	118661946	118661956	+	0.000	0.000	Merged-chr5-118661904-17
NR44403--MA0599.1.KLF5	chr3	159840286	159840295	-	0.000	0.000	Merged-chr3-159840263-108
NR55625--MA1107.1.KLF9	chr6	56916403	56916415	+	0.000	0.000	Merged-chr6-56916577-48
NR36230--MA0599.1.KLF5	chr2	55437056	55437065	+	0.000	0.000	Merged-chr2-55437134-25
NR32066--MA0039.3.KLF4	chr18	68009874	68009884	-	0.000	0.000	Merged-chr18-68009892-31
NR45263--MA0741.1.KLF16	chr4	45766157	45766167	-	0.000	0.000	Merged-chr4-45766216-17
NR50923--MA0740.1.KLF14	chr5	74704352	74704365	-	0.000	0.000	Merged-chr5-74704453-70
NR52243--MA0039.3.KLF4	chr5	115693541	115693551	-	0.000	0.000	Merged-chr5-115693567-32
NR68258--MA0740.1.KLF14	chr9	37420801	37420814	+	0.000	0.000	Merged-chr9-37420944-37
NR19636--MA0599.1.KLF5	chr14	27114835	27114844	+	0.000	0.000	Merged-chr14-27114945-21
NR62223--MA0741.1.KLF16	chr7	115217059	115217069	-	0.000	0.000	Merged-chr7-115217038-43
NR67984--MA0599.1.KLF5	chr9	21962592	21962601	+	0.000	0.000	Merged-chr9-21962533-26
NR37193--MA0741.1.KLF16	chr2	94263465	94263475	+	0.000	0.000	Merged-chr2-94263643-18
NR56067--MA0599.1.KLF5	chr6	85029864	85029873	+	0.000	0.000	Merged-chr6-85029852-8
NR25674--MA0599.1.KLF5	chr16	28853748	28853757	+	0.000	0.000	Merged-chr16-28853718-1
NR30842--MA0741.1.KLF16	chr18	5819884	5819894	+	0.000	0.000	Merged-chr18-5820020-28
NR3262--MA0740.1.KLF14	chr1	156076615	156076628	-	0.000	0.000	Merged-chr1-156076663-15
NR42455--MA1107.1.KLF9	chr3	103862686	103862698	+	0.000	0.000	Merged-chr3-103862515-1
NR41760--MA0741.1.KLF16	chr3	89896722	89896732	+	0.000	0.000	Merged-chr3-89896775-17
NR69639--MA0741.1.KLF16	chr9	77939192	77939202	+	0.000	0.000	Merged-chr9-77938986-43
NR62951--MA0741.1.KLF16	chr7	128633410	128633420	-	0.000	0.000	Merged-chr7-128633323-34
NR57045--MA0599.1.KLF5	chr6	114936725	114936734	+	0.000	0.000	Merged-chr6-114936685-54
NR65003--MA0599.1.KLF5	chr8	60632695	60632704	+	0.000	0.000	Merged-chr8-60632762-58
NR9999--MA0741.1.KLF16	chr11	49202769	49202779	-	0.000	0.000	Merged-chr11-49202721-8
NR25238--MA0742.1.Klf12	chr16	10788760	10788774	-	0.000	0.000	Merged-chr16-10788652-37
NR56715--MA1107.1.KLF9	chr6	100390391	100390403	+	0.000	0.000	Merged-chr6-100390476-26
NR70358--MA0493.1.Klf1	chr9	99469927	99469937	+	0.000	0.000	Merged-chr9-99469936-29
NR38951--MA0493.1.Klf1	chr2	151971069	151971079	+	0.000	0.000	Merged-chr2-151971067-35
NR39239--MA1107.1.KLF9	chr2	158771239	158771251	-	0.000	0.000	Merged-chr2-158771297-12
NR41114--MA0039.3.KLF4	chr3	55652433	55652443	+	0.000	0.000	Merged-chr3-55652514-31
NR14763--MA1107.1.KLF9	chr12	82166462	82166474	-	0.000	0.000	Merged-chr12-82166286-58
NR50768--MA0599.1.KLF5	chr5	66337681	66337690	+	0.000	0.000	Merged-chr5-66337636-49
NR12565--MA0741.1.KLF16	chr11	109375505	109375515	-	0.000	0.000	Merged-chr11-109375589-56
NR32202--MA0599.1.KLF5	chr18	73623250	73623259	-	0.000	0.000	Merged-chr18-73623200-49
NR49059--MA1107.1.KLF9	chr4	155154764	155154776	-	0.000	0.000	Merged-chr4-155154662-3
NR44975--MA1107.1.KLF9	chr4	41098227	41098239	+	0.000	0.000	Merged-chr4-41098181-38
NR56356--MA0741.1.KLF16	chr6	91156787	91156797	+	0.000	0.000	Merged-chr6-91156791-33
NR44421--MA0599.1.KLF5	chr4	3875105	3875114	+	0.000	0.000	Merged-chr4-3875114-47
NR18112--MA0599.1.KLF5	chr13	97694928	97694937	-	0.000	0.000	Merged-chr13-97694845-1
NR2944--MA0599.1.KLF5	chr1	151041128	151041137	-	0.000	0.000	Merged-chr1-151041056-25
NR38504--MA0599.1.KLF5	chr2	136917806	136917815	-	0.000	0.000	Merged-chr2-136917960-10
NR49279--MA0493.1.Klf1	chr5	5749404	5749414	+	0.000	0.000	Merged-chr5-5749564-48
NR32751--MA0039.3.KLF4	chr18	84911754	84911764	-	0.000	0.000	Merged-chr18-84911932-15
NR34394--MA1107.1.KLF9	chr19	55260753	55260765	-	0.000	0.000	Merged-chr19-55260920-21
NR10166--MA0039.3.KLF4	chr11	53141343	53141353	-	0.000	0.000	Merged-chr11-53141237-14
NR5626--MA1107.1.KLF9	chr10	37721432	37721444	+	0.000	0.000	Merged-chr10-37721362-7
NR22424--MA0741.1.KLF16	chr15	25269714	25269724	-	0.000	0.000	Merged-chr15-25269773-79
NR16710--MA1107.1.KLF9	chr13	42049182	42049194	-	0.000	0.000	Merged-chr13-42049130-34
NR41226--MA0039.3.KLF4	chr3	65352868	65352878	-	0.000	0.000	Merged-chr3-65352895-35
NR20649--MA1107.1.KLF9	chr14	61744090	61744102	-	0.000	0.000	Merged-chr14-61744186-5
NR61429--MA0741.1.KLF16	chr7	90341961	90341971	-	0.000	0.000	Merged-chr7-90341759-29
NR40620--MA1107.1.KLF9	chr3	28781295	28781307	-	0.000	0.000	Merged-chr3-28781211-76
NR26069--MA1107.1.KLF9	chr16	44016449	44016461	+	0.000	0.000	Merged-chr16-44016321-50
NR486--MA0039.3.KLF4	chr1	39102341	39102351	-	0.000	0.000	Merged-chr1-39102412-8
NR23850--MA0741.1.KLF16	chr15	80930425	80930435	-	0.000	0.000	Merged-chr15-80930587-88
NR23001--MA0742.1.Klf12	chr15	57970376	57970390	+	0.000	0.000	Merged-chr15-57970382-25
NR39150--MA0493.1.Klf1	chr2	156840353	156840363	-	0.000	0.000	Merged-chr2-156840151-65
NR68352--MA0741.1.KLF16	chr9	41160886	41160896	-	0.000	0.000	Merged-chr9-41160864-12
NR31457--MA0599.1.KLF5	chr18	46092754	46092763	+	0.000	0.000	Merged-chr18-46092706-65
NR39952--MA0599.1.KLF5	chr2	172940357	172940366	-	0.000	0.000	Merged-chr2-172940358-59
NR66738--MA0741.1.KLF16	chr8	113669801	113669811	-	0.000	0.000	Merged-chr8-113669969-10
NR39933--MA1107.1.KLF9	chr2	172405282	172405294	-	0.000	0.000	Merged-chr2-172405200-19
NR56331--MA0742.1.Klf12	chr6	90988825	90988839	+	0.000	0.000	Merged-chr6-90988729-111
NR49364--MA0741.1.KLF16	chr5	14514926	14514936	-	0.000	0.000	Merged-chr5-14515082-42
NR32435--MA0599.1.KLF5	chr18	79257503	79257512	-	0.000	0.000	Merged-chr18-79257508-110
NR38950--MA0039.3.KLF4	chr2	151971071	151971081	+	0.000	0.000	Merged-chr2-151971067-35
NR31948--MA0740.1.KLF14	chr18	65924897	65924910	-	0.000	0.000	Merged-chr18-65924997-33
NR47444--MA0493.1.Klf1	chr4	129272589	129272599	+	0.000	0.000	Merged-chr4-129272515-32
NR66759--MA1107.1.KLF9	chr8	114506094	114506106	-	0.000	0.000	Merged-chr8-114506190-31
NR42027--MA0741.1.KLF16	chr3	95739603	95739613	+	0.000	0.000	Merged-chr3-95739473-23
NR50420--MA0742.1.Klf12	chr5	53605578	53605592	-	0.000	0.000	Merged-chr5-53605625-25
NR20648--MA0741.1.KLF16	chr14	61744091	61744101	-	0.000	0.000	Merged-chr14-61744186-5
NR41773--MA0741.1.KLF16	chr3	89911446	89911456	+	0.000	0.000	Merged-chr3-89911440-10
NR46362--MA0039.3.KLF4	chr4	99120545	99120555	-	0.000	0.000	Merged-chr4-99120724-28
NR3264--MA0599.1.KLF5	chr1	156217595	156217604	+	0.000	0.000	Merged-chr1-156217514-18
NR20686--MA0599.1.KLF5	chr14	63940962	63940971	-	0.000	0.000	Merged-chr14-63940977-13
NR36747--MA0740.1.KLF14	chr2	75114513	75114526	-	0.000	0.000	Merged-chr2-75114355-21
NR39163--MA1107.1.KLF9	chr2	157119283	157119295	-	0.000	0.000	Merged-chr2-157119108-55
NR49278--MA0039.3.KLF4	chr5	5749406	5749416	+	0.000	0.000	Merged-chr5-5749564-48
NR622--MA0599.1.KLF5	chr1	43389231	43389240	+	0.000	0.000	Merged-chr1-43389283-10
NR60906--MA0599.1.KLF5	chr7	67222559	67222568	+	0.000	0.000	Merged-chr7-67222582-57
NR68732--MA0741.1.KLF16	chr9	51168206	51168216	-	0.000	0.000	Merged-chr9-51168146-14
NR72449--MA0599.1.KLF5	chrX	104857315	104857324	+	0.000	0.000	Merged-chrX-104857124-25
NR48047--MA0741.1.KLF16	chr4	136281911	136281921	-	0.000	0.000	Merged-chr4-136281808-2
NR64896--MA0741.1.KLF16	chr8	54077297	54077307	+	0.000	0.000	Merged-chr8-54077425-74
NR31545--MA0039.3.KLF4	chr18	53406961	53406971	-	0.000	0.000	Merged-chr18-53407055-10
NR45148--MA0493.1.Klf1	chr4	43171522	43171532	-	0.000	0.000	Merged-chr4-43171535-31
NR23372--MA0039.3.KLF4	chr15	73269737	73269747	-	0.000	0.000	Merged-chr15-73269673-2
NR13463--MA1107.1.KLF9	chr12	8827550	8827562	-	0.000	0.000	Merged-chr12-8827572-4
NR3018--MA0599.1.KLF5	chr1	152084755	152084764	-	0.000	0.000	Merged-chr1-152084822-56
NR14102--MA0599.1.KLF5	chr12	52383032	52383041	+	0.000	0.000	Merged-chr12-52383146-23
NR10963--MA0039.3.KLF4	chr11	73267425	73267435	-	0.000	0.000	Merged-chr11-73267242-14
NR58914--MA0742.1.Klf12	chr7	7130764	7130778	+	0.000	0.000	Merged-chr7-7130705-50
NR23419--MA0741.1.KLF16	chr15	74897784	74897794	+	0.000	0.000	Merged-chr15-74897771-10
NR34781--MA0741.1.KLF16	chr2	6872688	6872698	-	0.000	0.000	Merged-chr2-6872514-89
NR47445--MA0741.1.KLF16	chr4	129272590	129272600	+	0.000	0.000	Merged-chr4-129272515-32
NR29512--MA0657.1.KLF13	chr17	56425175	56425192	-	0.000	0.000	Merged-chr17-56425045-2
NR22754--MA0599.1.KLF5	chr15	39943795	39943804	-	0.000	0.000	Merged-chr15-39943726-117
NR67540--MA1107.1.KLF9	chr8	127447347	127447359	-	0.000	0.000	Merged-chr8-127447217-34
NR68823--MA0493.1.Klf1	chr9	55410727	55410737	+	0.000	0.000	Merged-chr9-55410514-19
NR1561--MA0740.1.KLF14	chr1	87847398	87847411	-	0.000	0.000	Merged-chr1-87847290-68
NR60924--MA0599.1.KLF5	chr7	68205951	68205960	-	0.000	0.000	Merged-chr7-68206033-25
NR41119--MA0039.3.KLF4	chr3	55688151	55688161	-	0.000	0.000	Merged-chr3-55687980-1
