#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed
NR5712--MA0591.1.Bach1::Mafk	chr16	43253287	43253301	-	0.000	0.000	Merged-chr16-43253230-31
NR7484--MA0495.2.MAFF	chr2	11497008	11497028	+	0.000	0.000	Merged-chr2-11496832-15
NR2464--MA0496.2.MAFK	chr11	62185076	62185094	-	0.000	0.000	Merged-chr11-62185170-13
NR12017--MA0501.1.MAF::NFE2	chr6	98933386	98933400	-	0.000	0.000	Merged-chr6-98933342-15
NR14853--MA0496.2.MAFK	chrX	42336961	42336979	-	0.000	0.000	Merged-chrX-42336875-23
NR7759--MA0501.1.MAF::NFE2	chr2	59042839	59042853	-	0.000	0.000	Merged-chr2-59042814-35
NR13927--MA0089.1.MAFG::NFE2L1	chr8	115183824	115183829	+	0.000	0.000	Merged-chr8-115183735-24
NR11828--MA0659.1.MAFG	chr6	67014762	67014782	+	0.000	0.000	Merged-chr6-67014748-19
NR14317--MA0501.1.MAF::NFE2	chr9	55209109	55209123	-	0.000	0.000	Merged-chr9-55209102-59
NR7780--MA0591.1.Bach1::Mafk	chr2	60328783	60328797	-	0.000	0.000	Merged-chr2-60328757-33
NR6932--MA0089.1.MAFG::NFE2L1	chr18	66429304	66429309	+	0.000	0.000	Merged-chr18-66429331-35
NR11830--MA0501.1.MAF::NFE2	chr6	67014762	67014776	-	0.000	0.000	Merged-chr6-67014748-19
NR7898--MA0501.1.MAF::NFE2	chr2	79137995	79138009	-	0.000	0.000	Merged-chr2-79138133-24
NR9051--MA0089.1.MAFG::NFE2L1	chr3	79177390	79177395	+	0.000	0.000	Merged-chr3-79177375-21
NR285--MA0501.1.MAF::NFE2	chr1	66649749	66649763	-	0.000	0.000	Merged-chr1-66649832-31
NR11515--MA0117.2.Mafb	chr6	8299319	8299330	+	0.000	0.000	Merged-chr6-8299314-15
NR3377--MA0591.1.Bach1::Mafk	chr12	108613430	108613444	-	0.000	0.000	Merged-chr12-108613293-25
NR11827--MA0591.1.Bach1::Mafk	chr6	67014765	67014779	-	0.000	0.000	Merged-chr6-67014748-19
NR307--MA0659.1.MAFG	chr1	72449904	72449924	+	0.000	0.000	Merged-chr1-72450027-13
NR4043--MA0117.2.Mafb	chr13	95419599	95419610	-	0.000	0.000	Merged-chr13-95419619-28
NR9668--MA0089.1.MAFG::NFE2L1	chr3	152127457	152127462	+	0.000	0.000	Merged-chr3-152127515-20
