#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR41284--MA1107.1.KLF9	chr3	89243752	89243764	+	0.000	0.000	Merged-chr3-89243790-13
NR43749--MA0741.1.KLF16	chr3	152209701	152209711	-	0.000	0.000	Merged-chr3-152209810-2
NR33734--MA0493.1.Klf1	chr19	45079937	45079947	-	0.000	0.000	Merged-chr19-45079804-49
NR4092--MA0741.1.KLF16	chr1	184064443	184064453	+	0.000	0.000	Merged-chr1-184064517-33
NR38328--MA0741.1.KLF16	chr2	147832614	147832624	+	0.000	0.000	Merged-chr2-147832545-2
NR69137--MA1107.1.KLF9	chr9	120039505	120039517	-	0.000	0.000	Merged-chr9-120039595-19
NR52560--MA0741.1.KLF16	chr5	140389371	140389381	+	0.000	0.000	Merged-chr5-140389352-56
NR42082--MA0741.1.KLF16	chr3	107357401	107357411	-	0.000	0.000	Merged-chr3-107357315-31
NR47432--MA0742.1.Klf12	chr4	140986878	140986892	-	0.000	0.000	Merged-chr4-140986955-63
NR58279--MA0741.1.KLF16	chr7	25683636	25683646	-	0.000	0.000	Merged-chr7-25683734-21
NR22743--MA1107.1.KLF9	chr15	59596759	59596771	+	0.000	0.000	Merged-chr15-59596634-94
NR8246--MA0741.1.KLF16	chr10	117925715	117925725	+	0.000	0.000	Merged-chr10-117925903-63
NR33843--MA0741.1.KLF16	chr19	46983951	46983961	+	0.000	0.000	Merged-chr19-46983880-15
NR59310--MA0741.1.KLF16	chr7	64048784	64048794	-	0.000	0.000	Merged-chr7-64048843-48
NR22328--MA0742.1.Klf12	chr15	36374999	36375013	+	0.000	0.000	Merged-chr15-36375084-60
NR65319--MA0039.3.KLF4	chr8	125558864	125558874	+	0.000	0.000	Merged-chr8-125558804-33
NR44321--MA1107.1.KLF9	chr4	32062919	32062931	-	0.000	0.000	Merged-chr4-32062856-11
NR64713--MA1107.1.KLF9	chr8	115531466	115531478	+	0.000	0.000	Merged-chr8-115531430-21
NR33644--MA1107.1.KLF9	chr19	42770731	42770743	-	0.000	0.000	Merged-chr19-42770693-24
NR7896--MA0741.1.KLF16	chr10	108110421	108110431	-	0.000	0.000	Merged-chr10-108110299-11
NR27833--MA0741.1.KLF16	chr17	28590946	28590956	-	0.000	0.000	Merged-chr17-28590948-24
NR33355--MA0742.1.Klf12	chr19	32957100	32957114	+	0.000	0.000	Merged-chr19-32957163-34
NR69604--MA0599.1.KLF5	chrX	13552351	13552360	-	0.000	0.000	Merged-chrX-13552455-23
NR57643--MA0741.1.KLF16	chr7	4777060	4777070	-	0.000	0.000	Merged-chr7-4777194-35
NR69716--MA0599.1.KLF5	chrX	48147979	48147988	+	0.000	0.000	Merged-chrX-48147927-58
NR2191--MA0493.1.Klf1	chr1	133159465	133159475	+	0.000	0.000	Merged-chr1-133159409-33
NR46398--MA1107.1.KLF9	chr4	120053626	120053638	-	0.000	0.000	Merged-chr4-120053646-59
NR68576--MA0740.1.KLF14	chr9	110880111	110880124	+	0.000	0.000	Merged-chr9-110880207-47
NR44685--MA0599.1.KLF5	chr4	43936458	43936467	+	0.000	0.000	Merged-chr4-43936425-4
NR65821--MA1107.1.KLF9	chr9	22650741	22650753	+	0.000	0.000	Merged-chr9-22650978-25
NR52764--MA0599.1.KLF5	chr5	143975135	143975144	+	0.000	0.000	Merged-chr5-143975077-1
NR27712--MA0742.1.Klf12	chr17	27564904	27564918	-	0.000	0.000	Merged-chr17-27564806-2
NR49174--MA0740.1.KLF14	chr5	35771277	35771290	-	0.000	0.000	Merged-chr5-35771159-16
NR22673--MA0599.1.KLF5	chr15	57921706	57921715	+	0.000	0.000	Merged-chr15-57921644-21
NR59368--MA0599.1.KLF5	chr7	66273698	66273707	+	0.000	0.000	Merged-chr7-66273667-10
NR52750--MA0493.1.Klf1	chr5	143561633	143561643	-	0.000	0.000	Merged-chr5-143561800-6
NR46058--MA1107.1.KLF9	chr4	109136948	109136960	+	0.000	0.000	Merged-chr4-109136872-28
NR24444--MA0742.1.Klf12	chr15	100424482	100424496	+	0.000	0.000	Merged-chr15-100424546-20
NR50910--MA1107.1.KLF9	chr5	112239855	112239867	-	0.000	0.000	Merged-chr5-112239781-12
NR65039--MA0599.1.KLF5	chr8	121898641	121898650	-	0.000	0.000	Merged-chr8-121898554-47
NR69085--MA0599.1.KLF5	chr9	119254822	119254831	+	0.000	0.000	Merged-chr9-119254891-26
NR9924--MA0599.1.KLF5	chr11	54844646	54844655	+	0.000	0.000	Merged-chr11-54844701-31
NR25373--MA1107.1.KLF9	chr16	32516547	32516559	-	0.000	0.000	Merged-chr16-32516451-30
NR49329--MA0599.1.KLF5	chr5	44239421	44239430	+	0.000	0.000	Merged-chr5-44239344-7
NR50208--MA0493.1.Klf1	chr5	92001025	92001035	+	0.000	0.000	Merged-chr5-92000971-27
NR16966--MA0493.1.Klf1	chr13	51726393	51726403	-	0.000	0.000	Merged-chr13-51726299-41
NR29943--MA1107.1.KLF9	chr17	85901155	85901167	+	0.000	0.000	Merged-chr17-85901349-9
NR12230--MA0741.1.KLF16	chr11	103808768	103808778	-	0.000	0.000	Merged-chr11-103808730-15
NR27716--MA0741.1.KLF16	chr17	27564907	27564917	-	0.000	0.000	Merged-chr17-27564806-2
NR7981--MA0493.1.Klf1	chr10	111562892	111562902	+	0.000	0.000	Merged-chr10-111562842-26
NR13495--MA0493.1.Klf1	chr12	12580877	12580887	+	0.000	0.000	Merged-chr12-12580881-28
NR8283--MA0493.1.Klf1	chr10	118443074	118443084	-	0.000	0.000	Merged-chr10-118443080-28
NR20586--MA0039.3.KLF4	chr14	64628281	64628291	-	0.000	0.000	Merged-chr14-64628307-21
NR70765--MA1107.1.KLF9	chrY	90800453	90800465	-	0.000	0.000	Merged-chrY-90800606-25
NR19689--MA1107.1.KLF9	chr14	27351720	27351732	-	0.000	0.000	Merged-chr14-27351647-44
NR59713--MA0599.1.KLF5	chr7	80911181	80911190	+	0.000	0.000	Merged-chr7-80911261-13
NR69394--MA0741.1.KLF16	chr9	123845250	123845260	-	0.000	0.000	Merged-chr9-123845275-20
NR34036--MA0741.1.KLF16	chr19	55403003	55403013	+	0.000	0.000	Merged-chr19-55402966-18
NR41304--MA0599.1.KLF5	chr3	89378611	89378620	-	0.000	0.000	Merged-chr3-89378543-26
NR33685--MA1107.1.KLF9	chr19	44069762	44069774	+	0.000	0.000	Merged-chr19-44069600-84
NR40580--MA0740.1.KLF14	chr3	52470108	52470121	-	0.000	0.000	Merged-chr3-52470194-16
NR8982--MA0599.1.KLF5	chr11	3371487	3371496	-	0.000	0.000	Merged-chr11-3371528-30
NR61869--MA0741.1.KLF16	chr7	140264972	140264982	-	0.000	0.000	Merged-chr7-140265035-12
NR62351--MA0493.1.Klf1	chr8	11107241	11107251	-	0.000	0.000	Merged-chr8-11107220-18
NR12514--MA0741.1.KLF16	chr11	109792072	109792082	+	0.000	0.000	Merged-chr11-109792147-5
NR38342--MA1107.1.KLF9	chr2	147832633	147832645	+	0.000	0.000	Merged-chr2-147832545-2
NR15473--MA0740.1.KLF14	chr12	107961261	107961274	+	0.000	0.000	Merged-chr12-107961222-28
NR47853--MA0740.1.KLF14	chr4	148167198	148167211	+	0.000	0.000	Merged-chr4-148167175-10
NR19832--MA0740.1.KLF14	chr14	34768543	34768556	+	0.000	0.000	Merged-chr14-34768619-7
NR58278--MA0493.1.Klf1	chr7	25683637	25683647	-	0.000	0.000	Merged-chr7-25683734-21
NR20815--MA1107.1.KLF9	chr14	73349358	73349370	-	0.000	0.000	Merged-chr14-73349439-20
NR21799--MA0741.1.KLF16	chr14	121315914	121315924	-	0.000	0.000	Merged-chr14-121315767-6
NR30635--MA1107.1.KLF9	chr18	34777007	34777019	-	0.000	0.000	Merged-chr18-34776840-4
NR22329--MA0599.1.KLF5	chr15	36375000	36375009	+	0.000	0.000	Merged-chr15-36375084-60
NR28088--MA1107.1.KLF9	chr17	33565075	33565087	+	0.000	0.000	Merged-chr17-33564988-8
NR43750--MA0741.1.KLF16	chr3	152209703	152209713	-	0.000	0.000	Merged-chr3-152209810-2
NR28278--MA0741.1.KLF16	chr17	35706199	35706209	-	0.000	0.000	Merged-chr17-35706172-14
NR22918--MA0742.1.Klf12	chr15	66899017	66899031	-	0.000	0.000	Merged-chr15-66899064-14
NR15480--MA0742.1.Klf12	chr12	107961289	107961303	+	0.000	0.000	Merged-chr12-107961222-28
NR27997--MA0493.1.Klf1	chr17	31326305	31326315	-	0.000	0.000	Merged-chr17-31326302-35
NR32601--MA0599.1.KLF5	chr19	4943139	4943148	+	0.000	0.000	Merged-chr19-4942974-44
NR891--MA0741.1.KLF16	chr1	60447262	60447272	+	0.000	0.000	Merged-chr1-60447262-12
NR52302--MA0039.3.KLF4	chr5	137425543	137425553	+	0.000	0.000	Merged-chr5-137425710-17
NR57648--MA0741.1.KLF16	chr7	4777376	4777386	+	0.000	0.000	Merged-chr7-4777194-35
NR9136--MA0493.1.Klf1	chr11	6410291	6410301	-	0.000	0.000	Merged-chr11-6410402-18
NR13723--MA0742.1.Klf12	chr12	26418535	26418549	+	0.000	0.000	Merged-chr12-26418553-8
NR7977--MA0493.1.Klf1	chr10	111562799	111562809	+	0.000	0.000	Merged-chr10-111562842-26
NR52562--MA1107.1.KLF9	chr5	140389370	140389382	+	0.000	0.000	Merged-chr5-140389352-56
NR38687--MA1107.1.KLF9	chr2	155553246	155553258	+	0.000	0.000	Merged-chr2-155553198-41
NR34566--MA0599.1.KLF5	chr2	11320369	11320378	+	0.000	0.000	Merged-chr2-11320345-22
NR47829--MA1107.1.KLF9	chr4	148115749	148115761	+	0.000	0.000	Merged-chr4-148115678-7
NR39441--MA1107.1.KLF9	chr2	169520065	169520077	-	0.000	0.000	Merged-chr2-169519991-22
NR64284--MA0740.1.KLF14	chr8	104439601	104439614	-	0.000	0.000	Merged-chr8-104439585-1
NR51557--MA0039.3.KLF4	chr5	124075944	124075954	+	0.000	0.000	Merged-chr5-124075936-23
NR58618--MA1107.1.KLF9	chr7	31028803	31028815	+	0.000	0.000	Merged-chr7-31028766-21
NR36852--MA1107.1.KLF9	chr2	103664550	103664562	+	0.000	0.000	Merged-chr2-103664594-1
NR40576--MA1107.1.KLF9	chr3	52297519	52297531	+	0.000	0.000	Merged-chr3-52297502-16
NR24177--MA0493.1.Klf1	chr15	97329485	97329495	-	0.000	0.000	Merged-chr15-97329409-11
NR5901--MA0741.1.KLF16	chr10	60125883	60125893	-	0.000	0.000	Merged-chr10-60126055-19
NR15484--MA0741.1.KLF16	chr12	107961290	107961300	+	0.000	0.000	Merged-chr12-107961222-28
NR38338--MA1107.1.KLF9	chr2	147832625	147832637	+	0.000	0.000	Merged-chr2-147832545-2
NR68579--MA0741.1.KLF16	chr9	110880152	110880162	-	0.000	0.000	Merged-chr9-110880207-47
NR8650--MA1107.1.KLF9	chr10	125333670	125333682	+	0.000	0.000	Merged-chr10-125333760-2
NR61195--MA0599.1.KLF5	chr7	126704205	126704214	+	0.000	0.000	Merged-chr7-126704169-1
NR54403--MA0599.1.KLF5	chr6	66313067	66313076	+	0.000	0.000	Merged-chr6-66313006-24
NR26383--MA1107.1.KLF9	chr16	90329845	90329857	+	0.000	0.000	Merged-chr16-90329904-1
NR21960--MA0599.1.KLF5	chr15	5237424	5237433	-	0.000	0.000	Merged-chr15-5237523-64
NR13048--MA0493.1.Klf1	chr11	118035288	118035298	-	0.000	0.000	Merged-chr11-118035350-21
NR61543--MA0741.1.KLF16	chr7	133003567	133003577	-	0.000	0.000	Merged-chr7-133003648-18
NR66191--MA1107.1.KLF9	chr9	44013971	44013983	+	0.000	0.000	Merged-chr9-44013875-7
NR9351--MA0741.1.KLF16	chr11	22859038	22859048	-	0.000	0.000	Merged-chr11-22859129-5
NR13676--MA0740.1.KLF14	chr12	25155527	25155540	-	0.000	0.000	Merged-chr12-25155613-40
NR39568--MA0599.1.KLF5	chr2	172926539	172926548	-	0.000	0.000	Merged-chr2-172926508-28
NR30122--MA0657.1.KLF13	chr17	88581667	88581684	-	0.000	0.000	Merged-chr17-88581790-53
NR62051--MA1107.1.KLF9	chr7	142396756	142396768	-	0.000	0.000	Merged-chr7-142396800-18
NR24993--MA0741.1.KLF16	chr16	17405428	17405438	+	0.000	0.000	Merged-chr16-17405439-1
NR27926--MA0741.1.KLF16	chr17	29500852	29500862	-	0.000	0.000	Merged-chr17-29500871-30
NR17421--MA0493.1.Klf1	chr13	65070137	65070147	+	0.000	0.000	Merged-chr13-65070187-24
NR11921--MA0599.1.KLF5	chr11	99012471	99012480	-	0.000	0.000	Merged-chr11-99012536-12
NR24657--MA0599.1.KLF5	chr15	103255481	103255490	+	0.000	0.000	Merged-chr15-103255305-35
NR17528--MA1107.1.KLF9	chr13	69821614	69821626	-	0.000	0.000	Merged-chr13-69821460-47
NR65975--MA0493.1.Klf1	chr9	32620639	32620649	+	0.000	0.000	Merged-chr9-32620706-25
NR30--MA0741.1.KLF16	chr1	7206768	7206778	+	0.000	0.000	Merged-chr1-7206621-34
NR47431--MA0740.1.KLF14	chr4	140986879	140986892	-	0.000	0.000	Merged-chr4-140986955-63
NR30001--MA0599.1.KLF5	chr17	86760427	86760436	-	0.000	0.000	Merged-chr17-86760300-15
NR27764--MA0741.1.KLF16	chr17	27909769	27909779	-	0.000	0.000	Merged-chr17-27909900-10
NR15482--MA0039.3.KLF4	chr12	107961291	107961301	+	0.000	0.000	Merged-chr12-107961222-28
NR1045--MA0741.1.KLF16	chr1	66897062	66897072	+	0.000	0.000	Merged-chr1-66897217-4
NR22327--MA0740.1.KLF14	chr15	36374999	36375012	+	0.000	0.000	Merged-chr15-36375084-60
NR8655--MA1107.1.KLF9	chr10	125333680	125333692	+	0.000	0.000	Merged-chr10-125333760-2
NR30672--MA0493.1.Klf1	chr18	35854610	35854620	-	0.000	0.000	Merged-chr18-35854632-7
NR29999--MA0599.1.KLF5	chr17	86760417	86760426	-	0.000	0.000	Merged-chr17-86760300-15
NR46902--MA0599.1.KLF5	chr4	132771916	132771925	+	0.000	0.000	Merged-chr4-132771976-11
NR65753--MA0741.1.KLF16	chr9	21601242	21601252	-	0.000	0.000	Merged-chr9-21601283-11
NR52559--MA0493.1.Klf1	chr5	140389389	140389399	+	0.000	0.000	Merged-chr5-140389352-56
NR39229--MA0742.1.Klf12	chr2	166664664	166664678	-	0.000	0.000	Merged-chr2-166664771-14
NR36508--MA1107.1.KLF9	chr2	84482072	84482084	+	0.000	0.000	Merged-chr2-84481991-45
NR47087--MA0493.1.Klf1	chr4	134652273	134652283	-	0.000	0.000	Merged-chr4-134652470-11
NR9330--MA0741.1.KLF16	chr11	21247765	21247775	+	0.000	0.000	Merged-chr11-21247881-35
NR54069--MA0740.1.KLF14	chr6	48693967	48693980	-	0.000	0.000	Merged-chr6-48693973-35
NR34472--MA0493.1.Klf1	chr2	6522535	6522545	+	0.000	0.000	Merged-chr2-6522633-5
NR22920--MA0493.1.Klf1	chr15	66899021	66899031	-	0.000	0.000	Merged-chr15-66899064-14
NR57564--MA0039.3.KLF4	chr7	3449898	3449908	+	0.000	0.000	Merged-chr7-3449845-14
NR254--MA0657.1.KLF13	chr1	33883602	33883619	+	0.000	0.000	Merged-chr1-33883578-48
NR27930--MA1107.1.KLF9	chr17	29500857	29500869	-	0.000	0.000	Merged-chr17-29500871-30
NR31654--MA1107.1.KLF9	chr18	73745234	73745246	-	0.000	0.000	Merged-chr18-73745138-6
NR27483--MA0493.1.Klf1	chr17	24344897	24344907	-	0.000	0.000	Merged-chr17-24344874-27
NR46225--MA1107.1.KLF9	chr4	116185271	116185283	-	0.000	0.000	Merged-chr4-116185296-27
NR10534--MA0741.1.KLF16	chr11	70622584	70622594	-	0.000	0.000	Merged-chr11-70622499-26
NR67589--MA0741.1.KLF16	chr9	84972157	84972167	-	0.000	0.000	Merged-chr9-84971931-23
NR48979--MA0599.1.KLF5	chr5	31251672	31251681	-	0.000	0.000	Merged-chr5-31251770-31
NR26720--MA0493.1.Klf1	chr16	95804383	95804393	-	0.000	0.000	Merged-chr16-95804427-5
NR753--MA0741.1.KLF16	chr1	55215603	55215613	+	0.000	0.000	Merged-chr1-55215600-38
NR50551--MA0741.1.KLF16	chr5	105114875	105114885	-	0.000	0.000	Merged-chr5-105114898-53
NR39231--MA0039.3.KLF4	chr2	166664666	166664676	-	0.000	0.000	Merged-chr2-166664771-14
NR43809--MA0742.1.Klf12	chr3	152943213	152943227	+	0.000	0.000	Merged-chr3-152943273-41
NR57562--MA0742.1.Klf12	chr7	3449896	3449910	+	0.000	0.000	Merged-chr7-3449845-14
NR58123--MA0599.1.KLF5	chr7	24399819	24399828	+	0.000	0.000	Merged-chr7-24399802-53
NR13677--MA0657.1.KLF13	chr12	25155524	25155541	-	0.000	0.000	Merged-chr12-25155613-40
NR56264--MA0039.3.KLF4	chr6	128798431	128798441	-	0.000	0.000	Merged-chr6-128798454-9
NR44270--MA0741.1.KLF16	chr4	21931240	21931250	-	0.000	0.000	Merged-chr4-21931298-41
NR22396--MA1107.1.KLF9	chr15	38122405	38122417	+	0.000	0.000	Merged-chr15-38122272-49
NR6464--MA0742.1.Klf12	chr10	77264471	77264485	+	0.000	0.000	Merged-chr10-77264465-20
NR9526--MA1107.1.KLF9	chr11	35747426	35747438	-	0.000	0.000	Merged-chr11-35747326-7
NR25737--MA0742.1.Klf12	chr16	55815573	55815587	+	0.000	0.000	Merged-chr16-55815632-3
NR52767--MA0741.1.KLF16	chr5	143975135	143975145	+	0.000	0.000	Merged-chr5-143975077-1
NR6956--MA0599.1.KLF5	chr10	81401779	81401788	-	0.000	0.000	Merged-chr10-81401925-26
NR40614--MA0599.1.KLF5	chr3	54567551	54567560	+	0.000	0.000	Merged-chr3-54567528-25
NR54207--MA0599.1.KLF5	chr6	52962670	52962679	-	0.000	0.000	Merged-chr6-52962536-54
NR25391--MA0741.1.KLF16	chr16	32658898	32658908	+	0.000	0.000	Merged-chr16-32659000-27
NR10242--MA0741.1.KLF16	chr11	62494922	62494932	-	0.000	0.000	Merged-chr11-62495019-47
NR20368--MA0740.1.KLF14	chr14	57769258	57769271	-	0.000	0.000	Merged-chr14-57769251-39
NR29793--MA0493.1.Klf1	chr17	83809335	83809345	+	0.000	0.000	Merged-chr17-83809391-18
NR37201--MA0741.1.KLF16	chr2	117335585	117335595	-	0.000	0.000	Merged-chr2-117335736-33
NR29220--MA0493.1.Klf1	chr17	65954068	65954078	-	0.000	0.000	Merged-chr17-65954196-36
NR17524--MA0742.1.Klf12	chr13	69821612	69821626	-	0.000	0.000	Merged-chr13-69821460-47
NR29685--MA1107.1.KLF9	chr17	80561200	80561212	-	0.000	0.000	Merged-chr17-80561065-39
NR31570--MA0493.1.Klf1	chr18	69196479	69196489	+	0.000	0.000	Merged-chr18-69196479-70
NR1053--MA0039.3.KLF4	chr1	66932107	66932117	+	0.000	0.000	Merged-chr1-66932043-30
NR68397--MA0742.1.Klf12	chr9	107630085	107630099	-	0.000	0.000	Merged-chr9-107629977-18
NR28274--MA0599.1.KLF5	chr17	35706103	35706112	-	0.000	0.000	Merged-chr17-35706172-14
NR19986--MA1107.1.KLF9	chr14	47476841	47476853	-	0.000	0.000	Merged-chr14-47476839-9
NR68157--MA1107.1.KLF9	chr9	103426484	103426496	+	0.000	0.000	Merged-chr9-103426550-25
NR46391--MA1107.1.KLF9	chr4	119947766	119947778	-	0.000	0.000	Merged-chr4-119947761-47
NR40575--MA0741.1.KLF16	chr3	52297524	52297534	+	0.000	0.000	Merged-chr3-52297502-16
NR30933--MA0599.1.KLF5	chr18	50022791	50022800	+	0.000	0.000	Merged-chr18-50022640-10
NR9199--MA0039.3.KLF4	chr11	11763267	11763277	-	0.000	0.000	Merged-chr11-11763344-40
NR6960--MA0493.1.Klf1	chr10	81401814	81401824	-	0.000	0.000	Merged-chr10-81401925-26
NR16358--MA0039.3.KLF4	chr13	19457278	19457288	-	0.000	0.000	Merged-chr13-19457344-7
NR15707--MA0740.1.KLF14	chr12	111166499	111166512	+	0.000	0.000	Merged-chr12-111166510-86
NR52571--MA0741.1.KLF16	chr5	140575818	140575828	+	0.000	0.000	Merged-chr5-140575709-24
NR42906--MA0741.1.KLF16	chr3	132928122	132928132	-	0.000	0.000	Merged-chr3-132927951-20
NR55028--MA0741.1.KLF16	chr6	95552790	95552800	+	0.000	0.000	Merged-chr6-95552744-18
NR33736--MA1107.1.KLF9	chr19	45079935	45079947	-	0.000	0.000	Merged-chr19-45079804-49
NR61875--MA0741.1.KLF16	chr7	140264979	140264989	-	0.000	0.000	Merged-chr7-140265035-12
NR4584--MA0599.1.KLF5	chr1	191802743	191802752	-	0.000	0.000	Merged-chr1-191802759-25
NR40837--MA1107.1.KLF9	chr3	65985104	65985116	+	0.000	0.000	Merged-chr3-65985116-9
NR50676--MA0599.1.KLF5	chr5	107533757	107533766	+	0.000	0.000	Merged-chr5-107533890-8
NR30006--MA0493.1.Klf1	chr17	86760427	86760437	-	0.000	0.000	Merged-chr17-86760300-15
NR62349--MA0740.1.KLF14	chr8	11107238	11107251	-	0.000	0.000	Merged-chr8-11107220-18
NR22083--MA1107.1.KLF9	chr15	12588867	12588879	+	0.000	0.000	Merged-chr15-12588856-30
NR59693--MA0657.1.KLF13	chr7	80598072	80598089	-	0.000	0.000	Merged-chr7-80598123-7
NR26859--MA1107.1.KLF9	chr17	3156422	3156434	+	0.000	0.000	Merged-chr17-3156318-34
NR50554--MA1107.1.KLF9	chr5	105114890	105114902	-	0.000	0.000	Merged-chr5-105114898-53
NR11193--MA0742.1.Klf12	chr11	83637042	83637056	-	0.000	0.000	Merged-chr11-83637048-8
NR61333--MA0740.1.KLF14	chr7	127895645	127895658	+	0.000	0.000	Merged-chr7-127895657-49
NR10539--MA0741.1.KLF16	chr11	70654641	70654651	+	0.000	0.000	Merged-chr11-70654589-122
NR63297--MA0741.1.KLF16	chr8	70072890	70072900	-	0.000	0.000	Merged-chr8-70072773-24
NR1627--MA1107.1.KLF9	chr1	92258931	92258943	+	0.000	0.000	Merged-chr1-92258987-8
NR57176--MA1107.1.KLF9	chr6	145135508	145135520	-	0.000	0.000	Merged-chr6-145135361-11
NR55463--MA0599.1.KLF5	chr6	112948655	112948664	+	0.000	0.000	Merged-chr6-112948653-15
NR22742--MA0493.1.Klf1	chr15	59596759	59596769	+	0.000	0.000	Merged-chr15-59596634-94
NR39721--MA0493.1.Klf1	chr2	174566141	174566151	+	0.000	0.000	Merged-chr2-174566072-46
NR41027--MA0039.3.KLF4	chr3	79504657	79504667	+	0.000	0.000	Merged-chr3-79504650-9
NR20369--MA0657.1.KLF13	chr14	57769255	57769272	-	0.000	0.000	Merged-chr14-57769251-39
NR17516--MA0742.1.Klf12	chr13	69821333	69821347	+	0.000	0.000	Merged-chr13-69821460-47
NR52301--MA0599.1.KLF5	chr5	137425542	137425551	+	0.000	0.000	Merged-chr5-137425710-17
NR13116--MA0740.1.KLF14	chr11	119238575	119238588	+	0.000	0.000	Merged-chr11-119238341-66
NR9464--MA1107.1.KLF9	chr11	32582962	32582974	+	0.000	0.000	Merged-chr11-32583029-49
NR67949--MA0742.1.Klf12	chr9	96299770	96299784	-	0.000	0.000	Merged-chr9-96299738-12
NR10536--MA1107.1.KLF9	chr11	70622583	70622595	-	0.000	0.000	Merged-chr11-70622499-26
NR11533--MA0599.1.KLF5	chr11	94141669	94141678	+	0.000	0.000	Merged-chr11-94141772-16
NR32594--MA0599.1.KLF5	chr19	4943123	4943132	+	0.000	0.000	Merged-chr19-4942974-44
NR67398--MA0741.1.KLF16	chr9	79895081	79895091	+	0.000	0.000	Merged-chr9-79895109-7
NR64712--MA0493.1.Klf1	chr8	115531466	115531476	+	0.000	0.000	Merged-chr8-115531430-21
NR33671--MA0741.1.KLF16	chr19	43809535	43809545	+	0.000	0.000	Merged-chr19-43809499-23
NR8244--MA0039.3.KLF4	chr10	117925716	117925726	+	0.000	0.000	Merged-chr10-117925903-63
NR8254--MA0493.1.Klf1	chr10	117969969	117969979	-	0.000	0.000	Merged-chr10-117970017-9
NR19828--MA0742.1.Klf12	chr14	34768435	34768449	-	0.000	0.000	Merged-chr14-34768619-7
NR66242--MA1107.1.KLF9	chr9	44582652	44582664	-	0.000	0.000	Merged-chr9-44582588-15
NR5576--MA0599.1.KLF5	chr10	41518903	41518912	+	0.000	0.000	Merged-chr10-41518927-1
NR3241--MA0741.1.KLF16	chr1	165816641	165816651	-	0.000	0.000	Merged-chr1-165816619-40
NR63672--MA0599.1.KLF5	chr8	79173658	79173667	+	0.000	0.000	Merged-chr8-79173625-13
NR2306--MA0740.1.KLF14	chr1	135128303	135128316	+	0.000	0.000	Merged-chr1-135128273-30
NR41945--MA0039.3.KLF4	chr3	103406614	103406624	-	0.000	0.000	Merged-chr3-103406514-32
NR22312--MA1107.1.KLF9	chr15	36241632	36241644	-	0.000	0.000	Merged-chr15-36241584-11
NR33684--MA0741.1.KLF16	chr19	44069763	44069773	+	0.000	0.000	Merged-chr19-44069600-84
NR41302--MA0599.1.KLF5	chr3	89378533	89378542	+	0.000	0.000	Merged-chr3-89378543-26
NR65820--MA0493.1.Klf1	chr9	22650014	22650024	-	0.000	0.000	Merged-chr9-22649822-33
NR31603--MA0599.1.KLF5	chr18	70522409	70522418	+	0.000	0.000	Merged-chr18-70522488-53
NR56203--MA1107.1.KLF9	chr6	127942030	127942042	+	0.000	0.000	Merged-chr6-127942038-1
NR9469--MA1107.1.KLF9	chr11	32582972	32582984	+	0.000	0.000	Merged-chr11-32583029-49
NR65040--MA0039.3.KLF4	chr8	121898639	121898649	-	0.000	0.000	Merged-chr8-121898554-47
NR7080--MA0742.1.Klf12	chr10	83154013	83154027	-	0.000	0.000	Merged-chr10-83154095-25
NR38331--MA1107.1.KLF9	chr2	147832607	147832619	+	0.000	0.000	Merged-chr2-147832545-2
NR6360--MA0741.1.KLF16	chr10	75536381	75536391	-	0.000	0.000	Merged-chr10-75536310-39
NR61334--MA0657.1.KLF13	chr7	127895644	127895661	+	0.000	0.000	Merged-chr7-127895657-49
NR16432--MA0599.1.KLF5	chr13	24547347	24547356	-	0.000	0.000	Merged-chr13-24547194-39
NR46724--MA0493.1.Klf1	chr4	129525473	129525483	+	0.000	0.000	Merged-chr4-129525565-21
NR52553--MA0657.1.KLF13	chr5	140389369	140389386	+	0.000	0.000	Merged-chr5-140389352-56
NR65824--MA1107.1.KLF9	chr9	22650747	22650759	+	0.000	0.000	Merged-chr9-22650978-25
NR26797--MA1107.1.KLF9	chr16	97002493	97002505	+	0.000	0.000	Merged-chr16-97002537-1
NR19691--MA0039.3.KLF4	chr14	27355622	27355632	-	0.000	0.000	Merged-chr14-27355451-52
NR16838--MA0039.3.KLF4	chr13	45455941	45455951	+	0.000	0.000	Merged-chr13-45455779-40
NR55458--MA1107.1.KLF9	chr6	112862175	112862187	+	0.000	0.000	Merged-chr6-112862022-40
NR62353--MA1107.1.KLF9	chr8	11107239	11107251	-	0.000	0.000	Merged-chr8-11107220-18
NR2310--MA1107.1.KLF9	chr1	135128303	135128315	+	0.000	0.000	Merged-chr1-135128273-30
NR15481--MA0599.1.KLF5	chr12	107961290	107961299	+	0.000	0.000	Merged-chr12-107961222-28
