#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR5436--MA0769.1.Tcf7	chr3	28318055	28318066	-	0.000	0.000	Merged-chr3-28318064-9
NR4900--MA1421.1.TCF7L1	chr2	84660414	84660425	-	0.000	0.000	Merged-chr2-84660480-32
NR6780--MA1421.1.TCF7L1	chr5	96254011	96254022	-	0.000	0.000	Merged-chr5-96254113-8
NR491--MA0523.1.TCF7L2	chr1	152053525	152053538	+	0.000	0.000	Merged-chr1-152053412-31
NR3784--MA0523.1.TCF7L2	chr17	23969057	23969070	+	0.000	0.000	Merged-chr17-23969178-28
NR2242--MA0523.1.TCF7L2	chr13	41453787	41453800	-	0.000	0.000	Merged-chr13-41453592-40
NR8258--MA0769.1.Tcf7	chr8	61436794	61436805	+	0.000	0.000	Merged-chr8-61436904-17
NR8981--MA0523.1.TCF7L2	chr9	118285716	118285729	-	0.000	0.000	Merged-chr9-118285683-37
NR2744--MA0769.1.Tcf7	chr14	48271283	48271294	-	0.000	0.000	Merged-chr14-48271299-17
NR969--MA0523.1.TCF7L2	chr10	68239250	68239263	-	0.000	0.000	Merged-chr10-68239369-73
NR5454--MA0769.1.Tcf7	chr3	37687420	37687431	+	0.000	0.000	Merged-chr3-37687372-57
NR7315--MA0523.1.TCF7L2	chr6	88782957	88782970	-	0.000	0.000	Merged-chr6-88783083-54
NR3046--MA0769.1.Tcf7	chr15	10447302	10447313	+	0.000	0.000	Merged-chr15-10447359-14
NR3722--MA0769.1.Tcf7	chr16	97402541	97402552	-	0.000	0.000	Merged-chr16-97402543-6
NR4540--MA0523.1.TCF7L2	chr2	4454896	4454909	+	0.000	0.000	Merged-chr2-4454837-7
NR1107--MA1421.1.TCF7L1	chr10	96201432	96201443	+	0.000	0.000	Merged-chr10-96201472-66
NR8556--MA0523.1.TCF7L2	chr9	24331761	24331774	+	0.000	0.000	Merged-chr9-24331833-14
NR2856--MA0769.1.Tcf7	chr14	72807293	72807304	-	0.000	0.000	Merged-chr14-72807438-29
NR3565--MA0523.1.TCF7L2	chr16	55421860	55421873	-	0.000	0.000	Merged-chr16-55421971-12
NR7917--MA0523.1.TCF7L2	chr7	110004556	110004569	+	0.000	0.000	Merged-chr7-110004628-7
NR3158--MA0769.1.Tcf7	chr15	58145496	58145507	-	0.000	0.000	Merged-chr15-58145479-45
NR6039--MA0523.1.TCF7L2	chr4	6675221	6675234	-	0.000	0.000	Merged-chr4-6675237-24
NR4044--MA1421.1.TCF7L1	chr18	19483683	19483694	-	0.000	0.000	Merged-chr18-19483716-13
NR4136--MA0769.1.Tcf7	chr18	53411604	53411615	+	0.000	0.000	Merged-chr18-53411654-14
NR3308--MA0523.1.TCF7L2	chr15	97400989	97401002	+	0.000	0.000	Merged-chr15-97401100-7
NR2404--MA0769.1.Tcf7	chr13	84791268	84791279	-	0.000	0.000	Merged-chr13-84791325-24
NR6714--MA0523.1.TCF7L2	chr5	74132915	74132928	-	0.000	0.000	Merged-chr5-74132835-25
NR1690--MA0769.1.Tcf7	chr12	8817879	8817890	+	0.000	0.000	Merged-chr12-8817903-12
NR3771--MA0523.1.TCF7L2	chr17	21661761	21661774	+	0.000	0.000	Merged-chr17-21661730-8
NR6510--MA1421.1.TCF7L1	chr4	150517644	150517655	-	0.000	0.000	Merged-chr4-150517532-35
NR8169--MA0523.1.TCF7L2	chr8	25149409	25149422	+	0.000	0.000	Merged-chr8-25149287-19
NR6174--MA1421.1.TCF7L1	chr4	56944537	56944548	-	0.000	0.000	Merged-chr4-56944579-16
NR3514--MA0523.1.TCF7L2	chr16	45361320	45361333	-	0.000	0.000	Merged-chr16-45361455-26
NR8844--MA0523.1.TCF7L2	chr9	92218022	92218035	+	0.000	0.000	Merged-chr9-92217904-40
NR1688--MA0523.1.TCF7L2	chr12	8817879	8817892	+	0.000	0.000	Merged-chr12-8817903-12
NR3720--MA0523.1.TCF7L2	chr16	97319555	97319568	+	0.000	0.000	Merged-chr16-97319688-5
NR74--MA0769.1.Tcf7	chr1	39954854	39954865	-	0.000	0.000	Merged-chr1-39954782-26
NR8836--MA0769.1.Tcf7	chr9	90199249	90199260	+	0.000	0.000	Merged-chr9-90199244-4
NR8621--MA0769.1.Tcf7	chr9	42423787	42423798	+	0.000	0.000	Merged-chr9-42423784-11
NR4378--MA0769.1.Tcf7	chr19	16998204	16998215	+	0.000	0.000	Merged-chr19-16998164-33
NR7088--MA0769.1.Tcf7	chr6	24515044	24515055	-	0.000	0.000	Merged-chr6-24515075-25
NR5219--MA0523.1.TCF7L2	chr2	150134373	150134386	-	0.000	0.000	Merged-chr2-150134419-14
NR3982--MA0769.1.Tcf7	chr17	85189616	85189627	+	0.000	0.000	Merged-chr17-85189630-51
NR5850--MA0523.1.TCF7L2	chr3	132791406	132791419	-	0.000	0.000	Merged-chr3-132791387-40
NR929--MA1421.1.TCF7L1	chr10	60000165	60000176	-	0.000	0.000	Merged-chr10-60000232-10
NR1789--MA0769.1.Tcf7	chr12	41167989	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR7774--MA0523.1.TCF7L2	chr7	67353151	67353164	+	0.000	0.000	Merged-chr7-67353153-2
NR6334--MA0769.1.Tcf7	chr4	107260085	107260096	+	0.000	0.000	Merged-chr4-107260166-15
NR4499--MA0769.1.Tcf7	chr19	55915611	55915622	-	0.000	0.000	Merged-chr19-55915456-76
NR92--MA0769.1.Tcf7	chr1	43403604	43403615	-	0.000	0.000	Merged-chr1-43403565-20
NR7876--MA0769.1.Tcf7	chr7	98797478	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR794--MA0769.1.Tcf7	chr10	21911703	21911714	-	0.000	0.000	Merged-chr10-21911694-25
NR8178--MA0769.1.Tcf7	chr8	26963455	26963466	+	0.000	0.000	Merged-chr8-26963598-35
NR2650--MA0523.1.TCF7L2	chr14	21078676	21078689	-	0.000	0.000	Merged-chr14-21078723-20
NR6595--MA1421.1.TCF7L1	chr5	36006289	36006300	+	0.000	0.000	Merged-chr5-36006302-34
NR6558--MA0769.1.Tcf7	chr5	20087383	20087394	-	0.000	0.000	Merged-chr5-20087381-40
NR5280--MA0769.1.Tcf7	chr2	160746846	160746857	-	0.000	0.000	Merged-chr2-160746776-15
NR5128--MA0769.1.Tcf7	chr2	135823832	135823843	-	0.000	0.000	Merged-chr2-135823878-14
NR3114--MA0523.1.TCF7L2	chr15	39913587	39913600	-	0.000	0.000	Merged-chr15-39913439-55
NR3211--MA1421.1.TCF7L1	chr15	73599652	73599663	-	0.000	0.000	Merged-chr15-73599756-21
NR7183--MA1421.1.TCF7L1	chr6	54229146	54229157	+	0.000	0.000	Merged-chr6-54229087-24
NR7989--MA0523.1.TCF7L2	chr7	121969010	121969023	-	0.000	0.000	Merged-chr7-121969039-14
NR7648--MA0769.1.Tcf7	chr6	148934689	148934700	+	0.000	0.000	Merged-chr6-148934708-2
NR4187--MA0523.1.TCF7L2	chr18	62151887	62151900	-	0.000	0.000	Merged-chr18-62151803-40
NR8804--MA1421.1.TCF7L1	chr9	85011576	85011587	+	0.000	0.000	Merged-chr9-85011578-31
NR9--MA0523.1.TCF7L2	chr1	7458138	7458151	-	0.000	0.000	Merged-chr1-7458058-11
NR8636--MA1421.1.TCF7L1	chr9	45847305	45847316	+	0.000	0.000	Merged-chr9-45847286-6
NR255--MA0523.1.TCF7L2	chr1	91626305	91626318	-	0.000	0.000	Merged-chr1-91626193-21
NR5596--MA0523.1.TCF7L2	chr3	84569605	84569618	+	0.000	0.000	Merged-chr3-84569742-8
NR3508--MA0769.1.Tcf7	chr16	44735811	44735822	+	0.000	0.000	Merged-chr16-44735956-40
NR5693--MA1421.1.TCF7L1	chr3	101731158	101731169	+	0.000	0.000	Merged-chr3-101731258-4
NR8072--MA1421.1.TCF7L1	chr7	135542630	135542641	-	0.000	0.000	Merged-chr7-135542587-49
NR2865--MA0523.1.TCF7L2	chr14	73472603	73472616	+	0.000	0.000	Merged-chr14-73472602-8
NR5737--MA1421.1.TCF7L1	chr3	109421018	109421029	+	0.000	0.000	Merged-chr3-109421125-43
NR930--MA0523.1.TCF7L2	chr10	60000148	60000161	+	0.000	0.000	Merged-chr10-60000232-10
NR2697--MA0523.1.TCF7L2	chr14	40938795	40938808	+	0.000	0.000	Merged-chr14-40938744-34
NR5146--MA0769.1.Tcf7	chr2	139925146	139925157	+	0.000	0.000	Merged-chr2-139925145-30
NR7601--MA1421.1.TCF7L1	chr6	144953040	144953051	-	0.000	0.000	Merged-chr6-144953133-29
NR3772--MA0769.1.Tcf7	chr17	21661761	21661772	+	0.000	0.000	Merged-chr17-21661730-8
NR88--MA0769.1.Tcf7	chr1	43207295	43207306	+	0.000	0.000	Merged-chr1-43207362-30
NR7132--MA1421.1.TCF7L1	chr6	41113489	41113500	+	0.000	0.000	Merged-chr6-41113305-59
NR7451--MA0769.1.Tcf7	chr6	116107921	116107932	-	0.000	0.000	Merged-chr6-116107832-45
NR5450--MA0523.1.TCF7L2	chr3	37484161	37484174	-	0.000	0.000	Merged-chr3-37484009-38
NR4233--MA1421.1.TCF7L1	chr18	69548128	69548139	-	0.000	0.000	Merged-chr18-69547959-32
NR1193--MA0523.1.TCF7L2	chr10	111576175	111576188	+	0.000	0.000	Merged-chr10-111576182-36
NR4862--MA0769.1.Tcf7	chr2	74887206	74887217	-	0.000	0.000	Merged-chr2-74887240-10
NR4811--MA0523.1.TCF7L2	chr2	65871123	65871136	-	0.000	0.000	Merged-chr2-65871141-19
NR3329--MA0523.1.TCF7L2	chr15	100183059	100183072	+	0.000	0.000	Merged-chr15-100182935-17
NR8951--MA0523.1.TCF7L2	chr9	114604273	114604286	-	0.000	0.000	Merged-chr9-114604237-4
NR992--MA1421.1.TCF7L1	chr10	75137253	75137264	+	0.000	0.000	Merged-chr10-75137301-35
NR4835--MA1421.1.TCF7L1	chr2	70727345	70727356	+	0.000	0.000	Merged-chr2-70727299-23
NR1795--MA0523.1.TCF7L2	chr12	41844193	41844206	+	0.000	0.000	Merged-chr12-41844052-32
NR1033--MA1421.1.TCF7L1	chr10	82728186	82728197	-	0.000	0.000	Merged-chr10-82728321-8
NR7214--MA1421.1.TCF7L1	chr6	61125650	61125661	+	0.000	0.000	Merged-chr6-61125660-31
NR4174--MA0523.1.TCF7L2	chr18	60502489	60502502	-	0.000	0.000	Merged-chr18-60502470-34
NR6098--MA0523.1.TCF7L2	chr4	33595605	33595618	+	0.000	0.000	Merged-chr4-33595621-34
NR7111--MA0769.1.Tcf7	chr6	34902136	34902147	+	0.000	0.000	Merged-chr6-34902272-26
NR3535--MA0523.1.TCF7L2	chr16	48745640	48745653	-	0.000	0.000	Merged-chr16-48745701-29
NR5680--MA1421.1.TCF7L1	chr3	100703374	100703385	-	0.000	0.000	Merged-chr3-100703204-27
NR4198--MA1421.1.TCF7L1	chr18	65318476	65318487	+	0.000	0.000	Merged-chr18-65318525-2
NR5943--MA0769.1.Tcf7	chr3	144261247	144261258	+	0.000	0.000	Merged-chr3-144261016-37
NR5459--MA0523.1.TCF7L2	chr3	38280377	38280390	-	0.000	0.000	Merged-chr3-38280395-39
NR5724--MA1421.1.TCF7L1	chr3	108124338	108124349	+	0.000	0.000	Merged-chr3-108124378-33
NR4014--MA1421.1.TCF7L1	chr18	5820061	5820072	-	0.000	0.000	Merged-chr18-5820020-28
NR8889--MA1421.1.TCF7L1	chr9	102587427	102587438	-	0.000	0.000	Merged-chr9-102587549-11
NR347--MA0769.1.Tcf7	chr1	120162002	120162013	-	0.000	0.000	Merged-chr1-120162199-15
NR7179--MA1421.1.TCF7L1	chr6	53986271	53986282	-	0.000	0.000	Merged-chr6-53986314-10
NR9076--MA0769.1.Tcf7	chrX	52930410	52930421	-	0.000	0.000	Merged-chrX-52930355-32
NR4448--MA1421.1.TCF7L1	chr19	42031246	42031257	-	0.000	0.000	Merged-chr19-42031201-8
NR1841--MA1421.1.TCF7L1	chr12	69446034	69446045	+	0.000	0.000	Merged-chr12-69446107-1
NR1673--MA1421.1.TCF7L1	chr12	3835828	3835839	-	0.000	0.000	Merged-chr12-3835793-19
NR8814--MA0523.1.TCF7L2	chr9	85710512	85710525	+	0.000	0.000	Merged-chr9-85710514-26
NR2465--MA0523.1.TCF7L2	chr13	99411323	99411336	-	0.000	0.000	Merged-chr13-99411191-61
NR2297--MA0523.1.TCF7L2	chr13	52628151	52628164	+	0.000	0.000	Merged-chr13-52628204-1
NR5871--MA0523.1.TCF7L2	chr3	135689318	135689331	+	0.000	0.000	Merged-chr3-135689426-65
NR1782--MA0523.1.TCF7L2	chr12	40529888	40529901	+	0.000	0.000	Merged-chr12-40529975-10
NR9081--MA1421.1.TCF7L1	chrX	57144147	57144158	-	0.000	0.000	Merged-chrX-57144211-21
NR8345--MA0523.1.TCF7L2	chr8	86779420	86779433	-	0.000	0.000	Merged-chr8-86779479-38
NR5895--MA1421.1.TCF7L1	chr3	138649917	138649928	+	0.000	0.000	Merged-chr3-138649925-12
NR8442--MA1421.1.TCF7L1	chr8	117299279	117299290	-	0.000	0.000	Merged-chr8-117299202-13
NR4643--MA0769.1.Tcf7	chr2	32181554	32181565	-	0.000	0.000	Merged-chr2-32181600-13
NR7353--MA0769.1.Tcf7	chr6	95682811	95682822	-	0.000	0.000	Merged-chr6-95682989-10
NR3546--MA1421.1.TCF7L1	chr16	50555183	50555194	-	0.000	0.000	Merged-chr16-50555141-20
NR6855--MA0523.1.TCF7L2	chr5	105113928	105113941	+	0.000	0.000	Merged-chr5-105113893-19
NR129--MA1421.1.TCF7L1	chr1	60883022	60883033	-	0.000	0.000	Merged-chr1-60883000-15
NR3053--MA0523.1.TCF7L2	chr15	12857161	12857174	-	0.000	0.000	Merged-chr15-12856981-25
NR7474--MA0769.1.Tcf7	chr6	120006467	120006478	+	0.000	0.000	Merged-chr6-120006378-7
NR495--MA0523.1.TCF7L2	chr1	153380054	153380067	-	0.000	0.000	Merged-chr1-153380015-29
NR2739--MA1421.1.TCF7L1	chr14	48226347	48226358	-	0.000	0.000	Merged-chr14-48226336-60
NR2141--MA0769.1.Tcf7	chr13	3479835	3479846	+	0.000	0.000	Merged-chr13-3479941-4
NR1563--MA0523.1.TCF7L2	chr11	99116123	99116136	-	0.000	0.000	Merged-chr11-99116157-23
NR7744--MA0523.1.TCF7L2	chr7	58798502	58798515	+	0.000	0.000	Merged-chr7-58798464-29
NR1395--MA0523.1.TCF7L2	chr11	46399251	46399264	+	0.000	0.000	Merged-chr11-46399258-50
NR4267--MA1421.1.TCF7L1	chr18	78620775	78620786	+	0.000	0.000	Merged-chr18-78620980-22
NR6917--MA0769.1.Tcf7	chr5	121111613	121111624	-	0.000	0.000	Merged-chr5-121111705-24
NR7540--MA1421.1.TCF7L1	chr6	134277091	134277102	+	0.000	0.000	Merged-chr6-134277112-6
NR3231--MA0769.1.Tcf7	chr15	79729194	79729205	+	0.000	0.000	Merged-chr15-79729133-34
NR1396--MA0769.1.Tcf7	chr11	46399251	46399262	+	0.000	0.000	Merged-chr11-46399258-50
NR2284--MA0523.1.TCF7L2	chr13	52008133	52008146	-	0.000	0.000	Merged-chr13-52008191-11
NR4782--MA0769.1.Tcf7	chr2	60717568	60717579	-	0.000	0.000	Merged-chr2-60717548-24
NR3327--MA1421.1.TCF7L1	chr15	100145188	100145199	-	0.000	0.000	Merged-chr15-100145354-14
NR4641--MA1421.1.TCF7L1	chr2	32181554	32181565	-	0.000	0.000	Merged-chr2-32181600-13
NR7698--MA0769.1.Tcf7	chr7	29251385	29251396	-	0.000	0.000	Merged-chr7-29251339-19
NR1705--MA0769.1.Tcf7	chr12	17726669	17726680	-	0.000	0.000	Merged-chr12-17726607-38
NR444--MA0523.1.TCF7L2	chr1	143749789	143749802	+	0.000	0.000	Merged-chr1-143749938-18
NR5023--MA1421.1.TCF7L1	chr2	114873165	114873176	+	0.000	0.000	Merged-chr2-114873203-5
NR4119--MA0523.1.TCF7L2	chr18	46176304	46176317	+	0.000	0.000	Merged-chr18-46176178-68
NR710--MA0769.1.Tcf7	chr1	191872690	191872701	-	0.000	0.000	Merged-chr1-191872609-17
NR4048--MA1421.1.TCF7L1	chr18	23773176	23773187	-	0.000	0.000	Merged-chr18-23773308-23
NR8934--MA0523.1.TCF7L2	chr9	112175259	112175272	+	0.000	0.000	Merged-chr9-112175419-1
NR7913--MA0769.1.Tcf7	chr7	109951567	109951578	-	0.000	0.000	Merged-chr7-109951636-55
NR2233--MA0523.1.TCF7L2	chr13	38948944	38948957	-	0.000	0.000	Merged-chr13-38949137-15
NR4254--MA1421.1.TCF7L1	chr18	75374209	75374220	-	0.000	0.000	Merged-chr18-75374196-25
NR3576--MA0769.1.Tcf7	chr16	57319958	57319969	+	0.000	0.000	Merged-chr16-57319907-20
NR8121--MA0769.1.Tcf7	chr7	143584199	143584210	-	0.000	0.000	Merged-chr7-143584150-23
NR3571--MA1421.1.TCF7L1	chr16	57177489	57177500	+	0.000	0.000	Merged-chr16-57177558-14
NR8210--MA1421.1.TCF7L1	chr8	36028577	36028588	-	0.000	0.000	Merged-chr8-36028490-56
NR1168--MA0769.1.Tcf7	chr10	109115281	109115292	-	0.000	0.000	Merged-chr10-109115316-22
NR2932--MA1421.1.TCF7L1	chr14	103350073	103350084	+	0.000	0.000	Merged-chr14-103350207-1
NR7306--MA0523.1.TCF7L2	chr6	86645198	86645211	-	0.000	0.000	Merged-chr6-86645182-42
NR2146--MA0769.1.Tcf7	chr13	5313263	5313274	-	0.000	0.000	Merged-chr13-5313405-28
NR8547--MA0523.1.TCF7L2	chr9	21680048	21680061	-	0.000	0.000	Merged-chr9-21680027-16
NR4666--MA0769.1.Tcf7	chr2	38068469	38068480	+	0.000	0.000	Merged-chr2-38068550-14
NR2339--MA1421.1.TCF7L1	chr13	63512582	63512593	+	0.000	0.000	Merged-chr13-63512619-6
NR5648--MA0523.1.TCF7L2	chr3	97274117	97274130	+	0.000	0.000	Merged-chr3-97274158-19
NR5420--MA0523.1.TCF7L2	chr3	21809910	21809923	+	0.000	0.000	Merged-chr3-21809864-17
NR3255--MA0523.1.TCF7L2	chr15	84372947	84372960	+	0.000	0.000	Merged-chr15-84372915-18
NR1186--MA0769.1.Tcf7	chr10	111422573	111422584	+	0.000	0.000	Merged-chr10-111422684-38
NR3520--MA1421.1.TCF7L1	chr16	45723858	45723869	+	0.000	0.000	Merged-chr16-45724000-1
NR5854--MA0523.1.TCF7L2	chr3	133076678	133076691	+	0.000	0.000	Merged-chr3-133076578-21
NR4312--MA0523.1.TCF7L2	chr18	84911833	84911846	+	0.000	0.000	Merged-chr18-84911932-15
NR6058--MA0769.1.Tcf7	chr4	11610155	11610166	+	0.000	0.000	Merged-chr4-11610147-18
NR1809--MA0523.1.TCF7L2	chr12	52644411	52644424	-	0.000	0.000	Merged-chr12-52644289-23
NR3689--MA0523.1.TCF7L2	chr16	94596336	94596349	-	0.000	0.000	Merged-chr16-94596534-16
NR705--MA1421.1.TCF7L1	chr1	191486653	191486664	-	0.000	0.000	Merged-chr1-191486758-12
NR6501--MA1421.1.TCF7L1	chr4	149854387	149854398	-	0.000	0.000	Merged-chr4-149854542-67
NR4241--MA1421.1.TCF7L1	chr18	73623242	73623253	+	0.000	0.000	Merged-chr18-73623200-49
NR537--MA1421.1.TCF7L1	chr1	161480192	161480203	-	0.000	0.000	Merged-chr1-161480099-19
NR6333--MA1421.1.TCF7L1	chr4	107260085	107260096	+	0.000	0.000	Merged-chr4-107260166-15
NR2276--MA0769.1.Tcf7	chr13	51712205	51712216	-	0.000	0.000	Merged-chr13-51712212-27
NR8257--MA1421.1.TCF7L1	chr8	61436794	61436805	+	0.000	0.000	Merged-chr8-61436904-17
NR7081--MA0523.1.TCF7L2	chr6	22409409	22409422	-	0.000	0.000	Merged-chr6-22409213-46
NR6631--MA0769.1.Tcf7	chr5	44258283	44258294	-	0.000	0.000	Merged-chr5-44258351-9
NR6891--MA1421.1.TCF7L1	chr5	114783569	114783580	-	0.000	0.000	Merged-chr5-114783654-34
NR814--MA0523.1.TCF7L2	chr10	25387444	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR4182--MA0523.1.TCF7L2	chr18	61479977	61479990	+	0.000	0.000	Merged-chr18-61480035-15
NR8859--MA1421.1.TCF7L1	chr9	96696538	96696549	-	0.000	0.000	Merged-chr9-96696442-50
NR5225--MA1421.1.TCF7L1	chr2	150578761	150578772	-	0.000	0.000	Merged-chr2-150578789-44
NR743--MA1421.1.TCF7L1	chr10	7995744	7995755	-	0.000	0.000	Merged-chr10-7995784-10
NR7600--MA0769.1.Tcf7	chr6	144922984	144922995	-	0.000	0.000	Merged-chr6-144923057-24
NR8475--MA0769.1.Tcf7	chr8	125080826	125080837	-	0.000	0.000	Merged-chr8-125080812-18
NR8631--MA1421.1.TCF7L1	chr9	44548856	44548867	-	0.000	0.000	Merged-chr9-44549007-18
NR733--MA0769.1.Tcf7	chr10	6954709	6954720	-	0.000	0.000	Merged-chr10-6954726-16
NR2282--MA1421.1.TCF7L1	chr13	52008128	52008139	-	0.000	0.000	Merged-chr13-52008191-11
NR939--MA0769.1.Tcf7	chr10	60744715	60744726	-	0.000	0.000	Merged-chr10-60744753-15
NR3151--MA0769.1.Tcf7	chr15	55327407	55327418	-	0.000	0.000	Merged-chr15-55327422-12
NR5803--MA0523.1.TCF7L2	chr3	123178427	123178440	-	0.000	0.000	Merged-chr3-123178392-7
NR90--MA1421.1.TCF7L1	chr1	43403604	43403615	-	0.000	0.000	Merged-chr1-43403565-20
NR8109--MA0523.1.TCF7L2	chr7	142967347	142967360	+	0.000	0.000	Merged-chr7-142967366-1
NR6876--MA0523.1.TCF7L2	chr5	110594703	110594716	-	0.000	0.000	Merged-chr5-110594723-25
NR7927--MA0769.1.Tcf7	chr7	112213250	112213261	-	0.000	0.000	Merged-chr7-112213302-61
NR3074--MA0523.1.TCF7L2	chr15	28081291	28081304	+	0.000	0.000	Merged-chr15-28081319-36
NR3478--MA0769.1.Tcf7	chr16	37094601	37094612	-	0.000	0.000	Merged-chr16-37094405-73
NR6188--MA0769.1.Tcf7	chr4	58121160	58121171	-	0.000	0.000	Merged-chr4-58121225-3
NR3676--MA0523.1.TCF7L2	chr16	92743981	92743994	+	0.000	0.000	Merged-chr16-92743989-33
NR5768--MA0523.1.TCF7L2	chr3	116327380	116327393	+	0.000	0.000	Merged-chr3-116327442-32
NR5425--MA0769.1.Tcf7	chr3	21995859	21995870	+	0.000	0.000	Merged-chr3-21996009-51
NR5865--MA1421.1.TCF7L1	chr3	135324655	135324666	+	0.000	0.000	Merged-chr3-135324604-5
NR5697--MA1421.1.TCF7L1	chr3	101948842	101948853	+	0.000	0.000	Merged-chr3-101948658-63
NR7945--MA0769.1.Tcf7	chr7	115218910	115218921	+	0.000	0.000	Merged-chr7-115218920-27
NR5331--MA0769.1.Tcf7	chr2	170147682	170147693	+	0.000	0.000	Merged-chr2-170147732-33
NR7112--MA0523.1.TCF7L2	chr6	34939573	34939586	-	0.000	0.000	Merged-chr6-34939585-12
NR801--MA0523.1.TCF7L2	chr10	24954124	24954137	+	0.000	0.000	Merged-chr10-24954230-36
NR633--MA0523.1.TCF7L2	chr1	180252833	180252846	-	0.000	0.000	Merged-chr1-180252895-14
NR1764--MA0769.1.Tcf7	chr12	35682247	35682258	-	0.000	0.000	Merged-chr12-35682263-36
NR4474--MA0769.1.Tcf7	chr19	47915525	47915536	+	0.000	0.000	Merged-chr19-47915460-18
NR8521--MA0523.1.TCF7L2	chr9	11559576	11559589	-	0.000	0.000	Merged-chr9-11559688-28
NR4371--MA0769.1.Tcf7	chr19	16274720	16274731	-	0.000	0.000	Merged-chr19-16274697-6
NR899--MA0523.1.TCF7L2	chr10	54014468	54014481	+	0.000	0.000	Merged-chr10-54014284-40
NR7963--MA0769.1.Tcf7	chr7	117404664	117404675	+	0.000	0.000	Merged-chr7-117404576-18
NR4013--MA0769.1.Tcf7	chr18	5816632	5816643	+	0.000	0.000	Merged-chr18-5816511-9
NR4963--MA1421.1.TCF7L1	chr2	104459121	104459132	+	0.000	0.000	Merged-chr2-104459041-25
NR1967--MA0523.1.TCF7L2	chr12	91065577	91065590	-	0.000	0.000	Merged-chr12-91065547-31
NR4346--MA0523.1.TCF7L2	chr19	8518419	8518432	+	0.000	0.000	Merged-chr19-8518636-102
NR4611--MA1421.1.TCF7L1	chr2	22722071	22722082	-	0.000	0.000	Merged-chr2-22721936-56
NR4178--MA0523.1.TCF7L2	chr18	60767435	60767448	-	0.000	0.000	Merged-chr18-60767339-28
NR1571--MA0523.1.TCF7L2	chr11	101199604	101199617	+	0.000	0.000	Merged-chr11-101199720-6
NR6042--MA0523.1.TCF7L2	chr4	7362362	7362375	+	0.000	0.000	Merged-chr4-7362333-5
NR5676--MA0769.1.Tcf7	chr3	100475244	100475255	+	0.000	0.000	Merged-chr3-100475201-27
NR993--MA0769.1.Tcf7	chr10	75137253	75137264	+	0.000	0.000	Merged-chr10-75137301-35
NR86--MA1421.1.TCF7L1	chr1	43207295	43207306	+	0.000	0.000	Merged-chr1-43207362-30
NR6645--MA0769.1.Tcf7	chr5	52125953	52125964	-	0.000	0.000	Merged-chr5-52126006-25
NR1536--MA0769.1.Tcf7	chr11	94253406	94253417	+	0.000	0.000	Merged-chr11-94253305-42
NR8904--MA0523.1.TCF7L2	chr9	105689612	105689625	+	0.000	0.000	Merged-chr9-105689631-24
NR7623--MA0769.1.Tcf7	chr6	146481568	146481579	+	0.000	0.000	Merged-chr6-146481511-38
NR5788--MA0769.1.Tcf7	chr3	121689285	121689296	+	0.000	0.000	Merged-chr3-121689232-23
NR3167--MA1421.1.TCF7L1	chr15	59913999	59914010	+	0.000	0.000	Merged-chr15-59913956-28
NR8498--MA0769.1.Tcf7	chr8	128165809	128165820	+	0.000	0.000	Merged-chr8-128165876-22
NR7829--MA0769.1.Tcf7	chr7	80799710	80799721	+	0.000	0.000	Merged-chr7-80799533-1
NR747--MA0769.1.Tcf7	chr10	8130864	8130875	-	0.000	0.000	Merged-chr10-8130916-73
NR3913--MA0523.1.TCF7L2	chr17	66110749	66110762	+	0.000	0.000	Merged-chr17-66110861-3
NR8172--MA0523.1.TCF7L2	chr8	25769246	25769259	+	0.000	0.000	Merged-chr8-25769209-9
NR6668--MA1421.1.TCF7L1	chr5	64029907	64029918	+	0.000	0.000	Merged-chr5-64029830-27
NR4180--MA1421.1.TCF7L1	chr18	61188290	61188301	-	0.000	0.000	Merged-chr18-61188282-36
NR4143--MA0769.1.Tcf7	chr18	54860625	54860636	+	0.000	0.000	Merged-chr18-54860804-67
NR1845--MA1421.1.TCF7L1	chr12	69825405	69825416	-	0.000	0.000	Merged-chr12-69825253-21
NR1677--MA1421.1.TCF7L1	chr12	3990035	3990046	+	0.000	0.000	Merged-chr12-3989980-1
NR6316--MA1421.1.TCF7L1	chr4	102967967	102967978	+	0.000	0.000	Merged-chr4-102968093-31
NR3373--MA1421.1.TCF7L1	chr16	10399306	10399317	-	0.000	0.000	Merged-chr16-10399279-20
NR8713--MA0769.1.Tcf7	chr9	66899731	66899742	-	0.000	0.000	Merged-chr9-66899689-35
NR8774--MA0523.1.TCF7L2	chr9	80318138	80318151	-	0.000	0.000	Merged-chr9-80318250-48
