#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed
NR2527--MA0591.1.Bach1::Mafk	chr12	17412098	17412112	-	0.000	0.000	Merged-chr12-17412313-11
NR11482--MA0495.2.MAFF	chr8	94812834	94812854	-	0.000	0.000	Merged-chr8-94812976-23
NR10185--MA0089.1.MAFG::NFE2L1	chr6	129552655	129552660	-	0.000	0.000	Merged-chr6-129552660-25
NR6464--MA0501.1.MAF::NFE2	chr2	34945756	34945770	-	0.000	0.000	Merged-chr2-34945759-18
NR11448--MA0117.2.Mafb	chr8	88592949	88592960	-	0.000	0.000	Merged-chr8-88592850-20
NR9506--MA0659.1.MAFG	chr5	146655355	146655375	+	0.000	0.000	Merged-chr5-146655552-37
NR589--MA0117.2.Mafb	chr1	144767896	144767907	+	0.000	0.000	Merged-chr1-144767852-6
NR11892--MA0089.1.MAFG::NFE2L1	chr9	45247677	45247682	-	0.000	0.000	Merged-chr9-45247703-45
NR5477--MA0089.1.MAFG::NFE2L1	chr17	85901467	85901472	-	0.000	0.000	Merged-chr17-85901349-9
NR4257--MA0089.1.MAFG::NFE2L1	chr15	53259438	53259443	-	0.000	0.000	Merged-chr15-53259323-8
NR9504--MA0591.1.Bach1::Mafk	chr5	146655358	146655372	+	0.000	0.000	Merged-chr5-146655552-37
NR4155--MA0089.1.MAFG::NFE2L1	chr15	11952317	11952322	+	0.000	0.000	Merged-chr15-11952376-20
NR12016--MA0501.1.MAF::NFE2	chr9	64747796	64747810	-	0.000	0.000	Merged-chr9-64747919-11
NR6300--MA0659.1.MAFG	chr2	3742585	3742605	-	0.000	0.000	Merged-chr2-3742681-34
NR171--MA0496.2.MAFK	chr1	53945958	53945976	-	0.000	0.000	Merged-chr1-53945969-15
NR5662--MA0117.2.Mafb	chr18	39185933	39185944	-	0.000	0.000	Merged-chr18-39185847-29
NR4920--MA0089.1.MAFG::NFE2L1	chr16	84800308	84800313	+	0.000	0.000	Merged-chr16-84800124-30
NR118--MA0089.1.MAFG::NFE2L1	chr1	39559237	39559242	+	0.000	0.000	Merged-chr1-39559167-24
NR11900--MA0591.1.Bach1::Mafk	chr9	48817501	48817515	+	0.000	0.000	Merged-chr9-48817420-28
NR11365--MA0591.1.Bach1::Mafk	chr8	71587146	71587160	+	0.000	0.000	Merged-chr8-71587200-14
NR6136--MA0089.1.MAFG::NFE2L1	chr19	41366776	41366781	-	0.000	0.000	Merged-chr19-41366765-21
NR2698--MA0089.1.MAFG::NFE2L1	chr12	80211434	80211439	+	0.000	0.000	Merged-chr12-80211304-22
NR3854--MA0501.1.MAF::NFE2	chr14	62851113	62851127	-	0.000	0.000	Merged-chr14-62851095-38
NR6462--MA0659.1.MAFG	chr2	34945756	34945776	-	0.000	0.000	Merged-chr2-34945759-18
NR6456--MA0495.2.MAFF	chr2	34945756	34945776	+	0.000	0.000	Merged-chr2-34945759-18
NR9459--MA0501.1.MAF::NFE2	chr5	140637018	140637032	-	0.000	0.000	Merged-chr5-140636895-23
NR6458--MA0117.2.Mafb	chr2	34945756	34945767	+	0.000	0.000	Merged-chr2-34945759-18
NR1208--MA0496.2.MAFK	chr10	53344049	53344067	+	0.000	0.000	Merged-chr10-53344095-9
NR6447--MA0089.1.MAFG::NFE2L1	chr2	34494420	34494425	-	0.000	0.000	Merged-chr2-34494375-14
NR9333--MA0089.1.MAFG::NFE2L1	chr5	113613431	113613436	-	0.000	0.000	Merged-chr5-113613297-13
NR5992--MA0591.1.Bach1::Mafk	chr19	10497697	10497711	-	0.000	0.000	Merged-chr19-10497777-4
NR6138--MA0501.1.MAF::NFE2	chr19	41366766	41366780	-	0.000	0.000	Merged-chr19-41366765-21
NR10498--MA0496.2.MAFK	chr7	25107336	25107354	-	0.000	0.000	Merged-chr7-25107253-25
NR8210--MA0501.1.MAF::NFE2	chr4	43052782	43052796	+	0.000	0.000	Merged-chr4-43052876-24
NR4546--MA0495.2.MAFF	chr15	100265724	100265744	-	0.000	0.000	Merged-chr15-100265875-19
NR6296--MA0495.2.MAFF	chr2	3742585	3742605	+	0.000	0.000	Merged-chr2-3742681-34
NR2456--MA0501.1.MAF::NFE2	chr11	119877335	119877349	+	0.000	0.000	Merged-chr11-119877317-14
NR12481--MA0496.2.MAFK	chrX	77801763	77801781	+	0.000	0.000	Merged-chrX-77801758-16
NR221--MA0089.1.MAFG::NFE2L1	chr1	62843348	62843353	-	0.000	0.000	Merged-chr1-62843391-6
NR8528--MA0089.1.MAFG::NFE2L1	chr4	119947741	119947746	-	0.000	0.000	Merged-chr4-119947761-47
NR5287--MA0591.1.Bach1::Mafk	chr17	47294184	47294198	-	0.000	0.000	Merged-chr17-47294215-12
NR11483--MA0591.1.Bach1::Mafk	chr8	94812837	94812851	+	0.000	0.000	Merged-chr8-94812976-23
NR1596--MA0089.1.MAFG::NFE2L1	chr10	117419039	117419044	+	0.000	0.000	Merged-chr10-117418980-24
NR2811--MA0089.1.MAFG::NFE2L1	chr12	100871394	100871399	+	0.000	0.000	Merged-chr12-100871436-2
NR174--MA0501.1.MAF::NFE2	chr1	53970750	53970764	-	0.000	0.000	Merged-chr1-53970777-7
NR2327--MA0501.1.MAF::NFE2	chr11	108244342	108244356	+	0.000	0.000	Merged-chr11-108244396-19
