#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_up.bed
NR5403--MA0037.3.GATA3	chr5	149392281	149392288	+	0.000	0.000	Merged-chr5-149392157-30
NR3448--MA0482.1.Gata4	chr18	80041857	80041867	-	0.000	0.000	Merged-chr18-80041946-55
NR462--MA0036.3.GATA2	chr1	165985895	165985905	-	0.000	0.000	Merged-chr1-165985990-54
NR7016--MA0035.3.Gata1	chr9	112175240	112175250	-	0.000	0.000	Merged-chr9-112175419-1
NR1862--MA0036.3.GATA2	chr13	44089107	44089117	+	0.000	0.000	Merged-chr13-44088979-30
NR2692--MA0766.1.GATA5	chr16	10814979	10814986	+	0.000	0.000	Merged-chr16-10815093-30
NR1860--MA0037.3.GATA3	chr13	44089108	44089115	-	0.000	0.000	Merged-chr13-44088979-30
NR731--MA0037.3.GATA3	chr10	40451942	40451949	-	0.000	0.000	Merged-chr10-40451996-39
NR7131--MA1104.1.GATA6	chrX	107421592	107421604	+	0.000	0.000	Merged-chrX-107421546-18
NR735--MA0766.1.GATA5	chr10	40451942	40451949	-	0.000	0.000	Merged-chr10-40451996-39
NR6730--MA0482.1.Gata4	chr9	48448117	48448127	+	0.000	0.000	Merged-chr9-48448010-22
NR459--MA0035.3.Gata1	chr1	165985489	165985499	-	0.000	0.000	Merged-chr1-165985413-2
NR5780--MA0036.3.GATA2	chr6	136422677	136422687	+	0.000	0.000	Merged-chr6-136422610-10
NR4038--MA0037.3.GATA3	chr2	116999070	116999077	+	0.000	0.000	Merged-chr2-116999120-8
NR4811--MA0482.1.Gata4	chr4	59933232	59933242	+	0.000	0.000	Merged-chr4-59933078-31
NR1389--MA1104.1.GATA6	chr11	109822473	109822485	-	0.000	0.000	Merged-chr11-109822566-4
NR1517--MA1104.1.GATA6	chr12	52504853	52504865	-	0.000	0.000	Merged-chr12-52504676-5
NR4352--MA1104.1.GATA6	chr3	60788286	60788298	-	0.000	0.000	Merged-chr3-60788099-46
NR6733--MA0035.3.Gata1	chr9	48448116	48448126	+	0.000	0.000	Merged-chr9-48448010-22
NR1520--MA0035.3.Gata1	chr12	52504854	52504864	+	0.000	0.000	Merged-chr12-52504676-5
NR4614--MA0766.1.GATA5	chr3	136725869	136725876	-	0.000	0.000	Merged-chr3-136725981-1
NR4452--MA0766.1.GATA5	chr3	101296680	101296687	+	0.000	0.000	Merged-chr3-101296807-2
NR1464--MA0037.3.GATA3	chr12	15967871	15967878	+	0.000	0.000	Merged-chr12-15967723-42
NR6180--MA0482.1.Gata4	chr7	113263190	113263200	+	0.000	0.000	Merged-chr7-113263148-32
NR3938--MA0037.3.GATA3	chr2	92213633	92213640	-	0.000	0.000	Merged-chr2-92213581-10
NR6831--MA0482.1.Gata4	chr9	80318150	80318160	+	0.000	0.000	Merged-chr9-80318250-48
NR469--MA0766.1.GATA5	chr1	165985999	165986006	+	0.000	0.000	Merged-chr1-165985990-54
NR3428--MA0037.3.GATA3	chr18	79353031	79353038	+	0.000	0.000	Merged-chr18-79353064-26
NR4041--MA0036.3.GATA2	chr2	117399743	117399753	-	0.000	0.000	Merged-chr2-117399695-40
NR3592--MA0766.1.GATA5	chr19	40267569	40267576	-	0.000	0.000	Merged-chr19-40267576-38
NR6777--MA0766.1.GATA5	chr9	69073402	69073409	-	0.000	0.000	Merged-chr9-69073494-25
NR5531--MA0037.3.GATA3	chr6	67184856	67184863	+	0.000	0.000	Merged-chr6-67184785-39
NR101--MA0482.1.Gata4	chr1	74726966	74726976	+	0.000	0.000	Merged-chr1-74726770-27
NR1294--MA0037.3.GATA3	chr11	97246705	97246712	-	0.000	0.000	Merged-chr11-97246717-13
NR6731--MA1104.1.GATA6	chr9	48448115	48448127	-	0.000	0.000	Merged-chr9-48448010-22
NR3431--MA0036.3.GATA2	chr18	79353029	79353039	-	0.000	0.000	Merged-chr18-79353064-26
NR2600--MA0140.2.GATA1::TAL1	chr15	79397034	79397051	-	0.000	0.000	Merged-chr15-79396966-23
NR879--MA0035.3.Gata1	chr10	95746062	95746072	+	0.000	0.000	Merged-chr10-95746044-53
NR3127--MA0140.2.GATA1::TAL1	chr17	70886909	70886926	+	0.000	0.000	Merged-chr17-70886838-34
NR6104--MA1104.1.GATA6	chr7	90007378	90007390	+	0.000	0.000	Merged-chr7-90007418-46
NR4134--MA0036.3.GATA2	chr2	146416548	146416558	+	0.000	0.000	Merged-chr2-146416561-24
NR3041--MA0037.3.GATA3	chr17	36414628	36414635	-	0.000	0.000	Merged-chr17-36414652-17
NR6024--MA0035.3.Gata1	chr7	67500441	67500451	-	0.000	0.000	Merged-chr7-67500556-27
NR4666--MA0140.2.GATA1::TAL1	chr3	145663512	145663529	-	0.000	0.000	Merged-chr3-145663343-1
NR4638--MA0482.1.Gata4	chr3	138334346	138334356	+	0.000	0.000	Merged-chr3-138334424-50
NR4399--MA0036.3.GATA2	chr3	84772178	84772188	-	0.000	0.000	Merged-chr3-84772067-31
NR3593--MA0035.3.Gata1	chr19	40267568	40267578	+	0.000	0.000	Merged-chr19-40267576-38
NR4350--MA0037.3.GATA3	chr3	60788288	60788295	-	0.000	0.000	Merged-chr3-60788099-46
NR6778--MA0035.3.Gata1	chr9	69073401	69073411	+	0.000	0.000	Merged-chr9-69073494-25
NR3996--MA0482.1.Gata4	chr2	106985121	106985131	+	0.000	0.000	Merged-chr2-106985167-21
NR1701--MA0036.3.GATA2	chr12	113414680	113414690	+	0.000	0.000	Merged-chr12-113414554-11
NR5313--MA0036.3.GATA2	chr5	124022516	124022526	+	0.000	0.000	Merged-chr5-124022476-27
NR6532--MA1104.1.GATA6	chr8	114888903	114888915	+	0.000	0.000	Merged-chr8-114888790-56
NR6022--MA1104.1.GATA6	chr7	67500440	67500452	+	0.000	0.000	Merged-chr7-67500556-27
NR5536--MA0035.3.Gata1	chr6	67184854	67184864	-	0.000	0.000	Merged-chr6-67184785-39
NR5911--MA0036.3.GATA2	chr7	16001894	16001904	-	0.000	0.000	Merged-chr7-16001989-41
NR5788--MA0035.3.Gata1	chr6	136743839	136743849	-	0.000	0.000	Merged-chr6-136743937-14
NR1390--MA0036.3.GATA2	chr11	109822474	109822484	+	0.000	0.000	Merged-chr11-109822566-4
NR3501--MA1104.1.GATA6	chr19	5094350	5094362	+	0.000	0.000	Merged-chr19-5094459-12
NR1403--MA0482.1.Gata4	chr11	113574272	113574282	-	0.000	0.000	Merged-chr11-113574265-17
NR4639--MA1104.1.GATA6	chr3	138334344	138334356	-	0.000	0.000	Merged-chr3-138334424-50
NR3986--MA0036.3.GATA2	chr2	104763428	104763438	-	0.000	0.000	Merged-chr2-104763396-33
NR2688--MA0037.3.GATA3	chr16	10814979	10814986	+	0.000	0.000	Merged-chr16-10815093-30
NR1302--MA0766.1.GATA5	chr11	98487790	98487797	+	0.000	0.000	Merged-chr11-98487809-30
NR5480--MA0766.1.GATA5	chr6	33051811	33051818	+	0.000	0.000	Merged-chr6-33051908-11
NR1296--MA0766.1.GATA5	chr11	97246705	97246712	-	0.000	0.000	Merged-chr11-97246717-13
NR3997--MA1104.1.GATA6	chr2	106985119	106985131	-	0.000	0.000	Merged-chr2-106985167-21
NR5406--MA0036.3.GATA2	chr5	149392279	149392289	-	0.000	0.000	Merged-chr5-149392157-30
NR2691--MA0036.3.GATA2	chr16	10814977	10814987	-	0.000	0.000	Merged-chr16-10815093-30
NR3683--MA0766.1.GATA5	chr19	59926171	59926178	-	0.000	0.000	Merged-chr19-59926305-20
NR513--MA0766.1.GATA5	chr1	175631875	175631882	+	0.000	0.000	Merged-chr1-175631822-65
NR1416--MA0766.1.GATA5	chr11	115746912	115746919	-	0.000	0.000	Merged-chr11-115746671-90
NR734--MA0036.3.GATA2	chr10	40451941	40451951	+	0.000	0.000	Merged-chr10-40451996-39
NR1404--MA1104.1.GATA6	chr11	113574272	113574284	+	0.000	0.000	Merged-chr11-113574265-17
NR1861--MA1104.1.GATA6	chr13	44089106	44089118	-	0.000	0.000	Merged-chr13-44088979-30
NR5626--MA0766.1.GATA5	chr6	108606934	108606941	-	0.000	0.000	Merged-chr6-108607013-11
NR5106--MA0036.3.GATA2	chr5	21369074	21369084	-	0.000	0.000	Merged-chr5-21368960-21
NR1460--MA1104.1.GATA6	chr12	14086784	14086796	-	0.000	0.000	Merged-chr12-14086767-28
NR5629--MA0036.3.GATA2	chr6	108607017	108607027	+	0.000	0.000	Merged-chr6-108607013-11
NR5164--MA0482.1.Gata4	chr5	53605613	53605623	-	0.000	0.000	Merged-chr5-53605625-25
NR1159--MA0037.3.GATA3	chr11	64037641	64037648	+	0.000	0.000	Merged-chr11-64037767-32
NR3575--MA0140.2.GATA1::TAL1	chr19	32926371	32926388	-	0.000	0.000	Merged-chr19-32926300-25
NR4613--MA0036.3.GATA2	chr3	136725868	136725878	+	0.000	0.000	Merged-chr3-136725981-1
NR1074--MA0036.3.GATA2	chr11	11836940	11836950	+	0.000	0.000	Merged-chr11-11837020-26
NR4059--MA0140.2.GATA1::TAL1	chr2	124634793	124634810	-	0.000	0.000	Merged-chr2-124634585-20
NR139--MA0037.3.GATA3	chr1	87899817	87899824	-	0.000	0.000	Merged-chr1-87899931-42
NR5210--MA0140.2.GATA1::TAL1	chr5	86783451	86783468	-	0.000	0.000	Merged-chr5-86783243-43
NR1595--MA1104.1.GATA6	chr12	85818539	85818551	+	0.000	0.000	Merged-chr12-85818661-14
NR2019--MA0140.2.GATA1::TAL1	chr13	95449890	95449907	-	0.000	0.000	Merged-chr13-95449730-51
NR282--MA0766.1.GATA5	chr1	130838475	130838482	+	0.000	0.000	Merged-chr1-130838519-27
NR4640--MA0035.3.Gata1	chr3	138334345	138334355	+	0.000	0.000	Merged-chr3-138334424-50
NR6774--MA0037.3.GATA3	chr9	69073402	69073409	-	0.000	0.000	Merged-chr9-69073494-25
NR3713--MA0482.1.Gata4	chr2	11617067	11617077	+	0.000	0.000	Merged-chr2-11617013-39
NR1414--MA0482.1.Gata4	chr11	115746912	115746922	+	0.000	0.000	Merged-chr11-115746671-90
NR1024--MA0035.3.Gata1	chr10	127759708	127759718	+	0.000	0.000	Merged-chr10-127759558-36
NR142--MA0036.3.GATA2	chr1	87899816	87899826	+	0.000	0.000	Merged-chr1-87899931-42
NR1299--MA0482.1.Gata4	chr11	98487787	98487797	-	0.000	0.000	Merged-chr11-98487809-30
NR4616--MA0037.3.GATA3	chr3	136742960	136742967	-	0.000	0.000	Merged-chr3-136742959-57
NR2914--MA0766.1.GATA5	chr16	97204301	97204308	-	0.000	0.000	Merged-chr16-97204388-55
NR3995--MA0037.3.GATA3	chr2	106985121	106985128	-	0.000	0.000	Merged-chr2-106985167-21
NR4473--MA0140.2.GATA1::TAL1	chr3	107076712	107076729	+	0.000	0.000	Merged-chr3-107076709-51
NR3577--MA0482.1.Gata4	chr19	33053337	33053347	+	0.000	0.000	Merged-chr19-33053321-32
NR4911--MA0036.3.GATA2	chr4	115056685	115056695	+	0.000	0.000	Merged-chr4-115056666-5
NR7012--MA0482.1.Gata4	chr9	109863296	109863306	-	0.000	0.000	Merged-chr9-109863307-1
NR4216--MA0140.2.GATA1::TAL1	chr2	167723887	167723904	+	0.000	0.000	Merged-chr2-167723859-27
