#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed
NR6652--MA0511.2.RUNX2	chr2	168429763	168429771	+	0.000	0.000	Merged-chr2-168429700-17
NR549--MA0684.1.RUNX3	chr1	144276046	144276055	-	0.000	0.000	Merged-chr1-144275874-18
NR5951--MA0002.2.RUNX1	chr2	10273995	10274005	+	0.000	0.000	Merged-chr2-10274045-5
NR3923--MA0002.2.RUNX1	chr15	52899991	52900001	+	0.000	0.000	Merged-chr15-52899831-78
NR3794--MA0684.1.RUNX3	chr15	5693964	5693973	-	0.000	0.000	Merged-chr15-5693934-13
NR637--MA0684.1.RUNX3	chr1	161909273	161909282	+	0.000	0.000	Merged-chr1-161909340-8
NR1223--MA0002.2.RUNX1	chr10	80270196	80270206	+	0.000	0.000	Merged-chr10-80270188-4
NR2186--MA0002.2.RUNX1	chr11	115366303	115366313	-	0.000	0.000	Merged-chr11-115366369-13
NR2857--MA0684.1.RUNX3	chr13	20502892	20502901	-	0.000	0.000	Merged-chr13-20502802-9
NR9303--MA0002.2.RUNX1	chr6	137535756	137535766	-	0.000	0.000	Merged-chr6-137535864-11
NR3373--MA0002.2.RUNX1	chr14	25534436	25534446	+	0.000	0.000	Merged-chr14-25534315-15
NR6164--MA0684.1.RUNX3	chr2	65133924	65133933	+	0.000	0.000	Merged-chr2-65133825-19
NR3805--MA0684.1.RUNX3	chr15	8157131	8157140	+	0.000	0.000	Merged-chr15-8157171-7
NR7731--MA0684.1.RUNX3	chr4	111440481	111440490	-	0.000	0.000	Merged-chr4-111440477-13
NR7791--MA0511.2.RUNX2	chr4	123287779	123287787	-	0.000	0.000	Merged-chr4-123287942-8
NR85--MA0002.2.RUNX1	chr1	38897230	38897240	+	0.000	0.000	Merged-chr1-38897327-4
NR891--MA0002.2.RUNX1	chr1	193198495	193198505	-	0.000	0.000	Merged-chr1-193198474-9
NR8578--MA0002.2.RUNX1	chr5	136187975	136187985	-	0.000	0.000	Merged-chr5-136188126-9
NR2273--MA0684.1.RUNX3	chr12	13512612	13512621	+	0.000	0.000	Merged-chr12-13512538-15
NR1813--MA0002.2.RUNX1	chr11	68768602	68768612	-	0.000	0.000	Merged-chr11-68768507-16
NR2004--MA0511.2.RUNX2	chr11	99012424	99012432	+	0.000	0.000	Merged-chr11-99012536-12
NR1323--MA0684.1.RUNX3	chr10	94211874	94211883	-	0.000	0.000	Merged-chr10-94211763-30
NR397--MA0511.2.RUNX2	chr1	97614015	97614023	+	0.000	0.000	Merged-chr1-97613912-17
NR7989--MA0002.2.RUNX1	chr4	150894803	150894813	-	0.000	0.000	Merged-chr4-150894695-19
NR3963--MA0002.2.RUNX1	chr15	63969325	63969335	+	0.000	0.000	Merged-chr15-63969330-24
NR4198--MA0002.2.RUNX1	chr15	100265823	100265833	-	0.000	0.000	Merged-chr15-100265875-19
NR4598--MA0684.1.RUNX3	chr16	84800041	84800050	+	0.000	0.000	Merged-chr16-84800124-30
NR5133--MA0002.2.RUNX1	chr17	79394208	79394218	+	0.000	0.000	Merged-chr17-79394145-31
NR7174--MA0002.2.RUNX1	chr3	132575221	132575231	-	0.000	0.000	Merged-chr3-132575270-5
NR4911--MA0002.2.RUNX1	chr17	31326363	31326373	+	0.000	0.000	Merged-chr17-31326302-35
NR2960--MA0002.2.RUNX1	chr13	43485371	43485381	-	0.000	0.000	Merged-chr13-43485409-24
NR3793--MA0002.2.RUNX1	chr15	5693963	5693973	+	0.000	0.000	Merged-chr15-5693934-13
NR1289--MA0002.2.RUNX1	chr10	88551162	88551172	-	0.000	0.000	Merged-chr10-88551161-11
NR1689--MA0684.1.RUNX3	chr11	48935110	48935119	+	0.000	0.000	Merged-chr11-48935044-1
NR3510--MA0511.2.RUNX2	chr14	63104030	63104038	+	0.000	0.000	Merged-chr14-63104126-25
NR7314--MA0684.1.RUNX3	chr3	149394059	149394068	-	0.000	0.000	Merged-chr3-149393865-18
NR9321--MA0684.1.RUNX3	chr6	140493270	140493279	+	0.000	0.000	Merged-chr6-140493334-8
NR7436--MA0684.1.RUNX3	chr4	21842815	21842824	+	0.000	0.000	Merged-chr4-21842691-16
NR5756--MA0684.1.RUNX3	chr19	32138397	32138406	+	0.000	0.000	Merged-chr19-32138517-38
NR10996--MA0002.2.RUNX1	chr9	80282575	80282585	+	0.000	0.000	Merged-chr9-80282711-23
NR10681--MA0511.2.RUNX2	chr9	13518730	13518738	-	0.000	0.000	Merged-chr9-13518732-12
NR5322--MA0002.2.RUNX1	chr18	39185902	39185912	-	0.000	0.000	Merged-chr18-39185847-29
NR3371--MA0002.2.RUNX1	chr14	25534297	25534307	+	0.000	0.000	Merged-chr14-25534315-15
NR3327--MA0684.1.RUNX3	chr13	119657288	119657297	+	0.000	0.000	Merged-chr13-119657260-10
NR13--MA0684.1.RUNX3	chr1	7095994	7096003	-	0.000	0.000	Merged-chr1-7096130-35
