#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed
NR7435--MA0511.2.RUNX2	chr5	74471121	74471129	+	0.000	0.000	Merged-chr5-74471085-11
NR8305--MA0002.2.RUNX1	chr6	123961608	123961618	-	0.000	0.000	Merged-chr6-123961571-9
NR6625--MA0002.2.RUNX1	chr4	10875591	10875601	+	0.000	0.000	Merged-chr4-10875548-10
NR2123--MA0002.2.RUNX1	chr12	76853981	76853991	+	0.000	0.000	Merged-chr12-76853895-20
NR393--MA0684.1.RUNX3	chr1	106884006	106884015	-	0.000	0.000	Merged-chr1-106884032-17
NR4120--MA0511.2.RUNX2	chr17	7147972	7147980	+	0.000	0.000	Merged-chr17-7148067-30
NR4786--MA0511.2.RUNX2	chr18	73648551	73648559	+	0.000	0.000	Merged-chr18-73648637-9
NR8252--MA0002.2.RUNX1	chr6	118621846	118621856	+	0.000	0.000	Merged-chr6-118621968-6
NR5258--MA0511.2.RUNX2	chr2	29453884	29453892	-	0.000	0.000	Merged-chr2-29453953-15
NR4448--MA0002.2.RUNX1	chr17	83148562	83148572	+	0.000	0.000	Merged-chr17-83148588-10
NR5115--MA0511.2.RUNX2	chr19	57113350	57113358	+	0.000	0.000	Merged-chr19-57113185-31
NR100--MA0002.2.RUNX1	chr1	38597975	38597985	-	0.000	0.000	Merged-chr1-38597807-10
NR3369--MA0684.1.RUNX3	chr15	11489306	11489315	-	0.000	0.000	Merged-chr15-11489207-4
NR4523--MA0002.2.RUNX1	chr18	10154728	10154738	+	0.000	0.000	Merged-chr18-10154788-16
NR2638--MA0002.2.RUNX1	chr13	59468173	59468183	-	0.000	0.000	Merged-chr13-59468165-25
NR9389--MA0684.1.RUNX3	chr8	111577954	111577963	-	0.000	0.000	Merged-chr8-111578108-20
NR6107--MA0002.2.RUNX1	chr3	81102253	81102263	+	0.000	0.000	Merged-chr3-81102418-9
NR9670--MA0002.2.RUNX1	chr9	55544271	55544281	+	0.000	0.000	Merged-chr9-55544140-10
NR8624--MA0002.2.RUNX1	chr7	49364549	49364559	-	0.000	0.000	Merged-chr7-49364720-42
NR4122--MA0002.2.RUNX1	chr17	7164083	7164093	+	0.000	0.000	Merged-chr17-7164154-31
NR4582--MA0511.2.RUNX2	chr18	32149484	32149492	-	0.000	0.000	Merged-chr18-32149405-13
NR8928--MA0684.1.RUNX3	chr7	118232820	118232829	+	0.000	0.000	Merged-chr7-118232958-8
NR966--MA0511.2.RUNX2	chr10	26879362	26879370	-	0.000	0.000	Merged-chr10-26879299-36
NR8889--MA0002.2.RUNX1	chr7	114316566	114316576	-	0.000	0.000	Merged-chr7-114316593-23
NR6672--MA0684.1.RUNX3	chr4	32388921	32388930	+	0.000	0.000	Merged-chr4-32388738-7
NR3850--MA0511.2.RUNX2	chr16	37099541	37099549	-	0.000	0.000	Merged-chr16-37099650-10
NR6512--MA0511.2.RUNX2	chr3	146045007	146045015	-	0.000	0.000	Merged-chr3-146045142-29
NR8094--MA0684.1.RUNX3	chr6	87725734	87725743	+	0.000	0.000	Merged-chr6-87725596-14
NR9298--MA0511.2.RUNX2	chr8	77341136	77341144	+	0.000	0.000	Merged-chr8-77341017-10
NR2533--MA0511.2.RUNX2	chr13	34914838	34914846	-	0.000	0.000	Merged-chr13-34914852-26
NR989--MA0002.2.RUNX1	chr10	37207075	37207085	+	0.000	0.000	Merged-chr10-37207171-14
NR6394--MA0002.2.RUNX1	chr3	132791318	132791328	-	0.000	0.000	Merged-chr3-132791387-40
NR3926--MA0002.2.RUNX1	chr16	52362333	52362343	-	0.000	0.000	Merged-chr16-52362398-3
NR10008--MA0002.2.RUNX1	chr9	118167867	118167877	-	0.000	0.000	Merged-chr9-118167872-33
NR9025--MA0511.2.RUNX2	chr7	136164676	136164684	+	0.000	0.000	Merged-chr7-136164647-23
NR8073--MA0684.1.RUNX3	chr6	83673647	83673656	-	0.000	0.000	Merged-chr6-83673578-1
NR5046--MA0511.2.RUNX2	chr19	42031226	42031234	+	0.000	0.000	Merged-chr19-42031201-8
NR4507--MA0002.2.RUNX1	chr17	93158626	93158636	+	0.000	0.000	Merged-chr17-93158612-24
NR8803--MA0511.2.RUNX2	chr7	98728655	98728663	+	0.000	0.000	Merged-chr7-98728750-2
NR6038--MA0002.2.RUNX1	chr3	55688355	55688365	-	0.000	0.000	Merged-chr3-55688329-24
NR2015--MA0511.2.RUNX2	chr12	34248929	34248937	+	0.000	0.000	Merged-chr12-34249045-49
NR328--MA0002.2.RUNX1	chr1	92371736	92371746	-	0.000	0.000	Merged-chr1-92371802-28
NR1771--MA0002.2.RUNX1	chr11	96504750	96504760	-	0.000	0.000	Merged-chr11-96504933-13
NR3851--MA0684.1.RUNX3	chr16	37099540	37099549	-	0.000	0.000	Merged-chr16-37099650-10
NR7700--MA0684.1.RUNX3	chr5	124241815	124241824	+	0.000	0.000	Merged-chr5-124241668-15
NR307--MA0002.2.RUNX1	chr1	87847453	87847463	-	0.000	0.000	Merged-chr1-87847290-68
NR1022--MA0002.2.RUNX1	chr10	42849060	42849070	-	0.000	0.000	Merged-chr10-42848913-29
NR5924--MA0684.1.RUNX3	chr3	10466141	10466150	+	0.000	0.000	Merged-chr3-10466039-18
NR2494--MA0684.1.RUNX3	chr13	24866804	24866813	+	0.000	0.000	Merged-chr13-24866887-32
NR2289--MA0684.1.RUNX3	chr12	105538366	105538375	+	0.000	0.000	Merged-chr12-105538395-6
NR8262--MA0684.1.RUNX3	chr6	119509053	119509062	-	0.000	0.000	Merged-chr6-119509030-36
NR9211--MA0002.2.RUNX1	chr8	35898292	35898302	+	0.000	0.000	Merged-chr8-35898290-14
NR8593--MA0511.2.RUNX2	chr7	42642552	42642560	+	0.000	0.000	Merged-chr7-42642590-33
NR2748--MA0511.2.RUNX2	chr13	89889237	89889245	+	0.000	0.000	Merged-chr13-89889254-28
NR7640--MA0002.2.RUNX1	chr5	115693470	115693480	-	0.000	0.000	Merged-chr5-115693567-32
NR9972--MA0684.1.RUNX3	chr9	115214733	115214742	-	0.000	0.000	Merged-chr9-115214840-19
NR6118--MA0002.2.RUNX1	chr3	82365230	82365240	-	0.000	0.000	Merged-chr3-82365236-33
NR4024--MA0002.2.RUNX1	chr16	89817051	89817061	-	0.000	0.000	Merged-chr16-89817047-30
NR9333--MA0002.2.RUNX1	chr8	91381938	91381948	+	0.000	0.000	Merged-chr8-91381957-7
NR8093--MA0002.2.RUNX1	chr6	87725734	87725744	-	0.000	0.000	Merged-chr6-87725596-14
NR2618--MA0511.2.RUNX2	chr13	55255487	55255495	-	0.000	0.000	Merged-chr13-55255412-37
NR488--MA0511.2.RUNX2	chr1	136568884	136568892	-	0.000	0.000	Merged-chr1-136568866-12
NR9541--MA0511.2.RUNX2	chr9	15004406	15004414	+	0.000	0.000	Merged-chr9-15004523-21
NR1123--MA0002.2.RUNX1	chr10	71266164	71266174	-	0.000	0.000	Merged-chr10-71266010-2,Merged-chr10-71266331-5
NR961--MA0002.2.RUNX1	chr10	26562868	26562878	+	0.000	0.000	Merged-chr10-26563078-18
NR2979--MA0511.2.RUNX2	chr14	20775785	20775793	+	0.000	0.000	Merged-chr14-20775848-16
NR7000--MA0002.2.RUNX1	chr4	123147932	123147942	+	0.000	0.000	Merged-chr4-123147802-20
NR3312--MA0684.1.RUNX3	chr14	119236410	119236419	-	0.000	0.000	Merged-chr14-119236354-10
NR7884--MA0002.2.RUNX1	chr6	28878170	28878180	-	0.000	0.000	Merged-chr6-28878211-33
NR7840--MA0511.2.RUNX2	chr6	5436828	5436836	-	0.000	0.000	Merged-chr6-5436735-3
NR1231--MA0684.1.RUNX3	chr10	88346742	88346751	-	0.000	0.000	Merged-chr10-88346697-18
NR367--MA0684.1.RUNX3	chr1	98022055	98022064	+	0.000	0.000	Merged-chr1-98022036-10
NR7863--MA0002.2.RUNX1	chr6	17382929	17382939	+	0.000	0.000	Merged-chr6-17382878-11
NR5564--MA0002.2.RUNX1	chr2	112765178	112765188	+	0.000	0.000	Merged-chr2-112765248-29
NR3827--MA0684.1.RUNX3	chr16	34125768	34125777	+	0.000	0.000	Merged-chr16-34125712-27
NR8478--MA0002.2.RUNX1	chr6	146005518	146005528	-	0.000	0.000	Merged-chr6-146005521-31
NR3394--MA0684.1.RUNX3	chr15	27668287	27668296	-	0.000	0.000	Merged-chr15-27668249-55
NR9926--MA0511.2.RUNX2	chr9	108617517	108617525	-	0.000	0.000	Merged-chr9-108617434-16
NR60--MA0002.2.RUNX1	chr1	23321110	23321120	+	0.000	0.000	Merged-chr1-23320930-3
NR7842--MA0002.2.RUNX1	chr6	5997677	5997687	-	0.000	0.000	Merged-chr6-5997718-16
NR1455--MA0002.2.RUNX1	chr10	128135525	128135535	-	0.000	0.000	Merged-chr10-128135587-20
NR8304--MA0511.2.RUNX2	chr6	123961608	123961616	+	0.000	0.000	Merged-chr6-123961571-9
NR7889--MA0002.2.RUNX1	chr6	30340466	30340476	-	0.000	0.000	Merged-chr6-30340459-13
NR3929--MA0002.2.RUNX1	chr16	55531048	55531058	+	0.000	0.000	Merged-chr16-55531037-7
NR4670--MA0002.2.RUNX1	chr18	54986777	54986787	-	0.000	0.000	Merged-chr18-54986948-23
NR1520--MA0511.2.RUNX2	chr11	16858838	16858846	-	0.000	0.000	Merged-chr11-16858803-1
NR5923--MA0002.2.RUNX1	chr3	10466141	10466151	-	0.000	0.000	Merged-chr3-10466039-18
NR5384--MA0511.2.RUNX2	chr2	62332035	62332043	-	0.000	0.000	Merged-chr2-62332140-9
NR7441--MA0002.2.RUNX1	chr5	77125216	77125226	+	0.000	0.000	Merged-chr5-77125140-56
NR1054--MA0002.2.RUNX1	chr10	58480391	58480401	-	0.000	0.000	Merged-chr10-58480234-23
NR2751--MA0002.2.RUNX1	chr13	89889358	89889368	+	0.000	0.000	Merged-chr13-89889254-28
NR1725--MA0684.1.RUNX3	chr11	80484435	80484444	-	0.000	0.000	Merged-chr11-80484398-4
NR653--MA0002.2.RUNX1	chr1	165200928	165200938	+	0.000	0.000	Merged-chr1-165200989-24
NR5426--MA0002.2.RUNX1	chr2	71843427	71843437	+	0.000	0.000	Merged-chr2-71843530-15
NR1943--MA0684.1.RUNX3	chr12	8847369	8847378	-	0.000	0.000	Merged-chr12-8847092-48
NR491--MA0002.2.RUNX1	chr1	136609089	136609099	+	0.000	0.000	Merged-chr1-136609076-3
NR7314--MA0511.2.RUNX2	chr5	31964052	31964060	-	0.000	0.000	Merged-chr5-31963887-11
NR3954--MA0511.2.RUNX2	chr16	59567917	59567925	+	0.000	0.000	Merged-chr16-59568011-23
NR1926--MA0511.2.RUNX2	chr12	3441659	3441667	-	0.000	0.000	Merged-chr12-3441534-29
NR3507--MA0002.2.RUNX1	chr15	55327441	55327451	+	0.000	0.000	Merged-chr15-55327422-12
NR4199--MA0002.2.RUNX1	chr17	25913547	25913557	-	0.000	0.000	Merged-chr17-25913616-30
NR6106--MA0511.2.RUNX2	chr3	81102255	81102263	-	0.000	0.000	Merged-chr3-81102418-9
NR6087--MA0511.2.RUNX2	chr3	75714111	75714119	+	0.000	0.000	Merged-chr3-75714014-36
NR5134--MA0002.2.RUNX1	chr19	59926328	59926338	+	0.000	0.000	Merged-chr19-59926305-20
NR9970--MA0684.1.RUNX3	chr9	115088474	115088483	+	0.000	0.000	Merged-chr9-115088492-13
NR1569--MA0002.2.RUNX1	chr11	32486694	32486704	+	0.000	0.000	Merged-chr11-32486832-15
NR1969--MA0684.1.RUNX3	chr12	16901153	16901162	+	0.000	0.000	Merged-chr12-16901091-18
NR4089--MA0684.1.RUNX3	chr16	97111599	97111608	+	0.000	0.000	Merged-chr16-97111615-1
NR9701--MA0511.2.RUNX2	chr9	61755473	61755481	-	0.000	0.000	Merged-chr9-61755536-8
NR2981--MA0684.1.RUNX3	chr14	20775785	20775794	+	0.000	0.000	Merged-chr14-20775848-16
NR5024--MA0684.1.RUNX3	chr19	38812312	38812321	-	0.000	0.000	Merged-chr19-38812374-10
NR5418--MA0002.2.RUNX1	chr2	70425864	70425874	+	0.000	0.000	Merged-chr2-70425902-24
NR7432--MA0684.1.RUNX3	chr5	73340418	73340427	-	0.000	0.000	Merged-chr5-73340408-13
NR1538--MA0511.2.RUNX2	chr11	21690734	21690742	-	0.000	0.000	Merged-chr11-21690668-23
NR1600--MA0511.2.RUNX2	chr11	50916222	50916230	+	0.000	0.000	Merged-chr11-50916103-27
NR7664--MA0002.2.RUNX1	chr5	118710115	118710125	+	0.000	0.000	Merged-chr5-118710096-15
NR1918--MA0511.2.RUNX2	chr11	120981054	120981062	-	0.000	0.000	Merged-chr11-120981125-9
NR3784--MA0511.2.RUNX2	chr16	22526578	22526586	-	0.000	0.000	Merged-chr16-22526487-34
NR5907--MA0002.2.RUNX1	chr3	9633275	9633285	+	0.000	0.000	Merged-chr3-9633388-6
NR3685--MA0002.2.RUNX1	chr15	97401096	97401106	-	0.000	0.000	Merged-chr15-97401100-7
NR6019--MA0684.1.RUNX3	chr3	51495782	51495791	-	0.000	0.000	Merged-chr3-51495816-13
NR515--MA0002.2.RUNX1	chr1	140661599	140661609	+	0.000	0.000	Merged-chr1-140661602-9
NR4068--MA0684.1.RUNX3	chr16	94374361	94374370	-	0.000	0.000	Merged-chr16-94374445-4
NR5017--MA0002.2.RUNX1	chr19	37419711	37419721	+	0.000	0.000	Merged-chr19-37419795-20
NR3175--MA0002.2.RUNX1	chr14	74977061	74977071	+	0.000	0.000	Merged-chr14-74977138-7
NR9836--MA0511.2.RUNX2	chr9	88273496	88273504	+	0.000	0.000	Merged-chr9-88273504-34
NR5906--MA0684.1.RUNX3	chr3	9567028	9567037	+	0.000	0.000	Merged-chr3-9567055-14
NR1527--MA0002.2.RUNX1	chr11	17236567	17236577	+	0.000	0.000	Merged-chr11-17236712-13
NR3393--MA0002.2.RUNX1	chr15	27668286	27668296	+	0.000	0.000	Merged-chr15-27668249-55
NR3793--MA0684.1.RUNX3	chr16	23181795	23181804	-	0.000	0.000	Merged-chr16-23181616-66
NR1017--MA0002.2.RUNX1	chr10	40479355	40479365	+	0.000	0.000	Merged-chr10-40479489-48
NR2966--MA0002.2.RUNX1	chr14	16172551	16172561	+	0.000	0.000	Merged-chr14-16172497-2
NR3825--MA0684.1.RUNX3	chr16	32520609	32520618	-	0.000	0.000	Merged-chr16-32520584-37
NR7659--MA0511.2.RUNX2	chr5	118601662	118601670	-	0.000	0.000	Merged-chr5-118601665-20
NR10126--MA0002.2.RUNX1	chrX	59951432	59951442	+	0.000	0.000	Merged-chrX-59951386-23
NR9702--MA0684.1.RUNX3	chr9	61755472	61755481	-	0.000	0.000	Merged-chr9-61755536-8
NR5479--MA0002.2.RUNX1	chr2	80324545	80324555	-	0.000	0.000	Merged-chr2-80324472-29
NR8442--MA0002.2.RUNX1	chr6	143105927	143105937	-	0.000	0.000	Merged-chr6-143106016-7
NR2260--MA0002.2.RUNX1	chr12	100420601	100420611	-	0.000	0.000	Merged-chr12-100420665-18
NR2660--MA0684.1.RUNX3	chr13	65070185	65070194	-	0.000	0.000	Merged-chr13-65070187-24
NR5117--MA0684.1.RUNX3	chr19	57113350	57113359	+	0.000	0.000	Merged-chr19-57113185-31
NR9361--MA0511.2.RUNX2	chr8	105259797	105259805	+	0.000	0.000	Merged-chr8-105259865-21
NR1565--MA0511.2.RUNX2	chr11	32138418	32138426	-	0.000	0.000	Merged-chr11-32138495-33
NR1336--MA0002.2.RUNX1	chr10	111562798	111562808	-	0.000	0.000	Merged-chr10-111562842-26
NR3367--MA0511.2.RUNX2	chr15	11489307	11489315	-	0.000	0.000	Merged-chr15-11489207-4
NR1021--MA0511.2.RUNX2	chr10	42849060	42849068	+	0.000	0.000	Merged-chr10-42848913-29
NR4650--MA0511.2.RUNX2	chr18	46381130	46381138	-	0.000	0.000	Merged-chr18-46381195-31
NR9387--MA0511.2.RUNX2	chr8	111577955	111577963	-	0.000	0.000	Merged-chr8-111578108-20
NR2980--MA0002.2.RUNX1	chr14	20775785	20775795	-	0.000	0.000	Merged-chr14-20775848-16
NR9210--MA0511.2.RUNX2	chr8	35898294	35898302	-	0.000	0.000	Merged-chr8-35898290-14
NR5023--MA0002.2.RUNX1	chr19	38812311	38812321	+	0.000	0.000	Merged-chr19-38812374-10
NR839--MA0002.2.RUNX1	chr1	193146437	193146447	-	0.000	0.000	Merged-chr1-193146532-29
NR6515--MA0002.2.RUNX1	chr3	146063404	146063414	+	0.000	0.000	Merged-chr3-146063322-20
NR968--MA0684.1.RUNX3	chr10	26879361	26879370	-	0.000	0.000	Merged-chr10-26879299-36
NR8923--MA0002.2.RUNX1	chr7	118102341	118102351	+	0.000	0.000	Merged-chr7-118102163-1
NR6767--MA0002.2.RUNX1	chr4	57091492	57091502	-	0.000	0.000	Merged-chr4-57091525-28
NR9637--MA0511.2.RUNX2	chr9	48562593	48562601	-	0.000	0.000	Merged-chr9-48562670-30
NR3184--MA0511.2.RUNX2	chr14	75722247	75722255	+	0.000	0.000	Merged-chr14-75722251-22
NR6462--MA0002.2.RUNX1	chr3	142626129	142626139	-	0.000	0.000	Merged-chr3-142626110-5
NR643--MA0002.2.RUNX1	chr1	164426444	164426454	+	0.000	0.000	Merged-chr1-164426485-2
NR2631--MA0684.1.RUNX3	chr13	56238041	56238050	+	0.000	0.000	Merged-chr13-56238101-26
NR9332--MA0511.2.RUNX2	chr8	91381940	91381948	-	0.000	0.000	Merged-chr8-91381957-7
NR4957--MA0002.2.RUNX1	chr19	21104864	21104874	+	0.000	0.000	Merged-chr19-21104768-51
NR2611--MA0002.2.RUNX1	chr13	53402317	53402327	-	0.000	0.000	Merged-chr13-53402378-5
NR799--MA0002.2.RUNX1	chr1	189492681	189492691	-	0.000	0.000	Merged-chr1-189492737-1
NR960--MA0511.2.RUNX2	chr10	26562870	26562878	-	0.000	0.000	Merged-chr10-26563078-18
NR7857--MA0684.1.RUNX3	chr6	15728978	15728987	-	0.000	0.000	Merged-chr6-15729145-52
NR8806--MA0002.2.RUNX1	chr7	98728800	98728810	-	0.000	0.000	Merged-chr7-98728750-2
NR9246--MA0002.2.RUNX1	chr8	61561437	61561447	-	0.000	0.000	Merged-chr8-61561458-9
NR4827--MA0002.2.RUNX1	chr18	79284477	79284487	-	0.000	0.000	Merged-chr18-79284521-10
NR9027--MA0684.1.RUNX3	chr7	136164676	136164685	+	0.000	0.000	Merged-chr7-136164647-23
NR6550--MA0002.2.RUNX1	chr3	152127413	152127423	+	0.000	0.000	Merged-chr3-152127515-20
NR2571--MA0002.2.RUNX1	chr13	41774151	41774161	+	0.000	0.000	Merged-chr13-41774048-23
NR8805--MA0684.1.RUNX3	chr7	98728655	98728664	+	0.000	0.000	Merged-chr7-98728750-2
NR4155--MA0002.2.RUNX1	chr17	13472611	13472621	-	0.000	0.000	Merged-chr17-13472637-18
NR744--MA0002.2.RUNX1	chr1	180922600	180922610	+	0.000	0.000	Merged-chr1-180922382-17
NR1287--MA0684.1.RUNX3	chr10	95973385	95973394	-	0.000	0.000	Merged-chr10-95973477-5
NR125--MA0002.2.RUNX1	chr1	43766500	43766510	-	0.000	0.000	Merged-chr1-43766514-14
NR4787--MA0002.2.RUNX1	chr18	73648551	73648561	-	0.000	0.000	Merged-chr18-73648637-9
NR999--MA0511.2.RUNX2	chr10	39005776	39005784	+	0.000	0.000	Merged-chr10-39005753-18
NR3199--MA0002.2.RUNX1	chr14	78474145	78474155	-	0.000	0.000	Merged-chr14-78474159-29
NR6532--MA0511.2.RUNX2	chr3	148844474	148844482	+	0.000	0.000	Merged-chr3-148844306-23
NR9638--MA0684.1.RUNX3	chr9	48562592	48562601	-	0.000	0.000	Merged-chr9-48562670-30
NR3185--MA0684.1.RUNX3	chr14	75722247	75722256	+	0.000	0.000	Merged-chr14-75722251-22
NR5259--MA0002.2.RUNX1	chr2	29453882	29453892	+	0.000	0.000	Merged-chr2-29453953-15
NR2963--MA0684.1.RUNX3	chr14	15011569	15011578	-	0.000	0.000	Merged-chr14-15011517-9
NR4256--MA0002.2.RUNX1	chr17	42997955	42997965	+	0.000	0.000	Merged-chr17-42997897-25
NR865--MA0684.1.RUNX3	chr10	7041205	7041214	-	0.000	0.000	Merged-chr10-7041240-23
NR1279--MA0684.1.RUNX3	chr10	94334100	94334109	-	0.000	0.000	Merged-chr10-94333972-2
NR8519--MA0002.2.RUNX1	chr7	4949609	4949619	+	0.000	0.000	Merged-chr7-4949541-1
NR8691--MA0684.1.RUNX3	chr7	67911936	67911945	+	0.000	0.000	Merged-chr7-67912081-16
NR4583--MA0002.2.RUNX1	chr18	32149482	32149492	+	0.000	0.000	Merged-chr18-32149405-13
NR2492--MA0511.2.RUNX2	chr13	24866804	24866812	+	0.000	0.000	Merged-chr13-24866887-32
NR1953--MA0002.2.RUNX1	chr12	16165140	16165150	-	0.000	0.000	Merged-chr12-16165159-14
NR8260--MA0511.2.RUNX2	chr6	119509054	119509062	-	0.000	0.000	Merged-chr6-119509030-36
NR3299--MA0684.1.RUNX3	chr14	116592462	116592471	-	0.000	0.000	Merged-chr14-116592513-1
NR7830--MA0002.2.RUNX1	chr5	150717959	150717969	-	0.000	0.000	Merged-chr5-150717955-23
NR6533--MA0684.1.RUNX3	chr3	148844474	148844483	+	0.000	0.000	Merged-chr3-148844306-23
NR9669--MA0511.2.RUNX2	chr9	55544273	55544281	-	0.000	0.000	Merged-chr9-55544140-10
NR6513--MA0002.2.RUNX1	chr3	146045005	146045015	+	0.000	0.000	Merged-chr3-146045142-29
NR9299--MA0002.2.RUNX1	chr8	77341124	77341134	-	0.000	0.000	Merged-chr8-77341017-10
NR2534--MA0002.2.RUNX1	chr13	34914836	34914846	+	0.000	0.000	Merged-chr13-34914852-26
NR8283--MA0002.2.RUNX1	chr6	121230099	121230109	-	0.000	0.000	Merged-chr6-121230042-8
NR2438--MA0002.2.RUNX1	chr13	9353969	9353979	+	0.000	0.000	Merged-chr13-9354010-25
NR7952--MA0002.2.RUNX1	chr6	49354750	49354760	+	0.000	0.000	Merged-chr6-49354722-8
NR1422--MA0002.2.RUNX1	chr10	121282663	121282673	+	0.000	0.000	Merged-chr10-121282719-28
NR168--MA0511.2.RUNX2	chr1	55630385	55630393	-	0.000	0.000	Merged-chr1-55630357-14
NR2262--MA0684.1.RUNX3	chr12	100421110	100421119	+	0.000	0.000	Merged-chr12-100421149-3
NR5398--MA0511.2.RUNX2	chr2	65871110	65871118	-	0.000	0.000	Merged-chr2-65871141-19
NR4988--MA0684.1.RUNX3	chr19	32112560	32112569	+	0.000	0.000	Merged-chr19-32112588-4
NR6681--MA0511.2.RUNX2	chr4	34429173	34429181	-	0.000	0.000	Merged-chr4-34429163-2
NR7660--MA0002.2.RUNX1	chr5	118601660	118601670	+	0.000	0.000	Merged-chr5-118601665-20
NR2016--MA0002.2.RUNX1	chr12	34248929	34248939	-	0.000	0.000	Merged-chr12-34249045-49
NR7801--MA0002.2.RUNX1	chr5	145988722	145988732	+	0.000	0.000	Merged-chr5-145988914-2
NR4824--MA0684.1.RUNX3	chr18	79092884	79092893	-	0.000	0.000	Merged-chr18-79092831-54
NR6485--MA0684.1.RUNX3	chr3	144354995	144355004	+	0.000	0.000	Merged-chr3-144355213-9
NR1000--MA0002.2.RUNX1	chr10	39005776	39005786	-	0.000	0.000	Merged-chr10-39005753-18
NR7652--MA0002.2.RUNX1	chr5	118331615	118331625	-	0.000	0.000	Merged-chr5-118331615-2
NR8306--MA0684.1.RUNX3	chr6	123961608	123961617	+	0.000	0.000	Merged-chr6-123961571-9
NR2124--MA0684.1.RUNX3	chr12	76853982	76853991	-	0.000	0.000	Merged-chr12-76853895-20
NR1374--MA0002.2.RUNX1	chr10	118090064	118090074	-	0.000	0.000	Merged-chr10-118090052-13
NR6239--MA0002.2.RUNX1	chr3	101884383	101884393	-	0.000	0.000	Merged-chr3-101884248-30
NR8253--MA0684.1.RUNX3	chr6	118621847	118621856	-	0.000	0.000	Merged-chr6-118621968-6
NR9311--MA0002.2.RUNX1	chr8	79534571	79534581	+	0.000	0.000	Merged-chr8-79534488-18
NR2749--MA0002.2.RUNX1	chr13	89889237	89889247	-	0.000	0.000	Merged-chr13-89889254-28
NR1723--MA0511.2.RUNX2	chr11	80484436	80484444	-	0.000	0.000	Merged-chr11-80484398-4
NR9771--MA0511.2.RUNX2	chr9	80313776	80313784	-	0.000	0.000	Merged-chr9-80313733-27
NR1353--MA0002.2.RUNX1	chr10	117111757	117111767	+	0.000	0.000	Merged-chr10-117111602-47
NR3413--MA0002.2.RUNX1	chr15	31649791	31649801	+	0.000	0.000	Merged-chr15-31649789-27
NR8106--MA0511.2.RUNX2	chr6	90782604	90782612	+	0.000	0.000	Merged-chr6-90782586-39
NR4524--MA0684.1.RUNX3	chr18	10154729	10154738	-	0.000	0.000	Merged-chr18-10154788-16
NR1941--MA0511.2.RUNX2	chr12	8847370	8847378	-	0.000	0.000	Merged-chr12-8847092-48
NR5202--MA0002.2.RUNX1	chr2	14712031	14712041	+	0.000	0.000	Merged-chr2-14711970-14
NR2619--MA0002.2.RUNX1	chr13	55255485	55255495	+	0.000	0.000	Merged-chr13-55255412-37
NR489--MA0002.2.RUNX1	chr1	136568882	136568892	+	0.000	0.000	Merged-chr1-136568866-12
NR6108--MA0684.1.RUNX3	chr3	81102254	81102263	-	0.000	0.000	Merged-chr3-81102418-9
NR1223--MA0002.2.RUNX1	chr10	86795037	86795047	+	0.000	0.000	Merged-chr10-86794881-42
NR9271--MA0002.2.RUNX1	chr8	70160137	70160147	+	0.000	0.000	Merged-chr8-70160118-32
NR9542--MA0002.2.RUNX1	chr9	15004571	15004581	+	0.000	0.000	Merged-chr9-15004523-21
NR1680--MA0002.2.RUNX1	chr11	73267422	73267432	+	0.000	0.000	Merged-chr11-73267242-14
NR3012--MA0002.2.RUNX1	chr14	27268393	27268403	-	0.000	0.000	Merged-chr14-27268313-23
NR8625--MA0684.1.RUNX3	chr7	49364549	49364558	+	0.000	0.000	Merged-chr7-49364720-42
NR4123--MA0684.1.RUNX3	chr17	7164084	7164093	-	0.000	0.000	Merged-chr17-7164154-31
NR9969--MA0002.2.RUNX1	chr9	115088474	115088484	-	0.000	0.000	Merged-chr9-115088492-13
NR3787--MA0002.2.RUNX1	chr16	22640015	22640025	-	0.000	0.000	Merged-chr16-22640032-11
NR9760--MA0002.2.RUNX1	chr9	77592576	77592586	+	0.000	0.000	Merged-chr9-77592652-18
NR4498--MA0002.2.RUNX1	chr17	88429221	88429231	+	0.000	0.000	Merged-chr17-88429158-10
NR1570--MA0684.1.RUNX3	chr11	32486695	32486704	-	0.000	0.000	Merged-chr11-32486832-15
NR1616--MA0002.2.RUNX1	chr11	54153013	54153023	+	0.000	0.000	Merged-chr11-54152969-5
NR4087--MA0511.2.RUNX2	chr16	97111599	97111607	+	0.000	0.000	Merged-chr16-97111615-1
NR9250--MA0002.2.RUNX1	chr8	64618842	64618852	+	0.000	0.000	Merged-chr8-64618871-24
NR6766--MA0511.2.RUNX2	chr4	57091492	57091500	+	0.000	0.000	Merged-chr4-57091525-28
NR7430--MA0511.2.RUNX2	chr5	73340419	73340427	-	0.000	0.000	Merged-chr5-73340408-13
NR5698--MA0002.2.RUNX1	chr2	145838854	145838864	+	0.000	0.000	Merged-chr2-145838847-32
