#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed
NR3712--MA0769.1.Tcf7	chr2	92256304	92256315	+	0.000	0.000	Merged-chr2-92256272-20
NR1090--MA1421.1.TCF7L1	chr11	58829945	58829956	+	0.000	0.000	Merged-chr11-58829916-12
NR2197--MA0769.1.Tcf7	chr14	74915911	74915922	+	0.000	0.000	Merged-chr14-74915986-3
NR3990--MA1421.1.TCF7L1	chr2	164017236	164017247	-	0.000	0.000	Merged-chr2-164017275-1
NR4782--MA0523.1.TCF7L2	chr4	103174431	103174444	-	0.000	0.000	Merged-chr4-103174438-7
NR3609--MA1421.1.TCF7L1	chr2	60204294	60204305	+	0.000	0.000	Merged-chr2-60204421-25
NR6971--MA1421.1.TCF7L1	chrX	57185001	57185012	+	0.000	0.000	Merged-chrX-57185087-24
NR1546--MA0769.1.Tcf7	chr12	102945789	102945800	+	0.000	0.000	Merged-chr12-102945751-11
NR5901--MA0769.1.Tcf7	chr7	28665965	28665976	-	0.000	0.000	Merged-chr7-28665750-36
NR878--MA0769.1.Tcf7	chr10	98776738	98776749	+	0.000	0.000	Merged-chr10-98776574-38
NR5346--MA0769.1.Tcf7	chr5	146757475	146757486	-	0.000	0.000	Merged-chr5-146757539-9
NR1564--MA0769.1.Tcf7	chr12	106777764	106777775	-	0.000	0.000	Merged-chr12-106777834-6
NR6400--MA1421.1.TCF7L1	chr8	72331241	72331252	+	0.000	0.000	Merged-chr8-72331186-66
NR2654--MA0769.1.Tcf7	chr16	33053359	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR5886--MA0523.1.TCF7L2	chr7	19790168	19790181	-	0.000	0.000	Merged-chr7-19790098-49
NR5597--MA0769.1.Tcf7	chr6	94534990	94535001	-	0.000	0.000	Merged-chr6-94534982-12
NR2290--MA0523.1.TCF7L2	chr14	122290588	122290601	+	0.000	0.000	Merged-chr14-122290582-19
NR2334--MA0523.1.TCF7L2	chr15	31440135	31440148	-	0.000	0.000	Merged-chr15-31440136-19
NR3911--MA0523.1.TCF7L2	chr2	147738037	147738050	-	0.000	0.000	Merged-chr2-147737931-1
NR6049--MA0523.1.TCF7L2	chr7	90004036	90004049	+	0.000	0.000	Merged-chr7-90004026-23
NR6678--MA0769.1.Tcf7	chr9	62412449	62412460	+	0.000	0.000	Merged-chr9-62412387-14
NR5751--MA1421.1.TCF7L1	chr6	134117838	134117849	-	0.000	0.000	Merged-chr6-134117779-3
NR346--MA0769.1.Tcf7	chr1	151083957	151083968	-	0.000	0.000	Merged-chr1-151084034-24
NR1069--MA1421.1.TCF7L1	chr11	48928213	48928224	-	0.000	0.000	Merged-chr11-48928222-10
NR3324--MA0769.1.Tcf7	chr19	21767889	21767900	-	0.000	0.000	Merged-chr19-21767882-14
NR3186--MA1421.1.TCF7L1	chr18	67442947	67442958	-	0.000	0.000	Merged-chr18-67443121-15
NR5528--MA1421.1.TCF7L1	chr6	66242733	66242744	+	0.000	0.000	Merged-chr6-66242720-1
NR5894--MA0523.1.TCF7L2	chr7	25232938	25232951	-	0.000	0.000	Merged-chr7-25233025-1
NR4883--MA1421.1.TCF7L1	chr4	139367506	139367517	-	0.000	0.000	Merged-chr4-139367606-11
NR2803--MA0769.1.Tcf7	chr16	93977944	93977955	-	0.000	0.000	Merged-chr16-93977807-10
NR1190--MA0523.1.TCF7L2	chr11	88103375	88103388	-	0.000	0.000	Merged-chr11-88103479-31
NR6588--MA1421.1.TCF7L1	chr9	20901791	20901802	+	0.000	0.000	Merged-chr9-20901772-20
NR345--MA1421.1.TCF7L1	chr1	151083957	151083968	-	0.000	0.000	Merged-chr1-151084034-24
NR286--MA0523.1.TCF7L2	chr1	132012013	132012026	-	0.000	0.000	Merged-chr1-132011905-3
NR853--MA0769.1.Tcf7	chr10	95442549	95442560	-	0.000	0.000	Merged-chr10-95442476-5
NR2075--MA0523.1.TCF7L2	chr14	36316955	36316968	-	0.000	0.000	Merged-chr14-36316941-55
NR5433--MA0769.1.Tcf7	chr6	33675687	33675698	+	0.000	0.000	Merged-chr6-33675584-7
NR5005--MA0523.1.TCF7L2	chr5	24776939	24776952	+	0.000	0.000	Merged-chr5-24777004-40
NR3105--MA1421.1.TCF7L1	chr18	39106313	39106324	+	0.000	0.000	Merged-chr18-39106187-8
NR6452--MA0523.1.TCF7L2	chr8	96852053	96852066	+	0.000	0.000	Merged-chr8-96851957-10
NR2688--MA1421.1.TCF7L1	chr16	44320369	44320380	+	0.000	0.000	Merged-chr16-44320422-17
NR5067--MA1421.1.TCF7L1	chr5	52245288	52245299	-	0.000	0.000	Merged-chr5-52245311-7
NR5645--MA0523.1.TCF7L2	chr6	108526365	108526378	+	0.000	0.000	Merged-chr6-108526296-8
NR867--MA0769.1.Tcf7	chr10	96350787	96350798	-	0.000	0.000	Merged-chr10-96350967-23
NR4478--MA0769.1.Tcf7	chr3	148419657	148419668	-	0.000	0.000	Merged-chr3-148419698-33
NR2938--MA1421.1.TCF7L1	chr17	50070396	50070407	-	0.000	0.000	Merged-chr17-50070273-24
NR5568--MA0769.1.Tcf7	chr6	85147835	85147846	+	0.000	0.000	Merged-chr6-85147771-14
NR5426--MA0523.1.TCF7L2	chr6	31085587	31085600	-	0.000	0.000	Merged-chr6-31085577-29
NR1334--MA0769.1.Tcf7	chr11	121777144	121777155	-	0.000	0.000	Merged-chr11-121777303-26
NR5488--MA1421.1.TCF7L1	chr6	54926015	54926026	+	0.000	0.000	Merged-chr6-54926058-40
NR4188--MA0523.1.TCF7L2	chr3	86206677	86206690	+	0.000	0.000	Merged-chr3-86206725-10
NR3345--MA1421.1.TCF7L1	chr19	33220764	33220775	+	0.000	0.000	Merged-chr19-33220726-6
NR3863--MA0769.1.Tcf7	chr2	136965554	136965565	-	0.000	0.000	Merged-chr2-136965495-19
NR2045--MA0523.1.TCF7L2	chr14	18426088	18426101	+	0.000	0.000	Merged-chr14-18426065-14
NR675--MA0769.1.Tcf7	chr10	39815296	39815307	+	0.000	0.000	Merged-chr10-39815281-4
NR1594--MA0769.1.Tcf7	chr12	110939502	110939513	-	0.000	0.000	Merged-chr12-110939619-21
NR2802--MA0523.1.TCF7L2	chr16	93977942	93977955	-	0.000	0.000	Merged-chr16-93977807-10
NR1151--MA0769.1.Tcf7	chr11	75517409	75517420	-	0.000	0.000	Merged-chr11-75517304-2
NR577--MA0769.1.Tcf7	chr1	192340102	192340113	-	0.000	0.000	Merged-chr1-192340000-3
NR1272--MA0769.1.Tcf7	chr11	110897150	110897161	+	0.000	0.000	Merged-chr11-110897111-25
NR3151--MA1421.1.TCF7L1	chr18	55338500	55338511	+	0.000	0.000	Merged-chr18-55338446-1
NR3792--MA0769.1.Tcf7	chr2	117089661	117089672	+	0.000	0.000	Merged-chr2-117089625-28
NR407--MA0523.1.TCF7L2	chr1	161775361	161775374	-	0.000	0.000	Merged-chr1-161775163-66
NR1068--MA1421.1.TCF7L1	chr11	48927166	48927177	-	0.000	0.000	Merged-chr11-48927051-20
NR5717--MA0769.1.Tcf7	chr6	128474316	128474327	+	0.000	0.000	Merged-chr6-128474299-11
NR323--MA1421.1.TCF7L1	chr1	143505142	143505153	-	0.000	0.000	Merged-chr1-143505261-1
NR4928--MA0523.1.TCF7L2	chr4	149469681	149469694	-	0.000	0.000	Merged-chr4-149469788-41
NR5011--MA1421.1.TCF7L1	chr5	28242880	28242891	+	0.000	0.000	Merged-chr5-28242683-9
NR3896--MA0523.1.TCF7L2	chr2	144471435	144471448	+	0.000	0.000	Merged-chr2-144471486-9
NR2679--MA1421.1.TCF7L1	chr16	38756077	38756088	+	0.000	0.000	Merged-chr16-38756031-13
NR5988--MA0523.1.TCF7L2	chr7	74509445	74509458	-	0.000	0.000	Merged-chr7-74509389-8
NR5804--MA0523.1.TCF7L2	chr6	144333302	144333315	+	0.000	0.000	Merged-chr6-144333219-22
NR3340--MA1421.1.TCF7L1	chr19	32455179	32455190	+	0.000	0.000	Merged-chr19-32455050-22
NR2291--MA0769.1.Tcf7	chr14	122290588	122290599	+	0.000	0.000	Merged-chr14-122290582-19
NR2628--MA1421.1.TCF7L1	chr16	24527150	24527161	+	0.000	0.000	Merged-chr16-24527284-22
NR842--MA0769.1.Tcf7	chr10	93166565	93166576	+	0.000	0.000	Merged-chr10-93166608-12
NR1328--MA0523.1.TCF7L2	chr11	120642258	120642271	-	0.000	0.000	Merged-chr11-120642267-6
NR4530--MA1421.1.TCF7L1	chr3	155037260	155037271	+	0.000	0.000	Merged-chr3-155037346-1
NR2013--MA1421.1.TCF7L1	chr13	117223470	117223481	+	0.000	0.000	Merged-chr13-117223399-24
NR1109--MA0523.1.TCF7L2	chr11	63352146	63352159	+	0.000	0.000	Merged-chr11-63352234-10
NR3323--MA1421.1.TCF7L1	chr19	21767889	21767900	-	0.000	0.000	Merged-chr19-21767882-14
NR4588--MA0769.1.Tcf7	chr4	33791678	33791689	+	0.000	0.000	Merged-chr4-33791808-5
NR6207--MA0523.1.TCF7L2	chr7	130448293	130448306	+	0.000	0.000	Merged-chr7-130448231-21
NR1121--MA0523.1.TCF7L2	chr11	68465259	68465272	-	0.000	0.000	Merged-chr11-68465236-16
NR1761--MA0523.1.TCF7L2	chr13	44807242	44807255	-	0.000	0.000	Merged-chr13-44807320-10
NR4728--MA1421.1.TCF7L1	chr4	95068195	95068206	-	0.000	0.000	Merged-chr4-95068269-28
NR2240--MA1421.1.TCF7L1	chr14	101892409	101892420	-	0.000	0.000	Merged-chr14-101892350-14
NR5150--MA0769.1.Tcf7	chr5	92511691	92511702	-	0.000	0.000	Merged-chr5-92511528-18
NR3056--MA1421.1.TCF7L1	chr18	4369217	4369228	+	0.000	0.000	Merged-chr18-4369357-16
NR324--MA0769.1.Tcf7	chr1	143819072	143819083	-	0.000	0.000	Merged-chr1-143819193-15
NR2951--MA0523.1.TCF7L2	chr17	52484074	52484087	-	0.000	0.000	Merged-chr17-52484066-25
NR775--MA0523.1.TCF7L2	chr10	77273401	77273414	+	0.000	0.000	Merged-chr10-77273499-67
NR2623--MA1421.1.TCF7L1	chr16	23272763	23272774	+	0.000	0.000	Merged-chr16-23272843-1
NR5025--MA0769.1.Tcf7	chr5	32089574	32089585	+	0.000	0.000	Merged-chr5-32089637-4
NR3651--MA0769.1.Tcf7	chr2	72282907	72282918	+	0.000	0.000	Merged-chr2-72282934-17
NR5907--MA0769.1.Tcf7	chr7	29900783	29900794	+	0.000	0.000	Merged-chr7-29900753-5
NR6677--MA1421.1.TCF7L1	chr9	62412449	62412460	+	0.000	0.000	Merged-chr9-62412387-14
NR3517--MA0769.1.Tcf7	chr2	30112726	30112737	-	0.000	0.000	Merged-chr2-30112786-18
NR4862--MA0523.1.TCF7L2	chr4	135153156	135153169	+	0.000	0.000	Merged-chr4-135153100-1
NR5569--MA1421.1.TCF7L1	chr6	85147882	85147893	+	0.000	0.000	Merged-chr6-85147771-14
NR1104--MA0523.1.TCF7L2	chr11	62507992	62508005	-	0.000	0.000	Merged-chr11-62507903-32
NR3629--MA0769.1.Tcf7	chr2	68882159	68882170	-	0.000	0.000	Merged-chr2-68882205-16
NR6458--MA1421.1.TCF7L1	chr8	110813241	110813252	+	0.000	0.000	Merged-chr8-110813191-16
NR6133--MA0523.1.TCF7L2	chr7	114671142	114671155	+	0.000	0.000	Merged-chr7-114671342-44
NR1485--MA0769.1.Tcf7	chr12	82326576	82326587	-	0.000	0.000	Merged-chr12-82326673-11
NR6735--MA0523.1.TCF7L2	chr9	79756211	79756224	+	0.000	0.000	Merged-chr9-79756214-5
NR3432--MA0769.1.Tcf7	chr2	5003241	5003252	-	0.000	0.000	Merged-chr2-5003396-19
NR1033--MA0769.1.Tcf7	chr11	21314423	21314434	+	0.000	0.000	Merged-chr11-21314524-33
NR7046--MA1421.1.TCF7L1	chrX	153896106	153896117	-	0.000	0.000	Merged-chrX-153896067-8
NR4147--MA1421.1.TCF7L1	chr3	65537533	65537544	+	0.000	0.000	Merged-chr3-65537527-21
NR5397--MA0769.1.Tcf7	chr6	8712281	8712292	+	0.000	0.000	Merged-chr6-8712206-28
NR262--MA0769.1.Tcf7	chr1	127318709	127318720	+	0.000	0.000	Merged-chr1-127318690-2
NR1191--MA1421.1.TCF7L1	chr11	88132000	88132011	-	0.000	0.000	Merged-chr11-88132051-21
NR1181--MA0769.1.Tcf7	chr11	85545686	85545697	+	0.000	0.000	Merged-chr11-85545806-18
NR7071--MA1421.1.TCF7L1	chrX	167355754	167355765	+	0.000	0.000	Merged-chrX-167355697-1
NR6335--MA0523.1.TCF7L2	chr8	36019681	36019694	+	0.000	0.000	Merged-chr8-36019786-19
NR4885--MA0769.1.Tcf7	chr4	139367506	139367517	-	0.000	0.000	Merged-chr4-139367606-11
NR3994--MA0523.1.TCF7L2	chr2	164943217	164943230	-	0.000	0.000	Merged-chr2-164943047-31
NR379--MA0769.1.Tcf7	chr1	156676432	156676443	+	0.000	0.000	Merged-chr1-156676429-4
NR1149--MA1421.1.TCF7L1	chr11	75517409	75517420	-	0.000	0.000	Merged-chr11-75517304-2
NR5471--MA0523.1.TCF7L2	chr6	50146433	50146446	-	0.000	0.000	Merged-chr6-50146420-23
NR4496--MA0523.1.TCF7L2	chr3	149443143	149443156	-	0.000	0.000	Merged-chr3-149443176-11
NR3912--MA0769.1.Tcf7	chr2	147738039	147738050	-	0.000	0.000	Merged-chr2-147737931-1
NR4710--MA1421.1.TCF7L1	chr4	89393655	89393666	-	0.000	0.000	Merged-chr4-89393499-15
NR4693--MA0769.1.Tcf7	chr4	86739394	86739405	-	0.000	0.000	Merged-chr4-86739424-15
NR5877--MA0769.1.Tcf7	chr7	16906230	16906241	+	0.000	0.000	Merged-chr7-16906031-31
NR2979--MA1421.1.TCF7L1	chr17	69422860	69422871	-	0.000	0.000	Merged-chr17-69422874-19
NR5989--MA0769.1.Tcf7	chr7	74509447	74509458	-	0.000	0.000	Merged-chr7-74509389-8
NR6371--MA1421.1.TCF7L1	chr8	61234469	61234480	-	0.000	0.000	Merged-chr8-61234542-15
NR3543--MA0523.1.TCF7L2	chr2	44159717	44159730	+	0.000	0.000	Merged-chr2-44159655-18
NR3375--MA0523.1.TCF7L2	chr19	44454938	44454951	+	0.000	0.000	Merged-chr19-44454908-10
NR5299--MA0523.1.TCF7L2	chr5	125271938	125271951	+	0.000	0.000	Merged-chr5-125271799-10
NR5396--MA1421.1.TCF7L1	chr6	8712281	8712292	+	0.000	0.000	Merged-chr6-8712206-28
NR657--MA1421.1.TCF7L1	chr10	30570577	30570588	+	0.000	0.000	Merged-chr10-30570499-22
NR2939--MA0769.1.Tcf7	chr17	50070396	50070407	-	0.000	0.000	Merged-chr17-50070273-24
NR760--MA0769.1.Tcf7	chr10	75294290	75294301	-	0.000	0.000	Merged-chr10-75294298-11
NR5345--MA1421.1.TCF7L1	chr5	146757475	146757486	-	0.000	0.000	Merged-chr5-146757539-9
NR5177--MA1421.1.TCF7L1	chr5	97075789	97075800	-	0.000	0.000	Merged-chr5-97075788-14
NR113--MA0523.1.TCF7L2	chr1	69496188	69496201	+	0.000	0.000	Merged-chr1-69496310-11
NR6654--MA0769.1.Tcf7	chr9	56273653	56273664	+	0.000	0.000	Merged-chr9-56273762-19
NR777--MA1421.1.TCF7L1	chr10	78115089	78115100	-	0.000	0.000	Merged-chr10-78115092-14
NR6617--MA1421.1.TCF7L1	chr9	43784938	43784949	+	0.000	0.000	Merged-chr9-43784994-20
NR2132--MA1421.1.TCF7L1	chr14	55913601	55913612	-	0.000	0.000	Merged-chr14-55913661-13
NR5441--MA0523.1.TCF7L2	chr6	37860574	37860587	-	0.000	0.000	Merged-chr6-37860526-13
NR6211--MA0769.1.Tcf7	chr7	130816459	130816470	-	0.000	0.000	Merged-chr7-130816442-11
NR5715--MA1421.1.TCF7L1	chr6	128474316	128474327	+	0.000	0.000	Merged-chr6-128474299-11
NR1120--MA0769.1.Tcf7	chr11	68432895	68432906	+	0.000	0.000	Merged-chr11-68432875-7
NR4712--MA0769.1.Tcf7	chr4	89393655	89393666	-	0.000	0.000	Merged-chr4-89393499-15
NR377--MA1421.1.TCF7L1	chr1	156667718	156667729	-	0.000	0.000	Merged-chr1-156667693-16
NR1085--MA0523.1.TCF7L2	chr11	54249496	54249509	-	0.000	0.000	Merged-chr11-54249400-28
NR1483--MA1421.1.TCF7L1	chr12	82326576	82326587	-	0.000	0.000	Merged-chr12-82326673-11
NR6364--MA0523.1.TCF7L2	chr8	57387856	57387869	+	0.000	0.000	Merged-chr8-57387843-7
NR5681--MA0523.1.TCF7L2	chr6	120181444	120181457	-	0.000	0.000	Merged-chr6-120181471-9
NR3524--MA0769.1.Tcf7	chr2	31298076	31298087	+	0.000	0.000	Merged-chr2-31298021-17
NR4708--MA0769.1.Tcf7	chr4	89302313	89302324	-	0.000	0.000	Merged-chr4-89302202-17
NR5424--MA0523.1.TCF7L2	chr6	30347684	30347697	+	0.000	0.000	Merged-chr6-30347587-11
NR5028--MA0769.1.Tcf7	chr5	32148874	32148885	+	0.000	0.000	Merged-chr5-32148738-21
NR2403--MA1421.1.TCF7L1	chr15	61408765	61408776	+	0.000	0.000	Merged-chr15-61408601-39
NR3560--MA0769.1.Tcf7	chr2	48379938	48379949	-	0.000	0.000	Merged-chr2-48379752-8
NR5816--MA0769.1.Tcf7	chr6	145268530	145268541	+	0.000	0.000	Merged-chr6-145268512-5
NR1127--MA1421.1.TCF7L1	chr11	70113941	70113952	-	0.000	0.000	Merged-chr11-70113983-20
NR4189--MA0769.1.Tcf7	chr3	86206677	86206688	+	0.000	0.000	Merged-chr3-86206725-10
NR4436--MA0523.1.TCF7L2	chr3	143198659	143198672	+	0.000	0.000	Merged-chr3-143198813-2
NR2242--MA0769.1.Tcf7	chr14	101892409	101892420	-	0.000	0.000	Merged-chr14-101892350-14
NR6902--MA0523.1.TCF7L2	chr9	119453609	119453622	-	0.000	0.000	Merged-chr9-119453486-15
NR1333--MA1421.1.TCF7L1	chr11	121777144	121777155	-	0.000	0.000	Merged-chr11-121777303-26
NR5024--MA0523.1.TCF7L2	chr5	32089574	32089587	+	0.000	0.000	Merged-chr5-32089637-4
NR3791--MA0523.1.TCF7L2	chr2	117089661	117089674	+	0.000	0.000	Merged-chr2-117089625-28
NR4780--MA0769.1.Tcf7	chr4	103113538	103113549	+	0.000	0.000	Merged-chr4-103113589-3
NR4872--MA1421.1.TCF7L1	chr4	136033493	136033504	-	0.000	0.000	Merged-chr4-136033547-7
NR2014--MA0769.1.Tcf7	chr13	117223470	117223481	+	0.000	0.000	Merged-chr13-117223399-24
NR2464--MA0523.1.TCF7L2	chr15	73182578	73182591	+	0.000	0.000	Merged-chr15-73182706-35
NR1922--MA1421.1.TCF7L1	chr13	101968955	101968966	-	0.000	0.000	Merged-chr13-101969075-1
NR5069--MA0769.1.Tcf7	chr5	52245288	52245299	-	0.000	0.000	Merged-chr5-52245311-7
NR4000--MA1421.1.TCF7L1	chr2	166665689	166665700	+	0.000	0.000	Merged-chr2-166665700-84
NR803--MA1421.1.TCF7L1	chr10	84244864	84244875	+	0.000	0.000	Merged-chr10-84244888-1
NR53--MA0523.1.TCF7L2	chr1	43538894	43538907	-	0.000	0.000	Merged-chr1-43538951-30
NR3627--MA1421.1.TCF7L1	chr2	68882159	68882170	-	0.000	0.000	Merged-chr2-68882205-16
NR5925--MA1421.1.TCF7L1	chr7	45120578	45120589	+	0.000	0.000	Merged-chr7-45120364-12
NR5432--MA0523.1.TCF7L2	chr6	33675687	33675700	+	0.000	0.000	Merged-chr6-33675584-7
NR3099--MA0523.1.TCF7L2	chr18	39049206	39049219	-	0.000	0.000	Merged-chr18-39049078-69
NR1632--MA0769.1.Tcf7	chr12	114916907	114916918	-	0.000	0.000	Merged-chr12-114916975-5
NR658--MA0523.1.TCF7L2	chr10	30570577	30570590	+	0.000	0.000	Merged-chr10-30570499-22
NR1631--MA0523.1.TCF7L2	chr12	114916905	114916918	-	0.000	0.000	Merged-chr12-114916975-5
NR5815--MA0523.1.TCF7L2	chr6	145268530	145268543	+	0.000	0.000	Merged-chr6-145268512-5
NR1762--MA0769.1.Tcf7	chr13	44807244	44807255	-	0.000	0.000	Merged-chr13-44807320-10
NR6513--MA0769.1.Tcf7	chr8	121963116	121963127	-	0.000	0.000	Merged-chr8-121963048-7
NR1596--MA0523.1.TCF7L2	chr12	111902696	111902709	+	0.000	0.000	Merged-chr12-111902713-12
NR704--MA1421.1.TCF7L1	chr10	44679668	44679679	-	0.000	0.000	Merged-chr10-44679817-10
NR2653--MA0523.1.TCF7L2	chr16	33053357	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR5525--MA1421.1.TCF7L1	chr6	66242638	66242649	+	0.000	0.000	Merged-chr6-66242720-1
NR7048--MA0769.1.Tcf7	chrX	153896106	153896117	-	0.000	0.000	Merged-chrX-153896067-8
NR4468--MA0769.1.Tcf7	chr3	145663384	145663395	-	0.000	0.000	Merged-chr3-145663343-1
NR1364--MA0523.1.TCF7L2	chr12	28685892	28685905	-	0.000	0.000	Merged-chr12-28685865-17
NR4236--MA1421.1.TCF7L1	chr3	98027568	98027579	-	0.000	0.000	Merged-chr3-98027437-43
NR6694--MA0523.1.TCF7L2	chr9	69068575	69068588	+	0.000	0.000	Merged-chr9-69068633-33
NR3538--MA0523.1.TCF7L2	chr2	38459765	38459778	-	0.000	0.000	Merged-chr2-38459798-8
NR3844--MA0769.1.Tcf7	chr2	132115528	132115539	-	0.000	0.000	Merged-chr2-132115491-16
NR4779--MA0523.1.TCF7L2	chr4	103113538	103113551	+	0.000	0.000	Merged-chr4-103113589-3
NR2784--MA1421.1.TCF7L1	chr16	91555427	91555438	+	0.000	0.000	Merged-chr16-91555577-12
NR2405--MA0769.1.Tcf7	chr15	61408765	61408776	+	0.000	0.000	Merged-chr15-61408601-39
NR2790--MA0769.1.Tcf7	chr16	91781056	91781067	-	0.000	0.000	Merged-chr16-91781071-63
NR1566--MA0769.1.Tcf7	chr12	107144657	107144668	-	0.000	0.000	Merged-chr12-107144688-5
NR1123--MA0769.1.Tcf7	chr11	68498959	68498970	-	0.000	0.000	Merged-chr11-68499042-49
NR5436--MA0523.1.TCF7L2	chr6	35462668	35462681	-	0.000	0.000	Merged-chr6-35462751-23
NR6099--MA1421.1.TCF7L1	chr7	109225740	109225751	+	0.000	0.000	Merged-chr7-109225670-1
NR1179--MA0523.1.TCF7L2	chr11	84252631	84252644	-	0.000	0.000	Merged-chr11-84252620-21
NR5805--MA0769.1.Tcf7	chr6	144333302	144333313	+	0.000	0.000	Merged-chr6-144333219-22
NR2404--MA0523.1.TCF7L2	chr15	61408765	61408778	+	0.000	0.000	Merged-chr15-61408601-39
NR1482--MA1421.1.TCF7L1	chr12	82304084	82304095	-	0.000	0.000	Merged-chr12-82304111-12
NR3523--MA1421.1.TCF7L1	chr2	31298076	31298087	+	0.000	0.000	Merged-chr2-31298021-17
