#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed
NR1379--MA0768.1.LEF1	chr2	6716854	6716868	-	0.000	0.000	Merged-chr2-6716828-13
NR384--MA0768.1.LEF1	chr11	20035502	20035516	+	0.000	0.000	Merged-chr11-20035595-25
NR805--MA0768.1.LEF1	chr14	61770737	61770751	-	0.000	0.000	Merged-chr14-61770762-4
NR2160--MA0768.1.LEF1	chr6	30677300	30677314	+	0.000	0.000	Merged-chr6-30677356-3
NR2008--MA0768.1.LEF1	chr5	44180969	44180983	-	0.000	0.000	Merged-chr5-44180865-15
NR1724--MA0768.1.LEF1	chr3	101066269	101066283	+	0.000	0.000	Merged-chr3-101066330-34
NR165--MA0768.1.LEF1	chr1	167296109	167296123	-	0.000	0.000	Merged-chr1-167296095-13
NR1742--MA0768.1.LEF1	chr3	115704657	115704671	-	0.000	0.000	Merged-chr3-115704719-34
NR2711--MA0768.1.LEF1	chr9	117400612	117400626	+	0.000	0.000	Merged-chr9-117400417-34
NR819--MA0768.1.LEF1	chr14	74977104	74977118	+	0.000	0.000	Merged-chr14-74977138-7
NR1890--MA0768.1.LEF1	chr4	88122427	88122441	+	0.000	0.000	Merged-chr4-88122493-27
NR2192--MA0768.1.LEF1	chr6	65569962	65569976	+	0.000	0.000	Merged-chr6-65569933-17
NR1523--MA0768.1.LEF1	chr2	112656428	112656442	+	0.000	0.000	Merged-chr2-112656502-8
NR2716--MA0768.1.LEF1	chr9	118890387	118890401	-	0.000	0.000	Merged-chr9-118890241-21
NR958--MA0768.1.LEF1	chr15	86064925	86064939	-	0.000	0.000	Merged-chr15-86064998-16
NR2501--MA0768.1.LEF1	chr8	61436794	61436808	+	0.000	0.000	Merged-chr8-61436904-17
NR2613--MA0768.1.LEF1	chr9	51185627	51185641	+	0.000	0.000	Merged-chr9-51185836-35
NR855--MA0768.1.LEF1	chr14	108374020	108374034	+	0.000	0.000	Merged-chr14-108373968-8
NR1662--MA0768.1.LEF1	chr3	55660069	55660083	+	0.000	0.000	Merged-chr3-55660012-44
NR2761--MA0768.1.LEF1	chrX	158939874	158939888	-	0.000	0.000	Merged-chrX-158939775-8
NR1318--MA0768.1.LEF1	chr19	21104827	21104841	+	0.000	0.000	Merged-chr19-21104768-51
NR1215--MA0768.1.LEF1	chr18	33056669	33056683	+	0.000	0.000	Merged-chr18-33056653-9
NR220--MA0768.1.LEF1	chr10	13467072	13467086	+	0.000	0.000	Merged-chr10-13467057-15
NR1448--MA0768.1.LEF1	chr2	60803054	60803068	+	0.000	0.000	Merged-chr2-60802993-21
NR78--MA0768.1.LEF1	chr1	91626304	91626318	-	0.000	0.000	Merged-chr1-91626193-21
NR2323--MA0768.1.LEF1	chr6	146960237	146960251	-	0.000	0.000	Merged-chr6-146960171-26
NR565--MA0768.1.LEF1	chr12	105538381	105538395	+	0.000	0.000	Merged-chr12-105538395-6
NR207--MA0768.1.LEF1	chr1	191486650	191486664	-	0.000	0.000	Merged-chr1-191486758-12
NR2341--MA0768.1.LEF1	chr7	24468100	24468114	-	0.000	0.000	Merged-chr7-24468111-23
NR1484--MA0768.1.LEF1	chr2	84016486	84016500	-	0.000	0.000	Merged-chr2-84016424-23
NR122--MA0768.1.LEF1	chr1	133571485	133571499	+	0.000	0.000	Merged-chr1-133571423-3
NR261--MA0768.1.LEF1	chr10	54255357	54255371	+	0.000	0.000	Merged-chr10-54255218-57
NR239--MA0768.1.LEF1	chr10	25387443	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR1158--MA0768.1.LEF1	chr17	70702359	70702373	+	0.000	0.000	Merged-chr17-70702396-15
NR2248--MA0768.1.LEF1	chr6	103565084	103565098	+	0.000	0.000	Merged-chr6-103565102-16
NR2700--MA0768.1.LEF1	chr9	112175259	112175273	+	0.000	0.000	Merged-chr9-112175419-1
NR2145--MA0768.1.LEF1	chr6	6189130	6189144	-	0.000	0.000	Merged-chr6-6189088-9
NR1861--MA0768.1.LEF1	chr4	54855960	54855974	+	0.000	0.000	Merged-chr4-54855897-1
NR1727--MA0768.1.LEF1	chr3	103640394	103640408	-	0.000	0.000	Merged-chr3-103640406-6
NR2705--MA0768.1.LEF1	chr9	114604272	114604286	-	0.000	0.000	Merged-chr9-114604237-4
NR1991--MA0768.1.LEF1	chr5	23610872	23610886	+	0.000	0.000	Merged-chr5-23610857-14
NR1633--MA0768.1.LEF1	chr2	174612772	174612786	-	0.000	0.000	Merged-chr2-174612913-27
NR844--MA0768.1.LEF1	chr14	103017268	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR1978--MA0768.1.LEF1	chr5	17390081	17390095	+	0.000	0.000	Merged-chr5-17390186-4
NR2065--MA0768.1.LEF1	chr5	96254008	96254022	-	0.000	0.000	Merged-chr5-96254113-8
NR983--MA0768.1.LEF1	chr16	10399303	10399317	-	0.000	0.000	Merged-chr16-10399279-20
NR1768--MA0768.1.LEF1	chr3	135324655	135324669	+	0.000	0.000	Merged-chr3-135324604-5
NR764--MA0768.1.LEF1	chr14	21078675	21078689	-	0.000	0.000	Merged-chr14-21078723-20
NR885--MA0768.1.LEF1	chr15	10447302	10447316	+	0.000	0.000	Merged-chr15-10447359-14
NR518--MA0768.1.LEF1	chr12	69825402	69825416	-	0.000	0.000	Merged-chr12-69825253-21
NR80--MA0768.1.LEF1	chr1	94025609	94025623	+	0.000	0.000	Merged-chr1-94025615-17
NR639--MA0768.1.LEF1	chr13	51712202	51712216	-	0.000	0.000	Merged-chr13-51712212-27
NR2415--MA0768.1.LEF1	chr7	116557586	116557600	-	0.000	0.000	Merged-chr7-116557657-1
NR2639--MA0768.1.LEF1	chr9	70584885	70584899	-	0.000	0.000	Merged-chr9-70584670-22
NR2330--MA0768.1.LEF1	chr6	148934689	148934703	+	0.000	0.000	Merged-chr6-148934708-2
NR899--MA0768.1.LEF1	chr15	35917965	35917979	+	0.000	0.000	Merged-chr15-35918069-6
NR250--MA0768.1.LEF1	chr10	44444529	44444543	+	0.000	0.000	Merged-chr10-44444573-2
NR362--MA0768.1.LEF1	chr10	122604119	122604133	+	0.000	0.000	Merged-chr10-122604110-13
NR1478--MA0768.1.LEF1	chr2	74887203	74887217	-	0.000	0.000	Merged-chr2-74887240-10
NR492--MA0768.1.LEF1	chr12	39649176	39649190	-	0.000	0.000	Merged-chr12-39649191-14
NR349--MA0768.1.LEF1	chr10	117377575	117377589	-	0.000	0.000	Merged-chr10-117377577-5
NR2143--MA0768.1.LEF1	chr6	5147853	5147867	+	0.000	0.000	Merged-chr6-5147663-1
NR2040--MA0768.1.LEF1	chr5	74471130	74471144	-	0.000	0.000	Merged-chr5-74471085-11
NR806--MA0768.1.LEF1	chr14	61773199	61773213	+	0.000	0.000	Merged-chr14-61773241-2
NR2367--MA0768.1.LEF1	chr7	75559944	75559958	+	0.000	0.000	Merged-chr7-75560201-11
NR2027--MA0768.1.LEF1	chr5	63767926	63767940	+	0.000	0.000	Merged-chr5-63767981-25
NR2600--MA0768.1.LEF1	chr9	35007272	35007286	+	0.000	0.000	Merged-chr9-35007274-11
NR1743--MA0768.1.LEF1	chr3	115933844	115933858	-	0.000	0.000	Merged-chr3-115933714-29
NR2269--MA0768.1.LEF1	chr6	120006467	120006481	+	0.000	0.000	Merged-chr6-120006378-7
NR1197--MA0768.1.LEF1	chr18	5816632	5816646	+	0.000	0.000	Merged-chr18-5816511-9
NR726--MA0768.1.LEF1	chr13	114086609	114086623	-	0.000	0.000	Merged-chr13-114086496-8
