#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR8839--MA0140.2.GATA1::TAL1	chr7	83600200	83600217	-	0.000	0.000	Merged-chr7-83600067-26
NR4163--MA1104.1.GATA6	chr16	89595945	89595957	+	0.000	0.000	Merged-chr16-89595892-3
NR709--MA0037.3.GATA3	chr1	164366711	164366718	-	0.000	0.000	Merged-chr1-164366862-30
NR4434--MA0037.3.GATA3	chr17	52348687	52348694	-	0.000	0.000	Merged-chr17-52348820-8
NR9031--MA0035.3.Gata1	chr7	140207132	140207142	+	0.000	0.000	Merged-chr7-140207191-19
NR6448--MA0035.3.Gata1	chr3	135515339	135515349	+	0.000	0.000	Merged-chr3-135515494-6
NR2863--MA0037.3.GATA3	chr13	109822582	109822589	+	0.000	0.000	Merged-chr13-109822486-79
NR5780--MA0035.3.Gata1	chr2	163054626	163054636	-	0.000	0.000	Merged-chr2-163054784-63
NR1657--MA0036.3.GATA2	chr11	64037639	64037649	-	0.000	0.000	Merged-chr11-64037767-32
NR9782--MA0482.1.Gata4	chr9	116138613	116138623	+	0.000	0.000	Merged-chr9-116138726-20
NR7231--MA0482.1.Gata4	chr4	156022069	156022079	+	0.000	0.000	Merged-chr4-156022073-120
NR1762--MA0140.2.GATA1::TAL1	chr11	109561082	109561099	-	0.000	0.000	Merged-chr11-109560984-42
NR8879--MA0482.1.Gata4	chr7	101504104	101504114	+	0.000	0.000	Merged-chr7-101503907-73
NR1633--MA0766.1.GATA5	chr11	54063314	54063321	+	0.000	0.000	Merged-chr11-54063198-57
NR8548--MA1104.1.GATA6	chr6	144987412	144987424	+	0.000	0.000	Merged-chr6-144987357-14
NR8006--MA0036.3.GATA2	chr6	54119122	54119132	+	0.000	0.000	Merged-chr6-54119085-6
NR1856--MA0482.1.Gata4	chr12	16588626	16588636	+	0.000	0.000	Merged-chr12-16588738-7
NR9785--MA0035.3.Gata1	chr9	116138612	116138622	+	0.000	0.000	Merged-chr9-116138726-20
NR8657--MA0037.3.GATA3	chr7	30099623	30099630	+	0.000	0.000	Merged-chr7-30099514-26
NR9368--MA0037.3.GATA3	chr8	111566113	111566120	-	0.000	0.000	Merged-chr8-111566005-2
NR2141--MA0140.2.GATA1::TAL1	chr12	81595270	81595287	-	0.000	0.000	Merged-chr12-81595167-52
NR5105--MA0036.3.GATA2	chr19	58376992	58377002	-	0.000	0.000	Merged-chr19-58376963-7
NR5756--MA1104.1.GATA6	chr2	153525958	153525970	-	0.000	0.000	Merged-chr2-153526092-26
NR712--MA0036.3.GATA2	chr1	164366710	164366720	+	0.000	0.000	Merged-chr1-164366862-30
NR6420--MA0037.3.GATA3	chr3	133332579	133332586	-	0.000	0.000	Merged-chr3-133332565-72
NR2584--MA0037.3.GATA3	chr13	59585438	59585445	-	0.000	0.000	Merged-chr13-59585318-80
NR7427--MA0766.1.GATA5	chr5	37083247	37083254	-	0.000	0.000	Merged-chr5-37083387-28
NR25--MA0766.1.GATA5	chr1	6453564	6453571	+	0.000	0.000	Merged-chr1-6453471-6
NR5052--MA0036.3.GATA2	chr19	31210683	31210693	+	0.000	0.000	Merged-chr19-31210653-54
NR5989--MA0036.3.GATA2	chr3	41107781	41107791	+	0.000	0.000	Merged-chr3-41107952-27
NR2597--MA1104.1.GATA6	chr13	61996741	61996753	-	0.000	0.000	Merged-chr13-61996796-15
NR1765--MA0140.2.GATA1::TAL1	chr11	110919281	110919298	-	0.000	0.000	Merged-chr11-110919203-38
NR7287--MA0037.3.GATA3	chr5	15470117	15470124	-	0.000	0.000	Merged-chr5-15470199-54
NR7807--MA0766.1.GATA5	chr5	150593213	150593220	-	0.000	0.000	Merged-chr5-150593583-231
NR5328--MA0035.3.Gata1	chr2	60418236	60418246	-	0.000	0.000	Merged-chr2-60418304-27
NR9729--MA0036.3.GATA2	chr9	92274453	92274463	+	0.000	0.000	Merged-chr9-92274591-56
NR9416--MA0035.3.Gata1	chr8	124520719	124520729	+	0.000	0.000	Merged-chr8-124520851-52
NR1673--MA0482.1.Gata4	chr11	70594812	70594822	+	0.000	0.000	Merged-chr11-70594778-39
NR2311--MA0037.3.GATA3	chr12	110689851	110689858	+	0.000	0.000	Merged-chr12-110689902-59
NR6446--MA1104.1.GATA6	chr3	135515338	135515350	-	0.000	0.000	Merged-chr3-135515494-6
NR1140--MA0035.3.Gata1	chr10	69168673	69168683	+	0.000	0.000	Merged-chr10-69168741-15
NR9373--MA0482.1.Gata4	chr8	111955418	111955428	+	0.000	0.000	Merged-chr8-111955328-48
NR8378--MA1104.1.GATA6	chr6	130102976	130102988	-	0.000	0.000	Merged-chr6-130103023-31
NR1756--MA1104.1.GATA6	chr11	106430741	106430753	-	0.000	0.000	Merged-chr11-106430638-37
NR2288--MA0482.1.Gata4	chr12	105019701	105019711	+	0.000	0.000	Merged-chr12-105019829-37
NR6717--MA0037.3.GATA3	chr4	19923452	19923459	+	0.000	0.000	Merged-chr4-19923492-7
NR4100--MA0037.3.GATA3	chr16	78265278	78265285	-	0.000	0.000	Merged-chr16-78265078-57
NR9947--MA0036.3.GATA2	chrX	169979119	169979129	-	0.000	0.000	Merged-chrX-169979163-27
NR3959--MA1104.1.GATA6	chr16	48760674	48760686	-	0.000	0.000	Merged-chr16-48760801-13
NR3866--MA0035.3.Gata1	chr16	24826502	24826512	+	0.000	0.000	Merged-chr16-24826564-20
NR5184--MA0766.1.GATA5	chr2	17644736	17644743	+	0.000	0.000	Merged-chr2-17644831-25
NR1315--MA0035.3.Gata1	chr10	99393612	99393622	-	0.000	0.000	Merged-chr10-99393384-65
NR2741--MA0035.3.Gata1	chr13	85498876	85498886	-	0.000	0.000	Merged-chr13-85498931-37
NR3750--MA1104.1.GATA6	chr15	97790275	97790287	+	0.000	0.000	Merged-chr15-97790248-21
NR7762--MA0140.2.GATA1::TAL1	chr5	140208921	140208938	-	0.000	0.000	Merged-chr5-140208912-49
NR2738--MA0037.3.GATA3	chr13	85498878	85498885	+	0.000	0.000	Merged-chr13-85498931-37
NR194--MA0037.3.GATA3	chr1	59173180	59173187	+	0.000	0.000	Merged-chr1-59173225-2
NR9928--MA0482.1.Gata4	chrX	153375288	153375298	+	0.000	0.000	Merged-chrX-153375365-26
NR9437--MA0036.3.GATA2	chr8	127589469	127589479	+	0.000	0.000	Merged-chr8-127589399-43
NR9376--MA0035.3.Gata1	chr8	111955417	111955427	+	0.000	0.000	Merged-chr8-111955328-48
NR9918--MA0035.3.Gata1	chrX	140537798	140537808	+	0.000	0.000	Merged-chrX-140537922-35
NR7210--MA0766.1.GATA5	chr4	150517582	150517589	-	0.000	0.000	Merged-chr4-150517532-35
NR3170--MA0482.1.Gata4	chr14	60131692	60131702	+	0.000	0.000	Merged-chr14-60131750-51
NR1761--MA0482.1.Gata4	chr11	109561090	109561100	-	0.000	0.000	Merged-chr11-109560984-42
NR6271--MA0140.2.GATA1::TAL1	chr3	96273719	96273736	+	0.000	0.000	Merged-chr3-96273916-38
NR5838--MA0036.3.GATA2	chr2	179369438	179369448	-	0.000	0.000	Merged-chr2-179369287-1
NR7232--MA1104.1.GATA6	chr4	156022067	156022079	-	0.000	0.000	Merged-chr4-156022073-120
NR6425--MA0037.3.GATA3	chr3	133623448	133623455	-	0.000	0.000	Merged-chr3-133623556-36
NR3821--MA0482.1.Gata4	chr16	10732546	10732556	+	0.000	0.000	Merged-chr16-10732689-38
NR7290--MA0036.3.GATA2	chr5	15470116	15470126	+	0.000	0.000	Merged-chr5-15470199-54
NR9907--MA0482.1.Gata4	chrX	134601054	134601064	+	0.000	0.000	Merged-chrX-134601254-82
NR7685--MA0482.1.Gata4	chr5	107648992	107649002	+	0.000	0.000	Merged-chr5-107649073-49
NR3387--MA0766.1.GATA5	chr14	118796306	118796313	-	0.000	0.000	Merged-chr14-118796395-16
NR6249--MA0140.2.GATA1::TAL1	chr3	86635973	86635990	-	0.000	0.000	Merged-chr3-86635879-25
NR9806--MA0766.1.GATA5	chr9	123928903	123928910	-	0.000	0.000	Merged-chr9-123928756-104
NR7845--MA0036.3.GATA2	chr6	8365160	8365170	+	0.000	0.000	Merged-chr6-8365103-3
NR6720--MA0036.3.GATA2	chr4	19923450	19923460	-	0.000	0.000	Merged-chr4-19923492-7
NR5028--MA0035.3.Gata1	chr19	12488321	12488331	-	0.000	0.000	Merged-chr19-12488322-25
NR2297--MA0037.3.GATA3	chr12	107139203	107139210	+	0.000	0.000	Merged-chr12-107139139-48
NR76--MA0036.3.GATA2	chr1	14514551	14514561	-	0.000	0.000	Merged-chr1-14514684-1
NR3962--MA0140.2.GATA1::TAL1	chr16	48760861	48760878	-	0.000	0.000	Merged-chr16-48760801-13
NR3851--MA0037.3.GATA3	chr16	20930013	20930020	-	0.000	0.000	Merged-chr16-20930100-26
NR8761--MA0036.3.GATA2	chr7	67672916	67672926	-	0.000	0.000	Merged-chr7-67672812-28
NR4167--MA0140.2.GATA1::TAL1	chr16	91063928	91063945	-	0.000	0.000	Merged-chr16-91063973-29
NR3847--MA0482.1.Gata4	chr16	18075421	18075431	-	0.000	0.000	Merged-chr16-18075425-17
NR1777--MA0035.3.Gata1	chr11	115564107	115564117	-	0.000	0.000	Merged-chr11-115564290-52
NR3637--MA0766.1.GATA5	chr15	53267119	53267126	+	0.000	0.000	Merged-chr15-53267286-91
NR5779--MA0482.1.Gata4	chr2	163054625	163054635	-	0.000	0.000	Merged-chr2-163054784-63
NR8880--MA0766.1.GATA5	chr7	101504104	101504111	-	0.000	0.000	Merged-chr7-101503907-73
NR7696--MA0036.3.GATA2	chr5	118069583	118069593	-	0.000	0.000	Merged-chr5-118069472-39
NR7773--MA0482.1.Gata4	chr5	148596595	148596605	+	0.000	0.000	Merged-chr5-148596681-29
NR6581--MA0766.1.GATA5	chr3	152929753	152929760	-	0.000	0.000	Merged-chr3-152929727-94
NR3450--MA1104.1.GATA6	chr15	8280448	8280460	-	0.000	0.000	Merged-chr15-8280344-8
NR5012--MA0766.1.GATA5	chr19	6015318	6015325	-	0.000	0.000	Merged-chr19-6015500-73
NR762--MA0766.1.GATA5	chr1	172526891	172526898	-	0.000	0.000	Merged-chr1-172526755-50
NR23--MA0482.1.Gata4	chr1	6453561	6453571	-	0.000	0.000	Merged-chr1-6453471-6
NR8774--MA0036.3.GATA2	chr7	72308182	72308192	+	0.000	0.000	Merged-chr7-72308227-31
NR165--MA0037.3.GATA3	chr1	44101608	44101615	+	0.000	0.000	Merged-chr1-44101717-6
NR4161--MA0037.3.GATA3	chr16	89595948	89595955	+	0.000	0.000	Merged-chr16-89595892-3
NR3056--MA0035.3.Gata1	chr14	27384253	27384263	+	0.000	0.000	Merged-chr14-27384235-54
NR1674--MA1104.1.GATA6	chr11	70594810	70594822	-	0.000	0.000	Merged-chr11-70594778-39
NR9374--MA1104.1.GATA6	chr8	111955416	111955428	-	0.000	0.000	Merged-chr8-111955328-48
NR7786--MA0482.1.Gata4	chr5	149392278	149392288	-	0.000	0.000	Merged-chr5-149392157-30
NR2905--MA0766.1.GATA5	chr13	113580117	113580124	+	0.000	0.000	Merged-chr13-113580257-62
NR6542--MA0035.3.Gata1	chr3	146192716	146192726	-	0.000	0.000	Merged-chr3-146192596-55
NR5015--MA0036.3.GATA2	chr19	8019877	8019887	+	0.000	0.000	Merged-chr19-8019847-106
NR2289--MA1104.1.GATA6	chr12	105019699	105019711	-	0.000	0.000	Merged-chr12-105019829-37
NR2513--MA0037.3.GATA3	chr13	29756231	29756238	+	0.000	0.000	Merged-chr13-29756237-14
NR449--MA0037.3.GATA3	chr1	106549283	106549290	-	0.000	0.000	Merged-chr1-106549229-13
NR6297--MA0140.2.GATA1::TAL1	chr3	107100165	107100182	-	0.000	0.000	Merged-chr3-107100029-42
NR68--MA0036.3.GATA2	chr1	13293495	13293505	+	0.000	0.000	Merged-chr1-13293593-50
NR7752--MA0482.1.Gata4	chr5	137787615	137787625	-	0.000	0.000	Merged-chr5-137787536-7
NR3249--MA0766.1.GATA5	chr14	87439913	87439920	-	0.000	0.000	Merged-chr14-87439901-5
NR7428--MA0035.3.Gata1	chr5	37083246	37083256	+	0.000	0.000	Merged-chr5-37083387-28
NR26--MA0035.3.Gata1	chr1	6453562	6453572	-	0.000	0.000	Merged-chr1-6453471-6
NR5477--MA0035.3.Gata1	chr2	102975817	102975827	-	0.000	0.000	Merged-chr2-102975832-14
NR1273--MA1104.1.GATA6	chr10	95971100	95971112	-	0.000	0.000	Merged-chr10-95971075-85
NR9929--MA1104.1.GATA6	chrX	153375286	153375298	-	0.000	0.000	Merged-chrX-153375365-26
NR1796--MA1104.1.GATA6	chr12	3891251	3891263	-	0.000	0.000	Merged-chr12-3891363-76
NR5233--MA0036.3.GATA2	chr2	39325860	39325870	-	0.000	0.000	Merged-chr2-39325876-70
NR7808--MA0035.3.Gata1	chr5	150593212	150593222	+	0.000	0.000	Merged-chr5-150593583-231
NR8546--MA0037.3.GATA3	chr6	144987415	144987422	+	0.000	0.000	Merged-chr6-144987357-14
NR3171--MA1104.1.GATA6	chr14	60131690	60131702	-	0.000	0.000	Merged-chr14-60131750-51
NR7545--MA0036.3.GATA2	chr5	65867407	65867417	+	0.000	0.000	Merged-chr5-65867573-52
NR744--MA0036.3.GATA2	chr1	171118396	171118406	-	0.000	0.000	Merged-chr1-171118470-13
NR5256--MA0766.1.GATA5	chr2	45972084	45972091	-	0.000	0.000	Merged-chr2-45972102-2
NR704--MA0140.2.GATA1::TAL1	chr1	161794947	161794964	+	0.000	0.000	Merged-chr1-161794797-65
NR3713--MA0037.3.GATA3	chr15	91578252	91578259	-	0.000	0.000	Merged-chr15-91578192-2
NR9344--MA0766.1.GATA5	chr8	107164414	107164421	-	0.000	0.000	Merged-chr8-107164486-19
NR8700--MA0482.1.Gata4	chr7	45526451	45526461	+	0.000	0.000	Merged-chr7-45526317-62
NR5185--MA0035.3.Gata1	chr2	17644734	17644744	-	0.000	0.000	Merged-chr2-17644831-25
NR8860--MA1104.1.GATA6	chr7	92420480	92420492	-	0.000	0.000	Merged-chr7-92420666-38
NR5094--MA0766.1.GATA5	chr19	53185684	53185691	-	0.000	0.000	Merged-chr19-53185705-40
NR3666--MA0140.2.GATA1::TAL1	chr15	64031989	64032006	+	0.000	0.000	Merged-chr15-64031961-34
NR5754--MA0037.3.GATA3	chr2	153525960	153525967	-	0.000	0.000	Merged-chr2-153526092-26
NR563--MA0482.1.Gata4	chr1	132046414	132046424	-	0.000	0.000	Merged-chr1-132046441-41
NR5193--MA0036.3.GATA2	chr2	20969347	20969357	-	0.000	0.000	Merged-chr2-20969092-180
NR9838--MA0482.1.Gata4	chrX	17590884	17590894	+	0.000	0.000	Merged-chrX-17590800-11
NR2367--MA0140.2.GATA1::TAL1	chr13	5408608	5408625	-	0.000	0.000	Merged-chr13-5408640-54
NR7768--MA0035.3.Gata1	chr5	144964170	144964180	-	0.000	0.000	Merged-chr5-144963961-18
NR6449--MA0140.2.GATA1::TAL1	chr3	135515341	135515358	+	0.000	0.000	Merged-chr3-135515494-6
NR8222--MA0036.3.GATA2	chr6	100011906	100011916	-	0.000	0.000	Merged-chr6-100011850-11
NR1632--MA0037.3.GATA3	chr11	54063314	54063321	+	0.000	0.000	Merged-chr11-54063198-57
NR5387--MA0140.2.GATA1::TAL1	chr2	73485538	73485555	+	0.000	0.000	Merged-chr2-73485645-123
NR9804--MA0482.1.Gata4	chr9	123928903	123928913	+	0.000	0.000	Merged-chr9-123928756-104
NR5758--MA0766.1.GATA5	chr2	153525960	153525967	-	0.000	0.000	Merged-chr2-153526092-26
NR388--MA0037.3.GATA3	chr1	94035513	94035520	-	0.000	0.000	Merged-chr1-94035484-87
NR5462--MA1104.1.GATA6	chr2	98665145	98665157	+	0.000	0.000	Merged-chr2-98665090-39
NR4179--MA0037.3.GATA3	chr16	93918466	93918473	-	0.000	0.000	Merged-chr16-93918388-61
NR566--MA0035.3.Gata1	chr1	132046415	132046425	-	0.000	0.000	Merged-chr1-132046441-41
NR2324--MA0036.3.GATA2	chr12	112743308	112743318	+	0.000	0.000	Merged-chr12-112743369-41
NR3306--MA0036.3.GATA2	chr14	101477377	101477387	-	0.000	0.000	Merged-chr14-101477413-70
NR6422--MA0766.1.GATA5	chr3	133332579	133332586	-	0.000	0.000	Merged-chr3-133332565-72
NR4471--MA0766.1.GATA5	chr17	62784084	62784091	-	0.000	0.000	Merged-chr17-62784192-42
NR3388--MA0035.3.Gata1	chr14	118796305	118796315	+	0.000	0.000	Merged-chr14-118796395-16
NR3659--MA0035.3.Gata1	chr15	61438673	61438683	-	0.000	0.000	Merged-chr15-61438700-21
NR8376--MA0037.3.GATA3	chr6	130102978	130102985	-	0.000	0.000	Merged-chr6-130103023-31
NR7774--MA1104.1.GATA6	chr5	148596593	148596605	-	0.000	0.000	Merged-chr5-148596681-29
NR4324--MA0140.2.GATA1::TAL1	chr17	17636257	17636274	-	0.000	0.000	Merged-chr17-17636367-22
NR4570--MA0036.3.GATA2	chr17	84061870	84061880	+	0.000	0.000	Merged-chr17-84061758-18
NR1607--MA0482.1.Gata4	chr11	35537612	35537622	+	0.000	0.000	Merged-chr11-35537638-11
NR8342--MA0037.3.GATA3	chr6	128362492	128362499	-	0.000	0.000	Merged-chr6-128362737-69
NR6431--MA0140.2.GATA1::TAL1	chr3	133623449	133623466	+	0.000	0.000	Merged-chr3-133623556-36
NR7787--MA1104.1.GATA6	chr5	149392278	149392290	+	0.000	0.000	Merged-chr5-149392157-30
NR7489--MA0035.3.Gata1	chr5	54098237	54098247	+	0.000	0.000	Merged-chr5-54098374-26
NR8910--MA0482.1.Gata4	chr7	110265934	110265944	-	0.000	0.000	Merged-chr7-110265938-33
NR5759--MA1104.1.GATA6	chr2	154797063	154797075	+	0.000	0.000	Merged-chr2-154797130-17
NR2698--MA0036.3.GATA2	chr13	81659054	81659064	-	0.000	0.000	Merged-chr13-81658891-4
NR725--MA0766.1.GATA5	chr1	165985897	165985904	+	0.000	0.000	Merged-chr1-165985990-54
NR1139--MA0766.1.GATA5	chr10	69168674	69168681	-	0.000	0.000	Merged-chr10-69168741-15
NR3638--MA0035.3.Gata1	chr15	53267117	53267127	-	0.000	0.000	Merged-chr15-53267286-91
NR7753--MA1104.1.GATA6	chr5	137787615	137787627	+	0.000	0.000	Merged-chr5-137787536-7
NR977--MA0766.1.GATA5	chr10	28518460	28518467	-	0.000	0.000	Merged-chr10-28518434-39
NR9781--MA0037.3.GATA3	chr9	116138613	116138620	-	0.000	0.000	Merged-chr9-116138726-20
NR7230--MA0037.3.GATA3	chr4	156022069	156022076	-	0.000	0.000	Merged-chr4-156022073-120
NR8878--MA0037.3.GATA3	chr7	101504104	101504111	-	0.000	0.000	Merged-chr7-101503907-73
NR4445--MA0035.3.Gata1	chr17	56291309	56291319	+	0.000	0.000	Merged-chr17-56291357-21
NR348--MA0036.3.GATA2	chr1	86344522	86344532	+	0.000	0.000	Merged-chr1-86344486-59
NR5013--MA0035.3.Gata1	chr19	6015317	6015327	+	0.000	0.000	Merged-chr19-6015500-73
NR763--MA0035.3.Gata1	chr1	172526890	172526900	+	0.000	0.000	Merged-chr1-172526755-50
NR391--MA0036.3.GATA2	chr1	94035512	94035522	+	0.000	0.000	Merged-chr1-94035484-87
NR186--MA0036.3.GATA2	chr1	53782263	53782273	+	0.000	0.000	Merged-chr1-53782254-16
NR7840--MA0140.2.GATA1::TAL1	chr6	7847066	7847083	+	0.000	0.000	Merged-chr6-7847080-25
NR4182--MA0036.3.GATA2	chr16	93918465	93918475	+	0.000	0.000	Merged-chr16-93918388-61
NR7766--MA1104.1.GATA6	chr5	144964169	144964181	+	0.000	0.000	Merged-chr5-144963961-18
NR3050--MA0140.2.GATA1::TAL1	chr14	25481178	25481195	-	0.000	0.000	Merged-chr14-25481230-34
NR6775--MA0766.1.GATA5	chr4	33110182	33110189	-	0.000	0.000	Merged-chr4-33110299-20
NR2906--MA0035.3.Gata1	chr13	113580115	113580125	-	0.000	0.000	Merged-chr13-113580257-62
NR9156--MA0036.3.GATA2	chr8	34164659	34164669	+	0.000	0.000	Merged-chr8-34164566-26
NR8701--MA1104.1.GATA6	chr7	45526449	45526461	-	0.000	0.000	Merged-chr7-45526317-62
NR1488--MA1104.1.GATA6	chr10	127135638	127135650	-	0.000	0.000	Merged-chr10-127135675-65
NR3960--MA0036.3.GATA2	chr16	48760675	48760685	+	0.000	0.000	Merged-chr16-48760801-13
NR4521--MA0140.2.GATA1::TAL1	chr17	70925029	70925046	+	0.000	0.000	Merged-chr17-70924985-48
NR2786--MA0036.3.GATA2	chr13	90886326	90886336	-	0.000	0.000	Merged-chr13-90886172-1
NR9393--MA0037.3.GATA3	chr8	117801966	117801973	+	0.000	0.000	Merged-chr8-117802067-74
NR564--MA1104.1.GATA6	chr1	132046414	132046426	+	0.000	0.000	Merged-chr1-132046441-41
NR2500--MA0036.3.GATA2	chr13	20094994	20095004	+	0.000	0.000	Merged-chr13-20095026-36
NR446--MA0766.1.GATA5	chr1	105803095	105803102	+	0.000	0.000	Merged-chr1-105803155-19
NR6122--MA0766.1.GATA5	chr3	60954285	60954292	+	0.000	0.000	Merged-chr3-60954370-10
NR6778--MA0036.3.GATA2	chr4	33189442	33189452	+	0.000	0.000	Merged-chr4-33189254-36
NR3749--MA0482.1.Gata4	chr15	97790275	97790285	-	0.000	0.000	Merged-chr15-97790248-21
NR2547--MA0036.3.GATA2	chr13	41097618	41097628	-	0.000	0.000	Merged-chr13-41097728-40
NR5209--MA0036.3.GATA2	chr2	22796697	22796707	-	0.000	0.000	Merged-chr2-22796662-28
NR3862--MA0037.3.GATA3	chr16	24826503	24826510	-	0.000	0.000	Merged-chr16-24826564-20
NR5446--MA1104.1.GATA6	chr2	91876527	91876539	-	0.000	0.000	Merged-chr2-91876592-59
NR351--MA0482.1.Gata4	chr1	87878051	87878061	+	0.000	0.000	Merged-chr1-87877929-42
NR7008--MA0766.1.GATA5	chr4	95197266	95197273	+	0.000	0.000	Merged-chr4-95197383-10
NR5047--MA0036.3.GATA2	chr19	29367424	29367434	-	0.000	0.000	Merged-chr19-29367376-49
NR8777--MA0035.3.Gata1	chr7	72314634	72314644	+	0.000	0.000	Merged-chr7-72314558-78
NR664--MA0766.1.GATA5	chr1	151973294	151973301	+	0.000	0.000	Merged-chr1-151973357-25
NR935--MA0766.1.GATA5	chr10	21092871	21092878	-	0.000	0.000	Merged-chr10-21092817-9
NR4030--MA0140.2.GATA1::TAL1	chr16	59007369	59007386	-	0.000	0.000	Merged-chr16-59007299-38
NR7758--MA1104.1.GATA6	chr5	139483515	139483527	-	0.000	0.000	Merged-chr5-139483495-36
NR1672--MA0037.3.GATA3	chr11	70594812	70594819	-	0.000	0.000	Merged-chr11-70594778-39
NR2803--MA0140.2.GATA1::TAL1	chr13	95393443	95393460	+	0.000	0.000	Merged-chr13-95393533-22
NR5095--MA0035.3.Gata1	chr19	53185683	53185693	+	0.000	0.000	Merged-chr19-53185705-40
NR4825--MA0036.3.GATA2	chr18	56733837	56733847	-	0.000	0.000	Merged-chr18-56734019-60
NR7649--MA0140.2.GATA1::TAL1	chr5	96201972	96201989	+	0.000	0.000	Merged-chr5-96201907-44
NR2287--MA0037.3.GATA3	chr12	105019701	105019708	-	0.000	0.000	Merged-chr12-105019829-37
NR4206--MA0036.3.GATA2	chr16	97204300	97204310	+	0.000	0.000	Merged-chr16-97204388-55
NR667--MA0036.3.GATA2	chr1	153141157	153141167	+	0.000	0.000	Merged-chr1-153140977-54
NR354--MA0035.3.Gata1	chr1	87878050	87878060	+	0.000	0.000	Merged-chr1-87877929-42
NR8817--MA0036.3.GATA2	chr7	78865892	78865902	+	0.000	0.000	Merged-chr7-78865782-5
NR6580--MA1104.1.GATA6	chr3	152929751	152929763	-	0.000	0.000	Merged-chr3-152929727-94
NR8936--MA0766.1.GATA5	chr7	113419587	113419594	+	0.000	0.000	Merged-chr7-113419557-35
NR8911--MA1104.1.GATA6	chr7	110265934	110265946	+	0.000	0.000	Merged-chr7-110265938-33
NR2550--MA0482.1.Gata4	chr13	41948365	41948375	-	0.000	0.000	Merged-chr13-41948463-1
NR2431--MA0035.3.Gata1	chr13	8457040	8457050	+	0.000	0.000	Merged-chr13-8457184-81
NR6366--MA0766.1.GATA5	chr3	122419826	122419833	+	0.000	0.000	Merged-chr3-122419865-81
NR4482--MA0482.1.Gata4	chr17	64602271	64602281	-	0.000	0.000	Merged-chr17-64602197-17
NR3826--MA0140.2.GATA1::TAL1	chr16	10732547	10732564	+	0.000	0.000	Merged-chr16-10732689-38
NR6475--MA0766.1.GATA5	chr3	136742960	136742967	-	0.000	0.000	Merged-chr3-136742959-57
NR3692--MA0037.3.GATA3	chr15	78495178	78495185	+	0.000	0.000	Merged-chr15-78495177-43
NR4472--MA0035.3.Gata1	chr17	62784083	62784093	+	0.000	0.000	Merged-chr17-62784192-42
NR6322--MA0036.3.GATA2	chr3	115693559	115693569	+	0.000	0.000	Merged-chr3-115693579-13
NR9389--MA0766.1.GATA5	chr8	117278454	117278461	-	0.000	0.000	Merged-chr8-117278352-17
NR7703--MA0037.3.GATA3	chr5	122145603	122145610	-	0.000	0.000	Merged-chr5-122145635-51
NR5752--MA0037.3.GATA3	chr2	152914878	152914885	-	0.000	0.000	Merged-chr2-152914724-49
NR8121--MA0766.1.GATA5	chr6	67184856	67184863	+	0.000	0.000	Merged-chr6-67184785-39
NR8854--MA0482.1.Gata4	chr7	89841971	89841981	-	0.000	0.000	Merged-chr7-89842093-31
NR9906--MA0037.3.GATA3	chrX	134601054	134601061	-	0.000	0.000	Merged-chrX-134601254-82
NR2580--MA1104.1.GATA6	chr13	55636685	55636697	-	0.000	0.000	Merged-chr13-55636712-28
NR3449--MA0482.1.Gata4	chr15	8280450	8280460	+	0.000	0.000	Merged-chr15-8280344-8
NR4485--MA0035.3.Gata1	chr17	64602272	64602282	-	0.000	0.000	Merged-chr17-64602197-17
NR4384--MA0036.3.GATA2	chr17	35727168	35727178	-	0.000	0.000	Merged-chr17-35727200-6
NR8000--MA1104.1.GATA6	chr6	54088248	54088260	+	0.000	0.000	Merged-chr6-54088359-21
NR7771--MA0766.1.GATA5	chr5	147063478	147063485	-	0.000	0.000	Merged-chr5-147063758-85
NR2290--MA0036.3.GATA2	chr12	105019700	105019710	+	0.000	0.000	Merged-chr12-105019829-37
NR726--MA0035.3.Gata1	chr1	165985895	165985905	-	0.000	0.000	Merged-chr1-165985990-54
NR6834--MA0766.1.GATA5	chr4	53384822	53384829	-	0.000	0.000	Merged-chr4-53384912-31
NR9930--MA0036.3.GATA2	chrX	153375287	153375297	+	0.000	0.000	Merged-chrX-153375365-26
NR7206--MA0037.3.GATA3	chr4	150517582	150517589	-	0.000	0.000	Merged-chr4-150517532-35
NR3824--MA0766.1.GATA5	chr16	10732546	10732553	-	0.000	0.000	Merged-chr16-10732689-38
NR352--MA1104.1.GATA6	chr1	87878049	87878061	-	0.000	0.000	Merged-chr1-87877929-42
NR7772--MA0037.3.GATA3	chr5	148596595	148596602	-	0.000	0.000	Merged-chr5-148596681-29
NR8190--MA0766.1.GATA5	chr6	91125080	91125087	+	0.000	0.000	Merged-chr6-91125010-35
NR2555--MA0482.1.Gata4	chr13	45371942	45371952	-	0.000	0.000	Merged-chr13-45371918-16
