#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR459--MA0508.2.PRDM1	chr12	90576320	90576329	-	0.000	0.000	Merged-chr12-90576423-51
NR1650--MA0508.2.PRDM1	chr5	105198272	105198281	-	0.000	0.000	Merged-chr5-105198197-37
NR2156--MA0508.2.PRDM1	chr9	122399008	122399017	+	0.000	0.000	Merged-chr9-122399009-31
NR1825--MA0508.2.PRDM1	chr6	140724837	140724846	+	0.000	0.000	Merged-chr6-140724746-15
NR1663--MA0508.2.PRDM1	chr5	121179304	121179313	-	0.000	0.000	Merged-chr5-121179549-53
NR438--MA0508.2.PRDM1	chr12	69102090	69102099	-	0.000	0.000	Merged-chr12-69102156-32
NR1424--MA0508.2.PRDM1	chr3	145942201	145942210	+	0.000	0.000	Merged-chr3-145942154-31
NR1881--MA0508.2.PRDM1	chr7	74697053	74697062	+	0.000	0.000	Merged-chr7-74696900-78
NR1947--MA0508.2.PRDM1	chr7	130476189	130476198	+	0.000	0.000	Merged-chr7-130476284-22
NR1804--MA0508.2.PRDM1	chr6	129598184	129598193	-	0.000	0.000	Merged-chr6-129598126-11
NR1546--MA0508.2.PRDM1	chr4	132422376	132422385	+	0.000	0.000	Merged-chr4-132422317-46
NR1817--MA0508.2.PRDM1	chr6	134883881	134883890	-	0.000	0.000	Merged-chr6-134883955-22
NR1132--MA0508.2.PRDM1	chr2	59393310	59393319	+	0.000	0.000	Merged-chr2-59393267-21
NR1403--MA0508.2.PRDM1	chr3	139016716	139016725	+	0.000	0.000	Merged-chr3-139016600-18
NR21--MA0508.2.PRDM1	chr1	64486486	64486495	+	0.000	0.000	Merged-chr1-64486540-36
NR2018--MA0508.2.PRDM1	chr8	86864556	86864565	+	0.000	0.000	Merged-chr8-86864748-39
NR1363--MA0508.2.PRDM1	chr3	116424087	116424096	+	0.000	0.000	Merged-chr3-116424067-206
NR2074--MA0508.2.PRDM1	chr9	48447914	48447923	+	0.000	0.000	Merged-chr9-48448010-22
NR710--MA0508.2.PRDM1	chr14	116210449	116210458	+	0.000	0.000	Merged-chr14-116210530-30
NR1600--MA0508.2.PRDM1	chr5	24039748	24039757	+	0.000	0.000	Merged-chr5-24039695-21
NR962--MA0508.2.PRDM1	chr18	39664384	39664393	+	0.000	0.000	Merged-chr18-39664266-42
NR1852--MA0508.2.PRDM1	chr7	17135547	17135556	+	0.000	0.000	Merged-chr7-17135418-14
NR2119--MA0508.2.PRDM1	chr9	90114240	90114249	+	0.000	0.000	Merged-chr9-90114273-148
NR1974--MA0508.2.PRDM1	chr8	13992655	13992664	+	0.000	0.000	Merged-chr8-13992764-55
NR1355--MA0508.2.PRDM1	chr3	101033706	101033715	-	0.000	0.000	Merged-chr3-101033836-38
NR1193--MA0508.2.PRDM1	chr2	118200040	118200049	+	0.000	0.000	Merged-chr2-118200163-35
NR1368--MA0508.2.PRDM1	chr3	121154186	121154195	-	0.000	0.000	Merged-chr3-121154322-4
NR1639--MA0508.2.PRDM1	chr5	96374146	96374155	-	0.000	0.000	Merged-chr5-96374373-29
NR540--MA0508.2.PRDM1	chr13	46364727	46364736	-	0.000	0.000	Merged-chr13-46364676-21
NR811--MA0508.2.PRDM1	chr16	30550527	30550536	-	0.000	0.000	Merged-chr16-30550510-54
NR1477--MA0508.2.PRDM1	chr4	59037014	59037023	+	0.000	0.000	Merged-chr4-59036834-36
NR2188--MA0508.2.PRDM1	chrX	159626349	159626358	-	0.000	0.000	Merged-chrX-159626513-14
NR1063--MA0508.2.PRDM1	chr19	42306426	42306435	+	0.000	0.000	Merged-chr19-42306300-48
NR1857--MA0508.2.PRDM1	chr7	30184078	30184087	+	0.000	0.000	Merged-chr7-30184154-42
NR824--MA0508.2.PRDM1	chr16	45389982	45389991	+	0.000	0.000	Merged-chr16-45389886-49
NR1172--MA0508.2.PRDM1	chr2	104561576	104561585	-	0.000	0.000	Merged-chr2-104561694-40
NR410--MA0508.2.PRDM1	chr12	8344997	8345006	-	0.000	0.000	Merged-chr12-8345102-29
NR1552--MA0508.2.PRDM1	chr4	134362888	134362897	+	0.000	0.000	Merged-chr4-134362784-33
NR1042--MA0508.2.PRDM1	chr19	23523800	23523809	+	0.000	0.000	Merged-chr19-23523973-15
NR1294--MA0508.2.PRDM1	chr3	30975577	30975586	+	0.000	0.000	Merged-chr3-30975540-11
NR803--MA0508.2.PRDM1	chr16	24527382	24527391	+	0.000	0.000	Merged-chr16-24527284-22
NR1422--MA0508.2.PRDM1	chr3	144704127	144704136	-	0.000	0.000	Merged-chr3-144704080-31
NR1469--MA0508.2.PRDM1	chr4	48012445	48012454	+	0.000	0.000	Merged-chr4-48012358-52
NR40--MA0508.2.PRDM1	chr1	89108759	89108768	+	0.000	0.000	Merged-chr1-89108793-22
NR641--MA0508.2.PRDM1	chr14	33303609	33303618	-	0.000	0.000	Merged-chr14-33303599-44
NR912--MA0508.2.PRDM1	chr17	48042213	48042222	+	0.000	0.000	Merged-chr17-48042226-3
NR750--MA0508.2.PRDM1	chr15	67290159	67290168	-	0.000	0.000	Merged-chr15-67290142-69
NR1435--MA0508.2.PRDM1	chr3	152444321	152444330	-	0.000	0.000	Merged-chr3-152444289-29
NR402--MA0508.2.PRDM1	chr11	116368302	116368311	-	0.000	0.000	Merged-chr11-116368348-10
NR654--MA0508.2.PRDM1	chr14	50784462	50784471	-	0.000	0.000	Merged-chr14-50784606-4
NR1339--MA0508.2.PRDM1	chr3	87528233	87528242	-	0.000	0.000	Merged-chr3-87528173-17
NR1796--MA0508.2.PRDM1	chr6	125484187	125484196	-	0.000	0.000	Merged-chr6-125484183-4
NR1401--MA0508.2.PRDM1	chr3	138424329	138424338	-	0.000	0.000	Merged-chr3-138424188-63
NR1286--MA0508.2.PRDM1	chr3	18243924	18243933	-	0.000	0.000	Merged-chr3-18243680-52
NR1143--MA0508.2.PRDM1	chr2	69415311	69415320	-	0.000	0.000	Merged-chr2-69415236-25
NR1414--MA0508.2.PRDM1	chr3	143457655	143457664	+	0.000	0.000	Merged-chr3-143457661-6
NR110--MA0508.2.PRDM1	chr1	161765936	161765945	-	0.000	0.000	Merged-chr1-161766108-8
NR362--MA0508.2.PRDM1	chr11	80666403	80666412	+	0.000	0.000	Merged-chr11-80666360-28
NR1047--MA0508.2.PRDM1	chr19	30924247	30924256	-	0.000	0.000	Merged-chr19-30924347-34
NR742--MA0508.2.PRDM1	chr15	53724376	53724385	+	0.000	0.000	Merged-chr15-53724398-47
NR45--MA0508.2.PRDM1	chr1	93401870	93401879	+	0.000	0.000	Merged-chr1-93401739-47
NR580--MA0508.2.PRDM1	chr13	95427598	95427607	-	0.000	0.000	Merged-chr13-95427714-10
NR1169--MA0508.2.PRDM1	chr2	102039553	102039562	+	0.000	0.000	Merged-chr2-102039537-38
NR1026--MA0508.2.PRDM1	chr19	4332933	4332942	+	0.000	0.000	Merged-chr19-4332907-33
NR593--MA0508.2.PRDM1	chr13	104916887	104916896	+	0.000	0.000	Merged-chr13-104916842-22
NR1278--MA0508.2.PRDM1	chr2	180589440	180589449	+	0.000	0.000	Merged-chr2-180589507-64
NR450--MA0508.2.PRDM1	chr12	80014479	80014488	+	0.000	0.000	Merged-chr12-80014569-41
NR102--MA0508.2.PRDM1	chr1	156673798	156673807	-	0.000	0.000	Merged-chr1-156673751-1
NR1039--MA0508.2.PRDM1	chr19	18766571	18766580	+	0.000	0.000	Merged-chr19-18766611-24
NR211--MA0508.2.PRDM1	chr10	39600359	39600368	+	0.000	0.000	Merged-chr10-39600436-54
NR192--MA0508.2.PRDM1	chr10	19068479	19068488	-	0.000	0.000	Merged-chr10-19068545-34
NR1353--MA0508.2.PRDM1	chr3	100359136	100359145	-	0.000	0.000	Merged-chr3-100359234-42
NR1148--MA0508.2.PRDM1	chr2	73070696	73070705	-	0.000	0.000	Merged-chr2-73070867-8
NR909--MA0508.2.PRDM1	chr17	43651879	43651888	+	0.000	0.000	Merged-chr17-43651777-7
NR999--MA0508.2.PRDM1	chr18	77822840	77822849	+	0.000	0.000	Merged-chr18-77822747-6
NR442--MA0508.2.PRDM1	chr12	76753049	76753058	+	0.000	0.000	Merged-chr12-76753055-50
NR551--MA0508.2.PRDM1	chr13	63634453	63634462	-	0.000	0.000	Merged-chr13-63634461-26
NR726--MA0508.2.PRDM1	chr15	9574876	9574885	-	0.000	0.000	Merged-chr15-9575046-48
NR293--MA0508.2.PRDM1	chr10	123092007	123092016	+	0.000	0.000	Merged-chr10-123091933-23
NR801--MA0508.2.PRDM1	chr16	24152155	24152164	+	0.000	0.000	Merged-chr16-24152137-5
NR782--MA0508.2.PRDM1	chr16	3982379	3982388	+	0.000	0.000	Merged-chr16-3982293-15
NR1228--MA0508.2.PRDM1	chr2	144742177	144742186	+	0.000	0.000	Merged-chr2-144742373-21
NR381--MA0508.2.PRDM1	chr11	96667233	96667242	+	0.000	0.000	Merged-chr11-96667069-36
NR923--MA0508.2.PRDM1	chr17	69422886	69422895	-	0.000	0.000	Merged-chr17-69422874-19
NR1066--MA0508.2.PRDM1	chr19	43921647	43921656	-	0.000	0.000	Merged-chr19-43921566-29
NR699--MA0508.2.PRDM1	chr14	100459456	100459465	-	0.000	0.000	Merged-chr14-100459597-88
NR1589--MA0508.2.PRDM1	chr4	156203111	156203120	+	0.000	0.000	Merged-chr4-156203414-81
NR285--MA0508.2.PRDM1	chr10	118110050	118110059	+	0.000	0.000	Merged-chr10-118110099-23
NR64--MA0508.2.PRDM1	chr1	119709543	119709552	-	0.000	0.000	Merged-chr1-119709632-8
NR394--MA0508.2.PRDM1	chr11	105364512	105364521	+	0.000	0.000	Merged-chr11-105364636-18
NR665--MA0508.2.PRDM1	chr14	59553439	59553448	+	0.000	0.000	Merged-chr14-59553394-22
NR5--MA0508.2.PRDM1	chr1	20820395	20820404	+	0.000	0.000	Merged-chr1-20820206-62
NR569--MA0508.2.PRDM1	chr13	84698328	84698337	-	0.000	0.000	Merged-chr13-84698117-12
NR949--MA0508.2.PRDM1	chr18	5694790	5694799	-	0.000	0.000	Merged-chr18-5694694-26
NR1297--MA0508.2.PRDM1	chr3	37161020	37161029	-	0.000	0.000	Merged-chr3-37161165-34
NR806--MA0508.2.PRDM1	chr16	26581729	26581738	-	0.000	0.000	Merged-chr16-26581670-77
NR1329--MA0508.2.PRDM1	chr3	78890037	78890046	-	0.000	0.000	Merged-chr3-78890015-28
NR2070--MA0508.2.PRDM1	chr9	43242609	43242618	+	0.000	0.000	Merged-chr9-43242516-24
NR134--MA0508.2.PRDM1	chr1	175564520	175564529	-	0.000	0.000	Merged-chr1-175564566-22
NR657--MA0508.2.PRDM1	chr14	53132634	53132643	+	0.000	0.000	Merged-chr14-53132661-29
NR243--MA0508.2.PRDM1	chr10	78396315	78396324	-	0.000	0.000	Merged-chr10-78396427-32
NR147--MA0508.2.PRDM1	chr1	184014218	184014227	+	0.000	0.000	Merged-chr1-184014303-22
NR69--MA0508.2.PRDM1	chr1	131821018	131821027	-	0.000	0.000	Merged-chr1-131821005-30
NR1970--MA0508.2.PRDM1	chr7	143822986	143822995	+	0.000	0.000	Merged-chr7-143822961-65
NR222--MA0508.2.PRDM1	chr10	52382205	52382214	-	0.000	0.000	Merged-chr10-52382064-99
NR745--MA0508.2.PRDM1	chr15	64173603	64173612	+	0.000	0.000	Merged-chr15-64173635-34
NR126--MA0508.2.PRDM1	chr1	171281209	171281218	+	0.000	0.000	Merged-chr1-171281333-62
NR1731--MA0508.2.PRDM1	chr6	66472895	66472904	+	0.000	0.000	Merged-chr6-66473070-26
NR2171--MA0508.2.PRDM1	chrX	100476535	100476544	-	0.000	0.000	Merged-chrX-100476611-55
NR506--MA0508.2.PRDM1	chr12	117995044	117995053	-	0.000	0.000	Merged-chr12-117995119-48
NR1840--MA0508.2.PRDM1	chr6	147573432	147573441	-	0.000	0.000	Merged-chr6-147573254-5
NR487--MA0508.2.PRDM1	chr12	112130380	112130389	+	0.000	0.000	Merged-chr12-112130474-63
NR1029--MA0508.2.PRDM1	chr19	9911610	9911619	+	0.000	0.000	Merged-chr19-9911533-24
NR201--MA0508.2.PRDM1	chr10	30538226	30538235	+	0.000	0.000	Merged-chr10-30538265-95
NR182--MA0508.2.PRDM1	chr10	14042986	14042995	+	0.000	0.000	Merged-chr10-14042980-37
NR453--MA0508.2.PRDM1	chr12	83987859	83987868	+	0.000	0.000	Merged-chr12-83987988-78
NR2150--MA0508.2.PRDM1	chr9	118908499	118908508	+	0.000	0.000	Merged-chr9-118908380-27
NR628--MA0508.2.PRDM1	chr14	14351747	14351756	+	0.000	0.000	Merged-chr14-14351922-2
NR1691--MA0508.2.PRDM1	chr5	149427532	149427541	-	0.000	0.000	Merged-chr5-149427432-30
NR214--MA0508.2.PRDM1	chr10	44381639	44381648	-	0.000	0.000	Merged-chr10-44381463-1
NR989--MA0508.2.PRDM1	chr18	70522417	70522426	+	0.000	0.000	Merged-chr18-70522488-53
NR2163--MA0508.2.PRDM1	chrX	36989492	36989501	-	0.000	0.000	Merged-chrX-36989513-70
NR846--MA0508.2.PRDM1	chr16	77099344	77099353	+	0.000	0.000	Merged-chr16-77099308-12
NR2020--MA0508.2.PRDM1	chr8	88161505	88161514	-	0.000	0.000	Merged-chr8-88161496-26
NR161--MA0508.2.PRDM1	chr1	191780578	191780587	+	0.000	0.000	Merged-chr1-191780513-20
NR479--MA0508.2.PRDM1	chr12	104236087	104236096	-	0.000	0.000	Merged-chr12-104236095-61
NR174--MA0508.2.PRDM1	chr10	6904232	6904241	+	0.000	0.000	Merged-chr10-6904105-6
NR445--MA0508.2.PRDM1	chr12	77781376	77781385	+	0.000	0.000	Merged-chr12-77781498-27
NR1702--MA0508.2.PRDM1	chr6	17629954	17629963	-	0.000	0.000	Merged-chr6-17630018-29
NR2142--MA0508.2.PRDM1	chr9	111290141	111290150	+	0.000	0.000	Merged-chr9-111290022-34
NR1824--MA0508.2.PRDM1	chr6	140708293	140708302	-	0.000	0.000	Merged-chr6-140708216-59
NR1410--MA0508.2.PRDM1	chr3	142674824	142674833	+	0.000	0.000	Merged-chr3-142674758-15
NR1662--MA0508.2.PRDM1	chr5	120116547	120116556	-	0.000	0.000	Merged-chr5-120116585-62
NR166--MA0508.2.PRDM1	chr1	192753274	192753283	-	0.000	0.000	Merged-chr1-192753229-57
NR1784--MA0508.2.PRDM1	chr6	118419558	118419567	+	0.000	0.000	Merged-chr6-118419579-69
NR2081--MA0508.2.PRDM1	chr9	56928239	56928248	+	0.000	0.000	Merged-chr9-56928215-69
NR2147--MA0508.2.PRDM1	chr9	118196767	118196776	+	0.000	0.000	Merged-chr9-118196833-13
NR1816--MA0508.2.PRDM1	chr6	134282187	134282196	-	0.000	0.000	Merged-chr6-134282243-30
NR1131--MA0508.2.PRDM1	chr2	59161123	59161132	-	0.000	0.000	Merged-chr2-59161148-146
NR2017--MA0508.2.PRDM1	chr8	84601590	84601599	-	0.000	0.000	Merged-chr8-84601669-24
NR1492--MA0508.2.PRDM1	chr4	82755955	82755964	+	0.000	0.000	Merged-chr4-82755852-39
NR1620--MA0508.2.PRDM1	chr5	74348732	74348741	+	0.000	0.000	Merged-chr5-74348625-55
NR2126--MA0508.2.PRDM1	chr9	96350803	96350812	-	0.000	0.000	Merged-chr9-96350613-81
NR376--MA0508.2.PRDM1	chr11	90019374	90019383	-	0.000	0.000	Merged-chr11-90019347-20
NR1110--MA0508.2.PRDM1	chr2	34790478	34790487	-	0.000	0.000	Merged-chr2-34790571-52
NR1091--MA0508.2.PRDM1	chr2	13271433	13271442	-	0.000	0.000	Merged-chr2-13271415-60
NR1362--MA0508.2.PRDM1	chr3	108781689	108781698	+	0.000	0.000	Merged-chr3-108781707-12
NR1904--MA0508.2.PRDM1	chr7	98108972	98108981	+	0.000	0.000	Merged-chr7-98109106-60
NR137--MA0508.2.PRDM1	chr1	178594207	178594216	+	0.000	0.000	Merged-chr1-178594136-3
NR1742--MA0508.2.PRDM1	chr6	83312557	83312566	-	0.000	0.000	Merged-chr6-83312550-87
NR1646--MA0508.2.PRDM1	chr5	103367331	103367340	-	0.000	0.000	Merged-chr5-103367276-46
NR12--MA0508.2.PRDM1	chr1	40847760	40847769	+	0.000	0.000	Merged-chr1-40847809-27
NR1232--MA0508.2.PRDM1	chr2	145233990	145233999	+	0.000	0.000	Merged-chr2-145234039-59
NR368--MA0508.2.PRDM1	chr11	84252631	84252640	+	0.000	0.000	Merged-chr11-84252620-21
NR1830--MA0508.2.PRDM1	chr6	143176984	143176993	+	0.000	0.000	Merged-chr6-143176847-16
NR1877--MA0508.2.PRDM1	chr7	68279130	68279139	-	0.000	0.000	Merged-chr7-68279041-18
NR1192--MA0508.2.PRDM1	chr2	118111746	118111755	+	0.000	0.000	Merged-chr2-118111578-40
NR1463--MA0508.2.PRDM1	chr4	40279588	40279597	-	0.000	0.000	Merged-chr4-40279458-68
NR1843--MA0508.2.PRDM1	chr6	148436576	148436585	-	0.000	0.000	Merged-chr6-148436541-68
NR1700--MA0508.2.PRDM1	chr6	15715133	15715142	+	0.000	0.000	Merged-chr6-15715270-33
NR2187--MA0508.2.PRDM1	chrX	159447268	159447277	+	0.000	0.000	Merged-chrX-159447377-17
NR1062--MA0508.2.PRDM1	chr19	41031243	41031252	+	0.000	0.000	Merged-chr19-41031181-46
NR2044--MA0508.2.PRDM1	chr8	123162984	123162993	+	0.000	0.000	Merged-chr8-123163099-40
NR94--MA0508.2.PRDM1	chr1	152010419	152010428	-	0.000	0.000	Merged-chr1-152010502-52
NR1694--MA0508.2.PRDM1	chr5	150407079	150407088	-	0.000	0.000	Merged-chr5-150406931-24
NR1617--MA0508.2.PRDM1	chr5	64212821	64212830	-	0.000	0.000	Merged-chr5-64212951-2
NR1--MA0508.2.PRDM1	chr1	7206748	7206757	+	0.000	0.000	Merged-chr1-7206621-34
NR1598--MA0508.2.PRDM1	chr5	21370728	21370737	+	0.000	0.000	Merged-chr5-21370599-51
NR770--MA0508.2.PRDM1	chr15	96700369	96700378	+	0.000	0.000	Merged-chr15-96700302-2
NR1312--MA0508.2.PRDM1	chr3	59260876	59260885	-	0.000	0.000	Merged-chr3-59260932-51
NR1835--MA0508.2.PRDM1	chr6	145616546	145616555	-	0.000	0.000	Merged-chr6-145616643-48
NR640--MA0508.2.PRDM1	chr14	32201971	32201980	-	0.000	0.000	Merged-chr14-32201951-64
NR892--MA0508.2.PRDM1	chr17	28523141	28523150	-	0.000	0.000	Merged-chr17-28522997-85
NR1577--MA0508.2.PRDM1	chr4	147808609	147808618	+	0.000	0.000	Merged-chr4-147808670-28
NR1556--MA0508.2.PRDM1	chr4	135520627	135520636	-	0.000	0.000	Merged-chr4-135520643-13
NR1827--MA0508.2.PRDM1	chr6	142571507	142571516	-	0.000	0.000	Merged-chr6-142571386-44
NR980--MA0508.2.PRDM1	chr18	60625548	60625557	-	0.000	0.000	Merged-chr18-60625535-13
NR632--MA0508.2.PRDM1	chr14	18271189	18271198	-	0.000	0.000	Merged-chr14-18271014-66
NR884--MA0508.2.PRDM1	chr17	22352994	22353003	+	0.000	0.000	Merged-chr17-22353026-21
NR1298--MA0508.2.PRDM1	chr3	37173564	37173573	-	0.000	0.000	Merged-chr3-37173489-44
NR470--MA0508.2.PRDM1	chr12	98601099	98601108	+	0.000	0.000	Merged-chr12-98601119-23
NR1155--MA0508.2.PRDM1	chr2	79180858	79180867	-	0.000	0.000	Merged-chr2-79180935-23
NR993--MA0508.2.PRDM1	chr18	73613608	73613617	-	0.000	0.000	Merged-chr18-73613587-25
NR1012--MA0508.2.PRDM1	chr18	84951560	84951569	+	0.000	0.000	Merged-chr18-84951669-87
NR1949--MA0508.2.PRDM1	chr7	131831749	131831758	-	0.000	0.000	Merged-chr7-131831668-1
NR1644--MA0508.2.PRDM1	chr5	101239456	101239465	-	0.000	0.000	Merged-chr5-101239427-114
NR1168--MA0508.2.PRDM1	chr2	101679625	101679634	-	0.000	0.000	Merged-chr2-101679457-18
NR611--MA0508.2.PRDM1	chr13	113198060	113198069	+	0.000	0.000	Merged-chr13-113198047-76
NR1753--MA0508.2.PRDM1	chr6	98105516	98105525	-	0.000	0.000	Merged-chr6-98105536-59
NR1277--MA0508.2.PRDM1	chr2	179875336	179875345	-	0.000	0.000	Merged-chr2-179875422-32
NR1657--MA0508.2.PRDM1	chr5	107988088	107988097	+	0.000	0.000	Merged-chr5-107988008-32
NR1243--MA0508.2.PRDM1	chr2	150667384	150667393	+	0.000	0.000	Merged-chr2-150667676-130
NR876--MA0508.2.PRDM1	chr17	12692069	12692078	+	0.000	0.000	Merged-chr17-12692013-52
NR1766--MA0508.2.PRDM1	chr6	107749026	107749035	-	0.000	0.000	Merged-chr6-107749008-33
NR985--MA0508.2.PRDM1	chr18	67449278	67449287	-	0.000	0.000	Merged-chr18-67449102-80
NR1875--MA0508.2.PRDM1	chr7	64309596	64309605	-	0.000	0.000	Merged-chr7-64309656-8
NR1399--MA0508.2.PRDM1	chr3	138194009	138194018	-	0.000	0.000	Merged-chr3-138194119-16
NR1527--MA0508.2.PRDM1	chr4	118406247	118406256	+	0.000	0.000	Merged-chr4-118406334-12
NR1907--MA0508.2.PRDM1	chr7	100693470	100693479	-	0.000	0.000	Merged-chr7-100693346-29
NR1745--MA0508.2.PRDM1	chr6	83718295	83718304	+	0.000	0.000	Merged-chr6-83718285-22
