#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Prdm1KO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR38982--MA0493.1.Klf1	chr3	89102058	89102068	-	0.000	0.000	Merged-chr3-89101941-62
NR48573--MA1107.1.KLF9	chr5	105139617	105139629	+	0.000	0.000	Merged-chr5-105139642-65
NR9332--MA0493.1.Klf1	chr11	55131066	55131076	+	0.000	0.000	Merged-chr11-55131266-10
NR53032--MA0741.1.KLF16	chr6	86397165	86397175	+	0.000	0.000	Merged-chr6-86397021-74
NR20905--MA0599.1.KLF5	chr15	28026031	28026040	-	0.000	0.000	Merged-chr15-28025754-115
NR25882--MA0741.1.KLF16	chr17	13480011	13480021	-	0.000	0.000	Merged-chr17-13479919-17
NR22268--MA0740.1.KLF14	chr15	84192225	84192238	-	0.000	0.000	Merged-chr15-84192302-58
NR8878--MA0741.1.KLF16	chr11	32554699	32554709	-	0.000	0.000	Merged-chr11-32554709-20
NR14230--MA1107.1.KLF9	chr12	105537660	105537672	+	0.000	0.000	Merged-chr12-105537597-12
NR35289--MA0657.1.KLF13	chr2	121008228	121008245	-	0.000	0.000	Merged-chr2-121008420-56
NR60931--MA1107.1.KLF9	chr8	62080422	62080434	-	0.000	0.000	Merged-chr8-62080499-5
NR36779--MA0039.3.KLF4	chr2	164184548	164184558	-	0.000	0.000	Merged-chr2-164184609-17
NR35158--MA0599.1.KLF5	chr2	118544309	118544318	+	0.000	0.000	Merged-chr2-118544423-30
NR56084--MA0493.1.Klf1	chr7	24629061	24629071	+	0.000	0.000	Merged-chr7-24629039-26
NR20859--MA0740.1.KLF14	chr15	25726863	25726876	+	0.000	0.000	Merged-chr15-25726973-5
NR64016--MA0741.1.KLF16	chr9	44034208	44034218	+	0.000	0.000	Merged-chr9-44034217-58
NR51990--MA0039.3.KLF4	chr6	41177286	41177296	+	0.000	0.000	Merged-chr6-41177322-23
NR36200--MA0741.1.KLF16	chr2	152294100	152294110	-	0.000	0.000	Merged-chr2-152293907-74
NR53970--MA0599.1.KLF5	chr6	119848164	119848173	+	0.000	0.000	Merged-chr6-119848153-79
NR55889--MA1107.1.KLF9	chr7	19076060	19076072	+	0.000	0.000	Merged-chr7-19076248-36
NR31465--MA0493.1.Klf1	chr19	29101275	29101285	+	0.000	0.000	Merged-chr19-29101370-61
NR29702--MA0599.1.KLF5	chr18	61481815	61481824	-	0.000	0.000	Merged-chr18-61481826-14
NR36190--MA0742.1.Klf12	chr2	152293796	152293810	+	0.000	0.000	Merged-chr2-152293907-74
NR10663--MA1107.1.KLF9	chr11	88131941	88131953	+	0.000	0.000	Merged-chr11-88132051-21
NR62699--MA0740.1.KLF14	chr8	120276505	120276518	-	0.000	0.000	Merged-chr8-120276586-37
NR24256--MA1107.1.KLF9	chr16	44724468	44724480	-	0.000	0.000	Merged-chr16-44724464-54
NR38535--MA0599.1.KLF5	chr3	62338941	62338950	-	0.000	0.000	Merged-chr3-62339060-22
NR60082--MA0740.1.KLF14	chr8	11107238	11107251	-	0.000	0.000	Merged-chr8-11107220-18
NR21717--MA0741.1.KLF16	chr15	75921577	75921587	-	0.000	0.000	Merged-chr15-75921460-55
NR929--MA0039.3.KLF4	chr1	64956764	64956774	+	0.000	0.000	Merged-chr1-64956845-95
NR28033--MA0039.3.KLF4	chr17	74020691	74020701	-	0.000	0.000	Merged-chr17-74020674-41
NR59603--MA0742.1.Klf12	chr7	140186753	140186767	+	0.000	0.000	Merged-chr7-140186904-31
NR63491--MA0741.1.KLF16	chr9	15357829	15357839	+	0.000	0.000	Merged-chr9-15357727-65
NR2617--MA0599.1.KLF5	chr1	150393113	150393122	-	0.000	0.000	Merged-chr1-150393160-95
NR27509--MA0599.1.KLF5	chr17	56139987	56139996	+	0.000	0.000	Merged-chr17-56140165-30
NR65155--MA0599.1.KLF5	chr9	86222538	86222547	+	0.000	0.000	Merged-chr9-86222454-2
NR39871--MA0599.1.KLF5	chr3	108200580	108200589	+	0.000	0.000	Merged-chr3-108200698-59
NR37697--MA0657.1.KLF13	chr3	9034594	9034611	+	0.000	0.000	Merged-chr3-9034452-42
NR19558--MA0741.1.KLF16	chr14	70271420	70271430	+	0.000	0.000	Merged-chr14-70271520-14
NR8193--MA0741.1.KLF16	chr10	128270503	128270513	-	0.000	0.000	Merged-chr10-128270552-51
NR46385--MA0493.1.Klf1	chr5	5749404	5749414	+	0.000	0.000	Merged-chr5-5749564-48
NR57944--MA0493.1.Klf1	chr7	97400251	97400261	+	0.000	0.000	Merged-chr7-97400270-64
NR17780--MA0740.1.KLF14	chr13	113815954	113815967	-	0.000	0.000	Merged-chr13-113816059-33
NR66992--MA0740.1.KLF14	chrX	9662972	9662985	+	0.000	0.000	Merged-chrX-9662792-75
NR4683--MA0039.3.KLF4	chr1	193703374	193703384	+	0.000	0.000	Merged-chr1-193703278-38
NR19460--MA1107.1.KLF9	chr14	67878035	67878047	-	0.000	0.000	Merged-chr14-67877957-30
NR31018--MA0599.1.KLF5	chr19	6341122	6341131	+	0.000	0.000	Merged-chr19-6341115-68
NR43045--MA0740.1.KLF14	chr4	82513338	82513351	-	0.000	0.000	Merged-chr4-82513258-36
NR34067--MA1107.1.KLF9	chr2	69823056	69823068	+	0.000	0.000	Merged-chr2-69822959-36
NR10985--MA0741.1.KLF16	chr11	97435277	97435287	-	0.000	0.000	Merged-chr11-97435107-48
NR8704--MA0599.1.KLF5	chr11	23124549	23124558	+	0.000	0.000	Merged-chr11-23124595-33
NR6869--MA0599.1.KLF5	chr10	85035282	85035291	+	0.000	0.000	Merged-chr10-85035484-19
NR15381--MA0657.1.KLF13	chr13	32338770	32338787	+	0.000	0.000	Merged-chr13-32338674-80
NR12844--MA0599.1.KLF5	chr12	40037415	40037424	+	0.000	0.000	Merged-chr12-40037304-3
NR50490--MA0599.1.KLF5	chr5	138155734	138155743	+	0.000	0.000	Merged-chr5-138155756-50
NR49609--MA0039.3.KLF4	chr5	124032323	124032333	-	0.000	0.000	Merged-chr5-124032239-28
NR21032--MA0741.1.KLF16	chr15	37100250	37100260	+	0.000	0.000	Merged-chr15-37100344-35
NR37659--MA1107.1.KLF9	chr2	181659730	181659742	-	0.000	0.000	Merged-chr2-181659700-65
NR52283--MA0740.1.KLF14	chr6	51432676	51432689	-	0.000	0.000	Merged-chr6-51432824-29
NR11030--MA0741.1.KLF16	chr11	97995945	97995955	-	0.000	0.000	Merged-chr11-97996066-44
NR57630--MA1107.1.KLF9	chr7	81320015	81320027	+	0.000	0.000	Merged-chr7-81320014-23
NR52701--MA0741.1.KLF16	chr6	72391047	72391057	-	0.000	0.000	Merged-chr6-72391108-3
NR5661--MA0039.3.KLF4	chr10	57799622	57799632	-	0.000	0.000	Merged-chr10-57799667-19
NR55241--MA0599.1.KLF5	chr6	145211108	145211117	+	0.000	0.000	Merged-chr6-145211240-87
NR66463--MA1107.1.KLF9	chr9	117927100	117927112	-	0.000	0.000	Merged-chr9-117927282-85
NR59582--MA0493.1.Klf1	chr7	140102447	140102457	-	0.000	0.000	Merged-chr7-140102387-42
NR19144--MA0741.1.KLF16	chr14	56886538	56886548	-	0.000	0.000	Merged-chr14-56886625-164
NR2944--MA0657.1.KLF13	chr1	156474386	156474403	+	0.000	0.000	Merged-chr1-156474258-59
NR8577--MA0039.3.KLF4	chr11	19950130	19950140	-	0.000	0.000	Merged-chr11-19950024-19
NR50669--MA0740.1.KLF14	chr5	140419219	140419232	-	0.000	0.000	Merged-chr5-140419081-107
NR47031--MA0742.1.Klf12	chr5	34949281	34949295	+	0.000	0.000	Merged-chr5-34949325-82
NR58051--MA0740.1.KLF14	chr7	100582799	100582812	-	0.000	0.000	Merged-chr7-100582949-39
NR27466--MA0741.1.KLF16	chr17	52461923	52461933	-	0.000	0.000	Merged-chr17-52461953-32
NR5725--MA0741.1.KLF16	chr10	59702495	59702505	+	0.000	0.000	Merged-chr10-59702548-66
NR52512--MA1107.1.KLF9	chr6	59250563	59250575	-	0.000	0.000	Merged-chr6-59250719-6
NR60371--MA0039.3.KLF4	chr8	25198756	25198766	-	0.000	0.000	Merged-chr8-25198713-7
NR66105--MA1107.1.KLF9	chr9	110742393	110742405	+	0.000	0.000	Merged-chr9-110742507-7
NR13485--MA1107.1.KLF9	chr12	79580448	79580460	+	0.000	0.000	Merged-chr12-79580500-49
NR42165--MA0599.1.KLF5	chr4	41503200	41503209	+	0.000	0.000	Merged-chr4-41503192-32
NR61734--MA0741.1.KLF16	chr8	85060108	85060118	+	0.000	0.000	Merged-chr8-85060180-46
NR8116--MA0741.1.KLF16	chr10	127380678	127380688	+	0.000	0.000	Merged-chr10-127380706-93
NR22655--MA0599.1.KLF5	chr15	91573244	91573253	-	0.000	0.000	Merged-chr15-91573061-60
NR11772--MA0599.1.KLF5	chr11	114765322	114765331	-	0.000	0.000	Merged-chr11-114765312-24
NR67441--MA1107.1.KLF9	chrX	71622311	71622323	+	0.000	0.000	Merged-chrX-71622436-27
NR28448--MA0741.1.KLF16	chr17	86167761	86167771	-	0.000	0.000	Merged-chr17-86167734-125
NR43466--MA0742.1.Klf12	chr4	102521070	102521084	-	0.000	0.000	Merged-chr4-102521123-26
NR756--MA0599.1.KLF5	chr1	57377561	57377570	+	0.000	0.000	Merged-chr1-57377842-99
NR44631--MA0741.1.KLF16	chr4	130914277	130914287	+	0.000	0.000	Merged-chr4-130914232-60
NR28957--MA0599.1.KLF5	chr18	24121571	24121580	+	0.000	0.000	Merged-chr18-24121701-97
NR57976--MA0599.1.KLF5	chr7	98178265	98178274	-	0.000	0.000	Merged-chr7-98178228-64
NR12289--MA0599.1.KLF5	chr12	3309702	3309711	+	0.000	0.000	Merged-chr12-3309830-82
NR65551--MA0741.1.KLF16	chr9	101251857	101251867	+	0.000	0.000	Merged-chr9-101251656-72
NR34424--MA0741.1.KLF16	chr2	80315681	80315691	+	0.000	0.000	Merged-chr2-80315576-77
NR62323--MA1107.1.KLF9	chr8	111769395	111769407	-	0.000	0.000	Merged-chr8-111769335-16
NR36014--MA1107.1.KLF9	chr2	146888010	146888022	-	0.000	0.000	Merged-chr2-146888107-12
NR65822--MA0741.1.KLF16	chr9	106453711	106453721	-	0.000	0.000	Merged-chr9-106453760-51
NR63535--MA0599.1.KLF5	chr9	21288117	21288126	+	0.000	0.000	Merged-chr9-21288037-93
NR10770--MA0039.3.KLF4	chr11	90576517	90576527	-	0.000	0.000	Merged-chr11-90576690-20
NR2671--MA0742.1.Klf12	chr1	151686867	151686881	+	0.000	0.000	Merged-chr1-151686910-2
NR63320--MA0599.1.KLF5	chr8	128654935	128654944	-	0.000	0.000	Merged-chr8-128654839-29
NR7928--MA0741.1.KLF16	chr10	121781431	121781441	-	0.000	0.000	Merged-chr10-121781382-29
NR44755--MA0039.3.KLF4	chr4	133122399	133122409	-	0.000	0.000	Merged-chr4-133122243-22
NR48233--MA1107.1.KLF9	chr5	96162627	96162639	-	0.000	0.000	Merged-chr5-96162542-132
NR18456--MA0493.1.Klf1	chr14	25862038	25862048	-	0.000	0.000	Merged-chr14-25862098-51
NR5311--MA0741.1.KLF16	chr10	40302254	40302264	+	0.000	0.000	Merged-chr10-40302446-33
NR2195--MA0742.1.Klf12	chr1	132007335	132007349	-	0.000	0.000	Merged-chr1-132007424-3
NR27323--MA0741.1.KLF16	chr17	47925435	47925445	-	0.000	0.000	Merged-chr17-47925435-1
NR53239--MA0039.3.KLF4	chr6	91124873	91124883	-	0.000	0.000	Merged-chr6-91125010-35
NR29259--MA0599.1.KLF5	chr18	36793791	36793800	-	0.000	0.000	Merged-chr18-36793880-47
NR25372--MA0741.1.KLF16	chr16	95702389	95702399	+	0.000	0.000	Merged-chr16-95702377-100
NR3631--MA0741.1.KLF16	chr1	171916126	171916136	+	0.000	0.000	Merged-chr1-171916002-44
NR17707--MA0599.1.KLF5	chr13	112800832	112800841	-	0.000	0.000	Merged-chr13-112800923-90
NR30397--MA1107.1.KLF9	chr18	79092867	79092879	+	0.000	0.000	Merged-chr18-79092831-54
NR41956--MA1107.1.KLF9	chr4	32388034	32388046	+	0.000	0.000	Merged-chr4-32387941-10
NR33444--MA0599.1.KLF5	chr2	34372762	34372771	-	0.000	0.000	Merged-chr2-34372536-117
NR33218--MA0740.1.KLF14	chr2	30658476	30658489	-	0.000	0.000	Merged-chr2-30658589-67
NR51899--MA0657.1.KLF13	chr6	37399078	37399095	+	0.000	0.000	Merged-chr6-37399175-29
NR34850--MA0039.3.KLF4	chr2	103657894	103657904	-	0.000	0.000	Merged-chr2-103657968-40
NR39826--MA0493.1.Klf1	chr3	107578036	107578046	-	0.000	0.000	Merged-chr3-107578034-11
NR26322--MA0740.1.KLF14	chr17	26932986	26932999	-	0.000	0.000	Merged-chr17-26933153-57
NR65920--MA0493.1.Klf1	chr9	107551417	107551427	+	0.000	0.000	Merged-chr9-107551360-55
NR26745--MA0657.1.KLF13	chr17	34850248	34850265	+	0.000	0.000	Merged-chr17-34850379-53
NR28187--MA0599.1.KLF5	chr17	80091956	80091965	-	0.000	0.000	Merged-chr17-80091984-12
NR42332--MA0741.1.KLF16	chr4	44301111	44301121	-	0.000	0.000	Merged-chr4-44301035-47
NR9931--MA0742.1.Klf12	chr11	70700178	70700192	-	0.000	0.000	Merged-chr11-70700400-67
NR45389--MA0741.1.KLF16	chr4	141793704	141793714	-	0.000	0.000	Merged-chr4-141793612-90
NR25119--MA0599.1.KLF5	chr16	91729084	91729093	-	0.000	0.000	Merged-chr16-91729013-92
NR19048--MA0741.1.KLF16	chr14	54517536	54517546	-	0.000	0.000	Merged-chr14-54517551-43
NR11311--MA0599.1.KLF5	chr11	102407519	102407528	+	0.000	0.000	Merged-chr11-102407562-21
NR24606--MA0742.1.Klf12	chr16	64873905	64873919	+	0.000	0.000	Merged-chr16-64873763-80
NR37338--MA0599.1.KLF5	chr2	173534751	173534760	-	0.000	0.000	Merged-chr2-173534788-40
NR63069--MA0742.1.Klf12	chr8	124663442	124663456	+	0.000	0.000	Merged-chr8-124663205-81
NR63986--MA1107.1.KLF9	chr9	42272664	42272676	+	0.000	0.000	Merged-chr9-42272782-11
NR32928--MA0742.1.Klf12	chr2	25095348	25095362	+	0.000	0.000	Merged-chr2-25095278-14
NR28286--MA0741.1.KLF16	chr17	83862738	83862748	+	0.000	0.000	Merged-chr17-83862747-3
NR9104--MA0493.1.Klf1	chr11	50174827	50174837	-	0.000	0.000	Merged-chr11-50174775-60
NR20087--MA0657.1.KLF13	chr14	103620077	103620094	-	0.000	0.000	Merged-chr14-103620031-34
NR12177--MA0742.1.Klf12	chr11	120190045	120190059	+	0.000	0.000	Merged-chr11-120189977-47
NR17613--MA0599.1.KLF5	chr13	110394994	110395003	+	0.000	0.000	Merged-chr13-110394904-109
NR30179--MA0599.1.KLF5	chr18	74294861	74294870	+	0.000	0.000	Merged-chr18-74294799-40
NR9651--MA0741.1.KLF16	chr11	62879559	62879569	-	0.000	0.000	Merged-chr11-62879529-68
NR21393--MA0741.1.KLF16	chr15	59525838	59525848	+	0.000	0.000	Merged-chr15-59525783-18
NR66717--MA0742.1.Klf12	chr9	121927097	121927111	-	0.000	0.000	Merged-chr9-121927207-38
NR63628--MA1107.1.KLF9	chr9	22155931	22155943	+	0.000	0.000	Merged-chr9-22155812-33
NR41186--MA1107.1.KLF9	chr3	146308447	146308459	+	0.000	0.000	Merged-chr3-146308303-21
NR28948--MA0657.1.KLF13	chr18	23987153	23987170	-	0.000	0.000	Merged-chr18-23987124-40
NR187--MA0493.1.Klf1	chr1	21079392	21079402	+	0.000	0.000	Merged-chr1-21079276-92
NR44535--MA0741.1.KLF16	chr4	129513535	129513545	+	0.000	0.000	Merged-chr4-129513609-16
NR34533--MA0741.1.KLF16	chr2	90625130	90625140	+	0.000	0.000	Merged-chr2-90625139-7
NR51987--MA0493.1.Klf1	chr6	41118642	41118652	+	0.000	0.000	Merged-chr6-41118606-52
NR47219--MA0039.3.KLF4	chr5	43422999	43423009	+	0.000	0.000	Merged-chr5-43423215-49
NR53066--MA0599.1.KLF5	chr6	87394989	87394998	+	0.000	0.000	Merged-chr6-87395104-19
NR34090--MA0493.1.Klf1	chr2	70559619	70559629	-	0.000	0.000	Merged-chr2-70559550-15
NR27719--MA0493.1.Klf1	chr17	65546323	65546333	+	0.000	0.000	Merged-chr17-65546399-18
NR19776--MA0741.1.KLF16	chr14	76414904	76414914	+	0.000	0.000	Merged-chr14-76414870-149
NR39509--MA0740.1.KLF14	chr3	100969699	100969712	+	0.000	0.000	Merged-chr3-100969599-56
NR2747--MA0599.1.KLF5	chr1	153304279	153304288	+	0.000	0.000	Merged-chr1-153304263-23
NR44900--MA0599.1.KLF5	chr4	134787078	134787087	-	0.000	0.000	Merged-chr4-134787167-34
NR56658--MA0599.1.KLF5	chr7	35802634	35802643	+	0.000	0.000	Merged-chr7-35802824-62
NR48352--MA0741.1.KLF16	chr5	100039960	100039970	+	0.000	0.000	Merged-chr5-100039874-12
NR22766--MA0657.1.KLF13	chr15	94566099	94566116	+	0.000	0.000	Merged-chr15-94566031-29
NR53022--MA0657.1.KLF13	chr6	86397183	86397200	+	0.000	0.000	Merged-chr6-86397021-74
NR40451--MA0599.1.KLF5	chr3	129533712	129533721	+	0.000	0.000	Merged-chr3-129533518-164
NR25547--MA0741.1.KLF16	chr17	4908418	4908428	-	0.000	0.000	Merged-chr17-4908313-79
NR15411--MA0742.1.Klf12	chr13	34002807	34002821	-	0.000	0.000	Merged-chr13-34002683-127
NR4517--MA0741.1.KLF16	chr1	192092621	192092631	-	0.000	0.000	Merged-chr1-192092599-105
NR62298--MA0740.1.KLF14	chr8	111522260	111522273	+	0.000	0.000	Merged-chr8-111522128-54
NR6458--MA0742.1.Klf12	chr10	79959910	79959924	+	0.000	0.000	Merged-chr10-79960055-51
NR42441--MA0741.1.KLF16	chr4	46404271	46404281	+	0.000	0.000	Merged-chr4-46404308-42
NR11314--MA0741.1.KLF16	chr11	102407540	102407550	+	0.000	0.000	Merged-chr11-102407562-21
NR23981--MA1107.1.KLF9	chr16	32914457	32914469	-	0.000	0.000	Merged-chr16-32914306-67
NR41715--MA0493.1.Klf1	chr4	9669124	9669134	+	0.000	0.000	Merged-chr4-9669090-69
NR11404--MA1107.1.KLF9	chr11	104599954	104599966	-	0.000	0.000	Merged-chr11-104599870-16
NR58018--MA0493.1.Klf1	chr7	99381400	99381410	+	0.000	0.000	Merged-chr7-99381387-71
NR37296--MA0657.1.KLF13	chr2	173021879	173021896	-	0.000	0.000	Merged-chr2-173022060-54
NR30554--MA0741.1.KLF16	chr18	82607598	82607608	+	0.000	0.000	Merged-chr18-82607647-23
NR47315--MA0742.1.Klf12	chr5	53267062	53267076	+	0.000	0.000	Merged-chr5-53267220-63
NR24715--MA0742.1.Klf12	chr16	75920988	75921002	-	0.000	0.000	Merged-chr16-75921068-56
NR17706--MA1107.1.KLF9	chr13	112792088	112792100	-	0.000	0.000	Merged-chr13-112792096-28
NR35259--MA0740.1.KLF14	chr2	119972334	119972347	+	0.000	0.000	Merged-chr2-119972481-49
NR28285--MA0493.1.Klf1	chr17	83862737	83862747	+	0.000	0.000	Merged-chr17-83862747-3
NR8302--MA0740.1.KLF14	chr11	3290452	3290465	-	0.000	0.000	Merged-chr11-3290410-152
NR56531--MA0741.1.KLF16	chr7	30717591	30717601	+	0.000	0.000	Merged-chr7-30717543-30
NR33931--MA0741.1.KLF16	chr2	61655632	61655642	+	0.000	0.000	Merged-chr2-61655630-19
NR67232--MA0599.1.KLF5	chrX	38635165	38635174	-	0.000	0.000	Merged-chrX-38635204-84
NR35157--MA0742.1.Klf12	chr2	118544308	118544322	+	0.000	0.000	Merged-chr2-118544423-30
NR31980--MA0741.1.KLF16	chr19	47356633	47356643	-	0.000	0.000	Merged-chr19-47356691-46
NR5569--MA0599.1.KLF5	chr10	50898061	50898070	+	0.000	0.000	Merged-chr10-50897905-2
NR46324--MA0741.1.KLF16	chr4	156235964	156235974	-	0.000	0.000	Merged-chr4-156236095-69
NR27536--MA0599.1.KLF5	chr17	56425193	56425202	-	0.000	0.000	Merged-chr17-56425045-2
NR48382--MA0599.1.KLF5	chr5	100719757	100719766	+	0.000	0.000	Merged-chr5-100719694-58
NR55291--MA0741.1.KLF16	chr6	146642504	146642514	+	0.000	0.000	Merged-chr6-146642604-68
NR35180--MA0493.1.Klf1	chr2	119157054	119157064	-	0.000	0.000	Merged-chr2-119156876-75
NR3980--MA0599.1.KLF5	chr1	180850808	180850817	-	0.000	0.000	Merged-chr1-180850855-72
NR58497--MA0493.1.Klf1	chr7	112679301	112679311	+	0.000	0.000	Merged-chr7-112679423-49
NR47035--MA0741.1.KLF16	chr5	34949282	34949292	+	0.000	0.000	Merged-chr5-34949325-82
NR27270--MA0741.1.KLF16	chr17	47629542	47629552	-	0.000	0.000	Merged-chr17-47629585-70
NR42759--MA0741.1.KLF16	chr4	57956427	57956437	+	0.000	0.000	Merged-chr4-57956340-134
NR26473--MA0599.1.KLF5	chr17	28952396	28952405	-	0.000	0.000	Merged-chr17-28952382-67
NR32596--MA0599.1.KLF5	chr2	6391454	6391463	+	0.000	0.000	Merged-chr2-6391519-10
NR40544--MA1107.1.KLF9	chr3	131250502	131250514	+	0.000	0.000	Merged-chr3-131250529-24
NR20358--MA1107.1.KLF9	chr14	118982656	118982668	+	0.000	0.000	Merged-chr14-118982661-72
NR32877--MA0657.1.KLF13	chr2	21205618	21205635	+	0.000	0.000	Merged-chr2-21205632-118
NR58019--MA0741.1.KLF16	chr7	99381413	99381423	-	0.000	0.000	Merged-chr7-99381387-71
NR23068--MA1107.1.KLF9	chr15	100683156	100683168	+	0.000	0.000	Merged-chr15-100683235-12
NR25385--MA0741.1.KLF16	chr16	95821066	95821076	-	0.000	0.000	Merged-chr16-95821218-29
NR35704--MA0493.1.Klf1	chr2	132643404	132643414	+	0.000	0.000	Merged-chr2-132643452-47
NR50589--MA0599.1.KLF5	chr5	139380623	139380632	-	0.000	0.000	Merged-chr5-139380615-34
NR66017--MA0599.1.KLF5	chr9	109038590	109038599	-	0.000	0.000	Merged-chr9-109038704-45
NR64292--MA0740.1.KLF14	chr9	54863574	54863587	+	0.000	0.000	Merged-chr9-54863802-64
NR48700--MA0740.1.KLF14	chr5	107597690	107597703	+	0.000	0.000	Merged-chr5-107597762-77
NR33436--MA0740.1.KLF14	chr2	34139871	34139884	-	0.000	0.000	Merged-chr2-34139840-30
NR30864--MA0599.1.KLF5	chr19	4397150	4397159	+	0.000	0.000	Merged-chr19-4397378-102
NR4478--MA1107.1.KLF9	chr1	191802745	191802757	-	0.000	0.000	Merged-chr1-191802759-25
NR36845--MA0741.1.KLF16	chr2	165326640	165326650	+	0.000	0.000	Merged-chr2-165326643-68
NR23105--MA0741.1.KLF16	chr15	100914885	100914895	+	0.000	0.000	Merged-chr15-100915024-15
NR43607--MA0742.1.Klf12	chr4	107196648	107196662	+	0.000	0.000	Merged-chr4-107196669-22
NR4600--MA0599.1.KLF5	chr1	193035779	193035788	-	0.000	0.000	Merged-chr1-193035808-62
NR872--MA0493.1.Klf1	chr1	60760046	60760056	+	0.000	0.000	Merged-chr1-60759981-20
NR62315--MA0493.1.Klf1	chr8	111643951	111643961	+	0.000	0.000	Merged-chr8-111643802-110
NR20578--MA0493.1.Klf1	chr14	122104962	122104972	+	0.000	0.000	Merged-chr14-122105066-47
NR2199--MA0741.1.KLF16	chr1	132007608	132007618	-	0.000	0.000	Merged-chr1-132007424-3
NR61023--MA1107.1.KLF9	chr8	69121472	69121484	+	0.000	0.000	Merged-chr8-69121589-50
NR42345--MA0741.1.KLF16	chr4	44672859	44672869	+	0.000	0.000	Merged-chr4-44672853-18
NR55214--MA0741.1.KLF16	chr6	145002404	145002414	-	0.000	0.000	Merged-chr6-145002461-23
NR12180--MA0039.3.KLF4	chr11	120316347	120316357	-	0.000	0.000	Merged-chr11-120316357-56
NR37048--MA0740.1.KLF14	chr2	168741429	168741442	+	0.000	0.000	Merged-chr2-168741453-11
NR22975--MA0740.1.KLF14	chr15	99295079	99295092	-	0.000	0.000	Merged-chr15-99295026-65
NR27761--MA0740.1.KLF14	chr17	65951265	65951278	+	0.000	0.000	Merged-chr17-65951140-56
NR37319--MA0740.1.KLF14	chr2	173205041	173205054	-	0.000	0.000	Merged-chr2-173204995-14
NR3501--MA0741.1.KLF16	chr1	167339596	167339606	-	0.000	0.000	Merged-chr1-167339598-12
NR66766--MA0740.1.KLF14	chr9	122294564	122294577	-	0.000	0.000	Merged-chr9-122294367-85
NR37468--MA0599.1.KLF5	chr2	178715571	178715580	-	0.000	0.000	Merged-chr2-178715719-2
NR29150--MA0039.3.KLF4	chr18	34777630	34777640	+	0.000	0.000	Merged-chr18-34777280-100
NR48136--MA0599.1.KLF5	chr5	92675294	92675303	-	0.000	0.000	Merged-chr5-92675540-55
NR40317--MA0599.1.KLF5	chr3	123267404	123267413	+	0.000	0.000	Merged-chr3-123267512-110
NR23660--MA0599.1.KLF5	chr16	20498769	20498778	-	0.000	0.000	Merged-chr16-20498882-53
NR28299--MA0741.1.KLF16	chr17	84028779	84028789	-	0.000	0.000	Merged-chr17-84028767-42
NR1345--MA0741.1.KLF16	chr1	84839291	84839301	+	0.000	0.000	Merged-chr1-84839421-169
NR9369--MA0599.1.KLF5	chr11	57791233	57791242	+	0.000	0.000	Merged-chr11-57791276-17
NR60709--MA0599.1.KLF5	chr8	46617390	46617399	-	0.000	0.000	Merged-chr8-46617433-87
NR28965--MA1107.1.KLF9	chr18	24530147	24530159	+	0.000	0.000	Merged-chr18-24530070-76
NR51720--MA0742.1.Klf12	chr6	29474062	29474076	+	0.000	0.000	Merged-chr6-29474137-48
NR29080--MA0599.1.KLF5	chr18	33463960	33463969	-	0.000	0.000	Merged-chr18-33464031-50
NR62794--MA0493.1.Klf1	chr8	121591461	121591471	-	0.000	0.000	Merged-chr8-121591458-17
NR23517--MA0599.1.KLF5	chr16	14705833	14705842	+	0.000	0.000	Merged-chr16-14705734-55
NR67353--MA0741.1.KLF16	chrX	56609829	56609839	-	0.000	0.000	Merged-chrX-56609887-66
NR40441--MA1107.1.KLF9	chr3	129324218	129324230	-	0.000	0.000	Merged-chr3-129324263-3
NR13626--MA0741.1.KLF16	chr12	84114231	84114241	-	0.000	0.000	Merged-chr12-84114389-28
NR34275--MA0741.1.KLF16	chr2	74715983	74715993	-	0.000	0.000	Merged-chr2-74715988-27
NR26019--MA0741.1.KLF16	chr17	21617543	21617553	-	0.000	0.000	Merged-chr17-21617473-39
NR26012--MA0599.1.KLF5	chr17	21535509	21535518	-	0.000	0.000	Merged-chr17-21535383-93
NR62806--MA0740.1.KLF14	chr8	121898638	121898651	-	0.000	0.000	Merged-chr8-121898554-47
NR36963--MA0742.1.Klf12	chr2	167503395	167503409	+	0.000	0.000	Merged-chr2-167503343-74
NR11199--MA0741.1.KLF16	chr11	101082555	101082565	+	0.000	0.000	Merged-chr11-101082516-61
NR55031--MA0599.1.KLF5	chr6	142891592	142891601	+	0.000	0.000	Merged-chr6-142891615-20
NR32292--MA0740.1.KLF14	chr19	57360918	57360931	+	0.000	0.000	Merged-chr19-57361016-100
NR52517--MA1107.1.KLF9	chr6	59250573	59250585	-	0.000	0.000	Merged-chr6-59250719-6
NR51759--MA0493.1.Klf1	chr6	29985253	29985263	+	0.000	0.000	Merged-chr6-29985377-50
