#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR18901--MA1107.1.KLF9	chr13	107700679	107700691	-	0.000	0.000	Merged-chr13-107700458-32
NR35818--MA0741.1.KLF16	chr2	26566276	26566286	+	0.000	0.000	Merged-chr2-26566393-14
NR10330--MA0741.1.KLF16	chr11	32011962	32011972	+	0.000	0.000	Merged-chr11-32012025-22
NR15240--MA0740.1.KLF14	chr12	98920599	98920612	+	0.000	0.000	Merged-chr12-98920565-69
NR61856--MA0740.1.KLF14	chr7	141064324	141064337	+	0.000	0.000	Merged-chr7-141064290-23
NR6764--MA0599.1.KLF5	chr10	60831664	60831673	-	0.000	0.000	Merged-chr10-60831602-50
NR61483--MA0599.1.KLF5	chr7	127393658	127393667	-	0.000	0.000	Merged-chr7-127393642-77
NR36258--MA0741.1.KLF16	chr2	35256328	35256338	+	0.000	0.000	Merged-chr2-35256428-53
NR58346--MA0039.3.KLF4	chr7	16950238	16950248	-	0.000	0.000	Merged-chr7-16950305-32
NR20912--MA0599.1.KLF5	chr14	55585298	55585307	+	0.000	0.000	Merged-chr14-55585401-57
NR26971--MA0741.1.KLF16	chr16	58408450	58408460	-	0.000	0.000	Merged-chr16-58408576-68
NR64399--MA0599.1.KLF5	chr8	94602070	94602079	+	0.000	0.000	Merged-chr8-94601994-74
NR17705--MA0599.1.KLF5	chr13	74208607	74208616	+	0.000	0.000	Merged-chr13-74208762-59
NR11107--MA0741.1.KLF16	chr11	69266484	69266494	+	0.000	0.000	Merged-chr11-69266485-18
NR50761--MA0741.1.KLF16	chr5	57714981	57714991	-	0.000	0.000	Merged-chr5-57715009-24
NR65904--MA1107.1.KLF9	chr9	22467474	22467486	+	0.000	0.000	Merged-chr9-22467397-3
NR55671--MA0740.1.KLF14	chr6	81965972	81965985	-	0.000	0.000	Merged-chr6-81965824-61
NR57298--MA0657.1.KLF13	chr6	134183956	134183973	+	0.000	0.000	Merged-chr6-134184108-53
NR52507--MA0741.1.KLF16	chr5	118661942	118661952	+	0.000	0.000	Merged-chr5-118661904-17
NR2056--MA0740.1.KLF14	chr1	93754892	93754905	+	0.000	0.000	Merged-chr1-93754706-110
NR29330--MA0740.1.KLF14	chr17	33955705	33955718	-	0.000	0.000	Merged-chr17-33955836-55
NR47415--MA0740.1.KLF14	chr4	107923618	107923631	+	0.000	0.000	Merged-chr4-107923581-50
NR11080--MA0493.1.Klf1	chr11	69063615	69063625	+	0.000	0.000	Merged-chr11-69063631-1
NR29996--MA0740.1.KLF14	chr17	56290605	56290618	+	0.000	0.000	Merged-chr17-56290726-100
NR58267--MA0599.1.KLF5	chr7	16129681	16129690	+	0.000	0.000	Merged-chr7-16129723-14
NR11276--MA0039.3.KLF4	chr11	74770735	74770745	+	0.000	0.000	Merged-chr11-74770874-53
NR42495--MA0742.1.Klf12	chr3	88832610	88832624	+	0.000	0.000	Merged-chr3-88832556-26
NR34182--MA0493.1.Klf1	chr19	17394007	17394017	-	0.000	0.000	Merged-chr19-17394129-66
NR61116--MA0599.1.KLF5	chr7	114817508	114817517	+	0.000	0.000	Merged-chr7-114817676-52
NR4480--MA1107.1.KLF9	chr1	177259018	177259030	+	0.000	0.000	Merged-chr1-177259021-1
NR1627--MA1107.1.KLF9	chr1	77180747	77180759	-	0.000	0.000	Merged-chr1-77180611-2
NR62532--MA0493.1.Klf1	chr8	22757685	22757695	+	0.000	0.000	Merged-chr8-22757594-30
NR17341--MA0742.1.Klf12	chr13	63552684	63552698	+	0.000	0.000	Merged-chr13-63552773-18
NR69490--MA0740.1.KLF14	chrX	152016298	152016311	-	0.000	0.000	Merged-chrX-152016475-78
NR31773--MA0741.1.KLF16	chr18	24309579	24309589	-	0.000	0.000	Merged-chr18-24309700-12
NR34093--MA0599.1.KLF5	chr19	10018138	10018147	-	0.000	0.000	Merged-chr19-10018255-26
NR47908--MA0599.1.KLF5	chr4	124802597	124802606	-	0.000	0.000	Merged-chr4-124802418-73
NR6740--MA0039.3.KLF4	chr10	60191940	60191950	+	0.000	0.000	Merged-chr10-60191930-38
NR18301--MA0741.1.KLF16	chr13	91882294	91882304	-	0.000	0.000	Merged-chr13-91882258-26
NR14583--MA0599.1.KLF5	chr12	76324859	76324868	-	0.000	0.000	Merged-chr12-76324931-27
NR60259--MA0599.1.KLF5	chr7	80535205	80535214	+	0.000	0.000	Merged-chr7-80535254-6
NR41283--MA0493.1.Klf1	chr3	36613427	36613437	+	0.000	0.000	Merged-chr3-36613405-48
NR8589--MA1107.1.KLF9	chr10	108301066	108301078	+	0.000	0.000	Merged-chr10-108301034-32
NR3006--MA0493.1.Klf1	chr1	135540464	135540474	+	0.000	0.000	Merged-chr1-135540528-29
NR42757--MA0741.1.KLF16	chr3	96104714	96104724	-	0.000	0.000	Merged-chr3-96104770-89
NR5051--MA0741.1.KLF16	chr1	192763124	192763134	+	0.000	0.000	Merged-chr1-192763108-53
NR65349--MA1107.1.KLF9	chr8	124022148	124022160	+	0.000	0.000	Merged-chr8-124022219-1
NR64170--MA0493.1.Klf1	chr8	84952978	84952988	+	0.000	0.000	Merged-chr8-84952961-19
NR36115--MA1107.1.KLF9	chr2	32553886	32553898	-	0.000	0.000	Merged-chr2-32553962-47
NR2477--MA0742.1.Klf12	chr1	119151859	119151873	-	0.000	0.000	Merged-chr1-119151846-1
NR9371--MA0599.1.KLF5	chr10	127060328	127060337	+	0.000	0.000	Merged-chr10-127060313-39
NR46293--MA1107.1.KLF9	chr4	57813456	57813468	-	0.000	0.000	Merged-chr4-57813680-42
NR37607--MA0741.1.KLF16	chr2	90917697	90917707	+	0.000	0.000	Merged-chr2-90917717-75
NR12851--MA0599.1.KLF5	chr11	117302029	117302038	-	0.000	0.000	Merged-chr11-117302059-32
NR40206--MA0741.1.KLF16	chr2	172976702	172976712	-	0.000	0.000	Merged-chr2-172976797-9
NR4262--MA0599.1.KLF5	chr1	172521065	172521074	-	0.000	0.000	Merged-chr1-172520957-77
NR61102--MA0493.1.Klf1	chr7	114276156	114276166	+	0.000	0.000	Merged-chr7-114276213-86
NR27860--MA0493.1.Klf1	chr16	91647765	91647775	-	0.000	0.000	Merged-chr16-91647943-8
NR35953--MA0599.1.KLF5	chr2	30286336	30286345	+	0.000	0.000	Merged-chr2-30286345-59
NR25449--MA0741.1.KLF16	chr15	102257634	102257644	-	0.000	0.000	Merged-chr15-102257531-48
NR9013--MA0599.1.KLF5	chr10	118370588	118370597	+	0.000	0.000	Merged-chr10-118370616-31
NR47002--MA0039.3.KLF4	chr4	87669662	87669672	+	0.000	0.000	Merged-chr4-87669731-33
NR43010--MA1107.1.KLF9	chr3	103780588	103780600	+	0.000	0.000	Merged-chr3-103780443-3
NR45177--MA0493.1.Klf1	chr4	11007762	11007772	+	0.000	0.000	Merged-chr4-11007928-2
NR56736--MA0493.1.Klf1	chr6	116264122	116264132	+	0.000	0.000	Merged-chr6-116264225-57
NR61904--MA0599.1.KLF5	chr7	141361807	141361816	+	0.000	0.000	Merged-chr7-141361701-19
NR67765--MA0741.1.KLF16	chr9	102866994	102867004	+	0.000	0.000	Merged-chr9-102867048-29
NR15313--MA0742.1.Klf12	chr12	101718628	101718642	+	0.000	0.000	Merged-chr12-101718493-65
NR39473--MA0741.1.KLF16	chr2	154570005	154570015	-	0.000	0.000	Merged-chr2-154570093-4
NR24160--MA1107.1.KLF9	chr15	76368851	76368863	+	0.000	0.000	Merged-chr15-76369030-46
NR60235--MA0039.3.KLF4	chr7	80294316	80294326	+	0.000	0.000	Merged-chr7-80294519-58
NR26128--MA0740.1.KLF14	chr16	20695923	20695936	-	0.000	0.000	Merged-chr16-20696066-20
NR49768--MA0742.1.Klf12	chr5	20470567	20470581	-	0.000	0.000	Merged-chr5-20470671-36
NR68660--MA0599.1.KLF5	chrX	20662884	20662893	-	0.000	0.000	Merged-chrX-20662999-43
NR40655--MA0599.1.KLF5	chr3	10013169	10013178	-	0.000	0.000	Merged-chr3-10012893-114
NR37859--MA0741.1.KLF16	chr2	103073688	103073698	+	0.000	0.000	Merged-chr2-103073644-68
NR11084--MA1107.1.KLF9	chr11	69063619	69063631	+	0.000	0.000	Merged-chr11-69063631-1
NR36236--MA1107.1.KLF9	chr2	34802257	34802269	-	0.000	0.000	Merged-chr2-34802496-68
NR69247--MA0039.3.KLF4	chrX	113298190	113298200	-	0.000	0.000	Merged-chrX-113298172-75
NR22915--MA0741.1.KLF16	chr15	25269716	25269726	-	0.000	0.000	Merged-chr15-25269773-79
NR43150--MA0599.1.KLF5	chr3	107036237	107036246	-	0.000	0.000	Merged-chr3-107036261-59
NR405--MA0599.1.KLF5	chr1	21079234	21079243	+	0.000	0.000	Merged-chr1-21079276-92
NR11966--MA1107.1.KLF9	chr11	96777439	96777451	+	0.000	0.000	Merged-chr11-96777630-53
NR59338--MA1107.1.KLF9	chr7	43423505	43423517	-	0.000	0.000	Merged-chr7-43423415-58
NR63881--MA1107.1.KLF9	chr8	75071847	75071859	+	0.000	0.000	Merged-chr8-75071889-52
NR28265--MA0740.1.KLF14	chr17	6601742	6601755	-	0.000	0.000	Merged-chr17-6601656-57
NR46226--MA0741.1.KLF16	chr4	55349918	55349928	+	0.000	0.000	Merged-chr4-55350108-108
NR44275--MA0741.1.KLF16	chr3	144412966	144412976	+	0.000	0.000	Merged-chr3-144412864-41
NR25567--MA0742.1.Klf12	chr16	5352442	5352456	-	0.000	0.000	Merged-chr16-5352310-61
NR6319--MA0740.1.KLF14	chr10	42849025	42849038	-	0.000	0.000	Merged-chr10-42848913-29
NR67146--MA0741.1.KLF16	chr9	78489199	78489209	+	0.000	0.000	Merged-chr9-78489122-54
NR58285--MA0599.1.KLF5	chr7	16286440	16286449	+	0.000	0.000	Merged-chr7-16286295-136
NR20020--MA1107.1.KLF9	chr14	22686336	22686348	+	0.000	0.000	Merged-chr14-22686265-1
NR37900--MA0599.1.KLF5	chr2	105399263	105399272	+	0.000	0.000	Merged-chr2-105399263-98
NR61688--MA1107.1.KLF9	chr7	135669486	135669498	+	0.000	0.000	Merged-chr7-135669447-32
NR49658--MA0599.1.KLF5	chr5	17064669	17064678	+	0.000	0.000	Merged-chr5-17064479-1
NR43337--MA1107.1.KLF9	chr3	116424259	116424271	-	0.000	0.000	Merged-chr3-116424067-206
NR29051--MA0599.1.KLF5	chr17	27652221	27652230	-	0.000	0.000	Merged-chr17-27652291-8
NR13116--MA0740.1.KLF14	chr12	4841448	4841461	+	0.000	0.000	Merged-chr12-4841599-31
NR57112--MA0740.1.KLF14	chr6	127566597	127566610	+	0.000	0.000	Merged-chr6-127566523-22
NR42293--MA0599.1.KLF5	chr3	81102428	81102437	-	0.000	0.000	Merged-chr3-81102418-9
NR61810--MA0599.1.KLF5	chr7	140116526	140116535	-	0.000	0.000	Merged-chr7-140116362-57
NR9801--MA0599.1.KLF5	chr11	7145353	7145362	-	0.000	0.000	Merged-chr11-7145371-54
NR60377--MA0740.1.KLF14	chr7	83892196	83892209	-	0.000	0.000	Merged-chr7-83892094-68
NR60648--MA0740.1.KLF14	chr7	97878023	97878036	-	0.000	0.000	Merged-chr7-97878127-12
NR55556--MA1107.1.KLF9	chr6	72097574	72097586	+	0.000	0.000	Merged-chr6-72097676-68
NR26322--MA1107.1.KLF9	chr16	28829288	28829300	+	0.000	0.000	Merged-chr16-28829477-1
NR28489--MA0493.1.Klf1	chr17	12318848	12318858	-	0.000	0.000	Merged-chr17-12318588-111
NR55703--MA0740.1.KLF14	chr6	82773613	82773626	-	0.000	0.000	Merged-chr6-82773565-31
NR53579--MA0741.1.KLF16	chr5	140389371	140389381	+	0.000	0.000	Merged-chr5-140389352-56
NR28264--MA0039.3.KLF4	chr17	6601577	6601587	+	0.000	0.000	Merged-chr17-6601656-57
NR14813--MA0740.1.KLF14	chr12	84409017	84409030	+	0.000	0.000	Merged-chr12-84409124-8
NR61506--MA0741.1.KLF16	chr7	127512282	127512292	+	0.000	0.000	Merged-chr7-127512446-128
NR14538--MA0493.1.Klf1	chr12	73647844	73647854	-	0.000	0.000	Merged-chr12-73647879-51
NR48429--MA0741.1.KLF16	chr4	135920736	135920746	-	0.000	0.000	Merged-chr4-135920669-69
NR1200--MA0741.1.KLF16	chr1	59912744	59912754	+	0.000	0.000	Merged-chr1-59912549-1
NR53148--MA1107.1.KLF9	chr5	134507454	134507466	-	0.000	0.000	Merged-chr5-134507549-21
NR66043--MA0742.1.Klf12	chr9	31280525	31280539	+	0.000	0.000	Merged-chr9-31280621-156
NR65161--MA1107.1.KLF9	chr8	121578153	121578165	+	0.000	0.000	Merged-chr8-121578320-1
NR34715--MA0493.1.Klf1	chr19	46039695	46039705	+	0.000	0.000	Merged-chr19-46039779-63
NR4565--MA0039.3.KLF4	chr1	180279810	180279820	+	0.000	0.000	Merged-chr1-180279893-43
NR23007--MA0741.1.KLF16	chr15	27796586	27796596	+	0.000	0.000	Merged-chr15-27796764-17
NR67003--MA0741.1.KLF16	chr9	72962113	72962123	+	0.000	0.000	Merged-chr9-72962077-55
NR69144--MA0039.3.KLF4	chrX	99136008	99136018	-	0.000	0.000	Merged-chrX-99136067-62
NR23752--MA0599.1.KLF5	chr15	58141256	58141265	+	0.000	0.000	Merged-chr15-58141388-72
NR37345--MA0599.1.KLF5	chr2	77280529	77280538	+	0.000	0.000	Merged-chr2-77280729-98
NR26462--MA0599.1.KLF5	chr16	33584118	33584127	+	0.000	0.000	Merged-chr16-33584365-76
NR48013--MA0599.1.KLF5	chr4	128962503	128962512	+	0.000	0.000	Merged-chr4-128962566-44
NR55418--MA0493.1.Klf1	chr6	66535292	66535302	-	0.000	0.000	Merged-chr6-66535397-73
NR26668--MA0599.1.KLF5	chr16	45742985	45742994	-	0.000	0.000	Merged-chr16-45742884-57
NR11959--MA0740.1.KLF14	chr11	96777439	96777452	+	0.000	0.000	Merged-chr11-96777630-53
NR32021--MA0599.1.KLF5	chr18	34776870	34776879	-	0.000	0.000	Merged-chr18-34776840-4
NR9585--MA1107.1.KLF9	chr10	128940594	128940606	-	0.000	0.000	Merged-chr10-128940717-41
NR24704--MA0741.1.KLF16	chr15	84988063	84988073	+	0.000	0.000	Merged-chr15-84988046-80
NR64990--MA0599.1.KLF5	chr8	117802027	117802036	+	0.000	0.000	Merged-chr8-117802067-74
NR22482--MA0741.1.KLF16	chr14	121506455	121506465	-	0.000	0.000	Merged-chr14-121506609-7
NR34616--MA1107.1.KLF9	chr19	41981143	41981155	-	0.000	0.000	Merged-chr19-41981286-107
NR21559--MA0599.1.KLF5	chr14	84443429	84443438	+	0.000	0.000	Merged-chr14-84443299-57
NR10541--MA0493.1.Klf1	chr11	50388467	50388477	-	0.000	0.000	Merged-chr11-50388359-2
NR10676--MA0599.1.KLF5	chr11	54764901	54764910	-	0.000	0.000	Merged-chr11-54764987-17
NR7500--MA0742.1.Klf12	chr10	80226581	80226595	-	0.000	0.000	Merged-chr10-80226667-64
NR19136--MA0740.1.KLF14	chr13	113869383	113869396	-	0.000	0.000	Merged-chr13-113869470-43
NR22965--MA0039.3.KLF4	chr15	25817297	25817307	-	0.000	0.000	Merged-chr15-25817272-36
NR58888--MA0741.1.KLF16	chr7	28677345	28677355	-	0.000	0.000	Merged-chr7-28677170-43
NR27934--MA0740.1.KLF14	chr16	93780892	93780905	-	0.000	0.000	Merged-chr16-93780824-14
NR61487--MA0741.1.KLF16	chr7	127393657	127393667	-	0.000	0.000	Merged-chr7-127393642-77
NR32777--MA0742.1.Klf12	chr18	61726368	61726382	+	0.000	0.000	Merged-chr18-61726319-69
NR3493--MA0039.3.KLF4	chr1	151501043	151501053	+	0.000	0.000	Merged-chr1-151500785-93
NR4128--MA0599.1.KLF5	chr1	170147760	170147769	+	0.000	0.000	Merged-chr1-170147878-39
NR13108--MA0493.1.Klf1	chr12	4595215	4595225	+	0.000	0.000	Merged-chr12-4595269-5
NR48015--MA0741.1.KLF16	chr4	128962503	128962513	+	0.000	0.000	Merged-chr4-128962566-44
NR12817--MA0741.1.KLF16	chr11	116490354	116490364	+	0.000	0.000	Merged-chr11-116490389-61
NR33942--MA0741.1.KLF16	chr19	6057781	6057791	+	0.000	0.000	Merged-chr19-6057802-52
NR23193--MA0741.1.KLF16	chr15	35155791	35155801	-	0.000	0.000	Merged-chr15-35155762-73
NR46064--MA0741.1.KLF16	chr4	47011200	47011210	-	0.000	0.000	Merged-chr4-47011023-46
NR3699--MA0039.3.KLF4	chr1	156674356	156674366	+	0.000	0.000	Merged-chr1-156674255-139
NR10866--MA0741.1.KLF16	chr11	60699650	60699660	+	0.000	0.000	Merged-chr11-60699772-51
NR58715--MA0599.1.KLF5	chr7	25282174	25282183	-	0.000	0.000	Merged-chr7-25282176-85
NR59772--MA0740.1.KLF14	chr7	58569009	58569022	-	0.000	0.000	Merged-chr7-58568960-29
NR1518--MA0741.1.KLF16	chr1	74194701	74194711	+	0.000	0.000	Merged-chr1-74194579-2
NR31786--MA0741.1.KLF16	chr18	24603837	24603847	-	0.000	0.000	Merged-chr18-24603729-77
NR6428--MA0740.1.KLF14	chr10	50592681	50592694	+	0.000	0.000	Merged-chr10-50592743-76
NR41717--MA1107.1.KLF9	chr3	53259033	53259045	+	0.000	0.000	Merged-chr3-53259029-2
NR13152--MA1107.1.KLF9	chr12	8351293	8351305	-	0.000	0.000	Merged-chr12-8351458-49
NR18804--MA0599.1.KLF5	chr13	104286979	104286988	+	0.000	0.000	Merged-chr13-104286833-75
NR13019--MA0599.1.KLF5	chr11	120579936	120579945	+	0.000	0.000	Merged-chr11-120580081-9
NR39865--MA0599.1.KLF5	chr2	166031292	166031301	+	0.000	0.000	Merged-chr2-166031387-74
NR52311--MA0741.1.KLF16	chr5	113873341	113873351	-	0.000	0.000	Merged-chr5-113873174-24
NR7220--MA0741.1.KLF16	chr10	75517403	75517413	+	0.000	0.000	Merged-chr10-75517574-101
NR50360--MA0741.1.KLF16	chr5	38479287	38479297	-	0.000	0.000	Merged-chr5-38479243-15
NR42714--MA0599.1.KLF5	chr3	95434493	95434502	+	0.000	0.000	Merged-chr3-95434415-68
NR65846--MA0741.1.KLF16	chr9	21616191	21616201	-	0.000	0.000	Merged-chr9-21616115-78
NR2735--MA1107.1.KLF9	chr1	127796461	127796473	-	0.000	0.000	Merged-chr1-127796546-56
NR14651--MA0740.1.KLF14	chr12	78918349	78918362	-	0.000	0.000	Merged-chr12-78918469-28
NR29364--MA0493.1.Klf1	chr17	34287839	34287849	+	0.000	0.000	Merged-chr17-34287917-16
NR40100--MA0599.1.KLF5	chr2	170324280	170324289	-	0.000	0.000	Merged-chr2-170324293-28
NR10652--MA0039.3.KLF4	chr11	53891920	53891930	-	0.000	0.000	Merged-chr11-53891754-62
NR58745--MA0741.1.KLF16	chr7	25755283	25755293	+	0.000	0.000	Merged-chr7-25755433-131
NR66401--MA0741.1.KLF16	chr9	46012747	46012757	+	0.000	0.000	Merged-chr9-46012745-59
NR20725--MA0741.1.KLF16	chr14	51984694	51984704	-	0.000	0.000	Merged-chr14-51984849-36
NR69187--MA0741.1.KLF16	chrX	103616958	103616968	-	0.000	0.000	Merged-chrX-103616839-86
NR43206--MA0657.1.KLF13	chr3	108961718	108961735	-	0.000	0.000	Merged-chr3-108961882-10
NR10420--MA0740.1.KLF14	chr11	43681864	43681877	-	0.000	0.000	Merged-chr11-43682127-96
NR63747--MA1107.1.KLF9	chr8	71367448	71367460	+	0.000	0.000	Merged-chr8-71367350-68
NR36282--MA0740.1.KLF14	chr2	36049429	36049442	-	0.000	0.000	Merged-chr2-36049261-79
NR62770--MA0741.1.KLF16	chr8	34398001	34398011	+	0.000	0.000	Merged-chr8-34397971-66
NR64959--MA0599.1.KLF5	chr8	116978721	116978730	+	0.000	0.000	Merged-chr8-116978866-55
NR44352--MA0599.1.KLF5	chr3	146045219	146045228	-	0.000	0.000	Merged-chr3-146045142-29
NR38402--MA0742.1.Klf12	chr2	121807071	121807085	-	0.000	0.000	Merged-chr2-121807029-73
NR9423--MA0741.1.KLF16	chr10	127324749	127324759	+	0.000	0.000	Merged-chr10-127324653-45
NR26340--MA1107.1.KLF9	chr16	28829324	28829336	+	0.000	0.000	Merged-chr16-28829477-1
NR38098--MA1107.1.KLF9	chr2	114654709	114654721	-	0.000	0.000	Merged-chr2-114654748-80
NR7472--MA0741.1.KLF16	chr10	80039720	80039730	+	0.000	0.000	Merged-chr10-80039792-44
NR42229--MA0039.3.KLF4	chr3	79154221	79154231	-	0.000	0.000	Merged-chr3-79154119-9
NR13646--MA0742.1.Klf12	chr12	28649570	28649584	+	0.000	0.000	Merged-chr12-28649710-52
NR68870--MA0493.1.Klf1	chrX	53057255	53057265	+	0.000	0.000	Merged-chrX-53057240-46
NR50117--MA0599.1.KLF5	chr5	31048614	31048623	-	0.000	0.000	Merged-chr5-31048430-86
NR64049--MA1107.1.KLF9	chr8	83442677	83442689	-	0.000	0.000	Merged-chr8-83442554-54
NR22649--MA0599.1.KLF5	chr15	5244276	5244285	-	0.000	0.000	Merged-chr15-5244344-100
NR40676--MA0741.1.KLF16	chr3	10439630	10439640	-	0.000	0.000	Merged-chr3-10439565-1
NR59003--MA0493.1.Klf1	chr7	30321679	30321689	-	0.000	0.000	Merged-chr7-30321790-4
NR45733--MA0741.1.KLF16	chr4	40948352	40948362	+	0.000	0.000	Merged-chr4-40948225-82
NR63818--MA0741.1.KLF16	chr8	72135152	72135162	+	0.000	0.000	Merged-chr8-72135322-43
NR20599--MA0599.1.KLF5	chr14	46832053	46832062	+	0.000	0.000	Merged-chr14-46832058-73
NR53709--MA0599.1.KLF5	chr5	143269901	143269910	-	0.000	0.000	Merged-chr5-143269808-55
NR42826--MA0599.1.KLF5	chr3	97124356	97124365	-	0.000	0.000	Merged-chr3-97124449-32
NR17565--MA0740.1.KLF14	chr13	69611737	69611750	+	0.000	0.000	Merged-chr13-69611588-99
NR48124--MA0741.1.KLF16	chr4	129882825	129882835	+	0.000	0.000	Merged-chr4-129882961-57
NR28816--MA0493.1.Klf1	chr17	23599107	23599117	+	0.000	0.000	Merged-chr17-23599056-62
NR26480--MA0599.1.KLF5	chr16	33830255	33830264	-	0.000	0.000	Merged-chr16-33830098-50
NR67093--MA0741.1.KLF16	chr9	77683657	77683667	+	0.000	0.000	Merged-chr9-77683679-29
NR54100--MA0741.1.KLF16	chr6	6217149	6217159	+	0.000	0.000	Merged-chr6-6217012-81
NR39404--MA0599.1.KLF5	chr2	152735089	152735098	-	0.000	0.000	Merged-chr2-152735160-32
NR38654--MA0742.1.Klf12	chr2	128944004	128944018	+	0.000	0.000	Merged-chr2-128943911-57
NR4586--MA0740.1.KLF14	chr1	180548107	180548120	-	0.000	0.000	Merged-chr1-180548194-33
NR52420--MA0741.1.KLF16	chr5	115300992	115301002	+	0.000	0.000	Merged-chr5-115300886-74
NR67906--MA0741.1.KLF16	chr9	107340719	107340729	+	0.000	0.000	Merged-chr9-107340908-4
NR16194--MA0493.1.Klf1	chr13	12565832	12565842	-	0.000	0.000	Merged-chr13-12565989-76
NR10694--MA0599.1.KLF5	chr11	54936436	54936445	-	0.000	0.000	Merged-chr11-54936551-30
NR65909--MA1107.1.KLF9	chr9	22467491	22467503	+	0.000	0.000	Merged-chr9-22467397-3
NR20908--MA0599.1.KLF5	chr14	55478859	55478868	+	0.000	0.000	Merged-chr14-55479045-71
NR60471--MA0741.1.KLF16	chr7	89404264	89404274	+	0.000	0.000	Merged-chr7-89404144-109
NR55141--MA0599.1.KLF5	chr6	51432788	51432797	-	0.000	0.000	Merged-chr6-51432824-29
NR68619--MA1107.1.KLF9	chrX	13347125	13347137	+	0.000	0.000	Merged-chrX-13347316-78
NR57736--MA1107.1.KLF9	chr6	143832780	143832792	+	0.000	0.000	Merged-chr6-143832682-5
NR63859--MA1107.1.KLF9	chr8	72646460	72646472	+	0.000	0.000	Merged-chr8-72646411-1
NR47389--MA0599.1.KLF5	chr4	107178640	107178649	-	0.000	0.000	Merged-chr4-107178790-102
NR55686--MA1107.1.KLF9	chr6	81987081	81987093	+	0.000	0.000	Merged-chr6-81987223-26
NR58057--MA0599.1.KLF5	chr7	4964460	4964469	+	0.000	0.000	Merged-chr7-4964465-28
NR42847--MA0740.1.KLF14	chr3	97658170	97658183	-	0.000	0.000	Merged-chr3-97658299-79
NR1560--MA1107.1.KLF9	chr1	74854897	74854909	-	0.000	0.000	Merged-chr1-74854969-34
NR15230--MA0599.1.KLF5	chr12	98628096	98628105	-	0.000	0.000	Merged-chr12-98628210-48
NR45985--MA0741.1.KLF16	chr4	45464664	45464674	-	0.000	0.000	Merged-chr4-45464795-9
NR27900--MA0740.1.KLF14	chr16	93543749	93543762	+	0.000	0.000	Merged-chr16-93543852-28
NR13107--MA0039.3.KLF4	chr12	4595217	4595227	+	0.000	0.000	Merged-chr12-4595269-5
NR17249--MA0741.1.KLF16	chr13	59557397	59557407	-	0.000	0.000	Merged-chr13-59557232-89
NR9912--MA1107.1.KLF9	chr11	16558805	16558817	-	0.000	0.000	Merged-chr11-16558983-1
NR10327--MA0599.1.KLF5	chr11	31948624	31948633	+	0.000	0.000	Merged-chr11-31948537-8
NR12307--MA0741.1.KLF16	chr11	102248859	102248869	-	0.000	0.000	Merged-chr11-102248943-39
NR736--MA0493.1.Klf1	chr1	36920565	36920575	+	0.000	0.000	Merged-chr1-36920402-81
NR16987--MA0599.1.KLF5	chr13	51726487	51726496	+	0.000	0.000	Merged-chr13-51726299-41
NR14724--MA0742.1.Klf12	chr12	81781248	81781262	-	0.000	0.000	Merged-chr12-81781243-65
NR56303--MA0741.1.KLF16	chr6	99666819	99666829	+	0.000	0.000	Merged-chr6-99666817-4
NR44230--MA1107.1.KLF9	chr3	143863761	143863773	-	0.000	0.000	Merged-chr3-143863871-1
NR65291--MA1107.1.KLF9	chr8	123412927	123412939	-	0.000	0.000	Merged-chr8-123412748-15
NR17153--MA0039.3.KLF4	chr13	56197590	56197600	-	0.000	0.000	Merged-chr13-56197713-35
NR1995--MA0493.1.Klf1	chr1	91095350	91095360	-	0.000	0.000	Merged-chr1-91095433-53
NR11663--MA0599.1.KLF5	chr11	86484579	86484588	-	0.000	0.000	Merged-chr11-86484609-66
NR27430--MA1107.1.KLF9	chr16	76529896	76529908	-	0.000	0.000	Merged-chr16-76529943-9
NR44145--MA0741.1.KLF16	chr3	142881040	142881050	-	0.000	0.000	Merged-chr3-142881152-2
NR69499--MA0493.1.Klf1	chrX	152327577	152327587	+	0.000	0.000	Merged-chrX-152327497-47
NR39866--MA0741.1.KLF16	chr2	166031286	166031296	+	0.000	0.000	Merged-chr2-166031387-74
NR22527--MA1107.1.KLF9	chr14	121824529	121824541	-	0.000	0.000	Merged-chr14-121824841-29
NR37520--MA0741.1.KLF16	chr2	84727431	84727441	-	0.000	0.000	Merged-chr2-84727435-53
NR50121--MA0741.1.KLF16	chr5	31241283	31241293	-	0.000	0.000	Merged-chr5-31241193-89
NR24922--MA0741.1.KLF16	chr15	90224259	90224269	+	0.000	0.000	Merged-chr15-90224402-90
NR15646--MA0493.1.Klf1	chr12	112629101	112629111	-	0.000	0.000	Merged-chr12-112629266-49
NR29659--MA0741.1.KLF16	chr17	45686242	45686252	-	0.000	0.000	Merged-chr17-45686351-100
NR22971--MA0741.1.KLF16	chr15	25844962	25844972	+	0.000	0.000	Merged-chr15-25844896-23
