#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR63--MA0037.3.GATA3	chr1	54421814	54421821	+	0.000	0.000	Merged-chr1-54421982-33
NR7172--MA0766.1.GATA5	chr9	32706422	32706429	-	0.000	0.000	Merged-chr9-32706237-53
NR4133--MA0482.1.Gata4	chr2	103652312	103652322	+	0.000	0.000	Merged-chr2-103652335-51
NR568--MA1104.1.GATA6	chr1	191391468	191391480	-	0.000	0.000	Merged-chr1-191391579-39
NR3664--MA0035.3.Gata1	chr19	29067133	29067143	+	0.000	0.000	Merged-chr19-29067288-42
NR6148--MA1104.1.GATA6	chr6	128001276	128001288	-	0.000	0.000	Merged-chr6-128001424-1
NR7481--MA0035.3.Gata1	chr9	112174908	112174918	-	0.000	0.000	Merged-chr9-112174843-101
NR6697--MA0482.1.Gata4	chr7	122242432	122242442	+	0.000	0.000	Merged-chr7-122242556-28
NR2737--MA0482.1.Gata4	chr15	102296188	102296198	-	0.000	0.000	Merged-chr15-102296189-42
NR6462--MA1104.1.GATA6	chr7	79728346	79728358	-	0.000	0.000	Merged-chr7-79728407-21
NR1888--MA0035.3.Gata1	chr13	49188129	49188139	-	0.000	0.000	Merged-chr13-49188113-1
NR7590--MA0035.3.Gata1	chrX	11664674	11664684	+	0.000	0.000	Merged-chrX-11664686-45
NR3467--MA0036.3.GATA2	chr18	66502126	66502136	-	0.000	0.000	Merged-chr18-66502099-22
NR2099--MA0482.1.Gata4	chr13	104286092	104286102	+	0.000	0.000	Merged-chr13-104286151-10
NR5256--MA0036.3.GATA2	chr4	132040443	132040453	-	0.000	0.000	Merged-chr4-132040319-80
NR643--MA0037.3.GATA3	chr10	24291721	24291728	+	0.000	0.000	Merged-chr10-24291757-17
NR6199--MA0140.2.GATA1::TAL1	chr6	133960887	133960904	-	0.000	0.000	Merged-chr6-133960914-20
NR1277--MA0036.3.GATA2	chr11	98497544	98497554	+	0.000	0.000	Merged-chr11-98497586-22
NR7250--MA0036.3.GATA2	chr9	52259625	52259635	-	0.000	0.000	Merged-chr9-52259787-26
NR1437--MA0037.3.GATA3	chr12	32183055	32183062	-	0.000	0.000	Merged-chr12-32183013-17
NR3372--MA0035.3.Gata1	chr18	35776813	35776823	+	0.000	0.000	Merged-chr18-35776738-19
NR6034--MA0035.3.Gata1	chr6	98843187	98843197	+	0.000	0.000	Merged-chr6-98843089-22
NR3552--MA0766.1.GATA5	chr18	79353031	79353038	+	0.000	0.000	Merged-chr18-79353064-26
NR2767--MA1104.1.GATA6	chr16	18452421	18452433	-	0.000	0.000	Merged-chr16-18452480-18
NR5780--MA0035.3.Gata1	chr5	144277200	144277210	-	0.000	0.000	Merged-chr5-144277272-14
NR1203--MA0140.2.GATA1::TAL1	chr11	75573446	75573463	+	0.000	0.000	Merged-chr11-75573432-34
NR4381--MA0037.3.GATA3	chr2	152789714	152789721	+	0.000	0.000	Merged-chr2-152789536-78
NR1724--MA0035.3.Gata1	chr12	116177227	116177237	+	0.000	0.000	Merged-chr12-116177118-24
NR7340--MA0482.1.Gata4	chr9	78024981	78024991	+	0.000	0.000	Merged-chr9-78024957-31
NR669--MA1104.1.GATA6	chr10	28674110	28674122	+	0.000	0.000	Merged-chr10-28674060-27
NR7592--MA0482.1.Gata4	chrX	12007352	12007362	-	0.000	0.000	Merged-chrX-12007363-15
NR5793--MA0035.3.Gata1	chr5	147063477	147063487	+	0.000	0.000	Merged-chr5-147063758-85
NR1288--MA0037.3.GATA3	chr11	101604893	101604900	-	0.000	0.000	Merged-chr11-101604778-40
NR6454--MA1104.1.GATA6	chr7	78583901	78583913	+	0.000	0.000	Merged-chr7-78583930-15
NR3765--MA0035.3.Gata1	chr19	57079574	57079584	-	0.000	0.000	Merged-chr19-57079445-11
NR1999--MA0482.1.Gata4	chr13	90930170	90930180	+	0.000	0.000	Merged-chr13-90930019-46
NR3146--MA0035.3.Gata1	chr17	26532843	26532853	-	0.000	0.000	Merged-chr17-26532798-20
NR3440--MA0140.2.GATA1::TAL1	chr18	56455769	56455786	-	0.000	0.000	Merged-chr18-56455831-43
NR6292--MA1104.1.GATA6	chr7	6127300	6127312	-	0.000	0.000	Merged-chr7-6127268-44
NR6980--MA0035.3.Gata1	chr8	110846146	110846156	+	0.000	0.000	Merged-chr8-110845988-12
NR7486--MA0035.3.Gata1	chr9	112186686	112186696	+	0.000	0.000	Merged-chr9-112186441-37
NR7385--MA0036.3.GATA2	chr9	89842484	89842494	-	0.000	0.000	Merged-chr9-89842601-13
NR4291--MA0140.2.GATA1::TAL1	chr2	135963349	135963366	-	0.000	0.000	Merged-chr2-135963357-4
NR3109--MA0037.3.GATA3	chr17	13654911	13654918	+	0.000	0.000	Merged-chr17-13654932-70
NR330--MA0037.3.GATA3	chr1	151346963	151346970	-	0.000	0.000	Merged-chr1-151346878-17
NR2742--MA0140.2.GATA1::TAL1	chr16	5145741	5145758	+	0.000	0.000	Merged-chr16-5145744-25
NR2089--MA0036.3.GATA2	chr13	102906187	102906197	+	0.000	0.000	Merged-chr13-102906338-96
NR47--MA0037.3.GATA3	chr1	44101608	44101615	+	0.000	0.000	Merged-chr1-44101717-6
NR3382--MA0766.1.GATA5	chr18	38700838	38700845	-	0.000	0.000	Merged-chr18-38700911-27
NR3720--MA0482.1.Gata4	chr19	40477465	40477475	-	0.000	0.000	Merged-chr19-40477377-1
NR4134--MA1104.1.GATA6	chr2	103652310	103652322	-	0.000	0.000	Merged-chr2-103652335-51
NR5007--MA0037.3.GATA3	chr4	32615369	32615376	-	0.000	0.000	Merged-chr4-32615355-52
NR6704--MA0037.3.GATA3	chr7	123378038	123378045	-	0.000	0.000	Merged-chr7-123378098-56
NR5804--MA0035.3.Gata1	chr5	149392279	149392289	-	0.000	0.000	Merged-chr5-149392157-30
NR6209--MA0036.3.GATA2	chr6	135418445	135418455	+	0.000	0.000	Merged-chr6-135418528-77
NR7635--MA0036.3.GATA2	chrX	106171388	106171398	-	0.000	0.000	Merged-chrX-106171533-49
NR5965--MA0766.1.GATA5	chr6	86922089	86922096	-	0.000	0.000	Merged-chr6-86921974-19
NR3404--MA0036.3.GATA2	chr18	46448739	46448749	-	0.000	0.000	Merged-chr18-46448750-18
NR1529--MA0766.1.GATA5	chr12	76527619	76527626	+	0.000	0.000	Merged-chr12-76527633-28
NR1658--MA0140.2.GATA1::TAL1	chr12	105027829	105027846	-	0.000	0.000	Merged-chr12-105027877-30
NR1411--MA0035.3.Gata1	chr12	17636827	17636837	+	0.000	0.000	Merged-chr12-17636836-5
NR3164--MA0140.2.GATA1::TAL1	chr17	35993948	35993965	-	0.000	0.000	Merged-chr17-35993975-42
NR1115--MA0766.1.GATA5	chr11	53141385	53141392	+	0.000	0.000	Merged-chr11-53141237-14
NR3370--MA1104.1.GATA6	chr18	35776812	35776824	-	0.000	0.000	Merged-chr18-35776738-19
NR1291--MA0036.3.GATA2	chr11	101604892	101604902	+	0.000	0.000	Merged-chr11-101604778-40
NR7226--MA0035.3.Gata1	chr9	48538518	48538528	-	0.000	0.000	Merged-chr9-48538454-59
NR3985--MA0482.1.Gata4	chr2	66185004	66185014	-	0.000	0.000	Merged-chr2-66184903-51
NR7135--MA0766.1.GATA5	chr9	7576787	7576794	+	0.000	0.000	Merged-chr9-7576753-19
NR3452--MA0035.3.Gata1	chr18	56888876	56888886	+	0.000	0.000	Merged-chr18-56889017-47
NR4619--MA0482.1.Gata4	chr3	82333843	82333853	+	0.000	0.000	Merged-chr3-82333766-35
NR2397--MA0482.1.Gata4	chr14	86682008	86682018	+	0.000	0.000	Merged-chr14-86682000-52
NR781--MA0036.3.GATA2	chr10	82666661	82666671	+	0.000	0.000	Merged-chr10-82666640-30
NR3400--MA0140.2.GATA1::TAL1	chr18	46013357	46013374	-	0.000	0.000	Merged-chr18-46013388-48
NR3398--MA0036.3.GATA2	chr18	46013366	46013376	-	0.000	0.000	Merged-chr18-46013388-48
NR5512--MA0035.3.Gata1	chr5	64919119	64919129	-	0.000	0.000	Merged-chr5-64918962-32
NR1795--MA0482.1.Gata4	chr13	15759398	15759408	-	0.000	0.000	Merged-chr13-15759294-52
NR695--MA0766.1.GATA5	chr10	46011985	46011992	-	0.000	0.000	Merged-chr10-46012127-41
NR7173--MA0035.3.Gata1	chr9	32706421	32706431	+	0.000	0.000	Merged-chr9-32706237-53
NR7624--MA0766.1.GATA5	chrX	98259795	98259802	-	0.000	0.000	Merged-chrX-98259743-49
NR7409--MA0036.3.GATA2	chr9	95113474	95113484	+	0.000	0.000	Merged-chr9-95113538-34
NR2934--MA0766.1.GATA5	chr16	78265278	78265285	-	0.000	0.000	Merged-chr16-78265078-57
NR2015--MA0482.1.Gata4	chr13	94966148	94966158	+	0.000	0.000	Merged-chr13-94966148-17
NR6630--MA0037.3.GATA3	chr7	114580613	114580620	+	0.000	0.000	Merged-chr7-114580600-10
NR2794--MA0037.3.GATA3	chr16	24151678	24151685	+	0.000	0.000	Merged-chr16-24151708-115
NR6329--MA1104.1.GATA6	chr7	27357771	27357783	+	0.000	0.000	Merged-chr7-27357694-29
NR2175--MA0037.3.GATA3	chr13	113639071	113639078	-	0.000	0.000	Merged-chr13-113639155-24
NR7341--MA1104.1.GATA6	chr9	78024979	78024991	-	0.000	0.000	Merged-chr9-78024957-31
NR1725--MA0140.2.GATA1::TAL1	chr12	116177229	116177246	+	0.000	0.000	Merged-chr12-116177118-24
NR764--MA0140.2.GATA1::TAL1	chr10	75434735	75434752	-	0.000	0.000	Merged-chr10-75434678-44
NR1798--MA0035.3.Gata1	chr13	15759399	15759409	-	0.000	0.000	Merged-chr13-15759294-52
NR7593--MA1104.1.GATA6	chrX	12007352	12007364	+	0.000	0.000	Merged-chrX-12007363-15
NR6914--MA0140.2.GATA1::TAL1	chr8	69176771	69176788	-	0.000	0.000	Merged-chr8-69176623-23
NR3234--MA0036.3.GATA2	chr17	62784083	62784093	+	0.000	0.000	Merged-chr17-62784192-42
NR5708--MA0036.3.GATA2	chr5	118069583	118069593	-	0.000	0.000	Merged-chr5-118069472-39
NR1855--MA0140.2.GATA1::TAL1	chr13	34864576	34864593	-	0.000	0.000	Merged-chr13-34864620-19
NR1197--MA0766.1.GATA5	chr11	72550344	72550351	-	0.000	0.000	Merged-chr11-72550348-34
NR5556--MA0766.1.GATA5	chr5	90612256	90612263	+	0.000	0.000	Merged-chr5-90612116-89
NR5352--MA0482.1.Gata4	chr4	149282668	149282678	+	0.000	0.000	Merged-chr4-149282639-35
NR1054--MA0766.1.GATA5	chr11	22813645	22813652	+	0.000	0.000	Merged-chr11-22813643-1
NR3672--MA0482.1.Gata4	chr19	29418706	29418716	+	0.000	0.000	Merged-chr19-29418635-70
NR3553--MA0035.3.Gata1	chr18	79353029	79353039	-	0.000	0.000	Merged-chr18-79353064-26
NR4519--MA0037.3.GATA3	chr3	21996050	21996057	+	0.000	0.000	Merged-chr3-21996009-51
NR3518--MA0036.3.GATA2	chr18	75489365	75489375	-	0.000	0.000	Merged-chr18-75489446-39
NR1525--MA0035.3.Gata1	chr12	76527449	76527459	+	0.000	0.000	Merged-chr12-76527633-28
NR566--MA0037.3.GATA3	chr1	191391470	191391477	-	0.000	0.000	Merged-chr1-191391579-39
NR263--MA0036.3.GATA2	chr1	132046415	132046425	-	0.000	0.000	Merged-chr1-132046441-41
NR6308--MA0037.3.GATA3	chr7	19093680	19093687	-	0.000	0.000	Merged-chr7-19093740-100
NR4530--MA0036.3.GATA2	chr3	33956365	33956375	-	0.000	0.000	Merged-chr3-33956471-94
NR6810--MA0482.1.Gata4	chr8	11700573	11700583	-	0.000	0.000	Merged-chr8-11700470-19
NR1405--MA0482.1.Gata4	chr12	16474652	16474662	-	0.000	0.000	Merged-chr12-16474710-17
NR3721--MA1104.1.GATA6	chr19	40477465	40477477	+	0.000	0.000	Merged-chr19-40477377-1
NR582--MA0035.3.Gata1	chr1	191445990	191446000	+	0.000	0.000	Merged-chr1-191445969-55
NR5355--MA0035.3.Gata1	chr4	149282667	149282677	+	0.000	0.000	Merged-chr4-149282639-35
NR4543--MA0036.3.GATA2	chr3	37483949	37483959	-	0.000	0.000	Merged-chr3-37484009-38
NR1689--MA0036.3.GATA2	chr12	112606010	112606020	+	0.000	0.000	Merged-chr12-112605824-36
NR614--MA0035.3.Gata1	chr10	12806116	12806126	+	0.000	0.000	Merged-chr10-12806040-40
NR2101--MA0036.3.GATA2	chr13	104286091	104286101	+	0.000	0.000	Merged-chr13-104286151-10
NR2905--MA0766.1.GATA5	chr16	58670210	58670217	-	0.000	0.000	Merged-chr16-58670422-58
NR5015--MA0036.3.GATA2	chr4	33189442	33189452	+	0.000	0.000	Merged-chr4-33189254-36
NR4588--MA0037.3.GATA3	chr3	69177419	69177426	-	0.000	0.000	Merged-chr3-69177555-55
NR3986--MA1104.1.GATA6	chr2	66185004	66185016	+	0.000	0.000	Merged-chr2-66184903-51
NR7110--MA0035.3.Gata1	chr8	127589469	127589479	+	0.000	0.000	Merged-chr8-127589399-43
NR2985--MA0036.3.GATA2	chr16	91413417	91413427	-	0.000	0.000	Merged-chr16-91413429-37
NR3383--MA0035.3.Gata1	chr18	38700837	38700847	+	0.000	0.000	Merged-chr18-38700911-27
NR4522--MA0036.3.GATA2	chr3	21996048	21996058	-	0.000	0.000	Merged-chr3-21996009-51
NR1796--MA1104.1.GATA6	chr13	15759398	15759410	+	0.000	0.000	Merged-chr13-15759294-52
NR7589--MA0766.1.GATA5	chrX	11664675	11664682	-	0.000	0.000	Merged-chrX-11664686-45
NR7266--MA0035.3.Gata1	chr9	61054546	61054556	+	0.000	0.000	Merged-chr9-61054632-26
NR6735--MA0766.1.GATA5	chr7	127288042	127288049	+	0.000	0.000	Merged-chr7-127288112-51
NR364--MA0036.3.GATA2	chr1	156901951	156901961	-	0.000	0.000	Merged-chr1-156901975-24
NR5628--MA0482.1.Gata4	chr5	100798623	100798633	-	0.000	0.000	Merged-chr5-100798615-58
NR5137--MA0036.3.GATA2	chr4	89486086	89486096	-	0.000	0.000	Merged-chr4-89486149-23
NR1583--MA0482.1.Gata4	chr12	91384509	91384519	-	0.000	0.000	Merged-chr12-91384407-62
NR6452--MA0037.3.GATA3	chr7	78583904	78583911	+	0.000	0.000	Merged-chr7-78583930-15
NR2685--MA0035.3.Gata1	chr15	93298391	93298401	+	0.000	0.000	Merged-chr15-93298411-30
NR1116--MA0035.3.Gata1	chr11	53141383	53141393	-	0.000	0.000	Merged-chr11-53141237-14
NR4402--MA0766.1.GATA5	chr2	157131308	157131315	-	0.000	0.000	Merged-chr2-157131278-25
NR2451--MA0766.1.GATA5	chr14	104517162	104517169	-	0.000	0.000	Merged-chr14-104517244-7
NR5779--MA0766.1.GATA5	chr5	144277202	144277209	+	0.000	0.000	Merged-chr5-144277272-14
NR7136--MA0035.3.Gata1	chr9	7576785	7576795	-	0.000	0.000	Merged-chr9-7576753-19
NR4947--MA0037.3.GATA3	chr3	152929753	152929760	-	0.000	0.000	Merged-chr3-152929727-94
NR3022--MA0140.2.GATA1::TAL1	chr16	96030855	96030872	-	0.000	0.000	Merged-chr16-96030968-16
NR335--MA0035.3.Gata1	chr1	151346962	151346972	+	0.000	0.000	Merged-chr1-151346878-17
NR2964--MA0036.3.GATA2	chr16	89835833	89835843	-	0.000	0.000	Merged-chr16-89835915-50
NR1175--MA0140.2.GATA1::TAL1	chr11	67010394	67010411	+	0.000	0.000	Merged-chr11-67010576-15
NR3184--MA1104.1.GATA6	chr17	47272513	47272525	-	0.000	0.000	Merged-chr17-47272458-17
NR4511--MA0766.1.GATA5	chr3	19305553	19305560	-	0.000	0.000	Merged-chr3-19305697-23
NR6805--MA0035.3.Gata1	chr8	4507819	4507829	+	0.000	0.000	Merged-chr8-4507701-32
NR1090--MA1104.1.GATA6	chr11	46389537	46389549	-	0.000	0.000	Merged-chr11-46389577-59
NR919--MA0140.2.GATA1::TAL1	chr10	117836630	117836647	-	0.000	0.000	Merged-chr10-117836641-40
NR7497--MA0035.3.Gata1	chr9	114797730	114797740	+	0.000	0.000	Merged-chr9-114797763-25
NR2826--MA0035.3.Gata1	chr16	36602847	36602857	+	0.000	0.000	Merged-chr16-36602811-38
NR696--MA0035.3.Gata1	chr10	46011984	46011994	+	0.000	0.000	Merged-chr10-46012127-41
NR2412--MA0035.3.Gata1	chr14	100459449	100459459	-	0.000	0.000	Merged-chr14-100459597-88
NR580--MA1104.1.GATA6	chr1	191445989	191446001	-	0.000	0.000	Merged-chr1-191445969-55
NR4591--MA0036.3.GATA2	chr3	69177418	69177428	+	0.000	0.000	Merged-chr3-69177555-55
NR5353--MA1104.1.GATA6	chr4	149282666	149282678	-	0.000	0.000	Merged-chr4-149282639-35
NR2935--MA0035.3.Gata1	chr16	78265277	78265287	+	0.000	0.000	Merged-chr16-78265078-57
NR3673--MA1104.1.GATA6	chr19	29418704	29418716	-	0.000	0.000	Merged-chr19-29418635-70
NR2573--MA0766.1.GATA5	chr15	56047196	56047203	+	0.000	0.000	Merged-chr15-56047041-38
NR2834--MA0036.3.GATA2	chr16	43661708	43661718	-	0.000	0.000	Merged-chr16-43661789-37
NR4132--MA0037.3.GATA3	chr2	103652312	103652319	-	0.000	0.000	Merged-chr2-103652335-51
NR1195--MA0482.1.Gata4	chr11	72550344	72550354	+	0.000	0.000	Merged-chr11-72550348-34
NR3003--MA0482.1.Gata4	chr16	92904091	92904101	+	0.000	0.000	Merged-chr16-92904166-16
NR4352--MA0036.3.GATA2	chr2	150748923	150748933	-	0.000	0.000	Merged-chr2-150749158-47
NR7024--MA0766.1.GATA5	chr8	115064800	115064807	-	0.000	0.000	Merged-chr8-115064848-48
NR685--MA0482.1.Gata4	chr10	39909004	39909014	-	0.000	0.000	Merged-chr10-39908965-34
NR2791--MA0766.1.GATA5	chr16	23151494	23151501	+	0.000	0.000	Merged-chr16-23151647-12
NR6935--MA0036.3.GATA2	chr8	79734393	79734403	-	0.000	0.000	Merged-chr8-79734534-16
NR4416--MA0037.3.GATA3	chr2	163102176	163102183	-	0.000	0.000	Merged-chr2-163102101-1
NR3144--MA0036.3.GATA2	chr17	26532843	26532853	-	0.000	0.000	Merged-chr17-26532798-20
NR6802--MA0766.1.GATA5	chr7	144785782	144785789	+	0.000	0.000	Merged-chr7-144785742-1
NR760--MA0482.1.Gata4	chr10	75406252	75406262	-	0.000	0.000	Merged-chr10-75406076-29
NR1174--MA0482.1.Gata4	chr11	67010393	67010403	+	0.000	0.000	Merged-chr11-67010576-15
NR3006--MA0035.3.Gata1	chr16	92904090	92904100	+	0.000	0.000	Merged-chr16-92904166-16
NR1055--MA0035.3.Gata1	chr11	22813643	22813653	-	0.000	0.000	Merged-chr11-22813643-1
NR7213--MA0482.1.Gata4	chr9	46015109	46015119	+	0.000	0.000	Merged-chr9-46015200-37
NR4539--MA0140.2.GATA1::TAL1	chr3	37456362	37456379	-	0.000	0.000	Merged-chr3-37456289-20
NR6840--MA0035.3.Gata1	chr8	22185493	22185503	-	0.000	0.000	Merged-chr8-22185664-67
NR7194--MA0482.1.Gata4	chr9	41118249	41118259	-	0.000	0.000	Merged-chr9-41118206-38
NR3167--MA0766.1.GATA5	chr17	36020628	36020635	+	0.000	0.000	Merged-chr17-36020745-74
NR6611--MA0482.1.Gata4	chr7	113419584	113419594	-	0.000	0.000	Merged-chr7-113419557-35
NR715--MA0036.3.GATA2	chr10	59392116	59392126	+	0.000	0.000	Merged-chr10-59392092-23
NR95--MA0036.3.GATA2	chr1	67061439	67061449	-	0.000	0.000	Merged-chr1-67061660-57
NR5217--MA0036.3.GATA2	chr4	109282331	109282341	+	0.000	0.000	Merged-chr4-109282202-8
NR348--MA0036.3.GATA2	chr1	153847115	153847125	-	0.000	0.000	Merged-chr1-153847127-37
NR6895--MA0036.3.GATA2	chr8	57638199	57638209	-	0.000	0.000	Merged-chr8-57637972-56
NR4625--MA0766.1.GATA5	chr3	84570697	84570704	-	0.000	0.000	Merged-chr3-84570776-21
NR6624--MA0482.1.Gata4	chr7	114095572	114095582	-	0.000	0.000	Merged-chr7-114095651-34
NR728--MA0036.3.GATA2	chr10	59431033	59431043	-	0.000	0.000	Merged-chr10-59431050-41
NR7216--MA0035.3.Gata1	chr9	46015108	46015118	+	0.000	0.000	Merged-chr9-46015200-37
NR6143--MA0766.1.GATA5	chr6	126849237	126849244	+	0.000	0.000	Merged-chr6-126849069-62
NR1223--MA0037.3.GATA3	chr11	86257582	86257589	+	0.000	0.000	Merged-chr11-86257585-49
NR7591--MA0037.3.GATA3	chrX	12007355	12007362	+	0.000	0.000	Merged-chrX-12007363-15
NR583--MA0140.2.GATA1::TAL1	chr1	192532401	192532418	+	0.000	0.000	Merged-chr1-192532397-12
NR2824--MA1104.1.GATA6	chr16	36602846	36602858	-	0.000	0.000	Merged-chr16-36602811-38
NR4986--MA0766.1.GATA5	chr4	11610149	11610156	+	0.000	0.000	Merged-chr4-11610147-18
NR6733--MA0482.1.Gata4	chr7	127288039	127288049	-	0.000	0.000	Merged-chr7-127288112-51
NR4392--MA0035.3.Gata1	chr2	154797071	154797081	-	0.000	0.000	Merged-chr2-154797130-17
NR7444--MA0482.1.Gata4	chr9	103180920	103180930	+	0.000	0.000	Merged-chr9-103181088-53
NR7623--MA1104.1.GATA6	chrX	98259793	98259805	-	0.000	0.000	Merged-chrX-98259743-49
NR7--MA0035.3.Gata1	chr1	9883472	9883482	-	0.000	0.000	Merged-chr1-9883358-36
NR1998--MA0037.3.GATA3	chr13	90930170	90930177	-	0.000	0.000	Merged-chr13-90930019-46
NR2677--MA0036.3.GATA2	chr15	91616640	91616650	-	0.000	0.000	Merged-chr15-91616695-12
NR3465--MA0482.1.Gata4	chr18	66502125	66502135	-	0.000	0.000	Merged-chr18-66502099-22
NR2906--MA0035.3.Gata1	chr16	58670209	58670219	+	0.000	0.000	Merged-chr16-58670422-58
NR1108--MA0036.3.GATA2	chr11	51967586	51967596	-	0.000	0.000	Merged-chr11-51967758-57
NR6571--MA0482.1.Gata4	chr7	107788515	107788525	-	0.000	0.000	Merged-chr7-107788483-31
NR1170--MA0037.3.GATA3	chr11	64899065	64899072	-	0.000	0.000	Merged-chr11-64899021-36
NR6632--MA0766.1.GATA5	chr7	114580613	114580620	+	0.000	0.000	Merged-chr7-114580600-10
NR7128--MA0036.3.GATA2	chr9	5311521	5311531	+	0.000	0.000	Merged-chr9-5311572-34
NR4814--MA0482.1.Gata4	chr3	136611951	136611961	-	0.000	0.000	Merged-chr3-136611929-48
NR5254--MA0482.1.Gata4	chr4	132040442	132040452	-	0.000	0.000	Merged-chr4-132040319-80
NR79--MA0035.3.Gata1	chr1	64303010	64303020	-	0.000	0.000	Merged-chr1-64302994-36
NR3369--MA0482.1.Gata4	chr18	35776814	35776824	+	0.000	0.000	Merged-chr18-35776738-19
NR7365--MA1104.1.GATA6	chr9	85201418	85201430	+	0.000	0.000	Merged-chr9-85201407-31
NR2515--MA0482.1.Gata4	chr15	25216779	25216789	+	0.000	0.000	Merged-chr15-25216736-38
NR808--MA0035.3.Gata1	chr10	89764945	89764955	+	0.000	0.000	Merged-chr10-89764966-63
NR1249--MA1104.1.GATA6	chr11	95336985	95336997	+	0.000	0.000	Merged-chr11-95337203-127
NR6950--MA0140.2.GATA1::TAL1	chr8	88279415	88279432	+	0.000	0.000	Merged-chr8-88279591-45
NR6736--MA0035.3.Gata1	chr7	127288040	127288050	-	0.000	0.000	Merged-chr7-127288112-51
NR646--MA0035.3.Gata1	chr10	24458831	24458841	+	0.000	0.000	Merged-chr10-24458966-47
NR1010--MA0140.2.GATA1::TAL1	chr11	3227252	3227269	-	0.000	0.000	Merged-chr11-3227351-28
NR6330--MA0036.3.GATA2	chr7	27357772	27357782	-	0.000	0.000	Merged-chr7-27357694-29
NR5555--MA1104.1.GATA6	chr5	90612253	90612265	+	0.000	0.000	Merged-chr5-90612116-89
NR5257--MA0035.3.Gata1	chr4	132040443	132040453	-	0.000	0.000	Merged-chr4-132040319-80
NR3004--MA1104.1.GATA6	chr16	92904089	92904101	-	0.000	0.000	Merged-chr16-92904166-16
NR4403--MA0035.3.Gata1	chr2	157131307	157131317	+	0.000	0.000	Merged-chr2-157131278-25
NR2452--MA0035.3.Gata1	chr14	104517161	104517171	+	0.000	0.000	Merged-chr14-104517244-7
NR2518--MA0035.3.Gata1	chr15	25216778	25216788	+	0.000	0.000	Merged-chr15-25216736-38
NR2080--MA0036.3.GATA2	chr13	102773402	102773412	+	0.000	0.000	Merged-chr13-102773383-12
NR1278--MA0035.3.Gata1	chr11	98497544	98497554	+	0.000	0.000	Merged-chr11-98497586-22
NR6811--MA0035.3.Gata1	chr8	11700574	11700584	-	0.000	0.000	Merged-chr8-11700470-19
NR829--MA0036.3.GATA2	chr10	96204410	96204420	+	0.000	0.000	Merged-chr10-96204406-28
NR6234--MA0036.3.GATA2	chr6	140357780	140357790	-	0.000	0.000	Merged-chr6-140357700-50
NR7372--MA0140.2.GATA1::TAL1	chr9	89202501	89202518	-	0.000	0.000	Merged-chr9-89202375-38
NR4509--MA0037.3.GATA3	chr3	19305553	19305560	-	0.000	0.000	Merged-chr3-19305697-23
NR3984--MA0037.3.GATA3	chr2	66185007	66185014	+	0.000	0.000	Merged-chr2-66184903-51
NR805--MA0766.1.GATA5	chr10	89326995	89327002	+	0.000	0.000	Merged-chr10-89327162-49
NR6210--MA0766.1.GATA5	chr6	135418446	135418453	-	0.000	0.000	Merged-chr6-135418528-77
NR6866--MA0036.3.GATA2	chr8	34164659	34164669	+	0.000	0.000	Merged-chr8-34164566-26
NR1510--MA0036.3.GATA2	chr12	73598432	73598442	+	0.000	0.000	Merged-chr12-73598343-51
NR7214--MA1104.1.GATA6	chr9	46015107	46015119	-	0.000	0.000	Merged-chr9-46015200-37
NR3008--MA0766.1.GATA5	chr16	92980221	92980228	-	0.000	0.000	Merged-chr16-92980163-22
NR2574--MA0035.3.Gata1	chr15	58697154	58697164	-	0.000	0.000	Merged-chr15-58697268-28
NR6457--MA0035.3.Gata1	chr7	78583902	78583912	-	0.000	0.000	Merged-chr7-78583930-15
NR7195--MA1104.1.GATA6	chr9	41118249	41118261	+	0.000	0.000	Merged-chr9-41118206-38
NR64--MA1104.1.GATA6	chr1	54421811	54421823	+	0.000	0.000	Merged-chr1-54421982-33
NR6612--MA1104.1.GATA6	chr7	113419584	113419596	+	0.000	0.000	Merged-chr7-113419557-35
NR7025--MA0035.3.Gata1	chr8	115064799	115064809	+	0.000	0.000	Merged-chr8-115064848-48
NR6295--MA0035.3.Gata1	chr7	6127301	6127311	+	0.000	0.000	Merged-chr7-6127268-44
NR2485--MA0140.2.GATA1::TAL1	chr14	121702666	121702683	+	0.000	0.000	Merged-chr14-121702650-15
NR2792--MA0035.3.Gata1	chr16	23151492	23151502	-	0.000	0.000	Merged-chr16-23151647-12
NR917--MA0036.3.GATA2	chr10	117836639	117836649	-	0.000	0.000	Merged-chr10-117836641-40
NR7109--MA0766.1.GATA5	chr8	127589470	127589477	-	0.000	0.000	Merged-chr8-127589399-43
NR6625--MA1104.1.GATA6	chr7	114095572	114095584	+	0.000	0.000	Merged-chr7-114095651-34
NR806--MA1104.1.GATA6	chr10	89764908	89764920	+	0.000	0.000	Merged-chr10-89764966-63
NR6303--MA0482.1.Gata4	chr7	19086248	19086258	-	0.000	0.000	Merged-chr7-19086207-16
