#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR2115--MA0731.1.BCL6B	chrX	105710855	105710871	+	0.000	0.000	Merged-chrX-105710929-18
NR256--MA0731.1.BCL6B	chr10	100629912	100629928	-	0.000	0.000	Merged-chr10-100629958-40
NR1305--MA0463.1.Bcl6	chr3	133544249	133544262	-	0.000	0.000	Merged-chr3-133544434-91
NR269--MA0731.1.BCL6B	chr10	111925666	111925682	+	0.000	0.000	Merged-chr10-111925713-30
NR1556--MA0463.1.Bcl6	chr5	104022046	104022059	+	0.000	0.000	Merged-chr5-104021929-50
NR1691--MA0731.1.BCL6B	chr6	114916512	114916528	-	0.000	0.000	Merged-chr6-114916622-10
NR557--MA0463.1.Bcl6	chr13	99148491	99148504	+	0.000	0.000	Merged-chr13-99148566-18
NR1243--MA0463.1.Bcl6	chr3	84314662	84314675	-	0.000	0.000	Merged-chr3-84314739-19
NR989--MA0731.1.BCL6B	chr19	34290519	34290535	-	0.000	0.000	Merged-chr19-34290594-61
NR463--MA0463.1.Bcl6	chr12	112623989	112624002	-	0.000	0.000	Merged-chr12-112623897-8
NR1476--MA0463.1.Bcl6	chr4	149889170	149889183	-	0.000	0.000	Merged-chr4-149889246-22
NR2067--MA0731.1.BCL6B	chr9	105483328	105483344	-	0.000	0.000	Merged-chr9-105483179-11
NR1588--MA0463.1.Bcl6	chr5	135134247	135134260	+	0.000	0.000	Merged-chr5-135134293-53
NR1266--MA0463.1.Bcl6	chr3	104968184	104968197	+	0.000	0.000	Merged-chr3-104968115-29
NR729--MA0731.1.BCL6B	chr15	93379443	93379459	+	0.000	0.000	Merged-chr15-93379459-27
NR1920--MA0731.1.BCL6B	chr8	70611833	70611849	-	0.000	0.000	Merged-chr8-70611821-55
NR153--MA0731.1.BCL6B	chr1	180906882	180906898	-	0.000	0.000	Merged-chr1-180906986-1
NR219--MA0731.1.BCL6B	chr10	59570337	59570353	+	0.000	0.000	Merged-chr10-59570235-1
NR1181--MA0463.1.Bcl6	chr2	168904459	168904472	-	0.000	0.000	Merged-chr2-168904404-53
NR1029--MA0463.1.Bcl6	chr2	18765774	18765787	+	0.000	0.000	Merged-chr2-18765910-35
NR1602--MA0463.1.Bcl6	chr5	143485210	143485223	-	0.000	0.000	Merged-chr5-143485209-17
NR1835--MA0463.1.Bcl6	chr7	110796785	110796798	+	0.000	0.000	Merged-chr7-110796753-46
NR1675--MA0731.1.BCL6B	chr6	97148714	97148730	-	0.000	0.000	Merged-chr6-97148793-82
NR1893--MA0731.1.BCL6B	chr8	4313908	4313924	-	0.000	0.000	Merged-chr8-4313757-51
NR836--MA0463.1.Bcl6	chr17	33865564	33865577	-	0.000	0.000	Merged-chr17-33865585-36
NR40--MA0463.1.Bcl6	chr1	74808094	74808107	-	0.000	0.000	Merged-chr1-74808255-37
NR854--MA0463.1.Bcl6	chr17	50525278	50525291	-	0.000	0.000	Merged-chr17-50525188-50
NR2126--MA0731.1.BCL6B	chrX	163868241	163868257	-	0.000	0.000	Merged-chrX-163868243-1
NR1791--MA0463.1.Bcl6	chr7	66180295	66180308	-	0.000	0.000	Merged-chr7-66180398-100
NR1563--MA0463.1.Bcl6	chr5	117107521	117107534	+	0.000	0.000	Merged-chr5-117107665-16
NR1581--MA0463.1.Bcl6	chr5	130204817	130204830	+	0.000	0.000	Merged-chr5-130204591-44
NR831--MA0731.1.BCL6B	chr17	27027834	27027850	-	0.000	0.000	Merged-chr17-27027661-33
NR1721--MA0731.1.BCL6B	chr6	137315891	137315907	+	0.000	0.000	Merged-chr6-137315766-1
NR1693--MA0463.1.Bcl6	chr6	116682455	116682468	+	0.000	0.000	Merged-chr6-116682504-22
NR1559--MA0463.1.Bcl6	chr5	110390701	110390714	+	0.000	0.000	Merged-chr5-110390618-8
NR77--MA0463.1.Bcl6	chr1	131010627	131010640	-	0.000	0.000	Merged-chr1-131010715-50
NR206--MA0463.1.Bcl6	chr10	28684249	28684262	+	0.000	0.000	Merged-chr10-28684367-6
NR701--MA0731.1.BCL6B	chr15	55106667	55106683	-	0.000	0.000	Merged-chr15-55106704-24
NR1371--MA0463.1.Bcl6	chr4	12778303	12778316	+	0.000	0.000	Merged-chr4-12778412-28
NR1909--MA0731.1.BCL6B	chr8	46753126	46753142	-	0.000	0.000	Merged-chr8-46753180-8
NR224--MA0463.1.Bcl6	chr10	60531571	60531584	-	0.000	0.000	Merged-chr10-60531472-32
NR1139--MA0463.1.Bcl6	chr2	132607901	132607914	+	0.000	0.000	Merged-chr2-132607891-50
NR1600--MA0463.1.Bcl6	chr5	143037352	143037365	-	0.000	0.000	Merged-chr5-143037431-5
NR531--MA0731.1.BCL6B	chr13	66905343	66905359	-	0.000	0.000	Merged-chr13-66905214-64
NR811--MA0463.1.Bcl6	chr16	95929983	95929996	+	0.000	0.000	Merged-chr16-95929936-27
NR1927--MA0463.1.Bcl6	chr8	75071698	75071711	-	0.000	0.000	Merged-chr8-75071889-52
NR1712--MA0463.1.Bcl6	chr6	135011564	135011577	-	0.000	0.000	Merged-chr6-135011680-51
NR2014--MA0463.1.Bcl6	chr9	52188081	52188094	+	0.000	0.000	Merged-chr9-52188310-18
NR1945--MA0463.1.Bcl6	chr8	105855013	105855026	-	0.000	0.000	Merged-chr8-105855087-69
NR180--MA0463.1.Bcl6	chr1	191193935	191193948	+	0.000	0.000	Merged-chr1-191193945-62
NR386--MA0463.1.Bcl6	chr11	118200471	118200484	+	0.000	0.000	Merged-chr11-118200400-19
NR1502--MA0463.1.Bcl6	chr5	33543294	33543307	-	0.000	0.000	Merged-chr5-33543525-21
NR928--MA0463.1.Bcl6	chr18	60803610	60803623	+	0.000	0.000	Merged-chr18-60803637-35
NR871--MA0731.1.BCL6B	chr17	71334349	71334365	+	0.000	0.000	Merged-chr17-71334455-18
NR2037--MA0463.1.Bcl6	chr9	78443112	78443125	-	0.000	0.000	Merged-chr9-78443025-84
NR731--MA0463.1.Bcl6	chr15	93519406	93519419	+	0.000	0.000	Merged-chr15-93519280-70
NR176--MA0463.1.Bcl6	chr1	189922365	189922378	-	0.000	0.000	Merged-chr1-189922190-68
NR632--MA0731.1.BCL6B	chr14	70076773	70076789	+	0.000	0.000	Merged-chr14-70076912-39
NR2028--MA0731.1.BCL6B	chr9	67813929	67813945	-	0.000	0.000	Merged-chr9-67813867-45
NR741--MA0731.1.BCL6B	chr16	11034623	11034639	+	0.000	0.000	Merged-chr16-11034584-21
NR16--MA0463.1.Bcl6	chr1	37478659	37478672	+	0.000	0.000	Merged-chr1-37478552-128
NR615--MA0463.1.Bcl6	chr14	52257854	52257867	-	0.000	0.000	Merged-chr14-52257717-61
NR1516--MA0463.1.Bcl6	chr5	62821112	62821125	+	0.000	0.000	Merged-chr5-62821040-10
NR1038--MA0731.1.BCL6B	chr2	25534383	25534399	-	0.000	0.000	Merged-chr2-25534396-66
NR884--MA0463.1.Bcl6	chr17	80772954	80772967	+	0.000	0.000	Merged-chr17-80772766-52
NR517--MA0463.1.Bcl6	chr13	50417942	50417955	+	0.000	0.000	Merged-chr13-50418093-77
NR1682--MA0463.1.Bcl6	chr6	108318376	108318389	-	0.000	0.000	Merged-chr6-108318445-25
NR1557--MA0463.1.Bcl6	chr5	107953079	107953092	-	0.000	0.000	Merged-chr5-107953037-18
NR1094--MA0731.1.BCL6B	chr2	79127665	79127681	+	0.000	0.000	Merged-chr2-79127545-30
NR1907--MA0731.1.BCL6B	chr8	41443766	41443782	+	0.000	0.000	Merged-chr8-41443750-12
NR768--MA0463.1.Bcl6	chr16	45223047	45223060	+	0.000	0.000	Merged-chr16-45223020-10
NR1669--MA0463.1.Bcl6	chr6	88939542	88939555	+	0.000	0.000	Merged-chr6-88939617-36
NR584--MA0731.1.BCL6B	chr13	117223188	117223204	+	0.000	0.000	Merged-chr13-117223399-24
NR6--MA0463.1.Bcl6	chr1	23321543	23321556	+	0.000	0.000	Merged-chr1-23321414-28
NR571--MA0463.1.Bcl6	chr13	107866946	107866959	-	0.000	0.000	Merged-chr13-107866970-30
NR428--MA0463.1.Bcl6	chr12	91790052	91790065	-	0.000	0.000	Merged-chr12-91789924-28
NR1687--MA0463.1.Bcl6	chr6	113442464	113442477	-	0.000	0.000	Merged-chr6-113442615-46
NR1758--MA0731.1.BCL6B	chr7	16874381	16874397	-	0.000	0.000	Merged-chr7-16874249-24
NR343--MA0463.1.Bcl6	chr11	72321044	72321057	+	0.000	0.000	Merged-chr11-72321004-18
NR1244--MA0463.1.Bcl6	chr3	86961080	86961093	+	0.000	0.000	Merged-chr3-86961231-31
NR834--MA0731.1.BCL6B	chr17	29395509	29395525	-	0.000	0.000	Merged-chr17-29395437-29
NR1150--MA0463.1.Bcl6	chr2	144198942	144198955	+	0.000	0.000	Merged-chr2-144198804-26
NR361--MA0463.1.Bcl6	chr11	98348333	98348346	-	0.000	0.000	Merged-chr11-98348383-15
NR209--MA0463.1.Bcl6	chr10	37014253	37014266	+	0.000	0.000	Merged-chr10-37014409-21
NR98--MA0463.1.Bcl6	chr1	151344108	151344121	+	0.000	0.000	Merged-chr1-151344132-5
NR1989--MA0731.1.BCL6B	chr9	21015788	21015804	-	0.000	0.000	Merged-chr9-21015745-80
NR1128--MA0463.1.Bcl6	chr2	125673432	125673445	+	0.000	0.000	Merged-chr2-125673245-74
NR890--MA0731.1.BCL6B	chr17	84231464	84231480	+	0.000	0.000	Merged-chr17-84231580-31
NR366--MA0463.1.Bcl6	chr11	101641913	101641926	-	0.000	0.000	Merged-chr11-101641901-72
NR446--MA0731.1.BCL6B	chr12	104236110	104236126	-	0.000	0.000	Merged-chr12-104236095-61
NR1258--MA0463.1.Bcl6	chr3	96576887	96576900	+	0.000	0.000	Merged-chr3-96576802-53
NR1070--MA0463.1.Bcl6	chr2	60880863	60880876	+	0.000	0.000	Merged-chr2-60880763-2
NR1276--MA0463.1.Bcl6	chr3	108726571	108726584	-	0.000	0.000	Merged-chr3-108726514-23
NR393--MA0731.1.BCL6B	chr12	4436420	4436436	+	0.000	0.000	Merged-chr12-4436328-23
NR129--MA0463.1.Bcl6	chr1	170853712	170853725	+	0.000	0.000	Merged-chr1-170853758-47
NR1182--MA0463.1.Bcl6	chr2	170126584	170126597	+	0.000	0.000	Merged-chr2-170126544-26
NR2090--MA0731.1.BCL6B	chr9	118099591	118099607	-	0.000	0.000	Merged-chr9-118099608-24
NR2026--MA0463.1.Bcl6	chr9	64824823	64824836	+	0.000	0.000	Merged-chr9-64824731-59
NR841--MA0463.1.Bcl6	chr17	35673883	35673896	+	0.000	0.000	Merged-chr17-35673774-49
NR372--MA0731.1.BCL6B	chr11	106762572	106762588	+	0.000	0.000	Merged-chr11-106762485-69
NR707--MA0463.1.Bcl6	chr15	58655187	58655200	+	0.000	0.000	Merged-chr15-58655104-54
NR613--MA0463.1.Bcl6	chr14	48236232	48236245	+	0.000	0.000	Merged-chr14-48236278-24
NR1689--MA0731.1.BCL6B	chr6	113668825	113668841	+	0.000	0.000	Merged-chr6-113668955-38
NR927--MA0731.1.BCL6B	chr18	60632960	60632976	-	0.000	0.000	Merged-chr18-60633052-25
NR725--MA0463.1.Bcl6	chr15	86028074	86028087	-	0.000	0.000	Merged-chr15-86028178-32
NR873--MA0463.1.Bcl6	chr17	71598725	71598738	+	0.000	0.000	Merged-chr17-71598732-66
NR985--MA0463.1.Bcl6	chr19	30924257	30924270	-	0.000	0.000	Merged-chr19-30924347-34
NR1676--MA0463.1.Bcl6	chr6	97806942	97806955	+	0.000	0.000	Merged-chr6-97807026-80
NR529--MA0463.1.Bcl6	chr13	65176267	65176280	-	0.000	0.000	Merged-chr13-65176353-33
NR332--MA0463.1.Bcl6	chr11	68451467	68451480	+	0.000	0.000	Merged-chr11-68451501-45
NR1448--MA0463.1.Bcl6	chr4	136031602	136031615	+	0.000	0.000	Merged-chr4-136031447-41
NR322--MA0731.1.BCL6B	chr11	57952816	57952832	-	0.000	0.000	Merged-chr11-57952769-40
NR565--MA0463.1.Bcl6	chr13	102085952	102085965	-	0.000	0.000	Merged-chr13-102085968-1
NR1484--MA0463.1.Bcl6	chr5	3503474	3503487	+	0.000	0.000	Merged-chr5-3503426-8
NR1596--MA0463.1.Bcl6	chr5	139303891	139303904	+	0.000	0.000	Merged-chr5-139303910-62
NR2001--MA0463.1.Bcl6	chr9	45828569	45828582	-	0.000	0.000	Merged-chr9-45828671-68
NR1701--MA0731.1.BCL6B	chr6	124361030	124361046	-	0.000	0.000	Merged-chr6-124360818-18
NR18--MA0731.1.BCL6B	chr1	37478656	37478672	-	0.000	0.000	Merged-chr1-37478552-128
NR1923--MA0463.1.Bcl6	chr8	72285484	72285497	+	0.000	0.000	Merged-chr8-72285397-19
NR239--MA0463.1.Bcl6	chr10	82666634	82666647	+	0.000	0.000	Merged-chr10-82666640-30
NR369--MA0463.1.Bcl6	chr11	106536328	106536341	+	0.000	0.000	Merged-chr11-106536245-61
NR942--MA0463.1.Bcl6	chr18	75740775	75740788	-	0.000	0.000	Merged-chr18-75740758-31
NR144--MA0731.1.BCL6B	chr1	178187462	178187478	+	0.000	0.000	Merged-chr1-178187385-1
NR1400--MA0463.1.Bcl6	chr4	89178165	89178178	+	0.000	0.000	Merged-chr4-89178152-23
NR1401--MA0731.1.BCL6B	chr4	89351187	89351203	+	0.000	0.000	Merged-chr4-89351221-94
NR1924--MA0731.1.BCL6B	chr8	72285481	72285497	-	0.000	0.000	Merged-chr8-72285397-19
NR30--MA0463.1.Bcl6	chr1	65179840	65179853	-	0.000	0.000	Merged-chr1-65179947-8
NR750--MA0463.1.Bcl6	chr16	18127358	18127371	-	0.000	0.000	Merged-chr16-18127553-42
NR1866--MA0463.1.Bcl6	chr7	130673942	130673955	-	0.000	0.000	Merged-chr7-130673894-22
NR1871--MA0731.1.BCL6B	chr7	131540223	131540239	+	0.000	0.000	Merged-chr7-131540239-21
NR719--MA0463.1.Bcl6	chr15	78475676	78475689	+	0.000	0.000	Merged-chr15-78475824-65
NR1096--MA0463.1.Bcl6	chr2	80579474	80579487	-	0.000	0.000	Merged-chr2-80579477-19
NR983--MA0463.1.Bcl6	chr19	30095538	30095551	+	0.000	0.000	Merged-chr19-30095625-14
NR616--MA0463.1.Bcl6	chr14	52304831	52304844	-	0.000	0.000	Merged-chr14-52304982-66
NR26--MA0463.1.Bcl6	chr1	60977868	60977881	-	0.000	0.000	Merged-chr1-60977872-47
NR1629--MA0463.1.Bcl6	chr6	29271104	29271117	+	0.000	0.000	Merged-chr6-29271103-44
NR2104--MA0731.1.BCL6B	chrX	20364486	20364502	+	0.000	0.000	Merged-chrX-20364570-48
NR867--MA0463.1.Bcl6	chr17	66101675	66101688	+	0.000	0.000	Merged-chr17-66101673-100
NR1768--MA0463.1.Bcl6	chr7	25780165	25780178	+	0.000	0.000	Merged-chr7-25780138-19
NR670--MA0463.1.Bcl6	chr14	121000901	121000914	+	0.000	0.000	Merged-chr14-121000827-24
NR1683--MA0463.1.Bcl6	chr6	108512120	108512133	+	0.000	0.000	Merged-chr6-108512233-21
NR1110--MA0463.1.Bcl6	chr2	93199062	93199075	+	0.000	0.000	Merged-chr2-93199242-68
NR536--MA0463.1.Bcl6	chr13	73718503	73718516	+	0.000	0.000	Merged-chr13-73718441-19
NR1624--MA0731.1.BCL6B	chr6	13838596	13838612	+	0.000	0.000	Merged-chr6-13838758-42
NR1210--MA0731.1.BCL6B	chr3	36495642	36495658	-	0.000	0.000	Merged-chr3-36495675-35
NR1455--MA0463.1.Bcl6	chr4	141874592	141874605	+	0.000	0.000	Merged-chr4-141874897-70
NR7--MA0463.1.Bcl6	chr1	23399750	23399763	-	0.000	0.000	Merged-chr1-23399724-29
NR1998--MA0731.1.BCL6B	chr9	42897667	42897683	-	0.000	0.000	Merged-chr9-42897501-20
NR1603--MA0731.1.BCL6B	chr5	143917669	143917685	+	0.000	0.000	Merged-chr5-143917664-24
NR1491--MA0463.1.Bcl6	chr5	15463353	15463366	+	0.000	0.000	Merged-chr5-15463395-183
NR1800--MA0463.1.Bcl6	chr7	80123349	80123362	+	0.000	0.000	Merged-chr7-80123359-34
NR250--MA0463.1.Bcl6	chr10	94378508	94378521	+	0.000	0.000	Merged-chr10-94378414-58
NR1151--MA0463.1.Bcl6	chr2	144267615	144267628	+	0.000	0.000	Merged-chr2-144267809-49
NR116--MA0463.1.Bcl6	chr1	162215938	162215951	-	0.000	0.000	Merged-chr1-162215888-4
NR595--MA0463.1.Bcl6	chr14	20885650	20885663	-	0.000	0.000	Merged-chr14-20885499-75
NR1129--MA0463.1.Bcl6	chr2	125859091	125859104	-	0.000	0.000	Merged-chr2-125858986-61
NR349--MA0463.1.Bcl6	chr11	81996271	81996284	+	0.000	0.000	Merged-chr11-81996367-24
NR134--MA0463.1.Bcl6	chr1	171939422	171939435	-	0.000	0.000	Merged-chr1-171939454-57
NR1393--MA0463.1.Bcl6	chr4	84001760	84001773	+	0.000	0.000	Merged-chr4-84001633-3
NR2004--MA0463.1.Bcl6	chr9	46273043	46273056	-	0.000	0.000	Merged-chr9-46273034-67
