#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.up.bed
NR59153--MA0741.1.KLF16	chr7	17056205	17056215	-	0.000	0.000	Merged-chr7-17056338-38
NR33957--MA0741.1.KLF16	chr19	41911984	41911994	-	0.000	0.000	Merged-chr19-41912030-67
NR23955--MA0741.1.KLF16	chr15	82380285	82380295	-	0.000	0.000	Merged-chr15-82380157-26
NR62598--MA0599.1.KLF5	chr7	121734411	121734420	-	0.000	0.000	Merged-chr7-121734454-58
NR57304--MA1107.1.KLF9	chr6	120836852	120836864	+	0.000	0.000	Merged-chr6-120836708-1
NR69426--MA0741.1.KLF16	chr9	71592393	71592403	-	0.000	0.000	Merged-chr9-71592385-50
NR867--MA0039.3.KLF4	chr1	59163175	59163185	+	0.000	0.000	Merged-chr1-59163188-37
NR15023--MA0742.1.Klf12	chr12	91604356	91604370	-	0.000	0.000	Merged-chr12-91604206-14,Merged-chr12-91604478-1
NR28187--MA0493.1.Klf1	chr17	26917013	26917023	-	0.000	0.000	Merged-chr17-26916999-47
NR39930--MA0741.1.KLF16	chr2	172393743	172393753	-	0.000	0.000	Merged-chr2-172393836-103
NR6817--MA0742.1.Klf12	chr10	77259167	77259181	+	0.000	0.000	Merged-chr10-77259226-56
NR25397--MA0599.1.KLF5	chr16	16213283	16213292	-	0.000	0.000	Merged-chr16-16213421-42
NR32988--MA0741.1.KLF16	chr19	5098552	5098562	-	0.000	0.000	Merged-chr19-5098548-15
NR21117--MA1107.1.KLF9	chr14	76165437	76165449	-	0.000	0.000	Merged-chr14-76165391-21
NR5284--MA0741.1.KLF16	chr10	14325298	14325308	-	0.000	0.000	Merged-chr10-14325229-5
NR71534--MA0599.1.KLF5	chr9	124281995	124282004	+	0.000	0.000	Merged-chr9-124282145-66
NR68470--MA0599.1.KLF5	chr9	44646211	44646220	+	0.000	0.000	Merged-chr9-44646194-52
NR5826--MA0741.1.KLF16	chr10	43520080	43520090	+	0.000	0.000	Merged-chr10-43520023-14
NR492--MA0740.1.KLF14	chr1	39196988	39197001	-	0.000	0.000	Merged-chr1-39196974-45
NR24056--MA0742.1.Klf12	chr15	84372972	84372986	-	0.000	0.000	Merged-chr15-84372915-18
NR54058--MA0599.1.KLF5	chr5	144295025	144295034	-	0.000	0.000	Merged-chr5-144295152-24
NR30437--MA0741.1.KLF16	chr17	83706215	83706225	-	0.000	0.000	Merged-chr17-83706034-70
NR17262--MA0740.1.KLF14	chr13	59585299	59585312	-	0.000	0.000	Merged-chr13-59585318-80
NR55464--MA0039.3.KLF4	chr6	52640544	52640554	-	0.000	0.000	Merged-chr6-52640387-58
NR55725--MA0742.1.Klf12	chr6	65578797	65578811	+	0.000	0.000	Merged-chr6-65578768-17
NR25500--MA0599.1.KLF5	chr16	18630033	18630042	-	0.000	0.000	Merged-chr16-18629825-18
NR17748--MA0599.1.KLF5	chr13	81657951	81657960	-	0.000	0.000	Merged-chr13-81657975-90
NR64983--MA0493.1.Klf1	chr8	57580020	57580030	+	0.000	0.000	Merged-chr8-57580004-34
NR64941--MA0741.1.KLF16	chr8	56551322	56551332	+	0.000	0.000	Merged-chr8-56551229-111
NR7189--MA0493.1.Klf1	chr10	80855218	80855228	+	0.000	0.000	Merged-chr10-80855252-46
NR69678--MA0741.1.KLF16	chr9	78427564	78427574	-	0.000	0.000	Merged-chr9-78427642-36
NR69851--MA0740.1.KLF14	chr9	83925076	83925089	+	0.000	0.000	Merged-chr9-83925198-57
NR56809--MA0740.1.KLF14	chr6	108164542	108164555	+	0.000	0.000	Merged-chr6-108164455-4
NR23607--MA0741.1.KLF16	chr15	77071685	77071695	-	0.000	0.000	Merged-chr15-77071598-27
NR44732--MA0741.1.KLF16	chr4	24496429	24496439	-	0.000	0.000	Merged-chr4-24496528-78
NR35606--MA0493.1.Klf1	chr2	30587367	30587377	-	0.000	0.000	Merged-chr2-30587397-33
NR20721--MA1107.1.KLF9	chr14	65343723	65343735	+	0.000	0.000	Merged-chr14-65343819-62
NR60292--MA0740.1.KLF14	chr7	44553521	44553534	+	0.000	0.000	Merged-chr7-44553464-1
NR51897--MA0039.3.KLF4	chr5	111201048	111201058	-	0.000	0.000	Merged-chr5-111200863-1
NR14128--MA1107.1.KLF9	chr12	52503967	52503979	-	0.000	0.000	Merged-chr12-52504054-125
NR64545--MA0599.1.KLF5	chr8	33385519	33385528	+	0.000	0.000	Merged-chr8-33385483-94
NR52307--MA0740.1.KLF14	chr5	117120076	117120089	-	0.000	0.000	Merged-chr5-117120201-72
NR60087--MA0740.1.KLF14	chr7	35754531	35754544	+	0.000	0.000	Merged-chr7-35754427-56
NR55160--MA1107.1.KLF9	chr6	43619501	43619513	+	0.000	0.000	Merged-chr6-43619418-19
NR18389--MA1107.1.KLF9	chr13	102773320	102773332	-	0.000	0.000	Merged-chr13-102773383-12
NR62011--MA0493.1.Klf1	chr7	109703642	109703652	+	0.000	0.000	Merged-chr7-109703745-52
NR63101--MA0741.1.KLF16	chr7	131542756	131542766	+	0.000	0.000	Merged-chr7-131542725-30
NR60629--MA0740.1.KLF14	chr7	56050073	56050086	-	0.000	0.000	Merged-chr7-56050202-57
NR4165--MA1107.1.KLF9	chr1	178777942	178777954	+	0.000	0.000	Merged-chr1-178777930-3
NR16676--MA0599.1.KLF5	chr13	41249803	41249812	-	0.000	0.000	Merged-chr13-41249879-71
NR2452--MA0599.1.KLF5	chr1	132008240	132008249	-	0.000	0.000	Merged-chr1-132007976-127
NR35085--MA0657.1.KLF13	chr2	19657604	19657621	+	0.000	0.000	Merged-chr2-19657975-133
NR42084--MA1107.1.KLF9	chr3	96501572	96501584	-	0.000	0.000	Merged-chr3-96501707-37
NR54044--MA0493.1.Klf1	chr5	144190219	144190229	-	0.000	0.000	Merged-chr5-144190229-35
NR38342--MA0741.1.KLF16	chr2	132021488	132021498	-	0.000	0.000	Merged-chr2-132021248-83
NR30143--MA0657.1.KLF13	chr17	78087125	78087142	+	0.000	0.000	Merged-chr17-78087139-42
NR51254--MA0599.1.KLF5	chr5	92603040	92603049	-	0.000	0.000	Merged-chr5-92603127-58
NR25970--MA0599.1.KLF5	chr16	38089232	38089241	-	0.000	0.000	Merged-chr16-38089125-126
NR2648--MA1107.1.KLF9	chr1	135829035	135829047	-	0.000	0.000	Merged-chr1-135829093-15
NR61807--MA1107.1.KLF9	chr7	102100316	102100328	+	0.000	0.000	Merged-chr7-102100187-36
NR33242--MA1107.1.KLF9	chr19	8802238	8802250	+	0.000	0.000	Merged-chr19-8802407-58
NR38733--MA0657.1.KLF13	chr2	145161290	145161307	-	0.000	0.000	Merged-chr2-145161321-32
NR59955--MA0599.1.KLF5	chr7	30626219	30626228	+	0.000	0.000	Merged-chr7-30626131-41
NR28498--MA0740.1.KLF14	chr17	31386150	31386163	-	0.000	0.000	Merged-chr17-31386288-8
NR68304--MA0493.1.Klf1	chr9	40192388	40192398	-	0.000	0.000	Merged-chr9-40192525-73
NR62495--MA0740.1.KLF14	chr7	119895740	119895753	+	0.000	0.000	Merged-chr7-119895842-81
NR62118--MA1107.1.KLF9	chr7	111847388	111847400	+	0.000	0.000	Merged-chr7-111847259-1
NR14053--MA0599.1.KLF5	chr12	41566408	41566417	+	0.000	0.000	Merged-chr12-41566300-31
NR54239--MA0740.1.KLF14	chr5	147957375	147957388	-	0.000	0.000	Merged-chr5-147957437-42
NR25275--MA1107.1.KLF9	chr16	11286171	11286183	-	0.000	0.000	Merged-chr16-11286053-13
NR6655--MA0742.1.Klf12	chr10	75129534	75129548	-	0.000	0.000	Merged-chr10-75129487-21
NR18384--MA0039.3.KLF4	chr13	102645077	102645087	+	0.000	0.000	Merged-chr13-102645059-45
NR59924--MA0657.1.KLF13	chr7	30535269	30535286	+	0.000	0.000	Merged-chr7-30535126-64
NR54631--MA0599.1.KLF5	chr6	17307666	17307675	-	0.000	0.000	Merged-chr6-17307561-30
NR60068--MA1107.1.KLF9	chr7	35334011	35334023	-	0.000	0.000	Merged-chr7-35333987-100
NR1380--MA0599.1.KLF5	chr1	82283354	82283363	+	0.000	0.000	Merged-chr1-82283308-57
NR65304--MA0741.1.KLF16	chr8	70594292	70594302	+	0.000	0.000	Merged-chr8-70594498-62
NR2012--MA0657.1.KLF13	chr1	118627895	118627912	+	0.000	0.000	Merged-chr1-118628003-42
NR14034--MA1107.1.KLF9	chr12	40536189	40536201	+	0.000	0.000	Merged-chr12-40536190-67
NR26129--MA0599.1.KLF5	chr16	45021602	45021611	+	0.000	0.000	Merged-chr16-45021572-18
NR48019--MA1107.1.KLF9	chr4	136123304	136123316	-	0.000	0.000	Merged-chr4-136123235-13
NR4972--MA0599.1.KLF5	chr1	193589281	193589290	-	0.000	0.000	Merged-chr1-193589231-21
NR63445--MA1107.1.KLF9	chr7	137437579	137437591	-	0.000	0.000	Merged-chr7-137437784-89
NR8894--MA0740.1.KLF14	chr10	127211637	127211650	-	0.000	0.000	Merged-chr10-127211540-55
NR1361--MA1107.1.KLF9	chr1	80700302	80700314	-	0.000	0.000	Merged-chr1-80700065-37
NR8326--MA0741.1.KLF16	chr10	117112700	117112710	-	0.000	0.000	Merged-chr10-117112735-27
NR26253--MA1107.1.KLF9	chr16	50732810	50732822	+	0.000	0.000	Merged-chr16-50732607-74
NR64657--MA0599.1.KLF5	chr8	36249397	36249406	-	0.000	0.000	Merged-chr8-36249558-6
NR15123--MA0741.1.KLF16	chr12	93572170	93572180	+	0.000	0.000	Merged-chr12-93572105-1
NR61912--MA0740.1.KLF14	chr7	105633652	105633665	+	0.000	0.000	Merged-chr7-105633562-65
NR51737--MA0741.1.KLF16	chr5	105700717	105700727	+	0.000	0.000	Merged-chr5-105700734-6
NR24540--MA0599.1.KLF5	chr15	97373314	97373323	+	0.000	0.000	Merged-chr15-97373444-153
NR56523--MA0741.1.KLF16	chr6	95718857	95718867	-	0.000	0.000	Merged-chr6-95718685-98
NR33923--MA0741.1.KLF16	chr19	41206930	41206940	+	0.000	0.000	Merged-chr19-41206944-35
NR20188--MA0657.1.KLF13	chr14	51913455	51913472	+	0.000	0.000	Merged-chr14-51913534-68
NR46316--MA0741.1.KLF16	chr4	95052430	95052440	+	0.000	0.000	Merged-chr4-95052595-139
NR7663--MA1107.1.KLF9	chr10	89764358	89764370	-	0.000	0.000	Merged-chr10-89764216-3
NR8199--MA0599.1.KLF5	chr10	111619931	111619940	-	0.000	0.000	Merged-chr10-111620030-35
NR528--MA0493.1.Klf1	chr1	39714011	39714021	-	0.000	0.000	Merged-chr1-39714046-47
NR39675--MA0599.1.KLF5	chr2	167936117	167936126	-	0.000	0.000	Merged-chr2-167936072-3
NR37356--MA0493.1.Klf1	chr2	102188785	102188795	+	0.000	0.000	Merged-chr2-102188857-2
NR57202--MA0740.1.KLF14	chr6	119395787	119395800	-	0.000	0.000	Merged-chr6-119395821-77
NR65556--MA0741.1.KLF16	chr8	72723239	72723249	-	0.000	0.000	Merged-chr8-72723384-47
NR7867--MA0741.1.KLF16	chr10	96586769	96586779	+	0.000	0.000	Merged-chr10-96586950-48
NR15580--MA0039.3.KLF4	chr12	108423147	108423157	-	0.000	0.000	Merged-chr12-108423152-36
NR32380--MA0740.1.KLF14	chr18	77870169	77870182	-	0.000	0.000	Merged-chr18-77870219-23
NR60467--MA0740.1.KLF14	chr7	45916918	45916931	-	0.000	0.000	Merged-chr7-45916816-45
NR16215--MA0599.1.KLF5	chr13	13493672	13493681	+	0.000	0.000	Merged-chr13-13493678-12
NR67339--MA1107.1.KLF9	chr8	124022256	124022268	-	0.000	0.000	Merged-chr8-124022219-1
NR61266--MA0493.1.Klf1	chr7	81549053	81549063	-	0.000	0.000	Merged-chr7-81548936-4
NR45234--MA0599.1.KLF5	chr4	44981386	44981395	+	0.000	0.000	Merged-chr4-44981531-52
NR5255--MA1107.1.KLF9	chr10	13474561	13474573	+	0.000	0.000	Merged-chr10-13474425-98
NR32749--MA0741.1.KLF16	chr18	84889092	84889102	-	0.000	0.000	Merged-chr18-84889023-40
NR71261--MA0741.1.KLF16	chr9	118686366	118686376	-	0.000	0.000	Merged-chr9-118686441-13
NR3570--MA0741.1.KLF16	chr1	164248938	164248948	-	0.000	0.000	Merged-chr1-164249048-102
NR48906--MA0493.1.Klf1	chr4	152212660	152212670	-	0.000	0.000	Merged-chr4-152212643-15
NR54743--MA0599.1.KLF5	chr6	28421779	28421788	-	0.000	0.000	Merged-chr6-28421757-53
NR41531--MA0039.3.KLF4	chr3	84039284	84039294	+	0.000	0.000	Merged-chr3-84039248-13
NR32238--MA0493.1.Klf1	chr18	74442353	74442363	+	0.000	0.000	Merged-chr18-74442456-61
NR35855--MA0741.1.KLF16	chr2	34871051	34871061	+	0.000	0.000	Merged-chr2-34871114-57
NR48724--MA0741.1.KLF16	chr4	148900881	148900891	+	0.000	0.000	Merged-chr4-148901056-98
NR4129--MA0039.3.KLF4	chr1	177441991	177442001	+	0.000	0.000	Merged-chr1-177442185-139
NR51989--MA0741.1.KLF16	chr5	112275238	112275248	+	0.000	0.000	Merged-chr5-112275327-24
NR64633--MA0039.3.KLF4	chr8	35826285	35826295	-	0.000	0.000	Merged-chr8-35826369-102
NR11436--MA1107.1.KLF9	chr11	83185906	83185918	-	0.000	0.000	Merged-chr11-83185820-16
NR53750--MA0039.3.KLF4	chr5	140608395	140608405	+	0.000	0.000	Merged-chr5-140608276-19
NR214--MA1107.1.KLF9	chr1	21271710	21271722	+	0.000	0.000	Merged-chr1-21271606-40
NR1685--MA0741.1.KLF16	chr1	91825517	91825527	-	0.000	0.000	Merged-chr1-91825474-20
NR67693--MA0741.1.KLF16	chr9	8042874	8042884	-	0.000	0.000	Merged-chr9-8042887-59
NR33494--MA0599.1.KLF5	chr19	21859233	21859242	-	0.000	0.000	Merged-chr19-21859200-5
NR26088--MA0741.1.KLF16	chr16	44320490	44320500	+	0.000	0.000	Merged-chr16-44320422-17
NR72877--MA0740.1.KLF14	chrX	162829403	162829416	+	0.000	0.000	Merged-chrX-162829307-73
NR29412--MA0599.1.KLF5	chr17	51735761	51735770	-	0.000	0.000	Merged-chr17-51735735-27
NR52397--MA0740.1.KLF14	chr5	120088789	120088802	-	0.000	0.000	Merged-chr5-120088739-43
NR67264--MA0599.1.KLF5	chr8	122769458	122769467	-	0.000	0.000	Merged-chr8-122769435-21
NR19463--MA0741.1.KLF16	chr14	21831249	21831259	+	0.000	0.000	Merged-chr14-21831414-105
NR42510--MA0740.1.KLF14	chr3	105052970	105052983	+	0.000	0.000	Merged-chr3-105053022-65
NR32335--MA0741.1.KLF16	chr18	76241423	76241433	-	0.000	0.000	Merged-chr18-76241276-1
NR26225--MA0742.1.Klf12	chr16	49854433	49854447	-	0.000	0.000	Merged-chr16-49854418-36
NR15124--MA1107.1.KLF9	chr12	93572149	93572161	+	0.000	0.000	Merged-chr12-93572105-1
NR8987--MA0599.1.KLF5	chr10	128149934	128149943	+	0.000	0.000	Merged-chr10-128149784-21
NR21923--MA1107.1.KLF9	chr14	118950709	118950721	-	0.000	0.000	Merged-chr14-118950797-17
NR39518--MA0493.1.Klf1	chr2	165326495	165326505	+	0.000	0.000	Merged-chr2-165326643-68
NR2451--MA1107.1.KLF9	chr1	132008092	132008104	-	0.000	0.000	Merged-chr1-132007976-127
NR37468--MA0493.1.Klf1	chr2	104172842	104172852	-	0.000	0.000	Merged-chr2-104172938-49
NR5161--MA1107.1.KLF9	chr10	8505922	8505934	-	0.000	0.000	Merged-chr10-8506114-87
NR43221--MA0740.1.KLF14	chr3	130180727	130180740	+	0.000	0.000	Merged-chr3-130180656-30
NR61848--MA0741.1.KLF16	chr7	102687319	102687329	+	0.000	0.000	Merged-chr7-102687241-53
NR67030--MA1107.1.KLF9	chr8	119910143	119910155	-	0.000	0.000	Merged-chr8-119910320-1
NR60423--MA0599.1.KLF5	chr7	45643872	45643881	-	0.000	0.000	Merged-chr7-45643762-54
NR54952--MA0741.1.KLF16	chr6	34476244	34476254	-	0.000	0.000	Merged-chr6-34476190-64
NR11003--MA0599.1.KLF5	chr11	74881144	74881153	+	0.000	0.000	Merged-chr11-74881176-15
NR9385--MA0741.1.KLF16	chr11	11519490	11519500	+	0.000	0.000	Merged-chr11-11519616-36
NR14052--MA1107.1.KLF9	chr12	41566223	41566235	-	0.000	0.000	Merged-chr12-41566300-31
NR26147--MA0599.1.KLF5	chr16	45389924	45389933	+	0.000	0.000	Merged-chr16-45389886-49
NR9927--MA0741.1.KLF16	chr11	45927069	45927079	+	0.000	0.000	Merged-chr11-45926859-44
NR13315--MA0740.1.KLF14	chr11	121388259	121388272	+	0.000	0.000	Merged-chr11-121388378-24
NR42794--MA0741.1.KLF16	chr3	116424262	116424272	-	0.000	0.000	Merged-chr3-116424067-206
NR29809--MA0039.3.KLF4	chr17	66110758	66110768	-	0.000	0.000	Merged-chr17-66110861-3
NR69098--MA1107.1.KLF9	chr9	62425314	62425326	-	0.000	0.000	Merged-chr9-62425384-15
NR54836--MA1107.1.KLF9	chr6	30162224	30162236	-	0.000	0.000	Merged-chr6-30162256-14
NR59282--MA0039.3.KLF4	chr7	19399968	19399978	-	0.000	0.000	Merged-chr7-19399852-28
NR30896--MA0599.1.KLF5	chr18	10706835	10706844	+	0.000	0.000	Merged-chr18-10706716-49
NR6345--MA1107.1.KLF9	chr10	63381571	63381583	+	0.000	0.000	Merged-chr10-63381719-30
NR25602--MA1107.1.KLF9	chr16	22265968	22265980	+	0.000	0.000	Merged-chr16-22266085-1
NR27769--MA0493.1.Klf1	chr17	13668634	13668644	+	0.000	0.000	Merged-chr17-13668793-34
NR55458--MA0741.1.KLF16	chr6	52640259	52640269	+	0.000	0.000	Merged-chr6-52640387-58
NR68381--MA0657.1.KLF13	chr9	42423776	42423793	+	0.000	0.000	Merged-chr9-42423784-11
NR40243--MA0741.1.KLF16	chr2	180119188	180119198	+	0.000	0.000	Merged-chr2-180119421-85
NR34133--MA0742.1.Klf12	chr19	46478907	46478921	+	0.000	0.000	Merged-chr19-46479050-50
NR17435--MA0741.1.KLF16	chr13	67755005	67755015	+	0.000	0.000	Merged-chr13-67755021-56
NR3474--MA0741.1.KLF16	chr1	162476929	162476939	+	0.000	0.000	Merged-chr1-162477062-12
NR16591--MA0599.1.KLF5	chr13	37628740	37628749	+	0.000	0.000	Merged-chr13-37628578-23
NR64102--MA0599.1.KLF5	chr8	11635756	11635765	-	0.000	0.000	Merged-chr8-11635696-171
NR41545--MA1107.1.KLF9	chr3	84259805	84259817	+	0.000	0.000	Merged-chr3-84259792-61
NR2778--MA1107.1.KLF9	chr1	139181149	139181161	-	0.000	0.000	Merged-chr1-139181025-29
NR71776--MA0599.1.KLF5	chrX	12128475	12128484	+	0.000	0.000	Merged-chrX-12128389-23
NR56689--MA1107.1.KLF9	chr6	100072808	100072820	-	0.000	0.000	Merged-chr6-100072784-7
NR53425--MA0599.1.KLF5	chr5	136245009	136245018	+	0.000	0.000	Merged-chr5-136244958-39
NR38338--MA1107.1.KLF9	chr2	131955574	131955586	-	0.000	0.000	Merged-chr2-131955415-30
NR16233--MA0599.1.KLF5	chr13	14063725	14063734	-	0.000	0.000	Merged-chr13-14063519-130
NR22007--MA0599.1.KLF5	chr14	120313645	120313654	+	0.000	0.000	Merged-chr14-120313531-118
NR67202--MA0741.1.KLF16	chr8	122343968	122343978	-	0.000	0.000	Merged-chr8-122343961-16
NR54976--MA0599.1.KLF5	chr6	34955705	34955714	-	0.000	0.000	Merged-chr6-34955632-40
NR70467--MA0741.1.KLF16	chr9	103146975	103146985	-	0.000	0.000	Merged-chr9-103146850-8
NR6668--MA0742.1.Klf12	chr10	75170701	75170715	-	0.000	0.000	Merged-chr10-75170572-27
NR37006--MA0039.3.KLF4	chr2	90679337	90679347	+	0.000	0.000	Merged-chr2-90679344-61
NR54761--MA0599.1.KLF5	chr6	28932062	28932071	+	0.000	0.000	Merged-chr6-28932026-12
NR68693--MA1107.1.KLF9	chr9	50659480	50659492	+	0.000	0.000	Merged-chr9-50659519-58
NR19096--MA0741.1.KLF16	chr14	6757210	6757220	+	0.000	0.000	Merged-chr14-6757064-86
NR49205--MA0742.1.Klf12	chr5	3543819	3543833	-	0.000	0.000	Merged-chr5-3543963-58
NR70333--MA0742.1.Klf12	chr9	98973274	98973288	-	0.000	0.000	Merged-chr9-98973397-16
NR19638--MA0741.1.KLF16	chr14	27114835	27114845	+	0.000	0.000	Merged-chr14-27114945-21
NR32239--MA0741.1.KLF16	chr18	74442354	74442364	+	0.000	0.000	Merged-chr18-74442456-61
NR40810--MA0599.1.KLF5	chr3	37157149	37157158	+	0.000	0.000	Merged-chr3-37157248-37
NR5850--MA0740.1.KLF14	chr10	44038356	44038369	-	0.000	0.000	Merged-chr10-44038272-42
NR69690--MA0599.1.KLF5	chr9	78527999	78528008	-	0.000	0.000	Merged-chr9-78528095-1
NR70210--MA0039.3.KLF4	chr9	95328686	95328696	-	0.000	0.000	Merged-chr9-95328851-99
NR19806--MA1107.1.KLF9	chr14	31934162	31934174	-	0.000	0.000	Merged-chr14-31934172-18
NR17958--MA0741.1.KLF16	chr13	93939770	93939780	-	0.000	0.000	Merged-chr13-93939742-17
NR30559--MA0741.1.KLF16	chr17	86145233	86145243	-	0.000	0.000	Merged-chr17-86145064-83
NR68818--MA0740.1.KLF14	chr9	55410727	55410740	+	0.000	0.000	Merged-chr9-55410514-19
NR26044--MA0599.1.KLF5	chr16	42875689	42875698	-	0.000	0.000	Merged-chr16-42875708-130
NR17655--MA0740.1.KLF14	chr13	74808012	74808025	+	0.000	0.000	Merged-chr13-74808125-133
NR38212--MA0741.1.KLF16	chr2	128818049	128818059	+	0.000	0.000	Merged-chr2-128818111-117
NR4959--MA0599.1.KLF5	chr1	193189573	193189582	+	0.000	0.000	Merged-chr1-193189573-66
NR12308--MA0599.1.KLF5	chr11	102467223	102467232	-	0.000	0.000	Merged-chr11-102467251-44
NR16988--MA0039.3.KLF4	chr13	53069569	53069579	+	0.000	0.000	Merged-chr13-53069490-8
NR70346--MA0599.1.KLF5	chr9	99140329	99140338	+	0.000	0.000	Merged-chr9-99140215-90
NR36895--MA0740.1.KLF14	chr2	80315680	80315693	+	0.000	0.000	Merged-chr2-80315576-77
NR71762--MA0493.1.Klf1	chrX	12062741	12062751	+	0.000	0.000	Merged-chrX-12062732-18
NR44854--MA0741.1.KLF16	chr4	33310187	33310197	-	0.000	0.000	Merged-chr4-33310385-59
NR18513--MA0741.1.KLF16	chr13	106941773	106941783	+	0.000	0.000	Merged-chr13-106941677-12
NR21112--MA0741.1.KLF16	chr14	76165442	76165452	-	0.000	0.000	Merged-chr14-76165391-21
NR372--MA0599.1.KLF5	chr1	36069654	36069663	-	0.000	0.000	Merged-chr1-36069573-10
NR4725--MA1107.1.KLF9	chr1	189933636	189933648	-	0.000	0.000	Merged-chr1-189933791-26
NR18734--MA1107.1.KLF9	chr13	111796775	111796787	-	0.000	0.000	Merged-chr13-111796973-104
NR47414--MA0599.1.KLF5	chr4	128962473	128962482	+	0.000	0.000	Merged-chr4-128962566-44
NR58636--MA1107.1.KLF9	chr6	146744395	146744407	+	0.000	0.000	Merged-chr6-146744482-43
NR27480--MA0741.1.KLF16	chr17	6477181	6477191	-	0.000	0.000	Merged-chr17-6476977-103
NR27751--MA0741.1.KLF16	chr17	13480012	13480022	-	0.000	0.000	Merged-chr17-13479919-17
NR29402--MA1107.1.KLF9	chr17	51735656	51735668	+	0.000	0.000	Merged-chr17-51735735-27
NR5263--MA0741.1.KLF16	chr10	13475326	13475336	+	0.000	0.000	Merged-chr10-13475400-5
NR14135--MA0740.1.KLF14	chr12	52783213	52783226	-	0.000	0.000	Merged-chr12-52783123-49
NR50602--MA1107.1.KLF9	chr5	63943574	63943586	-	0.000	0.000	Merged-chr5-63943362-36
NR28779--MA0599.1.KLF5	chr17	35202050	35202059	-	0.000	0.000	Merged-chr17-35202038-14
NR5805--MA0741.1.KLF16	chr10	42849025	42849035	-	0.000	0.000	Merged-chr10-42848913-29
NR37191--MA0599.1.KLF5	chr2	94158186	94158195	+	0.000	0.000	Merged-chr2-94158043-61
NR71669--MA0740.1.KLF14	chrX	7947822	7947835	+	0.000	0.000	Merged-chrX-7947943-52
NR41671--MA0493.1.Klf1	chr3	88493104	88493114	-	0.000	0.000	Merged-chr3-88493035-35
NR60986--MA1107.1.KLF9	chr7	73479743	73479755	+	0.000	0.000	Merged-chr7-73479778-28
NR9092--MA0599.1.KLF5	chr11	3161020	3161029	-	0.000	0.000	Merged-chr11-3161151-10
NR23794--MA1107.1.KLF9	chr15	80233831	80233843	+	0.000	0.000	Merged-chr15-80233973-50
NR33522--MA0741.1.KLF16	chr19	24301044	24301054	+	0.000	0.000	Merged-chr19-24301170-38
NR56904--MA1107.1.KLF9	chr6	112162829	112162841	+	0.000	0.000	Merged-chr6-112162678-1
NR12148--MA0742.1.Klf12	chr11	100545563	100545577	+	0.000	0.000	Merged-chr11-100545700-39
NR43632--MA0599.1.KLF5	chr3	138861212	138861221	+	0.000	0.000	Merged-chr3-138861130-9
NR11002--MA1107.1.KLF9	chr11	74838634	74838646	-	0.000	0.000	Merged-chr11-74838839-1
NR13979--MA0741.1.KLF16	chr12	36157854	36157864	+	0.000	0.000	Merged-chr12-36157829-2
NR46342--MA0599.1.KLF5	chr4	97996086	97996095	+	0.000	0.000	Merged-chr4-97996259-58
NR19703--MA1107.1.KLF9	chr14	30184749	30184761	+	0.000	0.000	Merged-chr14-30184705-37
NR70252--MA0599.1.KLF5	chr9	96536974	96536983	-	0.000	0.000	Merged-chr9-96537068-27
NR4160--MA0742.1.Klf12	chr1	178777844	178777858	-	0.000	0.000	Merged-chr1-178777930-3
NR23706--MA0657.1.KLF13	chr15	78919832	78919849	-	0.000	0.000	Merged-chr15-78920036-14
NR48722--MA1107.1.KLF9	chr4	148900817	148900829	+	0.000	0.000	Merged-chr4-148901056-98
NR62017--MA0740.1.KLF14	chr7	109986338	109986351	+	0.000	0.000	Merged-chr7-109986340-83
NR61625--MA0599.1.KLF5	chr7	98309544	98309553	-	0.000	0.000	Merged-chr7-98309453-63
NR16067--MA0740.1.KLF14	chr12	119238857	119238870	-	0.000	0.000	Merged-chr12-119238922-2
NR34028--MA0741.1.KLF16	chr19	44314782	44314792	+	0.000	0.000	Merged-chr19-44314757-47
NR38375--MA0599.1.KLF5	chr2	132379897	132379906	-	0.000	0.000	Merged-chr2-132379852-19
NR70442--MA0742.1.Klf12	chr9	102779722	102779736	+	0.000	0.000	Merged-chr9-102779765-25
NR47092--MA0742.1.Klf12	chr4	120288020	120288034	+	0.000	0.000	Merged-chr4-120287807-68
NR41224--MA0599.1.KLF5	chr3	65319702	65319711	+	0.000	0.000	Merged-chr3-65319670-31
NR11894--MA0742.1.Klf12	chr11	97187218	97187232	+	0.000	0.000	Merged-chr11-97187177-25
NR22790--MA0741.1.KLF16	chr15	42479722	42479732	+	0.000	0.000	Merged-chr15-42479661-25
NR19920--MA0740.1.KLF14	chr14	41013864	41013877	+	0.000	0.000	Merged-chr14-41013855-53
NR30341--MA0599.1.KLF5	chr17	80728052	80728061	+	0.000	0.000	Merged-chr17-80728115-101
NR41563--MA1107.1.KLF9	chr3	84477663	84477675	+	0.000	0.000	Merged-chr3-84477603-8
NR41900--MA0599.1.KLF5	chr3	94483005	94483014	-	0.000	0.000	Merged-chr3-94482974-4
