#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR11258--MA0089.1.MAFG::NFE2L1	chr6	99220668	99220673	-	0.000	0.000	Merged-chr6-99220619-12
NR3123--MA0659.1.MAFG	chr13	8385605	8385625	+	0.000	0.000	Merged-chr13-8385507-1
NR4265--MA0089.1.MAFG::NFE2L1	chr14	76152692	76152697	-	0.000	0.000	Merged-chr14-76152800-92
NR5909--MA0591.1.Bach1::Mafk	chr17	44614177	44614191	-	0.000	0.000	Merged-chr17-44614219-8
NR8646--MA0496.2.MAFK	chr3	105892540	105892558	-	0.000	0.000	Merged-chr3-105892493-111
NR9338--MA0089.1.MAFG::NFE2L1	chr4	57797804	57797809	+	0.000	0.000	Merged-chr4-57797871-1
NR10416--MA0089.1.MAFG::NFE2L1	chr5	96948964	96948969	+	0.000	0.000	Merged-chr5-96949155-39
NR6135--MA0089.1.MAFG::NFE2L1	chr17	86937939	86937944	-	0.000	0.000	Merged-chr17-86937929-29
NR10491--MA0089.1.MAFG::NFE2L1	chr5	114942155	114942160	-	0.000	0.000	Merged-chr5-114942302-45
NR9916--MA0089.1.MAFG::NFE2L1	chr5	8723117	8723122	+	0.000	0.000	Merged-chr5-8722882-18
NR11736--MA0501.1.MAF::NFE2	chr7	19841915	19841929	-	0.000	0.000	Merged-chr7-19841908-7
NR11952--MA0495.2.MAFF	chr7	73588797	73588817	-	0.000	0.000	Merged-chr7-73589087-116
NR1088--MA0089.1.MAFG::NFE2L1	chr1	192092710	192092715	-	0.000	0.000	Merged-chr1-192092599-105
NR13223--MA0495.2.MAFF	chr9	78074138	78074158	+	0.000	0.000	Merged-chr9-78074095-46
NR12826--MA0591.1.Bach1::Mafk	chr8	94191359	94191373	-	0.000	0.000	Merged-chr8-94191444-39
NR5608--MA0089.1.MAFG::NFE2L1	chr16	90727330	90727335	+	0.000	0.000	Merged-chr16-90727331-89
NR7867--MA0591.1.Bach1::Mafk	chr2	162931537	162931551	+	0.000	0.000	Merged-chr2-162931607-133
NR781--MA0089.1.MAFG::NFE2L1	chr1	144086355	144086360	-	0.000	0.000	Merged-chr1-144086303-34
NR2758--MA0501.1.MAF::NFE2	chr12	54313285	54313299	+	0.000	0.000	Merged-chr12-54313214-97
NR11954--MA0659.1.MAFG	chr7	73588797	73588817	-	0.000	0.000	Merged-chr7-73589087-116
NR1991--MA0659.1.MAFG	chr10	122987857	122987877	-	0.000	0.000	Merged-chr10-122987873-30
NR13741--MA0591.1.Bach1::Mafk	chrX	162868568	162868582	+	0.000	0.000	Merged-chrX-162868446-21
NR2163--MA0117.2.Mafb	chr11	23257568	23257579	+	0.000	0.000	Merged-chr11-23257441-61
NR3045--MA0089.1.MAFG::NFE2L1	chr12	117993607	117993612	+	0.000	0.000	Merged-chr12-117993666-52
NR4841--MA0089.1.MAFG::NFE2L1	chr15	61546879	61546884	-	0.000	0.000	Merged-chr15-61546786-37
NR2830--MA0117.2.Mafb	chr12	75572498	75572509	-	0.000	0.000	Merged-chr12-75572455-24
NR13234--MA0659.1.MAFG	chr9	78448210	78448230	+	0.000	0.000	Merged-chr9-78448370-64
NR10501--MA0089.1.MAFG::NFE2L1	chr5	117388974	117388979	-	0.000	0.000	Merged-chr5-117388866-82
NR3470--MA0496.2.MAFK	chr13	80939697	80939715	-	0.000	0.000	Merged-chr13-80939578-1
NR3025--MA0659.1.MAFG	chr12	114991122	114991142	-	0.000	0.000	Merged-chr12-114991248-55
NR11632--MA0089.1.MAFG::NFE2L1	chr6	145340060	145340065	-	0.000	0.000	Merged-chr6-145340016-10
NR5838--MA0496.2.MAFK	chr17	31789318	31789336	-	0.000	0.000	Merged-chr17-31789470-34
NR2057--MA0591.1.Bach1::Mafk	chr11	3165469	3165483	-	0.000	0.000	Merged-chr11-3165665-33
NR12406--MA0501.1.MAF::NFE2	chr8	18936424	18936438	+	0.000	0.000	Merged-chr8-18936505-32
NR3938--MA0089.1.MAFG::NFE2L1	chr14	14347567	14347572	-	0.000	0.000	Merged-chr14-14347680-9
NR7663--MA0501.1.MAF::NFE2	chr2	135967348	135967362	+	0.000	0.000	Merged-chr2-135967319-31
NR6816--MA0496.2.MAFK	chr19	32320555	32320573	-	0.000	0.000	Merged-chr19-32320426-40
NR1144--MA0591.1.Bach1::Mafk	chr10	7470132	7470146	+	0.000	0.000	Merged-chr10-7470291-37
NR511--MA0495.2.MAFF	chr1	94497025	94497045	+	0.000	0.000	Merged-chr1-94497080-23
NR4887--MA0496.2.MAFK	chr15	69158261	69158279	-	0.000	0.000	Merged-chr15-69158261-1
NR6233--MA0089.1.MAFG::NFE2L1	chr18	10531709	10531714	+	0.000	0.000	Merged-chr18-10531815-35
NR13137--MA0501.1.MAF::NFE2	chr9	45251480	45251494	-	0.000	0.000	Merged-chr9-45251567-12
NR2264--MA0501.1.MAF::NFE2	chr11	60108754	60108768	+	0.000	0.000	Merged-chr11-60108750-22
NR2853--MA0659.1.MAFG	chr12	81845168	81845188	-	0.000	0.000	Merged-chr12-81845150-28
NR9234--MA0501.1.MAF::NFE2	chr4	40876945	40876959	+	0.000	0.000	Merged-chr4-40876932-30
NR225--MA0591.1.Bach1::Mafk	chr1	51509240	51509254	+	0.000	0.000	Merged-chr1-51509217-43
NR5028--MA0089.1.MAFG::NFE2L1	chr15	93712836	93712841	-	0.000	0.000	Merged-chr15-93712745-43
NR2193--MA0495.2.MAFF	chr11	32561585	32561605	+	0.000	0.000	Merged-chr11-32561785-56
NR11530--MA0089.1.MAFG::NFE2L1	chr6	136498015	136498020	+	0.000	0.000	Merged-chr6-136498019-38
NR2201--MA0089.1.MAFG::NFE2L1	chr11	34010295	34010300	+	0.000	0.000	Merged-chr11-34010377-133
NR8472--MA0496.2.MAFK	chr3	79100355	79100373	-	0.000	0.000	Merged-chr3-79100420-9
NR7803--MA0496.2.MAFK	chr2	155082572	155082590	-	0.000	0.000	Merged-chr2-155082625-23
NR1002--MA0501.1.MAF::NFE2	chr1	180403754	180403768	-	0.000	0.000	Merged-chr1-180403715-60
NR7088--MA0089.1.MAFG::NFE2L1	chr2	36136639	36136644	-	0.000	0.000	Merged-chr2-36136611-74
NR9116--MA0591.1.Bach1::Mafk	chr4	14819961	14819975	+	0.000	0.000	Merged-chr4-14819908-10
NR1186--MA0089.1.MAFG::NFE2L1	chr10	14058112	14058117	+	0.000	0.000	Merged-chr10-14058073-111
NR8097--MA0591.1.Bach1::Mafk	chr3	18623970	18623984	+	0.000	0.000	Merged-chr3-18624063-31
NR4206--MA0591.1.Bach1::Mafk	chr14	54200359	54200373	+	0.000	0.000	Merged-chr14-54200449-7
NR2195--MA0659.1.MAFG	chr11	32561585	32561605	+	0.000	0.000	Merged-chr11-32561785-56
NR1660--MA0117.2.Mafb	chr10	77130571	77130582	+	0.000	0.000	Merged-chr10-77130786-40
NR3037--MA0495.2.MAFF	chr12	116625952	116625972	+	0.000	0.000	Merged-chr12-116625840-46
NR9079--MA0501.1.MAF::NFE2	chr4	8800193	8800207	+	0.000	0.000	Merged-chr4-8800117-1
NR1009--MA0089.1.MAFG::NFE2L1	chr1	185193693	185193698	-	0.000	0.000	Merged-chr1-185193700-43
NR2289--MA0117.2.Mafb	chr11	64187032	64187043	+	0.000	0.000	Merged-chr11-64187104-15
NR12192--MA0495.2.MAFF	chr7	111015013	111015033	-	0.000	0.000	Merged-chr7-111015040-32
NR2965--MA0117.2.Mafb	chr12	102622565	102622576	-	0.000	0.000	Merged-chr12-102622545-47
NR8170--MA0117.2.Mafb	chr3	27607605	27607616	-	0.000	0.000	Merged-chr3-27607578-27
NR3126--MA0496.2.MAFK	chr13	8385606	8385624	+	0.000	0.000	Merged-chr13-8385507-1
NR9838--MA0089.1.MAFG::NFE2L1	chr4	148742849	148742854	-	0.000	0.000	Merged-chr4-148742861-33
NR9852--MA0501.1.MAF::NFE2	chr4	152318824	152318838	-	0.000	0.000	Merged-chr4-152318994-28
NR8014--MA0089.1.MAFG::NFE2L1	chr2	180256361	180256366	+	0.000	0.000	Merged-chr2-180256201-1
NR4952--MA0089.1.MAFG::NFE2L1	chr15	80735480	80735485	-	0.000	0.000	Merged-chr15-80735548-45
NR13387--MA0501.1.MAF::NFE2	chr9	99469970	99469984	-	0.000	0.000	Merged-chr9-99469936-29
NR2095--MA0495.2.MAFF	chr11	10276496	10276516	-	0.000	0.000	Merged-chr11-10276392-45
NR6331--MA0089.1.MAFG::NFE2L1	chr18	32353049	32353054	+	0.000	0.000	Merged-chr18-32352849-42
NR1672--MA0501.1.MAF::NFE2	chr10	80249141	80249155	-	0.000	0.000	Merged-chr10-80249310-65
NR2403--MA0591.1.Bach1::Mafk	chr11	103028582	103028596	+	0.000	0.000	Merged-chr11-103028483-70
NR11252--MA0089.1.MAFG::NFE2L1	chr6	97447145	97447150	+	0.000	0.000	Merged-chr6-97447180-22
NR6777--MA0495.2.MAFF	chr19	14352214	14352234	-	0.000	0.000	Merged-chr19-14352313-109
NR11966--MA0496.2.MAFK	chr7	74471952	74471970	-	0.000	0.000	Merged-chr7-74471905-6
NR670--MA0117.2.Mafb	chr1	119457064	119457075	+	0.000	0.000	Merged-chr1-119457268-70
NR2576--MA0591.1.Bach1::Mafk	chr12	25240220	25240234	+	0.000	0.000	Merged-chr12-25240283-42
NR1775--MA0089.1.MAFG::NFE2L1	chr10	93124500	93124505	-	0.000	0.000	Merged-chr10-93124386-49
NR5602--MA0501.1.MAF::NFE2	chr16	88710908	88710922	-	0.000	0.000	Merged-chr16-88710826-2
NR7595--MA0501.1.MAF::NFE2	chr2	125136046	125136060	+	0.000	0.000	Merged-chr2-125136116-38
NR881--MA0501.1.MAF::NFE2	chr1	162735259	162735273	-	0.000	0.000	Merged-chr1-162735223-28
NR4275--MA0495.2.MAFF	chr14	78273820	78273840	-	0.000	0.000	Merged-chr14-78273841-14
NR5139--MA0089.1.MAFG::NFE2L1	chr16	8470799	8470804	-	0.000	0.000	Merged-chr16-8470808-56
NR894--MA0117.2.Mafb	chr1	165763775	165763786	-	0.000	0.000	Merged-chr1-165763682-102
NR3028--MA0496.2.MAFK	chr12	114991123	114991141	-	0.000	0.000	Merged-chr12-114991248-55
NR2979--MA0117.2.Mafb	chr12	104076285	104076296	+	0.000	0.000	Merged-chr12-104076319-3
NR13150--MA0501.1.MAF::NFE2	chr9	53603581	53603595	-	0.000	0.000	Merged-chr9-53603556-33
NR6531--MA0089.1.MAFG::NFE2L1	chr18	61638188	61638193	-	0.000	0.000	Merged-chr18-61638222-61
NR595--MA0591.1.Bach1::Mafk	chr1	106158132	106158146	-	0.000	0.000	Merged-chr1-106158254-8
NR835--MA0501.1.MAF::NFE2	chr1	152010406	152010420	+	0.000	0.000	Merged-chr1-152010502-52
NR5817--MA0089.1.MAFG::NFE2L1	chr17	28013402	28013407	+	0.000	0.000	Merged-chr17-28013455-33
NR2181--MA0501.1.MAF::NFE2	chr11	26640668	26640682	-	0.000	0.000	Merged-chr11-26640535-47
NR2471--MA0591.1.Bach1::Mafk	chr11	119991486	119991500	+	0.000	0.000	Merged-chr11-119991452-27
NR12381--MA0089.1.MAFG::NFE2L1	chr8	13976748	13976753	-	0.000	0.000	Merged-chr8-13976763-5
NR10380--MA0495.2.MAFF	chr5	92348938	92348958	-	0.000	0.000	Merged-chr5-92348973-52
NR9062--MA0495.2.MAFF	chr4	6446815	6446835	+	0.000	0.000	Merged-chr4-6446926-20
NR11888--MA0117.2.Mafb	chr7	58770478	58770489	+	0.000	0.000	Merged-chr7-58770520-9
NR9747--MA0089.1.MAFG::NFE2L1	chr4	140948246	140948251	-	0.000	0.000	Merged-chr4-140948211-54
NR431--MA0496.2.MAFK	chr1	81301964	81301982	-	0.000	0.000	Merged-chr1-81301857-6
NR813--MA0089.1.MAFG::NFE2L1	chr1	149127700	149127705	-	0.000	0.000	Merged-chr1-149127777-1
NR9834--MA0089.1.MAFG::NFE2L1	chr4	147904931	147904936	-	0.000	0.000	Merged-chr4-147904845-69
NR4924--MA0496.2.MAFK	chr15	75549077	75549095	-	0.000	0.000	Merged-chr15-75549017-20
NR9064--MA0659.1.MAFG	chr4	6446815	6446835	+	0.000	0.000	Merged-chr4-6446926-20
NR11964--MA0591.1.Bach1::Mafk	chr7	74471954	74471968	+	0.000	0.000	Merged-chr7-74471905-6
NR13233--MA0591.1.Bach1::Mafk	chr9	78448213	78448227	+	0.000	0.000	Merged-chr9-78448370-64
NR10636--MA0089.1.MAFG::NFE2L1	chr5	147063457	147063462	-	0.000	0.000	Merged-chr5-147063758-85
NR5802--MA0089.1.MAFG::NFE2L1	chr17	26503163	26503168	+	0.000	0.000	Merged-chr17-26503198-72
NR8229--MA0591.1.Bach1::Mafk	chr3	37174728	37174742	+	0.000	0.000	Merged-chr3-37174845-28
NR3793--MA0591.1.Bach1::Mafk	chr13	119472036	119472050	-	0.000	0.000	Merged-chr13-119472102-16
NR3152--MA0089.1.MAFG::NFE2L1	chr13	12278062	12278067	-	0.000	0.000	Merged-chr13-12278128-6
NR13735--MA0495.2.MAFF	chrX	152233149	152233169	-	0.000	0.000	Merged-chrX-152233143-82
NR6124--MA0495.2.MAFF	chr17	86063692	86063712	+	0.000	0.000	Merged-chr17-86063661-27
NR3743--MA0089.1.MAFG::NFE2L1	chr13	109922339	109922344	-	0.000	0.000	Merged-chr13-109922319-36
NR2459--MA0501.1.MAF::NFE2	chr11	117109902	117109916	+	0.000	0.000	Merged-chr11-117109823-31
NR2308--MA0117.2.Mafb	chr11	73137763	73137774	-	0.000	0.000	Merged-chr11-73137945-101
NR2410--MA0089.1.MAFG::NFE2L1	chr11	106613082	106613087	+	0.000	0.000	Merged-chr11-106612974-112
NR13513--MA0117.2.Mafb	chrX	9254245	9254256	-	0.000	0.000	Merged-chrX-9254140-30
NR380--MA0659.1.MAFG	chr1	72870499	72870519	-	0.000	0.000	Merged-chr1-72870469-25
NR11463--MA0089.1.MAFG::NFE2L1	chr6	128845488	128845493	+	0.000	0.000	Merged-chr6-128845601-30
NR4499--MA0496.2.MAFK	chr14	118796409	118796427	+	0.000	0.000	Merged-chr14-118796395-16
NR2575--MA0495.2.MAFF	chr12	25240217	25240237	-	0.000	0.000	Merged-chr12-25240283-42
NR13175--MA0496.2.MAFK	chr9	62811079	62811097	-	0.000	0.000	Merged-chr9-62811056-2
NR9543--MA0089.1.MAFG::NFE2L1	chr4	89351297	89351302	+	0.000	0.000	Merged-chr4-89351221-94
NR7384--MA0089.1.MAFG::NFE2L1	chr2	79981166	79981171	+	0.000	0.000	Merged-chr2-79981258-2
NR3641--MA0089.1.MAFG::NFE2L1	chr13	101664126	101664131	-	0.000	0.000	Merged-chr13-101664276-40
NR2107--MA0659.1.MAFG	chr11	11573642	11573662	-	0.000	0.000	Merged-chr11-11573827-37
NR10036--MA0495.2.MAFF	chr5	21658704	21658724	+	0.000	0.000	Merged-chr5-21658802-28
NR7460--MA0501.1.MAF::NFE2	chr2	101871230	101871244	+	0.000	0.000	Merged-chr2-101871394-25
NR12814--MA0591.1.Bach1::Mafk	chr8	91545805	91545819	-	0.000	0.000	Merged-chr8-91545805-43
NR5626--MA0089.1.MAFG::NFE2L1	chr16	93918207	93918212	-	0.000	0.000	Merged-chr16-93918388-61
NR6361--MA0501.1.MAF::NFE2	chr18	39035417	39035431	-	0.000	0.000	Merged-chr18-39035384-28
NR9752--MA0495.2.MAFF	chr4	142153734	142153754	-	0.000	0.000	Merged-chr4-142153700-30
NR12896--MA0089.1.MAFG::NFE2L1	chr8	111527342	111527347	-	0.000	0.000	Merged-chr8-111527388-53
NR6126--MA0117.2.Mafb	chr17	86063701	86063712	-	0.000	0.000	Merged-chr17-86063661-27
NR13131--MA0089.1.MAFG::NFE2L1	chr9	44361684	44361689	-	0.000	0.000	Merged-chr9-44361748-43
NR5054--MA0117.2.Mafb	chr15	99009003	99009014	+	0.000	0.000	Merged-chr15-99008995-43
NR9917--MA0591.1.Bach1::Mafk	chr5	8798566	8798580	+	0.000	0.000	Merged-chr5-8798453-77
NR11072--MA0089.1.MAFG::NFE2L1	chr6	66155080	66155085	-	0.000	0.000	Merged-chr6-66154948-26
NR9754--MA0659.1.MAFG	chr4	142153734	142153754	+	0.000	0.000	Merged-chr4-142153700-30
NR10690--MA0591.1.Bach1::Mafk	chr6	3345466	3345480	+	0.000	0.000	Merged-chr6-3345422-65
NR6944--MA0089.1.MAFG::NFE2L1	chr2	11100473	11100478	+	0.000	0.000	Merged-chr2-11100320-38
NR13149--MA0591.1.Bach1::Mafk	chr9	53603584	53603598	-	0.000	0.000	Merged-chr9-53603556-33
NR5033--MA0089.1.MAFG::NFE2L1	chr15	94276645	94276650	-	0.000	0.000	Merged-chr15-94276800-21
NR1595--MA0089.1.MAFG::NFE2L1	chr10	67658044	67658049	+	0.000	0.000	Merged-chr10-67657975-87
NR834--MA0591.1.Bach1::Mafk	chr1	152010403	152010417	+	0.000	0.000	Merged-chr1-152010502-52
NR10897--MA0501.1.MAF::NFE2	chr6	34869614	34869628	+	0.000	0.000	Merged-chr6-34869594-48
NR6811--MA0117.2.Mafb	chr19	32268705	32268716	+	0.000	0.000	Merged-chr19-32268730-8
NR1971--MA0089.1.MAFG::NFE2L1	chr10	117918729	117918734	+	0.000	0.000	Merged-chr10-117918701-83
NR2436--MA0496.2.MAFK	chr11	115463666	115463684	+	0.000	0.000	Merged-chr11-115463666-29
NR8814--MA0089.1.MAFG::NFE2L1	chr3	133563707	133563712	-	0.000	0.000	Merged-chr3-133563771-42
NR6814--MA0495.2.MAFF	chr19	32320554	32320574	-	0.000	0.000	Merged-chr19-32320426-40
NR11253--MA0117.2.Mafb	chr6	98105382	98105393	-	0.000	0.000	Merged-chr6-98105536-59
NR2045--MA0089.1.MAFG::NFE2L1	chr10	130311663	130311668	+	0.000	0.000	Merged-chr10-130311798-35
NR8049--MA0501.1.MAF::NFE2	chr3	9833530	9833544	-	0.000	0.000	Merged-chr3-9833444-80
NR10638--MA0501.1.MAF::NFE2	chr5	147063447	147063461	-	0.000	0.000	Merged-chr5-147063758-85
NR1800--MA0501.1.MAF::NFE2	chr10	95971023	95971037	-	0.000	0.000	Merged-chr10-95971075-85
NR6379--MA0089.1.MAFG::NFE2L1	chr18	39801296	39801301	+	0.000	0.000	Merged-chr18-39801283-11
NR433--MA0089.1.MAFG::NFE2L1	chr1	82724875	82724880	+	0.000	0.000	Merged-chr1-82725083-56
NR4596--MA0089.1.MAFG::NFE2L1	chr15	8577694	8577699	+	0.000	0.000	Merged-chr15-8577774-16
NR8635--MA0496.2.MAFK	chr3	104963532	104963550	+	0.000	0.000	Merged-chr3-104963538-12
NR1270--MA0496.2.MAFK	chr10	20966343	20966361	-	0.000	0.000	Merged-chr10-20966333-27
NR4862--MA0496.2.MAFK	chr15	64041701	64041719	+	0.000	0.000	Merged-chr15-64041818-65
NR4518--MA0495.2.MAFF	chr14	120275574	120275594	+	0.000	0.000	Merged-chr14-120275634-49
NR5913--MA0089.1.MAFG::NFE2L1	chr17	45632145	45632150	+	0.000	0.000	Merged-chr17-45632137-18
NR5046--MA0089.1.MAFG::NFE2L1	chr15	96709636	96709641	-	0.000	0.000	Merged-chr15-96709487-2
NR4666--MA0591.1.Bach1::Mafk	chr15	27518266	27518280	-	0.000	0.000	Merged-chr15-27518308-43
NR6133--MA0496.2.MAFK	chr17	86185078	86185096	+	0.000	0.000	Merged-chr17-86185009-23
NR3206--MA0117.2.Mafb	chr13	24515259	24515270	+	0.000	0.000	Merged-chr13-24515324-15
NR735--MA0089.1.MAFG::NFE2L1	chr1	133800982	133800987	-	0.000	0.000	Merged-chr1-133800869-2
NR2360--MA0496.2.MAFK	chr11	94386616	94386634	+	0.000	0.000	Merged-chr11-94386453-49
NR12126--MA0089.1.MAFG::NFE2L1	chr7	101896630	101896635	-	0.000	0.000	Merged-chr7-101896554-69
NR10540--MA0591.1.Bach1::Mafk	chr5	125158609	125158623	-	0.000	0.000	Merged-chr5-125158641-59
NR13281--MA0591.1.Bach1::Mafk	chr9	83548440	83548454	+	0.000	0.000	Merged-chr9-83548335-44
NR9843--MA0089.1.MAFG::NFE2L1	chr4	150909918	150909923	-	0.000	0.000	Merged-chr4-150909856-55
NR1795--MA0089.1.MAFG::NFE2L1	chr10	95194223	95194228	+	0.000	0.000	Merged-chr10-95194130-23
NR2736--MA0089.1.MAFG::NFE2L1	chr12	52796533	52796538	-	0.000	0.000	Merged-chr12-52796443-43
NR3665--MA0089.1.MAFG::NFE2L1	chr13	102895939	102895944	+	0.000	0.000	Merged-chr13-102896052-33
NR2245--MA0089.1.MAFG::NFE2L1	chr11	52320617	52320622	-	0.000	0.000	Merged-chr11-52320694-9
NR13590--MA0659.1.MAFG	chrX	59568329	59568349	+	0.000	0.000	Merged-chrX-59568240-6
NR2068--MA0591.1.Bach1::Mafk	chr11	5762415	5762429	-	0.000	0.000	Merged-chr11-5762236-58
NR2472--MA0501.1.MAF::NFE2	chr11	119991489	119991503	+	0.000	0.000	Merged-chr11-119991452-27
NR394--MA0117.2.Mafb	chr1	75168894	75168905	-	0.000	0.000	Merged-chr1-75168775-61
NR2411--MA0591.1.Bach1::Mafk	chr11	107479721	107479735	-	0.000	0.000	Merged-chr11-107479567-52
NR1799--MA0591.1.Bach1::Mafk	chr10	95971026	95971040	-	0.000	0.000	Merged-chr10-95971075-85
NR12261--MA0591.1.Bach1::Mafk	chr7	127113133	127113147	+	0.000	0.000	Merged-chr7-127113224-85
NR11164--MA0117.2.Mafb	chr6	82775641	82775652	-	0.000	0.000	Merged-chr6-82775550-35
NR13155--MA0089.1.MAFG::NFE2L1	chr9	56118655	56118660	+	0.000	0.000	Merged-chr9-56118638-19
NR8132--MA0659.1.MAFG	chr3	21917647	21917667	+	0.000	0.000	Merged-chr3-21917648-70
NR1671--MA0591.1.Bach1::Mafk	chr10	80249144	80249158	-	0.000	0.000	Merged-chr10-80249310-65
NR11132--MA0501.1.MAF::NFE2	chr6	71125156	71125170	+	0.000	0.000	Merged-chr6-71125305-30
NR3021--MA0495.2.MAFF	chr12	114991122	114991142	+	0.000	0.000	Merged-chr12-114991248-55
NR8536--MA0089.1.MAFG::NFE2L1	chr3	88325033	88325038	-	0.000	0.000	Merged-chr3-88325153-39
NR1780--MA0089.1.MAFG::NFE2L1	chr10	93442398	93442403	+	0.000	0.000	Merged-chr10-93442339-20
NR10871--MA0117.2.Mafb	chr6	31803430	31803441	+	0.000	0.000	Merged-chr6-31803356-16
NR383--MA0496.2.MAFK	chr1	72870500	72870518	-	0.000	0.000	Merged-chr1-72870469-25
NR5516--MA0117.2.Mafb	chr16	75855646	75855657	-	0.000	0.000	Merged-chr16-75855662-51
NR12239--MA0591.1.Bach1::Mafk	chr7	119861791	119861805	+	0.000	0.000	Merged-chr7-119861539-102
NR5635--MA0089.1.MAFG::NFE2L1	chr16	95827629	95827634	+	0.000	0.000	Merged-chr16-95827524-61
NR6559--MA0591.1.Bach1::Mafk	chr18	66041378	66041392	+	0.000	0.000	Merged-chr18-66041389-38
NR2058--MA0501.1.MAF::NFE2	chr11	3165466	3165480	-	0.000	0.000	Merged-chr11-3165665-33
NR6082--MA0117.2.Mafb	chr17	80392000	80392011	+	0.000	0.000	Merged-chr17-80391888-51
NR2374--MA0496.2.MAFK	chr11	95834502	95834520	-	0.000	0.000	Merged-chr11-95834511-50
NR1627--MA0659.1.MAFG	chr10	70903743	70903763	+	0.000	0.000	Merged-chr10-70903939-1
NR13315--MA0496.2.MAFK	chr9	90257561	90257579	+	0.000	0.000	Merged-chr9-90257512-5
NR8815--MA0591.1.Bach1::Mafk	chr3	133563700	133563714	-	0.000	0.000	Merged-chr3-133563771-42
NR1603--MA0089.1.MAFG::NFE2L1	chr10	68724427	68724432	-	0.000	0.000	Merged-chr10-68724362-53
NR11605--MA0591.1.Bach1::Mafk	chr6	143462312	143462326	-	0.000	0.000	Merged-chr6-143462218-2
NR5925--MA0591.1.Bach1::Mafk	chr17	50470628	50470642	+	0.000	0.000	Merged-chr17-50470429-100
NR7378--MA0117.2.Mafb	chr2	79180871	79180882	-	0.000	0.000	Merged-chr2-79180935-23
NR2735--MA0501.1.MAF::NFE2	chr12	52644368	52644382	+	0.000	0.000	Merged-chr12-52644289-23
NR5988--MA0501.1.MAF::NFE2	chr17	65826440	65826454	+	0.000	0.000	Merged-chr17-65826425-32
NR10543--MA0591.1.Bach1::Mafk	chr5	125340635	125340649	-	0.000	0.000	Merged-chr5-125340767-86
NR11973--MA0495.2.MAFF	chr7	75630057	75630077	+	0.000	0.000	Merged-chr7-75629936-10
NR13465--MA0117.2.Mafb	chr9	114496670	114496681	+	0.000	0.000	Merged-chr9-114496634-56
NR2972--MA0659.1.MAFG	chr12	103341439	103341459	+	0.000	0.000	Merged-chr12-103341437-53
NR8623--MA0591.1.Bach1::Mafk	chr3	101407694	101407708	-	0.000	0.000	Merged-chr3-101407677-30
NR2372--MA0591.1.Bach1::Mafk	chr11	95834504	95834518	+	0.000	0.000	Merged-chr11-95834511-50
NR8916--MA0659.1.MAFG	chr3	146063412	146063432	+	0.000	0.000	Merged-chr3-146063322-20
NR9195--MA0591.1.Bach1::Mafk	chr4	33582099	33582113	-	0.000	0.000	Merged-chr4-33582045-40
NR12917--MA0117.2.Mafb	chr8	116689923	116689934	-	0.000	0.000	Merged-chr8-116689955-52
NR12481--MA0501.1.MAF::NFE2	chr8	34083508	34083522	+	0.000	0.000	Merged-chr8-34083686-45
NR13230--MA0496.2.MAFK	chr9	78074139	78074157	-	0.000	0.000	Merged-chr9-78074095-46
NR3850--MA0089.1.MAFG::NFE2L1	chr14	7964762	7964767	+	0.000	0.000	Merged-chr14-7964637-21
NR946--MA0089.1.MAFG::NFE2L1	chr1	170863194	170863199	-	0.000	0.000	Merged-chr1-170863214-38
NR6388--MA0089.1.MAFG::NFE2L1	chr18	41888474	41888479	+	0.000	0.000	Merged-chr18-41888397-77
NR4981--MA0089.1.MAFG::NFE2L1	chr15	86054364	86054369	-	0.000	0.000	Merged-chr15-86054318-51
NR13557--MA0496.2.MAFK	chrX	48310731	48310749	-	0.000	0.000	Merged-chrX-48310773-8
NR862--MA0591.1.Bach1::Mafk	chr1	160042519	160042533	-	0.000	0.000	Merged-chr1-160042538-15
NR542--MA0089.1.MAFG::NFE2L1	chr1	98130346	98130351	-	0.000	0.000	Merged-chr1-98130284-39
NR12268--MA0117.2.Mafb	chr7	127968612	127968623	+	0.000	0.000	Merged-chr7-127968493-40
NR4519--MA0591.1.Bach1::Mafk	chr14	120275577	120275591	-	0.000	0.000	Merged-chr14-120275634-49
NR12274--MA0501.1.MAF::NFE2	chr7	130886484	130886498	-	0.000	0.000	Merged-chr7-130886495-31
NR7723--MA0117.2.Mafb	chr2	145903139	145903150	+	0.000	0.000	Merged-chr2-145903332-51
NR13166--MA0501.1.MAF::NFE2	chr9	61708039	61708053	-	0.000	0.000	Merged-chr9-61708026-57
NR12813--MA0089.1.MAFG::NFE2L1	chr8	91545812	91545817	-	0.000	0.000	Merged-chr8-91545805-43
NR12067--MA0501.1.MAF::NFE2	chr7	89712840	89712854	-	0.000	0.000	Merged-chr7-89712844-48
NR11955--MA0496.2.MAFK	chr7	73588798	73588816	+	0.000	0.000	Merged-chr7-73589087-116
NR8776--MA0591.1.Bach1::Mafk	chr3	126693213	126693227	-	0.000	0.000	Merged-chr3-126693084-1
