#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR5732--MA0501.1.MAF::NFE2	chr18	12634787	12634801	+	0.000	0.000	Merged-chr18-12634847-43
NR11007--MA0117.2.Mafb	chr7	58701539	58701550	+	0.000	0.000	Merged-chr7-58701532-33
NR4518--MA0495.2.MAFF	chr15	58927827	58927847	+	0.000	0.000	Merged-chr15-58927815-41
NR6965--MA0591.1.Bach1::Mafk	chr2	114135319	114135333	+	0.000	0.000	Merged-chr2-114135366-6
NR2838--MA0089.1.MAFG::NFE2L1	chr12	86801872	86801877	+	0.000	0.000	Merged-chr12-86801944-91
NR5422--MA0089.1.MAFG::NFE2L1	chr17	33940346	33940351	+	0.000	0.000	Merged-chr17-33940486-52
NR2090--MA0591.1.Bach1::Mafk	chr11	60935556	60935570	+	0.000	0.000	Merged-chr11-60935533-50
NR4092--MA0496.2.MAFK	chr14	68048503	68048521	-	0.000	0.000	Merged-chr14-68048538-29
NR6720--MA0501.1.MAF::NFE2	chr2	52955277	52955291	+	0.000	0.000	Merged-chr2-52955279-28
NR2497--MA0591.1.Bach1::Mafk	chr11	115631244	115631258	-	0.000	0.000	Merged-chr11-115631252-39
NR9651--MA0117.2.Mafb	chr5	115312987	115312998	+	0.000	0.000	Merged-chr5-115313005-7
NR7835--MA0591.1.Bach1::Mafk	chr3	95942953	95942967	+	0.000	0.000	Merged-chr3-95942857-2
NR3478--MA0089.1.MAFG::NFE2L1	chr13	67814191	67814196	-	0.000	0.000	Merged-chr13-67814064-68
NR11251--MA0496.2.MAFK	chr7	104465138	104465156	-	0.000	0.000	Merged-chr7-104465292-53
NR10862--MA0591.1.Bach1::Mafk	chr7	25239265	25239279	-	0.000	0.000	Merged-chr7-25239376-34
NR911--MA0496.2.MAFK	chr1	180942985	180943003	+	0.000	0.000	Merged-chr1-180943118-2
NR11678--MA0501.1.MAF::NFE2	chr8	33647107	33647121	-	0.000	0.000	Merged-chr8-33647058-21
NR8599--MA0591.1.Bach1::Mafk	chr4	85802087	85802101	+	0.000	0.000	Merged-chr4-85801965-31
NR3106--MA0495.2.MAFF	chr12	115258126	115258146	+	0.000	0.000	Merged-chr12-115257987-63
NR2030--MA0089.1.MAFG::NFE2L1	chr11	53350912	53350917	-	0.000	0.000	Merged-chr11-53350915-81
NR7709--MA0089.1.MAFG::NFE2L1	chr3	65416733	65416738	-	0.000	0.000	Merged-chr3-65416822-6
NR5632--MA0117.2.Mafb	chr17	85982023	85982034	+	0.000	0.000	Merged-chr17-85982062-9
NR13001--MA0591.1.Bach1::Mafk	chrX	106189457	106189471	-	0.000	0.000	Merged-chrX-106189421-28
NR10904--MA0591.1.Bach1::Mafk	chr7	30000775	30000789	-	0.000	0.000	Merged-chr7-30000834-5
NR1248--MA0496.2.MAFK	chr10	29313191	29313209	+	0.000	0.000	Merged-chr10-29313390-69
NR10815--MA0496.2.MAFK	chr7	16057371	16057389	-	0.000	0.000	Merged-chr7-16057177-61
NR11109--MA0591.1.Bach1::Mafk	chr7	80889940	80889954	-	0.000	0.000	Merged-chr7-80889840-60
NR2733--MA0591.1.Bach1::Mafk	chr12	55399027	55399041	-	0.000	0.000	Merged-chr12-55398885-58
NR12139--MA0089.1.MAFG::NFE2L1	chr8	128171310	128171315	+	0.000	0.000	Merged-chr8-128171364-20
NR10468--MA0501.1.MAF::NFE2	chr6	124492955	124492969	-	0.000	0.000	Merged-chr6-124493051-20
NR4606--MA0089.1.MAFG::NFE2L1	chr15	73318726	73318731	+	0.000	0.000	Merged-chr15-73318798-19
NR2490--MA0496.2.MAFK	chr11	115460241	115460259	+	0.000	0.000	Merged-chr11-115460107-26
NR5796--MA0591.1.Bach1::Mafk	chr18	32880586	32880600	-	0.000	0.000	Merged-chr18-32880667-46
NR12400--MA0089.1.MAFG::NFE2L1	chr9	69987729	69987734	-	0.000	0.000	Merged-chr9-69987848-24
NR3108--MA0659.1.MAFG	chr12	115258126	115258146	-	0.000	0.000	Merged-chr12-115257987-63
NR7257--MA0591.1.Bach1::Mafk	chr2	146062481	146062495	-	0.000	0.000	Merged-chr2-146062523-26
NR4666--MA0495.2.MAFF	chr15	83149651	83149671	+	0.000	0.000	Merged-chr15-83149470-115
NR10856--MA0495.2.MAFF	chr7	25107335	25107355	-	0.000	0.000	Merged-chr7-25107253-25
NR3242--MA0117.2.Mafb	chr13	19474125	19474136	+	0.000	0.000	Merged-chr13-19474198-30
NR5622--MA0089.1.MAFG::NFE2L1	chr17	84004425	84004430	-	0.000	0.000	Merged-chr17-84004507-68
NR9085--MA0591.1.Bach1::Mafk	chr5	3358939	3358953	+	0.000	0.000	Merged-chr5-3358967-15
NR2170--MA0117.2.Mafb	chr11	73133127	73133138	-	0.000	0.000	Merged-chr11-73133140-9
NR3903--MA0495.2.MAFF	chr14	16244006	16244026	-	0.000	0.000	Merged-chr14-16243907-1
NR2258--MA0089.1.MAFG::NFE2L1	chr11	86646740	86646745	-	0.000	0.000	Merged-chr11-86646751-12
NR6613--MA0495.2.MAFF	chr2	34982231	34982251	+	0.000	0.000	Merged-chr2-34982434-20
NR11963--MA0089.1.MAFG::NFE2L1	chr8	111821507	111821512	+	0.000	0.000	Merged-chr8-111821367-66
NR11096--MA0089.1.MAFG::NFE2L1	chr7	79249754	79249759	+	0.000	0.000	Merged-chr7-79249720-34
NR6718--MA0659.1.MAFG	chr2	52955271	52955291	+	0.000	0.000	Merged-chr2-52955279-28
NR3142--MA0495.2.MAFF	chr12	117403964	117403984	-	0.000	0.000	Merged-chr12-117403786-38
NR10858--MA0659.1.MAFG	chr7	25107335	25107355	-	0.000	0.000	Merged-chr7-25107253-25
NR4694--MA0089.1.MAFG::NFE2L1	chr15	89123092	89123097	+	0.000	0.000	Merged-chr15-89123028-62
NR7860--MA0591.1.Bach1::Mafk	chr3	100485572	100485586	+	0.000	0.000	Merged-chr3-100485684-16
NR11889--MA0089.1.MAFG::NFE2L1	chr8	91545812	91545817	-	0.000	0.000	Merged-chr8-91545805-43
NR6179--MA0495.2.MAFF	chr19	14386888	14386908	-	0.000	0.000	Merged-chr19-14386985-23
NR9979--MA0501.1.MAF::NFE2	chr6	17633954	17633968	-	0.000	0.000	Merged-chr6-17634029-17
NR1880--MA0495.2.MAFF	chr11	4249445	4249465	-	0.000	0.000	Merged-chr11-4249438-7
NR12339--MA0089.1.MAFG::NFE2L1	chr9	58253264	58253269	-	0.000	0.000	Merged-chr9-58253274-50
NR6247--MA0501.1.MAF::NFE2	chr19	32172691	32172705	+	0.000	0.000	Merged-chr19-32172725-56
NR8058--MA0089.1.MAFG::NFE2L1	chr3	127892031	127892036	-	0.000	0.000	Merged-chr3-127892051-37
NR11941--MA0496.2.MAFK	chr8	106795005	106795023	-	0.000	0.000	Merged-chr8-106794988-23
NR7902--MA0591.1.Bach1::Mafk	chr3	105892542	105892556	+	0.000	0.000	Merged-chr3-105892493-111
NR3461--MA0089.1.MAFG::NFE2L1	chr13	64049733	64049738	-	0.000	0.000	Merged-chr13-64049732-3
NR2041--MA0089.1.MAFG::NFE2L1	chr11	54288120	54288125	-	0.000	0.000	Merged-chr11-54288058-10
NR12243--MA0496.2.MAFK	chr9	32539801	32539819	+	0.000	0.000	Merged-chr9-32539747-88
NR10923--MA0501.1.MAF::NFE2	chr7	31002843	31002857	+	0.000	0.000	Merged-chr7-31002870-48
NR12369--MA0591.1.Bach1::Mafk	chr9	62425370	62425384	-	0.000	0.000	Merged-chr9-62425384-15
NR7611--MA0659.1.MAFG	chr3	21917647	21917667	-	0.000	0.000	Merged-chr3-21917648-70
NR7807--MA0089.1.MAFG::NFE2L1	chr3	90446503	90446508	-	0.000	0.000	Merged-chr3-90446607-7
NR7997--MA0089.1.MAFG::NFE2L1	chr3	116630321	116630326	+	0.000	0.000	Merged-chr3-116630474-26
NR3019--MA0659.1.MAFG	chr12	110438524	110438544	+	0.000	0.000	Merged-chr12-110438622-2
NR6086--MA0089.1.MAFG::NFE2L1	chr18	84859697	84859702	+	0.000	0.000	Merged-chr18-84859622-32
NR11807--MA0496.2.MAFK	chr8	75084002	75084020	+	0.000	0.000	Merged-chr8-75083999-30
NR2787--MA0501.1.MAF::NFE2	chr12	77138857	77138871	+	0.000	0.000	Merged-chr12-77138910-46
NR10072--MA0591.1.Bach1::Mafk	chr6	50261847	50261861	+	0.000	0.000	Merged-chr6-50261833-23
NR3290--MA0495.2.MAFF	chr13	24515259	24515279	+	0.000	0.000	Merged-chr13-24515324-15
NR12711--MA0117.2.Mafb	chr9	111138456	111138467	-	0.000	0.000	Merged-chr9-111138403-3
NR538--MA0591.1.Bach1::Mafk	chr1	138931155	138931169	+	0.000	0.000	Merged-chr1-138931080-29
NR6879--MA0089.1.MAFG::NFE2L1	chr2	84784886	84784891	-	0.000	0.000	Merged-chr2-84784837-8
NR12373--MA0496.2.MAFK	chr9	62425368	62425386	-	0.000	0.000	Merged-chr9-62425384-15
NR12029--MA0495.2.MAFF	chr8	122533215	122533235	+	0.000	0.000	Merged-chr8-122533289-14
NR6388--MA0089.1.MAFG::NFE2L1	chr19	57150498	57150503	-	0.000	0.000	Merged-chr19-57150448-16
NR10655--MA0495.2.MAFF	chr6	142519101	142519121	-	0.000	0.000	Merged-chr6-142519262-28
NR11349--MA0591.1.Bach1::Mafk	chr7	116409585	116409599	-	0.000	0.000	Merged-chr7-116409560-37
NR7409--MA0591.1.Bach1::Mafk	chr2	164924666	164924680	+	0.000	0.000	Merged-chr2-164924683-26
NR12953--MA0659.1.MAFG	chrX	75764228	75764248	-	0.000	0.000	Merged-chrX-75764478-65
NR12539--MA0089.1.MAFG::NFE2L1	chr9	85672289	85672294	-	0.000	0.000	Merged-chr9-85672342-1
NR9646--MA0501.1.MAF::NFE2	chr5	115126769	115126783	+	0.000	0.000	Merged-chr5-115126925-31
NR11004--MA0089.1.MAFG::NFE2L1	chr7	58584554	58584559	-	0.000	0.000	Merged-chr7-58584520-36
NR4519--MA0591.1.Bach1::Mafk	chr15	58927830	58927844	-	0.000	0.000	Merged-chr15-58927815-41
NR2732--MA0089.1.MAFG::NFE2L1	chr12	55399034	55399039	-	0.000	0.000	Merged-chr12-55398885-58
NR7780--MA0089.1.MAFG::NFE2L1	chr3	88491378	88491383	+	0.000	0.000	Merged-chr3-88491281-8
NR2265--MA0591.1.Bach1::Mafk	chr11	87074104	87074118	+	0.000	0.000	Merged-chr11-87073947-35
NR4131--MA0117.2.Mafb	chr14	74646622	74646633	+	0.000	0.000	Merged-chr14-74646498-47
NR8708--MA0501.1.MAF::NFE2	chr4	108350026	108350040	-	0.000	0.000	Merged-chr4-108350117-42
NR3928--MA0591.1.Bach1::Mafk	chr14	20846168	20846182	-	0.000	0.000	Merged-chr14-20846065-30
NR6199--MA0089.1.MAFG::NFE2L1	chr19	18555805	18555810	-	0.000	0.000	Merged-chr19-18555822-23
NR5434--MA0591.1.Bach1::Mafk	chr17	35046802	35046816	-	0.000	0.000	Merged-chr17-35046725-56
NR2084--MA0495.2.MAFF	chr11	60935531	60935551	+	0.000	0.000	Merged-chr11-60935533-50
NR476--MA0591.1.Bach1::Mafk	chr1	128357640	128357654	-	0.000	0.000	Merged-chr1-128357646-37
NR8840--MA0591.1.Bach1::Mafk	chr4	127015767	127015781	-	0.000	0.000	Merged-chr4-127015612-55
NR12286--MA0117.2.Mafb	chr9	43096440	43096451	+	0.000	0.000	Merged-chr9-43096353-58
NR4395--MA0501.1.MAF::NFE2	chr15	25817412	25817426	-	0.000	0.000	Merged-chr15-25817272-36
NR3392--MA0501.1.MAF::NFE2	chr13	49213774	49213788	-	0.000	0.000	Merged-chr13-49213785-35
NR4528--MA0089.1.MAFG::NFE2L1	chr15	59653099	59653104	-	0.000	0.000	Merged-chr15-59653150-73
NR12813--MA0089.1.MAFG::NFE2L1	chr9	120074601	120074606	-	0.000	0.000	Merged-chr9-120074668-51
NR12394--MA0591.1.Bach1::Mafk	chr9	69125460	69125474	-	0.000	0.000	Merged-chr9-69125560-59
NR3296--MA0501.1.MAF::NFE2	chr13	24515265	24515279	+	0.000	0.000	Merged-chr13-24515324-15
NR3292--MA0117.2.Mafb	chr13	24515259	24515270	+	0.000	0.000	Merged-chr13-24515324-15
NR12479--MA0591.1.Bach1::Mafk	chr9	80252242	80252256	-	0.000	0.000	Merged-chr9-80252331-18
NR1648--MA0495.2.MAFF	chr10	107858904	107858924	-	0.000	0.000	Merged-chr10-107858878-12
NR5659--MA0089.1.MAFG::NFE2L1	chr17	88511407	88511412	-	0.000	0.000	Merged-chr17-88511397-31
NR3889--MA0089.1.MAFG::NFE2L1	chr14	14068436	14068441	+	0.000	0.000	Merged-chr14-14068310-99
NR12033--MA0089.1.MAFG::NFE2L1	chr8	122704736	122704741	+	0.000	0.000	Merged-chr8-122704840-25
NR6638--MA0117.2.Mafb	chr2	38536563	38536574	-	0.000	0.000	Merged-chr2-38536477-82
NR11885--MA0089.1.MAFG::NFE2L1	chr8	90936883	90936888	+	0.000	0.000	Merged-chr8-90936963-24
NR6127--MA0501.1.MAF::NFE2	chr19	4037979	4037993	+	0.000	0.000	Merged-chr19-4037964-42
NR1512--MA0089.1.MAFG::NFE2L1	chr10	88327454	88327459	-	0.000	0.000	Merged-chr10-88327622-31
NR11114--MA0501.1.MAF::NFE2	chr7	82971472	82971486	-	0.000	0.000	Merged-chr7-82971479-16
NR3908--MA0496.2.MAFK	chr14	16244007	16244025	-	0.000	0.000	Merged-chr14-16243907-1
NR648--MA0591.1.Bach1::Mafk	chr1	155040533	155040547	+	0.000	0.000	Merged-chr1-155040391-76
NR9965--MA0089.1.MAFG::NFE2L1	chr6	15738560	15738565	-	0.000	0.000	Merged-chr6-15738644-7
NR12335--MA0089.1.MAFG::NFE2L1	chr9	57577549	57577554	-	0.000	0.000	Merged-chr9-57577523-17
NR11806--MA0501.1.MAF::NFE2	chr8	75084001	75084015	-	0.000	0.000	Merged-chr8-75083999-30
NR9850--MA0089.1.MAFG::NFE2L1	chr5	146844437	146844442	+	0.000	0.000	Merged-chr5-146844411-3
NR10783--MA0591.1.Bach1::Mafk	chr7	4493029	4493043	+	0.000	0.000	Merged-chr7-4492991-39
NR4137--MA0089.1.MAFG::NFE2L1	chr14	75131285	75131290	+	0.000	0.000	Merged-chr14-75131133-67
NR12--MA0089.1.MAFG::NFE2L1	chr1	13052456	13052461	+	0.000	0.000	Merged-chr1-13052356-32
NR4513--MA0089.1.MAFG::NFE2L1	chr15	58649984	58649989	-	0.000	0.000	Merged-chr15-58650001-42
NR3862--MA0501.1.MAF::NFE2	chr13	119657428	119657442	-	0.000	0.000	Merged-chr13-119657260-10
NR8626--MA0591.1.Bach1::Mafk	chr4	89516002	89516016	-	0.000	0.000	Merged-chr4-89516226-43
NR7950--MA0591.1.Bach1::Mafk	chr3	109124297	109124311	-	0.000	0.000	Merged-chr3-109124189-33
NR10075--MA0591.1.Bach1::Mafk	chr6	50553488	50553502	+	0.000	0.000	Merged-chr6-50553342-12
NR617--MA0496.2.MAFK	chr1	152254076	152254094	+	0.000	0.000	Merged-chr1-152254014-57
NR2569--MA0089.1.MAFG::NFE2L1	chr12	3745872	3745877	-	0.000	0.000	Merged-chr12-3745858-43
NR11738--MA0591.1.Bach1::Mafk	chr8	66495990	66496004	-	0.000	0.000	Merged-chr8-66495916-40
NR3498--MA0089.1.MAFG::NFE2L1	chr13	73491112	73491117	-	0.000	0.000	Merged-chr13-73490941-1,Merged-chr13-73491277-13
NR6627--MA0496.2.MAFK	chr2	35447542	35447560	-	0.000	0.000	Merged-chr2-35447488-46
NR7955--MA0501.1.MAF::NFE2	chr3	109323889	109323903	+	0.000	0.000	Merged-chr3-109323909-70
NR12743--MA0117.2.Mafb	chr9	114621151	114621162	-	0.000	0.000	Merged-chr9-114621254-26
NR11768--MA0495.2.MAFF	chr8	70635680	70635700	+	0.000	0.000	Merged-chr8-70635559-11
NR5005--MA0495.2.MAFF	chr16	52468520	52468540	-	0.000	0.000	Merged-chr16-52468577-24
NR4823--MA0591.1.Bach1::Mafk	chr16	4790140	4790154	+	0.000	0.000	Merged-chr16-4790072-71
NR4439--MA0089.1.MAFG::NFE2L1	chr15	37193060	37193065	+	0.000	0.000	Merged-chr15-37193081-4
NR729--MA0496.2.MAFK	chr1	163383764	163383782	-	0.000	0.000	Merged-chr1-163383772-21
NR842--MA0089.1.MAFG::NFE2L1	chr1	175625692	175625697	+	0.000	0.000	Merged-chr1-175625655-94
NR351--MA0089.1.MAFG::NFE2L1	chr1	94056132	94056137	-	0.000	0.000	Merged-chr1-94056150-27
NR2050--MA0089.1.MAFG::NFE2L1	chr11	55136889	55136894	+	0.000	0.000	Merged-chr11-55136995-49
NR7782--MA0659.1.MAFG	chr3	88503277	88503297	+	0.000	0.000	Merged-chr3-88503323-39
NR10420--MA0501.1.MAF::NFE2	chr6	118099638	118099652	+	0.000	0.000	Merged-chr6-118099551-27
NR9946--MA0501.1.MAF::NFE2	chr6	10690801	10690815	-	0.000	0.000	Merged-chr6-10690708-20
NR8503--MA0495.2.MAFF	chr4	47314181	47314201	-	0.000	0.000	Merged-chr4-47314208-36
NR11028--MA0089.1.MAFG::NFE2L1	chr7	66116123	66116128	+	0.000	0.000	Merged-chr7-66116161-49
NR4759--MA0591.1.Bach1::Mafk	chr15	97361204	97361218	+	0.000	0.000	Merged-chr15-97361236-9
NR8751--MA0659.1.MAFG	chr4	116018506	116018526	-	0.000	0.000	Merged-chr4-116018460-3
NR2611--MA0591.1.Bach1::Mafk	chr12	17710516	17710530	-	0.000	0.000	Merged-chr12-17710321-27
NR5030--MA0591.1.Bach1::Mafk	chr16	55975111	55975125	+	0.000	0.000	Merged-chr16-55975100-1
NR10902--MA0495.2.MAFF	chr7	30000772	30000792	+	0.000	0.000	Merged-chr7-30000834-5
NR12403--MA0117.2.Mafb	chr9	70761115	70761126	-	0.000	0.000	Merged-chr9-70761160-31
NR5352--MA0591.1.Bach1::Mafk	chr17	22165863	22165877	-	0.000	0.000	Merged-chr17-22165943-71
NR653--MA0089.1.MAFG::NFE2L1	chr1	155196183	155196188	-	0.000	0.000	Merged-chr1-155196106-8
NR5646--MA0501.1.MAF::NFE2	chr17	86850856	86850870	+	0.000	0.000	Merged-chr17-86850931-27
NR2843--MA0089.1.MAFG::NFE2L1	chr12	86971334	86971339	+	0.000	0.000	Merged-chr12-86971344-14
NR1423--MA0089.1.MAFG::NFE2L1	chr10	75446552	75446557	-	0.000	0.000	Merged-chr10-75446685-44
NR12044--MA0089.1.MAFG::NFE2L1	chr8	122989265	122989270	+	0.000	0.000	Merged-chr8-122989184-11
NR2212--MA0659.1.MAFG	chr11	79207637	79207657	-	0.000	0.000	Merged-chr11-79207824-18
NR8872--MA0659.1.MAFG	chr4	133625795	133625815	-	0.000	0.000	Merged-chr4-133625907-62
NR13060--MA0089.1.MAFG::NFE2L1	chrX	167101843	167101848	+	0.000	0.000	Merged-chrX-167102061-51
NR6538--MA0501.1.MAF::NFE2	chr2	18821913	18821927	-	0.000	0.000	Merged-chr2-18821841-56
NR2879--MA0117.2.Mafb	chr12	92823563	92823574	+	0.000	0.000	Merged-chr12-92823421-39
NR2278--MA0089.1.MAFG::NFE2L1	chr11	87853247	87853252	-	0.000	0.000	Merged-chr11-87853280-46
NR2173--MA0501.1.MAF::NFE2	chr11	74444015	74444029	-	0.000	0.000	Merged-chr11-74444076-12
NR4148--MA0089.1.MAFG::NFE2L1	chr14	77906646	77906651	+	0.000	0.000	Merged-chr14-77906717-3
NR2334--MA0501.1.MAF::NFE2	chr11	97703265	97703279	+	0.000	0.000	Merged-chr11-97703111-88
NR9196--MA0089.1.MAFG::NFE2L1	chr5	24842607	24842612	+	0.000	0.000	Merged-chr5-24842624-94
NR1321--MA0089.1.MAFG::NFE2L1	chr10	44403554	44403559	-	0.000	0.000	Merged-chr10-44403501-23
NR5655--MA0089.1.MAFG::NFE2L1	chr17	88060190	88060195	+	0.000	0.000	Merged-chr17-88060218-12
NR11100--MA0089.1.MAFG::NFE2L1	chr7	79392945	79392950	-	0.000	0.000	Merged-chr7-79393101-2
NR10805--MA0591.1.Bach1::Mafk	chr7	15949562	15949576	-	0.000	0.000	Merged-chr7-15949519-32
NR3322--MA0501.1.MAF::NFE2	chr13	30732880	30732894	+	0.000	0.000	Merged-chr13-30733063-17
NR7794--MA0495.2.MAFF	chr3	89727207	89727227	-	0.000	0.000	Merged-chr3-89727230-25
NR10085--MA0089.1.MAFG::NFE2L1	chr6	52703429	52703434	-	0.000	0.000	Merged-chr6-52703457-14
NR6716--MA0591.1.Bach1::Mafk	chr2	52955274	52955288	+	0.000	0.000	Merged-chr2-52955279-28
NR6059--MA0501.1.MAF::NFE2	chr18	82492905	82492919	-	0.000	0.000	Merged-chr18-82492983-14
NR4913--MA0089.1.MAFG::NFE2L1	chr16	33769967	33769972	-	0.000	0.000	Merged-chr16-33769896-51
NR4046--MA0089.1.MAFG::NFE2L1	chr14	59691170	59691175	-	0.000	0.000	Merged-chr14-59691138-19
NR1579--MA0117.2.Mafb	chr10	93933049	93933060	-	0.000	0.000	Merged-chr10-93933103-29
NR9094--MA0089.1.MAFG::NFE2L1	chr5	3494541	3494546	-	0.000	0.000	Merged-chr5-3494641-74
NR9183--MA0117.2.Mafb	chr5	21368753	21368764	-	0.000	0.000	Merged-chr5-21368960-21
NR3405--MA0117.2.Mafb	chr13	51418563	51418574	-	0.000	0.000	Merged-chr13-51418745-22
NR10898--MA0501.1.MAF::NFE2	chr7	29816016	29816030	-	0.000	0.000	Merged-chr7-29816029-62
NR6597--MA0089.1.MAFG::NFE2L1	chr2	32152279	32152284	+	0.000	0.000	Merged-chr2-32152273-53
NR8709--MA0496.2.MAFK	chr4	108350027	108350045	+	0.000	0.000	Merged-chr4-108350117-42
NR12042--MA0089.1.MAFG::NFE2L1	chr8	122953335	122953340	-	0.000	0.000	Merged-chr8-122953193-36
NR657--MA0501.1.MAF::NFE2	chr1	155224013	155224027	-	0.000	0.000	Merged-chr1-155224072-96
NR10272--MA0089.1.MAFG::NFE2L1	chr6	91440937	91440942	+	0.000	0.000	Merged-chr6-91441090-75
NR4826--MA0591.1.Bach1::Mafk	chr16	4790194	4790208	-	0.000	0.000	Merged-chr16-4790072-71
NR4839--MA0089.1.MAFG::NFE2L1	chr16	10976316	10976321	-	0.000	0.000	Merged-chr16-10976349-23
NR9083--MA0495.2.MAFF	chr5	3358936	3358956	-	0.000	0.000	Merged-chr5-3358967-15
NR1521--MA0089.1.MAFG::NFE2L1	chr10	88826826	88826831	-	0.000	0.000	Merged-chr10-88826786-54
NR2450--MA0089.1.MAFG::NFE2L1	chr11	113187343	113187348	-	0.000	0.000	Merged-chr11-113187180-1
NR6478--MA0659.1.MAFG	chr2	10825693	10825713	+	0.000	0.000	Merged-chr2-10825844-43
NR10273--MA0117.2.Mafb	chr6	91440968	91440979	-	0.000	0.000	Merged-chr6-91441090-75
NR4007--MA0501.1.MAF::NFE2	chr14	50939150	50939164	-	0.000	0.000	Merged-chr14-50939148-9
NR6899--MA0089.1.MAFG::NFE2L1	chr2	92243992	92243997	-	0.000	0.000	Merged-chr2-92243919-9
NR4401--MA0117.2.Mafb	chr15	27627258	27627269	+	0.000	0.000	Merged-chr15-27627368-1
NR2186--MA0591.1.Bach1::Mafk	chr11	76770744	76770758	+	0.000	0.000	Merged-chr11-76770779-7
NR4086--MA0495.2.MAFF	chr14	68048502	68048522	+	0.000	0.000	Merged-chr14-68048538-29
NR6721--MA0501.1.MAF::NFE2	chr2	52955271	52955285	-	0.000	0.000	Merged-chr2-52955279-28
NR7349--MA0089.1.MAFG::NFE2L1	chr2	154603870	154603875	+	0.000	0.000	Merged-chr2-154603925-61
NR11245--MA0495.2.MAFF	chr7	104465137	104465157	+	0.000	0.000	Merged-chr7-104465292-53
NR3606--MA0089.1.MAFG::NFE2L1	chr13	95592964	95592969	+	0.000	0.000	Merged-chr13-95593068-48
NR6625--MA0501.1.MAF::NFE2	chr2	35447547	35447561	+	0.000	0.000	Merged-chr2-35447488-46
NR12068--MA0089.1.MAFG::NFE2L1	chr8	124333691	124333696	-	0.000	0.000	Merged-chr8-124333870-7
NR8647--MA0495.2.MAFF	chr4	97831808	97831828	+	0.000	0.000	Merged-chr4-97831633-55
NR2376--MA0089.1.MAFG::NFE2L1	chr11	106165392	106165397	-	0.000	0.000	Merged-chr11-106165537-24
NR2380--MA0591.1.Bach1::Mafk	chr11	106487908	106487922	-	0.000	0.000	Merged-chr11-106487771-62
NR1581--MA0501.1.MAF::NFE2	chr10	94021247	94021261	-	0.000	0.000	Merged-chr10-94021256-59
NR4523--MA0501.1.MAF::NFE2	chr15	59599108	59599122	-	0.000	0.000	Merged-chr15-59599060-30
NR12214--MA0495.2.MAFF	chr9	21609994	21610014	+	0.000	0.000	Merged-chr9-21610100-42
NR4992--MA0117.2.Mafb	chr16	52036492	52036503	-	0.000	0.000	Merged-chr16-52036544-1
NR6784--MA0591.1.Bach1::Mafk	chr2	65170813	65170827	+	0.000	0.000	Merged-chr2-65170889-79
NR764--MA0089.1.MAFG::NFE2L1	chr1	165722907	165722912	-	0.000	0.000	Merged-chr1-165722797-48
NR11792--MA0089.1.MAFG::NFE2L1	chr8	72208725	72208730	-	0.000	0.000	Merged-chr8-72208866-14
NR3202--MA0089.1.MAFG::NFE2L1	chr13	8400881	8400886	+	0.000	0.000	Merged-chr13-8400702-31
NR8745--MA0496.2.MAFK	chr4	115984226	115984244	-	0.000	0.000	Merged-chr4-115984376-24
NR4771--MA0495.2.MAFF	chr15	99715149	99715169	-	0.000	0.000	Merged-chr15-99715119-21
NR1749--MA0089.1.MAFG::NFE2L1	chr10	119083571	119083576	-	0.000	0.000	Merged-chr10-119083697-27
NR1499--MA0659.1.MAFG	chr10	86727747	86727767	-	0.000	0.000	Merged-chr10-86727830-49
NR7739--MA0591.1.Bach1::Mafk	chr3	78958964	78958978	-	0.000	0.000	Merged-chr3-78959037-23
NR6318--MA0089.1.MAFG::NFE2L1	chr19	46617550	46617555	-	0.000	0.000	Merged-chr19-46617524-23
NR4316--MA0501.1.MAF::NFE2	chr14	121931119	121931133	-	0.000	0.000	Merged-chr14-121931088-62
NR4525--MA0495.2.MAFF	chr15	59620004	59620024	+	0.000	0.000	Merged-chr15-59620120-63
NR1721--MA0089.1.MAFG::NFE2L1	chr10	117393416	117393421	-	0.000	0.000	Merged-chr10-117393432-68
NR10907--MA0496.2.MAFK	chr7	30000773	30000791	-	0.000	0.000	Merged-chr7-30000834-5
NR11352--MA0496.2.MAFK	chr7	116409583	116409601	+	0.000	0.000	Merged-chr7-116409560-37
NR1682--MA0591.1.Bach1::Mafk	chr10	111506614	111506628	-	0.000	0.000	Merged-chr10-111506860-100
NR258--MA0659.1.MAFG	chr1	74398274	74398294	+	0.000	0.000	Merged-chr1-74398237-10
NR7334--MA0089.1.MAFG::NFE2L1	chr2	152788881	152788886	+	0.000	0.000	Merged-chr2-152788714-7,Merged-chr2-152789002-1
NR662--MA0089.1.MAFG::NFE2L1	chr1	156459786	156459791	+	0.000	0.000	Merged-chr1-156459929-41
NR2362--MA0501.1.MAF::NFE2	chr11	103262561	103262575	+	0.000	0.000	Merged-chr11-103262578-52
NR5498--MA0496.2.MAFK	chr17	56162453	56162471	+	0.000	0.000	Merged-chr17-56162461-54
