#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR1589--MA0508.2.PRDM1	chr5	65832406	65832415	-	0.000	0.000	Merged-chr5-65832305-23
NR1079--MA0508.2.PRDM1	chr19	29372000	29372009	-	0.000	0.000	Merged-chr19-29372024-45
NR5--MA0508.2.PRDM1	chr1	13659713	13659722	+	0.000	0.000	Merged-chr1-13659781-1
NR678--MA0508.2.PRDM1	chr14	15770067	15770076	+	0.000	0.000	Merged-chr14-15770075-60
NR535--MA0508.2.PRDM1	chr12	118525318	118525327	+	0.000	0.000	Merged-chr12-118525490-1
NR915--MA0508.2.PRDM1	chr17	22424139	22424148	-	0.000	0.000	Merged-chr17-22424161-65
NR230--MA0508.2.PRDM1	chr10	44368651	44368660	-	0.000	0.000	Merged-chr10-44368737-26
NR501--MA0508.2.PRDM1	chr12	105684196	105684205	+	0.000	0.000	Merged-chr12-105684124-9
NR1167--MA0508.2.PRDM1	chr2	65182903	65182912	+	0.000	0.000	Merged-chr2-65182800-62
NR405--MA0508.2.PRDM1	chr11	94601809	94601818	-	0.000	0.000	Merged-chr11-94601858-52
NR928--MA0508.2.PRDM1	chr17	33919639	33919648	-	0.000	0.000	Merged-chr17-33919703-60
NR2083--MA0508.2.PRDM1	chr9	53535655	53535664	+	0.000	0.000	Merged-chr9-53535720-15
NR495--MA0508.2.PRDM1	chr12	99557547	99557556	-	0.000	0.000	Merged-chr12-99557572-3
NR418--MA0508.2.PRDM1	chr11	101448428	101448437	-	0.000	0.000	Merged-chr11-101448490-55
NR2192--MA0508.2.PRDM1	chrX	103622468	103622477	+	0.000	0.000	Merged-chrX-103622282-68
NR399--MA0508.2.PRDM1	chr11	89100911	89100920	+	0.000	0.000	Merged-chr11-89100844-64
NR222--MA0508.2.PRDM1	chr10	40212569	40212578	+	0.000	0.000	Merged-chr10-40212600-39
NR48--MA0508.2.PRDM1	chr1	80637467	80637476	+	0.000	0.000	Merged-chr1-80637446-57
NR235--MA0508.2.PRDM1	chr10	53596852	53596861	-	0.000	0.000	Merged-chr10-53596886-150
NR487--MA0508.2.PRDM1	chr12	91736376	91736385	+	0.000	0.000	Merged-chr12-91736459-30
NR615--MA0508.2.PRDM1	chr13	91033695	91033704	+	0.000	0.000	Merged-chr13-91033672-15
NR596--MA0508.2.PRDM1	chr13	63634453	63634462	-	0.000	0.000	Merged-chr13-63634461-26
NR214--MA0508.2.PRDM1	chr10	23786104	23786113	+	0.000	0.000	Merged-chr10-23786190-12
NR737--MA0508.2.PRDM1	chr14	87416438	87416447	-	0.000	0.000	Merged-chr14-87416553-150
NR323--MA0508.2.PRDM1	chr10	128213104	128213113	+	0.000	0.000	Merged-chr10-128213111-44
NR1561--MA0508.2.PRDM1	chr5	21517842	21517851	+	0.000	0.000	Merged-chr5-21517779-12
NR336--MA0508.2.PRDM1	chr11	11498034	11498043	+	0.000	0.000	Merged-chr11-11498094-24
NR1670--MA0508.2.PRDM1	chr5	149184615	149184624	-	0.000	0.000	Merged-chr5-149184513-135
NR2012--MA0508.2.PRDM1	chr8	88161505	88161514	-	0.000	0.000	Merged-chr8-88161496-26
NR2168--MA0508.2.PRDM1	chrX	13652467	13652476	+	0.000	0.000	Merged-chrX-13652412-21
NR437--MA0508.2.PRDM1	chr11	121039431	121039440	-	0.000	0.000	Merged-chr11-121039238-62
NR689--MA0508.2.PRDM1	chr14	32201971	32201980	-	0.000	0.000	Merged-chr14-32201951-64
NR1880--MA0508.2.PRDM1	chr7	66210154	66210163	-	0.000	0.000	Merged-chr7-66210167-22
NR1641--MA0508.2.PRDM1	chr5	115488926	115488935	-	0.000	0.000	Merged-chr5-115489040-3
NR1912--MA0508.2.PRDM1	chr7	98103403	98103412	+	0.000	0.000	Merged-chr7-98103355-56
NR1893--MA0508.2.PRDM1	chr7	80232607	80232616	+	0.000	0.000	Merged-chr7-80232686-63
NR397--MA0508.2.PRDM1	chr11	86257677	86257686	+	0.000	0.000	Merged-chr11-86257585-49
NR2094--MA0508.2.PRDM1	chr9	62420109	62420118	-	0.000	0.000	Merged-chr9-62420075-10
NR429--MA0508.2.PRDM1	chr11	109744019	109744028	+	0.000	0.000	Merged-chr11-109744155-21
NR1620--MA0508.2.PRDM1	chr5	103760624	103760633	+	0.000	0.000	Merged-chr5-103760727-77
NR376--MA0508.2.PRDM1	chr11	70790626	70790635	+	0.000	0.000	Merged-chr11-70790875-54
NR1091--MA0508.2.PRDM1	chr19	34583375	34583384	+	0.000	0.000	Merged-chr19-34583205-74
NR137--MA0508.2.PRDM1	chr1	171033702	171033711	-	0.000	0.000	Merged-chr1-171033722-93
NR1808--MA0508.2.PRDM1	chr6	140708293	140708302	-	0.000	0.000	Merged-chr6-140708216-59
NR1503--MA0508.2.PRDM1	chr4	129525617	129525626	-	0.000	0.000	Merged-chr4-129525565-21
NR2195--MA0508.2.PRDM1	chrX	106135400	106135409	-	0.000	0.000	Merged-chrX-106135223-1
NR259--MA0508.2.PRDM1	chr10	75424930	75424939	-	0.000	0.000	Merged-chr10-75424715-43
NR1721--MA0508.2.PRDM1	chr6	72982080	72982089	+	0.000	0.000	Merged-chr6-72982109-28
NR1102--MA0508.2.PRDM1	chr19	53216906	53216915	-	0.000	0.000	Merged-chr19-53217094-55
NR1830--MA0508.2.PRDM1	chr6	146391307	146391316	+	0.000	0.000	Merged-chr6-146391315-9
NR1463--MA0508.2.PRDM1	chr4	62806283	62806292	+	0.000	0.000	Merged-chr4-62806107-28
NR81--MA0508.2.PRDM1	chr1	132341854	132341863	-	0.000	0.000	Merged-chr1-132341932-46
NR1638--MA0508.2.PRDM1	chr5	114824207	114824216	+	0.000	0.000	Merged-chr5-114824362-38
NR94--MA0508.2.PRDM1	chr1	139454804	139454813	+	0.000	0.000	Merged-chr1-139454784-71
NR1713--MA0508.2.PRDM1	chr6	65662160	65662169	+	0.000	0.000	Merged-chr6-65662238-38
NR1694--MA0508.2.PRDM1	chr6	38342440	38342449	+	0.000	0.000	Merged-chr6-38342518-71
NR1965--MA0508.2.PRDM1	chr7	139295966	139295975	-	0.000	0.000	Merged-chr7-139295944-32
NR1455--MA0508.2.PRDM1	chr4	59230659	59230668	+	0.000	0.000	Merged-chr4-59230603-11
NR2166--MA0508.2.PRDM1	chrX	11653504	11653513	-	0.000	0.000	Merged-chrX-11653555-22
NR1312--MA0508.2.PRDM1	chr3	59120161	59120170	-	0.000	0.000	Merged-chr3-59120352-78
NR1054--MA0508.2.PRDM1	chr19	6339991	6340000	+	0.000	0.000	Merged-chr19-6340106-35
NR2036--MA0508.2.PRDM1	chr8	121898697	121898706	-	0.000	0.000	Merged-chr8-121898554-47
NR1848--MA0508.2.PRDM1	chr7	19004028	19004037	+	0.000	0.000	Merged-chr7-19004188-46
NR1957--MA0508.2.PRDM1	chr7	135631979	135631988	+	0.000	0.000	Merged-chr7-135632078-25
NR924--MA0508.2.PRDM1	chr17	29606460	29606469	-	0.000	0.000	Merged-chr17-29606605-11
NR1814--MA0508.2.PRDM1	chr6	143751087	143751096	-	0.000	0.000	Merged-chr6-143751233-79
NR1795--MA0508.2.PRDM1	chr6	136468704	136468713	-	0.000	0.000	Merged-chr6-136468663-37
NR1381--MA0508.2.PRDM1	chr3	130796716	130796725	+	0.000	0.000	Merged-chr3-130796721-21
NR1652--MA0508.2.PRDM1	chr5	129895660	129895669	+	0.000	0.000	Merged-chr5-129895711-51
NR871--MA0508.2.PRDM1	chr16	52470507	52470516	+	0.000	0.000	Merged-chr16-52470408-42
NR1142--MA0508.2.PRDM1	chr2	24776356	24776365	+	0.000	0.000	Merged-chr2-24776490-30
NR884--MA0508.2.PRDM1	chr16	84621546	84621555	-	0.000	0.000	Merged-chr16-84621546-51
NR1569--MA0508.2.PRDM1	chr5	34514148	34514157	+	0.000	0.000	Merged-chr5-34513990-85
NR502--MA0508.2.PRDM1	chr12	106032064	106032073	-	0.000	0.000	Merged-chr12-106032207-46
NR1025--MA0508.2.PRDM1	chr18	69898889	69898898	-	0.000	0.000	Merged-chr18-69898906-38
NR592--MA0508.2.PRDM1	chr13	55449888	55449897	+	0.000	0.000	Merged-chr13-55449919-14
NR1277--MA0508.2.PRDM1	chr2	179875336	179875345	-	0.000	0.000	Merged-chr2-179875422-32
NR1548--MA0508.2.PRDM1	chr4	156203111	156203120	+	0.000	0.000	Merged-chr4-156203414-81
NR720--MA0508.2.PRDM1	chr14	71120489	71120498	+	0.000	0.000	Merged-chr14-71120653-22
NR876--MA0508.2.PRDM1	chr16	59007264	59007273	-	0.000	0.000	Merged-chr16-59007299-38
NR985--MA0508.2.PRDM1	chr18	12972142	12972151	+	0.000	0.000	Merged-chr18-12972199-6
NR571--MA0508.2.PRDM1	chr13	30614121	30614130	+	0.000	0.000	Merged-chr13-30614195-6
NR1527--MA0508.2.PRDM1	chr4	145300435	145300444	+	0.000	0.000	Merged-chr4-145300303-61
NR680--MA0508.2.PRDM1	chr14	18271189	18271198	-	0.000	0.000	Merged-chr14-18271014-66
NR1636--MA0508.2.PRDM1	chr5	113824380	113824389	+	0.000	0.000	Merged-chr5-113824477-15
NR332--MA0508.2.PRDM1	chr11	6267807	6267816	+	0.000	0.000	Merged-chr11-6267788-45
NR603--MA0508.2.PRDM1	chr13	75901121	75901130	-	0.000	0.000	Merged-chr13-75901199-5
