#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR44722--MA0599.1.KLF5	chr4	21931235	21931244	-	0.000	0.000	Merged-chr4-21931298-41
NR31951--MA0741.1.KLF16	chr18	65924899	65924909	-	0.000	0.000	Merged-chr18-65924997-33
NR50159--MA1107.1.KLF9	chr5	38479189	38479201	-	0.000	0.000	Merged-chr5-38479243-15
NR36688--MA0741.1.KLF16	chr2	73540604	73540614	-	0.000	0.000	Merged-chr2-73540763-38
NR47432--MA0599.1.KLF5	chr4	129238993	129239002	+	0.000	0.000	Merged-chr4-129238994-27
NR11324--MA0039.3.KLF4	chr11	79678514	79678524	-	0.000	0.000	Merged-chr11-79678746-30
NR38234--MA0742.1.Klf12	chr2	130274392	130274406	-	0.000	0.000	Merged-chr2-130274398-60
NR56319--MA0742.1.Klf12	chr6	90604893	90604907	-	0.000	0.000	Merged-chr6-90604806-66
NR67215--MA0741.1.KLF16	chr8	122451268	122451278	-	0.000	0.000	Merged-chr8-122451262-3
NR7659--MA1107.1.KLF9	chr10	89764350	89764362	-	0.000	0.000	Merged-chr10-89764216-3
NR34976--MA0740.1.KLF14	chr2	15055272	15055285	-	0.000	0.000	Merged-chr2-15055346-111
NR56040--MA1107.1.KLF9	chr6	83572524	83572536	-	0.000	0.000	Merged-chr6-83572392-58
NR50826--MA1107.1.KLF9	chr5	71701053	71701065	+	0.000	0.000	Merged-chr5-71701009-20
NR29587--MA0741.1.KLF16	chr17	56997293	56997303	-	0.000	0.000	Merged-chr17-56997354-48
NR27241--MA0741.1.KLF16	chr16	96208436	96208446	-	0.000	0.000	Merged-chr16-96208613-13
NR14643--MA0741.1.KLF16	chr12	77130759	77130769	+	0.000	0.000	Merged-chr12-77130787-68
NR54748--MA0599.1.KLF5	chr6	28878189	28878198	-	0.000	0.000	Merged-chr6-28878211-33
NR55501--MA0740.1.KLF14	chr6	53986472	53986485	-	0.000	0.000	Merged-chr6-53986314-10
NR63855--MA0741.1.KLF16	chr7	143724046	143724056	-	0.000	0.000	Merged-chr7-143724096-15
NR19553--MA0740.1.KLF14	chr14	24779207	24779220	+	0.000	0.000	Merged-chr14-24779334-63
NR45363--MA1107.1.KLF9	chr4	47001272	47001284	+	0.000	0.000	Merged-chr4-47001144-9
NR34003--MA0742.1.Klf12	chr19	43809534	43809548	+	0.000	0.000	Merged-chr19-43809499-23
NR67491--MA0039.3.KLF4	chr8	126721955	126721965	-	0.000	0.000	Merged-chr8-126721826-22
NR52204--MA0039.3.KLF4	chr5	115119382	115119392	+	0.000	0.000	Merged-chr5-115119310-50
NR25561--MA0741.1.KLF16	chr16	20910998	20911008	-	0.000	0.000	Merged-chr16-20911077-13
NR54872--MA1107.1.KLF9	chr6	31033156	31033168	+	0.000	0.000	Merged-chr6-31033300-19
NR61699--MA0741.1.KLF16	chr7	99980482	99980492	-	0.000	0.000	Merged-chr7-99980241-66
NR59838--MA1107.1.KLF9	chr7	29211574	29211586	+	0.000	0.000	Merged-chr7-29211529-84
NR69081--MA0741.1.KLF16	chr9	62261191	62261201	-	0.000	0.000	Merged-chr9-62261115-16
NR58794--MA0599.1.KLF5	chr7	4151117	4151126	-	0.000	0.000	Merged-chr7-4151016-19
NR66752--MA0599.1.KLF5	chr8	114133563	114133572	+	0.000	0.000	Merged-chr8-114133765-61
NR60431--MA1107.1.KLF9	chr7	45733725	45733737	-	0.000	0.000	Merged-chr7-45733645-41
NR6924--MA0599.1.KLF5	chr10	78574979	78574988	-	0.000	0.000	Merged-chr10-78574791-126
NR1139--MA0599.1.KLF5	chr1	72226000	72226009	-	0.000	0.000	Merged-chr1-72226196-93
NR59145--MA0741.1.KLF16	chr7	17009467	17009477	+	0.000	0.000	Merged-chr7-17009648-32
NR41796--MA1107.1.KLF9	chr3	90052816	90052828	-	0.000	0.000	Merged-chr3-90052542-109
NR70476--MA0599.1.KLF5	chr9	103201905	103201914	+	0.000	0.000	Merged-chr9-103201833-68
NR37714--MA1107.1.KLF9	chr2	115581751	115581763	-	0.000	0.000	Merged-chr2-115581699-80
NR9778--MA0741.1.KLF16	chr11	32542885	32542895	-	0.000	0.000	Merged-chr11-32542755-79
NR572--MA0039.3.KLF4	chr1	40086105	40086115	-	0.000	0.000	Merged-chr1-40085963-65
NR67738--MA0741.1.KLF16	chr9	14281803	14281813	-	0.000	0.000	Merged-chr9-14281792-3
NR7306--MA0493.1.Klf1	chr10	81470761	81470771	-	0.000	0.000	Merged-chr10-81470756-23
NR50751--MA0599.1.KLF5	chr5	65950934	65950943	-	0.000	0.000	Merged-chr5-65951105-46
NR65121--MA0741.1.KLF16	chr8	64947147	64947157	-	0.000	0.000	Merged-chr8-64947122-116
NR11962--MA0740.1.KLF14	chr11	97884194	97884207	+	0.000	0.000	Merged-chr11-97884212-84
NR38035--MA0599.1.KLF5	chr2	122469535	122469544	+	0.000	0.000	Merged-chr2-122469407-42
NR29173--MA0741.1.KLF16	chr17	46967164	46967174	-	0.000	0.000	Merged-chr17-46967168-48
NR23813--MA0742.1.Klf12	chr15	80599561	80599575	-	0.000	0.000	Merged-chr15-80599512-51
NR47759--MA0599.1.KLF5	chr4	133299228	133299237	+	0.000	0.000	Merged-chr4-133299309-8
NR2260--MA0599.1.KLF5	chr1	127409675	127409684	-	0.000	0.000	Merged-chr1-127409682-14
NR70457--MA1107.1.KLF9	chr9	102834907	102834919	+	0.000	0.000	Merged-chr9-102834749-1
NR7226--MA0599.1.KLF5	chr10	81253308	81253317	-	0.000	0.000	Merged-chr10-81253220-18
NR40094--MA0741.1.KLF16	chr2	174556042	174556052	-	0.000	0.000	Merged-chr2-174555978-36
NR30340--MA1107.1.KLF9	chr17	80621135	80621147	+	0.000	0.000	Merged-chr17-80621176-31
NR22249--MA0599.1.KLF5	chr15	5244223	5244232	-	0.000	0.000	Merged-chr15-5244344-100
NR71763--MA0741.1.KLF16	chrX	12062742	12062752	+	0.000	0.000	Merged-chrX-12062732-18
NR19833--MA0657.1.KLF13	chr14	33099319	33099336	+	0.000	0.000	Merged-chr14-33099452-34
NR62827--MA0599.1.KLF5	chr7	127422074	127422083	+	0.000	0.000	Merged-chr7-127422019-53
NR50389--MA0742.1.Klf12	chr5	52833918	52833932	+	0.000	0.000	Merged-chr5-52834011-78
NR13746--MA1107.1.KLF9	chr12	25439012	25439024	-	0.000	0.000	Merged-chr12-25438792-86
NR29085--MA0493.1.Klf1	chr17	46032430	46032440	+	0.000	0.000	Merged-chr17-46032606-61
NR65322--MA0599.1.KLF5	chr8	70608611	70608620	-	0.000	0.000	Merged-chr8-70608498-6
NR39013--MA0599.1.KLF5	chr2	153015447	153015456	-	0.000	0.000	Merged-chr2-153015323-52
NR18192--MA0039.3.KLF4	chr13	99431576	99431586	+	0.000	0.000	Merged-chr13-99431578-17
NR30895--MA0742.1.Klf12	chr18	10706809	10706823	-	0.000	0.000	Merged-chr18-10706716-49
NR20660--MA0599.1.KLF5	chr14	62837418	62837427	+	0.000	0.000	Merged-chr14-62837590-93
NR71900--MA0742.1.Klf12	chrX	38189712	38189726	+	0.000	0.000	Merged-chrX-38189894-60
NR3998--MA1107.1.KLF9	chr1	172549531	172549543	-	0.000	0.000	Merged-chr1-172549592-17
NR59397--MA0741.1.KLF16	chr7	24301056	24301066	+	0.000	0.000	Merged-chr7-24301044-7
NR811--MA0599.1.KLF5	chr1	55087973	55087982	+	0.000	0.000	Merged-chr1-55087990-104
NR59939--MA0741.1.KLF16	chr7	30552307	30552317	+	0.000	0.000	Merged-chr7-30552325-91
NR23227--MA0599.1.KLF5	chr15	64312744	64312753	-	0.000	0.000	Merged-chr15-64312713-123
NR49634--MA0740.1.KLF14	chr5	24451845	24451858	-	0.000	0.000	Merged-chr5-24452045-102
NR42773--MA0741.1.KLF16	chr3	115897932	115897942	+	0.000	0.000	Merged-chr3-115897908-5
NR60543--MA1107.1.KLF9	chr7	49303816	49303828	-	0.000	0.000	Merged-chr7-49303959-15
NR42093--MA0039.3.KLF4	chr3	96575127	96575137	+	0.000	0.000	Merged-chr3-96575084-6
NR32736--MA0599.1.KLF5	chr18	84804499	84804508	-	0.000	0.000	Merged-chr18-84804572-27
NR44519--MA0741.1.KLF16	chr4	11007763	11007773	+	0.000	0.000	Merged-chr4-11007928-2
NR59072--MA0039.3.KLF4	chr7	16405803	16405813	-	0.000	0.000	Merged-chr7-16405720-76
NR72423--MA0599.1.KLF5	chrX	103616950	103616959	-	0.000	0.000	Merged-chrX-103616839-86
NR30686--MA0599.1.KLF5	chr17	88597611	88597620	+	0.000	0.000	Merged-chr17-88597413-65
NR66506--MA0599.1.KLF5	chr8	106054371	106054380	-	0.000	0.000	Merged-chr8-106054451-60
NR68003--MA0740.1.KLF14	chr9	22132312	22132325	-	0.000	0.000	Merged-chr9-22132302-2
NR69216--MA0599.1.KLF5	chr9	65827426	65827435	+	0.000	0.000	Merged-chr9-65827383-69
NR27479--MA0599.1.KLF5	chr17	6477182	6477191	-	0.000	0.000	Merged-chr17-6476977-103
NR27984--MA0740.1.KLF14	chr17	23599107	23599120	+	0.000	0.000	Merged-chr17-23599056-62
NR883--MA0741.1.KLF16	chr1	59482085	59482095	-	0.000	0.000	Merged-chr1-59482272-104
NR28895--MA0493.1.Klf1	chr17	36020593	36020603	-	0.000	0.000	Merged-chr17-36020745-74
NR67842--MA0599.1.KLF5	chr9	20757379	20757388	-	0.000	0.000	Merged-chr9-20757221-14
NR28670--MA0039.3.KLF4	chr17	34143299	34143309	+	0.000	0.000	Merged-chr17-34143212-26
NR15026--MA1107.1.KLF9	chr12	91745721	91745733	+	0.000	0.000	Merged-chr12-91745848-45
NR47995--MA1107.1.KLF9	chr4	135963684	135963696	-	0.000	0.000	Merged-chr4-135963723-59
NR23785--MA0741.1.KLF16	chr15	80192528	80192538	+	0.000	0.000	Merged-chr15-80192413-58
NR25890--MA0599.1.KLF5	chr16	35154815	35154824	-	0.000	0.000	Merged-chr16-35154981-11
NR10603--MA0599.1.KLF5	chr11	64115278	64115287	-	0.000	0.000	Merged-chr11-64115310-23
NR39483--MA0599.1.KLF5	chr2	164746096	164746105	-	0.000	0.000	Merged-chr2-164746061-66
NR59254--MA0741.1.KLF16	chr7	19272311	19272321	-	0.000	0.000	Merged-chr7-19272512-2
NR40497--MA0599.1.KLF5	chr3	22115518	22115527	+	0.000	0.000	Merged-chr3-22115498-23
NR52361--MA0741.1.KLF16	chr5	118661942	118661952	+	0.000	0.000	Merged-chr5-118661904-17
NR7270--MA0741.1.KLF16	chr10	81378514	81378524	+	0.000	0.000	Merged-chr10-81378614-74
NR25532--MA0599.1.KLF5	chr16	20611628	20611637	+	0.000	0.000	Merged-chr16-20611515-66
NR52632--MA0741.1.KLF16	chr5	123973582	123973592	-	0.000	0.000	Merged-chr5-123973673-46
NR63599--MA0599.1.KLF5	chr7	140116445	140116454	+	0.000	0.000	Merged-chr7-140116362-57
NR48091--MA1107.1.KLF9	chr4	137609855	137609867	-	0.000	0.000	Merged-chr4-137609762-50
NR72387--MA0742.1.Klf12	chrX	101419749	101419763	+	0.000	0.000	Merged-chrX-101419940-50
NR35986--MA0039.3.KLF4	chr2	38825400	38825410	+	0.000	0.000	Merged-chr2-38825321-27
NR59517--MA0599.1.KLF5	chr7	25278958	25278967	+	0.000	0.000	Merged-chr7-25278932-64
NR61065--MA0493.1.Klf1	chr7	78383921	78383931	+	0.000	0.000	Merged-chr7-78384000-1
NR30877--MA0039.3.KLF4	chr18	9958012	9958022	+	0.000	0.000	Merged-chr18-9958150-51
NR28448--MA0599.1.KLF5	chr17	29500853	29500862	-	0.000	0.000	Merged-chr17-29500871-30
NR30672--MA0493.1.Klf1	chr17	88316548	88316558	-	0.000	0.000	Merged-chr17-88316434-22
NR63345--MA0741.1.KLF16	chr7	135716606	135716616	-	0.000	0.000	Merged-chr7-135716348-117
NR8440--MA1107.1.KLF9	chr10	118461488	118461500	+	0.000	0.000	Merged-chr10-118461532-37
NR50920--MA0740.1.KLF14	chr5	74404327	74404340	-	0.000	0.000	Merged-chr5-74404312-40
NR63670--MA0657.1.KLF13	chr7	141215735	141215752	-	0.000	0.000	Merged-chr7-141215830-56
NR63917--MA0599.1.KLF5	chr7	144915058	144915067	+	0.000	0.000	Merged-chr7-144915039-103
NR12795--MA1107.1.KLF9	chr11	114813028	114813040	+	0.000	0.000	Merged-chr11-114812922-18
NR1496--MA1107.1.KLF9	chr1	85720766	85720778	+	0.000	0.000	Merged-chr1-85720773-26
NR26388--MA1107.1.KLF9	chr16	59517568	59517580	+	0.000	0.000	Merged-chr16-59517652-60
NR22579--MA0740.1.KLF14	chr15	31601919	31601932	-	0.000	0.000	Merged-chr15-31601857-105
NR2563--MA0039.3.KLF4	chr1	134332897	134332907	+	0.000	0.000	Merged-chr1-134332992-10
NR13872--MA0493.1.Klf1	chr12	31756030	31756040	-	0.000	0.000	Merged-chr12-31756239-29
NR43851--MA0741.1.KLF16	chr3	146045216	146045226	-	0.000	0.000	Merged-chr3-146045142-29
NR32609--MA0657.1.KLF13	chr18	82532264	82532281	-	0.000	0.000	Merged-chr18-82532131-16
NR33024--MA0493.1.Klf1	chr19	5491370	5491380	-	0.000	0.000	Merged-chr19-5491396-49
NR25956--MA0740.1.KLF14	chr16	37385004	37385017	+	0.000	0.000	Merged-chr16-37384954-25
NR69113--MA0741.1.KLF16	chr9	63602549	63602559	-	0.000	0.000	Merged-chr9-63602538-63
NR8189--MA0039.3.KLF4	chr10	111385755	111385765	+	0.000	0.000	Merged-chr10-111385696-32
NR557--MA0742.1.Klf12	chr1	39941509	39941523	+	0.000	0.000	Merged-chr1-39941675-40
NR2699--MA0599.1.KLF5	chr1	136672791	136672800	+	0.000	0.000	Merged-chr1-136672733-46
NR28076--MA0740.1.KLF14	chr17	24696094	24696107	-	0.000	0.000	Merged-chr17-24696255-66
NR10839--MA0741.1.KLF16	chr11	70239855	70239865	-	0.000	0.000	Merged-chr11-70239985-43
NR49060--MA1107.1.KLF9	chr4	155154766	155154778	-	0.000	0.000	Merged-chr4-155154662-3
NR49818--MA0599.1.KLF5	chr5	30353819	30353828	-	0.000	0.000	Merged-chr5-30353789-16
NR36306--MA0741.1.KLF16	chr2	59534544	59534554	+	0.000	0.000	Merged-chr2-59534510-22
NR5194--MA0599.1.KLF5	chr10	10307608	10307617	-	0.000	0.000	Merged-chr10-10307543-35
NR33489--MA1107.1.KLF9	chr19	21785261	21785273	+	0.000	0.000	Merged-chr19-21785424-37
NR20963--MA0039.3.KLF4	chr14	72983653	72983663	-	0.000	0.000	Merged-chr14-72983519-34
NR36199--MA1107.1.KLF9	chr2	52542688	52542700	+	0.000	0.000	Merged-chr2-52542865-9
NR29407--MA1107.1.KLF9	chr17	51735666	51735678	+	0.000	0.000	Merged-chr17-51735735-27
NR55546--MA0741.1.KLF16	chr6	54595352	54595362	+	0.000	0.000	Merged-chr6-54595326-63
NR32199--MA0741.1.KLF16	chr18	73572584	73572594	-	0.000	0.000	Merged-chr18-73572695-132
NR56037--MA0599.1.KLF5	chr6	83572526	83572535	-	0.000	0.000	Merged-chr6-83572392-58
NR55243--MA0740.1.KLF14	chr6	47953391	47953404	-	0.000	0.000	Merged-chr6-47953415-51
NR24116--MA0740.1.KLF14	chr15	85982312	85982325	+	0.000	0.000	Merged-chr15-85982300-69
NR45154--MA0599.1.KLF5	chr4	43479613	43479622	-	0.000	0.000	Merged-chr4-43479477-7
NR60517--MA0493.1.Klf1	chr7	48132275	48132285	+	0.000	0.000	Merged-chr7-48132201-46
NR47749--MA1107.1.KLF9	chr4	133130493	133130505	-	0.000	0.000	Merged-chr4-133130302-98
NR2939--MA0742.1.Klf12	chr1	150465584	150465598	+	0.000	0.000	Merged-chr1-150465561-21
NR46490--MA0599.1.KLF5	chr4	103114422	103114431	+	0.000	0.000	Merged-chr4-103114464-88
NR46427--MA0493.1.Klf1	chr4	101235218	101235228	+	0.000	0.000	Merged-chr4-101235092-24
NR61317--MA0741.1.KLF16	chr7	82867041	82867051	-	0.000	0.000	Merged-chr7-82866836-179
NR37863--MA0599.1.KLF5	chr2	118861936	118861945	+	0.000	0.000	Merged-chr2-118861899-53
NR59092--MA0741.1.KLF16	chr7	16760475	16760485	-	0.000	0.000	Merged-chr7-16760447-23
NR71444--MA1107.1.KLF9	chr9	122233117	122233129	-	0.000	0.000	Merged-chr9-122233247-97
NR49137--MA0493.1.Klf1	chr4	155869440	155869450	+	0.000	0.000	Merged-chr4-155869503-64
NR61913--MA0657.1.KLF13	chr7	105633651	105633668	+	0.000	0.000	Merged-chr7-105633562-65
NR22700--MA1107.1.KLF9	chr15	38094974	38094986	+	0.000	0.000	Merged-chr15-38095035-21
NR13974--MA0039.3.KLF4	chr12	35770600	35770610	+	0.000	0.000	Merged-chr12-35770526-40
NR8409--MA1107.1.KLF9	chr10	118090009	118090021	-	0.000	0.000	Merged-chr10-118090052-13
NR18744--MA0741.1.KLF16	chr13	111868134	111868144	-	0.000	0.000	Merged-chr13-111868012-93
NR62596--MA0740.1.KLF14	chr7	121734408	121734421	-	0.000	0.000	Merged-chr7-121734454-58
NR59602--MA0740.1.KLF14	chr7	27258655	27258668	-	0.000	0.000	Merged-chr7-27258672-61
NR37168--MA1107.1.KLF9	chr2	93454488	93454500	+	0.000	0.000	Merged-chr2-93454506-54
NR52931--MA0599.1.KLF5	chr5	129715433	129715442	+	0.000	0.000	Merged-chr5-129715582-48
NR64716--MA0742.1.Klf12	chr8	40963168	40963182	-	0.000	0.000	Merged-chr8-40963134-88
NR34007--MA0741.1.KLF16	chr19	43809535	43809545	+	0.000	0.000	Merged-chr19-43809499-23
NR13626--MA0493.1.Klf1	chr12	20815805	20815815	-	0.000	0.000	Merged-chr12-20815724-27
NR42805--MA0741.1.KLF16	chr3	116662518	116662528	-	0.000	0.000	Merged-chr3-116662354-79
NR37984--MA0741.1.KLF16	chr2	121457045	121457055	+	0.000	0.000	Merged-chr2-121457132-54
NR33056--MA0599.1.KLF5	chr19	5726338	5726347	-	0.000	0.000	Merged-chr19-5726405-23
NR39571--MA0039.3.KLF4	chr2	166620684	166620694	-	0.000	0.000	Merged-chr2-166620624-54
NR7356--MA0599.1.KLF5	chr10	82859158	82859167	-	0.000	0.000	Merged-chr10-82859313-42
NR58557--MA0599.1.KLF5	chr6	145049107	145049116	+	0.000	0.000	Merged-chr6-145048990-28
NR14242--MA0741.1.KLF16	chr12	55388664	55388674	+	0.000	0.000	Merged-chr12-55388568-28
NR24368--MA0740.1.KLF14	chr15	93374729	93374742	-	0.000	0.000	Merged-chr15-93374795-20
NR71664--MA0493.1.Klf1	chrX	7763899	7763909	+	0.000	0.000	Merged-chrX-7763872-12
NR62075--MA0599.1.KLF5	chr7	110627601	110627610	+	0.000	0.000	Merged-chr7-110627584-9
NR45355--MA0493.1.Klf1	chr4	46666442	46666452	-	0.000	0.000	Merged-chr4-46666522-9
NR5765--MA0741.1.KLF16	chr10	42018387	42018397	-	0.000	0.000	Merged-chr10-42018378-38
NR68364--MA0740.1.KLF14	chr9	42124369	42124382	+	0.000	0.000	Merged-chr9-42124176-82
NR24768--MA1107.1.KLF9	chr15	100414228	100414240	+	0.000	0.000	Merged-chr15-100414270-26
NR12291--MA0741.1.KLF16	chr11	102309190	102309200	+	0.000	0.000	Merged-chr11-102309316-55
NR27777--MA0741.1.KLF16	chr17	13668662	13668672	+	0.000	0.000	Merged-chr17-13668793-34
NR55622--MA1107.1.KLF9	chr6	56916397	56916409	+	0.000	0.000	Merged-chr6-56916577-48
NR37172--MA0039.3.KLF4	chr2	93468306	93468316	+	0.000	0.000	Merged-chr2-93468360-20
NR33180--MA1107.1.KLF9	chr19	7118089	7118101	+	0.000	0.000	Merged-chr19-7118010-10
NR12562--MA0741.1.KLF16	chr11	109375502	109375512	-	0.000	0.000	Merged-chr11-109375589-56
NR48031--MA0741.1.KLF16	chr4	136147936	136147946	+	0.000	0.000	Merged-chr4-136147968-56
NR46681--MA0039.3.KLF4	chr4	107989142	107989152	-	0.000	0.000	Merged-chr4-107989218-22
NR43213--MA0740.1.KLF14	chr3	129901424	129901437	-	0.000	0.000	Merged-chr3-129901484-63
NR25794--MA0740.1.KLF14	chr16	32658964	32658977	-	0.000	0.000	Merged-chr16-32659000-27
NR41089--MA0741.1.KLF16	chr3	54692827	54692837	-	0.000	0.000	Merged-chr3-54692822-61
NR16586--MA1107.1.KLF9	chr13	37453500	37453512	+	0.000	0.000	Merged-chr13-37453383-12
NR38290--MA0742.1.Klf12	chr2	131186879	131186893	+	0.000	0.000	Merged-chr2-131186955-76
NR20408--MA0740.1.KLF14	chr14	55721940	55721953	+	0.000	0.000	Merged-chr14-55722058-57
NR28185--MA0740.1.KLF14	chr17	26917010	26917023	-	0.000	0.000	Merged-chr17-26916999-47
NR8334--MA0599.1.KLF5	chr10	117224490	117224499	-	0.000	0.000	Merged-chr10-117224413-69
NR46417--MA0741.1.KLF16	chr4	101217269	101217279	-	0.000	0.000	Merged-chr4-101217167-64
NR31770--MA0740.1.KLF14	chr18	60848885	60848898	+	0.000	0.000	Merged-chr18-60848953-52
NR71350--MA1107.1.KLF9	chr9	120030174	120030186	-	0.000	0.000	Merged-chr9-120030028-3
NR13518--MA1107.1.KLF9	chr12	12176297	12176309	+	0.000	0.000	Merged-chr12-12176537-33
NR24988--MA0493.1.Klf1	chr16	3872304	3872314	+	0.000	0.000	Merged-chr16-3872425-54
NR72878--MA0657.1.KLF13	chrX	162829402	162829419	+	0.000	0.000	Merged-chrX-162829307-73
NR72848--MA0493.1.Klf1	chrX	160994866	160994876	+	0.000	0.000	Merged-chrX-160994807-91
NR44737--MA0741.1.KLF16	chr4	24897992	24898002	-	0.000	0.000	Merged-chr4-24897991-83
NR49647--MA0740.1.KLF14	chr5	24685791	24685804	+	0.000	0.000	Merged-chr5-24685796-115
NR35656--MA0493.1.Klf1	chr2	31256709	31256719	+	0.000	0.000	Merged-chr2-31256650-54
NR16921--MA0741.1.KLF16	chr13	51685364	51685374	-	0.000	0.000	Merged-chr13-51685389-6
NR9919--MA0741.1.KLF16	chr11	44471239	44471249	+	0.000	0.000	Merged-chr11-44471232-1
NR42786--MA0741.1.KLF16	chr3	116200271	116200281	+	0.000	0.000	Merged-chr3-116200281-40
NR7870--MA0740.1.KLF14	chr10	96616844	96616857	+	0.000	0.000	Merged-chr10-96617072-57
NR13890--MA0493.1.Klf1	chr12	32820324	32820334	-	0.000	0.000	Merged-chr12-32820556-108
NR54756--MA1107.1.KLF9	chr6	28931996	28932008	+	0.000	0.000	Merged-chr6-28932026-12
NR27092--MA0741.1.KLF16	chr16	93574642	93574652	-	0.000	0.000	Merged-chr16-93574695-56
NR46244--MA0599.1.KLF5	chr4	88641324	88641333	-	0.000	0.000	Merged-chr4-88641244-84
NR20413--MA1107.1.KLF9	chr14	55721940	55721952	+	0.000	0.000	Merged-chr14-55722058-57
NR35685--MA0741.1.KLF16	chr2	31950221	31950231	-	0.000	0.000	Merged-chr2-31950269-16
NR33248--MA0493.1.Klf1	chr19	8840506	8840516	-	0.000	0.000	Merged-chr19-8840578-25
NR52142--MA1107.1.KLF9	chr5	114380588	114380600	+	0.000	0.000	Merged-chr5-114380529-85
NR30028--MA0741.1.KLF16	chr17	73822558	73822568	+	0.000	0.000	Merged-chr17-73822361-73
NR49836--MA0599.1.KLF5	chr5	30666883	30666892	-	0.000	0.000	Merged-chr5-30666768-54
NR17206--MA1107.1.KLF9	chr13	58157609	58157621	-	0.000	0.000	Merged-chr13-58157645-3
NR67972--MA0599.1.KLF5	chr9	21918242	21918251	-	0.000	0.000	Merged-chr9-21918186-50
NR66607--MA0740.1.KLF14	chr8	109868510	109868523	-	0.000	0.000	Merged-chr8-109868700-77
NR19148--MA0039.3.KLF4	chr14	7791561	7791571	+	0.000	0.000	Merged-chr14-7791631-72
NR41802--MA0599.1.KLF5	chr3	90248115	90248124	+	0.000	0.000	Merged-chr3-90248138-59
NR6696--MA0740.1.KLF14	chr10	75560152	75560165	-	0.000	0.000	Merged-chr10-75560154-49
NR59267--MA0741.1.KLF16	chr7	19282642	19282652	+	0.000	0.000	Merged-chr7-19282647-45
NR4177--MA0741.1.KLF16	chr1	178959912	178959922	-	0.000	0.000	Merged-chr1-178959718-2
NR9710--MA0741.1.KLF16	chr11	31169350	31169360	+	0.000	0.000	Merged-chr11-31169541-9
NR39325--MA0039.3.KLF4	chr2	160471240	160471250	+	0.000	0.000	Merged-chr2-160471164-70
NR57587--MA0741.1.KLF16	chr6	127142619	127142629	+	0.000	0.000	Merged-chr6-127142534-64
NR21247--MA0741.1.KLF16	chr14	84443429	84443439	+	0.000	0.000	Merged-chr14-84443299-57
NR47282--MA0740.1.KLF14	chr4	124936956	124936969	+	0.000	0.000	Merged-chr4-124937021-50
NR34116--MA0741.1.KLF16	chr19	46003462	46003472	-	0.000	0.000	Merged-chr19-46003515-58
NR23549--MA0493.1.Klf1	chr15	76639969	76639979	+	0.000	0.000	Merged-chr15-76639801-70
NR48764--MA0599.1.KLF5	chr4	149871677	149871686	-	0.000	0.000	Merged-chr4-149871771-25
NR34853--MA0742.1.Klf12	chr2	11187395	11187409	-	0.000	0.000	Merged-chr2-11187260-69
NR14622--MA0741.1.KLF16	chr12	76710658	76710668	+	0.000	0.000	Merged-chr12-76710800-1
NR30182--MA0740.1.KLF14	chr17	78835456	78835469	+	0.000	0.000	Merged-chr17-78835526-79
NR28014--MA0599.1.KLF5	chr17	23960395	23960404	-	0.000	0.000	Merged-chr17-23960558-21
NR52488--MA0599.1.KLF5	chr5	121848902	121848911	-	0.000	0.000	Merged-chr5-121848925-46
NR12791--MA0657.1.KLF13	chr11	114812807	114812824	-	0.000	0.000	Merged-chr11-114812922-18
NR17376--MA0740.1.KLF14	chr13	64153318	64153331	-	0.000	0.000	Merged-chr13-64153044-113
NR65330--MA1107.1.KLF9	chr8	70608615	70608627	-	0.000	0.000	Merged-chr8-70608498-6
NR61513--MA0493.1.Klf1	chr7	92669963	92669973	-	0.000	0.000	Merged-chr7-92669664-130
NR46460--MA0741.1.KLF16	chr4	101419688	101419698	-	0.000	0.000	Merged-chr4-101419713-70
NR48206--MA0741.1.KLF16	chr4	138973527	138973537	+	0.000	0.000	Merged-chr4-138973676-1
NR10120--MA0741.1.KLF16	chr11	52248933	52248943	-	0.000	0.000	Merged-chr11-52248814-1
NR59413--MA1107.1.KLF9	chr7	24457862	24457874	+	0.000	0.000	Merged-chr7-24457903-49
NR23384--MA0741.1.KLF16	chr15	73716729	73716739	+	0.000	0.000	Merged-chr15-73716639-32
NR1643--MA0741.1.KLF16	chr1	90676794	90676804	+	0.000	0.000	Merged-chr1-90676812-13
NR20517--MA0740.1.KLF14	chr14	57890418	57890431	+	0.000	0.000	Merged-chr14-57890199-76
NR7444--MA0039.3.KLF4	chr10	84646798	84646808	-	0.000	0.000	Merged-chr10-84646834-32
NR35473--MA0599.1.KLF5	chr2	28533414	28533423	+	0.000	0.000	Merged-chr2-28533447-53
NR15301--MA0740.1.KLF14	chr12	102439888	102439901	-	0.000	0.000	Merged-chr12-102439750-49
NR21602--MA0493.1.Klf1	chr14	105232612	105232622	-	0.000	0.000	Merged-chr14-105232653-27
NR28836--MA0740.1.KLF14	chr17	35742070	35742083	+	0.000	0.000	Merged-chr17-35741988-36
