#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Prdm1KO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR2065--MA0731.1.BCL6B	chrX	167108519	167108535	-	0.000	0.000	Merged-chrX-167108657-26
NR779--MA0463.1.Bcl6	chr16	57176300	57176313	+	0.000	0.000	Merged-chr16-57176339-30
NR1465--MA0463.1.Bcl6	chr5	72167799	72167812	-	0.000	0.000	Merged-chr5-72167906-73
NR1004--MA0463.1.Bcl6	chr2	24748162	24748175	-	0.000	0.000	Merged-chr2-24748146-35
NR1681--MA0731.1.BCL6B	chr7	16874381	16874397	-	0.000	0.000	Merged-chr7-16874249-24
NR661--MA0731.1.BCL6B	chr14	103719069	103719085	-	0.000	0.000	Merged-chr14-103719095-60
NR1367--MA0463.1.Bcl6	chr4	115102019	115102032	+	0.000	0.000	Merged-chr4-115101833-38
NR1726--MA0731.1.BCL6B	chr7	80583354	80583370	+	0.000	0.000	Merged-chr7-80583398-64
NR390--MA0463.1.Bcl6	chr12	28834409	28834422	-	0.000	0.000	Merged-chr12-28834463-43
NR1835--MA0731.1.BCL6B	chr8	41417113	41417129	+	0.000	0.000	Merged-chr8-41416899-78
NR1216--MA0731.1.BCL6B	chr3	100664155	100664171	-	0.000	0.000	Merged-chr3-100664153-11
NR86--MA0731.1.BCL6B	chr1	135719800	135719816	+	0.000	0.000	Merged-chr1-135719840-41
NR162--MA0463.1.Bcl6	chr10	4389125	4389138	+	0.000	0.000	Merged-chr10-4389195-7
NR2032--MA0463.1.Bcl6	chr9	124146171	124146184	+	0.000	0.000	Merged-chr9-124146419-55
NR1686--MA0731.1.BCL6B	chr7	24593647	24593663	-	0.000	0.000	Merged-chr7-24593848-34
NR1957--MA0731.1.BCL6B	chr9	65536215	65536231	-	0.000	0.000	Merged-chr9-65536265-16
NR1272--MA0731.1.BCL6B	chr3	144402253	144402269	-	0.000	0.000	Merged-chr3-144402343-18
NR1399--MA0463.1.Bcl6	chr4	135963678	135963691	+	0.000	0.000	Merged-chr4-135963723-59
NR1033--MA0731.1.BCL6B	chr2	53102298	53102314	+	0.000	0.000	Merged-chr2-53102302-39
NR2046--MA0463.1.Bcl6	chrX	74944039	74944052	+	0.000	0.000	Merged-chrX-74944090-41
NR503--MA0463.1.Bcl6	chr13	21750310	21750323	-	0.000	0.000	Merged-chr13-21750455-56
NR1678--MA0731.1.BCL6B	chr7	12949585	12949601	-	0.000	0.000	Merged-chr7-12949725-56
NR1949--MA0731.1.BCL6B	chr9	57831510	57831526	+	0.000	0.000	Merged-chr9-57831644-49
NR1787--MA0731.1.BCL6B	chr7	131540223	131540239	+	0.000	0.000	Merged-chr7-131540239-21
NR521--MA0463.1.Bcl6	chr13	49449501	49449514	-	0.000	0.000	Merged-chr13-49449603-25
NR1230--MA0731.1.BCL6B	chr3	108504073	108504089	-	0.000	0.000	Merged-chr3-108504114-26
NR863--MA0731.1.BCL6B	chr17	80621213	80621229	+	0.000	0.000	Merged-chr17-80621176-31
NR508--MA0463.1.Bcl6	chr13	24547247	24547260	+	0.000	0.000	Merged-chr13-24547194-39
NR1243--MA0731.1.BCL6B	chr3	121593387	121593403	-	0.000	0.000	Merged-chr3-121593516-30
NR1306--MA0463.1.Bcl6	chr4	11492943	11492956	+	0.000	0.000	Merged-chr4-11492964-72
NR781--MA0463.1.Bcl6	chr16	57403064	57403077	+	0.000	0.000	Merged-chr16-57403097-41
NR1897--MA0463.1.Bcl6	chr8	122987155	122987168	-	0.000	0.000	Merged-chr8-122987167-32
NR951--MA0731.1.BCL6B	chr19	14598236	14598252	+	0.000	0.000	Merged-chr19-14598034-110
NR1557--MA0463.1.Bcl6	chr6	13650990	13651003	-	0.000	0.000	Merged-chr6-13650892-33
NR746--MA0731.1.BCL6B	chr16	11646972	11646988	-	0.000	0.000	Merged-chr16-11646915-14
NR855--MA0731.1.BCL6B	chr17	71485916	71485932	+	0.000	0.000	Merged-chr17-71486096-96
NR170--MA0731.1.BCL6B	chr10	19530152	19530168	-	0.000	0.000	Merged-chr10-19530154-52
NR433--MA0731.1.BCL6B	chr12	85686651	85686667	-	0.000	0.000	Merged-chr12-85686710-55
NR1916--MA0463.1.Bcl6	chr9	13323629	13323642	+	0.000	0.000	Merged-chr9-13323532-71
NR1701--MA0463.1.Bcl6	chr7	48908948	48908961	+	0.000	0.000	Merged-chr7-48908990-95
NR1822--MA0463.1.Bcl6	chr8	26953123	26953136	-	0.000	0.000	Merged-chr8-26953337-32
NR303--MA0731.1.BCL6B	chr11	62507993	62508009	+	0.000	0.000	Merged-chr11-62507903-32
NR263--MA0463.1.Bcl6	chr11	5837862	5837875	-	0.000	0.000	Merged-chr11-5837784-58
NR1070--MA0463.1.Bcl6	chr2	93132375	93132388	-	0.000	0.000	Merged-chr2-93132297-53
NR948--MA0731.1.BCL6B	chr19	10830063	10830079	+	0.000	0.000	Merged-chr19-10829902-50
NR1742--MA0463.1.Bcl6	chr7	97371626	97371639	-	0.000	0.000	Merged-chr7-97371683-55
NR1948--MA0463.1.Bcl6	chr9	57831510	57831523	-	0.000	0.000	Merged-chr9-57831644-49
NR286--MA0463.1.Bcl6	chr11	51638256	51638269	+	0.000	0.000	Merged-chr11-51638186-26
NR914--MA0731.1.BCL6B	chr18	66442078	66442094	+	0.000	0.000	Merged-chr18-66442128-39
NR1328--MA0731.1.BCL6B	chr4	57798303	57798319	+	0.000	0.000	Merged-chr4-57798234-11
NR494--MA0731.1.BCL6B	chr13	12521860	12521876	-	0.000	0.000	Merged-chr13-12521905-15
NR1559--MA0731.1.BCL6B	chr6	29272518	29272534	+	0.000	0.000	Merged-chr6-29272695-53
NR761--MA0463.1.Bcl6	chr16	38536854	38536867	-	0.000	0.000	Merged-chr16-38536903-24
NR967--MA0463.1.Bcl6	chr19	34570300	34570313	+	0.000	0.000	Merged-chr19-34570289-10
NR873--MA0463.1.Bcl6	chr17	88042701	88042714	-	0.000	0.000	Merged-chr17-88042729-54
NR1416--MA0463.1.Bcl6	chr4	149889170	149889183	-	0.000	0.000	Merged-chr4-149889246-22
NR221--MA0731.1.BCL6B	chr10	95395294	95395310	+	0.000	0.000	Merged-chr10-95395228-39
NR1201--MA0463.1.Bcl6	chr3	88043087	88043100	+	0.000	0.000	Merged-chr3-88043136-39
NR202--MA0463.1.Bcl6	chr10	78169894	78169907	+	0.000	0.000	Merged-chr10-78169866-58
NR1461--MA0463.1.Bcl6	chr5	67260766	67260779	+	0.000	0.000	Merged-chr5-67260794-69
NR1103--MA0463.1.Bcl6	chr2	144527546	144527559	-	0.000	0.000	Merged-chr2-144527541-67
NR681--MA0463.1.Bcl6	chr15	10486030	10486043	-	0.000	0.000	Merged-chr15-10486107-67
NR499--MA0731.1.BCL6B	chr13	19219742	19219758	-	0.000	0.000	Merged-chr13-19219739-41
NR1694--MA0463.1.Bcl6	chr7	31208311	31208324	+	0.000	0.000	Merged-chr7-31208401-38
NR332--MA0463.1.Bcl6	chr11	96916648	96916661	-	0.000	0.000	Merged-chr11-96916500-59
NR659--MA0463.1.Bcl6	chr14	103532678	103532691	-	0.000	0.000	Merged-chr14-103532610-9
NR1578--MA0463.1.Bcl6	chr6	51384385	51384398	-	0.000	0.000	Merged-chr6-51384192-15
NR87--MA0463.1.Bcl6	chr1	136255787	136255800	-	0.000	0.000	Merged-chr1-136255836-2
NR205--MA0731.1.BCL6B	chr10	79926615	79926631	-	0.000	0.000	Merged-chr10-79926758-91
NR1089--MA0731.1.BCL6B	chr2	128325595	128325611	-	0.000	0.000	Merged-chr2-128325647-45
NR1498--MA0463.1.Bcl6	chr5	110653365	110653378	+	0.000	0.000	Merged-chr5-110653386-72
NR327--MA0731.1.BCL6B	chr11	90196521	90196537	+	0.000	0.000	Merged-chr11-90196675-9
NR1770--MA0731.1.BCL6B	chr7	113250712	113250728	+	0.000	0.000	Merged-chr7-113250807-31
NR959--MA0731.1.BCL6B	chr19	26752838	26752854	-	0.000	0.000	Merged-chr19-26752841-15
NR369--MA0463.1.Bcl6	chr11	116869445	116869458	+	0.000	0.000	Merged-chr11-116869693-21
NR1802--MA0731.1.BCL6B	chr7	140141472	140141488	+	0.000	0.000	Merged-chr7-140141513-4
NR178--MA0731.1.BCL6B	chr10	28674059	28674075	+	0.000	0.000	Merged-chr10-28674060-27
NR1640--MA0731.1.BCL6B	chr6	127219555	127219571	+	0.000	0.000	Merged-chr6-127219541-27
NR1861--MA0463.1.Bcl6	chr8	88290475	88290488	+	0.000	0.000	Merged-chr8-88290396-49
NR714--MA0463.1.Bcl6	chr15	76351094	76351107	-	0.000	0.000	Merged-chr15-76351256-113
NR1091--MA0463.1.Bcl6	chr2	132607901	132607914	+	0.000	0.000	Merged-chr2-132607891-50
NR826--MA0463.1.Bcl6	chr17	32424202	32424215	-	0.000	0.000	Merged-chr17-32424197-48
NR1727--MA0463.1.Bcl6	chr7	80864962	80864975	-	0.000	0.000	Merged-chr7-80865063-58
NR947--MA0463.1.Bcl6	chr19	10830063	10830076	-	0.000	0.000	Merged-chr19-10829902-50
NR177--MA0463.1.Bcl6	chr10	28674059	28674072	-	0.000	0.000	Merged-chr10-28674060-27
NR1078--MA0463.1.Bcl6	chr2	105038198	105038211	-	0.000	0.000	Merged-chr2-105038317-16
NR289--MA0463.1.Bcl6	chr11	52232146	52232159	+	0.000	0.000	Merged-chr11-52232101-58
NR1978--MA0463.1.Bcl6	chr9	82964143	82964156	-	0.000	0.000	Merged-chr9-82964235-29
NR406--MA0463.1.Bcl6	chr12	55434075	55434088	-	0.000	0.000	Merged-chr12-55434101-13
NR1340--MA0731.1.BCL6B	chr4	88179518	88179534	-	0.000	0.000	Merged-chr4-88179548-21
NR1786--MA0463.1.Bcl6	chr7	131540223	131540236	-	0.000	0.000	Merged-chr7-131540239-21
NR518--MA0463.1.Bcl6	chr13	44376071	44376084	+	0.000	0.000	Merged-chr13-44376077-22
NR1571--MA0463.1.Bcl6	chr6	35132983	35132996	+	0.000	0.000	Merged-chr6-35133152-3
NR782--MA0463.1.Bcl6	chr16	57473836	57473849	+	0.000	0.000	Merged-chr16-57473811-19
NR330--MA0463.1.Bcl6	chr11	94521420	94521433	-	0.000	0.000	Merged-chr11-94521402-11
NR1343--MA0463.1.Bcl6	chr4	89487383	89487396	+	0.000	0.000	Merged-chr4-89487235-21
NR1951--MA0731.1.BCL6B	chr9	58542126	58542142	-	0.000	0.000	Merged-chr9-58542052-13
NR326--MA0463.1.Bcl6	chr11	88087023	88087036	+	0.000	0.000	Merged-chr11-88087122-32
NR1012--MA0463.1.Bcl6	chr2	33025440	33025453	+	0.000	0.000	Merged-chr2-33025277-16
NR1339--MA0463.1.Bcl6	chr4	88179521	88179534	+	0.000	0.000	Merged-chr4-88179548-21
NR1712--MA0731.1.BCL6B	chr7	66725256	66725272	-	0.000	0.000	Merged-chr7-66725122-25
NR1693--MA0731.1.BCL6B	chr7	30887582	30887598	-	0.000	0.000	Merged-chr7-30887782-39
NR1017--MA0463.1.Bcl6	chr2	36214099	36214112	+	0.000	0.000	Merged-chr2-36214220-40
NR380--MA0463.1.Bcl6	chr12	15941022	15941035	-	0.000	0.000	Merged-chr12-15940918-8
NR229--MA0731.1.BCL6B	chr10	100629912	100629928	-	0.000	0.000	Merged-chr10-100629958-40
