#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed
NR3270--MA0740.1.KLF14	chr1	156474387	156474400	+	0.000	0.000	Merged-chr1-156474258-59
NR19837--MA0599.1.KLF5	chr14	33099321	33099330	+	0.000	0.000	Merged-chr14-33099452-34
NR14906--MA0740.1.KLF14	chr12	87147699	87147712	-	0.000	0.000	Merged-chr12-87147526-103
NR72836--MA0039.3.KLF4	chrX	160138410	160138420	+	0.000	0.000	Merged-chrX-160138243-80
NR48781--MA0657.1.KLF13	chr4	150138362	150138379	-	0.000	0.000	Merged-chr4-150138254-13
NR66238--MA0740.1.KLF14	chr8	95713582	95713595	-	0.000	0.000	Merged-chr8-95713709-35
NR66509--MA0740.1.KLF14	chr8	106059490	106059503	-	0.000	0.000	Merged-chr8-106059371-131
NR46322--MA0493.1.Klf1	chr4	95188385	95188395	-	0.000	0.000	Merged-chr4-95188222-47
NR18178--MA0493.1.Klf1	chr13	98692033	98692043	-	0.000	0.000	Merged-chr13-98692096-35
NR22134--MA1107.1.KLF9	chr14	122187049	122187061	+	0.000	0.000	Merged-chr14-122187060-26
NR68008--MA0599.1.KLF5	chr9	22156799	22156808	+	0.000	0.000	Merged-chr9-22156759-63
NR41697--MA0599.1.KLF5	chr3	88772639	88772648	+	0.000	0.000	Merged-chr3-88772617-19
NR66714--MA0493.1.Klf1	chr8	111769477	111769487	+	0.000	0.000	Merged-chr8-111769335-16
NR31085--MA0741.1.KLF16	chr18	25505288	25505298	-	0.000	0.000	Merged-chr18-25505224-41
NR35645--MA0493.1.Klf1	chr2	31131250	31131260	+	0.000	0.000	Merged-chr2-31131193-36
NR29791--MA0599.1.KLF5	chr17	65954068	65954077	-	0.000	0.000	Merged-chr17-65954196-36
NR67935--MA0740.1.KLF14	chr9	21616041	21616054	+	0.000	0.000	Merged-chr9-21616115-78
NR35565--MA0599.1.KLF5	chr2	30067298	30067307	-	0.000	0.000	Merged-chr2-30067208-7
NR30311--MA0039.3.KLF4	chr17	80441969	80441979	-	0.000	0.000	Merged-chr17-80441791-30
NR47331--MA0741.1.KLF16	chr4	126202857	126202867	+	0.000	0.000	Merged-chr4-126202610-98
NR53638--MA0493.1.Klf1	chr5	139372296	139372306	-	0.000	0.000	Merged-chr5-139372178-54
NR23112--MA1107.1.KLF9	chr15	60101879	60101891	+	0.000	0.000	Merged-chr15-60101772-22
NR10394--MA1107.1.KLF9	chr11	59450322	59450334	+	0.000	0.000	Merged-chr11-59450244-79
NR50633--MA0599.1.KLF5	chr5	64230269	64230278	+	0.000	0.000	Merged-chr5-64230393-49
NR28450--MA0493.1.Klf1	chr17	29500859	29500869	-	0.000	0.000	Merged-chr17-29500871-30
NR20500--MA0741.1.KLF16	chr14	57769260	57769270	-	0.000	0.000	Merged-chr14-57769251-39
NR53549--MA0599.1.KLF5	chr5	137747883	137747892	-	0.000	0.000	Merged-chr5-137747869-32
NR6689--MA0493.1.Klf1	chr10	75536274	75536284	+	0.000	0.000	Merged-chr10-75536310-39
NR16357--MA0599.1.KLF5	chr13	24599653	24599662	-	0.000	0.000	Merged-chr13-24599752-50
NR47211--MA0599.1.KLF5	chr4	123412096	123412105	-	0.000	0.000	Merged-chr4-123411950-84
NR23286--MA0741.1.KLF16	chr15	68258623	68258633	+	0.000	0.000	Merged-chr15-68258737-97
NR27025--MA0599.1.KLF5	chr16	91647765	91647774	-	0.000	0.000	Merged-chr16-91647943-8
NR38198--MA0740.1.KLF14	chr2	128470705	128470718	-	0.000	0.000	Merged-chr2-128470524-44
NR33559--MA0741.1.KLF16	chr19	26646390	26646400	+	0.000	0.000	Merged-chr19-26646309-47
NR48086--MA0599.1.KLF5	chr4	137603899	137603908	+	0.000	0.000	Merged-chr4-137603877-24
NR25357--MA0657.1.KLF13	chr16	14317338	14317355	+	0.000	0.000	Merged-chr16-14317361-64
NR1242--MA0740.1.KLF14	chr1	75168733	75168746	-	0.000	0.000	Merged-chr1-75168775-61
NR25974--MA0742.1.Klf12	chr16	38341875	38341889	-	0.000	0.000	Merged-chr16-38341800-18
NR67942--MA1107.1.KLF9	chr9	21724314	21724326	+	0.000	0.000	Merged-chr9-21724146-80
NR51274--MA1107.1.KLF9	chr5	93092476	93092488	-	0.000	0.000	Merged-chr5-93092425-6
NR28361--MA0599.1.KLF5	chr17	28516348	28516357	+	0.000	0.000	Merged-chr17-28516201-30
NR8435--MA0599.1.KLF5	chr10	118461489	118461498	+	0.000	0.000	Merged-chr10-118461532-37
NR65397--MA0741.1.KLF16	chr8	71367510	71367520	+	0.000	0.000	Merged-chr8-71367350-68
NR46424--MA0039.3.KLF4	chr4	101235220	101235230	+	0.000	0.000	Merged-chr4-101235092-24
NR65365--MA0740.1.KLF14	chr8	70806706	70806719	+	0.000	0.000	Merged-chr8-70806772-33
NR57237--MA0599.1.KLF5	chr6	119848159	119848168	+	0.000	0.000	Merged-chr6-119848153-79
NR24112--MA0741.1.KLF16	chr15	85832293	85832303	+	0.000	0.000	Merged-chr15-85832285-49
NR67214--MA0742.1.Klf12	chr8	122451265	122451279	-	0.000	0.000	Merged-chr8-122451262-3
NR55510--MA0741.1.KLF16	chr6	54092923	54092933	+	0.000	0.000	Merged-chr6-54092801-44
NR33491--MA0039.3.KLF4	chr19	21786045	21786055	-	0.000	0.000	Merged-chr19-21785964-7
NR61780--MA0599.1.KLF5	chr7	101537737	101537746	-	0.000	0.000	Merged-chr7-101537821-5
NR26168--MA0599.1.KLF5	chr16	46010418	46010427	+	0.000	0.000	Merged-chr16-46010604-102
NR49064--MA0599.1.KLF5	chr4	155217452	155217461	-	0.000	0.000	Merged-chr4-155217471-52
NR41594--MA0599.1.KLF5	chr3	86920414	86920423	+	0.000	0.000	Merged-chr3-86920469-86
NR28342--MA1107.1.KLF9	chr17	28375697	28375709	+	0.000	0.000	Merged-chr17-28375713-30
NR47770--MA0493.1.Klf1	chr4	133584324	133584334	-	0.000	0.000	Merged-chr4-133584347-54
NR63685--MA0740.1.KLF14	chr7	141392074	141392087	-	0.000	0.000	Merged-chr7-141392195-61
NR65534--MA0742.1.Klf12	chr8	72350817	72350831	-	0.000	0.000	Merged-chr8-72350903-23
NR63956--MA0740.1.KLF14	chr8	4250694	4250707	+	0.000	0.000	Merged-chr8-4250741-13
NR38387--MA0599.1.KLF5	chr2	132511627	132511636	-	0.000	0.000	Merged-chr2-132511544-14
NR66870--MA1107.1.KLF9	chr8	116892078	116892090	+	0.000	0.000	Merged-chr8-116892261-31
NR4868--MA0599.1.KLF5	chr1	192092622	192092631	-	0.000	0.000	Merged-chr1-192092599-105
NR10274--MA0741.1.KLF16	chr11	55131119	55131129	+	0.000	0.000	Merged-chr11-55131266-10
NR53535--MA0493.1.Klf1	chr5	137721047	137721057	+	0.000	0.000	Merged-chr5-137721139-55
NR61405--MA0740.1.KLF14	chr7	89308456	89308469	-	0.000	0.000	Merged-chr7-89308449-38
NR69182--MA0740.1.KLF14	chr9	65460913	65460926	+	0.000	0.000	Merged-chr9-65461064-58
NR21726--MA0599.1.KLF5	chr14	115250768	115250777	-	0.000	0.000	Merged-chr14-115250840-27
NR9619--MA0599.1.KLF5	chr11	23665945	23665954	+	0.000	0.000	Merged-chr11-23666059-101
NR71661--MA0039.3.KLF4	chrX	7728533	7728543	-	0.000	0.000	Merged-chrX-7728513-44
NR15726--MA0740.1.KLF14	chr12	110979135	110979148	-	0.000	0.000	Merged-chr12-110979044-60
NR49991--MA0741.1.KLF16	chr5	34637180	34637190	+	0.000	0.000	Merged-chr5-34637135-1
NR13553--MA0599.1.KLF5	chr12	16321270	16321279	-	0.000	0.000	Merged-chr12-16321346-3
NR38368--MA1107.1.KLF9	chr2	132263116	132263128	+	0.000	0.000	Merged-chr2-132263342-118
NR65889--MA0599.1.KLF5	chr8	84815765	84815774	-	0.000	0.000	Merged-chr8-84815761-25
NR7005--MA0599.1.KLF5	chr10	80115516	80115525	-	0.000	0.000	Merged-chr10-80115494-86
NR65674--MA0599.1.KLF5	chr8	79711802	79711811	-	0.000	0.000	Merged-chr8-79711652-59
NR39481--MA0740.1.KLF14	chr2	164497516	164497529	-	0.000	0.000	Merged-chr2-164497556-49
NR33730--MA0599.1.KLF5	chr19	34922326	34922335	+	0.000	0.000	Merged-chr19-34922079-98
NR34842--MA0741.1.KLF16	chr2	11016565	11016575	-	0.000	0.000	Merged-chr2-11016646-27
NR60430--MA0493.1.Klf1	chr7	45733727	45733737	-	0.000	0.000	Merged-chr7-45733645-41
NR72178--MA0039.3.KLF4	chrX	73880898	73880908	+	0.000	0.000	Merged-chrX-73880699-35
NR11224--MA0740.1.KLF14	chr11	78328435	78328448	+	0.000	0.000	Merged-chr11-78328473-53
NR47711--MA0741.1.KLF16	chr4	132808292	132808302	-	0.000	0.000	Merged-chr4-132808337-17
NR70438--MA0740.1.KLF14	chr9	102626230	102626243	+	0.000	0.000	Merged-chr9-102626272-120
NR59757--MA0599.1.KLF5	chr7	28809115	28809124	+	0.000	0.000	Merged-chr7-28809284-68
NR21393--MA0039.3.KLF4	chr14	99045514	99045524	+	0.000	0.000	Merged-chr14-99045494-2
NR14362--MA0741.1.KLF16	chr12	69198452	69198462	-	0.000	0.000	Merged-chr12-69198315-1
NR11145--MA0599.1.KLF5	chr11	77216165	77216174	-	0.000	0.000	Merged-chr11-77216325-91
NR34327--MA0493.1.Klf1	chr19	53460407	53460417	+	0.000	0.000	Merged-chr19-53460523-19
NR24906--MA0741.1.KLF16	chr15	102672046	102672056	+	0.000	0.000	Merged-chr15-102671935-5
NR11484--MA1107.1.KLF9	chr11	85140058	85140070	+	0.000	0.000	Merged-chr11-85140096-67
NR58088--MA0039.3.KLF4	chr6	137558120	137558130	-	0.000	0.000	Merged-chr6-137558133-151
NR58098--MA0493.1.Klf1	chr6	137754514	137754524	-	0.000	0.000	Merged-chr6-137754640-54
NR37970--MA0742.1.Klf12	chr2	121414436	121414450	+	0.000	0.000	Merged-chr2-121414603-1
NR8991--MA0741.1.KLF16	chr10	128211814	128211824	+	0.000	0.000	Merged-chr10-128211803-53
NR36421--MA1107.1.KLF9	chr2	65237876	65237888	+	0.000	0.000	Merged-chr2-65237970-5
NR23364--MA0599.1.KLF5	chr15	73169064	73169073	-	0.000	0.000	Merged-chr15-73169118-30
NR42315--MA0742.1.Klf12	chr3	101748435	101748449	+	0.000	0.000	Merged-chr3-101748481-44
NR12477--MA0741.1.KLF16	chr11	106193666	106193676	+	0.000	0.000	Merged-chr11-106193514-84
NR61689--MA0741.1.KLF16	chr7	99834114	99834124	-	0.000	0.000	Merged-chr7-99833987-52
NR12481--MA0599.1.KLF5	chr11	106216895	106216904	+	0.000	0.000	Merged-chr11-106216790-91
NR39131--MA1107.1.KLF9	chr2	156196677	156196689	-	0.000	0.000	Merged-chr2-156196758-68
NR35348--MA0741.1.KLF16	chr2	25983415	25983425	+	0.000	0.000	Merged-chr2-25983366-83
NR64400--MA0741.1.KLF16	chr8	22653184	22653194	-	0.000	0.000	Merged-chr8-22653358-66
NR13068--MA0039.3.KLF4	chr11	117781012	117781022	-	0.000	0.000	Merged-chr11-117781135-87
NR28454--MA1107.1.KLF9	chr17	29500855	29500867	-	0.000	0.000	Merged-chr17-29500871-30
NR28452--MA0741.1.KLF16	chr17	29500856	29500866	-	0.000	0.000	Merged-chr17-29500871-30
NR46590--MA1107.1.KLF9	chr4	106679045	106679057	+	0.000	0.000	Merged-chr4-106678973-52
NR59498--MA0740.1.KLF14	chr7	25238265	25238278	+	0.000	0.000	Merged-chr7-25238227-126
NR46505--MA0740.1.KLF14	chr4	103313797	103313810	-	0.000	0.000	Merged-chr4-103313867-67
NR12329--MA0599.1.KLF5	chr11	103016992	103017001	+	0.000	0.000	Merged-chr11-103017025-48
NR18516--MA0741.1.KLF16	chr13	106947097	106947107	-	0.000	0.000	Merged-chr13-106947052-54
NR44554--MA0740.1.KLF14	chr4	11900135	11900148	-	0.000	0.000	Merged-chr4-11900204-55
NR13735--MA0039.3.KLF4	chr12	25155610	25155620	+	0.000	0.000	Merged-chr12-25155613-40
NR17213--MA1107.1.KLF9	chr13	58158316	58158328	-	0.000	0.000	Merged-chr13-58158134-148
NR60564--MA0741.1.KLF16	chr7	49616542	49616552	+	0.000	0.000	Merged-chr7-49616493-31
NR42035--MA0741.1.KLF16	chr3	95995979	95995989	+	0.000	0.000	Merged-chr3-95995992-42
NR22292--MA0599.1.KLF5	chr15	6709117	6709126	-	0.000	0.000	Merged-chr15-6709101-6
NR68360--MA0039.3.KLF4	chr9	42028977	42028987	-	0.000	0.000	Merged-chr9-42029038-28
NR65745--MA0740.1.KLF14	chr8	81854943	81854956	-	0.000	0.000	Merged-chr8-81854929-80
NR5710--MA0740.1.KLF14	chr10	40349116	40349129	-	0.000	0.000	Merged-chr10-40349174-117
NR36767--MA0599.1.KLF5	chr2	75832127	75832136	-	0.000	0.000	Merged-chr2-75832338-83
NR40285--MA0599.1.KLF5	chr2	181520310	181520319	+	0.000	0.000	Merged-chr2-181520538-61
NR53209--MA0599.1.KLF5	chr5	134350658	134350667	+	0.000	0.000	Merged-chr5-134350841-34
NR62175--MA1107.1.KLF9	chr7	113256229	113256241	+	0.000	0.000	Merged-chr7-113256129-11
NR66998--MA0741.1.KLF16	chr8	119605253	119605263	+	0.000	0.000	Merged-chr8-119605101-59
NR10383--MA0741.1.KLF16	chr11	58994642	58994652	-	0.000	0.000	Merged-chr11-58994584-23
NR51783--MA0741.1.KLF16	chr5	107688056	107688066	-	0.000	0.000	Merged-chr5-107688177-56
NR22816--MA0599.1.KLF5	chr15	43282783	43282792	+	0.000	0.000	Merged-chr15-43282649-75
NR56125--MA0741.1.KLF16	chr6	86397165	86397175	+	0.000	0.000	Merged-chr6-86397021-74
NR35942--MA0742.1.Klf12	chr2	37443276	37443290	-	0.000	0.000	Merged-chr2-37443185-70
NR34492--MA1107.1.KLF9	chr19	57132259	57132271	-	0.000	0.000	Merged-chr19-57132265-94
NR6216--MA0740.1.KLF14	chr10	61452889	61452902	-	0.000	0.000	Merged-chr10-61452794-18
NR57255--MA0599.1.KLF5	chr6	120188238	120188247	-	0.000	0.000	Merged-chr6-120188171-90
NR48967--MA1107.1.KLF9	chr4	154065657	154065669	-	0.000	0.000	Merged-chr4-154065575-29
NR21077--MA0599.1.KLF5	chr14	75284282	75284291	-	0.000	0.000	Merged-chr14-75284367-55
NR70568--MA0493.1.Klf1	chr9	105395261	105395271	-	0.000	0.000	Merged-chr9-105395355-56
NR28841--MA0742.1.Klf12	chr17	35823153	35823167	-	0.000	0.000	Merged-chr17-35823208-57
NR58591--MA0599.1.KLF5	chr6	145359790	145359799	-	0.000	0.000	Merged-chr6-145360005-41
NR47984--MA0039.3.KLF4	chr4	135946420	135946430	+	0.000	0.000	Merged-chr4-135946528-48
NR30586--MA0599.1.KLF5	chr17	86753568	86753577	-	0.000	0.000	Merged-chr17-86753860-145
NR53768--MA0493.1.Klf1	chr5	140649184	140649194	+	0.000	0.000	Merged-chr5-140649068-64
NR12235--MA0599.1.KLF5	chr11	101448390	101448399	-	0.000	0.000	Merged-chr11-101448490-55
NR31506--MA0742.1.Klf12	chr18	49979472	49979486	+	0.000	0.000	Merged-chr18-49979677-114
NR50978--MA0599.1.KLF5	chr5	76184458	76184467	-	0.000	0.000	Merged-chr5-76184561-3
NR29281--MA0742.1.Klf12	chr17	48409804	48409818	+	0.000	0.000	Merged-chr17-48409638-180
NR27234--MA0039.3.KLF4	chr16	96145499	96145509	-	0.000	0.000	Merged-chr16-96145464-50
NR42660--MA0039.3.KLF4	chr3	109133239	109133249	+	0.000	0.000	Merged-chr3-109133281-24
NR32048--MA0740.1.KLF14	chr18	67724613	67724626	+	0.000	0.000	Merged-chr18-67724731-110
NR16361--MA0493.1.Klf1	chr13	24682488	24682498	-	0.000	0.000	Merged-chr13-24682422-48
NR12586--MA0741.1.KLF16	chr11	109611685	109611695	+	0.000	0.000	Merged-chr11-109611660-96
NR71973--MA0740.1.KLF14	chrX	48433737	48433750	+	0.000	0.000	Merged-chrX-48433621-61
NR5243--MA0657.1.KLF13	chr10	13035451	13035468	-	0.000	0.000	Merged-chr10-13035332-21
NR57227--MA1107.1.KLF9	chr6	119444153	119444165	-	0.000	0.000	Merged-chr6-119444172-42
NR18876--MA1107.1.KLF9	chr13	114887433	114887445	-	0.000	0.000	Merged-chr13-114887526-35
NR30013--MA0599.1.KLF5	chr17	73107992	73108001	-	0.000	0.000	Merged-chr17-73108005-72
NR28580--MA0493.1.Klf1	chr17	32389520	32389530	-	0.000	0.000	Merged-chr17-32389394-69
NR33111--MA0741.1.KLF16	chr19	6276665	6276675	-	0.000	0.000	Merged-chr19-6276643-88
NR69107--MA0599.1.KLF5	chr9	62847934	62847943	-	0.000	0.000	Merged-chr9-62847920-25
NR48023--MA0740.1.KLF14	chr4	136147907	136147920	+	0.000	0.000	Merged-chr4-136147968-56
NR38929--MA0599.1.KLF5	chr2	151543655	151543664	-	0.000	0.000	Merged-chr2-151543630-14
NR16487--MA0599.1.KLF5	chr13	32338786	32338795	-	0.000	0.000	Merged-chr13-32338674-80
NR47341--MA0599.1.KLF5	chr4	126468717	126468726	-	0.000	0.000	Merged-chr4-126468465-94
NR41433--MA0741.1.KLF16	chr3	79194582	79194592	-	0.000	0.000	Merged-chr3-79194432-21
NR54697--MA0741.1.KLF16	chr6	22424210	22424220	+	0.000	0.000	Merged-chr6-22424289-78
NR10709--MA0599.1.KLF5	chr11	68545938	68545947	-	0.000	0.000	Merged-chr11-68546136-23
NR39589--MA0599.1.KLF5	chr2	166713978	166713987	-	0.000	0.000	Merged-chr2-166713802-88
NR52696--MA0493.1.Klf1	chr5	124497061	124497071	+	0.000	0.000	Merged-chr5-124497096-41
NR11163--MA0599.1.KLF5	chr11	77491233	77491242	-	0.000	0.000	Merged-chr11-77491322-26
NR9990--MA0493.1.Klf1	chr11	49100591	49100601	-	0.000	0.000	Merged-chr11-49100506-9
NR59560--MA0599.1.KLF5	chr7	25689341	25689350	+	0.000	0.000	Merged-chr7-25689415-98
NR23538--MA0740.1.KLF14	chr15	76576500	76576513	+	0.000	0.000	Merged-chr15-76576495-44
NR21073--MA0657.1.KLF13	chr14	75284276	75284293	-	0.000	0.000	Merged-chr14-75284367-55
NR39545--MA0741.1.KLF16	chr2	165983255	165983265	-	0.000	0.000	Merged-chr2-165983267-1
NR38019--MA1107.1.KLF9	chr2	122028485	122028497	+	0.000	0.000	Merged-chr2-122028535-87
NR60574--MA0599.1.KLF5	chr7	49741665	49741674	+	0.000	0.000	Merged-chr7-49741664-32
NR4069--MA0657.1.KLF13	chr1	175692815	175692832	+	0.000	0.000	Merged-chr1-175692845-123
NR147--MA0599.1.KLF5	chr1	16656887	16656896	+	0.000	0.000	Merged-chr1-16656979-64
NR34456--MA0740.1.KLF14	chr19	56756561	56756574	-	0.000	0.000	Merged-chr19-56756635-43
NR42983--MA0740.1.KLF14	chr3	123267326	123267339	-	0.000	0.000	Merged-chr3-123267512-110
NR52417--MA0741.1.KLF16	chr5	120130391	120130401	+	0.000	0.000	Merged-chr5-120130302-37
NR22713--MA0599.1.KLF5	chr15	38452896	38452905	-	0.000	0.000	Merged-chr15-38452892-28
NR37865--MA0741.1.KLF16	chr2	118901192	118901202	+	0.000	0.000	Merged-chr2-118901034-1
NR3241--MA0599.1.KLF5	chr1	155782306	155782315	+	0.000	0.000	Merged-chr1-155782357-47
NR32923--MA0741.1.KLF16	chr19	4332844	4332854	+	0.000	0.000	Merged-chr19-4332907-33
NR49194--MA0599.1.KLF5	chr5	3341325	3341334	+	0.000	0.000	Merged-chr5-3341382-23
NR71438--MA1107.1.KLF9	chr9	121704894	121704906	+	0.000	0.000	Merged-chr9-121705105-102
NR26974--MA0599.1.KLF5	chr16	90810575	90810584	-	0.000	0.000	Merged-chr16-90810372-70
NR19845--MA1107.1.KLF9	chr14	33099320	33099332	+	0.000	0.000	Merged-chr14-33099452-34
NR52949--MA0742.1.Klf12	chr5	129787249	129787263	-	0.000	0.000	Merged-chr5-129787253-58
NR21730--MA0493.1.Klf1	chr14	115371382	115371392	-	0.000	0.000	Merged-chr14-115371480-14
NR22716--MA0741.1.KLF16	chr15	38452893	38452903	-	0.000	0.000	Merged-chr15-38452892-28
NR15127--MA0039.3.KLF4	chr12	94083600	94083610	+	0.000	0.000	Merged-chr12-94083592-14
NR58753--MA0740.1.KLF14	chr7	3595308	3595321	+	0.000	0.000	Merged-chr7-3595192-53
NR43416--MA0599.1.KLF5	chr3	133394646	133394655	-	0.000	0.000	Merged-chr3-133394783-28
NR48849--MA0741.1.KLF16	chr4	151861936	151861946	+	0.000	0.000	Merged-chr4-151861997-138
NR2679--MA0493.1.Klf1	chr1	136415262	136415272	-	0.000	0.000	Merged-chr1-136415287-72
NR69308--MA0493.1.Klf1	chr9	67840269	67840279	-	0.000	0.000	Merged-chr9-67840387-69
NR72774--MA1107.1.KLF9	chrX	157492176	157492188	-	0.000	0.000	Merged-chrX-157492192-4
NR9543--MA0599.1.KLF5	chr11	21192111	21192120	-	0.000	0.000	Merged-chr11-21192059-23
NR35434--MA0657.1.KLF13	chr2	27009824	27009841	+	0.000	0.000	Merged-chr2-27009935-56
NR12686--MA1107.1.KLF9	chr11	113187328	113187340	+	0.000	0.000	Merged-chr11-113187180-1
NR69103--MA0741.1.KLF16	chr9	62838558	62838568	+	0.000	0.000	Merged-chr9-62838773-60
NR48506--MA1107.1.KLF9	chr4	145300401	145300413	+	0.000	0.000	Merged-chr4-145300303-61
NR35449--MA0599.1.KLF5	chr2	27442340	27442349	+	0.000	0.000	Merged-chr2-27442428-51
NR23995--MA0740.1.KLF14	chr15	83350277	83350290	+	0.000	0.000	Merged-chr15-83350192-58
NR44752--MA0599.1.KLF5	chr4	26346904	26346913	-	0.000	0.000	Merged-chr4-26346644-81
NR67924--MA0039.3.KLF4	chr9	21411744	21411754	-	0.000	0.000	Merged-chr9-21411941-54
NR69466--MA0740.1.KLF14	chr9	73071495	73071508	-	0.000	0.000	Merged-chr9-73071283-26
NR45492--MA0493.1.Klf1	chr4	53491514	53491524	+	0.000	0.000	Merged-chr4-53491453-32
NR54825--MA0741.1.KLF16	chr6	29916920	29916930	-	0.000	0.000	Merged-chr6-29917052-59
NR69352--MA1107.1.KLF9	chr9	69454057	69454069	-	0.000	0.000	Merged-chr9-69454002-94
NR42414--MA0039.3.KLF4	chr3	103102604	103102614	-	0.000	0.000	Merged-chr3-103102606-96
NR24208--MA0599.1.KLF5	chr15	88733600	88733609	+	0.000	0.000	Merged-chr15-88733682-153
NR68373--MA0741.1.KLF16	chr9	42209282	42209292	-	0.000	0.000	Merged-chr9-42209382-102
NR13110--MA0599.1.KLF5	chr11	118248640	118248649	+	0.000	0.000	Merged-chr11-118248688-60
NR50020--MA0740.1.KLF14	chr5	35176592	35176605	+	0.000	0.000	Merged-chr5-35176446-65
NR7817--MA0740.1.KLF14	chr10	94942957	94942970	+	0.000	0.000	Merged-chr10-94942923-6
NR14917--MA0741.1.KLF16	chr12	87411316	87411326	-	0.000	0.000	Merged-chr12-87411276-22
NR66852--MA0039.3.KLF4	chr8	116645533	116645543	-	0.000	0.000	Merged-chr8-116645599-31
NR25359--MA0741.1.KLF16	chr16	14317340	14317350	+	0.000	0.000	Merged-chr16-14317361-64
NR3618--MA0741.1.KLF16	chr1	165194481	165194491	-	0.000	0.000	Merged-chr1-165194301-85
NR48798--MA0740.1.KLF14	chr4	150854997	150855010	-	0.000	0.000	Merged-chr4-150855126-53
NR35805--MA0740.1.KLF14	chr2	32961692	32961705	-	0.000	0.000	Merged-chr2-32961770-56
NR44267--MA0039.3.KLF4	chr3	154628325	154628335	+	0.000	0.000	Merged-chr3-154628476-23
NR28245--MA0599.1.KLF5	chr17	27635385	27635394	+	0.000	0.000	Merged-chr17-27635225-66
NR53517--MA0742.1.Klf12	chr5	137684826	137684840	+	0.000	0.000	Merged-chr5-137684690-53
NR34019--MA0599.1.KLF5	chr19	44146473	44146482	+	0.000	0.000	Merged-chr19-44146311-57
NR11041--MA1107.1.KLF9	chr11	75410440	75410452	+	0.000	0.000	Merged-chr11-75410293-22
NR28921--MA0599.1.KLF5	chr17	36167765	36167774	+	0.000	0.000	Merged-chr17-36167828-41
NR26990--MA0741.1.KLF16	chr16	91011066	91011076	+	0.000	0.000	Merged-chr16-91011174-91
NR52155--MA0599.1.KLF5	chr5	114667638	114667647	-	0.000	0.000	Merged-chr5-114667670-56
NR49091--MA0599.1.KLF5	chr4	155563490	155563499	+	0.000	0.000	Merged-chr4-155563706-85
NR9115--MA0741.1.KLF16	chr11	3517628	3517638	-	0.000	0.000	Merged-chr11-3517558-36
NR66087--MA1107.1.KLF9	chr8	90795487	90795499	+	0.000	0.000	Merged-chr8-90795506-65
NR29581--MA0599.1.KLF5	chr17	56997294	56997303	-	0.000	0.000	Merged-chr17-56997354-48
NR39654--MA0741.1.KLF16	chr2	167661710	167661720	-	0.000	0.000	Merged-chr2-167661676-54
NR52255--MA0741.1.KLF16	chr5	115732291	115732301	+	0.000	0.000	Merged-chr5-115732233-125
NR21128--MA0741.1.KLF16	chr14	76579977	76579987	-	0.000	0.000	Merged-chr14-76580010-38
NR1499--MA1107.1.KLF9	chr1	85720772	85720784	+	0.000	0.000	Merged-chr1-85720773-26
NR9994--MA1107.1.KLF9	chr11	49100589	49100601	-	0.000	0.000	Merged-chr11-49100506-9
NR16751--MA0740.1.KLF14	chr13	43560360	43560373	+	0.000	0.000	Merged-chr13-43560201-73
NR23803--MA0599.1.KLF5	chr15	80264287	80264296	+	0.000	0.000	Merged-chr15-80264351-45
NR11489--MA0740.1.KLF14	chr11	85140178	85140191	-	0.000	0.000	Merged-chr11-85140096-67
NR42319--MA0741.1.KLF16	chr3	101800626	101800636	-	0.000	0.000	Merged-chr3-101800601-48
NR50846--MA0741.1.KLF16	chr5	72201981	72201991	-	0.000	0.000	Merged-chr5-72202096-40
NR55632--MA0741.1.KLF16	chr6	56924008	56924018	-	0.000	0.000	Merged-chr6-56923975-70
NR65758--MA0740.1.KLF14	chr8	83594463	83594476	+	0.000	0.000	Merged-chr8-83594488-70
NR52121--MA0742.1.Klf12	chr5	114175811	114175825	-	0.000	0.000	Merged-chr5-114175903-40
NR12281--MA0741.1.KLF16	chr11	102284777	102284787	-	0.000	0.000	Merged-chr11-102284938-63
NR53952--MA0741.1.KLF16	chr5	142926608	142926618	-	0.000	0.000	Merged-chr5-142926803-39
NR23108--MA1107.1.KLF9	chr15	60101871	60101883	+	0.000	0.000	Merged-chr15-60101772-22
NR35423--MA0741.1.KLF16	chr2	26933600	26933610	+	0.000	0.000	Merged-chr2-26933520-84
NR58862--MA0740.1.KLF14	chr7	5020255	5020268	-	0.000	0.000	Merged-chr7-5020467-58
NR59793--MA0599.1.KLF5	chr7	29134923	29134932	-	0.000	0.000	Merged-chr7-29134852-30
NR12225--MA1107.1.KLF9	chr11	101226445	101226457	+	0.000	0.000	Merged-chr11-101226407-43
NR23685--MA0039.3.KLF4	chr15	78772558	78772568	+	0.000	0.000	Merged-chr15-78772379-123
NR50712--MA0742.1.Klf12	chr5	65436003	65436017	-	0.000	0.000	Merged-chr5-65436020-62
NR12347--MA0741.1.KLF16	chr11	103094671	103094681	-	0.000	0.000	Merged-chr11-103094550-18
