#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR2774--MA0140.2.GATA1::TAL1	chr16	20929972	20929989	+	0.000	0.000	Merged-chr16-20930100-26
NR2443--MA1104.1.GATA6	chr14	103088677	103088689	-	0.000	0.000	Merged-chr14-103088795-24
NR2806--MA0482.1.Gata4	chr16	24527149	24527159	-	0.000	0.000	Merged-chr16-24527284-22
NR5912--MA0482.1.Gata4	chr6	67184853	67184863	-	0.000	0.000	Merged-chr6-67184785-39
NR6504--MA0035.3.Gata1	chr7	90007379	90007389	-	0.000	0.000	Merged-chr7-90007418-46
NR7308--MA1104.1.GATA6	chr9	66295132	66295144	-	0.000	0.000	Merged-chr9-66295082-25
NR3154--MA0037.3.GATA3	chr17	31224056	31224063	+	0.000	0.000	Merged-chr17-31224074-61
NR118--MA0766.1.GATA5	chr1	74201346	74201353	-	0.000	0.000	Merged-chr1-74201398-63
NR5750--MA0482.1.Gata4	chr5	134326495	134326505	+	0.000	0.000	Merged-chr5-134326402-39
NR2618--MA1104.1.GATA6	chr15	78835266	78835278	+	0.000	0.000	Merged-chr15-78835387-37
NR7311--MA0035.3.Gata1	chr9	66295133	66295143	+	0.000	0.000	Merged-chr9-66295082-25
NR6179--MA0036.3.GATA2	chr6	130136665	130136675	+	0.000	0.000	Merged-chr6-130136655-31
NR6190--MA0482.1.Gata4	chr6	130419322	130419332	+	0.000	0.000	Merged-chr6-130419325-26
NR7210--MA0036.3.GATA2	chr9	45828850	45828860	-	0.000	0.000	Merged-chr9-45828671-68
NR2552--MA0037.3.GATA3	chr15	52570471	52570478	-	0.000	0.000	Merged-chr15-52570490-21
NR6389--MA0035.3.Gata1	chr7	47008425	47008435	-	0.000	0.000	Merged-chr7-47008275-77
NR1923--MA0035.3.Gata1	chr13	64315645	64315655	-	0.000	0.000	Merged-chr13-64315696-19
NR1280--MA0036.3.GATA2	chr11	98682374	98682384	-	0.000	0.000	Merged-chr11-98682471-63
NR7420--MA0035.3.Gata1	chr9	97068913	97068923	+	0.000	0.000	Merged-chr9-97068935-38
NR1378--MA0037.3.GATA3	chr11	115629850	115629857	+	0.000	0.000	Merged-chr11-115630006-24
NR7146--MA0037.3.GATA3	chr9	20492730	20492737	+	0.000	0.000	Merged-chr9-20492841-60
NR7600--MA0766.1.GATA5	chrX	17365319	17365326	-	0.000	0.000	Merged-chrX-17365333-21
NR1046--MA0140.2.GATA1::TAL1	chr11	21105546	21105563	+	0.000	0.000	Merged-chr11-21105658-1
NR3712--MA0035.3.Gata1	chr19	34640605	34640615	-	0.000	0.000	Merged-chr19-34640764-45
NR1761--MA0035.3.Gata1	chr12	118411033	118411043	-	0.000	0.000	Merged-chr12-118411153-21
NR4245--MA1104.1.GATA6	chr2	127923471	127923483	-	0.000	0.000	Merged-chr2-127923410-36
NR2809--MA0035.3.Gata1	chr16	24527150	24527160	-	0.000	0.000	Merged-chr16-24527284-22
NR4117--MA0036.3.GATA2	chr2	102852290	102852300	-	0.000	0.000	Merged-chr2-102852175-26
NR7159--MA1104.1.GATA6	chr9	31254824	31254836	+	0.000	0.000	Merged-chr9-31254853-49
NR1139--MA0037.3.GATA3	chr11	58996103	58996110	+	0.000	0.000	Merged-chr11-58995988-22
NR179--MA0482.1.Gata4	chr1	86048456	86048466	-	0.000	0.000	Merged-chr1-86048437-13
NR980--MA0035.3.Gata1	chr10	127125354	127125364	+	0.000	0.000	Merged-chr10-127125484-11
NR83--MA0766.1.GATA5	chr1	64956882	64956889	-	0.000	0.000	Merged-chr1-64956845-95
NR3153--MA0140.2.GATA1::TAL1	chr17	29193391	29193408	-	0.000	0.000	Merged-chr17-29193494-23
NR1176--MA0140.2.GATA1::TAL1	chr11	67578641	67578658	+	0.000	0.000	Merged-chr11-67578583-16
NR2326--MA1104.1.GATA6	chr14	61589872	61589884	+	0.000	0.000	Merged-chr14-61589696-23
NR6439--MA0766.1.GATA5	chr7	75863453	75863460	-	0.000	0.000	Merged-chr7-75863636-9
NR738--MA1104.1.GATA6	chr10	62327712	62327724	+	0.000	0.000	Merged-chr10-62327638-49
NR420--MA0037.3.GATA3	chr1	164366711	164366718	-	0.000	0.000	Merged-chr1-164366862-30
NR3353--MA0036.3.GATA2	chr18	14654056	14654066	+	0.000	0.000	Merged-chr18-14653924-40
NR3311--MA0035.3.Gata1	chr17	83307182	83307192	-	0.000	0.000	Merged-chr17-83307130-30
NR5771--MA0766.1.GATA5	chr5	139793701	139793708	-	0.000	0.000	Merged-chr5-139793766-12
NR2527--MA0482.1.Gata4	chr15	31440061	31440071	+	0.000	0.000	Merged-chr15-31440136-19
NR1012--MA0035.3.Gata1	chr11	3387174	3387184	-	0.000	0.000	Merged-chr11-3387260-37
NR3743--MA0766.1.GATA5	chr19	55688659	55688666	-	0.000	0.000	Merged-chr19-55688769-29
NR1792--MA0766.1.GATA5	chr13	12412202	12412209	+	0.000	0.000	Merged-chr13-12412239-11
NR4320--MA0037.3.GATA3	chr2	146498566	146498573	-	0.000	0.000	Merged-chr2-146498425-8
NR5766--MA0035.3.Gata1	chr5	137787616	137787626	-	0.000	0.000	Merged-chr5-137787536-7
NR2640--MA0037.3.GATA3	chr15	85469062	85469069	+	0.000	0.000	Merged-chr15-85469002-5
NR5031--MA0037.3.GATA3	chr4	43973613	43973620	-	0.000	0.000	Merged-chr4-43973629-28
NR2636--MA0482.1.Gata4	chr15	82906890	82906900	-	0.000	0.000	Merged-chr15-82906941-10
NR5742--MA0482.1.Gata4	chr5	124012995	124013005	-	0.000	0.000	Merged-chr5-124013138-22
NR1163--MA0036.3.GATA2	chr11	63148509	63148519	+	0.000	0.000	Merged-chr11-63148506-21
NR3791--MA0482.1.Gata4	chr2	3727762	3727772	+	0.000	0.000	Merged-chr2-3727720-19
NR7029--MA0037.3.GATA3	chr8	115739982	115739989	+	0.000	0.000	Merged-chr8-115739981-29
NR1696--MA0766.1.GATA5	chr12	112800895	112800902	-	0.000	0.000	Merged-chr12-112800686-25
NR1118--MA0037.3.GATA3	chr11	53656982	53656989	-	0.000	0.000	Merged-chr11-53657053-47
NR1373--MA0035.3.Gata1	chr11	112889836	112889846	-	0.000	0.000	Merged-chr11-112889934-3
NR1553--MA0766.1.GATA5	chr12	84773167	84773174	-	0.000	0.000	Merged-chr12-84773092-54
NR5729--MA0037.3.GATA3	chr5	123381925	123381932	+	0.000	0.000	Merged-chr5-123382042-18
NR6509--MA0035.3.Gata1	chr7	90218186	90218196	+	0.000	0.000	Merged-chr7-90218311-11
NR3162--MA0035.3.Gata1	chr17	35758905	35758915	+	0.000	0.000	Merged-chr17-35758886-16
NR7563--MA0036.3.GATA2	chr9	123931829	123931839	+	0.000	0.000	Merged-chr9-123931993-21
NR2627--MA0140.2.GATA1::TAL1	chr15	81510826	81510843	+	0.000	0.000	Merged-chr15-81510764-17
NR3890--MA0035.3.Gata1	chr2	29632324	29632334	-	0.000	0.000	Merged-chr2-29632325-58
NR3685--MA0035.3.Gata1	chr19	31210683	31210693	+	0.000	0.000	Merged-chr19-31210653-54
NR6256--MA0766.1.GATA5	chr6	142809494	142809501	+	0.000	0.000	Merged-chr6-142809719-29
NR3932--MA0482.1.Gata4	chr2	46307820	46307830	-	0.000	0.000	Merged-chr2-46307811-35
NR1955--MA1104.1.GATA6	chr13	75035307	75035319	+	0.000	0.000	Merged-chr13-75035178-8
NR5797--MA0766.1.GATA5	chr5	148397628	148397635	-	0.000	0.000	Merged-chr5-148397526-5
NR303--MA0037.3.GATA3	chr1	143232080	143232087	-	0.000	0.000	Merged-chr1-143231887-6
NR2639--MA0035.3.Gata1	chr15	82906891	82906901	-	0.000	0.000	Merged-chr15-82906941-10
NR4694--MA0037.3.GATA3	chr3	108788167	108788174	+	0.000	0.000	Merged-chr3-108788342-25
NR7605--MA0766.1.GATA5	chrX	48141639	48141646	-	0.000	0.000	Merged-chrX-48141649-49
NR4971--MA0140.2.GATA1::TAL1	chr4	4790327	4790344	-	0.000	0.000	Merged-chr4-4790293-30
NR1142--MA0036.3.GATA2	chr11	58996101	58996111	-	0.000	0.000	Merged-chr11-58995988-22
NR6161--MA0482.1.Gata4	chr6	129210606	129210616	-	0.000	0.000	Merged-chr6-129210550-50
NR2937--MA0037.3.GATA3	chr16	84864872	84864879	-	0.000	0.000	Merged-chr16-84864807-26
NR2775--MA0037.3.GATA3	chr16	20930013	20930020	-	0.000	0.000	Merged-chr16-20930100-26
NR7670--MA1104.1.GATA6	chrX	160496685	160496697	-	0.000	0.000	Merged-chrX-160496581-5
NR3735--MA0766.1.GATA5	chr19	46613397	46613404	-	0.000	0.000	Merged-chr19-46613309-39
NR1784--MA0766.1.GATA5	chr13	8457041	8457048	-	0.000	0.000	Merged-chr13-8457184-81
NR4037--MA0482.1.Gata4	chr2	83723076	83723086	-	0.000	0.000	Merged-chr2-83723106-17
NR5667--MA0766.1.GATA5	chr5	107265164	107265171	-	0.000	0.000	Merged-chr5-107265096-67
NR3977--MA0036.3.GATA2	chr2	65135718	65135728	-	0.000	0.000	Merged-chr2-65135725-7
NR2807--MA1104.1.GATA6	chr16	24527149	24527161	+	0.000	0.000	Merged-chr16-24527284-22
NR5913--MA1104.1.GATA6	chr6	67184853	67184865	+	0.000	0.000	Merged-chr6-67184785-39
NR6419--MA1104.1.GATA6	chr7	58452223	58452235	-	0.000	0.000	Merged-chr7-58452206-46
NR3844--MA0766.1.GATA5	chr2	17644736	17644743	+	0.000	0.000	Merged-chr2-17644831-25
NR5819--MA0140.2.GATA1::TAL1	chr6	15793418	15793435	-	0.000	0.000	Merged-chr6-15793359-107
NR5986--MA0482.1.Gata4	chr6	91172600	91172610	-	0.000	0.000	Merged-chr6-91172590-9
NR76--MA0037.3.GATA3	chr1	62829840	62829847	+	0.000	0.000	Merged-chr1-62829921-36
NR7523--MA0482.1.Gata4	chr9	117911072	117911082	-	0.000	0.000	Merged-chr9-117910970-21
NR2347--MA0035.3.Gata1	chr14	66199863	66199873	-	0.000	0.000	Merged-chr14-66199794-59
NR6191--MA1104.1.GATA6	chr6	130419320	130419332	-	0.000	0.000	Merged-chr6-130419325-26
NR7303--MA0036.3.GATA2	chr9	64779819	64779829	-	0.000	0.000	Merged-chr9-64779927-39
NR3839--MA0035.3.Gata1	chr2	13760572	13760582	-	0.000	0.000	Merged-chr2-13760550-51
NR4669--MA0482.1.Gata4	chr3	101296677	101296687	-	0.000	0.000	Merged-chr3-101296807-2
NR1121--MA0036.3.GATA2	chr11	53656981	53656991	+	0.000	0.000	Merged-chr11-53657053-47
NR1864--MA0482.1.Gata4	chr13	37537938	37537948	+	0.000	0.000	Merged-chr13-37538007-40
NR2374--MA0037.3.GATA3	chr14	78687948	78687955	-	0.000	0.000	Merged-chr14-78687892-42
NR3356--MA0037.3.GATA3	chr18	23913297	23913304	-	0.000	0.000	Merged-chr18-23913382-65
NR4782--MA0037.3.GATA3	chr3	133332579	133332586	-	0.000	0.000	Merged-chr3-133332565-72
NR3882--MA0035.3.Gata1	chr2	26154175	26154185	-	0.000	0.000	Merged-chr2-26154226-16
NR5732--MA0036.3.GATA2	chr5	123381923	123381933	-	0.000	0.000	Merged-chr5-123382042-18
NR3653--MA0482.1.Gata4	chr19	25360814	25360824	+	0.000	0.000	Merged-chr19-25360847-26
NR1310--MA0140.2.GATA1::TAL1	chr11	102089251	102089268	-	0.000	0.000	Merged-chr11-102089201-27
NR4434--MA0037.3.GATA3	chr2	167081045	167081052	+	0.000	0.000	Merged-chr2-167081117-10
NR821--MA0035.3.Gata1	chr10	96015953	96015963	-	0.000	0.000	Merged-chr10-96015913-48
NR5580--MA0766.1.GATA5	chr5	92375117	92375124	-	0.000	0.000	Merged-chr5-92374946-3
NR6177--MA0035.3.Gata1	chr6	130102977	130102987	+	0.000	0.000	Merged-chr6-130103023-31
NR5375--MA0766.1.GATA5	chr4	156022069	156022076	-	0.000	0.000	Merged-chr4-156022073-120
NR2217--MA0035.3.Gata1	chr14	14019692	14019702	-	0.000	0.000	Merged-chr14-14019640-26
NR2658--MA0037.3.GATA3	chr15	88730899	88730906	+	0.000	0.000	Merged-chr15-88731051-1
NR3618--MA0766.1.GATA5	chr19	4119836	4119843	+	0.000	0.000	Merged-chr19-4119891-46
NR7526--MA0035.3.Gata1	chr9	117911073	117911083	-	0.000	0.000	Merged-chr9-117910970-21
NR4319--MA0036.3.GATA2	chr2	146416548	146416558	+	0.000	0.000	Merged-chr2-146416561-24
NR1762--MA0140.2.GATA1::TAL1	chr12	118411024	118411041	-	0.000	0.000	Merged-chr12-118411153-21
NR3666--MA0482.1.Gata4	chr19	29367423	29367433	-	0.000	0.000	Merged-chr19-29367376-49
NR5844--MA0140.2.GATA1::TAL1	chr6	38810230	38810247	-	0.000	0.000	Merged-chr6-38810070-95
NR81--MA0482.1.Gata4	chr1	64956882	64956892	+	0.000	0.000	Merged-chr1-64956845-95
NR3308--MA0140.2.GATA1::TAL1	chr17	83277767	83277784	-	0.000	0.000	Merged-chr17-83277752-160
NR1766--MA0036.3.GATA2	chr12	118439072	118439082	-	0.000	0.000	Merged-chr12-118439012-3
NR7273--MA0766.1.GATA5	chr9	61681490	61681497	+	0.000	0.000	Merged-chr9-61681687-3
NR119--MA0035.3.Gata1	chr1	74201345	74201355	+	0.000	0.000	Merged-chr1-74201398-63
NR3064--MA0037.3.GATA3	chr17	12165548	12165555	-	0.000	0.000	Merged-chr17-12165459-54
NR178--MA0140.2.GATA1::TAL1	chr1	85953391	85953408	+	0.000	0.000	Merged-chr1-85953523-25
NR3042--MA0766.1.GATA5	chr16	97204301	97204308	-	0.000	0.000	Merged-chr16-97204388-55
NR2349--MA0482.1.Gata4	chr14	66218980	66218990	+	0.000	0.000	Merged-chr14-66218968-32
NR6437--MA0482.1.Gata4	chr7	75863453	75863463	+	0.000	0.000	Merged-chr7-75863636-9
NR985--MA0036.3.GATA2	chr10	128990354	128990364	+	0.000	0.000	Merged-chr10-128990510-111
NR7653--MA0766.1.GATA5	chrX	140537799	140537806	-	0.000	0.000	Merged-chrX-140537922-35
NR68--MA0037.3.GATA3	chr1	60990423	60990430	-	0.000	0.000	Merged-chr1-60990456-63
NR5768--MA0766.1.GATA5	chr5	138280045	138280052	+	0.000	0.000	Merged-chr5-138280109-50
NR779--MA0140.2.GATA1::TAL1	chr10	81175256	81175273	-	0.000	0.000	Merged-chr10-81175186-18
NR7601--MA0035.3.Gata1	chrX	17365318	17365328	+	0.000	0.000	Merged-chrX-17365333-21
NR5968--MA0035.3.Gata1	chr6	88189800	88189810	-	0.000	0.000	Merged-chr6-88189765-31
NR3622--MA0035.3.Gata1	chr19	10816013	10816023	+	0.000	0.000	Merged-chr19-10816124-38
NR1856--MA0482.1.Gata4	chr13	35129616	35129626	+	0.000	0.000	Merged-chr13-35129636-40
NR1671--MA0035.3.Gata1	chr12	108646504	108646514	+	0.000	0.000	Merged-chr12-108646363-75
NR7179--MA0140.2.GATA1::TAL1	chr9	33060979	33060996	-	0.000	0.000	Merged-chr9-33060885-64
NR84--MA0035.3.Gata1	chr1	64956881	64956891	+	0.000	0.000	Merged-chr1-64956845-95
NR5411--MA0035.3.Gata1	chr5	19923935	19923945	+	0.000	0.000	Merged-chr5-19924023-2
NR5105--MA0036.3.GATA2	chr4	71291541	71291551	+	0.000	0.000	Merged-chr4-71291736-94
NR5833--MA0036.3.GATA2	chr6	33051809	33051819	-	0.000	0.000	Merged-chr6-33051908-11
NR3011--MA0036.3.GATA2	chr16	93918465	93918475	+	0.000	0.000	Merged-chr16-93918388-61
NR1070--MA0766.1.GATA5	chr11	30166380	30166387	+	0.000	0.000	Merged-chr11-30166468-16
NR1136--MA0766.1.GATA5	chr11	57952915	57952922	+	0.000	0.000	Merged-chr11-57952769-40
NR3933--MA1104.1.GATA6	chr2	46307820	46307832	+	0.000	0.000	Merged-chr2-46307811-35
NR1982--MA1104.1.GATA6	chr13	85507909	85507921	-	0.000	0.000	Merged-chr13-85507689-92
NR1869--MA0482.1.Gata4	chr13	41097617	41097627	-	0.000	0.000	Merged-chr13-41097728-40
NR7415--MA0140.2.GATA1::TAL1	chr9	96740897	96740914	+	0.000	0.000	Merged-chr9-96740764-95
NR7361--MA0766.1.GATA5	chr9	83830019	83830026	+	0.000	0.000	Merged-chr9-83830058-10
NR6162--MA1104.1.GATA6	chr6	129210606	129210618	+	0.000	0.000	Merged-chr6-129210550-50
NR3744--MA0035.3.Gata1	chr19	55688658	55688668	+	0.000	0.000	Merged-chr19-55688769-29
NR2661--MA0036.3.GATA2	chr15	88730897	88730907	-	0.000	0.000	Merged-chr15-88731051-1
NR1793--MA0035.3.Gata1	chr13	12412200	12412210	-	0.000	0.000	Merged-chr13-12412239-11
NR3448--MA0766.1.GATA5	chr18	56714570	56714577	-	0.000	0.000	Merged-chr18-56714625-64
NR409--MA1104.1.GATA6	chr1	163383831	163383843	+	0.000	0.000	Merged-chr1-163383772-21
NR5652--MA0482.1.Gata4	chr5	105192811	105192821	+	0.000	0.000	Merged-chr5-105192735-25
NR3496--MA0482.1.Gata4	chr18	70478126	70478136	+	0.000	0.000	Merged-chr18-70478078-27
NR1031--MA0035.3.Gata1	chr11	11522202	11522212	-	0.000	0.000	Merged-chr11-11522120-49
NR5703--MA0036.3.GATA2	chr5	115313584	115313594	+	0.000	0.000	Merged-chr5-115313738-19
NR2106--MA1104.1.GATA6	chr13	105048887	105048899	+	0.000	0.000	Merged-chr13-105048907-4
NR3818--MA0036.3.GATA2	chr2	9688418	9688428	-	0.000	0.000	Merged-chr2-9688295-16
NR1944--MA0482.1.Gata4	chr13	74490194	74490204	+	0.000	0.000	Merged-chr13-74490220-4
NR1739--MA0482.1.Gata4	chr12	116927598	116927608	+	0.000	0.000	Merged-chr12-116927658-5
NR1554--MA0035.3.Gata1	chr12	84773166	84773176	+	0.000	0.000	Merged-chr12-84773092-54
NR4038--MA1104.1.GATA6	chr2	83723076	83723088	+	0.000	0.000	Merged-chr2-83723106-17
NR7502--MA0766.1.GATA5	chr9	115526274	115526281	+	0.000	0.000	Merged-chr9-115526484-32
NR7319--MA0037.3.GATA3	chr9	69073402	69073409	-	0.000	0.000	Merged-chr9-69073494-25
NR5987--MA1104.1.GATA6	chr6	91172600	91172612	+	0.000	0.000	Merged-chr6-91172590-9
NR4243--MA0037.3.GATA3	chr2	127923473	127923480	-	0.000	0.000	Merged-chr2-127923410-36
NR1782--MA0482.1.Gata4	chr13	8457041	8457051	+	0.000	0.000	Merged-chr13-8457184-81
NR71--MA0036.3.GATA2	chr1	60990422	60990432	+	0.000	0.000	Merged-chr1-60990456-63
NR3409--MA0035.3.Gata1	chr18	49983166	49983176	+	0.000	0.000	Merged-chr18-49983163-13
NR7550--MA0482.1.Gata4	chr9	121059650	121059660	+	0.000	0.000	Merged-chr9-121059635-6
NR7345--MA0482.1.Gata4	chr9	80318150	80318160	+	0.000	0.000	Merged-chr9-80318250-48
NR6380--MA0037.3.GATA3	chr7	45510504	45510511	-	0.000	0.000	Merged-chr7-45510367-63
NR7524--MA1104.1.GATA6	chr9	117911072	117911084	+	0.000	0.000	Merged-chr9-117910970-21
NR5665--MA0482.1.Gata4	chr5	107265164	107265174	+	0.000	0.000	Merged-chr5-107265096-67
NR6376--MA0482.1.Gata4	chr7	45374773	45374783	+	0.000	0.000	Merged-chr7-45374832-5
NR630--MA0035.3.Gata1	chr10	17574971	17574981	-	0.000	0.000	Merged-chr10-17575084-24
NR7157--MA0037.3.GATA3	chr9	31254827	31254834	+	0.000	0.000	Merged-chr9-31254853-49
NR7202--MA0482.1.Gata4	chr9	42032682	42032692	-	0.000	0.000	Merged-chr9-42032714-51
NR6871--MA0036.3.GATA2	chr8	35628398	35628408	+	0.000	0.000	Merged-chr8-35628375-52
NR7203--MA0140.2.GATA1::TAL1	chr9	44652207	44652224	+	0.000	0.000	Merged-chr9-44652230-11
NR5798--MA0035.3.Gata1	chr5	148397627	148397637	+	0.000	0.000	Merged-chr5-148397526-5
NR2738--MA0037.3.GATA3	chr15	103154445	103154452	-	0.000	0.000	Merged-chr15-103154383-18
NR1272--MA0482.1.Gata4	chr11	98487787	98487797	-	0.000	0.000	Merged-chr11-98487809-30
NR4853--MA0766.1.GATA5	chr3	138334462	138334469	+	0.000	0.000	Merged-chr3-138334424-50
NR736--MA0037.3.GATA3	chr10	62327715	62327722	+	0.000	0.000	Merged-chr10-62327638-49
NR3746--MA0482.1.Gata4	chr19	55865997	55866007	-	0.000	0.000	Merged-chr19-55866165-31
NR3654--MA1104.1.GATA6	chr19	25360812	25360824	-	0.000	0.000	Merged-chr19-25360847-26
NR5216--MA0766.1.GATA5	chr4	108460963	108460970	-	0.000	0.000	Merged-chr4-108460975-1
NR5586--MA1104.1.GATA6	chr5	93093277	93093289	-	0.000	0.000	Merged-chr5-93093423-108
NR1099--MA0036.3.GATA2	chr11	48928354	48928364	-	0.000	0.000	Merged-chr11-48928222-10
NR7419--MA0766.1.GATA5	chr9	97068914	97068921	-	0.000	0.000	Merged-chr9-97068935-38
NR6169--MA0036.3.GATA2	chr6	129284595	129284605	+	0.000	0.000	Merged-chr6-129284661-64
NR1304--MA0482.1.Gata4	chr11	101661873	101661883	-	0.000	0.000	Merged-chr11-101661964-4
NR1785--MA0035.3.Gata1	chr13	8457040	8457050	+	0.000	0.000	Merged-chr13-8457184-81
NR2271--MA0037.3.GATA3	chr14	47476788	47476795	+	0.000	0.000	Merged-chr14-47476839-9
NR5848--MA0766.1.GATA5	chr6	39284046	39284053	+	0.000	0.000	Merged-chr6-39284001-16
NR3887--MA0036.3.GATA2	chr2	26753536	26753546	-	0.000	0.000	Merged-chr2-26753671-30
NR6993--MA0036.3.GATA2	chr8	111955417	111955427	+	0.000	0.000	Merged-chr8-111955328-48
NR3667--MA1104.1.GATA6	chr19	29367423	29367435	+	0.000	0.000	Merged-chr19-29367376-49
NR3845--MA0035.3.Gata1	chr2	17644734	17644744	-	0.000	0.000	Merged-chr2-17644831-25
NR2772--MA0766.1.GATA5	chr16	20144776	20144783	+	0.000	0.000	Merged-chr16-20144854-9
NR6680--MA0035.3.Gata1	chr7	117383393	117383403	+	0.000	0.000	Merged-chr7-117383303-11
NR2720--MA0035.3.Gata1	chr15	97373362	97373372	+	0.000	0.000	Merged-chr15-97373444-153
NR590--MA0035.3.Gata1	chr1	193198412	193198422	+	0.000	0.000	Merged-chr1-193198474-9
NR4965--MA0036.3.GATA2	chr4	3209832	3209842	-	0.000	0.000	Merged-chr4-3209817-19
NR836--MA0766.1.GATA5	chr10	96391849	96391856	+	0.000	0.000	Merged-chr10-96391802-8
NR6438--MA1104.1.GATA6	chr7	75863451	75863463	-	0.000	0.000	Merged-chr7-75863636-9
NR1978--MA0766.1.GATA5	chr13	85498878	85498885	+	0.000	0.000	Merged-chr13-85498931-37
NR1477--MA1104.1.GATA6	chr12	59055287	59055299	+	0.000	0.000	Merged-chr12-59055376-29
NR393--MA0036.3.GATA2	chr1	160195097	160195107	+	0.000	0.000	Merged-chr1-160195203-53
NR5743--MA0035.3.Gata1	chr5	124012996	124013006	-	0.000	0.000	Merged-chr5-124013138-22
NR5381--MA0766.1.GATA5	chr5	3512857	3512864	+	0.000	0.000	Merged-chr5-3512789-22
NR6964--MA0035.3.Gata1	chr8	94969658	94969668	+	0.000	0.000	Merged-chr8-94969690-1
NR6500--MA0037.3.GATA3	chr7	90007381	90007388	+	0.000	0.000	Merged-chr7-90007418-46
NR1953--MA0037.3.GATA3	chr13	75035310	75035317	+	0.000	0.000	Merged-chr13-75035178-8
NR5033--MA0766.1.GATA5	chr4	43973613	43973620	-	0.000	0.000	Merged-chr4-43973629-28
NR3072--MA0036.3.GATA2	chr17	12205679	12205689	+	0.000	0.000	Merged-chr17-12205812-57
NR6730--MA0766.1.GATA5	chr7	126780376	126780383	+	0.000	0.000	Merged-chr7-126780255-24
NR5376--MA0035.3.Gata1	chr4	156022068	156022078	+	0.000	0.000	Merged-chr4-156022073-120
NR7160--MA0036.3.GATA2	chr9	31254825	31254835	-	0.000	0.000	Merged-chr9-31254853-49
NR5285--MA0766.1.GATA5	chr4	139293492	139293499	-	0.000	0.000	Merged-chr4-139293440-1
NR5827--MA0766.1.GATA5	chr6	30230605	30230612	+	0.000	0.000	Merged-chr6-30230479-12
NR1469--MA0140.2.GATA1::TAL1	chr12	55016500	55016517	+	0.000	0.000	Merged-chr12-55016727-50
NR3866--MA0036.3.GATA2	chr2	22787293	22787303	-	0.000	0.000	Merged-chr2-22787273-9
NR6037--MA1104.1.GATA6	chr6	100011905	100011917	+	0.000	0.000	Merged-chr6-100011850-11
NR3619--MA0035.3.Gata1	chr19	4119834	4119844	-	0.000	0.000	Merged-chr19-4119891-46
NR4086--MA1104.1.GATA6	chr2	98665145	98665157	+	0.000	0.000	Merged-chr2-98665090-39
NR6930--MA0035.3.Gata1	chr8	75170928	75170938	+	0.000	0.000	Merged-chr8-75170941-1
NR7284--MA0482.1.Gata4	chr9	62421167	62421177	-	0.000	0.000	Merged-chr9-62421317-30
NR7165--MA0035.3.Gata1	chr9	31300706	31300716	+	0.000	0.000	Merged-chr9-31300664-3
NR1644--MA0482.1.Gata4	chr12	103331559	103331569	+	0.000	0.000	Merged-chr12-103331678-52
NR7074--MA0766.1.GATA5	chr8	124520720	124520727	-	0.000	0.000	Merged-chr8-124520851-52
NR7335--MA0036.3.GATA2	chr9	75631002	75631012	+	0.000	0.000	Merged-chr9-75631100-49
NR7412--MA0482.1.Gata4	chr9	95836024	95836034	+	0.000	0.000	Merged-chr9-95835913-33
NR7320--MA1104.1.GATA6	chr9	69073400	69073412	-	0.000	0.000	Merged-chr9-69073494-25
NR465--MA0140.2.GATA1::TAL1	chr1	171037127	171037144	-	0.000	0.000	Merged-chr1-171037046-24
NR4562--MA0037.3.GATA3	chr3	55744018	55744025	-	0.000	0.000	Merged-chr3-55744037-44
NR4811--MA0766.1.GATA5	chr3	136531893	136531900	-	0.000	0.000	Merged-chr3-136531691-41
NR7573--MA0140.2.GATA1::TAL1	chrX	7586698	7586715	-	0.000	0.000	Merged-chrX-7586610-10
NR7664--MA0482.1.Gata4	chrX	153140121	153140131	+	0.000	0.000	Merged-chrX-153140079-69
NR7274--MA0035.3.Gata1	chr9	61681488	61681498	-	0.000	0.000	Merged-chr9-61681687-3
NR3704--MA0482.1.Gata4	chr19	34640571	34640581	+	0.000	0.000	Merged-chr19-34640764-45
NR1753--MA0482.1.Gata4	chr12	118255859	118255869	-	0.000	0.000	Merged-chr12-118255780-45
NR3043--MA0035.3.Gata1	chr16	97204300	97204310	+	0.000	0.000	Merged-chr16-97204388-55
NR5911--MA0037.3.GATA3	chr6	67184856	67184863	+	0.000	0.000	Merged-chr6-67184785-39
NR924--MA0766.1.GATA5	chr10	117861197	117861204	-	0.000	0.000	Merged-chr10-117861044-50
NR4920--MA0766.1.GATA5	chr3	148807226	148807233	+	0.000	0.000	Merged-chr3-148807140-19
NR7030--MA0036.3.GATA2	chr8	116526174	116526184	-	0.000	0.000	Merged-chr8-116526092-12
NR6943--MA0035.3.Gata1	chr8	83715200	83715210	-	0.000	0.000	Merged-chr8-83715259-53
NR7654--MA0035.3.Gata1	chrX	140537798	140537808	+	0.000	0.000	Merged-chrX-140537922-35
NR2167--MA0037.3.GATA3	chr13	113580117	113580124	+	0.000	0.000	Merged-chr13-113580257-62
