#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR876--MA0731.1.BCL6B	chr14	79331573	79331589	-	0.000	0.000	Merged-chr14-79331457-66
NR1570--MA0463.1.Bcl6	chr2	164081821	164081834	-	0.000	0.000	Merged-chr2-164081803-8
NR191--MA0731.1.BCL6B	chr1	172277328	172277344	+	0.000	0.000	Merged-chr1-172277440-42
NR571--MA0731.1.BCL6B	chr12	85123318	85123334	+	0.000	0.000	Merged-chr12-85123310-39
NR746--MA0731.1.BCL6B	chr13	106998766	106998782	-	0.000	0.000	Merged-chr13-106998870-40
NR332--MA0731.1.BCL6B	chr10	77984605	77984621	-	0.000	0.000	Merged-chr10-77984793-34
NR1669--MA0463.1.Bcl6	chr3	96273720	96273733	-	0.000	0.000	Merged-chr3-96273916-38
NR2432--MA0463.1.Bcl6	chr7	132304076	132304089	+	0.000	0.000	Merged-chr7-132304150-3
NR1360--MA0463.1.Bcl6	chr2	5845145	5845158	-	0.000	0.000	Merged-chr2-5845147-67
NR1126--MA0731.1.BCL6B	chr16	89986157	89986173	+	0.000	0.000	Merged-chr16-89986478-112
NR213--MA0463.1.Bcl6	chr1	182163153	182163166	-	0.000	0.000	Merged-chr1-182163114-26
NR325--MA0463.1.Bcl6	chr10	66864663	66864676	-	0.000	0.000	Merged-chr10-66864707-69
NR2562--MA0463.1.Bcl6	chr8	124266025	124266038	+	0.000	0.000	Merged-chr8-124265993-45
NR1073--MA0731.1.BCL6B	chr16	44321829	44321845	+	0.000	0.000	Merged-chr16-44321913-9
NR1132--MA0463.1.Bcl6	chr16	96767747	96767760	+	0.000	0.000	Merged-chr16-96767615-1
NR1338--MA0463.1.Bcl6	chr19	34290522	34290535	+	0.000	0.000	Merged-chr19-34290594-61
NR558--MA0463.1.Bcl6	chr12	71932985	71932998	-	0.000	0.000	Merged-chr12-71933079-55
NR2101--MA0463.1.Bcl6	chr5	114194318	114194331	+	0.000	0.000	Merged-chr5-114194325-12
NR1867--MA0731.1.BCL6B	chr4	86739315	86739331	-	0.000	0.000	Merged-chr4-86739424-15
NR1911--MA0463.1.Bcl6	chr4	116651704	116651717	-	0.000	0.000	Merged-chr4-116651530-57
NR455--MA0463.1.Bcl6	chr11	77386339	77386352	+	0.000	0.000	Merged-chr11-77386373-55
NR473--MA0463.1.Bcl6	chr11	101087270	101087283	+	0.000	0.000	Merged-chr11-101087263-56
NR1589--MA0463.1.Bcl6	chr2	181377375	181377388	+	0.000	0.000	Merged-chr2-181377481-47
NR1374--MA0463.1.Bcl6	chr2	18765846	18765859	+	0.000	0.000	Merged-chr2-18765910-35
NR2558--MA0463.1.Bcl6	chr8	123051768	123051781	-	0.000	0.000	Merged-chr8-123051694-23
NR903--MA0463.1.Bcl6	chr14	118089292	118089305	-	0.000	0.000	Merged-chr14-118089540-176
NR685--MA0731.1.BCL6B	chr13	67375782	67375798	-	0.000	0.000	Merged-chr13-67375654-59
NR1099--MA0731.1.BCL6B	chr16	65533857	65533873	-	0.000	0.000	Merged-chr16-65533669-35
NR800--MA0463.1.Bcl6	chr14	14098861	14098874	-	0.000	0.000	Merged-chr14-14098740-35
NR2401--MA0731.1.BCL6B	chr7	105395366	105395382	-	0.000	0.000	Merged-chr7-105395581-59
NR1916--MA0463.1.Bcl6	chr4	119127468	119127481	-	0.000	0.000	Merged-chr4-119127359-48
NR271--MA0731.1.BCL6B	chr10	19530152	19530168	-	0.000	0.000	Merged-chr10-19530154-52
NR1588--MA0731.1.BCL6B	chr2	181375967	181375983	+	0.000	0.000	Merged-chr2-181375912-7
NR2348--MA0463.1.Bcl6	chr7	58569056	58569069	+	0.000	0.000	Merged-chr7-58568960-29
NR1182--MA0463.1.Bcl6	chr17	44121610	44121623	-	0.000	0.000	Merged-chr17-44121634-62
NR2090--MA0731.1.BCL6B	chr5	99336699	99336715	-	0.000	0.000	Merged-chr5-99336656-39
NR568--MA0731.1.BCL6B	chr12	84451209	84451225	-	0.000	0.000	Merged-chr12-84451236-79
NR1048--MA0463.1.Bcl6	chr16	21794450	21794463	-	0.000	0.000	Merged-chr16-21794397-74
NR1169--MA0463.1.Bcl6	chr17	29500923	29500936	+	0.000	0.000	Merged-chr17-29500871-30
NR2645--MA0731.1.BCL6B	chr9	94668747	94668763	+	0.000	0.000	Merged-chr9-94668774-42
NR971--MA0463.1.Bcl6	chr15	53274957	53274970	+	0.000	0.000	Merged-chr15-53274876-10
NR146--MA0731.1.BCL6B	chr1	131153224	131153240	-	0.000	0.000	Merged-chr1-131153253-37
NR417--MA0731.1.BCL6B	chr11	19993910	19993926	-	0.000	0.000	Merged-chr11-19993906-5
NR855--MA0463.1.Bcl6	chr14	55604120	55604133	-	0.000	0.000	Merged-chr14-55604128-61
NR2058--MA0463.1.Bcl6	chr5	72161046	72161059	+	0.000	0.000	Merged-chr5-72161207-53
NR1434--MA0463.1.Bcl6	chr2	66114547	66114560	-	0.000	0.000	Merged-chr2-66114486-5
NR430--MA0463.1.Bcl6	chr11	51638254	51638267	-	0.000	0.000	Merged-chr11-51638186-26
NR1331--MA0463.1.Bcl6	chr19	18591399	18591412	-	0.000	0.000	Merged-chr19-18591291-34
NR2597--MA0731.1.BCL6B	chr9	41116375	41116391	+	0.000	0.000	Merged-chr9-41116264-54
NR663--MA0463.1.Bcl6	chr13	39011864	39011877	+	0.000	0.000	Merged-chr13-39011940-27
NR305--MA0463.1.Bcl6	chr10	51464417	51464430	+	0.000	0.000	Merged-chr10-51464441-1
NR518--MA0731.1.BCL6B	chr12	33434055	33434071	+	0.000	0.000	Merged-chr12-33434060-41
NR104--MA0731.1.BCL6B	chr1	88244895	88244911	-	0.000	0.000	Merged-chr1-88244946-1
NR356--MA0731.1.BCL6B	chr10	96181067	96181083	-	0.000	0.000	Merged-chr10-96181297-117
NR2538--MA0463.1.Bcl6	chr8	105855013	105855026	-	0.000	0.000	Merged-chr8-105855087-69
NR677--MA0463.1.Bcl6	chr13	61710900	61710913	+	0.000	0.000	Merged-chr13-61710985-22
NR1940--MA0731.1.BCL6B	chr4	134102477	134102493	+	0.000	0.000	Merged-chr4-134102653-39
NR858--MA0731.1.BCL6B	chr14	57680130	57680146	-	0.000	0.000	Merged-chr14-57680165-28
NR1941--MA0463.1.Bcl6	chr4	134683114	134683127	-	0.000	0.000	Merged-chr4-134683033-16
NR566--MA0731.1.BCL6B	chr12	80938837	80938853	+	0.000	0.000	Merged-chr12-80938954-22
NR2127--MA0463.1.Bcl6	chr5	143485210	143485223	-	0.000	0.000	Merged-chr5-143485209-17
NR2145--MA0463.1.Bcl6	chr6	8736127	8736140	+	0.000	0.000	Merged-chr6-8736179-83
NR387--MA0463.1.Bcl6	chr10	118722039	118722052	-	0.000	0.000	Merged-chr10-118722050-7
NR178--MA0731.1.BCL6B	chr1	165812650	165812666	-	0.000	0.000	Merged-chr1-165812825-36
NR499--MA0463.1.Bcl6	chr12	16133731	16133744	-	0.000	0.000	Merged-chr12-16133558-59
NR2146--MA0731.1.BCL6B	chr6	13838596	13838612	+	0.000	0.000	Merged-chr6-13838758-42
NR2396--MA0463.1.Bcl6	chr7	100591176	100591189	-	0.000	0.000	Merged-chr7-100591140-72
NR2293--MA0463.1.Bcl6	chr6	143115346	143115359	-	0.000	0.000	Merged-chr6-143115192-122,Merged-chr6-143115547-2
NR177--MA0463.1.Bcl6	chr1	165812653	165812666	+	0.000	0.000	Merged-chr1-165812825-36
NR428--MA0731.1.BCL6B	chr11	46358556	46358572	+	0.000	0.000	Merged-chr11-46358620-3
NR2539--MA0731.1.BCL6B	chr8	106973589	106973605	-	0.000	0.000	Merged-chr8-106973584-40
NR2648--MA0731.1.BCL6B	chr9	95072707	95072723	+	0.000	0.000	Merged-chr9-95072706-61
NR2620--MA0463.1.Bcl6	chr9	80067562	80067575	+	0.000	0.000	Merged-chr9-80067411-128
NR862--MA0463.1.Bcl6	chr14	63193889	63193902	+	0.000	0.000	Merged-chr14-63193803-41
NR2029--MA0731.1.BCL6B	chr5	45926350	45926366	+	0.000	0.000	Merged-chr5-45926189-15
NR1517--MA0463.1.Bcl6	chr2	132230318	132230331	-	0.000	0.000	Merged-chr2-132230330-32
NR2298--MA0463.1.Bcl6	chr6	144677784	144677797	+	0.000	0.000	Merged-chr6-144677900-59
NR2607--MA0463.1.Bcl6	chr9	61681177	61681190	-	0.000	0.000	Merged-chr9-61681164-50
NR979--MA0463.1.Bcl6	chr15	62730649	62730662	+	0.000	0.000	Merged-chr15-62730717-24
NR2465--MA0731.1.BCL6B	chr8	36140259	36140275	-	0.000	0.000	Merged-chr8-36140320-4
NR49--MA0463.1.Bcl6	chr1	40085978	40085991	-	0.000	0.000	Merged-chr1-40085963-65
NR489--MA0731.1.BCL6B	chr12	4817611	4817627	+	0.000	0.000	Merged-chr12-4817506-66
NR684--MA0463.1.Bcl6	chr13	67375785	67375798	+	0.000	0.000	Merged-chr13-67375654-59
NR1332--MA0731.1.BCL6B	chr19	18615923	18615939	+	0.000	0.000	Merged-chr19-18615969-1
NR2563--MA0463.1.Bcl6	chr8	125557520	125557533	-	0.000	0.000	Merged-chr8-125557520-11
NR2109--MA0731.1.BCL6B	chr5	124022443	124022459	+	0.000	0.000	Merged-chr5-124022476-27
NR1441--MA0731.1.BCL6B	chr2	69862572	69862588	-	0.000	0.000	Merged-chr2-69862499-13
NR2581--MA0463.1.Bcl6	chr9	20581378	20581391	-	0.000	0.000	Merged-chr9-20581482-47
NR1912--MA0463.1.Bcl6	chr4	116708568	116708581	-	0.000	0.000	Merged-chr4-116708529-54
NR1693--MA0731.1.BCL6B	chr3	115933922	115933938	+	0.000	0.000	Merged-chr3-115933714-29
NR2327--MA0731.1.BCL6B	chr7	38215087	38215103	+	0.000	0.000	Merged-chr7-38215034-63
NR2232--MA0463.1.Bcl6	chr6	100215089	100215102	+	0.000	0.000	Merged-chr6-100214989-3
NR1311--MA0731.1.BCL6B	chr18	83934315	83934331	+	0.000	0.000	Merged-chr18-83934444-16
NR229--MA0731.1.BCL6B	chr1	193170088	193170104	-	0.000	0.000	Merged-chr1-193170086-7
NR1292--MA0731.1.BCL6B	chr18	65395665	65395681	-	0.000	0.000	Merged-chr18-65395765-31
NR1834--MA0731.1.BCL6B	chr4	56088668	56088684	-	0.000	0.000	Merged-chr4-56088865-1
NR349--MA0463.1.Bcl6	chr10	93742757	93742770	-	0.000	0.000	Merged-chr10-93742892-5
