#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.up.bed
NR2146--MA0496.2.MAFK	chr11	3161117	3161135	+	0.000	0.000	Merged-chr11-3161151-10
NR2054--MA0089.1.MAFG::NFE2L1	chr10	122758497	122758502	-	0.000	0.000	Merged-chr10-122758293-88
NR410--MA0501.1.MAF::NFE2	chr1	84881745	84881759	-	0.000	0.000	Merged-chr1-84881698-12
NR7177--MA0659.1.MAFG	chr19	8997796	8997816	-	0.000	0.000	Merged-chr19-8997882-60
NR1618--MA0117.2.Mafb	chr10	62508041	62508052	-	0.000	0.000	Merged-chr10-62508148-1
NR2624--MA0501.1.MAF::NFE2	chr11	90586478	90586492	-	0.000	0.000	Merged-chr11-90586478-10
NR12481--MA0501.1.MAF::NFE2	chr6	144909752	144909766	-	0.000	0.000	Merged-chr6-144909826-5
NR5553--MA0501.1.MAF::NFE2	chr16	22602608	22602622	+	0.000	0.000	Merged-chr16-22602605-18
NR15036--MA0089.1.MAFG::NFE2L1	chrX	142737404	142737409	-	0.000	0.000	Merged-chrX-142737448-59
NR3932--MA0117.2.Mafb	chr13	75053978	75053989	+	0.000	0.000	Merged-chr13-75053881-13
NR218--MA0501.1.MAF::NFE2	chr1	54279702	54279716	-	0.000	0.000	Merged-chr1-54279813-25
NR1429--MA0501.1.MAF::NFE2	chr10	26564622	26564636	+	0.000	0.000	Merged-chr10-26564649-11
NR10554--MA0089.1.MAFG::NFE2L1	chr4	149854401	149854406	+	0.000	0.000	Merged-chr4-149854542-67
NR1073--MA0591.1.Bach1::Mafk	chr1	180313064	180313078	-	0.000	0.000	Merged-chr1-180313022-2
NR5720--MA0089.1.MAFG::NFE2L1	chr16	43624986	43624991	+	0.000	0.000	Merged-chr16-43625129-31
NR4234--MA0117.2.Mafb	chr13	113322300	113322311	+	0.000	0.000	Merged-chr13-113322180-25
NR2258--MA0496.2.MAFK	chr11	23570307	23570325	+	0.000	0.000	Merged-chr11-23570355-13
NR14111--MA0591.1.Bach1::Mafk	chr9	14171981	14171995	+	0.000	0.000	Merged-chr9-14171965-37
NR7329--MA0089.1.MAFG::NFE2L1	chr19	40762495	40762500	+	0.000	0.000	Merged-chr19-40762334-20
NR12539--MA0089.1.MAFG::NFE2L1	chr7	3693596	3693601	+	0.000	0.000	Merged-chr7-3693587-203
NR5776--MA0117.2.Mafb	chr16	51691084	51691095	+	0.000	0.000	Merged-chr16-51690993-50
NR5618--MA0501.1.MAF::NFE2	chr16	30676264	30676278	-	0.000	0.000	Merged-chr16-30676152-12
NR11004--MA0089.1.MAFG::NFE2L1	chr5	86673053	86673058	+	0.000	0.000	Merged-chr5-86673072-6
NR3516--MA0501.1.MAF::NFE2	chr12	119388108	119388122	+	0.000	0.000	Merged-chr12-119388101-32
NR10968--MA0496.2.MAFK	chr5	68033469	68033487	-	0.000	0.000	Merged-chr5-68033501-23
NR3285--MA0089.1.MAFG::NFE2L1	chr12	100871925	100871930	+	0.000	0.000	Merged-chr12-100871796-44
NR6360--MA0089.1.MAFG::NFE2L1	chr17	44718212	44718217	-	0.000	0.000	Merged-chr17-44718379-50
NR7605--MA0495.2.MAFF	chr2	32181554	32181574	-	0.000	0.000	Merged-chr2-32181600-13
NR1414--MA0501.1.MAF::NFE2	chr10	25457256	25457270	-	0.000	0.000	Merged-chr10-25457296-47
NR11055--MA0496.2.MAFK	chr5	92348939	92348957	-	0.000	0.000	Merged-chr5-92348973-52
NR9765--MA0089.1.MAFG::NFE2L1	chr4	9771223	9771228	-	0.000	0.000	Merged-chr4-9771034-56
NR2930--MA0591.1.Bach1::Mafk	chr12	31950445	31950459	-	0.000	0.000	Merged-chr12-31950155-135
NR715--MA0496.2.MAFK	chr1	132264731	132264749	+	0.000	0.000	Merged-chr1-132264829-22
NR8721--MA0089.1.MAFG::NFE2L1	chr2	177398275	177398280	-	0.000	0.000	Merged-chr2-177398378-54
NR6199--MA0117.2.Mafb	chr17	21475056	21475067	+	0.000	0.000	Merged-chr17-21475108-14
NR7301--MA0089.1.MAFG::NFE2L1	chr19	32496638	32496643	+	0.000	0.000	Merged-chr19-32496642-11
NR500--MA0496.2.MAFK	chr1	92119342	92119360	-	0.000	0.000	Merged-chr1-92119439-48
NR13931--MA0089.1.MAFG::NFE2L1	chr8	115531562	115531567	-	0.000	0.000	Merged-chr8-115531430-21
NR9274--MA0089.1.MAFG::NFE2L1	chr3	103907901	103907906	+	0.000	0.000	Merged-chr3-103907790-52
NR12435--MA0501.1.MAF::NFE2	chr6	142867551	142867565	+	0.000	0.000	Merged-chr6-142867733-58
NR10076--MA0501.1.MAF::NFE2	chr4	88110184	88110198	+	0.000	0.000	Merged-chr4-88110065-14
NR13907--MA0495.2.MAFF	chr8	111624157	111624177	+	0.000	0.000	Merged-chr8-111624206-14
NR5794--MA0117.2.Mafb	chr16	52292840	52292851	-	0.000	0.000	Merged-chr16-52292729-42
NR7539--MA0591.1.Bach1::Mafk	chr2	18519345	18519359	+	0.000	0.000	Merged-chr2-18519177-24
NR1614--MA0089.1.MAFG::NFE2L1	chr10	62186845	62186850	-	0.000	0.000	Merged-chr10-62187045-24
NR14265--MA0501.1.MAF::NFE2	chr9	44999344	44999358	+	0.000	0.000	Merged-chr9-44999415-9
NR786--MA0501.1.MAF::NFE2	chr1	143192270	143192284	-	0.000	0.000	Merged-chr1-143192394-27
NR13151--MA0089.1.MAFG::NFE2L1	chr7	120754786	120754791	+	0.000	0.000	Merged-chr7-120754842-25
NR2629--MA0591.1.Bach1::Mafk	chr11	94253172	94253186	+	0.000	0.000	Merged-chr11-94253305-42
NR11096--MA0495.2.MAFF	chr5	98016905	98016925	-	0.000	0.000	Merged-chr5-98016849-63
NR1728--MA0496.2.MAFK	chr10	79937281	79937299	-	0.000	0.000	Merged-chr10-79937148-47
NR14169--MA0501.1.MAF::NFE2	chr9	25229912	25229926	+	0.000	0.000	Merged-chr9-25229889-3
NR12812--MA0496.2.MAFK	chr7	73517588	73517606	+	0.000	0.000	Merged-chr7-73517689-25
NR179--MA0089.1.MAFG::NFE2L1	chr1	43403597	43403602	+	0.000	0.000	Merged-chr1-43403565-20
NR555--MA0089.1.MAFG::NFE2L1	chr1	104215342	104215347	-	0.000	0.000	Merged-chr1-104215254-1
NR7600--MA0496.2.MAFK	chr2	31172200	31172218	-	0.000	0.000	Merged-chr2-31172206-22
NR931--MA0089.1.MAFG::NFE2L1	chr1	161734765	161734770	+	0.000	0.000	Merged-chr1-161734917-117
NR440--MA0089.1.MAFG::NFE2L1	chr1	87098822	87098827	+	0.000	0.000	Merged-chr1-87098850-16
NR12947--MA0495.2.MAFF	chr7	97041452	97041472	+	0.000	0.000	Merged-chr7-97041400-3
NR7068--MA0495.2.MAFF	chr18	80671894	80671914	+	0.000	0.000	Merged-chr18-80671844-8
NR9109--MA0495.2.MAFF	chr3	84732098	84732118	-	0.000	0.000	Merged-chr3-84732134-27
NR5327--MA0591.1.Bach1::Mafk	chr15	78607720	78607734	-	0.000	0.000	Merged-chr15-78607691-21
NR14154--MA0501.1.MAF::NFE2	chr9	22117291	22117305	-	0.000	0.000	Merged-chr9-22117236-62
NR151--MA0089.1.MAFG::NFE2L1	chr1	39559237	39559242	+	0.000	0.000	Merged-chr1-39559167-24
NR13586--MA0591.1.Bach1::Mafk	chr8	69329095	69329109	+	0.000	0.000	Merged-chr8-69328899-30
NR7070--MA0591.1.Bach1::Mafk	chr18	80671897	80671911	+	0.000	0.000	Merged-chr18-80671844-8
NR4414--MA0591.1.Bach1::Mafk	chr14	25033085	25033099	-	0.000	0.000	Merged-chr14-25033079-23
NR1554--MA0495.2.MAFF	chr10	53346649	53346669	-	0.000	0.000	Merged-chr10-53346835-25
NR11098--MA0659.1.MAFG	chr5	98016905	98016925	-	0.000	0.000	Merged-chr5-98016849-63
NR6790--MA0117.2.Mafb	chr18	39878031	39878042	-	0.000	0.000	Merged-chr18-39877975-43
NR4736--MA0591.1.Bach1::Mafk	chr14	73253976	73253990	+	0.000	0.000	Merged-chr14-73253840-37
NR13668--MA0089.1.MAFG::NFE2L1	chr8	77436394	77436399	+	0.000	0.000	Merged-chr8-77436264-47
NR14117--MA0659.1.MAFG	chr9	14248437	14248457	+	0.000	0.000	Merged-chr9-14248366-20
NR5631--MA0089.1.MAFG::NFE2L1	chr16	32868021	32868026	-	0.000	0.000	Merged-chr16-32868243-54
NR10841--MA0089.1.MAFG::NFE2L1	chr5	45676811	45676816	-	0.000	0.000	Merged-chr5-45676772-9
NR14264--MA0591.1.Bach1::Mafk	chr9	44999341	44999355	-	0.000	0.000	Merged-chr9-44999415-9
NR407--MA0495.2.MAFF	chr1	84881696	84881716	-	0.000	0.000	Merged-chr1-84881698-12
NR11615--MA0496.2.MAFK	chr6	29735987	29736005	+	0.000	0.000	Merged-chr6-29735888-24
NR12117--MA0501.1.MAF::NFE2	chr6	114657110	114657124	-	0.000	0.000	Merged-chr6-114657175-55
NR14609--MA0089.1.MAFG::NFE2L1	chr9	103595398	103595403	-	0.000	0.000	Merged-chr9-103595480-3
NR11541--MA0117.2.Mafb	chr6	15163987	15163998	-	0.000	0.000	Merged-chr6-15163954-12
NR8053--MA0501.1.MAF::NFE2	chr2	103271650	103271664	+	0.000	0.000	Merged-chr2-103271548-6
NR7050--MA0501.1.MAF::NFE2	chr18	79589343	79589357	+	0.000	0.000	Merged-chr18-79589307-27
NR12287--MA0591.1.Bach1::Mafk	chr6	128902120	128902134	-	0.000	0.000	Merged-chr6-128902189-21
NR4930--MA0591.1.Bach1::Mafk	chr14	115015514	115015528	+	0.000	0.000	Merged-chr14-115015527-11
NR14898--MA0501.1.MAF::NFE2	chrX	71622524	71622538	+	0.000	0.000	Merged-chrX-71622436-27
NR1775--MA0501.1.MAF::NFE2	chr10	85050873	85050887	+	0.000	0.000	Merged-chr10-85050856-11
NR8430--MA0089.1.MAFG::NFE2L1	chr2	146517123	146517128	+	0.000	0.000	Merged-chr2-146517219-24
NR8118--MA0501.1.MAF::NFE2	chr2	114059834	114059848	+	0.000	0.000	Merged-chr2-114059851-34
NR13909--MA0117.2.Mafb	chr8	111624157	111624168	+	0.000	0.000	Merged-chr8-111624206-14
NR13842--MA0089.1.MAFG::NFE2L1	chr8	103979271	103979276	-	0.000	0.000	Merged-chr8-103979175-27
NR6486--MA0089.1.MAFG::NFE2L1	chr17	70746941	70746946	+	0.000	0.000	Merged-chr17-70746811-20
NR605--MA0591.1.Bach1::Mafk	chr1	107590015	107590029	-	0.000	0.000	Merged-chr1-107590197-16
NR1814--MA0089.1.MAFG::NFE2L1	chr10	88392149	88392154	-	0.000	0.000	Merged-chr10-88392245-2
NR8141--MA0089.1.MAFG::NFE2L1	chr2	117352953	117352958	-	0.000	0.000	Merged-chr2-117352784-31
NR6862--MA0089.1.MAFG::NFE2L1	chr18	56718251	56718256	-	0.000	0.000	Merged-chr18-56718184-1
NR10438--MA0117.2.Mafb	chr4	138247431	138247442	+	0.000	0.000	Merged-chr4-138247417-10
NR425--MA0495.2.MAFF	chr1	85250857	85250877	-	0.000	0.000	Merged-chr1-85250842-29
NR8948--MA0591.1.Bach1::Mafk	chr3	54592455	54592469	-	0.000	0.000	Merged-chr3-54592638-50
NR7081--MA0496.2.MAFK	chr18	81572106	81572124	-	0.000	0.000	Merged-chr18-81572136-24
NR5692--MA0501.1.MAF::NFE2	chr16	38396290	38396304	+	0.000	0.000	Merged-chr16-38396327-34
NR14720--MA0501.1.MAF::NFE2	chr9	116319690	116319704	+	0.000	0.000	Merged-chr9-116319642-35
NR14822--MA0591.1.Bach1::Mafk	chrX	11691272	11691286	-	0.000	0.000	Merged-chrX-11691222-6
NR1825--MA0501.1.MAF::NFE2	chr10	89487169	89487183	+	0.000	0.000	Merged-chr10-89487316-19
NR4808--MA0659.1.MAFG	chr14	86239027	86239047	-	0.000	0.000	Merged-chr14-86238911-3
NR14697--MA0089.1.MAFG::NFE2L1	chr9	115134830	115134835	+	0.000	0.000	Merged-chr9-115134877-14
NR6788--MA0089.1.MAFG::NFE2L1	chr18	39319449	39319454	+	0.000	0.000	Merged-chr18-39319462-8
NR13191--MA0495.2.MAFF	chr7	126725378	126725398	-	0.000	0.000	Merged-chr7-126725257-13
NR4148--MA0495.2.MAFF	chr13	108498728	108498748	-	0.000	0.000	Merged-chr13-108498755-24
NR2891--MA0591.1.Bach1::Mafk	chr12	17373770	17373784	+	0.000	0.000	Merged-chr12-17373480-96
NR13598--MA0496.2.MAFK	chr8	70700049	70700067	-	0.000	0.000	Merged-chr8-70699898-12
NR10354--MA0591.1.Bach1::Mafk	chr4	126181269	126181283	+	0.000	0.000	Merged-chr4-126181413-29
NR14351--MA0591.1.Bach1::Mafk	chr9	62425370	62425384	-	0.000	0.000	Merged-chr9-62425384-15
NR4890--MA0089.1.MAFG::NFE2L1	chr14	103630852	103630857	+	0.000	0.000	Merged-chr14-103630729-17
NR1741--MA0591.1.Bach1::Mafk	chr10	80917804	80917818	+	0.000	0.000	Merged-chr10-80917926-53
NR7643--MA0117.2.Mafb	chr2	38510262	38510273	+	0.000	0.000	Merged-chr2-38510276-11
NR635--MA0496.2.MAFK	chr1	119469664	119469682	+	0.000	0.000	Merged-chr1-119469584-5
NR14103--MA0089.1.MAFG::NFE2L1	chr9	11329085	11329090	+	0.000	0.000	Merged-chr9-11329095-28
NR13673--MA0501.1.MAF::NFE2	chr8	77550137	77550151	-	0.000	0.000	Merged-chr8-77550010-38
NR6841--MA0501.1.MAF::NFE2	chr18	54822970	54822984	-	0.000	0.000	Merged-chr18-54822886-30
NR1462--MA0117.2.Mafb	chr10	38884900	38884911	+	0.000	0.000	Merged-chr10-38884993-65
NR6488--MA0501.1.MAF::NFE2	chr17	70746963	70746977	+	0.000	0.000	Merged-chr17-70746811-20
NR10311--MA0591.1.Bach1::Mafk	chr4	120062492	120062506	+	0.000	0.000	Merged-chr4-120062623-32
NR5905--MA0495.2.MAFF	chr16	75903184	75903204	-	0.000	0.000	Merged-chr16-75903251-33
NR14473--MA0496.2.MAFK	chr9	83564271	83564289	-	0.000	0.000	Merged-chr9-83564254-44
NR5996--MA0591.1.Bach1::Mafk	chr16	89974508	89974522	+	0.000	0.000	Merged-chr16-89974505-28
NR11537--MA0117.2.Mafb	chr6	13838606	13838617	+	0.000	0.000	Merged-chr6-13838758-42
NR9035--MA0117.2.Mafb	chr3	69274873	69274884	+	0.000	0.000	Merged-chr3-69274909-13
NR2784--MA0591.1.Bach1::Mafk	chr11	113684019	113684033	-	0.000	0.000	Merged-chr11-113684068-98
NR14971--MA0089.1.MAFG::NFE2L1	chrX	104760581	104760586	+	0.000	0.000	Merged-chrX-104760741-26
NR7664--MA0495.2.MAFF	chr2	44953119	44953139	+	0.000	0.000	Merged-chr2-44953031-31
NR8800--MA0591.1.Bach1::Mafk	chr3	15228897	15228911	+	0.000	0.000	Merged-chr3-15228808-12
NR5353--MA0089.1.MAFG::NFE2L1	chr15	82112073	82112078	+	0.000	0.000	Merged-chr15-82112003-17
NR9467--MA0501.1.MAF::NFE2	chr3	129602462	129602476	-	0.000	0.000	Merged-chr3-129602465-51
NR5245--MA0591.1.Bach1::Mafk	chr15	62726726	62726740	-	0.000	0.000	Merged-chr15-62726785-12
NR10365--MA0495.2.MAFF	chr4	128713568	128713588	+	0.000	0.000	Merged-chr4-128713412-15
NR287--MA0591.1.Bach1::Mafk	chr1	69291466	69291480	-	0.000	0.000	Merged-chr1-69291557-40
NR6558--MA0117.2.Mafb	chr17	80392000	80392011	+	0.000	0.000	Merged-chr17-80391888-51
NR6362--MA0501.1.MAF::NFE2	chr17	44718202	44718216	-	0.000	0.000	Merged-chr17-44718379-50
NR3104--MA0089.1.MAFG::NFE2L1	chr12	72748497	72748502	-	0.000	0.000	Merged-chr12-72748579-13
NR4009--MA0496.2.MAFK	chr13	90101752	90101770	+	0.000	0.000	Merged-chr13-90101603-11
NR8863--MA0117.2.Mafb	chr3	31109332	31109343	+	0.000	0.000	Merged-chr3-31109260-17
NR5279--MA0089.1.MAFG::NFE2L1	chr15	72742468	72742473	+	0.000	0.000	Merged-chr15-72742645-6
NR4235--MA0089.1.MAFG::NFE2L1	chr13	113378996	113379001	-	0.000	0.000	Merged-chr13-113378821-1
NR10865--MA0089.1.MAFG::NFE2L1	chr5	52669686	52669691	+	0.000	0.000	Merged-chr5-52669668-56
NR2956--MA0089.1.MAFG::NFE2L1	chr12	36241354	36241359	+	0.000	0.000	Merged-chr12-36241330-19
NR2897--MA0117.2.Mafb	chr12	21467973	21467984	-	0.000	0.000	Merged-chr12-21468092-6
NR233--MA0495.2.MAFF	chr1	55630405	55630425	+	0.000	0.000	Merged-chr1-55630357-14
NR9521--MA0591.1.Bach1::Mafk	chr3	135604828	135604842	-	0.000	0.000	Merged-chr3-135604723-37
NR5540--MA0089.1.MAFG::NFE2L1	chr16	18733476	18733481	-	0.000	0.000	Merged-chr16-18733506-32
NR8265--MA0591.1.Bach1::Mafk	chr2	125791846	125791860	+	0.000	0.000	Merged-chr2-125791694-59
NR968--MA0089.1.MAFG::NFE2L1	chr1	165132474	165132479	-	0.000	0.000	Merged-chr1-165132661-25
NR7350--MA0501.1.MAF::NFE2	chr19	46198993	46199007	-	0.000	0.000	Merged-chr19-46199074-12
NR210--MA0496.2.MAFK	chr1	52012516	52012534	-	0.000	0.000	Merged-chr1-52012625-13
NR12359--MA0089.1.MAFG::NFE2L1	chr6	134217897	134217902	-	0.000	0.000	Merged-chr6-134217908-11
NR5025--MA0117.2.Mafb	chr15	5580415	5580426	+	0.000	0.000	Merged-chr15-5580453-13
NR9498--MA0089.1.MAFG::NFE2L1	chr3	133160001	133160006	-	0.000	0.000	Merged-chr3-133159832-24
NR8756--MA0659.1.MAFG	chr2	180227843	180227863	+	0.000	0.000	Merged-chr2-180227803-24
NR9145--MA0496.2.MAFK	chr3	89727208	89727226	+	0.000	0.000	Merged-chr3-89727230-25
NR853--MA0089.1.MAFG::NFE2L1	chr1	153700901	153700906	+	0.000	0.000	Merged-chr1-153700855-14
NR12080--MA0501.1.MAF::NFE2	chr6	108895322	108895336	+	0.000	0.000	Merged-chr6-108895381-27
NR6295--MA0089.1.MAFG::NFE2L1	chr17	33851549	33851554	-	0.000	0.000	Merged-chr17-33851490-17
NR7771--MA0496.2.MAFK	chr2	59338606	59338624	-	0.000	0.000	Merged-chr2-59338660-28
NR10461--MA0089.1.MAFG::NFE2L1	chr4	142015107	142015112	+	0.000	0.000	Merged-chr4-142015063-42
NR7413--MA0496.2.MAFK	chr19	56822158	56822176	-	0.000	0.000	Merged-chr19-56822073-89
NR9135--MA0591.1.Bach1::Mafk	chr3	88337492	88337506	-	0.000	0.000	Merged-chr3-88337526-21
NR11553--MA0496.2.MAFK	chr6	15726620	15726638	-	0.000	0.000	Merged-chr6-15726718-35
NR2915--MA0501.1.MAF::NFE2	chr12	26315180	26315194	-	0.000	0.000	Merged-chr12-26315128-15
NR2436--MA0117.2.Mafb	chr11	58830091	58830102	+	0.000	0.000	Merged-chr11-58829916-12
NR13870--MA0591.1.Bach1::Mafk	chr8	107324383	107324397	+	0.000	0.000	Merged-chr8-107324257-32
NR13936--MA0501.1.MAF::NFE2	chr8	115771214	115771228	-	0.000	0.000	Merged-chr8-115771261-45
NR1913--MA0495.2.MAFF	chr10	99459977	99459997	+	0.000	0.000	Merged-chr10-99459996-60
NR11012--MA0591.1.Bach1::Mafk	chr5	86783382	86783396	-	0.000	0.000	Merged-chr5-86783243-43
NR14850--MA0495.2.MAFF	chrX	42336960	42336980	+	0.000	0.000	Merged-chrX-42336875-23
NR7336--MA0089.1.MAFG::NFE2L1	chr19	41483223	41483228	-	0.000	0.000	Merged-chr19-41483233-3
NR5417--MA0591.1.Bach1::Mafk	chr15	95276772	95276786	+	0.000	0.000	Merged-chr15-95276729-22
NR3743--MA0496.2.MAFK	chr13	44420070	44420088	-	0.000	0.000	Merged-chr13-44420007-1
NR7931--MA0501.1.MAF::NFE2	chr2	83700882	83700896	+	0.000	0.000	Merged-chr2-83700891-43
NR13420--MA0495.2.MAFF	chr8	15043068	15043088	-	0.000	0.000	Merged-chr8-15042967-24
NR2528--MA0496.2.MAFK	chr11	74848001	74848019	-	0.000	0.000	Merged-chr11-74848149-19
NR7567--MA0591.1.Bach1::Mafk	chr2	26753715	26753729	-	0.000	0.000	Merged-chr2-26753671-30
NR7423--MA0089.1.MAFG::NFE2L1	chr19	57150498	57150503	-	0.000	0.000	Merged-chr19-57150448-16
NR12633--MA0089.1.MAFG::NFE2L1	chr7	28677041	28677046	+	0.000	0.000	Merged-chr7-28677170-43
NR11213--MA0089.1.MAFG::NFE2L1	chr5	108629071	108629076	+	0.000	0.000	Merged-chr5-108629024-3
NR13186--MA0089.1.MAFG::NFE2L1	chr7	125621881	125621886	-	0.000	0.000	Merged-chr7-125621906-18
NR9989--MA0501.1.MAF::NFE2	chr4	62679271	62679285	-	0.000	0.000	Merged-chr4-62679364-27
NR6980--MA0501.1.MAF::NFE2	chr18	70520979	70520993	-	0.000	0.000	Merged-chr18-70520943-32
NR7684--MA0117.2.Mafb	chr2	46147006	46147017	+	0.000	0.000	Merged-chr2-46146804-8
NR117--MA0495.2.MAFF	chr1	33757036	33757056	+	0.000	0.000	Merged-chr1-33757115-3
NR4811--MA0089.1.MAFG::NFE2L1	chr14	86239086	86239091	-	0.000	0.000	Merged-chr14-86238911-3
NR11464--MA0591.1.Bach1::Mafk	chr5	149160702	149160716	-	0.000	0.000	Merged-chr5-149160687-30
NR14167--MA0117.2.Mafb	chr9	25229915	25229926	-	0.000	0.000	Merged-chr9-25229889-3
NR11549--MA0591.1.Bach1::Mafk	chr6	15726622	15726636	-	0.000	0.000	Merged-chr6-15726718-35
NR10267--MA0495.2.MAFF	chr4	114173169	114173189	-	0.000	0.000	Merged-chr4-114173056-28
NR6921--MA0117.2.Mafb	chr18	65062041	65062052	-	0.000	0.000	Merged-chr18-65062031-13
NR13169--MA0496.2.MAFK	chr7	123327113	123327131	-	0.000	0.000	Merged-chr7-123327122-14
NR11451--MA0501.1.MAF::NFE2	chr5	147063447	147063461	-	0.000	0.000	Merged-chr5-147063758-85
NR5041--MA0496.2.MAFK	chr15	8625547	8625565	-	0.000	0.000	Merged-chr15-8625615-29
NR2678--MA0117.2.Mafb	chr11	100692560	100692571	-	0.000	0.000	Merged-chr11-100692444-17
NR9570--MA0089.1.MAFG::NFE2L1	chr3	141862847	141862852	-	0.000	0.000	Merged-chr3-141862875-43
NR2143--MA0591.1.Bach1::Mafk	chr11	3161119	3161133	-	0.000	0.000	Merged-chr11-3161151-10
NR12214--MA0495.2.MAFF	chr6	122291984	122292004	-	0.000	0.000	Merged-chr6-122292043-61
NR2465--MA0591.1.Bach1::Mafk	chr11	62280806	62280820	+	0.000	0.000	Merged-chr11-62280813-1
NR13009--MA0089.1.MAFG::NFE2L1	chr7	105752211	105752216	-	0.000	0.000	Merged-chr7-105752191-52
NR4737--MA0089.1.MAFG::NFE2L1	chr14	73335627	73335632	+	0.000	0.000	Merged-chr14-73335535-15
NR3317--MA0089.1.MAFG::NFE2L1	chr12	103544537	103544542	-	0.000	0.000	Merged-chr12-103544377-28
NR11602--MA0089.1.MAFG::NFE2L1	chr6	29024227	29024232	+	0.000	0.000	Merged-chr6-29024202-52
NR6773--MA0501.1.MAF::NFE2	chr18	36700477	36700491	+	0.000	0.000	Merged-chr18-36700596-10
NR12531--MA0089.1.MAFG::NFE2L1	chr6	148769437	148769442	+	0.000	0.000	Merged-chr6-148769548-3
NR3883--MA0089.1.MAFG::NFE2L1	chr13	63566390	63566395	+	0.000	0.000	Merged-chr13-63566288-41
NR14569--MA0591.1.Bach1::Mafk	chr9	99469963	99469977	-	0.000	0.000	Merged-chr9-99469936-29
NR4671--MA0501.1.MAF::NFE2	chr14	65106715	65106729	-	0.000	0.000	Merged-chr14-65106693-26
NR12120--MA0495.2.MAFF	chr6	114905019	114905039	+	0.000	0.000	Merged-chr6-114905018-60
NR979--MA0089.1.MAFG::NFE2L1	chr1	167212535	167212540	-	0.000	0.000	Merged-chr1-167212500-30
NR6607--MA0089.1.MAFG::NFE2L1	chr17	88480633	88480638	-	0.000	0.000	Merged-chr17-88480530-23
NR14606--MA0501.1.MAF::NFE2	chr9	102866894	102866908	-	0.000	0.000	Merged-chr9-102867048-29
NR9994--MA0659.1.MAFG	chr4	62739893	62739913	-	0.000	0.000	Merged-chr4-62739923-10
NR4605--MA0496.2.MAFK	chr14	54222619	54222637	+	0.000	0.000	Merged-chr14-54222562-63
NR591--MA0496.2.MAFK	chr1	106187696	106187714	-	0.000	0.000	Merged-chr1-106187715-26
NR1634--MA0089.1.MAFG::NFE2L1	chr10	67493720	67493725	-	0.000	0.000	Merged-chr10-67493801-11
NR3556--MA0495.2.MAFF	chr13	8995333	8995353	-	0.000	0.000	Merged-chr13-8995380-1
NR3674--MA0117.2.Mafb	chr13	33003865	33003876	-	0.000	0.000	Merged-chr13-33003757-27
NR5913--MA0591.1.Bach1::Mafk	chr16	76341851	76341865	-	0.000	0.000	Merged-chr16-76341927-28
NR13494--MA0501.1.MAF::NFE2	chr8	36194268	36194282	+	0.000	0.000	Merged-chr8-36194183-57
NR4193--MA0496.2.MAFK	chr13	111265852	111265870	-	0.000	0.000	Merged-chr13-111265821-37
NR10402--MA0501.1.MAF::NFE2	chr4	133185414	133185428	-	0.000	0.000	Merged-chr4-133185402-47
NR4548--MA0089.1.MAFG::NFE2L1	chr14	45041195	45041200	-	0.000	0.000	Merged-chr14-45041159-62
NR14112--MA0089.1.MAFG::NFE2L1	chr9	14174326	14174331	-	0.000	0.000	Merged-chr9-14174390-13
NR11309--MA0501.1.MAF::NFE2	chr5	124637466	124637480	-	0.000	0.000	Merged-chr5-124637524-49
NR2538--MA0501.1.MAF::NFE2	chr11	75530549	75530563	-	0.000	0.000	Merged-chr11-75530665-33
NR7569--MA0501.1.MAF::NFE2	chr2	27028044	27028058	+	0.000	0.000	Merged-chr2-27028033-48
NR13331--MA0501.1.MAF::NFE2	chr7	141167988	141168002	-	0.000	0.000	Merged-chr7-141167957-1
NR6677--MA0591.1.Bach1::Mafk	chr18	13013827	13013841	-	0.000	0.000	Merged-chr18-13013955-24
NR3706--MA0089.1.MAFG::NFE2L1	chr13	38038026	38038031	-	0.000	0.000	Merged-chr13-38038059-24
NR14327--MA0089.1.MAFG::NFE2L1	chr9	57955161	57955166	-	0.000	0.000	Merged-chr9-57955089-22
NR1721--MA0495.2.MAFF	chr10	79937280	79937300	-	0.000	0.000	Merged-chr10-79937148-47
NR14703--MA0089.1.MAFG::NFE2L1	chr9	115527237	115527242	-	0.000	0.000	Merged-chr9-115527363-1
NR9202--MA0591.1.Bach1::Mafk	chr3	94482979	94482993	-	0.000	0.000	Merged-chr3-94482974-4
NR5527--MA0591.1.Bach1::Mafk	chr16	14350969	14350983	-	0.000	0.000	Merged-chr16-14350919-24
NR13473--MA0089.1.MAFG::NFE2L1	chr8	27137160	27137165	-	0.000	0.000	Merged-chr8-27137178-38
NR5564--MA0089.1.MAFG::NFE2L1	chr16	23240455	23240460	+	0.000	0.000	Merged-chr16-23240557-21
NR3365--MA0501.1.MAF::NFE2	chr12	107362245	107362259	-	0.000	0.000	Merged-chr12-107362270-34
NR6390--MA0501.1.MAF::NFE2	chr17	50132919	50132933	-	0.000	0.000	Merged-chr17-50132792-1
