#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR1625--MA0463.1.Bcl6	chr7	130673942	130673955	-	0.000	0.000	Merged-chr7-130673894-22
NR1737--MA0463.1.Bcl6	chr9	35117633	35117646	+	0.000	0.000	Merged-chr9-35117725-13
NR1383--MA0731.1.BCL6B	chr5	130036548	130036564	+	0.000	0.000	Merged-chr5-130036542-21
NR1661--MA0463.1.Bcl6	chr8	46747876	46747889	-	0.000	0.000	Merged-chr8-46747933-31
NR1415--MA0463.1.Bcl6	chr6	8642680	8642693	-	0.000	0.000	Merged-chr6-8642591-4
NR1200--MA0463.1.Bcl6	chr4	9066621	9066634	+	0.000	0.000	Merged-chr4-9066622-31
NR738--MA0463.1.Bcl6	chr16	97948931	97948944	+	0.000	0.000	Merged-chr16-97949035-17
NR1742--MA0731.1.BCL6B	chr9	46273043	46273059	+	0.000	0.000	Merged-chr9-46273034-67
NR389--MA0731.1.BCL6B	chr12	33434055	33434071	+	0.000	0.000	Merged-chr12-33434060-41
NR756--MA0463.1.Bcl6	chr17	27839966	27839979	+	0.000	0.000	Merged-chr17-27840014-50
NR1646--MA0731.1.BCL6B	chr8	13686698	13686714	+	0.000	0.000	Merged-chr8-13686705-81
NR304--MA0463.1.Bcl6	chr11	58928186	58928199	-	0.000	0.000	Merged-chr11-58928260-70
NR1205--MA0463.1.Bcl6	chr4	21752100	21752113	+	0.000	0.000	Merged-chr4-21752041-18
NR201--MA0463.1.Bcl6	chr10	67623465	67623478	-	0.000	0.000	Merged-chr10-67623487-11
NR680--MA0463.1.Bcl6	chr16	23988588	23988601	+	0.000	0.000	Merged-chr16-23988801-56
NR1429--MA0463.1.Bcl6	chr6	34862874	34862887	+	0.000	0.000	Merged-chr6-34862986-94
NR1830--MA0731.1.BCL6B	chrX	59590677	59590693	+	0.000	0.000	Merged-chrX-59590755-8
NR206--MA0463.1.Bcl6	chr10	70120775	70120788	+	0.000	0.000	Merged-chr10-70120635-31
NR1107--MA0463.1.Bcl6	chr3	86248060	86248073	+	0.000	0.000	Merged-chr3-86247740-69
NR95--MA0463.1.Bcl6	chr1	157410986	157410999	+	0.000	0.000	Merged-chr1-157411088-8
NR1219--MA0463.1.Bcl6	chr4	56932113	56932126	-	0.000	0.000	Merged-chr4-56932254-7
NR1004--MA0463.1.Bcl6	chr2	128366044	128366057	+	0.000	0.000	Merged-chr2-128365920-27
NR448--MA0463.1.Bcl6	chr12	118411158	118411171	+	0.000	0.000	Merged-chr12-118411153-21
NR108--MA0463.1.Bcl6	chr1	165320833	165320846	+	0.000	0.000	Merged-chr1-165320663-24
NR1479--MA0463.1.Bcl6	chr6	113442464	113442477	-	0.000	0.000	Merged-chr6-113442615-46
NR699--MA0463.1.Bcl6	chr16	50364128	50364141	-	0.000	0.000	Merged-chr16-50364238-69
NR126--MA0463.1.Bcl6	chr1	176827398	176827411	+	0.000	0.000	Merged-chr1-176827492-35
NR1385--MA0463.1.Bcl6	chr5	134295811	134295824	-	0.000	0.000	Merged-chr5-134295794-17
NR1421--MA0731.1.BCL6B	chr6	22340070	22340086	+	0.000	0.000	Merged-chr6-22340067-27
NR144--MA0463.1.Bcl6	chr1	184908721	184908734	-	0.000	0.000	Merged-chr1-184908710-36
NR911--MA0731.1.BCL6B	chr2	11617084	11617100	+	0.000	0.000	Merged-chr2-11617013-39
NR1054--MA0731.1.BCL6B	chr2	160755731	160755747	+	0.000	0.000	Merged-chr2-160755675-4
NR1824--MA0463.1.Bcl6	chrX	47993037	47993050	-	0.000	0.000	Merged-chrX-47992906-34
NR1705--MA0731.1.BCL6B	chr8	115496170	115496186	+	0.000	0.000	Merged-chr8-115496222-29
NR816--MA0463.1.Bcl6	chr18	24670866	24670879	-	0.000	0.000	Merged-chr18-24671113-54
NR1399--MA0463.1.Bcl6	chr5	144040910	144040923	-	0.000	0.000	Merged-chr5-144040932-23
NR1502--MA0463.1.Bcl6	chr6	125222270	125222283	+	0.000	0.000	Merged-chr6-125222318-50
NR1699--MA0731.1.BCL6B	chr8	107503458	107503474	-	0.000	0.000	Merged-chr8-107503641-5
NR1059--MA0463.1.Bcl6	chr2	166100927	166100940	+	0.000	0.000	Merged-chr2-166100976-17
NR1394--MA0731.1.BCL6B	chr5	140980910	140980926	-	0.000	0.000	Merged-chr5-140980971-7
NR843--MA0463.1.Bcl6	chr18	73548730	73548743	+	0.000	0.000	Merged-chr18-73548790-35
NR1744--MA0463.1.Bcl6	chr9	53341278	53341291	+	0.000	0.000	Merged-chr9-53341165-33
NR288--MA0463.1.Bcl6	chr11	43727918	43727931	-	0.000	0.000	Merged-chr11-43727994-13
NR1360--MA0731.1.BCL6B	chr5	97009427	97009443	+	0.000	0.000	Merged-chr5-97009545-38
NR861--MA0463.1.Bcl6	chr19	5118003	5118016	+	0.000	0.000	Merged-chr19-5118074-68
NR916--MA0731.1.BCL6B	chr2	18046845	18046861	-	0.000	0.000	Merged-chr2-18046867-13
NR736--MA0463.1.Bcl6	chr16	95862885	95862898	+	0.000	0.000	Merged-chr16-95862748-19
NR754--MA0731.1.BCL6B	chr17	27057868	27057884	-	0.000	0.000	Merged-chr17-27057862-1
NR23--MA0731.1.BCL6B	chr1	59923361	59923377	-	0.000	0.000	Merged-chr1-59923331-34
NR1306--MA0463.1.Bcl6	chr4	150799032	150799045	-	0.000	0.000	Merged-chr4-150799073-80
NR1147--MA0731.1.BCL6B	chr3	121762278	121762294	+	0.000	0.000	Merged-chr3-121762341-16
NR1418--MA0463.1.Bcl6	chr6	13650990	13651003	-	0.000	0.000	Merged-chr6-13650892-33
NR423--MA0463.1.Bcl6	chr12	100639930	100639943	-	0.000	0.000	Merged-chr12-100639876-30
NR48--MA0463.1.Bcl6	chr1	87626517	87626530	+	0.000	0.000	Merged-chr1-87626553-50
NR1669--MA0463.1.Bcl6	chr8	72285484	72285497	+	0.000	0.000	Merged-chr8-72285397-19
NR1060--MA0731.1.BCL6B	chr2	166651851	166651867	+	0.000	0.000	Merged-chr2-166651674-28
NR571--MA0463.1.Bcl6	chr14	63193889	63193902	+	0.000	0.000	Merged-chr14-63193803-41
NR428--MA0463.1.Bcl6	chr12	104214422	104214435	+	0.000	0.000	Merged-chr12-104214522-40
NR964--MA0731.1.BCL6B	chr2	69862573	69862589	+	0.000	0.000	Merged-chr2-69862499-13
NR213--MA0463.1.Bcl6	chr10	80350581	80350594	-	0.000	0.000	Merged-chr10-80350407-33
NR1114--MA0463.1.Bcl6	chr3	95722519	95722532	-	0.000	0.000	Merged-chr3-95722546-39
NR325--MA0463.1.Bcl6	chr11	81996271	81996284	+	0.000	0.000	Merged-chr11-81996367-24
NR202--MA0731.1.BCL6B	chr10	67623465	67623481	+	0.000	0.000	Merged-chr10-67623487-11
NR868--MA0731.1.BCL6B	chr19	8984436	8984452	+	0.000	0.000	Merged-chr19-8984601-50
NR1338--MA0463.1.Bcl6	chr5	44181940	44181953	-	0.000	0.000	Merged-chr5-44181891-36
NR311--MA0731.1.BCL6B	chr11	68432706	68432722	+	0.000	0.000	Merged-chr11-68432875-7
NR1459--MA0463.1.Bcl6	chr6	88939542	88939555	+	0.000	0.000	Merged-chr6-88939617-36
NR1244--MA0463.1.Bcl6	chr4	114470083	114470096	+	0.000	0.000	Merged-chr4-114469960-1,Merged-chr4-114470197-1
NR28--MA0731.1.BCL6B	chr1	69498973	69498989	+	0.000	0.000	Merged-chr1-69499196-51
NR361--MA0463.1.Bcl6	chr11	109758841	109758854	+	0.000	0.000	Merged-chr11-109758787-36
NR672--MA0731.1.BCL6B	chr16	11475694	11475710	+	0.000	0.000	Merged-chr16-11475731-38
NR1477--MA0463.1.Bcl6	chr6	108875994	108876007	+	0.000	0.000	Merged-chr6-108876104-51
NR688--MA0463.1.Bcl6	chr16	32430855	32430868	-	0.000	0.000	Merged-chr16-32431022-65
NR1589--MA0463.1.Bcl6	chr7	98090357	98090370	-	0.000	0.000	Merged-chr7-98090470-13
NR781--MA0731.1.BCL6B	chr17	50291676	50291692	-	0.000	0.000	Merged-chr17-50291771-9
NR1495--MA0463.1.Bcl6	chr6	120454920	120454933	-	0.000	0.000	Merged-chr6-120454987-11
NR227--MA0463.1.Bcl6	chr10	88783179	88783192	-	0.000	0.000	Merged-chr10-88783253-12
NR1804--MA0463.1.Bcl6	chr9	117863533	117863546	+	0.000	0.000	Merged-chr9-117863484-2
NR760--MA0731.1.BCL6B	chr17	29973397	29973413	-	0.000	0.000	Merged-chr17-29973396-19
NR1831--MA0463.1.Bcl6	chrX	74429738	74429751	-	0.000	0.000	Merged-chrX-74429698-2
NR1276--MA0463.1.Bcl6	chr4	135963678	135963691	+	0.000	0.000	Merged-chr4-135963723-59
NR250--MA0731.1.BCL6B	chr10	111925666	111925682	+	0.000	0.000	Merged-chr10-111925713-30
NR316--MA0731.1.BCL6B	chr11	69995661	69995677	+	0.000	0.000	Merged-chr11-69995623-48
NR917--MA0463.1.Bcl6	chr2	18609092	18609105	+	0.000	0.000	Merged-chr2-18609153-119
NR1818--MA0463.1.Bcl6	chrX	8192845	8192858	-	0.000	0.000	Merged-chrX-8193012-57
NR89--MA0731.1.BCL6B	chr1	156464625	156464641	-	0.000	0.000	Merged-chr1-156464548-8
NR1084--MA0463.1.Bcl6	chr3	37753353	37753366	-	0.000	0.000	Merged-chr3-37753406-27
NR971--MA0463.1.Bcl6	chr2	75055298	75055311	+	0.000	0.000	Merged-chr2-75055098-51
NR799--MA0731.1.BCL6B	chr17	79347975	79347991	+	0.000	0.000	Merged-chr17-79348160-59
NR837--MA0463.1.Bcl6	chr18	64476933	64476946	+	0.000	0.000	Merged-chr18-64476957-10
NR761--MA0463.1.Bcl6	chr17	30335836	30335849	+	0.000	0.000	Merged-chr17-30335946-15
NR873--MA0463.1.Bcl6	chr19	16255519	16255532	+	0.000	0.000	Merged-chr19-16255427-25
NR1416--MA0463.1.Bcl6	chr6	8736127	8736140	+	0.000	0.000	Merged-chr6-8736179-83
NR648--MA0731.1.BCL6B	chr15	90214929	90214945	-	0.000	0.000	Merged-chr15-90215054-29
NR1546--MA0463.1.Bcl6	chr7	25780165	25780178	+	0.000	0.000	Merged-chr7-25780138-19
NR757--MA0463.1.Bcl6	chr17	27989978	27989991	+	0.000	0.000	Merged-chr17-27990020-10
NR878--MA0463.1.Bcl6	chr19	29064107	29064120	+	0.000	0.000	Merged-chr19-29064177-55
NR1564--MA0463.1.Bcl6	chr7	58569056	58569069	+	0.000	0.000	Merged-chr7-58568960-29
NR200--MA0731.1.BCL6B	chr10	66951614	66951630	+	0.000	0.000	Merged-chr10-66951483-7
NR775--MA0463.1.Bcl6	chr17	44121575	44121588	+	0.000	0.000	Merged-chr17-44121634-62
NR681--MA0463.1.Bcl6	chr16	24629348	24629361	+	0.000	0.000	Merged-chr16-24629525-45
NR887--MA0463.1.Bcl6	chr19	41597479	41597492	-	0.000	0.000	Merged-chr19-41597559-38
NR1582--MA0463.1.Bcl6	chr7	80583354	80583367	-	0.000	0.000	Merged-chr7-80583398-64
NR627--MA0731.1.BCL6B	chr15	57508722	57508738	-	0.000	0.000	Merged-chr15-57508665-16
NR1121--MA0463.1.Bcl6	chr3	96905379	96905392	+	0.000	0.000	Merged-chr3-96905193-62
NR547--MA0463.1.Bcl6	chr14	20885650	20885663	-	0.000	0.000	Merged-chr14-20885499-75
NR39--MA0731.1.BCL6B	chr1	85253282	85253298	+	0.000	0.000	Merged-chr1-85253103-6
NR1108--MA0463.1.Bcl6	chr3	88043087	88043100	+	0.000	0.000	Merged-chr3-88043136-39
NR749--MA0731.1.BCL6B	chr17	17845562	17845578	+	0.000	0.000	Merged-chr17-17845619-46
NR319--MA0463.1.Bcl6	chr11	77386339	77386352	+	0.000	0.000	Merged-chr11-77386373-55
NR1578--MA0463.1.Bcl6	chr7	79920759	79920772	+	0.000	0.000	Merged-chr7-79920663-50
NR1811--MA0463.1.Bcl6	chr9	121938047	121938060	+	0.000	0.000	Merged-chr9-121937837-32
NR348--MA0731.1.BCL6B	chr11	98942644	98942660	+	0.000	0.000	Merged-chr11-98942713-4
NR355--MA0463.1.Bcl6	chr11	103375378	103375391	-	0.000	0.000	Merged-chr11-103375376-18
NR1810--MA0731.1.BCL6B	chr9	121675081	121675097	-	0.000	0.000	Merged-chr9-121675261-45
NR1368--MA0463.1.Bcl6	chr5	107953079	107953092	-	0.000	0.000	Merged-chr5-107953037-18
NR1274--MA0463.1.Bcl6	chr4	134923874	134923887	+	0.000	0.000	Merged-chr4-134923798-69
NR257--MA0463.1.Bcl6	chr10	117982728	117982741	+	0.000	0.000	Merged-chr10-117982814-16
NR369--MA0463.1.Bcl6	chr11	114795579	114795592	+	0.000	0.000	Merged-chr11-114795532-23
NR1731--MA0463.1.Bcl6	chr9	13443678	13443691	-	0.000	0.000	Merged-chr9-13443699-54
NR545--MA0731.1.BCL6B	chr14	14098861	14098877	+	0.000	0.000	Merged-chr14-14098740-35
NR942--MA0463.1.Bcl6	chr2	46158579	46158592	-	0.000	0.000	Merged-chr2-46158716-3
NR1802--MA0731.1.BCL6B	chr9	116338542	116338558	-	0.000	0.000	Merged-chr9-116338340-72
NR181--MA0463.1.Bcl6	chr10	28684249	28684262	+	0.000	0.000	Merged-chr10-28684367-6
NR293--MA0463.1.Bcl6	chr11	52231872	52231885	-	0.000	0.000	Merged-chr11-52232101-58
NR1815--MA0731.1.BCL6B	chrX	7657331	7657347	-	0.000	0.000	Merged-chrX-7657381-29
NR1615--MA0463.1.Bcl6	chr7	117394083	117394096	+	0.000	0.000	Merged-chr7-117394201-50
NR620--MA0463.1.Bcl6	chr15	38518287	38518300	-	0.000	0.000	Merged-chr15-38518309-9
NR1745--MA0463.1.Bcl6	chr9	57910728	57910741	+	0.000	0.000	Merged-chr9-57910842-63
NR289--MA0463.1.Bcl6	chr11	46304034	46304047	-	0.000	0.000	Merged-chr11-46304004-7
NR1651--MA0463.1.Bcl6	chr8	25256217	25256230	+	0.000	0.000	Merged-chr8-25256219-29
NR789--MA0731.1.BCL6B	chr17	57194412	57194428	-	0.000	0.000	Merged-chr17-57194359-63
NR880--MA0463.1.Bcl6	chr19	29948423	29948436	-	0.000	0.000	Merged-chr19-29948443-27
NR634--MA0463.1.Bcl6	chr15	65727219	65727232	+	0.000	0.000	Merged-chr15-65727192-50
NR44--MA0463.1.Bcl6	chr1	85935621	85935634	+	0.000	0.000	Merged-chr1-85935656-5
NR867--MA0463.1.Bcl6	chr19	8984436	8984449	-	0.000	0.000	Merged-chr19-8984601-50
NR1665--MA0463.1.Bcl6	chr8	70003303	70003316	+	0.000	0.000	Merged-chr8-70003366-27
NR639--MA0463.1.Bcl6	chr15	75851064	75851077	+	0.000	0.000	Merged-chr15-75851032-8
NR49--MA0463.1.Bcl6	chr1	88248936	88248949	+	0.000	0.000	Merged-chr1-88248928-3
NR1210--MA0731.1.BCL6B	chr4	43045926	43045942	+	0.000	0.000	Merged-chr4-43046068-69
NR1343--MA0463.1.Bcl6	chr5	72161046	72161059	+	0.000	0.000	Merged-chr5-72161207-53
NR1549--MA0463.1.Bcl6	chr7	28381221	28381234	+	0.000	0.000	Merged-chr7-28381197-44
NR769--MA0463.1.Bcl6	chr17	36023838	36023851	-	0.000	0.000	Merged-chr17-36023858-33
NR1240--MA0463.1.Bcl6	chr4	107224059	107224072	-	0.000	0.000	Merged-chr4-107223959-21
NR675--MA0463.1.Bcl6	chr16	18127358	18127371	-	0.000	0.000	Merged-chr16-18127553-42
NR460--MA0463.1.Bcl6	chr13	13538901	13538914	-	0.000	0.000	Merged-chr13-13538788-21
NR1680--MA0731.1.BCL6B	chr8	83768905	83768921	-	0.000	0.000	Merged-chr8-83768833-20
NR1475--MA0731.1.BCL6B	chr6	108549786	108549802	+	0.000	0.000	Merged-chr6-108549628-58
NR1227--MA0463.1.Bcl6	chr4	89307185	89307198	-	0.000	0.000	Merged-chr4-89307188-5
NR359--MA0731.1.BCL6B	chr11	106351924	106351940	+	0.000	0.000	Merged-chr11-106352092-27
NR1129--MA0463.1.Bcl6	chr3	104968184	104968197	+	0.000	0.000	Merged-chr3-104968115-29
