#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR1000--MA0508.2.PRDM1	chr15	96345068	96345077	-	0.000	0.000	Merged-chr15-96345150-30
NR1937--MA0508.2.PRDM1	chr4	86722002	86722011	-	0.000	0.000	Merged-chr4-86721990-52
NR1299--MA0508.2.PRDM1	chr18	64931242	64931251	-	0.000	0.000	Merged-chr18-64931407-12
NR1156--MA0508.2.PRDM1	chr17	34201879	34201888	-	0.000	0.000	Merged-chr17-34201999-10
NR2582--MA0508.2.PRDM1	chr8	126833020	126833029	+	0.000	0.000	Merged-chr8-126833007-101
NR1679--MA0508.2.PRDM1	chr3	60639264	60639273	-	0.000	0.000	Merged-chr3-60639254-17
NR1536--MA0508.2.PRDM1	chr2	118200040	118200049	+	0.000	0.000	Merged-chr2-118200163-35
NR1122--MA0508.2.PRDM1	chr17	7892787	7892796	+	0.000	0.000	Merged-chr17-7892904-34
NR484--MA0508.2.PRDM1	chr12	25256455	25256464	+	0.000	0.000	Merged-chr12-25256439-11
NR1169--MA0508.2.PRDM1	chr17	48316139	48316148	+	0.000	0.000	Merged-chr17-48316195-8
NR612--MA0508.2.PRDM1	chr13	14063585	14063594	+	0.000	0.000	Merged-chr13-14063519-130
NR1897--MA0508.2.PRDM1	chr4	59278647	59278656	-	0.000	0.000	Merged-chr4-59278599-46
NR1406--MA0508.2.PRDM1	chr2	29622699	29622708	+	0.000	0.000	Merged-chr2-29622559-44
NR2290--MA0508.2.PRDM1	chr6	99429528	99429537	+	0.000	0.000	Merged-chr6-99429692-1
NR1387--MA0508.2.PRDM1	chr2	14879817	14879826	-	0.000	0.000	Merged-chr2-14879911-6
NR24--MA0508.2.PRDM1	chr1	20912552	20912561	-	0.000	0.000	Merged-chr1-20912686-65
NR877--MA0508.2.PRDM1	chr14	90025274	90025283	-	0.000	0.000	Merged-chr14-90025209-2
NR1496--MA0508.2.PRDM1	chr2	90890289	90890298	+	0.000	0.000	Merged-chr2-90890259-1
NR2683--MA0508.2.PRDM1	chr9	106752241	106752250	-	0.000	0.000	Merged-chr9-106752260-31
NR952--MA0508.2.PRDM1	chr15	39905283	39905292	-	0.000	0.000	Merged-chr15-39905299-27
NR333--MA0508.2.PRDM1	chr10	84070520	84070529	-	0.000	0.000	Merged-chr10-84070351-2
NR999--MA0508.2.PRDM1	chr15	94255282	94255291	+	0.000	0.000	Merged-chr15-94255177-46
NR1889--MA0508.2.PRDM1	chr4	56005724	56005733	-	0.000	0.000	Merged-chr4-56005821-2
NR1018--MA0508.2.PRDM1	chr16	10769881	10769890	+	0.000	0.000	Merged-chr16-10769811-36
NR1475--MA0508.2.PRDM1	chr2	77237471	77237480	+	0.000	0.000	Merged-chr2-77237632-1
NR171--MA0508.2.PRDM1	chr1	158177299	158177308	-	0.000	0.000	Merged-chr1-158177392-1
NR280--MA0508.2.PRDM1	chr10	44003891	44003900	+	0.000	0.000	Merged-chr10-44003826-80
NR2391--MA0508.2.PRDM1	chr7	30321742	30321751	-	0.000	0.000	Merged-chr7-30321790-4
NR869--MA0508.2.PRDM1	chr14	87066619	87066628	-	0.000	0.000	Merged-chr14-87066806-16
NR1488--MA0508.2.PRDM1	chr2	84660553	84660562	-	0.000	0.000	Merged-chr2-84660480-32
NR2423--MA0508.2.PRDM1	chr7	70628277	70628286	+	0.000	0.000	Merged-chr7-70628191-1
NR2532--MA0508.2.PRDM1	chr8	61283285	61283294	-	0.000	0.000	Merged-chr8-61283229-50
NR1358--MA0508.2.PRDM1	chr19	41911927	41911936	-	0.000	0.000	Merged-chr19-41912030-67
NR434--MA0508.2.PRDM1	chr11	66905954	66905963	-	0.000	0.000	Merged-chr11-66906049-23
NR891--MA0508.2.PRDM1	chr14	103719037	103719046	+	0.000	0.000	Merged-chr14-103719095-60
NR795--MA0508.2.PRDM1	chr14	11997994	11998003	-	0.000	0.000	Merged-chr14-11997983-1
NR718--MA0508.2.PRDM1	chr13	92354948	92354957	+	0.000	0.000	Merged-chr13-92354723-122
NR304--MA0508.2.PRDM1	chr10	59974387	59974396	+	0.000	0.000	Merged-chr10-59974606-81
NR1175--MA0508.2.PRDM1	chr17	51743291	51743300	-	0.000	0.000	Merged-chr17-51743349-2
NR1079--MA0508.2.PRDM1	chr16	64824652	64824661	+	0.000	0.000	Merged-chr16-64824762-36
NR1459--MA0508.2.PRDM1	chr2	65182903	65182912	+	0.000	0.000	Merged-chr2-65182800-62
NR2580--MA0508.2.PRDM1	chr8	123162984	123162993	+	0.000	0.000	Merged-chr8-123163099-40
NR2070--MA0508.2.PRDM1	chr5	31918817	31918826	-	0.000	0.000	Merged-chr5-31918818-43
NR819--MA0508.2.PRDM1	chr14	36932209	36932218	+	0.000	0.000	Merged-chr14-36932132-23
NR405--MA0508.2.PRDM1	chr11	5296652	5296661	+	0.000	0.000	Merged-chr11-5296760-21
NR2625--MA0508.2.PRDM1	chr9	56418305	56418314	-	0.000	0.000	Merged-chr9-56418111-4
NR1037--MA0508.2.PRDM1	chr16	24641660	24641669	+	0.000	0.000	Merged-chr16-24641606-21
NR2734--MA0508.2.PRDM1	chrX	159626349	159626358	-	0.000	0.000	Merged-chrX-159626513-14
NR875--MA0508.2.PRDM1	chr14	89826978	89826987	+	0.000	0.000	Merged-chr14-89826834-10
NR399--MA0508.2.PRDM1	chr11	3105458	3105467	+	0.000	0.000	Merged-chr11-3105314-74
NR2320--MA0508.2.PRDM1	chr6	125131892	125131901	+	0.000	0.000	Merged-chr6-125131800-57
NR2224--MA0508.2.PRDM1	chr6	33249105	33249114	+	0.000	0.000	Merged-chr6-33249191-56
NR474--MA0508.2.PRDM1	chr12	12172580	12172589	-	0.000	0.000	Merged-chr12-12172464-29
NR331--MA0508.2.PRDM1	chr10	81350415	81350424	+	0.000	0.000	Merged-chr10-81350595-59
NR2442--MA0508.2.PRDM1	chr7	100449015	100449024	+	0.000	0.000	Merged-chr7-100449076-60
NR2713--MA0508.2.PRDM1	chrX	77509282	77509291	+	0.000	0.000	Merged-chrX-77509424-59
NR487--MA0508.2.PRDM1	chr12	28699887	28699896	+	0.000	0.000	Merged-chr12-28699931-23
NR758--MA0508.2.PRDM1	chr13	110564221	110564230	+	0.000	0.000	Merged-chr13-110564159-46
NR2726--MA0508.2.PRDM1	chrX	134566758	134566767	+	0.000	0.000	Merged-chrX-134566845-16
NR2312--MA0508.2.PRDM1	chr6	121241940	121241949	-	0.000	0.000	Merged-chr6-121242053-23
NR248--MA0508.2.PRDM1	chr10	19168063	19168072	+	0.000	0.000	Merged-chr10-19167953-53
NR105--MA0508.2.PRDM1	chr1	98589842	98589851	+	0.000	0.000	Merged-chr1-98589738-39
NR1710--MA0508.2.PRDM1	chr3	84622122	84622131	+	0.000	0.000	Merged-chr3-84622230-22
NR357--MA0508.2.PRDM1	chr10	99245177	99245186	+	0.000	0.000	Merged-chr10-99245013-5
NR2468--MA0508.2.PRDM1	chr7	122932333	122932342	-	0.000	0.000	Merged-chr7-122932357-26
NR2272--MA0508.2.PRDM1	chr6	82921955	82921964	-	0.000	0.000	Merged-chr6-82922037-57
NR2718--MA0508.2.PRDM1	chrX	102464157	102464166	+	0.000	0.000	Merged-chrX-102464174-20
NR2699--MA0508.2.PRDM1	chrX	11653504	11653513	-	0.000	0.000	Merged-chrX-11653555-22
NR174--MA0508.2.PRDM1	chr1	159953686	159953695	-	0.000	0.000	Merged-chr1-159953685-19
NR716--MA0508.2.PRDM1	chr13	91636032	91636041	-	0.000	0.000	Merged-chr13-91636122-22
NR458--MA0508.2.PRDM1	chr11	111792091	111792100	+	0.000	0.000	Merged-chr11-111792002-31
NR437--MA0508.2.PRDM1	chr11	71991749	71991758	-	0.000	0.000	Merged-chr11-71991697-3
NR2277--MA0508.2.PRDM1	chr6	87887792	87887801	+	0.000	0.000	Merged-chr6-87887908-55
NR275--MA0508.2.PRDM1	chr10	40476411	40476420	-	0.000	0.000	Merged-chr10-40476553-4
NR1532--MA0508.2.PRDM1	chr2	117358210	117358219	+	0.000	0.000	Merged-chr2-117358189-8
NR179--MA0508.2.PRDM1	chr1	161804526	161804535	+	0.000	0.000	Merged-chr1-161804729-61
NR1893--MA0508.2.PRDM1	chr4	57813604	57813613	-	0.000	0.000	Merged-chr4-57813680-42
NR1131--MA0508.2.PRDM1	chr17	12692069	12692078	+	0.000	0.000	Merged-chr17-12692013-52
NR2365--MA0508.2.PRDM1	chr6	145285860	145285869	+	0.000	0.000	Merged-chr6-145285757-35
NR538--MA0508.2.PRDM1	chr12	76752972	76752981	+	0.000	0.000	Merged-chr12-76753055-50
NR1938--MA0508.2.PRDM1	chr4	86748582	86748591	-	0.000	0.000	Merged-chr4-86748710-108
NR2506--MA0508.2.PRDM1	chr8	26622236	26622245	-	0.000	0.000	Merged-chr8-26622131-10
NR2073--MA0508.2.PRDM1	chr5	36996853	36996862	-	0.000	0.000	Merged-chr5-36996710-15
NR2519--MA0508.2.PRDM1	chr8	46030337	46030346	-	0.000	0.000	Merged-chr8-46030343-32
NR2628--MA0508.2.PRDM1	chr9	60991674	60991683	+	0.000	0.000	Merged-chr9-60991715-48
NR1232--MA0508.2.PRDM1	chr18	11883434	11883443	-	0.000	0.000	Merged-chr18-11883419-27
NR1612--MA0508.2.PRDM1	chr3	8718383	8718392	+	0.000	0.000	Merged-chr3-8718167-60
NR259--MA0508.2.PRDM1	chr10	25387422	25387431	+	0.000	0.000	Merged-chr10-25387454-21
NR2099--MA0508.2.PRDM1	chr5	53213783	53213792	+	0.000	0.000	Merged-chr5-53213963-3
NR1973--MA0508.2.PRDM1	chr4	128728608	128728617	-	0.000	0.000	Merged-chr4-128728655-13
NR1102--MA0508.2.PRDM1	chr16	84982725	84982734	+	0.000	0.000	Merged-chr16-84982791-18
NR1192--MA0508.2.PRDM1	chr17	69401401	69401410	-	0.000	0.000	Merged-chr17-69401476-24
NR2349--MA0508.2.PRDM1	chr6	140308248	140308257	+	0.000	0.000	Merged-chr6-140308190-9
NR1062--MA0508.2.PRDM1	chr16	51705264	51705273	+	0.000	0.000	Merged-chr16-51705241-52
NR1333--MA0508.2.PRDM1	chr19	4114059	4114068	+	0.000	0.000	Merged-chr19-4113915-47
NR1585--MA0508.2.PRDM1	chr2	168230535	168230544	+	0.000	0.000	Merged-chr2-168230468-122
NR1508--MA0508.2.PRDM1	chr2	106003263	106003272	+	0.000	0.000	Merged-chr2-106003306-49
NR1965--MA0508.2.PRDM1	chr4	109102845	109102854	+	0.000	0.000	Merged-chr4-109102857-48
NR60--MA0508.2.PRDM1	chr1	55088169	55088178	-	0.000	0.000	Merged-chr1-55087990-104
NR2166--MA0508.2.PRDM1	chr5	122422482	122422491	+	0.000	0.000	Merged-chr5-122422317-77
NR1564--MA0508.2.PRDM1	chr2	145233990	145233999	+	0.000	0.000	Merged-chr2-145234039-59
NR802--MA0508.2.PRDM1	chr14	16434335	16434344	-	0.000	0.000	Merged-chr14-16434532-15
NR1150--MA0508.2.PRDM1	chr17	31296185	31296194	-	0.000	0.000	Merged-chr17-31295980-148
NR640--MA0508.2.PRDM1	chr13	34163153	34163162	+	0.000	0.000	Merged-chr13-34163217-77
NR1782--MA0508.2.PRDM1	chr3	142674824	142674833	+	0.000	0.000	Merged-chr3-142674758-15
NR1577--MA0508.2.PRDM1	chr2	153632750	153632759	+	0.000	0.000	Merged-chr2-153632630-73
NR1163--MA0508.2.PRDM1	chr17	42887544	42887553	-	0.000	0.000	Merged-chr17-42887503-23
NR52--MA0508.2.PRDM1	chr1	51155454	51155463	+	0.000	0.000	Merged-chr1-51155443-2
NR1338--MA0508.2.PRDM1	chr19	6980057	6980066	+	0.000	0.000	Merged-chr19-6980205-101
NR762--MA0508.2.PRDM1	chr13	111656019	111656028	+	0.000	0.000	Merged-chr13-111655949-74
NR1447--MA0508.2.PRDM1	chr2	55068870	55068879	+	0.000	0.000	Merged-chr2-55068760-4
NR1827--MA0508.2.PRDM1	chr3	157572173	157572182	+	0.000	0.000	Merged-chr3-157572162-49
NR980--MA0508.2.PRDM1	chr15	66561049	66561058	+	0.000	0.000	Merged-chr15-66561010-60
NR1665--MA0508.2.PRDM1	chr3	51553251	51553260	-	0.000	0.000	Merged-chr3-51553157-56
NR1360--MA0508.2.PRDM1	chr19	42306426	42306435	+	0.000	0.000	Merged-chr19-42306300-48
NR1121--MA0508.2.PRDM1	chr17	5060978	5060987	-	0.000	0.000	Merged-chr17-5060798-16
NR1439--MA0508.2.PRDM1	chr2	52979417	52979426	-	0.000	0.000	Merged-chr2-52979573-5
NR23--MA0508.2.PRDM1	chr1	20820395	20820404	+	0.000	0.000	Merged-chr1-20820206-62
NR462--MA0508.2.PRDM1	chr11	118348902	118348911	+	0.000	0.000	Merged-chr11-118348908-46
NR1875--MA0508.2.PRDM1	chr4	41064283	41064292	+	0.000	0.000	Merged-chr4-41064306-11
NR1004--MA0508.2.PRDM1	chr15	97389813	97389822	+	0.000	0.000	Merged-chr15-97389746-17
NR2430--MA0508.2.PRDM1	chr7	80232607	80232616	+	0.000	0.000	Merged-chr7-80232686-63
NR2701--MA0508.2.PRDM1	chrX	12151831	12151840	+	0.000	0.000	Merged-chrX-12151801-24
NR571--MA0508.2.PRDM1	chr12	99773766	99773775	+	0.000	0.000	Merged-chr12-99773885-16
NR332--MA0508.2.PRDM1	chr10	82778359	82778368	+	0.000	0.000	Merged-chr10-82778212-17
NR1269--MA0508.2.PRDM1	chr18	41861277	41861286	-	0.000	0.000	Merged-chr18-41861355-68
