#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR1269--MA0463.1.Bcl6	chr18	42589626	42589639	+	0.000	0.000	Merged-chr18-42589675-37
NR1163--MA0731.1.BCL6B	chr17	21501098	21501114	-	0.000	0.000	Merged-chr17-21500914-14
NR274--MA0463.1.Bcl6	chr10	21553115	21553128	-	0.000	0.000	Merged-chr10-21553167-27
NR1381--MA0731.1.BCL6B	chr2	35233016	35233032	+	0.000	0.000	Merged-chr2-35233017-25
NR2377--MA0463.1.Bcl6	chr7	80857356	80857369	-	0.000	0.000	Merged-chr7-80857503-23
NR1708--MA0463.1.Bcl6	chr3	129308458	129308471	+	0.000	0.000	Merged-chr3-129308560-67
NR2395--MA0463.1.Bcl6	chr7	99468976	99468989	+	0.000	0.000	Merged-chr7-99468692-92
NR1394--MA0731.1.BCL6B	chr2	46082295	46082311	+	0.000	0.000	Merged-chr2-46082259-1
NR1744--MA0463.1.Bcl6	chr3	146063290	146063303	-	0.000	0.000	Merged-chr3-146063322-20
NR2167--MA0463.1.Bcl6	chr6	32314436	32314449	-	0.000	0.000	Merged-chr6-32314262-1
NR1780--MA0463.1.Bcl6	chr4	9630905	9630918	+	0.000	0.000	Merged-chr4-9631004-95
NR2606--MA0463.1.Bcl6	chr9	61385976	61385989	+	0.000	0.000	Merged-chr9-61385921-10
NR1025--MA0731.1.BCL6B	chr16	8728335	8728351	-	0.000	0.000	Merged-chr16-8728485-34
NR43--MA0463.1.Bcl6	chr1	36252998	36253011	+	0.000	0.000	Merged-chr1-36253004-32
NR754--MA0463.1.Bcl6	chr13	109912925	109912938	-	0.000	0.000	Merged-chr13-109912847-3
NR508--MA0463.1.Bcl6	chr12	25864290	25864303	+	0.000	0.000	Merged-chr12-25864437-46
NR876--MA0731.1.BCL6B	chr14	79331573	79331589	-	0.000	0.000	Merged-chr14-79331457-66
NR1897--MA0463.1.Bcl6	chr4	101998738	101998751	-	0.000	0.000	Merged-chr4-101998677-38
NR1907--MA0731.1.BCL6B	chr4	109079933	109079949	-	0.000	0.000	Merged-chr4-109079913-32
NR332--MA0731.1.BCL6B	chr10	77984605	77984621	-	0.000	0.000	Merged-chr10-77984793-34
NR998--MA0731.1.BCL6B	chr15	78903365	78903381	-	0.000	0.000	Merged-chr15-78903471-19
NR2432--MA0463.1.Bcl6	chr7	132304076	132304089	+	0.000	0.000	Merged-chr7-132304150-3
NR101--MA0463.1.Bcl6	chr1	85894504	85894517	+	0.000	0.000	Merged-chr1-85894541-45
NR1360--MA0463.1.Bcl6	chr2	5845145	5845158	-	0.000	0.000	Merged-chr2-5845147-67
NR1126--MA0731.1.BCL6B	chr16	89986157	89986173	+	0.000	0.000	Merged-chr16-89986478-112
NR1472--MA0463.1.Bcl6	chr2	92055638	92055651	-	0.000	0.000	Merged-chr2-92055769-38
NR1132--MA0463.1.Bcl6	chr16	96767747	96767760	+	0.000	0.000	Merged-chr16-96767615-1
NR558--MA0463.1.Bcl6	chr12	71932985	71932998	-	0.000	0.000	Merged-chr12-71933079-55
NR2422--MA0731.1.BCL6B	chr7	117429000	117429016	-	0.000	0.000	Merged-chr7-117429043-56
NR1911--MA0463.1.Bcl6	chr4	116651704	116651717	-	0.000	0.000	Merged-chr4-116651530-57
NR361--MA0463.1.Bcl6	chr10	99592154	99592167	-	0.000	0.000	Merged-chr10-99592304-27
NR209--MA0463.1.Bcl6	chr1	180829885	180829898	+	0.000	0.000	Merged-chr1-180830009-39
NR324--MA0731.1.BCL6B	chr10	63176747	63176763	+	0.000	0.000	Merged-chr10-63176806-32
NR1195--MA0731.1.BCL6B	chr17	53463444	53463460	+	0.000	0.000	Merged-chr17-53463323-32
NR903--MA0463.1.Bcl6	chr14	118089292	118089305	-	0.000	0.000	Merged-chr14-118089540-176
NR1052--MA0731.1.BCL6B	chr16	23250854	23250870	+	0.000	0.000	Merged-chr16-23250750-42
NR1099--MA0731.1.BCL6B	chr16	65533857	65533873	-	0.000	0.000	Merged-chr16-65533669-35
NR800--MA0463.1.Bcl6	chr14	14098861	14098874	-	0.000	0.000	Merged-chr14-14098740-35
NR1034--MA0463.1.Bcl6	chr16	11577696	11577709	-	0.000	0.000	Merged-chr16-11577786-44
NR2348--MA0463.1.Bcl6	chr7	58569056	58569069	+	0.000	0.000	Merged-chr7-58568960-29
NR2254--MA0463.1.Bcl6	chr6	119479228	119479241	-	0.000	0.000	Merged-chr6-119479144-6
NR805--MA0463.1.Bcl6	chr14	18670786	18670799	+	0.000	0.000	Merged-chr14-18670985-9
NR316--MA0731.1.BCL6B	chr10	56848144	56848160	+	0.000	0.000	Merged-chr10-56848025-2
NR147--MA0463.1.Bcl6	chr1	135818023	135818036	-	0.000	0.000	Merged-chr1-135817909-9
NR76--MA0731.1.BCL6B	chr1	66279479	66279495	+	0.000	0.000	Merged-chr1-66279555-43
NR1169--MA0463.1.Bcl6	chr17	29500923	29500936	+	0.000	0.000	Merged-chr17-29500871-30
NR1836--MA0463.1.Bcl6	chr4	57065438	57065451	+	0.000	0.000	Merged-chr4-57065457-35
NR286--MA0463.1.Bcl6	chr10	37232213	37232226	+	0.000	0.000	Merged-chr10-37232300-62
NR438--MA0731.1.BCL6B	chr11	55221690	55221706	+	0.000	0.000	Merged-chr11-55221509-28
NR89--MA0731.1.BCL6B	chr1	76754940	76754956	+	0.000	0.000	Merged-chr1-76755045-2
NR971--MA0463.1.Bcl6	chr15	53274957	53274970	+	0.000	0.000	Merged-chr15-53274876-10
NR242--MA0731.1.BCL6B	chr10	5194947	5194963	-	0.000	0.000	Merged-chr10-5194873-88
NR41--MA0463.1.Bcl6	chr1	33883646	33883659	+	0.000	0.000	Merged-chr1-33883578-48
NR146--MA0731.1.BCL6B	chr1	131153224	131153240	-	0.000	0.000	Merged-chr1-131153253-37
NR417--MA0731.1.BCL6B	chr11	19993910	19993926	-	0.000	0.000	Merged-chr11-19993906-5
NR1307--MA0731.1.BCL6B	chr18	79258159	79258175	+	0.000	0.000	Merged-chr18-79258074-1
NR855--MA0463.1.Bcl6	chr14	55604120	55604133	-	0.000	0.000	Merged-chr14-55604128-61
NR1541--MA0463.1.Bcl6	chr2	144527546	144527559	-	0.000	0.000	Merged-chr2-144527541-67
NR2058--MA0463.1.Bcl6	chr5	72161046	72161059	+	0.000	0.000	Merged-chr5-72161207-53
NR1397--MA0731.1.BCL6B	chr2	49764785	49764801	-	0.000	0.000	Merged-chr2-49764736-24
NR2550--MA0731.1.BCL6B	chr8	117471568	117471584	+	0.000	0.000	Merged-chr8-117471438-26
NR2515--MA0463.1.Bcl6	chr8	81491449	81491462	-	0.000	0.000	Merged-chr8-81491424-1
NR757--MA0463.1.Bcl6	chr13	110683371	110683384	+	0.000	0.000	Merged-chr13-110683272-3
NR2597--MA0731.1.BCL6B	chr9	41116375	41116391	+	0.000	0.000	Merged-chr9-41116264-54
NR663--MA0463.1.Bcl6	chr13	39011864	39011877	+	0.000	0.000	Merged-chr13-39011940-27
NR305--MA0463.1.Bcl6	chr10	51464417	51464430	+	0.000	0.000	Merged-chr10-51464441-1
NR518--MA0731.1.BCL6B	chr12	33434055	33434071	+	0.000	0.000	Merged-chr12-33434060-41
NR104--MA0731.1.BCL6B	chr1	88244895	88244911	-	0.000	0.000	Merged-chr1-88244946-1
NR2324--MA0731.1.BCL6B	chr7	29908352	29908368	+	0.000	0.000	Merged-chr7-29908489-59
NR659--MA0463.1.Bcl6	chr13	34046548	34046561	+	0.000	0.000	Merged-chr13-34046570-24
NR2538--MA0463.1.Bcl6	chr8	105855013	105855026	-	0.000	0.000	Merged-chr8-105855087-69
NR2323--MA0463.1.Bcl6	chr7	29908352	29908365	-	0.000	0.000	Merged-chr7-29908489-59
NR350--MA0463.1.Bcl6	chr10	94378508	94378521	+	0.000	0.000	Merged-chr10-94378414-58
NR2066--MA0731.1.BCL6B	chr5	77170705	77170721	-	0.000	0.000	Merged-chr5-77170742-14
NR2608--MA0731.1.BCL6B	chr9	61924864	61924880	-	0.000	0.000	Merged-chr9-61925004-1
NR677--MA0463.1.Bcl6	chr13	61710900	61710913	+	0.000	0.000	Merged-chr13-61710985-22
NR2668--MA0463.1.Bcl6	chr9	109862882	109862895	-	0.000	0.000	Merged-chr9-109862838-42
NR2113--MA0463.1.Bcl6	chr5	124907074	124907087	+	0.000	0.000	Merged-chr5-124907107-45
NR2250--MA0731.1.BCL6B	chr6	117146748	117146764	-	0.000	0.000	Merged-chr6-117146729-2
NR2568--MA0731.1.BCL6B	chr8	127447272	127447288	+	0.000	0.000	Merged-chr8-127447217-34
NR1274--MA0463.1.Bcl6	chr18	46182171	46182184	-	0.000	0.000	Merged-chr18-46182052-26
NR1941--MA0463.1.Bcl6	chr4	134683114	134683127	-	0.000	0.000	Merged-chr4-134683033-16
NR566--MA0731.1.BCL6B	chr12	80938837	80938853	+	0.000	0.000	Merged-chr12-80938954-22
NR485--MA0463.1.Bcl6	chr11	117334409	117334422	-	0.000	0.000	Merged-chr11-117334271-49
NR391--MA0463.1.Bcl6	chr10	124784884	124784897	-	0.000	0.000	Merged-chr10-124784824-1
NR2438--MA0731.1.BCL6B	chr7	139648277	139648293	+	0.000	0.000	Merged-chr7-139648313-24
NR2494--MA0463.1.Bcl6	chr8	61283117	61283130	-	0.000	0.000	Merged-chr8-61283229-50
NR1731--MA0463.1.Bcl6	chr3	141841339	141841352	+	0.000	0.000	Merged-chr3-141841340-1
NR2391--MA0463.1.Bcl6	chr7	97371626	97371639	-	0.000	0.000	Merged-chr7-97371683-55
NR178--MA0731.1.BCL6B	chr1	165812650	165812666	-	0.000	0.000	Merged-chr1-165812825-36
NR1288--MA0463.1.Bcl6	chr18	61643667	61643680	+	0.000	0.000	Merged-chr18-61643847-38
NR2146--MA0731.1.BCL6B	chr6	13838596	13838612	+	0.000	0.000	Merged-chr6-13838758-42
NR1503--MA0463.1.Bcl6	chr2	122486098	122486111	+	0.000	0.000	Merged-chr2-122485879-27
NR2378--MA0463.1.Bcl6	chr7	80905148	80905161	+	0.000	0.000	Merged-chr7-80905285-49
NR1709--MA0463.1.Bcl6	chr3	129308481	129308494	+	0.000	0.000	Merged-chr3-129308560-67
NR2396--MA0463.1.Bcl6	chr7	100591176	100591189	-	0.000	0.000	Merged-chr7-100591140-72
NR2181--MA0463.1.Bcl6	chr6	41526470	41526483	-	0.000	0.000	Merged-chr6-41526509-3
NR2293--MA0463.1.Bcl6	chr6	143115346	143115359	-	0.000	0.000	Merged-chr6-143115192-122,Merged-chr6-143115547-2
NR177--MA0463.1.Bcl6	chr1	165812653	165812666	+	0.000	0.000	Merged-chr1-165812825-36
NR428--MA0731.1.BCL6B	chr11	46358556	46358572	+	0.000	0.000	Merged-chr11-46358620-3
NR2029--MA0731.1.BCL6B	chr5	45926350	45926366	+	0.000	0.000	Merged-chr5-45926189-15
NR44--MA0463.1.Bcl6	chr1	36273171	36273184	+	0.000	0.000	Merged-chr1-36273311-46
NR979--MA0463.1.Bcl6	chr15	62730649	62730662	+	0.000	0.000	Merged-chr15-62730717-24
NR2465--MA0731.1.BCL6B	chr8	36140259	36140275	-	0.000	0.000	Merged-chr8-36140320-4
NR1611--MA0731.1.BCL6B	chr3	31145929	31145945	-	0.000	0.000	Merged-chr3-31145985-42
NR1419--MA0463.1.Bcl6	chr2	54272664	54272677	-	0.000	0.000	Merged-chr2-54272736-1
NR80--MA0463.1.Bcl6	chr1	69331973	69331986	+	0.000	0.000	Merged-chr1-69331775-34
NR49--MA0463.1.Bcl6	chr1	40085978	40085991	-	0.000	0.000	Merged-chr1-40085963-65
NR460--MA0463.1.Bcl6	chr11	89024322	89024335	-	0.000	0.000	Merged-chr11-89024298-29
NR102--MA0463.1.Bcl6	chr1	86344411	86344424	+	0.000	0.000	Merged-chr1-86344486-59
NR1227--MA0463.1.Bcl6	chr17	85189679	85189692	-	0.000	0.000	Merged-chr17-85189630-51
NR1332--MA0731.1.BCL6B	chr19	18615923	18615939	+	0.000	0.000	Merged-chr19-18615969-1
NR2563--MA0463.1.Bcl6	chr8	125557520	125557533	-	0.000	0.000	Merged-chr8-125557520-11
NR1800--MA0463.1.Bcl6	chr4	26338968	26338981	+	0.000	0.000	Merged-chr4-26338850-16
NR1693--MA0731.1.BCL6B	chr3	115933922	115933938	+	0.000	0.000	Merged-chr3-115933714-29
NR1930--MA0463.1.Bcl6	chr4	128689115	128689128	+	0.000	0.000	Merged-chr4-128689044-23
NR595--MA0463.1.Bcl6	chr12	107011658	107011671	+	0.000	0.000	Merged-chr12-107011663-34
NR229--MA0731.1.BCL6B	chr1	193170088	193170104	-	0.000	0.000	Merged-chr1-193170086-7
NR1834--MA0731.1.BCL6B	chr4	56088668	56088684	-	0.000	0.000	Merged-chr4-56088865-1
NR1420--MA0731.1.BCL6B	chr2	54272664	54272680	+	0.000	0.000	Merged-chr2-54272736-1
